[00:00:00.349 --> 00:00:05.552]  Coast-to-coast, direct from Austin.
[00:42:02.520 --> 00:42:04.261]  This is going to unfold, ladies and gentlemen.
[00:42:04.281 --> 00:42:06.802]  This is a total criminal mash.
[00:42:07.923 --> 00:42:18.948]  And the Tea Party are a bunch of moral, on average, people that really are pro-gun, really are pro-family, who really do value freedom, and who are really upset they're not perfect.
[00:42:19.328 --> 00:42:21.570]  Republicans tried to co-opt them the last six, seven years.
[00:42:22.010 --> 00:42:22.610]  That failed.
[00:42:25.291 --> 00:42:32.115]  And so now, ladies and gentlemen, the Republican and Democratic leadership are trying to gut the Tea Party.
[00:42:34.397 --> 00:42:35.577]  And they've circled the wagons.
[00:42:36.958 --> 00:42:41.698]  And the reason the Tea Party's enemy, number one, is because they're informed.
[00:42:42.059 --> 00:42:43.139]  They know about the UN.
[00:42:43.179 --> 00:42:44.319]  They know about world government.
[00:42:45.699 --> 00:42:49.800]  They know that you cut taxes, government revenue increases.
[00:42:51.620 --> 00:42:57.762]  They know the system wants to stall the country and bankrupt the general public to complete our journey into serfdom and dependency.
[00:42:58.022 --> 00:43:00.382]  They know, they know, and they're learning quickly.
[00:43:00.802 --> 00:43:04.123]  My information, the information we've broken down here,
[00:43:06.203 --> 00:43:18.915]  By the grace of God, our real power, your real power, because you are the power of this broadcast, has now made it safe for the other big talk show host across the board to tell the truth.
[00:43:21.328 --> 00:43:24.911]  Because their constituents, their listeners, now know the truth.
[00:43:25.311 --> 00:43:30.936]  So even if some of those big national hosts had been sellouts before, it was mainly because they were scared.
[00:43:31.857 --> 00:43:33.719]  It was mainly because they were on a short leash.
[00:43:34.119 --> 00:43:37.562]  When more people speak out, we normalize telling the truth.
[00:43:37.602 --> 00:43:48.732]  It makes it safe for right-wing talk show hosts, libertarian talk show hosts, for liberals in Hollywood, who are real liberals,
[00:43:49.963 --> 00:43:51.345]  In the vein of Thomas Jefferson.
[00:43:52.726 --> 00:43:53.908]  This is the reality.
[00:44:00.595 --> 00:44:04.640]  And we are now at this absolutely critical crossroads.
[00:44:06.260 --> 00:44:09.441]  We are now there in a cultural revolution.
[00:44:09.781 --> 00:44:20.525]  They have their cultural revolution of socialism, of tyranny, of domestication that they brand as liberal and happy and empowering when the fruits of it are total enslavement, lies, fraud, poverty.
[00:44:22.906 --> 00:44:28.568]  So we are now at that point.
[00:44:29.653 --> 00:44:32.034]  Where we have to go, no, we're the revolutionaries.
[00:44:32.354 --> 00:44:33.775]  We're the people bringing the renaissance.
[00:44:34.055 --> 00:44:35.256]  We're the people bringing liberty.
[00:44:35.576 --> 00:44:36.817]  We're the people that are liberals.
[00:44:37.597 --> 00:44:39.618]  We're the people that are for human empowerment.
[00:44:39.918 --> 00:44:44.120]  We're the people that have the plan that's been proven to work over and over again.
[00:44:44.680 --> 00:44:47.042]  Tyranny's been tried a hundred times more than liberty.
[00:44:47.882 --> 00:44:49.603]  And it always leads to the same place.
[00:44:49.663 --> 00:44:50.263]  It's horrible.
[00:44:50.583 --> 00:44:51.804]  Let's not go down this road.
[00:44:52.084 --> 00:44:52.924]  Let's be virtuous.
[00:44:52.964 --> 00:44:53.725]  Let's turn back now.
[00:44:57.503 --> 00:45:00.329]  Even if people like John Boehner wanted to do the right thing, he can't.
[00:45:00.670 --> 00:45:02.413]  Because he wouldn't have been allowed to be the speaker.
[00:45:04.637 --> 00:45:06.802]  If they didn't have enough dirt on him to hang him high.
[00:45:08.595 --> 00:45:23.344]  That's why if somebody does the right thing, and then it comes out that they've got a mistress, or it comes out that 20 years ago they took some money they shouldn't have or whatever, we've got to leave them alone and realize that's political dirty tricks.
[00:45:23.744 --> 00:45:27.367]  But until the public gets angry enough to get behind champions,
[00:45:28.342 --> 00:45:31.004]  And to get, I mean, I'm sure there's no dirt on Rand Paul.
[00:45:31.224 --> 00:45:33.526]  They would have already brought it out, but they've sure tried to manufacture it.
[00:45:34.006 --> 00:45:51.679]  If we ask Rand Paul to run, or Ted Cruz, and then a couple skeletons come out of the closet, folks, you've got to understand that if the establishment is bringing out the skeletons, A, it's probably a lie, or exaggerated, and it doesn't matter, because it's the enemy trying to take down somebody that's good.
[00:45:51.979 --> 00:45:52.920]  It's very, very simple.
[00:45:54.332 --> 00:45:55.853]  We hang together, we hang separate.
[00:45:56.614 --> 00:46:02.558]  And I'm not glorifying Rand Paul or Ted Cruz, but I'll tell you this, the system doesn't like them and wants to destroy them.
[00:46:03.478 --> 00:46:11.164]  And they're an example to all these millions of people that are looking for a change, looking for an alternative.
[00:46:11.724 --> 00:46:22.212]  And the Republican leadership is offering more country club, Republican establishment corruption, and more socialism, and corporate bailouts, and wars, and surveillance, and police state, and drug war.
[00:46:23.012 --> 00:46:30.538]  And the Democrats are offering more of the same, but with some cultural pandering of, oh, we care about the minorities that are really the majority now.
[00:46:30.999 --> 00:46:35.042]  Oh, and we care about women, and you know, you're on our winning team.
[00:46:35.522 --> 00:46:39.646]  I mean, it's literally rah-rah, Coke versus Pepsi, Chevy versus Ford.
[00:46:40.186 --> 00:46:41.327]  It means nothing.
[00:46:43.469 --> 00:46:45.831]  And that's why the Republicans have put into a bill
[00:46:46.974 --> 00:46:51.235]  For Lord Obama to sign to allow a little more choice for small businesses.
[00:46:51.775 --> 00:46:54.856]  Because tens of millions are being kicked off their insurance.
[00:46:54.876 --> 00:46:56.156]  Some of the numbers are over 10 million.
[00:46:56.496 --> 00:46:57.436]  At least 7 million.
[00:46:57.816 --> 00:47:00.337]  And then, oh, Obama goes, 6 million have signed up for Obamacare.
[00:47:00.577 --> 00:47:01.377]  That's not even true!
[00:47:01.597 --> 00:47:02.858]  It's not even 2 million now!
[00:47:06.018 --> 00:47:08.199]  And it does increase payroll taxes on poor people.
[00:47:09.519 --> 00:47:12.020]  If you're making $18,000 a year, your payroll tax went up.
[00:47:12.060 --> 00:47:12.920]  That is incredible.
[00:47:14.141 --> 00:47:15.522]  You can't live on that nowadays.
[00:47:15.542 --> 00:47:16.963]  If you've got kids, forget it.
[00:47:19.886 --> 00:47:28.893]  And every business I know is laying people off or cutting their hours because most businesses, the owners are getting maybe 5% profit.
[00:47:29.413 --> 00:47:31.375]  And then half that goes in taxes or more.
[00:47:31.675 --> 00:47:32.396]  What's the point?
[00:47:33.834 --> 00:47:40.796]  There are so many well-to-do, upper-middle class people that are just selling their businesses or shutting down because they can retire now.
[00:47:41.216 --> 00:47:48.818]  Why should they keep a business going when all they get is grief and hell and bureaucrats because they are not exempt from Obamacare?
[00:47:51.539 --> 00:47:54.860]  Let's say you own P. Terry's Hamburger Chain that's just in Austin, Texas.
[00:47:55.865 --> 00:47:57.086]  Been around for maybe 10 years.
[00:47:57.686 --> 00:47:58.306]  Very popular.
[00:47:59.147 --> 00:47:59.667]  I looked it up.
[00:47:59.707 --> 00:48:01.048]  They didn't get an Obamacare exemption.
[00:48:01.308 --> 00:48:04.130]  McDonald's right across the street on South Lamar.
[00:48:05.571 --> 00:48:08.072]  South Lamar and the river.
[00:48:09.033 --> 00:48:09.753]  Right across the street.
[00:48:09.773 --> 00:48:10.654]  We should do a report on that.
[00:48:10.934 --> 00:48:17.658]  How P. Terry's on this side of the street doesn't get an Obamacare exemption, but the McDonald's across the street does.
[00:48:18.298 --> 00:48:22.561]  McDonald's can keep its workers at 40 hours a week.
[00:48:23.834 --> 00:48:31.097]  But Pete Jerry's has got to cut them down by 10-15 hours or they've got to pay the Obamacare and they can't afford it or their hamburger's going to be $10!
[00:48:31.317 --> 00:48:40.742]  Doesn't matter their hamburger's organic, doesn't matter it's flame broiled, doesn't matter it tastes a hundred times better than the plastic food across the street that literally has plastic in it.
[00:48:42.422 --> 00:48:48.065]  They can't compete with Subway across the street and McDonald's across the street who are exempt.
[00:48:51.240 --> 00:48:52.220]  That's discrimination.
[00:48:52.440 --> 00:49:09.267]  While they're screaming black, black, white, white, race, race, male, female, north, south, blah, blah, blah, they're trying to scream about those differences to make us all fight about those because if we ever got together and went, man, I own an auto parts place and I'm not exempt, but that big national chain is.
[00:49:10.848 --> 00:49:12.428]  Let me tell you, that's a lawsuit!
[00:49:12.668 --> 00:49:13.809]  That's discriminatory!
[00:49:14.109 --> 00:49:15.669]  This law is a fraud!
[00:49:15.749 --> 00:49:16.189]  Repeal it!
[00:49:16.609 --> 00:49:20.310]  And it's over 80% now, in major polls, are against Obamacare.
[00:49:20.770 --> 00:49:22.391]  And as it kicks in, people are against it.
[00:49:22.851 --> 00:49:23.871]  And what does the establishment do?
[00:49:24.171 --> 00:49:26.832]  Oh, there's no fines, there's no penalties.
[00:49:26.872 --> 00:49:36.894]  My CPA tells me, most people are on salary around here, but if it's the equivalent, we're going to have to lay people off or cut their hours, at least a few people.
[00:49:37.775 --> 00:49:39.275]  Or, or,
[00:49:40.683 --> 00:49:44.486]  I guess I'll just have to sit there and have more advertising just to pay more taxes.
[00:49:45.187 --> 00:49:46.248]  It's a losing battle.
[00:49:47.870 --> 00:49:49.431]  I'm being told, get ready to pay the penalty.
[00:49:51.253 --> 00:49:56.998]  And then if I say I'm getting ready to pay penalties, the media says, liar, it doesn't exist when it exists on record!
[00:49:57.776 --> 00:50:00.677]  Because only about 10% of the public now actually has employees.
[00:50:01.097 --> 00:50:05.138]  They know 90% of you don't know and literally think we're lying to you.
[00:50:05.819 --> 00:50:09.660]  That's how evil these people are.
[00:50:09.960 --> 00:50:11.260]  The unions are exempt.
[00:50:11.840 --> 00:50:14.141]  All of them are exempt, but me and you.
[00:50:15.262 --> 00:50:16.302]  That's discriminatory.
[00:50:16.562 --> 00:50:22.364]  I don't care what color you are, what religion you are, you're not part of the insider club, you're going to get screwed.
[00:50:23.427 --> 00:50:31.554]  And now the Republicans have passed some legislation where some medium-sized corporations might be able to have a little more choice in joining larger health groups.
[00:50:35.438 --> 00:50:42.183]  And again, that's the Republicans messing with Obamacare instead of repealing it when they could literally blow on it and it would fall over.
[00:50:42.664 --> 00:50:43.585]  It's a house made of straw.
[00:50:44.770 --> 00:50:46.171]  They don't have to huff or puff or anything.
[00:50:46.371 --> 00:50:48.493]  You just literally poke it, it falls over.
[00:50:49.033 --> 00:50:52.656]  Universally unpopular, growing more unpopular by the day.
[00:50:52.696 --> 00:50:58.901]  The 20% of morons out there that still suck their thumbs and think Obama loves them haven't figured out it's a giant screwjob yet.
[00:50:59.101 --> 00:50:59.902]  They're about to wake up.
[00:51:00.122 --> 00:51:03.304]  We can't repeal something this evil, this discriminatory.
[00:51:03.584 --> 00:51:04.285]  No, we can't!
[00:51:04.425 --> 00:51:08.068]  Because the Republican leadership are degenerate, filthy criminals!
[00:51:11.829 --> 00:51:19.415]  Jessica Armand here, creator of My Magic Mud, the all-natural teeth whitener and strengthening remedy that's getting rave reviews from GCN listeners.
[00:51:19.555 --> 00:51:22.738]  Here's what Austin dentist Dr. Griffin Cole has to say about it.
[00:51:22.838 --> 00:51:24.499]  I really love this Magic Mud product.
[00:51:24.539 --> 00:51:30.524]  Because charcoal is so absorbent, it's very effective at taking off all the sticky plaque and debris that gets stuck on our teeth every day.
[00:51:30.644 --> 00:51:32.085]  I highly recommend My Magic Mud.
[00:51:32.245 --> 00:51:35.808]  Visit MyMagicMud.com to hear the full interview with Dr. Cole.
[00:51:36.088 --> 00:51:37.069]  Get your jar today.
[00:51:37.169 --> 00:51:38.430]  That's MyMagicMud.com.
[00:51:40.390 --> 00:51:49.657]  We the people grow cotton, weave fabric, engrave ink, embed strips and fibers to protect from counterfeit, then carting to a private bank, having it led back at interest, forcing taxes to service debt.
[00:51:49.697 --> 00:51:50.437]  This capitalism?
[00:51:50.497 --> 00:51:56.622]  Or was Jefferson correct when stating a central bank issuing the public currency is a greater menace to the liberties of the people than a standing army?
[00:51:56.662 --> 00:52:00.304]  Ted Anderson, I'm placing a free silver dollar in a book that explains our monetary system.
[00:52:00.344 --> 00:52:01.285]  Call for your copy 800-686-2237.
[00:52:01.305 --> 00:52:02.326]  It's time to understand the system.
[00:52:02.506 --> 00:52:02.966]  Call 800-686-2237.
[00:52:03.006 --> 00:52:03.286]  That's 800-686-2237.
[00:52:10.051 --> 00:52:12.614]  Hi folks, Alex Jones here with some important information.
[00:52:12.894 --> 00:52:17.759]  I want to tell you about Matt Redhawk and his team of patriots over at My Patriot Supply.
[00:52:17.999 --> 00:52:25.847]  Several years ago, Matt was sitting in his two-bedroom apartment, frustrated with the direction this country was headed and the charlatans willing to sell us out for a quick buck.
[00:52:26.127 --> 00:52:30.428]  Deciding to take action, a company run by patriots for patriots was born.
[00:52:30.628 --> 00:52:34.469]  My Patriot Supply has never taken a loan or accepted outside funding.
[00:52:34.629 --> 00:52:40.331]  They now operate two distribution facilities and employ over 50 hard-working American men and women.
[00:52:40.571 --> 00:52:43.352]  It is rare to find companies who practice what they preach.
[00:52:43.732 --> 00:52:48.873]  And that's why I stock my pantry with high-quality storable foods from My Patriot Supply.
[00:52:49.093 --> 00:52:57.220]  Go to MyPatriotSupply.com forward slash Alex today for special offers on emergency food storage or call their preparedness specialist at 866-229-0927.
[00:52:57.280 --> 00:52:57.460]  That's 866-229-0927.
[00:52:57.561 --> 00:53:00.463]  Do business with someone who shares your values.
[00:53:00.483 --> 00:53:01.424]  MyPatriotSupply.com slash Alex.
[00:53:10.163 --> 00:53:15.507]  Listeners of GCN know governments and identity thieves around the world are illegally spying on our digital data.
[00:53:15.667 --> 00:53:20.950]  This puts you at risk of financial loss or potential targeting because of your political affiliation or spiritual beliefs.
[00:53:21.250 --> 00:53:24.393]  But now there's a new, free and easy way to protect yourself.
[00:53:24.553 --> 00:53:27.355]  Regain your privacy and security now with Unseen.
[00:53:27.615 --> 00:53:33.399]  Unseen is a free digital communication service that offers email, chat, audio and video calling, plus cloud storage.
[00:53:33.579 --> 00:53:40.043]  All secured with unparalleled encryption and is hosted in Iceland, where your data is protected by some of the strongest privacy laws in the world.
[00:53:40.383 --> 00:53:47.849]  For a limited time, GCN listeners get a 20% discount when upgrading to Unseen's premium service, which offers more storage and even greater security.
[00:53:47.889 --> 00:53:54.214]  Plus, get huge discounts when you buy multiple premium accounts, perfect for your family, Bible study, political action group, or business.
[00:53:54.475 --> 00:53:56.356]  This isn't just your average radio ad.
[00:53:56.556 --> 00:53:57.897]  This is a call to action.
[00:53:58.178 --> 00:54:01.740]  You now have the power at your fingertips to stop Big Brother in his tracks.
[00:54:02.981 --> 00:54:03.822]  So why wait?
[00:54:03.982 --> 00:54:06.524]  Go to unseennow.com and take action today.
[00:54:07.085 --> 00:54:08.466]  That's unseennow.com.
[00:54:21.376 --> 00:54:24.197]  As a nation, we don't really have morals in government anymore.
[00:54:25.737 --> 00:54:35.739]  It's entirely piratical, and as the resources begin to run down under tyranny, it will become more piratical, more rapacious, more abusive.
[00:54:36.159 --> 00:54:37.179]  I mean, look at these headlines.
[00:54:38.620 --> 00:54:40.180]  IRS agent testimony.
[00:54:42.190 --> 00:54:45.812]  No progressive groups were targeted by IRS.
[00:54:46.013 --> 00:54:51.296]  Only libertarian, conservative, Christian or pro-life or veterans groups critical of the VA.
[00:54:51.656 --> 00:54:53.417]  Basically anyone standing up for themselves.
[00:54:53.558 --> 00:54:59.201]  Any special interest by the American people must be destroyed, must be dismantled.
[00:55:01.783 --> 00:55:02.764]  There's the testimony.
[00:55:02.884 --> 00:55:09.008]  But they've already given testimony that they never persecuted anyone.
[00:55:10.011 --> 00:55:12.813]  DOJ refuses to appoint special prosecutor.
[00:55:12.833 --> 00:55:13.293]  Remember that?
[00:55:15.315 --> 00:55:24.120]  And who wants to live in a country or a world where they can politically persecute people, get caught, and not get in trouble?
[00:55:24.200 --> 00:55:26.322]  Richard Nixon got caught and had to step down.
[00:55:26.342 --> 00:55:29.764]  Because everyone understood, man, this is dangerous.
[00:55:30.665 --> 00:55:32.866]  But not now, because they're doing the Lord's work.
[00:55:33.366 --> 00:55:35.508]  I was back there during the break getting a cup of coffee.
[00:55:37.816 --> 00:55:44.660]  And Al Sharpton was on saying, we've got to continue to fight against racism and the new racism is voting rights.
[00:55:44.680 --> 00:55:46.801]  We've got to let Americans vote.
[00:55:47.141 --> 00:55:49.923]  We've got to give driver's license to the illegals, basically is what he was saying.
[00:55:50.263 --> 00:55:59.328]  Yeah, let's bring in foreign groups who will vote for welfare and vote to take your guns and vote to make you a slave of the governing class that's screwing all the poor people over.
[00:56:01.049 --> 00:56:05.452]  Amazing to live under this magnitude of evil.
[00:56:11.578 --> 00:56:15.901]  Now I'm going to start the next hour and get into a series of small quakes.
[00:56:16.061 --> 00:56:17.081]  Rock, Oklahoma.
[00:56:17.101 --> 00:56:22.885]  We're going to get into Molly suspects first Ebola cases as regional death toll tops 90.
[00:56:23.765 --> 00:56:26.707]  Five signs the global economy recovery may be an illusion.
[00:56:26.747 --> 00:56:27.387]  London Guardian.
[00:56:27.828 --> 00:56:29.228]  Wow, some reality out of the Guardian.
[00:56:29.969 --> 00:56:37.173]  We're going to get more into Obamacare and Jeb Bush saying that it's loving to have open borders.
[00:56:37.914 --> 00:56:39.635]  We're also going to get into
[00:56:40.515 --> 00:56:43.457]  The latest on the Fort Hood situation and some breaking news there.
[00:56:43.837 --> 00:56:47.219]  Also, Eastern Ukraine is moving to join Russia.
[00:56:47.299 --> 00:56:49.240]  That's a big deal, up on Infowars.com.
[00:56:49.780 --> 00:56:52.862]  Jeb Bush, again I already mentioned this, illegal immigration is an act of love.
[00:56:53.482 --> 00:56:56.504]  Bilderberg is trying to disguise location of 2014 meeting.
[00:56:57.424 --> 00:57:01.787]  We've also got a special report I filed, secret of military suicides exposed.
[00:57:02.187 --> 00:57:03.587]  It's very important to get out to folks.
[00:57:03.948 --> 00:57:06.109]  We're going to tweet that at Twitter as well, at RealAlexJones.
[00:57:06.729 --> 00:57:09.611]  Armed feds prepare for showdown with Nevada cattle rancher.
[00:57:10.191 --> 00:57:12.955]  Trend Analyst says yes, there will be riots in major cities.
[00:57:13.616 --> 00:57:14.777]  The government's gearing up for that.
[00:57:15.579 --> 00:57:23.570]  That is just some of the news up on InfoWars.com and PrisonPlanet.com that we're going to be getting to today.
[00:57:25.458 --> 00:57:26.418]  We are listener supported.
[00:57:26.458 --> 00:57:30.120]  Our sponsors, folks like MyPatriotSupply.com forward slash Alex.
[00:57:30.580 --> 00:57:35.002]  Great storable foods, great customer service, super high quality, a lot of other great products.
[00:57:35.342 --> 00:57:38.283]  MyPatriotSupply.com forward slash Alex.
[00:57:38.783 --> 00:57:41.124]  You can simply go to their site there and find a lot of great deals.
[00:57:41.164 --> 00:57:42.665]  This hour was brought to you by those folks.
[00:57:43.145 --> 00:57:49.728]  And please don't forget that we have supplements that have really had dramatic effects on me.
[00:57:49.948 --> 00:57:52.629]  Anybody can look at me and see that I'm still a little bit overweight, but
[00:57:53.832 --> 00:57:58.135]  I've lost a ton of weight, distributed it to muscle, have a lot more energy, a lot more stamina.
[00:57:59.396 --> 00:58:10.584]  It was explained to me by a lot of people like Dr. Group and also pharmacist Ben Fuchs that I would tan better, that everybody tans better and has healthier skin if you get proper iodine.
[00:58:11.845 --> 00:58:15.828]  I now go out in the sun a couple times and have an incredible Hollywood tan.
[00:58:16.775 --> 00:58:21.717]  I mean, it is just amazing that used to, I'm an outdoorsman, and I would just burn and get spots all over me.
[00:58:21.737 --> 00:58:22.877]  You know, freckles.
[00:58:23.257 --> 00:58:24.658]  Now I actually get a tan.
[00:58:26.019 --> 00:58:26.959]  I mean, it's ridiculous.
[00:58:28.119 --> 00:58:28.459]  I love it.
[00:58:29.040 --> 00:58:30.440]  And I'm telling you, it's the iodine.
[00:58:30.900 --> 00:58:31.741]  Infowarslife.com.
[00:58:31.901 --> 00:58:34.742]  You can also get the Super Male Vitality.
[00:58:36.109 --> 00:58:39.151]  You can also get so many of the other fine products.
[00:58:39.171 --> 00:58:41.912]  They're like the new Lung Shield, Lung Cleanse.
[00:58:42.032 --> 00:58:46.695]  Infowarslife.com or 888-253-3139.
[00:58:47.055 --> 00:58:47.515]  Stay with us.
[00:58:50.157 --> 00:58:50.897]  Next hour coming up.
[00:58:51.218 --> 00:58:54.479]  Thank you for listening to GCN.
[00:58:54.499 --> 00:58:55.600]  Visit GCNlive.com today.
[00:59:00.649 --> 00:59:07.814]  From the water table, to our soils, to the atmosphere itself, our world is becoming more and more toxic each and every day.
[00:59:07.914 --> 00:59:10.095]  But it's not just the air outside that's toxic.
[00:59:10.275 --> 00:59:15.478]  Indoor air has been shown to have two to five times higher concentrations of pollutants than even outdoor air.
[00:59:15.639 --> 00:59:20.742]  And most Americans spend 90% of their time inside using toxic chemicals within their homes.
[00:59:20.882 --> 00:59:23.984]  There are more than 42 million smokers in the United States.
[00:59:24.264 --> 00:59:28.187]  Well over a thousand types of mold and mildew linked to numerous conditions.
[00:59:28.387 --> 00:59:32.710]  And don't forget the fact that six million Americans live with pets they're allergic to as well.
[00:59:32.790 --> 00:59:42.937]  When I began to research these statistics it was clear to me it was time to start cleansing my lungs in order to combat the toxic environment that we cannot escape but that we can fight back against.
[00:59:43.137 --> 00:59:47.520]  Made with organic and wild cultivated herbs and manufactured in the USA.
[00:59:47.620 --> 00:59:54.064]  The new InfoWars Life Lung Cleanse is here in a convenient spray bottle that can be brought with you throughout any toxic environment.
[00:59:54.224 --> 01:00:00.491]  Now available exclusively at Infowarslife.com or by calling toll free 888-253-3139.
[01:00:03.674 --> 01:00:05.596]  Waging war on corruption.
[01:00:06.077 --> 01:00:08.879]  Alex Jones on the GCM radio network.
[01:00:15.444 --> 01:00:16.085]  Big Brother.
[01:00:16.745 --> 01:00:17.747]  Mainstream media.
[01:00:18.507 --> 01:00:19.609]  Government cover-ups.
[01:00:20.269 --> 01:00:21.070]  You want answers?
[01:00:21.851 --> 01:00:22.752]  Well, so does he.
[01:00:23.393 --> 01:00:27.017]  He's Alex Jones on the GCN Radio Network.
[01:00:27.597 --> 01:00:31.662]  And now, live from Austin, Texas, Alex Jones.
[01:00:49.677 --> 01:00:52.438]  Ladies and gentlemen, thank you so much for joining us.
[01:00:52.458 --> 01:00:58.019]  We're now into the second hour here today and I want to open the phones up again for first-time callers.
[01:00:58.039 --> 01:01:01.780]  We'll do that at the start of the next segment to talk about Obamacare.
[01:01:02.520 --> 01:01:07.501]  Is your small business getting an exemption from Obamacare when thousands of major corporations are?
[01:01:08.242 --> 01:01:12.423]  Do you like the fact that the Republican leadership led by John Boehner, Mr. Boehner,
[01:01:14.850 --> 01:01:16.511]  A boner by any other name is still a boner.
[01:01:16.531 --> 01:01:17.692]  I mean, I'm sorry, his name is Boner.
[01:01:17.892 --> 01:01:18.833]  Nothing against the name Boner.
[01:01:18.873 --> 01:01:19.814]  Be proud of his German name.
[01:01:20.174 --> 01:01:21.335]  The fact is, it's not Boehner.
[01:01:21.655 --> 01:01:23.056]  He made a big deal about making it Boner.
[01:01:23.796 --> 01:01:25.077]  From Boehner to Boner.
[01:01:25.378 --> 01:01:26.058]  Boner to Boehner.
[01:01:26.418 --> 01:01:27.539]  And I'm just done with him.
[01:01:27.859 --> 01:01:28.400]  I'm done with him.
[01:01:28.620 --> 01:01:34.224]  He's like, oh, we fixed it so small businesses could get a little bit bigger choice in the exchange program.
[01:01:34.384 --> 01:01:35.004]  No, no, no.
[01:01:36.616 --> 01:01:44.220]  And then when Drudge dared talk about it, Team Boehner to Drudge, we didn't expand Obamacare, we repealed a piece of it.
[01:01:44.701 --> 01:02:00.470]  Hours after the Drudge Report suggested on Sunday the Republicans expanded Obamacare and the headline from the site, lead story and alert from the office of House Speaker John Boehner, Republican of Ohio, countered that they had actually chipped away another piece of the law that you guys have not repealed yet.
[01:02:01.229 --> 01:02:02.551]  I know the House has voted to repeal it.
[01:02:02.791 --> 01:02:04.092]  Put the pressure on the Senate.
[01:02:04.733 --> 01:02:07.936]  Get those Democrats and Republicans out of the Senate who won't repeal it.
[01:02:08.217 --> 01:02:08.817]  Repeal it!
[01:02:09.378 --> 01:02:11.761]  It's unpopular, it's illegal, it's criminal.
[01:02:11.941 --> 01:02:12.461]  Repeal it!
[01:02:12.802 --> 01:02:17.968]  We do not want you to polish this globalist dropping.
[01:02:18.728 --> 01:02:19.109]  Period.
[01:02:20.640 --> 01:02:31.742]  The recent change eliminated a cap on deductibles for small group policies offered inside law's health care exchange as well as outside, the AP explained.
[01:02:32.242 --> 01:02:41.304]  Successfully repealing Obamacare provision is just one part of Republicans' larger effort to repeal the law and replace it with better solutions focusing on lowering health care costs for families and small businesses.
[01:02:41.665 --> 01:02:48.086]  The Republican leadership helped write this with Ezekiel Emanuel and the Democrats 15 years ago on record.
[01:02:48.843 --> 01:03:04.312]  Just like it was a bipartisan, Ken Lay, George W. Bush, Al Gore, corporate meetings screwjob with the big energy companies, and Schwarzenegger was in on those meetings as well, to create carbon taxes and carbon credits.
[01:03:05.093 --> 01:03:11.997]  That screwjob, they gave the political class, Republicans and Democrats, the Democrats are the main honchos,
[01:03:12.858 --> 01:03:25.249]  There's stock in the Chicago and London mercantiles where you will literally pay the pig class of degenerate, filthy, Republican and Democratic leaders your money when you do any human activity.
[01:03:25.549 --> 01:03:39.042]  From buying wood, to buying kerosene, to buying gasoline, to buying oil, to buying plastic, and tracking and surveilling everything in the name of saving the earth when these degenerate, mobster, scum-sucking, filthy maggot
[01:03:39.862 --> 01:03:42.564]  Just viperous scum!
[01:03:43.204 --> 01:03:49.868]  I mean, I don't have words to describe how larcenous and over-the-top it is, what criminal filth these people are.
[01:03:49.888 --> 01:03:51.089]  And you gotta hand it to them, though.
[01:03:51.329 --> 01:03:55.611]  These scams are galactic in size, and they're getting away with it!
[01:03:57.192 --> 01:03:58.453]  Because of the complexity.
[01:03:59.406 --> 01:04:08.049]  The average man watches SportsCenter all day and thinks they're so impressive and so cool that they know everything about their favorite sport or sports.
[01:04:08.549 --> 01:04:09.389]  About NHL.
[01:04:09.629 --> 01:04:10.389]  About NFL.
[01:04:10.709 --> 01:04:12.370]  About Major League Baseball.
[01:04:12.450 --> 01:04:13.370]  About basketball.
[01:04:13.650 --> 01:04:14.391]  About all of it.
[01:04:14.731 --> 01:04:15.351]  On and on and on.
[01:04:15.491 --> 01:04:15.991]  Everything.
[01:04:16.071 --> 01:04:18.132]  What the player's favorite colors are.
[01:04:18.372 --> 01:04:19.472]  What their favorite food is.
[01:04:19.692 --> 01:04:20.732]  Hey, moron!
[01:04:21.193 --> 01:04:26.114]  You're supposed to use that brain and all those factoids to figure out how the world works!
[01:04:26.574 --> 01:04:27.434]  To be successful!
[01:04:27.655 --> 01:04:28.555]  To not be a slave!
[01:04:29.491 --> 01:04:30.512]  It's not that you're stupid.
[01:04:30.792 --> 01:04:38.159]  It's that you were raised on your granddaddy's knee, who was probably a nice person, thinking Americana was taking you out to the ballpark.
[01:04:39.360 --> 01:04:39.721]  And you know what?
[01:04:39.741 --> 01:04:42.683]  As the world got more and more corrupt, I totally get going out to the ballpark.
[01:04:43.464 --> 01:04:45.226]  But the fact is, it's sick now.
[01:04:45.406 --> 01:04:46.127]  It's sick!
[01:04:47.588 --> 01:04:48.489]  It's disgusting!
[01:04:50.663 --> 01:04:54.005]  They want you playing games like children, and watching games even worse.
[01:04:54.585 --> 01:04:55.266]  Playing them's great.
[01:04:55.946 --> 01:05:09.014]  Instead of in the arena in a real eugenics, World War III, New World Order, sci-fi, Blade Runner, hardcore genetic engineering overwrite, science fiction extravaganza!
[01:05:10.794 --> 01:05:14.035]  Globalist social engineers are not just targeting us with propaganda.
[01:05:14.135 --> 01:05:16.376]  They are manipulating our genetics.
[01:05:16.556 --> 01:05:24.860]  We are being targeted at every level by estrogen mimickers that lower our testosterone and other hormones and natural compounds that the body needs.
