[00:00:00.229 --> 00:00:00.590]  Call 888-253-3139.
[00:41:54.995 --> 00:42:09.798]  So, as I document in the article, Trade War Gazprom Threatens to Disrupt Gas Supplies to Europe, which today they've come out and threatened that the political turmoil could cause gas supply shortages to Europe, which of course
[00:42:10.738 --> 00:42:20.730]  Means higher prices, as I warned last week when I said with the IMF taking over, you're going to see a Greece-style ratcheting up of austerity fascism.
[00:42:21.071 --> 00:42:24.995]  Now that's admitted that gas prices are going to go up for Ukrainian citizens.
[00:42:25.015 --> 00:42:27.979]  So, as you said, they're not going to benefit at all from this.
[00:42:30.942 --> 00:42:47.933]  Frontier of the energy aspect of this is looking like it could blow up into a trade war because Gazprom fears that NATO and the US through corporations like Chevron and Exxon could take over their monopoly in Europe over that natural gas.
[00:42:47.973 --> 00:42:50.195]  So that's a major aspect of it that's being ignored.
[00:42:50.515 --> 00:42:51.436]  Well, you know, exactly.
[00:42:51.476 --> 00:42:59.321]  You've got a possibility of a trade war erupting, and that would benefit some economic interests that are very well connected with the American government.
[00:42:59.341 --> 00:43:07.146]  You've also got the possibility of a new Cold War, which everybody is talking about right now, if we cement revolution right at the doorstep of Russia.
[00:43:07.827 --> 00:43:10.531]  Some people would say within Russia, depending on your perspective.
[00:43:11.132 --> 00:43:17.000]  If we foment that, that's going to lead to a new Cold War and of course that's going to benefit the military-industrial complex.
[00:43:17.020 --> 00:43:20.626]  They lost that huge profit center back in 1989 when no one could
[00:43:23.550 --> 00:43:29.574]  See, the Soviet Union or the Russian Federation, they couldn't see them as a credible threat to us anymore.
[00:43:29.594 --> 00:43:31.735]  They had to invent the threat of terrorism.
[00:43:32.496 --> 00:43:38.960]  And now, of course, they've got a whole new profit center, and that is the police state industrial complex that they're gearing up for here domestically.
[00:43:39.580 --> 00:43:49.145]  But they still want these foreign wars, and they would just dearly love to have another Cold War with Russia, because that would bring in a whole new spectrum of weapons that they could sell to the U.S.
[00:43:49.186 --> 00:43:49.526]  military.
[00:43:49.566 --> 00:43:58.691]  So from both a new Cold War as well as a new trade war, there's a lot of justification from their perspective, something that they would benefit from if the
[00:44:00.752 --> 00:44:10.309]  Corporations and the State Department get their way, but it's a very, very dangerous brinksmanship because this could very easily get out of their control and become a real war, couldn't it?
[00:44:11.815 --> 00:44:13.396]  Well, that's the fear, definitely.
[00:44:13.436 --> 00:44:22.040]  But I would argue that we've already been in a kind of proxy Cold War since the Obama administration announced that it would pivot towards Asia.
[00:44:22.401 --> 00:44:29.845]  And since that point, both China and Russia have been building up militarily on a massive scale, coming out with aggressive war rhetoric.
[00:44:29.885 --> 00:44:30.465]  And as you said,
[00:44:30.905 --> 00:44:37.351]  Because of the threat of terrorism is seemingly fading in their ability to sell it to the American people as a genuine threat.
[00:44:37.711 --> 00:44:52.465]  You will notice that in China when they had a knife attack over the weekend the state media downplayed it as opposed to the US media after every single terror attack they hype it beyond all reasonable expectation because they profit from it.
[00:44:52.885 --> 00:44:54.426]  Through the military-industrial complex.
[00:44:54.806 --> 00:45:06.734]  But I think we're already in that Cold War phase and that the US is now going to seek justification to build up their military-industrial complex once again, just as China and Russia have been doing.
[00:45:07.054 --> 00:45:12.438]  But another one of these revelations that you may find interesting, David, because I think you've talked about this in the past,
[00:45:13.138 --> 00:45:24.929]  Is that another one of the characters linked to funding these protest groups, these NGOs that started the Ukrainian revolution, is eBay founder Pierre Omidyar.
[00:45:25.149 --> 00:45:25.470]  Yes.
[00:45:25.530 --> 00:45:32.617]  Who basically covered the rest of the budget for this main umbrella protest group, Centre UA.
[00:45:33.297 --> 00:45:40.365]  So, 54% of it was paid for by the US State Department, the rest of it was paid for by this Pierre Omidyar.
[00:45:40.926 --> 00:45:49.336]  And he, of course, is also the billionaire owner of Glenn Greenwald and Jeremy Scahill's First Look media project.
[00:45:49.836 --> 00:45:53.018]  Which of course controls all the Edward Snowden files.
[00:45:53.198 --> 00:45:53.399]  Yes.
[00:45:53.899 --> 00:46:16.474]  So I actually asked Greenwald about this on the weekend because he got some flack for this and to some extent I feel sorry for Greenwald because he gets a lot of flack about why don't you release all the Snowden files at once which I think is a stupid move because that would ensure that it wouldn't stay in the media spotlight for an elongated amount of time which it is at the moment because they're doling them out.
[00:46:17.014 --> 00:46:19.016]  But I think this was a genuine criticism
[00:46:19.736 --> 00:46:35.991]  Because Greenwald wrote an article for his First Look website funded by this billionaire who is also funding the Ukrainian protesters and he basically admitted that he did no research whatsoever on the political background of Pierre Omidyar.
[00:46:36.391 --> 00:46:36.551]  Yeah.
[00:46:38.280 --> 00:46:50.316]  That seems very strange to me that you would have someone handing you 250 million dollars to start a media project and that you wouldn't even research their political background.
[00:46:50.897 --> 00:46:52.439]  Now, he denied that
[00:46:53.337 --> 00:46:57.960]  You know, it would interfere with his journalistic independence.
[00:46:58.000 --> 00:46:59.381]  He tweeted that back at me.
[00:47:00.001 --> 00:47:03.563]  But what if this individual was linked, for example, to neo-Nazis?
[00:47:03.623 --> 00:47:05.685]  I mean, that would impugn his work.
[00:47:05.725 --> 00:47:06.905]  That would smear his work.
[00:47:07.466 --> 00:47:10.147]  And it's very troubling to see this because, you know, we see that
[00:47:11.548 --> 00:47:17.950]  He's actually, Pierre Midiar, is actually one of the largest globalist bankers with his involvement with PayPal.
[00:47:18.030 --> 00:47:27.713]  I mean, he is one of the major up-and-coming power bases here, along with people like Jeff Bezos, who paid $250 million for the Washington Post.
[00:47:28.093 --> 00:47:28.353]  Why?
[00:47:28.873 --> 00:47:30.734]  Because he wants to be a player in Washington.
[00:47:30.754 --> 00:47:31.874]  That's why, obviously.
[00:47:32.234 --> 00:47:35.976]  If you own the Washington Post, you've got a lot of clout in Washington.
[00:47:36.016 --> 00:47:40.077]  And so, Pierre Midiar, I think kind of defensively, started up this
[00:47:40.797 --> 00:47:48.640]  Network that he put Glenn Greenwald and others in charge of and and said I'm gonna spend 250 million dollars You know, I'm tit-for-tat type of thing.
[00:47:48.680 --> 00:47:50.341]  I'm I'm not gonna be left out of this.
[00:47:50.621 --> 00:48:04.386]  There's a there's a competition between these Silicon Valley billionaires and they understand the political importance of controlling the media and that really is a bid that they're going for and we see not only in the Ukraine, but Pierre Midiar has got a
[00:48:05.046 --> 00:48:08.568]  A terrible track record with micro-financing in India.
[00:48:08.668 --> 00:48:10.410]  The terrible things that happened to people there.
[00:48:10.430 --> 00:48:12.231]  I would encourage people to look that up.
[00:48:12.271 --> 00:48:17.994]  Look up micro-financing in India and see what happened with the Omidyar network in that area.
[00:48:18.014 --> 00:48:19.455]  That's very, very disturbing.
[00:48:19.515 --> 00:48:26.720]  It doesn't portray a picture of an altruistic, philanthropic billionaire like they like to portray Pierre Omidyar.
[00:48:28.248 --> 00:48:39.713]  Well, that's right, David, and what confuses me is the fact that Greenwald said that he basically had no involvement in the political direction of this First Look media project, which controls all the Snowden files.
[00:48:40.013 --> 00:48:45.715]  But then Scahill admitted separately, quote, Pierre writes more on our internal messaging than anyone else.
[00:48:46.295 --> 00:48:51.317]  So he has a direct and consistent hand in the direction of that media organization.
[00:48:51.757 --> 00:48:57.580]  So while Scahill constantly talks about, you know, being an adversarial role against the state,
[00:48:58.240 --> 00:49:08.511]  They're being funded by somebody who works with the US government to fund these regime change operations around the world, so that was very disconcerting for me.
[00:49:08.991 --> 00:49:16.479]  I did invite Greenwald on the show, which I previously believed he'd been reluctant to appear on the Alex Jones Show in the past.
[00:49:16.900 --> 00:49:19.763]  He indicated that he would be willing to appear on the show.
[00:49:20.323 --> 00:49:22.704]  So we're trying to set that in motion.
[00:49:22.724 --> 00:49:25.485]  I said we'd get our guys to contact him.
[00:49:25.865 --> 00:49:29.346]  So the, you know, the floor is open for him to respond on that.
[00:49:29.786 --> 00:49:35.148]  And even aside from that, I said it would be a great idea because he could reach a whole new audience anyway.
[00:49:35.228 --> 00:49:37.069]  So hopefully that can happen.
[00:49:37.389 --> 00:49:44.094]  Well, it'd be very interesting to have him on because I know he was singled out and attacked by Palantir and others.
[00:49:44.154 --> 00:49:50.698]  There were WikiLeaks put out the documents where they were plotting to do dirty tricks against him to assassinate his character.
[00:49:51.519 --> 00:49:54.141]  And then we see that in response to that,
[00:49:55.181 --> 00:49:58.223]  They tried to shut down WikiLeaks and so forth.
[00:49:58.323 --> 00:49:59.324]  All that stuff was happening.
[00:49:59.344 --> 00:50:12.091]  He mentioned Peter Thiel and his involvement with PayPal, but he didn't talk about Pierre Omidyar's involvement with the PayPal 14, you know, as a protest against the actions of Bank of America and PayPal and others.
[00:50:12.131 --> 00:50:19.355]  You had a lot of independent activists known as the PayPal 14 who did what they consider to be just a digital sit-in.
[00:50:19.915 --> 00:50:22.957]  They didn't affect any of the transactions that were going on in PayPal.
[00:50:22.977 --> 00:50:28.840]  They just basically took over PayPal's homepage that talked about the institution, which people don't typically go to.
[00:50:29.240 --> 00:50:36.365]  And they saw that, and their lawyer saw that, as the equivalent of a digital protest of somebody going into someone's
[00:50:37.145 --> 00:50:37.425]  I don't know.
[00:50:59.464 --> 00:51:01.646]  With Wikileaks, with Julian Assange.
[00:51:01.906 --> 00:51:03.166]  It'll be interesting to see that happens.
[00:51:03.727 --> 00:51:04.968]  Hang on Paul, we're going to be right back.
[00:51:05.008 --> 00:51:06.969]  We're going to have Paul Joseph Watson in one more segment.
[00:51:06.989 --> 00:51:14.654]  And Paul, I want to talk to you about this article you had today in InfoWars about London Mayor calling for the state to take children based on political beliefs of the parents.
[00:51:15.529 --> 00:51:16.930]  My name is Jessica Armand.
[00:51:17.050 --> 00:51:19.733]  I'm an activist, a GCN listener, and mother of three.
[00:51:19.893 --> 00:51:24.577]  Our drinking water and food are filled with fluoride and other contaminants that harm our teeth and gums.
[00:51:24.737 --> 00:51:29.941]  To protect my family, I created My Magic Mud, an all-natural teeth whitening and strengthening remedy.
[00:51:30.081 --> 00:51:36.667]  My Magic Mud is a soft powder that polishes your teeth, reduces sensitivity, and removes harmful toxins from deep inside your mouth.
[00:51:36.787 --> 00:51:38.709]  You deserve a bright, healthy smile.
[00:51:38.769 --> 00:51:41.211]  Visit MyMagicMud.com and get yours today.
[00:51:41.331 --> 00:51:43.192]  That's MyMagicMud.com.
[00:51:44.500 --> 00:51:45.540]  Hi, this is Ted Anderson.
[00:51:45.620 --> 00:51:49.962]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold IRAs?
[00:51:50.122 --> 00:51:55.743]  They've been available since 1986, yet the financial industry won't recognize the value of gold for your retirement.
[00:51:55.843 --> 00:51:57.944]  Gold has outperformed paper investments yet.
[00:51:58.004 --> 00:51:59.184]  No word about IRAs.
[00:51:59.424 --> 00:52:01.965]  If you would like to have gold for your retirement, call 800-686-2237.
[00:52:02.085 --> 00:52:06.906]  Don't get left behind by rising inflation and low returns.
[00:52:07.046 --> 00:52:07.326]  Call 800-686-2237.
[00:52:07.346 --> 00:52:08.667]  Secure your future and call 1-800-686-2237.
[00:52:14.534 --> 00:52:14.934]  Hi there.
[00:52:15.535 --> 00:52:16.595]  My name is Frank Bates.
[00:52:17.076 --> 00:52:20.278]  What I'm about to tell you in the next 60 seconds could get me in a lot of trouble.
[00:52:20.878 --> 00:52:29.664]  I just created a free video presentation at 123coverup.com that exposes the electricity monopolies and government agencies for what they really are.
[00:52:30.044 --> 00:52:36.068]  Incompetent, lying crooks that are counting on your ignorance and fear to keep your power bills criminally high.
[00:52:36.749 --> 00:52:38.330]  Some have called this a conspiracy.
[00:52:38.930 --> 00:52:44.034]  Others have called it a cover-up and you will be shocked to find out how deep the conspiracy goes.
[00:52:44.734 --> 00:52:51.836]  My video at 123coverup.com exposes the truth and shows you the secret of how I beat them and how you can beat them too.
[00:52:52.676 --> 00:52:57.597]  Watch the controversial video that thousands of other smart patriots have already seen in the last three months.
[00:52:58.257 --> 00:53:04.138]  Go to 123coverup.com and discover one weird trick to slash your power bill and protect your home.
[00:53:04.758 --> 00:53:10.099]  Go watch my video now at 123coverup.com before they force me to shut it down.
[00:53:10.479 --> 00:53:11.740]  Again, that's 123coverup.com.
[00:53:13.460 --> 00:53:15.102]  Introducing Pro One.
[00:53:15.362 --> 00:53:18.866]  All of your filtration in one system, portable, on-the-go.
[00:53:19.007 --> 00:53:23.412]  No more do you have two or three filters to just reduce sodium fluoride.
[00:53:23.592 --> 00:53:27.056]  You have a system that cuts out the sodium fluoride and up to 95% of hydro
[00:53:28.217 --> 00:53:40.624]  Hydrofluorosilic acid advanced manufacturing technology combines silver impregnated white ceramic with new aqua medics advanced media for removal of fluoride and other heavy metals all in one filter element.
[00:53:40.644 --> 00:53:46.947]  It is the only one that does it and out of the gates we have a discounted at 10% off with promo code water.
[00:53:47.127 --> 00:53:52.590]  This is the only system that in one unit helps reduce or remove pesticides.
[00:53:52.870 --> 00:54:04.117]  Herbicides, chloramines, ammonia and chlorine, hydrofluorosilicic acid, the most common form of fluoride not covered by other fluoride filter brands, and sodium hexafluorosilicate.
[00:54:04.437 --> 00:54:09.760]  Get your Pro-Pure with the new Pro-1 filters today at Infowarsstore.com or by calling 888-253-3139.
[00:54:20.193 --> 00:54:41.379]  Yes, that's exactly what I've been talking to Paul Joseph Watson about.
[00:54:41.399 --> 00:54:46.260]  Fighting in the street with the children at our feet and it looks like the shotgun is going to sing the song in the Ukraine.
[00:54:46.980 --> 00:54:48.421]  Very sad for those people there.
[00:54:48.761 --> 00:54:49.181]  Looks like
[00:54:50.254 --> 00:54:58.924]  The new boss is going to be the same as the old boss, but it's also something that affects us because we've got a state department and an administration.
[00:54:59.024 --> 00:55:08.915]  I should call them a regime as a more accurate expression, but they are on the verge of creating a much larger war than just an internal conflict.
[00:55:09.275 --> 00:55:11.178]  This is very dangerous brinksmanship.
[00:55:11.738 --> 00:55:13.959]  We've been talking about that with Paul Joseph Watson.
[00:55:13.999 --> 00:55:15.120]  We still have him on the phone.
[00:55:15.160 --> 00:55:22.364]  But Paul, I would like to go over and I'd like to change subjects now and talk about this article that's up on InfoWars today.
[00:55:22.424 --> 00:55:27.347]  The London mayor calls for the state to take children based on the parents' political beliefs.
[00:55:27.387 --> 00:55:29.848]  Now, you and I spoke last week and we talked about how
[00:55:30.408 --> 00:55:40.752]  After a year, Scotland passed this bill that would assign a government minder to children at birth and they would have someone from the government assigned to each child through the age of 18.
[00:55:41.452 --> 00:55:45.234]  And what an outrageous thing that was, the presumption.
[00:55:45.874 --> 00:55:53.161]  That the state cared more about the children and knew better than the parents what that individual child needed.
[00:55:53.822 --> 00:56:05.993]  But you pointed out at the time that they had already done this, where they have gone after the political beliefs, taken a child away because of the parents' political beliefs, and it was something that was for the UK Independence Party, which is really a mainstream party.
[00:56:06.314 --> 00:56:08.516]  Now they're doubling down with these comments from the London Mayor.
[00:56:09.775 --> 00:56:10.315]  Well that's right.
[00:56:10.576 --> 00:56:24.226]  First, to finish off on the previous subject, the Russian Defence Ministry is now actually denying the reports which were put out by Sky News and others that there's this 3am deadline on Russian forces seizing Ukrainian military bases in Crimea.
[00:56:24.527 --> 00:56:29.350]  So if true, that's good news that they haven't imposed that deadline, but we'll get that article up.
[00:56:30.131 --> 00:56:39.180]  But the London Mayor, Boris Johnson, wrote in his weekly column that the law should obviously treat radicalisation as a form of child abuse.
[00:56:39.641 --> 00:56:47.669]  And he's talking about using social services to target parents with quote, extremist, radical political beliefs.
[00:56:48.616 --> 00:57:00.519]  And the example that he cited, of course, because it's the most justifiable, reasonable example, was extremist Muslims who might teach their children to become suicide bombers.
[00:57:00.539 --> 00:57:11.642]  But then if you read further down into the article, he also says that it could be applied under more vague circumstances, such as if the child is taught to be, quote, full of hate.
[00:57:12.402 --> 00:57:22.588]  And he actually linked that with the BNP, which is a right-wing British National Party that vehemently opposes immigration, is linked with neo-Nazis.
[00:57:23.008 --> 00:57:36.556]  But you can see the slippery slope, because as you mentioned, in 2012, up in Rotherham, the local government council there removed two children from the care of foster parents who had an exemplary record.
[00:57:37.640 --> 00:57:47.368]  Due to the fact that they were members of UKIP, which is the third largest political party in Britain, expected to win the European Parliamentary elections later this year.
[00:57:47.968 --> 00:57:55.254]  And the reason they gave for removing these kids from their care was the fact that they belonged to a, quote, racist party.
[00:57:55.714 --> 00:57:59.798]  And how they judged the fact that the party was racist was because its platform
[00:58:00.638 --> 00:58:04.521]  Opposes the quote active promotion of multiculturalism.
[00:58:05.041 --> 00:58:17.390]  So if you put if you oppose mass immigration and the imposition of multiculturalism, which even people like the German Chancellor Angela Merkel have denounced, that means you're a racist.
[00:58:17.690 --> 00:58:17.890]  Yeah.
[00:58:17.930 --> 00:58:22.854]  So you can see how easily this could be applied to seize children from parents with
[00:58:23.434 --> 00:58:42.495]  Extremist radical beliefs, of course, according to the government and the establishment, a radical belief is something that differs from the PC orthodoxy, which, as you've seen in America with the Department of Homeland Security characterising, quote, liberty lovers as extremists, you can see the slippery slope that this could well lead to.
[00:58:42.975 --> 00:58:52.898]  Yes, we've seen that here in America the Southern Poverty Law Pimps have labeled mainstream evangelical groups as hate groups because they stand for traditional marriage.
[00:58:52.918 --> 00:58:53.658]  We'll be right back.
[00:58:54.859 --> 00:58:58.240]  Thank you for listening to GCN.
[00:58:58.280 --> 00:59:00.280]  Visit GCNlive.com today.
[00:59:04.204 --> 00:59:13.229]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting 100% organic coffee on the planet.
[00:59:13.309 --> 00:59:21.534]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:59:21.714 --> 00:59:26.417]  We have now managed to secure the sought-after beans in a highly customized blend.
[00:59:26.597 --> 00:59:30.239]  Discover and try a bag of the Patriot Blend 100% Organic Coffee.
[00:59:31.440 --> 00:59:32.241]  We're good to go.
[00:59:47.560 --> 00:59:51.922]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[00:59:52.042 --> 00:59:55.304]  Available in original or with our immune support infusion blend.
[00:59:55.444 --> 01:00:01.567]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[01:00:01.727 --> 01:00:03.448]  Available at Infowarslife.com.
[01:00:07.189 --> 01:00:09.130]  Waging war on corruption.
[01:00:09.590 --> 01:00:12.372]  Alex Jones on the GCN Radio Network.
[01:00:19.181 --> 01:00:23.345]  Big Brother, Mainstream Media, Government Cover-Ups.
[01:00:24.025 --> 01:00:24.806]  You want answers?
[01:00:25.607 --> 01:00:26.527]  Well, so does he.
[01:00:27.148 --> 01:00:30.771]  He's Alex Jones on the GCN Radio Network.
[01:00:31.352 --> 01:00:35.395]  And now, live from Austin, Texas, Alex Jones.
[01:00:40.629 --> 01:00:41.970]  Welcome back to the Alex Jones Show.
[01:00:42.030 --> 01:00:48.897]  I'm David Knight filling in for Alex and I have on the phone with us on this Monday, March 3rd, 2014, we've got Paul Joseph Watson.
[01:00:49.317 --> 01:00:54.622]  We've been talking about the Ukraine and just before the break we were talking about what's going on in the UK.
[01:00:54.682 --> 01:01:00.087]  We have the Mayor of London now saying that he's going to perhaps look at the
[01:01:00.988 --> 01:01:04.289]  Religious beliefs of people that he labels as radical.
[01:01:05.389 --> 01:01:07.610]  And maybe the government ought to take those children from them.
[01:01:07.650 --> 01:01:11.111]  And of course, this is all relative term here, isn't it, Paul?
[01:01:11.151 --> 01:01:20.894]  When they start talking about people being racist, we're reminded that they've also talked about people being racist if they oppose even any kind of immigration.
[01:01:20.934 --> 01:01:25.656]  But we also see that when they start talking about hate, we've seen that applied to mainstream evangelical groups.
[01:01:25.716 --> 01:01:29.157]  As I mentioned just before the break, we had the Southern Poverty Law Center
[01:01:29.737 --> 01:01:54.074]  I'd like to call them the Southern Poverty Law Pimps because they always are pimping this narrative and we see that the US military in many scenarios is repeating what they say and linking mainstream evangelical Christian organizations like the Family Research Council, linking them with the Ku Klux Klan and other groups that have been identified as racist hate groups just so that people start to think of Christianity that way.
[01:01:54.094 --> 01:01:57.437]  It's a very troubling thing and now we see the Mayor of London calling
[01:01:58.177 --> 01:02:05.840]  Coming out for that as at the same time that we see the government is assigning a minder to children in Scotland from birth until the age of 18.
[01:02:06.340 --> 01:02:09.802]  So anything else you want to do to address about that, Paul?
[01:02:10.902 --> 01:02:27.740]  Yeah, I mean the SPLC and the ADL, there was actually a gunman who attacked a Family Research Council facility and tried to massacre a bunch of people because he believed the SPLC propaganda about them being evangelical extremists.
[01:02:28.440 --> 01:02:35.408]  They talk about violence and use it to demonize conservative groups when the gunman was violent or attempted to be violent.
[01:02:35.448 --> 01:02:39.613]  He was neutralized by a security guard based on their propaganda.
[01:02:39.633 --> 01:02:41.596]  So they were the ones instigating the violence.
[01:02:42.216 --> 01:02:44.098]  But yeah, it's part of the state.
[01:02:44.899 --> 01:02:48.322]  Uh, getting its tentacles into every aspect of people's lives.
[01:02:48.422 --> 01:03:01.432]  I did an article a couple of years ago about a case in America where a father of two was harassed by CPS workers because he refused to make his children drink tap water and he fed them organic food.
[01:03:01.972 --> 01:03:10.879]  So that was reason enough for the CPS to conduct an investigation, a warrantless search of his home and the contents of his refrigerator.
[01:03:11.419 --> 01:03:15.222]  So you can see how easily this can slide into absolute tyranny.
[01:03:15.603 --> 01:03:18.885]  And it's, yeah, the Scottish law has been passed.
[01:03:19.085 --> 01:03:29.754]  Children up to the age of 18 have a guardian state minder interfering in family lives, trying to find any reason to prosecute child abuse, which of course will reduce
[01:03:30.354 --> 01:03:39.085]  The possibility of finding actual child abuse because now it's such a target-rich environment because every parent is treated as a potential child abuser.
[01:03:39.406 --> 01:03:48.797]  That's right, and I guess if you, you're okay if you give your children bread that's made with a chemical they use to make rubber mats, but if you're really concerned about their food... That's extremist!
[01:03:50.018 --> 01:03:54.359]  If you're concerned about their food, then basically you're paranoid and you're dangerous.
[01:03:54.419 --> 01:04:00.761]  Maybe you're a conspiracy theorist if you're concerned about genetic modification, transgenetic modification of our food.
[01:04:00.781 --> 01:04:05.182]  They can use that for anything, and that's the really troubling thing.
[01:04:05.442 --> 01:04:08.603]  We see that happening within the schools, we see it happening over and over again.
[01:04:09.003 --> 01:04:12.584]  The government really wants control of everything.
[01:04:13.024 --> 01:04:19.027]  We see that happening with the FDA, and we're going to be talking to Anthony Gucciardi about the overreach of the FDA.
[01:04:19.067 --> 01:04:20.988]  We've seen it happening with the FCC.
[01:04:21.028 --> 01:04:24.270]  They're now trying to extend their tentacles into the internet.
[01:04:24.290 --> 01:04:33.995]  You know, this is an organization that was started initially just to allocate bandwidth between different radio stations, and now they're trying to move themselves into content.
[01:04:34.335 --> 01:04:39.417]  So there's this kind of creeping intrusion from all these different bureaucracies.
[01:04:39.658 --> 01:04:42.279]  They never seem to get enough control of our lives.
[01:04:43.447 --> 01:04:47.550]  Well, yeah, and they sell it all on, you know, cracking down on extremism and radicalism.
[01:04:47.810 --> 01:05:00.861]  Then you actually look at what the government defines as extremism and radicalism, and it's basically protest any political viewpoint that's not the orthodoxy, feeding your kids organic food, being a member of UKIP.
[01:05:01.061 --> 01:05:02.102]  It's basically anything.
[01:05:02.122 --> 01:05:03.303]  Thank you, Paul.
[01:05:03.423 --> 01:05:04.303]  We're going to be right back.
[01:05:04.323 --> 01:05:05.484]  We're going to have some more news.
[01:05:05.544 --> 01:05:07.286]  That was Paul Joseph Watson from the UK.
[01:05:07.306 --> 01:05:08.006]  Stay tuned.
[01:05:08.086 --> 01:05:11.349]  We've got Kathleen Willey as well as Anthony Gucciardi coming up.
[01:05:11.929 --> 01:05:12.330]  Stay tuned.
[01:05:14.321 --> 01:05:15.181]  The facts are in.
[01:05:15.341 --> 01:05:16.482]  The studies are legion.
[01:05:16.742 --> 01:05:24.124]  Sodium fluoride and other toxic members of the fluoride family are devastating the health and cognitive ability of the American people.
[01:05:24.264 --> 01:05:27.725]  So why are the social engineers adding it to the water?
[01:05:28.085 --> 01:05:28.485]  Simple.
[01:05:28.665 --> 01:05:33.026]  Dumb down the host population that the parasitic technocracy is feeding on.
[01:05:33.386 --> 01:05:38.851]  We may not have been able to get fluoride out of the water supply yet, but we can help to get it out of our bodies.
[01:05:39.092 --> 01:05:55.147]  I am extremely excited to announce the exclusive InfoWars Life Fluoride Shield Formulation, fusing six of the best documented ingredients from around the world to help the body remove not just toxic fluoride residues from the body, but a whole host of toxic substances.
[01:05:55.427 --> 01:05:57.289]  Let's take a stand against the globalists.
[01:05:57.389 --> 01:05:59.671]  By blocking their poisons with fluoride shield.
[01:05:59.991 --> 01:06:01.852]  I use fluoride shield every day.
[01:06:02.152 --> 01:06:07.456]  Secure your fluoride shield and other pioneering formulations at InfoWarsLife.com today.
[01:06:07.716 --> 01:06:11.959]  Let's start cleansing our bodies now and support the Info War at the same time.
[01:06:12.119 --> 01:06:13.980]  That's InfoWarsLife.com.
[01:06:14.240 --> 01:06:18.823]  Why does the United States spend the largest percentage of GDP in the world on healthcare?
[01:06:18.963 --> 01:06:21.305]  Why do we have the highest cancer rates on
[01:06:21.325 --> 01:06:22.105]  We're good to go.
[01:06:42.632 --> 01:06:48.558]  We can turn the tide against the eugenicist by giving ourselves the nutrients our body desperately needs.
[01:06:48.878 --> 01:06:51.601]  To learn more, visit InfoWarsHealth.com.
[01:06:51.841 --> 01:06:58.747]  The site is literally packed with audio and video featuring top health professionals who don't bow down to Big Pharma.
[01:06:58.908 --> 01:07:04.673]  The fight against the New World Order starts with you, and you can't stand against the machine of your sick, tired, and obese.
[01:07:04.953 --> 01:07:10.877]  When you visit Infowarshealth.com, be sure and check out the catalog with nearly 400 life-changing products.
[01:07:11.118 --> 01:07:13.659]  And get free shipping when you sign up for AutoShip.
[01:07:14.100 --> 01:07:15.741]  Introducing ProWine.
[01:07:16.001 --> 01:07:19.504]  All of your filtration in one system, portable, on the go.
[01:07:19.644 --> 01:07:24.027]  No more do you have two or three filters to just reduce sodium fluoride.
[01:07:24.187 --> 01:07:30.151]  You have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosilic acid.
[01:07:30.271 --> 01:07:41.257]  Advanced manufacturing technology combines silver impregnated white ceramic with new Aquamedics advanced media for removal of fluoride and other heavy metals all in one filter element.
[01:07:41.277 --> 01:07:43.959]  It is the only one that does it and out of the gates.
[01:07:44.139 --> 01:07:47.581]  We have it discounted at 10% off with promo code water.
[01:07:47.761 --> 01:07:53.224]  This is the only system that in one unit helps reduce or remove pesticides.
[01:07:53.484 --> 01:08:04.751]  Herbicides, chloramines, ammonia and chlorine, hydrofluorosilicic acid, the most common form of fluoride not covered by other fluoride filter brands, and sodium hexafluorosilicate.
[01:08:05.071 --> 01:08:10.374]  Get your Pro-Pure with a new Pro-1 filter today at Infowarsstore.com or by calling 888-253-3139.
[01:08:19.161 --> 01:08:23.346]  Big Brother, Mainstream Media, Government Cover-Ups.
[01:08:24.006 --> 01:08:24.807]  You want answers?
[01:08:25.588 --> 01:08:26.489]  Well, so does he.
[01:08:27.130 --> 01:08:30.774]  He's Alex Jones on the GCN Radio Network.
[01:08:31.314 --> 01:08:35.379]  And now, live from Austin, Texas, Alex Jones.
[01:08:38.124 --> 01:08:39.525]  Welcome back to the Alex Jones Show.
[01:08:39.565 --> 01:08:42.327]  I'm David Knight, filling in for Alex on this Monday, March 3rd, 2014.
[01:08:42.447 --> 01:08:54.537]  We were just talking to Paul Joseph Watson from the UK about the Ukraine, as well as moves within the UK, within Scotland and other places to assert
[01:08:55.157 --> 01:08:58.558]  The government's control over children and take that away from parents.
[01:08:58.618 --> 01:08:59.698]  Very disturbing news there.
[01:08:59.758 --> 01:09:06.939]  But we did hear that Russia has backed down from its self-imposed deadline in the Crimea.
[01:09:07.039 --> 01:09:18.622]  Hopefully things will start to de-escalate in spite of the fact that the Obama administration and John Kerry's State Department have been doing everything they can to inflame these tensions here.
[01:09:18.662 --> 01:09:24.403]  We hope that is going to tone down and not evolve into a larger war with NATO and Europe.
