[00:00:19.497 --> 00:00:21.020]  Welcome to NAMFA Wars Nightly News.
[00:26:13.041 --> 00:26:16.864]  Ice flows looking like they're forewarned, like their habitat is melting.
[00:26:16.944 --> 00:26:19.346]  No, they range over several hundred miles a day.
[00:26:19.386 --> 00:26:27.753]  So this polar bear was swimming 12 hours a day, and they said that that is .00009% of his usual habitat.
[00:26:28.194 --> 00:26:35.260]  But of course, instead of giving him a larger habitat, which they couldn't do, they put him on Prozac to try to control his behavior.
[00:26:35.640 --> 00:26:43.127]  Now, some of the zookeepers who were using psychopharmaceuticals on these animals were curious if other zoos were doing the same thing.
[00:26:43.467 --> 00:26:46.190]  Half of the 31 institutions throughout the U.S.
[00:26:46.330 --> 00:26:52.356]  and Canada that responded to their survey had used psychopharmaceuticals on their gorillas.
[00:26:52.696 --> 00:26:54.438]  But here's the interesting thing about it.
[00:26:55.455 --> 00:26:58.377]  They said, no one is going to admit it.
[00:26:59.178 --> 00:27:08.164]  Why are they ashamed of the fact that they're using psycho-pharmaceuticals on animals in the zoo, and they're not ashamed of using it on humans?
[00:27:08.285 --> 00:27:10.326]  And of course, that's the real question.
[00:27:10.766 --> 00:27:17.491]  The new reboot of the Planet of the Apes series has big pharma experiments going out of control with devastating consequences for humans.
[00:27:17.531 --> 00:27:24.537]  But the reality is that big pharma has been out of control for a long time, and with devastating consequences.
[00:27:25.117 --> 00:27:34.301]  These drugs are now being prescribed even for animals in the zoo are being used so prolifically on humans that they're showing up in our water supply as well.
[00:27:34.921 --> 00:27:42.164]  And of course, one of those consequences for society is the connection between psychopharmaceuticals and mass shootings.
[00:27:42.924 --> 00:27:48.866]  If the primates in the zoo are on Prozac, Zoloft, etc., just make sure you don't give them the guns.
[00:27:49.547 --> 00:27:52.408]  We know what those drugs motivate people to do.
[00:28:00.572 --> 00:28:01.833]  Well, that's it for tonight's news.
[00:28:02.054 --> 00:28:05.597]  If you're not a Prison Planet TV subscriber, please consider becoming one.
[00:28:06.178 --> 00:28:11.824]  It not only helps to support our operation, but you can share it with up to 11 other people simultaneously.
[00:28:12.244 --> 00:28:14.887]  And this is a very critical time.
[00:28:15.307 --> 00:28:17.630]  A time of many manufactured crises.
[00:28:17.690 --> 00:28:22.354]  We have wars that are breaking out in the Middle East as well as in the Ukraine.
[00:28:22.955 --> 00:28:23.817]  So stay with us.
[00:28:23.858 --> 00:28:27.166]  We're going to be following that as well as the border collapse.
[00:28:27.286 --> 00:28:29.953]  We'll be back tomorrow at 7 central, 8 p.m.
[00:28:30.074 --> 00:28:31.016]  Eastern with updates.
[00:28:36.781 --> 00:28:43.687]  Celebrate the spirit of freedom and liberty upon which our nation was founded at Infowarsshop.com.
[00:28:43.747 --> 00:28:47.550]  Molonlave is ancient Greek for come and take it.
[00:28:47.590 --> 00:28:55.036]  This popular design combines both classic Greek Spartan imagery with modern M16 assault rifles.
[00:28:55.276 --> 00:28:59.219]  Now available in women's tees and proudly made in the USA.
[00:28:59.579 --> 00:29:02.582]  And now you can protect yourself from corrupt cops
[00:29:02.782 --> 00:29:04.784]  With the Infowars Dash Cam.
[00:29:05.024 --> 00:29:09.928]  It's your car's black box that records all that the driver sees and hears.
[00:29:10.428 --> 00:29:12.470]  And introducing the Block-It Pocket.
[00:29:12.770 --> 00:29:18.695]  It renders your phone undetectable while protecting your private data and your health.
[00:29:19.115 --> 00:29:26.361]  Or take back your privacy and protect your personal information by getting your very own detractor cell phone pouch.
[00:29:26.821 --> 00:29:34.723]  So get incredibly high-quality, freedom-based products and help fund the revolution at InfoWarsShop.com.
[00:29:38.585 --> 00:29:42.546]  You are watching the InfoWars Nightly News, which airs 7 p.m.
[00:29:42.566 --> 00:29:45.067]  Central at InfoWarsNews.com.
[00:29:45.267 --> 00:29:52.129]  Members can share their passcodes with up to 11 other people, and your support is helping us defend liberty worldwide.
[00:29:58.077 --> 00:30:08.306]  How are you doing, sir?
[00:30:08.486 --> 00:30:08.826]  Yes, sir.
[00:30:09.007 --> 00:30:10.988]  Is there a public affairs officer we can speak to, sir?
[00:30:11.128 --> 00:30:12.489]  At this point, not right now.
[00:30:12.610 --> 00:30:12.970]  I don't know.
[00:30:12.990 --> 00:30:13.891]  Just let me check for you, okay?
[00:30:14.091 --> 00:30:14.311]  Okay.
[00:30:21.914 --> 00:30:26.696]  So why do you, why is there, okay, why do they have police officers here guarding the church?
[00:30:26.876 --> 00:30:30.298]  So what are you doing here if you don't know what you're doing?
[00:30:30.318 --> 00:30:30.658]  Why not?
[00:30:30.738 --> 00:30:33.179]  So you're going to keep us from... Okay.
[00:30:33.199 --> 00:30:34.759]  There you have it.
[00:30:44.244 --> 00:30:48.891]  The government, once again, is keeping the people from finding out what's going on.
[00:30:49.132 --> 00:30:51.055]  You would think they don't have security.
[00:30:51.075 --> 00:30:57.325]  They actually have a police officer here guarding the entrance to the VCFS compound.
[00:30:59.482 --> 00:31:03.404]  We are being denied entrance into this facility right now.
[00:31:03.924 --> 00:31:19.493]  The Baptist Church Family Services, a government subcontractor which manages illegal immigrant shelters across the U.S., has placed a local police commander, not a security guard, outside the entrance of its regional headquarters in Harlingen, Texas.
[00:31:20.393 --> 00:31:35.133]  InfoWars attempted to visit the BCFS headquarters in Harlingen this afternoon to talk to their public information officer about its recent plan to buy the Palomar Hotel and Suites in Wislako, Texas, which was going to be used to house illegal aliens.
[00:31:35.974 --> 00:31:49.705]  No doubt this show of force is in response to the severe backlash BCFS received after the alternative media broke the news about the proposed hotel purchase which the company now claims it is no longer pursuing.
[00:31:50.245 --> 00:31:57.971]  The BCFS, which also manages the shelter housing 2,000 illegal immigrant youth on Lackland Air Force Base in San Antonio, Texas,
[00:31:58.391 --> 00:31:59.172]  We're good to go.
[00:32:16.693 --> 00:32:23.895]  There's no doubt that this pampering of illegal aliens will only encourage more to risk their lives traveling thousands of miles of the U.S.
[00:32:24.395 --> 00:32:34.398]  And many will die on the journey after succumbing to dehydration, rattlesnake bites, beatings by violent gangs, and gruesome injuries after falling off of Mexican death trains.
[00:32:34.898 --> 00:32:45.481]  After being denied access by the commander, we drove down the road and saw an access road to our left, but there was no people outside walking around until we decided to get out and take a closer look.
[00:32:46.101 --> 00:32:50.844]  That's when cameraman John Bowne got out of the vehicle and walked over to the premises.
[00:32:51.484 --> 00:33:03.052]  He was immediately met by a large man in a red shirt and behind him another six gentlemen in black shirts as well that started surrounding him and calling police authorities.
[00:33:03.592 --> 00:33:05.013]  We quickly left the premises.
[00:33:13.633 --> 00:33:14.313]  You need me to leave?
[00:33:14.333 --> 00:33:15.093]  I do.
[00:33:15.493 --> 00:33:16.014]  Oh, I'm sorry.
[00:33:16.654 --> 00:33:17.554]  I do, you can't, you can't.
[00:33:17.674 --> 00:33:18.574]  Oh, I'm sorry.
[00:33:19.074 --> 00:33:20.355]  Yeah, I didn't realize that.
[00:33:21.035 --> 00:33:21.255]  Okay.
[00:33:22.075 --> 00:33:29.037]  Once again, the government doesn't want the people to know what's going on, what they're hiding, why they're smuggling humans into our country illegally.
[00:33:29.517 --> 00:33:31.577]  Our country is falling apart day by day.
[00:33:32.257 --> 00:33:34.338]  I'm Joe Biggs with InfoWars.com.
[00:33:44.835 --> 00:33:53.845]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting, 100% organic coffee on the planet.
[00:33:53.925 --> 00:34:02.154]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:34:02.334 --> 00:34:06.999]  We have now managed to secure the sought-after beans in a highly customized blend.
[00:34:07.199 --> 00:34:13.902]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[00:34:13.982 --> 00:34:21.064]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[00:34:21.144 --> 00:34:28.027]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[00:34:28.167 --> 00:34:32.529]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[00:34:32.649 --> 00:34:35.870]  Available in original or with our immune support infusion blend.
[00:34:36.050 --> 00:34:42.193]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[00:34:42.333 --> 00:34:44.033]  Available at Infowarslife.com.
