[00:00:00.287 --> 00:00:01.129]  Let's do this!
[00:39:35.769 --> 00:39:46.053]  Now, doing the best I can here, I'm going to get into this other news, just mention it, and then go to your phone calls.
[00:39:46.053 --> 00:39:46.093]  800-259-9231.
[00:39:50.690 --> 00:40:00.757]  Now, continuing here, I decided, right as I went on today, to do a end-of-summer, back-to-brainwashing special.
[00:40:00.757 --> 00:40:16.588]  Because it is time to go back to the government training centers, time to go back to the government-run, state-run churches, time to tune back into the state-run media, time to have all the traffic intensify, time to have all the crime build back up and the rest of it.
[00:40:16.588 --> 00:40:19.050]  Everything that comes with the back-to-school time
[00:40:20.300 --> 00:40:28.806]  And all the vaccines and all the lies about how it's the law to take vaccines to go to school and how we'll all die from pandemics.
[00:40:28.806 --> 00:40:42.536]  If we don't take the vaccines, it's time to have another winter with all the flesh-eating bacteria and MRSA and all the drug-resistant bacterias killing people and time for the flu to come back and time for the big dark winter and the rest of it.
[00:40:42.536 --> 00:40:45.678]  So, I thought we would celebrate this great tragedy
[00:40:47.045 --> 00:40:54.346]  With 10% off everything at InfoWarsStore.com, or when you call the toll-free number.
[00:40:54.346 --> 00:40:59.667]  It could be a book, it could be a film, it could be stacks of InfoWars magazine at cost.
[00:40:59.667 --> 00:41:06.748]  It could be the designer Molon Labe belt buckles that are almost sold out.
[00:41:06.748 --> 00:41:09.449]  We made a thousand of these.
[00:41:09.449 --> 00:41:13.810]  They're numbered in the nickel ones, and then there's the bronze.
[00:41:13.810 --> 00:41:15.430]  Molon Labe, come and take your belt buckles.
[00:41:16.260 --> 00:41:18.582]  And we got 500 of each.
[00:41:18.582 --> 00:41:23.548]  We actually made 500 of the nickel and only 250 that haven't numbered up in the bronze.
[00:41:23.548 --> 00:41:25.670]  So the bronze has sold out.
[00:41:25.670 --> 00:41:27.572]  250 more coming, that'll sell out.
[00:41:27.572 --> 00:41:29.294]  The nickel, I think there's like 10 of them left.
[00:41:31.331 --> 00:41:32.772]  And when it's gone, it's gone.
[00:41:32.772 --> 00:41:33.893]  They're numbered on the back.
[00:41:33.893 --> 00:41:36.456]  The others are getting smelted right now.
[00:41:36.456 --> 00:41:38.077]  So again, we have those limited edition.
[00:41:38.077 --> 00:41:39.839]  That's 10% off those.
[00:41:39.839 --> 00:41:44.042]  Normally, a designer belt buckle made in the USA like this would cost $100.
[00:41:44.042 --> 00:41:46.304]  They're $45 normally.
[00:41:46.304 --> 00:41:48.266]  10% off, it's even less.
[00:41:48.266 --> 00:41:50.908]  10% off at InfoWarsStore.com.
[00:41:50.908 --> 00:41:54.512]  That's 10% off the entire InfoWars Life line of products.
[00:41:54.952 --> 00:42:00.516]  That's even the survival shield and fluoride shield already discounted 30 plus percent.
[00:42:00.516 --> 00:42:05.279]  That's an additional 10% off already on everything that's for sale.
[00:42:05.279 --> 00:42:08.821]  We're not allowed to go more than 10% off on ProPure, the water filters.
[00:42:08.821 --> 00:42:10.562]  We already have the lowest price anywhere.
[00:42:10.562 --> 00:42:12.944]  So that's normally 10% anyways.
[00:42:12.944 --> 00:42:14.185]  So just 10%.
[00:42:14.185 --> 00:42:16.086]  Now, what is the code?
[00:42:16.086 --> 00:42:17.186]  Put 10 in at checkout.
[00:42:19.721 --> 00:42:19.781]  Yes.
[00:42:34.821 --> 00:42:39.003]  Just everything that is on InfoWarsStore.com.
[00:42:39.003 --> 00:42:45.106]  InfoWarsLife.com is just a subdirectory of InfoWarsStore.com.
[00:42:45.106 --> 00:42:50.949]  So everything is there, 10% off the already discounted Made in America apparel at MadeIn1776.com.
[00:42:54.147 --> 00:42:58.870]  Chuck Baldwin's Romans 13 book, The True Meaning of Submission, second edition.
[00:42:58.870 --> 00:43:00.572]  He's coming on in the next hour.
[00:43:00.572 --> 00:43:04.074]  That is discounted 10% off the already lowest price.
[00:43:04.074 --> 00:43:04.955]  Everything.
[00:43:04.955 --> 00:43:06.156]  And we're going to run this special...
[00:43:07.429 --> 00:43:09.871]  Until next Monday, and that's it.
[00:43:09.871 --> 00:43:13.235]  Promo code 1-0.
[00:43:13.235 --> 00:43:15.137]  As in Marilyn Monroe in her prime.
[00:43:15.137 --> 00:43:16.017]  1-0.
[00:43:16.017 --> 00:43:20.302]  1-0, ladies and gentlemen.
[00:43:20.302 --> 00:43:29.490]  And you get 10% off across the board, and that also gets you a deal, high-quality products, and funding, the very tip of the spear in information warfare.
[00:43:30.231 --> 00:43:38.718]  And I also know it's expensive sending people back to the trauma-based mind control, trendy training, political correctness, brainwashing facilities.
[00:43:38.718 --> 00:43:41.620]  So again, we want to just give everybody 10% off.
[00:43:41.620 --> 00:43:44.263]  Promo code 1-0.
[00:43:44.263 --> 00:43:46.625]  And I'll also send a mass email out today.
[00:43:46.625 --> 00:43:50.147]  Everybody that signed up at InfoWars.com forward slash newsletter.
[00:43:51.324 --> 00:43:56.045]  with the word on that 10% off running it until next week.
[00:43:56.045 --> 00:44:07.849]  So, Infowarsstore.com, Infowarslife.com or you can simply call toll free 888-253-3139.
[00:44:07.849 --> 00:44:09.389]  And that's all she wrote.
[00:44:09.389 --> 00:44:10.449]  I will quit plugging that.
[00:44:10.449 --> 00:44:13.110]  I want to thank you all for your support.
[00:44:13.110 --> 00:44:20.272]  Please be sure and support our local AM and FM affiliates as well by supporting their local sponsors or becoming sponsors.
[00:44:23.322 --> 00:44:24.242]  Here's another headline.
[00:44:24.242 --> 00:44:26.863]  Crucified by the Caliphate monsters.
[00:44:26.863 --> 00:44:30.644]  Remember Glenn Beck used to warn folks about the Caliphate and MSNBC made fun of him?
[00:44:30.644 --> 00:44:33.044]  We would warn folks about the West funding it as well.
[00:44:33.044 --> 00:44:34.125]  We would get made fun of.
[00:44:34.125 --> 00:44:34.585]  Oh!
[00:44:34.585 --> 00:44:37.145]  Calls itself the Caliphate.
[00:44:37.145 --> 00:44:42.847]  Iraq descends into apocalypse as Islamic State fanatics seize towns and tell terrified
[00:44:44.264 --> 00:44:48.787]  Minority Muslims, by noon today, we will kill all of you.
[00:44:48.787 --> 00:44:50.809]  What nice people.
[00:44:50.809 --> 00:45:03.798]  And then Obama composes the Savior after being right in the middle of the West, creating and funding these people, creating this nuclear conglomerate, and then he can now grandstand and do... I saw the footage.
[00:45:03.798 --> 00:45:07.601]  They didn't show crisp, up-close, infrared
[00:45:09.144 --> 00:45:09.644]  Gun footage.
[00:45:09.644 --> 00:45:14.826]  They showed blown out where you couldn't tell what was happening and it didn't even look like artillery they were bombing.
[00:45:14.826 --> 00:45:22.488]  I mean, there's thousands of pieces of artillery they've captured from those Iraqi bases and they show two pieces of artillery being blown up.
[00:45:22.488 --> 00:45:25.148]  Or they show a couple trucks being blown up.
[00:45:25.148 --> 00:45:28.149]  I mean, I don't even think they're bombing any of these guys.
[00:45:28.149 --> 00:45:35.271]  They're letting them get strong, take over Iraq, a third of Iraq, build up their command base and go smashing back into Assad
[00:45:36.738 --> 00:45:40.399]  And then Hillary says, oh yes, we've got to bomb Assad to stop them.
[00:45:40.399 --> 00:45:42.280]  That's how dumb they think we are.
[00:45:42.280 --> 00:45:45.421]  I mean, it is just total twilight zone.
[00:45:45.421 --> 00:45:46.462]  So I'm done talking about that.
[00:45:46.462 --> 00:45:50.583]  I want to go to your phone calls.
[00:45:50.583 --> 00:45:52.384]  But first, this story is so huge.
[00:45:52.384 --> 00:45:55.125]  I'm going to talk about this with Chuck Baldwin.
[00:45:55.125 --> 00:46:01.307]  Remember six years ago, we got the secret documents from state police officer in Missouri.
[00:46:03.809 --> 00:46:11.914]  And then we were able to get another document a week later from a federal marshal.
[00:46:11.914 --> 00:46:19.639]  And to show how bad the surveillance is in this country, they found out who the state police guy was, and he got in trouble.
[00:46:19.639 --> 00:46:21.700]  It later blew over.
[00:46:21.700 --> 00:46:25.483]  And he since got promoted, so that's a message about doing the right thing.
[00:46:25.483 --> 00:46:28.685]  He got in trouble at first, but admired by people later.
[00:46:30.218 --> 00:46:33.159]  In my experience, I didn't do all this because I knew I'd win.
[00:46:33.159 --> 00:46:35.220]  I did it because my instinct was fight tyranny.
[00:46:35.220 --> 00:46:42.343]  But I always get heat when I do the right thing from the world, from the media, from the system at first.
[00:46:42.343 --> 00:46:50.747]  But as soon as you go through that fire, when you do it for the right reasons, you generally get rewarded on the other side, folks.
[00:46:50.747 --> 00:46:55.309]  When you give in to evil, you end up getting rewarded up front, but hurt later.
[00:46:57.637 --> 00:46:58.718]  Isn't that what the Bible says?
[00:46:58.718 --> 00:47:01.840]  Do evil, you get rewarded up front, get hurt later.
[00:47:01.840 --> 00:47:06.264]  Do the right thing, get hurt up front, get rewarded later.
[00:47:06.264 --> 00:47:09.667]  That's just weird logic, but that's how it works.
[00:47:09.667 --> 00:47:13.450]  But the reason I mention that is it shows the surveillance, folks.
[00:47:13.450 --> 00:47:20.696]  They went and found out where he had faxed it to me and went and sent people in, FBI,
[00:47:24.212 --> 00:47:26.713]  Two weeks later, they called him in in front of us.
[00:47:26.713 --> 00:47:28.655]  He was a supervisor.
[00:47:28.655 --> 00:47:31.957]  He was mid-level.
[00:47:31.957 --> 00:47:36.419]  And then here came the FBI.
[00:47:36.419 --> 00:47:42.683]  Saying, why did you send that to Alex Jones?
[00:47:42.683 --> 00:47:45.985]  But with the federal marshal, he knew how to send it to us.
[00:47:45.985 --> 00:47:48.686]  Snail mail.
[00:47:48.686 --> 00:47:50.728]  Wearing gloves in case they were coming to grab it.
[00:47:51.698 --> 00:47:58.444]  Snail mail, wearing gloves, and you just put a different address, one that's not yours, on the envelope.
[00:47:58.444 --> 00:48:01.367]  It's like Matt Drudge said, you gotta meet in parking garages.
[00:48:01.367 --> 00:48:07.712]  And back when NSA people and high-level telecom engineers would meet me, they would never tell me they were coming.
[00:48:07.712 --> 00:48:08.873]  They wouldn't stop me.
[00:48:08.873 --> 00:48:15.880]  They would find out where I lived, or they would be waiting in the parking lot, or they would come to a public event I was at.
[00:48:16.656 --> 00:48:21.177]  And then sit in the parking lot waiting and then give it to me.
[00:48:21.177 --> 00:48:25.738]  And they'd be wearing a hat on top of it, folks, because of face scanning cameras.
[00:48:25.738 --> 00:48:28.699]  And they would say, wait a few weeks until you report on this.
[00:48:28.699 --> 00:48:34.480]  And then they would drive off again in their brand new Suburban or their brand new Mercedes.
[00:48:34.480 --> 00:48:40.541]  These were all senior people that would give me all the intel before anybody else had it.
[00:48:40.541 --> 00:48:43.582]  And I didn't mean to run off into a rabbit trail
[00:48:44.915 --> 00:48:49.657]  It's just when I see a headline like this, I have flashbacks to the fact that we broke all this.
[00:48:49.657 --> 00:48:55.979]  Remember eight years ago, the preacher that gave us the secret clergy response team documents?
[00:48:55.979 --> 00:49:02.001]  He faxed that from one of those mailbox places.
[00:49:02.001 --> 00:49:02.881]  Mailbox, etc.
[00:49:02.881 --> 00:49:05.102]  type places.
[00:49:05.102 --> 00:49:11.084]  And we posted the documents where they had hired most of the preachers in the country to work for the FBI or the CIA.
[00:49:12.363 --> 00:49:18.328]  And even giving them brainwashing manuals, the big megachurches, name it and claim it, how to condition and manipulate the public.
[00:49:18.328 --> 00:49:21.570]  But even small churches have it, and to give them faith-based initiative money.
[00:49:21.570 --> 00:49:26.234]  It started under Bush, but accelerated under Obama.
[00:49:26.234 --> 00:49:32.359]  And they came in a week later to the hospital, where he was an administrator.
[00:49:32.359 --> 00:49:38.864]  He had a church on the side, pretty good-sized church, and said, we're going to get you fired from the hospital.
[00:49:40.458 --> 00:49:51.267]  And they got him fired from the hospital for separately giving us those documents.
[00:49:51.267 --> 00:49:57.332]  I mean, what an evil government, ladies and gentlemen, for letting you know what Obama now says publicly.
[00:49:57.332 --> 00:50:05.219]  Obama says extremist ideology that's taken over the GOP, balkanization, the media, has blocked my agenda.
[00:50:06.004 --> 00:50:24.350]  Yeah, what did Clinton say in the White House documents that came out a few months ago from his library, that they were able to get through FOIA requests, the Western Journalism Center, Joseph Farah, that we can't let the public ever have their own media, we gotta discredit any media that isn't controlled by us, calling them conspiracy terrorists.
[00:50:25.526 --> 00:50:32.473]  And he goes on to say that radicals have taken over the Republican Party and that they're basically extremists and that they're the biggest threat to the country.
[00:50:32.473 --> 00:50:34.395]  We'll see what Homeland Security says.
[00:50:34.395 --> 00:50:40.841]  They're preparing with the tanks, with the armor, with the police for war against the people that want to save this nation.
[00:50:43.749 --> 00:50:45.170]  You understand that?
[00:50:45.170 --> 00:50:49.313]  And they're going to blow stuff up and blame it on us just as sure as the sun came up.
[00:50:49.313 --> 00:50:53.296]  We're trying to stop them by exposing their game plan, folks.
[00:50:53.296 --> 00:50:54.117]  This isn't a joke.
[00:50:54.117 --> 00:50:55.057]  This isn't a game.
[00:50:55.057 --> 00:50:57.039]  This is really happening.
[00:50:57.039 --> 00:50:58.280]  We'll be right back with your phone calls.
[00:50:59.474 --> 00:51:02.297]  Hi folks, Alex Jones here with some important information.
[00:51:02.297 --> 00:51:07.421]  I want to tell you about Matt Redhawk and his team of Patriots over at MyPatriotSupply.
[00:51:07.421 --> 00:51:15.548]  Several years ago, Matt was sitting in his two-bedroom apartment, frustrated with the direction this country was headed and the Charlatans willing to sell us out for a quick buck.
[00:51:15.548 --> 00:51:20.073]  Deciding to take action, a company run by Patriots for Patriots was born.
[00:51:20.073 --> 00:51:23.876]  MyPatriotSupply has never taken a loan or accepted outside funding.
[00:51:24.036 --> 00:51:29.980]  They now operate two distribution facilities and employ over 50 hard-working American men and women.
[00:51:29.980 --> 00:51:33.142]  It is rare to find companies who practice what they preach.
[00:51:33.142 --> 00:51:38.526]  And that's why I stock my pantry with high-quality storable foods from My Patriot Supply.
[00:51:38.526 --> 00:51:46.532]  Go to mypatriotsupply.com forward slash alex today for special offers on emergency food storage or call their preparedness specialist at 866-229-0927.
[00:51:50.054 --> 00:51:53.238]  That's 866-229-0927.
[00:51:53.238 --> 00:51:55.861]  Do business with someone who shares your values.
[00:51:55.861 --> 00:51:58.525]  BuyPatriotsSupply.com slash Alex.
[00:52:00.239 --> 00:52:02.520]  Mike Stenerson from Midas Resources.
[00:52:02.520 --> 00:52:05.842]  At no time in history have precious metals been more important.
[00:52:05.842 --> 00:52:08.583]  Certainly not in my 22 years in the industry.
[00:52:08.583 --> 00:52:12.545]  The dollar's lost over 90% of its value in the last 60 years.
[00:52:12.545 --> 00:52:16.307]  No fiat currency has ever survived the government printing presses.
[00:52:16.307 --> 00:52:17.708]  Ours is not immune.
[00:52:17.708 --> 00:52:19.368]  The time is now to be proactive.
[00:52:19.368 --> 00:52:19.929]  1-800-686-2237 extension 116.
[00:52:24.671 --> 00:52:27.393]  Anything tied to the dollar is at risk.
[00:52:27.393 --> 00:52:32.997]  CDs, annuities, 401Ks, IRAs, stocks, bonds, you name it, so decide.
[00:52:32.997 --> 00:52:36.319]  Do you want to leave a legacy of wealth or debt for your family?
[00:52:36.319 --> 00:52:37.640]  The choice is yours.
[00:52:37.640 --> 00:52:38.740]  Call me at 1-800-686-2237 extension 116.
[00:52:38.740 --> 00:52:39.861]  That's 1-800-686-2237 extension 116.
[00:52:39.861 --> 00:52:40.862]  Be proactive, not reactive.
[00:52:40.862 --> 00:52:41.042]  Call 1-800-686-2237
[00:52:54.935 --> 00:52:55.480]  Extension 116.
[00:52:58.666 --> 00:53:01.688]  Do you ever feel like you live in an alternate universe?
[00:53:01.688 --> 00:53:05.830]  As the stock market hits new highs, the middle class are dying.
[00:53:05.830 --> 00:53:08.851]  Manipulated financial markets and economic figures.
[00:53:08.851 --> 00:53:10.492]  Chaos on our border.
[00:53:10.492 --> 00:53:12.993]  China and Russia bypassing the dollar.
[00:53:12.993 --> 00:53:14.934]  Life is getting ready to change.
[00:53:14.934 --> 00:53:17.976]  You need to prepare to thrive in the new economy.
[00:53:17.976 --> 00:53:21.177]  Go to babyboomerbackupplan.com or call 888-507-8789.
[00:53:21.177 --> 00:53:21.357]  That's 888-507-8789.
[00:53:28.621 --> 00:53:32.544]  Clean water at home, clean water at the office, clean water on the go.
[00:53:32.544 --> 00:53:38.789]  The Berkey Guy has a Berkey water filtration model for anywhere you are and one that fits any budget.
[00:53:38.789 --> 00:53:41.951]  Thousands of satisfied customers can't be wrong.
[00:53:41.951 --> 00:53:46.215]  For free shipping within the US, go to GoBerkey.com or call 877-886-3653.
[00:53:46.215 --> 00:53:46.695]  That's 877-886-3653.
[00:53:46.695 --> 00:53:48.577]  Helping thousands prepare since 2005.
[00:53:48.577 --> 00:53:49.457]  GoBerkey.com.
[00:54:12.632 --> 00:54:23.259]  I hurt myself today to see if I still feel.
[00:54:23.259 --> 00:54:28.682]  I focus on the pain.
[00:54:28.682 --> 00:54:37.848]  The only thing... If our government will give 15,000 Stinger missiles to Al-Qaeda and blow up a sub-embassy and kill everybody to cover it up,
[00:54:39.298 --> 00:54:52.280]  You think they'll stage a terror attack in America to blame it on their political opposition, when the Republican and Democratic leadership have been doubling down money against the Tea Party the last two years running, trying to shut them down?
[00:54:52.280 --> 00:54:58.401]  You think they might do something to frame us, when they have a history of doing it before?
[00:54:58.401 --> 00:55:02.462]  I'm risking my life, ladies and gentlemen, I just want you to know that.
[00:55:02.462 --> 00:55:04.223]  To tell you these truths.
[00:55:04.223 --> 00:55:06.523]  My family's been threatened, I've been threatened over and over again.
[00:55:08.382 --> 00:55:09.763]  And I'm not saying I'm a hero.
[00:55:09.763 --> 00:55:13.505]  I don't want to see these people win and totally destroy our country.
[00:55:13.505 --> 00:55:20.529]  Our borders are wide open while IS has hundreds of thousands of fighters in the Middle East total.
[00:55:20.529 --> 00:55:24.011]  They had at least 200,000 affiliated with this group in Syria.
[00:55:25.111 --> 00:55:28.315]  That have been in and out of there, and they can now walk right across our border.
[00:55:28.315 --> 00:55:30.117]  They're heavily financed.
[00:55:30.117 --> 00:55:39.707]  And when the terror attacks come, they will use the attacks to take our liberties by more armored vehicles, more helicopters, that will never even be used against ISIS.
[00:55:39.707 --> 00:55:45.193]  They'll be used against gun owners, veterans, Christians and conservatives, and libertarians.
[00:55:45.894 --> 00:55:46.955]  I don't mean to go off on a jag.
[00:55:46.955 --> 00:55:48.576]  I want to go to your phone calls.
[00:55:48.576 --> 00:55:50.438]  I haven't even gotten into the riots in Missouri.
[00:55:50.438 --> 00:55:52.940]  We'll get into that with Chuck Bolden as well.
[00:55:52.940 --> 00:55:55.002]  Incredible political correctness.
[00:55:55.002 --> 00:55:56.663]  I said I'd get into the AI computers.
[00:55:56.663 --> 00:55:59.205]  I'll do that at one o'clock at the start of the third hour.
[00:55:59.205 --> 00:56:00.186]  It's so important.
[00:56:00.186 --> 00:56:01.287]  Remind me guys to do that.
[00:56:02.281 --> 00:56:08.126]  There's some very important news about what the robot metrics are going to do replacing humans.
[00:56:08.126 --> 00:56:11.769]  That's been the plan all along, but it's now in a major government study.
[00:56:11.769 --> 00:56:13.171]  So all that and more coming up.
[00:56:13.171 --> 00:56:17.795]  Let's go to your phone calls, Jesse, Chris, Lisa, Fred, Weldon, and others.
[00:56:17.795 --> 00:56:19.336]  Let's go to Jesse in Texas.
[00:56:19.336 --> 00:56:19.937]  You're on the air.
[00:56:19.937 --> 00:56:22.739]  Thanks for calling.
[00:56:22.739 --> 00:56:23.780]  Hey Alex, how you doing?
[00:56:23.780 --> 00:56:24.541]  Good brother, go ahead.
[00:56:25.694 --> 00:56:27.355]  Thank you for having me on air, man.
[00:56:27.355 --> 00:56:37.359]  Something that I wanted to bring up and bring attention to was I was looking last night on Twitter and the hashtag, a message from ISIS to U.S.
[00:56:37.359 --> 00:56:37.779]  I don't know.
[00:56:37.779 --> 00:56:39.240]  It's something that's been freaking me out.
[00:56:39.240 --> 00:56:44.422]  I mean, I spent like a good 30 minutes looking at the tweets from ISIS.
[00:56:44.422 --> 00:56:52.345]  And these guys are like, you know, I don't know if these are hoaxes or not, but they're already taking pictures apparently within the U.S.
[00:56:52.345 --> 00:56:54.066]  and saying we are everywhere.
[00:56:54.066 --> 00:56:54.606]  We're here.
[00:56:55.746 --> 00:57:05.604]  Oh no, this was a major radical Islamic revolution funded by the globalists, and I meant to get on the phone with Paul this weekend and say what you're saying, and I don't want to be a drama queen either.
[00:57:06.618 --> 00:57:15.121]  But one reason I'm getting really mad is there are well-known websites that have been attacking me for years that are openly promoting ISIS and saying they're part of it.
[00:57:15.121 --> 00:57:20.262]  And so we even have ISIS scripts, people affiliated with it, threatening us right now.
[00:57:20.262 --> 00:57:22.063]  And I'm really getting sick of it, man.
[00:57:22.063 --> 00:57:24.163]  Our government lets a bunch of these people in.
[00:57:24.163 --> 00:57:25.284]  They're running all over us.
[00:57:26.064 --> 00:57:35.629]  And then they use the threat of their people to then create a police state to point it at Ron Paul, and Alex Jones, and Matt Drudge, and the free press.
[00:57:35.629 --> 00:57:37.350]  It makes me want to vomit.
[00:57:37.350 --> 00:57:39.171]  In fact, let me get Paul on the phone right now.
[00:57:39.171 --> 00:57:43.733]  I meant to do that because I saw the tweets that our government allows ISIS.
[00:57:43.733 --> 00:57:44.953]  Remember a month ago?
[00:57:44.953 --> 00:57:46.554]  Oh, we need to let ISIS keep tweeting.
[00:57:46.554 --> 00:57:48.055]  We track them that way.
[00:57:48.055 --> 00:57:49.776]  Give me a break, folks.
[00:57:51.407 --> 00:57:55.850]  Again, if you were Obama and the globalists, how do you take over America?
[00:57:55.850 --> 00:58:01.313]  You fund a terrorist group, let them attack us, and then take our freedom when you run the group.
[00:58:01.313 --> 00:58:02.254]  How sick is that?
[00:58:02.254 --> 00:58:03.134]  Does that make you angry?
[00:58:03.134 --> 00:58:05.436]  Hell yes, it does.
[00:58:05.436 --> 00:58:09.458]  I mean, these guys are even tweeting, like, you know, 9-11 Part 2 coming soon.
[00:58:09.458 --> 00:58:11.179]  Like, that's not funny, man.
[00:58:11.179 --> 00:58:15.341]  Like, you know, anything could... I've had enough of it!
[00:58:15.341 --> 00:58:17.242]  I tell you, it makes me mad.
[00:58:17.242 --> 00:58:19.504]  Makes me want to really... I'm just getting sick of it.
[00:58:21.741 --> 00:58:24.363]  And of course the public has no idea our government is funding it.
[00:58:24.363 --> 00:58:26.204]  Because it's not our government.
[00:58:26.204 --> 00:58:29.225]  It's globalist offshore banks that want to bring the country down.
[00:58:29.225 --> 00:58:31.167]  That's why the border's wide open.
[00:58:31.167 --> 00:58:38.711]  And Obama can activate his operatives through Al Sharpton and others and have the inner city folks burn everything down at the same time.
[00:58:38.711 --> 00:58:39.492]  This could be it.
[00:58:39.492 --> 00:58:40.672]  I'm telling you folks.
[00:58:40.672 --> 00:58:42.753]  They are lining everything up.
[00:58:42.753 --> 00:58:46.095]  Operation Chaos to bring this country down.
[00:58:46.095 --> 00:58:47.176]  Anybody can see it.
[00:58:47.176 --> 00:58:48.437]  It's asymmetrical warfare.
[00:58:49.181 --> 00:58:56.345]  From the water table, to our soils, to the atmosphere itself, our world is becoming more and more toxic each and every day.
[00:58:56.345 --> 00:58:58.707]  But it's not just the air outside that's toxic.
[00:58:58.707 --> 00:59:03.970]  Indoor air has been shown to have two to five times higher concentrations of pollutants than even outdoor air.
[00:59:03.970 --> 00:59:09.153]  And most Americans spend 90% of their time inside using toxic chemicals within their homes.
[00:59:09.153 --> 00:59:12.175]  There are more than 42 million smokers in the United States.
[00:59:12.475 --> 00:59:16.538]  Well over a thousand types of molds and mildew linked to numerous conditions.
[00:59:16.538 --> 00:59:20.861]  And don't forget the fact that six million Americans live with pets they're allergic to as well.
[00:59:20.861 --> 00:59:31.089]  When I began to research these statistics, it was clear to me it was time to start cleansing my lungs in order to combat the toxic environment that we cannot escape but that we can fight back against.
[00:59:31.089 --> 00:59:41.877]  Made with organic and wild cultivated herbs and manufactured in the USA, the new InfoWars Life Lung Cleanse is here in a convenient spray bottle that can be brought with you throughout any toxic environment.
[00:59:41.997 --> 00:59:52.313]  Now available exclusively at InfoWarsLive.com or by calling toll free 888-253-3139.
[00:59:52.313 --> 00:59:54.716]  Waging war on corruption.
[00:59:54.716 --> 00:59:57.460]  Alex Jones on the GCN Radio Network.
[01:00:05.370 --> 01:00:10.213]  Big Brother, Mainstream Media, Government Cover-Ups.
[01:00:10.213 --> 01:00:11.814]  You want answers?
[01:00:11.814 --> 01:00:13.335]  Well, so does he.
[01:00:13.335 --> 01:00:17.538]  He's Alex Jones on the GCN Radio Network.
[01:00:17.538 --> 01:00:21.620]  And now, live from Austin, Texas, Alex Jones.
[01:00:28.134 --> 01:00:39.543]  You know, I've talked about how things are going to get more and more Twilight Zone, totally open borders, government funding IS-ISIS, then bombing them when they get out of areas they're not supposed to enter.
[01:00:39.543 --> 01:00:42.365]  It's kind of like painting by colors.
[01:00:42.365 --> 01:00:47.328]  They tell Al-Qaeda where they're supposed to attack, change their names, the public doesn't figure it out.
[01:00:47.328 --> 01:00:49.490]  Oh, you got outside the lines?
[01:00:49.490 --> 01:00:50.311]  Slap your wrist!
[01:00:52.728 --> 01:00:53.528]  It's just insane.
[01:00:53.528 --> 01:00:56.029]  Look at the headlines on InfoWars.com.
[01:00:56.029 --> 01:00:58.110]  I haven't even gotten to the riots yet.
[01:00:58.110 --> 01:01:00.471]  We've got 15 after.
[01:01:00.471 --> 01:01:02.952]  We've got Pastor Chuck Baldwin joining us.
[01:01:02.952 --> 01:01:04.052]  Let's go to your phone calls.
[01:01:04.052 --> 01:01:06.493]  Lisa in California, you're on the air.
[01:01:06.493 --> 01:01:06.853]  Go ahead.
[01:01:08.115 --> 01:01:08.656]  Hi Alex.
[01:01:08.656 --> 01:01:09.657]  Happy Monday.
[01:01:09.657 --> 01:01:10.678]  Happy full moon.
[01:01:10.678 --> 01:01:12.700]  I think we are seeing the effects of it.
[01:01:12.700 --> 01:01:14.202]  What a crazy weekend.
[01:01:14.202 --> 01:01:16.544]  It was really hard to watch my town burn.
[01:01:16.544 --> 01:01:19.287]  I'm from Ferguson, that area.
[01:01:19.287 --> 01:01:19.968]  Grew up there.
[01:01:19.968 --> 01:01:23.151]  And you know, they've been race baiting that area probably for 20 years.
[01:01:24.833 --> 01:01:33.198]  Started back in high school, and we had a really nice new high school, and they started busing in all the inner-city kids to our high school.
[01:01:33.198 --> 01:01:34.719]  Caused all kinds of problems.
[01:01:34.719 --> 01:01:35.980]  They didn't want to be there.
[01:01:35.980 --> 01:01:36.420]  We didn't.
[01:01:36.420 --> 01:01:42.904]  I mean, we welcomed them, but, you know, then there was vandalism and all kinds of chaos.
[01:01:42.904 --> 01:01:46.606]  Bathrooms torn up, the stall doors missing.
[01:01:46.606 --> 01:01:50.648]  You know, I couldn't walk down the hall in a skirt without getting it flipped up.
[01:01:50.648 --> 01:01:52.209]  It was just horrible.
[01:01:52.689 --> 01:02:03.199]  And I think I'm seeing that sort of played out now, and it reminds me of the open borders where, you know, we're bringing in people who aren't going to appreciate it here.
[01:02:03.199 --> 01:02:14.189]  The natives or whatever we are aren't going to appreciate them, and it just sets up this whole horrible, chaotic situation, and it really makes me sad to see.
[01:02:14.189 --> 01:02:18.633]  And then, you know, I guess you saw the militarized vehicles coming down the street, and it's
[01:02:19.313 --> 01:02:20.074]  Off the chain.
[01:02:20.074 --> 01:02:21.577]  Absolutely horrible.
[01:02:21.577 --> 01:02:24.561]  I don't know how to fix it, but I think it's a really long time coming.
[01:02:26.636 --> 01:02:27.677]  No, I hear you.
[01:02:27.677 --> 01:02:34.281]  And of course, those tanks, those are Bradley fighting vehicles, were being sent to Homeland Security base.
[01:02:34.281 --> 01:02:37.723]  People saw the tanks on the train rolling through and thought, oh, they're here to save us.
[01:02:37.723 --> 01:02:39.004]  No, no, no, no, no, no.
[01:02:39.004 --> 01:02:44.948]  Those are for the Tea Party, not for people burning down buildings and looting the shops.
[01:02:44.948 --> 01:02:54.134]  So, and now Trayvon Martin's lawyer is going to take over and go race bait the entire deal after a black youth was shot.
[01:02:54.134 --> 01:02:54.634]  And again,
