[00:00:00.029 --> 00:00:04.954]  The Department of Homeland Security is apparently on a huge ammo buying spree.
[00:28:30.165 --> 00:28:34.010]  Use promo code WATER and save 10% off your Pro Pure purchase.
[00:28:34.510 --> 00:28:37.814]  Again, that's InfoWarsStore.com or call 1-888-253-3139.
[00:29:02.233 --> 00:29:06.817]  Tonight, Jesse Ventura sets the record straight on the Chris Kyle lawsuit.
[00:29:07.157 --> 00:29:15.543]  This following an especially vindictive response by the media for Ventura's attempt to clear his name and save his reputation.
[00:29:16.144 --> 00:29:23.369]  So the jury yesterday found defamation of character, ordered Kyle's estate to pay Ventura 1.8 million dollars.
[00:29:23.409 --> 00:29:25.651]  Keep in mind, Mr. Kyle is dead.
[00:29:25.771 --> 00:29:33.858]  We have multiple sound bites, multiple quotes from Jesse Ventura, and, you know, comments against our own military and this nation.
[00:29:34.078 --> 00:29:41.805]  But it seems like the height of cruelty to punish the guy's wife, and that is what Jesse Ventura has done.
[00:29:41.825 --> 00:29:44.327]  I mean, everyone's jaw is dropped today.
[00:29:44.747 --> 00:29:51.068]  Now we all know Chris Kyle was a legendary Navy SEAL sniper who defamed Jesse Ventura in 2012.
[00:29:51.648 --> 00:30:01.110]  This was shortly after he released his book and he appeared on national television claiming that he actually punched Jesse Ventura in the face and knocked him out.
[00:30:01.530 --> 00:30:13.713]  This was in response to Jesse Ventura's allegedly walking around and bad-mouthing the Navy SEALs, not to mention bad-mouthing then President Bush and bad-mouthing America.
[00:30:14.153 --> 00:30:27.717]  Needless to say, Fox News and the rest of the establishment media had a field day with this story, but in typical mainstream fashion, they failed to look into all the circumstances surrounding the case, and they rushed to judgment.
[00:30:28.158 --> 00:30:38.601]  Either that, or this was an orchestrated character assassination against Ventura, who is known for his outspoken views and criticism of our corrupt government.
[00:30:39.301 --> 00:30:41.142]  So he was bad mouth in the war, right?
[00:30:41.803 --> 00:30:44.825]  Bad mouth in the war, bad mouth in Bush, bad mouth in America.
[00:30:45.185 --> 00:30:47.166]  This gentleman accused me of treason.
[00:30:48.147 --> 00:30:55.211]  And in the military, I being ex-military, in the military treason is a very serious crime.
[00:30:55.511 --> 00:30:57.993]  In the military, it carries the death sentence.
[00:30:58.353 --> 00:31:02.156]  And when you're accused of treason, you're going to fight it, which is what I did.
[00:31:02.576 --> 00:31:04.357]  Let's get a few facts straight here.
[00:31:04.777 --> 00:31:09.421]  I filed this lawsuit immediately when the book appeared in January of 2012.
[00:31:10.923 --> 00:31:12.484]  I had just gone to Mexico.
[00:31:12.644 --> 00:31:13.886]  I was off the grid.
[00:31:14.006 --> 00:31:17.189]  I had only communication was through the internet.
[00:31:17.569 --> 00:31:23.054]  And I learn of this book that comes out where he allegedly punched me out for me committing treason.
[00:31:23.849 --> 00:31:26.210]  So I immediately contacted my attorneys.
[00:31:26.290 --> 00:31:27.710]  I said, we have to stop this.
[00:31:27.810 --> 00:31:37.173]  And so we filed the lawsuit shortly in the latter part of January, 2012, when Chris Kyle was still very much alive.
[00:31:37.393 --> 00:31:44.415]  He would not do one thing to restore my reputation, and he would not admit that he made the story up.
[00:31:44.675 --> 00:31:47.256]  The only thing they would offer me was money.
[00:31:47.496 --> 00:31:51.177]  So if I wanted strictly money, I could have settled right there.
[00:31:52.182 --> 00:31:57.706]  I could have settled right there for just money, but I wanted and sought the truth.
[00:31:58.146 --> 00:31:59.827]  That's why it had to go to court.
[00:31:59.947 --> 00:32:04.910]  The lawsuit proceeded forward, and unfortunately, Mr. Kyle was killed.
[00:32:05.010 --> 00:32:07.292]  He met an untimely death and was murdered.
[00:32:07.984 --> 00:32:13.548]  Now, one of the big criticisms people tell me is I should have dropped the lawsuit right there.
[00:32:13.948 --> 00:32:26.236]  That wouldn't have cleared my name, and even when we continued from there on, no matter what evidence was going on, they refused to move one inch on restoring my reputation.
[00:32:26.296 --> 00:32:27.697]  They said it was off the table.
[00:32:27.997 --> 00:32:30.539]  At the time this alleged incident took place,
[00:32:31.219 --> 00:32:41.786]  I was 6 foot 4, 255, 260 pounds, I still had 19 and a half inch arms, and I was a pretty big man.
[00:32:41.966 --> 00:32:47.830]  And to believe that Chris Kyle could strike me in the face and not leave a mark?
[00:32:48.430 --> 00:32:52.092]  Yet Chris Kyle said they saw me on television with black eyes.
[00:32:52.733 --> 00:32:54.154]  Yet they could not produce.
[00:32:55.180 --> 00:32:57.262]  The television that showed me with a black eye.
[00:32:57.662 --> 00:33:02.665]  He said when he hit me, there were four people standing right next to me when I went down.
[00:33:03.166 --> 00:33:05.447]  Yet they produced none of those people.
[00:33:05.788 --> 00:33:13.173]  They had no witness during this trial who said, with any credibility, who said they saw me get hit.
[00:33:13.453 --> 00:33:18.377]  The jury saw the evidence and the jury concurred and believed the evidence.
[00:33:18.597 --> 00:33:22.439]  Yet you've got political pundits out there saying the jury's all wrong!
[00:33:23.220 --> 00:33:24.541]  The jury's full of crap!
[00:33:25.336 --> 00:33:27.939]  Yet these political pundits weren't in the trial.
[00:33:28.499 --> 00:33:29.821]  They know nothing about it.
[00:33:29.961 --> 00:33:33.224]  They don't know one fact about what was presented as evidence.
[00:33:34.005 --> 00:33:45.877]  Jesse Ventura should be thankful for the men and women in uniform who protect our freedoms, our capitalism, and who protect his ability to make a living with so little actual talent.
[00:33:47.167 --> 00:33:52.571]  Yeah, good for you, because he's taken food out of the mouths of Chris Kyle's children.
[00:33:52.611 --> 00:33:53.431]  Bernie!
[00:33:54.152 --> 00:33:55.833]  Is there any way to side with Jesse on this?
[00:33:56.093 --> 00:33:57.014]  No way, no way.
[00:33:57.054 --> 00:33:58.515]  He is a big loser.
[00:33:59.676 --> 00:34:01.137]  I'm ashamed to be bald right now.
[00:34:02.777 --> 00:34:08.360]  When you sue a widow and you get money out of her, that's the best way to restore your reputation.
[00:34:08.520 --> 00:34:12.062]  See, I just had to prove to everyone I'm not as bad of a guy as everyone says I am.
[00:34:12.102 --> 00:34:24.689]  The jury saw the evidence and the jury moved forward and ruled on the evidence and the jury found that I had been defamed and they had found there had been unjust enrichment.
[00:34:25.316 --> 00:34:31.198]  Because of that defamation, and they are the ones that awarded me the $1.8 million.
[00:34:31.458 --> 00:34:32.778]  I didn't control the money.
[00:34:32.798 --> 00:34:35.259]  I didn't control what I won.
[00:34:35.319 --> 00:34:37.020]  I didn't even control the charges.
[00:34:37.480 --> 00:34:44.862]  There were three charges that the federal judge, Kyle, no relation, allowed to continue forward on the bench.
[00:34:44.922 --> 00:34:48.023]  It was his professional judge's opinion.
[00:34:48.695 --> 00:34:51.977]  The jury got it and the jury made the award.
[00:34:51.997 --> 00:34:52.857]  I didn't.
[00:34:53.438 --> 00:35:10.267]  During this process and after Chris Kyle died, a petition was brought by former members of the UDT SEAL community to throw me out of the UDT SEAL Association for continuing to attempt to clear my name with this lawsuit.
[00:35:11.408 --> 00:35:15.710]  It broke my heart because there were people on that petition that I served with.
[00:35:16.605 --> 00:35:18.907]  And I was never given the benefit of the doubt.
[00:35:19.067 --> 00:35:20.768]  The truth was never even brought up.
[00:35:20.829 --> 00:35:24.411]  The truth wasn't even considered in this petition.
[00:35:25.172 --> 00:35:33.138]  No one even considered what if Jesse Ventura has the truth and Chris Kyle is lying, which is the truth.
[00:35:33.258 --> 00:35:37.422]  Chris Kyle did lie and Jesse Ventura did have the truth.
[00:35:37.962 --> 00:35:41.005]  But apparently to these people, the truth didn't matter.
[00:35:41.325 --> 00:35:44.828]  You know, I have an entire generation of young SEALs now who hate me.
[00:35:45.464 --> 00:35:46.585]  And I didn't do anything.
[00:35:47.546 --> 00:35:48.628]  I am a victim here.
[00:35:49.048 --> 00:35:52.972]  As much as many of you maybe don't want to believe that, it is the truth.
[00:35:53.232 --> 00:35:53.993]  I am a victim.
[00:35:54.394 --> 00:35:55.215]  I did nothing.
[00:35:55.955 --> 00:36:01.822]  And yet I had to go, me and my family, had to go through two and a half years of hell also.
[00:36:02.677 --> 00:36:07.959]  In facing the media and facing the insults and everything else that happens to you.
[00:36:08.359 --> 00:36:11.100]  But nobody thinks about my family or me.
[00:36:11.520 --> 00:36:12.640]  I'm moving forward.
[00:36:13.101 --> 00:36:14.441]  This is in the past now.
[00:36:14.801 --> 00:36:16.362]  I will continue to move forward.
[00:36:16.702 --> 00:36:20.683]  I will continue to be Jesse Ventura, Governor, former Governor of Minnesota.
[00:36:21.023 --> 00:36:26.205]  And I will continue to be a vigilant citizen and hold my government's feet to the fire.
[00:36:26.605 --> 00:36:28.446]  This isn't going to change a thing.
[00:36:28.866 --> 00:36:29.387]  That's right.
[00:36:29.567 --> 00:36:33.090]  The jury saw the evidence and they ruled in favor of Jesse Ventura.
[00:36:33.390 --> 00:36:42.258]  Now, y'all need to wake up and understand just how dangerous this is when the mainstream press attacks you and they uniformly go after you.
[00:36:42.339 --> 00:36:44.881]  I mean, this is called character assassination.
[00:36:45.201 --> 00:36:53.229]  Because Ventura has the audacity to speak his mind and talk about the mega-corruption in our government, that makes him dangerous.
[00:36:53.789 --> 00:36:59.712]  And some of you are so blinded by false patriotism that you never even bothered to look up the facts.
[00:37:00.492 --> 00:37:06.074]  You heard the chorus of talking media heads dogpile on Ventura and you joined the herd.
[00:37:06.514 --> 00:37:14.818]  You know the father of propaganda, Edward Bernays, well he discovered that we humans have what he referred to as a herd mentality.
[00:37:15.158 --> 00:37:17.199]  By instinct we follow a herd.
[00:37:17.719 --> 00:37:26.187]  And of course the establishment knows this and they use the techniques and principles of crowd psychology to control and manipulate the masses.
[00:37:26.747 --> 00:37:30.450]  It's crowd control through propaganda and it's highly effective.
[00:37:30.851 --> 00:37:35.515]  And they go around basically regurgitating what they hear on the mainstream news.
[00:37:35.955 --> 00:37:38.598]  And when it comes to the Ventura Chris Kyle lawsuit...
[00:37:39.218 --> 00:37:39.759]  Think about it.
[00:37:40.239 --> 00:37:49.008]  A typical jury in the good ol' USA, you would think that they would tend to lean favorably towards a fallen war hero and his widow.
[00:37:49.548 --> 00:37:52.631]  Yet, the jury sided with Jesse Ventura.
[00:37:52.871 --> 00:37:54.373]  And that speaks volumes.
[00:37:55.481 --> 00:38:01.986]  Alright, and that was recorded earlier today in one of our many studios here in Austin, Texas.
[00:38:02.306 --> 00:38:07.690]  Thanks to viewer supporters like you, who have supported The Info Wars all of these years.
[00:38:08.111 --> 00:38:12.334]  And if you are not yet a PrisonPlanet.tv subscriber, why not?
[00:38:12.714 --> 00:38:16.418]  For just pennies a day, you too can help fight the Infowar.
[00:38:16.838 --> 00:38:27.188]  Become a PrisonPlanet.tv subscriber where you have access to all of the Infowar's nightly news, plus all of our documentaries and our special reports.
[00:38:27.569 --> 00:38:31.092]  And you can share your subscription with up to 11 people.
[00:38:31.472 --> 00:38:34.756]  So spread the word of liberty and join the resistance.
[00:38:35.096 --> 00:38:35.897]  PrisonPlanet.tv.
[00:38:37.378 --> 00:38:44.783]  Alright folks, coming up next, Alex Jones once again sits down and talks with the one, the only, the Obama phone lady.
[00:38:45.584 --> 00:38:46.384]  And guess what?
[00:38:46.424 --> 00:38:47.745]  She's got a brand new phone.
[00:38:48.145 --> 00:38:50.867]  She's also got a brand new outlook on life.
[00:38:51.648 --> 00:38:54.530]  Obama phone lady, next on the InfoWars Nightly News.
[00:38:55.762 --> 00:38:56.602]  The facts are in.
[00:38:56.783 --> 00:38:57.903]  The studies are legion.
[00:38:58.203 --> 00:39:05.547]  Sodium fluoride and other toxic members of the fluoride family are devastating the health and cognitive ability of the American people.
[00:39:05.707 --> 00:39:11.070]  I am extremely excited to announce the exclusive InfoWars Life Fluoride Shield formulation.
[00:39:11.230 --> 00:39:21.735]  Fusing six of the best documented ingredients from around the world to help the body remove not just toxic fluoride residues from the body, but a whole host of toxic substances.
[00:39:22.035 --> 00:39:25.357]  Secure your fluoride shield at InfoWarsLife.com today.
[00:39:25.745 --> 00:39:26.925]  Hi, I'm Dr. Edward Grew.
[00:39:27.105 --> 00:39:29.666]  Today I'd like to talk about the War on Women.
[00:39:30.326 --> 00:39:34.628]  You've experienced and heard about the benefits of super male vitality.
[00:39:35.148 --> 00:39:37.628]  Now, the new formula has arrived.
[00:39:38.008 --> 00:39:41.890]  Introducing the new super female vitality.
[00:39:42.170 --> 00:39:50.252]  I have specifically designed this formula to help the body naturally regulate itself without the use of artificial hormones.
[00:39:50.572 --> 00:39:51.072]  We're good to go.
[00:40:08.869 --> 00:40:18.158]  Now both the man and the woman can have the revitalization in their own bodies with super male vitality and super female vitality.
[00:40:18.398 --> 00:40:24.444]  Secure your super female vitality today from our limited stock at InfoWarsLife.com.
[00:40:25.894 --> 00:40:32.199]  I began to get into iodine a few years ago because it was helping me and my family so much get healthy and detoxify.
[00:40:32.559 --> 00:40:34.040]  I believe our research is conclusive.
[00:40:34.060 --> 00:40:36.822]  This is the best iodine out there, and I know this for a fact.
[00:40:37.362 --> 00:40:42.146]  Nobody else has got iodine based on these pure crystals, ladies and gentlemen.
[00:40:42.266 --> 00:40:46.349]  For a limited time, experience the ancient power of Survival Shield X2.
[00:40:46.549 --> 00:40:51.753]  Take advantage of this unprecedented 30% off super detox special at InfoWarsLife.com.
[00:40:55.865 --> 00:41:03.853]  And finally tonight on InfoWars Nightly News, she spent the last five days with us down here in Austin, Texas, visiting us from Cleveland, Ohio.
[00:41:04.513 --> 00:41:06.655]  She's Michelle Dougherty, a.k.a.
[00:41:06.815 --> 00:41:15.644]  The Obama Phone Lady, and she's here with us as we try to get her idea on what the American Dream really stands for.
[00:41:16.264 --> 00:41:17.806]  And Michelle, what is the American Dream?
[00:41:18.834 --> 00:41:22.918]  The American dream is to push away from the government.
[00:41:24.080 --> 00:41:27.483]  Get out and get you a, I got a bank account.
[00:41:28.164 --> 00:41:31.167]  I got, I'm on the right track in case I get my checks.
[00:41:31.287 --> 00:41:38.535]  I don't have to pay, you know, those crooked people six or seven or ten, twenty bucks to cash my check.
[00:41:39.035 --> 00:41:41.137]  Michelle, there's been a saying out there for a long time.
[00:41:41.958 --> 00:41:44.362]  And we call them cliches because they're so true.
[00:41:45.043 --> 00:41:47.226]  The more things change, the more they stay the same.
[00:41:47.767 --> 00:41:49.229]  There's nothing new under the sun.
[00:41:49.289 --> 00:41:50.771]  Power corrupts absolutely.
[00:41:51.773 --> 00:41:54.677]  You don't want to go out and catch fish for somebody.
[00:41:55.058 --> 00:41:57.000]  You want to teach a man or a woman how to fish.
[00:41:57.765 --> 00:41:58.145]  Right.
[00:41:58.345 --> 00:42:11.990]  And there's a lot you could teach me, a lot I could teach you, but the system, the political system that wants people domesticated under their control, they want to give you fish to run your life, not teach you how to go out and catch the fish yourselves.
[00:42:12.350 --> 00:42:12.650]  Right.
[00:42:12.890 --> 00:42:18.854]  You're absolutely right, because you know the way I was taught to go out and catch the fish myself?
[00:42:19.015 --> 00:42:21.016]  You know, I got a little grips on it now.
[00:42:21.476 --> 00:42:27.261]  I don't have to be waiting on something to come that might come or not come.
[00:42:27.321 --> 00:42:32.925]  You know, and on the government, you know, they cut everything, so you don't know if it's gonna come or it's not gonna come.
[00:42:32.965 --> 00:42:39.930]  So it's best to be independent, with your own job, with things to go, to get a bank account,
[00:42:42.313 --> 00:43:09.886]  Withdraw money when you need it, you know, not just waiting on the once in a month or like, you know What I was I was going through was a battle was when I get ready to get the little check I got a run around the cash it you know what I'm saying pay these people twelve or thirteen dollars to take out my Hundred fifty dollars just crazy stuff that the system have caught me up in so much of that, you know Well, I did not know they didn't teach you them the kind of things, you know, you had to go to the
[00:43:10.626 --> 00:43:11.927]  What we wanted to do was just to show
[00:43:32.538 --> 00:43:55.507]  The viewers out there and people that are unaware, who may have been better off where they were born or how they were brought up with their opportunities, to understand that the poorest working Americans are being preyed on by these payday loans and these places that take huge percentages of your check just to cash them when that check they're cashing is guaranteed and it's all computerized and they know the money's good.
[00:43:56.127 --> 00:43:57.668]  To go out and show people... Not to scam!
[00:43:57.748 --> 00:43:58.628]  They pimping us.
[00:43:58.748 --> 00:43:59.949]  They pimp you like that.
[00:44:00.109 --> 00:44:00.589]  Exactly.
[00:44:00.689 --> 00:44:13.854]  Show people how easy it is to get a bank account, how easy it is to go out and get some decent clothes inexpensively, how easy it is to try to, you know, go out and basically start over from square one to try to get out of the system.
[00:44:14.194 --> 00:44:16.075]  Because the goal is get out of the system.
[00:44:16.455 --> 00:44:20.637]  The establishment wants us institutionalized so that we're under their control.
[00:44:20.997 --> 00:44:23.978]  Went from my Obama phone to a new galaxy.
[00:44:25.253 --> 00:44:29.316]  Well, Obama, thanks for letting me use this phone for them couple years.
[00:44:29.896 --> 00:44:31.317]  I'll stick a fork in it.
[00:44:31.517 --> 00:44:32.638]  It's a done deal.
[00:44:33.359 --> 00:44:34.820]  You've been busy the last few days.
[00:44:35.160 --> 00:44:36.661]  I've been in there doing the radio show.
[00:44:37.101 --> 00:44:45.467]  I know some of my reporters and writers, like Anthony Gucciardi, have kind of taken you around town to try to get you out of the clutches of the system.
[00:44:45.527 --> 00:44:46.388]  Were they successful?
[00:44:46.428 --> 00:44:46.808]  How'd it go?
[00:44:47.048 --> 00:44:48.489]  Oh, it was beautiful.
[00:44:48.549 --> 00:44:49.930]  I was able to go swimming.
[00:44:50.371 --> 00:44:51.812]  Tell me about your trip to Barton Springs.
[00:44:52.792 --> 00:44:54.113]  Oh, I loved it.
[00:44:55.686 --> 00:45:01.191]  It was a really experience for a person have never been out to something like that.
[00:45:01.331 --> 00:45:01.511]  Wow.
[00:45:01.551 --> 00:45:04.474]  I've never seen a big pond like that.
[00:45:05.135 --> 00:45:09.639]  And it only cost three and four dollars and I could have stayed all day.
[00:45:09.679 --> 00:45:10.680]  You'd be a great sales lady.
[00:45:10.720 --> 00:45:12.161]  I heard folks love the Obama phone lady.
[00:45:12.361 --> 00:45:12.781]  Oh yeah.
[00:45:13.042 --> 00:45:14.003]  I'll sell your phone.
[00:45:14.043 --> 00:45:15.043]  No more Obama phone.
[00:45:15.063 --> 00:45:17.125]  You can get this one for a little small price.
[00:45:17.386 --> 00:45:17.826]  Exactly.
[00:45:18.326 --> 00:45:19.127]  It works a lot better, huh?
[00:45:19.147 --> 00:45:19.988]  A lot better.
[00:45:20.008 --> 00:45:21.729]  Doesn't go to the Mexican billionaire, Carlos Slim.
[00:45:22.190 --> 00:45:26.093]  I'm here to turn in this old Obama phone for a new one.
[00:45:26.614 --> 00:45:28.755]  After all this time, I'm upgrading.
[00:45:29.236 --> 00:45:30.657]  No more Obama phone.
[00:45:31.118 --> 00:45:32.399]  In my eyes, it's like...
[00:45:33.541 --> 00:45:44.344]  You know, the government have control of you when you're, you know, you put your name and you stay at the welfare building four, five, six hours a day, once a month, or whenever they tell you to come.
[00:45:44.584 --> 00:45:47.805]  My goal was to get off all of that stuff, you know?
[00:45:47.825 --> 00:45:50.186]  I got me a bank account now.
[00:45:50.606 --> 00:45:53.867]  I'm going to further my goal in getting a better job now.
[00:45:54.687 --> 00:45:55.927]  You know, it winged me off.
[00:45:56.027 --> 00:45:59.989]  It let me see that I don't have to depend on the government for the check.
[00:46:01.937 --> 00:46:04.998]  It's not gonna make it, you know, if I get it, if I don't.
[00:46:05.219 --> 00:46:07.139]  I don't need it anymore, you know.
[00:46:07.380 --> 00:46:09.781]  I haven't been getting it in 36 months.
[00:46:10.401 --> 00:46:16.204]  And you said you were gonna give us back those checks if you got a kid under 18, and it haven't did it.
[00:46:16.304 --> 00:46:18.145]  So, I mean, you know...
[00:46:19.085 --> 00:46:24.626]  It was real rough, but now, you know, I see the real world where I can get out and get a better job.
[00:46:25.146 --> 00:46:26.267]  It's like you labeled.
[00:46:26.487 --> 00:46:28.187]  You know, my name is Michelle.
[00:46:28.267 --> 00:46:29.987]  I get such amount a month.
[00:46:30.087 --> 00:46:31.908]  I get such amount of food stamps.
[00:46:32.468 --> 00:46:34.028]  It's like he pimped us.
[00:46:34.128 --> 00:46:40.030]  Cause you know, now that he said he was going to do things and he didn't do things, you know, what you going to do?
[00:46:40.090 --> 00:46:43.450]  Wait on him to make it go through where you're going to get the money?
[00:46:43.470 --> 00:46:45.831]  Or are you going to get a check if you got kids under 18?
[00:46:46.971 --> 00:46:48.253]  You can't rely on that.
[00:46:48.313 --> 00:46:51.637]  You have to, a little bit, go out and get it yourself.
[00:46:52.177 --> 00:46:52.578]  You know?
[00:46:52.598 --> 00:46:54.981]  You have to give up something to get something.
[00:46:55.181 --> 00:47:00.247]  So, I gave up a few things that I used to do, I don't do anymore, and this is what God blessed me.
[00:47:00.427 --> 00:47:02.490]  This is what I did on my own to get it.
[00:47:04.082 --> 00:47:28.000]  My goal in talking to you over the last two years or so, Michelle, was to try to get you to just at least see things from my angle a little bit about how prosperous people were, comparatively, whether they be poor whites or blacks, before the big welfare society came in, that sold itself as a panacea that was going to save everybody and create a utopia, but it's really done the opposite.
[00:47:28.020 --> 00:47:29.181]  It's created dependency.
[00:47:29.941 --> 00:47:31.542]  It's created rot in this country.
[00:47:32.342 --> 00:47:41.224]  It's created groups of people that would politically go along with anything because they saw their fate not governed by themselves, but by the state.
[00:47:41.525 --> 00:47:41.785]  Right.
[00:47:42.005 --> 00:47:44.305]  And I mean, that sounds like 1984 to me.
[00:47:44.626 --> 00:47:50.227]  Well, you know, it's been going on for a while because, you know, I have a son that's 25 and 23.
[00:47:51.127 --> 00:47:55.529]  And, you know, now with the younger kids, it's been really a rough
[00:47:56.744 --> 00:48:03.200]  Rough time with the, with the little, you know, my little kids that I have now been back in the day.
[00:48:03.300 --> 00:48:04.844]  And, you know, I'm not saying it was...
[00:48:05.993 --> 00:48:17.720]  Clinton or Obama, but, you know, when you work for a man and he say what he's gonna do, you respect him supposed to do what you say you're gonna do in a couple years, four years, five years, whatever it is.
[00:48:18.401 --> 00:48:24.705]  You know, and most of the black low minority are people that help you get in to be a president.
[00:48:24.805 --> 00:48:28.948]  You know, we still hanging on like you pimped us and didn't do anything.
[00:48:29.028 --> 00:48:29.688]  We're waiting.
[00:48:29.928 --> 00:48:32.170]  But the rich folks, unquote, unquote,
[00:48:33.010 --> 00:48:35.832]  They're just smooth selling with whatever you do.
[00:48:36.192 --> 00:48:37.693]  So don't get caught up in that.
[00:48:37.833 --> 00:48:45.457]  Well, Obama gave giant tax breaks to thousands of companies who promoted Obamacare but wanted to be exempt from it.
[00:48:45.937 --> 00:48:53.501]  So if a McDonald's doesn't have to give health care to their employees, what does that do to the other hamburger place that can't afford to do it?
[00:48:54.301 --> 00:48:55.562]  No one gets it, does it?
[00:48:56.573 --> 00:48:57.613]  It puts him out of business.
[00:48:57.753 --> 00:48:58.014]  Right.
[00:48:58.274 --> 00:49:03.916]  Or if Warren Buffett's the biggest recipient of the banker bailout money, why would he be lobbying for higher taxes then?
[00:49:04.656 --> 00:49:05.997]  Because he gets the tax money.
[00:49:06.077 --> 00:49:08.237]  Right, he gets some percentage out of it or something.
[00:49:08.257 --> 00:49:08.758]  Basically.
[00:49:08.818 --> 00:49:09.018]  Yeah.
[00:49:09.078 --> 00:49:19.522]  The ultra-rich are against the new money and the recently- But they already said, you know, just like some millionaires or people with money.
[00:49:20.393 --> 00:49:26.998]  For instance, that's living, they're set, they really, a lot of rich people, to me, that wasn't even on Obama.
[00:49:27.479 --> 00:49:37.367]  You know, I really believe that when Obama won, by his color and the person and his background, a lot of black, low-minority, poor people got him in there.
[00:49:38.268 --> 00:49:43.392]  You know, because we thought he was going to do more, or do better than the way we were living.
[00:49:44.264 --> 00:49:48.267]  You know, and I, you know, I wondered, you know, why you haven't seen none of this?
[00:49:48.367 --> 00:49:51.729]  Or why you didn't do nothing to try to help some of these people?
[00:49:51.829 --> 00:49:52.369]  Save us.
[00:49:52.449 --> 00:49:55.071]  I mean, not save us, but, you know, you gotta be like me.
[00:49:55.551 --> 00:49:57.853]  You gotta get out, get independent.
[00:49:59.025 --> 00:50:01.026]  You know, dress up and fight.
[00:50:01.086 --> 00:50:03.306]  It's like a war out here in life.
[00:50:03.366 --> 00:50:08.428]  You know, when you go for an interview, you got 20 people at the same interview, which don't catch their eye.
[00:50:08.868 --> 00:50:09.688]  You know what I'm saying?
[00:50:09.788 --> 00:50:19.332]  Take Martin Luther King, and we'll play a clip of him in one of his famous speeches talking about judge people on the character of their deeds, not on the color of their skin.
[00:50:19.712 --> 00:50:20.392]  I have a dream.
[00:50:20.932 --> 00:50:26.774]  My four little children will one day live in a nation where they will
[00:50:29.642 --> 00:50:31.426]  By the content of their character.
[00:50:31.847 --> 00:50:33.410]  I have a dream today!
[00:50:42.756 --> 00:50:55.082]  But it seems like under Obama we've seen that go full circle, where now it's all about he's black so black folks vote for him, and then Hispanics are supposed to only vote for people that are Hispanic, and then whites are supposed to only vote for people that are whites.
[00:50:55.802 --> 00:51:02.506]  I would vote for anybody that wanted to promote liberty, stop the NSA spying, restore the Second Amendment, restore sovereignty.
[00:51:03.006 --> 00:51:06.508]  I really care about what people believe and what they stand for.
[00:51:06.828 --> 00:51:07.788]  That's what I'm looking for.
[00:51:07.828 --> 00:51:08.609]  It's like a musician.
[00:51:09.403 --> 00:51:12.744]  If a musician is white and plays the drums great, I love them.
[00:51:13.185 --> 00:51:15.706]  If they're black and play the drums great, I love them.
[00:51:16.146 --> 00:51:24.689]  I don't care what color they are, if they play the guitar good, or they sing good like Marvin Gaye, or they sing good... Like Teddy Pendergrass?
[00:51:25.190 --> 00:51:28.871]  Absolutely, or George Jones, or anybody, or Waylon Jennings.
[00:51:29.471 --> 00:51:34.694]  I mean, it's all about resonating with that individual and what they stand for.
[00:51:35.074 --> 00:51:35.334]  Right.
[00:51:36.394 --> 00:51:37.635]  You haven't did too much for me.
[00:51:39.423 --> 00:51:42.886]  A lot of people during the first campaign in 2008 would say, I'm not going to pay for gas.
[00:51:42.906 --> 00:51:44.407]  I'm going to have to pay for housing.
[00:51:44.427 --> 00:51:45.467]  All that stuff went up.
[00:51:45.508 --> 00:51:46.568]  You're going to give it all to me.
[00:51:46.608 --> 00:51:47.849]  And he wouldn't say no, no, no.
[00:51:48.209 --> 00:51:49.310]  He would go along with that.
[00:51:50.051 --> 00:51:50.571]  But he didn't.
[00:51:51.112 --> 00:51:56.275]  But how does he give somebody a house or a car without taking it from somebody else, Michelle?
[00:51:58.857 --> 00:52:02.940]  I mean, George Soros did get most of his money through fraud and scams.
[00:52:03.321 --> 00:52:03.501]  Right.
[00:52:03.581 --> 00:52:05.082]  And Nazi collaborating to begin with.
[00:52:06.038 --> 00:52:12.700]  But I wouldn't even want to take all his money and redistribute it because it would set the precedent to take good people's money and redistribute it.
[00:52:13.480 --> 00:52:14.480]  It's so dangerous.
[00:52:14.841 --> 00:52:15.021]  Right.
[00:52:15.281 --> 00:52:16.281]  And I've had... Gotta watch it.
[00:52:16.621 --> 00:52:17.281]  Gotta watch it.
[00:52:17.441 --> 00:52:22.943]  I've had friends and family who had their little house, nothing fancy taken, by the IRS claiming they hadn't paid everything.
[00:52:24.107 --> 00:52:24.227]  Sure.
[00:52:46.715 --> 00:52:47.556]  Who's going to be for dinner?
[00:52:48.036 --> 00:52:48.356]  Sheep.
[00:52:49.077 --> 00:52:49.538]  Exactly.
[00:52:49.578 --> 00:52:52.520]  The two wolves are going to vote to eat the sheep.
[00:52:52.580 --> 00:52:59.226]  Now, the elite don't have a lot of people, so they play class warfare off with the poor people against the middle class.
[00:52:59.246 --> 00:53:10.717]  So you get the poor people with the ultra-rich taking down the middle class that actually keeps the economy going, and that hires the poor people, and that buys the things, and is a ladder up for the poor people.
[00:53:10.757 --> 00:53:11.738]  Historically, it's a fact.
[00:53:12.358 --> 00:53:17.900]  And historically, elites want to shut down middle classes because that's their enemy.
[00:53:18.240 --> 00:53:21.200]  Once they've got a giant poor mass, there's no ladder up.
[00:53:21.240 --> 00:53:22.121]  They control everybody.
