[00:00:02.455 --> 00:00:03.395]  According to the U.S.
[00:22:34.321 --> 00:22:34.841]  That's actually 90%.
[00:22:36.141 --> 00:22:44.827]  And Jakari, you were actually able to speak to some of these representatives before all of the people at the border facilities were given the directive to keep their mouths shut.
[00:22:44.907 --> 00:22:48.469]  We have the medical staff being told, keep your mouth shut or you're going to be arrested.
[00:22:49.010 --> 00:22:54.073]  John, don't you think that the taxpayers deserve to know the dangers that we're risking here?
[00:22:54.133 --> 00:22:57.816]  There's all kinds of contagious diseases floating around these border facilities.
[00:22:58.036 --> 00:23:05.381]  Well, I hope everybody's paying attention because the folks that I spoke with, Dr. Mike Vickers and his wife Linda Vickers,
[00:23:06.321 --> 00:23:12.064]  Who also operate a volunteer organization that deals with illegals coming onto their land.
[00:23:12.444 --> 00:23:19.047]  He's also a veterinarian and very knowledgeable about all the diseases in that area that they've dealt with over the decades.
[00:23:19.627 --> 00:23:20.707]  Well, let's watch that report.
[00:23:21.048 --> 00:23:33.353]  Well, these people are bringing tens of thousands of larvae on their clothing into Texas whenever they go down to the riverbank and brush up against that Carrizo cane.
[00:23:34.270 --> 00:23:38.272]  And all the property they go through, these larvae are dropped off.
[00:23:39.412 --> 00:23:42.774]  The larvae then get on a plant and then get on our white-tailed deer.
[00:23:43.094 --> 00:23:48.176]  Consequently, there's a tick zone that runs all the way from Del Rio to Brownsville.
[00:23:48.836 --> 00:23:57.920]  And the USDA and the Animal Health Commission have tick riders that try to catch this livestock coming across the river and get it caught.
[00:23:58.120 --> 00:24:01.121]  So people, though, are still coming.
[00:24:01.281 --> 00:24:03.282]  And there's been some properties that
[00:24:03.953 --> 00:24:11.857]  They've come into quarantine miles off the river that even had high fences where the livestock and the deer could not infect it.
[00:24:12.978 --> 00:24:18.861]  They were affected because of the human trafficking and the people coming through bringing those larvae.
[00:24:18.921 --> 00:24:23.364]  So another disease, pyroplasmosis, transmitted by a tick.
[00:24:23.804 --> 00:24:29.067]  We actually, I personally feel like that tick showed up, that infected tick showed up.
[00:24:29.922 --> 00:24:31.863]  Coming in on people's clothing out of Mexico.
[00:24:32.043 --> 00:24:34.003]  Hoof and mouth disease is on the horizon.
[00:24:34.064 --> 00:24:43.987]  A lot of these people are coming from countries that have hoof and mouth disease and that would be devastating for the United States livestock industry if hoof and mouth disease shows up in the United States.
[00:24:44.027 --> 00:24:50.469]  And it's a big concern because a lot of these people that are sneaking in here could have that virus on their tennis shoes.
[00:24:50.489 --> 00:24:52.110]  That's a huge concern for us.
[00:24:53.770 --> 00:24:59.232]  It would be absolutely devastating to the United States agriculture industry if that disease shows up.
[00:24:59.878 --> 00:25:01.998]  And there's a multiplicity of other diseases.
[00:25:02.058 --> 00:25:03.919]  Most recent, swine flu.
[00:25:04.339 --> 00:25:08.280]  This swine flu can be transmitted from people to the swine industry.
[00:25:08.360 --> 00:25:21.402]  Not only are humans and drugs being smuggled in, but horses and cattle are being smuggled in, especially in the Trans-Pecos area, where there's not a big presence of Animal Health Commission people, inspectors, USDA, and even Border Patrol.
[00:25:21.502 --> 00:25:27.243]  So most recent, within the past couple years, there's been diseased animals come through our Trans-Pecos.
[00:25:27.779 --> 00:25:37.243]  Horses being brought in with puroplasmosis out of Mexico and cattle being brought in to be sold at markets in Texas that are Mexican origin cattle that actually have brucellosis.
[00:25:38.024 --> 00:25:46.408]  And that's affecting our, that could affect our brucellosis free status here in Texas down the road if it's not contained and stopped.
[00:25:47.748 --> 00:25:49.609]  Nothing to worry about there, right?
[00:25:49.689 --> 00:25:52.971]  I mean, now you spoke with the CDC earlier this week, Joe.
[00:25:53.151 --> 00:25:54.151]  What did they have to say?
[00:25:54.231 --> 00:25:55.652]  What are they doing to help this?
[00:25:56.206 --> 00:26:02.130]  Well, one of the main reasons I wanted to talk to the CDC was that last week I spoke to Stu Harris down in El Paso, Texas.
[00:26:02.150 --> 00:26:05.212]  He's the Vice President of the Border Patrol Union in that area.
[00:26:05.532 --> 00:26:11.556]  And he said that he personally tried to contact them and said, hey, there's a situation going down here across the border you might be interested in.
[00:26:11.896 --> 00:26:14.198]  And told them about the different diseases that were coming through.
[00:26:14.978 --> 00:26:21.680]  And then I started thinking, I said, well, you said that there's already a screening process for these kids coming through, so who's doing it?
[00:26:21.960 --> 00:26:23.580]  He said basic EMT guys.
[00:26:24.000 --> 00:26:25.000]  So that was the scariest thing.
[00:26:25.020 --> 00:26:25.721]  So I was like, you know what?
[00:26:25.941 --> 00:26:27.201]  I'm going to call CDC myself.
[00:26:27.501 --> 00:26:39.604]  So I called them, and the lady got on there and said it's not even part of our scope of practice, that all we're responsible for doing is training the boots on ground, basically, and giving them the proper guidance they need to do that job.
[00:26:39.944 --> 00:26:43.745]  And then I said, OK, are you actually talking to the Border Patrol?
[00:26:44.125 --> 00:26:44.846]  Are you helping them?
[00:26:44.906 --> 00:26:46.468]  Are you giving them the knowledge they need?
[00:26:46.488 --> 00:26:47.189]  She said no.
[00:26:47.790 --> 00:26:52.595]  Wow, so we have a potential outbreak here and the CDC isn't even around.
[00:26:52.916 --> 00:26:53.657]  Let's take a look at that.
[00:26:53.677 --> 00:27:00.125]  They are calling in regards to the unaccompanied persons that are coming into the United States.
[00:27:00.265 --> 00:27:03.549]  Yes, about the 96,000 that have come in the past month, yes.
[00:27:06.511 --> 00:27:11.274]  And you want to know what the CDC is doing in regards to this information, is that correct?
[00:27:11.494 --> 00:27:12.035]  Yes, ma'am.
[00:27:12.395 --> 00:27:21.201]  The vice president of the Border Patrol Union, who is over these guys, said he has just contacted you guys and you said it is not an issue for you to worry about.
[00:27:21.541 --> 00:27:25.904]  So they might be on call, but they're not going down there and taking care of the issues.
[00:27:25.944 --> 00:27:32.248]  Right now, Border Patrol agents are testing positive for tuberculosis, scabies, and pox.
[00:27:32.708 --> 00:27:34.649]  I definitely understand your concerns.
[00:27:35.189 --> 00:27:49.377]  At this time, if you have additional questions in regards to this topic, I would have to escalate this information or you can go on to the CDC.gov website and ask your inquiry on the website and they will respond by email.
[00:27:50.058 --> 00:27:54.620]  But this topic is out of scope for myself and the CDC info.
[00:27:55.240 --> 00:27:58.102]  They do not provide any additional information other than that.
[00:28:00.113 --> 00:28:01.134]  Who's going to go down to the border?
[00:28:01.154 --> 00:28:02.614]  When is this going to happen?
[00:28:06.795 --> 00:28:18.658]  Right now, basic EMTs are supposedly screening these kids, which means they're getting past our borders and they've made it to Lackland Air Force Base, which is in San Antonio, and there's a swine flu outbreak.
[00:28:19.018 --> 00:28:21.718]  There's no one here that can speak to you about this information.
[00:28:22.019 --> 00:28:22.939]  Why not?
[00:28:22.979 --> 00:28:23.559]  That's your job.
[00:28:24.485 --> 00:28:27.567]  It is out of scope for the CDC info.
[00:28:27.607 --> 00:28:30.228]  You are speaking to CDC info, not CDC.
[00:28:30.628 --> 00:28:32.329]  Is there a number I can call to talk to somebody?
[00:28:34.230 --> 00:28:34.670]  No, sir.
[00:28:34.710 --> 00:28:36.671]  We do not have information in regards to that.
[00:28:37.311 --> 00:28:40.833]  So there's no way that I can report an outbreak.
[00:28:41.133 --> 00:28:44.695]  I have to go to a website and hope that someone gets to it in time?
[00:28:46.136 --> 00:28:49.858]  If you'd like to report an outbreak, you can report that to the state or local health department.
[00:28:51.098 --> 00:28:52.559]  But it's not the CDC's problem?
[00:28:54.491 --> 00:28:56.673]  It's not something that the CDC regulates.
[00:28:58.254 --> 00:28:59.595]  So what is it that you guys do then?
[00:29:00.095 --> 00:29:14.466]  Since you don't go down to border situations where there's a crisis, where kids are coming over and bringing these viruses like MRSA and things like that into our country, since that's not an issue that you guys take care of, what is it the CDC actually does then?
[00:29:16.568 --> 00:29:21.732]  Well the role of CDC info is to provide general health information in regards to health risks
[00:29:22.600 --> 00:29:26.121]  Are you guys providing information to the Border Patrol then to help them?
[00:29:26.201 --> 00:29:26.721]  Okay, thank you.
[00:29:38.226 --> 00:29:41.387]  And so it's not just contagious diseases that we have to worry about.
[00:29:41.768 --> 00:29:49.051]  We're also witnessing the overrunning of our country, but we're also witnessing the rollout of the domestic security force.
[00:29:49.411 --> 00:29:56.414]  Now, the medical staff inside Lackland Air Force Base said that they were threatened with arrest by a government-contracted security force.
[00:29:56.974 --> 00:30:06.580]  And they say that this security force is from the Baptist Family and Children's Services, which is what the Department of Health and Human Services hired to run the Lackland camp.
[00:30:06.941 --> 00:30:14.045]  Now, if you go to the Baptist Family and Children's Services website, it says that they serve God by giving families a new start.
[00:30:14.166 --> 00:30:15.446]  And of course, that's all well and good.
[00:30:15.486 --> 00:30:16.727]  They're taking care of these families.
[00:30:17.168 --> 00:30:20.350]  But when did they become a security force?
[00:30:20.390 --> 00:30:26.774]  When are they providing, you know, when did they get the authority to arrest medical staff for carrying a cell phone?
[00:30:27.635 --> 00:30:29.436]  You're a spearhead for the Obama administration.
[00:30:30.176 --> 00:30:34.179]  Well, tellingly, in this article, they call themselves the Brownshirts.
[00:30:34.419 --> 00:30:39.543]  A counselor inside the Lackland Air Force Base said, it was a very submissive atmosphere.
[00:30:39.763 --> 00:30:44.627]  Once you stepped onto the grounds, you abided by their laws, the Brownshirt laws.
[00:30:45.007 --> 00:30:55.894]  Now, of course, this is telling because in the run-up to the 2008 presidential election, Barack Obama promised that he would work to implement a domestic security force which would rival that of the U.S.
[00:30:55.954 --> 00:30:56.435]  military
[00:30:56.795 --> 00:30:59.638]  And many people dubbed this proposed force the Brown Shirts.
[00:30:59.799 --> 00:31:12.754]  It's a term used to kind of describe a Nazi assault force, that they were charged with arresting dissidents, silencing criticism, and execution of anyone who couldn't be re-educated.
[00:31:14.554 --> 00:31:15.194]  That's bizarre.
[00:31:15.414 --> 00:31:31.840]  We've reached a point, and there was a few years ago, where the AmeriCorps in Wisconsin was having the white kids put white bracelets on so that they would remember to be sensitive to folks of other color or whatever.
[00:31:32.160 --> 00:31:34.861]  What they're doing is they're using these kids
[00:31:35.481 --> 00:31:39.404]  And they're planting these seeds of ignorance in their minds.
[00:31:40.124 --> 00:31:41.465]  And they're going to roll them out.
[00:31:41.566 --> 00:31:47.330]  And as their families come in, as more illegals come in, they're going to be added to that.
[00:31:47.730 --> 00:31:56.316]  And then they're also going to add to the progressive voting agenda, which will collapse our country.
[00:31:56.396 --> 00:31:58.738]  And then eventually they're going to take our gun rights away and everything like that.
[00:31:58.778 --> 00:32:00.860]  They'll embed all these thoughts in their mind, like you said.
[00:32:01.220 --> 00:32:03.542]  It'll be like this little rogue army that they're building up.
[00:32:04.229 --> 00:32:10.232]  Right, and these brown shirts that are inside of these internment camps, they're not there keeping the peace between the migrants.
[00:32:10.372 --> 00:32:14.794]  They are there to arrest medical staff who might be caught with a cell phone.
[00:32:14.814 --> 00:32:17.155]  You said it again though, I did catch you, you said migrants.
[00:32:17.675 --> 00:32:20.616]  So let me just tell you the definition of a migrant.
[00:32:20.997 --> 00:32:25.479]  A migrant is a person who moves regularly in order to find work.
[00:32:26.619 --> 00:32:28.341]  Especially in harvesting crops.
[00:32:28.961 --> 00:32:31.783]  Or it's an animal that shifts from one habitat to another.
[00:32:31.883 --> 00:32:35.426]  They are committing a crime when they set foot into our country.
[00:32:35.927 --> 00:32:40.591]  It's not some thing that's out there that we can debate.
[00:32:40.911 --> 00:32:42.812]  They are committing a crime.
[00:32:42.873 --> 00:32:46.856]  Joe Arpaio, why are my jails filling up with illegals?
[00:32:46.936 --> 00:32:50.979]  Why don't we send the military down to the border to deal with this criminal activity?
[00:32:51.259 --> 00:32:54.842]  Well, the administration is acting like this is some humanitarian effort.
[00:32:55.743 --> 00:32:58.604]  Let's just stop calling this a humanitarian crisis.
[00:32:58.824 --> 00:33:01.424]  They keep trying to say it's racist because we have a border fence.
[00:33:01.464 --> 00:33:06.065]  I mean, if we go to Mexico, if we go to Canada, we're going to get stopped at a border.
[00:33:06.425 --> 00:33:12.186]  In the United States of America, driving in the state of Texas with Texas license plates on your car, you get stopped in America.
[00:33:12.446 --> 00:33:13.667]  Hey, are you an American citizen?
[00:33:13.727 --> 00:33:15.227]  I was like, man, I don't want to play this game.
[00:33:15.247 --> 00:33:18.348]  Well, let's talk for a second about we are naturalized citizens.
[00:33:18.448 --> 00:33:22.048]  We're also made up of people that have worked hard to become citizens.
[00:33:22.509 --> 00:33:24.409]  We are an economy that is broke.
[00:33:24.969 --> 00:33:29.572]  We're led by a president that has no leadership.
[00:33:29.653 --> 00:33:31.674]  He's got the worst poll in history.
[00:33:31.814 --> 00:33:32.154]  Right.
[00:33:32.995 --> 00:33:36.458]  And we've all been stabbed in the back by this administration.
[00:33:37.699 --> 00:33:40.461]  What's happening now is it's too much.
[00:33:40.661 --> 00:33:43.263]  It's too much for the American psyche to even deal with.
[00:33:43.523 --> 00:33:45.464]  Let's tear those brown shirts in the face today.
[00:33:45.524 --> 00:33:46.765]  I saw them down in Lackland.
[00:33:46.945 --> 00:33:47.706]  Let me tell you what.
[00:33:48.186 --> 00:33:48.487]  Bring it.
[00:33:49.347 --> 00:33:50.288]  These guys are weaklings.
[00:33:50.769 --> 00:33:51.609]  They ain't got nothing.
[00:33:52.190 --> 00:33:54.092]  So just keep on doing what you're doing, America.
[00:33:54.412 --> 00:33:55.373]  Stand up to these guys.
[00:33:55.533 --> 00:33:56.193]  Well, absolutely.
[00:33:56.213 --> 00:34:02.779]  I think it's very telling, being Independence Day and everything, that we have the people there that were able to reroute the buses.
[00:34:02.819 --> 00:34:03.700]  They were protesting.
[00:34:03.740 --> 00:34:05.282]  They were waving the American flag.
[00:34:05.322 --> 00:34:06.703]  They rerouted the buses.
[00:34:07.083 --> 00:34:09.085]  And the media is calling these people racist.
[00:34:09.105 --> 00:34:09.846]  They're saying they're doing it.
[00:34:10.166 --> 00:34:15.047]  These people are protesting the fact that we are aiding and abetting criminals, basically.
[00:34:15.087 --> 00:34:21.849]  They are being forced to pay to bust these illegals into San Diego or wherever they're being shipped.
[00:34:22.309 --> 00:34:24.110]  And people are fed up about it.
[00:34:24.210 --> 00:34:27.751]  And then all of a sudden it's racist to wave the American flag.
[00:34:28.231 --> 00:34:30.212]  And people here say, like, you know, destroy the country.
[00:34:30.232 --> 00:34:34.015]  You can look at places like San, I think San Bernardino, California, the county out there.
[00:34:34.435 --> 00:34:39.919]  And it was in 2009, they spent about $60 million for welfare benefits for illegal immigrants.
[00:34:39.939 --> 00:34:41.120]  And that's just illegal immigrants.
[00:34:41.160 --> 00:34:43.081]  That's not anybody else in their county.
[00:34:43.401 --> 00:34:46.663]  So it's a very real impact as people just say, oh, you guys are racist.
[00:34:46.703 --> 00:34:49.105]  You say they're diseased and they're all gang members.
[00:34:49.425 --> 00:34:51.066]  No, not all of them have diseases.
[00:34:51.707 --> 00:34:53.168]  Not all of them have gang affiliation.
[00:34:53.428 --> 00:34:58.131]  But you have to look at the very, you know, real fact that this thing at the bottom level just cost us money.
[00:34:58.851 --> 00:35:01.172]  I mean, we train the Zetas.
[00:35:01.212 --> 00:35:05.354]  The drug cartels are the only way through Mexico safely to our borders to get into our country.
[00:35:05.634 --> 00:35:09.435]  And our government trained the Zetas at Fort Bragg, North Carolina.
[00:35:09.795 --> 00:35:11.616]  So, these guys are training them.
[00:35:11.936 --> 00:35:13.937]  Now they're the ones smuggling the kids there.
[00:35:13.977 --> 00:35:18.559]  It's just one big plot by the Obama administration to slowly destroy our country.
[00:35:18.599 --> 00:35:23.060]  And we want to stress that these illegal immigrants are not just coming from Central America and Mexico.
[00:35:23.100 --> 00:35:24.501]  They're coming from all over.
[00:35:24.926 --> 00:35:32.211]  They are 80% now, other than Mexico, which means they're coming from Pakistan, India, China, you name it.
[00:35:32.871 --> 00:35:38.334]  They're coming across our borders while our administration, the Border Patrol, are dealing with all these kids.
[00:35:39.175 --> 00:35:42.957]  And it is just accelerating as we speak.
[00:35:43.377 --> 00:35:43.618]  Right.
[00:35:43.698 --> 00:35:45.819]  The borders are wide open.
[00:35:46.239 --> 00:35:47.260]  Let's take a look at that report.
[00:35:48.666 --> 00:35:53.829]  These cities just above the US-Mexico border don't receive any federal funding.
[00:35:54.470 --> 00:36:07.238]  The law-abiding, land-owning residents of towns such as Falfurrias, Texas are overrun by a tsunami of illegals as a result of what's called the funnel effect.
[00:36:07.518 --> 00:36:21.545]  The militarization of the border, which includes checkpoints, barriers, and security technology, diverts the human smuggling operations into treacherous, searing, and rugged terrain that delivers many illegal aliens to their deaths.
[00:36:21.825 --> 00:36:27.928]  And ranch owners and Texas border volunteer founders Mike and Linda Vickers contending with the outcome.
[00:36:28.088 --> 00:36:32.210]  They're all contributing to organized crime by paying large sums of money to be brought in here.
[00:36:32.270 --> 00:36:33.511]  And to give you an example,
[00:36:34.315 --> 00:36:36.236]  The Chinese are paying $50,000.
[00:36:36.396 --> 00:36:38.517]  The Indians are paying $10,000 to $20,000.
[00:36:39.018 --> 00:36:41.179]  All the Central Americans, the average is about $7,000.
[00:36:41.319 --> 00:36:46.622]  So, and the Mexicans, especially Southern Mexico, are paying $3,000.
[00:36:47.502 --> 00:36:55.867]  So, it's a huge, huge money event for the cartels, probably even more lucrative than the drug business.
[00:36:56.187 --> 00:37:00.709]  As one of them was climbing over the fence, he dropped a package.
[00:37:02.110 --> 00:37:03.651]  And that package was an
[00:37:04.184 --> 00:37:05.205]  Urdu Dictionary.
[00:37:05.285 --> 00:37:09.647]  Urdu is a language spoken in Pakistan and Afghanistan.
[00:37:10.408 --> 00:37:18.593]  And in that translation book, Urdu and English, there were a lot of phrases circled and outlined.
[00:37:19.233 --> 00:37:20.374]  Do you speak Spanish?
[00:37:21.054 --> 00:37:21.995]  Do you speak English?
[00:37:22.815 --> 00:37:24.096]  You must pay in dollars.
[00:37:25.237 --> 00:37:33.862]  So we know that special interest countries, in particular countries like Pakistan or Afghanistan, that are not particularly friendly with our country
[00:37:34.482 --> 00:37:47.886]  are slipping through here under the disguise of and under the all this other activity that's going on where these families are given up and and the border patrol resources are being compromised
[00:37:49.448 --> 00:37:51.049]  Well, a big thank you to the whole crew.
[00:37:51.089 --> 00:37:54.392]  You've done an amazing job covering the crisis at the border.
[00:37:54.953 --> 00:38:03.960]  And, you know, it seems like now, more than ever, Americans really need to show their patriotism, wave those American flags every day of the year, not just the 4th of July.
[00:38:04.361 --> 00:38:10.466]  We've got to continue standing up to the tyranny, standing up to this lawlessness with the spirit of 1776.
[00:38:12.868 --> 00:38:19.152]  And in the spirit of 1776, we have a summer blowout special this weekend only.
[00:38:19.172 --> 00:38:22.073]  It's our July 4th Independence Day sale.
[00:38:22.454 --> 00:38:23.554]  Made in 1776 t-shirts are just 1776.
[00:38:28.197 --> 00:38:32.279]  And don't forget, we're running our Prison Planet Summer Special for a limited time.
[00:38:32.359 --> 00:38:34.579]  It's just $39.95 a year.
[00:38:35.000 --> 00:38:38.781]  It was three months free, and now you're getting five months free.
[00:38:39.041 --> 00:38:41.662]  That's 27% off the regular price.
[00:38:42.082 --> 00:38:45.824]  It goes from 15 cents a day to 11 cents a day.
[00:38:46.144 --> 00:38:50.025]  And remember, with 11 users, that is one penny a day.
[00:38:50.626 --> 00:38:52.746]  Thank you all so much for joining us here tonight.
[00:38:52.826 --> 00:38:54.907]  We'll see you again Monday at 7 p.m.
[00:38:54.967 --> 00:38:55.327]  Central.
[00:38:55.728 --> 00:38:56.628]  Happy 4th of July.
[00:38:58.334 --> 00:39:10.747]  Finally, on this special July 4th, 2014 edition of InfoWars Nightly News, I want to close out this transmission with a report to you, the viewers and listeners.
[00:39:11.647 --> 00:39:13.649]  Of where InfoWars is right now.
[00:39:14.109 --> 00:39:21.035]  Because this operation belongs to you as much as it belongs to myself, or Rob Dues standing to the left of me, or the crew in there in the control room.
[00:39:21.476 --> 00:39:22.837]  We are all in this together.
[00:39:23.137 --> 00:39:25.259]  Not just in the United States, but worldwide.
[00:39:26.020 --> 00:39:31.465]  The idea of human liberty, of due process, of freedom, that your home is your castle.
[00:39:32.065 --> 00:39:42.388]  That you have a right to privacy, that you have a right to self-defense, that you have a right to raise your children as you see fit, and to go to church or not go to church, to produce the art and literature that you want.
[00:39:43.408 --> 00:39:45.169]  This is a fight for basic freedom.
[00:39:46.349 --> 00:39:50.951]  And to have freedom, we've got to recognize tyranny from liberty.
[00:39:51.431 --> 00:39:55.332]  And more and more people worldwide, not just here in the U.S., are realizing that.
[00:39:57.657 --> 00:40:01.318]  The report is positive in many respects, but also negative in others.
[00:40:01.618 --> 00:40:05.240]  There's never been an awakening happening this big or this fast.
[00:40:06.080 --> 00:40:13.462]  But the establishment and the control freaks, the totalitarians, have never had as many tools of domination and control as they have now.
[00:40:14.483 --> 00:40:23.786]  But if we the people will all simply do small things every day to resist, every day to speak out, every day to get involved, we can defeat this system.
[00:40:24.884 --> 00:40:37.774]  In the arena of ideas, we can have a velvet revolution, 1776 2.0, where we vote with our dollars to support institutions, media, and systems that promote freedom.
[00:40:38.534 --> 00:40:49.463]  Where we speak out against corruption, where we don't comply with corruption, where we engage in more and more forms of civil disobedience, because when tyranny is the law of the land,
[00:40:50.163 --> 00:40:51.224]  It is not just our duty.
[00:40:51.865 --> 00:40:52.866]  It is not just our right.
[00:40:52.986 --> 00:40:55.368]  It is an act of survival.
[00:40:56.431 --> 00:40:58.312]  To say no to those forms.
[00:40:59.232 --> 00:41:08.617]  So no matter what you do, no matter how big or how small, it is having an absolutely massive effect on the globalist.
[00:41:09.017 --> 00:41:15.320]  The power of the individual reaching out to other individuals with shared values is unstoppable.
[00:41:15.600 --> 00:41:22.244]  We can have a new enlightenment, we can have a new renaissance, if we simply reach out and take it in our hands.
[00:41:23.257 --> 00:41:25.138]  That is the true fulfillment of the human spirit.
[00:41:25.898 --> 00:41:28.559]  And we stand here at the very crossroads.
[00:41:30.119 --> 00:41:32.680]  The report on InfoWars is we're reaching more people than ever.
[00:41:32.740 --> 00:41:35.601]  It's an incredible responsibility to be so successful.
[00:41:36.641 --> 00:41:41.402]  And I want to thank you for your prayers, your support, the fact that you're continually spreading the word.
[00:41:41.442 --> 00:41:49.825]  And I want you to realize that when you call into my radio show and say, you're the new Paul Revere, you're so great, Alex, that it actually upsets me.
[00:41:50.796 --> 00:41:52.157]  Because I want you to understand something.
[00:41:52.918 --> 00:41:54.579]  You are Paul Revere.
[00:41:55.660 --> 00:41:57.442]  You are the answer.
[00:41:57.802 --> 00:41:59.343]  You are the resistance.
[00:42:00.624 --> 00:42:04.428]  We are together, in free association, loving liberty.
[00:42:05.429 --> 00:42:08.371]  And of course I'm a modern Paul Revere, because we all are.
[00:42:08.671 --> 00:42:09.592]  We all have power.
[00:42:10.093 --> 00:42:17.179]  If you think that it's just Alex Jones that can be successful, if you think it's just Alex Jones that can take action, you're buying into the enemy's lies.
[00:42:18.035 --> 00:42:18.856]  You have the power.
[00:42:19.336 --> 00:42:22.218]  All over the country, they're arresting people that have lemonade stands.
[00:42:22.578 --> 00:42:28.201]  They're arresting people that put chalk on the ground with free speech messages on their own sidewalks that they paid for.
[00:42:28.802 --> 00:42:29.782]  And why are they doing that?
[00:42:29.983 --> 00:42:33.625]  Threatening a year in prison in Las Vegas, six months in jail in Austin.
[00:42:34.145 --> 00:42:40.871]  Because they're scared of you and your ideas being expressed that aren't globalist and aren't corporate and aren't monopolies.
[00:42:41.192 --> 00:42:42.613]  They want a monopoly of force.
[00:42:42.993 --> 00:42:44.495]  They don't want you to be able to defend yourself.
[00:42:44.715 --> 00:42:47.698]  They want a monopoly over your family, with the state running your family.
[00:42:47.918 --> 00:42:52.462]  They want a monopoly over you going to a cashless Walmart buying Chinese slave goods.
[00:42:53.804 --> 00:42:54.925]  They want to dominate you.
[00:42:56.380 --> 00:43:00.522]  So the modern Paul Revere isn't just going to ride around and say to arms to arms, the British are coming.
[00:43:00.782 --> 00:43:11.767]  They're going to say, to the Infowar, the globalist corporatists have already occupied us, and recognize that they've taken over so that we can begin the process of resisting them, like Gandhi did, peacefully.
[00:43:12.793 --> 00:43:14.154]  By simply marching to the sea.
[00:43:14.194 --> 00:43:15.656]  They had a tax on salt.
[00:43:15.676 --> 00:43:20.240]  You had to buy it from the British government, from the British East India Company, at hundreds of times what it should cost.
[00:43:20.560 --> 00:43:28.787]  He marched hundreds of miles, with thousands and thousands of people joining him, and then hundreds of thousands to the sea, and gathered the salt for himself.
[00:43:29.548 --> 00:43:31.549]  And showed that they didn't have a monopoly of control.
[00:43:32.423 --> 00:43:35.604]  And that was the beginning of the end of that empire's control in that region.
[00:43:36.484 --> 00:43:38.205]  And it's the same thing here today.
[00:43:38.525 --> 00:43:48.488]  Your little acts of defiance, like Rosa Parks sitting at the front of the bus, will bring this tyranny to its knees when they attack you, when they demonize you, when they come after you.
[00:43:49.508 --> 00:43:53.329]  Remember, it's because they are scared of what you stand for.
[00:43:53.349 --> 00:43:57.871]  They are scared of you not being a biological android that they can just program.
[00:43:58.491 --> 00:44:03.553]  July 4th is one of the great examples of underdogs defeating a military that never been stopped.
[00:44:03.933 --> 00:44:10.295]  And certainly our country's had its share of problems and has been demonized by modern tyrants because they're scared of what the documents say.
[00:44:11.275 --> 00:44:24.648]  Not that the documents were ever fully fulfilled or fully realized, but that if they were, it would symbolize a true new era of human exploration and freedom that I dream of and I know you dream of as well.
[00:44:25.389 --> 00:44:35.379]  So on this July 4th, 2014, from the heart of Alex Jones to all you out there and from our whole crew here at InfoWars, the state of humanity is dire.
[00:44:35.939 --> 00:44:41.902]  But the sleeping giant is now waking to the fight and the challenge, and so the news couldn't be better.
[00:44:42.563 --> 00:44:45.584]  It is always darkest before the dawn, and the dawn is coming.
[00:44:46.225 --> 00:44:53.309]  So to all of you out there who have the same love of freedom as I do, we are kindred spirits, we are brothers, we are fellow travelers.
[00:44:53.729 --> 00:44:55.870]  That's a communist term, but I'm taking it back for humanity.
[00:44:57.051 --> 00:44:58.292]  In the great quest for freedom.
[00:44:58.752 --> 00:45:02.354]  And life is about the journey, not the destination.
[00:45:03.655 --> 00:45:05.156]  This is the time to be involved.
[00:45:05.496 --> 00:45:06.896]  This is when history is happening.
[00:45:07.116 --> 00:45:17.281]  This is when all the forces are coming together and when the enemy is putting their full weight behind tyranny because they know this critical time of change, this critical
[00:45:18.530 --> 00:45:20.151]  Time of flux.
[00:45:20.911 --> 00:45:23.153]  This quickening is now accelerating.
[00:45:23.513 --> 00:45:24.754]  So get involved today.
[00:45:25.054 --> 00:45:26.255]  Realize you are important.
[00:45:26.535 --> 00:45:30.057]  Realize you're in the midst of incredible wonderment all around you.
[00:45:30.217 --> 00:45:37.742]  The human body, the sky, the universe, all the science, the technology, our families, the cultures.
[00:45:38.242 --> 00:45:40.663]  It's fantastic what we're in the middle of.
[00:45:41.164 --> 00:45:42.725]  And just by realizing that,
[00:45:43.345 --> 00:45:49.768]  The tyranny of the global control freaks begins to end because we see what a joke they are compared to the rest of the universe.
[00:45:50.348 --> 00:45:51.188]  Don't be a robot.
[00:45:51.529 --> 00:46:12.578]  Take your destiny to be a free man or woman in your hands of every race, color, religion and creed and realize that that quest to realize your own personal destiny is waiting for you if you stop following the messages of the globalists and simply look into your own heart and soul and see the common sense there that is diametrically opposed to everything the globalists have offered.
[00:46:13.424 --> 00:46:17.485]  For all of you that serve the system in closing, you're going to be destroyed by it.
[00:46:17.685 --> 00:46:18.886]  It is about betraying.
[00:46:19.266 --> 00:46:20.226]  It is about fraud.
[00:46:20.286 --> 00:46:21.267]  It is about lies.
[00:46:21.787 --> 00:46:22.827]  It is about deceit.
[00:46:22.947 --> 00:46:24.808]  It is about pain and suffering.
[00:46:25.488 --> 00:46:28.149]  You are not getting power out of serving evil in the end.
[00:46:28.169 --> 00:46:30.630]  You're only getting temporary illusion of power.
[00:46:31.150 --> 00:46:40.633]  True power is giving yourself to justice, giving yourself to honor, giving yourself to true peace, giving yourself to help others and build up the world around you.
