[00:00:00.350 --> 00:00:01.654]  Direct from Austin.
[00:40:30.241 --> 00:40:30.801]  But here's the deal.
[00:40:32.354 --> 00:40:42.376]  The 17, 18 trillion we really owe is a drop in the bucket compared to the 700 trillion of the 1.5 global quadrillion that the globalists have created.
[00:40:42.776 --> 00:40:44.437]  They're the people that created the debt.
[00:40:44.977 --> 00:40:54.859]  Iceland arrested their head banking minister and discovered 90 plus percent, it was like 93 percent, this was two years ago, was not owed by them.
[00:40:56.069 --> 00:41:03.774]  The 400,000 Icelanders were told, you each owe over a million pounds, because their money was pegged to the pound.
[00:41:04.775 --> 00:41:08.678]  That's like a million and a half dollars or more in U.S.
[00:41:08.758 --> 00:41:08.998]  money.
[00:41:09.739 --> 00:41:11.020]  And the people just wouldn't pay it.
[00:41:11.060 --> 00:41:15.143]  And then they found out, wait, the government signed us on to all this debt that's not ours.
[00:41:15.823 --> 00:41:17.204]  And they arrested people.
[00:41:18.525 --> 00:41:19.726]  They arrested them.
[00:41:20.907 --> 00:41:24.029]  The name of the game is get people in debt, bankrupt them.
[00:41:26.573 --> 00:41:29.055]  So, that's the big issue, ladies and gentlemen.
[00:41:30.776 --> 00:41:48.389]  Now, continuing here to Harry Reid, let's move on to Lisa Monaco, who talks about, hey, if your kids are, you know, acting out, if your children, quote, are confrontational, that's a sign they may be terrorists.
[00:41:48.429 --> 00:41:51.191]  See, mom, dad, you can't even trust your children.
[00:41:51.971 --> 00:41:55.394]  You can trust one thing, and one thing only, and that's the state.
[00:41:57.332 --> 00:42:00.635]  And then all the criminal interests that have their hands in the state.
[00:42:01.456 --> 00:42:10.063]  See, the state is only the apparatus through which the special interests are engaged in this takeover.
[00:42:10.663 --> 00:42:12.845]  I'm not even demonizing people that work for the state.
[00:42:13.206 --> 00:42:21.633]  The average police officer, the average teacher, the average bureaucrat, they're compartmentalized, given very narrow things that they can do.
[00:42:21.773 --> 00:42:22.814]  They're constrained.
[00:42:24.198 --> 00:42:36.125]  But they should leak things, not comply, really soul-search which side they're on, and ask themselves, is helping the system come into being good, or we want to reverse the path we're on?
[00:42:38.106 --> 00:42:40.748]  But the real onus is with us, we the people.
[00:42:41.728 --> 00:42:42.629]  What are we going to do?
[00:42:43.089 --> 00:42:44.110]  So let's go to this clip.
[00:42:45.310 --> 00:42:48.953]  White House counterterrorism chief, confrontational children could be terrorists.
[00:42:49.293 --> 00:42:51.034]  She said this on CBS News.
[00:42:59.846 --> 00:43:01.668]  So what kinds of behaviors are we talking about?
[00:43:02.048 --> 00:43:06.433]  For the most part, they're not related directly to actually plotting attacks.
[00:43:07.074 --> 00:43:07.735]  They're more subtle.
[00:43:09.110 --> 00:43:16.616]  Parents might see sudden personality changes in their children at home, becoming more confrontational than usual.
[00:43:17.256 --> 00:43:22.901]  Religious leaders might notice unexpected clashes over ideological differences.
[00:43:24.242 --> 00:43:30.707]  And teachers might hear students expressing an interest to travel to a conflict zone overseas.
[00:43:31.547 --> 00:43:37.132]  Or friends might notice a new interest in watching or sharing violent material.
[00:43:38.669 --> 00:43:42.971]  The government is of course rarely in a position to observe these early signals.
[00:43:43.652 --> 00:43:48.974]  So we need to do more to help communities and community members understand the warning signs.
[00:43:49.554 --> 00:43:54.157]  And then work together to intervene before something can occur.
[00:43:54.917 --> 00:43:55.838]  While always
[00:43:56.898 --> 00:44:04.561]  And this is important, while always respecting our core commitment to protecting privacy and civil liberties.
[00:44:05.381 --> 00:44:14.324]  All of this is for naught if we don't have the trust in our communities between both the government and the members of the community.
[00:44:14.344 --> 00:44:20.167]  All right, and then shifting gears, we have another clip here.
[00:44:20.207 --> 00:44:21.087]  This is Scalia.
[00:44:22.526 --> 00:44:26.532]  Justice Scalia of the Supreme Court talking about the TSA and NSA.
[00:44:27.092 --> 00:44:27.813]  Here's that clip.
[00:44:29.315 --> 00:44:30.236]  Doesn't it follow?
[00:44:32.080 --> 00:44:32.720]  That the U.S.
[00:44:32.760 --> 00:44:42.382]  government would not be able to justify its NSA surveillance program, and therefore, conceivably, could be in violation of the Constitution.
[00:44:42.462 --> 00:44:44.283]  No, because it's not absolute.
[00:44:44.323 --> 00:44:47.644]  As Ruth said, there are very few freedoms that are absolute.
[00:44:48.104 --> 00:44:58.806]  I mean, your person is protected by the Fourth Amendment, but as I pointed out, when you board a plane, somebody can pass his hands all over your body.
[00:44:58.846 --> 00:45:00.067]  That's a terrible intrusion.
[00:45:01.947 --> 00:45:07.055]  Given the danger that it's guarding against, it's not an unreasonable intrusion.
[00:45:07.596 --> 00:45:14.066]  And it can be the same thing with acquiring this data that is regarded as effects.
[00:45:15.196 --> 00:45:15.836]  Depends on how.
[00:45:16.977 --> 00:45:23.278]  And that's why I say it's foolish to have us make the decision, because I don't know how serious the danger is.
[00:45:23.298 --> 00:45:24.199]  Alright, let's stop there.
[00:45:24.859 --> 00:45:25.259]  That's right.
[00:45:25.299 --> 00:45:27.480]  It's like, who makes the decision of what's the danger is?
[00:45:27.940 --> 00:45:34.682]  The NSA, the CIA, openly set up by the globalists, openly set up to take over the country, openly running Al-Qaeda.
[00:45:34.702 --> 00:45:41.224]  And you have these soft sellouts of the system, Scalia, who's a lawyer and knows that's pure treason.
[00:45:43.035 --> 00:45:45.456]  You know, if there's a danger, we can do whatever we want!
[00:45:47.397 --> 00:45:48.638]  Really, that was never accepted before.
[00:45:48.658 --> 00:45:52.300]  Got a better chance of dying from a honeybee sting every year than from terrorists.
[00:45:53.061 --> 00:45:53.421]  Look it up.
[00:45:54.401 --> 00:45:56.242]  Even Esquire did an article on that last year.
[00:45:57.883 --> 00:46:00.245]  Deer jumping out in front of your car kills more people than terrorists.
[00:46:04.107 --> 00:46:04.787]  They don't care, though.
[00:46:04.987 --> 00:46:05.968]  It's just perception.
[00:46:07.461 --> 00:46:08.742]  Of, we're gonna protect you.
[00:46:09.262 --> 00:46:11.583]  Hypothetically, somebody could do a mass shooting on a highway.
[00:46:11.603 --> 00:46:13.344]  We need checkpoints on the highway.
[00:46:16.606 --> 00:46:23.310]  Now, remember what the BBC put out last year, and then the Boston Globe also ran a similar headline, and we're putting it on screen right now.
[00:46:23.730 --> 00:46:24.330]  Is the U.S.
[00:46:24.350 --> 00:46:25.871]  Declaration of Independence illegal?
[00:46:29.233 --> 00:46:32.155]  And they go on to say, maybe it's even terrorist.
[00:46:35.762 --> 00:46:39.103]  Because it dares to say you have a right to stand up against the government.
[00:46:39.143 --> 00:46:42.085]  I mean, this is... There's another headline.
[00:46:42.125 --> 00:46:44.286]  Is the Declaration of Independence unconstitutional?
[00:46:46.006 --> 00:46:46.887]  This is not a joke.
[00:46:46.967 --> 00:46:49.248]  This is what the system is pushing.
[00:46:52.349 --> 00:46:53.929]  Because they're overthrowing everything.
[00:46:53.949 --> 00:46:54.890]  They've got to make it look normal.
[00:46:55.110 --> 00:47:02.372]  So they have one of the justices of the Supreme Court go on C-SPAN in front of a whole room of lawyers and say, no, there's no absolute.
[00:47:02.412 --> 00:47:05.273]  We can have the NSA spying, grabbing everybody's data.
[00:47:05.573 --> 00:47:06.533]  We can grope you.
[00:47:07.173 --> 00:47:08.873]  Really, it's always been totally illegal.
[00:47:08.893 --> 00:47:09.914]  So the government lied about it.
[00:47:10.214 --> 00:47:11.034]  Now they get caught.
[00:47:11.074 --> 00:47:12.494]  They go, oh, we're allowed to.
[00:47:15.595 --> 00:47:18.836]  This is a revolution of tyrants and authoritarians against us.
[00:47:19.696 --> 00:47:21.357]  And it's been going pretty well.
[00:47:22.574 --> 00:47:30.742]  So finally, you get 52 families driven out of business, even though they had the grazing rights under state and federal law before the BLM existed.
[00:47:31.042 --> 00:47:33.925]  BLM comes along and arbitrarily says, you will pay us all this.
[00:47:35.666 --> 00:47:40.171]  A federal court last year in Nevada said that very BLM was, quote, in a criminal conspiracy.
[00:47:40.751 --> 00:47:44.415]  Kit Daniels wrote an article about that on Friday, but it's been in all the mainstream news.
[00:47:46.021 --> 00:47:46.922]  The media won't cover it.
[00:47:46.942 --> 00:47:54.089]  It's in a vacuum that last year, headline, federal judge says BLM involved in criminal conspiracy in Nevada.
[00:47:55.390 --> 00:48:02.518]  Well, they are in a criminal conspiracy to run people off their land, just like the coal power plants that are totally clean, supply half our energy.
[00:48:03.609 --> 00:48:03.749]  I think?
[00:48:34.109 --> 00:48:36.471]  What do you think is going to happen in an economy like that?
[00:48:37.691 --> 00:48:40.133]  It's going to be just like New York City and mob-run areas.
[00:48:40.533 --> 00:48:46.997]  You're not going to have a business unless the mob basically owns it and you're going to be their slave and have to kiss their butt all day.
[00:48:47.337 --> 00:48:48.978]  I don't want to live in a country like that.
[00:48:53.961 --> 00:49:02.786]  I mean, if some mobster showed up at my office and said, you pay me money or I'm going to come after your family, folks, I would knock their teeth in right there on the spot.
[00:49:04.872 --> 00:49:07.234]  There's a reason the Mafia never fly in Texas.
[00:49:07.555 --> 00:49:11.338]  Because people will kill you if you try to go around telling people what to do.
[00:49:11.638 --> 00:49:18.625]  Guarantee anybody in my family, growing up, my grandfathers especially, somebody came to their house saying to me, my grandfathers would kill you on the spot.
[00:49:18.805 --> 00:49:20.046]  And it wasn't because they were these great guys.
[00:49:20.207 --> 00:49:21.568]  These were guys that taught Sunday school.
[00:49:21.928 --> 00:49:23.890]  These were guys that played football with Tom Landry.
[00:49:24.070 --> 00:49:26.833]  These were guys that flew B-17s, you know, over Europe.
[00:49:28.985 --> 00:49:30.407]  These are guys that open doors for little old ladies.
[00:49:30.447 --> 00:49:33.572]  My grandfathers would kill someone the minute they did that.
[00:49:33.612 --> 00:49:34.413]  They would kill you.
[00:49:35.334 --> 00:49:37.558]  And it wasn't because they were violent, evil, bad people.
[00:49:37.738 --> 00:49:39.581]  It was because they weren't slaves, ladies and gentlemen.
[00:49:41.704 --> 00:49:42.305]  And they understood.
[00:49:42.325 --> 00:49:43.446]  But no, we would do that.
[00:49:43.846 --> 00:49:50.772]  Hell, if you put a mobster in a uniform and they came and said, bring your daughter out here, the average American would bring their daughter out and bend her over a barrel.
[00:49:51.112 --> 00:49:54.715]  And if the cops said, stab your daughter in the head with an ice pick, the average American would do it.
[00:49:54.895 --> 00:49:58.699]  Because in this country, people worship the state and blind authority.
[00:49:58.879 --> 00:50:02.962]  We're going to go to break and come back with Vic, Josh, Tom, John, Anthony, and others.
[00:50:03.022 --> 00:50:03.383]  Briefly.
[00:50:04.624 --> 00:50:07.186]  This broadcast is funded by listeners and viewers like you.
[00:50:07.226 --> 00:50:09.208]  We don't take your money at gunpoint like NPR.
[00:50:10.677 --> 00:50:23.870]  We get it when you support us so I can hire more reporters, have more people, be able to send more people out in the field for historical Boston bombing coverage, the coverage you've seen with the Bundy situation, all of it.
[00:50:25.591 --> 00:50:27.313]  Become a PrisonPlanet.tv member.
[00:50:27.653 --> 00:50:30.095]  Become a PrisonPlanet.tv member today.
[00:50:32.077 --> 00:50:33.198]  11 people can use your membership.
[00:50:33.218 --> 00:50:35.420]  You're funding the tip of the spear in the info war.
[00:50:36.240 --> 00:50:37.980]  We're risking our lives bringing this information.
[00:50:38.040 --> 00:50:38.720]  Make no mistake.
[00:50:39.421 --> 00:50:40.621]  PrisonPlanet.TV.
[00:50:40.801 --> 00:50:41.141]  Call.
[00:50:41.241 --> 00:50:44.841]  Get the Pro-1 G-Tube filters.
[00:50:44.881 --> 00:50:46.482]  Blow away all of their gravity-fed filters.
[00:50:46.802 --> 00:50:48.182]  Look at the side-by-side comparisons.
[00:50:48.602 --> 00:50:51.743]  InfoWarsStore.com.
[00:50:51.783 --> 00:50:52.943]  Get the high-quality supplements.
[00:50:53.023 --> 00:50:54.663]  InfoWarsLife.com.
[00:50:54.983 --> 00:50:56.383]  InfoWarsHealth.com.
[00:50:56.724 --> 00:51:01.444]  Fund us so we can be strong and continue on and hopefully expand in the face of the enemy.
[00:51:02.024 --> 00:51:03.345]  PrisonPlanet.TV.
[00:51:03.665 --> 00:51:04.545]  Become a member today.
[00:51:04.565 --> 00:51:05.025]  We'll be back.
[00:51:07.012 --> 00:51:10.255]  How can you save a ton of money and prepare for emergencies?
[00:51:10.675 --> 00:51:13.597]  By having your own in-home freeze dryer from Harvest Rite!
[00:51:13.938 --> 00:51:17.621]  Now you can cut down on wasted food by freeze drying your leftovers.
[00:51:17.981 --> 00:51:18.561]  That's right!
[00:51:18.722 --> 00:51:26.948]  Create your own long-term food storage by freeze drying your own fruits, meats, vegetables, even complete meals with the Harvest Rite in-home freeze dryer.
[00:51:27.308 --> 00:51:29.750]  Imagine the savings and the peace of mind!
[00:51:30.111 --> 00:51:35.175]  See how the amazing Harvest Rite freeze dryer works at HarvestRite.com
[00:51:36.240 --> 00:51:37.400]  Hey, this is Steve Sanchez.
[00:51:37.560 --> 00:51:38.920]  Worried about the Wall Street Casino?
[00:51:38.980 --> 00:51:39.561]  Yeah, me too.
[00:51:39.701 --> 00:51:41.801]  Wondering when the stock market is going to collapse?
[00:51:41.941 --> 00:51:44.921]  You probably want answers, but you know you can't trust the Global Elite.
[00:51:44.981 --> 00:51:52.543]  Well, my good friend Brett Kitchen, best-selling author, has created a DVD set called The Millionaire Black Box, and for a limited time, you get free access.
[00:51:52.643 --> 00:51:54.923]  Call 1-800-259-3131.
[00:51:55.563 --> 00:51:59.644]  Find out how the Global Elite invests without having to deal with the Global Elite themselves.
[00:51:59.664 --> 00:51:59.764]  1-800-259-3131.
[00:51:59.784 --> 00:51:59.844]  1-800-259-3131.
[00:52:05.865 --> 00:52:08.446]  Hi folks, Alex Jones here with some important information.
[00:52:08.706 --> 00:52:13.569]  I want to tell you about Matt Redhawk and his team of patriots over at MyPatriotSupply.
[00:52:13.829 --> 00:52:21.712]  Several years ago, Matt was sitting in his two-bedroom apartment, frustrated with the direction this country was headed and the charlatans willing to sell us out for a quick buck.
[00:52:21.952 --> 00:52:26.254]  Deciding to take action, a company run by patriots for patriots was born.
[00:52:26.454 --> 00:52:30.276]  MyPatriotSupply has never taken a loan or accepted outside funding.
[00:52:30.436 --> 00:52:36.140]  They now operate two distribution facilities and employ over 50 hard-working American men and women.
[00:52:36.381 --> 00:52:39.163]  It is rare to find companies who practice what they preach.
[00:52:39.543 --> 00:52:44.767]  And that's why I stock my pantry with high-quality storable foods from My Patriot Supply.
[00:52:44.927 --> 00:52:53.033]  Go to MyPatriotSupply.com forward slash Alex today for special offers on emergency food storage or call their preparedness specialist at 866-229-0927.
[00:52:53.093 --> 00:52:53.374]  That's 866-229-0927.
[00:52:53.414 --> 00:52:53.914]  Do business
[00:53:00.319 --> 00:53:00.761]  We're good.
[00:53:06.055 --> 00:53:06.435]  Hi there.
[00:53:07.035 --> 00:53:08.115]  My name is Frank Bates.
[00:53:08.576 --> 00:53:11.776]  What I'm about to tell you in the next 60 seconds could get me in a lot of trouble.
[00:53:12.396 --> 00:53:21.178]  I just created a free video presentation at 123coverup.com that exposes the electricity monopolies and government agencies for what they really are.
[00:53:21.538 --> 00:53:27.559]  Incompetent, lying crooks that are counting on your ignorance and fear to keep your power bills criminally high.
[00:53:28.239 --> 00:53:29.820]  Some have called this a conspiracy.
[00:53:30.420 --> 00:53:35.521]  Others have called it a cover-up and you will be shocked to find out how deep the conspiracy goes.
[00:53:36.241 --> 00:53:43.324]  My video at 123coverup.com exposes the truth and shows you the secret of how I beat them and how you can beat them too.
[00:53:44.184 --> 00:53:49.086]  Watch the controversial video that thousands of other smart patriots have already seen in the last three months.
[00:53:49.767 --> 00:53:55.649]  Go to 123coverup.com and discover one weird trick to slash your power bill and protect your home.
[00:53:56.269 --> 00:54:01.592]  Go watch my video now at 123coverup.com before they force me to shut it down.
[00:54:01.992 --> 00:54:03.252]  Again, that's 123coverup.com.
[00:54:13.459 --> 00:54:15.800]  All right, let's go right to your phone calls in this segment.
[00:54:15.820 --> 00:54:25.764]  The next head of Bundy joining us, probably just one segment, and then we'll go back to your calls and get into how scared the Clintons were of the American people having the Internet as a communication tool.
[00:54:27.424 --> 00:54:32.406]  That's why they want to bring in cybersecurity now to shut down free speech so they can just rob and steal whatever they want.
[00:54:32.866 --> 00:54:34.347]  Vic in Illinois, you're on the air.
[00:54:34.367 --> 00:54:34.767]  Go ahead.
[00:54:34.787 --> 00:54:37.028]  Alex.
[00:54:37.628 --> 00:54:38.168]  Hey, go ahead.
[00:54:38.188 --> 00:54:41.950]  Hey, man, it's a great day to be able to talk to you, sir.
[00:54:44.062 --> 00:54:50.287]  I wanted to just kind of go along the lines of what you're talking about, you know, with what people are willing to put up with.
[00:54:51.368 --> 00:54:58.214]  And, you know, I've been in this, uh, kind of, uh, truth movement or whatever you want to call it for a number of years now.
[00:54:58.975 --> 00:55:07.262]  And, you know, when I first got into it, I was just, you know, exploding on everybody, you know, pointing them in your direction, telling them what was going on.
[00:55:08.043 --> 00:55:11.726]  And, uh, you know, now it's got to the point where it's like, you know,
[00:55:12.968 --> 00:55:19.453]  I listen to people and I see them online, and I see generally that a lot of people, they don't even know what they're talking about, for the most part.
[00:55:19.473 --> 00:55:29.780]  They just kind of believe whatever they want to believe, and also, you know... Well yeah, what's happened is people are either awakening, or they don't believe the system anymore, but they don't know what to believe.
[00:55:30.180 --> 00:55:31.521]  They're just going in all different directions.
[00:55:32.802 --> 00:55:33.282]  Exactly.
[00:55:33.703 --> 00:55:36.925]  And also, I've encountered a lot of people who generally
[00:55:37.611 --> 00:55:40.192]  They kind of want to be dominated by these people.
[00:55:40.232 --> 00:55:44.533]  You know, I'm looking, I'm reenacting, I'm listening... Well, no, I mean, they have Stockholm Syndrome.
[00:55:44.553 --> 00:55:49.674]  They feel so disempowered that they think at least they have the power to grovel to the black boots.
[00:55:51.054 --> 00:55:59.616]  You know, corporations, they, you know, the controlling powers in the world, they literally seek out psychopaths
[00:56:00.512 --> 00:56:00.872]  Sure, sure.
[00:56:00.912 --> 00:56:09.337]  My question today to the listeners was, and I really am asking you this, Vic, is there any amount of tyranny that we have a right to stand up against?
[00:56:09.477 --> 00:56:20.383]  Obviously, we have a right to stand up anytime we want against tyranny, but I'm throwing the question out there, I'm begging the question, I mean, is there any level of tyranny that people won't put up with?
[00:56:20.443 --> 00:56:21.564]  What is your line in the sand?
[00:56:23.985 --> 00:56:27.647]  Well, I think Bondi is a great example
[00:56:29.289 --> 00:56:40.297]  For people to really stand behind and get behind and really just start a movement to just kind of abolish property taxes altogether because they are unconstitutional.
[00:56:40.397 --> 00:56:42.238]  Am I correct on that?
[00:56:42.339 --> 00:56:42.919]  Absolutely.
[00:56:42.979 --> 00:56:46.501]  I mean it's right out of the Communist Manifesto, property taxes.
[00:56:46.541 --> 00:56:47.482]  I appreciate your call.
[00:56:48.763 --> 00:56:56.468]  Here's the Christian Science Monitor reporting on the range war and I have one here as well out of the Las Vegas paper.
[00:56:57.537 --> 00:56:58.658]  There are several articles.
[00:56:58.718 --> 00:56:59.938]  In fact, it's up on Drudge.
[00:56:59.958 --> 00:57:02.300]  I'm looking for it in my stack.
[00:57:02.360 --> 00:57:04.641]  It's a cowboy hat on Drudge.
[00:57:04.661 --> 00:57:08.263]  It says, Western states move to take over federal land.
[00:57:09.524 --> 00:57:11.785]  And the headline is, Nevada Range War.
[00:57:11.845 --> 00:57:14.447]  Western states move to take over federal land.
[00:57:14.467 --> 00:57:23.872]  And it gets into the fact that more than 50 state legislators from different states met
[00:57:25.876 --> 00:57:35.443]  And discussed the fact that they're moving to try to take away the federal land, because it's not federal land.
[00:57:35.463 --> 00:57:39.045]  I mean, you look at Texas, 1 or 2 percent is federal.
[00:57:39.626 --> 00:57:44.049]  You look at places like Nevada, it's close to 90 percent.
[00:57:44.969 --> 00:57:46.611]  And the feds don't own this.
[00:57:46.651 --> 00:57:47.691]  They don't pay taxes.
[00:57:47.731 --> 00:57:48.572]  They don't produce.
[00:57:49.132 --> 00:57:52.695]  They just drive around with paramilitary police and point guns at us.
[00:57:54.343 --> 00:58:02.847]  I mean, I was at Big Bend a few weeks ago, and had one run-in with somebody in a uniform, and they literally walked over and said, what are you doing?
[00:58:04.147 --> 00:58:05.008]  And I was sitting there.
[00:58:06.328 --> 00:58:07.869]  By the Rio Grande River, sitting there.
[00:58:07.889 --> 00:58:09.310]  And I said, excuse me?
[00:58:09.330 --> 00:58:10.410]  And he goes, what are you doing?
[00:58:12.851 --> 00:58:13.952]  And he just kept staring at me.
[00:58:15.952 --> 00:58:16.893]  With his hand on his gun.
[00:58:16.913 --> 00:58:19.334]  I just ignored him.
[00:58:21.395 --> 00:58:22.896]  And he sat there smiling at me and then left.
[00:58:22.936 --> 00:58:23.616]  It was bizarre.
[00:58:24.608 --> 00:58:28.969]  It was like when you go to a party and some weirdo who's mentally ill is there and they're acting strange.
[00:58:29.169 --> 00:58:31.609]  You don't understand what their point is.
[00:58:32.350 --> 00:58:36.530]  I mean, imagine somebody that wants a gun and a badge so they can run around messing with people.
[00:58:37.531 --> 00:58:39.251]  It's the essence of tyranny.
[00:58:39.731 --> 00:58:41.491]  We'll be right back with more of your phone calls.
[00:58:42.672 --> 00:58:43.812]  What is your line in the sand?
[00:58:43.832 --> 00:58:44.252]  Stay with us.
[00:58:47.473 --> 00:58:49.233]  Thank you for listening to GCN.
[00:58:50.740 --> 00:58:53.022]  Visit GCNlive.com today.
[00:58:56.845 --> 00:58:59.747]  This is Alex Jones for InfoWarsLive.com.
[00:58:59.927 --> 00:59:01.848]  The latest in preparedness is now here.
[00:59:02.049 --> 00:59:08.053]  An electrically stabilized colloidal silver solution that can be added to both your home cabinet and preparedness pack alike.
[00:59:08.233 --> 00:59:13.257]  Concentrated to 30 parts per million in what has been dubbed the survival silver solution.
[00:59:13.317 --> 00:59:18.040]  The new InfoWars Live silver bullet colloidal silver is the answer for you and your family.
[00:59:18.180 --> 00:59:22.722]  And it's entirely free of toxic artificial additives that are loaded into many products.
[00:59:23.002 --> 00:59:31.365]  The InfoWars Life Silver Bullet Silver is so powerful that it is concentrated into a 2-ounce bottle and is not recommended for extended continual use.
[00:59:31.605 --> 00:59:33.526]  This is not a low-grade formula.
[00:59:33.746 --> 00:59:44.851]  We are working with one of the top laboratory manufacturers in the United States to bring you the best form of colloidal silver using electrical processes within a base of deionized water.
[00:59:44.911 --> 00:59:56.236]  For your preparedness storage or your home kitchen, purchase your bottle of InfoWarsLife.com Silver Bullet Colloidal Silver today and find other amazing supplements at InfoWarsLife.com
[00:59:59.867 --> 01:00:01.770]  Waging war on corruption.
[01:00:02.250 --> 01:00:04.974]  Alex Jones on the GCN Radio Network.
[01:00:11.755 --> 01:00:15.940]  Big Brother, Mainstream Media, Government Cover-Ups.
[01:00:16.581 --> 01:00:17.402]  You want answers?
[01:00:18.183 --> 01:00:19.044]  Well, so does he.
[01:00:19.725 --> 01:00:23.329]  He's Alex Jones on the GCN Radio Network.
[01:00:23.910 --> 01:00:27.975]  And now, live from Austin, Texas, Alex Jones.
[01:00:44.184 --> 01:00:48.601]  For a country raised the last 60 years on television, a plastic synthetic fake culture.
[01:00:49.662 --> 01:00:52.444]  And people now don't have families, they don't have role models.
[01:00:53.244 --> 01:00:54.986]  They basically are like Flotsam and Jetsam.
[01:00:55.046 --> 01:00:59.589]  We have to point out what made America great versus what's bringing America down.
[01:00:59.889 --> 01:01:01.370]  That's really our big task here.
[01:01:01.830 --> 01:01:03.872]  Tom in Nevada, you're on the air.
[01:01:03.912 --> 01:01:05.593]  What's your line in the sand?
[01:01:05.633 --> 01:01:07.774]  And is the BBC right?
[01:01:08.074 --> 01:01:13.118]  Is the Declaration of Independence terrorism to say that we could ever stand up against a government?
[01:01:13.538 --> 01:01:17.501]  I mean, if the government wanted to put you in a forced labor camp, shouldn't you go to the forced labor camp?
[01:01:17.901 --> 01:01:19.402]  Because obviously government knows best.
[01:01:20.422 --> 01:01:20.983]  Oh, hell no.
[01:01:23.104 --> 01:01:24.344]  The lion in the sand is now.
[01:01:30.868 --> 01:01:31.488]  Brain fade here.
[01:01:32.028 --> 01:01:32.949]  We need to stand.
[01:01:33.269 --> 01:01:36.751]  And the Constitution was written by people that understood that.
[01:01:37.251 --> 01:01:46.456]  And for our time now, we're... What point, you know, do you give up your rights when the troops are marching down the streets?
[01:01:48.083 --> 01:01:56.670]  Here in the wastelands of lost wages, here in Vegas, in Harry Greed la-la land, you know, it's ridiculous.
[01:01:56.710 --> 01:01:58.691]  The guy is crooked as the days long.
[01:01:59.151 --> 01:02:04.215]  And now he's set a precedent by claiming and labeling everybody a domestic terrorist.
[01:02:04.255 --> 01:02:07.458]  Does that mean if you yell at somebody, now you're a domestic terrorist?
[01:02:08.579 --> 01:02:15.765]  Can slander charges and defamation of character charges be brought up against him for, you know, the Bundy's, you know?
[01:02:16.785 --> 01:02:24.971]  Well, the issue here is, and I'm going to talk about that with Mr. Bundy coming up, the precedence being set that any type of civil disobedience is terrorism.
[01:02:25.571 --> 01:02:26.952]  He's following a plan.
[01:02:27.773 --> 01:02:28.713]  This has been planned.
[01:02:28.753 --> 01:02:31.115]  They're going to push and push until there's resistance.
[01:02:31.135 --> 01:02:32.456]  They're going to call it terrorism.
[01:02:32.876 --> 01:02:34.117]  They're going to start a civil war.
[01:02:35.358 --> 01:02:39.681]  Our question is, how do we turn the tide back against that?
[01:02:39.761 --> 01:02:41.322]  Great points, Tom, in Nevada.
[01:02:42.743 --> 01:02:44.304]  Let's talk to Josh in Texas.
[01:02:44.324 --> 01:02:45.445]  You're on the air, Josh, go ahead.
[01:02:47.193 --> 01:02:48.434]  Yes, sir.
[01:02:48.454 --> 01:02:58.243]  Yeah, I've been listening to your show about three years now, and this is my first time calling, and I guess the line and the fan would be, I guess, about for anybody when it happens to you.
[01:02:58.483 --> 01:03:03.367]  You know, you hear about stories that it's happening, and you don't really get home until you get your, you know, ride trampled over.
[01:03:04.308 --> 01:03:12.876]  And, you know, like yesterday, you know, I was out here shooting on a friend's place,
[01:03:14.400 --> 01:03:24.687]  Cops showed up, you know, took my ID, run my license and all that kind of stuff and told me it was illegal to shoot the gun out here in the county and told me if I didn't put it up, they were going to take it.
[01:03:25.367 --> 01:03:29.750]  Well, I went ahead and complied with all that, you know, after a little heated argument here and there.
[01:03:29.810 --> 01:03:34.233]  But then I went to the police department this morning and talked to them and tried to figure out why they'd done that.
[01:03:34.673 --> 01:03:37.876]  Basically, it's about ignorance because they said the cops didn't know no better.
[01:03:38.256 --> 01:03:39.777]  So if we're dealing with somebody just
[01:03:40.532 --> 01:03:46.737]  You know, telling somebody something and them doing it because they don't know no better, I believe it's never going to get no better.
[01:03:46.957 --> 01:03:49.820]  By the way, before you even finished your story, I knew the answer.
[01:03:50.440 --> 01:03:51.381]  They play dumb.
[01:03:52.962 --> 01:03:59.728]  Everyone I know, and I mean everyone I know that owns 20 acres, 100 acres, 200 acres, 300 acres, in the middle of nowhere,
[01:04:00.919 --> 01:04:03.721]  Californians' home prices all collapse, basically.
[01:04:04.082 --> 01:04:07.525]  They think houses are cheap in Central Texas, even though they're expensive for me.
[01:04:08.325 --> 01:04:10.948]  They're all out here buying houses on farms.
[01:04:12.749 --> 01:04:20.316]  And when they hear you shoot, they call the police, and the cops will come on your property and say, we're gonna arrest you.
[01:04:20.336 --> 01:04:21.557]  And you go, but I'm allowed to shoot.
[01:04:22.097 --> 01:04:23.519]  They go, I don't care, you're going to jail.
[01:04:24.946 --> 01:04:25.867]  Or they'll take your guns.
[01:04:26.787 --> 01:04:29.068]  And then it gets into court and all this stuff.
[01:04:29.568 --> 01:04:30.909]  It's lawlessness, sir.
[01:04:31.389 --> 01:04:33.530]  They're going to come after our guns, period.
[01:04:34.411 --> 01:04:38.232]  And everywhere this is happening, you shoot your guns, they show up.
[01:04:39.353 --> 01:04:41.294]  I mean, listen, you run into game wardens now.
[01:04:41.334 --> 01:04:44.875]  They're bugging their eyes out and got their hand on their gun when you're sitting around a campfire.
