[00:00:07.090 --> 00:00:10.513]  Excuse me?
[00:25:07.357 --> 00:25:17.323]  It was announced in 1999 in the April issue of Wired Magazine by Bill Joy, a billionaire who went to a private globalist conference of 200 top tech owners.
[00:25:17.323 --> 00:25:21.665]  Google, Microsoft, Amazon, Apple.
[00:25:21.665 --> 00:25:31.050]  And they had a meeting and decided after two days that the plan was to bring in the world government and reduce population down to almost zero.
[00:25:31.050 --> 00:25:31.371]  They said,
[00:25:32.349 --> 00:25:34.930]  Do we just let people play games all day?
[00:25:34.930 --> 00:25:40.532]  You know, fantasy games, World of Warcraft, and Second Life, and hurt the Earth?
[00:25:40.532 --> 00:25:41.752]  Or these people don't matter?
[00:25:41.752 --> 00:25:44.713]  Do we basically phase them out?
[00:25:44.713 --> 00:25:46.674]  And the consensus was, phase you out.
[00:25:46.674 --> 00:25:50.636]  And Bill Joy wrote a cover story warning you!
[00:25:50.636 --> 00:25:54.117]  A decision had been made!
[00:25:55.632 --> 00:26:05.516]  And how does Newsweek, and 60 Minutes, and Time Magazine, and MSNBC, and CNN, and Nightline, how do they respond?
[00:26:05.516 --> 00:26:09.157]  Alex Jones is crazy!
[00:26:09.157 --> 00:26:16.600]  I had the host of ABC News here four years ago when Nightline was here, and I went to dinner with him to a steakhouse afterwards.
[00:26:16.600 --> 00:26:21.082]  And he said, there's no world government during the interviews, and I went and said, here is world leaders calling for global government.
[00:26:21.082 --> 00:26:23.263]  And he said, they mean a different global government than you.
[00:26:24.249 --> 00:26:26.151]  I showed him the British Prime Minister, the U.S.
[00:26:26.151 --> 00:26:33.597]  President, the head of the EU, Von Ruppe, calling for global government, saying 2007 will be the first year of 2008 with global governance.
[00:26:33.597 --> 00:26:34.338]  It was a few years old.
[00:26:34.338 --> 00:26:37.981]  And he just looked at me and he said, that's a different world government.
[00:26:37.981 --> 00:26:43.505]  And then at dinner he just said, yeah, I know you're basically telling some stuff that's true, but I got kids, I got a job, I got a career.
[00:26:43.505 --> 00:26:44.486]  What are you going to do anyways?
[00:26:44.486 --> 00:26:46.648]  And it's always the same story.
[00:26:46.648 --> 00:26:50.231]  The public is, and it's true, is so dumbed down.
[00:26:50.231 --> 00:26:52.152]  How do you even turn this around?
[00:26:53.041 --> 00:26:57.111]  How do you even change it when you can't even reach out to the public?
[00:26:57.111 --> 00:26:58.734]  Well, you know what?
[00:26:58.734 --> 00:27:00.278]  5% won the war against the British Empire.
[00:27:00.278 --> 00:27:02.162]  5% defeated that tyranny.
[00:27:05.051 --> 00:27:06.813]  It doesn't take a majority.
[00:27:06.813 --> 00:27:12.799]  That's why I'm so sick of Barack Obama demonizing our founding fathers, the Democratic Party saying they own slaves.
[00:27:12.799 --> 00:27:22.228]  Do you realize whether it was the caste system in Japan, or India, or Africa, or the Middle East, or Russia, all the people were basically serfs, slaves.
[00:27:22.228 --> 00:27:25.511]  A serf means a slave.
[00:27:25.511 --> 00:27:26.552]  It's a Latin derivation.
[00:27:28.134 --> 00:27:32.897]  But to create guilt in the Christian Western culture that ended slavery worldwide.
[00:27:32.897 --> 00:27:35.179]  They didn't say, oh great, the West ended slavery.
[00:27:35.179 --> 00:27:40.022]  Oh great, the Founding Fathers almost passed ending slavery in 1776.
[00:27:40.022 --> 00:27:42.544]  But couldn't get the votes from the South.
[00:27:42.544 --> 00:27:44.225]  Civil War was just an extension of that fight.
[00:27:46.752 --> 00:27:50.334]  They tell you that only America owns slaves.
[00:27:50.334 --> 00:27:52.955]  How many thousands of movies and TV shows?
[00:27:52.955 --> 00:27:56.818]  That's why Ben Stein's come out and said Obama is the most racist president in history.
[00:27:56.818 --> 00:27:58.699]  I've got that clip coming up after calls.
[00:27:58.699 --> 00:28:15.428]  And it's true, because they promote everything on race, because while the mega-banks are tax-exempt and get banker bailout money by the trillions, and lobby to raise our taxes, and all the big banks openly lobby to take our guns and bring in this tyranny, they want us fighting with each other over what color we are.
[00:28:16.727 --> 00:28:24.389]  I went and ate at a nice restaurant Wednesday night on East 6th Street, a gentrified area, and had somebody try to mug us.
[00:28:24.389 --> 00:28:30.431]  Basically said, give me money, I'm real mad, and bowed up, and I just said, listen, we're not going to give you money.
[00:28:30.431 --> 00:28:32.052]  And it was a black guy doing it to us.
[00:28:32.052 --> 00:28:39.234]  And then one of my crew members went out, Saturday almost, got mugged downtown by people pulled out knives that were going to kill you, whitey.
[00:28:39.234 --> 00:28:42.735]  I don't hate black people because there's a bunch of racist black people out attacking whites.
[00:28:42.735 --> 00:28:45.076]  But see, the media won't cover it because it's political correctness.
[00:28:46.804 --> 00:28:52.228]  And they've so energized some black folks with hatred, they believe it's okay to go out and attack whites.
[00:28:52.228 --> 00:28:56.471]  You can't even go into downtown Austin, basically anywhere, I want to warn everybody.
[00:28:56.471 --> 00:28:59.973]  Just go out, you will deal with black Ku Klux Klan people, basically.
[00:29:01.434 --> 00:29:04.057]  Infowarslife.com.
[00:29:04.057 --> 00:29:05.539]  Check it out today.
[00:29:05.539 --> 00:29:11.305]  I have set out to bring you the most hardcore, cutting-edge supplements and nutraceuticals bar none.
[00:29:11.305 --> 00:29:13.928]  And that's what you'll find at Infowarslife.com.
[00:29:13.928 --> 00:29:21.536]  We have rejected, literally, hundreds of products from the Infowarslife line because they are not of the very highest quality.
[00:29:21.676 --> 00:29:24.159]  Or because they're not 100% organic.
[00:29:24.159 --> 00:29:30.766]  Or because they don't pass all of the strictest toxicology tests there are that we have listed at InfoWarsLife.com.
[00:29:30.766 --> 00:29:38.134]  Whether it's survival shield nascent iodine, or DNA force, super male vitality, super female vitality, lung cleanse.
[00:29:38.554 --> 00:29:41.177]  Fluoride Shield, Oxy Powder.
[00:29:41.177 --> 00:29:51.989]  I believe that all of these products will blow you away like they've done the thousands of other customers that have visited Infowarslife.com and believed in us and tried the products.
[00:29:51.989 --> 00:29:59.617]  Folks, check out Infowarslife.com today and the entire line of groundbreaking, cutting-edge, hardcore products.
[00:30:01.175 --> 00:30:03.156]  Aging starts at the cellular level.
[00:30:03.156 --> 00:30:07.678]  When cells become toxic, they die early, and aging sets in.
[00:30:07.678 --> 00:30:12.139]  In the past decade, we have witnessed unparalleled scientific discoveries.
[00:30:12.139 --> 00:30:19.462]  During that period, key patented compounds have focused on mitochondrial growth, nerve growth, and rejuvenation.
[00:30:19.462 --> 00:30:28.526]  But no one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[00:30:28.746 --> 00:30:34.289]  We now have the synergistic solution, DNA Force, just one of the key compounds.
[00:30:34.289 --> 00:30:41.874]  BioPQQ is backed by major clinical studies and over 175 PubMed-listed published studies.
[00:30:41.874 --> 00:30:44.455]  You want the best that's out there at the lowest price anywhere?
[00:30:44.455 --> 00:30:49.498]  The ultimate value, cutting-edge, trailblazing game-changer that also supports the Info War.
[00:30:49.939 --> 00:30:54.770]  Secure your DNA Force today at InfoWarsLife.com or call toll free 888-253-3139.
[00:30:54.770 --> 00:30:55.912]  DNA Force from InfoWarsLife.
[00:31:01.226 --> 00:31:04.889]  The government's Department of Homeland Security is buying up loads of ammo.
[00:31:04.889 --> 00:31:09.172]  At the same time, they're restricting civilians' rights to own and purchase firearms.
[00:31:09.172 --> 00:31:10.954]  Can you put two and two together?
[00:31:10.954 --> 00:31:16.278]  Infidel Body Armor can stop every round, including hollow points and .308 sniper rounds.
[00:31:16.278 --> 00:31:18.820]  It's reasonably priced and fully legal.
[00:31:18.820 --> 00:31:19.961]  But for how long?
[00:31:19.961 --> 00:31:22.183]  Go to InfidelBodyArmor.com.
[00:31:22.183 --> 00:31:26.586]  Spelled I-N-F-I-D-E-L BodyArmor.com.
[00:31:26.586 --> 00:31:28.468]  Infidel Body Armor.
[00:31:28.468 --> 00:31:29.409]  Just won't quit.
[00:31:30.786 --> 00:31:41.355]  After consulting top doctors, nutritionists, pharmacists, and others, we have developed what I believe is the ultimate non-GMO organic super male vitality formula.
[00:31:41.355 --> 00:31:47.800]  Super male vitality by InfoWars Life is so powerful that I only take half the recommended dose.
[00:31:47.800 --> 00:31:50.142]  I jump out of bed ready to fight these criminals every day.
[00:31:50.142 --> 00:31:53.244]  I look forward to waking up and taking my super male vitality.
[00:31:53.244 --> 00:32:00.110]  Visit InfoWarsLife.com today to secure your super male vitality and other powerful products from InfoWars Life.
[00:32:00.470 --> 00:32:01.731]  Another major health threat.
[00:32:01.731 --> 00:32:06.715]  This one in Toledo, Ohio, where everybody in the entire city has been told not to drink the water.
[00:32:06.715 --> 00:32:09.377]  Ohio's governor declaring a state of emergency.
[00:32:09.377 --> 00:32:16.423]  Did you know that the average person uses about 80 to 100 gallons of water at home every single day?
[00:32:16.423 --> 00:32:19.426]  If there's a water emergency, will you be prepared?
[00:32:19.426 --> 00:32:22.388]  Panicked residents forming long lines throughout the day.
[00:32:22.388 --> 00:32:24.390]  We're here at a supermarket in Toledo.
[00:32:24.390 --> 00:32:27.212]  You can see the shelves empty where water once was.
[00:32:27.312 --> 00:32:33.034]  To stay safe and healthy during a crisis, you must have access to safe, clean water.
[00:32:33.034 --> 00:32:36.555]  Water which will not be available at your local grocery store.
[00:32:36.555 --> 00:32:39.636]  There's a mad dash on right now to stock up on supplies.
[00:32:39.636 --> 00:32:46.938]  The ProPure ProOne G2.0 Water Filtration System is a must-have for every modern, independently-minded household.
[00:32:46.938 --> 00:32:50.159]  Protect your family's safety during an emergency.
[00:32:50.159 --> 00:32:56.441]  Go to infowarsstore.com today to purchase your ProPure ProOne G2.0 Water Filtration System.
[00:32:56.621 --> 00:32:57.081]  Or call 1-888-253-3139.
[00:32:57.081 --> 00:32:58.283]  You're listening to the Alex Jones Show.
[00:33:22.105 --> 00:33:25.806]  Crashing through the lies and disinformation.
[00:33:25.806 --> 00:33:31.949]  It's Alex Jones on the GCN Radio Network.
[00:33:31.949 --> 00:33:33.930]  If you just joined us, I'm your host Alex Jones.
[00:33:33.930 --> 00:33:36.911]  I'm going to Matt, Steve, Chris, Mark, Will, Chad.
[00:33:37.992 --> 00:33:48.859]  Julano, Maria, Ray, and others coming up, and Anthony Gucciardi is going to be in studio with us, and so is David Knight on this live Sunday edition.
[00:33:48.859 --> 00:33:58.565]  By the way, I'm going, and I'm going to do this, I have limited resources, limited reporters, but we got about ten reporters total, four or five videographers.
[00:33:58.565 --> 00:34:04.269]  It's come out in Austin, Texas, where this syndicated broadcast originates from, that groups of black youth
[00:34:05.630 --> 00:34:10.895]  Beat up Hispanics and whites down in downtown Austin.
[00:34:10.895 --> 00:34:28.872]  It's so bad that Max Cabrera, a computer consultant, last week, it was on CBS and Fox News here locally, was with his girlfriend and it was caught on surveillance footage, was downtown doing nothing and six black males approached him, broke his nose, sexually assaulted her.
[00:34:30.529 --> 00:34:36.333]  Now, that said, I told some friends, I said, listen, so many people are getting mugged.
[00:34:36.333 --> 00:34:42.358]  I said, somebody better be packing heat if we go eat anywhere downtown, even in supposedly nice areas.
[00:34:42.358 --> 00:34:44.860]  And the friends I went out with Wednesday night laughed at me.
[00:34:44.860 --> 00:34:49.003]  And I said, listen, I'm a newshound, I cover the news.
[00:34:49.003 --> 00:34:53.246]  Not once, but twice, we were approached by black males.
[00:34:53.246 --> 00:34:55.008]  Once, the person got a little bit aggressive.
[00:34:55.008 --> 00:34:58.851]  The second time, extremely aggressive, bowed up and said, basically, you better give me money.
[00:34:59.938 --> 00:35:06.106]  And, uh, one of the women began yelling at him, show, uh, he, he, and then I said some choice words, friendly way.
[00:35:06.106 --> 00:35:08.229]  I just said, listen, this is, you better move on.
[00:35:08.229 --> 00:35:11.153]  And it was a big per, a big guy.
[00:35:11.153 --> 00:35:11.393]  Okay.
[00:35:12.205 --> 00:35:14.666]  Now, this is happening all over the country.
[00:35:14.666 --> 00:35:20.810]  You hear about the knockout game, old people getting knocked out, getting killed, shops getting robbed, Ferguson now into St.
[00:35:20.810 --> 00:35:24.592]  Louis, white houses, white businesses being attacked.
[00:35:24.592 --> 00:35:30.715]  It's like the Klan running around, who is racially motivated, randomly targeting black people to physically attack.
[00:35:30.715 --> 00:35:35.558]  I have protested the Ku Klux Klan, ladies and gentlemen, more than a dozen times on record, the videos on YouTube.
[00:35:36.257 --> 00:35:40.861]  You go back 15 years ago, 10 years ago, 8 years ago was probably the last time I did.
[00:35:40.861 --> 00:35:42.763]  If they come to Austin, Texas, I'll go protest them.
[00:35:42.763 --> 00:35:44.745]  It's a horrible organization.
[00:35:44.745 --> 00:35:48.269]  But the media will not cover this, that it's racially motivated.
[00:35:48.269 --> 00:35:51.211]  Then, Anthony Gucciardi was out
[00:35:52.485 --> 00:36:09.782]  He told me about it Saturday, he was actually out Friday night, he went to a restaurant, he comes out, he's walking to where his car is parked, and six black males come over to him, pull a knife out, and basically say, give us your woman, she is an attractive lady, his girlfriend, or we're going to stab you.
[00:36:09.782 --> 00:36:16.048]  And they kept just menacing him and saying you're not going to do anything, and there were police about 100 yards away but they didn't see it, and began punching him.
[00:36:17.005 --> 00:36:23.867]  And he has bruises on him, and then he just said, yes, you're right, you win, you're wonderful, and then they didn't stab him to death.
[00:36:23.867 --> 00:36:27.808]  So, I just have to give an advisory to everyone listening in Austin, Texas.
[00:36:27.808 --> 00:36:40.652]  You cannot go anywhere downtown, except with the police patrol heavily, around the W and other areas, anywhere on 2nd Street down, 6th Street, I-35, anywhere into East Austin where they've gentrified it.
[00:36:40.652 --> 00:36:44.393]  It is a war zone of mugging and robbery.
[00:36:45.020 --> 00:36:46.680]  Okay, I'm gonna explain something.
[00:36:46.680 --> 00:36:51.141]  There's only about 40 people that are employees here and other 10 contractors.
[00:36:51.141 --> 00:36:56.662]  I have had, in the last two weeks, an employee and a contractor attacked.
[00:36:56.662 --> 00:37:00.823]  I was almost attacked twice Wednesday night.
[00:37:00.823 --> 00:37:02.903]  Do you understand that?
[00:37:02.903 --> 00:37:06.504]  So, I am tired of this.
[00:37:06.504 --> 00:37:10.484]  And I'm gonna have flyers put up all over Austin to stop the racial attacks.
[00:37:10.484 --> 00:37:13.405]  I'm gonna put hidden cameras out if the Austin Police Department can't.
[00:37:14.178 --> 00:37:16.121]  Do anything about it.
[00:37:16.121 --> 00:37:17.423]  And just something's got to be done.
[00:37:17.423 --> 00:37:21.148]  Because it's spread from 6th Street all over downtown.
[00:37:21.148 --> 00:37:22.410]  I've talked to police officers.
[00:37:22.410 --> 00:37:23.852]  They say they're absolutely aware of it.
[00:37:23.852 --> 00:37:26.155]  It's just that they just say there's basically nothing they can do.
[00:37:26.155 --> 00:37:28.058]  There's so much of it happening.
[00:37:28.058 --> 00:37:30.522]  And that things are so politically correct they can't tell anybody.
[00:37:31.488 --> 00:37:36.949]  So we need news affiliates like 590 AM and their great team of news reporters to look into it.
[00:37:36.949 --> 00:37:37.769]  I'm telling you.
[00:37:37.769 --> 00:37:41.690]  Send your reporter downtown at night and see if they don't get stabbed.
[00:37:41.690 --> 00:37:43.771]  Or almost stabbed.
[00:37:43.771 --> 00:37:45.891]  I mean, it is out of control.
[00:37:45.891 --> 00:37:48.412]  And I'm going to send reporters down there.
[00:37:48.412 --> 00:37:50.152]  I'm going to catch all this on tape.
[00:37:50.152 --> 00:37:51.692]  I'm going to go down there.
[00:37:51.692 --> 00:37:59.554]  Because it's like shooting fish in a barrel, catching this, if it happened to me, a contractor, and one of our crew members in the last two weeks.
[00:38:01.027 --> 00:38:03.688]  I mean, it is dangerous in downtown Austin.
[00:38:03.688 --> 00:38:05.289]  And I'm sorry, businesses.
[00:38:05.289 --> 00:38:06.689]  Do something about it.
[00:38:06.689 --> 00:38:07.430]  Make it safe.
[00:38:07.430 --> 00:38:08.430]  It's a great downtown.
[00:38:08.430 --> 00:38:10.291]  It's a great city.
[00:38:10.291 --> 00:38:12.492]  But the word's out, by the way.
[00:38:12.492 --> 00:38:16.173]  Only dumb college kids will even get anywhere near there.
[00:38:16.173 --> 00:38:17.774]  And the crime is spreading.
[00:38:17.774 --> 00:38:20.395]  This stuff's happening at 8 o'clock at night now.
[00:38:20.395 --> 00:38:22.516]  You wouldn't catch me dead downtown after 10.
[00:38:23.504 --> 00:38:24.125]  It's so dangerous.
[00:38:24.125 --> 00:38:26.507]  That's when most of the muggings and racial attacks happen.
[00:38:26.507 --> 00:38:27.728]  And it's racial!
[00:38:27.728 --> 00:38:28.668]  It's racial!
[00:38:28.668 --> 00:38:32.732]  But you're not going to hear Jesse Jackson or any of the white liberals talk about it.
[00:38:32.732 --> 00:38:37.776]  Let's play this Ben Stein clip from Fox News where he says Obama's the most racist president that's ever been.
[00:38:37.776 --> 00:38:38.657]  Hey, I know this.
[00:38:38.657 --> 00:38:39.998]  He sure promotes it.
[00:38:39.998 --> 00:38:44.822]  And there's sure been this green light put out that being white is inherently evil or even Hispanic.
[00:38:46.561 --> 00:38:48.822]  Yeah, I notice it's not rednecks getting attacked.
[00:38:48.822 --> 00:38:50.983]  Everybody knows they're packing heat.
[00:38:50.983 --> 00:38:52.884]  And this is becoming a real problem, folks.
[00:38:52.884 --> 00:38:53.724]  Let's go to the clip.
[00:38:53.724 --> 00:38:58.167]  This president is the most racist president there has ever been in America.
[00:38:58.167 --> 00:39:02.209]  He is purposely trying to use race to divide Americans.
[00:39:02.209 --> 00:39:05.070]  Anyone who investigates it even a little bit knows it's hogwash.
[00:39:05.290 --> 00:39:13.313]  Well, you know that the White House presses back vehemently against those kinds of arguments and those suggestions that the President or that Eric Holder overseeing the... Alright, that's enough.
[00:39:13.313 --> 00:39:19.536]  Eric Holder on record attacking anybody right of male with the IRS.
[00:39:19.536 --> 00:39:20.797]  I mean, just give me a break.
[00:39:20.797 --> 00:39:22.597]  This country is out of control.
[00:39:22.597 --> 00:39:24.798]  We need to stop it.
[00:39:24.798 --> 00:39:25.579]  Matt in Florida.
[00:39:25.579 --> 00:39:26.199]  Thanks for holding.
[00:39:26.199 --> 00:39:26.699]  I'm ranting.
[00:39:26.699 --> 00:39:29.620]  Go ahead.
[00:39:29.620 --> 00:39:30.160]  Go ahead, Matt.
[00:39:30.160 --> 00:39:31.121]  You're on the air worldwide.
[00:39:32.282 --> 00:39:34.203]  That's how I wanted to talk about Ebola.
[00:39:34.203 --> 00:39:36.064]  I've been a listener since 2007.
[00:39:36.064 --> 00:39:37.004]  I'm a first-time caller.
[00:39:37.004 --> 00:39:39.985]  I followed the swine flu hoax carefully at the time.
[00:39:39.985 --> 00:39:51.430]  It was plain to see once you found out that Baxter Pharmaceutical had created this vaccine for use for the swine flu a full year before the supposed onset outbreak of the swine flu.
[00:39:51.430 --> 00:39:53.351]  That was pretty clear to see that was a hoax.
[00:39:53.351 --> 00:39:55.532]  With Ebola, a little less so.
[00:39:55.532 --> 00:39:59.794]  But coming into view now, while there is this deal with incubation period
[00:40:00.555 --> 00:40:07.240]  Not 21 days, 41 days, which would make for the spread all that much worse, I guess.
[00:40:07.240 --> 00:40:09.862]  The longer the incubation period, it's counterintuitive.
[00:40:09.862 --> 00:40:11.803]  It would spread all over the place.
[00:40:11.803 --> 00:40:13.905]  Nobody knows they're spreading it.
[00:40:13.905 --> 00:40:25.013]  But after months into this, I've seen now this fake CNN and New York Times footage where they show these naked people, perfectly healthy.
[00:40:25.872 --> 00:40:29.254]  Uh, then just lie down right outside the supposed jail cell.
[00:40:29.254 --> 00:40:30.674]  No, no, I've seen the footage.
[00:40:30.674 --> 00:40:35.757]  There's undoubtedly a big Ebola outbreak in Africa, but they've turned the default protections off.
[00:40:35.757 --> 00:40:37.077]  I don't know what's going on.
[00:40:37.077 --> 00:40:41.439]  Notice Obama said last week, get ready for more Ebola cases after the election.
[00:40:41.439 --> 00:40:43.780]  He said, you expect more Ebola.
[00:40:43.780 --> 00:40:45.821]  I think we're going to find out the truth after next Tuesday.
[00:40:45.821 --> 00:40:46.842]  God bless you, Matt.
[00:40:46.842 --> 00:40:48.022]  Let's jam in some more here.
[00:40:48.022 --> 00:40:49.703]  Steve in Florida, you're on the air worldwide.
[00:40:50.609 --> 00:40:59.857]  Hey Alex, man, there's a spirit, a real dark spirit that's overcome America, and I feel it in Florida, and it really inspired me to take action after hearing Steve Quayle on your show.
[00:40:59.857 --> 00:41:08.003]  And I went down after seeing the David Knight interview with Adrian Wiley, and I went down to Bradenton, and I hijacked the Halloween block party.
[00:41:08.003 --> 00:41:12.947]  I dressed up in my Obama-Ebola 2 costume, the mask and all, and I went bullhorning.
[00:41:12.947 --> 00:41:13.808]  I hopped up on stage.
[00:41:14.088 --> 00:41:20.804]  Well listen man, the YouTube video is Governor Adrian Wiley is Florida's only hope for survival.
[00:41:20.804 --> 00:41:22.448]  I need this thing to go mega viral.
[00:41:22.448 --> 00:41:23.951]  Say it again, what's the name of the headline?
[00:41:24.690 --> 00:41:28.972]  Governor Adrian Wiley is Florida's only hope for survival.
[00:41:28.972 --> 00:41:33.855]  It is a torpedo that I made, and it's inspired by Jesus Christ, and I swear we've got to repent!
[00:41:33.855 --> 00:41:44.701]  Yeah, that's the Libertarian guy that's got 10 points and the polls are higher, but they won't let him in the debates, who would give a no more property tax, basically, which we ran the country before, you know, 100 years ago with.
[00:41:44.701 --> 00:41:47.262]  People say, what are we going to rule the country with?
[00:41:47.262 --> 00:41:50.324]  There was no income tax, no property tax, no nothing until the last 100 years.
[00:41:51.885 --> 00:42:00.253]  Hi Alex, two things.
[00:42:00.253 --> 00:42:03.336]  One about the Ben Stein video.
[00:42:03.336 --> 00:42:07.140]  I want to take you back because people have a bad memory.
[00:42:07.140 --> 00:42:11.023]  Back to 2007 or 2008, the Democratic primaries.
[00:42:11.023 --> 00:42:13.406]  If you were not a racist, you were a sexist.
[00:42:13.406 --> 00:42:15.187]  I don't know if you remember that.
[00:42:16.920 --> 00:42:17.901]  So that is their M.O.
[00:42:17.901 --> 00:42:18.241]  Exactly.
[00:42:18.241 --> 00:42:20.664]  And in order to rile up every gay and also...
[00:42:32.933 --> 00:42:34.314]  Stay there, I'm going to come back to you.
[00:42:34.314 --> 00:42:35.435]  I want to hear more, Chris.
[00:42:35.435 --> 00:42:36.676]  Don't hang up.
[00:42:36.676 --> 00:42:42.701]  Absolutely, and folks, whether you're black, white, hispanic, asian, old, young, north, south, east, west, we all need freedom.
[00:42:42.701 --> 00:42:46.364]  When I bring up these racial attacks going on in Austin, where I live, it's happening all over the country.
[00:42:46.364 --> 00:42:49.767]  I mean, it's been in alternative media, Drudge covers it constantly.
[00:42:49.767 --> 00:42:52.009]  It's because I want to expose this.
[00:42:52.009 --> 00:42:59.275]  Just like you expose the Klan, you stop them, you put heat on them, you expose the black gangs, literally wreaking havoc.
[00:43:01.846 --> 00:43:08.492]  When you're out on the road, the last place you want to be is on the road.
[00:43:08.492 --> 00:43:13.636]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[00:43:13.636 --> 00:43:22.363]  There's a place down in Tennessee where they make blue diamond gusset jeans.
[00:43:22.363 --> 00:43:25.926]  They sew pride in every stitch.
[00:43:25.926 --> 00:43:28.528]  Guarantee you'll love the way they fit.
[00:43:30.843 --> 00:43:42.647]  We turn jeans inside out.
[00:43:42.647 --> 00:43:44.447]  Diamond Gusset Jeans.
[00:43:44.447 --> 00:43:47.308]  Made in the USA with unparalleled quality.
[00:43:47.308 --> 00:43:51.569]  Our Defender Motorcycle Jeans combine Gusset comfort with Kevlar protection.
[00:43:51.569 --> 00:43:53.950]  So you can ride all day with confidence.
[00:43:53.950 --> 00:43:56.651]  Order yours at gusset.com.
[00:43:56.651 --> 00:43:58.231]  Diamond Gusset Jeans.
[00:43:58.231 --> 00:43:59.012]  Got it.
[00:43:59.012 --> 00:43:59.872]  Others don't.
[00:44:01.055 --> 00:44:02.376]  The experts are clear.
[00:44:02.376 --> 00:44:09.482]  Sunlight, purified water, healthy non-GMO food, and having a good attitude is essential to a healthy immune system.
[00:44:09.482 --> 00:44:15.768]  But I go further with Super Nascent Iodine X2 from Infowarsline.com.
[00:44:15.768 --> 00:44:19.371]  50% stronger than our original and revolutionary Nascent Iodine formula.
[00:44:19.471 --> 00:44:23.692]  Coming from a deep earth crystal source that no other supplier has.
[00:44:23.692 --> 00:44:29.014]  Most other forms of iodine come from seaweed in areas plagued by Fukushima and other contaminants.
[00:44:29.014 --> 00:44:30.014]  Not our iodine.
[00:44:30.014 --> 00:44:33.835]  It comes from over 200 million year old crystal salt deposits.
[00:44:33.835 --> 00:44:36.375]  And is tested and proven to be completely pure.
[00:44:36.375 --> 00:44:38.396]  Visit InfoWarsLife.com today.
[00:44:38.396 --> 00:44:39.976]  See the informational videos.
[00:44:39.976 --> 00:44:41.937]  Read the information there compiled.
[00:44:41.937 --> 00:44:45.858]  And for a limited time, will you use promo code NOW at checkout.
[00:44:45.998 --> 00:44:51.282]  You get an additional 5% off the entire family of Infowarslife.com products.
[00:44:51.282 --> 00:44:56.746]  Secure your Survival Shield X2 today at Infowarslife.com or call toll free 888-253-3139.
[00:45:01.929 --> 00:45:03.250]  In the near future.
[00:45:03.250 --> 00:45:07.751]  When you realize how fake it all is, the football, the basketball.
[00:45:07.751 --> 00:45:08.991]  Security alert.
[00:45:08.991 --> 00:45:10.992]  This is Homeland Security.
[00:45:10.992 --> 00:45:11.872]  Analysis.
[00:45:11.872 --> 00:45:12.593]  InfoWars.
[00:45:12.593 --> 00:45:14.693]  Building independent media operations.
[00:45:14.693 --> 00:45:19.575]  But the worst people get controlled and tell us that we are the ones responsible.
[00:45:19.575 --> 00:45:20.615]  Prime Directive.
[00:45:20.615 --> 00:45:22.156]  Discredit Alex Jones.
[00:45:22.156 --> 00:45:25.017]  Jones is the wildly popular conspiracy theorist.
[00:45:25.017 --> 00:45:28.258]  A popular conspiracy theory talk show called InfoWars.
[00:45:28.258 --> 00:45:30.559]  Alex Jones is now in an Austin jail.
[00:45:30.559 --> 00:45:31.259]  These people are a
[00:45:31.479 --> 00:45:40.605]  You've got to set your eye on the enemy, not worry about what propaganda they put out.
[00:45:40.605 --> 00:45:42.966]  Intellectually, it's begun.
[00:45:42.966 --> 00:45:44.687]  You can feel it.
[00:46:00.567 --> 00:46:10.211]  Using unparalleled research in the development of a synergistic formulation based around the key concepts of super oxygenation, the next level in cleansing is here.
[00:46:10.211 --> 00:46:20.136]  With key ingredients backed by real clinical studies, the new Oxy Powder, available through InfoWars Life, was invented during Dr. Group's research on the toxification of our bodies.
[00:46:20.136 --> 00:46:23.057]  Many herbal colon cleansers are harsh on the body,
[00:46:23.277 --> 00:46:30.502]  And contain cheap and potentially dangerous ingredients, oftentimes full of synthetic fillers, GMOs, additives, or worse.
[00:46:30.502 --> 00:46:35.185]  Gently start cleaning your body with easy capsules that start working while you sleep.
[00:46:35.185 --> 00:46:40.168]  Oxy powder does not require time off work, and there's no need for bad taste and concoctions.
[00:46:40.168 --> 00:46:45.852]  Instead, oxy powder slowly releases monoatomic oxygen into the intestinal tract and body.
[00:46:45.852 --> 00:46:51.196]  Experience the astonishing cleansing power of superoxide and ozonide technology.
[00:46:51.196 --> 00:46:53.097]  Go to infowarslife.com
[00:46:53.357 --> 00:46:55.079]  You're listening to the Alex Jones Show!
[00:47:22.883 --> 00:47:25.525]  Waging war on corruption.
[00:47:25.525 --> 00:47:32.528]  It's Alex Jones.
[00:47:32.528 --> 00:47:39.051]  It's not the critic who counts, not the man who points out how the strong man stumbles, or the doer of deeds could have done them better.
[00:47:39.051 --> 00:47:47.295]  The credit belongs to the man who is actually in the arena, whose face is marred by dust and sweat and blood, who strives valiantly, who errs.
[00:47:48.015 --> 00:47:48.275]  Thank you.
[00:48:05.939 --> 00:48:10.822]  And I'll say this, I salute Virgin Galactic, Virgin Atlantic, even though I greatly disagree with Branson's politics.
[00:48:32.643 --> 00:48:38.570]  I salute his innovations and his trailblazing and the astronauts, one of which lost their lives.
[00:48:38.570 --> 00:48:41.054]  I mean, that's what it's all about right there.
