[00:00:20.051 --> 00:00:22.873]  Welcome to the InfoWars Nightly News live coverage.
[00:44:08.155 --> 00:44:14.664]  We're going to look at some political ads with Leanne McAdoo is going to be in here and we're going to be amazed at some of the ads that have been aired this year.
[00:44:15.466 --> 00:44:16.347]  Here's Jakarta's report.
[00:44:24.537 --> 00:44:30.159]  With all the gun rhetoric going on around the nation, it's very important that you don't vote in a wolf in sheep's clothing.
[00:44:30.559 --> 00:44:34.580]  A good way to do this is go to the sites, the NRA, also Gun Owners of America.
[00:44:34.840 --> 00:44:39.221]  You can go to these sites and select by state the people who have your best interest at heart.
[00:44:39.701 --> 00:44:45.803]  There you see the NRA site, go state by state, see the people with the best ratings for guns, also Gun Owners of America.
[00:44:45.823 --> 00:44:51.765]  You can see how people have voted in the past, what their affiliations are, and what they mean to your gun rights.
[00:44:52.105 --> 00:44:57.212]  Now, a good place to go if you just want to cut out the middleman and get straight to the meat of it, go to Gun Sense Voter.
[00:44:57.753 --> 00:45:02.960]  And what this is, these are the people that you pretty much don't want to vote for if you care about your Second Amendment rights.
[00:45:03.321 --> 00:45:05.204]  You can select by state, go all the way down.
[00:45:05.224 --> 00:45:06.906]  Hey, this person's anti-gun.
[00:45:06.946 --> 00:45:07.968]  This person's anti-gun.
[00:45:08.368 --> 00:45:14.115]  But I do caution you, you know, these people may disagree with you on your guns, but they may also have other concerns that you do agree with.
[00:45:14.215 --> 00:45:19.901]  I've seen some of these people, they have concerns about securing the border, you know, they want to fund ISIS, things like that.
[00:45:20.202 --> 00:45:24.467]  So take it all into account and research these people if you still have time left to cast your vote.
[00:45:24.967 --> 00:45:27.989]  But, you know, we see the big voice coming out to play on the gun control issue.
[00:45:28.029 --> 00:45:30.810]  We've seen Mayor Bloomberg, who we'll talk about more in a second.
[00:45:31.171 --> 00:45:34.292]  But right now, let's talk about one William Gates, Bill Gates.
[00:45:34.833 --> 00:45:42.257]  We've seen Gates and his wife donate $1 million to a gun control campaign in Washington state, which seeks pretty much expanded background checks.
[00:45:42.337 --> 00:45:44.598]  And people say, well, what's wrong with a universal background check?
[00:45:45.038 --> 00:45:54.625]  Well, what's wrong with it is if I live in Washington State and my father wants to give me a gun, or if I have children and I want to give my children a gun, I don't think a background check should be required for that transaction.
[00:45:54.685 --> 00:46:05.072]  Or if I'm a private seller and I want to sell somebody my old shotgun in the middle of a field, I don't want DHS putting out a training video with a drone looking down at me and acting like it's some type of criminal activity.
[00:46:05.132 --> 00:46:08.475]  Now, of course, that's in Washington State, but it could expand to other places.
[00:46:08.875 --> 00:46:11.736]  But, you know, you see people like Bloomberg and, of course, Bill Gates.
[00:46:11.796 --> 00:46:18.680]  I'm pretty sure Gates has more than a few armed bodyguards running around, and we definitely know that Mayor Bloomberg has more than a few himself.
[00:46:20.060 --> 00:46:21.101]  Mayor Bloomberg, how you doing?
[00:46:21.121 --> 00:46:21.981]  Jason, I grew up in Brooklyn.
[00:46:22.381 --> 00:46:25.723]  In the spirit of gun control, will you disarm your entire security team?
[00:46:26.763 --> 00:46:28.224]  You will get right back to me.
[00:46:28.244 --> 00:46:28.964]  You'll get back to me?
[00:46:29.324 --> 00:46:30.505]  Would you like a sip of my soda?
[00:46:31.786 --> 00:46:36.688]  But as hypocritical as some of these guys can be, they haven't gotten people all the way down in the ranks that they want.
[00:46:36.928 --> 00:46:43.351]  Because we see these anti-gun proponents, they go to these rallies, to these marches here in the city of Austin, Texas.
[00:46:44.412 --> 00:46:45.172]  And I'll be brief.
[00:46:45.952 --> 00:46:52.235]  First of all, to the gentleman that's dying for attention, someone needs to inform him that there is no gun ban currently.
[00:46:52.675 --> 00:46:59.258]  But, because of the work that we're doing here today, we will make your side legitimate shortly.
[00:46:59.358 --> 00:47:01.139]  So you hang on to that.
[00:47:02.375 --> 00:47:03.296]  So that's what they're doing.
[00:47:03.336 --> 00:47:08.799]  They want your mayors, your city councilmen, your sheriffs, but they don't have everybody all across the board.
[00:47:08.819 --> 00:47:09.780]  And here's a good example.
[00:47:10.120 --> 00:47:13.663]  In Detroit, the police chief, he came out and said, this is Mr. James Craig.
[00:47:13.983 --> 00:47:21.508]  He said, hey, you know, I want you to be able to arm yourself because the best thing that can happen is somebody is armed when they encounter a situation.
[00:47:21.548 --> 00:47:24.710]  When you have your life in danger, you know, we can't be there all the time.
[00:47:25.010 --> 00:47:32.135]  So it's the best thing for you to be able to protect yourself until a police man or woman is there to offer you the proper assistance.
[00:47:32.375 --> 00:47:33.335]  But it's not just in Detroit.
[00:47:33.375 --> 00:47:34.816]  We see it in Milwaukee as well.
[00:47:34.896 --> 00:47:38.657]  Sheriff David Clark, who has been a guest on our show, he said, hey, we're partners now.
[00:47:38.737 --> 00:47:41.158]  We need you to watch out for us just like we watch out for you.
[00:47:41.498 --> 00:47:45.339]  And by that, what I mean is I need you to be able to go out there and arm yourself.
[00:47:45.419 --> 00:47:47.360]  Police admit we can't be every place at once.
[00:47:47.420 --> 00:47:48.360]  And you know that as well.
[00:47:48.640 --> 00:47:49.880]  You know, you dial 9-1-1.
[00:47:49.920 --> 00:47:51.421]  How long does it take them to get there?
[00:47:51.601 --> 00:47:56.745]  And that's not bashing the police, it's just saying that you need to have the proper means to protect yourself.
[00:47:57.125 --> 00:48:02.209]  And everybody who thinks about these gun control, like these gun sellback rallies, let's take those for example.
[00:48:02.570 --> 00:48:05.812]  In the state of Arizona, I know that they resale those guns.
[00:48:05.972 --> 00:48:08.374]  They're just profiting from the guns that you turn in.
[00:48:08.414 --> 00:48:11.657]  So now you know, and knowing is indeed half the battle.
[00:48:11.677 --> 00:48:13.558]  We're talking about more pro-gun sheriffs.
[00:48:13.598 --> 00:48:16.701]  We have Sheriff Nick Finch, who has also been a guest on the Alex Jones Show.
[00:48:17.341 --> 00:48:25.648]  He got in some hot water because somebody came into his jail one time, was arrested on a bogus weapons charge, just had a gun without the proper permit.
[00:48:25.708 --> 00:48:31.112]  Not that you need a permit to carry a firearm in the United States of America, although some people want to say that you do.
[00:48:31.593 --> 00:48:36.216]  Anyway, Mr. Finch, you threw out the charge, threw out the guy, said, hey man, go home and enjoy your firearm.
[00:48:36.997 --> 00:48:38.758]  They said, no, Sheriff, we're not going to have that here.
[00:48:39.038 --> 00:48:39.859]  Took the Sheriff to court.
[00:48:39.919 --> 00:48:44.121]  Eventually, the Sheriff won the case, and the Second Amendment prevails.
[00:48:44.141 --> 00:48:48.944]  And we need more guys like Nick Finch, like Sheriff David Clark, like all these guys I've been talking about tonight.
[00:48:48.964 --> 00:48:56.528]  So if you are in a district where you can vote for somebody pro-gun, whether it's your mayor, your city council member, whoever, get those people in the office.
[00:48:56.948 --> 00:49:01.191]  And because everybody talks about, well, the info wars, you guys talk about how the system is so rigged.
[00:49:01.631 --> 00:49:04.292]  But in your local municipalities, you can get a good sheriff.
[00:49:04.312 --> 00:49:05.193]  You can get a good mayor.
[00:49:05.373 --> 00:49:14.455]  We've seen our outgoing Attorney General saying that we need things like smart guns, a RFID bracelet or some other type of similar device to where, you know, well the kids can't get to it.
[00:49:14.535 --> 00:49:18.456]  It's great, so if you're not at home and the kids are there with a firearm, they can't use it.
[00:49:18.797 --> 00:49:24.098]  Well, that's a decent rationale if you have very irresponsible children because, you know, the anti-gunners, they're going to point out
[00:49:24.358 --> 00:49:28.880]  What about the little girl who shot the guy with the Uzi or, you know, these other very unfortunate situations?
[00:49:28.920 --> 00:49:31.100]  And, you know, I'm very concerned about that as well.
[00:49:31.421 --> 00:49:35.202]  You know, I shot my first real gun about the time I was around 12 or 13 years old.
[00:49:35.282 --> 00:49:38.523]  For the children who can, they're responsible, sound mind and body.
[00:49:38.823 --> 00:49:40.724]  We see the situations like I had in that report.
[00:49:41.840 --> 00:49:48.185]  When I was back there on the phone with 911, I heard the bathroom light turn on that was leading to the closet.
[00:49:49.465 --> 00:49:54.949]  And when I saw the door handle turn, I shot him.
[00:49:55.990 --> 00:49:59.332]  I guess it went through the door and went through him and went through the wall.
[00:50:01.393 --> 00:50:07.395]  A 15-year-old boy and his 12-year-old sister had been home alone in the Mount Royal Village subdivision.
[00:50:08.075 --> 00:50:13.696]  At about 2.30, a pair of home invaders tried the front and back doors, then broke a back window.
[00:50:13.876 --> 00:50:17.877]  The brother grabbed his father's assault rifle and knew what to do with it.
[00:50:18.177 --> 00:50:20.517]  Two suspects showed up at Tombow Hospital.
[00:50:20.677 --> 00:50:23.238]  One, the adult, had multiple gunshot wounds.
[00:50:24.065 --> 00:50:31.512]  Unfortunate things do happen, but you do have good, honorable people who arm themselves just like these sheriffs and these police chiefs are talking about that I'm saying here.
[00:50:31.832 --> 00:50:37.217]  And I want to end this segment with this, talking about how many of these anti-gun groups misrepresent themselves.
[00:50:37.237 --> 00:50:46.065]  Because as much as I talk about these anti-gunners guys like Mike Martinez here in the city of Austin, I at least respect Mike Martinez because he comes straight out and tells you what he wants to do.
[00:50:46.105 --> 00:50:47.706]  He says, hey, I want to ban the guns.
[00:50:48.727 --> 00:51:00.950]  Some of these anti-gun organizations who like to change their name to hide their affiliations or their past sins, they'll come out to you, hand you a flyer that says they want to ban guns, and then tell you to your face that they don't want to ban guns.
[00:51:02.490 --> 00:51:05.170]  Nobody's trying to take your toys.
[00:51:05.190 --> 00:51:06.471]  They haven't taken the guns.
[00:51:07.491 --> 00:51:08.471]  Ban assault weapons.
[00:51:09.031 --> 00:51:09.911]  They're not trying.
[00:51:09.931 --> 00:51:10.531]  It says right here.
[00:51:11.552 --> 00:51:12.692]  That's all shimmy on them.
[00:51:12.712 --> 00:51:12.952]  Shut up!
[00:51:13.749 --> 00:51:15.029]  Well, that's Dianne Feinstein.
[00:51:15.089 --> 00:51:17.510]  It's like, no, Dianne Feinstein did not hand me this flyer.
[00:51:17.550 --> 00:51:18.530]  You handed me this flyer.
[00:51:18.810 --> 00:51:20.030]  It says ban assault weapons.
[00:51:20.330 --> 00:51:23.771]  It also says they want background checks for things such as ammunition purchases.
[00:51:24.011 --> 00:51:27.872]  And also to track the quantities of ammunition and ban online sales.
[00:51:27.912 --> 00:51:29.672]  So, you know, we're not trying to take your guns.
[00:51:29.692 --> 00:51:30.832]  We're not trying to ban your guns.
[00:51:31.112 --> 00:51:32.233]  That's Dianne Feinstein.
[00:51:32.273 --> 00:51:37.674]  It's a conspiracy theory that Obama wants to take your guns, even though he said the infamous bitter clinger quote.
[00:51:39.154 --> 00:51:40.774]  People have been beaten down so long.
[00:51:41.775 --> 00:51:43.435]  And they feel so betrayed by government.
[00:51:45.908 --> 00:51:55.492]  So it's not surprising then that they get better and they cling to guns or religion or antipathy towards people who aren't like them.
[00:51:56.452 --> 00:52:00.914]  That he thinks AK-47s belong in the hands of soldiers, not in the hands of criminals.
[00:52:00.934 --> 00:52:03.495]  And I don't want AK-47s in the hands of criminals either.
[00:52:03.795 --> 00:52:08.377]  But you can't classify everybody as being a criminal just because you don't like the weapon that they have.
[00:52:09.377 --> 00:52:14.319]  That hunting and shooting are part of a cherished national heritage.
[00:52:15.981 --> 00:52:21.688]  But I also believe that a lot of gun owners would agree that AK-47s belong in the hands of soldiers, not in the hands of criminals.
[00:52:25.356 --> 00:52:35.305]  If we can save one child, if we can save one child from this, if we can save one child from that, well how about we save the children in Mexico from having guns come into their country with Operation Fast and Furious?
[00:52:35.606 --> 00:52:42.592]  How about we save the children in Syria and Iraq by not arming these Al-Qaeda and these ISIS rebels?
[00:52:42.852 --> 00:52:46.236]  You know, we saw the video last week about the airdrop grenades.
[00:52:46.676 --> 00:52:49.759]  You know, in ISIS territory, how many kids are going to die because of that?
[00:52:49.999 --> 00:52:52.402]  But if we can save one child, we'll ban your guns.
[00:52:52.642 --> 00:52:56.646]  But we can't save one child by, you know, not arming the terrorists that we're fighting against.
[00:52:57.047 --> 00:52:58.268]  This is completely ridiculous.
[00:52:58.668 --> 00:52:59.369]  It's ongoing.
[00:52:59.429 --> 00:53:00.130]  It's not dead.
[00:53:00.410 --> 00:53:03.433]  You know, they may have been a little quiet for a while, but they're working behind the scenes.
[00:53:03.774 --> 00:53:04.815]  So you can't sleep on it.
[00:53:04.955 --> 00:53:09.199]  If you want your guns, if you want your freedom, if you want your whatever, they just want your general rights.
[00:53:09.479 --> 00:53:09.780]  All of them.
[00:53:10.180 --> 00:53:11.762]  Stay tuned, we have more election coverage.
[00:53:11.982 --> 00:53:13.444]  This is the Info Wars Nightly News.
[00:53:13.464 --> 00:53:14.746]  And don't let these people lie to your face.
[00:53:14.986 --> 00:53:15.948]  We're not trying to ban guns.
[00:53:15.968 --> 00:53:20.113]  It says right here on this flyer that you gave me that you want to ban my guns.
[00:53:31.648 --> 00:53:33.709]  I want to know what's really happening with Ebola.
[00:53:34.150 --> 00:53:40.113]  I want to know if there are things out there that could protect this country and protect my three children, just as you do.
[00:53:40.393 --> 00:53:43.075]  Government can't and won't protect you from Ebola.
[00:53:43.335 --> 00:53:46.697]  It is up to all of us to be prepared and to protect ourselves.
[00:53:47.057 --> 00:53:51.879]  I'm not sitting back waiting for the government to come protect me and take care of me.
[00:53:52.180 --> 00:53:56.242]  It's why I'm doing everything I can to boost my body's natural defenses.
[00:53:56.582 --> 00:53:58.043]  That's why I've got storable foods.
[00:53:58.243 --> 00:54:02.204]  That's why I've got my colloidal silver from Infowarslife.com, a silver bullet.
[00:54:02.284 --> 00:54:10.627]  That's why I've got nascent iodine, X2, that has absolutely supercharged my personal body's defenses.
[00:54:11.268 --> 00:54:15.629]  I personally have gotten prepared, and I recommend everybody else get prepared as well.
[00:54:15.829 --> 00:54:21.831]  So visit Infowarslife.com today to find the most cutting-edge, hardcore supplements on the planet.
[00:54:22.011 --> 00:54:26.313]  Or call the Infowars staff, and we can answer your questions or take your order over the phone.
[00:54:43.487 --> 00:54:49.470]  Introducing the first proprietary oxygen-based intestinal cleanser, Oxy-Powder.
[00:54:50.110 --> 00:54:55.053]  Backed by real FDA-approved Phase 1, 2, and 3 clinical trials.
[00:54:55.873 --> 00:54:59.635]  People are suffering from all kinds of digestive issues these days.
[00:55:00.076 --> 00:55:06.319]  All the toxins from the air, the food, the water, ultimately ends up in the gut or affects the gut.
[00:55:06.559 --> 00:55:09.141]  My main focus was to come up with a remedy for this.
[00:55:09.261 --> 00:55:16.865]  Something that's safe and effective that anyone can take on a regular basis to keep their intestinal lining clean.
[00:55:17.425 --> 00:55:26.751]  My recommendation is to clean your intestines at least two to three times a week to prevent the toxic buildup from going into your bloodstream.
[00:55:27.071 --> 00:55:32.235]  Take your health into your own hands and start cleansing your body today with Oxy Powder.
[00:55:32.775 --> 00:55:36.538]  Secure your Oxy Powder today at InfoWarsLife.com.
[00:55:37.078 --> 00:55:38.719]  That's InfoWarsLife.com.
[00:56:00.583 --> 00:56:01.684]  DNA Force.
[00:56:01.724 --> 00:56:04.926]  When cells become toxic, they die early and aging sets in.
[00:56:05.006 --> 00:56:06.027]  DNA Force.
[00:56:06.147 --> 00:56:14.212]  No one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[00:56:14.332 --> 00:56:19.356]  Just one of the key compounds, BioPQQ, is backed by major clinical studies.
[00:56:19.396 --> 00:56:20.396]  DNA Force.
[00:56:20.456 --> 00:56:22.318]  We now have the synergistic solution.
[00:56:22.438 --> 00:56:26.781]  Secure your DNA Force today at InfoWarsLife.com or call toll free 888-253-3139.
[00:56:26.801 --> 00:56:27.121]  DNA Force.
[00:56:36.644 --> 00:56:47.627]  In January of this year, I sent Jakari Jackson and other Infowars.com reporters to the west coast of the United States to investigate the reports of massive radiation spikes.
[00:56:48.187 --> 00:56:52.168]  Ten times, in some cases, what the background radiation is supposed to be.
[00:56:52.648 --> 00:57:05.180]  Professional groups, private organizations, and citizens alike were going out with their field meters and Geiger counters and picking up huge spikes in San Francisco, Los Angeles, but as far north as Seattle.
[00:57:05.340 --> 00:57:12.847]  Jakari and our reporters not only confirmed increased radiation, they found it all over the western coastline.
[00:57:13.007 --> 00:57:14.788]  Why is this not a national news story?
[00:57:14.828 --> 00:57:22.613]  Why is this not an international news story that these power plants are registering lower radiation than what is being found in Half Moon Bay?
[00:57:22.734 --> 00:57:35.482]  We had witnessed a coordinated cover-up by Tokyo Electric and the Japanese government of the cancers and deaths and thyroid ailments plaguing Japan in the first three years after the disaster.
[00:57:35.902 --> 00:57:41.826]  So the question was, is there a cover-up going on in the United States and North America as a whole?
[00:57:42.086 --> 00:57:42.607]  Turns out,
[00:57:43.107 --> 00:57:57.575]  The EPA, within just a few months of the Fukushima disaster, with the trade winds and currents coming right into the United States, had indeed raised the levels of what they claimed was safe for the population.
[00:57:57.875 --> 00:57:59.616]  In some cases, more than a third.
[00:57:59.616 --> 00:58:04.061]  Thousand times what they had previously claimed was safe.
[00:58:04.341 --> 00:58:14.313]  So we continued to investigate and noticed that just a few months after Fukushima, tuna had been caught off the coast of the United States with higher levels of radiation.
[00:58:14.633 --> 00:58:15.073]  It's almost double.
[00:58:35.327 --> 00:58:37.868]  There's a reason I sent my reporters to the West Coast.
[00:58:38.388 --> 00:58:43.990]  It's to draw attention to the fact that the nuclear industries in the United States and worldwide are out of control.
[00:58:44.411 --> 00:58:49.252]  More than 75% of reactors in North America are currently leaking.
[00:58:49.753 --> 00:58:50.333]  In the past,
[00:58:51.053 --> 00:58:53.274]  Every one of these leaks would have been a huge issue.
[00:58:53.794 --> 00:58:56.075]  Now, it's as if radiation is good for us.
[00:58:56.535 --> 00:59:01.137]  In fact, Ann Coulter and others have come out and said that we should be thankful for the radiation.
[00:59:01.337 --> 00:59:05.259]  The Japanese should be thankful, because after all, it's good for them.
[00:59:05.339 --> 00:59:14.983]  Radiation in excess of what the government says are the minimum amounts you should be exposed to are actually good for you and reduce cases of cancer.
[00:59:15.743 --> 00:59:23.268]  Tell that to all the valiant rescue workers who tried to secure the damaged plant, who've now succumbed from radiation sickness and died.
[00:59:23.789 --> 00:59:38.819]  And tell that to the sailors and crew of the USS Ronald Reagan, many of which are dead and dying now from radiation poisoning, and the VA will not give them any care, and basically puts them on a death panel list to wait and die.
[00:59:39.199 --> 00:59:48.183]  Our sources tell us many were placed on a secret list designed by VA managers to hide the fact veterans were waiting months to see a doctor.
[00:59:48.483 --> 01:00:08.711]  Bottom line, it is important that we draw attention to the fact that this industry is out of control and we also draw attention to the fact that the federal government itself is ordering millions and millions of dosages of potassium iodide for federal workers while telling the general population that, oh, you don't need to have that unless you live right next door to a nuclear power plant.
[01:00:08.951 --> 01:00:30.285]  They're acting like they're preparing for some sort of nuclear emergency right now, because we now know that the Department of Health and Human Services, for example, they just ordered an unprecedented 14 million doses of potassium iodide, which, you know, protects the body in the event of radioactive poisoning.
[01:00:30.705 --> 01:00:35.488]  So the federal government, they are already acting as if there's been a severe
[01:00:36.969 --> 01:00:38.110]  Nuclear accident?
[01:00:38.190 --> 01:00:40.691]  Does that concern you as much as it does me?
[01:00:41.411 --> 01:00:45.193]  Oh yes, it concerns me not only as a journalist but as a just general citizen.
[01:00:45.454 --> 01:00:51.437]  The truth is radiation is an invisible poison that's all around us and the levels of it are going up.
[01:00:51.797 --> 01:01:02.683]  It was in my research to find ways to try to shield my family or mitigate the dangers of increased radiation that I discovered that iodine was a key component and the government was hoarding it.
[01:01:03.163 --> 01:01:13.248]  But the type of iodine they're hoarding is something you only take during a huge disaster, not something that you take on a daily basis that from the research helps your glands and body overall to be healthier.
[01:01:14.088 --> 01:01:21.112]  That's why we developed with Dr. Edward Group Survival Shield, a proprietary new form of nascent iodine.
[01:01:21.572 --> 01:01:28.955]  Survival Shield has been incredibly popular because of the results people have gotten, but also because it's more palatable and easier for children to take.
[01:01:29.235 --> 01:01:32.037]  It's not as harsh as some of the other iodines that are out there.
[01:01:32.617 --> 01:01:37.344]  We innovated with survival shield nascent iodine and it's still available and is excellent.
[01:01:37.704 --> 01:01:41.069]  But we are now very excited to introduce X2.
[01:01:41.349 --> 01:01:44.033]  There is no other iodine anywhere near this.
[01:01:44.533 --> 01:01:49.019]  The other so-called nascent iodines are black and turn black on paper.
[01:01:49.680 --> 01:01:55.224]  The Survival Shield nascent iodine turns electric blue purple because it's from the pure crystal.
[01:01:55.604 --> 01:02:00.007]  You can literally see these ancient crystals seething with the iodine.
[01:02:00.367 --> 01:02:04.810]  If you think Survival Shield was powerful, X2 is the next level.
[01:02:05.290 --> 01:02:06.771]  Take the InfoWars challenge.
[01:02:07.172 --> 01:02:12.135]  Regardless, you're getting high-quality iodine that, on record, the government admits everyone needs.
[01:02:12.415 --> 01:02:13.095]  It's essential.
[01:02:13.476 --> 01:02:18.099]  And you're supporting the very tip of the spear in revolutionary pro-liberty media.
[01:02:18.820 --> 01:02:22.729]  X2 from Infowarslife.com or call toll free 888-253-3139.
[01:02:22.749 --> 01:02:24.874]  There's no other iodine like it on Earth.
[01:03:06.332 --> 01:03:12.155]  And because early voting runs through this Friday, you don't have to wait until Election Day.
[01:03:12.235 --> 01:03:14.336]  You can vote all week!
[01:03:15.597 --> 01:03:24.862]  The Rio Riva County Clerk's Office reported this afternoon that a voter trying to cast an early ballot in Española today was told he had already voted three days prior.
[01:03:25.042 --> 01:03:34.207]  Activist on the tape goes on to suggest that discarded ballots could be collected from what she called Ghetto Aurora, saying that African Americans and Mexicans tend to throw out their ballots.
[01:03:34.807 --> 01:03:39.490]  And as for those programs we do need, I'll make them work better and I'll make them cost less.
[01:03:39.630 --> 01:03:47.955]  Thousands of federal workers are issued taxpayer-funded credit cards so long as they buy items that cost less than $3,000 or micro-purchases.
[01:03:48.095 --> 01:03:49.496]  Our review found about $20 billion.
[01:03:51.537 --> 01:03:52.797]  Just about the course of a year.
[01:03:53.137 --> 01:03:57.859]  We'll save billions by cutting waste and improving management and strengthening oversight.
[01:03:58.159 --> 01:04:01.920]  We asked all of these other major federal agencies based here in D.C.
[01:04:01.960 --> 01:04:05.981]  for their micro-purchase shopping lists and all refused.
[01:04:06.181 --> 01:04:11.922]  I'm pledging to cut the deficit we inherited by half by the end of my first term in office.
[01:04:12.262 --> 01:04:18.964]  The Independent Congressional Budget Office warning a new fiscal crisis is coming if Washington doesn't get its spending in check.
[01:04:19.204 --> 01:04:24.493]  Raising the debt ceiling, which has been done over a hundred times, does not increase our debt.
[01:04:24.853 --> 01:04:27.438]  If you've got a business, you didn't build that.
[01:04:28.459 --> 01:04:30.102]  Somebody else made that happen.
[01:04:44.483 --> 01:04:47.445]  Live from the InfoWars.com studios.
[01:04:48.345 --> 01:04:52.367]  First, Ebola is not spread through the air like the flu.
[01:04:52.727 --> 01:04:57.549]  Ebola is capable of entering human airway cells.
[01:04:57.969 --> 01:05:03.332]  Ebola is primed to be able to have respiratory transmission.
[01:05:03.712 --> 01:05:08.659]  Crashing through the lies and disinformation, it's Alex Jones.
[01:05:09.260 --> 01:05:12.265]  You are either with the Republic or against it.
[01:05:24.744 --> 01:05:29.866]  Welcome back to the live coverage of our pre-election coverage here at InfoWars Nightly News.
[01:05:29.946 --> 01:05:30.626]  I'm David Knight.
[01:05:30.686 --> 01:05:32.367]  I'm joined now with Leanne McAdoo.
[01:05:32.387 --> 01:05:35.488]  We're going to take a look at political ads that have surfaced.
[01:05:35.868 --> 01:05:39.589]  We're also going to look a little bit deeper as to what's behind these political ads.
[01:05:39.629 --> 01:05:41.830]  And of course, that's going to be the billionaires.
[01:05:41.890 --> 01:05:42.410]  Now, Leanne...
[01:05:42.930 --> 01:05:49.353]  CNN asked the question, what could Americans have bought with the $4 billion that was spent on elections this year?
[01:05:49.713 --> 01:05:52.555]  And I think it's kind of interesting that, of course, they offer some suggestions.
[01:05:53.095 --> 01:05:54.476]  This is what you would expect from CNN.
[01:05:54.496 --> 01:06:06.482]  They say, well, it's 10 times more than the government could have spent fighting Ebola, or more than the government would have spent on 25 F-18 fighters, or more than the government would have spent on 12,000 students K-12 education.
[01:06:08.703 --> 01:06:12.024]  Yes, the government should own and control everything.
[01:06:12.044 --> 01:06:19.666]  And of course, we see a lot of people suggesting that the government should run campaigns as part of what they call campaign finance.
[01:06:20.126 --> 01:06:33.049]  I have a problem with that because the same people that would be running these campaigns are the same ones who are limiting access to the ballot, who are limiting access to the debates, and so I have a real problem with that.
[01:06:33.089 --> 01:06:35.930]  But let's start with an Indiegogo campaign.
[01:06:35.950 --> 01:06:36.250]  I don't
[01:06:59.067 --> 01:07:04.532]  They did, instead of the Obama campaign picture, they've got a picture of their candidate there.
[01:07:04.572 --> 01:07:07.754]  And underneath, instead of saying hope, it says sold on there.
[01:07:08.175 --> 01:07:22.607]  So this is a Gil Fulbright, a satirical Senate candidate, and he's saying that he's running in this race in Kentucky because it's kind of a toss-up as to whether or not the Kentucky race or the North Carolina race is going to be the most expensive Senate race in American history.
[01:07:22.967 --> 01:07:27.891]  That's how much money is being put in in a midterm election to control things.
[01:07:28.251 --> 01:07:37.119]  And we're going to talk about why this is happening, but let's take a look at this Senate candidate, the satirical Senate campaign ad here.
[01:07:37.299 --> 01:07:38.440]  This is Gil Fulbright.
[01:07:38.820 --> 01:07:40.562]  Hi, I'm Gil Fulbright.
[01:07:40.822 --> 01:07:43.824]  The people who run my campaign, they've made this commercial, and I'm in it.
[01:07:45.626 --> 01:07:47.668]  This campaign, it's not about me.
[01:07:48.188 --> 01:07:50.410]  It's about crafting a version of me that will appeal to you.
[01:07:50.430 --> 01:07:54.854]  A version that visits random work sites with paid actors, pointing at things.
[01:07:56.334 --> 01:07:58.955]  A version of me that doesn't find old people loathsome.
[01:07:59.675 --> 01:08:00.175]  Or pointless.
[01:08:01.776 --> 01:08:04.877]  Has a conventionally attractive yet curiously still family.
[01:08:07.878 --> 01:08:11.500]  Listening to my constituents, legislating, these are things I don't do.
[01:08:12.120 --> 01:08:15.961]  What I do is spend about 70% of my time raising funds for re-election.
[01:08:17.802 --> 01:08:19.223]  I'd do anything to stay in office.
[01:08:19.903 --> 01:08:24.825]  My name's Gil Fulbright, but hell, I'll change my name to Phil Goldbright, or Bill Fulbright, or
[01:08:25.925 --> 01:08:26.986]  Fill up my mouth with farts.
[01:08:28.727 --> 01:08:30.188]  These are the things that are important to me.
[01:08:31.028 --> 01:08:33.790]  And these are the fine people that finance my campaign.
[01:08:34.870 --> 01:08:37.232]  Now, in order to do these things, I have to stay in office.
[01:08:37.252 --> 01:08:39.853]  And to stay in office, I have to keep these guys happy.
[01:08:40.674 --> 01:08:45.096]  Now, if any of these things make these guys unhappy, well, my hands are tied.
[01:08:46.877 --> 01:08:48.418]  So come November, the choice is clear.
[01:08:48.858 --> 01:08:51.860]  Do you want another spineless mouthpiece for special interest and lobbyists?
[01:08:52.520 --> 01:08:54.922]  Or a spineless mouthpiece for special interest and lobbyists?
[01:08:56.042 --> 01:08:58.623]  I'm Phillip Amalfi-Fartz, and I approve this message.
[01:08:59.924 --> 01:09:01.004]  Okay, there you go.
[01:09:01.124 --> 01:09:02.965]  A brutally honest satire.
[01:09:03.085 --> 01:09:07.267]  And boy, that looks like the prototypical campaign ad that we've seen.
[01:09:07.307 --> 01:09:15.070]  Now, he points out in his Indiegogo campaign that in the Kentucky race, Mitch McConnell, 87% of the money that he's getting is from out of state.
[01:09:15.571 --> 01:09:19.873]  And his opponent, Grimes, is getting 75% of her money from out of state.
[01:09:20.633 --> 01:09:25.115]  And his solution is to take the extra money that he got in this Indiegogo campaign,
[01:09:25.775 --> 01:09:25.935]  Yes.
[01:09:42.461 --> 01:09:44.002]  He's not necessarily a good guy.
[01:09:44.022 --> 01:09:54.552]  You have to look at this kind of resume here and you've got to say, well, when he says Mayday PAC, is he talking about Mayday in the sense that this is an emergency or is he talking about Mayday in the sense that he wants a communist parade?
[01:09:54.652 --> 01:09:55.012]  I don't know.
[01:09:55.432 --> 01:09:58.155]  But here's the problem I see with campaign finance reform, Leanne.
