[00:00:19.338 --> 00:00:21.521]  You're watching the InfoWars Nightly News.
[00:28:14.258 --> 00:28:29.588]  This was an outgrowth of a story that I had done about the state of California's asset forfeiture program, which is a program where if the police believed you were a drug dealer, they could come in and take your house and your car and your money without even charging you with a crime.
[00:28:30.269 --> 00:28:43.858]  And when I got into investigating her boyfriend's case, I came across Blandon and I came across his involvement with the Contras and his involvement ultimately with a major crack wholesaler in Los Angeles named Freeway Ricky Ross.
[00:28:44.518 --> 00:29:04.506]  And so I did a series that said that the crack market in South Central Los Angeles had been created in the early 1980s with the help of this contra drug ring and showed how once crack got hold in South Central and once the gangs got a hold of it, it was spread from South Central to other cities in the United States.
[00:29:05.206 --> 00:29:19.155]  We tracked the cocaine dealers who were running this operation all the way up the ladder to a couple of CIA agents who were actually running the FDN, Enrique Bermudez and Adolfo Calero.
[00:29:19.635 --> 00:29:24.178]  Most of this information, or much of the information, came out at a trial in San Diego in March.
[00:29:24.898 --> 00:29:30.702]  One of the cocaine brokers, a guy named Danilo Blandon, who was the head of the Southern California operation,
[00:29:31.528 --> 00:29:33.130]  Uh, he has been working for the U.S.
[00:29:33.150 --> 00:29:34.411]  government for the last couple of years.
[00:29:35.332 --> 00:29:41.859]  And, um, he was the star witness in a cocaine trafficking trial for the DEA.
[00:29:42.380 --> 00:29:51.830]  Unfortunately, they couldn't really get into a lot of it because before the trial, the United States filed a motion asking that nobody be allowed to ask Mr. Blandon about his relationship with the CIA.
[00:29:53.231 --> 00:29:55.332]  And it was one of the most curious documents I've ever seen.
[00:29:55.372 --> 00:30:01.295]  It said, if true, this matter would be classified, and if false, it shouldn't be allowed at the trial.
[00:30:02.276 --> 00:30:04.737]  He was suicided by being shot twice in the head.
[00:30:05.137 --> 00:30:09.119]  And the CIA and the federal government being involved in the drug trade is not ancient history.
[00:30:09.460 --> 00:30:09.780]  The U.S.
[00:30:09.820 --> 00:30:18.504]  military and the CIA have aided and assisted the production of poppy-based opiates like heroin in Afghanistan, which supplied only 7% of the world's opiates before U.S.
[00:30:18.584 --> 00:30:20.785]  occupation, but is now generating over 90%.
[00:30:21.946 --> 00:30:34.402]  Whether it's a moral equivalent of something like the War of Drugs or the War of Terror, the government has been running both sides to terrorize the public so they can build an infrastructure of tyranny and prey on the public.
[00:30:35.243 --> 00:30:37.906]  They're all becoming just like the CIA.
[00:30:40.267 --> 00:30:42.149]  Thank you for tuning in to the show tonight.
[00:30:42.289 --> 00:30:49.255]  Now please, if you are not yet a Prison Planet TV subscriber, go to prisonplanet.tv and sign up there.
[00:30:49.295 --> 00:30:56.221]  You can have instant access to the nightly news, all the special reports, the rants, the e-books, the Alex Jones Show Live.
[00:30:56.561 --> 00:31:02.206]  It's unlimited instant streaming and you can share your username and password with up to 11 other people.
[00:31:02.647 --> 00:31:07.271]  You will be supporting this operation and supporting Liberty and what we do here.
[00:31:07.731 --> 00:31:09.112]  So thank you for tuning in tonight.
[00:31:09.172 --> 00:31:11.094]  We'll see you here tomorrow at 7 p.m.
[00:31:11.114 --> 00:31:11.414]  Central.
[00:31:24.520 --> 00:31:32.162]  With so many examples of armed self-defense barely making the news, here are the top 10 highlights of 2014 thus far.
[00:31:32.502 --> 00:31:34.502]  We'll start in the city of Chicago.
[00:31:35.022 --> 00:31:38.063]  A homeowner shot an intruder in the early morning hours.
[00:31:38.543 --> 00:31:45.045]  Unfortunately, due to the city's strict gun laws, the homeowner was arrested for having an expired weapons permit.
[00:31:46.365 --> 00:31:50.027]  A Florida man learned the hard way not to bring a knife to a gunfight.
[00:31:50.447 --> 00:31:55.569]  The attacker entered a supermarket armed with a sword and was shot by a security guard.
[00:31:56.270 --> 00:32:01.152]  In North Carolina, a thief playing doctor was chased off by an armed homeowner.
[00:32:01.552 --> 00:32:05.834]  The crook disguised in a surgeon's mask was quickly caught a short distance later.
[00:32:06.434 --> 00:32:08.995]  Next, we'll focus on attacking the elderly.
[00:32:09.415 --> 00:32:16.417]  In Thurston County, Washington, a 63-year-old shot a stranger inside his home, attempting to carry away the man's property.
[00:32:16.917 --> 00:32:21.238]  In Phoenix, a 77-year-old awoke to a burglar inside his home.
[00:32:21.678 --> 00:32:25.279]  The burglar was shot dead by a single shotgun blast.
[00:32:25.980 --> 00:32:32.121]  Rounding out the top five, a California woman in a nightgown chased off two thugs with her shotgun.
[00:32:32.501 --> 00:32:34.102]  She heard the suspect say this,
[00:32:35.942 --> 00:32:37.923]  He said that crazy b**** has a gun.
[00:32:38.464 --> 00:32:43.167]  In Detroit, a mother defended her family against three simultaneous attackers.
[00:32:43.627 --> 00:32:47.569]  The woman fired on the fleeing suspects who were later caught the same day.
[00:32:48.150 --> 00:32:51.212]  For the top three, we'll focus on sharpshooting skills.
[00:32:51.832 --> 00:32:56.855]  In Washington State, an 11-year-old shot and killed a cougar stalking her brother.
[00:32:57.255 --> 00:33:01.318]  The cat was one of four that appeared on her family property in the past month.
[00:33:01.918 --> 00:33:06.962]  In San Jose, a man shot and hit two men attempting to break into his home.
[00:33:07.202 --> 00:33:12.666]  But the kicker is that the man couldn't see his targets and fired at the sound of the intruders.
[00:33:13.247 --> 00:33:19.432]  And topping the list, a sharpshooting son killed a man menacing his father from 40 yards away.
[00:33:20.029 --> 00:33:24.371]  That's when all I saw was this guy coming up out of the ditch with a gun, and he put that gun on my dad.
[00:33:25.091 --> 00:33:26.472]  I just jumped out and put it on him.
[00:33:26.732 --> 00:33:29.713]  There's still blood on the ground where the burglar was shot.
[00:33:30.094 --> 00:33:31.154]  He was gonna kill my dad.
[00:33:31.334 --> 00:33:32.375]  There's no doubt about that.
[00:33:32.415 --> 00:33:33.415]  He was gonna kill my dad.
[00:33:33.795 --> 00:33:35.716]  The homeowner is proud of his son.
[00:33:36.276 --> 00:33:39.798]  His son says he'll protect his family no matter the cost.
[00:33:40.578 --> 00:33:44.680]  I was scared for my dad's life, and I wasn't gonna have my dad die in front of me.
[00:33:45.440 --> 00:33:48.542]  You can find more reports at InfoWars.com.
[00:33:57.725 --> 00:33:58.625]  We're on the march.
[00:33:59.085 --> 00:34:00.706]  The Empire's on the run.
[00:34:01.186 --> 00:34:04.207]  And the InfoWars Army is standing strong.
[00:34:04.567 --> 00:34:10.629]  Wake up your family, friends, and neighbors and break the matrix at InfoWarsStore.com.
[00:34:11.049 --> 00:34:18.991]  Learn the truth and spread the message of liberty with the world's most comprehensive collection of books and documentary films.
[00:34:19.751 --> 00:34:24.993]  Maintain a healthy metabolism and energize your body to perform at peak health.
[00:34:25.313 --> 00:34:27.935]  With Survival Shield Nascent Iodine.
[00:34:28.356 --> 00:34:34.040]  Protect your family and be prepared with survival foods and emergency preparedness kits.
[00:34:34.721 --> 00:34:45.990]  And now you can drink safe water with your own ProPure water filtration system, which removes fluoride and other harmful chemicals from your family's water supply.
[00:34:46.430 --> 00:34:49.252]  Save 10% with the promo code WATER.
[00:34:49.593 --> 00:34:51.154]  So join the revolution.
[00:34:51.614 --> 00:34:52.835]  Infowarsstore.com
[00:34:57.958 --> 00:35:01.883]  You are watching the InfoWars Nightly News, which airs 7 p.m.
[00:35:01.923 --> 00:35:04.426]  Central at InfoWarsNews.com.
[00:35:04.626 --> 00:35:11.494]  Members can share their passcodes with up to 11 other people, and your support is helping us defend liberty worldwide.
