[00:00:00.009 --> 00:00:02.199]  You're listening to the Alex Jones Show!
[00:39:37.990 --> 00:39:45.773]  Well, you've already had Sony Pictures selling us Zero Dark Thirty in cooperation with the intelligence community, the U.S.
[00:39:45.833 --> 00:39:53.337]  government, promoting Obama for president, trying to portray him as the man who took down Osama bin Laden, starting out that movie.
[00:39:53.897 --> 00:40:02.580]  With a torture sequence and showing that, well, that's how we got the information that allowed us to kill Osama bin Laden, who'd been dead for years prior to that.
[00:40:02.900 --> 00:40:03.941]  But it was also Sony.
[00:40:03.961 --> 00:40:07.762]  So, you know, this inside job may be more inside than we realize.
[00:40:07.822 --> 00:40:09.303]  Certainly, they've made the case.
[00:40:09.603 --> 00:40:11.343]  We've had a tech analysis of it.
[00:40:11.383 --> 00:40:12.844]  We talked about that yesterday.
[00:40:12.864 --> 00:40:15.605]  They talked about how it was about 100 terabytes of data.
[00:40:16.145 --> 00:40:17.726]  And if you look at the timing, they said,
[00:40:18.846 --> 00:40:29.208]  And officials inside of Sony have even said it has to be somebody who's a disgruntled former employee, somebody in IT who is guiding this through because they wouldn't have had time to go through that many emails.
[00:40:29.608 --> 00:40:36.310]  Think about how many emails that is with a hundred terabytes of data for them to immediately go through and pull out this type of stuff.
[00:40:36.330 --> 00:40:41.051]  But we also now have some other data that's coming out that gives us another perspective on it.
[00:40:41.471 --> 00:40:50.541]  But as you pointed out, Paul, it's not just CISPA, but it's also they're trying to turn this into a much broader spectrum, trying to blame it on Iran, China or Russia.
[00:40:50.561 --> 00:40:57.589]  You know, The Onion had a parody up and they said, if we want to bring Putin to his knees, maybe it's time we embargo his Netflix account.
[00:40:57.629 --> 00:40:59.130]  Maybe that's what we should do now.
[00:40:59.170 --> 00:41:01.113]  We should embargo Putin's Netflix account.
[00:41:01.613 --> 00:41:07.415]  There's an article up on Infowars.com, the Sony hack might have killed a certain kind of satire.
[00:41:08.036 --> 00:41:20.821]  Now, one of the things I found interesting in this article was a quote from a cyber security expert, Peter Singer, who said, the ability to steal gossipy emails from a not so great protected computer network is not the same thing.
[00:41:21.261 --> 00:41:28.287]  As being able to carry out physical 9-11 style attacks in 18,000 locations simultaneously.
[00:41:28.647 --> 00:41:31.430]  Because that's what the House Cyber Security Chairman is warning us.
[00:41:31.450 --> 00:41:36.534]  He says first Sony, next the electric grid, and then Wall Street.
[00:41:37.495 --> 00:41:37.675]  Paul?
[00:41:39.308 --> 00:41:55.173]  It's amazing the fact that previously we all laughed at North Korea for this bellicose baseless rhetoric that they come out with every single year, normally right before Christmas just by coincidence, saying that they're going to destroy the world.
[00:41:55.653 --> 00:41:57.294]  Everybody laughs in their face.
[00:41:57.834 --> 00:42:01.015]  You know, it's a country that can barely feed its own population.
[00:42:01.335 --> 00:42:06.237]  The experts who have looked at this said that North Korea does not have the sophistication to carry out this attack.
[00:42:06.817 --> 00:42:11.118]  Yet now, the White House is acting as their PR mouthpiece.
[00:42:11.438 --> 00:42:12.939]  They're turning North Korea
[00:42:13.899 --> 00:42:24.881]  From a paper tiger into this rampaging Godzilla that's going to attack nuclear plants, that's going to attack 18,000 cinemas, that's going to bring down the entire country.
[00:42:25.341 --> 00:42:27.442]  Now they're talking about electrical grids.
[00:42:27.922 --> 00:42:33.443]  I mean, since when did the White House become the PR agency for Kim Jong-un?
[00:42:33.843 --> 00:42:35.403]  It's completely ridiculous.
[00:42:35.463 --> 00:42:36.424]  It's preposterous.
[00:42:36.864 --> 00:42:37.504]  They have done it.
[00:42:38.504 --> 00:42:41.947]  You know, North Korea has not claimed responsibility for this.
[00:42:42.388 --> 00:42:44.229]  Again, read what the experts are saying.
[00:42:44.610 --> 00:42:50.976]  If they had pulled this off, they would be all over it, like white on rice, claiming responsibility for it.
[00:42:51.396 --> 00:42:54.399]  Dealing a blow to the great Satan.
[00:42:54.739 --> 00:42:59.063]  I mean, that would play so well nationally for their domestic propaganda.
[00:42:59.464 --> 00:43:02.567]  They would instantly claim responsibility if they were behind it.
[00:43:02.967 --> 00:43:03.528]  They haven't.
[00:43:04.208 --> 00:43:12.130]  And the people who were behind the hack, who gave interviews, anonymously said, you know, we're not backed by any state.
[00:43:12.530 --> 00:43:24.634]  And in their message to Sony, in their initial email to Sony, the interview, this film about, you know, these CIA agents going over to kill Kim Jong-un, they never mentioned that movie in the initial message.
[00:43:25.194 --> 00:43:31.116]  This whole narrative about the interview and linking it to North Korea didn't come from this hacking group.
[00:43:31.556 --> 00:43:32.836]  It came from the White House.
[00:43:32.916 --> 00:43:38.657]  It came from the media that glommed onto it and has never let go in the three or four weeks since.
[00:43:39.638 --> 00:43:48.320]  Paul, illustrating what you were just saying as well, that's a good point that of course they would be crowing about the fact that they had done it if they actually had done it.
[00:43:48.880 --> 00:43:50.942]  But there's also emails that have come out.
[00:43:51.362 --> 00:44:03.591]  The Daily Beast reports that they looked at some of the emails and they looked at communications going back and forth about what they had said to the State Department and what they had said to a RAND consultant.
[00:44:04.011 --> 00:44:11.157]  And one of the emails, going back to June 26, says, Michael, I talked with Ambassador King a few minutes ago.
[00:44:11.537 --> 00:44:15.580]  Their office has apparently decided that this is typical North Korea bullying.
[00:44:15.940 --> 00:44:18.122]  So back in June, the State Department
[00:44:18.442 --> 00:44:18.762]  We're good.
[00:44:48.422 --> 00:44:49.343]  That kind of power.
[00:44:49.383 --> 00:44:51.844]  This goes way beyond political correctness.
[00:44:52.184 --> 00:44:56.147]  And they have turned this thing around 180 degrees from where they were just back in June.
[00:44:57.848 --> 00:44:58.268]  Exactly.
[00:44:58.308 --> 00:45:06.313]  And it's amazing that they've taken this cartoon character villain North Korea and now this is their big boogeyman.
[00:45:07.009 --> 00:45:12.911]  I mean, now it seems that they're lumping in China, Iran and Russia because people just aren't believing it.
[00:45:12.931 --> 00:45:18.313]  They've been saying it's North Korea for three weeks, even though the FBI said there was no evidence of that.
[00:45:18.773 --> 00:45:32.098]  But even if you look at the actual, the language in those messages, those threatening messages, people have studied it and said, this just looks like an English person who's deliberately trying to sound Korean.
[00:45:32.856 --> 00:45:41.243]  Because what you would expect to see if English wasn't their first language and they were from North Korea would be something akin to what they call Conglish.
[00:45:41.603 --> 00:45:42.164]  But it's not.
[00:45:42.624 --> 00:45:47.668]  It's like an English speaker that's pretending to be bad at writing English.
[00:45:48.128 --> 00:45:49.770]  It's that transparent.
[00:45:49.870 --> 00:45:51.311]  It's like the anthrax notes.
[00:45:51.551 --> 00:45:54.534]  It's so transparent that they can't even get the language right.
[00:45:55.094 --> 00:45:59.617]  I wonder if anybody has checked Newt Gingrich or Lindsey Graham's computers to see if they've got emails from their computers.
[00:46:00.357 --> 00:46:02.899]  If it's coming from that GOP.
[00:46:03.499 --> 00:46:11.704]  Paul, one of the things that came out in these emails, besides the fact that they were dismissing it as just typical North Korean bullying, that was a quote from one of their emails.
[00:46:12.525 --> 00:46:22.971]  Besides that, the Daily Beast reports that there were several emails going back and forth between the State Department as well as a Rand Corporation consultant, an expert in North Korea.
[00:46:23.631 --> 00:46:31.236]  They say the claim that the State Department played an active role in the decision to include the film's gruesome death scene is likely to cause fury in North Korea.
[00:46:31.276 --> 00:46:33.057]  But they said emails appear to suggest U.S.
[00:46:33.077 --> 00:46:39.581]  government may have supported the notion that the interview would be useful propaganda against the North Korean regime.
[00:46:39.921 --> 00:46:43.263]  Now this is what the Rand Corporation guy said.
[00:46:43.343 --> 00:46:43.683]  He said,
[00:46:44.844 --> 00:46:54.010]  I've briefed in my book, Preparing for the Possibility of North Korean Collapse, I've been clear that the assassination of Kim Jong-un is the most likely path to a collapse of the North Korean government.
[00:46:54.290 --> 00:47:05.538]  He said, I believe a story that talks about the removal of the Kim family regime and the creation of a new government by the North Korean people, well at least the elites, will start some real thinking in South Korea.
[00:47:05.958 --> 00:47:14.544]  And I believe that in the North, once the DVD leaks into the North, which it almost certainly will, I would personally prefer to leave the ending alone.
[00:47:15.264 --> 00:47:25.530]  So, here you've got a picture of this guy from the Rand Corporation, and again the State Department concurred with that, and what they're doing is using this absurdist comedy as we view it.
[00:47:25.570 --> 00:47:29.492]  We say, oh, this is just a parody, it's an over-the-top parody of something.
[00:47:30.092 --> 00:47:34.594]  They understand that it can be used for predictive programming purposes.
[00:47:34.634 --> 00:47:38.877]  They understand it can be used for propaganda, and they are seriously analyzing this.
[00:47:39.177 --> 00:47:41.098]  And I would say, Paul, what does that tell us?
[00:47:41.838 --> 00:47:46.680]  About this same studio that produced Zero Dark Thirty as a propaganda piece.
[00:47:46.720 --> 00:47:55.343]  We need to understand, it's pretty blatant and obvious in that piece, but we need to understand that Hollywood is doing this to us in every movie, even a silly Seth Rogen comedy.
[00:47:57.011 --> 00:48:09.115]  Well, we know for a fact the Hollywood-Pentagon industrial complex, the Pentagon has to sign off on scripts for these films to even get made, for them to rent the military bases, the helicopters.
[00:48:10.315 --> 00:48:14.376]  They're in direct contact with the Pentagon for these big movies at every step of the way.
[00:48:14.396 --> 00:48:15.817]  That's not a conspiracy theory.
[00:48:16.197 --> 00:48:19.558]  In fact, the Pentagon brags about it on their own website.
[00:48:20.078 --> 00:48:35.887]  And then we had a situation a few years ago with Red Dawn, where they didn't seem to be so concerned about portraying North Korea in a negative light then, because of course the original story in the remake of Red Dawn was for the Chinese to invade America.
[00:48:36.267 --> 00:48:38.989]  They were concerned that that would hurt the market in China.
[00:48:39.409 --> 00:48:45.932]  So they changed the enemy to North Korea, so then the plot was based around a North Korean invasion of America.
[00:48:46.332 --> 00:48:49.293]  That was, I believe, maybe 2010, around that time.
[00:48:49.654 --> 00:48:58.257]  There was no concern then about upsetting North Korea, and now suddenly they're all panicked that this film could upset North Korea.
[00:48:58.418 --> 00:49:02.039]  I mean, who within Sony made that decision to pull the film?
[00:49:02.459 --> 00:49:08.162]  Would they have really made that decision if this was North Korea that was responsible for this hack attack?
[00:49:08.662 --> 00:49:20.609]  I think it's amazing that they pulled this South Park comedy, Team America, because it had portrayed Kim Jong-un's father in that movie.
[00:49:21.471 --> 00:49:32.097]  I guess they're going to pull Red Dawn as well, because they held it up for a year because the Chinese didn't like it, and now I guess if the North Koreans don't like it, that can't be shown at the movie theaters anymore.
[00:49:32.777 --> 00:49:44.004]  This is a 10-year-old movie with puppets, and they were going to screen it at the Alamo Drafthouse Center here in Austin and other locations throughout Texas, and they had that pulled by Paramount.
[00:49:44.024 --> 00:49:46.325]  Soon every country will be in complete chaos!
[00:49:50.650 --> 00:49:53.574]  And so you see, the new world is inevitable.
[00:49:54.535 --> 00:49:54.996]  It's what?
[00:49:56.057 --> 00:49:57.119]  Inevitable.
[00:49:58.160 --> 00:49:58.681]  One more time?
[00:49:59.021 --> 00:49:59.722]  Inevitable!
[00:49:59.882 --> 00:50:01.745]  Things are inevitably going to change!
[00:50:02.540 --> 00:50:03.981]  Yeah, things are inevitably going to change.
[00:50:04.021 --> 00:50:06.403]  The subtitle of that was, Freedom is Hanging by a Thread.
[00:50:06.423 --> 00:50:07.104]  They're all puppets.
[00:50:07.544 --> 00:50:10.227]  But the reality is, is that freedom really is hanging by a thread.
[00:50:10.247 --> 00:50:16.833]  We've narrowly defeated these attacks on free speech and the internet before, and they're going to use this as a pretense to bring it back.
[00:50:18.587 --> 00:50:24.431]  Yeah, and the key article that people need to read is Project Goliath Inside Hollywood's Secret War Against Google.
[00:50:24.871 --> 00:50:36.280]  That documents how desperate they are to reanimate the dead corpse of SOPA, to get these so-called copyright violators in prison, to get the websites taken down on a whim.
[00:50:36.580 --> 00:50:45.106]  And this hack is going to grease the skids for that, that exact thing, which is why Sony and these other big studios are only going to benefit from this in the long run.
[00:50:45.826 --> 00:50:55.054]  And they have a financial incentive, not just the pressure, but the access to politicians, the access to markets, the access to the equipment, as you pointed out.
[00:50:55.335 --> 00:51:04.202]  When they did Top Gun, that was only really possible for Paramount because they had the cooperation of the military, letting them use their planes to get footage.
[00:51:04.322 --> 00:51:08.086]  Otherwise, they would have not been able to pull that movie off, or it would have cost them a fortune.
[00:51:08.106 --> 00:51:09.807]  We're going to be right back with Paul Joseph Watson.
[00:51:09.847 --> 00:51:10.248]  Stay with us.
[00:51:10.728 --> 00:51:11.729]  Hi, Ted Anderson with Midas Resources.
[00:51:11.749 --> 00:51:14.390]  Is it time to convert paper 401ks and IRAs to solid gold and silver yet?
[00:51:14.430 --> 00:51:15.231]  Get our 10 Reasons book free.
[00:51:15.251 --> 00:51:15.411]  Call 800-686-2237.
[00:51:15.431 --> 00:51:15.671]  That's 800-686-2237.
[00:51:39.884 --> 00:51:40.625]  Hey, Boomer!
[00:51:40.885 --> 00:51:44.206]  I learned in school today that 60% of our bodies are made of water.
[00:51:44.306 --> 00:51:45.887]  Good thing we have the Berkey System.
[00:51:45.987 --> 00:51:47.748]  It's the cleanest, best water ever.
[00:51:47.928 --> 00:51:53.430]  Mom says it's because the Berkey Filtration System cleans out the bad stuff and leaves only pure, delicious water.
[00:51:53.770 --> 00:51:54.531]  I know, right?
[00:51:54.611 --> 00:51:55.551]  You love it, too!
[00:51:55.911 --> 00:51:57.232]  Yeah, I'm thirsty, too.
[00:51:57.372 --> 00:51:58.272]  Let's go get some!
[00:51:58.392 --> 00:52:00.073]  Get Berkey Clean Water by calling 877-886-3653.
[00:52:00.133 --> 00:52:00.313]  That's 877-886-3653.
[00:52:00.353 --> 00:52:00.974]  Or visit GoBerkey.com.
[00:52:08.797 --> 00:52:11.358]  Hi folks, Alex Jones here with some important information.
[00:52:11.618 --> 00:52:16.480]  I want to tell you about Matt Redhawk and his team of Patriots over at MyPatriotSupply.
[00:52:16.740 --> 00:52:24.622]  Several years ago, Matt was sitting in his two-bedroom apartment, frustrated with the direction this country was headed and the Charlatans willing to sell us out for a quick buck.
[00:52:24.862 --> 00:52:29.164]  Deciding to take action, a company run by Patriots for Patriots was born.
[00:52:29.384 --> 00:52:33.205]  MyPatriotSupply has never taken a loan or accepted outside funding.
[00:52:33.345 --> 00:52:39.067]  They now operate two distribution facilities and employ over 50 hard-working American men and women.
[00:52:39.307 --> 00:52:42.088]  It is rare to find companies who practice what they preach.
[00:52:42.468 --> 00:52:47.689]  And that's why I stock my pantry with high-quality storable foods from My Patriot Supply.
[00:52:47.829 --> 00:52:55.952]  Go to MyPatriotSupply.com forward slash Alex today for special offers on emergency food storage or call their preparedness specialist at 866-229-0927.
[00:52:56.012 --> 00:52:56.292]  That's 866-229-0927.
[00:52:56.332 --> 00:52:56.812]  Do business
[00:53:05.676 --> 00:53:11.121]  This is a serious topic for all men.
[00:53:11.481 --> 00:53:15.585]  Every single man listening may have a prostate problem if he lives long enough.
[00:53:15.945 --> 00:53:16.365]  That's right.
[00:53:16.806 --> 00:53:19.228]  All of us men may suffer from a prostate problem.
[00:53:19.548 --> 00:53:24.072]  Like urinating more often, waking at night to urinate, or problems with intimacy.
[00:53:24.372 --> 00:53:29.615]  That's why every man needs to call for a free bottle of Super Beta Prostate.
[00:53:29.916 --> 00:53:34.799]  A non-prescription formula guaranteed to reduce the symptoms of your enlarged prostate.
[00:53:35.119 --> 00:53:35.579]  It's free.
[00:53:35.859 --> 00:53:37.380]  Pay only shipping and handling.
[00:53:37.661 --> 00:53:38.261]  Just call 1-800-964-7470.
[00:53:38.281 --> 00:53:39.442]  Prostate problems may not be an issue of if.
[00:53:44.565 --> 00:53:46.247]  It can be an issue of when.
[00:53:46.687 --> 00:53:55.516]  Super Beta Prostate's ingredient is clinically shown to reduce urges to urinate, reduce waking at night to go, and help improve intimacy.
[00:53:55.817 --> 00:53:57.218]  Call for your free bottle.
[00:53:57.558 --> 00:53:58.039]  Just call 1-800-964-7470.
[00:53:58.059 --> 00:53:58.319]  That's 1-800-964-7470.
[00:53:58.339 --> 00:53:58.499]  Call 1-800-964-7470.
[00:54:22.850 --> 00:54:24.150]  Welcome back to the Alex Jones Show.
[00:54:24.231 --> 00:54:27.712]  I'm David Knight in Austin and joining me now is Paul Joseph Watson from the UK.
[00:54:27.732 --> 00:54:37.495]  We've been talking about the ramifications of the Sony emails being hacked purportedly by the Guardians of Peace, the GOP.
[00:54:37.935 --> 00:54:47.759]  And now we see the Guardians of Peace, GOP, like Newt Gingrich and Lindsey Graham and John McCain and Mike McCall all pushing for revival of CISPA.
[00:54:48.632 --> 00:54:56.077]  We're told by the White House, another guardian of peace, that the Sony hack is a matter of national security.
[00:54:56.658 --> 00:55:01.981]  It is a serious national security, said White House Press Secretary Josh Earnest.
[00:55:02.001 --> 00:55:04.904]  He earnestly is telling us lies yet again.
[00:55:05.624 --> 00:55:09.107]  Emails that have leaked, it's not just gossip about
[00:55:09.947 --> 00:55:25.150]  Various stars we also have emails that have been leaked that show a Communication going back and forth to the State Department saying that they don't take any of these threats seriously a few months ago now It is a matter of national security these threats and the fact that they got these threats.
[00:55:25.510 --> 00:55:34.952]  We also see emails leaked that say that they're consciously leaving in the explicit assassination of Kim Jong-un and
[00:55:35.712 --> 00:55:45.561]  In order to plant in the minds of the people of South Korea and North Korea eventually, that they maybe ought to get rid of this guy.
[00:55:45.881 --> 00:55:54.810]  So even a silly comedy like that, Hollywood is calculating how they can shape public opinion as a piece of propaganda.
[00:55:55.210 --> 00:55:55.991]  Paul, your comments.
[00:55:57.645 --> 00:55:59.046]  Yeah, we've seen that before.
[00:55:59.106 --> 00:56:06.212]  Now that the latest news is that the hackers have said if they don't release this movie, they will stand down and that's it.
[00:56:06.332 --> 00:56:07.913]  The whole situation will be over.
[00:56:08.433 --> 00:56:12.937]  So again, I just put up an article saying that this is almost certainly an inside job.
[00:56:13.557 --> 00:56:18.121]  Sony is going to lose tens of millions of dollars over this, the piracy of this film.
[00:56:18.541 --> 00:56:19.282]  But the cost
[00:56:19.922 --> 00:56:29.768]  To the economy in general of piracy per year is about 250 billion dollars compared to tens of millions that Sony's gonna lose in this instance.
[00:56:29.808 --> 00:56:36.833]  So if you look at the financial motive of this, if it greases the skids for SOPA to be reanimated then it's gonna make
[00:56:37.353 --> 00:56:39.233]  A lot of people, a lot of money.
[00:56:39.534 --> 00:56:56.757]  And then if you look at what the actual analysts who have looked into this have said, for example Mark W. Rogers, security expert, quote, it's clear from the hard-coded paths and passwords in the malware that whoever wrote it had extensive knowledge of Sony's internal architecture and access to key passwords.
[00:56:57.217 --> 00:56:57.497]  Exactly.
[00:56:57.517 --> 00:57:00.238]  And then Sony executives themselves told TMZ
[00:57:01.118 --> 00:57:08.841]  We are told by people at Sony, this is TMZ, who are investigating, believe the hackers had intimate knowledge of mail systems and their configurations.
[00:57:08.861 --> 00:57:17.604]  They also believe the hackers have knowledge of the internal media distribution systems and the internal IT systems, including human resources and payroll.
[00:57:18.104 --> 00:57:26.407]  So every shred of evidence suggests that this was an insider behind this attack, yet now Obama and the FBI are going to come out and blame
[00:57:26.947 --> 00:57:29.207]  North Korea, Iran, China and Russia.
[00:57:29.688 --> 00:57:33.048]  Again, extrapolating it, David, into a more broader sense.
[00:57:33.528 --> 00:57:37.149]  This new Cold War that we've had going on for months now.
[00:57:37.449 --> 00:57:41.550]  We've got the attack on Russia, the financial attack, the collapse of the ruble.
[00:57:42.010 --> 00:57:44.030]  Russia's closer alliance with China.
[00:57:44.490 --> 00:57:47.851]  Again, this is about the unipolar world versus the multipolar world.
[00:57:48.671 --> 00:57:52.552]  It's all part of that wider Cold War offensive against Russia and China.
[00:57:53.325 --> 00:57:58.726]  And again you've got our Guardian of Peace, Newt Gingrich, saying this is an act of war and we need to hunt them down.
[00:57:58.766 --> 00:58:02.447]  He said we've had our first battle in the cyber war and we've lost.
[00:58:02.507 --> 00:58:10.749]  And so I guess from his standpoint, I don't know, maybe he wants to go even further than all out control and censorship of the internet.
[00:58:10.769 --> 00:58:13.270]  Maybe he wants to have an actual shooting war.
[00:58:13.310 --> 00:58:19.051]  They can use this as a pretense because we see one incredibly ridiculous pretense after the other.
[00:58:19.531 --> 00:58:34.635]  I just think it's amazing to see how many different ways they can spook the American people, and now we've got a silly little virtual false flag attack that they're trying to trump up into new legislation, a new paradigm, taking away our freedoms yet again.
[00:58:35.035 --> 00:58:36.595]  Thank you so much, Paul, for joining us.
[00:58:37.115 --> 00:58:40.956]  We're going to hopefully connect with Alex Jones in the next hour.
[00:58:40.996 --> 00:58:46.798]  He's on the road, and we've got a lot of news nevertheless, and we have our reporters in
[00:58:47.758 --> 00:58:50.760]  Washington State, we're going to be talking to Joe Biggs and Derrick Breen.
[00:58:50.800 --> 00:58:52.421]  They're covering what's happening with the police.
[00:58:52.641 --> 00:58:53.141]  Stay with us.
[00:58:53.781 --> 00:58:54.442]  Visit GCNlive.com today.
[00:58:59.460 --> 00:59:00.680]  Another major health threat.
[00:59:00.720 --> 00:59:05.602]  This one in Toledo, Ohio, where everybody in the entire city has been told not to drink the waters.
[00:59:05.682 --> 00:59:08.323]  Ohio's governor declaring a state of emergency.
[00:59:08.363 --> 00:59:15.145]  Did you know that the average person uses about 80 to 100 gallons of water at home every single day?
[00:59:15.405 --> 00:59:18.266]  If there's a water emergency, will you be prepared?
[00:59:18.406 --> 00:59:21.327]  Panicked residents forming long lines throughout the day.
[00:59:21.347 --> 00:59:23.347]  We're here at a supermarket in Toledo.
[00:59:23.367 --> 00:59:26.208]  You can see the shelves empty where water once was.
[00:59:26.288 --> 00:59:31.790]  To stay safe and healthy during a crisis, you must have access to safe, clean water.
[00:59:32.010 --> 00:59:35.511]  Water which will not be available at your local grocery store.
[00:59:35.531 --> 00:59:38.512]  There's a mad dash on right now to stock up on supplies.
[00:59:38.612 --> 00:59:45.715]  The ProPure Pro1 G2.0 Water Filtration System is a must-have for every modern, independently-minded household.
[00:59:45.935 --> 00:59:48.976]  Protect your family's safety during an emergency.
[00:59:49.156 --> 00:59:55.418]  Go to infowarsstore.com today to purchase your ProPure Pro1 G2.0 Water Filtration System.
[00:59:55.598 --> 00:59:56.038]  Or call 1-888-253-3139.
[00:59:56.178 --> 00:59:57.259]  You're listening to the Alex Jones Show.
[01:00:15.390 --> 01:00:19.573]  Big Brother, Mainstream Media, Government Cover-Ups.
[01:00:20.233 --> 01:00:21.034]  You want answers?
[01:00:21.814 --> 01:00:22.715]  Well, so does he.
[01:00:23.355 --> 01:00:26.998]  He's Alex Jones on the GCN Radio Network.
[01:00:27.558 --> 01:00:31.600]  And now, live from Austin, Texas, Alex Jones.
[01:00:32.401 --> 01:00:35.642]  Welcome back to the Alex Jones Show on this Friday, December 19th, 2014.
[01:00:36.103 --> 01:00:37.243]  I'm David Knight, your host today.
[01:00:38.124 --> 01:00:44.326]  We are expecting Alex Jones to join us in this hour from the road, but he is on the road, so we're not sure of the exact time of that.
[01:00:44.927 --> 01:00:49.629]  We're also going to be joined by our reporters in Washington State, Joe Biggs and Darren McBreen.
[01:00:50.209 --> 01:00:56.652]  They're there, of course, to follow up on the story that we broke, I guess, over the weekend about the
[01:00:57.552 --> 01:01:03.635]  A person coming up to the MRAP vehicle asking the police who were displaying it at a Walmart what this thing did.
[01:01:03.815 --> 01:01:09.177]  When they started telling her what it did, she asked the obvious question, why do we need that in a small town?
[01:01:09.237 --> 01:01:12.979]  And he replied, well, for constitutionalist people who stockpile ammunition and weapons.
[01:01:14.079 --> 01:01:20.121]  Not for the police who are stockpiling military vehicles and militarized weapon systems.
[01:01:21.001 --> 01:01:28.224]  So, we had a back and forth as we tried to contact the police chief there, actually the sheriff there.
[01:01:28.264 --> 01:01:33.165]  We tried to contact him for comment, to try to be fair, to try to get his comment.
[01:01:33.185 --> 01:01:34.546]  It's not something we're required to do.
[01:01:34.986 --> 01:01:36.767]  They did not contact us back.
[01:01:36.827 --> 01:01:42.529]  Rather, the following Monday, they posted a video on their Facebook page criticizing InfoWars.
[01:01:43.749 --> 01:01:49.274]  We wanted to go out there and get some answers because there's a rally that's going to be held tomorrow.
[01:01:49.434 --> 01:01:50.735]  I believe it's at two o'clock.
[01:01:51.315 --> 01:01:53.537]  You can check our website, Infowars.com.
[01:01:53.557 --> 01:02:00.402]  We'll give you the details of the exact location, the exact time of where that is, if you're in the area, if you're in the Spokane area, if you're in the Idaho area.
[01:02:00.843 --> 01:02:06.727]  There are people there who are very concerned, who want to have a dialogue, who want to ask a cop.
[01:02:06.767 --> 01:02:10.651]  That was the hashtag that blew up on the interview from CNN.
[01:02:11.591 --> 01:02:22.797]  A lot of people across the country are outraged by the way the police are not punished for excessive use of force, the way they're being goaded into the excessive use of force.
[01:02:22.897 --> 01:02:36.144]  And these militarized vehicles are part of the way that they're being goaded into over-the-top force, into rules of engagement, if you will, that we have never seen from the police in terms of looking at themselves as military organizations.
[01:02:37.079 --> 01:02:48.789]  Paul Joseph Watson was just on with us, and yesterday we talked about the fact that the California Highway Patrol is now describing itself as a paramilitary organization to prospective recruits, people who might want to get a job there.
[01:02:49.049 --> 01:02:58.537]  They've posted on their site in multiple times in multiple ways that they are a paramilitary organization, and if you have military experience, they might be interested in talking to you.
[01:02:59.298 --> 01:03:06.528]  Well, Spokane area, and of course I don't know if the relationship to the Spokane Police, to the Spokane Sheriff's Department, if there is a relationship even.
[01:03:06.688 --> 01:03:12.856]  Nevertheless, even that area has had its problems with excessive police violence.
[01:03:13.617 --> 01:03:16.461]  There was a case that was settled for several million dollars.
[01:03:17.458 --> 01:03:25.021]  Actually, it's a little over, it was 1.67 million dollars with the family of a man that was killed by a police officer.
[01:03:25.041 --> 01:03:26.822]  His name was Otto Zem.
[01:03:26.882 --> 01:03:33.925]  He was beaten, shocked, and hogtied by police officers after he was accused erroneously of theft.
[01:03:34.005 --> 01:03:36.045]  That was something that happened back in 2006.
[01:03:36.566 --> 01:03:39.267]  It took five years for it to go to trial.
[01:03:40.167 --> 01:03:44.589]  Nevertheless, not only was there a civil judgment given to the family,
[01:03:45.089 --> 01:03:52.643]  But the jury convicted a Spokane police officer, Carl Thompson, of needlessly beating him and then lying to cover up his actions.
[01:03:54.198 --> 01:03:54.899]  That's good.
[01:03:55.179 --> 01:04:01.104]  When you have people that are doing bad actions in your police department and they get convicted, that's what we want to see.
[01:04:01.144 --> 01:04:05.968]  It's not possible and we will never get to the point where there's not any bad police officers.
[01:04:06.028 --> 01:04:12.694]  Just like we're never going to get to the point where there's never any bad gun owners or people just in general society.
[01:04:12.734 --> 01:04:15.757]  You're always going to have good and bad people in any society.
[01:04:15.777 --> 01:04:17.678]  It's a cross-section as Frank Serpico has said.
[01:04:17.899 --> 01:04:18.799]  The real question is,
[01:04:19.580 --> 01:04:22.161]  Can the system purge those out?
[01:04:22.861 --> 01:04:28.984]  I think one of the most important things that can be done is not necessarily body cameras.
[01:04:29.344 --> 01:04:31.405]  They were investigated by the Justice Department.
[01:04:31.445 --> 01:04:40.509]  They just wrapped up and put a report out just this week, December 16, 2014, of the Spokane Police Department reviewing their practices.
[01:04:40.769 --> 01:04:43.530]  Some of the right recommendations are body cams, and yet
[01:04:44.130 --> 01:04:51.398]  We just had another death in Spokane where a police officer who had a body camera didn't have it turned on.
[01:04:52.038 --> 01:04:57.684]  And even when they have it turned on, in some localities they're not prosecuted, not even indicted.
[01:04:57.925 --> 01:05:03.591]  That's why Matt Shea, one of the representatives there in Washington, we're going to be talking to at the rally tomorrow, reporters will be talking to.
[01:05:03.951 --> 01:05:08.853]  That's why he pointed out we need to have oversight, not only of the police officers, but of their curriculum.
[01:05:08.873 --> 01:05:09.613]  Stay with us, we'll be right back.
[01:05:09.633 --> 01:05:13.254]  The average person's life is filled with unexpected challenges.
[01:05:13.994 --> 01:05:20.236]  Unlock the energy it takes to defeat these daily beasts with super male or super female vitality.
[01:05:20.396 --> 01:05:25.258]  Specifically designed to assist the body in regulating proper hormone balance.
[01:05:25.498 --> 01:05:29.424]  To create superior vitality in males and females.
[01:05:29.785 --> 01:05:34.613]  Supercharge and conquer your world at Infowarslife.com or call 1-888-253-3139.
