[00:00:30.319 --> 00:00:31.280]  We are launch.
[00:26:35.326 --> 00:26:35.907]  That's a good idea.
[00:26:35.927 --> 00:26:37.969]  Let's have the government run Wall Street.
[00:26:38.009 --> 00:26:39.931]  Of course, that's what they want to do anyway.
[00:26:40.151 --> 00:26:41.393]  Wall Street runs the government.
[00:26:41.453 --> 00:26:42.574]  Government runs Wall Street.
[00:26:42.614 --> 00:26:43.796]  It's the same thing, folks.
[00:26:44.076 --> 00:26:46.018]  There's no difference between those two anymore.
[00:26:46.038 --> 00:26:47.420]  It's a mess.
[00:26:47.440 --> 00:26:50.684]  Yeah, all it's going to be is more of what we've already seen.
[00:26:51.065 --> 00:26:58.754]  The big six megabanks will further use government to shut down their competition, just like we've seen in every other industry.
[00:26:59.535 --> 00:27:07.320]  It's incredible and we've now gotten a list of demands from the group saying that they're the leaders of Occupy Wall Street run by George Soros.
[00:27:07.641 --> 00:27:17.868]  It doesn't reflect the people actually in the street but the mainstream media is running with the hoax and it's universal health care, free education, twenty dollars an hour even if you don't work.
[00:27:18.268 --> 00:27:25.052]  I mean the recipe that they put on the table would drive out whatever jobs are left and fully collapse the system.
[00:27:25.453 --> 00:27:27.074]  I mean this is so amazing
[00:27:27.914 --> 00:27:34.960]  That they're giving the megacorporations exactly what they want, a tool to shut down everybody but them.
[00:27:35.781 --> 00:27:35.961]  Right.
[00:27:36.402 --> 00:27:43.307]  Whatever's left of the free enterprise system, whatever little increment is left of true capitalism, they're out to destroy it completely.
[00:27:43.708 --> 00:27:44.729]  And, well, that's my point.
[00:27:44.789 --> 00:27:54.197]  I think the people out there who are justifiably angry about what they see as the responsibility of Wall Street having to do with our economic crisis,
[00:27:54.637 --> 00:27:57.320]  Now it comes to the question of what are we going to do about it?
[00:27:57.500 --> 00:27:59.682]  They haven't the foggiest idea what to do about it.
[00:27:59.882 --> 00:28:02.945]  They're just angry, and they're out there waving their placards, and that's good.
[00:28:03.225 --> 00:28:12.553]  But now come along the professionals that you so well described, the Soros Army, and they're telling him now what the solution is, and as you said, and I've said, it's more of the same.
[00:28:12.633 --> 00:28:14.115]  So what do we do about that?
[00:28:14.455 --> 00:28:16.697]  We've got to reach those people in the streets.
[00:28:16.737 --> 00:28:17.598]  They're good people.
[00:28:17.858 --> 00:28:19.479]  They want to do what is right.
[00:28:19.679 --> 00:28:20.619]  They need education.
[00:28:20.659 --> 00:28:21.359]  They need history.
[00:28:21.599 --> 00:28:23.400]  They need leaders, true leaders.
[00:28:23.920 --> 00:28:25.381]  And I guess that's our role.
[00:28:25.421 --> 00:28:26.241]  We're doing our best.
[00:28:26.882 --> 00:28:31.223]  Well, I would say we're having success because I've got reporters all over the country.
[00:28:32.044 --> 00:28:37.226]  Rob Jacobson right now is in New York and he says the vast majority of Ron Paul supporters in the fetters.
[00:28:37.726 --> 00:28:40.087]  They want to claw back the bailout money from Wall Street.
[00:28:40.127 --> 00:28:40.447]  They don't.
[00:28:41.007 --> 00:28:41.147]  Well,
[00:28:56.500 --> 00:28:57.841]  They're the real monopoly men.
[00:28:58.241 --> 00:29:07.205]  They're the people that got rid of Glass-Steagall, created derivatives, and that's why I'm calling on people to physically occupy the grounds around the main Dallas Fed.
[00:29:07.305 --> 00:29:09.907]  I'm going to be up there Friday, but I want folks to occupy it for weeks.
[00:29:10.327 --> 00:29:14.469]  I'm going to go to San Antonio and Houston Fed the days after, and then back to Dallas.
[00:29:15.149 --> 00:29:20.832]  I think this is going to be part of the shot heard around the world if we're able to really force the attention
[00:29:21.572 --> 00:29:29.597]  Off of nebulous Wall Street and the free market as if it's the author of our woes and actually put it on the mega cartel.
[00:29:29.917 --> 00:29:32.878]  So we're about to end part one of this interview tonight.
[00:29:33.118 --> 00:29:34.439]  We're going to continue when the show ends.
[00:29:34.479 --> 00:29:39.962]  G. Edward and tape part two that we're going to air Friday when I'm up in Dallas with Solutions.
[00:29:41.963 --> 00:29:44.645]  A lot of other key research that you've engaged in.
[00:29:45.365 --> 00:29:54.512]  But right now, what do you think of my idea of occupying the Fed, A, and B, what is the endgame of these people if we don't stand up to them and they get what they want?
[00:29:55.412 --> 00:29:59.775]  Okay, I think your idea of focusing on the Fed is excellent, okay?
[00:30:00.175 --> 00:30:01.957]  But now we're still going to face that problem.
[00:30:02.017 --> 00:30:06.259]  A lot of people will go there and they'll say, end the Fed, end the Fed, end the Fed, wonderful.
[00:30:06.480 --> 00:30:08.001]  And then the question is, then what?
[00:30:08.894 --> 00:30:10.355]  End the Fed, replace it with what?
[00:30:10.695 --> 00:30:15.097]  A lot of those same people now are saying, well, we'll just turn it over to the Treasury.
[00:30:15.418 --> 00:30:18.619]  We won't complain about the fact that they're creating money out of nothing.
[00:30:18.860 --> 00:30:22.902]  We'll just focus on the fact that it's the Federal Reserve creating money out of nothing.
[00:30:23.202 --> 00:30:25.743]  And that's bad, because those are big, bad bankers.
[00:30:25.803 --> 00:30:33.027]  But they say, if we allow our nice, trustworthy politicians to create money out of nothing through the Treasury Department, that must be good.
[00:30:33.848 --> 00:30:35.329]  Well, you see, we haven't won yet.
[00:30:36.309 --> 00:30:44.752]  We still have to get people to understand it's not who creates fiat money, it's the fact that anybody is allowed to create fiat money.
[00:30:44.812 --> 00:30:47.213]  We'll just trade out one group of masters for another.
[00:30:47.753 --> 00:30:48.713]  We won't even trade them out.
[00:30:48.733 --> 00:30:49.594]  They're the same people.
[00:30:49.934 --> 00:30:50.594]  That's the point.
[00:30:51.454 --> 00:30:55.956]  The banks and the treasury are... Where does the head of the Fed come from now?
[00:30:56.296 --> 00:30:57.376]  Comes from the banks, right?
[00:30:57.616 --> 00:30:58.797]  It's all intertwined.
[00:30:59.717 --> 00:31:05.759]  How long has it been since there's been anybody in the Federal Reserve System that didn't come from the banking industry?
[00:31:05.759 --> 00:31:16.742]  Okay, in part two we're going to look at the structure of the Federal Reserve that you've written about and get into your solutions, but in closing, in a minute or two, what is the endgame of the collectivist?
[00:31:16.782 --> 00:31:22.544]  From my research, it's the eugenics operation, it's this playing God situation.
[00:31:22.804 --> 00:31:29.306]  Spend a few minutes on the world we are going to live in, or our children are going to live in, if we don't defeat these people.
[00:31:29.526 --> 00:31:31.367]  I mean, how big are the stakes here?
[00:31:32.407 --> 00:31:37.572]  Well, the stakes are total, and I think the best answer to that question, Alex, is what we've already said.
[00:31:38.112 --> 00:31:46.419]  It is their design to return the world to a universal serfdom, a feudalistic system with an elite in control.
[00:31:47.200 --> 00:31:51.664]  And the Federal Reserve plays an important part of that, but it's not the only part.
[00:31:51.704 --> 00:31:54.286]  I mean, the educational system plays an important part.
[00:31:54.707 --> 00:31:55.868]  Anything that can reduce
[00:31:56.508 --> 00:31:56.808]  of the
[00:32:28.390 --> 00:32:32.775]  That's why they want to poison us with the chemtrails, the sodium fluoride, all of it.
[00:32:33.396 --> 00:32:34.077]  All of that, yes.
[00:32:34.929 --> 00:32:39.333]  Yeah, they need us to be grateful for what they want to do to us anyway.
[00:32:40.173 --> 00:32:49.421]  And the way they do that is they just keep crushing us down, creating crises, creating problems, economic disaster, wars, famine, you name it.
[00:32:49.922 --> 00:32:56.107]  And people will be so helpless and so frightened that they'll accept anything in the name of security.
[00:32:56.650 --> 00:33:00.974]  Well, in part two, I want to discuss a great example of problem, reaction, solution, or crisis creation.
[00:33:01.454 --> 00:33:03.896]  And that, of course, is Operation Fast and Furious.
[00:33:03.976 --> 00:33:06.338]  Wow, that is really unfolding.
[00:33:07.419 --> 00:33:19.329]  As we end this Wednesday edition of InfoWars Nightly News, Gilbert Griffin, I want you to give out your websites and talk about some of the important work you're doing right now that is part of the solution before part two.
[00:33:19.849 --> 00:33:23.932]  But then I want you to add the caveat or the double addendum here, because we are at the end of the interview.
[00:33:24.893 --> 00:33:33.480]  On my view that, you know, Pol Pot killed anybody who was educated or wearing glasses, they saw that as being upper class, to wipe out people that could challenge him.
[00:33:33.761 --> 00:33:41.207]  But the globalists with the fluoride and the drugs and everything, they're just trying to wipe out our minds and basically turn us into biological androids.
[00:33:42.408 --> 00:33:44.510]  Well, you covered a lot of points there.
[00:33:45.011 --> 00:33:48.133]  First of all, thanks for the invitation to invite people to my websites.
[00:33:48.714 --> 00:33:50.295]  We have several websites, as you know.
[00:33:50.716 --> 00:34:05.749]  Our think tank website is called Freedom Force, and it's where we lay down strategies and explore strategies of how to take back control of our systems and how to educate and how to mobilize people on behalf of freedom.
[00:34:06.029 --> 00:34:07.811]  So that's freedomforceinternational.org.
[00:34:09.292 --> 00:34:16.477]  But our commercial site, where we sell books and recordings and videotapes and educational materials, is called The Reality Zone.
[00:34:16.937 --> 00:34:19.019]  And that's therealityzone.com.
[00:34:19.479 --> 00:34:24.802]  And you'll find about, well, a little over a hundred different items there for sale, and we're constantly adding new items.
[00:34:24.822 --> 00:34:34.449]  So, please come in there, and if you want to see what we think about news events, commentary on the news, we publish something every week, as you know, called Unfiltered News.
[00:34:35.029 --> 00:34:38.772]  We even put a few things in there now and then, Alex, from Prison Planet.
[00:34:40.093 --> 00:34:42.736]  And your excellent work gets in there quite a bit.
[00:34:43.117 --> 00:34:46.641]  So it's a free news service and it's called Unfiltered News.
[00:34:46.941 --> 00:34:48.683]  Google it and you can sign up there.
[00:34:49.464 --> 00:34:50.405]  Wonderful.
[00:34:50.926 --> 00:34:52.968]  As for the other things, I don't know what to say.
[00:34:52.988 --> 00:34:53.048]  Yes.
[00:34:56.292 --> 00:35:01.633]  They are trying to control our minds and our spirits, our bodies.
[00:35:01.933 --> 00:35:06.314]  They want to control what medicines and foods we take into our bodies.
[00:35:07.095 --> 00:35:10.075]  They control what information we take into our minds.
[00:35:10.575 --> 00:35:12.896]  They want to create little robotoids out of us.
[00:35:12.976 --> 00:35:14.636]  And you know, they're doing pretty well.
[00:35:15.197 --> 00:35:15.817]  When you go
[00:35:17.197 --> 00:35:17.337]  Yeah.
[00:35:47.218 --> 00:35:52.546]  These are prisoners of the literal matrix, and we're here to break them out.
[00:35:52.586 --> 00:35:53.427]  G. Edwards, stay there.
[00:35:53.447 --> 00:35:58.295]  We're going to come right back to you in a moment, but I've got to end this Wednesday edition of InfoWars Nightly News.
[00:35:58.315 --> 00:36:01.680]  We're going to come back and tape the second half for Friday, okay?
[00:36:02.418 --> 00:36:02.758]  Very good.
[00:36:02.998 --> 00:36:03.558]  Thanks a million.
[00:36:04.078 --> 00:36:08.479]  Well, ladies and gentlemen, that's it for this edition of InfoWars Nightly News.
[00:36:08.919 --> 00:36:17.121]  And as I said, we will be back on Friday with the second part of this interview that I'm about to shoot right now.
[00:36:17.481 --> 00:36:22.662]  Don't forget, we've got our Occupy the Fed event kicking off in Dallas, but it's happening all over the nation.
[00:36:22.742 --> 00:36:23.702]  Please be there.
[00:36:24.062 --> 00:36:26.723]  And if you can, be there with a sleeping bag and stay there.
[00:36:27.623 --> 00:36:34.428]  Or come on Saturday or Sunday, and I'm going to be at other branches across the state in the next few days after that as well.
[00:36:34.828 --> 00:36:35.769]  This is so important.
[00:36:35.789 --> 00:36:46.076]  If you believe in the type of information you're seeing here and you want to help underwrite it and get it out to more people, we're not like Fox News and MSNBC that get secret banker bailout money or government propaganda funding.
[00:36:46.437 --> 00:36:52.081]  We are funded by viewers that want to help get this information out, and that's how we're building this news organization.
[00:36:52.101 --> 00:36:54.442]  So I want to thank subscribers to PrisonPlanet.tv
[00:36:55.603 --> 00:37:03.806]  And encourage people watching this on other areas of the web to become subscribers at PrisonPlanet.tv or InfoWarsNews.com.
[00:37:04.186 --> 00:37:05.447]  I'm Alex Jones signing off.
[00:37:05.607 --> 00:37:07.848]  Until tomorrow night, God bless you all.
