[00:00:21.462 --> 00:00:25.986]  Hey folks, Alex Jones here reporting for InfoWars Nightly News.
[00:25:51.265 --> 00:25:52.186]  November 3rd.
[00:25:52.566 --> 00:25:54.648]  It kicks off 11 a.m.
[00:25:55.309 --> 00:25:58.371]  Visit the website at InfoWarsMoneybomb.com.
[00:25:58.952 --> 00:26:02.735]  InfoWars.com forward slash Moneybomb.
[00:26:17.625 --> 00:26:22.287]  We are back on the InfoWars Nightly News and again I'm Aaron Dyke sitting in for Alex.
[00:26:22.607 --> 00:26:29.610]  He'll be back tomorrow and the InfoWars Money Bomb is coming up very soon so stay tuned for that important marathon broadcast.
[00:26:29.630 --> 00:26:39.274]  We're going to have all sorts of very interesting and powerful guests on that but what we're really talking about today is what happens when the police state prepares for the clampdown
[00:26:39.774 --> 00:26:40.314]  On the people.
[00:26:40.394 --> 00:26:49.660]  And we talked earlier about Big Sis' plans to monitor Twitter and the rest of the social network for supposed signs of coming economic riots.
[00:26:50.060 --> 00:26:53.302]  But they've really been planning for these economic riots openly since 2008.
[00:26:53.362 --> 00:26:53.902]  The U.S.
[00:26:55.003 --> 00:26:57.244]  Army War College wrote a paper preparing on it.
[00:26:57.664 --> 00:27:07.510]  And so we wanted to show you now footage from the Depression-era riots where that engineered crisis, facilitated by the policies of the Federal Reserve, led to a crackdown on the people.
[00:27:11.013 --> 00:27:13.397]  So here you see police beating back the crowds.
[00:27:13.737 --> 00:27:18.985]  They're upset because of all the jobs clamped down and really what was a restriction on the currency.
[00:27:21.274 --> 00:27:22.615]  And there were open abuses here.
[00:27:22.955 --> 00:27:28.478]  Today we see them in the New York streets with the Occupy protesters and across the whole Occupy movement.
[00:27:28.799 --> 00:27:41.326]  But that's just the beginning, because as we see an even greater clampdown on the economy, as things really begin to unravel, whether it's from this Greek situation or whatever else is about to come, we're going to see more of this kind of thing.
[00:27:41.386 --> 00:27:48.531]  It's shocking, it's scary, and it's something we thought was behind us with the Great Depression, but we're in the midst of it again.
[00:27:54.867 --> 00:27:55.768]  And there's that footage.
[00:27:55.848 --> 00:27:57.729]  It's also up on Infowars.com.
[00:27:58.069 --> 00:28:04.814]  But with that in mind, Counterpunch has covered how Wall Street firms spy on protesters in a tax-funded center.
[00:28:05.214 --> 00:28:10.718]  And they're talking about the synthesis of the NYPD and many of the Wall Street firms.
[00:28:11.218 --> 00:28:19.947]  Who all the anger is directed at in this Occupy Wall Street movement and who are under investigation for all their fraudulent policies and the rest of it.
[00:28:19.987 --> 00:28:33.921]  At least 700 cameras scour the Midtown area and also relay live feeds into the downtown center where low-wage law enforcement officers sit alongside high-wage personnel from those Wall Street firms who are
[00:28:34.321 --> 00:28:37.805]  Currently under at least 51 federal and state corruption probes.
[00:28:38.386 --> 00:28:46.475]  And this is something they've been working on since at least 2009 when Bloomberg talked about the Midtown Manhattan Security Initiative.
[00:28:46.896 --> 00:28:51.742]  And it's really this supposed high security ring where they can follow suspected people.
[00:28:52.102 --> 00:28:57.988]  People who haven't maybe committed a crime yet, but look suspicious, or they want to follow people of a certain profile.
[00:28:58.288 --> 00:29:00.570]  Meanwhile, the real criminals are on Wall Street.
[00:29:00.850 --> 00:29:10.179]  We know who a lot of them are, and the rest of them should be investigated, but the police are busy working with those Wall Street people to keep an eye on what may amount to petty crime.
[00:29:10.219 --> 00:29:16.065]  Sure, there's murders and the rest of it going on in New York City, but why is it focused on the financial district?
[00:29:16.425 --> 00:29:17.907]  Because they knew these riots were coming.
[00:29:18.287 --> 00:29:26.518]  And you've also got Wall Street corporations renting their own NYPD unit to spy on protesters and to beat back protesters, basically.
[00:29:27.079 --> 00:29:30.042]  And it's found that for a measly fee of $37 per hour per officer,
[00:29:32.225 --> 00:29:32.566]  We're good to go.
[00:29:47.947 --> 00:29:50.309]  Private public security partnership.
[00:29:50.329 --> 00:30:02.820]  These are taxpayer funded cops and any alleged abuses that may occur while they're monitoring protesters and the rest of it would be paid for by taxpayers if it went to trial and so forth.
[00:30:03.000 --> 00:30:10.027]  But they benefit these corporations who are under the eye of ordinary people upset about these economic policies.
[00:30:10.487 --> 00:30:12.829]  Whether or not they have the right analysis or the right idea.
[00:30:27.640 --> 00:30:43.613]  And then the officer threatened to put his name on the FBI's hit list and basically intimidated him into believing he'd be followed and bothered every time he went anywhere, tried to fly, travel, the rest of it.
[00:30:43.973 --> 00:30:53.301]  Sean Nee says he was detained and searched for photographing turnstiles on the LA Metro and that the arresting deputies asked if he planned to sell the photos to Al-Qaeda
[00:30:53.621 --> 00:30:54.962]  And threatened to put his name on the hit list.
[00:30:55.022 --> 00:31:02.186]  And it goes on in an extended quote where the officer, Gelfie, said, I want to know who you are.
[00:31:02.266 --> 00:31:04.748]  I want to know why you're taking pictures on the subway system.
[00:31:05.128 --> 00:31:12.172]  Al-Qaeda would love to buy your pictures, so I want to know if you're in cahoots with Al-Qaeda to sell those pictures to them for terrorist purposes.
[00:31:12.612 --> 00:31:13.953]  That's a crime, you understand?
[00:31:14.333 --> 00:31:16.895]  When he again said he was committing no crime,
[00:31:17.355 --> 00:31:21.139]  Guilfie told me he was being detained until he's determined he hasn't committed a crime.
[00:31:21.460 --> 00:31:24.383]  So guilty until proven innocent for photographing.
[00:31:24.423 --> 00:31:29.969]  This has happened to me at the Kansas City, outside the Federal Reserve there, and on dozens of other occasions.
[00:31:30.009 --> 00:31:34.214]  And I know many, many photographers have been harassed for this kind of behavior.
[00:31:34.874 --> 00:31:49.968]  And we actually have footage in Fall of the Republic, I think we're going to be able to play that here in a moment, where they target law enforcement officers through the Homeland Security apparatus and tell them to focus on photographers who may be suspicious because they could be working with terrorists.
[00:31:52.930 --> 00:31:58.315]  State and local officers are in a great position to collect important information on terrorists and their allies.
[00:31:58.976 --> 00:32:01.438]  And the Terrorist Screening Center stands ready to help you.
[00:32:02.591 --> 00:32:08.275]  This video, produced by Homeland Security, is required viewing for all departments in the U.S.
[00:32:09.216 --> 00:32:18.303]  And with the teamwork of local, state, and federal law enforcement, we have an excellent opportunity to see the picture and solve the puzzle before these terrorists can strike again.
[00:32:19.244 --> 00:32:25.409]  State, county, and city police now take their marching orders directly from DHS and FEMA.
[00:32:26.069 --> 00:32:32.154]  The videos and training manuals turn peace officers, once guardians of the republic, into secret police.
[00:32:32.694 --> 00:32:33.495]  See way down there?
[00:32:34.236 --> 00:32:35.977]  There's a woman taking photos of the dam.
[00:32:37.699 --> 00:32:41.062]  Someone called 9-1-1 and reported a suspicious person.
[00:32:41.562 --> 00:32:44.004]  As you guessed, she's going to be a Category 3 hit.
[00:32:44.525 --> 00:32:52.772]  And since it's very important that we don't let her know that we know, both the dispatcher and the officer need to make sure she doesn't hear the radio traffic.
[00:32:53.292 --> 00:32:53.673]  Stand by.
[00:32:53.693 --> 00:32:55.595]  If I could ask you to wait right here, please.
[00:32:59.031 --> 00:33:08.938]  As you can see, they're training law enforcement officers, security, whomever, to just freak out at the sign of any camera, assume it's suspicious, and somehow working with terrorism.
[00:33:09.238 --> 00:33:26.250]  You've also seen reports for years that Alex has reported on, and it's in this video too, where ordinary stuff, Levi, jeans, maps, binoculars, camping gear, scuba gear, it's all considered suspicious, and citizens are to be regarded as potential criminals no matter what, even though
[00:33:27.150 --> 00:33:31.612]  Al Qaeda, if it even exists, is at best a Fast and Furious style scandal.
[00:33:31.912 --> 00:33:35.893]  From 9-11 to the rest of it, our troops are overseas, under harm's way.
[00:33:36.553 --> 00:33:41.235]  3,000 people died, trillions of dollars spent on these wars, and there's no provable Al Qaeda.
[00:33:41.275 --> 00:33:44.156]  But all the American people are to be suspect.
[00:33:44.796 --> 00:33:47.157]  It's all part of the domestic extremist agenda.
[00:33:47.697 --> 00:33:52.440]  And now they're actually harassing really regular reporters in this story.
[00:33:52.460 --> 00:33:55.862]  It's up on Infowars.com and Courthouse News Service.
[00:33:56.202 --> 00:34:08.449]  So photography is not the only activity explicitly protected under the First Amendment that continues to be undermined by police officers who've been told to expect the worst from people who have not committed a crime.
[00:34:08.589 --> 00:34:12.732]  Once again, now in the continuing Occupy protest movement,
[00:34:13.112 --> 00:34:20.100]  We have video right here of at least two police provocateurs in Oakland who were caught posing as protesters.
[00:34:20.120 --> 00:34:24.164]  You see them on the left as a protester and on the right in the police lineup.
[00:34:25.045 --> 00:34:27.828]  Another gentleman here, if you could call him a gentleman.
[00:34:28.809 --> 00:34:30.091]  Why are they even infiltrating?
[00:34:30.131 --> 00:34:31.453]  These people have been peaceful.
[00:34:31.513 --> 00:34:32.495]  They haven't done anything.
[00:34:32.535 --> 00:34:34.658]  They have a right to speak out about their grievances.
[00:34:35.019 --> 00:34:39.926]  But this is what you begin to expect in a society that's unraveling for economic reasons.
[00:34:40.267 --> 00:34:42.150]  It's a clampdown from the police state.
[00:34:42.791 --> 00:34:43.251]  They've given
[00:34:43.872 --> 00:34:57.841]  Rationales and reasoning to good police officers other people and law enforcement and so-called security But really it's a systematic clampdown on the people as they take over Everything as they prepare for austerity or whatever else they have in mind.
[00:34:58.161 --> 00:35:09.689]  You've seen the footage from the Great Depression I really hope that's not where we're headed, but there's reason to think that meanwhile Homeland Security continues to ramp up its paranoid surveillance with new
[00:35:10.229 --> 00:35:11.290]  We're good to go.
[00:35:11.330 --> 00:35:11.831]  We're good to go.
[00:35:25.186 --> 00:35:26.488]  And it's definitely Orwellian.
[00:35:26.508 --> 00:35:28.550]  This is right out of 1984, literally.
[00:35:28.931 --> 00:35:38.522]  You can see it has wireless, it has a computer application, it has a speaker, it has visual recording, and these little banners to put up emergency messages.
[00:35:38.963 --> 00:35:42.808]  And Homeland Security admits, and they admit in the video that they pulled out of embarrassment,
[00:35:43.208 --> 00:35:51.616]  That they can put emergency broadcast on here, and they can spy on people, monitor populations surrounding the light poles, and a whole lot more.
[00:35:52.237 --> 00:36:08.012]  Now it bears some relation to the talking CCT cameras that were announced in the UK back in 2007 that would bark orders at people who, for instance, didn't throw away their trash, trying to curb so-called anti-social behavior, and the rest of it.
[00:36:08.292 --> 00:36:13.298]  And you also probably remember how the talking CCT cameras accused the wrong person.
[00:36:14.039 --> 00:36:16.122]  That's just part of it, but really it's...
[00:36:17.961 --> 00:36:18.701]  We're good to go.
[00:36:18.721 --> 00:36:19.262]  We're good to go.
[00:36:19.282 --> 00:36:19.862]  We're good to go.
[00:36:19.882 --> 00:36:20.402]  We're good to go.
[00:36:20.422 --> 00:36:20.983]  We're good to go.
[00:36:21.383 --> 00:36:22.404]  We're good to go.
[00:36:22.424 --> 00:36:22.864]  We're good to go.
[00:36:22.944 --> 00:36:23.564]  We're good to go.
[00:36:23.584 --> 00:36:23.965]  We're good to go.
[00:36:23.985 --> 00:36:24.445]  We're good to go.
[00:36:24.465 --> 00:36:25.365]  We're good to go.
[00:36:25.386 --> 00:36:25.786]  We're good to go.
[00:36:25.806 --> 00:36:26.266]  We're good to go.
[00:36:26.286 --> 00:36:26.786]  We're good to go.
[00:36:26.806 --> 00:36:27.447]  We're good to go.
[00:36:27.747 --> 00:36:28.167]  We're good to go.
[00:36:28.187 --> 00:36:28.607]  We're good to go.
[00:36:28.627 --> 00:36:29.148]  We're good to go.
[00:36:29.188 --> 00:36:29.628]  We're good to go.
[00:36:29.668 --> 00:36:30.148]  We're good to go.
[00:36:30.168 --> 00:36:30.529]  We're good to go.
[00:36:30.549 --> 00:36:31.149]  We're good to go.
[00:36:31.169 --> 00:36:32.010]  We're good to go.
[00:36:32.030 --> 00:36:32.650]  We're good to go.
[00:36:32.690 --> 00:36:33.050]  We're good to go.
[00:36:33.090 --> 00:36:33.590]  We're good to go.
[00:36:33.611 --> 00:36:34.211]  We're good to go.
[00:36:34.231 --> 00:36:34.611]  We're good to go.
[00:36:34.631 --> 00:36:35.652]  We're good to go.
[00:36:35.672 --> 00:36:35.992]  We're good to go.
[00:36:36.032 --> 00:36:36.792]  We're good to go.
[00:36:36.832 --> 00:36:37.473]  We're good to go.
[00:36:37.493 --> 00:36:37.913]  We're good to go.
[00:36:37.933 --> 00:36:38.473]  We're good to go.
[00:36:38.794 --> 00:36:39.334]  We're good to go.
[00:36:39.414 --> 00:36:39.854]  We're good to go.
[00:36:39.874 --> 00:36:40.275]  We're good to go.
[00:36:40.295 --> 00:36:40.395]  We're
[00:36:41.235 --> 00:36:41.635]  We're good to go.
[00:37:10.458 --> 00:37:18.500]  Meanwhile, German authorities have defended and said there's nothing wrong with their spyware that they put onto citizens' computers.
[00:37:19.100 --> 00:37:31.224]  Digitask, a private company, created for the Bavarian police a Trojan horse software that's downloaded through innocent-looking email, which can do all sorts of spy mechanisms, including
[00:37:32.584 --> 00:37:39.827]  Screen shots remotely, adding files, controlling a computer's microphone or webcam to monitor the person's home, and more.
[00:37:39.887 --> 00:37:42.048]  But authorities insist that's not the reason.
[00:37:43.008 --> 00:37:51.952]  A seemingly innocuous email plants malicious spyware on your computer, allowing strangers not only to access your private communications, but also to spy on you in your own home.
[00:37:52.332 --> 00:37:56.954]  The fact that such invasive technology was deployed by officials in Germany has caused uproar.
[00:37:56.974 --> 00:38:01.696]  That's because they have similar privacy laws that are similarly being overridden for
[00:38:02.256 --> 00:38:03.656]  Supposed security reasons.
[00:38:03.696 --> 00:38:12.919]  Ben Franklin, among others, warned that if you trade your liberty for security you'll end up with neither, and that basically you deserve neither, and that's true here too.
[00:38:13.299 --> 00:38:21.682]  Now, the other part of this is that Alex warned for years how these computer microphones and webcams can be used to monitor in your home, can be
[00:38:22.142 --> 00:38:26.986]  Remotely accessed by law enforcement, by hackers, by whomever to spy on you.
[00:38:27.026 --> 00:38:28.507]  People laughed even to this day.
[00:38:28.547 --> 00:38:34.733]  They say what a load of crock, but here it is admitted in this German case and they've been using the spyware since 2009.
[00:38:34.813 --> 00:38:41.078]  There's so much more police state news, but that's all we're covering tonight on the InfoWars Nightly News.
[00:38:41.218 --> 00:38:46.983]  Alex will be back tomorrow and back in full force on the Marathon 24 plus hour broadcast
[00:38:47.423 --> 00:38:55.338]  For the November 3rd money bomb, tune in for free, watch the streams, and you can spread the word and help us build this operation.
[00:38:55.398 --> 00:38:56.721]  We rely on your support.
[00:38:57.062 --> 00:38:58.584]  Thank you so much and good night.
[00:39:04.693 --> 00:39:15.982]  Our mission in 4Wars.com is to audit the Fed, abolish the Fed, restore the Constitution, abolish the TSA, restore the Second Amendment, restore the Constitution, restore the Republic.
[00:39:16.322 --> 00:39:27.531]  And if you believe in those goals, then it is your free will, responsibility, and honor to spread the word about our operation and to donate to the 2011 Money Bomb.
[00:39:29.909 --> 00:39:33.750]  For many years, I tried to basically stay small, make my films, do my radio show.
[00:39:33.970 --> 00:39:35.170]  But it grew and grew and grew.
[00:39:35.711 --> 00:39:43.373]  Think about how a money bomb that listeners started four years ago led to us being able to move into this bigger office.
[00:39:44.173 --> 00:39:49.074]  A later money bomb helped us expand into the empty warehouse next door.
[00:39:49.094 --> 00:39:51.895]  And in the last year, we have built
[00:39:53.015 --> 00:40:02.621]  The TV studios and put the equipment in and are now doing a nightly news show every night at seven o'clock that we're now beta testing and getting ready for television.
[00:40:03.822 --> 00:40:09.846]  Right now going out to members at PrisonPlanet.tv and then reaching millions as it spills out onto YouTube and other systems.
[00:40:10.782 --> 00:40:13.223]  Help us go to the next level.
[00:40:13.743 --> 00:40:18.564]  Not reaching 15 million a week, but reaching 30, 40, 50 million a week.
[00:40:18.964 --> 00:40:24.346]  Our growth curve is exponential, but we need to hit our afterburners and turbocharge.
[00:40:24.826 --> 00:40:26.046]  History is happening now.
[00:40:26.146 --> 00:40:31.008]  The war for human liberty against total dehumanization is on now.
[00:40:31.508 --> 00:40:32.028]  Join us.
[00:40:32.748 --> 00:40:36.031]  Thursday, November 3rd at InfoWars.com.
[00:40:36.512 --> 00:40:43.638]  We're going to have a 24-hour plus live transmission with guests and interviews starting at 11 a.m.
[00:40:43.698 --> 00:40:46.961]  and running into my next radio show the next day.
[00:40:47.981 --> 00:40:53.722]  We're going to have a huge lineup of liberty-loving patriots from all over the world joining us.
[00:40:53.822 --> 00:40:54.823]  It's going to be amazing.
[00:40:55.563 --> 00:41:03.305]  And this Money Bomb is going to have a lot of new things added to it that's going to make it even more powerful than past years.
[00:41:03.345 --> 00:41:12.347]  So please, donate at InfoWarsMoneyBomb.com or InfoWars.com forward slash Money Bomb or simply spread the word about the Money Bomb.
[00:41:13.007 --> 00:41:19.930]  Stand with InfoWars.com and my incredible crew and all of our other supporters and help us get the word out even more.
[00:41:20.310 --> 00:41:21.831]  The ball is in your court.
[00:41:22.331 --> 00:41:24.172]  The rest is up to you.
[00:41:24.572 --> 00:41:27.673]  It's InfoWars Money Bomb 2011.
[00:41:28.574 --> 00:41:29.494]  November 3rd.
[00:41:29.874 --> 00:41:31.955]  It kicks off 11 a.m.
[00:41:32.616 --> 00:41:35.677]  Visit the website at InfoWarsMoneyBomb.com.
[00:41:36.277 --> 00:41:40.039]  InfoWars.com forward slash money bomb.
