[00:00:23.021 --> 00:00:27.385]  Welcome to the December 1, 2011 broadcast of the Infowars Nightly News.
[00:31:09.965 --> 00:31:11.967]  So the film is called The Great Culling.
[00:31:12.007 --> 00:31:13.969]  We just were able to witness behind the scenes.
[00:31:14.009 --> 00:31:15.230]  You talked to Alex Jones.
[00:31:15.250 --> 00:31:19.935]  Of course, having worked with him on Endgame, I know he's coming from the eugenics angle.
[00:31:20.375 --> 00:31:25.340]  And what really gets me there is stuff like the Gates Foundation and all their overlays.
[00:31:25.740 --> 00:31:28.422]  There's questions about GMO foods.
[00:31:28.463 --> 00:31:29.143]  They're backing it.
[00:31:29.163 --> 00:31:31.305]  There's questions about geoengineering.
[00:31:31.325 --> 00:31:32.026]  What are they spraying?
[00:31:32.406 --> 00:31:33.787]  Gates Foundation is part of it.
[00:31:34.408 --> 00:31:36.329]  They're pushing vaccinations worldwide.
[00:31:36.950 --> 00:31:43.155]  Does it all begin to coalesce into a larger plan or where exactly do you think this is going?
[00:31:44.536 --> 00:31:46.118]  I think it's a mass calling.
[00:31:48.607 --> 00:31:53.212]  I don't believe that it has anything to do with weather modification.
[00:31:53.232 --> 00:31:55.214]  I don't believe in climate control.
[00:31:57.517 --> 00:32:08.088]  Personally, as we're learning, as they're blanketing the landscape and the air above us, of course it's coming down on us eventually because it's evident in the pH levels in the soils.
[00:32:08.929 --> 00:32:14.913]  You have companies like Monsanto, as you know, who are already patented aluminum-resistant seeds.
[00:32:16.674 --> 00:32:23.559]  Personally, I think it's much more sinister than just cooling the planet, because as we're learning, it's not cooling the planet.
[00:32:23.719 --> 00:32:26.240]  It's having an inverse effect.
[00:32:26.320 --> 00:32:30.123]  It's actually heating the planet up with the aerosols.
[00:32:32.045 --> 00:32:48.694]  I mean it really is a huge topic and so I think it's important to cover these different issues like vaccines and chemtrails and fluoride and just wake the people up because it's such an important thing that people know.
[00:32:48.854 --> 00:32:49.714]  Somebody needs to do it.
[00:32:51.455 --> 00:32:56.040]  And, you know, with the help, with the hope with this film is that, you know, personally I'm not a filmmaker.
[00:32:56.901 --> 00:32:57.762]  I'm a photographer.
[00:32:58.663 --> 00:32:59.644]  Paul's the filmmaker.
[00:32:59.664 --> 00:33:00.525]  He's a dear friend of mine.
[00:33:00.545 --> 00:33:01.646]  I've known him for quite some time.
[00:33:01.706 --> 00:33:07.452]  I've worked, you know, a little with him behind the scenes, I went in the world as far as, you know, with edits and making suggestions and that sort of thing.
[00:33:08.633 --> 00:33:17.155]  And it's just a matter of awareness, raising the conscious level of society, right?
[00:33:17.315 --> 00:33:23.937]  And I think, you know, I'm a pretty good example of somebody like saying enough's enough, like I feel now compelled, I gotta do something.
[00:33:24.597 --> 00:33:27.118]  Not everybody has to go out and make a documentary film either, I just think...
[00:33:28.178 --> 00:33:28.699]  We're good to go.
[00:33:51.618 --> 00:33:54.121]  Everybody does, but that's what's great about the internet age.
[00:33:54.481 --> 00:33:58.686]  You can make a film very cheaply or you could do a blog for free and get the word out.
[00:33:59.066 --> 00:34:00.347]  And the information's out there too.
[00:34:00.388 --> 00:34:04.332]  You just have to discover it and put it together and try to understand what's going on.
[00:34:04.452 --> 00:34:08.877]  So let's highlight some of the hard information we're going to get into in this film.
[00:34:08.897 --> 00:34:12.360]  I know it's still under production and probably still developing as well.
[00:34:13.680 --> 00:34:14.280]  Tell us a little more.
[00:34:16.382 --> 00:34:18.784]  We've met with a wide range of folks.
[00:34:18.824 --> 00:34:21.966]  We've met with former Senator Karen Johnson.
[00:34:24.425 --> 00:34:25.846]  Over in Arizona, right?
[00:34:26.006 --> 00:34:26.967]  And she was great.
[00:34:27.767 --> 00:34:32.851]  One thing that she opened our eyes to is when she was in office.
[00:34:33.931 --> 00:34:44.118]  She said that it only took between five and seven people calling in to her office, making us think about something, to raise awareness within her office.
[00:34:44.898 --> 00:34:48.621]  If they got five to seven phone calls on an issue, that was priority of the day.
[00:34:49.341 --> 00:34:54.022]  So, and that really made me step back and say, wow, I mean, you really don't need a million people marching in the street.
[00:34:54.062 --> 00:35:04.226]  It was just a simple five people making phone calls to their local, you know, legislator and, you know, making a complaint or a suggestion or something of that nature.
[00:35:04.266 --> 00:35:10.187]  So, that was an eye-opener for us to realize that, wow, there might be some hope as far as awareness.
[00:35:12.708 --> 00:35:13.549]  Also, what do we have?
[00:35:13.909 --> 00:35:17.290]  Dr. Reema Labow, she
[00:35:18.490 --> 00:35:19.731]  Yeah, I think so.
[00:35:36.342 --> 00:35:38.543]  I believe his show, The Conspiracy Theory.
[00:35:38.563 --> 00:35:39.364]  Yeah, The Conspiracy Theory.
[00:35:39.644 --> 00:35:40.345]  Right, exactly.
[00:35:40.485 --> 00:35:45.028]  And she said, one of her patients at the time was a head of state.
[00:35:45.648 --> 00:35:48.570]  She had mentioned, be prepared for the Great Culling.
[00:35:48.730 --> 00:35:49.431]  It's about to begin.
[00:35:49.451 --> 00:35:52.633]  And Dr. LeBeau was, what do you mean, the Great Culling?
[00:35:52.693 --> 00:35:54.635]  And she eventually got herself out of America.
[00:35:56.596 --> 00:35:59.079]  Clifford Carnicom, we talked with him as well.
[00:35:59.159 --> 00:36:01.481]  He went over contrail science with us.
[00:36:02.142 --> 00:36:08.348]  You know, how contrails formed, what's the difference between these aerosols that we're seeing and what is a true contrail.
[00:36:08.788 --> 00:36:13.893]  That's something that we're trying to focus on as well because it doesn't take much for people to go outside and
[00:36:14.694 --> 00:36:29.641]  Just take a mental observation on a daily basis, just to take a peek up, look what's going on above your head, start realizing that why does this one have a tail, why is this one not, what's different today than yesterday, where are all these planes today?
[00:36:30.101 --> 00:36:32.042]  They were spraying yesterday, there's nothing up there today.
[00:36:32.983 --> 00:36:35.124]  So he shed some light there.
[00:36:35.904 --> 00:36:43.408]  Paul Conant, Dr. Conant, again, he's a huge fluoride, anti-fluoride promoter.
[00:36:44.568 --> 00:36:50.337]  He enlightened us as far as... We'll get into why Florida is so important as an issue.
[00:36:51.499 --> 00:36:52.480]  Why it's important?
[00:36:52.660 --> 00:36:53.401]  Yeah.
[00:36:54.323 --> 00:36:56.386]  Why is it so bad or why is it so important?
[00:36:56.927 --> 00:36:58.910]  Well, I mean, what are you exploring in the film specifically?
[00:36:59.706 --> 00:37:10.053]  With the fluoride, what we're learning is through the fluoride, what it's doing is it's wearing down the myelin sheath, which is the fatty insulation that surrounds all our nerve endings.
[00:37:10.774 --> 00:37:13.195]  So we are having electrical short-outs.
[00:37:14.896 --> 00:37:16.898]  Uh, with the fluoride and the aluminum.
[00:37:16.938 --> 00:37:20.160]  All these metals are wearing down the myelin sheath within our body.
[00:37:20.200 --> 00:37:22.461]  And as you know, on the atomic level, we're energy.
[00:37:22.481 --> 00:37:23.222]  We're vibrating.
[00:37:23.262 --> 00:37:33.309]  This is kind of where the film kind of got a lot of its, uh, it was, you know, its fuel from is, is the, the, the, the energy sources that were, A, we're surrounded by energy.
[00:37:33.389 --> 00:37:38.693]  And as you know, Nikola Tesla, you know, had figured that out at the, you know, the turn of the 20th century.
[00:37:38.713 --> 00:37:41.895]  Um, and not only are we surrounded, but we're made up of it.
[00:37:42.235 --> 00:37:42.675]  And, um,
[00:37:43.636 --> 00:37:47.977]  When you have a thought to wiggle your toes or speak, it's an electrical current.
[00:37:48.137 --> 00:37:52.218]  And it doesn't just stay within your body, it actually escapes throughout the universe.
[00:37:52.859 --> 00:37:57.400]  And what better way to shut down those currents and disrupt them than with metals?
[00:37:57.460 --> 00:37:58.980]  And that was our hunch all along.
[00:37:59.020 --> 00:38:05.642]  And the more and more we dig down this hole and speak with all these PhDs and dentists and that sort of thing, they're like, yeah, you're right on the mark.
[00:38:06.302 --> 00:38:09.463]  It is wearing down the Myelin sheath.
[00:38:09.503 --> 00:38:10.663]  We're basically shorting out.
[00:38:10.683 --> 00:38:12.524]  Well, that's what others have called dumbing us down.
[00:38:13.848 --> 00:38:14.208]  Perfect.
[00:38:15.389 --> 00:38:24.031]  And with the fluoride, as you mentioned, and I tell people all the time, I say, well, if this stuff doesn't bother you, then you can thank your fluoride for that, because it does make you complacent.
[00:38:24.051 --> 00:38:40.717]  And it's like the GMO studies, the studies show it causes organ failure, sterility, but they won't label it, so there's that deniability factor, no tracing, you can't prove that's what caused your problems, and so it's a soft kill, kind of, it hits everyone in a kind of scatter shot.
[00:38:41.497 --> 00:38:45.439]  Well, a lot of people are concerned with, well, heck, I don't drink tap water.
[00:38:45.800 --> 00:38:47.741]  I drink this bottled water right here.
[00:38:47.781 --> 00:38:48.861]  I don't drink tap water.
[00:38:48.881 --> 00:38:50.802]  A lot of people these days say, I don't drink tap water.
[00:38:50.822 --> 00:38:52.063]  I don't even drink it.
[00:38:52.183 --> 00:38:53.604]  But are you bathing in it?
[00:38:54.244 --> 00:38:57.386]  Our skin is one of the biggest organs that we have.
[00:38:57.566 --> 00:38:58.487]  It's going to absorb it.
[00:39:00.008 --> 00:39:04.334]  Are you watering your garden with fluoride-free water?
[00:39:05.075 --> 00:39:05.816]  Cooking with it?
[00:39:05.917 --> 00:39:07.539]  Buying food that was cooked with it?
[00:39:07.639 --> 00:39:08.500]  Cooking with everything!
[00:39:08.520 --> 00:39:09.962]  Orange juice, your milk, your beer, anything with water!
[00:39:15.029 --> 00:39:15.470]  We're good to go.
[00:39:38.086 --> 00:39:39.828]  Well, obviously there's a lot going on.
[00:39:39.868 --> 00:39:42.031]  We're very interested to see how the film develops.
[00:39:42.612 --> 00:39:46.116]  And you're still taking influence and support for the film.
[00:39:46.157 --> 00:39:47.058]  Tell me about the website.
[00:39:47.678 --> 00:39:51.220]  The website is thegreatcalling.org.
[00:39:53.482 --> 00:39:57.184]  Folks can get on the website, take a look around.
[00:39:57.524 --> 00:39:59.565]  We've put a lot of information up there.
[00:39:59.625 --> 00:40:00.806]  We have some stills.
[00:40:02.367 --> 00:40:04.408]  We're looking for support as well.
[00:40:04.428 --> 00:40:05.709]  We kind of want to wrap this thing up.
[00:40:05.749 --> 00:40:14.895]  We anticipated December, but we're just a two-man show and we have other jobs that we need to do to try to fund this thing on our own.
[00:40:17.376 --> 00:40:20.877]  You know, now we're kind of pushing it to March, right?
[00:40:21.097 --> 00:40:29.581]  Yeah, and so right now we're just really giving a call out to get people in to help us, and so we can get this thing done and out to the public.
[00:40:30.001 --> 00:40:41.745]  And for Du and I, the last film I know woke up a lot of people, got them to focus on the issue and say, well, there's credible reason for these questions, and I think it's awakening a lot of people who haven't studied it in depth, but have kind of heard about it.
[00:40:42.245 --> 00:40:45.367]  In passing, and hopefully this film will do a lot of the same thing.
[00:40:45.407 --> 00:40:46.108]  The Great Culling.
[00:40:46.288 --> 00:40:47.109]  Coming soon, I guess.
[00:40:47.709 --> 00:40:47.829]  Yeah.
[00:40:47.849 --> 00:40:49.610]  Well, thanks for joining us, guys, and good luck.
[00:40:50.231 --> 00:40:52.973]  And that's it for tonight's InfoWars Nightly News.
[00:40:53.333 --> 00:40:56.755]  Don't forget about our Christmas specials for PrisonPlanet.tv.
[00:40:56.775 --> 00:41:06.482]  You can get a heavily discounted membership or the membership with the 18 DVDs, Alex Jones films, you can give to friends and family in the holiday season.
[00:41:06.862 --> 00:41:09.304]  Check it out on InfoWars.com or
