[00:00:17.662 --> 00:00:18.942]  My name is Ben Livingston.
[00:33:00.479 --> 00:33:01.820]  Well, obviously, yes.
[00:33:02.881 --> 00:33:13.427]  It's just one of those things that we know how to do, and since the government hasn't done it, the corporate people in America have
[00:33:14.298 --> 00:33:15.539]  Just built the instruments.
[00:33:15.619 --> 00:33:18.721]  They've installed them in their airplanes.
[00:33:18.801 --> 00:33:23.445]  We have to be just as sure of what we do as the government would like to think they have to be.
[00:33:25.086 --> 00:33:40.258]  The men, the materials, the aircraft, and all of the other support equipment you need are available today to reduce the damage of hurricanes very significantly.
[00:33:40.278 --> 00:33:42.059]  And I'm talking significantly more than
[00:33:42.597 --> 00:33:44.738]  At being more than 35 or 40 percent.
[00:33:45.418 --> 00:33:48.919]  The roof doesn't lift off the house until about 105 miles an hour.
[00:33:49.839 --> 00:33:57.822]  If you reduce the damages in hurricanes by 35 or 40 percent, you're going to save 90 percent of the damages done by them.
[00:33:58.562 --> 00:34:04.463]  So once you get down below 100 miles an hour, there's not a whole lot of damage occurs from the winds and hurricanes.
[00:34:04.884 --> 00:34:09.345]  The tact they've taken is that they're willing to spend money they haven't got
[00:34:10.305 --> 00:34:17.147]  To repair places that are not repairable, or the people to evacuate and the people come back and their house is blown away.
[00:34:17.607 --> 00:34:19.688]  We think that's foolishness.
[00:34:20.649 --> 00:34:29.491]  We think that we ought to be trying to save those houses, let the people evacuate, but have them come back to a house with the furniture in it.
[00:34:29.512 --> 00:34:34.473]  Our aircraft can carry over 400 cloud sheeting units now.
[00:34:35.353 --> 00:34:39.075]  Those back in Project Stormfury days could only carry 52.
[00:34:40.663 --> 00:34:56.392]  And the fact that we fly two and a half times as fast, and we know exactly where we are all the time, we feel like we have a much better opportunity, a better chance of reducing these hurricanes by even more than they were able to in Storm Fury.
[00:34:57.312 --> 00:35:09.399]  Number one, we would have attacked Katrina before she passed the southern tip of Florida, coming across the Gulf of Mexico, because there were a lot of people, a lot of lives at stake there.
[00:35:10.959 --> 00:35:17.863]  We may not have done anything with Cortina until she got out in the middle of the Gulf of Mexico.
[00:35:20.444 --> 00:35:27.868]  But from then on, and I mean the middle of the Gulf of Mexico, I'm talking about to the Eastern edge of the oil production.
[00:35:28.688 --> 00:35:33.811]  When it got close enough to do damage to the oil drilling and producing platforms,
[00:35:34.380 --> 00:35:36.521]  We would have started working on Cortina right then.
[00:35:37.241 --> 00:35:48.406]  And we would have seeded those energy cells in there based on data from the satellite, radar satellite information.
[00:35:48.987 --> 00:35:56.290]  We would have picked the energy cells in that storm, and at least every 12 hours, we would have been out there seeding those energy cells.
[00:35:56.970 --> 00:36:00.272]  Ben, why hasn't there been a lawsuit against the government for not stopping these hurricanes?
[00:36:00.752 --> 00:36:01.512]  You know, I don't know.
[00:36:01.592 --> 00:36:02.573]  I'm not a lawyer.
[00:36:04.045 --> 00:36:12.730]  I really don't understand why because the government certainly has a renege on its responsibility to the citizens of the country to protect them.
[00:36:14.832 --> 00:36:25.378]  They took unlimited steps in creating the Department of Homeland Defense and spent trillions or hundreds of billions of dollars on that thing.
[00:36:27.019 --> 00:36:31.922]  But yet a hurricane comes along that does more damage than that and they
[00:36:32.850 --> 00:36:38.073]  I want to acknowledge the fact that there's some way to prevent it or slow it down.
[00:36:39.935 --> 00:36:48.360]  Well, the problem we have right now is that while we have contacted every senator in the U.S.
[00:36:48.380 --> 00:36:52.983]  Senate, all 100 of them, we've had one mediocre response from one of them.
[00:36:55.565 --> 00:37:02.129]  It gives you the impression that they just don't care what happens about the hurricanes, and we're trying to
[00:37:02.734 --> 00:37:15.520]  We have presented a proposal to them to do hurricane damage reduction for the year 2006, and it amounts to around $6,000 a month.
[00:37:16.120 --> 00:37:22.983]  But we have enough airplanes, we have enough people in our company that we can do that.
[00:37:25.965 --> 00:37:30.847]  We need to be out there seeding these hurricanes, and if we don't get results
[00:37:31.431 --> 00:37:35.294]  That we think we're going to get, then we can say we're not ready for it.
[00:37:35.654 --> 00:37:37.235]  But that's not going to be the case.
[00:37:38.376 --> 00:37:38.997]  What's this, man?
[00:37:39.277 --> 00:37:44.081]  This is a letter from the Secretary of Navy, and it's a commendation medal to me.
[00:37:44.921 --> 00:37:49.485]  And it's for Meritorious Services from 28 September through 1 November 1966.
[00:37:49.945 --> 00:37:59.032]  As a member of the Scientific Operational Evaluation Team for the Naval Ordnance Test Station deployed through the Republic of Vietnam.
[00:37:59.790 --> 00:38:01.011]  During this period, Lt.
[00:38:01.051 --> 00:38:20.105]  Livingston directly participated in project flights in a combat zone, in program planning, scientific data collection, and evaluation, in material readiness of scientific recording equipments, and in the daily preparation of weapons systems under development, demonstrating outstanding professional competence.
[00:38:20.605 --> 00:38:24.588]  He and our procedures thereby improving their effectiveness.
[00:38:25.148 --> 00:38:28.831]  His unyielding demand for accurate and complete data collections
[00:38:29.465 --> 00:38:45.615]  His relentless search for technical competence and his unwavering devotion to duty were major factors in the outstanding success of the project and were instrumental in the development of a unique major combat capability for the United States.
[00:38:46.556 --> 00:38:52.699]  Lieutenant Livingston's outstanding performance was in keeping with the highest traditions of the United States Naval Service.
[00:38:53.200 --> 00:38:56.922]  Signed, Paul H. Nitze, Secretary of the Navy.
[00:39:14.582 --> 00:39:17.086]  Visit InfoWars.com and PrisonPlanet.com.
[00:39:17.527 --> 00:39:22.676]  When you're on the site, you can also tune in 24 hours a day to my daily radio broadcast.
[00:39:22.876 --> 00:39:26.703]  There's also a free iPhone app to listen to the Syndicated Radio Show when and where you want.
