[00:00:22.150 --> 00:00:28.152]  Welcome, ladies and gentlemen, to this Friday, December 2nd, 2011 InfoWars Nightly News Broadcast.
[00:25:58.743 --> 00:26:01.705]  First in a small town test, later to the whole country.
[00:26:02.566 --> 00:26:10.609]  And this person cites a British Journal of Psychiatry study from when they added lithium to the water supplies in many towns in Texas.
[00:26:11.190 --> 00:26:20.333]  He said there was already a strong precedent for governments intervening in the operation of public water supply for health benefits by adding fluoride, obviously dubious.
[00:26:20.754 --> 00:26:23.275]  Of course, that's not the first call for lithium.
[00:26:23.295 --> 00:26:26.576]  A quick review, many others have called for it.
[00:26:26.616 --> 00:26:31.278]  Fox News covered the mass drugging of society where they recommended putting lithium in the water.
[00:26:31.758 --> 00:26:33.380]  There was also a BBC report.
[00:26:33.500 --> 00:26:35.463]  Lithium in water curbs suicide.
[00:26:35.863 --> 00:26:39.167]  Again, based on a Japanese study advocating it be added to water.
[00:26:39.667 --> 00:26:46.015]  And a bioethics professor named Julian Salvesco says lithium should be added to the water, but that's just the beginning.
[00:26:46.055 --> 00:26:51.982]  We should have many other cognitive enhancements added to the water supply so our controllers can keep us
[00:26:52.222 --> 00:26:56.485]  Passive and relatively dumb, unable to fight back against the system.
[00:26:56.806 --> 00:27:00.188]  That's all linked in a report I did in August 2010.
[00:27:00.589 --> 00:27:03.311]  So if you think fluoride's the end of the line, think again.
[00:27:03.331 --> 00:27:05.072]  They really want to mess with our water.
[00:27:05.512 --> 00:27:11.717]  So again, if you thought fluoride was the only problem in what's being added to our food and water, think again.
[00:27:11.797 --> 00:27:15.980]  Everything from GMOs to this lithium proposal on down is
[00:27:16.781 --> 00:27:24.123]  Really, just what happens when governments get extreme power, when power is centralized in the hands of a few, especially if they happen to be eugenicists.
[00:27:24.483 --> 00:27:30.444]  If you don't know about it, look up the Brave New World Plan, Brave New World Revisited, Bertrand Russell, etc., etc.
[00:27:30.884 --> 00:27:39.806]  Now, the very people who help prescribe vaccines to the mass populations, the Center for Disease Control, have their own series of corruptions
[00:27:40.286 --> 00:27:47.231]  One of the top executives there, a female scientist, was charged with child molestation and even bestiality.
[00:27:47.251 --> 00:27:48.452]  You may remember this report.
[00:27:48.492 --> 00:27:49.712]  We covered it a few weeks ago.
[00:27:50.113 --> 00:27:53.255]  The suspects, Dr. Kimberly Lindsey and Thomas Joseph Westerman.
[00:27:53.855 --> 00:27:59.719]  Dr. Lindsey is the second-in-command of the CDC's Laboratory Science Policy and Practice Program Office.
[00:28:00.300 --> 00:28:06.083]  Her career at the CDC has included oversight of a $1.5 billion terrorism preparedness budget.
[00:28:06.524 --> 00:28:09.686]  She's also been a top manager of HIV AIDS prevention.
[00:28:10.146 --> 00:28:11.966]  Now there's an update on that report.
[00:28:12.347 --> 00:28:13.847]  She is back at work.
[00:28:13.887 --> 00:28:24.870]  The senior government scientist facing child molestation and bestiality charges has returned to her high-powered job at the Center for Disease Control and Prevention in Atlanta, Georgia.
[00:28:25.290 --> 00:28:29.211]  As the report mentioned, she helps oversee a very big
[00:28:29.771 --> 00:28:30.592]  We're good to go.
[00:28:48.948 --> 00:28:51.590]  Meanwhile, Fukushima news continues to get worse.
[00:28:51.990 --> 00:28:57.193]  ABC News in Australia reports that the fuel rods are now eating through solid concrete.
[00:28:57.674 --> 00:29:07.760]  Molten fuel rods at the Fukushima nuclear plant may have eaten two-thirds of the way through a concrete containment base, according to the plant's operators.
[00:29:08.140 --> 00:29:12.103]  What's worse, the operators' assessment comes about six months
[00:29:12.623 --> 00:29:25.251]  After international nuclear experts warned that molten fuel could eat through the containment vessel below the reactors, of course, Alex has had on many of the experts, including Dr. Busby, discussing all the various fallout.
[00:29:25.951 --> 00:29:27.613]  No pun intended, or is it, I guess?
[00:29:28.763 --> 00:29:32.826]  on this terrible Fukushima tragedy and all the other terrible things they've been doing to our environment.
[00:29:33.146 --> 00:29:34.647]  We have to stop these dictators.
[00:29:35.207 --> 00:29:41.311]  Meanwhile, on the geopolitical front, after a NATO strike, Pakistan adjusts rules of engagement.
[00:29:41.972 --> 00:29:46.555]  They previously had orders to take orders before firing back, but now that's changing.
[00:29:46.915 --> 00:29:54.420]  Pakistan's commanders in the wild Afghan border region can return fire if under attack without waiting for permission, the army chief said on Friday.
[00:29:54.440 --> 00:29:56.802]  A policy change that could stoke tensions
[00:29:57.342 --> 00:30:04.966]  After Saturday's NATO strike that killed 24 Pakistani troops, we're of course going to talk with Pepe Escobar about that in a few moments.
[00:30:05.326 --> 00:30:12.070]  In the past, we were only guarding ourselves or reacting against militants, said the source, who requested anonymity.
[00:30:12.370 --> 00:30:14.751]  We've given our posts some more space to respond.
[00:30:14.871 --> 00:30:17.553]  If they're under attack, they should not wait for orders.
[00:30:17.933 --> 00:30:24.897]  Just another bizarre twist in all the escalations in that large, large, important region of the world.
[00:30:26.013 --> 00:30:29.179]  Meanwhile, there's a covert war going on in Iran.
[00:30:29.579 --> 00:30:34.187]  Of course, this week there were reports of a blast in Isfahan.
[00:30:36.480 --> 00:30:40.523]  Non-enrichment and raiment facility, but they do do nuclear research.
[00:30:40.543 --> 00:30:50.089]  They're all eyes on Israel after second Iran blast there, and it talks about how they didn't even try to play it down in the Israeli government that they may have been behind it.
[00:30:50.489 --> 00:31:00.276]  However, a Jerusalem Post article takes kind of a different twist here talking about how it was extremely unlikely that a Western government perpetrated the attack.
[00:31:00.636 --> 00:31:04.179]  Of course, there's been many calls for war in Iran.
[00:31:04.559 --> 00:31:06.160]  The question is how will they bring it about?
[00:31:07.101 --> 00:31:12.965]  A military analyst has said that it is, quote, extremely unlikely that a Western government perpetrated the attack.
[00:31:13.645 --> 00:31:26.734]  They go on to discuss in the article how, no longer content to demand that Amin al-Dinajad step down and fair elections take place, the Green Movement began calling for and working towards the overthrow of the regime as a whole.
[00:31:27.175 --> 00:31:34.020]  Since last year, regime installations, as well as key members of the Revolutionary Guards, have been targeted on a regular basis.
[00:31:34.520 --> 00:31:39.732]  There's been a five-fold increase in the number of explosions at Iranian oil pipelines and refineries.
[00:31:39.792 --> 00:31:40.654]  So who's behind it?
[00:31:41.116 --> 00:31:43.481]  He goes on to discuss the attack two weeks ago.
[00:31:44.705 --> 00:31:58.510]  On the Bidganah Air Force Base and two other Revolutionary Guard bases were conducted by members of Iran's anti-regime Green Movement, one of those velvet revolutions backed by Western powers including Soros.
[00:31:59.350 --> 00:32:02.831]  It targeted General Hassan Tehrani Moghadam.
[00:32:03.232 --> 00:32:12.235]  However, it goes on to explain how Supreme Leader Ali Khamenei was scheduled to visit the Bidganah base at the time of the explosion but was delayed.
[00:32:12.995 --> 00:32:22.599]  Then it goes on to explain how in May, the Abadan oil refinery was bombed during a site visit by Iranian President Mahmoud Addemajan.
[00:32:22.839 --> 00:32:26.841]  So they're not only disrupting facilities, but trying to carry out assassinations.
[00:32:27.481 --> 00:32:30.982]  And they go on to blast Obama and this saber-rattling thing.
[00:32:31.322 --> 00:32:33.923]  Thankfully, Obama's abandonment of the traditional U.S.
[00:32:34.003 --> 00:32:39.946]  role as leader of the free world has not prevented Western governments and regional forces from freedom
[00:32:40.546 --> 00:32:54.528]  from for freedom from acting in their own common interest so basically in a roundabout way they admit that western interests are behind all these strange attacks and hopefully it does not lead to all-out war we really hope not meanwhile
[00:32:55.762 --> 00:33:00.103]  Pepe Escobar has a very detailed article called The Shadow War in Syria.
[00:33:00.743 --> 00:33:02.264]  It's a bit complex and technical.
[00:33:02.324 --> 00:33:04.284]  I recommend you read the article for yourself.
[00:33:04.344 --> 00:33:10.066]  But basically, you've got the NATO forces backing this covert civil war in Syria.
[00:33:10.386 --> 00:33:17.308]  You've read past headlines about where they're shipping in Libyan rebels to now be Syrian rebels to oust Assad.
[00:33:18.008 --> 00:33:19.709]  Furthermore, Turkey's in on it.
[00:33:21.109 --> 00:33:23.170]  This quote here, the pressure is relentless.
[00:33:23.590 --> 00:33:35.754]  Diplomats at Brussels have confirmed to Asia Times online that the NATO and GCC operatives have set up a command center in Iskanderun in Hatay province in Turkey.
[00:33:37.449 --> 00:33:48.198]  Crucial Aleppo in northwest Syria is very close to the Turkish-Syrian border, and the cover story for this new command center is to engineer humanitarian corridors to Syria.
[00:33:48.559 --> 00:33:52.762]  So again, they're carrying out semi-covert war, as they did in Libya.
[00:33:53.483 --> 00:34:00.409]  Pepe calls it a 2.0 version in Syria, again, under the humanitarian crisis excuse.
[00:34:00.729 --> 00:34:11.418]  And so now with more on the situation in Syria and really all of the Middle East and Central Asia and geopolitics around the globe is Pepe Escobar.
[00:34:11.758 --> 00:34:16.062]  He's a longtime Asia Times correspondent and a true geopolitical expert.
[00:34:16.122 --> 00:34:17.283]  Pepe, thanks for joining us.
[00:34:18.323 --> 00:34:19.144]  Thanks for having me.
[00:34:19.184 --> 00:34:19.845]  Great pleasure.
[00:34:21.142 --> 00:34:26.505]  So I know we have this Syria article here, but you've been even more focused on the situation in Pakistan.
[00:34:26.565 --> 00:34:32.908]  Obviously tensions have been heating up there with the recent strike that NATO's basically calling accidental.
[00:34:33.669 --> 00:34:35.610]  Why don't you highlight the most important things for us?
[00:34:37.110 --> 00:34:44.712]  Well, the most important thing is that NATO in the West, they are burning all the bridges that they have, even with the Pakistani military.
[00:34:45.052 --> 00:34:49.453]  They already burnt the bridges with the bulk of the Pakistani population, in fact.
[00:34:50.473 --> 00:34:56.874]  This incident less than a week ago was horrible because it was a basic NATO mistake.
[00:34:56.914 --> 00:34:59.495]  They have the coordinates of all these
[00:35:00.795 --> 00:35:01.256]  I think?
[00:35:17.549 --> 00:35:38.032]  In Peshawar for instance, which they have a very lively Pakistani press in Peshawar, they say that there was a warning, there was an helicopter that came first, they threw flares, then they came, the gunships came and they started deliberately killing people one by one, 24 Pakistani soldiers.
[00:35:38.593 --> 00:35:40.674]  So how do you explain something like this?
[00:35:41.115 --> 00:35:42.836]  It's not a failure of communication.
[00:35:43.036 --> 00:35:47.779]  The Pakistani Army says, look, we got no warning whatsoever.
[00:35:48.140 --> 00:35:50.281]  They knew that this was a Pakistani post.
[00:35:50.741 --> 00:35:55.204]  There were no insurgents, let's put it this way, in the area.
[00:35:55.865 --> 00:35:58.086]  So what is NATO going to do?
[00:35:58.166 --> 00:36:01.669]  Look, the Pakistani response is very, very serious.
[00:36:02.669 --> 00:36:04.571]  Monday in Bonn, in Germany,
[00:36:05.532 --> 00:36:29.386]  Like exactly 10 years after that famous Bonn Conference, I'm sure a lot of people will remember, after the so-called end of the Afghan war in 2001, they're going to have a 10th anniversary commemoration come meeting of Americans, Europeans, Turks, and guess who's not going to be at the table?
[00:36:29.547 --> 00:36:30.447]  The Pakistanis.
[00:36:30.847 --> 00:36:33.189]  So you cannot expect the West
[00:36:33.709 --> 00:36:40.454]  to come up with a solution for Afghanistan without Pakistan and, even worse, without Iran.
[00:36:40.514 --> 00:36:45.637]  Because Western Afghanistan, most of what happens is in close contact with Iran.
[00:36:46.077 --> 00:36:46.978]  They are Tajiks.
[00:36:47.598 --> 00:36:56.244]  You know, it's four hours by taxi, let's put it this way, from the Iranian-Afghan border to Mashhad, the big Iranian city to the east.
[00:36:56.825 --> 00:36:58.426]  So they're not going to be on the table.
[00:36:59.086 --> 00:37:00.947]  What does the U.S.
[00:37:01.147 --> 00:37:03.909]  and NATO expect to accomplish in a conference like this?
[00:37:05.230 --> 00:37:05.990]  It doesn't make sense.
[00:37:07.571 --> 00:37:12.013]  Well, can you draw out some of the important geopolitical significance with Pakistan?
[00:37:12.073 --> 00:37:17.016]  China, of course, saying any attack on Pakistan would be equivalent to attacking China.
[00:37:17.677 --> 00:37:22.359]  Obviously, the distribution networks are tied to all the powers in Central Asia.
[00:37:23.240 --> 00:37:25.081]  Help us see what's going on here.
[00:37:26.169 --> 00:37:34.751]  Okay, first point is the distribution network that feeds the US and NATO troops in Afghanistan.
[00:37:35.311 --> 00:37:48.095]  Pakistan, these last few days, they cut off that, you know, it's a snake full of lorries, let's put it this way, that goes from Karachi, in southern Pakistan, to Quetta,
[00:37:48.855 --> 00:38:01.202]  and then across the border to southern Afghanistan to Qatar especially and then another snake that goes north to the Khyber Pass and then crosses on the way to Jalalabad in Kabul.
[00:38:01.762 --> 00:38:05.825]  So if you see the photographs they are amazing because you have like a
[00:38:06.645 --> 00:38:12.910]  Hundreds of kilometers of lorries that they are stuck there because they cannot go anywhere, at least for the moment.
[00:38:13.310 --> 00:38:14.991]  This is Pakistani retaliation.
[00:38:15.832 --> 00:38:25.439]  And there's another distribution network, which is called NDN, the Northern Distribution Network, that goes all across Central Asia.
[00:38:25.459 --> 00:38:26.720]  It's very complicated.
[00:38:26.740 --> 00:38:27.281]  It crosses
[00:38:28.041 --> 00:38:32.447]  Uzbekistan, Tajikistan and then gets into North and Afghanistan.
[00:38:33.028 --> 00:38:38.014]  But US and NATO are supplied with less than 20% goes through this route.
[00:38:38.795 --> 00:38:45.724]  So if you start antagonizing the Russians for instance, which gave permission for this route to exist,
[00:38:46.364 --> 00:38:58.818]  Soon, we may come to a situation within the next few weeks or maybe months where all the troops, American and NATO, in Afghanistan, they cannot be supplied anymore.
[00:38:59.719 --> 00:39:04.905]  Because Pakistan is being antagonized and Russia by a myriad
[00:39:06.206 --> 00:39:06.787]  Let's put it this way.
[00:39:06.807 --> 00:39:08.048]  It's also being antagonized.
[00:39:08.269 --> 00:39:23.047]  The missile defense controversy, the fact that an invasion, a probable invasion or even destabilization of Syria, the Russians already said at the UN Security Council, forget about it, we're not going to vote for a resolution.
[00:39:24.108 --> 00:39:28.312]  And if you come here, watch out, because we have a naval base in Syria.
[00:39:28.732 --> 00:39:33.856]  The Russians have a naval base in the port of Tartus, the eastern Mediterranean in Syria.
[00:39:34.336 --> 00:39:41.742]  And obviously, if anything happens via NATO, with Turkey and with France, even without the U.S., the U.S.
[00:39:41.762 --> 00:39:49.629]  in the background, as it is at the moment, the first thing they're going to do is buy a Russian base in Syria.
[00:39:50.289 --> 00:40:00.053]  So, the Russians are following this very closely and they are getting closer and closer with Pakistan, which is something that until, let's say, a year ago was not even on the cards.
[00:40:00.893 --> 00:40:09.536]  And the crux of this rapprochement, let's say, this getting together, is the Shanghai Cooperation Organization, the SCO.
[00:40:10.116 --> 00:40:13.157]  That's a mechanism that is also 10 years old.
[00:40:13.638 --> 00:40:17.099]  Russia, China and three of the Central Asian states.
[00:40:17.879 --> 00:40:23.426]  And we have four observers at the SCO, including Iran and Pakistan.
[00:40:24.147 --> 00:40:31.155]  And the Russians already said, and they said that for the first time only a few weeks ago, they want Pakistan as a full member.
[00:40:32.116 --> 00:40:35.400]  And the Chinese are saying, we also want Iran as a full member.
[00:40:36.101 --> 00:40:37.902]  What does that mean in practice?
[00:40:38.002 --> 00:40:57.958]  It means that soon in Asia we're going to have a mechanism that, of course, it's not like NATO because it's not primarily a military alliance, but it's a security mechanism, an economic cooperation mechanism, and soon they're going to develop military integration as well.
[00:40:58.378 --> 00:41:02.682]  So on one side we're going to have Russia, China, the Central Asians,
[00:41:03.382 --> 00:41:07.167]  Pakistan and Iran for instance and on the other side we're going to have NATO.
[00:41:08.629 --> 00:41:12.413]  Who can come up with the best solution for Afghanistan?
[00:41:12.714 --> 00:41:20.483]  The Afghans themselves are saying, they are observers of the SCO by the way, the Afghans themselves are saying look we need a regional solution.
[00:41:21.164 --> 00:41:27.629]  With all the internal players on the table in Afghanistan, but with all our neighbors on the table, especially.
[00:41:28.189 --> 00:41:34.253]  And when you look at it, there's definitely no place for NATO or for Washington in this arrangement.
[00:41:35.354 --> 00:41:35.554]  Yeah.
[00:41:36.135 --> 00:41:39.937]  And so obviously the larger question, though, is the World War III scenario.
[00:41:40.638 --> 00:41:41.418]  Is it going to happen?
[00:41:41.458 --> 00:41:45.781]  Because Syria is on the hit list, Iran's on the hit list, and things are heating up there.
[00:41:46.222 --> 00:41:48.503]  At the same time, this stuff is happening with Pakistan.
[00:41:48.904 --> 00:41:50.485]  I mean, what do you really see in the cards here?
[00:41:51.584 --> 00:41:54.446]  Look, I'm not apocalyptic, you know.
[00:41:54.786 --> 00:41:59.650]  I may be very pessimistic sometimes when you look at reality, of course.
[00:42:00.211 --> 00:42:08.237]  But realistically, what's going on is the Pentagon still wants to implement its doctrine.
[00:42:08.777 --> 00:42:13.379]  That it's called full spectrum dominance, that it's an official Pentagon doctrine since 2002.
[00:42:14.179 --> 00:42:23.083]  So, land, air, sea domination, cyberspace domination, and even outer space domination, of course.
[00:42:23.103 --> 00:42:28.265]  And Middle East is just a way to get to the big prize, which is Asia.
[00:42:28.946 --> 00:42:35.609]  And in fact, a few commentators, like including Michael Clare, for instance, I read his piece, I think one or two days ago,
[00:42:36.929 --> 00:42:44.591]  Already talking about what does it mean Obama's Pacific Century or Hillary Clinton's Pacific Century.
[00:42:44.671 --> 00:42:45.552]  What does that mean?
[00:42:46.012 --> 00:42:48.152]  It means that the U.S.
[00:42:48.273 --> 00:42:53.034]  or the Obama administration, because of pressure by the Pentagon generals,
[00:42:53.134 --> 00:42:57.815]  They are already launching a new Cold War against China, especially.
[00:42:58.336 --> 00:43:09.279]  But don't forget, a war against China can be a war against Russia as well, because the Russian interests are in Central Asia, are in the Caucasus, are in the Mediterranean as well.
[00:43:09.719 --> 00:43:18.842]  China's interests are in Africa, some of them in the Middle East, because they import a lot of oil from Saudi Arabia and gas from Iran, and across Asia.
[00:43:20.362 --> 00:43:25.164]  The Pentagon wants to pick a fight simultaneously with Russia and China.
[00:43:25.384 --> 00:43:30.426]  I'm not sure this is a very intelligent proposition, to say the least.
[00:43:32.927 --> 00:43:40.990]  Well, if you could, also get into some of the most basic facts about your Syrian article, because to me it looks like an all-out covert war.
[00:43:41.330 --> 00:43:44.191]  There's a lot of allies and covert things going on.
[00:43:44.211 --> 00:43:48.473]  They've just shipped over a lot of the Libyan rebels, now in Syria as rebels.
[00:43:50.314 --> 00:44:09.986]  Yes, I think that the most important element, at least for the past few weeks, it's something as few sources confirmed in France, some other sources in Turkey, we confirmed with Brussels and diplomats in Brussels told us explicitly, yes, there is a
[00:44:10.726 --> 00:44:18.169]  control and command center already established in southern Turkey near the Turkish-Syrian border.
[00:44:18.529 --> 00:44:31.013]  It's in a place called Iskenderun, which is a very small town, but it's very close to a big city, very important, Antakya, which is the Antioch of biblical times, right?
[00:44:31.613 --> 00:44:32.774]  And across the border,
[00:44:33.354 --> 00:44:45.045]  Like, you know, if you go from the border to Aleppo, for instance, it's half an hour, 40 minutes, is Aleppo, which is the big city north in Syria, and it's the largest Syrian city as well.
[00:44:45.126 --> 00:44:47.508]  Over 2.5 million people live there.
[00:44:48.088 --> 00:44:53.474]  This region, most people are Sunnis, but there are a lot of Kurds living there as well.
[00:44:54.094 --> 00:44:55.757]  So, what is the strategy?
[00:44:55.997 --> 00:44:59.422]  Considering that Russia and China vetoed a U.N.
[00:44:59.442 --> 00:45:07.193]  security resolution authorizing a Libya-style operation against Syria, considering that the U.S.
[00:45:07.253 --> 00:45:09.897]  does not be at the forefront of this
[00:45:10.077 --> 00:45:10.797]  Thank you.
[00:45:28.462 --> 00:45:32.543]  We have Saudis, Qataris, and people from the Emirates as well.
[00:45:33.064 --> 00:45:37.685]  We have engineers and naval officers, very qualified people.
[00:45:38.145 --> 00:45:42.507]  So they are trying to organize near the border a sort of
[00:45:44.319 --> 00:45:47.502]  Northern insurrection in Libya.
[00:45:47.662 --> 00:45:49.123]  Oh, I'm sorry, in Syria.
[00:45:49.224 --> 00:45:54.468]  I say Libya because Libya is on my mind because it's basically the same thing now remixed, right?
[00:45:54.728 --> 00:45:56.090]  Absolutely.
[00:45:56.350 --> 00:46:01.514]  So now the scenario is, okay, we try to launch an insurrection north in Syria.
[00:46:03.556 --> 00:46:11.099]  In the big cities, in the small cities, I'm sorry, of course, like homes, but especially trying to get the big price, which is Aleppo.
[00:46:11.659 --> 00:46:23.764]  If Aleppo would fall to the insurgents, let's put it this way, which is a mix of defectors from the Syrian army and these foreign mercenaries.
[00:46:24.244 --> 00:46:25.765]  For the moment, there are not many people.
[00:46:26.126 --> 00:46:27.967]  I'm in contact with a guy in Holmes.
[00:46:28.127 --> 00:46:31.750]  He's a very good informant, you know, for what's going on on the ground.
[00:46:31.791 --> 00:46:34.693]  And he's telling me, look, we haven't seen these people here.
[00:46:35.253 --> 00:46:40.938]  And the support for the Free Syrian Army in this area, at least, is mixed.
[00:46:41.179 --> 00:46:44.641]  A lot of people view them as criminals.
[00:46:45.686 --> 00:46:46.727]  You know, pure and simple.
[00:46:46.867 --> 00:46:50.390]  There are a lot of gangs in the area.
[00:46:51.051 --> 00:46:55.695]  People report they are being harassed, you know, cars stolen, that kind of stuff.
[00:46:55.975 --> 00:46:57.216]  Petty crime, basically.
[00:46:57.616 --> 00:47:06.384]  And not many people are talking about serious, let's say, guerrilla bands attacking the Syrian army.
[00:47:06.804 --> 00:47:08.306]  And another point that is important
[00:47:08.866 --> 00:47:18.775]  There has not been a mass defection from the Syrian intelligence system, the military or the police, at least so far.
[00:47:19.355 --> 00:47:30.565]  This tells us that the support for the regime is still very solid among the people that are ruling Syria, and including the trading classes, the Bazaaris, let's put it this way.
[00:47:30.945 --> 00:47:36.190]  They are very important in Damascus and Aleppo, both big cities.
[00:47:36.670 --> 00:47:42.115]  And they're still more or less siding with the regime, including the Sunnis, because they don't know what could happen next.
[00:47:42.835 --> 00:47:45.878]  If there is a civil war, who's going to rule the country after war?
[00:47:46.278 --> 00:47:53.164]  Nobody trusts this Syrian National Council that was established in Paris and in Turkey a little bit.
[00:47:53.624 --> 00:47:58.528]  In fact, there was an interview at the Wall Street Journal today of the president of this council.
[00:47:58.808 --> 00:48:04.053]  And it's ridiculous, you know, it's like he was briefed at Washington or at Tel Aviv.
[00:48:04.773 --> 00:48:08.435]  He's emitting all the right signals, but you cannot trust these people.
[00:48:08.816 --> 00:48:11.638]  And the Syrians themselves, they're saying, we don't trust these people.
[00:48:12.198 --> 00:48:13.379]  Most of them are exiles.
[00:48:13.819 --> 00:48:21.884]  They're not people who lived here and understand the regime and understand what we need in terms of more political participation and all that.
[00:48:22.104 --> 00:48:27.148]  They're a bunch of opportunists, just like the opportunists in Libya, you know, hasn't changed much.
[00:48:27.728 --> 00:48:36.954]  So we have to look, over the past few weeks at least, we have to be careful looking at, is there going to be a destabilization of Northern Syria?
[00:48:37.094 --> 00:48:52.244]  If that happens, maybe we are on our way to destabilization of the whole country, but basically fueled by foreign troops, by mercenaries, and the power that is coordinating all this is Turkey.
[00:48:53.084 --> 00:48:59.427]  Which brings us to, let me just finish with this because nobody knows the answer to this question.
[00:48:59.967 --> 00:49:05.809]  What do the Turks imagine that we will accomplish by destabilizing one of their neighbors?
[00:49:06.309 --> 00:49:12.712]  Considering that their official foreign policy, basically it's called zero problems with our neighbors.
[00:49:12.892 --> 00:49:13.092]  Right.
[00:49:13.532 --> 00:49:17.033]  So still nobody knows what is the Turk game, you know.
[00:49:17.534 --> 00:49:18.514]  I've been trying to get it
[00:49:19.354 --> 00:49:22.455]  From people that I know in Turkey, they don't know.
[00:49:23.015 --> 00:49:33.319]  People in Brussels say, look, I think maybe there is some kind of deal, but we don't know the terms of this, a backroom deal that would obviously involve the US.
[00:49:33.959 --> 00:49:37.140]  But we don't have elements and it's pure speculation, of course.
[00:49:37.420 --> 00:49:40.261]  What we do know is the very
[00:49:41.381 --> 00:49:50.266]  Convergence of interest between the Turks and the GCC, the Gulf Cooperation Council, means Saudi Arabia, Qatar and all the other Persian Gulf monarchies.
[00:49:50.726 --> 00:49:55.008]  They want to get rid of the Assad regime because it's an Arab secular republic.
[00:49:55.468 --> 00:49:58.010]  They want something closer to the Muslim Brotherhood in power.
[00:49:58.390 --> 00:49:59.591]  And this is true.
[00:50:00.391 --> 00:50:01.792]  If the Assad regime falls,
[00:50:02.572 --> 00:50:04.274]  Guess who's going to inherit Syria?
[00:50:04.634 --> 00:50:07.978]  The Muslim Brotherhood, just like they're inheriting Egypt.
[00:50:08.398 --> 00:50:11.941]  We saw these first initial results at the Egyptian election.
[00:50:12.402 --> 00:50:13.043]  Who's ahead?
[00:50:13.063 --> 00:50:18.628]  The Muslim Brotherhood, over 40%, and an Islamist Salafi party with almost 25%.
[00:50:20.310 --> 00:50:23.213]  And these people in Syria, they are also popular.
[00:50:23.553 --> 00:50:39.104]  Especially in the poor areas in the countryside and in some of these places where the protests started, including the small towns in the border, the Jordanian-Syrian border, and in homes as well.
[00:50:39.704 --> 00:50:46.149]  So, look, the scenario ahead, if there is really a destabilization of the regime, is horrendous.
[00:50:46.629 --> 00:50:48.570]  Nothing good will come out of it.
[00:50:48.911 --> 00:50:50.652]  I don't see anything good coming out of it.
[00:50:50.772 --> 00:50:51.933]  Certainly not democracy.
[00:50:52.847 --> 00:50:53.249]  Yes sir.
[00:50:53.690 --> 00:50:58.988]  Is there anything else you'd like to add that we should keep an eye on or are these pretty much the main proxies at the moment?
[00:51:00.359 --> 00:51:07.121]  Yes, I suggest everybody keep an eye on this Syrian National Council, what they're saying.
[00:51:08.002 --> 00:51:28.129]  If they're going to visit Washington especially, they're more or less based in Paris and Turkey, keep an eye on what the Turks are saying out loud because a few days ago, three days ago, they slapped sanctions on Syria and the sanctions are exactly the same package as the Arab League sanctions.
[00:51:29.189 --> 00:51:45.737]  And also, let's keep an eye on... I would say there's a sort of window of opportunity for something drastic to happen in the next few weeks before, you know, the campaign in the U.S., the presidential campaign in the U.S.
[00:51:45.777 --> 00:51:47.478]  starts in Iowa and then in New Hampshire.
[00:51:47.758 --> 00:51:52.700]  So things could happen between Christmas and New Year that we don't know about, of course.
[00:51:53.681 --> 00:51:53.901]  Yeah.
[00:51:54.661 --> 00:51:57.543]  Well, we'll keep watching and we appreciate you joining us, of course.
[00:51:58.837 --> 00:51:59.297]  Thank you.
[00:51:59.338 --> 00:52:00.018]  My pleasure.
[00:52:00.058 --> 00:52:00.719]  Thanks very much.
[00:52:01.760 --> 00:52:04.543]  And that's it tonight for the InfoWars Nightly News.
[00:52:04.563 --> 00:52:08.647]  Of course, a lot of news to keep an eye on and continue observing.
[00:52:09.007 --> 00:52:10.068]  We'll be back next week.
[00:52:10.288 --> 00:52:10.749]  Stay tuned.
