[00:00:09.346 --> 00:00:14.970]  We are back on the continuing 24 plus hour broadcast for the InfoWars Money Bomb.
[00:56:41.876 --> 00:56:43.738]  Dallas is the headquarters for
[00:56:44.158 --> 00:56:44.518]  I don't know.
[00:57:04.311 --> 00:57:07.792]  Uh, the latest and greatest, uh, depression going on here.
[00:57:07.812 --> 00:57:16.473]  Uh, and we know the Great Depression of the 1930s, uh, was also, uh, instigated by the Federal Reserve and its related powers.
[00:57:16.493 --> 00:57:29.996]  Uh, among other things, they concentrated the money supply and really put the squeeze on, uh, a little plan they had to gear us into the collectivist models they had, uh, not only in the U.S., but throughout Europe and the rest of the world.
[00:57:31.255 --> 00:57:41.683]  Yeah, we were just watching a video, Ed Occupy Dallas, that went over the Fed really well.
[00:57:41.703 --> 00:57:45.946]  It was the addendum to the series.
[00:57:46.386 --> 00:57:48.548]  Either way, basically you're correct.
[00:57:48.588 --> 00:57:53.111]  In 1913, these crooks took advantage and took control of the financial
[00:57:53.131 --> 00:57:53.491]  I don't
[00:58:09.592 --> 00:58:20.302]  Um, but you know, here's the great thing, is that there's good in all things, there's negative in all things as well, and you can have fun in the face of tyranny here in 2011.
[00:58:20.882 --> 00:58:24.605]  You can go out to the Federal Reserve Bank any day and I would encourage you to.
[00:58:26.787 --> 00:58:38.310]  A time like Saturday where we're going to have a lot of people coming out, especially in your local city if there is a Federal Reserve Bank, surely there's going to be people coming out enjoying Guy Fawkes Saturday.
[00:58:38.930 --> 00:58:45.552]  And even if you're a little intimidated and you don't really know all about this, you know, if you're compelled to go, go.
[00:58:46.012 --> 00:58:55.255]  You'll meet wonderful people, you'll make relationships that'll last a lifetime with like-minded people, and you'll be able to disseminate information and that's what it's all about.
[00:58:56.633 --> 00:59:11.083]  Rick, what have you continued to see with the larger Occupy movement, not only there in Dallas, but what is the significance, you know, what is it two months later or at least several, several weeks later of this movement as it continues on one front or another?
[00:59:11.523 --> 00:59:13.364]  What is its overall significance?
[00:59:13.625 --> 00:59:19.769]  And the question I really think that goes with that, though, is do they have a global financial solution waiting?
[00:59:20.569 --> 00:59:24.612]  We know for years there's been talk of the dollar losing its reserve status.
[00:59:25.473 --> 00:59:30.316]  Do Soros and company have a sort of new global standard waiting in the wings?
[00:59:30.396 --> 00:59:32.738]  Is that what their Bretton Woods 2 meeting was all about?
[00:59:33.438 --> 00:59:35.840]  What do you think about some of those topics?
[00:59:36.698 --> 00:59:42.863]  Well, obviously they have a global financial standard that they have in waiting that they're going to force everybody into.
[00:59:42.923 --> 00:59:51.350]  That's obviously the, you know, the answer to this global crisis as a global currency and surely backed with
[00:59:53.332 --> 01:00:00.398]  You know, more global governance, more security on our behalf, more invasion into our privacy.
[01:00:00.839 --> 01:00:10.808]  It doesn't seem like that would be possible, but that's obviously their plan, is they want more control, and they'll get that through this new global currency if they have their way.
[01:00:11.428 --> 01:00:15.110]  Now back to the Occupy Dallas though, or the Occupy movement.
[01:00:16.010 --> 01:00:18.011]  You know, it's really interesting.
[01:00:18.031 --> 01:00:24.614]  I would like to first and foremost encourage people just to think, you know, chill for a little bit and think about what's going on.
[01:00:25.434 --> 01:00:31.057]  Any movement that has ever existed has had all kinds of sides to it.
[01:00:32.317 --> 01:00:37.900]  One of the issues that we have at Occupy Dallas right now, I do media, and I believe in independent media.
[01:00:38.180 --> 01:00:50.332]  Well, they have a need to have a lot of their media censored, if you will, or go through the Occupy Dallas group so that it reflects upon Occupy Dallas.
[01:00:50.852 --> 01:00:53.355]  I think that's great for that part of the
[01:00:53.895 --> 01:01:07.462]  Media outlet but Independent media people are gonna be the ones that will really tell the real story of what happens at Occupy Dallas So that's my goal right now.
[01:01:07.562 --> 01:01:22.350]  My heart is on teaching people how to use their cell phones to make videos and Instantaneously up those videos to YouTube and have instant news reporting on the ground at Occupy Dallas
[01:01:23.635 --> 01:01:25.217]  I've said it before and I'll say it again.
[01:01:25.297 --> 01:01:32.524]  Now is the time, whether it's using this electronic media to broadcast almost instantly or just getting out there.
[01:01:32.544 --> 01:01:37.089]  This is the time in history where if we're gonna make a difference, we're gonna make it now.
[01:01:37.809 --> 01:01:40.632]  And that's why we're doing this InfoWars Money Bomb to try to grow.
[01:01:40.993 --> 01:01:46.879]  That's why we're telling people to get out on the streets and reach people while everyone's focused on these issues.
[01:01:47.539 --> 01:01:50.101]  But they always have a global solution for everything.
[01:01:50.502 --> 01:01:54.205]  At the same time though, we've seen everything that's looming in Europe.
[01:01:55.005 --> 01:01:58.968]  Greece has at least floated the idea of reprinting the Drakma.
[01:01:59.409 --> 01:02:04.433]  I know Germany has rumored to have the Deutsche Mark ready to go.
[01:02:04.953 --> 01:02:08.235]  In the case of euro collapse, why is it always a global solution?
[01:02:08.855 --> 01:02:10.537]  I've heard about countries like Argentina.
[01:02:10.557 --> 01:02:11.457]  It's late at night.
[01:02:11.557 --> 01:02:12.798]  I don't know if I mixed the facts.
[01:02:13.218 --> 01:02:15.500]  But they returned to their currency.
[01:02:15.880 --> 01:02:17.020]  It was devalued.
[01:02:17.040 --> 01:02:17.901]  It wasn't worth much.
[01:02:18.681 --> 01:02:19.682]  Their economy crashed.
[01:02:19.742 --> 01:02:22.084]  But they also recovered in just about a year.
[01:02:22.584 --> 01:02:24.065]  And then they were stronger than ever.
[01:02:24.125 --> 01:02:29.508]  Why is it always a greater global solution we're pushed into when obviously there could be other solutions?
[01:02:29.568 --> 01:02:34.111]  I'm not saying returning to the drachma where the Deutsche Mark is best for the world.
[01:02:34.591 --> 01:02:37.472]  But, uh, it's time to look at these things, I think.
[01:02:38.272 --> 01:02:41.694]  Well, Aaron, it's about control is what it's about ultimately.
[01:02:42.294 --> 01:02:45.995]  And the easiest thing in life is self-provision.
[01:02:46.355 --> 01:03:00.581]  The reason why providing for yourself is so easy is because it's actually ordered into nature, or ordered into the universe, just like air, oxygen that we breathe, or water that we drink.
[01:03:01.281 --> 01:03:05.145]  Um, food also is ordered into nature in the same type of way.
[01:03:05.646 --> 01:03:17.237]  And what these people, the way that you, you know, when you really understand how great the evils that they're capable of, it's when you figure out that, you know, they really killed our food.
[01:03:17.717 --> 01:03:18.658]  They killed our food.
[01:03:18.718 --> 01:03:23.504]  We should have or we could have pomegranates growing in our cities.
[01:03:23.584 --> 01:03:25.406]  We could have pomegranate trees.
[01:03:25.766 --> 01:03:27.508]  We have pecan trees growing.
[01:03:27.788 --> 01:03:34.176]  There's no reason why we shouldn't have readily access to food just like you do oxygen and water.
[01:03:35.031 --> 01:03:40.073]  Yeah but instead they have weaponized it just as Kissinger talked about in the 70s in a different context.
[01:03:40.413 --> 01:03:47.316]  They've weaponized the food through the GMOs and all the additives and little little bonus chemicals they put in our water and our air supply.
[01:03:47.757 --> 01:03:50.178]  It's true what you said yeah we should have a right to food and
[01:03:51.178 --> 01:03:59.741]  It really should be a natural part of our lives, but instead, they've sold us on the dehumanization and got us to accept the tyranny on our own right.
[01:03:59.781 --> 01:04:06.784]  You know, we just played the video, brain-eating vaccines, and in it there's some clips from THX 1138, George Lucas's film.
[01:04:07.244 --> 01:04:10.505]  And that's about a new world order system and a future technocracy.
[01:04:10.925 --> 01:04:15.327]  And really the whole metaphor is, yes, there's a ruling class, but you never see them in the film.
[01:04:15.707 --> 01:04:16.627]  They're off screen.
[01:04:16.947 --> 01:04:18.288]  What really happened was the people
[01:04:19.497 --> 01:04:22.539]  Enslaved themselves the people built up the system.
[01:04:22.579 --> 01:04:39.890]  They built the robots that Regulate them and they bought into this drugging themselves to suppress their own humanity In the film the characters start to change When they stop taking the drugs and they return to their normal sexual behavior and their normal thoughts and and that's what really becomes revolutionary Rick
[01:04:41.058 --> 01:04:48.665]  Well, it's hard to say, Aaron, if that would, you know, that obviously exists in human nature, that type of tension.
[01:04:49.026 --> 01:04:55.412]  If there's good and bad in everything, or positive and negative in everything, then there's this tension between the two.
[01:04:55.952 --> 01:04:56.493]  And so, um...
[01:04:57.914 --> 01:05:23.183]  I believe that these social engineers, or the people who designed this multiple-pronged deceptive program, they obviously recognize that to some extent, that there was this nature within us where we just would not want to accept the truth, or we just would not be interested enough in truth and reality to want to, you know,
[01:05:23.823 --> 01:05:28.607]  Not only not fight for it, but just to kind of go along and even give up your rights.
[01:05:29.267 --> 01:05:30.328]  And here's a good example.
[01:05:30.388 --> 01:05:32.490]  As a prime example, bring up Occupy Dallas.
[01:05:33.030 --> 01:05:36.293]  I keep bringing up Occupy Dallas because, folks, I've been sleeping over there.
[01:05:36.333 --> 01:05:38.074]  My tent's been up there for a week now.
[01:05:38.454 --> 01:05:41.357]  And so I've got a real good handle on what's going on there.
[01:05:41.977 --> 01:05:50.704]  And in that microcosm, you have everything that you have in the real world, just kind of in a smaller little microcosm.
[01:05:51.144 --> 01:05:53.626]  So you have people there that I
[01:05:53.906 --> 01:05:59.189]  You know, they just want to give up their rights for the greater good of the whole cause.
[01:05:59.970 --> 01:06:03.412]  And then there's this other group of people, and it's about 50-50 now.
[01:06:03.772 --> 01:06:13.038]  There's this other group of people that are First Amendmenters, meaning that we know that the First Amendment recognizes our existing right just to be.
[01:06:13.478 --> 01:06:18.941]  And sometimes just being is enough because we are powerful, wonderful creatures.
[01:06:19.361 --> 01:06:20.642]  And that's what they're against.
[01:06:20.702 --> 01:06:23.304]  They're against this system that's been designed
[01:06:23.864 --> 01:06:28.148]  The banking system, the financial system, the food, the medicine, the war, the drugs.
[01:06:28.648 --> 01:06:35.874]  All of it's designed to come against that natural design of you just being.
[01:06:36.094 --> 01:06:40.698]  And just being is enough because when you're being, you're assimilating truth.
[01:06:41.059 --> 01:06:44.441]  You're in that context of assimilating truth.
[01:06:44.802 --> 01:06:46.543]  Truth does something magical.
[01:06:46.763 --> 01:06:49.806]  Truth inspires us and encourages us.
[01:06:50.206 --> 01:06:52.868]  Which, another word for those, are strengthens us.
[01:06:53.249 --> 01:07:00.775]  So there really is a strengthening process in just hanging out, having good conversations about truth and reality.
[01:07:01.276 --> 01:07:12.125]  And so, that's the way that I see the program that they've designed, this deception program or this brainwashing program, is that it's really all designed to keep you down.
[01:07:12.965 --> 01:07:18.090]  And that's the evidence that they recognize that you're actually a very powerful person.
[01:07:18.510 --> 01:07:19.511]  Oh, I couldn't agree more.
[01:07:19.711 --> 01:07:20.812]  That's really what it's all about.
[01:07:20.832 --> 01:07:24.376]  They're trying to limit our consciousness because we're capable of so much.
[01:07:24.416 --> 01:07:27.879]  And of course, if things were left to ourselves, it would never be perfect.
[01:07:27.899 --> 01:07:33.245]  But we can figure out in our communities and amongst ourselves individually how to take care of ourselves.
[01:07:34.126 --> 01:07:35.587]  God has provided so much.
[01:07:35.687 --> 01:07:38.750]  Nature has provided so much that we can rely on.
[01:07:39.111 --> 01:07:41.353]  They've built up this whole false system of
[01:07:41.533 --> 01:07:41.973]  We're good.
[01:07:58.968 --> 01:07:59.388]  We're good to go.
[01:08:19.480 --> 01:08:20.321]  I don't know.
[01:08:34.537 --> 01:08:34.817]  I don't
[01:08:50.951 --> 01:08:51.552]  We don't give up.
[01:08:51.592 --> 01:08:53.634]  We have someone like Ron Paul run third party.
[01:08:53.654 --> 01:08:58.679]  We have people like Jesse Ventura talking about just simply operating outside of the left-right system.
[01:08:58.699 --> 01:09:02.123]  We have people standing up to the TSA and all the rest of it.
[01:09:02.163 --> 01:09:04.686]  I think it's a general Occupy spirit we need.
[01:09:05.227 --> 01:09:09.091]  I guess Gandhi put it into words, so did people like Henry David Thoreau, Rick Worden.
[01:09:10.538 --> 01:09:11.918]  Yes, thank you for the setup.
[01:09:13.279 --> 01:09:17.199]  If I can speak directly to your listeners about the Occupy Movement.
[01:09:17.319 --> 01:09:20.760]  InfoWAR listeners, by and large, are going to be First Amendment people.
[01:09:20.780 --> 01:09:22.160]  They're going to be lovers of liberty.
[01:09:22.860 --> 01:09:29.382]  And there is a place for your voice to be heard within the Occupy Movement.
[01:09:29.862 --> 01:09:35.803]  It's like any other thing, though, I wouldn't encourage you to expect to go down there, spend 15
[01:09:38.424 --> 01:09:42.887]  There are people that have been down there for days and weeks and going on a month now.
[01:09:43.287 --> 01:09:45.108]  So you have to invest some time.
[01:09:45.148 --> 01:09:47.229]  You have to be patient with the process.
[01:09:47.609 --> 01:09:53.212]  But I'll promise you, there is a place for your voice within the Occupy Movement.
[01:09:53.593 --> 01:09:54.493]  That's number one.
[01:09:54.953 --> 01:10:05.019]  Number two is that I would really appreciate, personally, your voice and your support along with me and other lovers of liberty within the Occupy Movement.
[01:10:05.499 --> 01:10:07.200]  And let me tell you why I'm saying this.
[01:10:08.120 --> 01:10:27.067]  What I'm experiencing on a daily basis is people that agree with me, agree with First Amendment issues, agree with just lovers of liberty, that ending the Fed or auditing the Fed is really at the top of our goal right now in our country.
[01:10:27.368 --> 01:10:28.128]  And these kind of things.
[01:10:28.188 --> 01:10:32.690]  People that are like-minded, they'll go down and they'll get frustrated with the process and leave.
[01:10:33.850 --> 01:10:35.110]  And I encourage them.
[01:10:35.130 --> 01:10:42.192]  I'm like, well, don't you understand you're taking all your wonderful ideas and your passion and you're leaving.
[01:10:42.252 --> 01:10:43.953]  You're not helping by leaving.
[01:10:43.973 --> 01:10:47.673]  Or maybe they are if they're pissed off and not having a good time.
[01:10:48.074 --> 01:10:53.395]  But my point is that there is a place for your voice within the Occupy movement.
[01:10:53.695 --> 01:10:59.536]  You might have to be a little patient, but if you have time and you're compelled to do so, please come on down.
[01:11:00.137 --> 01:11:01.677]  Let me give you another example, Aaron.
[01:11:02.538 --> 01:11:06.903]  The Hare Krishnas have made a name for themselves feeding a lot of the Occupy camps.
[01:11:07.443 --> 01:11:07.904]  It's true.
[01:11:08.104 --> 01:11:10.046]  They have some of the best, healthiest food.
[01:11:10.086 --> 01:11:12.589]  They come to the camp every day and they feed us.
[01:11:13.070 --> 01:11:13.550]  And you know what?
[01:11:13.610 --> 01:11:19.257]  Last Sunday, just out of appreciation, probably about 40 people from Occupy Dallas
[01:11:19.677 --> 01:11:24.201]  We attended the Hare Krishna service over here in Dallas on Sunday.
[01:11:24.762 --> 01:11:26.823]  Many of us dressed up in our Halloween garb.
[01:11:26.903 --> 01:11:30.787]  I was a zombie because we did a show on Saturday night where I dressed as a zombie.
[01:11:31.227 --> 01:11:37.813]  So I was dressed as a zombie, dancing in their ceremony and doing some Michael Jackson thriller type stuff, you know?
[01:11:38.193 --> 01:11:39.194]  And we had a great time.
[01:11:39.555 --> 01:11:42.877]  So my point is, is that, I mean, my goodness, if you got a bus,
[01:11:43.698 --> 01:11:45.119]  Go down there and pick up some people.
[01:11:45.159 --> 01:11:46.680]  Take them over to the Federal Reserve.
[01:11:47.781 --> 01:11:49.803]  You know, go love on some people.
[01:11:49.843 --> 01:11:52.405]  I promise you there's a place for your voice to be heard.
[01:11:52.485 --> 01:11:56.108]  There's a place for your actions to actually have an impact.
[01:11:57.864 --> 01:12:08.870]  Yeah, on the other side of that, I want to encourage people not only to go down to these places physically, but to move your energy, your assets, your aspirations into the right areas.
[01:12:08.890 --> 01:12:11.151]  There's another sense of the occupy term.
[01:12:11.871 --> 01:12:14.673]  I use it because it's been so well coined and it makes a lot of sense.
[01:12:15.093 --> 01:12:23.858]  Why occupy your spare energy into these dying systems, into these systems that by participating in them, you participate in your own slavery.
[01:12:24.278 --> 01:12:32.163]  You've seen people moving their money out of banks, out of these globalist banks into smaller credit unions and so forth.
[01:12:32.223 --> 01:12:33.244]  That makes a lot of sense.
[01:12:33.304 --> 01:12:35.766]  But do it in all areas of your life.
[01:12:36.466 --> 01:12:37.707]  You can't do it all at once.
[01:12:38.107 --> 01:12:39.388]  None of us need to be hypocrites.
[01:12:39.408 --> 01:12:41.630]  We all participate in some things that are negative.
[01:12:42.230 --> 01:12:52.114]  We need to try to move what energy and resources and finances we can into the things we believe in, and that goes along with the concept of voting with your dollars.
[01:12:52.494 --> 01:12:58.136]  You want to try to fund independent businesses that you believe in, and that goes for InfoWars too.
[01:12:58.576 --> 01:13:01.657]  If you believe in the mission we've had, please help us financially.
[01:13:01.777 --> 01:13:02.958]  Please help us spread the word.
[01:13:03.278 --> 01:13:11.461]  Please go out there physically, as Rick is doing, and speak truth to power, but also speak truth to passersby who are completely ignorant.
[01:13:11.981 --> 01:13:26.055]  And we really need to, in whatever ways we can, try to occupy the avenues that can help us grow into better areas and evacuate the systems that only contribute to our overall death and enslavement.
[01:13:26.495 --> 01:13:32.521]  And that's part of what we're trying to do here at InfoWars with the Money Bomb mission and with our ongoing mission throughout the years.
[01:13:33.001 --> 01:13:34.242]  You've seen the growth we've had.
[01:13:34.302 --> 01:13:35.042]  We can do more.
[01:13:35.102 --> 01:13:35.803]  Please help us.
[01:13:35.843 --> 01:13:37.744]  Thanks to everyone who has donated.
[01:13:38.384 --> 01:13:47.148]  If you haven't, please check out Infowarsmoneybomb.com and it's not too late to share that link with friends, family, strangers, and so forth.
[01:13:47.729 --> 01:13:51.751]  Rick, your closing comments and then we have Paul Joseph Watson coming up in just a few minutes.
[01:13:52.471 --> 01:13:53.392]  Other guests as well.
[01:13:53.412 --> 01:14:01.316]  Alex will be back in just a few hours and we have the exclusive video for Charlotte Isserby on Skull & Bones also coming up later.
[01:14:01.816 --> 01:14:03.097]  Rick Warden, your closing comments.
[01:14:03.998 --> 01:14:08.522]  First off, thank you very much Aaron, Rob, Alex Jones.
[01:14:09.483 --> 01:14:11.785]  I don't know where I would be without Alex Jones.
[01:14:12.186 --> 01:14:14.848]  I've been listening to Alex Jones for 15 years.
[01:14:14.868 --> 01:14:17.010]  I've been following Ron Paul for 15 years.
[01:14:17.751 --> 01:14:20.874]  And I want to say the last Money Bomb, what was it?
[01:14:20.954 --> 01:14:21.695]  Or the first one?
[01:14:22.055 --> 01:14:23.436]  This is only the second one.
[01:14:23.957 --> 01:14:26.139]  And so the first one was five years ago or something?
[01:14:27.523 --> 01:14:30.107]  Well, I think it was, uh, three years ago.
[01:14:30.127 --> 01:14:31.188]  It's real late at night.
[01:14:31.228 --> 01:14:31.569]  I don't know.
[01:14:33.891 --> 01:14:35.652]  Well, InfoWars really turned the corner.
[01:14:35.693 --> 01:14:44.740]  That was a great money bomb and just overall with all the special speakers, it just, I don't know, Alex's spirit just came alive and he's just been wonderful ever since.
[01:14:44.780 --> 01:14:47.983]  So, thank you everybody contributing to this money bomb.
[01:14:48.263 --> 01:14:52.206]  Thank you to my friends who have called me and said, yeah, I donated to Alex today.
[01:14:52.306 --> 01:14:54.148]  So, y'all are all awesome.
[01:14:54.808 --> 01:14:56.069]  Alex needs your support.
[01:14:56.129 --> 01:14:57.450]  He is by far the
[01:14:58.431 --> 01:14:59.592]  We're good to go.
[01:15:16.138 --> 01:15:22.564]  I want to encourage your listeners, please everybody go over to the Facebook page which is Occupy the Fed Dallas.
[01:15:23.325 --> 01:15:27.448]  What is nearest and truest to my heart right now is empowering you.
[01:15:27.909 --> 01:15:32.593]  You have a cell phone, a smartphone, it has a video camera on it.
[01:15:33.033 --> 01:15:34.353]  You can make a video.
[01:15:34.594 --> 01:15:36.394]  It has to be under two minutes or so.
[01:15:36.834 --> 01:15:39.355]  Load that video directly to YouTube.
[01:15:39.735 --> 01:15:41.275]  So you can go anywhere you want.
[01:15:41.315 --> 01:15:46.997]  You can go to the Federal Reserve Bank tomorrow and just make a video out there just speaking your mind.
[01:15:47.477 --> 01:15:49.098]  You don't have to have anyone with you.
[01:15:49.498 --> 01:15:54.439]  Or you can go on Saturday when there's 500 people there and make your own video.
[01:15:54.599 --> 01:15:56.640]  Become a news reporter.
[01:15:57.240 --> 01:16:02.842]  If you're so compelled to that's what I'm finding is that a lot of people are telling me how do you do what you do?
[01:16:03.302 --> 01:16:17.927]  The truth is I have what five six hundred videos online right now the majority of them five hundred of them were shot on my cell phone and so it's that simple folks to go to the Facebook page that is
[01:16:17.927 --> 01:16:18.548]  Thank you.
[01:16:35.795 --> 01:16:43.119]  Well thanks Rick, and of course you make a good point that the technology they've built to enslave us in some cases is poisonous.
[01:16:43.439 --> 01:16:48.121]  We know cell phones have contributed to tumors and also affect fertility and so forth.
[01:16:48.421 --> 01:16:52.383]  We can also use those exact kind of tools, the Facebook tools that are meant to track us.
[01:16:53.204 --> 01:16:57.666]  We can use those against the system as well to get the word out while those platforms are there.
[01:16:58.346 --> 01:17:04.051]  I know in just a minute we're going to go to another video and then coming up after that is Paul Joseph Watson.
[01:17:04.412 --> 01:17:07.654]  But really, this is an information warfare.
[01:17:08.315 --> 01:17:11.998]  This is information war in a time of information revolution.
[01:17:12.038 --> 01:17:13.199]  I can't stress that enough.
[01:17:13.279 --> 01:17:14.440]  Please look at history.
[01:17:14.781 --> 01:17:18.104]  Look at how we've never had this kind of access to information before.
[01:17:18.644 --> 01:17:20.466]  What are we going to do with that information?
[01:17:20.506 --> 01:17:23.248]  The power we have now, what direction are we going to take it?
[01:17:23.569 --> 01:17:25.490]  That's really what this fight is all about.
[01:17:25.891 --> 01:17:43.886]  We here at InfoWars have made our decision and we just want you to help us build that platform and send that metaphoric rocket out into space and spread that information as far and wide as we can to try to take hold, to try to occupy that available information stratosphere.
[01:17:44.867 --> 01:17:51.302]  Bit by bit and try to take back some liberty for all the tyranny that they've tried to advance.
[01:17:51.382 --> 01:17:53.086]  Do we have that video ready now guys?
[01:17:56.025 --> 01:17:58.166]  I'm told we do have that video so we're gonna go now.
[01:17:58.226 --> 01:18:00.146]  It's been an honor to sit in on the Money Bomb.
[01:18:00.166 --> 01:18:06.268]  We thank you everyone who's donated financially or to spread their word or even just stayed up to watch us.
[01:18:06.328 --> 01:18:14.071]  I know so many people just from watching the Money Bomb knowing that it's kind of a milestone event have gotten the spark to take action themselves.
[01:18:14.091 --> 01:18:15.411]  Some of our staff have told me
[01:18:16.111 --> 01:18:27.735]  They began to take action and now they work here and incidentally after watching the money bomb Maybe not even thinking they were part of the fight other people I've talked to as well Watching that later taking action themselves.
[01:18:27.775 --> 01:18:29.315]  Don't forget this moment in time.
[01:18:29.735 --> 01:18:34.877]  It's so important and critical in history It's been an honor to speak to you here on this platform.
[01:18:34.937 --> 01:18:40.499]  Please help us spread the word and archive this broadcast Everything you know what's going on.
[01:18:40.999 --> 01:18:42.259]  So let other people know too.
[01:18:42.619 --> 01:18:44.120]  Let's go to that video now stay tuned
[01:18:53.530 --> 01:19:00.516]  Well then, Tim, you guys have been doing a lot of managing around here, and I've decided to change our policies here at InfoWars.
[01:19:01.838 --> 01:19:07.763]  From now on, we are not going to allow any of the crew to bring their own lunches.
[01:19:08.363 --> 01:19:14.509]  Everyone will now buy their lunch in the break room cafeteria.
[01:19:15.390 --> 01:19:18.513]  And we will decide, I will decide what people eat now.
[01:19:19.683 --> 01:19:26.187]  For a long time, I thought that liberty and freedom was good, but now I realize that liberty and freedom is the freedom to not think.
[01:19:27.007 --> 01:19:33.431]  And I notice the Chicago School District has announced at many of their schools that parents are not allowed to pack the school lunches for their children.
[01:19:34.397 --> 01:19:37.958]  I noticed Mayor Bloomberg in New York wants to ban French fries and salt and things.
[01:19:37.978 --> 01:19:40.919]  They're talking about huge fines if people don't.
[01:19:40.979 --> 01:19:41.739]  And I think that's great.
[01:19:41.759 --> 01:19:48.540]  I hope Texas passes a law where I can have staff around here arrested if I see any French fries or if you bring your own food.
[01:19:48.661 --> 01:19:50.121]  In fact, we are owned by the state.
[01:19:50.161 --> 01:19:51.901]  That's what Land of the Free, Home of the Brave is all about.
[01:19:52.461 --> 01:19:55.822]  And I'm going to pick a food program to follow the government's idea.
[01:19:56.202 --> 01:19:59.923]  Only corn syrup, aspartame, MSG, and fluoride water.
[01:20:00.403 --> 01:20:00.683]  Okay?
[01:20:01.344 --> 01:20:02.344]  Will, you got any comments on that?
[01:20:04.775 --> 01:20:06.916]  So no food from home, huh?
[01:20:07.317 --> 01:20:10.359]  Straight from here, buy it from the work lounge, huh?
[01:20:10.719 --> 01:20:13.661]  Are you gonna provide us with details of the food safe for us?
[01:20:13.861 --> 01:20:17.343]  Listen, questioning is not what you do in America.
[01:20:18.284 --> 01:20:19.104]  Are you an extremist?
[01:20:20.765 --> 01:20:21.365]  Watch it, buddy.
[01:20:22.866 --> 01:20:23.267]  Watch it!
[01:20:24.708 --> 01:20:27.329]  Talk like that's what lets Al Qaeda hit us and hit us hard, okay?
[01:20:27.349 --> 01:20:32.112]  By the way, we're gonna overcharge about three times what the food's worth.
[01:20:32.512 --> 01:20:32.993]  You understand?
[01:20:34.656 --> 01:20:35.857]  Let me get the price list up.
[01:20:37.258 --> 01:20:38.839]  We're hitting with the new America!
[01:20:39.139 --> 01:20:40.400]  I was wrong all these years!
[01:20:42.221 --> 01:20:46.644]  I want you to go ahead and order a biometric scanner like they got at most of these lunch counters in public schools.
[01:20:47.404 --> 01:20:50.206]  People are going to biometrically scan to make sure you're buying your lunch here.
[01:20:50.326 --> 01:20:51.907]  Because that's also part of the job.
[01:20:52.728 --> 01:21:01.914]  And because terrorists could strike at any time, especially in this facility, I want to buy one of those body scanners and I want to start having a security guard stick their hand down everybody's pants that comes to work here.
[01:21:02.334 --> 01:21:03.235]  That's going to make it safer.
[01:21:05.031 --> 01:21:07.092]  Are you thinking bad things about that?
[01:21:07.332 --> 01:21:14.296]  No, no, I'm just, I'm just wondering, you know, it might just take more time away from getting work done, you know, if we gotta go through scanners every morning or something like that.
[01:21:14.316 --> 01:21:15.597]  Weldon, I want you to be safe.
[01:21:16.037 --> 01:21:18.078]  You can't be trusted bringing your own food to work.
[01:21:18.718 --> 01:21:22.360]  Man, I can't believe I'm just trying to be a patriot and trying to make sure you're safe and you're acting like that.
[01:21:23.081 --> 01:21:24.341]  What about you, Tim?
[01:21:24.361 --> 01:21:25.882]  I mean, are you with Weldon?
[01:21:26.342 --> 01:21:27.083]  Are you an extremist?
[01:21:28.328 --> 01:21:29.609]  No, I'll go along with it.
[01:21:30.229 --> 01:21:33.951]  I think it... I think I can understand where you're coming from, I guess.
[01:21:34.591 --> 01:21:35.751]  I think it's kind of extremist.
[01:21:35.991 --> 01:21:38.573]  I mean, you know, kind of delusional in a way.
[01:21:38.593 --> 01:21:40.333]  I mean, we gotta protect everybody.
[01:21:40.353 --> 01:21:43.755]  I mean, they come to work, they expect to work and be protected while they're at work.
[01:21:45.076 --> 01:21:47.216]  Just thought it might, uh, but yeah.
[01:21:47.857 --> 01:21:49.157]  Wait a minute, you just looked me in the eyes.
[01:21:49.177 --> 01:21:53.819]  The TSA manual says if you look a federal commander in the eyes, that's a sign of aggression.
[01:21:53.839 --> 01:21:57.001]  Quilton, just admit that you have got a sickness.
[01:21:58.749 --> 01:22:01.672]  You're a sickness that you would want to be able to bring your own lunch.
[01:22:02.373 --> 01:22:04.435]  Or be able to pack it for your own children for school.
[01:22:04.755 --> 01:22:05.275]  What type?
[01:22:05.656 --> 01:22:06.997]  What is wrong with you, man?
[01:22:07.257 --> 01:22:08.679]  Does a prisoner get to choose what they eat?
[01:22:10.300 --> 01:22:11.041]  See there, Weldon?
[01:22:12.182 --> 01:22:14.945]  Weldon, you've got to learn 2 plus 2 doesn't necessarily equal 4.
[01:22:14.985 --> 01:22:16.006]  It equals whatever I say.
[01:22:16.206 --> 01:22:17.828]  Now, are you supporting the new freedom?
[01:22:19.259 --> 01:22:20.119]  I'm with it, I understand.
[01:22:20.439 --> 01:22:24.943]  Just, uh, we'll get the word around and, uh, just need to feel safe, you know?
[01:22:25.283 --> 01:22:27.225]  I'm really glad that you came to your senses.
[01:22:27.505 --> 01:22:28.686]  Uh, now, whose crackers are these?
[01:22:29.807 --> 01:22:33.290]  Uh, they were mine, uh... You got five minutes to get them out of the building.
[01:22:33.310 --> 01:22:34.551]  I don't ever want to see this again.
[01:22:34.571 --> 01:22:35.772]  Get them out of here!
