[00:00:23.413 --> 00:00:30.157]  Welcome ladies and gentlemen to this Friday, October 14, 2011 edition of the InfoWars Nightly News.
[00:28:29.244 --> 00:28:38.531]  To a couple of the commissioners that were up there that actually ended up understanding what the issue was.
[00:28:40.572 --> 00:28:41.693]  And they brought it up.
[00:28:44.335 --> 00:28:55.043]  And by them bringing it up, right, of course it invited the ones that were for fluoride into it, which was the ADA.
[00:28:56.377 --> 00:29:00.859]  But the ADA has no credible evidence that this even works.
[00:29:01.099 --> 00:29:06.121]  Tony Cosso of PinellasPatriots.org, we thank you for your action and the victory you had.
[00:29:06.181 --> 00:29:10.803]  We want other people to take action wherever they are, because they too will start to have victories.
[00:29:11.184 --> 00:29:15.585]  Tony Cosso of PinellasPatriots.org, thank you for your fight.
[00:29:15.645 --> 00:29:16.526]  You had a victory.
[00:29:16.546 --> 00:29:19.767]  Now others who take... Ugh, let's just do that again.
[00:29:22.909 --> 00:29:23.529]  Yeah, okay.
[00:29:24.966 --> 00:29:31.008]  Tony Cosso of PinellasPatriots.org, you had a victory against the council.
[00:29:31.308 --> 00:29:34.229]  Thank you for your fight and we ask others to fight out there.
[00:29:34.250 --> 00:29:42.893]  We're going to be back from break in just a moment with Laura Presley, Ph.D., more on the fluoride battle where we are beginning to have many victories across the country.
[00:29:42.953 --> 00:29:44.873]  Stay tuned, InfoWars Nightly News.
[00:29:48.922 --> 00:29:55.344]  If you believe in this information and want to support its viral spread, go to the InfoWars store at InfoWars.com.
[00:29:55.644 --> 00:29:56.525]  We've got the new G.I.
[00:29:56.565 --> 00:29:58.505]  Joe InfoWars t-shirts.
[00:29:58.865 --> 00:30:04.988]  We've got the incredible ProPure gravity-fed filters available at InfoWars.com in the store.
[00:30:05.548 --> 00:30:09.909]  We've got a new DVD, Sinus Under Attack, the Don't Tread on Me flag.
[00:30:10.609 --> 00:30:14.551]  We've got all sorts of different bumper stickers to help spread the rebellion virally.
[00:30:15.231 --> 00:30:15.852]  It's all there.
[00:30:15.872 --> 00:30:18.715]  Wristbands, citizen rule books, in every order.
[00:30:19.176 --> 00:30:21.899]  Order online at InfoWars.com today.
[00:30:22.159 --> 00:30:25.163]  The water filters, the canteens, it's all there.
[00:30:25.583 --> 00:30:26.825]  InfoWars.com
[00:30:33.424 --> 00:30:38.208]  We are back from break and I just want to remind you that we rely on subscriber support.
[00:30:38.268 --> 00:30:42.812]  Please consider supporting the InfoWars Nightly News at PrisonPlanet.tv.
[00:30:43.192 --> 00:30:52.620]  Now we just spoke with Tony Casso who got the fluoride removed from Pinellas County and of course one of the main selling points was the budget cost that it
[00:30:53.260 --> 00:30:54.020]  Yeah, we're good to go.
[00:30:54.040 --> 00:30:54.460]  We're good to go.
[00:30:54.480 --> 00:30:54.901]  We're good to go.
[00:30:54.941 --> 00:30:55.841]  We're good to go.
[00:30:55.861 --> 00:30:56.421]  We're good to go.
[00:30:56.461 --> 00:30:57.361]  We're good to go.
[00:30:57.381 --> 00:30:57.801]  We're good to go.
[00:30:57.881 --> 00:30:58.582]  We're good to go.
[00:30:58.642 --> 00:30:59.622]  We're good to go.
[00:30:59.642 --> 00:31:00.302]  We're good to go.
[00:31:00.342 --> 00:31:01.042]  We're good to go.
[00:31:01.062 --> 00:31:01.483]  We're good to go.
[00:31:01.503 --> 00:31:01.983]  We're good to go.
[00:31:02.003 --> 00:31:02.423]  We're good to go.
[00:31:02.443 --> 00:31:02.943]  We're good to go.
[00:31:02.963 --> 00:31:03.483]  We're good to go.
[00:31:03.503 --> 00:31:04.563]  We're good to go.
[00:31:04.584 --> 00:31:05.324]  We're good to go.
[00:31:05.344 --> 00:31:06.024]  We're good to go.
[00:31:06.044 --> 00:31:06.504]  We're good to go.
[00:31:06.524 --> 00:31:06.884]  We're good to go.
[00:31:06.904 --> 00:31:07.504]  We're good to go.
[00:31:07.524 --> 00:31:07.925]  We're good to go.
[00:31:07.945 --> 00:31:08.425]  We're good to go.
[00:31:08.445 --> 00:31:08.905]  We're good to go.
[00:31:08.925 --> 00:31:09.525]  We're good to go.
[00:31:09.545 --> 00:31:10.965]  We're good to go.
[00:31:10.985 --> 00:31:11.486]  We're good to go.
[00:31:11.506 --> 00:31:11.866]  We're good to go.
[00:31:11.886 --> 00:31:12.306]  We're good to go.
[00:31:12.326 --> 00:31:12.846]  We're good to go.
[00:31:12.886 --> 00:31:13.406]  We're good to go.
[00:31:13.446 --> 00:31:14.046]  We're good to go.
[00:31:14.066 --> 00:31:14.647]  We're good to go.
[00:31:14.687 --> 00:31:15.307]  We're good to go.
[00:31:15.327 --> 00:31:16.727]  We're good to go.
[00:31:16.747 --> 00:31:17.247]  We're good to go.
[00:31:24.315 --> 00:31:35.359]  Yeah, so New Zealand is a place that Dr. Paul Conant, which you guys have had multiple times here on InfoWars, he works directly with them and I'm sure he is incredibly happy about this news.
[00:31:35.679 --> 00:31:36.580]  We're all happy about it.
[00:31:37.580 --> 00:31:43.982]  Yeah, the trend really is turning and there's been a number of political groups have come forward too who are now against fluoride.
[00:31:44.122 --> 00:31:45.423]  Let's talk about some of those groups.
[00:31:45.711 --> 00:31:50.938]  Yes, one of the biggest ones is LULAC, the League of United Latin American Citizens.
[00:31:50.998 --> 00:31:57.306]  And this is a national organization and a national resolution that they passed.
[00:31:58.067 --> 00:32:02.253]  And what's phenomenal about this is they called a spade a spade and they said,
[00:32:03.194 --> 00:32:08.196]  Fluoridation is mass medication and they do not approve of this.
[00:32:08.856 --> 00:32:20.001]  And they actually demanded to know why cities want to protect the policy of fluoridation over and above protecting the health of their citizens.
[00:32:20.635 --> 00:32:21.996]  Of their counties and their cities.
[00:32:22.496 --> 00:32:26.058]  And so they were very blunt and did not mince words.
[00:32:26.358 --> 00:32:29.759]  And it was a very strong resolution against fluoridation.
[00:32:30.000 --> 00:32:35.282]  The American Dental Association has come out and put a lot of pressure on LULAC.
[00:32:35.562 --> 00:32:38.704]  And initially they took off the resolution from their website.
[00:32:38.724 --> 00:32:39.564]  It was about a week.
[00:32:40.104 --> 00:32:44.927]  While a lot of discussions were being had with the American Dental Association and LULAC leadership.
[00:32:45.527 --> 00:32:54.855]  And so the resolution is back up now, and they said we are not going to rescind this resolution, even under the incredible pressure the American Dental Association put on them.
[00:32:55.176 --> 00:32:56.176]  Yeah, that's very positive.
[00:32:56.397 --> 00:32:56.737]  It was.
[00:32:56.777 --> 00:32:57.498]  We were very happy.
[00:32:57.718 --> 00:33:05.805]  Minority organizations, there's so many people concentrated in cities, and it costs a lot of money to get out from under the whole paradigm of water fluoridation.
[00:33:05.845 --> 00:33:10.249]  You have to research and then spend a lot of money to extract yourself from that.
[00:33:10.933 --> 00:33:25.565]  Yes, and the CDC in 2002 came out with a study and documented that African Americans and Hispanics actually are affected by fluoridation, by fluorosis, 2 to 3x higher than Caucasians.
[00:33:25.745 --> 00:33:28.687]  So that is one of the reasons LULAC made this step.
[00:33:28.847 --> 00:33:34.872]  They know that their people are being affected disproportionately on the negative side.
[00:33:35.452 --> 00:33:39.375]  And they did reference that in the resolution and we are very
[00:33:40.276 --> 00:33:41.419]  Just very proud of them.
[00:33:41.599 --> 00:33:49.957]  We've also had political people such as Ralph Nader on the left and Ron Paul on the GOP side of things also speaking out against fluoride.
[00:33:50.162 --> 00:33:52.584]  Absolutely, Dr. Ron Paul and Ralph Nader.
[00:33:52.944 --> 00:33:58.508]  And then also, in Atlanta, there's been a lot of pressure in Georgia.
[00:33:59.609 --> 00:34:13.839]  Martin Luther King's family, his sister Bernice and other members of his family, and Andrew Young, who was the mayor of Atlanta, have come out against fluoridation, again, because it affects African Americans disproportionately on the negative side.
[00:34:14.500 --> 00:34:17.182]  And we're very impressed and proud.
[00:34:19.444 --> 00:34:23.227]  Yeah, those are all positive signs.
[00:34:23.267 --> 00:34:27.731]  Of course, we know so much about all the negative effects that are associated with fluoride.
[00:34:28.672 --> 00:34:31.975]  There's been lawsuits about the fluoridation, the fluorosis rather.
[00:34:33.256 --> 00:34:38.821]  But the real reason we have you here is to talk about some of the steps of how to fight it in your area, wherever that area might be.
[00:34:38.841 --> 00:34:40.683]  So let's cover some of that.
[00:34:44.980 --> 00:34:49.941]  The way we've approached it with Fluoride Free Austin, initially we approached it with the scientific data.
[00:34:50.482 --> 00:34:53.962]  You have to have the science behind you whenever you want to make a change.
[00:34:55.743 --> 00:35:02.685]  And so we presented to our city council about the dental mechanism that fluoride really just works topically on the teeth.
[00:35:03.445 --> 00:35:05.967]  And then also the negative health effects of dental fluorosis.
[00:35:06.007 --> 00:35:08.169]  That's 40% in teenagers right now.
[00:35:08.229 --> 00:35:14.653]  Hypothyroidism, bone disease in children, ADHD and ADD increases, and IQ reductions in children.
[00:35:15.514 --> 00:35:28.704]  And basically, the bottom line is, because there's no dose control for this chemical, there's no dose control for age, weight, size, and sensitivity, you have all of those effects that I just mentioned above.
[00:35:29.184 --> 00:35:29.804]  We're good to go.
[00:35:53.092 --> 00:35:53.512]  All right.
[00:36:13.880 --> 00:36:24.459]  Support when doctors and scientists and dentists, you know, come and say this is an incredible health danger to people.
[00:36:25.393 --> 00:36:27.094]  So that's where we are in Austin right now.
[00:36:27.134 --> 00:36:30.255]  We are looking at the political pressure on the council.
[00:36:30.795 --> 00:36:36.937]  And then the last thing that some cities have done, last resort, is a lawsuit.
[00:36:37.357 --> 00:36:43.379]  And of course that's on the table for anybody that, any county or city that wants to pursue that.
[00:36:43.779 --> 00:36:48.141]  There are a lot of legal, I guess, claims that are made and that are valid.
[00:36:49.201 --> 00:36:52.522]  This fluoride is not a drug by the FDA.
[00:36:53.123 --> 00:36:53.403]  It is
[00:36:54.758 --> 00:36:56.098]  There's no informed consent.
[00:36:57.319 --> 00:37:02.721]  And it's deceptive trade practice because it's not considered a drug.
[00:37:03.281 --> 00:37:05.382]  So those are the legal approaches that have happened.
[00:37:05.682 --> 00:37:17.426]  And the last thing that we want to do in Austin, and I would recommend this, and Dr. Conant also says this as he gives us advice, that a public referendum is one of the
[00:37:18.326 --> 00:37:30.452]  Last things are the thing you do not want to do because what happens is the American Dental Association comes out and puts a lot of money into misinformation and disinformation about fluoride and fluoridation.
[00:37:31.112 --> 00:37:34.273]  And so it really overwhelms any kind of grassroots effort.
[00:37:34.293 --> 00:37:37.275]  You know, it's very difficult for citizens to raise, you know.
[00:37:39.347 --> 00:37:43.191]  $50,000, $100,000 in a public ad campaign that the ADA can come in and do automatically.
[00:37:43.211 --> 00:37:45.373]  So that's the last thing we want to do.
[00:37:45.394 --> 00:37:50.078]  And of course, that's one of the major barriers to lawsuits too, because there's no other reason to wait on lawsuits.
[00:37:50.138 --> 00:37:51.300]  It affects everyone.
[00:37:51.380 --> 00:37:51.760]  That's right.
[00:37:51.820 --> 00:37:52.581]  Mass medication.
[00:37:52.641 --> 00:37:56.325]  Can we talk about some of the high-profile lawsuits that have been going on?
[00:37:56.365 --> 00:37:59.408]  You mentioned Florida, I'm sorry, Maryland and California.
[00:37:59.648 --> 00:38:02.310]  Yes, the Florida lawsuit is a personal injury lawsuit.
[00:38:02.390 --> 00:38:12.476]  There's a woman who is suing the state, I'm not sure what city she's in, suing for her daughter who has severe fluorosis.
[00:38:12.737 --> 00:38:23.904]  And apparently when the child was very young, she just gave her 90% of her diet was fluoridated water because she was trusting what the government was telling her, what the CDC was telling her, what dentists were telling her.
[00:38:25.404 --> 00:38:28.145]  And so the daughter now has severe fluorosis.
[00:38:28.165 --> 00:38:34.666]  She's a teenager and it will cost about $100,000 to repair all the damage of her teeth and they cannot bear that burden.
[00:38:34.986 --> 00:38:37.327]  So she is suing the state of Maryland.
[00:38:38.167 --> 00:38:42.168]  The second lawsuit is a really big one and one that we are watching very carefully.
[00:38:42.208 --> 00:38:47.749]  It's in Southern California, the Southern California Water District that services Los Angeles, Beverly Hills, San Diego.
[00:38:48.630 --> 00:38:54.895]  And they are suing, as we just talked about, for deceptive trade practice because this fluoride is not a drug.
[00:38:55.316 --> 00:38:59.219]  It's being claimed it's a drug used to prevent a dental disease.
[00:38:59.239 --> 00:39:01.041]  It's being used as a drug even though it's not.
[00:39:01.781 --> 00:39:05.905]  And there's no informed consent and they're really claiming unconstitutional
[00:39:07.106 --> 00:39:07.666]  Yeah, of course.
[00:39:07.726 --> 00:39:12.669]  It strikes right at the nerve of life, liberty, and pursuit of happiness.
[00:39:12.769 --> 00:39:13.029]  Absolutely.
[00:39:13.049 --> 00:39:13.509]  It's right up there.
[00:39:13.529 --> 00:39:16.591]  So here locally, there's a big meeting coming up this Tuesday.
[00:39:16.611 --> 00:39:17.211]  That's October 18th, correct?
[00:39:32.421 --> 00:39:35.505]  Yes, October 18th, Tuesday at 3 o'clock p.m.
[00:39:35.525 --> 00:39:44.057]  there's Austin City Council Public Health and Human Services subcommittee meeting and we want people to be there at 2.30 to sign up to speak.
[00:39:44.177 --> 00:39:48.764]  Fluoride Free Austin has a number of people, doctors, dentists, acupuncturists,
[00:39:49.945 --> 00:40:05.252]  As scientists and chiropractors and citizens, mothers, families that are going to be speaking and to try to influence and push hard the Public Health and Human Services Committee to put a warning on our water bill about fluoridation.
[00:40:06.493 --> 00:40:07.593]  And we have specific wording.
[00:40:07.633 --> 00:40:11.875]  The wording that we've chosen is very what I would call middle-of-the-ground wording.
[00:40:15.185 --> 00:40:29.099]  It's actually language directly from the CDC, language directly from the material safety data sheet of the supplier of the chemical that Austin uses, and direct wording from Austin City Council's own website about fluoride.
[00:40:29.600 --> 00:40:31.262]  So we are not making anything up.
[00:40:31.362 --> 00:40:35.126]  This is very middle ground, basic warning that we want on the water bill.
[00:40:35.589 --> 00:40:48.333]  Yeah, of course it's important for individuals to get informed and educate others about all these dangers, but there's been so many government agencies who've had to admit those dangers and still we have stuff like cities that won't remove it.
[00:40:48.373 --> 00:40:50.493]  We have here an interesting piece of propaganda.
[00:40:50.933 --> 00:40:52.234]  Everyone needs fluoride.
[00:40:53.734 --> 00:41:00.136]  Yes, and there is almost zero fluoride in mother's milk, so I guess babies are not included in this.
[00:41:01.363 --> 00:41:04.978]  Why are so many of these dental groups so committed to the fluoride issue?
[00:41:05.039 --> 00:41:05.661]  What's behind that?
[00:41:06.274 --> 00:41:08.835]  You know, that's a very good question, and it's a hard question.
[00:41:08.875 --> 00:41:10.216]  There's a lot of theories.
[00:41:10.516 --> 00:41:17.040]  You know, Dr. Conant says that fluoridation is kind of one of the holy grails of the CDC.
[00:41:17.680 --> 00:41:23.743]  If they back off of fluoridation, they will lose a lot of credibility and lose a lot of face with the public.
[00:41:24.484 --> 00:41:28.766]  And, you know, what's next on the agenda for being critical of?
[00:41:28.846 --> 00:41:30.847]  It's vaccinations for the CDC.
[00:41:30.887 --> 00:41:35.350]  So I think, and this is Dr. Conant's theory, I think it makes a lot of sense that
[00:41:36.030 --> 00:41:44.615]  They're protecting fluoridation, ultimately trying to protect their credibility and the policy of vaccination.
[00:41:44.895 --> 00:41:47.516]  That's one of the theories that's out there.
[00:41:47.536 --> 00:41:49.337]  That's amazing.
[00:41:49.818 --> 00:41:50.678]  It's horrible.
[00:41:51.599 --> 00:41:56.281]  Also, I think there's so much new information, new scientific information that's come out in the last 10 years.
[00:41:56.741 --> 00:42:00.944]  These dentists need to go look at the information and get educated.
[00:42:02.425 --> 00:42:13.555]  There was one of our Fluoride Free Austin members, she was at a party with Mayor Lee Leffingwell of Austin, and he says, oh, you know, I want to keep fluoride in our water.
[00:42:13.595 --> 00:42:15.056]  My dentist says it's okay.
[00:42:15.336 --> 00:42:17.879]  And her comment to him was, your dentist needs to be educated.
[00:42:18.459 --> 00:42:18.980]  Yeah.
[00:42:19.020 --> 00:42:20.122]  Okay, and that's the truth.
[00:42:20.222 --> 00:42:33.321]  These dentists who do not understand the chemistry of fluoride, who don't understand and have not looked at the recent information and data that's out there in peer-reviewed journals, they need to get up to speed and start communicating to their patients what the truth is.
[00:42:33.820 --> 00:42:47.257]  Yeah, so of course we want to look at the strategies that worked and again we just spoke with Tony Cosso from Pinellas County in Florida and again the way he finally sold City Council on removing Floridide was the budgetary issue.
[00:42:47.297 --> 00:42:51.222]  How much do they spend here in Austin and what's kind of the average cost for major cities?
[00:42:51.892 --> 00:42:57.378]  Yeah, so Austin depends on the population because it's a volume kind of extrapolation.
[00:42:57.758 --> 00:42:59.219]  Austin spends $500,000 to $800,000 a year on fluoride for 700,000 people.
[00:42:59.239 --> 00:43:01.442]  So maybe it's a dollar per person, something like that.
[00:43:01.462 --> 00:43:03.584]  It's probably less than that, but I think College Station also.
[00:43:11.852 --> 00:43:12.392]  I think so.
[00:43:32.578 --> 00:43:34.221]  And said, oh, there's too many health issues.
[00:43:34.401 --> 00:43:36.584]  Let's continue this and keep it out.
[00:43:36.624 --> 00:43:36.824]  Yeah.
[00:43:36.964 --> 00:43:40.289]  But of course, when they're cutting budgets, they're cutting jobs, people's benefits.
[00:43:40.329 --> 00:43:42.332]  We don't need fluoride to be a sacred cow.
[00:43:42.752 --> 00:43:44.114]  All they have to do is turn off the tap.
[00:43:44.254 --> 00:43:44.695]  That's right.
[00:43:44.715 --> 00:43:45.256]  Yeah.
[00:43:45.376 --> 00:43:45.796]  That's right.
[00:43:46.117 --> 00:43:46.517]  Yeah.
[00:43:46.537 --> 00:43:48.981]  So tell us about your website and thanks for joining us.
[00:43:49.121 --> 00:43:51.582]  Sure, fluoridefreeaustin.com.
[00:43:52.143 --> 00:44:02.548]  And there's a lot of information on there that other cities or counties that want information on the health benefits of removing fluoride.
[00:44:03.369 --> 00:44:05.150]  And we've got a lot of information there.
[00:44:05.410 --> 00:44:10.893]  Dr. Paul Conant's book, The Case Against Fluoride, is a phenomenal resource.
[00:44:11.914 --> 00:44:17.837]  So our website, fluoridefreeaustin.com and Dr. Conant's book will prepare anybody to tackle their city council.
[00:44:18.663 --> 00:44:18.903]  Great.
[00:44:19.184 --> 00:44:20.645]  Yeah, thanks so much for joining us.
[00:44:20.665 --> 00:44:21.145]  Thanks for having us.
[00:44:21.406 --> 00:44:22.827]  And everyone get active out there.
[00:44:22.867 --> 00:44:24.989]  That's it for the InfoWars Nightly News.
[00:44:25.490 --> 00:44:29.233]  Again, we rely on your subscriber support, so please help us out.
[00:44:29.594 --> 00:44:34.398]  Please help us to grow this broadcast and educate people on so many different issues.
[00:44:34.799 --> 00:44:36.340]  We'll be back next Monday.
[00:44:37.381 --> 00:44:37.721]  Thank you.
[00:44:37.841 --> 00:44:38.122]  Good night.
