[00:00:10.478 --> 00:00:14.460]  Today in the studio we talked to Stuart Rose, the founder of Oath Keepers.
[00:25:00.259 --> 00:25:00.479]  Sure.
[00:25:00.499 --> 00:25:02.260]  I want to go over that, but I interrupted you.
[00:25:02.521 --> 00:25:04.862]  You said, hey, some people said no at Katrina.
[00:25:05.102 --> 00:25:05.543]  That's right.
[00:25:05.583 --> 00:25:07.064]  We had a video.
[00:25:07.084 --> 00:25:12.307]  Sheriff Mack and I were doing a tour through Utah, and we stumbled on this one sergeant.
[00:25:12.847 --> 00:25:16.170]  His name is Joshua May of the Utah National Guard.
[00:25:16.450 --> 00:25:23.995]  And we did an interview with him, and he talked about in his unit from the Utah National Guard, when they were deployed to Katrina, he and his entire unit
[00:25:24.474 --> 00:25:27.676]  refused to comply with any orders to confiscate firearms.
[00:25:27.876 --> 00:25:34.799]  They went to the commander ahead of time, in a preemptive refusal, and said, if you give us these orders, we refuse, we will refuse to obey them.
[00:25:35.300 --> 00:25:37.541]  And then the commander said, well, hold on, let me ask Big Army.
[00:25:37.841 --> 00:25:44.524]  So he said the word up to the Big Army that they wouldn't do this, and the word came back, well, tell them don't worry, we won't ask them to do that.
[00:25:44.544 --> 00:25:45.725]  So Big Army blinked.
[00:25:46.185 --> 00:25:47.246]  And why did that happen?
[00:25:47.506 --> 00:25:51.808]  Because Sergeant May was that one guy who was an outspoken constitutionalist.
[00:25:52.188 --> 00:25:56.990]  And so when the time came for that critical decision, the officers in his unit came to him.
[00:25:57.010 --> 00:26:03.792]  And even though they were lieutenants and captains, they came to the sergeant and said, sergeant, will you please go talk to the commander?
[00:26:04.232 --> 00:26:06.473]  So he was the one who went over and talked to the commander.
[00:26:06.693 --> 00:26:09.494]  So one man in the right place made a critical difference.
[00:26:09.834 --> 00:26:12.675]  So our goal is to... Well, one man who's in the right is a majority.
[00:26:13.268 --> 00:26:13.568]  That's right.
[00:26:13.608 --> 00:26:15.870]  He has a moral force far outweighing his numbers.
[00:26:16.291 --> 00:26:24.938]  And so there's an example where, because he did convince the others in his unit to go along, he did what, unfortunately, Michael knew was not able to do.
[00:26:25.258 --> 00:26:28.181]  An entire unit stood down and they did not court-martial him.
[00:26:28.641 --> 00:26:30.202]  They didn't say anything about it.
[00:26:30.322 --> 00:26:30.722]  Amazing.
[00:26:31.383 --> 00:26:35.565]  Stuart, I want to get your guests in here in a few minutes before we run out of time, and we could talk forever.
[00:26:35.585 --> 00:26:38.106]  That's why I'm always honored to have you on the radio show.
[00:26:38.146 --> 00:26:42.609]  The website is OathKeepers.org, also OperationsSleepingGiant.com.
[00:26:43.229 --> 00:26:46.250]  Speak more about the orders you will not follow, other points you want to make.
[00:26:46.270 --> 00:26:52.714]  I'm going to try to give you the floor, even though this is so intriguing and I've got a lot of questions, and then we can get emailed questions later.
[00:26:52.754 --> 00:26:54.495]  The next time you're back live on the radio, we can
[00:26:54.855 --> 00:26:56.316]  You know, take those other questions then.
[00:26:56.816 --> 00:26:59.157]  But then tell us more about operationsleepinggiant.com.
[00:27:07.858 --> 00:27:10.000]  You know, and eat chips and watch Dancing with the Stars.
[00:27:10.460 --> 00:27:16.305]  Us veterans especially, but all Americans, have a duty to stand up and to restore the republic from the bottom up.
[00:27:16.625 --> 00:27:20.869]  All the institutions the founders intended us to use to be sovereign citizens.
[00:27:21.089 --> 00:27:24.712]  We must restore our state militias, even down at the county level.
[00:27:24.912 --> 00:27:28.535]  We must constitute sheriff posses to back our sheriff up.
[00:27:28.795 --> 00:27:30.116]  An economic collapse is coming.
[00:27:30.357 --> 00:27:34.220]  The veterans in this country have got to wake up and take personal responsibility
[00:27:34.520 --> 00:27:43.226]  We're keeping their oath to defend the Constitution, and the way they do that is by strengthening themselves, their communities, and their states to get ready for the coming storm.
[00:27:43.266 --> 00:27:56.174]  And why that's so important is that when the storm comes, when the collapse comes, if we're strong in our states and our communities, if we're independent and self-sufficient, then there's no pretext to send in federal troops.
[00:27:56.534 --> 00:28:00.917]  If we're strong and independent, then the federal troops will go look and say, wait a minute, Mr. President,
[00:28:01.769 --> 00:28:02.570]  They don't need us.
[00:28:02.970 --> 00:28:04.951]  They don't need us and they don't want us in their state.
[00:28:05.111 --> 00:28:06.773]  And their governor is telling us to stay out.
[00:28:06.793 --> 00:28:07.093]  That's right.
[00:28:07.113 --> 00:28:10.775]  The globalists are counting on us being domesticated in organized chaos.
[00:28:11.136 --> 00:28:16.019]  And for those that don't know, you're not just making this statement here that the collapse is coming.
[00:28:16.379 --> 00:28:18.521]  We have the IMF World Bank documents from 2002.
[00:28:18.941 --> 00:28:20.642]  We've seen what they've done over and over again.
[00:28:20.922 --> 00:28:23.844]  We know their stated goal from Maury Strong to the UN to...
[00:28:24.785 --> 00:28:25.685]  The entire White House.
[00:28:25.705 --> 00:28:27.586]  They want a post-industrial world.
[00:28:28.906 --> 00:28:33.507]  It's the Wall Street crowd that's not free market, waging war against independence.
[00:28:33.547 --> 00:28:35.248]  They want a vertical integration.
[00:28:35.288 --> 00:28:36.308]  They want to consolidate.
[00:28:36.828 --> 00:28:47.271]  Explain to people how important this collapse that we're already in is, because the system is planning to use it as their pretext to totally take over.
[00:28:47.731 --> 00:28:59.473]  Well, they're letting us know right now, the IMF chairman has already told us they're going to replace the dollar as the world reserve currency and use the special drawing rights as the interim currency on the way to an official global currency.
[00:28:59.753 --> 00:29:01.774]  So they're telling us what they're going to do.
[00:29:02.154 --> 00:29:15.656]  And so, it's as though we're on the Titanic, it's already hit the iceberg, they've steered us into the iceberg, and they're going to sink the ship, which is our fiat system that we're riding on right now, and then we're floundering around in the water, they're going to show up
[00:29:15.956 --> 00:29:18.999]  With the UNN Leviathan.
[00:29:19.039 --> 00:29:21.421]  And they're going to say, oh, come aboard this.
[00:29:21.481 --> 00:29:22.502]  This is your salvation.
[00:29:22.742 --> 00:29:25.144]  The next step is a world Federal Reserve.
[00:29:25.164 --> 00:29:27.026]  And they're telling us that's our only salvation.
[00:29:27.346 --> 00:29:32.270]  Well, the answer is to get back to the USS Constitution, which is still seaworthy.
[00:29:32.631 --> 00:29:34.752]  Old Ironsides is still right there.
[00:29:35.073 --> 00:29:36.154]  Let's get back to that.
[00:29:36.454 --> 00:29:39.597]  Fix the sails, patch any holes, and sail at home.
[00:29:40.137 --> 00:29:40.898]  That's the answer.
[00:29:41.158 --> 00:29:42.459]  Get back to the Constitution.
[00:29:42.839 --> 00:29:44.440]  And that means sound money in our pockets.
[00:29:44.740 --> 00:29:47.462]  That means sound money in our states, like Utah just did.
[00:29:47.482 --> 00:29:52.026]  That means revitalizing the military power of the people in our state militias.
[00:29:52.306 --> 00:29:58.350]  And that means making sure we're squared away with alternate communications, so when they use the internet kill switch, it won't matter.
[00:29:58.370 --> 00:30:01.052]  Because we'll have our alternate systems set up.
[00:30:01.392 --> 00:30:20.005]  And that means becoming strong in our states, having strong sheriffs who will do what Sheriff Maxman urged for years and stand up, and strong legislatures that will say, no, we will stand in front of you, as Michael Bolton is going to talk about here pretty soon, we will stand in front of you as a shield under the Constitution and enforce the Constitution.
[00:30:20.345 --> 00:30:30.952]  If we don't preserve our state's sovereignty and our national sovereignty right now, if we don't stand on the principles of the founding fathers, if we are weak and allow ourselves to be suckered in,
[00:30:31.252 --> 00:30:35.434]  to this next stage of a world federal reserve, then liberty will die worldwide.
[00:30:36.535 --> 00:30:37.796]  Very well said, Stuart Rhodes.
[00:30:37.836 --> 00:30:38.716]  Anything else you want to add?
[00:30:38.776 --> 00:30:52.223]  Well, a key provision here that dovetails very well with the Tenth Amendment Center, and why I'm part of the Nullify Now Tour, is number five, we will not obey orders to invade and subjugate any state that asserts its sovereignty.
[00:30:52.824 --> 00:30:54.705]  Because that is the constitutional solution.
[00:30:55.673 --> 00:30:56.796]  We've got the provisions.
[00:30:58.761 --> 00:31:01.849]  Our founders went through the exact same garbage we're now going through.
[00:31:02.632 --> 00:31:04.853]  And every culture goes through this.
[00:31:04.993 --> 00:31:05.353]  That's right.
[00:31:05.793 --> 00:31:15.035]  I mean, the very same private central banks, even some of the same banking families that we're now fighting today are the people that our ancestors 235 years ago were fighting.
[00:31:15.115 --> 00:31:16.155]  It's incredible.
[00:31:16.795 --> 00:31:18.476]  And they gave us the blueprint for resistance.
[00:31:18.516 --> 00:31:19.416]  They showed us the way.
[00:31:19.896 --> 00:31:22.597]  Everything in our Bill of Rights is the answer.
[00:31:23.137 --> 00:31:23.797]  Speak out!
[00:31:23.957 --> 00:31:24.417]  They knew!
[00:31:24.477 --> 00:31:26.497]  They built this bear trap for the New World Order.
[00:31:27.398 --> 00:31:28.078]  They understood.
[00:31:28.098 --> 00:31:28.958]  They talked about it.
[00:31:30.137 --> 00:31:30.917]  I mean, it's incredible.
[00:31:30.977 --> 00:31:35.979]  The fight is on because other countries and nations have been successful.
[00:31:35.999 --> 00:31:36.739]  They've been wealthy.
[00:31:36.779 --> 00:31:38.960]  Most of them have not been successful because of tyranny.
[00:31:39.500 --> 00:31:44.942]  But they never have had any of the freedoms we've had because of the vision of our forebearers.
[00:31:45.482 --> 00:31:50.124]  And now, these two ideologies of liberty versus tyranny,
[00:31:51.164 --> 00:31:56.268]  The culture of 1984, the boot stomping on the human face forever, is colliding with the spirit of 1776.
[00:31:56.468 --> 00:31:58.510]  It's our turn in the barrel.
[00:31:58.910 --> 00:31:59.391]  It's our turn.
[00:31:59.531 --> 00:32:01.192]  Everybody is at that crossroads, Stuart.
[00:32:01.252 --> 00:32:04.114]  I mean, we're here now, and it's time to choose a side.
[00:32:04.535 --> 00:32:08.678]  I hope everybody out there watching researches this information and realizes you're part of history.
[00:32:08.938 --> 00:32:10.159]  Don't just sit there on the bench.
[00:32:10.840 --> 00:32:11.560]  Now is the time.
[00:32:11.600 --> 00:32:15.243]  I mean, I'll quote Braveheart from the movie Braveheart.
[00:32:15.443 --> 00:32:17.945]  Don't sit there many years from now lying in your beds.
[00:32:18.966 --> 00:32:26.794]  Wishing that you could, you know, come back here and tell our enemies they can take our lives, they'll never take our freedom.
[00:32:27.134 --> 00:32:29.757]  But the secret is, most of you don't have to give up your lives.
[00:32:30.397 --> 00:32:36.403]  You know, people give up their lives to get some oil for the bankers or, you know, to go overthrow some dictator 5,000, 6,000 miles away.
[00:32:36.423 --> 00:32:37.244]  Why not just stand up and
[00:32:41.368 --> 00:32:49.394]  Be in the spotlight, then go to your city council, go to your legislature, go speak to your police chief, and continue to mainline the idea of liberty.
[00:32:49.694 --> 00:32:54.437]  Because we've got the winning ideas, we've got history on our side, we're the good guys.
[00:32:55.038 --> 00:33:00.682]  And as long as we stand up and are bold, and don't hide our light under a bushel, we can't be beaten.
[00:33:01.462 --> 00:33:04.685]  The tyrants are trying to intimidate us right now because they're scared, Stuart.
[00:33:05.145 --> 00:33:05.545]  That's right.
[00:33:05.665 --> 00:33:07.747]  And they're trying to make us fear for our own safety.
[00:33:07.967 --> 00:33:09.388]  But the answer to fear is love.
[00:33:10.031 --> 00:33:14.213]  And the strongest power we have is love for our children and our grandchildren.
[00:33:14.434 --> 00:33:21.698]  And as Thomas Paine said, if there is going to be trouble, let it come in my day, so my child will have peace and freedom.
[00:33:22.218 --> 00:33:25.080]  So that's our answer, is stand up and do it for your kids.
[00:33:25.100 --> 00:33:29.322]  A woman whose children are being attacked by a bear, she has no fear.
[00:33:29.843 --> 00:33:31.464]  She'll throw her life away for her children.
[00:33:32.024 --> 00:33:33.365]  That's the spirit we've got to have.
[00:33:34.045 --> 00:33:37.913]  You're defending your children and your children's children.
[00:33:38.274 --> 00:33:42.903]  So if you stand on that kind of posture, fear won't bother you at all.
[00:33:43.364 --> 00:33:44.186]  That's what courage is.
[00:33:44.487 --> 00:33:44.988]  Absolutely.
[00:33:47.401 --> 00:34:00.428]  We're joined now by Michael Bolden and he heads up the Tenth Amendment Center dot com and Stuart's traveling around the country with Mr. Bolden and a lot of other great lovers of liberty as part of the Nullifying Now Tour.
[00:34:00.888 --> 00:34:02.829]  And Michael Bolden, good to have you here in studio with us.
[00:34:02.849 --> 00:34:03.709]  Glad to be here, Alex.
[00:34:04.050 --> 00:34:05.330]  We've only got about ten minutes.
[00:34:05.911 --> 00:34:07.231]  We could probably talk for ten hours.
[00:34:07.291 --> 00:34:16.056]  I want to try to give you the floor and then any final comments by Stuart concerning nullification and how it is one of the main keys to restoring our republic
[00:34:16.736 --> 00:34:21.579]  Because the federal government has obviously been usurped by foreign corporate globalist interest.
[00:34:21.839 --> 00:34:31.405]  Then we're going to bring in Brandon Smith, who's also part of your great tour, to break down something we can do at the grassroots level to also diminish the power of the private Federal Reserve and the banking cartel.
[00:34:31.625 --> 00:34:32.505]  So you've got the floor.
[00:34:32.565 --> 00:34:34.226]  Tell us about nullification.
[00:34:34.246 --> 00:34:35.287]  It's getting demonized.
[00:34:35.347 --> 00:34:43.092]  I mean, they're saying that this is more evil than kryptonite, that this stuff basically is Satan itself.
[00:34:43.172 --> 00:34:45.073]  But when I read the Bill of Rights Constitution,
[00:34:45.453 --> 00:34:47.334]  Declaration of Independence, that's all I hear about.
[00:34:47.574 --> 00:34:50.715]  So I guess they're saying our American system is what's so devilish.
[00:34:51.035 --> 00:34:51.575]  Well, you know what?
[00:34:51.615 --> 00:34:54.436]  The peace president bombs countries around the world.
[00:34:55.076 --> 00:34:56.577]  The drug war rages on.
[00:34:56.657 --> 00:34:58.037]  The Patriot Act exists.
[00:34:58.958 --> 00:35:01.739]  Bailouts, mandates, regulations.
[00:35:01.919 --> 00:35:03.239]  They never seem to end.
[00:35:03.499 --> 00:35:06.460]  The Fed prints and prints and prints and prints.
[00:35:07.221 --> 00:35:09.461]  And we have an essential question that we need to answer.
[00:35:09.502 --> 00:35:12.022]  And Thomas Jefferson answered this question back in 1798 as well.
[00:35:13.823 --> 00:35:23.689]  When government does not follow the rules given to it, and for us that's the Constitution, so there's certain rules, certain things that the federal government is authorized to do, what do you do about it?
[00:35:24.249 --> 00:35:25.930]  Do you march on Washington, D.C.
[00:35:25.990 --> 00:35:28.171]  on a date like September 12th?
[00:35:28.552 --> 00:35:31.513]  And do you beg federal politicians to limit their own power?
[00:35:32.374 --> 00:35:37.457]  Do you go to federal courts and do you ask federal judges, oh, limit the federal government's power?
[00:35:38.626 --> 00:35:43.290]  Do you vote the bums out in the hopes that the new bums are going to say, you know, all this power that you've given us, we don't want it.
[00:35:43.490 --> 00:35:44.471]  You know, have it back.
[00:35:45.131 --> 00:35:59.923]  Well, Thomas Jefferson and James Madison both warned us that if the federal government ever became the sole and exclusive arbiter of the extent of its own powers, that power would always grow, whether we had elections or protests or separations of power or any other vaunted part of the American system.
[00:36:00.423 --> 00:36:05.127]  So, in 1798, in response to what was known as the Alien and Sedition Acts, Thomas Jefferson wrote,
[00:36:05.467 --> 00:36:06.388]  We're good to go.
[00:36:29.426 --> 00:36:42.279]  Nullification, which is the idea of doing anything with our states on a state legislature or even jury nullification to render a particular federal law null and void or unenforceable in a state, that's our duty.
[00:36:42.359 --> 00:36:44.200]  We're supposed to do that as it happens.
[00:36:44.220 --> 00:36:47.423]  We're not supposed to wait two or four years for an election for new bums to come in.
[00:36:47.444 --> 00:36:48.745]  We're not supposed to wait six years.
[00:36:49.265 --> 00:36:49.605]  I think so.
[00:37:05.734 --> 00:37:05.954]  I think.
[00:37:24.625 --> 00:37:26.326]  People who support the 10th Amendment Center.
[00:37:26.726 --> 00:37:28.667]  People who are standing up for nullification.
[00:37:29.227 --> 00:37:30.328]  They're evil, like you said.
[00:37:30.748 --> 00:37:40.353]  We must be interested in owning black people, because somehow, someway, if you want to decentralize, you don't want the central control over every aspect of your life.
[00:37:40.373 --> 00:37:44.735]  But it was states' rights that first really got abolition going and gave it its power.
[00:37:44.935 --> 00:37:46.617]  Yes, well, I'm glad you brought that up.
[00:37:46.657 --> 00:37:51.283]  The reality is, you know, in our government-run schools, everything's been twisted around.
[00:37:51.363 --> 00:37:53.306]  They tell us that... You don't want government-run health care?
[00:37:53.326 --> 00:37:54.367]  You don't like black people?
[00:37:54.607 --> 00:37:56.610]  You're like, what does that have to do with that?
[00:37:56.990 --> 00:38:01.316]  Well, they tell us that the Civil War was about nullification.
[00:38:01.476 --> 00:38:08.659]  Well, the reality is, let's say everything that they say, everything else is right, and that, you know, the South only wanted slaves and nothing else.
[00:38:09.079 --> 00:38:10.740]  Well, what would they have to nullify?
[00:38:10.760 --> 00:38:13.541]  The Constitution at the time allowed slavery.
[00:38:13.661 --> 00:38:14.661]  They weren't nullifying.
[00:38:14.841 --> 00:38:18.543]  In fact, South Carolina's Declaration of Causes for Secession
[00:38:18.903 --> 00:38:24.068]  It's available online, really easy to find, their official document to say why they seceded.
[00:38:24.389 --> 00:38:40.665]  They give a long explanation about the structure of government, and then the number one complaint they had was those darn northern states were trying to nullify the Fugitive Slave Act, which was requiring, or trying to require, northern states to send black people back to the South into slavery.
[00:38:40.905 --> 00:38:44.448]  And by the way, anybody who takes even high school history knows that.
[00:38:44.848 --> 00:38:45.688]  They know Fulwell.
[00:38:45.708 --> 00:38:47.089]  It's just a good throwaway line.
[00:38:47.129 --> 00:38:50.011]  But regardless, this is 150-something years ago.
[00:38:50.412 --> 00:38:55.976]  What people need to understand is the federal government itself is openly a cash machine for the Fortune 100.
[00:38:56.816 --> 00:38:57.036]  Thank you.
[00:39:12.691 --> 00:39:24.618]  The federal government with unfunded mandates is destroying the states and the federal government has gotten involved in everything, in what kids eat in school, in what the road signs look like, in speed limits.
[00:39:25.018 --> 00:39:28.260]  They don't have this business and if somebody reads the
[00:39:29.861 --> 00:39:32.303]  Constitution, Bill of Rights, it's all right there.
[00:39:33.004 --> 00:39:43.173]  And the fact that if you go back to 1913, the same year they gave us the private Federal Reserve and its taxing system of the income tax, they also got an amendment passed to take U.S.
[00:39:43.213 --> 00:39:45.815]  Senators, I think this is key, away from the states.
[00:39:46.235 --> 00:39:50.939]  Previously, the legislature, elected by the people, would then vote and would have a U.S.
[00:39:50.959 --> 00:39:52.260]  Senator that was their creature.
[00:39:53.081 --> 00:39:58.408]  And if they didn't do what the state said, they were removed back to the state because there was a separation of power.
[00:39:58.688 --> 00:40:02.193]  That's how much power the states had in that they controlled the U.S.
[00:40:02.253 --> 00:40:02.593]  Senate.
[00:40:02.973 --> 00:40:06.338]  And you're not getting anything through Congress if you don't control the Senate.
[00:40:06.898 --> 00:40:10.983]  But since then, they've made them creatures of the Federal Reserve.
[00:40:11.624 --> 00:40:12.804]  And that's why they did that.
[00:40:13.265 --> 00:40:19.907]  And so, I would answer Matt Alback, well why then did we ever have senators at the state level sent by the states?
[00:40:20.367 --> 00:40:21.528]  We understand what's happening.
[00:40:21.808 --> 00:40:27.470]  They've taken the power from the states to the federal government, now from the federal government to the globalists, and that's what's happening.
[00:40:27.930 --> 00:40:30.431]  And so thank God for nullification.
[00:40:30.731 --> 00:40:36.913]  We need to have the states stand up for their rightful liberties of the people and cut the head off of the snake.
[00:40:38.353 --> 00:40:39.794]  Pulling the rug out from under him.
[00:40:39.814 --> 00:40:40.614]  That's a reality.
[00:40:40.855 --> 00:40:43.116]  And you know, James Madison was a pretty smart dude.
[00:40:43.376 --> 00:40:45.197]  You know, and in Federalist No.
[00:40:45.217 --> 00:40:52.742]  45, he said the powers given to the federal government are few and defined, and those left with the states are numerous and indefinite.
[00:40:52.882 --> 00:40:58.306]  Those few and defined primarily Article 1, Section 8, and if you look at Clause 3, the Commerce Clause is the one that they twist over and over.
[00:40:58.346 --> 00:40:59.687]  And the people don't like it, they don't like America.
[00:40:59.907 --> 00:41:11.755]  Well, you know, you hate America if you want the freedom to choose the size of your toilet, or what plant you can grow in your backyard and consume, or if you don't want to go overseas and kill millions of brown people for the elites in Washington, D.C.
[00:41:11.915 --> 00:41:13.496]  You hate America and you hate freedom.
[00:41:13.696 --> 00:41:23.222]  Well, the reality is it's really the other way around, and I think more and more people on the grassroots are getting sick and tired of it, and that's why this idea, they don't want us to talk about nullification.
[00:41:23.582 --> 00:41:24.503]  We're doing it anyway.
[00:41:24.523 --> 00:41:25.544]  Well, tell us shortly...
[00:41:26.084 --> 00:41:31.325]  Short and sweet for new listeners or viewers, what is nullification and what's its progress right now?
[00:41:31.565 --> 00:41:49.229]  Nullification is the idea that when the federal government passes a law, which is really no law at all, it's a usurpation of power, when they pass a law that's a violation of the Constitution, it's your duty in your state to do something, whether to pass a particular piece of legislation, to reject, to say it's null and void, it's of no effect, to prevent its enforcement in your state.
[00:41:50.149 --> 00:41:51.689]  And it has a lot of progress right now.
[00:41:51.769 --> 00:41:53.270]  People are really waking up to this idea.
[00:41:53.310 --> 00:41:59.292]  There are 15 states that are defying Congress and the Supreme Court on medical marijuana.
[00:41:59.532 --> 00:42:02.613]  They say that we can't have a plant in our backyard and grow it and consume it.
[00:42:02.873 --> 00:42:04.013]  Well, we're doing it anyways.
[00:42:04.053 --> 00:42:07.514]  There's 25 states that have rejected the Bush-era REAL ID Act.
[00:42:07.854 --> 00:42:11.558]  And, you know, they keep having to, you know, push it off and push it off and push it off.
[00:42:11.578 --> 00:42:13.180]  Hundreds of cities are rejecting the Patriot Act.
[00:42:13.340 --> 00:42:13.680]  Absolutely.
[00:42:13.720 --> 00:42:15.082]  That's the same concept.
[00:42:15.122 --> 00:42:16.723]  We can even go down to a local level.
[00:42:16.984 --> 00:42:25.152]  There's been eight states that have passed a Firearms Freedom Act that say that if you make a gun in your state and you sell it in your state, federal government, get the hell out of here.
[00:42:25.172 --> 00:42:25.773]  You can't do it.
[00:42:28.064 --> 00:42:31.987]  Absolutely, just passed, like Stuart said, just passed in Utah, a sound money bill.
[00:42:32.468 --> 00:42:34.849]  The Tenth Amendment Center also authors legislation.
[00:42:34.889 --> 00:42:43.196]  We have a federal health care nullification act to reject not just Obamacare mandates, but the entire idea that the federal government should be involved in health care at all.
[00:42:43.356 --> 00:42:45.179]  And by the way, I want to ask both of you this.
[00:42:46.280 --> 00:42:48.504]  And viewers out there, how discredited is Obamacare?
[00:42:48.584 --> 00:42:52.730]  Written by the insurance companies to force 35 million people to buy an overpriced product.
[00:42:53.131 --> 00:42:57.958]  Allows the insurance companies to start telling doctors what they can and can't do to reduce their cost.
[00:42:58.539 --> 00:43:04.301]  And now thousands of major companies like McDonald's are given waivers to not have to buy it.
[00:43:04.341 --> 00:43:07.262]  Stewart, I don't have to be a lawyer to know this, but you're a constitutional lawyer.
[00:43:07.642 --> 00:43:09.223]  Is that not true discrimination?
[00:43:09.243 --> 00:43:11.464]  We always think of discrimination black, white, or things like that.
[00:43:11.804 --> 00:43:13.164]  What about economic discrimination?
[00:43:13.404 --> 00:43:20.527]  That if you're a government insider, or you give money to the Democratic Party, or when the Republicans are in power to their party, you get a waiver.
[00:43:20.567 --> 00:43:26.169]  You don't have to buy this insurance, but the hamburger place next to McDonald's that's owned by, you know,
[00:43:27.149 --> 00:43:33.393]  The Rhodes or the Johnsons or the Sanchez's they've got to go and buy the insurance.
[00:43:33.473 --> 00:43:34.374]  I mean, that's incredible
[00:43:34.838 --> 00:43:43.144]  Well it is, but unfortunately the courts have not found things like that to be unconstitutional as corrupt as they may be.
[00:43:43.504 --> 00:43:49.808]  But at least one federal judge did realize that compelling you to go buy insurance is unprecedented.
[00:43:50.048 --> 00:43:55.011]  They're not just saying you can't do something, like law usually does, it's saying you must go do something.
[00:43:55.352 --> 00:44:03.277]  So even a federal judge, as indoctrinated as they are to believe in expanded power of the state, couldn't swallow that.
[00:44:03.437 --> 00:44:04.458]  Well that's like the Soviets!
[00:44:04.998 --> 00:44:11.261]  They would say, you know, every week on these hours you've got to come help dig ditches on top of all your other jobs.
[00:44:11.882 --> 00:44:17.405]  And just like we see now in Chicago, parents can't pack their kids' lunches and they say, you can't be trusted.
[00:44:17.985 --> 00:44:21.067]  So, I mean, we are literally becoming complete vassals.
[00:44:21.407 --> 00:44:21.767]  Right.
[00:44:21.847 --> 00:44:28.291]  Nothing that we don't let you do, you're allowed to do, and all the things we say that you should do, you must do.
[00:44:28.911 --> 00:44:31.432]  So they're flipping on its head the idea of freedom.
[00:44:31.512 --> 00:44:35.034]  But I think they're rushing so hard in this power grab that it's doing the opposite.
[00:44:35.074 --> 00:44:36.514]  It's accelerating an awakening.
[00:44:36.814 --> 00:44:42.857]  So then the control freaks, the statists, push even harder for more control, and then that only accelerates our awakening.
[00:44:42.877 --> 00:44:45.818]  Then they get even more panicked, and more brazen, and more naked.
[00:44:47.459 --> 00:44:48.920]  Finish up with where this movement's going.
[00:44:48.940 --> 00:44:50.780]  You were already breaking it down.
[00:44:50.800 --> 00:44:52.581]  I mean, it's endless.
[00:44:52.621 --> 00:44:54.242]  It's not left versus right.
[00:44:54.522 --> 00:44:56.043]  It's us versus them, as you know.
[00:44:57.483 --> 00:44:59.144]  Of course, they want to keep us in this box.
[00:44:59.404 --> 00:45:07.227]  And while we keep fighting against each other, they keep taking more money and more power for their friends, for the general electric types, for the war profiteers.
[00:45:07.527 --> 00:45:09.828]  But the reality is, is we're trying to reject the TSA.
[00:45:09.848 --> 00:45:11.228]  We're trying to reject the Patriot Act.
[00:45:11.248 --> 00:45:13.629]  We're working on nullifying national health care.
[00:45:13.909 --> 00:45:19.211]  We're working on nullifying the use of our state's guard troops overseas to occupy foreign countries.
[00:45:19.551 --> 00:45:21.992]  And there's bills introduced all over the country to do this.
[00:45:22.232 --> 00:45:24.032]  Some of them are already passing.
[00:45:24.112 --> 00:45:28.734]  We've seen success in issues like marijuana and the REAL ID Act.
[00:45:28.774 --> 00:45:29.954]  And it's a process.
[00:45:29.994 --> 00:45:31.995]  The states are now rediscovering their power.
[00:45:32.175 --> 00:45:33.116]  They're learning about it.
[00:45:33.316 --> 00:45:41.218]  You know, what's happened over the last few years, more and more state reps are contacting us saying, well, what do we do about constitutional tender?
[00:45:41.358 --> 00:45:43.159]  Or we want to grow hemp in Kentucky.
[00:45:43.539 --> 00:45:46.120]  Well, write a bill, or we'll provide you.
[00:45:46.140 --> 00:45:49.321]  We have tons of them at 10thamendmentcenter.com for all kinds of different issues.
[00:45:49.561 --> 00:45:55.844]  We'll provide you a bill to introduce in your state, pass it, say, we're not going to allow federal agents to stop our farmers from growing hemp.
[00:45:56.144 --> 00:45:58.585]  And if they try to, we're going to arrest them and put them in jail.
[00:45:58.885 --> 00:46:00.986]  And that's what we're seeing all across the country.
[00:46:01.006 --> 00:46:02.587]  And we see Texas saying... The TSA.
[00:46:04.076 --> 00:46:05.456]  Well, not just TSA.
[00:46:06.216 --> 00:46:08.737]  They'll start arresting these TSA agents when they molest people.
[00:46:08.997 --> 00:46:12.658]  But Texas is saying, we're going to keep our coal-powered power plants.
[00:46:13.898 --> 00:46:16.939]  Because Obama couldn't even get Congress, much less Commerce Clause.
[00:46:18.399 --> 00:46:24.240]  He couldn't even get Congress to pass a law to do it, so he ordered his executive branch minions, the bureaucrats, to do it.
[00:46:24.520 --> 00:46:25.561]  And Texas is fighting that.
[00:46:25.601 --> 00:46:27.681]  I see it every day in the news.
[00:46:28.081 --> 00:46:29.483]  The fight is on.
[00:46:29.563 --> 00:46:30.343]  It's exciting.
[00:46:31.064 --> 00:46:35.588]  And the bushfires in the minds of men are being lit by people like both of you gentlemen.
[00:46:35.628 --> 00:46:37.090]  Any closing comments on this subject?
[00:46:37.270 --> 00:46:38.491]  Alex, we need your help.
[00:46:38.811 --> 00:46:43.856]  You have been out in the forefront reporting on this state sovereignty and nullification movement.
[00:46:44.076 --> 00:47:02.308]  And we need you to keep pushing it, because every time you talk about it, every time you interview someone like Charles Key, or Randy Brogdon, or Sam Roar, or Matt Shea, or Susan Lin, or all the number of great state reps that you've had on over the last few years, we get so much contact over at 10thamendmentcenter.com saying, we want to know what we can do to support these state legislators.
