[00:00:22.096 --> 00:00:27.679]  Good evening and welcome to this Wednesday, December 7, 2011 edition of the InfoWars Nightly News.
[00:27:56.095 --> 00:28:03.879]  And this is the kind of stuff advances in technology and medicine should be used for, actually helping people instead of trying to enslave everyone.
[00:28:04.279 --> 00:28:05.640]  But is that the trend?
[00:28:06.080 --> 00:28:11.902]  New Zealand has a new food bill to make growing food a government privilege rather than a human right.
[00:28:12.003 --> 00:28:17.145]  More of the deteriorations under the world government-led Codex Alimentarius.
[00:28:17.645 --> 00:28:18.586]  As far as enforcement,
[00:28:19.586 --> 00:28:19.946]  N.Z.
[00:28:20.006 --> 00:28:26.951]  Bill also authorizes private companies to deploy food safety officers that can raid private property without warrant.
[00:28:27.311 --> 00:28:37.157]  Not only will these food safety officers be permitted to draw weapons against those they are pursuing, but they will also be immune from criminal and civil prosecutions for their illegal actions.
[00:28:37.657 --> 00:28:44.542]  And Ethan Huff at Natural News goes on to discuss how they don't want off-the-grid farmers or independent people growing their foods.
[00:28:44.962 --> 00:28:48.224]  Everything, of course, is put in place to streamline Monsanto.
[00:28:48.624 --> 00:28:49.645]  Thank you for joining us.
[00:29:06.502 --> 00:29:08.404]  Monsanto's, GMO's, and a whole lot more.
[00:29:08.824 --> 00:29:13.047]  Now I will throw to Alex's exclusive interview with Art Acevedo.
[00:29:13.147 --> 00:29:15.169]  That is the police chief here in Austin, of course.
[00:29:15.629 --> 00:29:16.830]  Alex has interviewed him before.
[00:29:16.890 --> 00:29:19.472]  You heard him on the show today, but you haven't seen this.
[00:29:19.492 --> 00:29:22.274]  We'll go to it now, and then Alex will close out the show.
[00:29:22.334 --> 00:29:22.795]  Have a good night.
[00:29:26.340 --> 00:29:37.906]  I want to thank Aaron Dykes for doing the news this evening, but now we're going to go to an interview with Austin Police Chief Art Acevedo, who actually has the courage to come into the belly of the beast.
[00:29:38.186 --> 00:29:44.049]  You know, I had you on the radio today and we talked about a lot of issues, but I mean, are you concerned about the direction America's going?
[00:29:44.069 --> 00:29:47.251]  I mean, undoubtedly more and more Big Brother technologies, TSA.
[00:29:47.271 --> 00:29:51.793]  What do you think of the TSA going in people's pants and strip-searching old ladies?
[00:29:53.789 --> 00:29:55.791]  Well, I mean, I don't know about strip-searching people.
[00:29:55.811 --> 00:30:01.658]  I think we, you know, they got a job to do and we all fly and our families fly, so their job is to keep us safe.
[00:30:01.698 --> 00:30:11.128]  So I just think that you just have to make sure that you do things right and that you really have a reason to strip-search somebody and not just do it just because of whatever.
[00:30:11.188 --> 00:30:14.852]  But you guys would arrest somebody before you had to strip-search them and then there's special procedures.
[00:30:15.615 --> 00:30:17.297]  I mean, they just take old people and stuff.
[00:30:17.558 --> 00:30:20.041]  I mean, people could have a bomb up their rear end.
[00:30:20.061 --> 00:30:21.563]  Are we going to have proctology exams?
[00:30:21.583 --> 00:30:22.344]  Yeah, no, I don't know.
[00:30:22.705 --> 00:30:25.028]  The bottom line is... I mean, is Atlanta the free home of the brave?
[00:30:25.108 --> 00:30:28.913]  Should the American symbol be a rubber glove?
[00:30:29.634 --> 00:30:29.794]  No.
[00:30:30.175 --> 00:30:30.756]  I would hope not.
[00:30:30.776 --> 00:30:32.038]  I hope that never becomes the case.
[00:30:33.244 --> 00:30:36.926]  The bottom line is they've got a job to do.
[00:30:37.046 --> 00:30:39.107]  Most of those people actually do a decent job.
[00:30:39.668 --> 00:30:44.050]  Every once in a while you've got people who are overzealous, just like you have in any profession.
[00:30:44.150 --> 00:30:50.754]  But there is a need to ensure the safety of airline travelers, but we have to make sure that we do it right.
[00:30:52.615 --> 00:30:58.198]  But it sets the precedent that the government has to keep you safe when the government can't keep you safe.
[00:30:58.258 --> 00:31:01.020]  I mean, now the TSA is running checkpoints on highways.
[00:31:02.853 --> 00:31:05.735]  I haven't heard that other than at the airport itself.
[00:31:06.116 --> 00:31:06.936]  No, they've expanded it.
[00:31:07.276 --> 00:31:08.117]  See, I haven't seen that.
[00:31:08.217 --> 00:31:20.426]  But we know that some of the transportation infrastructure is probably susceptible to issues in terms of Homeland Security issues.
[00:31:22.248 --> 00:31:30.534]  But I think that we've got sufficient resources out there where I'm not sure there's a great need, but I'd have to get more information on it.
[00:31:31.152 --> 00:31:34.314]  Well, I mean, my concern is more and more the Feds come in with these mandates.
[00:31:34.334 --> 00:31:37.575]  Because I saw all over the country federal grants for the blood taking checkpoints.
[00:31:38.036 --> 00:31:41.237]  And tell me about your blood sucking program.
[00:31:41.537 --> 00:31:42.958]  I mean, you pioneered that, didn't you?
[00:31:43.518 --> 00:31:44.719]  No, I didn't pioneer.
[00:31:44.759 --> 00:31:45.980]  Well, here I did in Austin.
[00:31:46.160 --> 00:31:48.221]  Arch, Count Dracula, Acevedo?
[00:31:48.241 --> 00:31:53.183]  You know, look, a lot of people get killed by drunk drivers and we're not going to be able to save everybody.
[00:31:53.544 --> 00:31:56.285]  But if I can turn a life around or save a life by
[00:31:58.306 --> 00:32:03.160]  Creating an atmosphere for drunk drivers where they know that we're going to use every
[00:32:04.225 --> 00:32:10.309]  Lawful means to gather evidence to hold people accountable for a choice, because drunk driving is a choice.
[00:32:10.389 --> 00:32:16.133]  I mean, you know, after a couple of drinks, and you choose to drive after a couple of drinks, you're really putting yourself and others at risk.
[00:32:16.733 --> 00:32:22.858]  You know, I don't think it's a bad thing for the people of the city of Austin for the police department to have a reputation for being very aggressive against drunk drivers.
[00:32:23.118 --> 00:32:28.281]  Hopefully that encourages people not to drink and drive, and at the end of the day, I hope it saves lives.
[00:32:28.441 --> 00:32:31.163]  But there's moves to have breathalyzers in all new cars.
[00:32:31.443 --> 00:32:33.965]  Half the Austin squad cars couldn't even turn on if that happened.
[00:32:36.587 --> 00:32:41.511]  No, I can guarantee you that 99.9% of the squad cars would turn on if that happened.
[00:32:42.492 --> 00:32:43.192]  I'm just joking.
[00:32:43.212 --> 00:32:45.894]  My cops are famous drinkers.
[00:32:45.935 --> 00:32:47.296]  But you'll notice I didn't say 100%.
[00:32:47.396 --> 00:32:48.817]  Is that a stereotype?
[00:32:48.877 --> 00:32:50.058]  It's a stereotype.
[00:32:50.358 --> 00:32:57.123]  I think that culturally there's been a lot of officers that alcohol has been a big part of policing just like any other
[00:32:58.124 --> 00:32:59.806]  A lot of them have outside interests.
[00:32:59.826 --> 00:33:01.488]  A lot of them pursue graduate degrees.
[00:33:14.282 --> 00:33:23.517]  You don't see the culture of cops going out and partying like you might have seen 25, 30 years ago when Joseph Wambaugh wrote about the short stop.
[00:33:23.758 --> 00:33:27.324]  There's a place that I've actually been to on Sunset Boulevard where there was a big cop hangout.
[00:33:27.344 --> 00:33:28.486]  I think the culture is changing.
[00:33:29.141 --> 00:33:29.962]  What about texting?
[00:33:30.022 --> 00:33:32.883]  I've seen statistics where it's like four times more dangerous than drinking and driving.
[00:33:32.903 --> 00:33:33.964]  Texting and driving is very dangerous.
[00:33:33.984 --> 00:33:35.885]  That's why you can't text and drive in the city of Austin.
[00:33:37.106 --> 00:33:42.990]  Mike Martinez was the Mayor for Tims, now Council Member, was a big proponent of that, brought it forward.
[00:33:43.510 --> 00:33:44.151]  We passed it.
[00:33:44.191 --> 00:33:45.672]  We've actually written tickets for it.
[00:33:46.032 --> 00:33:48.754]  But I do see people swerving everywhere while they're texting.
[00:33:48.774 --> 00:33:52.376]  Well, what it is, is when you see people swerving, then you go to pass and you look over and you see what they're doing.
[00:33:52.436 --> 00:33:53.397]  No, no, I see it.
[00:33:53.537 --> 00:33:56.299]  I saw a giant 18-wheeler driver down in Corpus Christi
[00:33:57.179 --> 00:34:00.922]  Calling natural gas, literally texting while he was driving.
[00:34:00.942 --> 00:34:01.362]  That's scary.
[00:34:01.382 --> 00:34:10.849]  That's why they need to use some of these new applications like the iPhone has, a new iPhone where you can actually have your little earpiece in and talk and it actually reads it back to you.
[00:34:10.869 --> 00:34:13.111]  I actually bought that because I'm always working.
[00:34:13.191 --> 00:34:14.532]  No, that is useful.
[00:34:15.532 --> 00:34:20.216]  You've got to go here in about five minutes, but I want you to be able to make some points that you've got and ask you, why are you here?
[00:34:20.236 --> 00:34:23.738]  I mean, why are you interfacing with the community and that change in policing?
[00:34:24.299 --> 00:34:26.000]  But getting back to the no refusal.
[00:34:26.680 --> 00:34:32.125]  I know people who aren't even drinking and they've been pulled over here in other cities and they say we're going to breathalyzer and you say no.
[00:34:32.566 --> 00:34:34.928]  So they take you to jail, the legislature tries to take your license.
[00:34:35.408 --> 00:34:36.689]  What about the Fifth Amendment?
[00:34:37.450 --> 00:34:42.334]  What about people's rights to say no and then you guys respond, fine we'll just take your blood?
[00:34:42.354 --> 00:34:44.476]  The Fifth Amendment speaks to
[00:34:45.937 --> 00:34:48.398]  To interrogation, to speech.
[00:34:48.438 --> 00:34:50.999]  It's not, it doesn't really speak to the blood.
[00:34:51.019 --> 00:34:54.280]  The Fourth Amendment is probably more of what people would talk about.
[00:34:54.320 --> 00:34:55.441]  Yeah, person, papers, and effects.
[00:34:55.521 --> 00:34:58.362]  Yeah, so here's the deal about that.
[00:34:59.142 --> 00:35:10.126]  The Supreme Court many years ago ruled, the United States Supreme Court, that because of the exigency of the circumstances, in other words, if I believe you're under the influence of alcohol,
[00:35:10.726 --> 00:35:16.872]  That there is an exigency there to get the evidence because with every hour the evidence is dissipated.
[00:35:16.892 --> 00:35:22.938]  Now there's also the public safety emergency that if you are drunk it's a clear and present danger.
[00:35:23.118 --> 00:35:27.723]  Well absolutely and so the bottom line is that they ruled many years ago that you don't even need a search warrant.
[00:35:28.283 --> 00:35:41.332]  That if you have reasonable suspicion, probable causability that the person is under the influence, potentially under the influence because of the exigency, that as long as state law allows it, which in Texas it does, you can actually do warrantless blood search warrants.
[00:35:41.352 --> 00:35:54.482]  And there's actually, throughout the state of Texas, search warrants, there's actually non-consensual blood testing without a search warrant if you have prior arrests and convictions for DWI, if somebody's been injured, somebody's been transferred to the hospital.
[00:35:54.582 --> 00:35:55.663]  Sure, sure, that's an emergency.
[00:35:55.703 --> 00:35:58.206]  But going back in time, we didn't have all this.
[00:35:58.546 --> 00:36:01.369]  I mean, the thing is, we always get more and more and more, and there's always an excuse.
[00:36:01.649 --> 00:36:03.551]  But the road to hell is paved with good intentions.
[00:36:04.011 --> 00:36:10.217]  And then earlier on the radio show, I brought up to you, fast and furious, government caught lying, shipping guns into Mexico.
[00:36:10.257 --> 00:36:10.638]  I brought up
[00:36:11.278 --> 00:36:13.179]  On the news, the troops being ordered to grow the opium.
[00:36:13.540 --> 00:36:17.982]  My point is, there's a greater danger in government getting too much power.
[00:36:18.023 --> 00:36:22.846]  It will always be abused than all the excuses government has of how this is going to keep people safe.
[00:36:23.146 --> 00:36:24.507]  And I'm out there driving all the time.
[00:36:24.907 --> 00:36:26.148]  I'm sure there are some drunk drivers.
[00:36:26.208 --> 00:36:27.689]  I see occasionally driving home late at night.
[00:36:27.709 --> 00:36:29.210]  They're driving real slow or they're swerving.
[00:36:29.630 --> 00:36:33.613]  But I see more dangerous people on the phone putting their makeup on and texting.
[00:36:34.133 --> 00:36:36.494]  I know it isn't as sexy as stopping the drunk driver.
[00:36:36.514 --> 00:36:43.758]  But you know what, people putting on makeup, that's an unsafe, to me, the safe speed for that vehicle when you're applying makeup is zero.
[00:36:43.818 --> 00:36:44.679]  You shouldn't be driving.
[00:36:45.179 --> 00:36:49.482]  So I would be writing somebody a citation for driving at a speed that's unsafe for
[00:36:50.222 --> 00:36:51.083]  For the conditions.
[00:36:51.143 --> 00:36:53.185]  In other words, I've actually investigated this as a cop.
[00:36:53.905 --> 00:37:06.816]  A head-on collision, and this was back when I was a road patrol officer, where a lady's sitting there doing this, putting on her makeup, crosses the center double yellow lines on the surface street, and crashed head-on.
[00:37:07.096 --> 00:37:07.917]  Double fatality.
[00:37:08.077 --> 00:37:09.138]  Because somebody's putting on their makeup.
[00:37:09.158 --> 00:37:10.439]  So, yeah, you're right.
[00:37:11.610 --> 00:37:19.732]  That there are laws, but I think that as technology evolves, as the distractions evolve, we have to catch up to it.
[00:37:19.792 --> 00:37:21.092]  I mean, it's just not a good idea.
[00:37:21.252 --> 00:37:26.353]  What do you think about police all over the country taking cell phones and downloading their contents at traffic stops?
[00:37:26.933 --> 00:37:27.713]  Oh, you can't do that.
[00:37:28.834 --> 00:37:29.754]  Michigan's been doing it.
[00:37:29.814 --> 00:37:35.155]  Well, I don't know how they get... What about Louisiana saying, we don't even need probable cause, but we're going to search your car off a hunch?
[00:37:37.112 --> 00:37:40.956]  I believe that that was the case that you'd probably get thrown out in court.
[00:37:41.517 --> 00:37:43.579]  I would not withstand judicial review.
[00:37:43.619 --> 00:37:46.122]  You have to have probable cause or you have to have consent.
[00:37:46.502 --> 00:37:51.367]  I think the best news of our interview though is since you've been policing for five years from Southern California, you are now
[00:37:52.148 --> 00:37:55.872]  More pro-Second Amendment and do you believe more guns molest crime?
[00:37:55.932 --> 00:38:01.738]  You know what's interesting is that I came from a very strict place in California when I first got here.
[00:38:01.758 --> 00:38:08.144]  I think that gun ownership, guns belong in the hands of law-abiding Americans.
[00:38:08.505 --> 00:38:10.446]  I don't think the guys are out selling dope
[00:38:11.047 --> 00:38:16.009]  Or committing robberies, or involving criminal enterprises, we should allow them to have guns.
[00:38:16.450 --> 00:38:23.253]  But absent that, or somebody that's getting ready to go psycho because they've got some serious mental health issues.
[00:38:23.653 --> 00:38:27.535]  But absent that, I strongly believe in the Second Amendment.
[00:38:27.975 --> 00:38:30.636]  The gun carry law here, I think is one of the best in the nation.
[00:38:31.037 --> 00:38:33.458]  But now the Congress has just passed it where we have to
[00:38:36.059 --> 00:38:43.301]  As Texans have to take the permit that's issued in another state and reciprocity is mandatory.
[00:38:43.361 --> 00:38:55.344]  Again, I believe in states' rights and I don't want to have to take and accept a permit from a state where they might decide to give it to somebody that has no business having a gun.
[00:38:55.784 --> 00:38:59.045]  Because here in Texas, what I love about Texans is we do it right.
[00:38:59.385 --> 00:39:01.205]  People have to qualify at the range.
[00:39:01.485 --> 00:39:03.166]  They have to take a gun safety class.
[00:39:03.786 --> 00:39:08.573]  And gun ownership is something that's taken very seriously here, and is done right.
[00:39:08.633 --> 00:39:11.257]  I think Texas should be the model for the rest of the country.
[00:39:11.377 --> 00:39:14.221]  Well, we can debate that all day, but the statistics are there.
[00:39:14.261 --> 00:39:17.746]  Within three years of a concealed carry on average, crime rates go down over 20%.
[00:39:19.128 --> 00:39:23.050]  I think that there is some... Robberies, muggings, things like that.
[00:39:23.110 --> 00:39:24.951]  I think there's some tremendous benefits to it.
[00:39:25.211 --> 00:39:31.153]  But see, in Texas, we force people to show that they're serious gun owners, that they're responsible gun owners.
[00:39:31.614 --> 00:39:42.339]  We force them to go to the range to show that they have proficiency, that when they shoot that, you know, there's a chance... Well, you're talking about concealed carry, but, and I do agree, everybody out buying guns right now, I hope they learn how to use them, because then it's going to be worthless if you don't know how to use it.
[00:39:42.359 --> 00:39:45.180]  Absolutely, and you have to make sure that you have that
[00:39:46.107 --> 00:39:53.151]  That you have the withdrawal that if you're going to have it and somebody breaks into your home that you're going to be willing to use it because next thing you know it gets turned on you.
[00:39:53.191 --> 00:39:56.712]  How do folks, what website do they visit to learn more about your initiatives here in Austin?
[00:39:56.993 --> 00:39:59.994]  Just they can go to the AustinPolice.com.
[00:40:00.014 --> 00:40:01.115]  Forward slash Count Dracula?
[00:40:02.675 --> 00:40:03.016]  All right.
[00:40:03.356 --> 00:40:06.177]  Well, Chief Arne Cerveda, thank you for coming in with us today.
[00:40:06.237 --> 00:40:06.958]  It's great to see you.
[00:40:07.098 --> 00:40:07.978]  I appreciate it.
[00:40:07.998 --> 00:40:09.639]  Merry Christmas and Happy Holidays.
[00:40:09.679 --> 00:40:11.600]  In closing, you say your wife gets sick.
[00:40:11.680 --> 00:40:12.520]  Are you listening to the show?
[00:40:13.041 --> 00:40:15.542]  I do listen to the show and she says it's depressing.
[00:40:18.040 --> 00:40:22.303]  I think deep down like Darth Vader you're a good guy and I think that's why you're listening.
[00:40:47.520 --> 00:40:48.281]  All right, thanks for coming in.
[00:40:48.301 --> 00:40:48.741]  Thanks, guys.
[00:40:48.761 --> 00:40:49.121]  Take care.
[00:40:49.141 --> 00:40:49.842]  All right, thank you.
[00:40:49.862 --> 00:40:57.487]  All right, folks, that's it for this edition of InfoWars Nightly News, a split show, half with Aaron Dykes and half with Alex Jones.
[00:40:57.527 --> 00:41:01.210]  I'll be back for the full transmission, word willing, tomorrow night, 7 o'clock Central.
[00:41:01.450 --> 00:41:16.761]  Don't forget, until Christmas, we're offering that yearly special, 44% off a yearly membership at PrisonPlanet.tv, and it is your support that helps us get the word out and also helps us write reports and things like the one that you have seen us put out on the FEMA camps being activated.
[00:41:17.321 --> 00:41:18.103]  Great job of the crew.
[00:41:18.163 --> 00:41:18.905]  I'll see you back tomorrow.
