[00:00:00.109 --> 00:00:00.990]  Well, so does he.
[00:43:19.725 --> 00:43:23.969]  I've been speaking a lot with sheriffs in the counties surrounding the area.
[00:43:24.029 --> 00:43:26.791]  I live here in North Carolina and I travel a lot.
[00:43:26.831 --> 00:43:37.961]  I'm a member of the media and I travel and fly extensively and I started the Speedos protest at PSA some months ago and have yet, thank God, to go through a full body scanner or to receive a pat down.
[00:43:38.461 --> 00:43:42.365]  But I'm constantly in talk with military people and
[00:43:43.190 --> 00:44:05.619]  Law enforcement of all ranks and sizes all over the country as I go about my business and a couple of things that brought in some good clarification for me I'd like to share with you and everybody else is, you know, there's a lot of people under the illusion that the military and law enforcement, that there's going to be a mass amount of people that will side with freedom and liberty and truth when push comes to shove.
[00:44:05.659 --> 00:44:08.581]  And I just wanted to dispel that illusion.
[00:44:08.601 --> 00:44:11.862]  A conversation I had two days ago with the second in command at Camp Lejeune,
[00:44:12.412 --> 00:44:13.332]  And North Carolina?
[00:44:15.433 --> 00:44:28.536]  I called him in regards to the report of the Marines being sent out to Libya, and I asked him about that, and I asked him from a Universal Code of Military Justice standpoint, which requires Marines to stand down against illegal orders.
[00:44:28.556 --> 00:44:37.238]  And I was asking him, how could he, in good conscience, having sworn to defend the Constitution, send troops to Libya, which is obviously an illegal order,
[00:44:37.850 --> 00:44:44.577]  Being that, you know, Obama, of course, bypassed Congress and went and had a unilateral attack on Libya under the auspices of the United Nations.
[00:44:44.637 --> 00:44:49.222]  And Sergeant Major refused at all to even mention the word U.S.
[00:44:49.242 --> 00:44:49.943]  Constitution.
[00:44:50.903 --> 00:44:54.507]  He refused to engage me in any kind of intelligent conversation.
[00:44:54.527 --> 00:44:56.950]  He just said that, look, I've got a commander in chief.
[00:44:57.510 --> 00:44:58.932]  I do whatever the commander in chief says.
[00:45:00.050 --> 00:45:08.815]  I told him he was a traitor and a coward, and he was a domestic enemy of the Constitution by failing to uphold his duties as a Marine and resist illegal orders.
[00:45:08.895 --> 00:45:13.258]  And I just wanted to leave you with that, and I spoke to another recruit just out of Basic.
[00:45:13.618 --> 00:45:25.665]  I handed him a copy of the Constitution and Bill of Rights, and he said that he's never read it in his life, and that, of course, they no longer teach the Constitution in any shape, form, or fashion in the military, but I appreciate you giving me time.
[00:45:26.917 --> 00:45:27.877]  OK, thanks for the call.
[00:45:28.518 --> 00:45:41.944]  Yeah, exactly, and I mean, that's precisely what leads to the disturbing and grisly photos that came out this week of these US kill teams in Afghanistan that just go out and murder kids and then pose with them as trophies.
[00:45:42.424 --> 00:45:47.026]  I mean, what kind of training are they being given that leads to that kind of behaviour?
[00:45:48.137 --> 00:45:57.026]  And as he said, now we've got talk of marines out of Camp Lejeune going out to Libya to support the rebels in the civil war.
[00:45:57.106 --> 00:46:00.810]  Again, no authorisation by Congress, Ron Paul's pointed that out.
[00:46:01.670 --> 00:46:11.700]  And not only that, it will be a direct violation of their own UN resolution, which said no boots on the ground, you know, no occupying forces, even though as I just
[00:46:12.581 --> 00:46:13.161]  Explained.
[00:46:13.181 --> 00:46:14.922]  The SAS has been there for a month.
[00:46:15.603 --> 00:46:18.004]  And now we have this article out of WCTI.
[00:46:18.384 --> 00:46:21.826]  Camp Lejeune Marines to Libya to strike at Qadhafi forces.
[00:46:22.706 --> 00:46:28.149]  We've seen Camp Lejeune Marines in Iraq and Afghanistan and now they are joining the fight against Libya!
[00:46:29.207 --> 00:46:30.988]  Okay, I thought it was a no-fly zone.
[00:46:31.068 --> 00:46:32.648]  Now it's a fight against Libya.
[00:46:32.948 --> 00:46:33.288]  Okay.
[00:46:33.728 --> 00:46:42.671]  About 2,200 Marines from the 26th Marine Expeditionary Unit will take part in support operations based aboard USS Keosarge at sea.
[00:46:43.271 --> 00:46:47.292]  Those support operations have thus far included airstrikes and one rescue operation.
[00:46:47.712 --> 00:46:48.933]  The overall mission is to help...
[00:46:49.813 --> 00:46:53.715]  End the violence directed at the Libyan people, okay?
[00:46:53.795 --> 00:47:06.022]  That'll be why when the US fighter jet crash-landed in that field that the first thing that the US chopper did was shoot at six of the civilians who were trying to, you know, help the pilot.
[00:47:06.562 --> 00:47:11.645]  So they're really, really interested in stopping the violence against the Libyan people there.
[00:47:12.826 --> 00:47:15.953]  Well, in Libya right now, they're doing exactly what we need them to do.
[00:47:15.993 --> 00:47:17.557]  They are doing what they are told.
[00:47:18.119 --> 00:47:21.447]  And right now, that's protecting Libyan people against Qadhafi forces.
[00:47:21.487 --> 00:47:21.848]  So again...
[00:47:23.055 --> 00:47:31.937]  As the caller said, they're just doing what they're told, despite the fact that it is a complete violation of the Constitution that they swore an oath on to protect and defend.
[00:47:32.117 --> 00:47:38.719]  And it's even a violation of their own stupid, ridiculous, pointless UN resolution.
[00:47:39.999 --> 00:47:41.720]  Linda in California, you're on the air.
[00:47:41.740 --> 00:47:42.440]  Go ahead, Linda.
[00:47:45.041 --> 00:47:49.342]  The reason that they're doing... This is an economic crisis they've been telling us about.
[00:47:50.217 --> 00:47:59.480]  And so the Constitution does it no good, because an economic crisis is driven by Parkinson's Law, which is to increase jobs.
[00:48:00.060 --> 00:48:09.122]  And a Constitution may work when an economy is really doing well, and can afford to enforce it once in a while, and even then it's great.
[00:48:09.422 --> 00:48:10.102]  Squeeze funds.
[00:48:10.563 --> 00:48:14.404]  Unless there's other reasons... Okay, you've got a bad line there, we'll have to move on.
[00:48:14.964 --> 00:48:16.504]  Horseskin in Texas, go ahead.
[00:48:19.966 --> 00:48:20.506]  Thank you, sir.
[00:48:20.546 --> 00:48:47.094]  The death industry worldwide is not only is Israel bombing Gaza to kill Palestinian babies, continually ignored by our lockstep media, but right here, well over 50% of all black babies conceived in the United States are murdered in the womb last year, as we all know, who listen to Alex Jones, and ageism against the youngest and the oldest among us is the most insipid stench of bigotry in my mind.
[00:48:47.114 --> 00:48:49.635]  The unborn are not even recognized for their humanity.
[00:48:50.256 --> 00:48:57.863]  They are instead torn to bits, chemically dissolved, or used in some bizarre experiment to supposedly somehow serve the interests of us, the adults!
[00:48:58.684 --> 00:49:08.093]  Now these non-productive consumers, old and disabled, are nightmarishly discarded like yesterday's newspaper and any and all forms of socialized medicine in the Sotero Health Scam.
[00:49:08.113 --> 00:49:10.396]  And that's right, cost savings from death.
[00:49:10.456 --> 00:49:14.680]  It's the common theme throughout the slimy Sotero death scare spasm.
[00:49:15.570 --> 00:49:21.872]  And, you know, Kenyan-born, Indonesian-subject, illegal, alien, thus ineligible, so-called President, so-called Barack Obama, i.e.
[00:49:21.912 --> 00:49:23.392]  Barristero, is a stooge.
[00:49:23.952 --> 00:49:33.094]  A stooge for the evil banking cartel of killers that greedily rules our world through the so-called Federal Reserve and the IMF, etc.
[00:49:33.874 --> 00:49:40.136]  So, I'm just urging people to learn more by visiting ronpaul.org or, of course, here at Infowars.com.
[00:49:40.985 --> 00:49:43.086]  L E W Rockwell.com.
[00:49:43.666 --> 00:49:47.368]  And so there's a lots of sources of really good information out there.
[00:49:47.488 --> 00:49:50.029]  And thanks to you, you're always doing a great job.
[00:49:50.069 --> 00:49:54.011]  I really appreciate your professionalism and great ideas, sir.
[00:49:54.311 --> 00:50:01.135]  And, uh, I'm really happy to be able to share some ideas about this death spasm that we're going through here in this country.
[00:50:01.155 --> 00:50:03.956]  We're so angry at supposedly the, uh,
[00:50:05.223 --> 00:50:10.811]  Uh, you know, and Qaddafi or whomever for whatever minimal death that might come from his world.
[00:50:10.851 --> 00:50:12.534]  But we're, we have an industry here.
[00:50:12.894 --> 00:50:14.136]  We're doing it all day, every day.
[00:50:14.176 --> 00:50:19.844]  And in fact, here in Austin, Texas, it's not only the live music capital of the known universe, it's the...
[00:50:20.805 --> 00:50:22.206]  Okay, thanks for the call.
[00:50:22.227 --> 00:50:23.568]  I've got to go to the break now.
[00:50:23.628 --> 00:50:25.149]  We'll be back with more of your calls.
[00:50:25.169 --> 00:50:25.530]  Stay tuned.
[00:50:49.042 --> 00:50:52.184]  Do you want to learn more about preparing for the hard times ahead?
[00:50:52.304 --> 00:50:56.907]  Have you ever thought about actually getting off the grid and becoming truly self-reliant?
[00:50:57.227 --> 00:51:06.814]  Introducing Off The Grid News, a weekly newsletter for independent Americans who want practical advice on how to survive and even prosper in an increasingly dangerous world.
[00:51:07.154 --> 00:51:12.398]  It's the best way to get a black belt in emergency preparedness, survival skills, and off-the-grid living.
[00:51:12.659 --> 00:51:20.745]  Packed with hard-hitting information on gardening, food preparation, alternative energy, and home security, there's simply nothing like it.
[00:51:20.865 --> 00:51:21.646]  And the best part?
[00:51:21.686 --> 00:51:25.549]  This $100 annual subscription is now free of charge.
[00:51:25.669 --> 00:51:30.373]  Simply sign up today and you'll also get our hard-hitting report, Food Shock!
[00:51:30.453 --> 00:51:34.777]  Why 2011 could be the single most important year in American history.
[00:51:35.017 --> 00:51:35.257]  I think?
[00:51:58.029 --> 00:52:00.991]  We've told you about the video that details this shocking prediction.
[00:52:01.331 --> 00:52:04.773]  So far, over 6 million people have watched this free video online.
[00:52:04.994 --> 00:52:05.454]  Have you?
[00:52:05.794 --> 00:52:09.136]  Again, this big event has nothing to do with war or the stock market.
[00:52:09.397 --> 00:52:11.598]  Yet, it could change everything about your normal way of life.
[00:52:11.898 --> 00:52:16.902]  The way you shop, travel, invest, educate your children, and even how you take care of your health and your family.
[00:52:17.122 --> 00:52:18.142]  Could this really happen?
[00:52:18.303 --> 00:52:21.965]  Well, the man who created this video has been right about many predictions in his career.
[00:52:22.285 --> 00:52:28.029]  He was among the first to predict the collapse of GM, Fannie Mae, Freddie Mac, and America's biggest mall owner, General Growth Properties.
[00:52:28.029 --> 00:52:28.309]  I don't know.
[00:52:49.008 --> 00:52:53.471]  We all know that Berkey Water Purification Systems are the most trusted name in water filtration.
[00:52:53.691 --> 00:53:02.336]  As an authorized Berkey dealer for over five years and serving thousands of satisfied customers, the Berkey Guy offers amazing specials for Berkey Water Filtration Systems.
[00:53:02.576 --> 00:53:16.444]  The Berkey Light Systems include a set of self-sterilizing and recleanable black purification elements that purify water by removing chlorine, pathogenic bacteria, cysts and parasites to non-detectable levels and remove harmful chemicals such as herbicides and pesticides.
[00:53:16.864 --> 00:53:21.105]  Order the Berkey Light System today, complete with two black Berkey elements for only $220.
[00:53:22.165 --> 00:53:27.806]  And the Berkey Guy will include three sport Berkey water bottles and ship everything to you free of charge.
[00:53:28.006 --> 00:53:31.307]  That's right, three sport Berkey water bottles and free shipping.
[00:53:31.467 --> 00:53:32.147]  An $87 value, yours free.
[00:53:32.187 --> 00:53:33.107]  Call the Berkey Guy at 1-877-886-3653.
[00:53:33.127 --> 00:53:33.428]  That's 1-877-886-3653.
[00:53:33.448 --> 00:53:34.788]  Or order online at GoBerkey.com.
[00:53:45.290 --> 00:53:47.433]  That's goberky.com today!
[00:53:59.522 --> 00:54:04.345]  The man with the foolish grin is keeping perfectly still.
[00:54:30.143 --> 00:54:31.764]  George in Connecticut, you're on the air.
[00:54:31.784 --> 00:54:32.485]  Go ahead, George.
[00:54:32.505 --> 00:54:37.649]  I'm going to talk to Busby, or is this going to be passed on?
[00:54:37.749 --> 00:54:48.238]  Because he was on another radio station and talked about the possibility that there were upwards to a million deaths from Chernobyl alone over the decades.
[00:54:49.139 --> 00:54:54.183]  And I think he had problems with the translation of the Russian material.
[00:54:54.203 --> 00:54:57.326]  That's one of the reasons why the numbers are not fully compiled.
[00:54:57.813 --> 00:55:05.300]  But also I think this should be also translated into Japanese if there's anybody out there to help out on that too, so that they're aware of what's going on.
[00:55:06.421 --> 00:55:21.075]  Yeah, that's something that I'm going to ask Busby about, because regarding Chernobyl, of course, the UN figures and the World Health Organization figures, actually there was a UN report in 2005 that claimed that there were no
[00:55:22.676 --> 00:55:25.638]  birth defects as a result of Chernobyl in the Ukraine.
[00:55:26.638 --> 00:55:33.402]  And the UN and WHO figures have routinely underplayed the cancer deaths as a result of Chernobyl.
[00:55:33.442 --> 00:55:39.465]  They say that 200,000 were sickened by Chernobyl and that only 9,000 died of cancer.
[00:55:39.805 --> 00:55:49.470]  But as you mentioned, the latest research carried out by the Russian Environmental Policy, which was published by the New York Academy of Sciences,
[00:55:50.490 --> 00:56:16.327]  Has all this evidence which has not been translated into English and it clearly indicates that there have been almost a million cancer deaths in the past 25 years as a direct result of Chernobyl and that's something that I'm gonna ask Dr Busby about directly and get his take on that because we know that the radiation levels in the surrounding prefectures at Fukushima are basically being covered up by the authorities.
[00:56:16.788 --> 00:56:19.970]  Now we've got this leak in reactor 3 with the plutonium
[00:56:20.891 --> 00:56:21.691]  Yes, go ahead.
[00:56:21.771 --> 00:56:23.272]  Um, here we are.
[00:56:46.001 --> 00:56:47.203]  Yeah, what's on your mind today?
[00:56:59.511 --> 00:57:06.481]  They're playing the same game, we just gotta look beyond the language they're using, beyond no flies on us.
[00:57:06.822 --> 00:57:09.826]  We can't just take it for what they're giving it to us.
[00:57:09.866 --> 00:57:15.714]  We gotta look deeper as citizens into what is really going on, if we actually do care about what's going on in our world today.
[00:57:17.608 --> 00:57:18.249]  Well, exactly.
[00:57:18.809 --> 00:57:23.052]  Most people initially bought the lie that it was just an old fly zone.
[00:57:23.432 --> 00:57:27.615]  They soon became acquainted with what it really was.
[00:57:27.836 --> 00:57:30.117]  Six constant nights of bombardment.
[00:57:31.098 --> 00:57:36.582]  But, of course, it's all to protect the protesters that have RPGs, tanks and fighter jets.
[00:57:36.722 --> 00:57:38.243]  They're just protecting the people there.
[00:57:38.844 --> 00:57:39.484]  Thanks for the call.
[00:57:39.524 --> 00:57:41.446]  Patrick in Kansas, go ahead, you're on the air.
[00:57:43.447 --> 00:57:53.797]  Hey Paul, I'm calling and wanting to know about information about the big pharma side of the globalists.
[00:57:55.479 --> 00:57:57.701]  And I watched this documentary on
[00:58:01.704 --> 00:58:09.007]  I'll tell you what, you'd be better off talking to Mike Adams because he is, of course, the health ranger and the expert on all matters Big Pharma.
[00:58:09.347 --> 00:58:14.029]  So I'm sure if you call back in when Mike is on, you'll be able to discuss that with him.
[00:58:14.329 --> 00:58:21.392]  But coming up after the break, we've got nuclear and radiation expert Dr. Christopher Busby on the deepening crisis in Fukushima.
[00:58:21.412 --> 00:58:22.913]  It's the Alex Jones Show Live.
[00:58:23.133 --> 00:58:24.414]  Stay tuned, don't go away.
[00:58:32.677 --> 00:58:36.671]  This is GCN, the Genesis Communications Radio Network.
[00:58:38.888 --> 00:58:43.110]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
[00:58:43.430 --> 00:58:44.051]  Number one.
[00:58:44.351 --> 00:58:47.513]  New climate legislation could easily double or triple your electric bill.
[00:58:47.773 --> 00:58:48.333]  Number two.
[00:58:48.633 --> 00:58:53.176]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:58:53.516 --> 00:58:53.956]  It's true.
[00:58:54.256 --> 00:58:58.819]  Total government control of electricity in the name of smart grid technology is coming.
[00:58:59.139 --> 00:58:59.679]  Number three.
[00:58:59.959 --> 00:59:03.241]  In some areas of the country, the power grid is dangerously overloaded.
[00:59:03.541 --> 00:59:07.243]  And now, new socialist legislation is only compounding the problem.
[00:59:07.443 --> 00:59:08.004]  Number 4.
[00:59:08.244 --> 00:59:10.607]  Dangerous weather is always a threat to local grids.
[00:59:11.007 --> 00:59:14.391]  Every year, thousands of families lose their power from weather-related outages.
[00:59:14.691 --> 00:59:14.911]  Number 5.
[00:59:15.492 --> 00:59:19.396]  A solar power generator provides powerful backup, insurance, and peace of mind.
[00:59:19.637 --> 00:59:24.402]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:59:24.682 --> 00:59:28.684]  You can get more information at www.mysolarbackup.com.
[00:59:28.844 --> 00:59:30.405]  That's mysolarbackup.com.
[00:59:30.625 --> 00:59:32.706]  Remember, the government doesn't own the sun.
[00:59:32.886 --> 00:59:35.468]  So go to mysolarbackup.com or call 1-877-327-0365.
[00:59:35.488 --> 00:59:36.388]  Waging war on corruption.
[00:59:36.468 --> 00:59:37.689]  Alex Jones on the GCM Radio Network.
[00:59:53.700 --> 00:59:57.906]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:59:58.547 --> 00:59:59.348]  You want answers?
[01:00:00.129 --> 01:00:01.070]  Well, so does he.
[01:00:01.671 --> 01:00:05.296]  He's Alex Jones on the GCN Radio Network.
[01:00:05.877 --> 01:00:09.922]  And now, live from Austin, Texas, Alex Jones.
[01:00:12.942 --> 01:00:14.363]  Friday, March 25th, 2011.
[01:00:14.583 --> 01:00:19.445]  It's Paul Joseph Watson filling in for Alex Jones today.
[01:00:20.166 --> 01:00:26.749]  And in the second half of the broadcast, the editor of NaturalNews.com, Mike Adams, will be taking your calls.
[01:00:27.229 --> 01:00:37.074]  But for the next half an hour, I'm delighted to be joined by Dr. Christopher Busby, who is one of the preeminent experts on nuclear fallout and radiation.
[01:00:37.835 --> 01:00:42.437]  He was the Scientific Secretary of the European Committee on Radiation Risks.
[01:00:42.977 --> 01:00:59.316]  And has held numerous influential positions in this field and of course in the aftermath of Fukushima his expertise has been very much in demand with Busby appearing on the BBC and numerous other TV and radio shows.
[01:00:59.617 --> 01:01:02.160]  Dr Busby, welcome to the show today.
[01:01:04.195 --> 01:01:05.215]  Hello, good to speak to you.
[01:01:05.495 --> 01:01:11.618]  And let's get straight into it because of course, massive news on Fukushima today.
[01:01:12.258 --> 01:01:20.301]  Japanese authorities admitting that reactor number three, which is the reactor that contains this MOX plutonium-uranium mix,
[01:01:21.201 --> 01:01:30.449]  ...has been breached and is now leaking water at radiation levels 10,000 times above the level of normal reactor water.
[01:01:30.569 --> 01:01:46.182]  Now, according to my understanding, Dr Busby, these plutonium particles can't even be measured with the standard equipment they're using to provide the background radiation levels which people in Fukushima and surrounding areas are going by.
[01:01:46.202 --> 01:01:46.242]  So...
[01:01:48.664 --> 01:01:57.131]  How much does this new breach, this new crack in reactor number three represent a deepening of the crisis at Fukushima?
[01:01:57.991 --> 01:02:01.994]  Well, I think, personally, that this is not something new.
[01:02:02.014 --> 01:02:03.756]  What is new is that they've admitted it.
[01:02:03.776 --> 01:02:08.659]  I mean, it's not as if they came along one morning and said, oh, look, there's a crack in the reactor.
[01:02:08.839 --> 01:02:10.080]  Gosh, I didn't see that before.
[01:02:10.100 --> 01:02:11.421]  Yeah, I wonder what happened.
[01:02:11.461 --> 01:02:12.142]  Must be the mice.
[01:02:12.602 --> 01:02:15.544]  I mean, this must have happened when the thing exploded ages ago.
[01:02:16.744 --> 01:02:27.913]  So it's quite clear that this is just the famous Chernobyl, that what happens is that they let the information out slowly for whatever reason, and eventually they have to concede that there are these massive problems.
[01:02:28.033 --> 01:02:36.921]  Yes, well the answer is it's a nightmare, the whole thing is a nightmare, but it was quite clear that it was a nightmare to those of us who understood these things more or less from the beginning.
[01:02:36.941 --> 01:02:40.764]  And you're quite right, these plutonium particles are extremely serious.
[01:02:41.364 --> 01:02:41.685]  I don't
[01:03:00.445 --> 01:03:01.346]  We're good.
[01:03:13.433 --> 01:03:15.734]  And that's basically what my next question was.
[01:03:16.535 --> 01:03:30.682]  Regarding the explosion, we saw this massive explosion affect reactor number three nearly two weeks ago, now on March 14th, with this huge orange fireball and this debris shooting up hundreds of feet into the air.
[01:03:31.343 --> 01:03:39.107]  And for two weeks they told us that the containment facility was undamaged, and yet now this morning they suddenly announced
[01:03:39.747 --> 01:03:50.872]  Well, yes, it is cracked, and it is leaking, so, um, you're saying that they probably knew it was cracked two weeks ago, nearly, after that explosion, and that they've just been covering up the site?
[01:03:50.892 --> 01:03:52.393]  I think they could have figured that out quite easily.
[01:03:53.206 --> 01:04:11.713]  And I have to say that not only not telling the people but also all of the pundits that come on to the radio programs that are wheeled out by the nuclear industry and their supporters, all those people who say there's no problem, don't worry, it's the same as going on a flight to New York and all of this stuff.
[01:04:12.273 --> 01:04:23.619]  Those people are criminally irresponsible because people could have got away, you know, they could have taken some sort of measures to reduce their radiation exposure if they'd have thought that these things were dangerous.
[01:04:24.139 --> 01:04:33.184]  But to leave it two weeks and then say, oh well, it's much worse than we thought, means that people will certainly die as a result of this kind of disinformation.
[01:04:33.204 --> 01:04:38.046]  And I have to say that in a court of law, that kind of disinformation from an expert
[01:04:40.741 --> 01:04:49.364]  Okay, stay there, we'll be back after the break with Dr. Christopher Busby on the unfolding Fukushima crisis.
[01:04:49.384 --> 01:04:50.765]  Hello friends, this is Alex Jones.
[01:04:50.805 --> 01:04:53.606]  You've heard me talk about Calden 5 Star Soaps for years.
[01:04:54.166 --> 01:04:59.088]  This is an American made product of the highest quality and compares to nothing you will find in stores.
[01:04:59.388 --> 01:05:02.550]  You can buy factory direct, shipped via UPS right to your door.
[01:05:02.830 --> 01:05:05.171]  Check them out on the web at 5starsoap.com.
[01:05:05.791 --> 01:05:06.652]  Or call 800-340-7091.
[01:05:09.335 --> 01:05:10.276]  Take my word for it.
[01:05:10.476 --> 01:05:12.798]  Once you've used pure soap, you won't buy anything else.
[01:05:13.119 --> 01:05:19.325]  Since 1947, Calvin's Soap Company has been showing consumers that soap can be tough on dirt and gentle on the environment.
[01:05:19.645 --> 01:05:21.047]  Buy American and stay clean.
[01:05:21.147 --> 01:05:24.310]  As well as support InfoWars, visit 5StarsSoap.com today.
[01:05:24.450 --> 01:05:24.810]  Or call 1-800-340-7091.
[01:05:24.830 --> 01:05:26.172]  Well, Marty, what do you have to say?
[01:05:29.437 --> 01:05:36.705]  As founder and owner for over 63 years, satisfaction is guaranteed on W3rd Bank.
[01:05:37.386 --> 01:05:42.451]  Call us at 1-800-340-7091 for a free catalog or visit our website 5starsoap.com.
[01:05:42.491 --> 01:05:42.951]  Thank you!
[01:05:49.989 --> 01:05:53.612]  Hundreds of nations have fallen to tyranny in the last century alone.
[01:05:54.013 --> 01:05:57.015]  This is our last chance to not relive history.
[01:05:57.255 --> 01:06:02.039]  As we're finishing off this agenda, they'll be pulling the rug from underneath the Americans at home.
[01:06:02.059 --> 01:06:08.285]  We have tremendous influence on our President and Congress, and they really are calling the shots.
[01:06:08.445 --> 01:06:10.687]  I think it's incumbent upon all of us
[01:06:11.227 --> 01:06:11.507]  Tim Geithner?
[01:06:11.527 --> 01:06:11.948]  Bernanke?
[01:06:12.048 --> 01:06:12.788]  They're arsonists!
[01:06:12.848 --> 01:06:13.929]  They're asking for more matches!
[01:06:13.949 --> 01:06:16.231]  And the Congress is saying, who do we make the check out to?
[01:06:30.120 --> 01:06:31.961]  Today seems like nobody does care.
[01:06:32.241 --> 01:06:37.042]  And right now in Washington, D.C., we have seen a fall of the Republic.
[01:06:37.402 --> 01:06:46.505]  Get your copy of Fall of the Republic on DVD at Infowars.com or watch it online right now in super high quality at PrisonPlanet.tv.
[01:06:49.870 --> 01:06:56.571]  Alex has told you that the Mideast uprisings over food prices and shortages caused by fuel costs are spreading worldwide.
[01:06:56.911 --> 01:06:59.152]  We're seeing the impact right here in the United States.
[01:06:59.572 --> 01:07:08.373]  Ethanol, that was supposed to reduce petroleum use and fuel prices, hit a 30-month high in February, and pump prices are expected to reach $5 a gallon.
[01:07:08.613 --> 01:07:16.515]  Because of shipping costs, food is being priced out of the reach of millions of Americans, with an expected 35% jump in the next 60 days.
[01:07:16.875 --> 01:07:17.995]  Move quickly while you can
[01:07:17.995 --> 01:07:18.335]  I think so.
[01:07:50.464 --> 01:07:56.492]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[01:07:57.113 --> 01:08:00.097]  It's Alex Jones and the GCN Radio Network.
[01:08:02.569 --> 01:08:08.153]  Paul Joseph Watson filling in for Alex today on this Friday 25th of March edition.
[01:08:08.193 --> 01:08:15.237]  We're talking to nuclear expert Dr. Christopher Busby about the unfolding crisis in Fukushima.
[01:08:16.578 --> 01:08:22.582]  Doctor, we had a call in the last hour who basically wanted to know something that I already planned to ask you.
[01:08:23.563 --> 01:08:29.607]  Which is, we've got these comparisons constantly being made to Fukushima with Chernobyl.
[01:08:29.887 --> 01:08:41.771]  And I'm interested in knowing where you place Chernobyl in terms of the scale of the disaster that occurred in 1986, and of course it's aftermath, in comparison with Fukushima.
[01:08:42.151 --> 01:08:44.932]  Because we've had differing reports.
[01:08:44.952 --> 01:08:54.695]  We had a UN report in 2005 that basically poo-pooed any idea of birth and reproductive effects in the victims of Chernobyl in Ukraine.
[01:08:55.735 --> 01:09:22.618]  And then we've had consistent numbers from the UN and the WHO which say that Chernobyl only caused 9,000 cancer deaths in the region affected, which of course completely contradicts more recent studies such as this Center for Russian and Environmental Policy study, which was published by the New York Academy of Sciences, which gives a figure of almost a million cancer deaths
[01:09:22.938 --> 01:09:26.319]  In the last 25 years as a direct result of Chernobyl.
[01:09:26.359 --> 01:09:32.642]  So, I mean, where do you place Chernobyl in terms of disaster in comparison to Fukushima?
[01:09:32.902 --> 01:09:34.663]  Okay, well, there are two questions really there.
[01:09:34.963 --> 01:09:40.665]  The first is, was Chernobyl a disaster and how many people have died as a result of it?
[01:09:40.705 --> 01:09:44.227]  And the second is, how does Fukushima compare to Chernobyl?
[01:09:44.527 --> 01:09:46.708]  Well, we start with the first one, which is the Chernobyl.
[01:09:48.029 --> 01:09:56.321]  The million deaths that have been put out by Alexey Yablokov and his colleagues in that document that you...
[01:09:57.170 --> 01:10:05.838]  That you mention, which was published by the prestigious New York Academy of Sciences and has been peer-reviewed, is almost certainly correct.
[01:10:05.918 --> 01:10:07.940]  And in fact, I think it's probably conservative.
[01:10:08.560 --> 01:10:21.492]  I would say that on the basis of the research I've done, which is quite a lot of research, and I have been working with Alexey Yablokov on this too, I would say that there's probably more than a million as a result of Chernobyl.
[01:10:22.599 --> 01:10:28.142]  In Europe and in the ex-Soviet Union territories.
[01:10:28.663 --> 01:10:29.503]  So that's the first thing.
[01:10:29.563 --> 01:10:30.644]  And it's easy to show that.
[01:10:30.684 --> 01:10:32.685]  There are lots and lots of peer-reviewed papers.
[01:10:33.605 --> 01:10:43.791]  Now, when the United Nations and the International Atomic Energy Agency and the WHO talk, they ignore all of the scientific papers which show that there are these deaths.
[01:10:43.811 --> 01:10:48.314]  So they just select the numbers of scientific papers, the ones that agree with them.
[01:10:49.074 --> 01:10:49.535]  We're good.
[01:11:10.343 --> 01:11:13.465]  Alright, so Chernobyl was very serious and it caused lots of deaths.
[01:11:14.025 --> 01:11:16.046]  Second question is where does Fukushima lie in this?
[01:11:16.106 --> 01:11:19.807]  Now I have to say that Fukushima is probably going to be worse, although slightly different.
[01:11:20.368 --> 01:11:23.329]  And Fukushima is unfolding now, so we don't know the end of it.
[01:11:23.629 --> 01:11:28.571]  But the IAEA themselves, who are not renowned for telling the truth or for...
[01:11:30.172 --> 01:11:31.632]  I'm being very direct about this.
[01:11:31.673 --> 01:11:38.054]  I've already published in the various bulletins the levels of contamination at different distances from the Fukushima plant.
[01:11:38.074 --> 01:11:39.175]  It's all on the internet.
[01:11:39.195 --> 01:11:39.995]  You can see all this.
[01:11:41.115 --> 01:11:56.540]  And the latest bulletin, which was published today, says that the concentration on the ground, the contamination on the ground out to 32 kilometers has been measured at almost 5 megabecquerels per square meter.
[01:11:56.580 --> 01:11:57.820]  Now, that is actually
[01:11:59.055 --> 01:12:01.456]  10 times higher than the Chernobyl exclusion zone.
[01:12:01.476 --> 01:12:08.838]  So that's the first thing you have to say is that out to 30 kilometers, and the Chernobyl exclusion zone is 30 kilometers, so they're strictly comparable.
[01:12:09.318 --> 01:12:13.180]  The Fukushima contamination is 10 times higher per square meter.
[01:12:13.240 --> 01:12:14.060]  So that's the first thing.
[01:12:14.660 --> 01:12:33.116]  The second thing is that the contamination out to 78 km, also published by the UN, is 1 Mbq per square meter, or as high as, and so that is twice as high as the level in the Chernobyl exclusion zone, where everybody was, you will recall, where the Soviet authorities after three days
[01:12:34.384 --> 01:12:34.765]  Thank you.
