[00:00:22.076 --> 00:00:27.884]  Good evening and welcome to the Wednesday, December 28, 2011 edition of the InfoWars Nightly News.
[00:27:53.792 --> 00:27:58.534]  And we started turning up stuff and I kept turning in all those reports and they just kind of disappeared into a black hole.
[00:28:00.694 --> 00:28:02.775]  It just got more bizarre and more bizarre.
[00:28:02.795 --> 00:28:05.896]  Well, in July of that year, I went out to California to visit my father.
[00:28:06.576 --> 00:28:09.017]  There was no news in California about the Oklahoma City bombing.
[00:28:09.597 --> 00:28:13.379]  There was no news out of state about the Oklahoma City bombing or the investigation.
[00:28:13.819 --> 00:28:18.942]  Sure, there was news the day it happened, and maybe one or two days after that, and then it was like a blackout across the country.
[00:28:19.302 --> 00:28:34.489]  Unless somebody was going to trial, or unless somebody had just been arrested, or the elusive John Doe II that they said was this Todd Bunning who rented a Ryder truck the day ahead of time, and it really wasn't him, so there really wasn't a John Doe II, which is all hogwash.
[00:28:35.589 --> 00:28:37.490]  Unless it was something like that, nothing hit the news.
[00:28:37.550 --> 00:28:40.072]  So the rest of the country, it was a blackout.
[00:28:40.412 --> 00:28:41.172]  They were kept in the dark.
[00:28:41.892 --> 00:28:52.077]  So unless you go to some of the books and some of the documentaries that have been filmed since then and that are available out there, you're not going to hear anything about it.
[00:28:52.298 --> 00:28:58.801]  Unless you come on the Alex Jones Show or some other talk radio show where somebody that's been working on the case is willing to appear.
[00:28:59.181 --> 00:29:05.626]  Well, Colonel Roberts, I know you've probably covered a lot of this in your past appearances, but a lot of people are watching A Noble Lie for the first time.
[00:29:05.686 --> 00:29:12.151]  I know for me it was a real primer into the detailed kind of overview, because I missed a lot of that when it originally happened.
[00:29:12.191 --> 00:29:15.454]  But can you talk about some of the other threats to police officers?
[00:29:15.514 --> 00:29:18.796]  We had Don Browning, who's also in the film.
[00:29:19.397 --> 00:29:21.579]  There's a large section on Terrence Yankee.
[00:29:22.219 --> 00:29:42.397]  uh... to who i know you profiled and the terrible uh... treatment he was given can you talk about those threats i mean that's more than just prior knowledge that's uh... intimidating torturing killing uh... police and other first responder witnesses who had uh... relevant knowledge to this case well uh... don brownie is good friend of mine don was uh...
[00:29:43.118 --> 00:29:44.559]  Fantastic police officer.
[00:29:45.399 --> 00:29:47.220]  He was it was toward the end of his career.
[00:29:47.280 --> 00:30:00.386]  He was a canine sergeant at the time and he was one of the first two in the building is from from what I understand him and Terry Aikie and looking for you know victims that were still alive trying to do the best they could and and Don saw
[00:30:01.426 --> 00:30:04.829]  Damage inside the building that wasn't reported anyplace else.
[00:30:04.869 --> 00:30:18.542]  He saw damage in the back of the building, what they call the pit, where it went down two or three floors inside what had been the Parquet, where there were other explosives had detonated inside the building, and that's always left out.
[00:30:18.863 --> 00:30:20.144]  They don't want anybody to know that.
[00:30:20.164 --> 00:30:23.948]  They want everybody to think it's Lee Harvey McVeigh with a truck bomb, and that was it.
[00:30:24.528 --> 00:30:26.409]  When all that was was the diversion.
[00:30:27.089 --> 00:30:28.730]  The actual explosives were inside the building.
[00:30:28.750 --> 00:30:31.992]  That's what brought down the major damage in there.
[00:30:32.012 --> 00:30:32.992]  Don saw all this stuff.
[00:30:33.353 --> 00:30:34.893]  And he kept trying to tell people about it.
[00:30:35.594 --> 00:30:37.815]  And his own chain of command told him to shut up.
[00:30:37.875 --> 00:30:38.995]  Don't talk about this stuff.
[00:30:39.015 --> 00:30:44.038]  And then, of course, the feds came and leaned on him and said, you need to back off of this.
[00:30:44.058 --> 00:30:45.159]  You know, things could happen.
[00:30:45.199 --> 00:30:49.061]  I think they even told him that if he didn't shut up, he could die.
[00:30:50.401 --> 00:30:51.262]  You know, that sort of thing.
[00:30:51.882 --> 00:30:53.163]  They weren't that blatant with me.
[00:30:53.963 --> 00:30:59.267]  With me, they tapped my phone, they tapped my fax machine, they followed me, they tapped my office phones at the police department.
[00:31:01.029 --> 00:31:05.252]  And I knew all the stuff because I had gear that showed when, you know, there was something on the line.
[00:31:05.332 --> 00:31:06.072]  I had fun with it.
[00:31:07.013 --> 00:31:08.294]  I had a great time with it myself.
[00:31:08.835 --> 00:31:09.775]  They didn't intimidate me.
[00:31:09.835 --> 00:31:14.078]  I just don't scare easy after, you know, after being in the Marine Corps in Vietnam and all the stuff I've been through.
[00:31:15.019 --> 00:31:16.841]  You know, I just didn't scare, so it didn't bother me.
[00:31:17.741 --> 00:31:22.345]  Uh, you know, my idea was if you're going to do something to me, bring your own body bags and bring your lunch because it's going to take a while.
[00:31:22.365 --> 00:31:23.886]  And that's, you know, that's just the way I am.
[00:31:24.447 --> 00:31:26.388]  So they, they didn't try that tack with me.
[00:31:27.209 --> 00:31:30.572]  Uh, but with, with Terry Yakey, on the other hand, that was a whole different deal.
[00:31:30.592 --> 00:31:33.074]  Uh, Terry, now I never knew Terry.
[00:31:33.114 --> 00:31:33.774]  I never met him.
[00:31:33.834 --> 00:31:35.836]  I found out about all of this later on.
[00:31:37.898 --> 00:31:43.002]  Uh, excuse me, but he, uh, he was a sergeant on the police department in Oklahoma City.
[00:31:43.042 --> 00:31:46.785]  And he was, I think he was the first one in the building.
[00:31:48.590 --> 00:31:50.752]  And he didn't like what he saw.
[00:31:51.312 --> 00:31:56.555]  I don't know exactly what he saw in the building, but I suspect he saw possibly some charges that did not go off.
[00:31:57.396 --> 00:32:08.123]  Because one of the ladies, Jane Graham, who worked there, had gone to work, I think it was a day or two before that, and saw who she thought was Andrea Strassmeyer.
[00:32:09.103 --> 00:32:16.033]  And two other guys in the basement of the building putting putty on the columns and stringing what she thought was telephone wire between them.
[00:32:16.073 --> 00:32:22.882]  To me it sounds like it was probably composition C4 and dead cord that they were stringing on the columns inside the building.
[00:32:23.103 --> 00:32:24.745]  And they were wearing GSA coveralls.
[00:32:25.826 --> 00:32:27.227]  Uh, as, as camouflage.
[00:32:27.688 --> 00:32:37.154]  Uh, so, so later on, we find out that, uh, you know, uh, not all the charges probably went off, and maybe Don Browning, uh, saw the damage, and Terrence Jeky saw some of the charges.
[00:32:37.294 --> 00:32:39.576]  I don't know, but I'm just, that's a theory I have.
[00:32:39.616 --> 00:32:53.565]  But whatever it was he saw, he kept trying to tell people about, and he was told by his own chain of command, stay off this, it's a federal deal, you don't want to do this, back off, uh, you know, just forget the whole thing, and he just wouldn't do it.
[00:32:54.562 --> 00:32:56.682]  And so he was accumulating evidence.
[00:32:57.343 --> 00:32:59.003]  He was getting statements from witnesses.
[00:32:59.043 --> 00:33:02.483]  He was talking to people that were survivors and things like that.
[00:33:03.444 --> 00:33:05.264]  His apartment was broken into.
[00:33:07.864 --> 00:33:09.345]  He was being followed around.
[00:33:09.605 --> 00:33:15.526]  And on one particular night, one particular afternoon, he was supposed to have dinner with a friend of his.
[00:33:16.586 --> 00:33:20.827]  And he called him up and he said, listen, I've got to run some stuff out to my mini storage in El Reno.
[00:33:21.937 --> 00:33:27.900]  And he said, when I get done with that, I'll come back and we'll go to dinner as soon as I shake these two feds that are following me.
[00:33:29.001 --> 00:33:38.585]  So, for some reason he thought that there were two federal agents following him, probably, you know, in some sedan or something, wearing sunglasses, I don't know.
[00:33:39.466 --> 00:33:41.567]  But he was under the impression that they were following him.
[00:33:42.427 --> 00:33:43.308]  And he never came back.
[00:33:44.488 --> 00:33:45.429]  No one heard from him again.
[00:33:46.713 --> 00:33:54.936]  And he was found the next day not far from the El Reno Federal Reformatory in a field, out in the middle of a field.
[00:33:55.977 --> 00:33:59.478]  His car had been abandoned on a side road there.
[00:33:59.638 --> 00:34:00.639]  There was blood in the car.
[00:34:00.699 --> 00:34:01.579]  The car was locked up.
[00:34:02.639 --> 00:34:08.322]  They found a knife up where the heater would be, up under the dashboard.
[00:34:09.202 --> 00:34:14.350]  Why would you use a knife and then hide it unless you were doing something to somebody else?
[00:34:14.430 --> 00:34:17.114]  Because they wrote this whole thing up as a suicide when they found his body.
[00:34:17.835 --> 00:34:23.904]  When they found his body out in the middle of this field, we had to go through a bar ditch and a barbed wire fence to get out in the middle of this field.
[00:34:24.605 --> 00:34:31.471]  He had slash marks inside his wrists, slash marks inside both elbows, one on each side of his neck.
[00:34:31.971 --> 00:34:39.037]  He had rope burns around his neck, or ligature marks around his neck, and he had handcuff marks on his wrist.
[00:34:40.899 --> 00:34:59.167]  And then he was shot and he'd been beaten and tortured and he'd been shot from the upper side of his head down through the lower jaw and there was no hardly any powder burns there was no there's a contact room with hardly any powder burns which tells me it's probably a silencer or a sound suppressor because that's where the powder would go instead.
[00:34:59.187 --> 00:35:00.488]  Obviously not a suicide.
[00:35:00.928 --> 00:35:03.691]  It was that, and who shoots themselves a downward angle anyway?
[00:35:03.731 --> 00:35:07.574]  You know, you go on your chin, you go on your mouth, go through your head, but you don't get uncomfortable before you kill yourself.
[00:35:08.455 --> 00:35:10.978]  And I've got these diagrams, by the way, on my website.
[00:35:11.018 --> 00:35:20.426]  If somebody wants to go to Rifle Warrior, that's rifle isn't gun, warrior isn't soldier, all one word, riflewarrior.com, and scroll down to the Baker Street Irregulars,
[00:35:21.187 --> 00:35:23.608]  Go to that and click on Terence Yakey's case.
[00:35:24.189 --> 00:35:25.529]  And all those diagrams are there.
[00:35:25.930 --> 00:35:29.352]  The death certificate written up as a suicide and the whole bit.
[00:35:30.132 --> 00:35:33.454]  Interestingly enough, it was a small caliber gun, probably a .32.
[00:35:34.354 --> 00:35:37.196]  Well, he was supposed to carry, I think, a Glock 40 or 9mm.
[00:35:37.236 --> 00:35:39.917]  I can't remember which they had issued back in those days.
[00:35:40.438 --> 00:35:42.399]  But whatever it was, there was no gun found at the scene.
[00:35:43.717 --> 00:35:50.384]  The gun turns up later and I'm not even sure if it was his service pistol or not.
[00:35:51.045 --> 00:35:57.312]  But the family wasn't even notified until later on and when they were notified did they send a police car over to get his mother?
[00:35:57.652 --> 00:35:57.853]  No.
[00:35:58.373 --> 00:36:00.496]  Did they send anybody over to do anything with the family?
[00:36:00.756 --> 00:36:00.956]  No.
[00:36:02.378 --> 00:36:02.998]  If you get the DVD
[00:36:04.880 --> 00:36:06.261]  Uh, a noble lie.
[00:36:06.421 --> 00:36:07.902]  They interviewed Terence Hickey's mother.
[00:36:07.942 --> 00:36:15.125]  They go into this case and it's very interesting to see all of the different things that happened at that time down in the Oklahoma City area.
[00:36:15.385 --> 00:36:16.145]  But he was murdered.
[00:36:16.405 --> 00:36:17.606]  It was written up as a suicide.
[00:36:17.966 --> 00:36:18.566]  Plain and simple.
[00:36:18.826 --> 00:36:22.008]  And there were so many others that had mysterious deaths.
[00:36:23.008 --> 00:36:25.149]  around the Oklahoma City bombing and right afterwards.
[00:36:25.789 --> 00:36:33.473]  If you get on the internet and just type in Oklahoma City murders or Oklahoma City suicides or Oklahoma City bombing deaths, you can bring up a string of them.
[00:36:33.493 --> 00:36:34.333]  There's Dr. Chunley.
[00:36:35.173 --> 00:36:40.296]  He was the doctor that was on the scene that set up and kind of first aid station, was treating people there.
[00:36:40.996 --> 00:36:48.739]  And the ATF agents came up and wanted him to be treated and told him that they were, you know, they had been in this elevator and the elevator fell and all that.
[00:36:48.759 --> 00:36:51.961]  They found out later, the elevator never fell and they were never in it.
[00:36:52.401 --> 00:36:58.122]  They weren't even in the building when this thing went down, but he was telling everybody these guys weren't hurt and they were not in the building when this happened.
[00:36:58.682 --> 00:37:17.226]  Well, he was on a, not long after that, he was on a hunting trip with some friends and they went out, flew it in a Cessna 210 airplane out to New Mexico, and they were flying back, weather was clear, nothing wrong with anything, and the airplane, all of a sudden, over Shamrock, Texas, spirals straight down into the ground and kills them all.
[00:37:18.406 --> 00:37:20.467]  Uh, and there was nothing wrong with the airplane.
[00:37:20.487 --> 00:37:22.608]  It wasn't instrument conditions or anything.
[00:37:22.868 --> 00:37:30.552]  The FAA, uh, said, well, you know, the only thing they could think is maybe he was the only one that knew how to fly and he had a heart attack and no one knew how to pull the airplane out of the dive.
[00:37:31.893 --> 00:37:34.074]  We'll never know because the wreckage was so bad.
[00:37:35.529 --> 00:37:47.803]  But, you know, bottom line is that there were so many after that, you know, so many different witnesses, you know, disappeared, killed, you know, so on and so forth.
[00:37:49.939 --> 00:37:53.201]  Sir, shifting gears, where's the larger story point?
[00:37:53.221 --> 00:38:01.006]  We know there's the whole Elohim City element with all these infiltrators, Andy Strossmeier intelligence, super intelligence, whatever.
[00:38:01.687 --> 00:38:04.368]  The Jesse Trinidou document showed the SPLC.
[00:38:05.949 --> 00:38:10.052]  On phone calls with McVeigh and other people inside the Elohim City compound.
[00:38:10.472 --> 00:38:15.535]  And then you have the political elements with Holder and Reno and all the ATF people.
[00:38:15.895 --> 00:38:21.299]  And they're still at it today, many of them, pursuing other false flags for political motives.
[00:38:21.659 --> 00:38:25.021]  Where does this larger story point, sir, if you could point us in the right direction?
[00:38:25.481 --> 00:38:29.264]  Well, it gets real interesting because it's like going into a building with a lot of different hallways.
[00:38:29.384 --> 00:38:31.166]  It just depends which one you want to go down.
[00:38:31.706 --> 00:38:35.449]  It's all got the same front door and the same back door, but the hallways go off in an elaborance.
[00:38:35.850 --> 00:38:36.851]  It's a maze in there.
[00:38:39.032 --> 00:38:43.857]  What I couldn't understand is we had on day three, day four, and day five,
[00:38:44.758 --> 00:38:47.381]  Of course, they got McVeigh by then and they put him in jail.
[00:38:48.443 --> 00:39:00.300]  And all the eyewitnesses were pointing to these Middle Eastern males wearing blue jogging suits that were in front of the building that ran off and jumped into a brown GMC pickup and raced away from the building just as the truck pulled up and so on and so forth.
[00:39:00.780 --> 00:39:02.822]  We're following Middle Eastern connections all over the place.
[00:39:02.842 --> 00:39:07.345]  The APBs that were coming out had to do with Middle Easterners, you know, era types.
[00:39:08.245 --> 00:39:11.728]  Then all of a sudden, on Sunday, the whole game changed.
[00:39:12.428 --> 00:39:17.392]  The FBI raids Nichols Brothers Farm, James Nichols up in Michigan.
[00:39:18.112 --> 00:39:18.813]  I think so.
[00:39:34.062 --> 00:39:36.284]  That he was somehow connected to.
[00:39:36.304 --> 00:39:38.105]  We didn't know how right at that particular time.
[00:39:38.605 --> 00:39:46.230]  Then all of a sudden the media does this launch on Michigan on Nichols Brothers Farm and all of a sudden the whole case changed.
[00:39:47.451 --> 00:39:51.313]  Bill Clinton stands up and he makes a statement, there is no Middle Eastern connection.
[00:39:51.633 --> 00:39:51.954]  Period.
[00:39:52.874 --> 00:39:53.955]  Okay, wait a minute.
[00:39:53.995 --> 00:39:55.576]  That's all we've got is the Middle Eastern Connections.
[00:39:55.616 --> 00:39:56.336]  What's going on here?
[00:39:56.817 --> 00:40:04.162]  And that's when the media launched off on the right wing, conservative radio talk show host, the militias, and so on and so forth.
[00:40:05.328 --> 00:40:07.529]  And I couldn't understand where they were getting all this.
[00:40:07.549 --> 00:40:08.869]  Where's all this coming from?
[00:40:09.510 --> 00:40:21.094]  This may be the natural enemy of the Clintons, and it may be the natural enemy of the left wing, and the communists, and the Marxists, and all that nonsense, but they're not involved in the Oklahoma City bombing.
[00:40:21.154 --> 00:40:23.995]  Now, we haven't got one thing pointing that direction right now.
[00:40:25.617 --> 00:40:30.000]  FBI asked me, do you think any militias are involved in this?
[00:40:30.060 --> 00:40:30.560]  I said, no.
[00:40:31.160 --> 00:40:37.324]  I said, if there was a militia around here, and they knew the federal building was going to be bombed, they would have guarded it.
[00:40:38.024 --> 00:40:40.466]  Now, if it was a UN building, that would be a different story.
[00:40:40.706 --> 00:40:41.966]  I'd start looking that direction.
[00:40:42.487 --> 00:40:46.669]  But not a federal building, you know, a public building, that's like blowing up the post office.
[00:40:47.309 --> 00:40:48.110]  Who wants to do that?
[00:40:48.630 --> 00:40:52.933]  There's something else involved here and something's not right because all we have is Middle Eastern connections.
[00:40:52.993 --> 00:40:54.654]  We don't have anything pointing that direction.
[00:40:54.994 --> 00:41:00.757]  But the FBI all of a sudden shut down its investigation of any lead that went to a Middle Eastern connection.
[00:41:01.078 --> 00:41:10.844]  And they started focusing on militias, the NRA, right-wing radio talk show host, as Charles Schumer said, right-wing radicals.
[00:41:11.484 --> 00:41:12.324]  All this kind of stuff.
[00:41:12.725 --> 00:41:13.565]  We had nothing going there.
[00:41:14.186 --> 00:41:15.787]  And I couldn't figure out what was going on.
[00:41:16.727 --> 00:41:26.770]  And then, you know, a couple of months into this thing, my FBI contact guy that I was supposed to be working with called me up and he said, hey, have you ever heard of a place called Elohim City?
[00:41:27.691 --> 00:41:28.831]  And I said, Elohim City?
[00:41:29.091 --> 00:41:29.571]  What's that?
[00:41:30.112 --> 00:41:31.472]  He said, it's a place in Oklahoma.
[00:41:31.552 --> 00:41:33.893]  I said, well, I've lived here 40 years and I've never heard of it.
[00:41:34.633 --> 00:41:37.114]  And he said, no, it's supposed to be some kind of community in Oklahoma.
[00:41:37.334 --> 00:41:39.895]  Well, he knew a lot more about it than he was being honest with me about.
[00:41:40.795 --> 00:41:43.157]  I think he just wanted to know if I'd ever heard of it or knew anything about it.
[00:41:43.758 --> 00:41:44.418]  And I never had.
[00:41:44.458 --> 00:41:46.720]  I had to research it myself to figure out what it was.
[00:41:47.421 --> 00:41:47.961]  And it's nothing.
[00:41:47.981 --> 00:41:53.666]  It's just a group of houses out in the middle of nowhere woods on the Arkansas border just inside of Oklahoma.
[00:41:55.207 --> 00:42:01.653]  And it's basically one family down there, the Millars, and mostly relatives.
[00:42:02.373 --> 00:42:04.935]  And they got this little Christian identity community thing going.
[00:42:05.275 --> 00:42:07.677]  But the odd man out on the whole deal was Andrea Strassmeyer.
[00:42:07.697 --> 00:42:10.019]  And then I stumbled onto another deal about Elohim City.
[00:42:10.039 --> 00:42:11.380]  There was a guy named Dennis Mahon.
[00:42:11.941 --> 00:42:13.242]  I knew who Dennis Mahon was.
[00:42:13.562 --> 00:42:14.162]  And he knew me.
[00:42:14.322 --> 00:42:16.224]  He was a local Tulsa character.
[00:42:16.764 --> 00:42:20.867]  He was the Grand Wizard of KKK in Tulsa, you know, a few years before that.
[00:42:21.388 --> 00:42:23.550]  He was involved in all kinds of neo-Nazi stuff.
[00:42:23.590 --> 00:42:29.915]  He was a friend of the war, the White Area Resistance, Metzger up in Sandpoint, Idaho.
[00:42:30.955 --> 00:42:31.616]  I don't think so.
[00:42:48.112 --> 00:42:53.715]  But I think probably by this time, Mahon was an informant for one of the federal agencies, probably the FBI.
[00:42:55.176 --> 00:42:58.037]  And he was linking up with Strassmeier.
[00:42:58.117 --> 00:43:00.579]  He was going down and visiting Strassmeier at LOM City.
[00:43:00.659 --> 00:43:09.123]  Of course, I didn't know who Strassmeier was at the time, but we found out later that his dad was a secretary for Helmut Kohl, who was the chancellor of Germany, or assistant chancellor, whatever it was.
[00:43:09.863 --> 00:43:14.246]  And Strassmeier was in the pants of Grenadiers as an intelligence officer.
[00:43:15.286 --> 00:43:23.831]  And at the time, Germany was having a real bad time trying to deal with an emerging neo-Nazi movement that was happening in Germany.
[00:43:24.631 --> 00:43:40.640]  And I think that they sent Strassmeier over here to try to infiltrate the American end of this because a lot of the materials they were getting, a lot of the Nazi symbology and all the different things, the accoutrements and stuff, were being shipped to Germany from America because they weren't even supposed to have it over there and they sure couldn't buy it.
[00:43:41.621 --> 00:43:43.263]  And Mahon was involved in all of that.
[00:43:43.303 --> 00:43:45.185]  I think he was supplying Strassmeier with stuff.
[00:43:45.225 --> 00:43:48.269]  Thinking Strassmeier is a good German Neo-Nazi that came over here.
[00:43:49.230 --> 00:43:52.054]  And Strassmeier was an informant for
[00:43:54.151 --> 00:43:56.632]  Somebody, and we just weren't sure who at the time.
[00:43:56.652 --> 00:44:00.454]  The FBI swore it wasn't them, but that was the local FBI.
[00:44:01.015 --> 00:44:08.879]  It wasn't until quite a while later that the Southern Poverty Law Center connection came up, which brings Morris Dees into it.
[00:44:09.759 --> 00:44:14.641]  And because they got linked into this deal, all of a sudden the lights started going on for me.
[00:44:14.661 --> 00:44:15.522]  And I'm going, wait a minute.
[00:44:16.957 --> 00:44:22.260]  We were after the Middle Easterners until Sunday, then all of a sudden we're after the right wing and the militias.
[00:44:22.820 --> 00:44:33.866]  Now who's the biggest guy out there making money from selling newsletters called Militia Watch and writing books about the militia and the right wing and the militia movement but more is these.
[00:44:34.607 --> 00:44:36.067]  He made money off this deal.
[00:44:36.548 --> 00:44:43.432]  Well he's got Strassmeier evidently reporting to him or to the Southern Poverty Law Center according to the documentation that's surfaced since then.
[00:44:44.512 --> 00:44:47.455]  And so that's starting to make sense, but let me tell you what didn't make any sense.
[00:44:47.775 --> 00:44:49.657]  Okay, let's say Strassmeier's working for him.
[00:44:51.438 --> 00:45:04.270]  When it came time for someone to talk to Strassmeier about his connection to McVeigh, LOMC, the bombing, and to Dennis Mahon, Strassmeier disappears.
[00:45:05.518 --> 00:45:08.339]  And somebody hides him and smuggles him out of the country.
[00:45:08.359 --> 00:45:09.340]  But is it Morris Dease?
[00:45:09.420 --> 00:45:09.640]  No.
[00:45:10.260 --> 00:45:16.663]  It's Kirk Lyons at the Cause Foundation, which is in North Carolina.
[00:45:17.763 --> 00:45:22.085]  And he's the lawyer that is the alter ego, the exact opposite.
[00:45:22.725 --> 00:45:23.325]  I don't know.
[00:45:39.255 --> 00:45:40.557]  Now what connection does that have?
[00:45:40.577 --> 00:45:43.141]  We got Strassmeyer working for both of them at the same time?
[00:45:43.721 --> 00:45:45.444]  Or knows both of them at the same time?
[00:45:45.464 --> 00:45:46.906]  There's a connection there somewhere.
[00:45:47.707 --> 00:45:50.350]  And no one really explored that or said a word about that.
[00:45:50.411 --> 00:45:52.914]  That would have been something I would have been all over like a dog on a junebug.
[00:45:53.515 --> 00:45:54.396]  And it just didn't happen.
[00:45:55.257 --> 00:46:00.001]  So every time we get really hard, good evidence of something going on, it doesn't go anyplace.
[00:46:00.181 --> 00:46:08.388]  It's like Janet Davis said, you know, who do you go to with this information if the people that are supposed to take it don't want it, won't touch it?
[00:46:08.968 --> 00:46:09.909]  You know, so who's involved?
[00:46:10.649 --> 00:46:18.576]  And then of course, you know, with all this out on the table, we could always go into the Middle Eastern connection through Nichols, if you want to.
[00:46:20.151 --> 00:46:39.589]  Well, we'll leave that for next time, but I do want to bring up the potential for a next attack because we have Obama advisors, including Robert Shapiro, saying, I know you haven't seen the specific article, but you've probably heard similar calls, for a way to boost his sagging popularity with a new 9-11 style Oklahoma City attack.
[00:46:39.969 --> 00:46:42.772]  At the same time, you've got the SPLC and Homeland Security
[00:46:43.213 --> 00:46:51.095]  Beating the drum for domestic extremist right-wing extremist militia type threat all throughout the Obama administration.
[00:46:51.892 --> 00:46:55.655]  Well, there are so many cans that they could open up and dump the worms out of right now.
[00:46:55.675 --> 00:46:56.456]  It's pathetic.
[00:46:57.357 --> 00:46:59.098]  You can go after the right wing.
[00:46:59.138 --> 00:47:05.063]  You can go after... There really isn't any big militia movements left anymore.
[00:47:05.083 --> 00:47:11.208]  There's little groups of people and little home defense groups that get together and individuals, what they call the lone wolf.
[00:47:11.628 --> 00:47:13.470]  I mean, this whole country is on a powder keg right now.
[00:47:13.630 --> 00:47:15.152]  Everybody's tired of what's going on.
[00:47:15.172 --> 00:47:17.475]  There's people out there talking about picking up guns.
[00:47:17.575 --> 00:47:19.317]  I mean, it's happening all over the country.
[00:47:19.857 --> 00:47:20.418]  We know that.
[00:47:20.478 --> 00:47:21.980]  That's the atmosphere right now.
[00:47:22.420 --> 00:47:29.449]  But what would set off a government crackdown, for lack of a better word, anything could.
[00:47:30.410 --> 00:47:32.132]  How about Israel and Iran getting into it?
[00:47:32.492 --> 00:47:36.714]  How about us going into Iran and blocking the Straits of Hormuz?
[00:47:37.674 --> 00:47:44.177]  We've got biological terrorism still capable of occurring in this country.
[00:47:44.938 --> 00:47:51.881]  We've got all kinds of Middle Eastern terrorists bringing whatever they want across the Mexican border and the Obama administration doing nothing about it.
[00:47:54.522 --> 00:47:59.124]  You remember the DC Snipers, the two guys that run around the car just shooting people at random?
[00:47:59.744 --> 00:48:11.749]  Well, if you started that with Islamics, or people dressed up to look like Islamics, and just started shooting people around the country and swearing up and down, you know, taking credit as it's Jihad,
[00:48:12.809 --> 00:48:18.134]  Then you would have the mainstream America against the Muslim community.
[00:48:18.674 --> 00:48:19.915]  No one would trust anybody.
[00:48:19.935 --> 00:48:20.716]  Blah, blah, blah.
[00:48:21.076 --> 00:48:22.677]  I mean, any pretext alone.
[00:48:22.957 --> 00:48:26.981]  If you had events like blowing up a train, blowing up another airplane.
[00:48:27.601 --> 00:48:30.363]  I'm not talking about TWA, you turned over the water.
[00:48:30.383 --> 00:48:32.505]  I'm talking about over the middle of the United States.
[00:48:32.585 --> 00:48:34.807]  You know, something like that, a jumbo jet.
[00:48:34.827 --> 00:48:39.911]  If you had anything that would precipitate a TSA homeland security crackdown.
[00:48:40.191 --> 00:48:41.352]  It wouldn't take that much.
[00:48:41.833 --> 00:48:42.653]  Anything to do that.
[00:48:43.194 --> 00:48:49.379]  Any threat to the population that the media could play up on, such as biological or radiological, a dirty bomb someplace.
[00:48:49.399 --> 00:48:50.960]  Yeah, they'll take any pretext that sells.
[00:48:51.521 --> 00:48:52.242]  Any pretext.
[00:48:52.262 --> 00:48:53.803]  They've got a whole toolbox full of them.
[00:48:54.123 --> 00:48:56.245]  And the thing about it is, it could happen.
[00:48:56.305 --> 00:48:58.207]  And the reason it can happen is because it's happened before.
[00:48:58.767 --> 00:49:03.692]  The Amtrak derailment in Arizona, the Oklahoma City bombing, the 1993 World Trade Center bombing, 9-11.
[00:49:05.613 --> 00:49:12.516]  Uh, you know, I mean, they've hit virtually every possible type of terrorist targets, except a ship at sea.
[00:49:12.836 --> 00:49:14.336]  And that happened with the Achille Lauro.
[00:49:14.696 --> 00:49:24.220]  But, you know, that's how many people go out and ride a cruise ship compared to how many people go to the post office, how many people go to a clinic, how many people go to a sports stadium.
[00:49:25.899 --> 00:49:25.979]  Yes!
[00:49:56.800 --> 00:50:00.643]  On this crime bill and the Patriot Act and so on and so forth.
[00:50:01.023 --> 00:50:02.825]  And then what do you do with the population?
[00:50:02.885 --> 00:50:05.808]  If you have an outbreak of something in the city, what do you do with the population?
[00:50:05.848 --> 00:50:07.749]  You've got to move them to a relocation center.
[00:50:08.650 --> 00:50:10.632]  Now, is that starting to sound a little bit familiar?
[00:50:12.074 --> 00:50:13.815]  Putting all the pieces of the puzzle together.
[00:50:14.276 --> 00:50:16.739]  Well said, sir, and we appreciate you joining us.
[00:50:16.819 --> 00:50:23.025]  I hope we'll have you back on very soon to get even further into this case and everything that's happening in the modern day.
[00:50:23.105 --> 00:50:29.412]  Colonel Craig Roberts, thank you for joining us tonight on the InfoWars Nightly News, and we'll be back again tomorrow.
[00:50:30.353 --> 00:50:31.154]  So long and farewell.
