[00:00:03.302 --> 00:00:04.002]  I'm Chuck Baldwin.
[00:36:15.610 --> 00:36:17.431]  None of the other hosts on Fox would have me on.
[00:36:18.312 --> 00:36:20.573]  We tried to get on.
[00:36:21.034 --> 00:36:23.095]  Where was the message?
[00:36:23.195 --> 00:36:25.777]  Who was giving the message of constitutional government in 2008?
[00:36:26.257 --> 00:36:30.180]  After Ron Paul was defeated in the primary, who was bringing the message?
[00:36:31.121 --> 00:36:43.784]  If Glenn Beck really wanted to promote the message of constitutional government, limited government, principles of freedom, the Bill of Rights, the message of the Founding Fathers, John McCain wasn't preaching that message.
[00:36:44.644 --> 00:36:46.204]  Barack Obama wasn't preaching that message.
[00:36:46.584 --> 00:36:49.205]  But Chuck Baldwin in the general election was preaching that message.
[00:36:49.505 --> 00:36:54.726]  And yet, we never had the opportunity one time to deliver that message to Glenn Beck's audience.
[00:36:55.816 --> 00:37:04.384]  They have reached the point in the evolution of all of this globalism that they really are not trying to hide it all that much anymore.
[00:37:04.805 --> 00:37:09.910]  It's almost an in-your-face, you know, here we are, what are you going to do about it kind of attitude.
[00:37:10.430 --> 00:37:17.177]  And I think that personally the Clintons and the Bush families
[00:37:18.378 --> 00:37:25.102]  are involved in many dubious and sinister activities.
[00:37:26.143 --> 00:37:36.429]  Don't be surprised if Hillary Clinton becomes Vice President before the 2012 re-election campaign of Barack Obama.
[00:37:37.090 --> 00:37:42.753]  I think the globalists and the syndicate of
[00:37:45.126 --> 00:37:56.450]  Those internationalists that are working toward the unification of the economies of the world, etc., I think they feel they need her in the White House.
[00:37:57.310 --> 00:38:03.632]  And it wouldn't surprise me a bit if she becomes Vice President before the 2012 election.
[00:38:03.952 --> 00:38:07.633]  It also will not surprise me if Barack Obama wins re-election.
[00:38:07.953 --> 00:38:13.935]  Don't think for one minute that Mr. Obama is out of the
[00:38:14.551 --> 00:38:16.292]  We're good to go.
[00:38:43.258 --> 00:38:53.800]  I mean, an obvious, blatant neocon, somebody like a Newt Gingrich, someone of that nature, who real conservatives just could not even think about supporting.
[00:38:55.580 --> 00:38:58.321]  If that were the case, then Mr. Obama gets four more years.
[00:38:59.161 --> 00:39:06.082]  And if Clinton, Hillary Clinton, is his vice president, it puts another Clinton in the White House.
[00:39:06.142 --> 00:39:11.183]  And again, the Clinton-Bush cabal, in my opinion,
[00:39:11.963 --> 00:39:22.130]  is part of a very dubious, sinister organization that is working against the interests of freedom and liberty in this country.
[00:39:23.211 --> 00:39:33.418]  The difference between the Republicans and the Democrats now at the national level is that the Democrats want to tax and spend to promote the welfare state.
[00:39:34.379 --> 00:39:38.642]  The Republicans want to borrow and spend to promote the warfare state.
[00:39:39.633 --> 00:39:41.353]  But neither party in Washington, D.C.
[00:39:41.393 --> 00:39:42.934]  wants to live by the Constitution.
[00:39:43.874 --> 00:39:50.835]  Wants to put the federal government under the constraints and the chains of the Constitution.
[00:39:50.855 --> 00:39:52.096]  Neither party in Washington, D.C.
[00:39:52.116 --> 00:39:52.736]  wants to do that.
[00:39:54.196 --> 00:40:03.538]  And the GOP, under George W. Bush, has become an empire building
[00:40:05.022 --> 00:40:07.885]  nation-building, warmongering party.
[00:40:09.106 --> 00:40:20.575]  I think it has betrayed the fundamental precepts of what many of the old-time Republicans actually believed and stood for.
[00:40:20.595 --> 00:40:25.660]  I think Ron Paul's message during the primary elections of 2008 was spot-on.
[00:40:25.740 --> 00:40:26.921]  It's only after Mr. Bush
[00:40:33.696 --> 00:40:35.757]  We're good to go.
[00:40:55.028 --> 00:40:59.170]  Unprovoked foreign wars as some kind of a holy cause.
[00:41:00.411 --> 00:41:11.518]  We have lost all sense of the just war theory and why we go to war and what are the right reasons for war and how do you go to war and so forth.
[00:41:11.998 --> 00:41:15.200]  All the things that historically Americans believed
[00:41:16.620 --> 00:41:40.512]  Have now been repudiated by the George W. Bush brand of Republicanism to the point now that what we see today as conservatism, as it's known, is not even remotely related to what conservatism was back before George W. Bush became president.
[00:41:42.053 --> 00:41:44.474]  I believe we need a revolution of states
[00:41:46.310 --> 00:41:54.576]  I go back to the principles of federalism that were incorporated into our Constitution that has made America what it is.
[00:41:54.736 --> 00:41:57.318]  That was the great experiment of 1787.
[00:41:57.358 --> 00:41:57.919]  The experiment was
[00:42:01.201 --> 00:42:13.857]  You would have two governments, two nation states, if you please, living side-by-side, each respecting the constraints and the jurisdiction of the other.
[00:42:14.618 --> 00:42:17.861]  The federal government respecting the Tenth Amendment.
[00:42:18.382 --> 00:42:18.562]  Of course.
[00:42:37.446 --> 00:42:40.328]  Than the federal government ever, ever could have.
[00:42:40.909 --> 00:42:44.812]  And the states respecting the federal government and the role that it was given them.
[00:42:45.192 --> 00:42:48.815]  The federal government respecting the states and the role that was given to them.
[00:42:49.256 --> 00:42:52.438]  Living side by side, harmoniously, peacefully.
[00:42:52.739 --> 00:42:55.301]  That was the great experiment of the U.S.
[00:42:55.341 --> 00:42:56.001]  Constitution.
[00:42:56.361 --> 00:43:05.429]  What's happened is the federal government has grown in power to the point that it is swallowing up the states.
[00:43:06.084 --> 00:43:12.048]  And it is causing the principles of federalism to be destroyed.
[00:43:12.708 --> 00:43:34.543]  The revolution we need is a revolution of state governments backed by the governors, the legislators, the attorneys general, the courts of the states, and of course ultimately by we the people, the sovereigns of that state, with their own will, and yes with their own arms,
[00:43:35.023 --> 00:43:45.747]  that are willing to defend the principles of constitutionalism and federalism as prescribed in those great founding documents.
[00:43:46.687 --> 00:43:57.711]  And so that's why I say, if the only thing we have in 2010 and 2012 is another quote, conservative movement, all it's going to do is fuel the same system
[00:43:58.632 --> 00:44:04.216]  The same system that is destroying us is going to continue to grow and there will be no change.
[00:44:04.536 --> 00:44:15.944]  And so what we need is a revolutionary idea similar to what happened in 75 and 76 when the founders said we are not going to be ruled by
[00:44:16.944 --> 00:44:17.985]  One central state.
[00:44:18.065 --> 00:44:27.771]  We are going to incorporate a system of law and governance whereby the people will govern themselves under law.
[00:44:28.212 --> 00:44:29.312]  And here is the law.
[00:44:29.593 --> 00:44:41.921]  And they established this federalist system, a confederation of nation states whereby each state is free and independent and able to protect the rights and sanctity
[00:44:42.401 --> 00:44:44.962]  Of its own borders and its own citizenry.
[00:44:45.302 --> 00:45:11.052]  And until we get people in the states to recognize that responsibility and that duty, and in a revolutionary manner, stand up for those rights and those duties, all we're going to do is to continue to fuel the same beast, the same system, that is swallowing up the liberties and the freedoms of the American people.
[00:45:12.293 --> 00:45:15.374]  It's really not a left-right battle.
[00:45:16.014 --> 00:45:18.234]  It's not a conservative-liberal battle.
[00:45:18.875 --> 00:45:22.435]  It really is a Constitution battle.
[00:45:23.516 --> 00:45:25.876]  It is an independence battle.
[00:45:26.056 --> 00:45:37.159]  It is a battle for the independence of our states, the sovereignty of our states, the sovereignty of our country, the rights and liberties of our citizenry,
[00:45:37.879 --> 00:45:54.795]  Against a burgeoning New World Order, an order of globalism of international scale, a cabal of people that really do despise our form of government and really do want to eradicate the principles of freedom upon which it was established.
[00:45:55.155 --> 00:45:57.417]  This is not a battle between left and right.
[00:45:58.263 --> 00:45:59.705]  Or between conservative and liberal.
[00:46:01.006 --> 00:46:11.239]  I had, in my campaign in 2008, I could not tell you how many people that would identify themselves as moderates or even leaning to the left.
[00:46:12.475 --> 00:46:12.835]  That's good.
[00:46:28.782 --> 00:46:43.797]  And at the end of the day, that is going to be the issue that is either going to revive freedom in this country or bury freedom in this country, depending on how we respond to this battle.
[00:46:44.858 --> 00:46:46.338]  No, I agree with you.
[00:46:46.698 --> 00:46:53.240]  And that's why I don't worry about people that identify themselves in one way or the other politically.
[00:46:53.760 --> 00:46:57.200]  We talk about the Constitution, freedom, liberty, the Bill of Rights, federalism, etc.
[00:46:57.900 --> 00:47:05.842]  And it's amazing how many people, especially young people today, that resonate with that message.
[00:47:07.042 --> 00:47:10.523]  My family and I, which includes 17 people and 5 families,
[00:47:13.080 --> 00:47:22.730]  I have decided to, after 35 years living here in Pittsburgh, Florida, my wife and I started this church from scratch 35 years ago.
[00:47:23.791 --> 00:47:26.834]  We've poured our hearts and soul into this ministry.
[00:47:28.636 --> 00:47:30.398]  We have friends of a lifetime here.
[00:47:30.418 --> 00:47:35.523]  This is an excruciating, gut-wrenching decision.
[00:47:36.204 --> 00:47:47.512]  But we made the decision a few weeks ago that we were going to move, lock, stock and barrel, all of us, to the northwestern part, the Flathead Valley of Montana.
[00:47:48.753 --> 00:47:56.558]  Why in the world would anybody leave the sunny south and the beaches of the Gulf Coast for the cold and snow of the Rocky Mountains?
[00:47:58.599 --> 00:48:14.317]  We really believe, as I've been talking about in this interview, the importance of states standing up for the freedoms and liberties that have been guaranteed to us in the Constitution.
[00:48:15.891 --> 00:48:25.559]  In my travel, over 60,000 miles in the last two years, from coast to coast and border to border, I've seen just about every part of this country that there is to see.
[00:48:25.619 --> 00:48:30.183]  And I've seen the states in which freedom is pretty much non-existent.
[00:48:30.863 --> 00:48:38.189]  And I've seen the states where there is a love of liberty still burning brightly in the hearts of the people.
[00:48:38.710 --> 00:48:42.072]  And I found that most in the mountain states.
[00:48:43.233 --> 00:48:45.035]  Idaho, Montana, Wyoming,
[00:48:45.996 --> 00:49:05.258]  The Dakotas, Utah, even across the border in Alberta, British Columbia, Alaska, I found that there was still a group of people that loved liberty, understood the principles of liberty, and were willing to fight for it.
[00:49:06.099 --> 00:49:25.415]  And I really believe, and my family all agree with me, that if there is any hope for a revival and a restoration of liberty in this country, it's only going to come in and through those states that are willing to stand and fight for those liberties.
[00:49:25.835 --> 00:49:28.637]  And quite frankly, I don't see a lot of states
[00:49:29.497 --> 00:49:30.437]  that are willing to do that.
[00:49:31.138 --> 00:49:41.301]  But I do feel that many of those mountain states, including Montana, still have it in their heart to fight for those principles.
[00:49:41.902 --> 00:49:43.042]  And so we're going there.
[00:49:43.422 --> 00:49:44.703]  We're not going there to vacation.
[00:49:44.723 --> 00:49:48.904]  We're not going there to bask in the sun or ski or hide or hibernate.
[00:49:49.344 --> 00:49:50.725]  We are going there to fight.
[00:49:50.885 --> 00:49:51.865]  We're going there to work.
[00:49:52.345 --> 00:49:56.067]  We're going there to stand shoulder-to-shoulder with freedom-loving people
[00:49:56.787 --> 00:50:15.152]  And whatever talents and abilities and gifts and voice that we can bring to that part of the world, we just want to lend our assistance to those people and spend the rest of our lives fighting for the liberty that God has given to us.
[00:50:15.772 --> 00:50:23.534]  And so, here in just a few weeks, we're going to be gone and we are going to find a new home.
[00:50:26.644 --> 00:50:27.044]  Who knows?
[00:50:27.965 --> 00:50:28.346]  Who knows?
[00:50:29.647 --> 00:50:32.970]  In the 1880s, Montana experienced a gold rush.
[00:50:34.171 --> 00:50:39.576]  And I'm thinking in the 2010s, Montana might experience a freedom rush.
[00:50:40.757 --> 00:50:42.198]  And we want to be part of that rush.
[00:51:02.346 --> 00:51:04.829]  Visit InfoWars.com and PrisonPlanet.com.
[00:51:05.289 --> 00:51:10.456]  When you're on the site, you can also tune in 24 hours a day to my daily radio broadcast.
[00:51:10.636 --> 00:51:14.461]  There's also a free iPhone app to listen to the syndicated radio show when and where you want.
