[00:00:22.403 --> 00:00:23.643]  Good evening and welcome.
[00:27:54.734 --> 00:28:09.062]  Every one of the natural and historic treasures listed above, plus more than a dozen more in America, has been designated an official World Heritage Site by the United Nations Education, Scientific and Culture Organization, UNESCO, headquartered in Paris, France.
[00:28:09.463 --> 00:28:15.706]  And there's a map just of those 20-some-odd World Heritage Sites.
[00:28:16.026 --> 00:28:19.849]  There's another 47 MAB Biosphere Reserve Directory.
[00:28:20.595 --> 00:28:22.296]  But that is not all.
[00:28:23.177 --> 00:28:36.345]  There is also the International Union for Conservation of Nature and Natural Resources organization who put together the United Nations list of protected areas.
[00:28:36.705 --> 00:28:37.846]  This one is printed from
[00:28:39.451 --> 00:28:40.692]  This one is printed from 1997.
[00:28:40.973 --> 00:28:52.984]  They've been compiling this list since the early 60s and working on the biosphere designation since 1959 through various United Nations holding subcommittees.
[00:28:53.585 --> 00:28:56.148]  Now this 1997 report lists about 12,000 protected sites
[00:28:59.971 --> 00:29:11.102]  That's what's printed in this manual and just for instance, I'll turn to Texas since I am familiar with many of those locations.
[00:29:13.505 --> 00:29:18.186]  And they get into all the different protected areas and it is not just National Parks.
[00:29:18.647 --> 00:29:20.607]  It also includes National Forests.
[00:29:21.227 --> 00:29:30.370]  It includes National Grasslands, National Landmarks, National Parks of course, in this case Big Bend and Guadalupe Mountains National Parks.
[00:29:30.850 --> 00:29:32.450]  It includes National Preserves.
[00:29:32.891 --> 00:29:35.251]  It includes National Recreation Areas.
[00:29:35.731 --> 00:29:37.592]  It includes National Scenic Rivers.
[00:29:37.992 --> 00:29:43.615]  It includes national seashores, such as the Padre Island National Seashore, really a very large area.
[00:29:43.955 --> 00:29:49.237]  It also includes the National Wildlife Refuges in Texas and all the other states listed here.
[00:29:49.617 --> 00:30:03.223]  It includes state natural area reserves and at least a dozen state parks, including near to Austin, Bastrop State Park, Perdenales Falls State Park, and the others on this list.
[00:30:03.283 --> 00:30:06.085]  It also includes Wilderness Forest Service areas.
[00:30:07.643 --> 00:30:09.144]  And so that's 12,000 sites.
[00:30:09.224 --> 00:30:13.066]  That site list was updated in 2003, where it jumped from 12,754 sites on the 1997 list
[00:30:25.274 --> 00:30:37.403]  I don't know if you can see this right here, to 2003 when more than 68,000 protected areas were listed with the IUCN United Nations Protected Areas List.
[00:30:38.064 --> 00:30:42.888]  Such a large list that they couldn't even publish the actual locations, they're on a CD-ROM.
[00:30:44.983 --> 00:30:51.926]  Now it's important to point out that this United Nations list of protected areas expanded from 12,000 sites to more than 68,000.
[00:30:53.407 --> 00:30:56.648]  They have different categories for the reasons they're managing the areas.
[00:30:57.289 --> 00:31:02.051]  It includes managed and maintained mainly for science, Category 1A.
[00:31:02.731 --> 00:31:06.092]  Maintained mainly for wilderness protection, Category 1B.
[00:31:06.873 --> 00:31:09.194]  Maintained for ecosystem and recreation,
[00:31:09.754 --> 00:31:10.055]  I think?
[00:31:30.173 --> 00:31:32.575]  Defines protection for invasive species.
[00:31:32.636 --> 00:31:46.147]  However, many scholars have realized that the vague definition of invasive species can and has been used to curb human and domestic animal activity, i.e.
[00:31:46.487 --> 00:31:55.835]  reigning in human population as well as its industry and agriculture, because it could include everything from domesticated livestock
[00:31:56.135 --> 00:32:04.357]  To pets, houseplants, front lawns, neighborhood golf courses, food crops, and even that adaptive, resilient species known as Homo sapiens.
[00:32:04.877 --> 00:32:18.521]  And so the Invasive Species Council is the type of entity that could use Category 4 Habitat Species Management Area as they want to, as I pointed out before, under Agenda 21, concentrate the human populations.
[00:32:18.641 --> 00:32:21.722]  Again, that's something that Michael Kaufman, the expert, gets into.
[00:32:22.082 --> 00:32:28.107]  You also have Category 5, Protected Landscapes and Seascapes, mainly for conservation and recreation.
[00:32:28.527 --> 00:32:35.693]  Then they point out, since 1997, they added Category 6, Managed Resource Protected Area.
[00:32:36.013 --> 00:32:40.977]  Protected area managed mainly for the sustainable use of natural ecosystems.
[00:32:41.477 --> 00:32:46.300]  So there you have areas set aside just for so-called sustainability.
[00:32:46.700 --> 00:32:59.646]  A very important buzzword to all these United Nations treaties from the 1992 Rio meeting and treaty to the Convention on Biological Diversity that Michael Kauffman covers to the
[00:33:01.047 --> 00:33:28.244]  Agenda 21 stuff, and this other article out of Spy Witness talks about how the Global Biodiversity Assessment is 1140 pages, Agenda 21 is 300 pages, Our Global Neighborhood is 410 pages, and that's just a few of the agreements that outline this emerging international law based around sustainability and wildlife management that will have grave consequences
[00:33:28.744 --> 00:33:30.208]  on the development of human society.
[00:33:30.248 --> 00:33:32.332]  That is in essence why this is so important.
[00:33:32.613 --> 00:33:38.847]  That's why Alex covers it in his America Destroyed by Design film, as well as the seminal Endgame film.
[00:33:40.089 --> 00:33:59.746]  Now, some of the other executive orders that have been passed to help with this include the 1997 Executive Order 13061, which officially established the American Heritage Rivers Initiative that allows the federal government to take control of large parcels of land adjacent to U.S.
[00:33:59.806 --> 00:34:00.106]  rivers.
[00:34:01.647 --> 00:34:13.414]  It was just recently we interviewed people on how they're forcing flood insurance and allowing things like hydroelectric dams to take over all kinds of privately owned land near U.S.
[00:34:13.454 --> 00:34:13.774]  rivers.
[00:34:14.174 --> 00:34:20.858]  And again, they have the primary core zones where, for instance, the National Park would be completely restricted.
[00:34:21.518 --> 00:34:42.408]  For whatever reason, whatever category they put it into, but then there is a buffer zone and an extended zone outside of that buffer zone that you heard the woman in the America Destroyed by Design clip refer to that allows these United Nations related environmental groups to clamp down and restrict human activity in the buffer zone and the extended zone.
[00:34:42.788 --> 00:34:46.950]  For instance, Kauffman breaks down how Yellowstone Park
[00:34:48.351 --> 00:35:01.766]  And the so-called danger to that park allowed them to close a coal mine that operated 150 years before the establishment of that park and also allowed them to consider the park in danger because it has too many visitors, too many tourists.
[00:35:02.427 --> 00:35:03.868]  That's the kind of stuff you're going to see.
[00:35:04.389 --> 00:35:14.777]  And by the way, it was the same Robert Barron groups from the Rockefellers to the Harrimans that worked with people like the Sierra Club founder John Muir to set up these national parks in the first place.
[00:35:15.237 --> 00:35:21.702]  It was always about a land grab and what was then federal power, now world government powers.
[00:35:22.242 --> 00:35:35.817]  Yeah, there's a lot more to cover there, but we're going to draw the line, I think, except for this executive order, which is 12-9-8-6, the International Union for Conservation of Nature and Natural Resources
[00:35:37.239 --> 00:35:59.937]  Where it outlines immunity for all these international groups as they work on these biosphere areas, it makes them immune from property seizure, it makes them immune from search and confiscation, and from interference of all kinds, basically giving them total jurisdiction over these areas that have been declared biospheres.
[00:35:59.957 --> 00:36:00.698]  You don't believe me?
[00:36:00.798 --> 00:36:01.799]  I gave you the documents.
[00:36:02.159 --> 00:36:04.200]  You look it up, and there's a whole lot more, too.
[00:36:04.260 --> 00:36:06.200]  We should get Michael Kaufman back on soon.
[00:36:06.820 --> 00:36:08.461]  Hopefully that's something Alex will see, too.
[00:36:08.821 --> 00:36:22.164]  Now, we have other news, too, but just as a segue, I want to remind you of the article that came out in June of 2001, I'm sorry, 2011, in the Wall Street Journal, and that is, Want to Buy a Piece of Greek Island?
[00:36:23.004 --> 00:36:38.567]  On the one hand, you have the European debt crisis and the austerity moves where they're trying to sell off infrastructure, and thus this, where they want to auction off $42 billion in public property, namely choice Greek islands, and sell them to private investors.
[00:36:38.907 --> 00:36:51.850]  You saw how in Italy they're being accused of selling publicly owned infrastructure for pennies on the dollar to some of these bigwigs, and the same thing is going on in Greece, where they're auctioning off either outright ownership of
[00:36:52.370 --> 00:37:04.130]  Very nice Greek islands there on the Mediterranean, or extended and cheap leases on them, where various types of choice corporations will be able to set up tourist traps and a whole lot more.
[00:37:06.212 --> 00:37:21.925]  Now, we have a brand new Alex vid where he breaks down not only the UN takeover of these lands, but the increasing amount of bureaucratic ninnying and interference and kind of TSA-style checkpoint questioning that's now going on in many of these parks.
[00:37:22.065 --> 00:37:25.688]  I've witnessed it myself here in Texas at state parks.
[00:37:25.948 --> 00:37:27.069]  Let's check out that video now.
[00:37:27.662 --> 00:37:35.912]  All right, my friends, we're here at the entrance of Carlsbad Caverns in southern New Mexico, and I am traveling through the Southwest here in the next week.
[00:37:36.532 --> 00:37:40.977]  I'll also still be doing my radio show live via Skype every day from 11 to 2, but I'm traveling.
[00:37:41.997 --> 00:37:48.259]  Through the Southwest, basically on the same path I took in 1997 when I shot America Destroyed by Design.
[00:37:48.279 --> 00:37:50.400]  I want to see how America has changed.
[00:37:51.080 --> 00:37:54.321]  And we've hit our first destination, scheduled destination.
[00:37:54.381 --> 00:37:56.381]  Last night we saw the nuclear waste being hauled.
[00:37:56.401 --> 00:37:58.902]  That's still a mystery what type of waste it was.
[00:37:58.922 --> 00:37:59.522]  It said U.S.
[00:37:59.542 --> 00:38:04.124]  government plates and that video is posted here on our YouTube channel, www.canoninfowars.com.
[00:38:04.744 --> 00:38:07.085]  Now we've gotten to Carlsbad Campus.
[00:38:08.029 --> 00:38:12.250]  We're going to go to other destinations, but we don't want the establishment to know what we're going to be next.
[00:38:12.290 --> 00:38:13.711]  We want to get their real response.
[00:38:14.271 --> 00:38:14.731]  I get here.
[00:38:14.871 --> 00:38:15.992]  I'm polite with my family.
[00:38:17.232 --> 00:38:23.294]  The park rangers is about three or four times as many as there was when I was just here five years ago with my children, I guess six years ago.
[00:38:23.934 --> 00:38:28.976]  Then I was here about a decade before that as a college, and then I was here as a child.
[00:38:28.996 --> 00:38:32.117]  It's totally different now from even just five, six years ago.
[00:38:33.598 --> 00:38:34.498]  They interrogated me.
[00:38:35.367 --> 00:38:46.139]  When I was buying the tickets about who I was, where I was coming from, what I was doing, where I'd been, all of course because of white nose syndrome or whatever in the East, even though these Mexican bats here are immune to it.
[00:38:46.239 --> 00:38:47.861]  It's a side issue.
[00:38:48.502 --> 00:38:49.823]  And they did it like it was a conversation.
[00:38:49.843 --> 00:38:50.745]  Then it was other questions.
[00:38:50.765 --> 00:38:52.927]  Then we went through two other segments of being questioned.
[00:38:53.581 --> 00:38:59.403]  Before we got here, and then we were told all these rules and regulations, you know, that we're basically lucky to be here.
[00:38:59.924 --> 00:39:01.724]  And it's just this whole attitude by government.
[00:39:01.784 --> 00:39:06.406]  So now, Carlsbad Caverns is beginning to have a TSA type thing creep in.
[00:39:06.786 --> 00:39:10.168]  I told you five years ago the NFL would start groping your genitals just like TSA.
[00:39:12.122 --> 00:39:12.182]  No.
[00:39:29.682 --> 00:39:30.982]  It's all part of the Patriot Act.
[00:39:31.882 --> 00:39:38.564]  And it just shows how this country is completely converted into a third world style police state if we allow this to continue.
[00:39:39.104 --> 00:39:40.864]  And so that's basically the report we're giving you.
[00:39:40.944 --> 00:39:41.604]  I mean, look at this.
[00:39:42.164 --> 00:39:44.845]  I came here when I was in college with friends.
[00:39:45.245 --> 00:39:50.226]  We spent the whole day and then we came and saw the bats fly out here at the AmpliTheatre.
[00:39:50.746 --> 00:39:51.886]  I'll give you a shot of that in a moment.
[00:39:52.126 --> 00:39:52.866]  But now look.
[00:39:54.127 --> 00:39:55.107]  Now they want you to know.
[00:39:55.127 --> 00:39:55.787]  Do not.
[00:39:58.695 --> 00:40:10.465]  You know, before it was don't have flash, now it's don't videotape the bats when they fly out, which are just all over the place under bridges and houses and caves everywhere, just tens of millions of them every few hundred square miles.
[00:40:11.485 --> 00:40:14.568]  They're all over the Southwest, but oh no, don't photograph them.
[00:40:15.168 --> 00:40:17.070]  It's all about bossing you around.
[00:40:17.130 --> 00:40:18.571]  It's all about getting in your space.
[00:40:18.611 --> 00:40:21.374]  It's all about treating you like you're some type of criminal.
[00:40:21.974 --> 00:40:25.077]  And I, for one, am just completely
[00:40:26.075 --> 00:40:27.416]  And totally sick of all of it.
[00:40:27.436 --> 00:40:33.900]  So we're going to follow some reports from down here for InfoWars.com and InfoWars Nightly News.
[00:40:35.241 --> 00:40:43.526]  And we will continue to travel the Southwest and show you the other UN biospheres and heritage sites that the Globalists are taking over.
[00:40:43.966 --> 00:40:45.627]  Alex Jones reporting for InfoWars.com.
[00:40:47.460 --> 00:40:53.324]  As you can see, it's not only a takeover of the physical lands, but an increasing bureaucratic pestering.
[00:40:53.364 --> 00:41:00.068]  As I mentioned, I was at a Texas State Park where, among other things, they asked for my zip code and asked if I was hiding people in the car.
[00:41:00.088 --> 00:41:03.410]  I mean, is that what happens when you just try to have a good time at the park?
[00:41:03.730 --> 00:41:08.693]  Now, we're going to cover other news here, and then we have another exclusive Alex Jones video coming up, so stay tuned.
[00:41:09.133 --> 00:41:13.696]  Steve Watson reports for PrisonPlanet.com today that the Supreme Court
[00:41:14.216 --> 00:41:19.337]  ...in Minnesota is blocking the government's plan to claim outright ownership over DNA.
[00:41:20.077 --> 00:41:24.358]  And collecting and storing every newborn's blood violates the Genetic Privacy Act.
[00:41:24.978 --> 00:41:41.162]  And he writes how the case has exposed the fact that there is an ongoing semi-covert movement by state and federal governments to claim ownership over every newborn baby's DNA for the purpose of genetic research without the consent of individual citizens.
[00:41:41.602 --> 00:41:44.345]  And of course, this is a global DNA database.
[00:41:44.365 --> 00:41:46.147]  They're trying to map the human genome.
[00:41:46.507 --> 00:41:55.417]  It has eugenics tie-ins and it has tie-ins with the development of bioweapons and the rest of it, including race-specific bioweapons.
[00:41:55.857 --> 00:41:58.219]  But specifically, the Minnesota
[00:41:59.721 --> 00:42:11.087]  The Supreme Court has ruled that any parent of a newborn would have to be specifically informed and opt into the process rather than opting out as they had previously done.
[00:42:11.487 --> 00:42:23.094]  And since 2008, the State Department officials have begun seeking exemption for the so-called DNA warehouse from Minnesota's privacy law, the Genetic Privacy Act, something we need to cover more in depth later.
[00:42:23.114 --> 00:42:27.436]  We've previously spoken to one of the main people involved with this, Twyla Brace.
[00:42:27.736 --> 00:42:28.977]  Perhaps we should get her back on.
[00:42:29.557 --> 00:42:36.244]  Brent has launched its participation in the soon-to-be mandatory emergency alert messages.
[00:42:36.705 --> 00:42:47.056]  Earlier in October, you saw the takeover nationally of television and radio communications with the first ever nationally coordinated emergency alert messages.
[00:42:47.617 --> 00:43:05.714]  Now they wish to branch out to mobile phones and the internet and telecommunications giant Sprint has announced the launch of its wireless emergency alerts program that will deliver messages from the federal government directly to millions of Americans as part of a system set to become mandatory on all new cell phones.
[00:43:05.734 --> 00:43:10.398]  You have to opt in on the currently existing cell phones but the new ones will have a special chip
[00:43:10.798 --> 00:43:18.519]  That coordinates with these government alert messages and probably, I would imagine, may have surveillance technology involved as well.
[00:43:18.939 --> 00:43:25.320]  And all the majors are lined up to participate in this, so good luck getting out of that one, unless we say no nationally.
[00:43:26.281 --> 00:43:34.662]  On the unconstitutional front, as well as the puppet president front, Obama uses the auto pen again to sign a bill into law.
[00:43:35.062 --> 00:43:40.343]  He's overseas, I think, dealing with some of the Asian foreign policy this week.
[00:43:40.803 --> 00:43:54.848]  But he needed to suddenly sign a bill allowing the government to continue on a budgetary matter, so they decided to use this mechanical device that copies his signature rather than having the president physically sign the bill.
[00:43:55.329 --> 00:44:01.111]  Article 1, Section 7 of the Constitution says if the president approves a bill, quote, he shall sign it.
[00:44:01.531 --> 00:44:07.272]  No provision is made for having a substitute signature affixed by a mechanical device or designated aid.
[00:44:07.672 --> 00:44:16.475]  Now you've seen the kings and emperors of the past with their little seal that they use to sign bills, but here in America, it's been a physical signature.
[00:44:16.855 --> 00:44:21.036]  So is it unconstitutional for Barack Obama to use the auto pen?
[00:44:21.516 --> 00:44:29.738]  They get into how under President George W. Bush, the lawyers argued for the right to use the auto pen, but Bush himself never used it.
[00:44:29.898 --> 00:44:30.838]  Obama, however,
[00:44:31.278 --> 00:44:35.243]  Robo signing the Patriot Act doesn't sound like a good idea to me.
[00:44:35.323 --> 00:44:36.644]  Sounds doubly unconstitutional.
[00:44:37.005 --> 00:44:38.827]  Something we should certainly keep a watch on.
[00:44:47.757 --> 00:45:03.660]  Now, as you know, Alex is on a working vacation, partly to check out many of the United Nations-held national parks across the country, and he's been giving continuous updates through his iPhone on the Alex Jones Channel and posted at Infowars.com.
[00:45:04.060 --> 00:45:07.120]  You just saw one of the exclusive videos a few minutes ago.
[00:45:07.480 --> 00:45:10.941]  Now we have another one on the dumping of nuclear waste.
[00:45:11.441 --> 00:45:12.201]  Let's go to that now.
[00:45:12.281 --> 00:45:12.561]  Thanks.
[00:45:16.082 --> 00:45:16.602]  There's a
[00:45:18.001 --> 00:45:20.383]  Government truck that says Radioactive U.S.
[00:45:20.403 --> 00:45:21.224]  Government Plates.
[00:45:22.225 --> 00:45:27.790]  And then it's got these ICBM pieces, or Nuclear Reactors.
[00:45:28.630 --> 00:45:29.371]  Oh my God.
[00:45:29.531 --> 00:45:34.335]  Type... D-U... What in the world is this?
[00:45:34.355 --> 00:45:36.838]  I want to know what these are, man.
[00:45:37.018 --> 00:45:37.959]  People won't be able to tell me.
[00:45:37.979 --> 00:45:39.820]  I'm going to put this up on the web.
[00:45:40.481 --> 00:45:41.622]  We're out here in the... I mean, look at this.
[00:45:41.642 --> 00:45:42.903]  It's got the radioactive sign.
[00:45:44.284 --> 00:45:44.985]  Oh, we're fine.
[00:45:46.636 --> 00:45:48.096]  Look, it's got the radioactive signs.
[00:45:48.697 --> 00:45:50.437]  Maybe they got like zombies in those tanks.
[00:45:51.617 --> 00:45:52.998]  Like it's some kind of zombie movie.
[00:45:55.038 --> 00:45:56.599]  I'm gonna upload this to YouTube.
[00:45:57.759 --> 00:45:59.700]  We're out here investigating the UN biospheres.
[00:46:00.540 --> 00:46:02.540]  Hey, but according to everybody, radiation is good for you.
[00:46:02.560 --> 00:46:04.261]  The EPA has raised the level they say is safe.
[00:46:04.281 --> 00:46:05.861]  I mean, how weird is that?
[00:46:05.901 --> 00:46:12.043]  A truck that says radioactive has a radioactive flag on the back, a warning, that has a US government plate.
[00:46:13.473 --> 00:46:14.733]  What do you think those are, Richard?
[00:46:15.594 --> 00:46:16.554]  That's a good question.
[00:46:16.574 --> 00:46:18.655]  It could be some nuclear waste materials.
[00:46:18.715 --> 00:46:22.516]  I think they haul nuclear waste around here to try to put it away.
[00:46:23.156 --> 00:46:24.176]  So it could be that.
[00:46:24.436 --> 00:46:28.497]  Or, like you said, it could be maybe the radon gas from some of the drilling.
[00:46:29.438 --> 00:46:32.919]  Yeah, but I said that before I was taping, before we'd read U.S.
[00:46:32.939 --> 00:46:33.479]  government play.
[00:46:33.499 --> 00:46:36.260]  They wouldn't be involved hauling the radon gas, though.
[00:46:36.320 --> 00:46:40.621]  So I know that, I guess, in some areas they do still have nuclear
[00:46:41.863 --> 00:46:44.809]  Weapons manufacturing and nuclear material.
[00:46:44.929 --> 00:46:46.753]  I'm sure whatever it is, it's nutrition.
[00:46:47.474 --> 00:46:49.538]  This is our first video uploaded on the road.
[00:46:49.578 --> 00:46:50.159]  Stay tuned!
[00:46:52.117 --> 00:46:52.917]  And there you have it.
[00:46:52.977 --> 00:47:01.700]  Of course, more updates from Alex throughout the weekend if you're watching this live on the Alex Jones Channel on YouTube and also posted to InfoWars.com.
[00:47:02.400 --> 00:47:03.160]  But there you have it.
[00:47:03.200 --> 00:47:08.242]  The United Nations is going to clamp down on human activity to protect biospheres, supposedly.
[00:47:08.582 --> 00:47:11.503]  But then nuclear waste is dumped wherever they want.
[00:47:11.583 --> 00:47:16.024]  GE builds nuclear power plants on fault lines on the islands of Japan.
[00:47:16.384 --> 00:47:19.825]  And now we have the Fukushima disaster and a whole lot more to deal with.
[00:47:20.285 --> 00:47:31.074]  Well, that's all we're going to get into tonight on the InfoWars Nightly News, but just remember, throughout the month of October, you can enjoy a 15-day free trial of PrisonPlanet.tv.
[00:47:31.395 --> 00:47:34.617]  That's if you're not already familiar with how great those services are.
[00:47:34.637 --> 00:47:41.583]  You can watch this program as well as Alex's radio TV show during the day, three hours long and more every day.
[00:47:42.284 --> 00:48:02.155]  For free for 15 days, or if you already know how great it is, you can begin to take advantage of the PrisonPlanet.tv Christmas special, where you can get a yearly membership for an extremely discounted price, 44% off, only $39.95, and you get the nightly news, the radio show, all the special reports, and a whole lot more.
[00:48:02.676 --> 00:48:10.440]  Or, if you want to get the InfoWar package, you can get that membership for a year, plus 18 physical DVDs packaged and wrapped,
[00:48:10.820 --> 00:48:18.821]  Ready to go as very nice gifts to help turn on your friends, family and neighbors to these important issues as it becomes more critical than ever.
[00:48:19.302 --> 00:48:23.682]  Until then, stay tuned and help spread the word about this broadcast.
[00:48:23.882 --> 00:48:28.283]  Warn people while you still can that this country is absolutely being taken over.
[00:48:28.623 --> 00:48:34.884]  They're putting in a police state and they're even taking over our national parks as we've covered, if this is the first time you're hearing that information.
[00:48:35.244 --> 00:48:36.105]  Thanks for tuning in.
[00:48:36.225 --> 00:48:37.405]  We'll have more next week.
[00:48:37.745 --> 00:48:38.005]  Good night.
