[00:00:00.009 --> 00:00:00.189]  I think?
[00:40:20.254 --> 00:40:23.915]  We already knew that five, six, seven, eight, nine years ago.
[00:40:24.855 --> 00:40:34.137]  Maybe I'm too far up in the years, but Paul Joseph Watson, break down this article and break down what they're really doing with the destabilization campaigns in the Middle East, please.
[00:40:35.575 --> 00:40:41.259]  Well obviously Obama campaigned on the promise to withdraw all US troops from Iraq immediately.
[00:40:42.080 --> 00:40:54.629]  We had this fake withdrawal last year in August where thousands of private security were left behind and in fact 46,000 US combat troops were left in Iraq.
[00:40:55.150 --> 00:40:57.792]  So we've had the date for withdrawal pushed back
[00:40:58.292 --> 00:41:02.433]  Every single year since George W. Bush declared mission accomplished in May 2003.
[00:41:03.114 --> 00:41:12.957]  And now, according to the chatter coming out of the Bilderberg conference last week, they're talking about exercising some form of
[00:41:13.237 --> 00:41:17.000]  Squatters rights in order to keep these US troops in the country.
[00:41:17.340 --> 00:41:20.343]  Of course, there are numerous US military bases.
[00:41:20.383 --> 00:41:21.584]  They need to be staffed.
[00:41:21.644 --> 00:41:27.248]  This is going to be a launch pad for the wars against Libya, Syria, Iran and everyone else in the region.
[00:41:27.749 --> 00:41:35.775]  So according to these leaked chatter from the moles inside the Bilderberg Group, the quote was that
[00:41:37.276 --> 00:41:37.776]  The U.S.
[00:41:37.816 --> 00:41:43.798]  had no intention of ever leaving Iraq, that the occupation would be permanent.
[00:41:44.778 --> 00:41:49.179]  One European delegate commented that, quote, it is anyone's guess when U.S.
[00:41:49.219 --> 00:41:59.621]  troops will finally be withdrawn, suggesting that this December 31st, 2011 deadline is complete baloney, just like the last one was.
[00:42:00.041 --> 00:42:01.261]  And in fact, another U.S.
[00:42:01.301 --> 00:42:05.022]  Bilderberger said, quote, when you think of Iraq, think big.
[00:42:05.882 --> 00:42:08.083]  So again, the troops are going nowhere.
[00:42:08.403 --> 00:42:13.606]  They're going to use Iraq as a launching pad for a new war against Syria, Libya and everyone else.
[00:42:14.287 --> 00:42:16.808]  And it's basically, you know, more of the same.
[00:42:16.868 --> 00:42:19.089]  Obama campaigned on getting troops out.
[00:42:19.470 --> 00:42:24.512]  More troops are deployed, more US troops all over the world under Obama compared to George W. Bush.
[00:42:25.293 --> 00:42:32.637]  And Bilderberg have had a direct hand in what happens in Iraq right from 2002, as Jim Tucker reported, when they delayed the start
[00:42:32.657 --> 00:42:34.060]  All right, Paul, this is the short break.
[00:42:34.080 --> 00:42:37.907]  We're going to be back just on the other side, and there's a lot more to cover, obviously.
[00:42:38.488 --> 00:42:40.452]  So, InfoWars.com, stay tuned.
[00:42:41.114 --> 00:42:43.618]  In the second hour, coming up in just about a minute here.
[00:43:00.885 --> 00:43:04.882]  This is GCN, the Genesis Communications Radio Network.
[00:43:07.315 --> 00:43:11.558]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
[00:43:11.878 --> 00:43:12.498]  Number one.
[00:43:12.779 --> 00:43:15.941]  New climate legislation could easily double or triple your electric bill.
[00:43:16.201 --> 00:43:16.781]  Number two.
[00:43:17.062 --> 00:43:21.625]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:43:21.965 --> 00:43:22.405]  It's true.
[00:43:22.705 --> 00:43:27.268]  Total government control of electricity in the name of smart grid technology is coming.
[00:43:27.569 --> 00:43:28.129]  Number three.
[00:43:28.409 --> 00:43:31.691]  In some areas of the country, the power grid is dangerously overloaded.
[00:43:31.991 --> 00:43:35.694]  And now, new socialist legislation is only compounding the problem.
[00:43:35.894 --> 00:43:36.435]  Number 4.
[00:43:36.695 --> 00:43:39.057]  Dangerous weather is always a threat to local grids.
[00:43:39.437 --> 00:43:42.820]  Every year, thousands of families lose their power from weather-related outages.
[00:43:43.120 --> 00:43:43.661]  Number 5.
[00:43:43.921 --> 00:43:47.844]  A solar power generator provides powerful backup, insurance, and peace of mind.
[00:43:48.065 --> 00:43:52.829]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:43:53.109 --> 00:43:57.130]  You can get more information at www.mysolarbackup.com.
[00:43:57.270 --> 00:43:58.851]  That's mysolarbackup.com.
[00:43:59.071 --> 00:44:01.151]  Remember, the government doesn't own the sun.
[00:44:01.331 --> 00:44:03.892]  So go to mysolarbackup.com or call 1-877-327-0365.
[00:44:03.912 --> 00:44:05.292]  Waging war on corruption.
[00:44:05.432 --> 00:44:11.194]  Alex Jones on the GCM Radio Network.
[00:44:21.994 --> 00:44:26.176]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:44:26.837 --> 00:44:27.637]  You want answers?
[00:44:28.418 --> 00:44:29.338]  Well, so does he.
[00:44:29.959 --> 00:44:33.621]  He's Alex Jones on the GCN Radio Network.
[00:44:34.161 --> 00:44:38.263]  And now, live from Austin, Texas, Alex Jones.
[00:44:47.096 --> 00:44:50.638]  We're back again live this Friday, June 17th.
[00:44:50.758 --> 00:44:53.219]  I'm Aaron Dyk sitting in while Alex is away.
[00:44:53.679 --> 00:44:55.100]  We're now into the second hour.
[00:44:55.640 --> 00:44:57.501]  We've been with Paul Joseph Watson.
[00:44:57.561 --> 00:45:02.004]  Coming up, of course, is Bob Chapman, economic expert and total guru.
[00:45:02.044 --> 00:45:03.765]  He's going to have a lot of insight, I'm sure.
[00:45:04.685 --> 00:45:10.170]  On everything going on in Greece and what it means for Spain, Portugal, Ireland, and the United States.
[00:45:10.270 --> 00:45:11.592]  What day will the U.S.
[00:45:11.632 --> 00:45:13.213]  get its first IMF loan?
[00:45:14.534 --> 00:45:16.076]  We also want to give out the phone number.
[00:45:16.116 --> 00:45:17.337]  We want to get your take.
[00:45:17.818 --> 00:45:29.609]  It is open phones, but at the same time, with World War III looming, with the European crisis really in the balance right now, I'd really like to hear something relevant from you other than just ancient history.
[00:45:30.410 --> 00:45:31.070]  But the number is 1-800-259-9231.
[00:45:31.091 --> 00:45:31.191]  1-800-259-9231.
[00:45:31.211 --> 00:45:34.896]  We're going to get to your calls in a few minutes and throughout the rest of the broadcast.
[00:45:34.916 --> 00:45:37.179]  We're also going to talk to Bilderberg insider Alex Banesh.
[00:45:47.213 --> 00:45:48.174]  Outsider, actually.
[00:45:48.674 --> 00:45:50.835]  Witness to the events along with us in St.
[00:45:50.875 --> 00:45:51.756]  Moritz, Switzerland.
[00:45:52.576 --> 00:45:59.360]  Witness also to some of the being chased by police on the mountains and the other adventures in higher parts of the world.
[00:46:00.241 --> 00:46:07.305]  But Paul Joseph Watson, just to bring us back into discussion, I'm looking at a document from 2008, October 30th, 2008.
[00:46:07.345 --> 00:46:10.987]  Rand Corporation lobbies Pentagon.
[00:46:11.067 --> 00:46:13.488]  Start a war to save the U.S.
[00:46:13.528 --> 00:46:13.989]  economy.
[00:46:14.029 --> 00:46:14.849]  Back in 2008, they discussed
[00:46:16.650 --> 00:46:24.527]  Bringing up a World War III scenario that could even involve China, Russia, or even Japan simply to bolster the U.S.
[00:46:24.567 --> 00:46:24.968]  economy.
[00:46:24.988 --> 00:46:26.130]  What do you think about that, Paul?
[00:46:27.349 --> 00:46:33.374]  Well that's interesting because it came straight out of Chinese state media which is basically the voice of the government.
[00:46:33.815 --> 00:46:43.203]  So they were blowing the whistle on the fact that Rand were getting together with the Pentagon to try and foment this new war to distract people from the economic crisis.
[00:46:44.744 --> 00:46:51.210]  What came out of Bilderberg was the fact that they want this massive war in the Middle East which includes everybody apart from Israel.
[00:46:52.208 --> 00:47:04.255]  I mean, but the scope of what this can be obviously hinges on China's reaction, because for the first time ever at Bilderberg, we had two Chinese officials in attendance.
[00:47:04.695 --> 00:47:16.902]  So the debate centers around whether China is going to become this new empire that will compete with the globalists, with the New World Order, or whether it will be absorbed into the New World Order club.
[00:47:17.502 --> 00:47:47.062]  And specifically in the Middle East, China are furious that the United States is involved in this Libya intervention because over the past 5-10 years China has basically set about colonizing Africa financially and for its resources and the Africans have been willing to go along with it because China doesn't have the history of exploiting the country for its own benefit as the West does, as America does, as the British Empire does, the French Empire, the NATO powers.
[00:47:48.143 --> 00:47:54.068]  So in addition to this we've got obviously China set to become the largest economy in the world in 2016.
[00:47:55.269 --> 00:48:03.957]  So obviously the globalists, the Bilderberg crowd, are trying to extend an olive branch to China by integrating them into the club.
[00:48:04.277 --> 00:48:08.381]  And it's obviously an effort to weaken the alliance with Pakistan.
[00:48:08.801 --> 00:48:11.284]  The Chinese and Pakistan economies
[00:48:11.944 --> 00:48:14.705]  Basically becoming vertically integrated.
[00:48:14.765 --> 00:48:23.109]  That alliance is now so strong as a result of Pakistan turning away from the United States after the Bin Laden facade.
[00:48:24.209 --> 00:48:39.876]  So we know that, you know, the drone strikes are intensifying against Pakistan and the globalists don't want to have to deal with this wild card of China as they're trying to get rid of Pakistan and destroy Pakistan's sovereignty basically.
[00:48:40.316 --> 00:48:51.888]  So it's about bringing China into the fold and ensuring that they don't make any unpredictable moves regarding Pakistan as this PNAC global takeover ensues.
[00:48:52.509 --> 00:48:57.214]  It is unfortunately possibly a confrontation looming as we've seen AFRICOM
[00:48:57.634 --> 00:49:00.595]  Moving in as a greater imperial force in Africa.
[00:49:01.075 --> 00:49:05.357]  And we've seen tensions breaking down with Pakistan as China builds those bases.
[00:49:05.397 --> 00:49:07.237]  We had Dr. Hamid Gul on yesterday.
[00:49:07.637 --> 00:49:09.478]  We'll be back on the other side of the break.
[00:49:09.978 --> 00:49:11.159]  Infowars.com.
[00:49:11.619 --> 00:49:12.999]  Again, the phone number to call in 1-800-259-9231.
[00:49:13.019 --> 00:49:13.059]  1-800-259.
[00:49:18.201 --> 00:49:22.244]  In the past two months, over 2,000 natural disasters have been recorded.
[00:49:22.484 --> 00:49:26.487]  With the ongoing economic crash, millions of Americans can't afford food.
[00:49:26.807 --> 00:49:31.771]  Also, because of the exploding price of fuel, many farmers can't afford to plant their crops.
[00:49:32.071 --> 00:49:35.193]  We must take control of our greatest dependency, food.
[00:49:35.474 --> 00:49:41.438]  Folks, you can trust eFoods Direct, the 28-year veteran of long-term storable foods, and they're here to help.
[00:49:41.678 --> 00:49:49.440]  For a limited time when you place your order for a three-week supply of the best storable food on the planet, you will receive the fourth week absolutely free.
[00:49:49.560 --> 00:49:54.842]  You will save $75 and receive a full month's supply for less than $8 a day.
[00:49:55.062 --> 00:49:56.723]  This offer ends on June 22nd.
[00:49:56.883 --> 00:50:00.804]  So act now and buy three to get the fourth one free from eFoods Direct.
[00:50:01.024 --> 00:50:03.026]  Call 800-409-5633 or go online to efoodsdirect.com forward slash Alex.
[00:50:03.046 --> 00:50:04.368]  Your order deadline is June 22nd.
[00:50:04.388 --> 00:50:06.910]  To buy three and get one free, call 800-409-5633 or visit efoodsdirect.com forward slash Alex.
[00:50:18.919 --> 00:50:22.540]  Hi folks, this is Alex Jones and I want to tell you about the Silver Lungs Generator.
[00:50:22.880 --> 00:50:31.002]  Now you can produce pure and endless colloidal silver and deliver the solution directly into the bloodstream by breathing the solution through the lungs.
[00:50:31.742 --> 00:50:35.783]  The respiratory system is the first line of defense for airborne pathogens and viruses.
[00:50:36.363 --> 00:50:47.185]  The Silver Lungs Generator infuses the respiratory system with your self-produced nano-silver solutions and also delivers the silver nanoparticles instantly into the bloodstream.
[00:50:47.825 --> 00:50:56.827]  With continued legislation threatening the sale of nano-silver products, you can now produce pure and endless colloidal silver with the Silver Lungs Generator.
[00:50:57.327 --> 00:51:02.408]  Very easy to follow step-by-step instructions are provided, making production fast and simple.
[00:51:02.769 --> 00:51:09.950]  Go to www.silverlungs.com today and learn more about the breakthrough technology of the Silver Lungs Generator.
[00:51:10.250 --> 00:51:12.991]  That's www.silverlungs.com.
[00:51:18.098 --> 00:51:21.721]  Hundreds of nations have fallen to tyranny in the last century alone.
[00:51:22.121 --> 00:51:25.124]  This is our last chance to not relive history.
[00:51:25.364 --> 00:51:30.128]  As we're finishing off this agenda, they'll be pulling the rug from underneath Americans at home.
[00:51:30.148 --> 00:51:36.413]  We have tremendous influence on our President and Congress, and they really are calling the shots.
[00:51:36.553 --> 00:51:38.795]  I think it's incumbent upon all of us
[00:51:39.155 --> 00:51:40.056]  Tim Geithner, Bernanke, they're arsonists!
[00:51:40.136 --> 00:51:41.036]  They're asking for more matches!
[00:51:41.056 --> 00:51:42.537]  And the Congress is saying, who do we make the check out to?
[00:51:58.228 --> 00:52:00.069]  Today seems like nobody does care.
[00:52:00.350 --> 00:52:05.193]  And right now in Washington, D.C., we have seen a fall of the Republic.
[00:52:05.493 --> 00:52:15.421]  Get your copy of Fall of the Republic on DVD at InfoWars.com or watch it online right now in super high quality at PrisonPlanet.tv.
[00:52:17.562 --> 00:52:22.486]  Genesis Communications Radio Network proudly presents the Alex Jones Show.
[00:52:22.826 --> 00:52:25.128]  Because there's a war on for your mind.
[00:52:40.887 --> 00:52:43.669]  We are back, once again, on the Alex Jones Show.
[00:52:44.169 --> 00:52:46.631]  Aaron Dyke's sitting in while Alex is away.
[00:52:47.452 --> 00:52:49.153]  But what a day to be gone, of course.
[00:52:49.273 --> 00:52:51.614]  World War III really seems to be looming.
[00:52:52.735 --> 00:52:55.017]  The Euro crisis in full scope.
[00:52:55.577 --> 00:53:01.922]  And just on the hills of the Bilderberg meetings where we've seen many of the reported leaked inside agenda already playing out.
[00:53:03.459 --> 00:53:11.480]  Whether it be over the Cyber Security Act, whether it be over greater war in Libya, whether it be trying to rebuff U.S.
[00:53:11.500 --> 00:53:20.422]  politicians who want to end some of those wars, or whether it be the Euro situation between Greece and the still sovereign countries like Switzerland.
[00:53:21.242 --> 00:53:27.523]  Paul Watson, we want to go now to a few calls and get their take, but real quick, what are we looking at?
[00:53:27.583 --> 00:53:31.244]  We were discussing China and the geo-strategic situation.
[00:53:32.964 --> 00:53:43.808]  Yeah, in conclusion, they're basically trying to hand out an olive branch to China because they're scared stiff of how the Chinese will react when this big Middle East war kicks off.
[00:53:43.869 --> 00:53:49.391]  Obviously, they're already planning to go into Libya in October, as our sources told us.
[00:53:50.191 --> 00:53:57.454]  But it's when Pakistan becomes involved that they're decidedly unsure about how the Chinese will react.
[00:53:57.534 --> 00:54:01.516]  So that is the touch point when it's going to kick off big time.
[00:54:02.336 --> 00:54:04.157]  And that is the threat of World War 3.
[00:54:05.877 --> 00:54:07.637]  Paul, let's see what the callers have to add.
[00:54:07.717 --> 00:54:10.378]  I think we have on the line Hector from California.
[00:54:10.418 --> 00:54:11.178]  Are you there, Hector?
[00:54:11.738 --> 00:54:12.399]  Yeah, I'm here, Aaron.
[00:54:13.479 --> 00:54:13.959]  What's going on?
[00:54:14.019 --> 00:54:15.399]  I just wanted to start off.
[00:54:15.879 --> 00:54:25.702]  Two points I wanted to make, but first off, it boggles my mind that there's so much news going on, and it's even in mainstream now, you know, everything that's going on in the world.
[00:54:26.577 --> 00:54:33.898]  And Americans, I mean, I talk to a lot of people every day and I would say 99% of people still just live in blissful ignorance.
[00:54:34.058 --> 00:54:42.440]  And you can tell them fact after fact after fact and let them decide for themselves and they still, they still will not, they refuse to wake up.
[00:54:42.740 --> 00:54:44.620]  We're on the verge of, you know, World War III.
[00:54:45.580 --> 00:54:54.722]  And everyone that I know, you know, young people, old people, they care more about celebrity gossip and more about, you know, what's going on on MTV than they do about these real issues that are
[00:54:55.652 --> 00:54:58.413]  You know, pushing us to the brink of, you know, a thermonuclear war.
[00:55:00.113 --> 00:55:04.295]  For example, I mean, just the state of not only the economy, but, you know, the world economy.
[00:55:04.315 --> 00:55:07.756]  I mean, we are in a depression, like Alex Jones and everyone says, we are in a depression.
[00:55:07.876 --> 00:55:20.340]  And one example I give people is, in the 30s, you know, there was bread lines, there was soup kitchens, and the only reason that we don't see those today is because of food stamps and because of EBT cards.
[00:55:21.112 --> 00:55:24.553]  Get rid of those, and it's the same as in the 30s.
[00:55:25.433 --> 00:55:26.994]  In a lot of senses, it's worse.
[00:55:28.934 --> 00:55:34.956]  It's going to take a lot of really bad times for people to really wake up, and by then it might be too late.
[00:55:35.876 --> 00:55:47.079]  The second point I wanted to raise is, for a long time, I woke up about two years ago, and for a long time I was just in complete denial about a lot of these things, namely subliminal messaging.
[00:55:48.417 --> 00:55:54.280]  Since I woke up, I've started to see it more and more and more, and this was some new movie that came out.
[00:55:55.041 --> 00:56:14.351]  I had to sit in on a new X-Men movie, and there's actually a point in the movie where they specifically say that it's necessary to strip people of their rights in order to obtain security, which is a complete assault on what Ben Franklin said, and it boggles my mind that people
[00:56:14.881 --> 00:56:26.658]  Just continue to eat it up, and we are winning, we are waking more people up, but more of us need to wake up if we ever want to bring about real change and steal the power from the elitists that are running the world.
[00:56:27.176 --> 00:56:29.217]  Yeah, unfortunately, you really have a point, Hector.
[00:56:29.457 --> 00:56:39.184]  A lot of these movies are basically theater for the mind, for the general public, who, as you say, are completely out of the realm of real stuff going on.
[00:56:39.724 --> 00:56:43.846]  And further, I think there's kind of an animal psychology limit to our attention spans.
[00:56:44.607 --> 00:56:45.908]  I've seen it explained how
[00:56:46.468 --> 00:56:48.169]  A lion in a cage at a circus.
[00:56:48.709 --> 00:56:55.771]  They use a chair and a whip, because that's more points than he can keep track of, so that he's not thinking about, quote, the man in the white pants.
[00:56:55.851 --> 00:56:57.571]  I think it's a lot the same with the war.
[00:56:58.011 --> 00:57:06.814]  They've got us focused, A, on celebrity issues, B, on getting food on the table or on fulfilling the obligations for food stamps, etc.
[00:57:07.754 --> 00:57:09.575]  And then who can keep track of five wars?
[00:57:09.595 --> 00:57:10.635]  Who can even name them all?
[00:57:11.375 --> 00:57:17.337]  Webster Tarpley and Alex Jones could barely name all the different conflicts going on as they still unfold.
[00:57:17.597 --> 00:57:19.258]  Paul Watson, what do you have to say about that?
[00:57:20.238 --> 00:57:27.560]  Well, it's amazing, isn't it, that in a week where the Eurozone is on the verge of collapse, we've got all these new wars kicking off.
[00:57:28.120 --> 00:57:35.783]  The biggest story on Fox News and CNN is still, for the, what, third week running, Wiener's Wiener.
[00:57:37.395 --> 00:57:41.158]  That just gives you an insight into how these networks control the paradigm.
[00:57:41.739 --> 00:57:46.984]  But I mean, the caller was talking about 90-odd percent of people he talks to are not awake.
[00:57:47.424 --> 00:57:53.670]  I mean, if you're not awake by now, at least tangentially to these issues, then really there's no hope, is there?
[00:57:54.090 --> 00:58:01.477]  But I think one of the biggest stumbling blocks that we come across regularly is the people that are aware, but just
[00:58:02.037 --> 00:58:03.278]  Don't do anything about it.
[00:58:03.639 --> 00:58:11.706]  The keyboard warriors, they just sit behind there cynically complaining about, you know, protesting is not going to do anything, this is not going to do anything.
[00:58:12.287 --> 00:58:18.352]  Even as the Bilderberg agenda starts to fail, the things that they're calling for start to fail.
[00:58:18.392 --> 00:58:19.774]  So we're having an impact
[00:58:20.194 --> 00:58:24.255]  These people still sit there just cynically whining that we can't do anything.
[00:58:24.635 --> 00:58:36.618]  So moreover than the people who just are completely unaware and distracted, I think it's the people who are aware but just choose to think that they have no influence or power whatsoever.
[00:58:36.958 --> 00:58:38.919]  That's our biggest problem going forward.
[00:58:38.959 --> 00:58:41.000]  So those are the people we need to target.
[00:58:41.020 --> 00:58:46.361]  The people who are already in the arena but are just sat up in the bleachers doing nothing about it.
[00:58:47.307 --> 00:58:49.009]  Yeah, we can't make any difference.
[00:58:49.049 --> 00:58:57.078]  That's why they're trying to shut down our cameras and why the police at Bilderberg tried to shut down the protesters and take their passports and intimidate them.
[00:58:57.799 --> 00:59:04.066]  But that all changed, didn't it, Paul, when a member of the Swiss Parliament wrote a letter telling police that they weren't allowed to do that anymore?
[00:59:05.282 --> 00:59:10.085]  Oh yeah, in the first day they were really aggressive, I mean they were seizing people's passports.
[00:59:10.745 --> 00:59:23.133]  As the conference went on they pulled back further and further and we were able to get more in the faces of Bilderberg members to the point where we were basically just chasing them around in their limos and so forth.
[00:59:23.794 --> 00:59:27.196]  But again, I mean, most of the people who read our website
[00:59:27.796 --> 00:59:28.136]  I don't know.
[00:59:49.674 --> 00:59:53.536]  The focus on what they're doing does have an effect, it does have an influence.
[00:59:53.556 --> 01:00:02.900]  We're not saying we're gonna save the world overnight, but you at least have to have the belief that you can have an influence to have any impact on the situation at all.
[01:00:02.980 --> 01:00:14.626]  So it's just about, you know, having self-confidence, not being a keyboard warrior who just cynically attacks other people, and actually just getting out there and doing something, and it's many hands make light work.
[01:00:15.927 --> 01:00:19.669]  And obviously the protesters in Europe right now are making a difference on that point.
[01:00:19.969 --> 01:00:21.669]  Let's go now to Kevin in Ohio.
[01:00:21.709 --> 01:00:22.410]  Are you there, Kevin?
[01:00:24.150 --> 01:00:24.451]  Hello.
[01:00:25.791 --> 01:00:27.092]  Amen to everything you're saying.
[01:00:27.212 --> 01:00:41.017]  I want to bring to attention, and I really hope that Alex and this broadcast can bring it to light, there's a country, a European country, that is trying to break the shackles of tyranny all the way back from
[01:00:41.938 --> 01:00:44.059]  Um, early in the 20th century.
[01:00:44.599 --> 01:00:46.179]  It's a long forgotten country.
[01:00:46.619 --> 01:00:47.520]  It's Belarus.
[01:00:48.280 --> 01:00:51.761]  In the last month, they've devalued their currency by over 50%.
[01:00:52.501 --> 01:00:58.783]  Lukashenko still runs with an iron fist, imprisoning all his opponents.
[01:00:59.663 --> 01:01:07.825]  And I would like to hear an outcry for these people to break this tyranny that's been just, just gobbling them up.
[01:01:08.085 --> 01:01:09.626]  World War II, World War I.
[01:01:10.655 --> 01:01:18.719]  Um, and I would like this program to have an effect for them, somebody to shout out to them because they don't hear from anyone.
[01:01:19.240 --> 01:01:21.501]  That country just continues to be run over.
[01:01:21.861 --> 01:01:24.503]  And, uh, Mr. Watts is right.
[01:01:25.063 --> 01:01:25.963]  We don't do anything.
[01:01:26.484 --> 01:01:27.284]  I'm a non-vet.
[01:01:28.225 --> 01:01:31.406]  And, uh, where are the Vietnam veterans against the war?
[01:01:31.907 --> 01:01:37.189]  We should be all be down there with, um, everyone just protesting every day.
[01:01:37.209 --> 01:01:39.571]  No more wars, no more blood.
[01:01:40.649 --> 01:01:42.538]  A lot of people for them, for the bank.
[01:01:43.382 --> 01:01:43.684]  No more.
[01:01:44.508 --> 01:01:45.251]  God bless you both.
[01:01:46.294 --> 01:01:47.154]  Bless you also.
[01:01:48.055 --> 01:01:57.100]  You know, we've seen quite a bit of protesting during the Bush years and then suddenly it evaporated in the Obama years as if the wars were suddenly attractive and desirable.
[01:01:57.880 --> 01:02:02.983]  But as far as Belarus, I know there's been what looks to be staged terror attacks over there.
[01:02:03.463 --> 01:02:06.224]  Things have been obviously very difficult in Eastern Europe.
[01:02:06.985 --> 01:02:09.026]  That doesn't mean I'm an expert on the situation.
[01:02:09.106 --> 01:02:11.187]  Paul Watson, what do you know about Belarus?
[01:02:12.964 --> 01:02:20.529]  Well, you obviously had Lukashenko coming out and opposing the New World Order, basically, a few months ago.
[01:02:21.149 --> 01:02:27.173]  They're similarly impacted by the same economic crisis that Greece are currently labouring under.
[01:02:27.733 --> 01:02:39.920]  So, again, it's just another victim of this globalist onslaught, and it's similar to other European countries, like Switzerland, where there's a large number of the population that are aware of it.
[01:02:39.960 --> 01:02:40.180]  I mean,
[01:02:41.448 --> 01:02:52.292]  I was heartened when we were at Bilderberg just to see the, to the level at which the Swiss people were so informed and committed to the cause because you don't see that in a lot of countries.
[01:02:52.813 --> 01:03:08.079]  So people need to know that there is an informed, active, determined, young base that's out there that are willing to try and rescue their own country and it's sweeping Europe, it's sweeping America and we just need to be patient because it's not going to happen overnight.
[01:03:09.468 --> 01:03:10.709]  I'm with you there.
[01:03:10.790 --> 01:03:11.931]  Thank you for the call, Kevin.
[01:03:12.031 --> 01:03:13.873]  Let's go now to Aaron in Nevada.
[01:03:13.893 --> 01:03:16.135]  Hey man, how you doing?
[01:03:16.396 --> 01:03:24.285]  Well, I haven't always been the biggest fan of Aaron Dyches, to be frank, but I tell you, you really impressed me with your work there at Bilderberg.
[01:03:24.565 --> 01:03:26.227]  Very confident, very salient.
[01:03:26.969 --> 01:03:30.312]  And also Watson from United Queendom there.
[01:03:30.352 --> 01:03:32.374]  I really like all the work that you do and everything.
[01:03:32.854 --> 01:03:34.816]  Really awesome.
[01:03:35.216 --> 01:03:35.696]  Here's the thing.
[01:03:36.257 --> 01:03:42.582]  I think, though, that we need to be less ambiguous about this term globalist, which I hear everybody using nowadays.
[01:03:43.823 --> 01:03:45.385]  I think it's a bit of a misnomer.
[01:03:45.805 --> 01:03:48.988]  I think we have to be more specific and name names.
[01:03:49.842 --> 01:04:01.128]  So we can target our protests against those particular individuals, hound them, as opposed to this generic globalist term, which is, I think, ambiguous to a lot of people.
[01:04:01.288 --> 01:04:12.494]  On my radio show at gonad.com, me and Bob Chapman had a little game show called Name the Globalist, just so we could start... Hey, hang right there, and we're gonna come back to you after the break, but we have the list in front of us, so I can read the names.
[01:04:12.534 --> 01:04:14.115]  They're in the CFR and the other groups.
[01:04:14.615 --> 01:04:16.096]  Back after this, InfoWars.com.
[01:04:17.403 --> 01:04:21.085]  Is your church, school, or organization desperately looking for new fundraising ideas?
[01:04:21.285 --> 01:04:24.987]  Tired of the same old candles or candy, taking orders, inventory, and low profits?
[01:04:25.188 --> 01:04:26.288]  Well, here's great news!
[01:04:26.868 --> 01:04:30.751]  10X Fundraising guarantees 10 times traditional profits with zero hassle!
[01:04:30.891 --> 01:04:37.515]  For an amazing free bonus, free shipping, and an extra 10% off, enter GCN when you go to 10xfundraising.com.
[01:04:37.695 --> 01:04:40.917]  That's the number 10, the letter X, fundraising.com.
[01:04:41.097 --> 01:04:41.497]  Or call 800-480-8797.
[01:04:41.557 --> 01:04:43.158]  Visit 10X Fundraising for 10 times a profit today!
[01:04:47.248 --> 01:04:48.329]  Hi, this is Ted Anderson.
[01:04:48.509 --> 01:04:52.872]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold IRAs?
[01:04:53.072 --> 01:04:58.776]  They've been available since 1986, yet the financial industry won't recognize the value of gold for your retirement.
[01:04:58.876 --> 01:05:02.278]  Gold has outperformed paper investments, yet no word about IRAs.
[01:05:02.518 --> 01:05:05.120]  If you would like to have gold for your retirement, call 800-686-2237.
[01:05:05.340 --> 01:05:10.143]  Don't get left behind by rising inflation and low returns.
[01:05:10.283 --> 01:05:10.604]  Call 800-686-2237.
[01:05:10.624 --> 01:05:11.945]  Secure your future and call 1-800-686-2237.
[01:05:17.208 --> 01:05:21.451]  This is Alex Jones with 5 good reasons you should consider buying a solar power generator.
[01:05:21.772 --> 01:05:22.372]  Number 1.
[01:05:22.692 --> 01:05:25.835]  New climate legislation could easily double or triple your electric bill.
[01:05:26.115 --> 01:05:26.676]  Number 2.
[01:05:26.976 --> 01:05:31.520]  Our new energy czar wants to control how much power your electric company allows you to have.
[01:05:31.860 --> 01:05:32.300]  It's true.
[01:05:32.600 --> 01:05:37.164]  Total government control of electricity in the name of smart grid technology is coming.
[01:05:37.484 --> 01:05:38.005]  Number 3.
[01:05:38.305 --> 01:05:41.588]  In some areas of the country, the power grid is dangerously overloaded.
[01:05:41.888 --> 01:05:45.591]  And now, new socialist legislation is only compounding the problem.
[01:05:45.791 --> 01:05:46.332]  Number 4.
[01:05:46.592 --> 01:05:48.954]  Dangerous weather is always a threat to local grids.
[01:05:49.354 --> 01:05:52.718]  Every year, thousands of families lose their power from weather-related outages.
[01:05:53.018 --> 01:05:53.558]  Number 5.
[01:05:53.799 --> 01:05:57.722]  A solar power generator provides powerful backup, insurance, and peace of mind.
[01:05:57.942 --> 01:06:02.707]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[01:06:03.007 --> 01:06:07.010]  You can get more information at www.mysolarbackup.com.
[01:06:07.171 --> 01:06:08.732]  That's mysolarbackup.com.
[01:06:08.952 --> 01:06:11.054]  Remember, the government doesn't own the sun.
[01:06:11.194 --> 01:06:14.397]  So go to mysolarbackup.com or call 1-877-327-0365.
