[00:00:04.989 --> 00:00:06.390]  I am absolutely honored
[00:42:48.888 --> 00:42:50.168]  Why am I getting at that?
[00:42:50.168 --> 00:42:51.789]  It's the nanny state.
[00:42:51.789 --> 00:42:58.450]  And look, you can have arguments for and against inspection stickers, but they started with commercial trucks to quote, make sure they were safe.
[00:42:58.450 --> 00:43:00.731]  And then it's expanded out to everybody.
[00:43:00.731 --> 00:43:08.332]  And then you've got the Mexican drug cartels, a more violent war than the Vietnam War going on, spilling over into my state.
[00:43:08.332 --> 00:43:13.373]  And it's on record that we have sanctuary cities and the cops just let most illegal aliens go.
[00:43:13.373 --> 00:43:16.114]  And if they don't, they get reprimanded and the judges just let them go.
[00:43:17.085 --> 00:43:19.908]  So I would have been mad if he wouldn't have let me off.
[00:43:19.908 --> 00:43:21.029]  I wouldn't let him know I was mad.
[00:43:21.029 --> 00:43:23.951]  I would have been irritated in that it's not justice.
[00:43:23.951 --> 00:43:25.433]  It's not fair.
[00:43:25.433 --> 00:43:28.015]  It's selective enforcement.
[00:43:28.015 --> 00:43:31.218]  If I get the inspection sticker ticket,
[00:43:33.030 --> 00:43:47.276]  And you're risking your life to pull me over to tell me about my inspection sticker, but you're not risking your life with the crime wave invasion that's going on because the people that direct you and command you don't have you doing serious business.
[00:43:47.276 --> 00:43:49.757]  They have you out there revenue collecting.
[00:43:51.002 --> 00:44:04.512]  Revenue generating and no amount of revenue you collect is going to keep you from losing your pension funds Because these metrics are set up by the international banking cartels where the money is impossible to pay back Okay, it's a fraud.
[00:44:04.512 --> 00:44:05.593]  It's loan sharking.
[00:44:05.593 --> 00:44:12.238]  We've broken that down with countless economists Now I really am Ranting here, and I need to get to news.
[00:44:12.238 --> 00:44:14.080]  This is what happens when I get here late, and don't get me
[00:44:15.168 --> 00:44:21.632]  Reset before I go live because I prepare before the show at home and then I got to kind of sit here for 10-15 minutes and get ready or I'm all over the map.
[00:44:21.632 --> 00:44:24.533]  But sometimes folks say that makes for even a better radio show.
[00:44:24.533 --> 00:44:25.974]  You know, I don't read off teleprompters.
[00:44:25.974 --> 00:44:27.255]  I want to be clear about this.
[00:44:27.255 --> 00:44:28.855]  I don't go off notes.
[00:44:28.855 --> 00:44:29.656]  I go off news.
[00:44:29.656 --> 00:44:34.499]  I've scanned over or covered previously or going to cover that day.
[00:44:35.464 --> 00:44:40.408]  Or as news has brought into me, I analyze it and go over it, but I don't have a teleprompter.
[00:44:40.408 --> 00:44:44.131]  And that's why you should trust but verify, as Ronald Reagan said.
[00:44:44.131 --> 00:44:45.552]  I attempt to be honest.
[00:44:45.552 --> 00:44:47.234]  I attempt to be accurate.
[00:44:47.234 --> 00:44:51.778]  I attempt to really tell you what I'm really thinking and what I really believe, okay?
[00:44:53.032 --> 00:44:55.734]  But when you talk as much as I do, you will make mistakes.
[00:44:55.734 --> 00:45:00.116]  And all the time I hear rebroadcasts and here I flip names or flip numbers.
[00:45:00.116 --> 00:45:01.858]  I tend to be a little dyslexic.
[00:45:01.858 --> 00:45:04.079]  Yesterday, I didn't re-hear the broadcast.
[00:45:04.079 --> 00:45:08.482]  I was jogging this morning and thought about it and remembered that I got something wrong.
[00:45:09.362 --> 00:45:24.130]  And of course, you wouldn't even know I got it wrong, because, unless you're in my family, but I was telling the story about how they're announcing that they're going to try to ban over-the-counter gold sales July 15th, and how the major exchanges have made that announcement, and I had Ted on to talk about it.
[00:45:24.130 --> 00:45:36.516]  And I made the point, well, my grandmother said her dad in Dallas, who owned the first Chevy dealership up there, just a little factoid, didn't turn his gold in.
[00:45:37.355 --> 00:45:45.860]  And then after, this morning I'm jogging and I go, I know full well everything about my great-grandfather on my grandmother's, on my mother's side.
[00:45:45.860 --> 00:45:52.364]  He worked at an oil company, and it was a lease-hound, a bunch of other things.
[00:45:52.364 --> 00:45:56.467]  And he lived down by Beaumont later, before going up to Dallas.
[00:45:56.467 --> 00:46:04.992]  And he, and he, but see the reason it all merged together was, she said, he didn't turn his gold in, and then it was my,
[00:46:05.572 --> 00:46:11.736]  Grandmother on my mother's side's husband, my grandfather on my mother's side, whose dad owned the car dealership, and I knew that.
[00:46:11.736 --> 00:46:25.924]  But that's what I'm saying is that I don't have teleprompters here, ladies and gentlemen, so sometimes when I get moving fast and got a hundred thoughts going on, I will say the weird, amalgamated things that are truthful but aren't.
[00:46:25.924 --> 00:46:27.465]  You see what I'm saying?
[00:46:27.465 --> 00:46:33.209]  Because I'm so busy keeping track of everything else everybody else is doing that then it all just becomes a big
[00:46:35.491 --> 00:46:38.247]  Swamp, basically, in there.
[00:46:38.247 --> 00:46:38.448]  Okay.
[00:46:42.509 --> 00:46:44.530]  Oh yeah, the other positive news.
[00:46:44.530 --> 00:46:59.197]  I told the folks out there during the break I wanted to show the great success and how the nation's news desk, remember that photo many years ago of the White House Press Corps in their offices and dozens of computers all in the drugs report.
[00:46:59.197 --> 00:47:07.360]  But it is the nation's news desk and America leads the news so it's the world's news desk and it is one of the greatest accomplishments we've ever had to have
[00:47:09.420 --> 00:47:16.650]  Matt Drudge, running our material, carrying our news, our information, and we have a double Drudge link today.
[00:47:16.650 --> 00:47:17.571]  I just marvel at it.
[00:47:17.571 --> 00:47:24.280]  We're in the Houston Chronicle article at the bottom, actually giving us the credit, but kind of in a backhanded way the Chronicle does.
[00:47:24.981 --> 00:47:25.541]  I think?
[00:47:55.541 --> 00:47:59.384]  I talked about how YouTube has taken all of our honors.
[00:47:59.384 --> 00:48:03.086]  I don't care about winning a trophy.
[00:48:03.086 --> 00:48:19.335]  I care because then on dozens of sub-pages where most people go to pick what they're going to watch, when you have those honors, when you're number one in news and politics and education and all these other areas, when you have that icon, then it puts you at the top of all those pages.
[00:48:21.422 --> 00:48:26.132]  And if they take those icons away, you then lose your links to all those pages.
[00:48:26.132 --> 00:48:28.216]  And so the video doesn't go viral.
[00:48:30.066 --> 00:48:31.307]  But something strange has happened.
[00:48:31.307 --> 00:48:40.111]  Normally, you can't go to the front page when they've been taken away, but since we started protesting this, our honors came back for about an hour yesterday.
[00:48:40.111 --> 00:48:46.334]  The guy that runs our YouTube channel broke that down for me and then went away again, but we have three videos on the front page.
[00:48:46.334 --> 00:48:55.759]  Our World War III video has been on the front page, and two Tarpley videos, the elite's plan for global extermination, which I'm so pleased by, that
[00:48:58.220 --> 00:49:02.982]  Uh, is the number one and number two most viewed videos in education.
[00:49:02.982 --> 00:49:13.846]  Uh, and, and, and just thank God that, that, uh, that report is having such a big effect and, uh, now getting massive amounts of attention.
[00:49:13.846 --> 00:49:24.289]  Uh, by the way, Tarpley, well, I'm going to get Tarpley on about this video because I've seen some of the people that don't have a deep grasp of things historically.
[00:49:24.289 --> 00:49:26.750]  When he speaks out against Darwin and he says one of the chief,
[00:49:29.568 --> 00:49:30.129]  We're good to go.
[00:49:41.977 --> 00:49:45.238]  Tarpley, you know, doesn't get into religious stuff.
[00:49:45.238 --> 00:49:49.080]  Tarpley believes in the mainline scientific view of things.
[00:49:49.080 --> 00:49:53.902]  Not to put words in his mouth, but talking to him, he believes in evolution.
[00:49:53.902 --> 00:49:57.603]  What Tarpley is talking about, but see, they show their ignorance.
[00:49:57.603 --> 00:50:03.526]  They go, I'm a scientist and this Tarpley's an idiot because he says Darwin was a chief philosopher.
[00:50:03.526 --> 00:50:10.048]  They think just talking and saying Darwin was a eugenicist means that Tarpley's an idiot.
[00:50:12.422 --> 00:50:33.818]  Because any because they're religious see their religion is worshiping Darwin and so you don't talk about bad about their God He's talking about social Darwinism and the idea of kill the weak in in in in the human structure or have a predator class over the subloids the Morlocks and the Eloy, you know that Wells wrote about
[00:50:35.802 --> 00:50:43.287]  So it's these fake scientific people that wear these little hats but are pinheads and have literally no knowledge.
[00:50:43.287 --> 00:50:49.412]  They sit there and then say Tarpley's an idiot because he's indicting Darwin for the eugenics ideas.
[00:50:50.629 --> 00:50:53.213]  And then they automatically say, don't talk about our God.
[00:50:53.213 --> 00:50:54.434]  You now don't believe in evolution.
[00:50:54.434 --> 00:50:58.440]  Well, that's not even what's being debated or discussed in these videos.
[00:50:58.440 --> 00:51:00.562]  It's about the facts of the global extermination program.
[00:51:00.562 --> 00:51:05.029]  If you've ever wanted to grow the absolute best tasting fruits and vegetables imaginable, here's some exciting news.
[00:51:05.029 --> 00:51:07.892]  There's a new product designed to make growing delicious produce easy.
[00:51:07.892 --> 00:51:08.273]  It's called...
[00:51:08.393 --> 00:51:10.496]  Proto-Gro, and it's dynamite in the garden.
[00:51:10.496 --> 00:51:17.545]  Proto-Gro is a bioactive superfood for plants that works by providing true broad-spectrum nutrition, allowing plants to achieve their full genetic expression.
[00:51:17.545 --> 00:51:18.747]  What does this mean in the garden?
[00:51:18.747 --> 00:51:23.433]  It means mouth-watering fruits and vegetables, brilliantly colored flowers, herbs that finally grow to medicinal strength.
[00:51:23.573 --> 00:51:30.117]  Blue Ribbon Garden Produce, jam-packed with bioavailable minerals and trace elements, giant pumpkins, even high-potency, high-bricks wheatgrass.
[00:51:30.117 --> 00:51:33.319]  Proto-Gro is a proprietary blend of full-spectrum nutrients from the sea.
[00:51:33.319 --> 00:51:36.121]  It literally contains the basic building blocks of life itself.
[00:51:36.121 --> 00:51:43.405]  In fact, Proto-Gro is so effective at producing rapid plant growth in record time that it almost forces plants to grow, even under the worst light and soil conditions.
[00:51:43.405 --> 00:51:46.027]  It's also perfect for growing your own survival foods, and might.
[00:51:46.087 --> 00:51:46.347]  I think so.
[00:52:00.270 --> 00:52:05.671]  You've heard Alex Jones talk about eFoods Direct and their highly nutritious, long-term, storable food.
[00:52:05.671 --> 00:52:07.152]  Believe me, it tastes great.
[00:52:07.152 --> 00:52:11.553]  Order any three of their qualified packs and you'll receive the fourth absolutely free.
[00:52:11.553 --> 00:52:14.233]  Let's say you order three of their one-week responder kits.
[00:52:14.233 --> 00:52:15.774]  You'll get the fourth week free.
[00:52:15.774 --> 00:52:18.954]  That's a $75 savings and a one-month supply.
[00:52:18.954 --> 00:52:20.075]  Are you kidding me?
[00:52:20.075 --> 00:52:26.136]  For the cost of one greasy, fast-food, supersized combo lunch, you can eat three hearty, delicious meals.
[00:52:26.596 --> 00:52:29.937]  And this offer is good for any of their quick fix supplies.
[00:52:29.937 --> 00:52:32.218]  This offer ends on June 22nd.
[00:52:32.218 --> 00:52:36.140]  eFoodsDirect is prepared for these troubled times and will ship your order within 48 hours.
[00:52:36.140 --> 00:52:37.860]  Call 800-409-5633 on the web eFoodsDirect.com slash Alex.
[00:52:37.860 --> 00:52:40.681]  Your order deadline is June 22nd to buy three and get one free.
[00:52:40.681 --> 00:52:43.302]  Call 800-409-5633 on the web eFoodsDirect.com slash Alex.
[00:52:55.427 --> 00:52:59.771]  Get more food for your money at efoodsdirect.com slash alex.
[00:52:59.771 --> 00:53:04.996]  We all know that Berkey water purification systems are the most trusted name in water filtration.
[00:53:04.996 --> 00:53:14.365]  As an authorized Berkey dealer for over six years and serving thousands of satisfied customers, the Berkey guy offers amazing specials for Berkey water filtration systems.
[00:53:14.365 --> 00:53:20.230]  The Berkey light systems include a set of self-sterilizing and recleanable black purification elements that purify water.
[00:53:20.370 --> 00:53:28.680]  By removing chlorine, pathogenic bacteria, cysts and parasites to non-detectable levels and remove harmful chemicals such as herbicides and pesticides.
[00:53:28.680 --> 00:53:36.609]  Order the Berkey Light System today complete with two black Berkey elements for only $231 and the Berkey guy will ship your order free of charge.
[00:53:36.809 --> 00:53:42.475]  With the purchase of a Berkey light, the Berkey Guy is also offering a set of fluoride and arsenic filters for only $39.99.
[00:53:42.475 --> 00:53:44.056]  That's over 30% off the retail price.
[00:53:44.056 --> 00:53:45.077]  Call the Berkey Guy at 1-877-886-3653.
[00:53:45.077 --> 00:53:45.598]  That's 1-877-886-3653.
[00:53:45.598 --> 00:53:46.879]  Or order online at GoBerkey.com.
[00:53:46.879 --> 00:53:47.640]  That's GoBerkey.com today!
[00:54:20.854 --> 00:54:29.478]  Yeah, sometimes I want to get away, I want to fly away, but if I don't, the bullies, the tyrants are going to have their way with me.
[00:54:29.478 --> 00:54:36.802]  Okay, I started getting into the good news and kind of diverted off into, hey, people are really waking up.
[00:54:36.802 --> 00:54:38.843]  Just my radio show is a gauge of that.
[00:54:40.353 --> 00:54:44.415]  But the positive news, and there's a lot of it today, but here's one of the big ones.
[00:54:44.415 --> 00:55:05.446]  I started getting into the fact that, earlier, that they tried to sell this lie that all these new wars are not wars and are humanitarian, and it turns out it's 100% confirmed, admitted, that the State Department, the CIA, British Intelligence predominantly has really been honchoing most of it, or jockeying most of it.
[00:55:06.346 --> 00:55:09.409]  Captaining it is a good term for the Brits.
[00:55:09.409 --> 00:55:18.917]  Their system has really been pushing it in the Middle East, North Africa and Central Asia to overthrow these countries using rebels.
[00:55:18.917 --> 00:55:23.701]  They fund, they give weapons, they have them go out and machine gun cops and military.
[00:55:23.701 --> 00:55:29.607]  The cops and military go pounce on them and then they go, oh my gosh, they're brutalizing the innocent people.
[00:55:29.607 --> 00:55:32.029]  And I'm like, well, yeah, a lot of these countries are thug run.
[00:55:32.708 --> 00:55:40.594]  But, you know, the fact is this was all triggered by the West and they're not putting freedom in in Egypt and other countries.
[00:55:40.594 --> 00:55:47.680]  Once they topple them, they're even taking more rights away and actually putting what our media calls the radical Muslims in power.
[00:55:48.530 --> 00:55:52.234]  The Muslim Brotherhood, Al-Qaeda Lite, on record.
[00:55:52.234 --> 00:55:53.315]  And you're like, well, why would they do that?
[00:55:53.315 --> 00:55:55.238]  Well, why did they create Al-Qaeda?
[00:55:55.238 --> 00:56:00.744]  Because they're going to end up then having another war in the next few years with those guys.
[00:56:00.744 --> 00:56:03.046]  This is full-spectrum dominance.
[00:56:03.046 --> 00:56:08.492]  The globalists create all sides of the conflict, and then they organize it and come out on top.
[00:56:08.492 --> 00:56:09.674]  This is very elementary.
[00:56:10.074 --> 00:56:21.117]  People need to stop thinking of us versus them and start thinking three-dimensionally and see the global spider webs of the corptocracy over us and the global standardization.
[00:56:22.256 --> 00:56:23.677]  And how they're setting this up.
[00:56:23.677 --> 00:56:31.780]  I mean, it's admitted they write countless white papers on it, but you talk to the average, you know, yuppie who thinks they know it all, they're like, nobody could run something that complex.
[00:56:31.780 --> 00:56:36.682]  And I'm like, these people are masters of organization and compartmentalization.
[00:56:36.682 --> 00:56:41.584]  Forty years ago, they had cruise missiles they could shoot from a thousand miles away down your chimney.
[00:56:42.822 --> 00:56:44.905]  And yes, they went to the moon.
[00:56:44.905 --> 00:56:47.488]  And yes, yes, yes.
[00:56:47.488 --> 00:56:53.855]  And they come out with all these silly conspiracy theories that can't be proven one way or the other to make people who question look bad.
[00:56:53.855 --> 00:56:55.658]  But it isn't working anymore.
[00:56:57.059 --> 00:56:59.160]  The government lies out of hand.
[00:56:59.160 --> 00:57:00.882]  You're saying, well, then why do you believe in the moon landing?
[00:57:00.882 --> 00:57:02.723]  Because I have sources inside NASA.
[00:57:02.723 --> 00:57:05.204]  They put on some fake stuff for you.
[00:57:05.204 --> 00:57:06.966]  See, there was a lie.
[00:57:06.966 --> 00:57:09.287]  See, it's not just did we go or didn't we go.
[00:57:09.287 --> 00:57:13.150]  You were shown the Tinker Toy stuff because you're not supposed to see what they really got.
[00:57:13.150 --> 00:57:16.152]  You're not supposed to know the thousands of astronauts that have died.
[00:57:17.145 --> 00:57:17.625]  Oh yes.
[00:57:17.625 --> 00:57:18.826]  In fact, I should do a whole show on that.
[00:57:18.826 --> 00:57:21.087]  This is the kind of stuff that will get you killed.
[00:57:21.087 --> 00:57:24.970]  I shouldn't even get into things I know because I don't have the absolute proof in front of me.
[00:57:24.970 --> 00:57:28.252]  I just have sources and evidence that backs it up, but I'm digressing.
[00:57:28.252 --> 00:57:30.193]  What's the good news?
[00:57:30.193 --> 00:57:30.953]  That the hoax
[00:57:32.085 --> 00:57:39.171]  That this wasn't a war, and that Obama isn't a warmonger, and that Obama is this peacenik Nobel Prize winner.
[00:57:39.171 --> 00:57:44.215]  It was all a globalist joke on us to see if they could sell war as peace, and it's blown up in their face.
[00:57:44.215 --> 00:57:54.624]  All over the news, the mainstream corporate media tried to sell us this, including the Washington Post, and now they're capitulating because no one is buying them, and their hoax is falling apart.
[00:57:54.624 --> 00:57:55.805]  Here it is right here.
[00:57:55.805 --> 00:57:57.086]  Obama's negation
[00:57:57.987 --> 00:58:01.110]  of hostilities in Libya draws criticism.
[00:58:01.110 --> 00:58:06.794]  The White House has officially declared that what's happening in Libya is not hostilities.
[00:58:06.794 --> 00:58:15.280]  And then it goes on from there to have his own Pentagon lawyers being overruled, never happened before, telling him, you gotta get congressional approval, it is a war.
[00:58:15.280 --> 00:58:20.404]  And the fact that they go over the fact that the public isn't buying it, and the left and the right aren't buying it, no one's buying it.
[00:58:20.404 --> 00:58:23.947]  See, this is what Karl Rove said six years ago in the New York Times.
[00:58:23.947 --> 00:58:27.510]  I control reality, what we say reality is what it is, you report it.
[00:58:27.950 --> 00:58:30.491]  And if you accept that, you're in 1984.
[00:58:30.491 --> 00:58:35.173]  But what's happening is more and more people are saying the Emperor is not wearing any clothes.
[00:58:35.173 --> 00:58:36.214]  He's butt naked.
[00:58:36.214 --> 00:58:37.754]  He's not wearing a fine cloak.
[00:58:37.754 --> 00:58:39.155]  We see you scammers!
[00:58:39.155 --> 00:58:44.097]  We see you liars!
[00:58:44.097 --> 00:58:48.079]  This is GCN, the Genesis Communications Radio Network.
[00:58:51.010 --> 00:58:57.674]  When you're out on the road, the last place you want to be is on the road.
[00:58:57.674 --> 00:59:02.817]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[00:59:02.817 --> 00:59:17.545]  There's a place down in Tennessee Where they make blue diamond gusset jeans They sew pride in every stitch Guarantee you'll love the way they fit
[00:59:19.895 --> 00:59:24.618]  They put a Diamond Gusset in the crotch where you need it most.
[00:59:24.618 --> 00:59:28.460]  Blue Diamond Gussets got it.
[00:59:28.460 --> 00:59:29.681]  Others don't.
[00:59:29.681 --> 00:59:31.842]  We turn jeans inside out.
[00:59:31.842 --> 00:59:33.623]  Diamond Gusset Jeans.
[00:59:33.623 --> 00:59:36.505]  Made in the USA with unparalleled quality.
[00:59:36.505 --> 00:59:40.748]  Our Defender Motorcycle Jeans combine Gusset comfort with Kevlar protection.
[00:59:40.748 --> 00:59:43.129]  So you can ride all day with confidence.
[00:59:43.129 --> 00:59:45.831]  Order yours at gusset.com.
[00:59:45.831 --> 00:59:48.212]  Diamond Gusset Jeans got it.
[00:59:48.212 --> 00:59:49.073]  Others don't.
[00:59:53.536 --> 00:59:55.920]  Waging war on corruption.
[00:59:55.920 --> 00:59:58.685]  Alex Jones on the GCM Radio Network.
[01:00:05.219 --> 01:00:10.044]  Big Brother, Mainstream Media, Government Cover-Ups.
[01:00:10.044 --> 01:00:11.646]  You want answers?
[01:00:11.646 --> 01:00:13.188]  Well, so does he.
[01:00:13.188 --> 01:00:17.373]  He's Alex Jones on the GCN Radio Network.
[01:00:17.373 --> 01:00:21.477]  And now, live from Austin, Texas, Alex Jones.
[01:00:34.557 --> 01:00:40.158]  Okay, we're now into our number two.
[01:00:40.158 --> 01:00:46.559]  We're working on getting the state rep on who has been leading the fight against the TSA corruption.
[01:00:46.559 --> 01:00:48.420]  We have that really good news.
[01:00:48.420 --> 01:00:51.620]  Best place to find it is DrudgeReport.com.
[01:00:51.620 --> 01:00:53.921]  It's also up on InfoWars.com.
[01:00:53.921 --> 01:00:58.842]  And Paul Watson's article, TSA Showdown, a watershed moment in battle for freedom.
[01:00:59.835 --> 01:01:14.549]  Rick Perry, under incredible pressure, has now capitulated to the people of Texas and America and the Washington Times and Lou Rockwell and myself and the listeners of this show, saying, look, pal, we know you killed the bill.
[01:01:14.549 --> 01:01:16.171]  You had your lieutenant governor do it.
[01:01:16.171 --> 01:01:17.952]  Quit claiming you're for the bill.
[01:01:19.022 --> 01:01:21.063]  When you're really against the bill.
[01:01:39.804 --> 01:01:44.588]  Obama's negation of hostilities in Libya draws criticism.
[01:01:44.588 --> 01:01:54.356]  And it goes on the fact that the official statements of the White House have officially declared that what is happening in Libya is not hostilities.
[01:01:54.356 --> 01:01:56.738]  Thousands and thousands dead on both sides.
[01:01:56.738 --> 01:02:03.684]  Images of giant ten-story buildings being vaporized and exploding into hundreds of thousands of pieces of shrapnel.
[01:02:06.635 --> 01:02:08.096]  At least two U.S.
[01:02:08.096 --> 01:02:10.197]  troops already dead from the U.S.
[01:02:10.197 --> 01:02:12.739]  Army, according to our sources.
[01:02:12.739 --> 01:02:14.800]  Dead contractors.
[01:02:14.800 --> 01:02:15.280]  More U.S.
[01:02:15.280 --> 01:02:16.961]  Special Forces on the way.
[01:02:16.961 --> 01:02:28.469]  And now the media, more and more, is beginning, there's a whole bunch of news reports out today, saying yes, ground troops are being readied.
[01:02:28.469 --> 01:02:32.452]  And of course, we also have the article by Kurt Nimmo,
[01:02:34.568 --> 01:02:40.352]  Marines prepare for massive training exercise.
[01:02:40.352 --> 01:02:46.696]  And the headline is, Huge Marine Drill Confirms Ground Invasion of Libya.
[01:02:46.696 --> 01:02:53.080]  And Kurt Nemo's article breaks all of that down.
[01:02:53.080 --> 01:02:57.683]  I'm busy here.
[01:02:57.683 --> 01:03:01.226]  Busy reading the Drudge headline because it's a little bit different than ours.
[01:03:01.226 --> 01:03:04.008]  And that gives me their take on what they see the article.
[01:03:04.932 --> 01:03:24.739]  Covering Marines prepare for massive training exercise along beaches from Florida to Virginia So we're gonna be going over that report as well today In some of the other news we're going to obviously have that report on Rick Perry
[01:03:26.072 --> 01:03:34.896]  Coming up, it's going to have some breaking information for you at the bottom of the hour, so please spread the word about that key information coming up.
[01:03:34.896 --> 01:03:38.838]  But we also have this report by the American Dream that I think is excellent.
[01:03:38.838 --> 01:03:44.580]  14 reasons why Rick Perry would be a really, really bad president.
[01:03:44.580 --> 01:03:49.502]  And number one, Rick Perry's a big government politician, and then they document that.
[01:03:49.502 --> 01:03:52.084]  Not what he says, it's what he does that's important.
[01:03:52.084 --> 01:03:54.225]  The debt of the state of Texas is out of control.
[01:03:55.590 --> 01:04:02.913]  Under Perry, contrary to what he says, the total debt of Texas government has more than doubled since Rick Perry got in.
[01:04:02.913 --> 01:04:08.876]  Rick Perry has spearheaded the effort to lease roads in Texas to foreign companies.
[01:04:08.876 --> 01:04:15.899]  Number five, Rick Perry claims that he has a track record for not raising taxes when he has repeatedly raised them, and they have links to all the proof of that.
[01:04:15.899 --> 01:04:21.322]  Number six, even with the oil boom in Texas, 23 states have a lower unemployment rate than Texas does.
[01:04:22.382 --> 01:04:25.303]  Back in 88, Rick Perry supported Al Gore for president.
[01:04:25.303 --> 01:04:26.343]  That's right.
[01:04:26.343 --> 01:04:30.584]  In fact, Rick Perry actually served as Al Gore's campaign chairman.
[01:04:30.584 --> 01:04:32.684]  I didn't even put this in my special report coming up.
[01:04:32.684 --> 01:04:34.105]  I'd forgotten about that.
[01:04:34.105 --> 01:04:36.405]  What a dirty little creature.
[01:04:36.405 --> 01:04:41.487]  Between December 07 and April 2011, weekly wages and he just goes over it all.
[01:04:41.487 --> 01:04:42.567]  In fact, I'm going to cover this.
[01:04:45.117 --> 01:04:47.380]  I'm going to cover this more coming up.
[01:04:47.380 --> 01:04:52.666]  It just absolutely blows my mind that all of this is happening.
[01:04:52.666 --> 01:04:54.949]  We've got a lot of other important news coming up.
[01:04:54.949 --> 01:04:55.410]  Stay with us.
[01:04:55.410 --> 01:04:56.972]  We've got Gerald Cilente coming up as well.
[01:05:01.457 --> 01:05:05.738]  In the past two months, over 2,000 natural disasters have been recorded.
[01:05:05.738 --> 01:05:10.060]  With the ongoing economic crash, millions of Americans can't afford food.
[01:05:10.060 --> 01:05:15.301]  Also, because of the exploding price of fuel, many farmers can't afford to plant their crops.
[01:05:15.301 --> 01:05:18.682]  We must take control of our greatest dependency, food.
[01:05:18.682 --> 01:05:24.664]  Folks, you can trust eFoods Direct, the 28-year veteran of long-term storable foods, and they're here to help.
[01:05:24.904 --> 01:05:32.806]  For a limited time when you place your order for a three-week supply of the best storable food on the planet, you will receive the fourth week absolutely free.
[01:05:32.806 --> 01:05:38.287]  You will save $75 and receive a full month's supply for less than $8 a day.
[01:05:38.287 --> 01:05:44.029]  This offer ends on June 22nd, so act now and buy three to get the fourth one free from eFoods Direct.
[01:05:44.269 --> 01:05:46.311]  Call 800-409-5633 or go online to efoodsdirect.com forward slash Alex.
[01:05:46.311 --> 01:05:47.612]  Your order deadline is June 22nd.
[01:05:47.612 --> 01:05:50.154]  To buy three and get one free, call 800-409-5633 or visit efoodsdirect.com forward slash Alex.
[01:06:02.231 --> 01:06:04.393]  You're subject to public police action.
[01:06:04.393 --> 01:06:05.655]  Tyranny is here.
[01:06:05.655 --> 01:06:09.318]  The grim future foretold in 1984 has become reality.
[01:06:09.318 --> 01:06:11.821]  It really says that the state is God.
[01:06:11.821 --> 01:06:17.246]  The United States is now recognized globally as one of the most oppressive police states on Earth.
[01:06:17.686 --> 01:06:24.350]  This film conclusively proves the existence of a secret network of FEMA camps, now being expanded nationwide.
[01:06:24.350 --> 01:06:30.353]  This documentary exposes how the continuity of government program has established an all-powerful shadow state.
[01:06:30.353 --> 01:06:33.995]  Police State 4 chronicles the sickening depth to which our Republic has fallen.
[01:06:34.495 --> 01:06:38.797]  Prepare to enter the secretive world of emergency dictatorship.
[01:06:38.797 --> 01:06:44.740]  Body scanners, sound cameras, citizen spies, stage terror and cameras on every street corner.
[01:06:44.740 --> 01:06:48.301]  It's only the beginning of the New World Order's hellish plan.
[01:06:48.301 --> 01:06:50.262]  The police state isn't coming.
[01:06:50.262 --> 01:06:51.403]  It's here.
[01:06:51.403 --> 01:06:58.206]  Secure your copy today at InfoWars.com or see it online in the highest quality at PrisonPlanet.tv.
[01:07:01.158 --> 01:07:02.879]  Hi folks, this is Alex Jones.
[01:07:02.879 --> 01:07:08.181]  I'm looking for people that have the wisdom to spot savings, opportunity, and recognize risk.
[01:07:08.181 --> 01:07:09.721]  Saving means to make money.
[01:07:09.721 --> 01:07:18.505]  The Cal Bend Pure Soap Company can save you thousands of dollars and give you good old-fashioned real soaps that are triple concentrated and twice as good as what you're using now.
[01:07:19.245 --> 01:07:26.767]  Soaps made from vegetable and coconut oils that contain no useless dyes, perfumes, deodorants, or antibacterials.
[01:07:26.767 --> 01:07:34.769]  Your risk is the hundreds of hazardous toxic detergents that give you rashes, itching sores, and deteriorating clothing called lint.
[01:07:34.769 --> 01:07:40.011]  If you want something better, if you want something you've never had before, you have to do something you've never done before.
[01:07:40.011 --> 01:07:42.171]  Getting a free catalog is easy by calling 800-340-7091.
[01:07:44.952 --> 01:07:48.157]  Or see Calvin on the web at FiveStarSoap.com.
[01:07:48.157 --> 01:07:50.400]  Take charge of your health now by calling 800-340-7091.
[01:07:50.400 --> 01:07:52.663]  Or see Calvin on the web at FiveStarSoap.com.
[01:08:01.721 --> 01:08:04.384]  Ease the T-Rex of political talk.
[01:08:04.384 --> 01:08:07.306]  Alex Jones, on the GCN Radio Network.
[01:08:07.306 --> 01:08:26.384]  All right, State Representative David Simpson, who has captained the entire operation to stand up against the federal power grab, the Fourth Amendment violating, uh, grope downs, the hands in the pants, is voting right now.
[01:08:27.920 --> 01:08:33.823]  But as soon as he's out, he'll either be on with us today or tomorrow in Texas Special Session.
[01:08:33.823 --> 01:08:41.086]  Again, the super big news is that it's top news at the Drugs Report, which means it's the top story in the country.
[01:08:41.086 --> 01:08:46.068]  Texas no-grope bill back on.
[01:08:46.068 --> 01:08:50.930]  And of course, the article breaks down the fact and the subterfuge of Rick Perry.
[01:08:50.930 --> 01:08:55.011]  It's incredible.
[01:08:55.011 --> 01:08:56.252]  It has quotes here.
