[00:00:26.035 --> 00:00:32.323]  Good evening and welcome to the Monday, October 17, 2011 edition of InfoWars Nightly News.
[00:30:03.892 --> 00:30:11.175]  When you look at the animal feeding studies, as the American Academy of Environmental Medicine did, they said these are the problems that are associated with the animals.
[00:30:11.515 --> 00:30:16.797]  Reproductive problems, immune system problems, accelerated aging, organ damage, gastrointestinal problems.
[00:30:17.117 --> 00:30:21.701]  As well as dysfunctional regulation of insulin and cholesterol.
[00:30:22.181 --> 00:30:26.305]  So they said all doctors should prescribe non-GMO diets to every patient.
[00:30:26.900 --> 00:30:31.644]  But yes, there is deniability built into the system because there's no labeling.
[00:30:31.904 --> 00:30:38.769]  So people can't say, I took the non-GM product, and then I took the GM product and got sick, then I went back to the non-GM product.
[00:30:39.089 --> 00:30:40.490]  It's too difficult for them.
[00:30:40.830 --> 00:30:44.753]  And that's one of the key reasons why they're so intent on not labeling.
[00:30:45.274 --> 00:30:50.017]  Another reason is that they know that most Americans say they would avoid GMOs if they were labeled.
[00:30:50.277 --> 00:30:53.520]  And so it would be the death knell of GMOs if labeling comes about.
[00:30:54.551 --> 00:30:54.691]  Wow.
[00:30:54.711 --> 00:30:58.653]  Well, I know there's so much more to talk about, but we thank you for joining us for now.
[00:30:58.693 --> 00:31:06.778]  The film is Scientists Under Attack, and it's at the InfoWars online store, along with a lot of other powerful anti-GMO information.
[00:31:07.398 --> 00:31:10.240]  Alex Jones is coming up via Skype in just a moment.
[00:31:10.640 --> 00:31:15.743]  But I want to remind you, the November 3rd Money Bomb is coming up and we really need your support.
[00:31:15.783 --> 00:31:21.066]  The InfoWars Nightly News, along with the entire InfoWars operation, is not corporate funded.
[00:31:21.486 --> 00:31:24.268]  It's funded by patriots who care about getting the word out.
[00:31:24.608 --> 00:31:31.712]  So we hope you will contribute and help us continue to spread the word, grow, and reach the people we need to turn this thing around.
[00:31:32.032 --> 00:31:33.193]  We'll be right back after this.
[00:31:36.604 --> 00:31:43.005]  If you believe in this information and want to support its viral spread, go to the InfoWars store at InfoWars.com.
[00:31:43.326 --> 00:31:44.186]  We've got the new G.I.
[00:31:44.226 --> 00:31:46.166]  Joe InfoWars t-shirts.
[00:31:46.546 --> 00:31:52.648]  We've got the incredible ProPure gravity-fed filters available at InfoWars.com in the store.
[00:31:53.208 --> 00:31:57.569]  We've got a new DVD, Sinus Under Attack, the Don't Tread on Me flag.
[00:31:58.269 --> 00:32:02.210]  We've got all sorts of different bumper stickers to help spread the rebellion virally.
[00:32:02.890 --> 00:32:03.551]  It's all there.
[00:32:03.631 --> 00:32:06.393]  Wristbands, citizen rule books, in every order.
[00:32:06.853 --> 00:32:09.555]  Order online at InfoWars.com today.
[00:32:09.815 --> 00:32:12.837]  The water filters, the canteens, it's all there.
[00:32:13.237 --> 00:32:14.578]  InfoWars.com.
[00:32:20.883 --> 00:32:23.185]  And we are back on the InfoWars Nightly News.
[00:32:23.245 --> 00:32:27.368]  We're joined now by host Alex Jones with breaking information.
[00:32:27.388 --> 00:32:28.789]  Alex, what do you want to hit first?
[00:32:29.690 --> 00:32:32.211]  Well, Aaron, I've got a laundry list of issues here.
[00:32:32.331 --> 00:32:39.234]  Obama embracing Occupy Wall Street, the potential of bank runs, banks arresting people across the country.
[00:32:39.254 --> 00:32:41.075]  When I first saw these videos, I couldn't believe it.
[00:32:41.435 --> 00:32:42.915]  Now it's a phenomenon nationwide.
[00:32:42.935 --> 00:32:46.997]  People trying to get their money out protesting Wall Street that way are met by the police.
[00:32:47.917 --> 00:32:51.639]  It doesn't just cost $5 to get money out of Bank of America now.
[00:32:52.279 --> 00:32:52.559]  I think so.
[00:33:15.004 --> 00:33:22.367]  On the TSA legislation that I've read, and it says movies, TV, if you play the part of a TSA agent, you'll go to jail.
[00:33:22.407 --> 00:33:23.368]  That's unprecedented.
[00:33:23.768 --> 00:33:31.351]  And it clearly says that you can't use their image unless they, you know, authorize it, which is a violation of the First Amendment.
[00:33:31.672 --> 00:33:36.814]  Parity of government and corporations and prominent people is one of the most protected forms of speech.
[00:33:37.254 --> 00:33:39.835]  I mean, I just threw out some of the topics I want to get into, Aaron.
[00:33:40.135 --> 00:33:41.116]  What do you want to cover first?
[00:33:41.977 --> 00:33:50.376]  Well, we were talking about Wall Street before, and clearly there has been a move to co-opt it from the Obama and Democratic factions, just as we saw four years ago with the Tea Party.
[00:33:52.159 --> 00:33:58.764]  Well there has been, and three weeks ago we saw this, but tried to give it some time to make sure our worst fears weren't correct.
[00:33:59.105 --> 00:34:05.490]  We put out the option, we said clearly Democratic operatives put the call out for this, but grassroots people showed up.
[00:34:05.850 --> 00:34:08.552]  MoveOn.org, the White House people, they're all there.
[00:34:08.612 --> 00:34:09.913]  The union's trying to take it over.
[00:34:10.294 --> 00:34:11.775]  I said let's hope that doesn't happen.
[00:34:12.095 --> 00:34:20.722]  But for simply pointing out that there was an attempt to take over, we were decried by Democratic Party operatives who were basically posing as independents, and how dare
[00:34:20.762 --> 00:34:24.765]  There you, you right-wing extremist, claim this is Democrat run.
[00:34:24.785 --> 00:34:29.788]  Kind of like when we pointed out that the Ron Paul started Tea Party was being infiltrated by Republicans.
[00:34:30.169 --> 00:34:34.312]  Republican hacks were like, shut up, dirty commie, go back to Soros.
[00:34:34.772 --> 00:34:38.174]  Well, now we're like, hey, George Soros is involved in the left-wing taking this over.
[00:34:38.314 --> 00:34:40.416]  They're like, shut up, right-wing filth.
[00:34:40.876 --> 00:34:45.099]  Why don't you, why don't you go back and get your orders from the Pope or whatever they make up.
[00:34:45.459 --> 00:34:47.201]  So all of that is going on.
[00:34:48.380 --> 00:34:57.103]  And I'm sitting here looking at it as Obama and the head of the Federal Reserve and the head of the Dallas Fed and the Clintons all come out and say, we love you.
[00:34:57.544 --> 00:34:58.444]  We agree with you.
[00:34:58.464 --> 00:35:06.007]  If you go to Infowars.com, the big graphic Nemo's got up there, says we are the 99% redistribution or revolution.
[00:35:07.045 --> 00:35:09.546]  And that's exactly what the Federal Reserve on the left wants.
[00:35:09.666 --> 00:35:15.668]  On the right, Herman Cain from the Federal Reserve wants all these new VAT and sales taxes to raise taxes to pay it to them.
[00:35:16.148 --> 00:35:22.450]  But they're promising, kind of their rabble, that, oh, more collectivism, you'll live better.
[00:35:23.484 --> 00:35:25.346]  But collectivism never delivers that.
[00:35:25.406 --> 00:35:35.995]  So this is class warfare being invoked by the Obama administration in everyone's face right now and trying to play the American people off against each other.
[00:35:36.055 --> 00:35:38.257]  So they branded Tea Party as Republican.
[00:35:38.797 --> 00:35:48.240]  Even though it was truly grassroots and informed in its beginning, and they branded this as liberal, and it's become a self-fulfilling prophecy, and now Obama's like, get him!
[00:35:48.320 --> 00:35:48.981]  Get out there!
[00:35:49.381 --> 00:36:01.025]  That's his re-election strategy, is posed as anti-Wall Street corruption, when he is a pure creature of that, just like George W. Bush or John McCain was, to play the part of anti-establishment.
[00:36:01.425 --> 00:36:01.505]  Yes.
[00:36:23.792 --> 00:36:27.417]  It is a redistribution, October, Bolshevik-type deal.
[00:36:27.737 --> 00:36:29.259]  That's why they launched it in October.
[00:36:29.559 --> 00:36:30.520]  That's what it's all about.
[00:36:30.561 --> 00:36:36.267]  And it's about branding all revolution now in America about collectivism, just like the banksters always fund.
[00:36:36.608 --> 00:36:41.994]  Communism is the answer to them in third world countries, because that's a system they're not really afraid of.
[00:36:42.495 --> 00:36:46.396]  Then they can also oppose it in their whole staged dichotomy.
[00:36:47.836 --> 00:36:59.860]  They don't want you discussing crony, anti-free market, monopoly men waging war against free market and private property and paying the unwashed masses, as the globalists call them, the useful idiots, chicken feed.
[00:37:00.840 --> 00:37:06.224]  To be their cannon fodder of dependents to wage war against the rest of the producing class.
[00:37:06.524 --> 00:37:07.665]  So that's what's happening here.
[00:37:07.705 --> 00:37:23.377]  And now we've seen people actually protesting where it's smart to protest inside the big six megabanks that are the shareholders, the private Federal Reserve, Citigroup, Bank of America, Wells Fargo, JP Morgan.
[00:37:24.077 --> 00:37:27.698]  And I first saw one of these at Citibank over the weekend and couldn't believe it.
[00:37:27.738 --> 00:37:31.780]  And now there's just dozens of videos where people show up and say, I want my money.
[00:37:32.140 --> 00:37:34.080]  And cops just pour in and drag their butt out.
[00:37:34.140 --> 00:37:35.441]  And you're like, you're not getting your money.
[00:37:35.961 --> 00:37:41.103]  And every time you try to take it out with your $400 limit on ATM, we're going to charge you five smackers.
[00:37:41.943 --> 00:37:44.064]  So, it's serious.
[00:37:44.124 --> 00:38:02.093]  No, they want to endorse the Occupy Wall Street that just sits around in parks and gives, demonstrating the look of teenagers having sex and defecating, you know, on the parkland, so that none of us will just come together and say we're against corrupt elements of Wall Street being government-backed and taking our tax money in bailouts.
[00:38:02.133 --> 00:38:05.115]  That's the long and short of it, just like we told people that they were going to
[00:38:06.448 --> 00:38:09.069]  You know, have a military action in Libya, and we were proven right.
[00:38:09.469 --> 00:38:13.510]  It lasted months, not days, and it's still ongoing, and got criticized for that.
[00:38:13.550 --> 00:38:14.891]  It's a revolution in Libya!
[00:38:15.111 --> 00:38:16.671]  How dare you not be for it!
[00:38:17.111 --> 00:38:20.012]  Just like we watched the West overthrow their old dictator, Mubarak.
[00:38:20.213 --> 00:38:22.353]  How dare you not be for what's happening in Egypt!
[00:38:22.413 --> 00:38:23.033]  It's beautiful!
[00:38:23.374 --> 00:38:25.914]  Now the military dictatorships crack down ten times harder.
[00:38:26.775 --> 00:38:30.316]  You know, how dare you not be for the overthrow in war with Iran!
[00:38:30.336 --> 00:38:30.616]  You must
[00:38:31.456 --> 00:38:36.257]  No, I just don't want World War 3.
[00:38:36.617 --> 00:38:42.518]  So we're right, right, right, right, right, right, over and over again and that's why we're so demonized and attacked.
[00:38:42.718 --> 00:38:44.518]  Because Aaron, we are the tip of the spear.
[00:38:45.079 --> 00:38:48.359]  Yep, and we've been attacked again on the YouTube format as you know.
[00:38:48.379 --> 00:38:50.940]  I don't know if you want to get into that now or discuss it a little more.
[00:38:50.980 --> 00:38:53.460]  Yeah, let's do that right now and then I'll get into the whole Iran situation.
[00:38:53.880 --> 00:38:54.120]  Yeah.
[00:38:55.020 --> 00:38:57.541]  So, as you know, they've tried to block our video, Alex.
[00:38:57.841 --> 00:38:58.801]  What's the latest on that?
[00:39:00.051 --> 00:39:02.093]  Okay, I got a call Saturday morning.
[00:39:03.134 --> 00:39:07.477]  Sunday night, we got one of these privacy violations, and those can shut you down outright.
[00:39:08.618 --> 00:39:13.502]  It says in our rules, it's the equivalent of a hidden video in a women's restroom or something.
[00:39:14.383 --> 00:39:19.507]  And we watch the video, and the Federal Reserve doesn't say it, they just say the video violates the privacy.
[00:39:20.428 --> 00:39:24.391]  We can show a copy of that notice that we got up on screen here.
[00:39:24.412 --> 00:39:26.233]  And then,
[00:39:28.775 --> 00:39:29.055]  I don't
[00:39:50.810 --> 00:39:54.995]  Or we're going to review it in 48 hours, and if we find it, it could be a strike or removal.
[00:39:55.555 --> 00:40:05.004]  And I've just made the decision, even though there's 145 million views on the channel, most major city TV stations don't have that many viewers in a year.
[00:40:06.095 --> 00:40:11.818]  That's where Pete viewers one of over 300 million views we have on different YouTube channels, conservatively on YouTube.
[00:40:11.838 --> 00:40:13.839]  It's an important part of our outreach.
[00:40:14.059 --> 00:40:19.321]  But if they were trying to shut me down speaking on a street corner, I would consider legal action if I was talking to five people.
[00:40:19.681 --> 00:40:21.622]  It's the it's the principle of the matter.
[00:40:23.003 --> 00:40:25.144]  And they are trying to shut down our YouTube channel.
[00:40:25.164 --> 00:40:27.005]  We've had a lot of other groups trying it as well.
[00:40:27.445 --> 00:40:34.929]  All of the great videos that have millions of views and hundreds of thousands of views on the bin Laden killing being fake on food, the ultimate secret.
[00:40:36.070 --> 00:40:37.872]  On brain-eating vaccines.
[00:40:37.992 --> 00:40:39.713]  All those really iconic videos.
[00:40:40.054 --> 00:40:41.475]  People should be downloading those.
[00:40:41.555 --> 00:40:43.397]  Copy them of their sites.
[00:40:43.437 --> 00:40:43.917]  Saving them.
[00:40:43.937 --> 00:40:46.159]  And we have the whole InfoWars Nightly News format.
[00:40:47.236 --> 00:40:49.457]  For PrisonPlanet.tv members.
[00:40:49.497 --> 00:40:55.279]  But then, on all the other video platforms, where the show leaks out to, which we appreciate, we actually like that.
[00:40:55.299 --> 00:40:58.020]  We post it on our own YouTube channel a day or so after.
[00:40:58.860 --> 00:41:01.341]  We reach a few million people a week with that, and it's growing.
[00:41:01.621 --> 00:41:03.001]  We want to reach tens of millions.
[00:41:03.041 --> 00:41:05.982]  That's the goal, and we couldn't do it without listeners' support.
[00:41:06.322 --> 00:41:08.043]  So we're ready for more and more censorship.
[00:41:08.123 --> 00:41:13.565]  I mean, you know, the TSA saying they've got the big domain register, globally.
[00:41:14.639 --> 00:41:17.462]  Coming out and saying no judge, no jury, no nothing.
[00:41:17.502 --> 00:41:19.484]  They just want to shut down any website they want.
[00:41:19.544 --> 00:41:21.186]  Selective internet kill switch.
[00:41:21.306 --> 00:41:22.147]  It's all here.
[00:41:23.188 --> 00:41:25.030]  And this really has caused a firestorm.
[00:41:25.070 --> 00:41:30.235]  Hundreds of thousands of views now of the videos up on the YouTube channel where I talk about this.
[00:41:30.735 --> 00:41:36.581]  And it's only caused the video they tried to censor to get an additional 100,000 views in just the last few days.
[00:41:37.362 --> 00:41:42.186]  And we've tried to figure out what it is that makes them so upset that they would try to have it removed.
[00:41:42.546 --> 00:41:48.070]  And I think it's that you have the combo of the Dallas fence they put up, and they say private property, stay off.
[00:41:48.611 --> 00:41:53.795]  And then you've got the cop coming up and agreeing with us when I say it looks like a federal building.
[00:41:55.436 --> 00:41:57.598]  They say they're federal, but now they're saying they're not.
[00:41:57.638 --> 00:41:58.639]  This should be investigated.
[00:41:59.019 --> 00:42:01.502]  And the cop laughs and smiles and shakes my hand.
[00:42:01.902 --> 00:42:08.548]  It's that image of the police and the public and authority figures going, yeah, what is this hoax?
[00:42:09.489 --> 00:42:12.411]  I mean, just ten years ago, they'd say you were a kook if you said it was private.
[00:42:12.811 --> 00:42:17.453]  Some people say, well, it's like Federal Reserve, like Federal Express, or Federal Ammunition, Alex.
[00:42:17.773 --> 00:42:20.055]  What's the problem with it having Federal in its name?
[00:42:20.395 --> 00:42:22.936]  They've always masqueraded as a government agency.
[00:42:23.236 --> 00:42:36.023]  They've had their goons come 1,500 feet, we've now measured it, in Kansas City to threaten you with firearms on their sides, to leave and not film them from a half mile away or whatever, a quarter mile away, or they would get you.
[00:42:36.063 --> 00:42:38.104]  Just pure color of law garbage.
[00:42:38.684 --> 00:42:39.585]  It's out of control.
[00:42:39.645 --> 00:42:41.086]  So I've let the Federal Reserve know.
[00:42:42.888 --> 00:42:44.109]  And they kept their complaint in.
[00:42:44.910 --> 00:42:45.890]  They haven't revoked it.
[00:42:46.971 --> 00:42:50.955]  But YouTube hasn't taken that video down or our channel down.
[00:42:51.195 --> 00:42:52.296]  And we haven't gotten an answer.
[00:42:52.556 --> 00:42:55.279]  Even though that individual knew you were filming and came up to you.
[00:42:56.299 --> 00:42:59.562]  That individual knew you were filming and came up to you and spoke to you willingly.
[00:43:00.043 --> 00:43:01.144]  Out in a public arena.
[00:43:01.960 --> 00:43:02.661]  Well, exactly.
[00:43:02.681 --> 00:43:06.344]  I mean, out there in the no-man's land, where their sidewalk is, and came out and talked to us.
[00:43:06.864 --> 00:43:09.086]  I mean, the point is, it's public interest, too.
[00:43:09.146 --> 00:43:23.097]  Like, when the news media goes and bangs on a door, and the mother comes to the door and they say, you haven't vaccinated your child, the newsroom authorizes that because it's seen under precedent as public interest, even though it's the media out there pushing people to get shots.
[00:43:23.497 --> 00:43:26.460]  In their view, it's public interest, so they're going to show it.
[00:43:27.620 --> 00:43:30.301]  But yeah, no, it's not like we were inside the Federal Reserve or something.
[00:43:30.721 --> 00:43:32.262]  But again, it's a commons area.
[00:43:32.282 --> 00:43:36.803]  That's why you can go in a bank or a grocery store shooting video until they tell you to stop.
[00:43:37.544 --> 00:43:44.766]  But this was outside in kind of a commons area where their sidewalk ran into the main sidewalk.
[00:43:45.066 --> 00:43:47.087]  And we made the joke of, hey, it's private property.
[00:43:47.107 --> 00:43:49.048]  And then they just tried to twist that.
[00:43:49.068 --> 00:43:51.508]  But yeah, I've talked to the lawyer and the lawyer said, yes, I was correct.
[00:43:51.709 --> 00:43:52.829]  There's no way they'd win at this.
[00:43:53.169 --> 00:43:56.110]  So I've thrown the gauntlet down, and I'm telling them, leave us alone.
[00:43:56.170 --> 00:43:59.190]  So that's basically what's happening on that front.
[00:43:59.230 --> 00:44:06.832]  It shows you how scared they are, though, that there's this admission that they're private, while they're masquerading in what looks like fake federal buildings.
[00:44:07.132 --> 00:44:09.873]  And they try to build their buildings right next to other federal buildings.
[00:44:10.133 --> 00:44:11.633]  It's all part of this masquerading.
[00:44:12.133 --> 00:44:14.274]  And now, under the European Union dictatorship,
[00:44:15.174 --> 00:44:19.836]  They're actually setting up where the private European Central Bank actually is the government.
[00:44:20.176 --> 00:44:32.100]  That's their final goal, is pure private corporate governance, with a throng of jellyfish that are on government dole, serving them and menacing the rest of us that work on the North Korean-style plantations.
[00:44:32.981 --> 00:44:33.882]  Yeah, I agree.
[00:44:33.942 --> 00:44:37.786]  It's layers of, maybe one layer of accountable government, the rest unaccountable.
[00:44:38.166 --> 00:44:51.499]  Now on the backdrop of this whole Fast and Furious scandal, itself kind of an Iran-Contra thing, we see this provocation to beat the drum wars for another Iran war using this hoax, this FBI sting operation, Alex.
[00:44:52.080 --> 00:44:55.203]  What's developed in the past few days as you've been investigating near the border?
[00:44:56.656 --> 00:45:02.366]  Well, even as national media has pointed out, this whole Fast and Furious is the tip of the iceberg.
[00:45:03.788 --> 00:45:08.977]  The part the media that CBS broke, the truth that was already out in federal documents, was a distraction.
[00:45:10.109 --> 00:45:14.510]  A purposeful distraction like a mother mockingbird acting like it's wings broken.
[00:45:15.250 --> 00:45:27.754]  For folks that don't live around mockingbirds, if they've built a nest by your house or in the bush by your business or whatever, when you're going into work or whatever, the mockingbird will flop around on the ground acting like it's wings broken so that you won't go over to its eggs.
[00:45:28.754 --> 00:45:37.677]  And that's exactly what's going on here is that it's sort of coming out in the last six, eight months in federal court documents in Texas and Illinois.
[00:45:39.016 --> 00:45:44.482]  And other areas, and we've done countless reports on this at Infowars.com and PrisonPanda.com and here on the Nightly News.
[00:45:44.902 --> 00:45:46.764]  If you're a new viewer, you can go pull all this up.
[00:45:47.344 --> 00:45:52.269]  But it's in mainstream news that Sinaloa was authorized to ship cocaine in.
[00:45:53.511 --> 00:45:55.412]  So was Los Zetas, trained at U.S.
[00:45:55.452 --> 00:45:57.334]  military bases, Fort Bragg and Fort Benning.
[00:45:58.255 --> 00:45:59.175]  We're good to go.
[00:46:21.281 --> 00:46:25.344]  And then so there'd be less competition to jack up the overall price.
[00:46:25.804 --> 00:46:26.765]  So the major U.S.
[00:46:26.785 --> 00:46:33.610]  Federal Reserve banks got larger, larger amounts of goodies, larger amounts of liquid cash flowing into them.
[00:46:33.890 --> 00:46:36.772]  And this is all in the documents and different cartel heads that are busted.
[00:46:37.072 --> 00:46:38.373]  Mexico's kind of getting tired of it.
[00:46:38.393 --> 00:46:38.993]  They'll bust them.
[00:46:39.474 --> 00:46:43.076]  They'll ship them back to the U.S., you know, to face the trial or whatever.
[00:46:43.697 --> 00:46:45.438]  In the case of the Sinaloa guy from Texas.
[00:46:45.878 --> 00:46:48.240]  And they'll declare national security in the trial.
[00:46:49.700 --> 00:46:50.521]  And the U.S.
[00:46:50.561 --> 00:46:52.502]  government will admit, yeah, national security.
[00:46:53.162 --> 00:46:55.404]  So this is all going on.
[00:46:55.424 --> 00:47:00.487]  And I'm down here in Brownsville right now on the border investigating this and talking to locals.
[00:47:00.767 --> 00:47:01.408]  They're scared.
[00:47:01.748 --> 00:47:09.173]  They've got helicopter attacks, shootouts, miles into the border, right next to football stadiums, while high school football, junior varsity is going on.
[00:47:09.573 --> 00:47:13.375]  They're kidnapping people, murdering people, killing citizens.
[00:47:14.036 --> 00:47:17.098]  The police literally, I mean, basically,
[00:47:17.398 --> 00:47:17.718]  I think so.
[00:47:32.409 --> 00:47:35.572]  The rest of the cops, border patrol, are all on the narcotics payroll.
[00:47:36.113 --> 00:47:39.756]  And it's just a giant free-for-all of pure evil down here.
[00:47:39.776 --> 00:47:44.741]  And they've got giant FEMA camps they've built that they're priming with illegals, mainly from South America.
[00:47:44.781 --> 00:47:46.022]  The Mexicans are just let in.
[00:47:46.443 --> 00:47:49.285]  And I covered that on the radio extensively today.
[00:47:50.246 --> 00:47:52.028]  But it is just bizarre.
[00:47:53.369 --> 00:47:56.653]  Also, just a mass psychology example.
[00:47:58.686 --> 00:48:07.610]  While I'm down here, I took the family to the beach yesterday, and I noticed everybody was coughing and couldn't breathe, and I said, something's been dumped in the ocean, or there's a red tide.
[00:48:08.530 --> 00:48:10.731]  And I said, looks kind of like a red tide.
[00:48:10.931 --> 00:48:11.932]  It's brown out there.
[00:48:12.652 --> 00:48:17.754]  And I'd go up and ask folks, say, yeah, we're coughing, but you know, it can't be anything.
[00:48:18.354 --> 00:48:21.436]  Well, I got on my iPhone and typed in red tide.
[00:48:22.597 --> 00:48:23.298]  South Texas.
[00:48:52.837 --> 00:49:06.209]  So it's just like the GMO soft kill or the mercury in the shots and the autism going from 1 in 30,000 25 years ago, you know, 1 in 25,000 30 years ago to 1 in 58 in 2010.
[00:49:07.090 --> 00:49:10.353]  It's like 1 in 20 something in South Korea where the vaccination rates are high.
[00:49:10.733 --> 00:49:14.417]  It doesn't matter because it's incremental and people will just accept it.
[00:49:14.757 --> 00:49:17.940]  You probably could have had thousands dropping dead out there yesterday.
[00:49:18.240 --> 00:49:21.703]  And if the news didn't tell them, I was the bad man for warning people.
[00:49:21.963 --> 00:49:32.132]  But as soon as it was in the mainstream media today, there it is out of the Valley Star, Red Tide, and it says health advisory issued toxic bloom spreads.
[00:49:32.692 --> 00:49:33.333]  Here's another one.
[00:49:33.893 --> 00:49:35.394]  As soon as it was admitted,
[00:49:36.440 --> 00:49:47.763]  Again, online last night, it was on the fishery service, and Coast Guard were admitting it, but still I was trying to show people on the iPad, iPhone, and it was just, you know, wasn't true.
[00:49:48.123 --> 00:49:51.504]  It had to be mainstream media, not a fellow slave warning them.
[00:49:51.524 --> 00:49:53.345]  They're like coughing and wheezing red eyes.
[00:49:53.645 --> 00:49:55.505]  I'm like, don't go out to the beach, it's a really bad red tide.
[00:49:55.525 --> 00:49:59.707]  I mean, I was out there swimming, and my kids couldn't breathe, and I said, we better get out of here.
[00:50:01.107 --> 00:50:05.268]  Richard Reeves is traveling down here with us, and he was like, yeah, it's some kind of toxin.
[00:50:05.308 --> 00:50:06.208]  It's some kind of toxin.
[00:50:06.228 --> 00:50:07.129]  Look at all the dead fish.
[00:50:07.569 --> 00:50:10.470]  But there were people walking around us going, I don't know what you're talking about.
[00:50:10.770 --> 00:50:12.230]  Because the media didn't tell them.
[00:50:12.450 --> 00:50:20.412]  Your house could be on fire, and if Janet Napolitano isn't there to wipe your hind in, some people would sit there in the flames because their god government didn't tell them.
[00:50:20.752 --> 00:50:22.733]  Look at this, the red tide invades.
[00:50:24.493 --> 00:50:27.014]  Officials, various algae blooms plague.
[00:50:28.123 --> 00:50:34.446]  South Padre Island, in the photo, you can see one of the giant fish there that's dead.
[00:50:34.886 --> 00:50:39.027]  So just an example of mass psychology going on there, my friend.
[00:50:40.688 --> 00:50:42.689]  You wanted to talk about Mitt Romney too, Alex.
[00:50:44.884 --> 00:50:48.327]  Yes, I mean, these are some of the articles up on Infowars.com and Featured News.
[00:50:48.367 --> 00:50:50.308]  I mean, the incredible news we report every day.
[00:50:50.669 --> 00:50:59.596]  I'm so honored to be here bringing this information to people, and I hope viewers and people realize how hard it is to do all this research and bring you this intel and how addicted to liberty and freedom we are.
[00:51:00.216 --> 00:51:04.920]  But I guess we are the number one alternative media news source out there now, so I guess you do realize that.
[00:51:05.120 --> 00:51:06.642]  But we've got to go to the next level here.
[00:51:07.600 --> 00:51:09.862]  Obama's great African military safari.
[00:51:09.882 --> 00:51:11.923]  They're invading all these different countries now.
[00:51:12.003 --> 00:51:14.465]  They're going into Uganda, you name it.
[00:51:14.905 --> 00:51:15.986]  There's mass U.N.
[00:51:16.106 --> 00:51:20.188]  murder programs going on where they just mow everybody down for carbon tax sinks.
[00:51:21.629 --> 00:51:23.431]  I mean, it's just pure green genocide.
[00:51:23.451 --> 00:51:25.112]  They're announcing the Green Helmet Brigades.
[00:51:25.972 --> 00:51:31.016]  Coming in, I mean, it's just total twilight zone as the Peace Prize warlord sups on blood.
[00:51:31.036 --> 00:51:31.076]  U.N.
[00:51:32.557 --> 00:51:36.240]  forces are in Honduras in places, mass slaughtering, that's in the news.
[00:51:36.580 --> 00:51:40.543]  Shopping on blood, liberals are dancing with glee, the pleasure is so good.
[00:51:40.563 --> 00:51:45.247]  Of course, they'll be conned and run over as well, but that's part of the celebration of weakness and being an idiot.
[00:51:45.867 --> 00:51:51.191]  Continuing, Romney gets advice from Obama's creepy science czar, John P. Holdren.
[00:51:52.466 --> 00:51:56.728]  It turns out his top advisor calling for carbon taxes is John P. Holdren.
[00:51:56.948 --> 00:51:57.568]  Well, of course!
[00:51:57.628 --> 00:52:01.010]  I mean, he's for abortion, he's for gun-grabbing, he's for socialist healthcare.
[00:52:01.270 --> 00:52:05.431]  He wrote it, and it's a sacrament to the Republican mainline people.
[00:52:05.471 --> 00:52:07.292]  They love being conned, they love being hurt.
[00:52:07.692 --> 00:52:10.333]  It's like a demonic infestation or something.
[00:52:10.653 --> 00:52:19.357]  It's a mental thing where being conned and ripped off is cute and fun, and Herman Cain's running around promoting giant new taxes to pay the Federal Reserve, everything.
[00:52:19.737 --> 00:52:20.037]  Thank you.
[00:52:37.583 --> 00:52:38.384]  I run on the banks.
[00:52:38.404 --> 00:52:40.526]  That's part of the plan there, Paul Joseph Watson.
[00:52:40.947 --> 00:52:43.950]  CIA is advertising and it's taking over your local police department.
[00:52:43.970 --> 00:52:49.555]  It's totally illegal, but they want to urinate on you and dominate you and let you know this is theirs.
[00:52:50.056 --> 00:52:56.683]  And they're going to sell cocaine and heroin to your children, and when they use it, they're going to put them in a private prison owned by mega banks that brought the drugs in to begin with.
[00:52:57.003 --> 00:53:05.951]  I mean, it's just, he's a sodal, savage, criminal evil, and a huge domesticated public, just, uh, uh, uh, uh, help us, government, uh!
[00:53:06.291 --> 00:53:08.813]  I mean, just, just, just wanting to be enslaved.
[00:53:10.535 --> 00:53:12.356]  And we will implode like Mexico and North Korea.
[00:53:12.396 --> 00:53:13.637]  That's what the public wants.
[00:53:13.678 --> 00:53:14.738]  They beg for it 24-7.
[00:53:14.818 --> 00:53:19.583]  Oh, please, Mr. President, give me a free car and a house, $9.99.
[00:53:20.043 --> 00:53:22.025]  Herman Cain, save me with new taxes.
[00:53:22.425 --> 00:53:23.286]  It's so conservative.
[00:53:25.100 --> 00:53:29.005]  I know I'm kind of ranting here because I just did three hours on my own show and I'm just sick of it all.
[00:53:29.866 --> 00:53:31.469]  But that's basically a lot of the news.
[00:53:31.849 --> 00:53:34.673]  Yeah, here's some fish kill video that Richard shot.
[00:53:34.693 --> 00:53:36.616]  I don't know if you can see that, but it's...
[00:53:37.878 --> 00:53:39.319]  You know, we ought to get all these photos.
[00:53:39.339 --> 00:53:41.240]  Let's go take some photos right now if we can handle it.
[00:53:41.841 --> 00:53:45.543]  And get it off to a Curt Nemo and we can have a big story on this.
[00:53:45.603 --> 00:53:51.006]  I mean, hell, that's usually drudge linkage and drudge love whenever, you know, fish die anywhere.
[00:53:51.026 --> 00:53:52.247]  And I think this is pretty interesting.
