[00:00:00.209 --> 00:00:01.469]  You've got it, brother.
[00:24:57.442 --> 00:25:08.410]  That's why Ron Paul, in the Republican debate earlier in the week, not the last one in Florida, said, I am... Maybe it was the latest one, they all run together.
[00:25:08.410 --> 00:25:15.215]  I actually have been watching them, not live, but on the web, and we post them on InfoWars.com and PrisonPlanet.com.
[00:25:16.032 --> 00:25:21.074]  I tend to skip through some of the lower tier candidates, but I've been watching most of it.
[00:25:21.074 --> 00:25:29.937]  And Ron Paul says himself he's a number three candidate, and undoubtedly he's number three.
[00:25:29.937 --> 00:25:34.718]  Now, I was going to do a report on this on the InfoWars Nightly News Friday, but didn't have time.
[00:25:34.718 --> 00:25:36.199]  It's actually in there on Newsdesk.
[00:25:36.199 --> 00:25:38.080]  I should have had it for the break.
[00:25:38.080 --> 00:25:41.941]  But several news publications broke down the numbers.
[00:25:43.414 --> 00:25:45.795]  And Dew was checking it and found them to be accurate.
[00:25:45.795 --> 00:25:59.318]  Ron Paul, out of all the candidates, in the last three debates, Republican debates, has gotten the least amount of time in questions and in answers.
[00:25:59.318 --> 00:26:04.700]  The last one I saw was like Romney was like 13 minutes and Ron Paul was four and a half.
[00:26:06.516 --> 00:26:08.057]  Perry was what, like nine minutes?
[00:26:08.057 --> 00:26:15.023]  I mean, this is so obvious that they run this hoax, Ron Paul can't win, Ron Paul can't win.
[00:26:15.023 --> 00:26:27.252]  Even Jon Stewart a month ago helped break the hoax, finally, and showed a compilation of four different TV networks, all saying the exact same thing about Ron Paul can't win, or when he had second place, mentioning first and third.
[00:26:27.252 --> 00:26:29.914]  I hear the conservative radio networks do the same thing.
[00:26:29.914 --> 00:26:31.956]  Local radio, it is a talking point.
[00:26:32.898 --> 00:26:35.260]  Now, local talk show hosts aren't getting a talking point.
[00:26:35.260 --> 00:26:45.347]  They regurgitate what the national talk show hosts say, a lot of them knowing they'll go up the corporate ladder from the establishment if they show themselves to be yes-men and women.
[00:26:45.347 --> 00:26:58.736]  But others are just weak-minded and just kind of think repeating what's on the Sunday news shows, yeah, well, those are the experts on TV, so if I regurgitate their pap talking points, that makes me sound like I'm really smart.
[00:27:00.458 --> 00:27:00.858]  No, no.
[00:27:00.858 --> 00:27:06.401]  It's about getting outside the box, off the reservation, off the plantation.
[00:27:06.401 --> 00:27:10.343]  So, if... In fact, I'm going to have Paul Watson do this tomorrow.
[00:27:10.343 --> 00:27:21.269]  I'm going to call Paul Watson before I even get off air today, and I'm going to ask him to write a big article tomorrow chronicling the dirty tricks against Ron Paul that have been run just the last six months.
[00:27:21.269 --> 00:27:25.171]  And it is mind-blowing how many of them.
[00:27:25.171 --> 00:27:25.711]  But just
[00:27:27.526 --> 00:27:33.092]  Something we did confirm in Drudge Report linked to our article about this Friday.
[00:27:33.092 --> 00:27:37.978]  Fox News pulls poll showing Ron Paul debate victory.
[00:27:37.978 --> 00:27:39.980]  Claims Mitt Romney won.
[00:27:39.980 --> 00:27:44.485]  When they close the poll out, Ron Paul beating by right at double.
[00:27:45.632 --> 00:27:52.837]  By 11,000 votes, and it's geolocated, you can only vote once with an IP address, and this happens at every poll.
[00:27:52.837 --> 00:27:57.721]  I've seen some where he gets more than double, where he has like 62% in the last NBC poll.
[00:27:57.721 --> 00:28:02.464]  62% of all the others had 30-something, and then they wouldn't even mention him.
[00:28:02.464 --> 00:28:08.929]  Wall Street Journal two weeks ago had a poll where he got over 40%, and it showed all the other candidates, and it said other candidate, which was Ron Paul.
[00:28:09.529 --> 00:28:13.731]  And then everybody commenting under the thing said, we know what you're doing, Wall Street Journal.
[00:28:13.731 --> 00:28:18.433]  It's liberal, it's conservative, but they're all flavors of the same establishment, Kool-Aid.
[00:28:18.433 --> 00:28:21.694]  You ever wonder why Gatorade has like 20 different flavors?
[00:28:21.694 --> 00:28:23.215]  It's so they take up shelf space.
[00:28:25.247 --> 00:28:26.968]  It's the same thing with the Republicans and Democrats.
[00:28:26.968 --> 00:28:31.950]  They just want to make you think you're getting choices, but it all comes from the same company.
[00:28:31.950 --> 00:28:35.792]  Like a Don King fight, where Don King owns both the fighters.
[00:28:35.792 --> 00:28:36.812]  Here it is.
[00:28:36.812 --> 00:28:40.473]  Fox News poll shows Ron Paul debate victory.
[00:28:40.473 --> 00:28:43.655]  Pulls the poll, but not before we screenshotted it and saved it.
[00:28:43.655 --> 00:28:48.317]  And then put up an article saying, in its place, that Mitt Romney had won.
[00:28:48.717 --> 00:28:51.301]  We're going to tell you about that and take your call straight ahead.
[00:28:51.301 --> 00:28:51.441]  877-789-ALEX.
[00:28:51.441 --> 00:28:51.921]  877-789-ALEX.
[00:28:51.921 --> 00:28:52.222]  Stay with us.
[00:29:01.431 --> 00:29:03.133]  Hi folks, this is Alex Jones.
[00:29:03.133 --> 00:29:08.459]  I'm looking for people that have the wisdom to spot savings, opportunity, and recognize risk.
[00:29:08.459 --> 00:29:09.981]  Saving means to make money.
[00:29:09.981 --> 00:29:18.771]  The Calbin Pure Soap Company can save you thousands of dollars and give you good old-fashioned real soaps that are triple concentrated and twice as good as what you're using now.
[00:29:19.512 --> 00:29:27.037]  Soaps made from vegetable and coconut oils that contain no useless dyes, perfumes, deodorants, or antibacterials.
[00:29:27.037 --> 00:29:35.042]  Your risk is the hundreds of hazardous toxic detergents that give you rashes, itching sores, and deteriorating clothing called lint.
[00:29:35.042 --> 00:29:40.285]  If you want something better, if you want something you've never had before, you have to do something you've never done before.
[00:29:40.285 --> 00:29:42.446]  Getting a free catalog is easy by calling 800-340-7091.
[00:29:45.208 --> 00:29:48.431]  Or see Calvin on the web at FiveStarSoap.com.
[00:29:48.431 --> 00:29:50.673]  Take charge of your health now by calling 800-340-7091.
[00:29:50.673 --> 00:29:52.915]  Or see Calvin on the web at FiveStarSoap.com.
[00:30:04.227 --> 00:30:05.487]  Tyranny is here.
[00:30:05.487 --> 00:30:09.028]  The grim future foretold in 1984 has become reality.
[00:30:09.028 --> 00:30:11.829]  It really says that the state is God.
[00:30:11.829 --> 00:30:17.511]  The United States is now recognized globally as one of the most oppressive police states on Earth.
[00:30:17.511 --> 00:30:24.193]  This film conclusively proves the existence of a secret network of FEMA camps, now being expanded nationwide.
[00:30:24.193 --> 00:30:30.175]  This documentary exposes how the continuity of government program has established an all-powerful shadow state.
[00:30:30.175 --> 00:30:33.816]  Police State 4 chronicles the sickening death to which our Republic has fallen.
[00:30:34.356 --> 00:30:38.619]  Prepare to enter the secretive world of emergency dictatorship.
[00:30:38.619 --> 00:30:44.583]  Body scanners, sound cameras, citizen spies, stage terror and cameras on every street corner.
[00:30:44.583 --> 00:30:48.125]  It's only the beginning of the New World Order's hellish plan.
[00:30:48.125 --> 00:30:50.106]  The police state isn't coming.
[00:30:50.106 --> 00:30:51.227]  It's here.
[00:30:51.227 --> 00:30:58.052]  Secure your copy today at InfoWars.com or see it online in the highest quality at PrisonPlanet.tv.
[00:31:00.339 --> 00:31:07.005]  When you're out on the road, the last place you want to be is on the road.
[00:31:07.005 --> 00:31:12.149]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[00:31:12.149 --> 00:31:20.876]  There's a place down in Tennessee, where they make blue diamond gusset jeans.
[00:31:20.876 --> 00:31:24.940]  They sew pride in every stitch.
[00:31:24.940 --> 00:31:27.322]  Guarantee you'll love the way they fit.
[00:31:29.229 --> 00:31:33.984]  They put a diamond gusset in the crotch where you need it most.
[00:31:33.984 --> 00:31:37.053]  Blue diamond gusset's got it.
[00:31:39.032 --> 00:31:41.173]  We turn jeans inside out.
[00:31:41.173 --> 00:31:42.954]  Diamond Gusset Jeans.
[00:31:42.954 --> 00:31:45.836]  Made in the USA with unparalleled quality.
[00:31:45.836 --> 00:31:50.078]  Our Defender Motorcycle Jeans combine Gusset comfort with Kevlar protection.
[00:31:50.078 --> 00:31:52.460]  So you can ride all day with confidence.
[00:31:52.460 --> 00:31:55.162]  Order yours at gusset.com.
[00:31:55.162 --> 00:31:57.543]  Diamond Gusset Jeans got it.
[00:31:57.543 --> 00:31:58.043]  Others don't.
[00:31:59.585 --> 00:32:01.166]  Hello friends, Alex Jones here.
[00:32:01.166 --> 00:32:04.609]  You all know I've worked for years with Steve Shank and eFoods Direct.
[00:32:04.609 --> 00:32:07.192]  I have eFoods for my own emergency food supply.
[00:32:07.192 --> 00:32:10.254]  You know Steve, life is different now for all of us, isn't it?
[00:32:10.254 --> 00:32:11.055]  Very different.
[00:32:11.055 --> 00:32:14.558]  People are using this great food to survive the present hurricane season.
[00:32:14.858 --> 00:32:20.999]  And we've already had $40 billion worth of damage from floods, storms, quakes, and droughts.
[00:32:20.999 --> 00:32:23.240]  And that's just the first eight months of this year.
[00:32:23.240 --> 00:32:27.360]  Natural disasters are newsworthy, but only touch a few of us Americans.
[00:32:27.360 --> 00:32:31.001]  The huge issue of the greatest depression is on everyone's mind.
[00:32:31.001 --> 00:32:37.362]  The unemployment, the loss of homes, lost businesses, and skyrocketing food costs are hitting every American.
[00:32:37.362 --> 00:32:39.222]  So everyone needs food security.
[00:32:39.222 --> 00:32:42.923]  Folks, this month you will get free shipping on every food order from eFoods Direct.
[00:32:43.123 --> 00:32:46.346]  That's right, every order gets free shipping starting September 6th.
[00:32:46.346 --> 00:32:52.651]  Get stocked up with the best storable foods out there with eFoods Direct and be prepared for any emergency before it happens.
[00:32:52.651 --> 00:33:01.359]  To take advantage of this special, call 800-409-5633 or go to eFoodsDirect.com forward slash Alex.
[00:33:01.359 --> 00:33:02.900]  Coast to Coast.
[00:33:02.900 --> 00:33:04.942]  Direct from Austin.
[00:33:04.942 --> 00:33:08.165]  You're listening to the Alex Jones Broadcasting Network.
[00:33:20.638 --> 00:33:22.858]  I was a highway man.
[00:33:22.858 --> 00:33:25.219]  Along the coach roads I did ride.
[00:33:25.219 --> 00:33:29.080]  Sword and pistol by my side.
[00:33:29.080 --> 00:33:33.380]  Many a young maid lost her baubles to my trade.
[00:33:33.380 --> 00:33:37.381]  Who is this, Bill Clinton?
[00:33:37.381 --> 00:33:38.921]  You can trust me, I'm good.
[00:33:38.921 --> 00:33:41.962]  Global warming's real, pay Al Gore money.
[00:33:41.962 --> 00:33:43.842]  Alright, we are back live.
[00:33:43.842 --> 00:33:48.183]  Look, if you want to understand what's going on with Ron Paul and what's happening in this campaign,
[00:33:49.612 --> 00:33:50.412]  It's very simple.
[00:33:50.412 --> 00:33:56.914]  You saw the entire establishment, Pepsi, the big corporations, get behind Obama.
[00:33:56.914 --> 00:34:03.735]  You saw Wall Street give him four times the money, in some cases five times the money they gave John McCain.
[00:34:03.735 --> 00:34:13.477]  Not that John McCain was good, but that the establishment thought, hey, this guy can sell our baloney better than Obama.
[00:34:15.871 --> 00:34:20.393]  Or this guy cannot sell the baloney as well as Obama.
[00:34:20.393 --> 00:34:23.455]  I was having a Freudian slip because I was about to say next.
[00:34:23.455 --> 00:34:27.197]  Now the establishment is sick and tired of Obama.
[00:34:27.197 --> 00:34:33.800]  So you've seen the Chicago Tribune, the Washington Post, all these editorials coming out saying, don't run again, Obama.
[00:34:33.800 --> 00:34:43.705]  Give us a fresh face in the Democratic primaries so that people get bought into the new personality and believing that this new Superman will save us.
[00:34:44.585 --> 00:34:49.408]  It's part of being conned over and over again.
[00:34:49.408 --> 00:35:09.321]  And so, what I'm getting at here is when you see the establishment get behind a George W. Bush, or get behind a Barack H. Obama, or get behind a Ricky Perry, you know, the Ricky Bobby of Texas, when you see that, that right there is the illustration of this is who you don't want to vote for.
[00:35:09.321 --> 00:35:09.922]  Rick Perry,
[00:35:12.205 --> 00:35:17.066]  And Mitt Romney have not won one single straw poll.
[00:35:17.066 --> 00:35:21.007]  They weren't even the frontrunners months ago when the media would add them into the polls.
[00:35:21.007 --> 00:35:23.507]  But the media kept saying they were the frontrunners.
[00:35:23.507 --> 00:35:24.567]  They were the winners.
[00:35:24.567 --> 00:35:29.628]  And so some weak-minded people start to think, well, that's who they say I can vote for.
[00:35:29.628 --> 00:35:33.929]  It's kind of like showing up at the store and saying, I want to rent this DVD.
[00:35:33.929 --> 00:35:35.910]  And they say, sorry, we're out of that movie.
[00:35:35.910 --> 00:35:36.970]  OK, well, what else you got?
[00:35:38.806 --> 00:35:42.208]  They told you you had to vote for Mitt Romney or Rick Perry.
[00:35:42.208 --> 00:35:53.436]  They told you on every show and every program that the race was down to them and then said too bad Ron Paul can't win when in every poll he's been first, second or third.
[00:35:53.436 --> 00:35:55.838]  Most polls he's been second or third.
[00:35:55.838 --> 00:36:06.085]  If you don't believe me just type Ron Paul comes in first in Rasmussen poll or type in Ron Paul comes in second in Mason Dixon or Ron Paul comes in third in Gallup.
[00:36:07.698 --> 00:36:18.370]  In fact, we're going to show you, if you're watching us on PrisonPlanet.tv, we're streaming the show, we can put it on screen before we play this video clip, just a Google search of Ron Paul, third place.
[00:36:18.370 --> 00:36:25.257]  And you'll get Rasmussen, you'll get Gallup, you will see all of those numbers right there.
[00:36:25.257 --> 00:36:27.579]  In fact, I had it up during the break, that's how I know that we...
[00:36:28.643 --> 00:36:30.404]  I don't know why he didn't win!
[00:36:47.998 --> 00:36:52.719]  I don't know why people are saying he can't win.
[00:36:52.719 --> 00:36:54.780]  Again, it's this mindset.
[00:36:54.780 --> 00:36:58.621]  I guess we're gonna go ahead and go to some phone calls here.
[00:36:58.621 --> 00:37:06.443]  Look, the issue here, ladies and gentlemen, is that it's time to stop being conned.
[00:37:06.443 --> 00:37:10.024]  It's time to realize what's happening.
[00:37:10.024 --> 00:37:14.946]  It's time to just have fundamental common sense.
[00:37:16.004 --> 00:37:20.787]  That's all this is, is fundamental common sense.
[00:37:20.787 --> 00:37:32.274]  That when Rachel Maddow on the fake left is attacking Ron Paul, and when Sean Hannity on the controlled right is attacking Ron Paul, and when all these other candidates
[00:37:33.948 --> 00:37:34.368]  Are you kidding me?
[00:37:53.614 --> 00:37:56.515]  And they said, well, too bad that this team can't win.
[00:37:56.515 --> 00:38:08.960]  Too bad the Patriots can't win because they're only number three and there are plenty of games left for them to be able to get into the position of number one.
[00:38:08.960 --> 00:38:14.081]  I mean, even when somebody's number one, you don't say that it's impossible for them to lose.
[00:38:14.081 --> 00:38:17.143]  In fact, there it is on screen.
[00:38:17.143 --> 00:38:20.164]  Ron Paul, I'm trying to change the course of history.
[00:38:20.164 --> 00:38:20.724]  Ron Paul.
[00:38:21.977 --> 00:38:26.422]  Yeah, yeah, see, earlier I was in there and I just did the search, uh, Ron Paul in third place.
[00:38:26.422 --> 00:38:30.006]  Like, I'll do it on this computer in here, and then we can do a document cam shot that way.
[00:38:30.006 --> 00:38:30.827]  Watch this.
[00:38:30.827 --> 00:38:33.930]  I'm gonna show viewers this right here on the screen, okay?
[00:38:33.930 --> 00:38:39.436]  Ron Paul in third place.
[00:38:40.922 --> 00:38:43.483]  It's all right there for anybody that wants to go look at it
[00:39:03.663 --> 00:39:05.405]  There it is, Rasmussen.
[00:39:05.405 --> 00:39:07.407]  That's Gallup Poll saying the same thing.
[00:39:07.407 --> 00:39:08.948]  Ron Paul, third place.
[00:39:08.948 --> 00:39:12.231]  Mitt Romney, Rick Perry, Ron Paul.
[00:39:12.231 --> 00:39:15.754]  Rick Perry was 17%, Ron Paul was 14.
[00:39:15.754 --> 00:39:17.456]  And what's the source on that?
[00:39:17.456 --> 00:39:18.777]  USA Today.
[00:39:18.777 --> 00:39:24.462]  I mean, this is so elementary that it makes my head spin sometimes.
[00:39:25.470 --> 00:39:45.806]  That you've got a guy who has come in first, second, or third in every scientific poll of hundreds and hundreds I've seen, who wins all the spontaneous internet polls, that I believe are even more scientific because you can only vote once according to your IP address, who's winning every one of those, usually in double digits.
[00:39:45.806 --> 00:39:48.868]  In fact, in every case by double, or right at double.
[00:39:48.868 --> 00:39:54.012]  And they're saying, sorry he can't win, sorry he's not a choice, sorry he's not a contender.
[00:39:55.469 --> 00:40:02.074]  That'd be like if there was a guy in Formula One racing who had won races coming second and third and a bunch of others.
[00:40:02.074 --> 00:40:23.710]  They're in the pole position, out of the gates, and with 80% of the race to go, they're in third place, and their car is picking up steam, running great, and they say it's too bad that the Marlboro car, or the Jack Daniels car, or whatever it is, or the Chevy car, too bad that car can't win.
[00:40:26.274 --> 00:40:29.298]  And you're like, but they've got all these laps to go.
[00:40:29.298 --> 00:40:35.185]  The race isn't even half over and he's in third place and he's gaining on the other car.
[00:40:35.185 --> 00:40:39.430]  They go, sorry, doesn't count, can't win, can't look at that candidate.
[00:40:39.430 --> 00:40:44.336]  And the whole system then, all the commentators start attacking him and saying how horrible they are.
[00:40:45.307 --> 00:40:54.952]  Now, see, in a race like that, some politics can come in, taking points away or whatever they do, but at the end of the day, it's about the driver and the car.
[00:40:54.952 --> 00:41:02.557]  But in this case, you're voters, and so they're manipulating you, saying, uh-oh, he's pulled up to third place from way back at the back.
[00:41:02.557 --> 00:41:03.917]  Oh, he's not a contender.
[00:41:03.917 --> 00:41:04.718]  No, no, no, no, no, no.
[00:41:04.718 --> 00:41:06.319]  Don't even look at that car.
[00:41:06.319 --> 00:41:08.120]  And then, when he does win the races,
[00:41:08.700 --> 00:41:15.852]  When he does get right at double the votes Mitt Romney got at the Fox News poll, they just pull the stinking thing when the Drugs Report links to it.
[00:41:18.717 --> 00:41:21.719]  And then we write an article about it and it gets national attention.
[00:41:21.719 --> 00:41:23.700]  This is what's so frustrating.
[00:41:23.700 --> 00:41:26.882]  It is a total and complete mind game.
[00:41:26.882 --> 00:41:28.723]  Jaron was able to find this video clip.
[00:41:28.723 --> 00:41:30.484]  This is from the last debate.
[00:41:30.484 --> 00:41:33.266]  Ron Paul saying, well, I'm number three now.
[00:41:33.266 --> 00:41:35.187]  I'm the third contender.
[00:41:35.187 --> 00:41:36.368]  And he's being humble.
[00:41:36.368 --> 00:41:42.232]  He could have quoted scores of polls, Scientific, Gallup, you name it, with him in second.
[00:41:42.232 --> 00:41:45.013]  You can type in like I just typed in Ron Paul in third place.
[00:41:45.013 --> 00:41:47.555]  And I just showed you Gallup and Rasmussen.
[00:41:48.700 --> 00:41:51.421]  I just typed it in, in front of you, and it came up.
[00:41:51.421 --> 00:41:54.101]  I can type in, Ron Paul gets first place in the scientific poll.
[00:41:54.101 --> 00:41:55.841]  I can type in, Ron Paul gets second place.
[00:41:55.841 --> 00:41:57.882]  The point is, let's just say he's third place.
[00:41:57.882 --> 00:42:06.684]  Let's just go ahead with the majority of the polls, he's in third place, but they're telling you that he cannot win too bad, it's Mitt Romney or Rick Perry.
[00:42:06.684 --> 00:42:17.826]  The truth is, if real Americans and constitutionalists who want to get out of this banking crisis, who want to get out of the UN, who want to get rid of all these federal agencies, who want to go back to being what America was and move forward.
[00:42:18.925 --> 00:42:26.821]  If you want to get rid of the private Federal Reserve banking cartel, if you want to restore the Republic, you've got to vote for Ron Paul!
[00:42:26.821 --> 00:42:30.208]  Instead they have this mind game of, too bad he can't win, he's in third place.
[00:42:31.425 --> 00:42:34.486]  We're gonna come back from break with that video clip and then I'll go to your phone calls.
[00:42:34.486 --> 00:42:35.886]  I'm about to have an embolism here.
[00:42:35.886 --> 00:42:37.507]  It makes me so mad.
[00:42:37.507 --> 00:42:48.470]  It makes me so angry that they must sit there when we've got a chance to get the executive branch, which won't fix everything, but could really start to turn things around, right when this country desperately needs it.
[00:42:48.470 --> 00:42:58.453]  A guy who understands the New World Order, a guy who understands the Bilderberg Group that Rick Perry goes to, a guy that understands corporate cronyism, and they're telling you you can't have him.
[00:43:01.360 --> 00:43:16.827]  You've heard Alex explain how the Silver Lungs Generator infuses the respiratory system with your self-produced colloidal silver solutions, yet many are unaware of the entire function of the Silver Lungs System and how it has been designed to deliver your silver solutions anywhere in or on the body.
[00:43:16.827 --> 00:43:20.509]  My name is Mario Cifaldi and I'm the developer of the Silver Lungs Generator.
[00:43:21.516 --> 00:43:34.288]  Not only does the Silver Lung System produce endless colloidal and ionic silver solutions, it also comes equipped with the proper applicators and devices needed to deliver your silver solutions directly to key target areas.
[00:43:34.288 --> 00:43:41.555]  This includes the eyes, ears, nose, lungs, topically to the skin, and orally for the digestive system.
[00:43:42.236 --> 00:43:52.624]  Be sure to watch our new 7-minute video tour of the Silver Lungs System at www.silverlungs.com to learn more about how the Silver Lungs System works.
[00:43:52.624 --> 00:43:56.546]  As well, we are always ready to answer any questions you may have.
[00:43:56.546 --> 00:43:59.649]  That's www.silverlungs.com.
[00:44:01.658 --> 00:44:06.363]  Alex Jones here with vital information concerning our nation's fragile food supply.
[00:44:06.363 --> 00:44:12.790]  Folks, there are some truly dangerous trends forming, and I think it's important for my listeners to do three things right away.
[00:44:12.790 --> 00:44:15.053]  Number one, study the past.
[00:44:15.053 --> 00:44:17.455]  History really does repeat itself.
[00:44:17.455 --> 00:44:21.179]  Number two, learn to spot the dangerous food shortage trends.
[00:44:22.307 --> 00:44:25.390]  Number three, take decisive action.
[00:44:25.390 --> 00:44:29.233]  A perfect storm is brewing for a global food crisis.
[00:44:29.233 --> 00:44:38.300]  That's why I'm telling everyone to read the new book, Rising Prices, Empty Shelves, warning signs that trigger the deadliest famines in history.
[00:44:38.300 --> 00:44:41.703]  Don't get caught unprepared when the crisis hits.
[00:44:41.703 --> 00:44:45.346]  This book is only available at risingpricesemptyshelves.com.
[00:44:46.187 --> 00:44:51.111]  You'll also get a free copy of Supermarket Survival, How to Cut Your Grocery Bills in Half.
[00:44:51.111 --> 00:44:55.735]  Again, that website is risingpricesemptyshelves.com.
[00:44:55.735 --> 00:44:57.896]  That's risingpricesemptyshelves.com.
[00:45:01.055 --> 00:45:02.777]  Hi folks, this is Alex Jones.
[00:45:02.777 --> 00:45:08.083]  I'm looking for people that have the wisdom to spot savings, opportunity, and recognize risk.
[00:45:08.083 --> 00:45:09.625]  Saving means to make money.
[00:45:09.625 --> 00:45:18.415]  The Cal Bend Pure Soap Company can save you thousands of dollars and give you good old-fashioned real soaps that are triple concentrated and twice as good as what you're using now.
[00:45:19.136 --> 00:45:26.680]  Soaps made from vegetable and coconut oils that contain no useless dyes, perfumes, deodorants, or antibacterials.
[00:45:26.680 --> 00:45:34.685]  Your risk is the hundreds of hazardous toxic detergents that give you rashes, itching sores, and deteriorating clothing called lint.
[00:45:34.685 --> 00:45:39.907]  If you want something better, if you want something you've never had before, you have to do something you've never done before.
[00:45:39.907 --> 00:45:42.069]  Getting a free catalog is easy by calling 800-340-7091.
[00:45:44.850 --> 00:45:48.052]  Or see Calvin on the web at FiveStarSoap.com.
[00:45:48.052 --> 00:45:50.433]  Take charge of your health now by calling 800-340-7091.
[00:45:50.433 --> 00:45:52.555]  Or see Calvin on the web at FiveStarSoap.com.
[00:45:59.677 --> 00:46:00.858]  A very wealthy U.S.
[00:46:00.858 --> 00:46:07.784]  citizen is predicting that in 2011, we will witness the most important day in America in more than 50 years.
[00:46:07.784 --> 00:46:10.346]  He says it will change everything about our lives.
[00:46:10.346 --> 00:46:15.730]  The way you shop, travel, invest, educate your children, and even how you take care of your health and your own family.
[00:46:15.730 --> 00:46:18.773]  Now this man has made some outrageous predictions over the years.
[00:46:18.773 --> 00:46:21.074]  The crazy part is, he's usually right.
[00:46:21.074 --> 00:46:27.339]  You see, he predicted the collapse of GM, Fannie Mae, Freddie Mac, and America's biggest mall owner, General Growth Properties.
[00:46:27.339 --> 00:46:27.760]  In fact,
[00:46:28.100 --> 00:46:28.701]  I don't know.
[00:46:49.102 --> 00:46:50.923]  End of America 3.com.
[00:46:50.923 --> 00:46:53.505]  That's End of America, the number 3.com.
[00:46:53.505 --> 00:46:57.387]  Watch the free video at www.endofamerica3.com.
[00:46:57.387 --> 00:47:01.369]  That's endofamerica3.com.
[00:47:01.369 --> 00:47:02.890]  Coast to Coast.
[00:47:02.890 --> 00:47:04.951]  Direct from Austin.
[00:47:04.951 --> 00:47:08.153]  You're listening to the Alex Jones Broadcasting Network.
[00:47:14.466 --> 00:47:24.035]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:47:24.035 --> 00:47:29.800]  Okay, folks, we don't screen your calls and we've got more than a score of them there holding.
[00:47:29.800 --> 00:47:32.683]  I want to go to you.
[00:47:32.683 --> 00:47:38.709]  I don't know what I can say to you today about Ron Paul to
[00:47:40.663 --> 00:47:45.025]  Get you angry enough to get the word out to stop this hoax.
[00:47:45.025 --> 00:47:51.928]  And we've already seen the fact that the media was ignoring him when he was in second and third place and not mentioning him as a candidate.
[00:47:51.928 --> 00:47:55.189]  That blew up a month ago in their face.
[00:47:55.189 --> 00:48:00.711]  And now they're back to just scrubbing him from polls, he wins and other things.
[00:48:00.711 --> 00:48:01.672]  But it's a big deal.
[00:48:02.731 --> 00:48:09.575]  And I even hear Ron Paul's supporters saying, too bad he can't win, too bad he's not a top-tier candidate buying the propaganda.
[00:48:09.575 --> 00:48:12.597]  And that's why this country is where we are now.
[00:48:12.597 --> 00:48:17.600]  Ron Paul is the only candidate that can beat Barack Obama.
[00:48:17.600 --> 00:48:21.543]  In fact, they've done major focus groups, ballot polls, you can pull them up.
[00:48:21.543 --> 00:48:29.268]  Ron Paul performs the best in a head-to-head run right now with voters across the board
[00:48:31.035 --> 00:48:37.009]  He performs the best against Barack Obama, beating him hands down.
[00:48:37.009 --> 00:48:39.454]  They first did these polls six months ago and he was neck and neck.
[00:48:40.950 --> 00:48:50.596]  What's going to happen with a Mitt Romney or a Rick Perry is they're going to get into the campaign, all the dirt's going to come out on them, and Barack Obama's going to end up being president again.
[00:48:50.596 --> 00:48:51.417]  But it doesn't matter.
[00:48:51.417 --> 00:49:02.284]  In fact, it's almost better that Barack Obama be president instead of Mitt Romney or Rick Perry, because they're all working for the same globalist, anti-American interest.
[00:49:02.284 --> 00:49:10.169]  And Obama will have spent all his political capital, be absolutely hated, and probably get impeached down the road if he gets reelected.
[00:49:11.377 --> 00:49:20.962]  With a Mitt Romney or a Rick Perry, it'll be forget about all the stuff Obama did just like they did with Bush and it'll take time to expose the new person as a puppet.
[00:49:20.962 --> 00:49:27.665]  That's why it's so essential now to expose Rick Perry and Mitt Romney's real record.
[00:49:27.665 --> 00:49:29.646]  And we've been doing that with Rick Perry.
[00:49:32.219 --> 00:49:34.280]  I've talked to Ron Paul on and off air.
[00:49:34.280 --> 00:49:49.150]  You notice he's gone after Rick Perry for supporting carbon taxes, and supporting gun control, and supporting Napa superhighways, and supporting forced inoculations, and being Al Gore's chief of staff in Texas, and supporting Hillarycare.
[00:49:49.150 --> 00:49:50.250]  Oh, you're a new listener?
[00:49:50.250 --> 00:49:51.891]  You didn't know all those things?
[00:49:51.891 --> 00:50:00.817]  I would tell people those things two years ago about Rick Perry nationally, because I'm syndicated around the country, and people would call me saying I was a liar.
[00:50:02.179 --> 00:50:07.341]  Now they finally went and looked it up and people are like, whoa!
[00:50:07.341 --> 00:50:09.722]  Well, let's move on from McPerry for a moment.
[00:50:09.722 --> 00:50:19.065]  Mitt Romney supports and is praised by Al Gore for supporting carbon taxes that will end industry as we know it in this country.
[00:50:19.065 --> 00:50:21.166]  What's left of it?
[00:50:21.166 --> 00:50:27.968]  Wrote the book, actually wrote the Massachusetts health care law that is the Obama model for health care.
[00:50:29.269 --> 00:50:38.546]  And I've got to see all these dyed-in-the-wool, blue-haired type Republicans getting off on Mitt Romney because he's an effeminate Ken doll type.
[00:50:39.588 --> 00:50:51.995]  I mean, can't we have somebody that isn't one of these metrosexual pretty boys with their hair cut just right, and they look like Ken Doll up there, and male cheerleaders like Rick Perry with that fake good old boy thing?
[00:50:51.995 --> 00:50:53.296]  I mean, it makes me want to throw up.
[00:50:53.296 --> 00:51:02.281]  And every time I watch Rick Perry saddling up to some old lady and, you know, telling her, how you doing, sweetie pie, and using some fake charm on her, it makes me want to throw up.
[00:51:03.081 --> 00:51:04.182]  So let's go ahead and play this clip.
