[00:00:23.171 --> 00:00:24.232]  And we are back!
[00:24:13.072 --> 00:24:19.935]  We've got a full report coming out later in the week with it bibliographed, where it was said officially in the record, this is their official policy.
[00:24:21.375 --> 00:24:30.339]  Memorandum to the President of the Population Council from the head of Planned Parenthood on world population.
[00:24:31.192 --> 00:24:37.414]  And if you look at the two men here in this correspondence, in this official plan, you'll notice John P. Holden repeats this in Ecoscience decades later.
[00:24:37.774 --> 00:24:39.255]  You'll see this over and over again.
[00:24:39.335 --> 00:24:40.855]  This is the plan.
[00:24:41.435 --> 00:24:40.855]  1969.
[00:24:41.695 --> 00:24:44.276]  We got stuff from 65 about steroids and vaccines.
[00:24:44.536 --> 00:24:46.077]  We've got stuff from the 30s on this.
[00:24:46.777 --> 00:24:50.198]  The Rockefellers funded the Kaiser Wilhelm Institute that created Nazism.
[00:24:51.078 --> 00:24:52.499]  You want to know where the Nazis came from?
[00:24:52.519 --> 00:24:56.220]  You want to know why they did what they did with the Enfirm and all the homosexuals and all that?
[00:24:56.520 --> 00:24:57.260]  It started here.
[00:24:58.521 --> 00:24:58.921]  Now look,
[00:25:00.464 --> 00:25:01.625]  Restructure family.
[00:25:02.145 --> 00:25:03.787]  Postpone or avoid marriage.
[00:25:04.827 --> 00:25:07.209]  Alter image of ideal family size.
[00:25:08.250 --> 00:25:10.152]  Compulsory education of children.
[00:25:10.352 --> 00:25:11.713]  Means by the state for brainwashing.
[00:25:12.313 --> 00:25:14.255]  Encourage increased homosexuality.
[00:25:14.275 --> 00:25:14.755]  You see that?
[00:25:15.836 --> 00:25:16.136]  Why?
[00:25:16.576 --> 00:25:20.900]  Not because they think it's really cool, but because they don't want you having children.
[00:25:22.130 --> 00:25:28.473]  And again, I'm sick of seeing all these homosexual groups out there who say, don't even use the word homosexual, heterosexual, homosexual.
[00:25:28.533 --> 00:25:29.673]  It's a scientific term.
[00:25:30.293 --> 00:25:34.095]  And then I always hear this anti-family garbage being spewed out of these groups.
[00:25:34.175 --> 00:25:34.775]  I'm sick of it.
[00:25:35.316 --> 00:25:38.397]  And I'm not saying that's just one group, but the groups that work for this whole system.
[00:25:41.618 --> 00:25:43.159]  Educate for family limitation.
[00:25:43.239 --> 00:25:49.582]  I've had women walk up to my wife, even when we had two kids in Whole Foods, and say, how dare you, when we've got three that act like we're demons.
[00:25:50.526 --> 00:25:52.868]  Fertility Control Agents and Water Supply.
[00:25:52.908 --> 00:25:53.649]  John P. Holdren?
[00:25:54.049 --> 00:25:54.449]  Anybody?
[00:25:55.891 --> 00:26:00.354]  Encourage women to work because they want double taxes in the state to raise the children.
[00:26:00.374 --> 00:26:03.938]  That gets into the CIA, Miss Magazine, Gloria Steinem on record funded by it.
[00:26:04.158 --> 00:26:06.400]  And I have all that right here in these documents.
[00:26:06.420 --> 00:26:07.941]  That's what's frustrating about all this.
[00:26:08.902 --> 00:26:09.502]  Continuing.
[00:26:11.064 --> 00:26:11.404]  Source.
[00:26:11.964 --> 00:26:16.949]  A Family Planning Perspective Special Supplement published by Planned Parenthood, World Population, New York City.
[00:26:18.867 --> 00:26:21.009]  1970.
[00:26:19.568 --> 00:26:21.009]  But again, the original report went out in 69.
[00:26:21.870 --> 00:26:22.551]  Let's continue.
[00:26:23.191 --> 00:26:25.333]  Tax with more than a single child.
[00:26:25.353 --> 00:26:27.075]  That's being called for for carbon taxes now.
[00:26:29.157 --> 00:26:31.318]  Reduce, eliminate paid maternity leave.
[00:26:32.159 --> 00:26:32.960]  And it just goes through.
[00:26:33.040 --> 00:26:35.662]  Bonuses for delayed marriage and greater child spacing.
[00:26:36.083 --> 00:26:39.125]  Eliminate welfare payments after first two children.
[00:26:39.205 --> 00:26:40.667]  Again, some of this sounds reasonable.
[00:26:41.820 --> 00:26:59.864]  Because there's the other end of this, and that really gets sophisticated, where the World Population Council and the Commission on Population in 1949, the British government, actually said, no, we'll just let everybody explode, and then we'll soft kill them later, but we really want to focus on the smart people.
[00:27:00.204 --> 00:27:06.405]  The big trick, see they get, quote, smart people to go, you're part of the elite, you're going to be a PhD, we've got to get rid of the population.
[00:27:06.425 --> 00:27:10.066]  That happened to my dad, but he said no to it, at the University of Texas.
[00:27:11.087 --> 00:27:13.330]  Professor Spear told him that, the head of the botany department.
[00:27:13.570 --> 00:27:15.052]  Because my dad was, you know, top of his class.
[00:27:16.594 --> 00:27:18.076]  Or actually came in with top scores.
[00:27:19.538 --> 00:27:23.363]  And then they sell him on, we're gonna, you know, basically dumb down and get rid of the dumb people.
[00:27:24.448 --> 00:27:26.329]  But that's not what's really going on here.
[00:27:26.889 --> 00:27:27.649]  That's bad enough.
[00:27:27.689 --> 00:27:29.369]  They're actually targeting smart people.
[00:27:29.610 --> 00:27:34.611]  They're attacking the general public with chemicals and biologicals because they're threatened by intelligence.
[00:27:34.651 --> 00:27:36.872]  See, it's even more sophisticated and dastardly.
[00:27:37.212 --> 00:27:40.193]  Now, continuing here, this is the Chinese model, Communist China.
[00:27:40.573 --> 00:27:44.154]  Compulsory abortion of out-of-wedlock pregnancies.
[00:27:44.454 --> 00:27:45.494]  Same thing that was done in the U.S.
[00:27:45.534 --> 00:27:46.255]  and Nazi Germany.
[00:27:46.535 --> 00:27:47.535]  That's the Chinese model.
[00:27:49.315 --> 00:27:55.039]  Compulsory sterilization of all who have had two children except for a few who will be allowed three.
[00:27:55.939 --> 00:27:57.460]  Payments to encourage abortion.
[00:27:57.480 --> 00:27:58.661]  That's what Planned Parenthood does.
[00:27:59.061 --> 00:28:02.303]  And here in Travis County they have taxpayers paying for other people's abortions.
[00:28:03.324 --> 00:28:04.785]  That's the problem with socialized medicine.
[00:28:04.825 --> 00:28:07.587]  Then you've got to, the government can then social engineer through it.
[00:28:09.775 --> 00:28:11.757]  Discouragement of private home ownership.
[00:28:11.877 --> 00:28:12.957]  Again, all of this.
[00:28:12.997 --> 00:28:15.359]  They want everybody totally domesticated.
[00:28:15.760 --> 00:28:17.001]  Now, this is official.
[00:28:17.521 --> 00:28:18.662]  We have all this bibliography.
[00:28:18.682 --> 00:28:23.125]  We have a big report coming out on Thursday that goes through all of this, with all the documents.
[00:28:23.786 --> 00:28:24.666]  Let's go through some more of this.
[00:28:25.447 --> 00:28:26.768]  The Margaret Sanger Awards.
[00:28:26.788 --> 00:28:30.150]  You know, she got awards from Hitler, gave him awards before he wasn't fashionable.
[00:28:31.277 --> 00:28:32.377]  But who are some of the folks here?
[00:28:32.698 --> 00:28:33.958]  Martin Luther King, Jr.
[00:28:33.998 --> 00:28:43.042]  Now, he probably didn't know fully what was happening, but Margaret Sanger, in letters that we actually sent off to university for Endgame and got to make sure they were real, said, we've got to hire blacks as our fronts.
[00:28:43.342 --> 00:28:45.123]  We'll pose as liberals to kill these people.
[00:28:46.664 --> 00:28:48.645]  And see, Ron Paul has helped expose all this.
[00:28:48.665 --> 00:28:50.165]  That's why they hate him and call him racist.
[00:28:50.505 --> 00:28:51.566]  They're like, oh, we're liberal.
[00:28:51.626 --> 00:28:52.126]  We love you.
[00:28:52.306 --> 00:28:53.327]  Here's some money to kill your kids.
[00:28:53.367 --> 00:28:54.087]  We love black people.
[00:28:54.107 --> 00:28:55.748]  Did we say how much we love African-Americans?
[00:28:56.088 --> 00:28:58.509]  No, just take, just give us, let us kill the baby.
[00:28:59.636 --> 00:29:04.619]  Ron Paul, you know, had tens of thousands of newsletters published and a few things in there talked about welfare people rioting.
[00:29:04.879 --> 00:29:06.600]  He doesn't like you.
[00:29:07.240 --> 00:29:18.646]  Continuing here with all of this, here's another UNESCO UN training manual for in-teacher service in the United States, where the UN sets all that.
[00:29:19.287 --> 00:29:28.792]  And in this document it talks about the family is poisonous towards a world understanding for world socialism, ten part for teachers,
[00:29:29.372 --> 00:29:38.997]  And it says that the child breathes the poison air of nationalism, and you've got to get rid of the family that infects the child with extremism, you know, to have the global super state.
[00:29:39.017 --> 00:29:39.958]  And it just goes through it all.
[00:29:40.038 --> 00:29:41.159]  It's unbelievably nightmarish.
[00:29:41.179 --> 00:29:42.179]  I have that report for you.
[00:29:43.880 --> 00:29:44.420]  Oh, I'm sorry.
[00:29:44.460 --> 00:29:46.862]  Here's the BPA documents section.
[00:29:49.218 --> 00:29:51.160]  Here's government reports right here.
[00:29:51.821 --> 00:29:56.545]  Transfer of Bisphenol A from thermal printer paper to the skin.
[00:29:56.665 --> 00:29:58.227]  And we checked the company we use.
[00:29:58.267 --> 00:29:59.108]  We're so weak minded.
[00:29:59.328 --> 00:30:02.391]  This is actually Bisphenol A because you can't really find printer ink that doesn't have it.
[00:30:03.232 --> 00:30:06.395]  And that's why people that are around printer ink have much higher rates of this.
[00:30:06.775 --> 00:30:09.819]  I mean, as much as I work out and everything, it's hard to have a higher estrogen level.
[00:30:10.059 --> 00:30:11.460]  I've actually gone ahead and had my blood tested.
[00:30:11.500 --> 00:30:12.221]  It's going on.
[00:30:12.482 --> 00:30:18.949]  They're hitting me hard right now, and we're having to search for printer paper just so I can have a hard copy of this and not be poisoned.
[00:30:18.989 --> 00:30:20.150]  I mean, it's just everywhere.
[00:30:20.170 --> 00:30:21.432]  Their chemical warfare is everywhere.
[00:30:21.772 --> 00:30:22.972]  Here's another one.
[00:30:22.992 --> 00:30:25.973]  Centers for Disease Control admitting misphenol A totally deadly.
[00:30:26.253 --> 00:30:28.214]  Now they grind it into recycled everything.
[00:30:28.274 --> 00:30:29.494]  Toilet paper has it in it.
[00:30:29.795 --> 00:30:34.936]  It gets on the mucous membrane of your you-know-what, on women and men, and it's going right into the body.
[00:30:34.956 --> 00:30:35.496]  Estrogen.
[00:30:35.596 --> 00:30:35.997]  Estrogen.
[00:30:36.097 --> 00:30:36.497]  Estrogen.
[00:30:36.597 --> 00:30:36.997]  Estrogen.
[00:30:37.097 --> 00:30:37.477]  Estrogen.
[00:30:37.737 --> 00:30:39.318]  You want to know why you have breasts as a man?
[00:30:39.438 --> 00:30:39.898]  This is it.
[00:30:39.918 --> 00:30:41.458]  Okay?
[00:30:41.818 --> 00:30:43.899]  And by the way, for women it's a death sentence.
[00:30:43.919 --> 00:30:45.160]  Because it hyper-feminizes.
[00:30:45.200 --> 00:30:46.920]  You know about even three-year-olds going to puberty?
[00:30:47.300 --> 00:30:47.880]  Five-year-olds?
[00:30:48.161 --> 00:30:49.001]  Six, seven, eight-year-olds?
[00:30:49.844 --> 00:30:52.867]  Because it's all in the food, the water, the plastics.
[00:30:52.907 --> 00:30:54.068]  That TV dinner for your kids?
[00:30:54.308 --> 00:30:55.609]  Bisphenol A, look on the bottom.
[00:30:56.890 --> 00:30:58.132]  And what do they say in all these documents?
[00:30:58.152 --> 00:31:00.113]  We'll put it in the food, the water, the containers.
[00:31:00.474 --> 00:31:03.616]  We'll put it in things that everybody universally is involved in.
[00:31:05.058 --> 00:31:05.378]  Printer.
[00:31:06.199 --> 00:31:06.359]  Ink.
[00:31:07.480 --> 00:31:07.760]  Printer.
[00:31:07.900 --> 00:31:12.384]  The money is printed in bisphenol A. They have thousands of plastic calculations.
[00:31:12.424 --> 00:31:13.746]  I've had chemists on in plastics.
[00:31:13.766 --> 00:31:15.827]  I had a former Dow guy on years ago.
[00:31:16.690 --> 00:31:25.497]  They could have all these other varieties that are even cheaper, but they got the major corporations together to standardize and get tax breaks for bisphenol A, and they've been doing it for 50 years.
[00:31:25.557 --> 00:31:26.498]  Where's the American male?
[00:31:26.979 --> 00:31:27.419]  Where is he?
[00:31:29.521 --> 00:31:30.301]  He's been gelded.
[00:31:30.361 --> 00:31:35.446]  He's been chemically... You can actually pull up statistics, and I meant to do this in the report we shot today.
[00:31:35.466 --> 00:31:36.607]  I forgot there's so many facets.
[00:31:37.467 --> 00:31:41.571]  Did you know that the genitals, both scrotum and penis, are getting smaller?
[00:31:42.520 --> 00:31:46.081]  Did you know men now, many men after the age of 40, just to have an erection?
[00:31:46.341 --> 00:31:49.282]  When studies show just 30 years ago men had erections in their 80s.
[00:31:49.862 --> 00:31:52.683]  Men are having to go on a hormone supplement just to have the normal levels.
[00:31:53.104 --> 00:31:56.985]  Not just the fertility, but our normal testosterone has gone down.
[00:31:59.246 --> 00:32:00.206]  Oh, but it's trendy!
[00:32:00.326 --> 00:32:02.167]  I'm being anti-gay right now!
[00:32:02.467 --> 00:32:08.869]  No, I have a right to not have you sons of bitches put this crap all over the place and jack the food and water with it!
[00:32:09.969 --> 00:32:10.369]  Okay?
[00:32:10.570 --> 00:32:15.433]  If some of you want to run around and prance around and dress like women, knock yourselves out!
[00:32:15.453 --> 00:32:16.114]  I don't care!
[00:32:16.874 --> 00:32:18.175]  But I like women!
[00:32:18.475 --> 00:32:19.997]  I want my son to be able to get married!
[00:32:20.097 --> 00:32:21.198]  I want grandchildren!
[00:32:21.638 --> 00:32:21.898]  Okay?
[00:32:21.938 --> 00:32:22.799]  I'm not bad!
[00:32:24.120 --> 00:32:25.181]  But we're the hunted ones!
[00:32:25.241 --> 00:32:26.241]  We're the evil people!
[00:32:26.582 --> 00:32:27.782]  Just because we want to be humans!
[00:32:28.443 --> 00:32:30.224]  Why are whales allowed to have male and female?
[00:32:30.805 --> 00:32:31.485]  Why are deer?
[00:32:31.525 --> 00:32:32.446]  Are they homophobic?
[00:32:33.827 --> 00:32:34.367]  Are wolves?
[00:32:35.459 --> 00:32:35.759]  Evil?
[00:32:36.600 --> 00:32:36.820]  No!
[00:32:36.880 --> 00:32:37.620]  I'm a creature!
[00:32:37.640 --> 00:32:38.661]  I live here!
[00:32:38.901 --> 00:32:40.041]  I'm designed to breed!
[00:32:40.061 --> 00:32:40.822]  I'm designed to live!
[00:32:40.842 --> 00:32:55.489]  And these little jackasses are manipulating our genetics, and then going, politically correct, he doesn't like gay people, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh
[00:33:02.148 --> 00:33:05.472]  I mean, now I'm anti-women because I don't think three-year-olds should be going into puberty.
[00:33:05.632 --> 00:33:06.673]  By the way, you think I'm joking?
[00:33:07.034 --> 00:33:08.635]  Three-year-olds are now menstruating.
[00:33:08.655 --> 00:33:10.698]  In fact, Google it.
[00:33:10.758 --> 00:33:15.123]  Children as young as three to five now going into... I mean, it's happening.
[00:33:16.064 --> 00:33:21.310]  The boys are going into puberty later, because they're on female hormones, and
[00:33:22.438 --> 00:33:22.958]  The girls!
[00:33:23.539 --> 00:33:26.000]  But I know, I know, you won't stop, because it's not trendy.
[00:33:26.040 --> 00:33:27.281]  Just breast cancer, trendy, cool.
[00:33:27.541 --> 00:33:32.103]  You know, you notice they never talk about ways to find out why the U.S.
[00:33:32.143 --> 00:33:35.645]  has the highest rate, and then Europe next, for breast cancer.
[00:33:36.205 --> 00:33:37.246]  They know full damn well.
[00:33:37.826 --> 00:33:39.187]  It's all about treating it.
[00:33:39.747 --> 00:33:45.670]  How to burn your breast off, how to cut them off, how great it is, instead of telling you why these bastards are doing it to you.
[00:33:45.830 --> 00:33:47.411]  And then I'm not supposed to even get angry here.
[00:33:50.188 --> 00:33:51.248]  I haven't even gotten into the documents.
[00:33:51.288 --> 00:33:52.229]  I mean, here's CDC.
[00:33:52.489 --> 00:33:53.969]  But hey, CBS can just make fun of me.
[00:33:54.590 --> 00:33:58.871]  Growing up soon, puberty strikes seven-year-old girls.
[00:33:58.951 --> 00:34:05.053]  Study in three major cities finds that puberty is rising among second graders.
[00:34:06.794 --> 00:34:10.555]  Yeah, no, there's actually now people age three, if you actually look at the medical literature.
[00:34:10.776 --> 00:34:12.096]  And by the way, it's large numbers.
[00:34:12.756 --> 00:34:14.657]  The average age is now ten now.
[00:34:15.197 --> 00:34:16.198]  In the 1950s, it was fourteen.
[00:34:19.181 --> 00:34:22.104]  So, your boys are supposed to go into puberty at 11 to 13.
[00:34:22.884 --> 00:34:28.509]  Girls are supposed to go in 13 to 14 in all studies, the medical reports going back for hundreds of years.
[00:34:28.929 --> 00:34:34.254]  Now, your boys are little girls, so their testicles don't even drop a lot of times until they're 15.
[00:34:34.914 --> 00:34:35.255]  Okay?
[00:34:36.556 --> 00:34:39.358]  And your women are running around dressed like whores when they're 9.
[00:34:40.677 --> 00:34:42.039]  And you know why they're acting like that?
[00:34:42.059 --> 00:34:43.762]  Because they're on female hormones.
[00:34:43.922 --> 00:34:45.404]  And you may like your daughter dying.
[00:34:45.645 --> 00:34:49.551]  You may think it's fun mama's getting her breasts burned off right now and gonna be in a box soon.
[00:34:49.791 --> 00:34:51.554]  But I'm pissed off about this, excuse me.
[00:34:52.695 --> 00:34:55.259]  I mean, is there no end to what these murdering scum do to us?
[00:34:57.554 --> 00:35:02.535]  And of course, oh, the doctor assured them there was nothing wrong with the girl, and then they give them hormone treatments.
[00:35:02.835 --> 00:35:07.977]  Oh, here, we'll give you hormones to block you going into this, instead of saying, why are you on all these hormones?
[00:35:08.517 --> 00:35:10.237]  Why are you, why is this happening?
[00:35:10.337 --> 00:35:10.697]  Why?
[00:35:10.957 --> 00:35:12.258]  Why is cancer exploding?
[00:35:12.658 --> 00:35:14.298]  Breast cancer, several thousand percent.
[00:35:14.398 --> 00:35:14.758]  Why?
[00:35:15.099 --> 00:35:15.459]  Why?
[00:35:15.679 --> 00:35:15.939]  Why?
[00:35:15.999 --> 00:35:18.019]  Instead, oh, don't worry, we've got a treatment for that.
[00:35:21.280 --> 00:35:22.420]  And notice, typically, U.S.
[00:35:22.460 --> 00:35:23.701]  girls hit puberty around 10 or 11.
[00:35:25.720 --> 00:35:26.800]  Used to be 13 or 14.
[00:35:26.860 --> 00:35:30.022]  Now, oh, the old low age is now the new old age.
[00:35:30.202 --> 00:35:34.743]  And soon it'll be, well, typically girls go into puberty at 7 or 8, but now they go into it at 2 or 3.
[00:35:35.284 --> 00:35:40.606]  By the way, you read Brave New World by Aldous Huxley, whose brother was Julian Huxley and ran the UN UNESCO program.
[00:35:41.026 --> 00:35:51.590]  Before the UN even existed in 1932, he wrote Brave New World, where the elite have different cast of humans, and they have humans that go into puberty by 7 to have more basic little drones
[00:35:52.310 --> 00:35:54.511]  And they're all grown in these frickin' tanks.
[00:35:54.571 --> 00:35:55.071]  Go read it.
[00:35:55.311 --> 00:36:00.313]  And Huxley, before he died, spilt the beans in 62 at Berkeley and said, this is all planned.
[00:36:00.493 --> 00:36:04.015]  We're going to do it to you.
[00:36:04.115 --> 00:36:12.098]  It's a total, and it's all chicken neck scum playing God, saying we deserve it, writing memos about it, and still...
[00:36:13.379 --> 00:36:16.502]  Most people will say, hey, Alex says you're getting breast cancer from that.
[00:36:16.542 --> 00:36:17.483]  He's the one that says it.
[00:36:17.643 --> 00:36:18.503]  He's a homophobe.
[00:36:18.884 --> 00:36:22.627]  And I'm like, no, the frogs are actually now bisexual.
[00:36:22.787 --> 00:36:23.347]  Well, shut up!
[00:36:23.387 --> 00:36:24.168]  They deserve it too!
[00:36:24.208 --> 00:36:25.529]  What are you against that?
[00:36:26.290 --> 00:36:27.471]  I mean, it's like a religion.
[00:36:27.491 --> 00:36:28.552]  It's like running off cliffs.
[00:36:29.473 --> 00:36:31.815]  My God, the level of idiocy is just unbelievable.
[00:36:31.955 --> 00:36:32.495]  Here's another one.
[00:36:32.835 --> 00:36:33.516]  London Telegraph.
[00:36:33.556 --> 00:36:36.559]  Bisphenol, a now link to male infertility.
[00:36:37.768 --> 00:36:38.849]  Sperm counts plunging 87%.
[00:36:40.330 --> 00:36:42.111]  Toxic chemicals in branded clothing.
[00:36:42.151 --> 00:36:42.872]  It's in the clothing.
[00:36:42.912 --> 00:36:43.593]  It's in the food.
[00:36:43.813 --> 00:36:44.413]  It's in the water.
[00:36:44.453 --> 00:36:44.854]  They know.
[00:36:44.894 --> 00:36:45.374]  They're adding it.
[00:36:45.394 --> 00:36:46.115]  They're not stopping.
[00:36:46.155 --> 00:36:46.715]  It's a war.
[00:36:47.676 --> 00:36:49.257]  Canada declares BPA toxic.
[00:36:49.297 --> 00:36:50.178]  Set stage for more.
[00:36:50.678 --> 00:36:53.640]  Some countries are trying to restrict it, but here in the U.S., uh-uh.
[00:36:54.001 --> 00:36:57.664]  They're just saying, you don't think you're going to stop us by choosing stuff that's bisphenol A?
[00:36:57.684 --> 00:36:59.345]  You're going to learn to read the number on the bottom?
[00:36:59.485 --> 00:37:00.786]  Because the elite like having that number.
[00:37:00.806 --> 00:37:01.927]  They're like, oh, I'm not getting that.
[00:37:01.967 --> 00:37:02.607]  That's not for me.
[00:37:03.228 --> 00:37:04.229]  It's all their little sick joke.
[00:37:04.429 --> 00:37:05.790]  They're just going, we're hitting everything.
[00:37:06.030 --> 00:37:09.153]  You think you're gonna, just like when we exposed aspartame in the food and water, killing people?
[00:37:09.714 --> 00:37:10.515]  And causing problems?
[00:37:12.056 --> 00:37:13.838]  Now they've added it to tens of thousands of products.
[00:37:13.958 --> 00:37:17.262]  All the sugar gums, everything, they're like, you're not gonna stop us for a minute.
[00:37:17.722 --> 00:37:18.883]  You know what aspartame is?
[00:37:18.943 --> 00:37:19.504]  Go look it up.
[00:37:19.724 --> 00:37:23.468]  I always tell people this, and they laugh at me until they look it up and they go, oh my God, you're right.
[00:37:24.289 --> 00:37:28.013]  The Pentagon was trying to create bacteria that produce chemical weapons.
[00:37:29.366 --> 00:37:39.209]  And it's one of the first genetically engineered bacteria in the 60s, 1967, E. coli, that eats toxic waste and craps out aspartame.
[00:37:40.989 --> 00:37:42.910]  It is bacteria crap.
[00:37:43.830 --> 00:37:45.731]  It's a highly toxic neurotoxin.
[00:37:46.011 --> 00:37:48.632]  And of course you want more of it, it gets you higher in the kite.
[00:37:49.832 --> 00:37:52.933]  You think Coca-Cola got angry when they couldn't put cocaine in it anymore?
[00:37:53.882 --> 00:37:55.622]  They just came out with this little goody.
[00:37:56.303 --> 00:38:07.086]  It took them three tries to get it approved at the FDA until the former head of Searle, the subdivision of Monsanto, got in there in the Reagan administration and got it legalized.
[00:38:07.546 --> 00:38:11.187]  Have you read the monkey studies of what aspartame added to monkey milk did to the babies?
[00:38:14.730 --> 00:38:18.351]  Okay, here's Washington Post from four years ago.
[00:38:18.491 --> 00:38:20.732]  FDA faulted for stance on chemicals and plastics.
[00:38:21.032 --> 00:38:26.714]  They tried to block it, and did block it, but people still started researching it and saying no to the products.
[00:38:27.395 --> 00:38:30.256]  Synthetic estrogen BPA cost cash register receipts.
[00:38:30.596 --> 00:38:31.136]  Coats them.
[00:38:31.536 --> 00:38:32.897]  Sterilizing the workers.
[00:38:33.737 --> 00:38:35.258]  Here's the deadly molecules.
[00:38:36.218 --> 00:38:37.759]  Here's the bisphenol A molecule.
[00:38:37.779 --> 00:38:38.879]  Give me document cams on all this.
[00:38:38.939 --> 00:38:40.019]  I'm just going to hurry through this here.
[00:38:40.280 --> 00:38:41.860]  We're going to have a two hour show again tonight.
[00:38:43.241 --> 00:38:43.881]  There's all that.
[00:38:46.291 --> 00:38:47.572]  There's bisphenol A molecule.
[00:38:47.592 --> 00:38:49.975]  You might want to find out about this if you care about your family or so what.
[00:38:49.995 --> 00:38:50.916]  Maybe you like breast cancer.
[00:38:50.956 --> 00:38:51.557]  I certainly don't.
[00:38:51.837 --> 00:38:52.598]  Just trying to save you.
[00:38:53.479 --> 00:38:54.320]  Puberty in girls.
[00:38:54.781 --> 00:38:56.843]  Hastened by harmful chemicals.
[00:38:57.504 --> 00:38:59.846]  BPA, common chemical linked to obesity.
[00:38:59.986 --> 00:39:00.727]  Oh yeah, all of it.
[00:39:02.529 --> 00:39:05.573]  Even glass jars contain BPA chemical due to lid lining.
[00:39:07.577 --> 00:39:15.940]  Scientific study finds 40% of all store receipts contain dangerous hormone, disrupting chemical, dirty money, traces of BPA found on Currency Time magazine.
[00:39:17.901 --> 00:39:18.921]  Here it all is.
[00:39:20.942 --> 00:39:22.863]  It's in 90% of all canned food.
[00:39:22.963 --> 00:39:24.743]  No, no what?
[00:39:24.883 --> 00:39:25.884]  You know what you're saying?
[00:39:26.384 --> 00:39:27.604]  No S, Sherlock.
[00:39:28.065 --> 00:39:28.505]  Right there.
[00:39:28.565 --> 00:39:32.206]  BP, I mean, I'm not into profanity, folks, but at points like this, it's hard to not be.
[00:39:32.246 --> 00:39:34.247]  I mean, what in flaming Hades?
[00:39:35.911 --> 00:39:41.215]  Of course the stinking juice box liners and the stinking can liners are BPA.
[00:39:41.796 --> 00:39:42.997]  Of course they found it in 90%.
[00:39:43.137 --> 00:39:45.118]  What are your little kids drinking?
[00:39:46.419 --> 00:39:49.142]  No wonder Bobby at 11 wants to wear a dress.
[00:39:49.502 --> 00:39:55.006]  He's jacked up on so many female hormones, he's got more than Marilyn Monroe at 25!
[00:40:01.491 --> 00:40:04.654]  And no wonder your 5-year-old's going into puberty if she's a girl.
[00:40:07.080 --> 00:40:08.942]  All right, look.
[00:40:08.962 --> 00:40:12.344]  232 toxic chemicals in 10 minority babies.
[00:40:12.364 --> 00:40:13.505]  They did a big study on that.
[00:40:13.565 --> 00:40:14.226]  My God.
[00:40:15.447 --> 00:40:20.050]  They found studies in the same cities where you'll go test blacks and they'll have three or four times the fluoride in them.
[00:40:20.370 --> 00:40:20.791]  You know why?
[00:40:20.811 --> 00:40:24.914]  Because a lot of cities, the engineers put it in where the rest don't even understand it.
[00:40:24.954 --> 00:40:28.837]  They actually pipe more to minority areas by pure evil of this.
[00:40:29.337 --> 00:40:31.199]  All right, I'm not going to have time to go through all of it.
[00:40:32.837 --> 00:40:43.533]  A common chemical linked to a slew of health problems, Bisphenol A. I mean, look, Bisphenol A, a chemical used to make plastics found to leach into drinking bottles into humans.
[00:40:43.634 --> 00:40:43.974]  Boom!
[00:40:47.827 --> 00:40:48.407]  Look, I'm done.
[00:40:48.707 --> 00:40:49.107]  I'm done.
[00:40:49.367 --> 00:40:51.808]  I've got a full focus report coming out on this later in the week.
[00:40:52.148 --> 00:40:53.529]  But I don't know how to shut up.
[00:40:53.729 --> 00:40:55.009]  I don't know how to not freak out.
[00:40:55.349 --> 00:40:59.070]  I don't know how to be completely calm here when we're dealing with this.
[00:40:59.110 --> 00:41:01.951]  And I apologize for getting a little bit angry here, but I don't apologize.
[00:41:02.331 --> 00:41:03.812]  I mean, look at this.
[00:41:03.852 --> 00:41:06.533]  This is official Planned Parenthood garbage.
[00:41:08.193 --> 00:41:11.654]  Saying we're going to encourage homosexuality and put it in the water.
[00:41:11.674 --> 00:41:13.175]  I mean, right there!
[00:41:14.115 --> 00:41:14.495]  Right there!
[00:41:16.809 --> 00:41:23.051]  And then, they tell the poor people whose numbers are massively increasing, well, this is just how you feel, you should go with it.
[00:41:23.531 --> 00:41:29.713]  In fact, I almost forgot, guys, Google, because it'll be London Guardian, Pentagon wanted to use gay bomb on Iraqis.
[00:41:31.894 --> 00:41:35.655]  And see, there's a reason in every culture the men have done the fighting.
[00:41:36.952 --> 00:41:40.934]  In a lion pride, the women go out and hunt and get most of the meat.
[00:41:41.395 --> 00:41:50.460]  The males walk perimeter around the pride area and attack hyenas and things, and also compete with other males to increase the vigor of the species.
[00:41:52.201 --> 00:41:54.322]  And it's the same thing with many species of dolphin.
[00:41:54.422 --> 00:41:55.623]  It's the same with porpoise.
[00:41:56.003 --> 00:42:03.608]  It's the same thing with so many species that the males defend the territory range of the females and the babies.
[00:42:04.994 --> 00:42:14.749]  Now, men normally, at a certain point when they're being dominated, will just get violent or will get politically motivated, which is a form of, you know, high-tech violence.
