[00:00:00.613 --> 00:00:01.216]  Oh, no!
[00:34:47.987 --> 00:35:00.957]  of the entire Middle East, every quote, enemy, rogue nation, but also go after the globalist big enemy, the Western populations that are their milk cows, that they're bleeding dry.
[00:35:00.957 --> 00:35:13.366]  And now the New York Times says USI's Qaddafi terror response, US intelligence agencies are watching for signs that desperate Colonel Muammar Qaddafi, under attack from a coalition air assault, could resort to acts of terrorism against Western targets.
[00:35:15.117 --> 00:35:16.578]  See how perfect this is?
[00:35:16.578 --> 00:35:18.719]  And then if he fights back, it's called terror.
[00:35:18.719 --> 00:35:21.681]  Or even if he doesn't, they'll stage something.
[00:35:21.681 --> 00:35:30.826]  The globalists for years, at least five they admit, have been trying to get the Iranians by attacking them internally through terror groups to respond.
[00:35:30.826 --> 00:35:32.447]  This is very sinister.
[00:35:32.447 --> 00:35:32.747]  U.S.
[00:35:32.747 --> 00:35:35.588]  officials are keeping an eye on that possibility, one U.S.
[00:35:35.588 --> 00:35:36.549]  official said.
[00:35:38.541 --> 00:35:48.311]  Colonel Gaddafi has extensive stockpiles of mustard gas, high explosive, at his disposal that could be used in attacks against targets in Europe or against his own people.
[00:35:48.311 --> 00:35:53.976]  He has also a documented history of orchestrating strikes against civilians and other world leaders.
[00:35:53.976 --> 00:35:54.537]  Alright, now...
[00:35:56.462 --> 00:36:00.804]  Here's the most important point that people need to be made aware of.
[00:36:00.804 --> 00:36:10.829]  What is the Western ally, Bahrain, saying that just defeated with Saudi Arabian troops massive uprisings nationwide, many of them violent?
[00:36:10.829 --> 00:36:13.751]  Bahrain King says forces have foiled foreign plot.
[00:36:14.711 --> 00:36:16.532]  Oh, who do you think was behind it?
[00:36:16.532 --> 00:36:31.940]  Bahrain's King, Hamed bin Issa Al Khalifa, said a foreign plot against his kingdom had been foiled and thanked troops brought in from neighboring countries to help end increasing unrest after weeks of protest.
[00:36:31.940 --> 00:36:36.402]  But again, when he shoots peaceful protesters, it's loving and good in our media.
[00:36:36.402 --> 00:36:37.463]  At least for now.
[00:36:37.463 --> 00:36:39.324]  Will they call for an invasion of Bahrain?
[00:36:40.796 --> 00:36:46.761]  They didn't call for an invasion of China after Tiananmen Square or the ongoing stuff in the last 20 years.
[00:36:46.761 --> 00:36:55.748]  The King told forces that if such a plot had succeeded in one Gulf country, it could spill into neighboring states.
[00:36:55.748 --> 00:36:57.029]  Well, of course, that's the plan.
[00:36:58.376 --> 00:37:14.524]  The ferocity of the crackdown last week by Iranian forces, aided by the entrance of troops from the Sunni-ruled Gulf countries, stunned Bahrain's majority Shiites, the main force of protest, and angered the region's non-Arab Shiite power, Iran.
[00:37:14.524 --> 00:37:17.145]  So they're claiming, they're trying to imply Iran's the power.
[00:37:18.371 --> 00:37:29.698]  Iran, which supports Shiite groups in Iraq and Lebanon, has complained to the United Nations and asked neighbors to join in urging Saudi Arabia to withdraw forces from Bahrain.
[00:37:29.698 --> 00:37:35.922]  Now, what's going on to the west of there, in Syria, north of Israel?
[00:37:35.922 --> 00:37:37.703]  Wave of unrest shakes Syria.
[00:37:37.703 --> 00:37:39.625]  Crowds torch headquarters.
[00:37:40.845 --> 00:37:48.489]  Crowds set fire to headquarters of the ruling Ba'ath party in Syria in the city of Daraa on Sunday.
[00:37:48.489 --> 00:37:53.692]  Residents said as a wave of unrest in the Arab world shook even one of the most authoritarian states.
[00:37:53.692 --> 00:37:59.635]  The demonstrators also set ablaze the main court complex and two phone company branches.
[00:37:59.635 --> 00:38:00.916]  Yeah, they know exactly what to hit.
[00:38:00.916 --> 00:38:03.497]  Special force commanded.
[00:38:03.497 --> 00:38:08.200]  One of the firms is owned by the president, Assad's cousin.
[00:38:09.110 --> 00:38:12.392]  They burned the symbols of oppression and corruption, an activist said.
[00:38:12.392 --> 00:38:14.213]  The banks nearby were torched.
[00:38:14.213 --> 00:38:28.680]  So you've got all these dictatorships run by independent dictators or run by Western-backed dictators, and when the Western-backed dictators kill people and shoot them, it's loving, good, helpful, pro-America, but when it's Libya or when it is
[00:38:34.672 --> 00:38:36.912]  Syria, it's horrible and we've got to invade.
[00:38:36.912 --> 00:38:41.113]  And when I say we, again that's my own brainwashing from the globalists.
[00:38:41.113 --> 00:38:43.134]  It's not our government, it's not our military.
[00:38:43.134 --> 00:38:48.254]  Get that through your heads as we go bankrupt.
[00:38:48.254 --> 00:38:53.795]  And remember all those Obama memos, all those White House advisors saying we need a new 9-11.
[00:38:53.795 --> 00:39:02.137]  We need a new Oklahoma City to blame on domestic groups and a 9-11 to blame on foreign groups to keep the wars going and to make Obama's approval rating go up.
[00:39:02.597 --> 00:39:05.179]  We need these events.
[00:39:05.179 --> 00:39:06.901]  Remember the Giffords shooting.
[00:39:06.901 --> 00:39:09.283]  Within hours they were blaming it on talk radio.
[00:39:09.283 --> 00:39:13.587]  Ron Paul, Alex Jones, Rush Limbaugh, Sarah Palin.
[00:39:13.587 --> 00:39:16.689]  As the internet kill switch goes into place.
[00:39:16.689 --> 00:39:19.051]  All of this happening now.
[00:39:19.051 --> 00:39:21.794]  All of this unfolding.
[00:39:23.871 --> 00:39:38.877]  With British and other Western Special Forces on the ground marking and lazing targets of the ongoing bombardment with Qaddafi handing out over a million weapons to over a million citizens preparing for the ground assault.
[00:39:38.877 --> 00:39:45.940]  And the globalists are happy to just split off the eastern part of the country and circle Qaddafi and then launch more guerrilla attacks over the years.
[00:39:48.919 --> 00:39:51.300]  But they may actually stage a terror attack.
[00:39:51.300 --> 00:40:04.524]  Remember in the few months before 9-11, even the Time Magazine and Newsweek reported on this, the week after 9-11, oh, 44,000 US troops, 18,000 British troops, several aircraft carrier groups, the aircraft
[00:40:05.928 --> 00:40:06.869]  I don't think so.
[00:40:26.129 --> 00:40:30.053]  So, you got all the troops already built up in the name of dealing with Egypt.
[00:40:30.053 --> 00:40:34.877]  You've got the amphibious ships that just arrived this week, dispatched three weeks ago.
[00:40:34.877 --> 00:40:43.485]  The amphibious Marine Corps ships, these big stub aircraft carriers, sitting there waiting to disgorge Marines.
[00:40:43.485 --> 00:40:46.908]  You've got Illinois National Guard being dispatched to the region.
[00:40:46.908 --> 00:40:49.310]  Headline, Illinois Guard heads to Libya.
[00:40:50.506 --> 00:40:55.649]  An Air National Guard unit out of Illinois is heading to Libya to help fight against Colonel Qaddafi.
[00:40:55.649 --> 00:40:56.849]  I am proud of the National Guard.
[00:40:56.849 --> 00:40:57.529]  That means U.S.
[00:40:57.529 --> 00:41:00.271]  aircraft in the air launching bombing attacks.
[00:41:00.271 --> 00:41:16.999]  I am proud the National Guard is able to play a part in curbing the atrocious violence against Libyan civilians by their own government, said Major General William Inrant, the Adjunct General of the Illinois National Guard, in a statement.
[00:41:19.051 --> 00:41:19.892]  Oh really?
[00:41:19.892 --> 00:41:22.554]  Is a foreign government going to invade the U.S.?
[00:41:22.554 --> 00:41:23.654]  Headline, U.S.
[00:41:23.654 --> 00:41:25.636]  Army Kill Team.
[00:41:25.636 --> 00:41:31.060]  It's turned out that was lies about Qaddafi shooting innocent civilians that weren't attacking, not defending the guy.
[00:41:31.060 --> 00:41:32.140]  I'm just, it's a fact.
[00:41:32.140 --> 00:41:35.583]  It turns out he didn't run to Venezuela.
[00:41:35.583 --> 00:41:40.226]  He didn't run to Zimbabwe.
[00:41:40.226 --> 00:41:41.347]  It's just all lies.
[00:41:44.389 --> 00:41:44.709]  U.S.
[00:41:44.709 --> 00:41:51.154]  Army kill team in Afghanistan posed for photos of murdered civilians, including children.
[00:41:51.154 --> 00:41:53.456]  Commanders brace for backlash of anti-U.S.
[00:41:53.456 --> 00:41:56.619]  sentiment that could be more damaging than Abu Ghraib scandal.
[00:41:56.619 --> 00:42:01.282]  Commanders in Afghanistan are bracing themselves, and they've now released the photos.
[00:42:01.282 --> 00:42:02.443]  We'll put it back on screen.
[00:42:02.443 --> 00:42:06.146]  Looks like about a 12-year-old in civilian clothes, dead, with a U.S.
[00:42:06.146 --> 00:42:09.089]  troop feeling really manly right now.
[00:42:09.089 --> 00:42:10.610]  I mean, he shot him, and it's fun.
[00:42:12.850 --> 00:42:21.137]  Senior officials at NATO's International Security Assistance Force in Kabul have compared the pictures published by German Newsweek leader Spiegel to the images of U.S.
[00:42:21.137 --> 00:42:24.840]  soldiers abusing prisoners in Abu Ghraib in Iraq, which sparked waves of anti-U.S.
[00:42:24.840 --> 00:42:25.661]  protests.
[00:42:25.661 --> 00:42:27.642]  Notice it was time to pull out of Afghanistan.
[00:42:27.642 --> 00:42:31.986]  It's like it was time to pull out of Iraq in 2005.
[00:42:31.986 --> 00:42:35.069]  And so they release the Abu Ghraib photos.
[00:42:35.069 --> 00:42:37.010]  They want the rebellion.
[00:42:37.010 --> 00:42:38.511]  British SAS was caught in 2006.
[00:42:40.578 --> 00:42:51.986]  London Guardian, Associated Press, dressed up like Sunnis, shooting and killing Shiites in Basra, Iraq.
[00:42:51.986 --> 00:42:55.249]  This is a multi-trillion dollar operation for the bankers.
[00:42:55.249 --> 00:42:57.030]  They create the entire war.
[00:42:57.030 --> 00:43:04.596]  They fund the terrorists, they fund the criminal groups, they fund attacks that's come out on our own troops by mercenaries.
[00:43:04.596 --> 00:43:05.897]  You gotta have some kill numbers.
[00:43:08.817 --> 00:43:12.799]  They know the troops are gonna have a delayed death from the DU.
[00:43:12.799 --> 00:43:21.845]  This is full-spectrum war against everyone by the globalists, playing different tribes, different religions, different groups off against each other.
[00:43:21.845 --> 00:43:26.948]  Full-spectrum dominance.
[00:43:26.948 --> 00:43:29.430]  Get into the mind of the globalists.
[00:43:29.430 --> 00:43:32.591]  Understand, oh, but the armies apologize, so it's okay.
[00:43:32.591 --> 00:43:36.554]  Does that mean Gaddafi can apologize and the invasion won't have to happen?
[00:43:38.936 --> 00:43:42.278]  And remember, they lied and said there was no Western involvement in the rebels.
[00:43:42.278 --> 00:43:45.861]  A month ago in Libya now, it turns out the whole thing was run by the West.
[00:43:45.861 --> 00:43:53.706]  Just like the whole thing against Mubarak was run, because it turns out he didn't want to go along with the Libya attack, the Iran attack.
[00:43:53.706 --> 00:43:58.249]  Are you guys calling Tarpley?
[00:43:58.249 --> 00:43:59.190]  He's good for 130.
[00:43:59.190 --> 00:43:59.790]  Excellent job.
[00:43:59.790 --> 00:44:00.891]  I forgot to tell you I want him.
[00:44:00.891 --> 00:44:02.292]  Good job.
[00:44:02.292 --> 00:44:04.313]  Tarpley absolutely called this in 2000 and
[00:44:06.852 --> 00:44:08.594]  And exactly what he said happened.
[00:44:26.544 --> 00:44:29.805]  We even, in Obama Deception, show the maps and how they would do it.
[00:44:29.805 --> 00:44:44.470]  Of course, Tarpley, we could give him credit, but, and he does deserve it because he actually read what Brzezinski said, what the Israelis in the 80s talked about, a plan to destabilize all the Arab countries, including allies, and overthrow them, and then have a war with the Al-Qaeda they put in!
[00:44:45.714 --> 00:44:49.037]  That'll make some money for the defense contractors.
[00:44:49.037 --> 00:45:00.746]  These guys, I remember two, three years ago, it was coming out about Blackwater murdering people for fun, and the drugs, and the armaments, and the reports of staging events as a pretext for the West to stay in those countries.
[00:45:00.746 --> 00:45:09.694]  People would send me emails, or I even ran into family who were like, Blackwater's pro-America, doing what the army can't do.
[00:45:09.694 --> 00:45:11.715]  Family I have in the military.
[00:45:11.715 --> 00:45:14.318]  And now it turns out all of it was true.
[00:45:15.379 --> 00:45:19.844]  And they've moved to the Middle East, where they can't be extradited.
[00:45:19.844 --> 00:45:24.348]  And I remember three months ago, all these reports about why is Blackwater moving into North Africa?
[00:45:24.348 --> 00:45:32.116]  Why have they signed a deal with a mercenary group even bigger than them out of South Africa that's so secret, details aren't even known about them.
[00:45:32.116 --> 00:45:35.179]  Super hardcore mercs.
[00:45:35.179 --> 00:45:38.002]  Because they knew about the new bonus time coming.
[00:45:38.919 --> 00:45:47.600]  You better believe there's Merck forces, not just SAS and other regular military out of England, are all over Libya right now.
[00:45:47.600 --> 00:45:55.282]  And they got their rear end handed to them by Muammar Gaddafi, who's actually a military guy.
[00:45:55.282 --> 00:45:57.622]  He's a bold scrapper, folks.
[00:45:57.622 --> 00:46:00.123]  He took over when he was 20-something years old.
[00:46:00.123 --> 00:46:02.843]  What was he, 27 when he took over?
[00:46:02.843 --> 00:46:06.184]  Overthrew a monarchy?
[00:46:06.184 --> 00:46:07.504]  And he says, I'm going down.
[00:46:08.763 --> 00:46:10.944]  He says, I'm going down, I will die here.
[00:46:10.944 --> 00:46:12.786]  And he said, it's lies, I haven't left Tripoli.
[00:46:12.786 --> 00:46:17.649]  Remember a month ago, and then two weeks ago, and then they always keep lying to kind of bolster the rebel forces.
[00:46:17.649 --> 00:46:19.010]  Gaddafi's fled, we've won!
[00:46:19.010 --> 00:46:22.932]  To try to create a mass panic, and he said, I haven't left, I will die here.
[00:46:22.932 --> 00:46:25.094]  Bring it.
[00:46:25.094 --> 00:46:28.856]  Bring it.
[00:46:28.856 --> 00:46:29.957]  Well, the globalists have brought it.
[00:46:33.168 --> 00:46:36.832]  And this is what he said to Obama in a statement today.
[00:46:36.832 --> 00:46:43.600]  To my dear Obama, our son, saying he's the son of Africa, says Gaddafi, defending attacks on rebels.
[00:46:43.600 --> 00:46:47.004]  Now he's the son of JPMorgan, Chase, Goldman Sachs.
[00:46:47.004 --> 00:46:48.966]  Gotta get that straight, Gaddafi.
[00:46:48.966 --> 00:46:53.731]  To my dear son, our son, says Gaddafi, defending attacks on rebels.
[00:46:54.417 --> 00:46:58.720]  He went on to say, if you were having uprisings against your capital, what would you do in America?
[00:46:58.720 --> 00:46:59.180]  Well, we know.
[00:46:59.180 --> 00:47:04.263]  Even if they were legitimate, they would mow down citizens and it would be hailed as a wonderful act.
[00:47:04.263 --> 00:47:11.808]  The feds would then set off truck bombs outside public schools to target children and blame the groups they'd mowed down for bombing the children.
[00:47:11.808 --> 00:47:13.489]  That's an easy equation.
[00:47:13.489 --> 00:47:19.593]  If the globalists have to mow Americans down, they will simultaneously detonate weapons, blame it on domestic groups.
[00:47:19.593 --> 00:47:23.275]  They will then go around and arrest all the patriot leaders, including myself.
[00:47:25.141 --> 00:47:28.583]  Don't think that's not what they're moving towards.
[00:47:28.583 --> 00:47:33.505]  If things get so bad in the Depression that you uprise, they will commit atrocities and blame it on you.
[00:47:33.505 --> 00:47:36.626]  It is in the Army Handbook leaked by WikiLeaks.
[00:47:36.626 --> 00:47:39.007]  Three years ago, the Army does not deny it's theirs.
[00:47:39.007 --> 00:47:46.110]  They admit it's theirs, teaching Army Captains and above who are in Special Ops, Black Ops, how to stage terror.
[00:47:46.110 --> 00:47:49.371]  Here's your canteen, here's your M16, here's your field manual.
[00:47:49.371 --> 00:47:51.432]  Now here's how you stage terror attacks.
[00:47:52.833 --> 00:47:56.355]  It seems to work best when you kill some kids.
[00:47:56.355 --> 00:47:57.816]  You're a real man, aren't you?
[00:47:57.816 --> 00:47:59.777]  That's why you've moved up to this level.
[00:47:59.777 --> 00:48:05.020]  Don't worry, we're gonna have you shipping narcotics into America after a few tours doing this overseas.
[00:48:05.020 --> 00:48:14.666]  They test them, and they create, and again, folks, I've had family, I'm just gonna leave it at that, who, their favorite place to recruit's the Army.
[00:48:14.666 --> 00:48:21.930]  He was a low-level Army officer, recruited by the CIA when he got out of the Army, and they said, first, for your training,
[00:48:23.200 --> 00:48:27.121]  We're gonna send you to Chicago.
[00:48:27.121 --> 00:48:36.243]  And the stuff was so horrible that this family member told my dad, I know the family member, they don't tell me this stuff, that he just said he refused to do it after a month.
[00:48:36.243 --> 00:48:40.584]  But it was narcotics trafficking, things even worse.
[00:48:40.584 --> 00:48:43.425]  Who do you think pulls the hits in America?
[00:48:43.425 --> 00:48:44.325]  The army, folks.
[00:48:44.325 --> 00:48:47.365]  They've got hundreds of thousands of former military service people.
[00:48:47.365 --> 00:48:49.746]  They've got hit men in every neighborhood.
[00:48:50.891 --> 00:48:51.572]  Okay?
[00:48:51.572 --> 00:48:52.232]  The U.S.
[00:48:52.232 --> 00:48:57.056]  Army is only the induction center for the Black Op Army of the New World Order.
[00:48:57.056 --> 00:48:58.557]  I hope you realize that.
[00:49:02.110 --> 00:49:04.552]  Their favorite place to recruit is Texas.
[00:49:04.552 --> 00:49:06.433]  They love Texans.
[00:49:06.433 --> 00:49:08.755]  I've got that from multiple sources.
[00:49:08.755 --> 00:49:11.417]  And they love farm boys.
[00:49:11.417 --> 00:49:13.958]  And they get them all over the Midwest, folks.
[00:49:13.958 --> 00:49:17.101]  And they give them power, money, you name it.
[00:49:17.101 --> 00:49:18.982]  And it is horrible, ladies and gentlemen.
[00:49:18.982 --> 00:49:25.347]  This country has been... What did Schmedley Butler, Marine Corps Major General,
[00:49:26.545 --> 00:49:34.209]  Set to be the Marine Corps Commandant, two-time Congressional Medal of Honor winner, who overthrew more than 10 third world nations.
[00:49:34.209 --> 00:49:36.630]  He was approached by Prescott Bush.
[00:49:36.630 --> 00:49:38.290]  He was approached by the Harrimans.
[00:49:38.290 --> 00:49:42.632]  He played along for two months with the plan for him to recruit 500,000 men.
[00:49:42.632 --> 00:49:45.414]  They already had over 100,000, former military.
[00:49:45.414 --> 00:49:49.075]  Police chiefs on the payroll.
[00:49:49.075 --> 00:49:52.317]  Even at the time, liquor running, narcotics running.
[00:49:53.700 --> 00:50:00.465]  And he was to lead 500,000 men in a fascist coup over America to link up with Hitler.
[00:50:00.465 --> 00:50:03.027]  He played along long enough to find out the full plot.
[00:50:03.027 --> 00:50:06.309]  He was to be the new dictator, the president.
[00:50:06.309 --> 00:50:11.273]  Just like George Washington, after his tour in office, they said, please come back, do another term.
[00:50:11.273 --> 00:50:12.214]  And he said, no, I've done two.
[00:50:12.214 --> 00:50:15.056]  I'm going back to my farm.
[00:50:15.056 --> 00:50:17.277]  And they came to Butler and they said, you're going to be president.
[00:50:17.277 --> 00:50:18.078]  You're a war hero.
[00:50:18.078 --> 00:50:19.739]  You're totally loved.
[00:50:19.739 --> 00:50:21.420]  You ready for this, sir?
[00:50:21.420 --> 00:50:22.101]  He said, yeah, I'm ready.
[00:50:23.681 --> 00:50:24.041]  That's right.
[00:50:40.111 --> 00:50:46.455]  I know multiple people recruited who then got out and did not go along with it.
[00:50:46.455 --> 00:50:48.297]  Ladies and gentlemen, this is everywhere.
[00:50:48.297 --> 00:50:50.158]  This is ubiquitous.
[00:50:50.158 --> 00:50:53.000]  They've got over 500,000 in InfraGard.
[00:50:53.000 --> 00:50:55.882]  They've got the clergy response teams recruited by this.
[00:50:55.882 --> 00:50:57.583]  This is an army of pure evil.
[00:51:01.138 --> 00:51:02.438]  Hi, this is Alex Jones.
[00:51:02.438 --> 00:51:08.020]  Did you know that the global elite are now storing non-hybrid seeds in secret storage vaults near the Arctic Circle?
[00:51:08.020 --> 00:51:13.042]  Did you know that in a real meltdown, non-hybrid seeds can become more valuable than silver or gold?
[00:51:13.042 --> 00:51:13.522]  It's true.
[00:51:13.522 --> 00:51:18.084]  Seeds have outperformed even gold and silver before in this country, and it's possible they could even happen again.
[00:51:18.624 --> 00:51:23.845]  So our friends at Solutions From Science have put together the perfect mix of non-hybrid seeds.
[00:51:23.845 --> 00:51:26.146]  They call it a Survival Seed Bank.
[00:51:26.146 --> 00:51:30.946]  And it can produce an endless supply of nutrient-dense food for you and your family.
[00:51:30.946 --> 00:51:32.067]  And here's the best part.
[00:51:32.067 --> 00:51:34.847]  These seeds have not been genetically modified in any way.
[00:51:34.847 --> 00:51:38.768]  And you actually get enough seeds to plant a full acre crisis garden.
[00:51:38.768 --> 00:51:41.949]  So visit them today at SurvivalSeedBank.com.
[00:51:41.949 --> 00:51:44.169]  That's SurvivalSeedBank.com.
[00:51:44.169 --> 00:51:45.089]  Or give them a call at 877-327-0365.
[00:51:48.730 --> 00:51:52.974]  That's 877-327-0365.
[00:51:52.974 --> 00:51:57.799]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
[00:51:57.799 --> 00:52:00.942]  This is Alex Jones for survivalseedbank.com.
[00:52:00.942 --> 00:52:02.383]  America, you've been warned!
[00:52:07.580 --> 00:52:09.922]  That will shake the very foundations of our nation.
[00:52:09.922 --> 00:52:13.304]  We've told you about the video that details this shocking prediction.
[00:52:13.304 --> 00:52:16.966]  So far, over 6 million people have watched this free video online.
[00:52:16.966 --> 00:52:17.787]  Have you?
[00:52:17.787 --> 00:52:21.369]  Again, this big event has nothing to do with war or the stock market.
[00:52:21.369 --> 00:52:23.871]  Yet, it could change everything about your normal way of life.
[00:52:23.871 --> 00:52:29.074]  The way you shop, travel, invest, educate your children, and even how you take care of your health and your family.
[00:52:29.074 --> 00:52:30.275]  Could this really happen?
[00:52:30.275 --> 00:52:34.258]  Well, the man who created this video has been right about many predictions in his career.
[00:52:34.258 --> 00:52:36.459]  He was among the first to predict the collapse of GM.
[00:52:37.500 --> 00:52:37.760]  We're good.
[00:53:01.075 --> 00:53:05.736]  We all know that Berkey Water Purification Systems are the most trusted name in water filtration.
[00:53:05.736 --> 00:53:14.619]  As an authorized Berkey dealer for over five years and serving thousands of satisfied customers, the Berkey Guy offers amazing specials for Berkey Water Filtration Systems.
[00:53:14.619 --> 00:53:28.503]  The Berkey Light Systems include a set of self-sterilizing and recleanable black purification elements that purify water by removing chlorine, pathogenic bacteria, cysts and parasites to non-detectable levels and remove harmful chemicals such as herbicides and pesticides.
[00:53:28.923 --> 00:53:34.225]  Order the Berkey Light System today, complete with two black Berkey elements for only $220.
[00:53:34.225 --> 00:53:40.087]  And the Berkey Guy will include three sport Berkey water bottles and ship everything to you free of charge.
[00:53:40.087 --> 00:53:44.048]  That's right, three sport Berkey water bottles and free shipping.
[00:53:44.048 --> 00:53:46.008]  An $87 value, yours free.
[00:53:46.008 --> 00:53:47.109]  Call the Berkey Guy at 1-877-886-3653.
[00:53:47.109 --> 00:53:47.389]  That's 1-877-886-3653.
[00:53:47.389 --> 00:53:48.629]  Or order online at GoBerkey.com.
[00:53:57.372 --> 00:53:59.480]  That's GoBurkey.com today!
[00:54:12.159 --> 00:54:15.780]  You can run on for a long time.
[00:54:15.780 --> 00:54:18.701]  Run on for a long time.
[00:54:18.701 --> 00:54:22.423]  Run on for a long time.
[00:54:22.423 --> 00:54:40.849]  Why do you think 11 years ago, now almost 12, that Prudential and others could meet with the VA and sign a secret deal to take all benefits from World War II vets through current vets that they have them pay into for death insurance?
[00:54:42.793 --> 00:54:47.777]  Why do you think you're getting the news that they've stolen most of the money out of the private and public pension funds?
[00:54:47.777 --> 00:54:50.639]  Because they don't care.
[00:54:50.639 --> 00:54:59.706]  Because they've got Homeland Security out recruiting doctors, lawyers, school teachers, pastors to spy on their neighbors, to spy on their students.
[00:54:59.706 --> 00:55:05.551]  Because they've recruited hundreds of thousands of former military personnel, predominantly U.S.
[00:55:05.551 --> 00:55:10.715]  Army, to form a giant murderous mafia.
[00:55:11.988 --> 00:55:16.392]  Who they pay out of the 500 billion in narcotics money each year.
[00:55:16.392 --> 00:55:18.454]  America is a giant prison.
[00:55:18.454 --> 00:55:20.916]  We've got more prisons than any other country in the world.
[00:55:20.916 --> 00:55:23.038]  We're a giant police state.
[00:55:23.038 --> 00:55:34.267]  All that's left is free speech, that vestige, and our Second Amendment that the forefathers put in place as an emergency system against tyranny.
[00:55:34.267 --> 00:55:35.729]  All we've got is our courage.
[00:55:37.145 --> 00:55:41.388]  The globalists don't care about those military men that they've got as attack dogs.
[00:55:41.388 --> 00:55:43.990]  They bathe them in DU and deadly vaccines.
[00:55:43.990 --> 00:55:47.032]  They don't care about their own children.
[00:55:47.032 --> 00:55:55.659]  This whole new war is a good smokescreen from Fukushima and the ongoing radiation being belched into the air.
[00:55:55.659 --> 00:56:00.222]  20 plus times safe radiation levels reported in the food.
[00:56:00.222 --> 00:56:00.663]  What?
[00:56:00.663 --> 00:56:01.904]  26 times in Japan.
[00:56:03.103 --> 00:56:04.784]  Radioactive iodine in the water.
[00:56:04.784 --> 00:56:05.805]  Not hearing about that now.
[00:56:05.805 --> 00:56:11.110]  More of that coming up in the next hour.
[00:56:11.110 --> 00:56:20.058]  And this precedent for the UN to pass a resolution on Thursday night, and within 48 hours the bombing had begun.
[00:56:20.058 --> 00:56:22.760]  With ground forces there lazing the targets.
[00:56:22.760 --> 00:56:26.143]  Telling you it was a natural uprising by the Libyans.
[00:56:26.143 --> 00:56:30.727]  You think it's a real uprising targeting key installations in Syria right now?
[00:56:34.069 --> 00:56:48.256]  The Syrians are corrupt, Gaddafi's corrupt, but do we have the big corrupt bankers that run us, launch wars against them so they can get their oil and get beachheads to take over the rest of the Middle East that we've all got to pay for?
[00:56:48.256 --> 00:56:52.718]  Rangel is calling again for a national draft.
[00:56:52.718 --> 00:57:00.041]  That little crook.
[00:57:00.041 --> 00:57:01.202]  I'm speechless at this point.
[00:57:02.944 --> 00:57:09.246]  But you've got Qaddafi saying, to my dear Obama, our son, says Qaddafi, defending attacks on rebels.
[00:57:09.246 --> 00:57:13.988]  Calling Obama, our son, leader Muammar Qaddafi, sent a message to the U.S.
[00:57:13.988 --> 00:57:17.930]  President, defending his decision to attack the rebels, fighting to overthrow him.
[00:57:17.930 --> 00:57:21.791]  Qaddafi, 68, also wrote a letter to French and British leaders in the U.N.
[00:57:21.791 --> 00:57:26.213]  General Assembly, saying the Security Council resolution was void and violated the U.N.
[00:57:26.213 --> 00:57:29.394]  Charter, warning them that they would regret any intervention.
[00:57:30.054 --> 00:57:38.278]  That's exactly what they want, Qaddafi, is for you to launch weapons across the Mediterranean into Europe so they can invade you.
[00:57:38.278 --> 00:57:39.858]  Libya is not for you.
[00:57:39.858 --> 00:57:41.479]  Libya is for Libyans, he said.
[00:57:41.479 --> 00:57:43.440]  No, it's for the New World Order.
[00:57:43.440 --> 00:57:48.362]  Details of Qaddafi's letters were released by the Libyan government spokesman at a news conference in Tripoli.
[00:57:48.362 --> 00:57:54.885]  Defending his decision to attack rebels, Qaddafi told Obama, Al-Qaeda is an armed organization passing through Algeria.
[00:57:57.768 --> 00:58:03.291]  Mali, what would you do if you found them controlling American cities with power and weapons?
[00:58:03.291 --> 00:58:05.993]  Well, Qaddafi, you know they're running them.
[00:58:05.993 --> 00:58:09.095]  What would you do so I can follow your example?
[00:58:09.095 --> 00:58:24.684]  Trying to strike a personal note, Qaddafi prefaces letters saying to our son, His Excellency Mr. Barack Hussein Obama, I have said to you before, who they've met and hugged, that even if Libya and the United States of America enter into war, God forbid, you always remain our son.
[00:58:24.684 --> 00:58:26.505]  Your picture will not be changed.
[00:58:27.512 --> 00:58:33.317]  In his letter to Nicholas Sarkozy, David Cameron, and Ban Ki-moon Gaddafi said, Libya is not yours, Libya is for Libyans.
[00:58:33.317 --> 00:58:44.566]  The Security Council of the Revolution is void because it is not, according to the Charter, to interfere with internal affairs of a country.
[00:58:44.566 --> 00:58:48.529]  This is GCN, the Genesis Communications Radio Network.
[00:58:50.974 --> 00:58:52.134]  A very wealthy U.S.
[00:58:52.134 --> 00:58:59.057]  citizen is predicting that in 2011, we will witness the most important day in America in more than 50 years.
[00:58:59.057 --> 00:59:01.618]  He says it will change everything about our lives.
[00:59:01.618 --> 00:59:06.999]  The way you shop, travel, invest, educate your children, and even how you take care of your health and your own family.
[00:59:06.999 --> 00:59:10.040]  Now this man has made some outrageous predictions over the years.
[00:59:10.040 --> 00:59:12.101]  The crazy part is, he's usually right.
[00:59:12.361 --> 00:59:18.605]  You see, he predicted the collapse of GM, Fannie Mae, Freddie Mac, and America's biggest mall owner, General Growth Properties.
[00:59:18.605 --> 00:59:21.987]  In fact, Barron's called his work a dire prophecy.
[00:59:21.987 --> 00:59:27.771]  Recently, he created a video, which you can watch online for free, detailing his biggest and most important prediction yet.
[00:59:27.771 --> 00:59:29.412]  And it's a real eye-opener.
[00:59:29.412 --> 00:59:30.693]  I can't stress this enough.
