[00:00:23.638 --> 00:00:28.986]  Welcome ladies and gentlemen to this Friday, October 7th edition of the InfoWars Nightly News.
[00:24:36.615 --> 00:24:40.337]  And you've heard Alex calling for an Occupy the Federal Reserve movement.
[00:24:40.757 --> 00:24:48.782]  He's in Dallas today to get that going, but many other groups have had the same idea, really at the same time, because they're also freedom-loving groups.
[00:24:49.262 --> 00:24:59.931]  So we're going to talk now with Stuart Rhodes, the founder of Oath Keepers, and a project that Oath Keepers has been working on with many other people as well, and that is Occupy the Federal Reserve now.
[00:25:00.952 --> 00:25:09.680]  And we're here to discuss why they're there, what they stand for, and what message they hope to send to the Occupy Wall Street crowd and the whole world that's watching right now.
[00:25:10.380 --> 00:25:11.581]  Stuart, thanks for joining us.
[00:25:13.063 --> 00:25:13.763]  Thanks for having me on.
[00:25:13.863 --> 00:25:14.344]  Glad to be here.
[00:25:16.737 --> 00:25:26.058]  So tell us about how this movement got started and where Oath Keepers and other freedom-loving patriots plan to show up, and of course about the message we're trying to send.
[00:25:27.233 --> 00:25:33.174]  Well, as you said, I think we all had the same idea, which is a no-brainer that the real target should be the Federal Reserve.
[00:25:33.434 --> 00:25:41.236]  Certainly Wall Street is corrupt and complicit, but it's the Fed that's the heart of the beast and the engine of our destruction.
[00:25:41.816 --> 00:25:50.178]  And so just as Alex had that epiphany, and same with myself, and it turns out Danny Pinzolo, leader of True Squad, had the same idea.
[00:25:50.618 --> 00:25:55.439]  And so we've kind of just come together and founded a new website called Occupy the Fed
[00:25:56.079 --> 00:26:12.656]  Now.com and it's a coalition of volunteers from Bryce Shonko from the 10th Amendment Center is going to help, Stephen Vincent, founder of End the Fed, is going to help, Gary Franchi, Bob Dwyer from the Boston Tea Party movement, Danny Gonzalez, Brandon Smith, MeltMarket.com.
[00:26:12.676 --> 00:26:19.183]  We're all coming together to, and anybody else who wants to join, as long as they're freedom-minded and constitutionalists, they're welcome to help us.
[00:26:19.543 --> 00:26:26.711]  And the whole mission is to go out there in the street and counter the propaganda that's, you know, that's like you said.
[00:26:26.831 --> 00:26:30.555]  Same thing happened to the Tea Party movement is now happening to this on the left.
[00:26:30.996 --> 00:26:35.801]  They have people who are independents or who are just really, really just wondering what's going on and they're angry.
[00:26:36.281 --> 00:26:37.142]  We're good.
[00:26:53.861 --> 00:26:55.303]  And we'll be reaching out to them.
[00:26:55.323 --> 00:26:56.464]  In fact, we already have done that.
[00:26:56.544 --> 00:27:03.851]  Oath keepers in LA, in Boston, in Seattle, across the country, have already stepped out and talked to a lot of these protesters.
[00:27:04.171 --> 00:27:06.773]  And they're not dignable communists or socialists.
[00:27:07.154 --> 00:27:16.623]  A lot of them are just confused college students who, like most Americans, were never taught the Constitution, never taught about free market economics, and just don't know.
[00:27:17.123 --> 00:27:21.404]  So, you know, the power elites have always had a monopoly on these people through education.
[00:27:21.424 --> 00:27:27.966]  They monopolize public education, and then when they go to college, they get an extra dose of it because the college is dominated by Marxists.
[00:27:28.007 --> 00:27:29.827]  That's the last refuge of Marxism.
[00:27:30.087 --> 00:27:32.448]  So, no surprise they don't know what the free market's all about.
[00:27:32.868 --> 00:27:37.970]  And so, rather than just condemning them like a lot of people on the conservative side are doing, that's a mistake.
[00:27:38.350 --> 00:27:40.350]  Get out there and give them the information.
[00:27:40.831 --> 00:27:43.391]  And as far as Oath Keepers goes, we look at it like this.
[00:27:43.771 --> 00:27:45.112]  The same reason why
[00:27:45.876 --> 00:27:53.120]  We still talk to the military and police even after the gross violations and gun confiscation during Katrina.
[00:27:53.140 --> 00:27:54.981]  We could have said, hey, look at them.
[00:27:55.021 --> 00:27:56.382]  They don't know the Constitution.
[00:27:56.903 --> 00:27:57.763]  They don't understand the law.
[00:27:57.803 --> 00:27:58.283]  Forget them.
[00:27:58.664 --> 00:27:59.324]  We didn't say that.
[00:27:59.364 --> 00:28:02.966]  We said, hey, we've got to go cure that lack of knowledge.
[00:28:03.306 --> 00:28:04.507]  And the same is true here.
[00:28:04.707 --> 00:28:05.588]  Don't forsake them.
[00:28:05.828 --> 00:28:07.029]  Don't cast them aside.
[00:28:07.269 --> 00:28:08.790]  That's what the power elites want you to do.
[00:28:09.010 --> 00:28:11.051]  They want you to say, oh, there's a bunch of commies.
[00:28:11.091 --> 00:28:12.632]  Don't go talk to those people.
[00:28:13.593 --> 00:28:21.343]  I'm not trying to change the mind of Van Jones or Michael Moore, but it also shows up who's a dyed-in-the-wool Marxist.
[00:28:21.363 --> 00:28:22.365]  You're not going to change their minds.
[00:28:22.545 --> 00:28:29.294]  We've had reporters down in Wall Street and at the other Occupy events that are taking place across the country and they all say it's
[00:28:29.814 --> 00:28:32.036]  It's not just socialists or anything like that.
[00:28:32.136 --> 00:28:38.581]  A lot of people are wanting to end the Fed and a lot of people are simply angry about the economic conditions in general.
[00:28:38.962 --> 00:28:50.130]  But to me this seems like a great education opportunity for this end the Fed movement that's been going on at least since 2007 when Ron Paul was running for the GOP nomination last term.
[00:28:50.791 --> 00:28:56.856]  And this is a continuation of our efforts while everyone's focused on the economic issues as everything comes to a head.
[00:28:58.049 --> 00:28:58.790]  Yeah, exactly.
[00:28:58.810 --> 00:29:06.076]  You're going to get, you know, just as disintegration of economies in Tunisia and Greece and elsewhere led to mass protests, you're going to get it.
[00:29:06.556 --> 00:29:11.801]  You know, no matter whether you like it or not, there's going to be people in the streets who are going to be angry, upset, and scared.
[00:29:12.241 --> 00:29:21.689]  So why not get out there, if you're a constitutionalist and a real believer in freedom, you have an obligation duty to get out there and talk to them and show them the correct path.
[00:29:22.009 --> 00:29:28.333]  Stuart, I hear the message you're trying to say here today that we're just freedom-loving people who want to restore the Constitution.
[00:29:28.673 --> 00:29:37.879]  We know that the Tea Party movement from several years ago ultimately became an opportunity for the GOP to stir people back into the establishment two-party paradigm.
[00:29:38.320 --> 00:29:44.824]  And we know people like Al Gore, who've called for an Arab Spring in America, would like to drive that same energy to the Democratic Party.
[00:29:45.304 --> 00:29:47.746]  And I think it's great that we're out there just to say that no,
[00:29:48.286 --> 00:29:52.294]  This anger about economic issues is an anger against the establishment.
[00:29:53.336 --> 00:29:53.957]  Your take, sir?
[00:29:54.658 --> 00:29:57.684]  Yeah, I see it like they're competing crime families.
[00:29:58.360 --> 00:30:07.542]  You know, the oath-breaking, unconstitutional status on the political left are the mirror image of their counterparts on the political right.
[00:30:07.823 --> 00:30:09.863]  And they're just competing for domination.
[00:30:10.443 --> 00:30:13.764]  And both of them are outside of the Constitution, way outside the bounds.
[00:30:14.004 --> 00:30:24.587]  And so we need to, you know, bring the people to the Constitution and to the principles of sound money and, you know, fundamental liberty that our Constitution was structured on.
[00:30:24.787 --> 00:30:40.045]  Yeah, the final point is, as we've seen more accountability, as we've seen more spotlight on the Federal Reserve as an issue unto itself, we've seen Americans become really greatly in favor of not only auditing, but of reining in or abolishing the Federal Reserve.
[00:30:40.666 --> 00:30:51.073]  But counter to that, we've seen the Federal Reserve go on the offensive, trying to keep track of, quote, key bloggers on places like Facebook, and really trying to put out their counter-message.
[00:30:52.014 --> 00:30:53.255]  We don't want to be intimidated.
[00:30:53.295 --> 00:31:09.706]  We want to let people know that it's okay to go out there and speak for the First Amendment, and please address that and the fact that you said the police really need to remember to respect these protesters, because everyone, regardless of their point of view, has a right to voice what they think is going wrong in this country.
[00:31:11.121 --> 00:31:12.302]  This is the key battle.
[00:31:12.382 --> 00:31:16.185]  If you're afraid to step out now, then you're never going to step out.
[00:31:17.106 --> 00:31:22.190]  So you've got to get out there and not let yourself be intimidated.
[00:31:22.531 --> 00:31:31.138]  Because if you don't step out now and direct the energy that's out there towards the actual enemy, the Fed, if you don't do that, then you're not going to have a country.
[00:31:31.798 --> 00:31:33.480]  And so then what are you going to do?
[00:31:33.500 --> 00:31:34.180]  Where are you going to go?
[00:31:34.241 --> 00:31:34.581]  Canada?
[00:31:35.390 --> 00:31:39.013]  So, you know, be a man, be a woman, step up, do what you have to do.
[00:31:39.513 --> 00:31:44.998]  And yes, another fast factor of why we're going to be doing this as well is to defend the rights of the protesters.
[00:31:45.018 --> 00:31:47.039]  And we don't agree with a lot of what they're saying.
[00:31:47.059 --> 00:31:50.702]  A lot of things are coming out of these assemblies, you know, as a reflection of their education.
[00:31:51.322 --> 00:31:54.305]  We don't agree with those viewpoints, but still they have a right to free speech.
[00:31:54.685 --> 00:31:59.970]  And I think the pepper spraying on the street up there of the women who were just standing on the street corner was atrocious.
[00:32:00.290 --> 00:32:00.890]  They should sue.
[00:32:01.771 --> 00:32:05.815]  It's the same thing as when Rob Dew was arrested for the G20, just for being a journalist.
[00:32:06.235 --> 00:32:06.856]  It was wrong.
[00:32:06.936 --> 00:32:09.338]  That's why I'm helping with his lawsuit.
[00:32:09.538 --> 00:32:11.059]  You have to fight back against this stuff.
[00:32:11.219 --> 00:32:16.304]  We need to stand up for the rights of free speech and assembly for everybody, no matter what their political view.
[00:32:16.724 --> 00:32:17.964]  Well, Stuart, we're going to leave it there.
[00:32:17.984 --> 00:32:19.485]  We really appreciate you joining us.
[00:32:19.505 --> 00:32:25.967]  We're going to say goodbye right now, and we really hope that individuals, wherever you are, will go out to Fed locations.
[00:32:26.767 --> 00:32:30.849]  We take you now to Part 2 of the interview Alex conducted with G. Edward Griffin.
[00:32:30.869 --> 00:32:37.651]  We heard part of it last night, and we're going to show you the rest right now on the collectivist system and who's behind the banking powers.
[00:32:38.371 --> 00:32:40.492]  We're joined by G. Edward Griffin.
[00:32:41.072 --> 00:32:47.236]  We're about to conduct Part 2 of the interview that we aired Part 1 of on Wednesday.
[00:32:47.716 --> 00:32:49.077]  Again, it is October 7, 2011.
[00:32:51.658 --> 00:32:58.842]  While you're watching this news program, I'm actually in Dallas now, part of Occupy, the Fed movement that we've launched.
[00:32:59.202 --> 00:33:03.247]  So that the collectivists aren't able to demonize free market capitalism as the problem.
[00:33:03.287 --> 00:33:10.414]  We want to directly challenge the monopoly capitalists who are actually the enemies of the general public having property.
[00:33:10.835 --> 00:33:14.359]  They want a neo-feudalistic serf system and we talked about that.
[00:33:14.739 --> 00:33:21.443]  In part one of the interview posted at PrisonPlanet.tv and for the general public at the Alex Jones Channel on YouTube.
[00:33:21.483 --> 00:33:28.426]  But now we're going to get into solutions with G. Edward Griffin, but I also want to get into problem, reaction, solution.
[00:33:28.446 --> 00:33:29.987]  So we're going to cover that first.
[00:33:30.307 --> 00:33:30.867]  G. Edward,
[00:33:32.188 --> 00:33:33.169]  Fast and furious.
[00:33:33.329 --> 00:33:40.133]  Now we learn, it's more like Iran-Contra, I covered it earlier on the Wednesday show, where it's admitted that the U.S.
[00:33:40.153 --> 00:33:54.020]  government allows drugs to be shipped in by select cartels, then actually ships them the guns, doesn't just allow them to leave gun shops, and then gives it to cartels to wipe out their enemy, and then recycle the crisis and blame the Second Amendment for it.
[00:33:54.421 --> 00:33:56.822]  Now the Attorney General has been caught perjuring himself
[00:33:57.262 --> 00:34:00.666]  But I noticed that ISSA and others are saying come in and change your testimony.
[00:34:01.027 --> 00:34:16.905]  We understand it was a mistake because we've learned that Fast and Furious under another name is at least five and a half years old and goes back to the Bush administration allowing the Sinaloa cartel to bring in drugs in exchange for protection and guns to wipe out their enemies.
[00:34:17.165 --> 00:34:23.448]  And that is actually in Hawaiian papers, Texas papers, El Paso Times, but it's not getting national attention.
[00:34:23.768 --> 00:34:28.771]  I think this is one of the most red-handed examples of problem-reaction solution I've ever seen.
[00:34:28.811 --> 00:34:33.593]  So your view on Fast and Furious and how important problem-reaction solution has been in history.
[00:34:35.017 --> 00:34:58.058]  Well, it's certainly been important, hasn't it, Alex, in our history in America, because for many years, actually long before the first Bush administration, there have been forces within the United States government who have wanted to have an excuse to change the character of the government and the character of life in the United States.
[00:34:58.118 --> 00:34:59.739]  This goes back actually
[00:35:00.900 --> 00:35:02.361]  to the turn of the last century.
[00:35:03.282 --> 00:35:15.088]  You may be familiar, we came across the testimony of Norman Dodd, who was a chief investigator of the tax-exempt foundations shortly after the end of World War II.
[00:35:16.249 --> 00:35:34.517]  And his testimony was absolutely stunning, because he interviewed the heads of some of the largest tax-exempt foundations of the country at that time, and we're talking about the Carnegie Endowment Fund for International Peace, we're talking about the Ford Foundation, and the Rockefeller Foundations, and so forth, the big giants.
[00:35:35.237 --> 00:36:00.615]  And his testimony was startling because he found out that these foundations were deliberately spending huge amounts of money to create crises, to create conditions of chaos inside the United States as a stimulus to the American mind so that they would be willing to accept drastic changes in the way we live.
[00:36:01.175 --> 00:36:15.669]  Their goal, as expressed by, I think his name was Norman Gaither at the time, one of the big foundation heads, he said, Mr. Dodd, our instructions are, our motive, our goal is to change life inside the United States.
[00:36:16.249 --> 00:36:19.930]  So that it could be comfortably merged with the Soviet Union.
[00:36:19.950 --> 00:36:21.850]  Now this was his exact words.
[00:36:22.350 --> 00:36:24.951]  And Dodd said that he almost fell off his chair when he heard that.
[00:36:24.971 --> 00:36:36.994]  He said, how in the heck can anybody in their right mind expect to change life in the United States so that it could be merged with the Soviet Union and by inference with all of the other nations of the world, especially of them
[00:36:37.814 --> 00:36:37.874]  Yes.
[00:36:53.436 --> 00:37:00.178]  They'll be glad to do that if it's seen by them as a means of protecting them against a dreaded enemy of some kind.
[00:37:00.238 --> 00:37:08.181]  And so the Carnegie Endowment Fund and all these other groups decided that they would do everything they could to manipulate the United States into war.
[00:37:08.821 --> 00:37:19.372]  And to keep us in war for as long as possible, because under conditions of warfare, with a dreaded enemy always portrayed to us, we are in fact willing to give up all of those cherished things.
[00:37:19.392 --> 00:37:26.640]  Well, that was back in the 1940s that he discovered all of this, and now here it is, here it is 2011,
[00:37:28.702 --> 00:37:32.608]  And all of the things that Norman Dodd said that'll never happen.
[00:37:32.688 --> 00:37:34.530]  They could never bring about those changes.
[00:37:34.811 --> 00:37:35.652]  It's already happened.
[00:37:36.032 --> 00:37:45.105]  What's the difference between life in the United States today at a deep level and all of the totalitarian systems of the world?
[00:37:45.345 --> 00:38:07.260]  So little difference anymore and those differences are being whittled away as we speak so it's actually come to pass and as you say it's problem and it's solution you know it's we create a problem then we offer solution and then we move and that creates a problem in itself and we have another solution and each little step along the way moves us closer and closer to the ultimate goal.
[00:38:07.680 --> 00:38:23.150]  Well, the ultimate goal, as I've said before, is to change life inside the United States so it can be comfortably merged with all of the nations of the world, regardless of their sociological, economic, or political characteristics.
[00:38:23.651 --> 00:38:27.233]  To bring about this new world order, as they like to describe it.
[00:38:27.533 --> 00:38:28.634]  This is the goal.
[00:38:29.034 --> 00:38:36.379]  And it's the kind of a new world order that I'm sure most Americans would not like if they fully could understand it and perceive what it is.
[00:38:37.760 --> 00:38:39.441]  Yeah, it's a definite strategy.
[00:38:39.501 --> 00:38:40.161]  It's a tactic.
[00:38:40.201 --> 00:38:44.664]  It's not just happening by blind, random forces of history at all.
[00:38:45.084 --> 00:38:48.766]  It's been planned, and it's being executed in exactly that fashion.
[00:38:50.046 --> 00:38:53.828]  It certainly is, and we've got to counter them.
[00:38:53.848 --> 00:38:56.290]  I mean, never before has it been more obvious.
[00:38:57.273 --> 00:38:57.373]  Yes.
[00:39:17.679 --> 00:39:22.004]  I mean I see a lot of hope because people really are waking up quick.
[00:39:22.445 --> 00:39:23.847]  Those that can be reached.
[00:39:24.728 --> 00:39:34.760]  I mean I really see kind of a dichotomy or a paradox where either people are getting more into the trance and deeply asleep or they're getting more awake.
[00:39:34.800 --> 00:39:37.103]  So I see a clash coming.
[00:39:39.568 --> 00:39:41.549]  Well, you certainly are correct on that.
[00:39:42.150 --> 00:39:43.191]  Excuse me for my phone ringing.
[00:39:43.211 --> 00:39:46.213]  I keep putting it on hold, but it doesn't seem to stick.
[00:39:46.233 --> 00:39:47.013]  Hey, it's real.
[00:39:47.133 --> 00:39:48.074]  It's real, G. Eber.
[00:39:48.094 --> 00:39:48.514]  We love it.
[00:39:49.575 --> 00:39:50.156]  It's very real.
[00:39:50.656 --> 00:39:51.817]  My phone rings all the time here.
[00:39:51.837 --> 00:39:52.898]  I wish I could just unplug it.
[00:39:53.178 --> 00:39:56.300]  But anyway, where were we?
[00:39:56.800 --> 00:39:58.622]  I was getting into the fact that there's a clash of
[00:39:59.382 --> 00:40:00.903]  Oh yeah, the clash, of course.
[00:40:01.243 --> 00:40:08.728]  I think what we see is, on the encouraging side, we see a rising tide of public awareness.
[00:40:09.249 --> 00:40:10.290]  And that's very encouraging.
[00:40:10.310 --> 00:40:14.452]  But we also see on the other side a rising tide of totalitarianism.
[00:40:14.492 --> 00:40:16.934]  And these forces are rising at the same time.
[00:40:17.294 --> 00:40:22.898]  And it's sort of nip and tuck to see which one is going to overpower the other.
[00:40:23.278 --> 00:40:28.522]  I believe that the answer to that question will definitely be known
[00:40:29.242 --> 00:40:32.025]  Within our lifetime, certainly your lifetime, probably mine.
[00:40:32.325 --> 00:40:33.867]  In other words, it's not too far away.
[00:40:33.887 --> 00:40:35.148]  It's coming to a head.
[00:40:37.650 --> 00:40:41.554]  G. Edward, continuing along that line...
[00:40:43.447 --> 00:40:46.408]  The authoritarians, the collectivists, do know we're waking up to them.
[00:40:46.448 --> 00:40:49.049]  They admit that in their own Cass Sunstein White House memos.
[00:40:49.429 --> 00:40:50.010]  They're scared.
[00:40:50.050 --> 00:40:50.730]  They're concerned.
[00:40:50.750 --> 00:40:54.291]  And I think that's the most important message here, is that they're not all powerful.
[00:40:54.631 --> 00:40:55.712]  They can be beaten.
[00:40:56.112 --> 00:41:00.674]  They try to teach us that resistance is futile, like the corporate Borg in Star Trek.
[00:41:00.954 --> 00:41:07.917]  But every man, woman, and child, every religion, every race, every group out there needs to realize that every little thing they do
[00:41:09.284 --> 00:41:16.167]  Towards liberty and freedom and waking others up and resisting adds together to defeat the collectivist.
[00:41:16.628 --> 00:41:32.055]  So it's like our free will by doing little actions adds to a liberty collective and an individual collective that they can't track or control that is a cookie cutter that is going to defeat their Borg system.
[00:41:34.036 --> 00:41:53.133]  Well, I agree with that, and also there's another element, Alex, and you've heard me talk about it a lot, and that is that knowledge by itself, and even sheer numbers by themselves, as important as they are, are not as important as what you do with that knowledge and what positions those numbers hold, the people that represent those numbers.
[00:41:53.293 --> 00:41:55.735]  What positions do they hold in society?
[00:41:55.755 --> 00:41:56.876]  In other words, do they have power?
[00:41:57.757 --> 00:41:58.978]  Are they running things?
[00:41:59.058 --> 00:42:00.740]  Are they leaders?
[00:42:01.080 --> 00:42:02.702]  Do people follow them and listen to them?
[00:42:02.902 --> 00:42:05.124]  Or are they just sort of rank and file?
[00:42:05.745 --> 00:42:19.578]  And so one of my big themes with the organization that we founded called Freedom Force International is to motivate people to network together so that they can help each other come into positions of leadership and influence in society.
[00:42:19.618 --> 00:42:21.219]  We call it coming to power.
[00:42:21.900 --> 00:42:26.986]  Coming to power is more important than just knowing what's going on.
[00:42:27.006 --> 00:42:32.111]  I mean, you can watch what's going on and complain, wring your hands and say, oh my goodness, this is terrible.
[00:42:32.351 --> 00:42:33.473]  I wonder how it's going to turn out.
[00:42:33.493 --> 00:42:34.614]  Well, that's what the CFR is all about.
[00:42:37.717 --> 00:42:40.319]  As you know, British Intel set it up to take over the U.S.
[00:42:40.359 --> 00:42:51.929]  again in 1922, is they go out and recruit already prominent people and offer them more power to be part of this structure where they admit they're trying to create this continuity of agenda.
[00:42:52.249 --> 00:42:59.455]  And there's this idea that the establishment puts out that freedom fighters are supposed to live in a ditch, talk to people over at a tin can, and have no power.
[00:42:59.835 --> 00:43:00.716]  No, it's the opposite.
[00:43:00.756 --> 00:43:02.718]  We have to build media organizations.
[00:43:03.118 --> 00:43:04.659]  We have to give to Ron Paul.
[00:43:04.679 --> 00:43:06.040]  We have to give to Freedom Force.
[00:43:06.080 --> 00:43:08.862]  We have to give our time, our energy, spreading the word.
[00:43:09.363 --> 00:43:15.087]  We have to be strong so that we have the armaments in the Infowar to meet this enemy.
[00:43:15.107 --> 00:43:17.489]  And we've got to run for office.
[00:43:17.889 --> 00:43:24.194]  And even if you don't win the first three or four times, you are educating people through that process and spurring others.
[00:43:24.754 --> 00:43:26.755]  And I think that's been my greatest contribution.
[00:43:26.775 --> 00:43:32.536]  I would say that's probably been your greatest contribution, is that you have educated whole new generations of people that understand what's happening.
[00:43:32.917 --> 00:43:35.437]  I've interviewed people who go out and protest the Fed.
[00:43:35.457 --> 00:43:41.559]  You know, one guy with a baby carriage with his child in it, and the cops came out and harassed him the next time there were 200.
[00:43:41.899 --> 00:43:46.541]  Now there's thousands in New York showing up, and he's all over, you know, national TV now.
[00:43:47.701 --> 00:43:48.942]  I know I'm nothing special.
[00:43:49.282 --> 00:43:53.705]  I've experienced the power of the individual saying, I am not going to submit.
[00:43:54.125 --> 00:44:04.751]  And when you have the right information, the moral high ground, and you take action, and you attempt to build a structure or infiltrate their structure to destroy it, you're unstoppable.
[00:44:04.831 --> 00:44:08.493]  We can build liberty while sabotaging tyranny from within.
[00:44:09.755 --> 00:44:22.953]  Well, I agree with that totally, Alex, and one of the things we're doing in Freedom Force International is that we're offering a free trading program, and it's magnificent, on how to run for office and how to win.
[00:44:22.973 --> 00:44:24.956]  And we just started that about
[00:44:25.456 --> 00:44:26.197]  Four months ago.
[00:44:26.617 --> 00:44:34.122]  And already, we have people writing in and telling us, we're following your plan, and we have won elective positions in our local communities.
[00:44:34.422 --> 00:44:40.366]  We're talking about running for the school board, running for city hall, one fellow's running for mayor.
[00:44:41.046 --> 00:44:42.988]  These are little things, but it's just the beginning.
[00:44:43.328 --> 00:44:50.633]  And this is how individuals can leverage themselves and actually begin to take back the power centers of society.
[00:44:50.993 --> 00:45:06.738]  But you have to get off your couches, you have to go out in the streets, you have to go into the election polls, you have to go out there and campaign, you have to get away from the comfort zone that you live in, and go out where the people are, and offer your leadership.
[00:45:06.979 --> 00:45:19.883]  And that is beginning to happen, and this is the thing, if anything should scare the collectivists who have pretty much, they think they've got it locked down right now, if anything should scare them, I think it's that thing, that there are thousands or tens of thousands of little
[00:45:19.923 --> 00:45:23.766]  A couple of people coming up and saying, I'm just not going to sit here on the sidelines anymore.
[00:45:24.126 --> 00:45:28.509]  I'm going to reach for power and I'm going to knock some of these guys off of their pedestals.
[00:45:28.589 --> 00:45:31.211]  And in closing, very well said, something else happens.
[00:45:31.731 --> 00:45:36.035]  The tyrants in many cases will try to persecute good people for nothing.
[00:45:36.435 --> 00:45:38.877]  And that validates, wow, we've really got a tyranny.
[00:45:39.337 --> 00:45:43.420]  And other people around you will then see the tyranny and will join you.
[00:45:43.920 --> 00:45:46.741]  So a lot of us have to be martyrs in big ways and little ways.
[00:45:47.121 --> 00:45:50.082]  The tree of liberty has to be watered by the blood of patriots and tyrants.
[00:45:50.422 --> 00:45:53.803]  And it has to be watered with our sweat, our tears, our toil.
[00:45:54.184 --> 00:46:00.326]  And I can't think of anybody out there in the last five decades who's been toiling harder than you, G. Edward Griffin.
[00:46:00.646 --> 00:46:03.527]  God bless you, my friend, and thank you for spending so much time with us today.
[00:46:04.207 --> 00:46:06.648]  Thank you, Alex, and I'm with you all the way.
[00:46:07.657 --> 00:46:08.658]  We're all in this together.
[00:46:08.698 --> 00:46:10.559]  We'll all hang together or hang separate.
[00:46:11.060 --> 00:46:11.820]  We're out of time.
[00:46:12.701 --> 00:46:13.421]  Wish us well.
[00:46:13.682 --> 00:46:19.086]  Say a prayer for us at Occupy the Fed in Dallas, Houston, and San Antonio and other parts of the country.
[00:46:19.506 --> 00:46:21.828]  This mission's success is in your hands.
[00:46:22.328 --> 00:46:23.529]  So don't just say a prayer for us.
[00:46:23.909 --> 00:46:26.852]  Get out there and take right action against these tyrants.
[00:46:27.472 --> 00:46:28.773]  They are not invincible.
[00:46:28.813 --> 00:46:29.674]  In fact, they're weak.
[00:46:30.214 --> 00:46:32.716]  They are only empowered when we sit idle.
[00:46:33.437 --> 00:46:34.658]  Our weakness is their strength.
[00:46:34.798 --> 00:46:35.899]  Our strength is their defeat.
[00:46:36.499 --> 00:46:39.801]  We'll see you back, Lord willing, live this Sunday, 4 to 6 p.m.
[00:46:39.861 --> 00:46:42.723]  for the Sunday radio show and back Monday, 11 a.m.
[00:46:43.384 --> 00:46:46.967]  And there's free audio streams at Infowars.com if you don't have a local AMREF in your area.
[00:46:47.167 --> 00:46:50.029]  And then obviously here with Infowars Nightly News.
[00:46:50.049 --> 00:46:54.332]  I want to thank Aaron Dykes for doing the live part of the show earlier.
[00:46:54.952 --> 00:46:59.776]  And again, this was the second part of the interview I did on Wednesday with G. Edward Griffin.
[00:47:00.296 --> 00:47:02.618]  I'm Alex Jones signing off from the Infowar.
