[00:00:00.049 --> 00:00:01.415]  War on Corruption.
[00:43:04.958 --> 00:43:10.482]  You know, if they're on the internet, they read foreign press, they read sites that dig up the real news.
[00:43:11.863 --> 00:43:18.308]  You have to, in other words, it's a huge time and energy effort to get any idea of what's really going on.
[00:43:18.588 --> 00:43:19.649]  Most people can't do that.
[00:43:20.249 --> 00:43:24.432]  The other thing I think which has been controlling was they bought on to 9-11.
[00:43:25.493 --> 00:43:25.673]  Yeah.
[00:43:25.933 --> 00:43:33.720]  The minute you buy on the 9-11 you've accepted the premise for the police state, the warmonger state, the threats everywhere.
[00:43:34.460 --> 00:43:38.803]  And of course this serves the interests of the military security complex and they keep it alive.
[00:43:38.904 --> 00:43:49.171]  We see this with the FBI organizing fake terror plots so they can arrest some poor dude and scare the people further.
[00:43:49.932 --> 00:43:53.495]  So it's all a successful propaganda venture.
[00:43:53.715 --> 00:43:56.876]  But isn't it also, it's almost comedic.
[00:43:56.996 --> 00:43:58.636]  It is very clownish.
[00:43:58.696 --> 00:44:04.718]  It's like kindergartners playing with their imaginary friends and enemies.
[00:44:04.738 --> 00:44:08.799]  This is what the FBI is doing and the ATF running guns into Mexico.
[00:44:08.819 --> 00:44:12.160]  And the American people don't see it.
[00:44:12.300 --> 00:44:14.021]  How can they be so blind to it?
[00:44:14.061 --> 00:44:14.441]  I don't get it.
[00:44:15.839 --> 00:44:16.840]  And that's a good question.
[00:44:16.900 --> 00:44:18.922]  How can they be so blind?
[00:44:19.702 --> 00:44:25.707]  But they're losing their country, their liberty, the reputation of the country.
[00:44:25.827 --> 00:44:28.829]  And I think we're headed toward World War III.
[00:44:29.470 --> 00:44:34.834]  Because when you can so delude an entire population, supposedly a superpower,
[00:44:35.394 --> 00:44:37.916]  Supposedly the richest country in the world.
[00:44:37.956 --> 00:44:39.137]  The best educated.
[00:44:39.258 --> 00:44:45.323]  You know, the United States allegedly has 17 of the top universities in the world.
[00:44:45.983 --> 00:44:49.586]  And yet we have a population that can't perceive fraud, right?
[00:44:49.906 --> 00:44:51.328]  It's practiced on them daily.
[00:44:52.128 --> 00:44:53.089]  It's an amazing thing.
[00:44:53.149 --> 00:44:57.153]  I don't know the answer, but you can see what the consequences are dire.
[00:44:57.213 --> 00:44:58.234]  We now have a police state.
[00:44:59.134 --> 00:45:04.397]  And the police state, as you point out in your brilliant article, it's trickling down.
[00:45:04.457 --> 00:45:10.279]  Now everyone acts like they're running a torture chamber, even nursing homes.
[00:45:10.980 --> 00:45:15.922]  Oh yeah, yeah, just to give people some background about that article which I called trickle-down tyranny.
[00:45:16.562 --> 00:45:27.970]  That was about some waterboarding of an elderly woman, an 89-year-old woman in a nursing home was waterboarded by the staff in the nursing home over an argument about an ice cream sandwich.
[00:45:28.290 --> 00:45:29.010]  I believe it was.
[00:45:29.971 --> 00:45:30.752]  Ice cream, yeah.
[00:45:31.252 --> 00:45:32.132]  Yeah, ice cream.
[00:45:32.273 --> 00:45:32.933]  That's right.
[00:45:33.133 --> 00:45:34.294]  It's an extraordinary thing.
[00:45:34.374 --> 00:45:35.375]  We see the police.
[00:45:36.075 --> 00:45:46.402]  Gratuitous violence, piled on violence, over and over and over, spraying people in the face who are just sitting quietly with pepper spray, beating them with clubs.
[00:45:46.783 --> 00:45:50.585]  It's an amazing show of brutality and violence.
[00:45:50.766 --> 00:45:54.208]  Why aren't these police all arrested and on trial?
[00:45:54.548 --> 00:45:57.250]  The police don't have the right to abuse the public.
[00:46:00.052 --> 00:46:02.553]  Police have to follow the law like everyone else.
[00:46:02.573 --> 00:46:05.494]  When they violate the law, they should be arrested and held accountable.
[00:46:06.055 --> 00:46:06.715]  But they're not.
[00:46:07.295 --> 00:46:13.858]  And it's like you say, if you don't hold the President accountable when he violates the law, then you can't hold anybody else accountable.
[00:46:13.998 --> 00:46:15.539]  And everyone's finding that out.
[00:46:16.069 --> 00:46:16.709]  Well, that's the thing.
[00:46:16.789 --> 00:46:18.470]  No one should be above the law.
[00:46:18.530 --> 00:46:25.832]  The laws must apply equally to all people across the land, including the President, including the Congress, including law enforcement, especially law enforcement.
[00:46:26.272 --> 00:46:35.135]  But the greatest shift that I see here, that you've written about extensively, Paul, is that the government, quote, servants, now see themselves as rulers.
[00:46:35.615 --> 00:46:43.018]  They see themselves as tyrants, and so they act out on that self-image, and then the tyranny just begins to multiply.
[00:46:44.318 --> 00:46:46.119]  Whoa, what do you got going on back there?
[00:46:46.139 --> 00:47:00.947]  I've got two cats, and the little one thinks she's a leopard, and if the big one gets out of line, she lets them have it.
[00:47:01.107 --> 00:47:04.568]  I think you're having a little trickle-down feline tyranny back there in your own house.
[00:47:05.389 --> 00:47:10.031]  Hey, maybe Janet Napolitano should put a camera in your living room, just to make sure you're safe.
[00:47:10.591 --> 00:47:11.552]  They probably have one.
[00:47:13.991 --> 00:47:15.374]  No, but what do you think about this?
[00:47:15.814 --> 00:47:21.224]  The acting out of the self-image role of being a thuggish, tyrant ruler.
[00:47:21.264 --> 00:47:24.349]  And that's how many of these so-called servants now see themselves.
[00:47:25.356 --> 00:47:29.618]  Yes, well, as you and I both see, they're aristocrats.
[00:47:29.838 --> 00:47:37.401]  You remember the classic sort of protest of the unaccountability of the aristocrats?
[00:47:38.001 --> 00:47:51.227]  It's the story of the Duke's or the Earl's carriage being driven at great speed through the village and it runs down the children of the peasants in the streets and goes on off
[00:47:51.807 --> 00:47:53.629]  And nobody can do anything about it.
[00:47:53.649 --> 00:47:55.571]  Well, that's the kind of country we live in now.
[00:47:56.112 --> 00:48:07.224]  As long as the people doing the damage are in the security complex or high government leaders, they're untouchable.
[00:48:08.288 --> 00:48:09.429]  And it trickles down.
[00:48:09.449 --> 00:48:31.243]  I wrote a book, I think, maybe 12 years ago, that Oxford University Press published called The Capitalist Revolution in Latin America, and I quoted one of the ministers of one of the South American governments, and he said, if the minister lies and steals, by the time it trickles down to the bottom, his subordinates are raping and murdering.
[00:48:31.864 --> 00:48:32.424]  Yeah, right.
[00:48:32.965 --> 00:48:34.906]  Right, it sort of escalates on the way down.
[00:48:34.986 --> 00:48:36.027]  It goes down.
[00:48:36.983 --> 00:48:43.076]  You know, the notion of a nursing home waterboarding an 89 year old woman...
[00:48:44.622 --> 00:48:47.923]  You know, before today, who would have believed such a thing?
[00:48:48.103 --> 00:48:48.323]  No!
[00:48:48.943 --> 00:48:49.364]  Exactly!
[00:48:49.384 --> 00:48:56.626]  This is part of the... What I've tried to point out in that article is that it has infected the fabric of American culture.
[00:48:57.026 --> 00:49:13.592]  And you see this with shows like 24, with Kiefer Sutherland, who's a great actor, but I just don't agree with the message of the show, which was torturing everybody, even little children, I believe, to get answers out, because it was all justified under fighting terrorists and stopping some other violence.
[00:49:14.312 --> 00:49:16.014]  It's the culture now.
[00:49:16.714 --> 00:49:17.295]  It's the culture.
[00:49:17.315 --> 00:49:23.380]  And of course, it's all contrary to everything that experts know about torture.
[00:49:23.440 --> 00:49:25.081]  It never gets good information.
[00:49:25.661 --> 00:49:26.042]  That's right.
[00:49:26.062 --> 00:49:31.887]  The person being tortured simply tries to find out what the people torturing him want to know, and then he tells them.
[00:49:33.408 --> 00:49:34.369]  Yeah, what do you want to hear?
[00:49:34.589 --> 00:49:37.131]  What's it going to take to make the torture stop?
[00:49:37.151 --> 00:49:38.692]  Anything to stop the torture.
[00:49:38.972 --> 00:49:42.896]  And particularly seeing in Guantanamo, we now know for a fact
[00:49:43.777 --> 00:49:46.179]  That almost everyone there was totally innocent.
[00:49:46.359 --> 00:49:51.562]  They were people sold by warlords to the idiot Americans who paid a bounty for them.
[00:49:53.343 --> 00:50:00.308]  And so they ended up having to release almost all of the people after torturing them for five or six or seven years.
[00:50:01.089 --> 00:50:06.812]  So they were all totally innocent and yet they all were tortured all those years and no information came out.
[00:50:07.453 --> 00:50:07.773]  None.
[00:50:09.534 --> 00:50:10.975]  It's incredible, Paul.
[00:50:11.155 --> 00:50:12.516]  We've only got a minute left here.
[00:50:14.217 --> 00:50:16.259]  Can you stay with us after this break for a few more minutes?
[00:50:17.199 --> 00:50:17.640]  If you like.
[00:50:18.940 --> 00:50:25.245]  I'd really like to ask you a couple more questions, but quickly, as we go to break, where do you think this is heading?
[00:50:25.265 --> 00:50:36.352]  Has Ron Paul made his point and awakened enough people, or are we still muddling through la-la land of illusions and terrorism fantasies by the globalists?
[00:50:37.162 --> 00:50:41.505]  Yes, I don't think Ron Paul can awaken more than about 20% of the population.
[00:50:41.866 --> 00:50:44.187]  The rest of them, I think, are lost.
[00:50:45.008 --> 00:50:55.976]  And to answer the earlier question, to complete it, psychologically, many Americans think of themselves as, you know, the great people.
[00:50:56.036 --> 00:50:57.117]  Paul, stay with us.
[00:50:57.137 --> 00:51:02.261]  We've got to go to break right now, but we'll be right back with more from Paul Craig Roberts here on the Alex Jones Show.
[00:51:02.341 --> 00:51:02.962]  Stay right there.
[00:51:06.707 --> 00:51:11.708]  We all know that Berkey water purification systems are the most trusted name in water filtration.
[00:51:11.908 --> 00:51:21.050]  As an authorized Berkey dealer for over six years and serving thousands of satisfied customers, the Berkey guy offers amazing specials for Berkey water filtration systems.
[00:51:21.270 --> 00:51:35.312]  The Berkey light systems include a set of self-sterilizing and re-cleanable black purification elements that purify water by removing chlorine, pathogenic bacteria, cysts and parasites to non-detectable levels and remove harmful chemicals such as herbicides and pesticides.
[00:51:35.592 --> 00:51:43.544]  Order the Berkey Light System today, complete with two black Berkey elements for only $231, and the Berkey Guy will ship your order free of charge.
[00:51:43.744 --> 00:51:49.292]  With the purchase of a Berkey Light, the Berkey Guy is also offering a set of fluoride and arsenic filters for only $39.99.
[00:51:50.734 --> 00:51:52.856]  That's over 30% off the retail price.
[00:51:53.077 --> 00:51:53.998]  Call the Berkey guy at 1-877-886-3653.
[00:51:54.018 --> 00:51:54.278]  That's 1-877-886-3653.
[00:51:54.298 --> 00:51:55.399]  Or order online at GoBerkey.com.
[00:51:55.499 --> 00:51:56.520]  That's GoBerkey.com today!
[00:52:06.491 --> 00:52:07.752]  Hi, this is Alex Jones.
[00:52:07.792 --> 00:52:13.138]  Did you know that the global elite are now storing non-hybrid seeds in secret storage vaults near the Arctic Circle?
[00:52:13.378 --> 00:52:18.002]  Did you know that in a real meltdown, non-hybrid seeds could become more valuable than silver or gold?
[00:52:18.403 --> 00:52:18.803]  It's true.
[00:52:18.863 --> 00:52:23.448]  Seeds have outperformed even gold and silver before in this country, and it's possible they could even happen again.
[00:52:23.968 --> 00:52:28.651]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[00:52:29.192 --> 00:52:31.113]  They call it a Survival Seed Bank.
[00:52:31.493 --> 00:52:36.116]  And it can produce an endless supply of nutrient-dense food for you and your family.
[00:52:36.296 --> 00:52:37.197]  And here's the best part.
[00:52:37.417 --> 00:52:40.199]  These seeds have not been genetically modified in any way.
[00:52:40.479 --> 00:52:43.801]  And you actually get enough seeds to plant a full acre crisis garden.
[00:52:44.122 --> 00:52:46.943]  So visit them today at survivalseedbank.com.
[00:52:47.304 --> 00:52:49.185]  That's survivalseedbank.com.
[00:52:49.525 --> 00:52:50.446]  Or give them a call at 877-327-0365.
[00:52:54.088 --> 00:52:55.850]  That's 877-327-0365.
[00:52:58.311 --> 00:53:02.835]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
[00:53:03.155 --> 00:53:05.597]  This is Alex Jones for survivalseedbank.com.
[00:53:06.018 --> 00:53:10.621]  With new financial dominoes falling each day, do you know who really runs this country?
[00:53:10.921 --> 00:53:14.544]  This is Alex Jones with a special message about the gangster economy.
[00:53:14.824 --> 00:53:19.428]  Folks, if you're lucky enough to have a little money set aside for a rainy day, this could be the most
[00:53:19.528 --> 00:53:20.129]  That's right.
[00:53:20.209 --> 00:53:20.929]  Murdering your money.
[00:53:41.727 --> 00:53:44.090]  Learn how to beat the bad guys at their own game.
[00:53:44.571 --> 00:53:48.195]  Learn ingenious ways to profit in the new gangster economy.
[00:53:48.636 --> 00:53:51.359]  To read more about this amazing new book, don't wait.
[00:53:51.579 --> 00:53:53.361]  Go to gangster economy dot com.
[00:53:53.482 --> 00:53:55.324]  That's gangster economy dot com.
[00:53:55.704 --> 00:53:57.927]  Don't let the bad guys destroy your money.
[00:53:58.147 --> 00:54:00.050]  Go to gangster economy dot com.
[00:54:18.640 --> 00:54:21.342]  Welcome back, folks, to the Alex Jones Show!
[00:54:21.723 --> 00:54:26.807]  This is Mike Adams, the health ranger here, getting ready to fry a turkey.
[00:54:27.748 --> 00:54:30.610]  And we've got Paul Craig Roberts joining us by Skype.
[00:54:30.851 --> 00:54:32.872]  I am dressed in full fire gear.
[00:54:32.912 --> 00:54:34.193]  I've got Nomex gloves.
[00:54:34.253 --> 00:54:35.695]  I've got a fireman's helmet here.
[00:54:36.667 --> 00:54:37.428]  Yeah, you hear that?
[00:54:37.968 --> 00:54:43.512]  I've got fireproof goggles on, melt-proof goggles, and I've got a respirator on the floor.
[00:54:43.852 --> 00:54:45.293]  We're gonna cook a turkey, man!
[00:54:45.813 --> 00:54:48.395]  And we're gonna do it Janet Napolitano style.
[00:54:49.095 --> 00:54:59.623]  Yeah, because they put out a warning yesterday, an official tweet from the Department of Homeland Security that says, watch out Americans, your turkey might burn down your house if you cook it wrong.
[00:54:59.823 --> 00:55:01.204]  I am so happy
[00:55:01.824 --> 00:55:05.065]  That we're now getting recipe instructions from Janet Napolitano.
[00:55:05.505 --> 00:55:07.906]  How to make Ogre Pie, things like that.
[00:55:07.926 --> 00:55:12.607]  I can't wait to see what the Christmas recipes are going to be from Janet Napolitano.
[00:55:13.008 --> 00:55:16.349]  But Paul, if you'll stay with us for a second, I want to ask your reaction on this.
[00:55:16.389 --> 00:55:26.392]  But for those watching on PrisonPlanet.TV, let's go to the video and show the fireman cooking a turkey and showing you how dangerous it is and how it might burn down your house.
[00:55:26.492 --> 00:55:26.932]  Go to that.
[00:55:28.271 --> 00:55:33.122]  Tested several models of deep fat turkey fryers and find that this method of cooking can be very hazardous.
[00:55:33.843 --> 00:55:35.928]  Looks like our partially frozen turkey is ready.
[00:55:35.948 --> 00:55:38.894]  Here they go!
[00:55:42.251 --> 00:55:46.834]  Showing a big turkey cooking deep fryer sitting on a wooden deck.
[00:55:47.094 --> 00:55:50.857]  Now they've got a fireman there with a full helmet, full respirator, Nomex hood.
[00:55:51.197 --> 00:55:54.199]  He's walking up with his fireman boots and he's got a turkey in his hands.
[00:55:54.219 --> 00:55:57.521]  Oh my god, he's taking the lid off the turkey cooking device.
[00:55:57.701 --> 00:55:59.622]  He's gonna drop the turkey down into it!
[00:55:59.943 --> 00:56:00.683]  Oh my god!
[00:56:01.063 --> 00:56:02.384]  There's fire everywhere!
[00:56:02.764 --> 00:56:04.145]  Flames everywhere!
[00:56:04.806 --> 00:56:06.307]  It's burning up the turkey!
[00:56:06.687 --> 00:56:07.788]  It's burning up the deck!
[00:56:10.049 --> 00:56:12.973]  I've never seen such kitchen terror in my life!
[00:56:12.993 --> 00:56:14.075]  It's catching on fire!
[00:56:16.818 --> 00:56:18.899]  Alright, now they're giving you the safety rundown.
[00:56:19.019 --> 00:56:19.860]  Oh, man.
[00:56:19.920 --> 00:56:22.181]  Are they going to tip it over?
[00:56:22.341 --> 00:56:22.521]  Ow!
[00:56:23.122 --> 00:56:25.843]  The oil just came out.
[00:56:25.983 --> 00:56:28.064]  It's a dangerous cooking device.
[00:56:28.465 --> 00:56:29.245]  Alright, enough of that.
[00:56:29.325 --> 00:56:30.146]  Enough of that video.
[00:56:30.746 --> 00:56:31.606]  It's getting hot in here.
[00:56:31.626 --> 00:56:33.227]  Alright, I'm going to take all this gear off.
[00:56:33.988 --> 00:56:42.613]  Look, I don't mean to make light of kitchen cooking accidents because you can have fires in the kitchen and you should have a fire extinguisher in the kitchen.
[00:56:43.453 --> 00:56:44.954]  Cook with Nomex gloves like these, huh?
[00:56:45.274 --> 00:56:48.156]  Little Nomex gloves, terror grip gloves.
[00:56:49.697 --> 00:56:51.118]  But isn't this getting ridiculous?
[00:56:51.638 --> 00:56:58.243]  Where the Department of Homeland Security is now telling us what to cook, or how to cook things?
[00:56:59.420 --> 00:57:00.421]  I mean, it's crazy.
[00:57:00.481 --> 00:57:03.282]  Alright, Paul Craig Roberts, thanks for bearing with me on that.
[00:57:03.823 --> 00:57:05.524]  I'm taking off all the fire gear now.
[00:57:05.564 --> 00:57:07.165]  What do you think about all that video stuff?
[00:57:07.985 --> 00:57:19.632]  Well, it didn't come through, but I could hear it, and I suspect that very soon the Department of Homeland Security will declare turkey cookers to be terrorist devices.
[00:57:20.233 --> 00:57:21.894]  And if you have one, you'll be arrested.
[00:57:22.274 --> 00:57:25.396]  It'll be proof that you are planning a terrorist act.
[00:57:27.325 --> 00:57:28.646]  Oh, well, it's hard to say.
[00:57:28.666 --> 00:57:31.588]  They're going to come up with all kinds of new things to scare us with.
[00:57:32.028 --> 00:57:39.273]  It just seems like the overriding theme of everything they put out there is be afraid, spy on your neighbor, be paranoid.
[00:57:39.673 --> 00:57:42.375]  Isn't this the opposite of what they should be teaching people?
[00:57:42.916 --> 00:57:43.176]  Really?
[00:57:44.397 --> 00:57:45.958]  Especially when there's no threat.
[00:57:46.906 --> 00:58:01.282]  You know, what terrorist threat have we suffered other than 9-11 and there's a great deal of dissent that this was actually done by the Saudi Arabians from Iraq.
[00:58:02.183 --> 00:58:04.866]  All the others are staged by the FBI.
[00:58:05.026 --> 00:58:06.508]  There are no other terrorists
[00:58:10.812 --> 00:58:19.477]  And yet, we have this huge department that I think consumes $80 billion a year, and which is now stopping traffic on the nation's highways.
[00:58:19.738 --> 00:58:19.978]  Right.
[00:58:20.178 --> 00:58:21.419]  Thanksgiving Day traffic.
[00:58:23.860 --> 00:58:31.265]  So bureaucracies always grow as rapidly and extend their jurisdiction as far as they can.
[00:58:31.606 --> 00:58:32.306]  Alright.
[00:58:33.047 --> 00:58:36.149]  Paul Craig Roberts, I'm sorry to interrupt, I want to thank you for joining us today.
[00:58:36.909 --> 00:58:38.190]  This has been a great segment with you.
[00:58:38.470 --> 00:58:44.335]  This is Mike Adams starting brush fires in the minds of men and having the gear to put them out later on.
[00:58:44.355 --> 00:58:44.855]  Stay with us.
[00:58:44.875 --> 00:58:45.516]  We'll be right back.
[00:58:49.139 --> 00:58:53.102]  This is GCN, the Genesis Communications Radio Network.
[00:58:57.737 --> 00:59:02.040]  Alex Jones here with vital information concerning our nation's fragile food supply.
[00:59:02.421 --> 00:59:08.285]  Folks, there are some truly dangerous trends forming, and I think it's important for my listeners to do three things right away.
[00:59:08.866 --> 00:59:10.607]  Number one, study the past.
[00:59:11.148 --> 00:59:12.889]  History really does repeat itself.
[00:59:13.530 --> 00:59:17.253]  Number two, learn to spot the dangerous food shortage trends.
[00:59:18.382 --> 00:59:20.644]  Number three, take decisive action.
[00:59:21.464 --> 00:59:24.727]  A perfect storm is brewing, or a global food crisis.
[00:59:25.307 --> 00:59:30.030]  That's why I'm telling everyone to read the new book, Rising Prices, Empty Shelves.
[00:59:30.351 --> 00:59:33.813]  Warning signs that trigger the deadliest famines in history.
[00:59:34.373 --> 00:59:37.235]  Don't get caught unprepared when the crisis hits.
[00:59:37.776 --> 00:59:41.418]  This book is only available at risingpricesemptyshelves.com.
[00:59:42.239 --> 00:59:46.503]  You'll also get a free copy of Supermarket Survival, How to Cut Your Grocery Bills in Half.
[00:59:47.184 --> 00:59:51.308]  Again, that website is risingpricesemptyshelves.com.
[00:59:51.809 --> 00:59:54.591]  That's risingpricesemptyshelves.com.
[00:59:59.516 --> 01:00:01.438]  Waging war on corruption.
[01:00:01.899 --> 01:00:04.682]  Alex Jones on the GCM Radio Network.
[01:00:11.192 --> 01:00:15.377]  Big Brother, Mainstream Media, Government Cover-Ups.
[01:00:16.038 --> 01:00:16.839]  You want answers?
[01:00:17.620 --> 01:00:18.542]  Well, so does he.
[01:00:19.162 --> 01:00:22.787]  He's Alex Jones on the GCN Radio Network.
[01:00:23.348 --> 01:00:27.433]  And now, live from Austin, Texas, Alex Jones.
[01:00:30.799 --> 01:00:32.280]  We survived it, folks.
[01:00:32.441 --> 01:00:36.424]  The possible firestorm caused by cooking a turkey.
[01:00:37.265 --> 01:00:40.768]  I want to thank Paul Craig Roberts, who just joined us in the last segment.
[01:00:40.788 --> 01:00:43.050]  I apologize for cutting him off there.
[01:00:43.110 --> 01:00:44.812]  Sometimes when you're going to break, you gotta do that.
[01:00:44.852 --> 01:00:48.135]  But Paul Craig Roberts, one of, one of, personally,
[01:00:48.735 --> 01:00:56.639]  The people that I admire the most as a writer and a thinker and an analyst, every time I read his articles I learn something new and quite profound.
[01:00:56.719 --> 01:00:59.060]  So be sure to check out his information.
[01:00:59.080 --> 01:01:01.901]  Is there a website, guys, for Paul Craig Roberts that we should give out?
[01:01:02.082 --> 01:01:02.422]  Let me know.
[01:01:04.043 --> 01:01:06.064]  Moving on, turkey frying terror.
[01:01:06.084 --> 01:01:10.806]  I thought, you know, in this segment here we'd have just a bit of a comedic relief.
[01:01:12.145 --> 01:01:17.808]  What about seven other foods that Janet Napolitano thinks might be tools of terrorism, huh?
[01:01:18.068 --> 01:01:32.774]  Hey, if deep-frying a turkey is so dangerous that they have to issue an official tweet about it, maybe there are some other weapons of mass convection, that's your oven convection, that we should be concerned about.
[01:01:32.814 --> 01:01:38.057]  Now, I have six, and I'm challenging the crew back there to come up with the seventh.
[01:01:38.157 --> 01:01:38.577]  You got it?
[01:01:38.757 --> 01:01:39.678]  You gotta come up with the seventh.
[01:01:39.738 --> 01:01:40.078]  Here we go.
[01:01:41.181 --> 01:01:44.323]  Seven other foods that could be tools of terrorism.
[01:01:45.283 --> 01:01:47.084]  Number one, of course, would be human breast milk.
[01:01:48.065 --> 01:01:49.405]  They already think that's terrorism.
[01:01:49.425 --> 01:01:51.807]  That's why they have infiltrators.
[01:01:52.587 --> 01:01:53.307]  Yeah, that's a good word.
[01:01:53.387 --> 01:01:54.148]  Infiltrators.
[01:01:54.668 --> 01:01:59.631]  And spies who are going out and trying to arrest people who are buying and selling and transporting raw milk.
[01:01:59.711 --> 01:02:00.471]  And why is it dangerous?
[01:02:00.811 --> 01:02:02.232]  Oh, because it's not pasteurized.
[01:02:02.993 --> 01:02:03.453]  It's alive.
[01:02:04.898 --> 01:02:09.483]  Of course, we've got these suggestions, by the way, were from the Natural News Facebook fan page.
[01:02:09.783 --> 01:02:12.005]  So I want to thank those fans for their little contributions.
[01:02:12.886 --> 01:02:19.612]  They gave me the idea of baked beans because they produce flammable gases, which are illegal to carry on an airplane, by the way.
[01:02:20.173 --> 01:02:23.536]  So that could be a weapon of terrorism very soon.
[01:02:23.997 --> 01:02:28.721]  Microwavable popcorn because it explodes and it sounds like gunfire.
[01:02:29.582 --> 01:02:32.584]  You microwave popcorn, you could get a visit from DHS.
[01:02:33.525 --> 01:02:35.266]  How about that Velveeta cheese?
[01:02:35.767 --> 01:02:35.947]  Hmm?
[01:02:36.768 --> 01:02:38.069]  Because you can't identify it.
[01:02:38.089 --> 01:02:39.310]  It has no biometrics.
[01:02:39.350 --> 01:02:41.531]  Nobody knows what it's really made of.
[01:02:42.112 --> 01:02:42.812]  Kind of a mystery.
[01:02:42.832 --> 01:02:46.595]  We're not even sure if it has a genetic code, so we don't know if it's GMO or not.
[01:02:46.935 --> 01:02:47.416]  Big mystery.
[01:02:48.710 --> 01:02:49.770]  Uh, deviled eggs.
[01:02:50.551 --> 01:02:50.811]  Yep.
[01:02:51.071 --> 01:02:52.471]  Because, of course, the devil's in them.
[01:02:53.071 --> 01:02:53.611]  Deviled eggs.
[01:02:54.451 --> 01:02:55.332]  Uh, green peas.
[01:02:55.892 --> 01:02:59.593]  That could be another food of tremendous terror.
[01:03:00.033 --> 01:03:00.273]  Why?
[01:03:00.533 --> 01:03:01.093]  Why, you ask?
[01:03:01.133 --> 01:03:06.575]  Well, obviously because the Department of Homeland Security doesn't want anything resembling world peas.
[01:03:08.535 --> 01:03:11.176]  Bad humor on this Thanksgiving holiday.
[01:03:11.536 --> 01:03:12.076]  Thank you, guys.
[01:03:12.096 --> 01:03:14.417]  Alright, what's your suggestion, guys?
[01:03:14.437 --> 01:03:16.077]  You got a food?
[01:03:18.550 --> 01:03:21.954]  Vitamin C. How could that be a terror weapon?
[01:03:22.014 --> 01:03:27.060]  Vitamin C. Because it lets you see things that you're not supposed to see.
[01:03:27.921 --> 01:03:28.662]  I got you.
[01:03:28.822 --> 01:03:29.343]  You're good.
[01:03:29.523 --> 01:03:29.944]  Okay.
[01:03:30.584 --> 01:03:34.669]  That was from the InfoWars staff behind the curtain right back there.
[01:03:35.717 --> 01:03:38.999]  Yeah, I hope you're staying entertained and informed at the same time.
[01:03:39.679 --> 01:03:43.761]  Our focus here is to, of course, give you a little bit of both.
[01:03:44.481 --> 01:03:55.446]  But this reminds me, oh, no, here's a quote from someone on the Facebook page who was reacting to this news that DHS put out this tweet about the dangers of frying turkey.
[01:03:55.787 --> 01:03:59.748]  And I'm bleeping out the profanity here, so it's clean, okay?
[01:03:59.788 --> 01:04:00.669]  It's okay for radio.
[01:04:02.162 --> 01:04:17.332]  This person says, quote, they're only dangerous, talking about the turkey, the turkeys being dropped into the fryers, they're only dangerous because bleeping idiots think they can throw frozen bleep into a vat of boiling bleep on top of an open flame and that everything will be okay.
[01:04:17.352 --> 01:04:20.635]  Yeah, he's got a point, right?
[01:04:21.786 --> 01:04:24.408]  Think about the laws of physics when you do this stuff.
[01:04:25.909 --> 01:04:33.714]  There is an open flame, it can tip easily, there's hot oil, and you shouldn't just throw something frozen in there.
[01:04:33.974 --> 01:04:38.457]  Alright, but this also brings me to a quote from Thomas Jefferson, which will take us to break.
[01:04:54.750 --> 01:04:56.874]  Vitamin C something say something!
[01:04:56.914 --> 01:05:00.158]  That's the winning entry in the Terror Food Alert!
[01:05:00.559 --> 01:05:02.101]  Vitamin C something say something!
[01:05:02.121 --> 01:05:03.584]  We'll be right back on the Alex Jones Show!
[01:05:03.604 --> 01:05:04.104]  Stay with us!
[01:05:06.463 --> 01:05:07.624]  A very wealthy U.S.
[01:05:07.644 --> 01:05:14.308]  citizen is predicting that in 2011, we will witness the most important day in America in more than 50 years.
[01:05:14.568 --> 01:05:16.849]  He says it will change everything about our lives.
[01:05:17.130 --> 01:05:22.313]  The way you shop, travel, invest, educate your children, and even how you take care of your health and your own family.
[01:05:22.493 --> 01:05:25.274]  Now this man has made some outrageous predictions over the years.
[01:05:25.555 --> 01:05:27.596]  The crazy part is, he's usually right.
[01:05:27.856 --> 01:05:33.780]  You see, he predicted the collapse of GM, Fannie Mae, Freddie Mac, and America's biggest mall owner, General Growth Properties.
[01:05:34.100 --> 01:05:37.302]  In fact, Barron's called his work a dire prophecy.
[01:05:37.482 --> 01:05:43.006]  Recently, he created a video, which you can watch online for free, detailing his biggest and most important prediction yet.
[01:05:43.266 --> 01:05:44.567]  And it's a real eye-opener.
[01:05:44.907 --> 01:05:46.128]  I can't stress this enough.
[01:05:46.208 --> 01:05:48.749]  You should at least watch this free video online today.
[01:05:48.870 --> 01:05:52.932]  He explains everything you need to know, including simple steps you can take to protect yourself.
[01:05:53.112 --> 01:05:55.134]  You can find the video at www.
[01:05:55.894 --> 01:05:57.595]  End of America 3.com.
[01:05:57.715 --> 01:06:00.156]  That's End of America, the number 3.com.
[01:06:00.296 --> 01:06:03.998]  Watch the free video at www.endofamerica3.com.
[01:06:04.158 --> 01:06:05.859]  That's endofamerica3.com.
[01:06:06.059 --> 01:06:11.822]  Hey folks, this is Crazy Melvin for eFoods Direct and I'm slashing prices to get you the best deals on your food supply!
