[00:00:01.291 --> 00:00:05.912]  Here is our sit-down interview with Joel Skousen, editor of World Affairs Brief.
[00:30:10.185 --> 00:30:12.867]  He does not know that there is a control system.
[00:30:14.648 --> 00:30:18.271]  And thus, if he were to be elected, he would see too much.
[00:30:19.400 --> 00:30:28.403]  He would see too much of the dark side operating, especially as he would say, no, we're not going to do this to his advisors and advisors say, oh, we've got a problem.
[00:30:28.603 --> 00:30:29.904]  The president doesn't want to do this.
[00:30:29.924 --> 00:30:30.984]  We're going to have to lean on him.
[00:30:31.685 --> 00:30:33.665]  They don't want to have to lean on a president.
[00:30:33.725 --> 00:30:37.647]  The last time they had to do that was Ronald Reagan, who was not part of the system.
[00:30:38.697 --> 00:30:46.786]  They felt like they could deal with him because they got an agreement to accept George Bush as his vice president, who would essentially control the Reagan presidency.
[00:30:47.507 --> 00:30:50.290]  But nevertheless, in meetings, Reagan didn't want to go along.
[00:30:50.350 --> 00:30:53.793]  He was resisting, and they got together and decided they had to lean on him.
[00:30:54.514 --> 00:30:57.336]  And eventually they had to throw an assassination attempt at him.
[00:30:57.517 --> 00:30:59.338]  And after that, he was much more compliant.
[00:30:59.758 --> 00:31:02.000]  And his wife, Nancy, was especially compliant.
[00:31:02.420 --> 00:31:09.806]  In fact, got into astrology and many other things to try to ward off this evil of the assassination against Ronald Reagan.
[00:31:11.548 --> 00:31:20.175]  So it's very important for conservatives to understand of those who are parroting the establishment line, who's part of it and who's not part of it.
[00:31:21.479 --> 00:31:26.202]  Now, of those who are part of it, let me run down the four major classifications which I view.
[00:31:27.282 --> 00:31:32.285]  One, there are those that know there's a control system but have been told or think that it's benevolent.
[00:31:33.365 --> 00:31:36.787]  These are what Stalin and Lenin used to call the useful idiots.
[00:31:37.908 --> 00:31:50.495]  These are the people who simply will not see because they want to please so much, but they actually have seen enough to know that there is a control system, but they've decided, it's benevolent, I'm not going to buck it.
[00:31:51.482 --> 00:31:52.443]  And they go along with it.
[00:31:53.243 --> 00:31:59.548]  The second level are the people, and I'm going to reverse these, that's really what I would consider the fourth level.
[00:31:59.588 --> 00:32:01.870]  The first level are the real controllers themselves.
[00:32:02.331 --> 00:32:06.614]  A lot of people say, you know, who are the real people behind the scenes?
[00:32:06.694 --> 00:32:07.835]  Who are pulling the strings?
[00:32:08.435 --> 00:32:09.696]  Well, I think we know a few of them.
[00:32:09.736 --> 00:32:13.339]  But remember, it's not important to know who's at the top level.
[00:32:15.201 --> 00:32:20.545]  Because in the first place, they're not about to give you the ammunition to allow you to throw them into jail.
[00:32:21.991 --> 00:32:24.937]  They don't normally take any positions of power openly.
[00:32:25.518 --> 00:32:26.821]  They stay behind the scenes.
[00:32:27.482 --> 00:32:28.504]  They are all wealthy.
[00:32:29.226 --> 00:32:31.951]  They all have a hidden power.
[00:32:33.055 --> 00:32:44.599]  They've all had somewhat productive lives in either big business or in international banking, and I can name a few that I know not from absolute knowledge but from induction.
[00:32:44.699 --> 00:32:52.202]  You can induce from a variety of patterns of activity who has to be very high in a controlling estimate.
[00:32:52.262 --> 00:32:55.663]  I'll put David Rockefeller, for example, very high on the left.
[00:32:56.084 --> 00:32:56.804]  How do I know that?
[00:32:57.324 --> 00:32:59.565]  Well, he actually has admitted in a book
[00:33:00.225 --> 00:33:08.609]  Fairly recently, that if there is a New World Order conspiracy to do this, and I've been accused of this, then I freely mean I do want a New World Order.
[00:33:08.909 --> 00:33:09.109]  All right.
[00:33:09.969 --> 00:33:13.351]  That doesn't say that he's controlling in a satanic or evil sense.
[00:33:13.371 --> 00:33:14.712]  He has not admitted to that.
[00:33:15.412 --> 00:33:20.574]  I think there is an ultimate satanic criteria involved in getting to the highest levels.
[00:33:21.655 --> 00:33:25.216]  However, there's other indications that Rockefeller is part of it.
[00:33:25.536 --> 00:33:26.117]  For example,
[00:33:27.230 --> 00:33:38.454]  In previous administrations, he has showed up even during the Ronald Reagan administration, he showed up at a White House economic dinner of which he was not invited.
[00:33:39.494 --> 00:33:54.740]  Now, how do you walk into the White House to a special dinner, which everyone is by invitation only, council of economic advisors and 20 or 30 other people, and he walks in and sits down to a table by Robert McNamara.
[00:33:56.038 --> 00:34:04.064]  And he's overheard saying to them, by a personal friend of mine, so I know this is accurate, he was overheard saying to Robert McNamara, who was head of the World Bank by then.
[00:34:04.665 --> 00:34:13.732]  Remember, Robert McNamara was part of John F. Kennedy's whiz kids, and he was Secretary of Defense, then moved on up to be World Bank.
[00:34:14.673 --> 00:34:19.697]  And he was overheard saying to Robert McNamara, remember Bob, don't say anything more or less than what I told you.
[00:34:20.862 --> 00:34:27.844]  So here's David Rockefeller walking in uninvited into the White House and giving orders to the person who's head of the World Bank.
[00:34:29.284 --> 00:34:32.005]  Now that tells me something about the level of control.
[00:34:32.145 --> 00:34:38.827]  And he said his phrase in the sense that, remember, don't do anything more or say anything more or less than what I told you.
[00:34:39.347 --> 00:34:42.187]  That indicates I'm in a position of power above you.
[00:34:43.708 --> 00:34:44.108]  And he is.
[00:34:45.851 --> 00:34:56.917]  Now another example is Dwayne Andreas of Archer's Daniel Midland, a major international agricultural company very much involved in promoting Red China.
[00:34:59.494 --> 00:35:01.236]  And Russia and other things.
[00:35:01.276 --> 00:35:02.917]  And this is very typical of globalists.
[00:35:03.457 --> 00:35:12.866]  Globalists are promoting and shielding Russia and China from criticism so that they can grow in power militarily and influence within the world.
[00:35:13.166 --> 00:35:15.148]  That's part of the Hegelian dialectic.
[00:35:15.688 --> 00:35:16.689]  He was on a golf course.
[00:35:16.789 --> 00:35:18.731]  Once again a personal friend told me this.
[00:35:18.811 --> 00:35:21.353]  He was playing on the same green with them.
[00:35:21.413 --> 00:35:26.397]  He was arguing with his golfing partner about who was going to be the
[00:35:27.398 --> 00:35:29.939]  The next Republican nominee for president.
[00:35:30.019 --> 00:35:33.300]  And this was, uh, uh, during the Clinton administration.
[00:35:35.141 --> 00:35:40.582]  And finally the guy was giving him all the reasons why such and such a person was going to be the Republican nominee.
[00:35:40.663 --> 00:35:47.125]  And, and Andreas finally shut him off and said, uh, listen, it's going to be George W. Bush.
[00:35:47.585 --> 00:35:49.025]  And let's not argue him any more about it.
[00:35:49.265 --> 00:35:56.528]  He said it was such finality that this, my friend who was listening on realized this person knew.
[00:35:57.759 --> 00:36:01.963]  This person was an insider sufficiently open to the Kingmakers.
[00:36:02.604 --> 00:36:06.228]  And this was before George Bush was even close to gaining the nomination.
[00:36:07.029 --> 00:36:13.476]  He was just in that list of people who the media was putting out was going to be potential runners.
[00:36:13.956 --> 00:36:20.163]  So these are things which let me indicate that people are on the inside at a very, very high level.
[00:36:21.243 --> 00:36:28.888]  Now the second level under these top level controllers, once let me go back, it doesn't really matter who's at top.
[00:36:29.509 --> 00:36:37.715]  What we have to understand that there is a control system and that certain people are taking orders down below and we can see the orders coming down.
[00:36:38.275 --> 00:36:44.119]  We can see the pattern of control coming down and so we know it has to be controlled from someone up above.
[00:36:44.720 --> 00:36:45.800]  So it isn't necessarily
[00:36:46.681 --> 00:36:54.205]  It's important that we find out who they are because I don't think there's any way to prosecute them for being in that position unless you find them something illegal.
[00:36:54.965 --> 00:37:13.014]  But it's important to watch how those orders roll downhill and who is taking the orders because at some point we do have the right to unelect people who are taking the orders and we want to be able to find out who's doing it because some of those people who are taking orders will appear
[00:37:14.195 --> 00:37:15.437]  To be on our side.
[00:37:16.038 --> 00:37:17.741]  And that's what we have to be careful of.
[00:37:19.364 --> 00:37:20.887]  So for example, at the second level.
[00:37:21.923 --> 00:37:27.048]  We have people like Henry Kissinger, Brent Scowcroft, Strobe Talbot, Sandy Berger.
[00:37:27.788 --> 00:37:34.534]  These are people who are actually involved in the planning and implementation of conspiratorial endeavors.
[00:37:34.975 --> 00:37:38.678]  Henry Kissinger undermining Taiwan, undermining Vietnam.
[00:37:39.199 --> 00:37:40.620]  We won the war in Vietnam.
[00:37:40.640 --> 00:37:46.005]  We actually, the bombing brought North Vietnam to the table and Henry Kissinger gave it away.
[00:37:47.461 --> 00:38:02.725]  And part of the deal in giving it away was that he was going to allow South Vietnam to come under Vietnam, but you have to give us, he said, three or four years so that we don't look like we're guilty of having given it away so soon.
[00:38:02.945 --> 00:38:07.326]  And they did give them three or four years before they invaded South Vietnam and captured it.
[00:38:07.966 --> 00:38:12.087]  They also agreed in secret talks, Henry Kissinger did, to allow Red China to
[00:38:14.255 --> 00:38:17.478]  Ascend to the seat held by Taiwan as a representative of China.
[00:38:17.598 --> 00:38:19.700]  All of that was negotiated for in secret.
[00:38:20.541 --> 00:38:25.705]  So Henry Kissinger is part of this second level, and I personally think that he's now part of the top level.
[00:38:26.326 --> 00:38:30.810]  I think he's moved up, but at that time he was a second level implementer and planner.
[00:38:31.530 --> 00:38:32.551]  Zbigniew Brzezinski.
[00:38:32.791 --> 00:38:37.015]  Now this is very interesting that these people play Team A and Team B tactics.
[00:38:37.535 --> 00:38:38.817]  In other words, Brzezinski went over
[00:38:40.017 --> 00:38:48.281]  Instead of playing for the Republican side, he was playing, as he did before, during Jimmy Carter as his advisor, advising the Democratic side.
[00:38:49.501 --> 00:38:58.425]  It's interesting, when they position themselves to switch sides, they start recanting previous positions that they have taken previously in other writings and other books.
[00:38:59.265 --> 00:39:07.269]  Zbigniew Brzezinski, for example, was a great apologist for the Soviet Union, was always trying to make the case that the Soviet Union was never as dangerous as it was.
[00:39:08.189 --> 00:39:14.655]  And then when he got out and began to, you know, and it became very dangerous, he started to recant.
[00:39:14.776 --> 00:39:20.781]  Then he changed, once the phony fall of the Soviet Union had gone into position, he changed his position again.
[00:39:23.024 --> 00:39:28.709]  So these are people in the second level who are very, very dangerous.
[00:39:28.989 --> 00:39:30.971]  The third level is the largest level.
[00:39:31.011 --> 00:39:32.172]  These are the useful
[00:39:33.470 --> 00:39:37.734]  Hired guns, hacks, shills for the government.
[00:39:37.954 --> 00:39:43.258]  These are people who have one unique characteristic besides the fact that they know there's a control system.
[00:39:44.119 --> 00:39:45.260]  They have been corrupted.
[00:39:47.045 --> 00:39:55.190]  Now the fourth level down there, the useful idiots who know their control system but they've been told it's benevolent, they're naive enough to believe that.
[00:39:55.790 --> 00:40:05.997]  You can take a lot of good people who are predictable academics, who are predictable liberals, you can put them into position, you don't have to tell them there's a conspiracy, they'll do their liberal thing and they'll get the job done.
[00:40:06.917 --> 00:40:11.499]  They see enough sometimes to know somebody's controlling things, but they wipe it out.
[00:40:11.539 --> 00:40:12.840]  They want to stay in position.
[00:40:12.880 --> 00:40:14.020]  They don't want to buck the system.
[00:40:14.040 --> 00:40:15.221]  They don't want to lose their job.
[00:40:16.161 --> 00:40:29.848]  They're relatively harmless, and we must be careful not to denigrate those people in the same way that we denigrate the people in this third level who know there's a control system, knows there's evil about it, and they personally are corrupt.
[00:40:31.132 --> 00:40:39.159]  I had a personal friend who was a member of the CIA, went overseas and had a prostitute show up at his hotel room one evening.
[00:40:39.800 --> 00:40:42.523]  He rejected what she was wanting.
[00:40:42.563 --> 00:40:43.984]  She said, no, no, you don't understand.
[00:40:44.845 --> 00:40:47.007]  I'm here paid for by the agency.
[00:40:47.107 --> 00:40:48.508]  I'm here, it's free of charge.
[00:40:48.548 --> 00:40:52.572]  You don't have to, you know, resist my invitations.
[00:40:53.353 --> 00:40:55.735]  And he, being a good moral person, resisted that.
[00:40:57.188 --> 00:41:02.075]  Other people to receive prostitutes that same evening at their hotel room either and most had succumbed.
[00:41:02.335 --> 00:41:07.362]  The ones who succumbed saw their careers enhance and they became, got promoted.
[00:41:07.462 --> 00:41:08.964]  His career never went anywhere.
[00:41:09.524 --> 00:41:13.890]  So there are these periodic tests that go forward to see who's going to be corruptible.
[00:41:14.944 --> 00:41:29.453]  Moral corruption is extremely important because it tells whether or not a person will in fact have a fit of conscience and not be able to go along with what they see or whether or not they can be turned and bent.
[00:41:30.174 --> 00:41:37.739]  And there are many other tests that go on later on because certain people can be corrupted morally but they'll draw the line at betraying their country.
[00:41:38.599 --> 00:41:40.741]  Other people will betray even their country.
[00:41:41.562 --> 00:41:50.630]  And for years it was known that homosexuality, for example, made a person vulnerable to espionage and betraying a country.
[00:41:53.913 --> 00:42:00.118]  But this is important to understand who are the people who know that there's a system, are part of the system,
[00:42:01.235 --> 00:42:04.936]  And those are the most dangerous people, because I think Gingrich is part of that.
[00:42:05.176 --> 00:42:06.956]  I think he knows there's a control system.
[00:42:07.016 --> 00:42:07.977]  I think he's part of it.
[00:42:08.757 --> 00:42:29.042]  And when they take the role of being a conservative Republican, when they take the role of writing a book about God and America, it's a supreme form of blasphemy, almost as bad as Bill Clinton raising the name of God and claiming to be a born-again Christian, or even George Bush with his dual allegiance to his skull and bones.
[00:42:31.796 --> 00:42:35.199]  Obviously they use rewards where possible, the offer of advancement, promotion and power.
[00:42:35.219 --> 00:42:35.639]  They offer
[00:42:59.145 --> 00:43:11.550]  Subtle threats sometimes when, as happens in anything about national security, when someone in the CIA sees something going on, he starts to ask questions and say, don't go there.
[00:43:12.050 --> 00:43:17.773]  And just usually that kind of a hint, that's not something you should ask about, is enough to make people
[00:43:19.161 --> 00:43:19.301]  Yes.
[00:43:36.513 --> 00:43:40.275]  And those threats can take place directly, threats to themselves.
[00:43:40.815 --> 00:43:42.736]  They first of all will start to threaten their job.
[00:43:43.516 --> 00:43:48.439]  If that doesn't get in the way and they actually become a whistleblower, they often start to threaten their family.
[00:43:49.139 --> 00:43:56.503]  And sometimes they threaten by pointing out another person who has somehow died by mysterious circumstances where it was ruled a suicide.
[00:43:57.063 --> 00:44:03.286]  And they then explain to them that it wasn't a suicide and find that's a person who wouldn't be quiet, just like you.
[00:44:04.796 --> 00:44:07.539]  And there are various levels of threats which they can escalate.
[00:44:08.439 --> 00:44:16.127]  But at the higher level, for people who are fully corrupted, the Bill Clintons of the world for example, they use the promise of immunity.
[00:44:16.167 --> 00:44:17.468]  It's a very powerful thing.
[00:44:18.128 --> 00:44:24.774]  The promise that we can make sure that the things that we have on tape of you doing don't ever see the light of day.
[00:44:25.475 --> 00:44:30.838]  It's a combination of blackmail and immunity, and they see that all the time happening in government.
[00:44:30.878 --> 00:44:40.443]  They see somebody caught who's on the dark side of government, and they see a telephone going to the judge, and the judge lets him off, or the prosecutor, district attorney, pleads it down.
[00:44:41.063 --> 00:44:44.585]  They see how immunity can be a real benefit to them in life.
[00:44:45.285 --> 00:44:51.769]  So that's some of the tactics of how they keep people at various different levels of corruption in the system.
[00:44:53.169 --> 00:44:55.050]  Both incentives and for threats.
[00:44:55.770 --> 00:44:59.312]  On the good side, for instance, they know how to play the naive people.
[00:44:59.352 --> 00:45:01.452]  They know how to play the people who want recognition.
[00:45:03.153 --> 00:45:12.997]  For example, you take Mike Leavitt, former governor of Utah, or current governor of Utah, or recent governor of Utah, John Huntsman, who's just made ambassador to China.
[00:45:14.457 --> 00:45:18.619]  Now, I can tell you from personal experience, these people are not conspirators in the system.
[00:45:20.066 --> 00:45:31.115]  These people are used because they are desperate to get ahead and they love the recognition that having establishment recognition brings to them in their lives.
[00:45:33.156 --> 00:45:40.082]  Governor John Huntsman was the son of the famous oil magnate of Huntsman Energy.
[00:45:41.943 --> 00:45:43.444]  These people are religious people.
[00:45:44.645 --> 00:45:47.508]  They've made foolish mistakes in terms of their business dealings.
[00:45:49.009 --> 00:45:57.256]  The older huntsman got hooked into a very, very large multi-million dollar investment in Russia, lost his shirt when they changed all the rules.
[00:45:57.657 --> 00:46:03.562]  He was talked into that by establishment people who were trying to build up Russia right after the phony fall of the Soviet Union.
[00:46:04.022 --> 00:46:04.763]  And he got snookered.
[00:46:05.953 --> 00:46:09.396]  John Huntsman is what I call, or Mike Levitt, the perfect Patsy.
[00:46:09.777 --> 00:46:20.808]  In other words, these are the people who are not corrupted, but because they are desperate, they come, for example, a state of Utah with a religious background, for example, of persecution.
[00:46:21.248 --> 00:46:23.351]  So on behalf of their church and their state,
[00:46:23.871 --> 00:46:32.053]  They're very anxious to gain the acceptance of the world, thinking that they're doing themselves a personal favor, as well as their church, as well as their government.
[00:46:32.073 --> 00:46:35.955]  So they're very susceptible to being drawn in and rewarded by government.
[00:46:36.015 --> 00:46:48.298]  For example, Time Magazine will do a very favorable article when they take a moderate position, and they see how they treat someone who takes a less moderate position get excoriated in the press.
[00:46:48.678 --> 00:46:50.259]  So they don't have to be told directly
[00:46:50.819 --> 00:46:52.360]  We're controlling you with this and that.
[00:46:52.400 --> 00:47:00.226]  They simply use very, very subtle inducements when they recognize people want to get ahead in life and will bend over backwards to do so.
[00:47:00.887 --> 00:47:07.132]  And so I'm sure Huntsman is doing everything the Obama administration wants him to do in terms of kowtowing to China.
[00:47:08.213 --> 00:47:18.081]  So to recap, we have four different levels, I believe, or categories of how the conspiracy is managed
[00:47:18.905 --> 00:47:23.330]  In terms of its personnel and how it grows and ascends in power.
[00:47:23.970 --> 00:47:31.278]  The lowest level, the fourth level of people who know and see enough to see that there's a control system but have been told to think that it's benevolent.
[00:47:32.139 --> 00:47:38.746]  And although I won't give you any specific names of who I think is in that area because it's hard to tell who actually knows and sees.
[00:47:40.179 --> 00:48:08.430]  But I know that there have been people and many people in fact who are doing in fact a lot of people in every agency of government see enough to know in fact everyone in politics who gets to be elected sees that there's a control system sees that especially when they go to Congress they start to get the phone calls from the various people in position saying you're expected to do this and we expect this and this of you the pressure starts immediately whenever a freshman goes to Congress they come away
[00:48:09.310 --> 00:48:10.930]  Knowing that there's a control system.
[00:48:11.171 --> 00:48:14.651]  And oftentimes they rationalize and say it's benevolent.
[00:48:15.012 --> 00:48:19.273]  So, there's those who control, know that there's a control, think it's benevolent.
[00:48:19.333 --> 00:48:22.293]  Those that know there's a control system but have been corrupted.
[00:48:23.114 --> 00:48:28.195]  And that's the majority of the people who do the dirty work in there.
[00:48:29.335 --> 00:48:35.637]  They're the hired guns and they essentially learn to be predictable.
[00:48:36.457 --> 00:48:38.740]  The second level are planners and implementers.
[00:48:38.800 --> 00:48:42.785]  Those are the heavy hitters, the ones who actually know all that's going on.
[00:48:43.185 --> 00:48:45.468]  The Henry Kissingers of the world, the Brent Scowcrofts.
[00:48:45.988 --> 00:48:50.994]  And the top level are the actual controllers, like David Rockefeller or the Rothschild people.
[00:48:53.117 --> 00:48:56.141]  Or Henry Kissinger, who I believe has gone up to that level.
[00:48:57.884 --> 00:49:04.068]  It's very important to understand the role of political parties in maintaining the status quo.
[00:49:04.708 --> 00:49:10.692]  My major objections with the electoral college system was that it guaranteed a two-party system.
[00:49:10.852 --> 00:49:12.573]  In other words, it guaranteed a winner-take-all.
[00:49:12.653 --> 00:49:20.177]  Whenever you have a winner-take-all of 51%, you guarantee that you will develop within the electorate this mentality.
[00:49:20.558 --> 00:49:22.959]  Unless I have a majority, I have nothing.
[00:49:24.420 --> 00:49:25.861]  And that induces compromise.
[00:49:27.389 --> 00:49:39.653]  Now, for example, in the parliamentary system, that's another political system whereby you have minority parties that you can win and have political power without having a majoritarian position.
[00:49:39.673 --> 00:49:40.993]  There's benefits to that.
[00:49:42.393 --> 00:49:48.295]  The problem with that, of course, is that you have increased factionalization in government.
[00:49:48.595 --> 00:49:50.396]  So you have smaller and smaller factions.
[00:49:51.676 --> 00:49:59.163]  And thus, you have to cobble together a compromise of various different political parties in order to gain the winner-take-all majority of 51%.
[00:50:01.205 --> 00:50:06.990]  Unfortunately, some very unwise and strong arm-twisting tactics takes place in a parliamentary system.
[00:50:07.978 --> 00:50:08.218]  I think so.
[00:50:29.282 --> 00:50:31.623]  I think?
[00:50:50.948 --> 00:50:51.829]  Or the Green Party.
[00:50:51.849 --> 00:50:53.770]  And that's how they make inroads.
[00:50:53.830 --> 00:51:04.776]  And to a certain extent, that would be beneficial to us if the Constitutional Party or the American Party or the Libertarian Party could get at least one representative in it.
[00:51:05.196 --> 00:51:10.619]  The only way we've been able to get one, for example, is have Ron Paul, who's a Libertarian, get elected as a Republican.
[00:51:11.886 --> 00:51:17.392]  It is possible for a third party to win.
[00:51:17.792 --> 00:51:19.734]  That's how the Republican Party came into it.
[00:51:19.815 --> 00:51:25.120]  It was the Whigs before then who were ousted by the Republicans.
[00:51:25.400 --> 00:51:26.842]  They started as a third party.
[00:51:26.862 --> 00:51:31.947]  It was young enough in our political history that large changes and upheavals could occur.
[00:51:32.568 --> 00:51:32.708]  I think?
[00:51:49.909 --> 00:51:58.657]  People within the conservative movement have begun to realize that they have been co-opted many, many times through the Republicans.
[00:51:59.358 --> 00:52:04.342]  That the Republicans has always been the residual of conservative values within the United States and ever since.
[00:52:05.583 --> 00:52:14.610]  I think primarily the Republican Party first became co-opted in a major way is when Eisenhower was elected in the 50s.
[00:52:15.291 --> 00:52:31.943]  There was a major effort and books were written about how liberals infiltrated, played like they were Republicans in order to sow the seeds of dissent against Robert Taft, who was the major candidate against Dwight D. Eisenhower.
[00:52:32.484 --> 00:52:34.745]  Once again, Taft was viewed as an isolationist.
[00:52:35.786 --> 00:52:44.335]  In the war he was viewed as someone who was against international cooperation, against the United Nations.
[00:52:45.255 --> 00:52:49.139]  Robert Taft was in fact our constitutional conservative of those days.
[00:52:50.040 --> 00:52:55.986]  And he was overcome by the establishment promoting Dwight Eisenhower, who turned out to be not
[00:52:57.972 --> 00:53:05.094]  A direct conspirator, in my opinion, but was a controlled president by his brother, Milton Eisenhower, who was a globalist.
[00:53:06.894 --> 00:53:17.297]  Eisenhower had, for example, a long history of succumbing to conspiratorial demands, especially as Supreme Commander in World War II, Operation Keelhaul.
[00:53:17.897 --> 00:53:39.573]  Many of the great evils that he acquiesced to in World War II and the crimes against humanity of which he was personally responsible for, such as the killing of two million German prisoners through starvation and refusing to give them tents and other shelter against the winter, a very purposeful action that is very little known in history.
[00:53:40.894 --> 00:53:51.521]  Since the rise of conservatism of the Barry Goldwater time, there has been a need within the establishment to try to undermine dissent.
[00:53:52.882 --> 00:53:55.664]  The John Birch Society, for example, had to be undermined.
[00:53:55.704 --> 00:53:58.365]  It rose very rapidly to prominence through a house-to-house
[00:54:00.117 --> 00:54:06.781]  Conversion and group meeting type of format that had district directors.
[00:54:06.861 --> 00:54:09.563]  It was very effective talking to people individually.
[00:54:10.063 --> 00:54:23.331]  Built a very strong organization and it was targeted for destruction by the media as well as the Communist Party, even though it was mostly our own globalists in the media who wanted to destroy them.
[00:54:24.051 --> 00:54:31.153]  They also had to co-opt Barry Goldwater, and they did so in very subtle ways that I don't have time to go into here.
[00:54:32.974 --> 00:54:47.818]  But he was very much co-opted by his insider status as a former military high-ranking officer in the Air Force, allowing him to have insider access to certain military secrets, even after he left the military.
[00:54:48.738 --> 00:54:54.482]  It's feeling like you're part of the establishment and not wanting to lose that, that is very corrupting to conservatives.
[00:54:54.942 --> 00:55:00.285]  For example, Senator Bob Bennett of Utah, before he was a senator, he was the son of a senator.
[00:55:00.385 --> 00:55:06.209]  He was given the opportunity to run the company of Mullins & Associates, which was a PR company.
[00:55:06.269 --> 00:55:08.830]  It was a flat-out front for the CIA.
[00:55:08.890 --> 00:55:13.213]  They would cut out individuals and put them in as PR agents into his company.
[00:55:13.273 --> 00:55:17.716]  In fact, some of the Watergate burglars were under his employ during that period of time.
[00:55:18.356 --> 00:55:20.797]  But Bob Bennett was not a conspirator.
[00:55:20.877 --> 00:55:21.357]  He was not.
[00:55:21.397 --> 00:55:24.578]  He was just somebody just anxious to please the establishment.
[00:55:24.698 --> 00:55:32.880]  Oh, wow, I get to run a front for the CIA and it's top secret and this is a wonderful opportunity to serve my country.
[00:55:33.841 --> 00:55:36.461]  But that's how they use naive people in that regard.
[00:55:36.501 --> 00:55:38.782]  That's how they co-opt dissent.
[00:55:40.080 --> 00:55:48.442]  I'd like to start off, of course, with a quote from Carol Quigley on the two political parties and how they are co-opted.
[00:55:49.102 --> 00:56:02.625]  He said, the argument that the two parties should represent opposed ideals and policies of the right and the other of the left is a foolish idea, acceptable only to doctrinaire and academic thinkers, and I might add, the normal American people.
[00:56:03.675 --> 00:56:14.440]  Instead, the two parties, he said, should be almost identical so that the American people can, quote, throw the rascals out at any election without leading to any profound or extreme shifts in policy.
[00:56:15.380 --> 00:56:26.245]  Then it should be possible to replace it every four years if necessary by the other party, which will be none of these things, but will still pursue with new vigor approximately the same basic policies.
[00:56:27.146 --> 00:56:29.447]  Now, this is a conspiratorial quotation.
[00:56:30.697 --> 00:56:43.302]  Carol Quigley spent the rest of his life, because he got into trouble writing the book Tragedy and Hope, he spent the rest of his life trying to debunk the idea that he had spawned conspiracy theories by these kinds of statements.
[00:56:44.462 --> 00:56:47.564]  This is as conspiratorial a statement as I've ever read.
[00:56:47.584 --> 00:56:55.487]  It talks specifically about deception and controlling the two political processes.
[00:56:55.867 --> 00:56:58.468]  It's an open admission of conspiracy.
[00:56:59.414 --> 00:57:17.303]  And yet he had the audacity to write two major essays specifically debunking Allen's, none dare call it a conspiracy, my uncle's book The Naked Capitalist, which was written actually as a critique of Carol Quigley's book Tragedy and Hope.
[00:57:18.243 --> 00:57:24.867]  And have the audacity to claim that they were misinterpreting him and misquoting him when in fact the quotes are entirely accurate.
[00:57:25.607 --> 00:57:30.010]  To his credit, he was correct that they made certain generalizations that he had not made.
[00:57:30.090 --> 00:57:34.412]  He had not come out and openly stated that all of the international bankers.
[00:57:34.492 --> 00:57:40.116]  In fact, he made a big deal out of saying, I have never said all the bankers, only some of the bankers.
[00:57:40.916 --> 00:57:59.524]  And that's an example of how we have to be very careful in the conservative movement about excessive generalizations that lead to the ability of the media to counter, and Glenn Beck often does this, he'll make excessive generalizations which they'll show are specifically inaccurate in certain cases and make him look bad.
[00:58:11.038 --> 00:58:13.543]  Visit InfoWars.com and PrisonPlanet.com.
[00:58:14.004 --> 00:58:19.153]  When you're on the site, you can also tune in 24 hours a day to my daily radio broadcast.
[00:58:19.333 --> 00:58:23.180]  There's also a free iPhone app to listen to the Syndicated Radio Show when and where you want.
