[00:00:00.009 --> 00:00:00.749]  Radio Network.
[00:51:29.217 --> 00:51:32.819]  Call 877-327-0365 or go to SurvivalSproutBank.com.
[00:51:32.979 --> 00:51:34.640]  That's 877-327-0365.
[00:51:36.641 --> 00:51:39.683]  Or order online at SurvivalSproutBank.com.
[00:51:39.903 --> 00:51:41.023]  Survival Sprout Bank.
[00:51:41.163 --> 00:51:43.545]  Your Black Hawk Down emergency food plan!
[00:51:44.281 --> 00:51:52.164]  A very wealthy US citizen is predicting that in 2011, we will witness the most important day in America in more than 50 years.
[00:51:52.444 --> 00:51:54.745]  He says it will change everything about our lives.
[00:51:55.005 --> 00:52:00.207]  The way you shop, travel, invest, educate your children, and even how you take care of your health and your own family.
[00:52:00.407 --> 00:52:03.208]  Now this man has made some outrageous predictions over the years.
[00:52:03.348 --> 00:52:05.429]  The crazy part is, he's usually right.
[00:52:05.689 --> 00:52:11.650]  You see, he predicted the collapse of GM, Fannie Mae, Freddie Mac, and America's biggest mall owner, General Growth Properties.
[00:52:11.970 --> 00:52:15.191]  In fact, Barron's called his work a dire prophecy.
[00:52:15.351 --> 00:52:20.912]  Recently, he created a video, which you can watch online for free, detailing his biggest and most important prediction yet.
[00:52:21.172 --> 00:52:22.492]  And it's a real eye-opener.
[00:52:22.812 --> 00:52:23.993]  I can't stress this enough.
[00:52:24.133 --> 00:52:26.693]  You should at least watch this free video online today.
[00:52:26.813 --> 00:52:30.894]  He explains everything you need to know, including simple steps you can take to protect yourself.
[00:52:31.054 --> 00:52:33.835]  You can find the video at www.endofamerica3.com.
[00:52:35.615 --> 00:52:38.078]  That's End of America, the number 3.com.
[00:52:38.218 --> 00:52:41.923]  Watch the free video at www.EndOfAmerica3.com.
[00:52:41.983 --> 00:52:42.984]  That's EndOfAmerica3.com.
[00:52:44.488 --> 00:52:48.951]  We all know that Berkey water purification systems are the most trusted name in water filtration.
[00:52:49.171 --> 00:52:57.838]  As an authorized Berkey dealer for over five years and serving thousands of satisfied customers, the Berkey guy offers amazing specials for Berkey water filtration systems.
[00:52:58.058 --> 00:53:11.948]  The Berkey light systems include a set of self-sterilizing and recleanable black purification elements that purify water by removing chlorine, pathogenic bacteria, cysts and parasites to non-detectable levels and remove harmful chemicals such as herbicides and pesticides.
[00:53:12.248 --> 00:53:22.934]  Order the Berkey Light System today, complete with two black Berkey elements for only $209 and the Berkey Guy will include three sport Berkey water bottles and ship everything to you free of charge.
[00:53:23.194 --> 00:53:26.496]  That's right, three sport Berkey water bottles and free shipping.
[00:53:26.656 --> 00:53:27.337]  An $87 value, yours free.
[00:53:27.377 --> 00:53:28.297]  Call the Berkey Guy at 1-877-886-3653.
[00:53:28.317 --> 00:53:28.617]  That's 1-877-886-3653.
[00:53:28.637 --> 00:53:29.938]  Or order online at GoBerkey.com.
[00:53:29.978 --> 00:53:30.538]  That's GoBerkey.com.
[00:53:42.005 --> 00:53:44.608]  We're good to go.
[00:53:54.261 --> 00:53:59.023]  Hey boss, is it really our country now?
[00:53:59.143 --> 00:54:08.468]  We can rob and rape whoever we want with full government power?
[00:54:08.488 --> 00:54:09.728]  Yes, you bet we can.
[00:54:09.808 --> 00:54:10.889]  It's our country now.
[00:54:10.969 --> 00:54:12.850]  I am unleashing you to dominate them all.
[00:54:23.036 --> 00:54:24.987]  This time I'll get you Gadget!
[00:54:31.083 --> 00:54:40.632]  Meet your new president.
[00:54:40.832 --> 00:54:42.454]  He's my puppet.
[00:54:42.554 --> 00:54:44.856]  His name is Bugsy.
[00:54:45.677 --> 00:54:46.858]  Yeah, that's right boss.
[00:54:47.458 --> 00:54:48.679]  I like being the president now.
[00:54:49.160 --> 00:54:53.164]  You know, my name's Barack Obama and the bots are getting sick of me.
[00:54:53.204 --> 00:54:53.824]  What are you gonna do?
[00:54:55.726 --> 00:54:58.007]  Now I'm going to get a Republican ready.
[00:54:58.467 --> 00:55:01.669]  Maybe Newt Gingrich or Mitt Romney.
[00:55:01.789 --> 00:55:04.310]  The Conservatives will buy into all of it.
[00:55:04.330 --> 00:55:05.551]  Ha ha ha ha!
[00:55:05.911 --> 00:55:08.093]  There's nothing that can stop us now.
[00:55:08.853 --> 00:55:11.194]  Look at the public drink the fluoride.
[00:55:11.735 --> 00:55:13.876]  There's nothing they won't do now.
[00:55:14.256 --> 00:55:16.997]  They could never imagine what I've done.
[00:55:18.018 --> 00:55:18.398]  I don't know.
[00:55:45.348 --> 00:55:47.129]  Everybody knows.
[00:55:50.409 --> 00:55:54.331]  And so it goes.
[00:55:54.411 --> 00:55:55.391]  Everybody knows.
[00:55:56.551 --> 00:55:58.772]  That America is mafia run.
[00:55:58.832 --> 00:56:01.212]  But a lot of the yuppies don't care.
[00:56:01.252 --> 00:56:03.413]  They've had freedom so long they...
[00:56:14.858 --> 00:56:16.319]  They like a boot on their neck.
[00:56:17.279 --> 00:56:19.740]  Yeah, boys, it's our time now, isn't it?
[00:56:21.661 --> 00:56:22.522]  Of course it is.
[00:56:25.543 --> 00:56:27.564]  You know, I could do voiceovers.
[00:56:27.584 --> 00:56:29.425]  I've actually been approached, but I don't have time to do it.
[00:56:29.445 --> 00:56:31.706]  Because you don't just get the jobs.
[00:56:31.726 --> 00:56:33.227]  They want you to then audition for it.
[00:56:33.247 --> 00:56:35.568]  And I'm too busy fighting the New World Order.
[00:56:36.468 --> 00:56:43.031]  But I can do... I can do Captain Avatar from Star Blazers.
[00:56:43.051 --> 00:56:43.872]  You guys want to hear that?
[00:56:45.951 --> 00:56:47.171]  Aim carefully, men.
[00:56:47.231 --> 00:56:48.812]  Those are Gamelon ships.
[00:56:49.152 --> 00:56:51.253]  I actually have to get into character to do it properly.
[00:56:53.653 --> 00:56:57.335]  Wildstar, I'm counting on you as deputy captain.
[00:57:00.376 --> 00:57:07.538]  In the year 2199, Earth was attacked by the mysterious Gamelon space fleet, led by Barry Saturro.
[00:57:09.633 --> 00:57:12.134]  Deadly planet bombs are destroying the Earth's surface.
[00:57:12.774 --> 00:57:18.537]  If the Star Force doesn't get the Cosmo DNA in just one year, planet Earth will be uninhabitable.
[00:57:18.957 --> 00:57:20.578]  Hurry, Star Force, hurry!
[00:57:23.079 --> 00:57:26.800]  You know, the truth is, all work and no play makes Jack a dull boy.
[00:57:27.040 --> 00:57:31.542]  I was on coast to coast AM last night, then I got wound up and couldn't go to sleep.
[00:57:32.062 --> 00:57:35.384]  Then a big national show, Opie and Anthony, called me at 6.30 in the morning.
[00:57:35.664 --> 00:57:37.385]  I was in a deep sleep and put me directly on air.
[00:57:39.186 --> 00:57:45.872]  And I am very tired and I apologize for screwing around some, but it is a psychological defense mechanism.
[00:57:46.112 --> 00:57:46.752]  We all have it.
[00:57:47.613 --> 00:57:53.659]  You know, I criticize folks for not staying focused and serious and being into diversions and distractions, but imagine being yours truly.
[00:57:54.159 --> 00:57:56.121]  I mean, I've only gotten into one article today.
[00:57:57.062 --> 00:57:58.703]  I've only gotten into one article.
[00:58:00.104 --> 00:58:04.808]  And, of course, it brought us in a thousand different directions, but when we return, I'm going into all the others.
[00:58:06.704 --> 00:58:11.168]  Wayne Madsen's joining us, and then the one, the only... Who'd I make the check out to?
[00:58:11.768 --> 00:58:14.090]  Max Keiser will be joining us, the one, the only.
[00:58:14.551 --> 00:58:15.472]  I'm Alex Jones.
[00:58:15.532 --> 00:58:21.177]  This is the GCN Radio Network, GCNLive.com, InfoWars.com, and PrisonPlanet.tv are our websites.
[00:58:21.417 --> 00:58:22.618]  Transmission continues!
[00:58:22.638 --> 00:58:23.438]  Oh dear!
[00:58:24.324 --> 00:58:28.807]  Are you tired of searching for great talk radio?
[00:58:28.967 --> 00:58:30.228]  Search no more.
[00:58:30.488 --> 00:58:33.610]  We are the GCA Radio Network.
[00:58:33.650 --> 00:58:38.453]  Hi folks, this is Alex Jones asking you for a minute of your time to tell you about soap.
[00:58:38.673 --> 00:58:44.697]  Not detergents, but good old-fashioned pure soap made by the Cal Bend Soap Company, a family-owned and operated American company.
[00:58:45.077 --> 00:58:52.183]  My family, staff, friends, and radio listeners are constantly telling me how much they love these products for bath, hair, laundry, and dishes.
[00:58:52.463 --> 00:58:57.047]  There is nothing like these factory-direct, big-money-saving, triple-concentrated subs anywhere.
[00:58:57.347 --> 00:59:05.834]  Get a free, detailed catalog by calling 800-340-7091 or see them online at 5starsoap.com or infowars.com.
[00:59:06.014 --> 00:59:09.737]  Let's talk to the owner of 5 Star Soap, Marty Schachter, and see what he has to say.
[00:59:10.257 --> 00:59:16.443]  As founder and owner for over 63 years, people keep asking me, how's business?
[00:59:17.023 --> 00:59:20.447]  I'm happy to say our business is going down the drain.
[00:59:20.927 --> 00:59:28.254]  Call us at 1-800-340-7091 or visit our website 5starsoap.com for buying our 1-2 month soap sampler.
[00:59:28.354 --> 00:59:28.814]  Thank you.
[00:59:37.395 --> 00:59:39.296]  Waging war on corruption.
[00:59:39.777 --> 00:59:42.659]  Alex Jones on the GCN Radio Network.
[00:59:49.083 --> 00:59:49.744]  Big Brother.
[00:59:50.384 --> 00:59:51.425]  Mainstream media.
[00:59:52.165 --> 00:59:53.346]  Government cover-ups.
[00:59:53.907 --> 00:59:54.727]  You want answers?
[00:59:55.488 --> 00:59:57.409]  Well, so does he.
[00:59:57.429 --> 01:00:00.651]  He's Alex Jones on the GCN Radio Network.
[01:00:01.232 --> 01:00:05.334]  And now, live from Austin, Texas, Alex Jones.
[01:00:21.533 --> 01:00:25.354]  Hey guys, I know it was in my stack, but it was the next piece of news I was going to get to.
[01:00:26.294 --> 01:00:29.075]  Rather than dig through the stacks, will you just reprint me?
[01:00:29.875 --> 01:00:34.496]  It's a... Examiner story?
[01:00:36.316 --> 01:00:38.497]  And then it's got quotes, I believe, out of the Washington Post.
[01:00:38.557 --> 01:00:42.478]  Obama is going to use executive power to trump Republican Congress.
[01:00:42.538 --> 01:00:43.518]  I believe that's the headline.
[01:00:43.538 --> 01:00:45.239]  Because I want to get into that.
[01:00:45.299 --> 01:00:49.280]  That deals with this whole massive abuse of power situation.
[01:00:49.320 --> 01:00:49.740]  I found it.
[01:00:49.820 --> 01:00:51.020]  Never mind, I found it right here.
[01:00:53.575 --> 01:00:54.635]  Again, thank you for joining us.
[01:00:54.675 --> 01:01:14.581]  We're into our number two here today, and I've been going through a lot of different gesticulations of outrage, dealing with the daily mob machine, the Chicago machine, taking over every facet of our society.
[01:01:15.161 --> 01:01:20.422]  Obama ready to deploy executive powers against GOP on the Hill.
[01:01:21.363 --> 01:01:22.063]  Deploy them!
[01:01:23.882 --> 01:01:26.204]  Of course, Congress makes the laws.
[01:01:26.264 --> 01:01:27.765]  Congress controls the purse strings.
[01:01:28.386 --> 01:01:34.391]  But in this upside-down world, people thought, well, Obama's going to clean up all this rampaging executive power.
[01:01:35.992 --> 01:01:37.974]  Obama's going to get tough on Bush crimes.
[01:01:38.254 --> 01:01:39.815]  How about accelerating all of them?
[01:01:40.216 --> 01:01:43.058]  And all these Democrats are going, we're so disappointed.
[01:01:43.078 --> 01:01:45.540]  I'm so disappointed, Archie.
[01:01:46.201 --> 01:01:47.202]  Oh, shut up, Eden.
[01:01:48.157 --> 01:01:53.881]  And it goes on, Obama ready to deploy executive powers against GOP on the Hill.
[01:01:54.842 --> 01:02:02.488]  President Obama challenged Congressional Republicans to embrace the shared responsibility of governance, even as the...
[01:02:04.434 --> 01:02:09.656]  They're putting the mob boss, JPMorgan Chase, daily in the White House, running things.
[01:02:10.797 --> 01:02:16.119]  And that is all spun as he's experienced.
[01:02:16.179 --> 01:02:16.940]  He's a veteran.
[01:02:16.980 --> 01:02:17.800]  He's a good guy.
[01:02:18.260 --> 01:02:19.021]  I have other articles.
[01:02:19.061 --> 01:02:20.481]  He's going to fight corruption.
[01:02:21.162 --> 01:02:21.442]  Yes.
[01:02:22.162 --> 01:02:25.884]  We're deploying 14 weasels and 9 wolves to guard the hen house tonight.
[01:02:26.304 --> 01:02:30.726]  They're experts in keeping the chickens safe.
[01:02:31.446 --> 01:02:32.247]  Going in your house.
[01:02:33.439 --> 01:02:34.541]  Play a game of dominoes.
[01:02:34.921 --> 01:02:36.103]  Drink some moonshine.
[01:02:36.944 --> 01:02:38.486]  The chickens will all be fine in the morning.
[01:02:40.910 --> 01:02:41.711]  Continuing here.
[01:02:41.731 --> 01:02:43.494]  So I'm going to be getting into that.
[01:02:44.055 --> 01:02:45.357]  That's all coming up.
[01:02:47.191 --> 01:02:50.133]  We've got some other issues dealing with the First Amendment.
[01:02:50.573 --> 01:03:00.958]  I want to get into the blackbirds dying, and now more of the same species dropping dead in Louisiana and other states.
[01:03:01.659 --> 01:03:03.460]  And I would be happy about that.
[01:03:03.480 --> 01:03:09.643]  Not happy that the birds are dying, but happy if they were dying in other states, because that would lean towards a disease.
[01:03:10.243 --> 01:03:12.605]  The problem is the Fish and Wildlife Department and others
[01:03:13.405 --> 01:03:14.325]  And I saw it on CNN.
[01:03:14.345 --> 01:03:15.566]  They had them all chopped open.
[01:03:15.586 --> 01:03:19.547]  The guy was just pulling them open and went, look, they're just turned into blood.
[01:03:20.348 --> 01:03:27.190]  Their livers, their breast meat, their organs, their muscle tissue is liquefied.
[01:03:27.530 --> 01:03:29.471]  Something incredibly catastrophic did this.
[01:03:29.751 --> 01:03:31.392]  But these are birds that roost at night.
[01:03:32.712 --> 01:03:33.853]  No one heard explosions.
[01:03:33.913 --> 01:03:34.513]  Nothing happened.
[01:03:34.533 --> 01:03:35.613]  None of the buildings got damaged.
[01:03:35.633 --> 01:03:36.854]  There wasn't some big storm.
[01:03:37.194 --> 01:03:39.075]  Some bad weather had gone through previously.
[01:03:41.015 --> 01:03:42.576]  And no one knows what happened to them.
[01:03:45.683 --> 01:03:48.964]  And we know that they've got C-130s with particle lasers in them.
[01:03:48.984 --> 01:03:52.206]  We know they've got all sorts of electromagnetic-type weaponry.
[01:03:52.226 --> 01:03:53.766]  I mean, a lot of that's declassified.
[01:03:54.127 --> 01:04:00.649]  All I'm saying is, with all the secret government testing we've seen, up 10 trillion times, that's the main suspect.
[01:04:00.669 --> 01:04:04.971]  But if somebody can explain to me what's going on with this, then I would love to hear it.
[01:04:05.591 --> 01:04:08.653]  And I will open the phones up in this hour.
[01:04:08.753 --> 01:04:09.973]  Edwin Wayne Madsen's on with us.
[01:04:09.993 --> 01:04:11.274]  Gonna bring up the birdies to him.
[01:04:11.294 --> 01:04:13.935]  I don't think Sylvester did it.
[01:04:16.510 --> 01:04:16.590]  800-259-9231.
[01:04:16.610 --> 01:04:16.650]  800-259-9231.
[01:04:16.690 --> 01:04:18.972]  We will get you up and on the air today.
[01:04:19.112 --> 01:04:22.415]  On the bird issue, I want to hear what you think about the birds.
[01:04:22.616 --> 01:04:26.980]  Are you there in BB, Arkansas, or other areas of the country?
[01:04:27.020 --> 01:04:27.740]  Tell us what you've seen.
[01:04:27.760 --> 01:04:28.561]  The fish dying, 100,000 of them.
[01:04:28.581 --> 01:04:28.861]  These drum.
[01:04:28.881 --> 01:04:29.382]  800-259-9231.
[01:04:29.402 --> 01:04:29.902]  I'm Alex Jones.
[01:04:44.511 --> 01:04:52.358]  A very wealthy US citizen is predicting that in 2011, we will witness the most important day in America in more than 50 years.
[01:04:52.619 --> 01:04:54.901]  He says it will change everything about our lives.
[01:04:55.181 --> 01:05:00.366]  The way you shop, travel, invest, educate your children, and even how you take care of your health and your own family.
[01:05:00.546 --> 01:05:03.329]  Now this man has made some outrageous predictions over the years.
[01:05:03.609 --> 01:05:05.671]  The crazy part is, he's usually right.
[01:05:05.911 --> 01:05:11.835]  You see, he predicted the collapse of GM, Fannie Mae, Freddie Mac, and America's biggest mall owner, General Growth Properties.
[01:05:12.155 --> 01:05:15.357]  In fact, Barron's called his work a dire prophecy.
[01:05:15.537 --> 01:05:21.060]  Recently, he created a video, which you can watch online for free, detailing his biggest and most important prediction yet.
[01:05:21.300 --> 01:05:22.621]  And it's a real eye-opener.
[01:05:22.961 --> 01:05:24.122]  I can't stress this enough.
[01:05:24.262 --> 01:05:26.804]  You should at least watch this free video online today.
[01:05:26.924 --> 01:05:30.986]  He explains everything you need to know, including simple steps you can take to protect yourself.
[01:05:31.146 --> 01:05:32.867]  You can find the video at www.
[01:05:33.948 --> 01:05:35.630]  End of America 3.com.
[01:05:35.770 --> 01:05:38.212]  That's End of America, the number 3.com.
[01:05:38.352 --> 01:05:42.056]  Watch the free video at www.EndOfAmerica3.com.
[01:05:42.216 --> 01:05:43.237]  That's EndOfAmerica3.com.
[01:05:44.824 --> 01:05:47.445]  Hello, this is Alex Jones with some important questions.
[01:05:47.845 --> 01:05:52.806]  If you're going into a battle and they give you a rifle and a sidearm, how much ammunition do you want?
[01:05:53.166 --> 01:05:54.887]  My answer would be all I can get.
[01:05:55.207 --> 01:06:00.028]  In the battle for freedom and the lives of your loved ones, food is your only ammunition.
[01:06:00.208 --> 01:06:01.169]  How much do you want?
[01:06:01.389 --> 01:06:02.149]  When do you want it?
[01:06:02.529 --> 01:06:04.130]  Now or after the battle starts?
[01:06:04.410 --> 01:06:05.230]  When will you need it?
[01:06:05.470 --> 01:06:07.531]  Can you buy it without proper identification?
[01:06:07.691 --> 01:06:08.671]  Will there be any food?
[01:06:09.011 --> 01:06:10.351]  Will it make your children sick?
[01:06:10.552 --> 01:06:15.613]  If there's a quarantine and you can't feed yourself, will you go to the gathering center and be immunized?
[01:06:15.813 --> 01:06:18.995]  You wipe out all these problems if you have a good food supply.
[01:06:19.395 --> 01:06:22.896]  Food is your ammunition to fight for your freedom and your life.
[01:06:23.216 --> 01:06:24.196]  How much will you need?
[01:06:24.437 --> 01:06:25.057]  We don't know.
[01:06:25.337 --> 01:06:26.257]  How much do you want?
[01:06:26.437 --> 01:06:27.177]  All you can get.
[01:06:27.378 --> 01:06:28.218]  I'm Alex Jones.
[01:06:28.478 --> 01:06:31.179]  I want all of you good guys to live to fight another day.
[01:06:31.519 --> 01:06:33.700]  Call 1-800-409-5633 or check it out on the web at efoodsdirect.com.
[01:06:33.720 --> 01:06:34.721]  Again, that number 1-800-409-5633.
[01:06:45.111 --> 01:06:48.732]  Hundreds of nations have fallen to tyranny in the last century alone.
[01:06:49.132 --> 01:06:52.133]  This is our last chance to not relive history.
[01:06:52.373 --> 01:06:57.134]  As they're finishing off this agenda, they'll be pulling the rug from underneath Americans at home.
[01:06:57.154 --> 01:07:03.356]  We have tremendous influence on our President and Congress, and they really are calling the shots.
[01:07:03.556 --> 01:07:08.524]  I think it's incumbent upon all of us as American citizens to pay attention.
[01:07:18.840 --> 01:07:20.941]  Tim Geithner, Bernanke, they're arsonists!
[01:07:21.201 --> 01:07:22.542]  They're asking for more matches!
[01:07:22.782 --> 01:07:25.063]  And the Congress is saying, who do we make the check out to?
[01:07:25.243 --> 01:07:27.083]  Today seems like nobody does care.
[01:07:27.103 --> 01:07:32.146]  And right now in Washington, D.C., we have seen a fall of the Republic.
[01:07:32.526 --> 01:07:41.630]  Get your copy of Fall of the Republic on DVD at InfoWars.com or watch it online right now in super high quality at PrisonPlanet.tv.
[01:07:44.895 --> 01:07:50.519]  He's the T-Rex of political talk, Alex Jones on the GCN Radio Network.
[01:08:00.848 --> 01:08:10.095]  Okay, I'm going to give you my take on the birds, and then get into Obama ready to deploy executive powers against GOP Hill.
[01:08:11.329 --> 01:08:22.858]  And we're already seeing this where they couldn't pass the greenhouse gas tax system federally, so Obama has come in and seized the permitting process for power plants in Texas.
[01:08:23.478 --> 01:08:27.882]  So see, as long as the state does what the bureaucracy says, not what the Congress says...
[01:08:28.502 --> 01:08:31.843]  And that'd be a state's rights issue right there, outside federal jurisdiction.
[01:08:32.243 --> 01:08:33.724]  Power generated inside this state.
[01:08:34.004 --> 01:08:36.564]  But still, there's some federal argument there.
[01:08:37.124 --> 01:08:43.326]  But with no law, no nothing, the feds just show up and say, we're taking over your power plants, here's the higher standards.
[01:08:43.866 --> 01:08:45.367]  If you can't meet these, shut down.
[01:08:46.363 --> 01:08:51.564]  And then giant fines start racking up every day they're in operation until they get shut down.
[01:08:51.804 --> 01:08:52.525]  Don't worry, though.
[01:08:52.765 --> 01:08:53.765]  They'll just pay the fines.
[01:08:54.045 --> 01:08:55.325]  You'll pay the fines.
[01:08:55.926 --> 01:08:56.866]  I'll pay the fines.
[01:08:56.886 --> 01:09:01.427]  But, oh, no environmental standards on Chinese reactors 2 to 3 being built.
[01:09:01.947 --> 01:09:06.088]  Excuse me, power generators, not nuclear reactors, coal-powered plants.
[01:09:06.689 --> 01:09:07.849]  So that is coming up.
[01:09:10.209 --> 01:09:15.431]  Briefly, before I go to your calls and get your take on the birds, and I do want it to be brief because I want to get to everybody here.
[01:09:16.749 --> 01:09:21.371]  1-800-259-9231, ahead of Wayne Madsen popping in and then Max Keiser on the economy in 2011 that we're now in, hurtling towards 2012 and beyond.
[01:09:21.391 --> 01:09:22.172]  But I wanted to just state,
[01:09:32.242 --> 01:09:43.705]  Normally when green goo rains from the sky, it's happening routinely, or when stuff gets sprayed and there aren't eyewitnesses who can conclusively prove that it was government, we don't really go there.
[01:09:44.205 --> 01:09:58.649]  But we know that there have been, as I've said, thousands and thousands of admitted, declassified programs with, in many cases, lethal or toxic chemicals, biologicals, radiologicals.
[01:09:58.929 --> 01:09:59.769]  That's all on record.
[01:09:59.789 --> 01:10:01.830]  You've seen it up to a million times yourself on the news.
[01:10:03.422 --> 01:10:04.702]  But they always report it dryly.
[01:10:05.163 --> 01:10:06.603]  Oh, the government killed some troops.
[01:10:06.903 --> 01:10:08.263]  Oh, the government injected some kids.
[01:10:08.724 --> 01:10:10.024]  Oh, the government spread polio.
[01:10:10.384 --> 01:10:14.665]  Oh, you know, here's the inventor of the polio vaccine laughing about how they knew it had cancer viruses in it.
[01:10:14.945 --> 01:10:15.726]  Ha, ha, ha, ha.
[01:10:15.746 --> 01:10:21.727]  A hundred plus million Americans contracted viral-borne cancers that were rare before and now common and died.
[01:10:21.968 --> 01:10:22.808]  Ha, ha, ha, ha.
[01:10:23.088 --> 01:10:24.308]  I mean, this is all just public.
[01:10:27.769 --> 01:10:30.010]  And so we have to look at
[01:10:31.041 --> 01:10:59.529]  what could have done this and as we go down the line eliminating everything what's left but some type of government experiment or government test or there's been a lot of mainline scientific theories and it's been videoed all over the world minutes before a giant earthquake that aurora borealis type things even form in the daylight some type of giant tectonic shift with untold quadrillions
[01:11:01.357 --> 01:11:04.038]  I don't even know the mass of huge tectonic plates.
[01:11:04.058 --> 01:11:05.079]  We have to do the calculation.
[01:11:05.459 --> 01:11:13.083]  Colliding with each other and it causes some type of electromagnetic event that manifests in the atmosphere.
[01:11:13.784 --> 01:11:27.551]  Kind of like when you're walking across the carpet on a dry December day and you touch the refrigerator metal door and you see... I've been in the dark before going to the refrigerator for a glass of milk the middle of the night and I've seen the electricity.
[01:11:27.591 --> 01:11:28.692]  I've seen the blue arc.
[01:11:29.795 --> 01:11:55.039]  That's a microcosm of why it's been documented for thousands of years that right ahead of an earthquake, birds start flying out of the area, fish start swimming the other direction, dolphins start running, sometimes days before because they can sense in the magnetic field, which more and more science shows all animals can pick up on in the brain, in the hypothalamus and other areas, but animals go with their instinct and go the other direction.
[01:11:56.500 --> 01:11:58.680]  And that's a manifestation of it, those lights
[01:11:59.585 --> 01:12:04.068]  You know, appearing minutes or sometimes hours, sometimes days before.
[01:12:04.428 --> 01:12:05.990]  It looks just like an Aurora Borealis.
[01:12:06.050 --> 01:12:09.552]  Green, yellow, bluish light can be seen even in daylight.
[01:12:09.832 --> 01:12:16.917]  Sometimes it's so bright, but especially at night, people will be in South America where they don't have an Aurora Borealis like they have the North and South Pole.
[01:12:16.937 --> 01:12:17.918]  They'll be like, what is that?
[01:12:18.658 --> 01:12:23.702]  They notice birds are all flying at the opposite direction, freaking out, monkeys are going crazy.
[01:12:24.242 --> 01:12:25.303]  I mean, this stuff goes on.
[01:12:25.343 --> 01:12:26.284]  It's been well documented.
[01:12:27.170 --> 01:12:28.030]  Mainline science.
[01:12:28.490 --> 01:12:30.071]  You can research it for yourself if you'd like to look into it.
[01:12:30.091 --> 01:12:30.931]  I know most of you already know that.
[01:12:31.532 --> 01:12:34.813]  But the issue here is, it could have been something like that.
[01:12:34.973 --> 01:12:43.656]  You got the fish dying, but that happens because of oxygen shifts, or they may have had a bloom of fish and they were overpopulated and it was a natural culling.
[01:12:44.076 --> 01:12:44.576]  We don't know.
[01:12:44.956 --> 01:12:46.117]  But the two could be related.
[01:12:46.537 --> 01:12:49.378]  But now you've got birds in Louisiana.
[01:12:49.938 --> 01:12:51.138]  First it was 500, now it's 1,000 as they find more.
[01:12:53.619 --> 01:12:55.781]  The same species of blackbird.
[01:12:56.261 --> 01:13:06.529]  Very, very bizarre, because if they were falling out of the sky in the region, you'd normally think they had contracted a virus or a bacteria, and then only certain numbers would die.
[01:13:07.229 --> 01:13:12.493]  And then when the veterinarians from the state and local cut them open, they would see the evidence of disease.
[01:13:13.374 --> 01:13:14.275]  They're totally healthy.
[01:13:15.268 --> 01:13:20.072]  And the head of the Fish and Wildlife, their head veterinarian's on record saying they were pulverized inside.
[01:13:20.973 --> 01:13:26.557]  And that's not going to happen from some birds running into each other scared from fireworks over a whole town.
[01:13:26.977 --> 01:13:32.422]  First it was a half mile, then a mile, then a mile and a half, now two miles, now they're finding them all over the town.
[01:13:32.902 --> 01:13:36.245]  Going out upwards of three miles depending on the local report you look at.
[01:13:36.705 --> 01:13:43.831]  The issue here is that it might be disease in Louisiana and other states with these dead
[01:13:45.925 --> 01:13:47.986]  Starlings or cedar waxwings.
[01:13:48.026 --> 01:13:48.407]  I forget.
[01:13:48.447 --> 01:13:48.987]  What are they?
[01:13:49.247 --> 01:13:50.848]  What's the black bird with the little red patch?
[01:13:51.469 --> 01:13:52.810]  What's the species of this critter?
[01:13:54.031 --> 01:13:57.473]  I get my apples and oranges mixed up.
[01:13:57.513 --> 01:13:57.813]  Thank you.
[01:13:57.833 --> 01:13:59.254]  Look that up for me, brain.
[01:14:01.567 --> 01:14:05.750]  But the issue that I'm trying to cover here is this thing stinks to high heaven.
[01:14:06.170 --> 01:14:07.131]  And it's a big mystery.
[01:14:07.651 --> 01:14:16.518]  And if I can take that mystery and write about it at Infowars.com and then get nationally syndicated radio shows like
[01:14:16.778 --> 01:14:19.820]  Coast-to-coast AM reaching 16 million people a night.
[01:14:20.320 --> 01:14:22.522]  Openy and Anthony reaching about 2 million a day.
[01:14:23.823 --> 01:14:25.884]  Drudge Report reaching tens of millions a day.
[01:14:26.365 --> 01:14:29.086]  To link to the story, and we're asking the real question.
[01:14:29.106 --> 01:14:33.729]  You've got to look at the number one culprits of bizarre happenings and chemical, biological, radiological testing.
[01:14:33.749 --> 01:14:34.230]  It's government.
[01:14:34.510 --> 01:14:36.231]  And so we link over there to the government.
[01:14:37.072 --> 01:14:42.255]  Archives and sites where they admit that they've done tests like this in the past many times.
[01:14:42.555 --> 01:14:45.757]  And so people now are looking at one of the
[01:14:48.018 --> 01:14:54.200]  Possible causes of this, but becoming educated about all the other admissions while we go along.
[01:14:55.160 --> 01:14:56.901]  Yeah, it's Red Wing Blackbirds.
[01:14:57.801 --> 01:15:04.623]  So it's... It's Cedar... Waxwings, I believe is their name.
[01:15:05.643 --> 01:15:08.984]  The media is calling them Blackbirds and Black Redbirds.
[01:15:09.865 --> 01:15:11.225]  I believe it's Cedar Waxwing, correct?
[01:15:14.793 --> 01:15:15.834]  Now they're saying they're starlings.
[01:15:15.874 --> 01:15:16.194]  Whatever.
[01:15:16.234 --> 01:15:17.675]  The blackbird's a little red patch.
[01:15:17.915 --> 01:15:25.501]  And they said it's the same species in Louisiana and in Arkansas.
[01:15:25.821 --> 01:15:27.522]  Okay, let's go to your phone calls here.
