[00:00:00.000 --> 00:00:02.740]  (dramatic music)
[00:23:51.405 --> 00:23:59.427]  So these are slaves, refugees of globalism, refugees of the Great Reset, refugees of the COVID lockdowns, being brought into the U.S., brought into Europe.
[00:23:59.467 --> 00:24:01.327]  It's the same system in Europe, same system here.
[00:24:01.647 --> 00:24:09.519]   They're given a cell phone and they're given an ID system that is then skimmed Just like NGOs skim off the homeless groups.
[00:24:10.119 --> 00:24:14.962]  That's why they promote the homelessness, ship the fentanyl in, give them all the drugs, tell the police don't stop them.
[00:24:15.783 --> 00:24:38.179]   So it's a lifestyle choice to go take fentanyl or sit around drinking all day or taking heroin or whatever the drug is they're on because the left is siphoning off and skimming off the money off the top of that and farming illegal aliens, farming the child traffic slaves, farming the human traffic, farming the fentanyl Hobos and drug addicts.
[00:24:38.540 --> 00:24:39.161]  This is the plan.
[00:24:39.201 --> 00:24:40.082]  I'm moving back to Ukraine.
[00:24:40.102 --> 00:24:42.085]  I guess that was your central question.
[00:24:42.952 --> 00:24:46.514]  We know now it's almost $70 billion since February.
[00:24:47.355 --> 00:24:56.161]  That's just six months, folks, that's been pumped into Ukraine and almost all of it gets siphoned back into Democrat Party coffers.
[00:24:56.901 --> 00:25:00.444]  And so we always hear about how money gets siphoned off to Israel.
[00:25:00.744 --> 00:25:04.066]  And a lot of the aid money that goes to Israel does end up going back to US politicians.
[00:25:04.086 --> 00:25:04.526]  That's true.
[00:25:04.787 --> 00:25:06.288]  I'm pro-Israel, but that's a bad thing.
[00:25:06.328 --> 00:25:09.490]  I don't like foreign aid because it's corrupt, just like Rand Paul said.
[00:25:09.850 --> 00:25:11.411]  And we also see that happening in other countries.
[00:25:11.451 --> 00:25:16.613]   But if you compare The theft going on in Ukraine, never in U.S.
[00:25:16.653 --> 00:25:22.934]  history has there been this level of almost $70 billion, as of a week ago, it was like $69 billion.
[00:25:22.954 --> 00:25:26.635]  So I guess it was another billion, this was $70 billion now.
[00:25:26.655 --> 00:25:34.317]  $70 billion we know of, black holed into Ukraine, and then it comes right back out, and then all these videos come out of U.S.
[00:25:34.357 --> 00:25:44.860]   troops with Texas and Georgian and Floridian accents, literally removing mines, Bringing troops in and slaughtering Russians.
[00:25:45.560 --> 00:25:47.701]  That is extremely dangerous.
[00:25:48.201 --> 00:25:52.282]  And if we're going to go to war with Russia, Biden should say, we're in a proxy war.
[00:25:52.742 --> 00:25:53.002]  U.S.
[00:25:53.022 --> 00:25:53.822]  troops are dying.
[00:25:55.282 --> 00:25:56.022]  This is going on.
[00:25:56.102 --> 00:25:56.542]  No, no, no.
[00:25:57.482 --> 00:26:06.464]  It was a big scandal when the general Russian public didn't know during the Afghan war, the 80s, that tens of thousands of Russians died.
[00:26:06.484 --> 00:26:07.344]  They tried to suppress that.
[00:26:07.844 --> 00:26:09.345]  Well, this is going on here today.
[00:26:09.745 --> 00:26:11.485]  There are a lot of U.S.
[00:26:11.525 --> 00:26:11.825]  troops.
[00:26:12.659 --> 00:26:18.503]  Being buried in very private ceremonies, and their widows and widowers are being told don't talk about it.
[00:26:18.543 --> 00:26:20.224]  So, we're in a war.
[00:26:20.644 --> 00:26:24.066]  A physical war with the Russians.
[00:26:24.086 --> 00:26:26.288]  And, again, the Russians have got their problems.
[00:26:26.568 --> 00:26:32.852]  It's the culture of the Ukrainian opposition from World War II, when Ukraine was occupied by the Nazis.
[00:26:33.192 --> 00:26:34.573]  If you weren't a collaborator, they killed you.
[00:26:34.873 --> 00:26:36.134]  So they adopted Nazism.
[00:26:36.834 --> 00:26:39.156]  And then persecuted the Slavic majority.
[00:26:40.074 --> 00:26:51.856]  Now, the Azog groups are the main people, and they hail Hitler, they do the fascist salute, and so all I'm saying is, we are really in a lot of trouble here.
[00:26:52.876 --> 00:27:08.739]  So Alex, shifting gears here, you know, the way that our own government talks about everybody in this room, they call them semi-fascists or domestic terrorists, it reminds me that back, you know, you were one of the few voices back in early 2000 that stood against the Patriot Act.
[00:27:08.979 --> 00:27:12.642]  And I'll be the first one to admit, I used to be in favor of all these silly programs.
[00:27:12.663 --> 00:27:14.825]  And I think some people in this room probably were as well.
[00:27:15.185 --> 00:27:19.329]  You know, Bush and everyone said everything's going to be fine, it's going to go after Al-Qaeda, go after the terrorists.
[00:27:19.689 --> 00:27:23.873]  But you said, hey, this is going to be used against Americans and against actual patriots.
[00:27:24.253 --> 00:27:27.837]  Going into 2008, 2009, 2010, Barack Obama played his hand a little bit.
[00:27:28.297 --> 00:27:37.261]  But Alex, it's very clear that our national security apparatus spends more time infiltrating political dissident groups that they disagree with on the American right.
[00:27:37.621 --> 00:27:40.643]  Alex, talk about what you saw with the Patriot Act back in 2001, 2002.
[00:27:41.843 --> 00:27:45.425]  Talk about how people then take you seriously at the time, but now it's a consensus view.
[00:27:45.445 --> 00:27:52.128]  And then finally, talk about how they're using Department of Justice, FBI, all these national security apparatus as an arm of the Democrat Party.
[00:27:52.975 --> 00:27:53.516]  Absolutely.
[00:27:53.696 --> 00:27:56.938]  This is a great reset discussion, but everything is a subset of that.
[00:27:57.039 --> 00:28:01.102]  So restricting energy, food and energy for machines.
[00:28:02.203 --> 00:28:03.704]  Cut the energy off to humans and machines.
[00:28:04.245 --> 00:28:09.489]  But then let the authoritarian countries actually double and triple their profits like Russia's really doing.
[00:28:09.930 --> 00:28:12.472]  There's a larger global agenda above all this.
[00:28:12.572 --> 00:28:15.662]   And it's the same thing The National Security State.
[00:28:15.902 --> 00:28:20.523]  Nobody hates radical Islam and what I'd really call orthodox Islam more than me.
[00:28:21.283 --> 00:28:24.064]  Nobody hates Al-Qaeda and those dirtbags more than me.
[00:28:24.604 --> 00:28:27.705]  Nobody's saying there isn't radical Islam and terror attacks and a terror threat.
[00:28:28.284 --> 00:28:34.043]   But you could look at how that legislation was written, what was put through in 2001,
[00:28:34.043 --> 00:28:41.564]   2002, 2003, and from day one it was being used against the American people.
[00:28:42.094 --> 00:28:44.274]  Because it was written saying this could happen to U.S.
[00:28:44.314 --> 00:28:44.714]  citizens.
[00:28:45.755 --> 00:28:56.578]  Under military law and the laws of war, if somebody's a citizen, and they're overseas, or they're part of a terror group, or they're here with a terror group domestically, nobody's held back from taking them out or going after them.
[00:28:56.598 --> 00:28:57.339]  That's just not true.
[00:28:58.019 --> 00:29:02.160]  And so now, the Great Reset is incredibly important.
[00:29:02.240 --> 00:29:06.062]  And when I said the energy being cut off is central, that's central to their long-term goal.
[00:29:06.142 --> 00:29:09.743]  But in countries, the globalists don't fully control like America.
[00:29:10.742 --> 00:29:12.844]  You can't have tyranny worldwide under the U.N.
[00:29:13.804 --> 00:29:16.026]  if you still have some free countries left.
[00:29:17.107 --> 00:29:18.808]  And so, folks, the U.N.
[00:29:18.848 --> 00:29:19.669]  really is taking over.
[00:29:19.709 --> 00:29:33.599]  Last Thursday, Facebook again testified in the Senate that they take orders not only from the Biden White House on what to censor, they send them a list of accounts every day and who to ban, but the U.N.
[00:29:34.199 --> 00:29:35.260]  also gives them orders.
[00:29:35.300 --> 00:29:47.237]   So we have this multinational, international, corporate front group, the U.N., That has openly come out last June to the Biden Administration.
[00:29:47.257 --> 00:29:49.379]  They put out their new counter-terrorism U.S.
[00:29:49.419 --> 00:29:50.440]  government policy report.
[00:29:51.100 --> 00:29:52.722]  Nowhere was mentioned radical Islam.
[00:29:52.782 --> 00:29:54.163]  Nowhere was mentioned MS-13.
[00:29:54.584 --> 00:29:56.005]  Nowhere was mentioned human smuggling.
[00:29:56.325 --> 00:29:58.327]  Nowhere was mentioned the Russians or the Chinese.
[00:29:58.347 --> 00:30:00.609]  And that's really what's infiltrated is the Communist Chinese.
[00:30:01.070 --> 00:30:03.452]  It was all people that question elections.
[00:30:04.454 --> 00:30:09.996]  People that question lockdowns, open borders, or forced inoculations.
[00:30:10.557 --> 00:30:12.077]  And you can read the report for yourself.
[00:30:12.958 --> 00:30:29.523]   And since then, they've had all their talking heads, Obama and Hillary and Biden and Kamala Harris and all these senators and congressmen, particularly the last month, in a fever pitch ahead of the midterms, 52 days out, saying, Our opposition are terrorists.
[00:30:29.943 --> 00:30:31.784]  We have to kill the MAGA movement.
[00:30:32.044 --> 00:30:34.064]  We have to kill the Trump populist movement.
[00:30:34.084 --> 00:30:34.645]  These are quotes.
[00:30:35.305 --> 00:30:36.405]  We have to crush them.
[00:30:36.825 --> 00:30:37.625]  They're illegal.
[00:30:38.325 --> 00:30:54.929]  And then now, again, we learn Facebook is spying on all prominent conservatives and sending your private messages that are nonviolent to the FBI that has special political units set up a trillion times worse than anything Richard Nixon even imagined to do.
[00:30:55.810 --> 00:31:20.691]   And so this is a political One-party system that is hated, that is corrupt, that is insider trading, that is sold out to the chi-coms, knowing the world's waking up, knowing America's waking up, trying to start wars as distractions, imploding in borders as distractions, and trying to then openly outlaw their political opposition and to create a uniparty, one-party state.
[00:31:20.791 --> 00:31:35.620]   So, I am predicting, and by exposing this they may not do it, but I am predicting they're going to false flag or provocateur Absolutely incredibly violent acts, if not by the midterms, as an October surprise, I mean the next few weeks.
[00:31:37.301 --> 00:31:43.925]  But sometime before the 2024 election, because they're telegraphing it.
[00:31:44.205 --> 00:31:46.247]  They're saying Republicans are terrorists.
[00:31:46.307 --> 00:31:53.944]   No, we didn't burn down $2.3 billion of car dealerships and people's apartment homes.
[00:31:53.944 --> 00:31:56.985]   And we didn't shoot a bunch of cops, we shoot a bunch of innocent people,
[00:31:56.985 --> 00:31:58.665]  mostly peaceful demonstrators.
[00:31:58.665 --> 00:32:03.385]   So we're being branded as loyal, hardworking, good Americans as terrorists.
[00:32:03.385 --> 00:32:07.465]   The leftist media is saying white people inherently are bad and evil.
[00:32:07.465 --> 00:32:13.145]   They plan on trying to trigger a race war and a political war.
[00:32:13.359 --> 00:32:18.201]  And I know conservatives and populists and nationalists and America Firsters don't want that and aren't stupid.
[00:32:18.441 --> 00:32:21.182]  We don't think the cops are our enemy or an average FBI agent.
[00:32:21.442 --> 00:32:23.383]  We don't think car bombing a federal building is good.
[00:32:23.423 --> 00:32:23.883]  It's bad.
[00:32:24.383 --> 00:32:25.544]  So we have no motive.
[00:32:25.984 --> 00:32:26.724]  We wouldn't do it.
[00:32:27.085 --> 00:32:30.306]  But who has a motive and who is swinging from the chandeliers?
[00:32:31.061 --> 00:32:36.124]  Running around like chickens with their heads cut off saying we're about to blow stuff up or shoot people.
[00:32:36.604 --> 00:32:43.628]  That is them telling you what their desperate next move, their primal scream that Steve Bannon talked about.
[00:32:43.989 --> 00:32:47.151]  That's what their backs against the wall, their cornered rafts.
[00:32:47.471 --> 00:32:50.512]  We're winning ideologically, culturally, economically, spiritually.
[00:32:50.753 --> 00:32:52.314]  The whole world's turning against globalism.
[00:32:52.594 --> 00:32:56.316]  They're electing to leadership positions all over Eastern Europe and in Canada.
[00:32:56.415 --> 00:33:02.495]   and Australia and Latin America. Populist, anti-globalist, nationalist, Christian patriots.
[00:33:02.495 --> 00:33:08.014]   So they see the trend and their answer is outlaw their political opposition by staging
[00:33:08.014 --> 00:33:14.655]   terror attacks and blaming it on us. And that's what takes us back to 2002, 2003 and this whole process.
[00:33:14.655 --> 00:33:16.735]  So I want to re-emphasize what Alex just said.
[00:33:16.922 --> 00:33:19.684]  I wrote a whole piece for the great website revolver.news.
[00:33:19.744 --> 00:33:21.565]  I know a lot of you guys read revolver.news.
[00:33:21.865 --> 00:33:29.309]  They do a fabulous job, which is you cannot allow them to provoke you into doing something that you do not want to do that you would regret.
[00:33:29.369 --> 00:33:30.490]  We have to stay peaceful.
[00:33:30.510 --> 00:33:34.652]  They would love nothing more than to try to provoke the entire MAGA movement.
[00:33:34.692 --> 00:33:36.193]  Like, remember what James Lindsay said?
[00:33:36.494 --> 00:33:39.075]  Go right up to the inch before your face and you slap it away?
[00:33:39.095 --> 00:33:40.556]  It's very, very important.
[00:33:40.856 --> 00:33:51.420]  And Alex articulated how they might try to infiltrate groups, they might try to infiltrate chat rooms, and we know this thanks to declassified FBI documents and DOJ documents.
[00:33:51.740 --> 00:34:01.344]  And they're almost warning in advance, and Alex, I said the same thing on our podcast, which is why do they all of a sudden out of anywhere say, well these people support political violence, domestic violent extremism?
[00:34:01.704 --> 00:34:05.566]  It's very strange how almost this drumbeat has come out of nowhere.
[00:34:05.606 --> 00:34:07.886]  They have to get that narrative in the zeitgeist.
[00:34:07.946 --> 00:34:12.968]  So I just want to re-emphasize, everyone watching at home, we remain peaceful, they lose.
[00:34:13.529 --> 00:34:14.789]  In fact, it's very important.
[00:34:15.209 --> 00:34:15.569]  Okay?
[00:34:17.150 --> 00:34:18.130]  You're totally right.
[00:34:18.811 --> 00:34:24.353]  Two weeks ago, I did three hours on this, literally screaming it to my millions of listeners and viewers.
[00:34:25.385 --> 00:34:27.146]  And it was a telltale sign.
[00:34:27.346 --> 00:34:31.847]  CNN, MSNBC, The Young Turks, and there was more than that, I couldn't watch it all.
[00:34:32.868 --> 00:34:36.249]  Dozens of programs said, Alex Jones calls for political violence.
[00:34:37.189 --> 00:34:41.071]  And then they would show video of me without audio, but never say what I said.
[00:34:41.551 --> 00:34:47.333]  So they were so upset by me saying, don't be violent, that they put out national reports saying I called for violence.
[00:34:47.693 --> 00:34:50.890]   These people are Bottomless.
[00:34:51.391 --> 00:34:55.715]  They are willing to go to any length, and I'm telling you folks, I used to think that I knew how bad they were.
[00:34:56.195 --> 00:35:08.766]  Now that I've experienced this, at the level Trump's experienced it, they will create whole systems of lies, where the story is so elaborate, so big, so crazy, you think, well, some of that's got to be true.
[00:35:09.026 --> 00:35:17.174]  No, they've created stories about me, and I'm not being a victim, but viewers need to know, and the audiences need to know, folks, I'm telling you, they create stories about me where none of it's true.
[00:35:17.714 --> 00:35:31.123]  And they're whole complex narratives, whole complex things, and I'm like reading this or watching this, and I mean, you know, hour-long CNN specials, HBO specials, PBS specials, and I'm watching it, and none of it is true.
[00:35:31.723 --> 00:35:32.144]  None of it.
[00:35:32.344 --> 00:35:37.227]  Normally, you think, you know, they mix a lie in, you know, slip the poison in with a piece of candy.
[00:35:37.307 --> 00:35:37.707]  No, no, no.
[00:35:38.107 --> 00:35:39.929]  They have gone to the next level.
[00:35:40.149 --> 00:35:42.090]  We all wonder, well, everybody hates the mainstream media.
[00:35:42.370 --> 00:35:43.051]  People are waking up.
[00:35:43.071 --> 00:35:43.811]  They're turning against them.
[00:35:44.131 --> 00:35:44.892]  What will they do?
[00:35:45.132 --> 00:35:45.993]  Will they stop lying?
[00:35:46.693 --> 00:35:47.453]  And the answer is no.
[00:35:47.673 --> 00:35:50.335]  This new CNN ownership, they're not backing off.
[00:35:50.595 --> 00:35:52.356]  They're just getting less obvious about it.
[00:35:54.897 --> 00:35:56.437]  It's very clear.
[00:35:56.457 --> 00:35:57.578]  It's a whole system of lies.
[00:35:57.598 --> 00:35:58.138]  That's well said.
[00:35:58.198 --> 00:36:04.801]  For those of you watching at home, I'll just mention again, we have a Turning Point USA booklet for any, a gift of any amount to Turning Point USA, tpusa.com.
[00:36:04.821 --> 00:36:05.601]  You guys can get this.
[00:36:05.982 --> 00:36:08.923]  And I want to secondly also plug Alex Jones' book, The Great Reset.
[00:36:09.303 --> 00:36:10.764]  It's fabulous for everyone watching at home.
[00:36:12.965 --> 00:36:16.117]   So, Alex, we have a couple minutes remaining here.
[00:36:16.157 --> 00:36:17.918]  I want to go through two remaining topics.
[00:36:18.318 --> 00:36:21.461]  Number one, transhumanism, merging of man and machine.
[00:36:21.761 --> 00:36:23.082]  The media hates when you talk about it.
[00:36:23.102 --> 00:36:26.485]  And then finally, I want to finish with the last question of what can we do?
[00:36:26.505 --> 00:36:29.187]  Because I'm looking at the audience here, and you're talking about this, Alex.
[00:36:29.227 --> 00:36:32.770]  I could just feel the kind of vibe of it's overwhelming.
[00:36:33.650 --> 00:36:35.813]  And so Alex, start with transhumanism.
[00:36:35.873 --> 00:36:36.794]  Just do that really quick.
[00:36:36.894 --> 00:36:44.202]  And then tell the people, tell the audience, tell the millions at home, tell the grassroots, tell the citizens what can be done to defeat the Great Reset.
[00:36:45.123 --> 00:36:46.044]  Beautifully said, Charlie.
[00:36:46.064 --> 00:36:46.845]  Thank you so much, sir.
[00:36:47.906 --> 00:36:49.327]  Look, they're cutting off our energy.
[00:36:49.908 --> 00:36:51.190]  They're coming after our freedoms.
[00:36:51.210 --> 00:36:52.211]  They're imploding our future.
[00:36:53.308 --> 00:36:57.469]  But once we wake up, they're the ones doing it on purpose and they can't pose as a savior.
[00:36:57.870 --> 00:36:59.990]  And once their great reset is known, it's game over.
[00:37:00.531 --> 00:37:03.572]  So their plan for us is poverty and implosion.
[00:37:03.632 --> 00:37:04.312]  You'll own nothing.
[00:37:04.612 --> 00:37:05.392]  You'll have nothing.
[00:37:05.852 --> 00:37:11.174]  Basically, euthanasia, abortion, poison shots, and depopulation.
[00:37:11.835 --> 00:37:18.537]  That vision for themselves that we've seen from a lot of, not just Democrats, but Republicans as well, is I'm going to live forever.
[00:37:19.482 --> 00:37:26.665]  Man, the age of humans is over and we're going to merge with machines and it's going to be so beautiful and there'll be no humans by 2050.
[00:37:27.186 --> 00:37:28.566]  That's Yuval Harari.
[00:37:28.807 --> 00:37:31.228]  You'll either evolve and accept this or you'll die.
[00:37:32.548 --> 00:37:33.569]  That's their delusion.
[00:37:33.809 --> 00:37:37.331]  So their plan for us is death and tyranny, tyranny and death.
[00:37:37.871 --> 00:37:41.012]  Their plan for themselves is immortality and they're going to be gods.
[00:37:41.353 --> 00:37:43.694]  That's the serpent in the garden.
[00:37:44.354 --> 00:37:46.155]  It's the same lie over and over again.
[00:37:46.175 --> 00:37:48.016]  So let me give the viewers and listeners the good news.
[00:37:49.252 --> 00:37:51.514]  I go out on the street, despite the fact that I'm attacked everywhere.
[00:37:51.794 --> 00:37:54.636]  And as an average citizen, which is a blessing, believe me, you don't want to be famous.
[00:37:55.216 --> 00:37:55.796]  You don't have to be.
[00:37:57.457 --> 00:38:02.501]  The average person goes out and doesn't know if people are awake, doesn't know if people are patriots, doesn't know if they're aware of the New World Order.
[00:38:03.061 --> 00:38:16.290]  Believe me, all the attacks, all the demonization, whether I am in Austin, Texas, or whether I'm in Florida, or whether I'm in New York, or whether I'm in Canada, or the UK, or whether I'm in Las Vegas, or LA, I am mobbed.
[00:38:18.241 --> 00:38:18.781]  99% positive.
[00:38:19.602 --> 00:38:20.862]  Almost nothing negative.
[00:38:21.102 --> 00:38:23.223]  They usually are violent and throw coffee on me and stuff like that.
[00:38:24.243 --> 00:38:26.624]  But the good news is, they are screwed.
[00:38:27.064 --> 00:38:30.925]  They have weird little leftist enclave areas in every city.
[00:38:31.926 --> 00:38:36.347]  And they have their own, you know, the universities they've taken over that Charlie's trying to liberate.
[00:38:36.883 --> 00:38:46.147]  But other than that, the corporate media, Martha's Vineyard, these elite areas they all hide in, the average person, black, white, Hispanic, Asian, old, young, gay, straight, they just want freedom.
[00:38:46.487 --> 00:38:47.228]  They just want a future.
[00:38:47.248 --> 00:38:47.988]  They just want justice.
[00:38:48.048 --> 00:38:53.330]  And so, my book's number one in the world, thanks to all you patriots getting out to people, the great recent war of the world.
[00:38:53.430 --> 00:38:54.391]  People are waking up.
[00:38:54.451 --> 00:38:55.491]  And so, don't get down.
[00:38:55.992 --> 00:38:57.452]  No, submission is death.
[00:38:58.012 --> 00:38:59.753]  Resistance is freedom and liberty in life.
[00:39:00.173 --> 00:39:01.534]  And so, it's like any fight.
[00:39:01.914 --> 00:39:07.856]   When I was growing up in school and some bully was going to beat me up after school because I dated his girlfriend, I went ahead and just didn't like it, but I went ahead and
[00:39:07.856 --> 00:39:08.656]  went out and met them.
[00:39:08.656 --> 00:39:11.856]  And as soon as this started flying, I wasn't scared anymore.
[00:39:11.856 --> 00:39:13.856]  And most of the time they got, they went down.
[00:39:13.856 --> 00:39:17.535]  And so what I'm saying is, is that this is where we are.
[00:39:17.535 --> 00:39:19.455]  We were handed this bar of forebearers.
[00:39:19.455 --> 00:39:21.615]  We have this beautiful country, this beautiful planet.
[00:39:21.615 --> 00:39:27.055]  And Turning Point USA is the heart of the global resistance.
[00:39:27.055 --> 00:39:30.735]  America is the heart of the global resistance to tyranny.
[00:39:30.735 --> 00:39:35.535]   And so we have a real responsibility and an honor to be alive now and to be involved.
[00:39:35.535 --> 00:39:38.895]   And think of the billions of people crying out for freedom worldwide,
[00:39:38.895 --> 00:39:41.136]  crying out for God to save them.
[00:39:41.136 --> 00:39:43.535]  Well, God sends people to save people.
[00:39:43.535 --> 00:39:46.096]  God should do everything, but God loves free will.
[00:39:46.096 --> 00:39:48.176]  God's waiting for us to take action.
[00:39:48.326 --> 00:39:54.248]  And so, I am so honored to be with this crowd of people, and so honored to be with you because, listen, we are at the tip of the spear.
[00:39:54.468 --> 00:39:56.029]  So don't be down, don't be overwhelmed.
[00:39:56.309 --> 00:39:59.590]  God won't give you anything you can't overcome through Christ Jesus.
[00:39:59.830 --> 00:40:02.231]  So God bless you all, and we're going to win this in the end.
[00:40:02.431 --> 00:40:02.951]  We have to.
[00:40:02.971 --> 00:40:05.432]  One more time for Alex Jones, everybody.
[00:40:05.652 --> 00:40:06.832]  Alex, thank you so much.
[00:40:07.253 --> 00:40:08.253]  God bless you.
[00:40:08.253 --> 00:40:27.132]  God bless you.
[00:40:27.128 --> 00:40:32.089]  They want to control what you think, what you do, what you read, but you don't want that.
[00:40:32.149 --> 00:40:33.750]  And Alex Jones doesn't want that.
[00:40:33.910 --> 00:40:39.511]  And this book shows you what's happening and gives you the sort of playbook for how to fight against it.
[00:40:39.751 --> 00:40:45.994]  And so by buying this book, you're going to prove that censorship doesn't work, that freedom is alive in this country.
[00:40:46.354 --> 00:40:47.675]  This is essential reading.
[00:40:48.335 --> 00:40:52.617]  And, you know, I would go right now and buy it before the censorship kicks in.
[00:40:53.037 --> 00:40:54.978]  It's not going to be available in bookstores.
[00:40:55.298 --> 00:40:57.379]  It's not going to be available in libraries.
[00:40:57.460 --> 00:41:02.542]  They're going to try to take it down from every platform that they can, but they're not going to be able to do it.
[00:41:05.067 --> 00:41:06.992]  Thank you Alex Jones.
[00:41:07.052 --> 00:41:12.425]  I really appreciate you having me on and I appreciate you writing this book and getting the information out there.
