[00:00:00.229 --> 00:00:01.550]  ...storable food can be.
[00:26:17.132 --> 00:26:19.913]  And it goes on here.
[00:26:19.913 --> 00:26:22.033]  So see, you always wondered how they'd propose it.
[00:26:22.033 --> 00:26:23.073]  Well, I always told you.
[00:26:23.073 --> 00:26:24.934]  They'd stage terror attacks first to train
[00:26:25.424 --> 00:26:28.145]  The police and military to accept it, internally.
[00:26:28.145 --> 00:26:32.846]  Then they'd have a controlled economic collapse to finally bring them out on the streets.
[00:26:32.846 --> 00:26:37.788]  I mean, I made a film seven years ago where we lay that out.
[00:26:37.788 --> 00:26:42.750]  Several of my films break that down.
[00:26:42.750 --> 00:26:46.371]  So, it goes on.
[00:26:46.371 --> 00:26:51.893]  Are you afraid that the economic downturn could get out of hand?
[00:26:51.893 --> 00:26:52.693]  I mean, really out of hand?
[00:26:52.693 --> 00:26:53.273]  Well, don't worry.
[00:26:53.715 --> 00:26:54.115]  The U.S.
[00:26:54.115 --> 00:27:07.383]  Army War College is on the case, ready to handle unforeseen economic collapse and the rapid dislocation of public order in all or significant parts of the U.S.
[00:27:07.383 --> 00:27:10.045]  And you thought we were only dealing with a recession.
[00:27:10.045 --> 00:27:22.513]  In the report published November 4th, just in time for the holiday season, the War College Strategic Studies Institute postulated on a number of shocks that the country should be prepared for, including
[00:27:22.978 --> 00:27:25.840]  Unrest caused by the economy's failure.
[00:27:25.840 --> 00:27:37.587]  Yeah, if you actually read that report that we've written articles about in the last few months, before it was in the New York Post, it's all about how they're prepared to engage the American people.
[00:27:37.587 --> 00:27:45.492]  And it's in the John Warner Defense Authorization Act from two years ago that the governors are no longer governors, they're puppets of the feds, and Congress has no authority
[00:27:45.896 --> 00:27:49.039]  Everything is the presidency, which is a total dictatorship.
[00:27:49.039 --> 00:27:53.862]  And people are like, well, Bush didn't declare martial law, thought he was.
[00:27:53.862 --> 00:28:03.290]  No, I said here on the show six months ago, I said, you're all thinking it's going to be George Bush and Naomi Wolf on who was hyperventilating that he was about to declare martial law.
[00:28:03.290 --> 00:28:09.454]  And I said, lady, they're going to pass all these powers on to Barack Obama.
[00:28:09.454 --> 00:28:12.357]  Because these guys are puppets for the offshore banks.
[00:28:12.357 --> 00:28:14.098]  Quit thinking the president runs anything.
[00:28:14.588 --> 00:28:20.090]  He's just as big a ceremonial jumping jack puppet as Congress is.
[00:28:20.090 --> 00:28:21.871]  Now, how do we get America back?
[00:28:21.871 --> 00:28:26.172]  We admit we're in these straits.
[00:28:26.172 --> 00:28:28.653]  But I know you're not going to listen until most of you are homeless.
[00:28:28.653 --> 00:28:30.894]  But then I want you to remember.
[00:28:30.894 --> 00:28:36.136]  Then I want you to wipe the Cheshire Cat smile off your face.
[00:28:36.136 --> 00:28:38.097]  It's really another kind of smile.
[00:28:39.469 --> 00:28:49.492]  Wipe it off, quit feeling so arrogant and know-it-all and powerful, and admit you really don't know a lot, and that I've been right about all this, and that we're really going into tyranny, and then maybe we can turn this around.
[00:28:49.492 --> 00:28:52.833]  But until you grow up... I'm not talking to my regular listeners.
[00:28:52.833 --> 00:28:58.734]  I'm talking to, you know, Johnny Come Lately out there still snickering right now.
[00:28:58.734 --> 00:29:00.015]  So there's that article.
[00:29:00.015 --> 00:29:02.715]  Here's one out of the Phoenix Business Journal.
[00:29:02.715 --> 00:29:08.017]  Arizona police say they're prepared as War College warns military must prep for unrest.
[00:29:08.017 --> 00:29:08.717]  IMF warns
[00:29:09.124 --> 00:29:09.925]  Honey, have you seen the remote?
[00:29:09.925 --> 00:29:10.906]  Sweetie, have you seen my car keys?
[00:29:10.906 --> 00:29:12.567]  I can't find my wallet!
[00:29:32.754 --> 00:29:33.615]  Sound familiar?
[00:29:33.615 --> 00:29:37.057]  Why not save time looking for lost things and lose the stress instead?
[00:29:37.057 --> 00:29:42.421]  Introducing our patented Find One, Find All Key Finders, or FOFA XD for short.
[00:29:42.421 --> 00:29:48.605]  Once a FOFA key finder is attached to each of those easy to lose things, it can find and be found by all the rest.
[00:29:48.605 --> 00:29:55.049]  Use your wallet to find your keys, your keys to find the remote control, or any of them to find an uncharged or muted cell phone.
[00:29:55.049 --> 00:29:56.630]  The possibilities are endless.
[00:29:56.630 --> 00:30:02.334]  FOFA goes through walls, cushions, and laundry baskets up to 30 feet and projects a clear 90 plus decibel beep.
[00:30:02.954 --> 00:30:04.795]  Got the remote!
[00:30:04.795 --> 00:30:06.416]  Oh, my keys!
[00:30:06.416 --> 00:30:07.777]  There's my wallet!
[00:30:07.777 --> 00:30:15.261]  Order your Fufa today with batteries included along with a 30-day money-back guarantee by calling FindOneFindAll at 866-245-8670.
[00:30:15.261 --> 00:30:15.681]  That's 866-245-8670.
[00:30:15.681 --> 00:30:17.862]  Or buy online at FindOneFindAll.com.
[00:30:17.862 --> 00:30:18.663]  That's FindOneFindAll.com.
[00:30:27.268 --> 00:30:28.950]  Alex Jones here with a question.
[00:30:28.950 --> 00:30:30.711]  What does humidity mean to you?
[00:30:30.711 --> 00:30:33.394]  Most people think of hot and sticky summer days.
[00:30:33.394 --> 00:30:38.519]  But many people are beginning to realize that humidity can be a valuable source of pure drinking water.
[00:30:38.519 --> 00:30:41.722]  That's why I'd like you to visit acolablue.com.
[00:30:41.722 --> 00:30:45.245]  Acolablue is a state-of-the-art atmospheric water generator.
[00:30:45.603 --> 00:30:58.152]  Producing purified drinking water from the humidity in the air using reverse osmosis and a five-stage carbon and UV light filtration system which produces great tasting water at an unbeatable price.
[00:30:58.152 --> 00:31:00.174]  Finally, drinking water that you control.
[00:31:00.174 --> 00:31:01.895]  I use one every day.
[00:31:01.895 --> 00:31:07.579]  Say goodbye to expensive water delivery services and storing five-gallon bottles of water in your home.
[00:31:07.579 --> 00:31:12.263]  The Ecola Blue 28 is shipped right to your home ready to make close to seven gallons a day
[00:31:12.663 --> 00:31:18.266]  Drink and Mate proudly presents another mind-boggling episode of America's Toughest Quiz Show, That's Too Complicated!
[00:31:34.176 --> 00:31:39.902]  Let's see if we can figure out which contestant got the intellectual edge after an evening of partying by using Drink and Mate.
[00:31:39.902 --> 00:31:47.749]  For 20 points in the win, Milt, Glur5 and blank kinate receptor subunits in hippocampal neurons co-assemble to form functional receptors.
[00:31:47.749 --> 00:31:50.272]  Uh, uh, Pony?
[00:31:50.272 --> 00:31:51.753]  Oh, too bad.
[00:31:51.753 --> 00:31:52.234]  Yes, Chip?
[00:31:53.035 --> 00:31:56.697]  The logical companion of Glur 5, Glur 6.
[00:31:56.697 --> 00:31:58.057]  You've won the game!
[00:31:58.057 --> 00:31:59.578]  Hey, life is like a game.
[00:31:59.578 --> 00:32:02.399]  And if you want to win, you've got to give it your best every day.
[00:32:02.399 --> 00:32:05.940]  Which doesn't always happen after an evening of celebrating with friends and family.
[00:32:05.940 --> 00:32:10.042]  That's why there's Drink and Mate, a patented formula of guava leaf extract.
[00:32:10.162 --> 00:32:12.323]  It's proven to reduce the effects of hangover.
[00:32:12.323 --> 00:32:15.904]  It restores balance to your body, keeping headaches and nausea at bay.
[00:32:15.904 --> 00:32:17.085]  And it really works!
[00:32:17.085 --> 00:32:17.945]  Tell them, Don!
[00:32:17.945 --> 00:32:18.965]  Drink and Mate!
[00:32:18.965 --> 00:32:21.246]  I wouldn't be able to read this without it!
[00:32:21.246 --> 00:32:23.847]  Available at quality retailers nationwide.
[00:32:23.847 --> 00:32:26.068]  Drink and Mate urges you to please drink responsibly.
[00:32:26.653 --> 00:32:30.537]  When you're out driving this holiday season, keep in mind you're being watched.
[00:32:30.537 --> 00:32:37.043]  Whether you know it or not, red light and speed cameras are everywhere ready to snap a photo of your license plate.
[00:32:37.043 --> 00:32:43.950]  One simple, harmless error could end up costing you over $500, quickly putting an end to your holiday cheer.
[00:32:43.950 --> 00:32:45.832]  Fight back with Photoblocker.
[00:32:45.832 --> 00:32:47.974]  Simply spray your plate once and you're done.
[00:32:48.534 --> 00:32:53.396]  Any photos of your license plate will appear overexposed, making them virtually unreadable.
[00:32:53.396 --> 00:32:57.777]  See the newscast showing just how Photoblocker works against traffic cameras.
[00:32:57.777 --> 00:33:06.760]  Christmas is here, and the economy is in bad enough shape without spending hundreds of dollars in fees that can be avoided with one simple application of Photoblocker.
[00:33:07.100 --> 00:33:08.901]  Go to SprayYourPlate.com.
[00:33:08.901 --> 00:33:10.862]  That's SprayYourPlate.com.
[00:33:10.862 --> 00:33:12.243]  Or call 1-800-276-9601.
[00:33:12.243 --> 00:33:20.248]  That's 1-800-276-9601.
[00:33:20.248 --> 00:33:22.169]  Don't give your money to the state.
[00:33:22.169 --> 00:33:23.350]  Spray your plate!
[00:33:23.350 --> 00:33:28.973]  And when the cameras flash, you'll save some cash.
[00:33:28.973 --> 00:33:31.575]  Thank you for listening to GCN.
[00:33:31.575 --> 00:33:34.757]  Be sure to visit GCNlive.com today.
[00:33:42.782 --> 00:33:43.563]  Hey, wait a minute.
[00:33:43.563 --> 00:33:48.867]  It's the New World Order theme song with Madoff and Republicans and Democrats.
[00:33:48.867 --> 00:33:52.029]  They already took your pension funds.
[00:33:52.029 --> 00:34:00.716]  And if you don't like it, yeah, they got the boys, the boys in green out there with those cat's eyes looking at you.
[00:34:00.716 --> 00:34:05.059]  They'll eat their guts, your guts, your mama's guts, and ask for seconds.
[00:34:05.782 --> 00:34:08.283]  You think it's cute letting tyranny grow?
[00:34:08.283 --> 00:34:09.603]  You think it's fun?
[00:34:09.603 --> 00:34:14.826]  Well, you're gonna find out what it's like to get butchered like a fat Christmas hog, because you're on the highway to hell!
[00:34:14.826 --> 00:34:20.868]  Yeah!
[00:34:20.868 --> 00:34:26.250]  Party time!
[00:34:26.250 --> 00:34:28.551]  You're on the highway to the new world order!
[00:34:35.951 --> 00:34:37.152]  You're not gonna stop.
[00:34:37.152 --> 00:34:38.613]  Keep watching the football games.
[00:34:38.613 --> 00:34:43.137]  Keep acting like a know-it-all yuppie, a dumb liberal, a dumb mainline conservative.
[00:34:43.137 --> 00:34:45.539]  Go ahead and tell me Obama's gonna save us.
[00:34:45.539 --> 00:34:46.500]  Yeah!
[00:34:46.500 --> 00:34:47.741]  No speed limit, baby!
[00:34:47.741 --> 00:34:48.642]  Obama!
[00:34:48.642 --> 00:34:50.644]  Rush Limbaugh!
[00:34:50.644 --> 00:34:51.905]  Sean Hannity!
[00:35:00.772 --> 00:35:02.673]  Give me the pap!
[00:35:02.673 --> 00:35:06.593]  Give me the lies!
[00:35:06.593 --> 00:35:13.515]  Give me controlled paradigm!
[00:35:13.515 --> 00:35:17.696]  How long, ladies and gentlemen, have we been talking about all the real issues that have come true?
[00:35:17.696 --> 00:35:23.077]  And now you hear these mainline talk show hosts acting like, oh, they've turned up the money printing presses.
[00:35:23.077 --> 00:35:24.558]  Oh, the Federal Reserve.
[00:35:24.558 --> 00:35:26.238]  Oh, the CFR.
[00:35:26.238 --> 00:35:29.479]  All these talk show hosts that attack Ron Paul, suddenly they like him.
[00:35:30.339 --> 00:35:35.200]  Because now there's not a danger of him actually becoming president and turning this around.
[00:35:35.200 --> 00:35:38.081]  Yeah, you're a day late and a dollar short, all of you.
[00:35:38.081 --> 00:35:40.362]  And you mainline Democrats all running around.
[00:35:40.362 --> 00:35:42.763]  Barack Obama has betrayed you on every front.
[00:35:42.763 --> 00:35:51.065]  There's going to be more wars, more regulations, more taxes on the middle class, a tax on the free internet, a tax on free speech.
[00:35:51.065 --> 00:35:51.665]  On and on.
[00:35:51.665 --> 00:35:53.186]  More NAFTA, more GATT.
[00:35:53.186 --> 00:35:57.187]  He just appointed his head of trade, who openly has called for a North American Union.
[00:35:58.015 --> 00:35:59.956]  When he said he'd get rid of NAFTA and GATT.
[00:35:59.956 --> 00:36:01.236]  He betrayed you!
[00:36:01.236 --> 00:36:03.517]  Like all these New World Order slimeballs did!
[00:36:03.517 --> 00:36:06.459]  Obama!
[00:36:06.459 --> 00:36:06.599]  Obama!
[00:36:06.599 --> 00:36:06.719]  Obama!
[00:36:06.719 --> 00:36:06.839]  Obama!
[00:36:06.839 --> 00:36:06.959]  Obama!
[00:36:06.959 --> 00:36:07.079]  Obama!
[00:36:07.079 --> 00:36:07.239]  Obama!
[00:36:07.239 --> 00:36:07.379]  Obama!
[00:36:07.379 --> 00:36:07.639]  Obama!
[00:36:07.639 --> 00:36:08.099]  Obama!
[00:36:08.099 --> 00:36:08.360]  Obama!
[00:36:08.360 --> 00:36:08.560]  Obama!
[00:36:08.560 --> 00:36:08.680]  Obama!
[00:36:08.680 --> 00:36:08.880]  Obama!
[00:36:08.880 --> 00:36:09.080]  Obama!
[00:36:09.080 --> 00:36:09.320]  Obama!
[00:36:09.320 --> 00:36:09.480]  Obama!
[00:36:09.480 --> 00:36:09.640]  Obama!
[00:36:09.640 --> 00:36:09.780]  Obama!
[00:36:09.780 --> 00:36:09.900]  Obama!
[00:36:09.900 --> 00:36:10.040]  Obama!
[00:36:10.040 --> 00:36:10.320]  Obama!
[00:36:10.320 --> 00:36:10.520]  Obama!
[00:36:10.520 --> 00:36:10.681]  Obama!
[00:36:10.681 --> 00:36:10.961]  Obama!
[00:36:10.961 --> 00:36:11.121]  Obama!
[00:36:11.121 --> 00:36:11.241]  Obama!
[00:36:11.241 --> 00:36:11.941]  Obama!
[00:36:11.941 --> 00:36:12.121]  Obama!
[00:36:12.121 --> 00:36:12.261]  Obama!
[00:36:12.261 --> 00:36:12.761]  Obama!
[00:36:12.761 --> 00:36:13.162]  Obama!
[00:36:13.162 --> 00:36:13.322]  Obama!
[00:36:13.322 --> 00:36:13.662]  Obama!
[00:36:13.662 --> 00:36:13.862]  Obama!
[00:36:13.862 --> 00:36:14.002]  Obama!
[00:36:14.002 --> 00:36:14.142]  Obama!
[00:36:14.142 --> 00:36:14.422]  Obama!
[00:36:14.422 --> 00:36:14.722]  Obama!
[00:36:14.722 --> 00:36:14.982]  Obama!
[00:36:14.982 --> 00:36:15.203]  Obama!
[00:36:15.203 --> 00:36:15.403]  Obama!
[00:36:15.403 --> 00:36:15.623]  Obama!
[00:36:15.623 --> 00:36:15.783]  Obama!
[00:36:15.783 --> 00:36:16.403]  Obama!
[00:36:16.403 --> 00:36:16.763]  Obama!
[00:36:16.763 --> 00:36:17.163]  Obama!
[00:36:17.163 --> 00:36:17.343]  Obama!
[00:36:17.343 --> 00:36:17.464]  Obama!
[00:36:17.464 --> 00:36:17.584]  Obama!
[00:36:17.584 --> 00:36:17.764]  Obama!
[00:36:17.764 --> 00:36:18.164]  Obama!
[00:36:18.164 --> 00:36:18.464]  Obama!
[00:36:18.464 --> 00:36:18.624]  Obama!
[00:36:18.624 --> 00:36:18.864]  Obama!
[00:36:18.864 --> 00:36:18.984]  Obama!
[00:36:18.984 --> 00:36:19.104]  Obama!
[00:36:19.104 --> 00:36:19.264]  Obama!
[00:36:19.264 --> 00:36:19.484]  Obama!
[00:36:19.484 --> 00:36:20.145]  Obama!
[00:36:20.145 --> 00:36:20.365]  Obama!
[00:36:20.365 --> 00:36:20.545]  Obama!
[00:36:20.545 --> 00:36:20.685]  Obama!
[00:36:20.685 --> 00:36:20.885]  Obama!
[00:36:20.885 --> 00:36:21.125]  Obama!
[00:36:21.125 --> 00:36:21.365]  Obama!
[00:36:21.365 --> 00:36:21.545]  Obama!
[00:36:21.545 --> 00:36:21.665]  Obama!
[00:36:21.665 --> 00:36:22.186]  Obama!
[00:36:22.186 --> 00:36:22.386]  Obama!
[00:36:22.386 --> 00:36:22.626]  Obama!
[00:36:22.626 --> 00:36:22.886]  Obama!
[00:36:22.886 --> 00:36:23.026]  Obama!
[00:36:23.026 --> 00:36:23.246]  Obama!
[00:36:23.246 --> 00:36:23.426]  Obama!
[00:36:23.426 --> 00:36:23.586]  Obama!
[00:36:23.586 --> 00:36:23.906]  Obama!
[00:36:23.906 --> 00:36:24.567]  Obama!
[00:36:24.567 --> 00:36:24.687]  Obama!
[00:36:24.687 --> 00:36:24.867]  Obama!
[00:36:24.867 --> 00:36:25.027]  Obama!
[00:36:25.027 --> 00:36:25.147]  Obama!
[00:36:25.147 --> 00:36:25.307]  Obama!
[00:36:25.307 --> 00:36:25.527]  Obama!
[00:36:25.527 --> 00:36:25.707]  Obama!
[00:36:25.707 --> 00:36:25.847]  Obama!
[00:36:25.847 --> 00:36:25.967]  Obama!
[00:36:25.967 --> 00:36:26.087]  Obama!
[00:36:26.087 --> 00:36:26.207]  Obama!
[00:36:26.207 --> 00:36:26.327]  Obama!
[00:36:26.327 --> 00:36:26.447]  Obama!
[00:36:26.447 --> 00:36:26.568]  Obama!
[00:36:26.568 --> 00:36:26.688]  Obama!
[00:36:26.688 --> 00:36:26.808]  Obama!
[00:36:26.808 --> 00:36:26.928]  Obama!
[00:36:26.928 --> 00:36:27.088]  Obama!
[00:36:27.088 --> 00:36:27.208]  Obama!
[00:36:27.208 --> 00:36:27.468]  Obama
[00:36:30.413 --> 00:36:34.056]  And when the troops come to take you to the FEMA camp, you'll just thank them.
[00:36:34.056 --> 00:36:35.477]  Oh, thank you.
[00:36:35.477 --> 00:36:36.258]  Thank you.
[00:36:36.258 --> 00:36:37.559]  Oh, yes.
[00:36:37.559 --> 00:36:42.443]  I'm patriotic.
[00:36:42.443 --> 00:36:47.968]  All right, let's get serious because I want to go to your calls at 877-590-5525.
[00:36:47.968 --> 00:36:52.332]  You know, it's admitted a year and a half after we broke the story with the secret FEMA documents here on air.
[00:36:52.697 --> 00:37:00.220]  They've hired 26,000 preachers covertly through FEMA to tell their flocks to hand their guns in and go to FEMA camps.
[00:37:00.220 --> 00:37:06.062]  You think FEMA's covertly hiring 26,000 preachers because they want to play patty cake with you?
[00:37:06.062 --> 00:37:15.046]  No, they knew a long time ago their banker masters were going to steal everything you had, your police and fire department and teacher pension funds.
[00:37:15.046 --> 00:37:20.008]  And now they've got an army made up of illegal aliens and felons who will enforce all the theft.
[00:37:22.594 --> 00:37:25.895]  And if you don't grow up and say no to this, they're going to go along with the next phase.
[00:37:25.895 --> 00:37:28.595]  They're testing you right now.
[00:37:28.595 --> 00:37:30.716]  Now, go back a couple months ago.
[00:37:30.716 --> 00:37:32.176]  What did I say you'd see?
[00:37:32.176 --> 00:37:36.417]  I said you'd hear about the Army on the streets of America.
[00:37:36.417 --> 00:37:42.158]  Now, they openly admit it's to suppress you during rioting and collapse of society.
[00:37:42.158 --> 00:37:51.120]  That's in the documents, but when they publicly announce it to the cattle, they tell you, oh, the Army's going to be helping change tires and get people out of car wrecks.
[00:37:51.857 --> 00:37:53.558]  Remember, I told you that's what you'd hear.
[00:37:53.558 --> 00:37:54.839]  Remember?
[00:37:54.839 --> 00:37:55.420]  How did I know?
[00:37:55.420 --> 00:37:56.601]  I was reading the full report.
[00:37:56.601 --> 00:38:00.944]  They said they would do PR propaganda, and sure enough, here it is.
[00:38:00.944 --> 00:38:04.587]  It is now in the newspaper.
[00:38:04.587 --> 00:38:05.928]  This is out of the Coastal Courier.
[00:38:05.928 --> 00:38:08.610]  It's in scores of papers, similar propaganda.
[00:38:08.610 --> 00:38:19.138]  Specialist Dale Swanger from the 3rd Infantry Division, Alpha Company, 1st Battalion, Field Artillery, uses the jaws of life to extract someone from a car.
[00:38:21.431 --> 00:38:26.937]  And it goes in to say, oh, well, the troops are just here to help at car wrecks, Mr. Jones.
[00:38:26.937 --> 00:38:31.701]  OK, you said we'd have troops on the streets, but what, you're against them live-flighting people?
[00:38:31.701 --> 00:38:34.084]  You're against them with the jaws of life?
[00:38:34.084 --> 00:38:39.229]  Well, see, you're being acclimated, just like a domesticated hog goes, well, I like my master.
[00:38:39.229 --> 00:38:41.791]  He brings me grain.
[00:38:41.791 --> 00:38:45.275]  You're being acclimated to live in the pen before you go to the slaughterhouse.
[00:38:47.230 --> 00:38:52.815]  You're like a horse that loves its master when he puts you in the trailer to take you to the glue factory.
[00:38:52.815 --> 00:38:53.455]  And the troops!
[00:38:53.455 --> 00:38:54.917]  This is to acclimate them too!
[00:38:54.917 --> 00:38:58.720]  Oh yeah, you're gonna be on the streets of America now, helping at car wrecks!
[00:38:58.720 --> 00:39:01.582]  And the troops are like, well I guess that's alright.
[00:39:01.582 --> 00:39:07.387]  And the cops are like, yeah, yeah, uh, they're here to help at car wrecks now.
[00:39:07.387 --> 00:39:08.208]  The army's here.
[00:39:08.208 --> 00:39:13.793]  All of a sudden, uh, I heard that Alex on air saying it was tyranny, but
[00:39:14.481 --> 00:39:19.103]  I mean, it ain't tyranny to be helpin' at a car wreck or nothin'.
[00:39:19.103 --> 00:39:23.805]  I mean, what you kids helpin' in wrecks for?
[00:39:23.805 --> 00:39:27.266]  See how they're manipulating your little minds?
[00:39:27.266 --> 00:39:30.727]  The troops, the police, the general public, all of us!
[00:39:30.727 --> 00:39:33.168]  I don't like Army PSYOPs being right on me!
[00:39:33.168 --> 00:39:34.549]  It gets me angry!
[00:39:35.598 --> 00:39:36.018]  You know why?
[00:39:36.018 --> 00:39:38.059]  Because I know what comes at the end of the tunnel.
[00:39:38.059 --> 00:39:40.239]  I know what comes at the end of this little ride.
[00:39:40.239 --> 00:39:43.580]  I know these people have been training to take our guns!
[00:39:43.580 --> 00:39:44.880]  I've got them on video!
[00:39:44.880 --> 00:39:47.961]  AHHHHH!
[00:39:47.961 --> 00:39:50.102]  That's the problem, you idiots!
[00:39:50.102 --> 00:39:51.942]  Yes, they're coming for your guns.
[00:39:51.942 --> 00:39:54.083]  Yes, Obama's coming for your guns.
[00:39:54.083 --> 00:39:55.323]  And it didn't just start today.
[00:39:55.751 --> 00:39:58.172]  This establishment wants to domesticate you.
[00:39:58.172 --> 00:40:00.853]  They want you to be a dominated milk hog.
[00:40:00.853 --> 00:40:01.613]  They milk.
[00:40:01.613 --> 00:40:02.974]  The elite is cold-blooded.
[00:40:02.974 --> 00:40:05.215]  They don't care about you or your liberty or your freedom.
[00:40:05.215 --> 00:40:07.336]  They're not your friends.
[00:40:07.336 --> 00:40:20.941]  All the TV ads and PR and propaganda and shows like Homeland Security, USA, and all of it is to make the government the moral authority, the heroes in our minds, so we're sold on going along with their tyranny.
[00:40:23.871 --> 00:40:27.933]  You know, Homeland Security USA is going to debut in a few days on ABC.
[00:40:27.933 --> 00:40:30.675]  I went and watched the promos for it online.
[00:40:30.675 --> 00:40:31.235]  And you know what?
[00:40:31.235 --> 00:40:34.197]  They're doing what's legitimate, what's under the Constitution.
[00:40:34.197 --> 00:40:35.117]  See, they're slick.
[00:40:35.117 --> 00:40:40.340]  They're showing the Border Patrol, they're showing the Coast Guard, they're showing these great men and women.
[00:40:40.340 --> 00:40:44.363]  And then see, in the second season, you watch in a year.
[00:40:44.363 --> 00:40:45.603]  Or in six months.
[00:40:45.603 --> 00:40:50.366]  Then it'll be the anti-gun teams on the streets in Homeland Security USA.
[00:40:50.694 --> 00:40:51.795]  And the local spy groups.
[00:40:51.795 --> 00:41:00.561]  But see, they're going to sell you on the show first with the admirable Border Patrol, the admirable Coast Guard.
[00:41:00.561 --> 00:41:02.982]  So see, people are like, well what's wrong with it?
[00:41:02.982 --> 00:41:05.104]  What's wrong with Homeland Security USA?
[00:41:05.104 --> 00:41:06.785]  Shows them protecting our border.
[00:41:06.785 --> 00:41:09.767]  Because the establishment knows you want our border protected.
[00:41:09.767 --> 00:41:12.168]  The fact is they don't let the troops protect the border.
[00:41:12.168 --> 00:41:15.170]  And the troops are openly designed for the American people.
[00:41:15.170 --> 00:41:17.232]  And these giant deployments are for us.
[00:41:17.232 --> 00:41:18.873]  But to sell us on this image,
[00:41:19.124 --> 00:41:24.047]  They're going to show us Homeland Security USA with troops, with the Border Patrol and others.
[00:41:24.047 --> 00:41:27.309]  You see, in a legitimate role to then set the stage.
[00:41:27.309 --> 00:41:29.090]  See, that's the type of propaganda.
[00:41:29.090 --> 00:41:30.690]  There's thousands of different types.
[00:41:30.690 --> 00:41:36.694]  But that's just one that I'm pointing out here for you.
[00:41:36.694 --> 00:41:38.895]  Again, am I against the average troops?
[00:41:38.895 --> 00:41:40.656]  Am I against the average soldier?
[00:41:40.656 --> 00:41:40.876]  No.
[00:41:40.876 --> 00:41:42.177]  Am I against the average cop?
[00:41:42.177 --> 00:41:42.597]  No.
[00:41:42.597 --> 00:41:45.659]  I'm against the directives from on high.
[00:41:46.787 --> 00:41:56.309]  The mission statements, the rules of engagement you've been given, the Army War College admits, the Pentagon admits, they are preparing the U.S.
[00:41:56.309 --> 00:41:58.730]  military to engage the American people.
[00:41:58.730 --> 00:42:06.651]  And the private offshore bankers that own this country through fraud, it's fraudulent, are going to create a scenario where I might even beg for troops.
[00:42:06.651 --> 00:42:08.192]  That's right.
[00:42:08.192 --> 00:42:12.173]  Because you're on a two-front war here.
[00:42:12.173 --> 00:42:13.913]  Within three to five days, Army
[00:42:14.480 --> 00:42:18.481]  Studies going back to the 50s, 60s, 70s, 80s show all over the world.
[00:42:18.481 --> 00:42:23.743]  Within three to five days of limited food and water, almost everyone will steal.
[00:42:23.743 --> 00:42:30.305]  Within 10 to 15 days, 99% of people will kill for food.
[00:42:30.305 --> 00:42:35.927]  Now you take this decadent slob population, totally spoiled.
[00:42:37.745 --> 00:42:39.605]  They don't get food for a week or two, folks.
[00:42:39.605 --> 00:42:40.986]  They will turn in their guns.
[00:42:40.986 --> 00:42:42.186]  They will hand over their children.
[00:42:42.186 --> 00:42:43.246]  They will go to FEMA camps.
[00:42:43.246 --> 00:42:45.047]  They will take forced inoculations.
[00:42:45.047 --> 00:42:46.087]  And then everything will be fixed.
[00:42:46.087 --> 00:42:47.407]  The government will back off.
[00:42:47.407 --> 00:42:48.408]  It'll set the precedent.
[00:42:48.408 --> 00:42:55.509]  Hey, look, they got things fixed during the rioting in 2010.
[00:42:55.509 --> 00:42:59.130]  Hey, you know, Alex, you were right about the troops planning all this, but you know what?
[00:42:59.130 --> 00:43:00.131]  Good thing they were there.
[00:43:00.131 --> 00:43:01.631]  And then the precedent's set.
[00:43:01.631 --> 00:43:03.772]  Troops are on the streets of America forever.
[00:43:03.772 --> 00:43:05.392]  And then the real tyranny can start.
[00:43:08.137 --> 00:43:14.040]  The next wave of staged terror to be blamed on the militias and the people of the United States.
[00:43:14.040 --> 00:43:19.003]  So see, this is going to be gradual program of enslavement that we're going into.
[00:43:19.003 --> 00:43:23.885]  Your phone calls the second we come out hot with our afterburners from this break.
[00:43:23.885 --> 00:43:24.826]  Strap yourselves in.
[00:43:24.826 --> 00:43:27.207]  You found the front lines of the Infowars!
[00:43:27.207 --> 00:43:30.509]  So you finally decided you're going to stock up and store food.
[00:43:30.509 --> 00:43:33.090]  But why settle for bland, tasteless food?
[00:43:33.090 --> 00:43:34.491]  Why settle for less?
[00:43:34.491 --> 00:43:35.732]  There is an alternative.
[00:43:36.112 --> 00:43:37.853]  InternetGrocer.net.
[00:43:37.853 --> 00:43:41.334]  Enjoy the most delicious storable food at amazing prices.
[00:43:41.334 --> 00:43:45.235]  Enjoy creamy, delicious, real cheddar cheese in a can.
[00:43:45.235 --> 00:43:48.337]  Indulge in real canned meats and real canned butter.
[00:43:48.337 --> 00:43:55.319]  Storable meals from InternetGrocer.net will bring such variety and flavor you won't be able to tell you're actually eating storable food.
[00:43:55.319 --> 00:43:57.660]  You can purchase by the can or by the case.
[00:43:57.660 --> 00:44:00.261]  Choose a variety pack or an entire year's worth of food.
[00:44:00.601 --> 00:44:06.002]  InternetGrocer.net has non-hybrid seeds that will produce delicious food for you and your family.
[00:44:06.002 --> 00:44:08.023]  Ensure your food supply for years.
[00:44:08.023 --> 00:44:10.943]  Find out just how delicious storable food can be.
[00:44:10.943 --> 00:44:11.163]  Call 903-356-6443.
[00:44:11.163 --> 00:44:11.404]  That's 903-356-6443.
[00:44:11.404 --> 00:44:11.904]  Open from 9 a.m.
[00:44:11.904 --> 00:44:12.164]  to 6 p.m.
