[00:00:00.009 --> 00:00:01.631]  Welcome, welcome, welcome on this 19th day of November 2008.
[00:29:13.712 --> 00:29:20.635]  And we've had a dust-in from Frank D'Alessio, who gathered a sample ten minutes after the North Tower collapsed.
[00:29:20.676 --> 00:29:30.380]  That dust is full of these red chips, red on one side, gray on the other, that are very actively being studied now by three labs.
[00:29:30.861 --> 00:29:33.582]  And there are other labs anxious to study this material.
[00:29:34.522 --> 00:29:39.745]  And the reason I mention this, I had an email from David here just before your program.
[00:29:40.525 --> 00:29:41.646]  We would like to encourage
[00:29:42.515 --> 00:29:43.136]  Thank you.
[00:30:02.714 --> 00:30:10.979]  The labs now are here in Indiana and New Hampshire, and we want to spread that to France and Australia and so on.
[00:30:10.999 --> 00:30:17.482]  There are people in France just very anxious to get their hands on a small 9-11 dust sample.
[00:30:18.042 --> 00:30:18.283]  Sure.
[00:30:18.303 --> 00:30:21.904]  They can look for the microspheres and the red-grey chips.
[00:30:22.125 --> 00:30:26.387]  So, Stephen, would you want them to send it directly to you, or how would they get it to you?
[00:30:27.532 --> 00:30:32.714]  Okay, I wouldn't want it to come directly to me, then we have problems with chain of custody.
[00:30:33.454 --> 00:30:39.696]  But if they want to write to me, or... You could give them the address where to send it.
[00:30:39.716 --> 00:30:41.217]  I can give them the address, right.
[00:30:41.617 --> 00:30:46.859]  Professor Barbarian in France needs a sample desperately, for example.
[00:30:47.677 --> 00:30:50.299]  And we're trying to get that over to him.
[00:30:50.379 --> 00:30:55.684]  It needs to be, a sample needs to be about what would fit in your hand, you know, a cup-shaped hand.
[00:30:55.724 --> 00:30:57.245]  Well, how do folks get in contact with you?
[00:30:57.265 --> 00:30:57.886]  Through the journal?
[00:30:58.907 --> 00:31:12.438]  Yeah, if they go to the journal of 911studies.com, and then up at the top click on Contact Us, they can write to either Kevin, or either of the three editors, Kevin Ryan, Frank Legge, a Ph.D.
[00:31:12.478 --> 00:31:15.321]  chemist in Australia, or myself.
[00:31:16.694 --> 00:31:25.921]  Or if, this is David Griffin, if anybody just wants to email me, if you know my email, I'm in contact with the same people in France, so I can give you the address too.
[00:31:26.822 --> 00:31:36.950]  Right, so we're very anxious to turn this into an international, basically a public, conducted investigation with the public being involved in providing... Well that is the good news!
[00:31:36.970 --> 00:31:41.853]  We also have Russian TV, French, Spanish, Japanese, I mean they're all...
[00:31:42.955 --> 00:31:43.836]  We're good to go.
[00:32:00.696 --> 00:32:06.459]  But at another level, it's already gone international and actually seems to be building despite that.
[00:32:06.479 --> 00:32:10.942]  And you know, false flag terrorism has now entered the nomenclature.
[00:32:11.242 --> 00:32:12.723]  It's in movies, it's in culture.
[00:32:13.363 --> 00:32:20.907]  People are now looking for it, so it seems that the tool of government, of false flag, or corporations, has been damaged to a certain extent.
[00:32:20.967 --> 00:32:22.949]  And some people say to me, well, why do you care?
[00:32:23.009 --> 00:32:23.809]  That was seven years ago.
[00:32:23.829 --> 00:32:28.712]  The whole point is the entire post 9-11 world, this whole surveillance grid,
[00:32:30.009 --> 00:32:30.849]  Yes, let me make three points.
[00:32:31.330 --> 00:32:35.372]  One is, I think the election of Obama is a reason to gear up, not to slow down.
[00:32:35.392 --> 00:32:38.954]  Because, although we all tried, there was no realistic chance, as long as Bush was in power,
[00:33:00.331 --> 00:33:03.152]  That anything was going to happen in the United States.
[00:33:03.792 --> 00:33:11.535]  But with a new administration, a new Attorney General, and so on, there is really a chance that we could have an investigation.
[00:33:12.076 --> 00:33:14.376]  Now, some people were motivated by revenge.
[00:33:14.416 --> 00:33:18.638]  They wanted Bush and Cheney and the gang to be punished, and that's understandable.
[00:33:19.018 --> 00:33:20.499]  But that's not the main thing.
[00:33:21.179 --> 00:33:24.380]  The main thing is to get the policies changed, as you've indicated.
[00:33:25.241 --> 00:33:28.742]  The so-called war on terror is set to continue.
[00:33:29.344 --> 00:33:44.048]  Obama thus far has talked about increasing our activities in Afghanistan, and they're still talking as if they believe that Osama bin Laden is still alive, even though there's no evidence that he's been alive.
[00:33:44.068 --> 00:33:45.969]  In fact, it appears they're reviving him!
[00:33:45.989 --> 00:33:54.751]  Yeah, he's... I'm just writing a paper on that, and the evidence is very strong.
[00:33:55.441 --> 00:34:01.764]  The evidence that he's been alive since 2001 is really extremely weak to non-existent.
[00:34:02.424 --> 00:34:07.586]  So that's one point, that we should be increasing our activity, not decreasing it.
[00:34:08.127 --> 00:34:17.371]  Secondly, on this internationalization, I just returned from a tour in Japan, and there is increasing interest there.
[00:34:17.431 --> 00:34:22.793]  We had almost 500 people turn out in Tokyo for an all-day conference.
[00:34:25.809 --> 00:34:32.050]  And then we have political leaders in Tokyo who have taken a public stand.
[00:34:32.671 --> 00:34:34.511]  And of course, that adds credibility.
[00:34:35.291 --> 00:34:47.414]  And I've been working with Fujita and another person to bring about a group called Political Leaders for 9-11 Truth, which will be an international movement.
[00:34:47.894 --> 00:34:52.035]  We already, in fact, have a website, although if you go there, there's nothing on it there.
[00:34:52.435 --> 00:34:54.015]  But we're all ready to fill in the
[00:34:54.727 --> 00:34:55.227]  The data.
[00:34:55.367 --> 00:34:57.328]  So that'll be a significant event.
[00:34:58.088 --> 00:35:02.390]  And thirdly... Hello, are you still there?
[00:35:02.450 --> 00:35:03.031]  Yes, we're here.
[00:35:03.571 --> 00:35:11.794]  Okay, I just... Thirdly, a new group has just formed called Lawyers for 9-11 Truth, which is an international group.
[00:35:12.595 --> 00:35:19.978]  And William Pepper and many other leading lawyers have already signed up, and it's moving along rather quickly.
[00:35:21.875 --> 00:35:40.823]  The point is that whereas Stephen and Kevin and others have led the way to get us to this point, where the science is so strong, that it's now time to turn it over to the political and legal realm, and that is now starting to happen.
[00:35:41.063 --> 00:35:42.283]  Alright, well let's look forward.
[00:35:42.743 --> 00:35:46.185]  First you, Professor Grimmond, and then quickly, and then get a
[00:35:48.499 --> 00:35:50.220]  response from Professor Jones.
[00:35:50.721 --> 00:35:52.562]  How do you see it unfolding in the future?
[00:35:52.582 --> 00:35:53.983]  Because it is continuing to grow.
[00:35:54.243 --> 00:36:00.188]  People understand how core an issue it is of government-sponsored terror, of provocateur actions.
[00:36:00.588 --> 00:36:01.909]  How do you see it unfolding?
[00:36:01.929 --> 00:36:04.391]  Do you see any justice to the perpetrators?
[00:36:04.451 --> 00:36:16.520]  Or do you just see it becoming a public secret that this has been done, thus deterring some of the same institutions from pulling off similar events in the future?
[00:36:17.432 --> 00:36:19.872]  Well, I would prefer a third alternative.
[00:36:21.013 --> 00:36:28.534]  As I say, I'm not interested in and resent, and I'm rather encouraged by Obama.
[00:36:28.554 --> 00:36:30.534]  I know some people aren't, but I am.
[00:36:31.135 --> 00:36:36.576]  First of all, he is very bright, and secondly, I believe he has also got a strong moral compass.
[00:36:37.596 --> 00:36:43.737]  And he also appreciates constitutional law, and he knows what has been done here.
[00:36:45.143 --> 00:36:51.264]  And so I think that he will be open to, he and his people will be open to evidence.
[00:36:51.944 --> 00:37:04.947]  So that's why I say I think we need to ramp things up and present the strongest evidence and take every route we can to get it, bring it to the attention of the Obama people.
[00:37:05.607 --> 00:37:13.809]  Because I think there is the chance for real investigation, but also he has shown that he has this
[00:37:14.944 --> 00:37:21.865]  Virtue called forgiveness that, you know, at least in our Christian tradition, has been called a virtue.
[00:37:22.645 --> 00:37:26.326]  And he's willing to let bygones be bygones.
[00:37:26.566 --> 00:37:38.988]  And so I think if the most hopeful route would be a truth and reconciliation commission, where the main thing would be to get the truth out and therefore get the policies changed.
[00:37:39.608 --> 00:37:42.949]  And if these people, you know, they'll have their own punishment.
[00:37:45.264 --> 00:37:52.647]  You know, just knowing what they did, and having other people know what they did, that's a very secondary or tertiary matter from my point of view.
[00:37:53.808 --> 00:37:54.688]  Professor Jones?
[00:37:55.729 --> 00:37:56.869]  Yeah.
[00:37:57.930 --> 00:38:11.896]  I guess mine would be almost a fourth alternative, or maybe a modification of a couple others, and that is, I think, from the people, ourselves, internationally now, as it's clear that there's an awakening going on.
[00:38:12.668 --> 00:38:26.411]  I think that there can be this grassroots movement, coupled, frankly, with economic difficulties that are making people say, well, wait a minute, maybe I shouldn't trust the government and everything, you know?
[00:38:27.271 --> 00:38:39.034]  I mean, the depression or recession, whatever you want to call it, that seems to be spreading internationally is inducing people to take a hard look at what has brought us to this state.
[00:38:39.774 --> 00:38:40.654]  And as that happens,
[00:38:41.221 --> 00:38:52.669]  Through the internet and programs like yours, Alex, the truth about 9-11, I believe, will resonate with more people, and we'll have this grassroots movement demanding answers.
[00:38:53.629 --> 00:39:03.096]  And I think that, coupled with the science, will force politicians, even in our own Congress, to say, look, we need to take a look at this.
[00:39:03.336 --> 00:39:08.219]  I might say that our Congressman, my Congressman, here in Utah,
[00:39:09.140 --> 00:39:16.462]  Came over to my little apartment and spent an hour with me, one-on-one, discussing 9-11 issues and the research that I've done.
[00:39:17.283 --> 00:39:20.504]  And he is very supportive of a 9-11 investigation.
[00:39:21.184 --> 00:39:22.004]  Jason Chaffetz.
[00:39:22.264 --> 00:39:23.244]  Just newly elected.
[00:39:23.925 --> 00:39:25.265]  Replaced Chris Cannon.
[00:39:25.565 --> 00:39:28.806]  Well, Jason Chaffetz.
[00:39:29.526 --> 00:39:30.367]  Chaffetz, right.
[00:39:30.807 --> 00:39:37.929]  So, you know, I'm very encouraged, and I know there are a lot of people locally and internationally
[00:39:40.108 --> 00:39:41.609]  Is that a federal congressman?
[00:39:42.450 --> 00:39:42.650]  Yes.
[00:39:43.470 --> 00:39:45.352]  How do you spell his name, Jason Chaffetz?
[00:39:46.192 --> 00:39:50.575]  Chaffetz, C-H-A-F-F-E-T-Z.
[00:39:51.316 --> 00:39:52.256]  Alright, I want to get him on.
[00:39:53.377 --> 00:39:54.718]  Well, okay.
[00:39:54.878 --> 00:40:00.782]  He's new into the Congress, his first round, you know, in Congress.
[00:40:00.862 --> 00:40:03.244]  So he is a 9-11 truther or he's investigating?
[00:40:04.358 --> 00:40:09.741]  I was, he supports an investigation and he wanted to talk to me and so we did for an hour in my apartment.
[00:40:09.781 --> 00:40:10.741]  Well, that's fabulous.
[00:40:11.542 --> 00:40:12.702]  That is fabulous news.
[00:40:14.903 --> 00:40:19.326]  Okay, in the... People are... In the ten minutes... People are... Go ahead.
[00:40:19.486 --> 00:40:20.226]  No, no, no.
[00:40:20.246 --> 00:40:29.371]  I mean, you were saying that the people are... People are leaning on their congressman to do an investigation.
[00:40:29.431 --> 00:40:33.173]  I'm hoping that is, you know, various conditions
[00:40:34.159 --> 00:40:40.502]  David Ray Griffin, isn't there also a facet to this that the people have learned that when the mainstream media uh... is
[00:41:01.713 --> 00:41:18.022]  is attacking a 9-11 truth movement or a JFK investigation movement or any other movement that generally the mainstream media is so discredited now that it almost makes people then go investigate what we're saying.
[00:41:19.083 --> 00:41:26.267]  I mean I found as bad as the History Channel piece was that it seemed to backfire on them and got more people to actually look at the evidence.
[00:41:28.291 --> 00:41:32.514]  Well, yeah, and the BBC show had the same effect.
[00:41:34.535 --> 00:41:55.589]  Yeah, and just building on what Stephen was saying there, I think that it will take an international movement, and that's why I'm encouraged that Japan, it looks like now, will be putting pressure on Washington and saying, look, we lost some people in the towers.
[00:41:58.382 --> 00:42:04.645]  We've only had the assurance of President Bush that these were Muslims who did this.
[00:42:05.025 --> 00:42:05.826]  Give us the proof.
[00:42:07.487 --> 00:42:24.877]  I understand from Annie McCollum, she was here recently from the UK, the leader of the London movement, and she says that whereas some people in the United States had said things were dying down a little bit here because the Bush-Cheney people would be leaving office,
[00:42:25.342 --> 00:42:29.985]  That in Europe it's actually getting much more interest.
[00:42:30.125 --> 00:42:35.028]  Well, let me say, it's only getting bigger from what I see in New York this last year and other places.
[00:42:35.648 --> 00:42:44.133]  I'm just seeing some fear that, you know, it's a Bush-centric, all about Bush, whereas the very same military industrial complex that did this
[00:42:44.993 --> 00:42:45.754]  Uh, is still there.
[00:42:46.334 --> 00:42:51.037]  And I think that's the point that has to be made, but we'll see, uh, what Barack Obama does.
[00:42:51.097 --> 00:42:57.922]  I mean, I have to tell you, appointing Hillary Clinton, or moving to put her in Secretary of State, and a bunch of other stuff, I think we're going to see betrayal from him.
[00:42:58.322 --> 00:42:59.403]  But, we can hope for the best.
[00:42:59.463 --> 00:43:00.624]  Final segment with Evan Ray Griffin.
[00:43:01.440 --> 00:43:03.281]  Heart disease is on the rise.
[00:43:03.421 --> 00:43:08.584]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you.
[00:43:08.764 --> 00:43:10.105]  But the symptoms are there.
[00:43:10.385 --> 00:43:18.550]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[00:43:18.770 --> 00:43:24.493]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[00:43:24.673 --> 00:43:26.453]  My blood pressure has normalized.
[00:43:26.514 --> 00:43:28.674]  My diabetes has totally improved.
[00:43:28.694 --> 00:43:33.055]  Everyone is telling me now how much healthier I look, and I'm telling everyone how much healthier I feel.
[00:43:33.235 --> 00:43:35.356]  I recommend Heart and Body Extract to everyone.
[00:43:35.456 --> 00:43:42.798]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[00:43:43.378 --> 00:43:45.719]  Order your two-month supply today by calling 866-295-5305.
[00:43:45.759 --> 00:43:46.179]  That's 866-295-5305.
[00:43:46.219 --> 00:43:48.060]  Or order online at HBextract.com.
[00:43:48.080 --> 00:43:49.821]  Heart and Body Extract, 866-295-5305.
[00:43:50.001 --> 00:43:50.841]  Or HBextract.com.
[00:43:50.861 --> 00:43:52.382]  Our beloved Republic is on her knees.
[00:44:02.746 --> 00:44:06.210]  The forces of globalism are destroying national sovereignty worldwide.
[00:44:06.370 --> 00:44:08.252]  But in Liberty's darkest hour, there is hope.
[00:44:08.833 --> 00:44:11.556]  The first time in modern history, the people are beginning to wake up.
[00:44:11.876 --> 00:44:17.342]  It is essential that patriots worldwide accelerate their fellow man's understanding of the New World Order Master Plan.
[00:44:17.603 --> 00:44:21.527]  We have a short time frame to fully awaken and energize the people to meet this threat.
[00:44:21.847 --> 00:44:26.751]  In the Info War, PrisonPlanet.tv is a powerful weapon in the battle to regain our freedom.
[00:44:27.051 --> 00:44:29.813]  PrisonPlanet.tv is a vault of forbidden information.
[00:44:30.093 --> 00:44:36.938]  All 18 of my documentary films can be downloaded or streamed in super high quality directly to your computer or iPhone and shared with others.
[00:44:37.318 --> 00:44:43.122]  Thousands of special video reports, from tainted vaccines to martial law, can be found in this online video library.
[00:44:43.283 --> 00:44:47.806]  My weekly news television broadcast, thousands of exclusive audio interviews, and so much more.
[00:44:48.106 --> 00:44:50.610]  The Info War is waiting for you to set it free.
[00:44:50.971 --> 00:44:52.614]  Join PrisonPlanet.tv.
[00:44:53.014 --> 00:44:54.798]  Burn the info bombs to disk.
[00:44:54.998 --> 00:44:56.801]  Put them on the file sharing networks.
[00:44:57.142 --> 00:44:58.564]  Bring down the New World Order.
[00:44:58.925 --> 00:44:59.686]  PrisonPlanet.tv
[00:45:00.931 --> 00:45:02.412]  Alex Jones here with a question.
[00:45:02.612 --> 00:45:04.053]  What does humidity mean to you?
[00:45:04.353 --> 00:45:06.575]  Most people think of hot and sticky summer days.
[00:45:07.035 --> 00:45:11.778]  But many people are beginning to realize that humidity can be a valuable source of pure drinking water.
[00:45:12.178 --> 00:45:15.000]  That's why I'd like you to visit acolablue.com.
[00:45:15.360 --> 00:45:18.862]  Acolablue is a state-of-the-art atmospheric water generator.
[00:45:19.252 --> 00:45:31.257]  Producing purified drinking water from the humidity in the air using reverse osmosis and a five-stage carbon and UV light filtration system which produces great tasting water at an unbeatable price.
[00:45:31.817 --> 00:45:33.798]  Finally, drinking water that you control.
[00:45:33.818 --> 00:45:35.119]  I use one every day.
[00:45:35.539 --> 00:45:38.000]  Say goodbye to expensive water delivery services.
[00:45:38.360 --> 00:45:40.983]  And storing 5 gallon bottles of water in your home.
[00:45:41.223 --> 00:45:43.525]  The Ecola Blue 28 is shipped right to your home.
[00:45:43.806 --> 00:45:45.948]  Ready to make close to 7 gallons a day.
[00:45:46.348 --> 00:45:47.129]  Right out of the box.
[00:45:47.609 --> 00:45:49.411]  They have a 30 day money back guarantee.
[00:45:49.732 --> 00:45:51.253]  Call Ecola Blue right now at 866-585-4044.
[00:45:51.273 --> 00:45:51.533]  That's 866-585-4044.
[00:45:51.553 --> 00:45:52.875]  Or visit Ecola Blue at ecoloble.com today.
[00:46:03.939 --> 00:46:14.348]  Alright, final segments with Professor Stephen Jones, who I want to get back on separately by himself and Edward Ray Griffin by himself in the near future, but I thought it would be neat to have both of them on together today.
[00:46:15.388 --> 00:46:17.170]  And we appreciate them joining us.
[00:46:17.530 --> 00:46:28.659]  Before I go back to them, PrisonPlanet.tv, all of my films of super high quality, the last hour of the show every day live, with the document cam, the video feeds, extras from films that aren't even on the DVDs,
[00:46:29.680 --> 00:46:39.414]  My in-studio reports, just so much, is at PrisonPlanet.tv and your membership there funds this operation and what we do here, $5.95 a month.
[00:46:39.834 --> 00:46:43.319]  But right now you can get five months free when you sign up for a year.
[00:46:43.339 --> 00:46:44.281]  You basically pay for
[00:46:45.402 --> 00:46:46.643]  What is it?
[00:46:47.123 --> 00:46:54.008]  6.7 months and you get 5.3 months free at PrisonPlanet.tv right now through December.
[00:46:54.308 --> 00:46:58.191]  You can sign up for that right now and pay for six months.
[00:46:58.211 --> 00:47:00.032]  You basically get five plus months free.
[00:47:00.692 --> 00:47:02.113]  PrisonPlanet.tv.
[00:47:02.393 --> 00:47:03.154]  Check it out, folks.
[00:47:03.174 --> 00:47:07.777]  I know you know about the New World Order, but to your friends and family, you can actually give them your passcode as a present.
[00:47:07.897 --> 00:47:08.357]  I don't care.
[00:47:08.417 --> 00:47:09.098]  Use it for yourself.
[00:47:09.378 --> 00:47:09.878]  Give it to them.
[00:47:10.059 --> 00:47:10.979]  I want to get the word out.
[00:47:11.600 --> 00:47:12.880]  So that's my little present to you.
[00:47:14.001 --> 00:47:14.341]  Also,
[00:47:15.282 --> 00:47:17.022]  We're going to David Ray Griffin.
[00:47:17.063 --> 00:47:21.744]  Tell us about your latest book, your seventh book on 9-11.
[00:47:23.884 --> 00:47:33.607]  Well, that's the New Pearl Harbor Revisited, and some people have thought it's an update or a revision of the New Pearl Harbor, but not at all.
[00:47:33.667 --> 00:47:34.748]  It's a totally new book.
[00:47:35.468 --> 00:47:43.310]  The idea is that if a journalist or a politician were going to try to dig into this who knew nothing about it before,
[00:47:44.541 --> 00:47:52.103]  It's kind of overwhelming to think, you know, they might have to read 20 journal articles and three or seven books or so.
[00:47:52.663 --> 00:47:57.204]  So the idea was to try to get all the most essential information in two books.
[00:47:57.324 --> 00:48:03.046]  So it's now a two-volume set, The New Pearl Harbor and The New Pearl Harbor Revisited.
[00:48:03.126 --> 00:48:10.827]  And by the way, when you read these books, or you go over the 500 smoking guns of 9-11 online, it is mind-blowing.
[00:48:10.927 --> 00:48:13.028]  I mean, just how obvious it is, David.
[00:48:14.070 --> 00:48:27.275]  Well that's right, and I've always argued the main thing is a cumulative case that no matter which part of the story you look at, you find outright contradictions and lies.
[00:48:28.067 --> 00:48:33.649]  And just assertions that, from a scientific point of view, cannot be true.
[00:48:33.789 --> 00:48:34.490]  Well, that's it.
[00:48:35.390 --> 00:48:36.450]  It's the covering up.
[00:48:36.470 --> 00:48:38.751]  I mean, the other evidence is strong, too.
[00:48:39.071 --> 00:48:45.914]  But the covering up, the sneakiness, the lying, the acting so suspicious, I mean, that is really powerful.
[00:48:45.994 --> 00:48:49.075]  And in closing, Stephen Jones, your take on that.
[00:48:49.095 --> 00:48:53.076]  I mean, is that strong evidence, the way they lie and cover up?
[00:48:53.997 --> 00:48:54.417]  Well, sure.
[00:48:54.952 --> 00:49:10.815]  And of course, the steel was cut up and shipped out of this country over the protests of many scientists and engineers who felt that this data, this evidence, was crucial in solving and understanding what happened on 9-11.
[00:49:11.775 --> 00:49:23.297]  So, and again, now the dust we have is still extant, and I just wanted to re-emphasize, as I'm working with David and others, Kevin Ryan and others,
[00:49:24.059 --> 00:49:36.226]  Trying to understand and get samples of this 9-11 dust out to scientists worldwide so that we can really corroborate and confirm the results that we're getting.
[00:49:36.246 --> 00:49:36.866]  The findings?
[00:49:37.807 --> 00:49:39.468]  Yeah, the residues of explosives.
[00:49:40.048 --> 00:49:43.530]  So that people can hear about it from scientists.
[00:49:43.610 --> 00:49:51.154]  I believe that there's a lot of trust still in scientists as opposed to politicians, I guess I could say it that way.
[00:49:51.889 --> 00:50:01.334]  And I believe if we can get this out to the public and keep that public discussion going based on hard evidence, it will make tremendous strides in the next year.
[00:50:01.574 --> 00:50:02.215]  Absolutely.
[00:50:02.235 --> 00:50:04.376]  And folks, you can get in contact and read your papers.
[00:50:04.396 --> 00:50:06.057]  Tell them the best place for that.
[00:50:07.490 --> 00:50:17.118]  Just go to journalof911studies.com, and our other papers that are published in the more established journals are listed right up at the top on the home page.
[00:50:17.398 --> 00:50:23.423]  Alright, and then of course for David Ray Griffin's book and other materials, you can just Google David Ray Griffin, The New Pearl Harbor Revisited.
[00:50:23.743 --> 00:50:28.727]  Gentlemen, I want to thank you both for joining us today, and have a great Thanksgiving coming up next week.
[00:50:29.852 --> 00:50:30.653]  Thanks so much.
[00:50:30.673 --> 00:50:31.755]  My pleasure, Art.
