[00:00:00.029 --> 00:00:02.173]  A program note for everyone out there.
[00:26:15.650 --> 00:26:22.295]  It is compounding age-old instincts which have very little relevance to progress at all, including things like competition.
[00:26:22.335 --> 00:26:26.638]  If I was ever to call it an instinct, I'd say it's a natural culmination due to environment.
[00:26:27.159 --> 00:26:31.582]  If you're put into an environment of scarcity where there's no work, no jobs, you're going to be forced to steal.
[00:26:31.922 --> 00:26:33.603]  Your aberrant behavior is a creation.
[00:26:33.643 --> 00:26:40.929]  It's not inbred whatsoever, and I can defend that on multiple levels, but I'm going to move on to talk about the system itself, the monetary system,
[00:26:41.698 --> 00:26:43.579]  It doesn't matter if it's free enterprise.
[00:26:43.619 --> 00:26:48.641]  It doesn't matter if it's communistic or capitalistic or socialist.
[00:26:48.661 --> 00:26:54.003]  These are loaded terms based on basically outmoded ideologies that are no longer relevant.
[00:26:54.943 --> 00:27:04.067]  What we have is a system of competition that's inherently based on the assumption that human beings must fight with each other in order to survive.
[00:27:04.487 --> 00:27:05.087]  That's one.
[00:27:05.427 --> 00:27:10.369]  The second point is that human beings have to have incentive in order
[00:27:10.962 --> 00:27:11.202]  Thank you!
[00:27:32.648 --> 00:27:34.931]  You have all sorts of interests that you pursue.
[00:27:34.951 --> 00:27:38.035]  You have all sorts of creativities that you find fascinating.
[00:27:38.055 --> 00:27:39.197]  You don't know what money is.
[00:27:39.317 --> 00:27:41.480]  You don't need incentive to do something.
[00:27:41.500 --> 00:27:48.429]  Einstein and Galileo, all of these great men that contributed, they didn't need money as incentive to do something.
[00:27:48.996 --> 00:27:50.656]  This is something they did on their own accord.
[00:27:50.777 --> 00:28:00.039]  Unfortunately, the brainwashing of society has forced people into a disposition where they want to be rewarded for what they do, and that means they want monetary compensation.
[00:28:00.359 --> 00:28:05.020]  No one will do anything in society without reward, and that includes solving social problems.
[00:28:05.100 --> 00:28:10.062]  If you can't make money off of solving a social problem in the system, it won't be done.
[00:28:10.522 --> 00:28:13.363]  And that is a very, very sad state of affairs.
[00:28:14.263 --> 00:28:18.284]  The first part, the first mention that I made, was humans have to fight
[00:28:18.999 --> 00:28:22.600]  To compete for labor and income, the scarcity that exists in the system.
[00:28:22.900 --> 00:28:28.081]  This is created by the monetary system, not only through the fractional reserve system, but in the very structure itself.
[00:28:28.821 --> 00:28:40.163]  You can't have a society and expect progress in civil arrangements, ethics, decency, whatever you want to call it, morality, in a system where everyone is gaining off of everyone else through differential advantage.
[00:28:40.323 --> 00:28:43.784]  This can't work, it doesn't work, and it's never going to work.
[00:28:44.164 --> 00:28:46.404]  This is why the world is what it is today.
[00:28:47.108 --> 00:28:53.052]  Almost exclusively based on this competitive notion that is compounded and perpetuated by the monetary system.
[00:28:53.432 --> 00:28:55.533]  And this is the greatest failure that people don't understand.
[00:28:55.573 --> 00:28:56.914]  This is why I argue against it.
[00:28:57.314 --> 00:29:01.957]  I'm not saying that the Venus Project, and they're the first to admit this as well, is the end-all.
[00:29:02.037 --> 00:29:03.017]  There's no utopia.
[00:29:03.278 --> 00:29:08.941]  But they recognize this core element that is corrupting human behavior, so we have to move out of this system.
[00:29:09.602 --> 00:29:21.066]  One of the things that people don't realize about the monetary system, which is very important, and I think you should think about this too, at least this fabled free enterprise system specifically, is that it always leads to corruption.
[00:29:21.106 --> 00:29:25.027]  We say that the free enterprise system is, you know, it could be great, it could be pure.
[00:29:25.717 --> 00:29:28.338]  You could have a perfect free enterprise system, and it would work.
[00:29:28.618 --> 00:29:32.419]  Well, there's no such thing as that, because it automatically leads to corruption.
[00:29:32.639 --> 00:29:34.840]  It automatically leads to oligopoly and monopoly.
[00:29:34.860 --> 00:29:39.101]  It automatically leads to aberrant behavior and power consolidation, because that's the basis of it.
[00:29:39.461 --> 00:29:41.822]  That is the guiding principle of differential advantage.
[00:29:42.162 --> 00:29:50.445]  In order for society to progress, you have to eliminate this differential advantage and all the social stratification that occurs because of it, all the materialism,
[00:29:50.925 --> 00:30:06.181]  We have an advertising system that sits there and tells us that our value is based on what we own, and artistic representation is, our creativity is what we own, who we are, our identities are what we own, and this is a colossal and tremendous distortion that needs to be overcome.
[00:30:07.022 --> 00:30:13.469]  So, the basis of this argument is that we have to have a new system that gets rid of these tendencies
[00:30:14.338 --> 00:30:22.101]  This thing called the New World Order that people talk about all the time, and I actually would like you to come back on the air and answer a question for me.
[00:30:22.861 --> 00:30:26.743]  And that is, what is the New World Order as you define it, Alex?
[00:30:28.364 --> 00:30:30.244]  What is the New World Order as I define it?
[00:30:30.685 --> 00:30:32.965]  Well, what is it in a concise definition?
[00:30:32.985 --> 00:30:39.008]  If you were to explain this to someone who has never even heard of such a thing in a real concise manner, what is the New World Order?
[00:30:39.975 --> 00:30:58.564]  It is a hereditary clan that rules through the fraudulent fractional reserve monetary banking scam that operates through intelligence systems and shadow governments.
[00:31:00.565 --> 00:31:01.446]  And their goal is what?
[00:31:02.352 --> 00:31:18.979]  Their goal is hyper-dominance and to control the past, the present, and the future, to set up a worldwide police state by manipulating people's primitive fears with manufactured terror threats, biological threats, chemical threats.
[00:31:20.220 --> 00:31:21.961]  Their endgame is to exterminate
[00:31:23.202 --> 00:31:25.703]  Well, most of them now say 99% of the population.
[00:31:25.723 --> 00:31:26.644]  The public documents say 80%.
[00:31:27.204 --> 00:31:33.669]  And to create then a machine utopia where the elite and their progeny go to the stars.
[00:31:34.229 --> 00:31:46.158]  It is a worldwide eugenics cult that is in control of most of the resources on the planet and is eradicating the family and the free market.
[00:31:46.978 --> 00:31:50.741]  And then of course demonizing the free market by claiming this corrupt system they have is a free market.
[00:31:52.022 --> 00:32:00.124]  They are now in the final phases of their worldwide consolidation, their victory, which people are calling a collapse or failure.
[00:32:00.804 --> 00:32:05.026]  And what is the path you think everyone should take to stop this new world order?
[00:32:05.666 --> 00:32:07.947]  The path is multifaceted.
[00:32:07.987 --> 00:32:10.527]  We have to take control of our local political units first.
[00:32:10.547 --> 00:32:13.088]  We have to stop the electronic voting machine fraud system.
[00:32:13.728 --> 00:32:16.369]  To do that we have to discredit the system, discredit the corrupt.
[00:32:17.210 --> 00:32:18.691]  What about the people, though?
[00:32:18.711 --> 00:32:21.695]  What about these people that are the ones that are perpetuating this?
[00:32:21.715 --> 00:32:23.617]  What is your solution for these people?
[00:32:23.677 --> 00:32:26.301]  What do we do with these people, so to speak?
[00:32:37.173 --> 00:32:41.696]  Well, I don't like bloody French type revolutions, which then turn into something almost even worse.
[00:32:42.136 --> 00:32:47.238]  I think they need to be identified, exposed, and then they need to be tried by juries of their peers.
[00:32:47.599 --> 00:32:50.180]  They need to be given fair trials and sent to prison.
[00:32:50.640 --> 00:32:57.363]  And then their assets need to be nationalized to pay off all the fiat debts they have created.
[00:32:57.403 --> 00:32:57.984]  We need to have a
[00:32:58.524 --> 00:32:58.884]  I think so.
[00:33:19.935 --> 00:33:28.321]  You know, basically in a free market or in a system of selling a vase or selling a car or selling a house or, you know, getting our kidney taken out, we can't trust anyone.
[00:33:28.762 --> 00:33:38.108]  Well, no, we need to learn to investigate and go to references and, you know, that's why in the past we had brand names, you know, a sewing machine that was known to last longer and be better.
[00:33:38.609 --> 00:33:43.973]  That way, if this is not free market, slave goods coming in from China that fall apart in five minutes.
[00:33:44.393 --> 00:33:47.155]  And so I disagree with that fundamentally and there's just so much I disagree.
[00:33:47.975 --> 00:34:04.665]  I disagree so much fundamentally with saying we just can't trust the free market in products and goods because people have a reason to lie to you to sell you crap because somebody might have something better and that stops people from progressing when it is the limited free market though invaded and corrupted monopolies through government help.
[00:34:05.926 --> 00:34:06.166]  I think?
[00:34:26.598 --> 00:34:39.487]  All the amazing things we see around us, but that's the byproduct of making us decadent and selfish in Madison Avenue through brainwashing to secure the elite as they try to come in with a counter-revolution to take over the renaissance that has taken place.
[00:34:40.207 --> 00:34:55.778]  And so they have damaged and programmed the majority of the public, and so we need to, at a cellular level, those of us that are aware, try to wake up our friends, family, neighbors, communities, and at a cellular level, one cell at a time, heal the system with an exponential growth curve towards doing that.
[00:34:56.518 --> 00:35:00.700]  Okay, let's step back to my original question, which was about the New World Order.
[00:35:01.661 --> 00:35:02.481]  I told you what they are.
[00:35:02.521 --> 00:35:05.623]  They are hereditary kings who learned how to go underground.
[00:35:06.303 --> 00:35:07.063]  I'm commenting on this.
[00:35:07.083 --> 00:35:08.884]  This is why I wanted to ask the question.
[00:35:09.544 --> 00:35:10.765]  I thought you were posing it again.
[00:35:10.805 --> 00:35:11.966]  You said, I go back to my original question.
[00:35:11.986 --> 00:35:12.206]  No, no, no.
[00:35:12.226 --> 00:35:18.889]  I just wanted to go back and address it, because you've gone on a nice tangent, which I appreciate, but you've moved away from what my original response was going to be.
[00:35:18.949 --> 00:35:21.350]  Well, it's a complex world that takes complex solutions.
[00:35:21.610 --> 00:35:23.711]  I'm giving you actually analyzed information.
[00:35:23.891 --> 00:35:24.932]  Things that have been thought out.
[00:35:25.552 --> 00:35:29.261]  Of course, well that's... Not general ideas!
[00:35:29.582 --> 00:35:30.905]  Let me comment, if you don't mind.
[00:35:31.741 --> 00:35:42.007]  Basically, your assumption then on the New World Order is that you have to have the public to wake up to this elite group that are trying to dominate things, and then you have to prosecute them and put them in jail and take them out.
[00:35:42.207 --> 00:35:44.269]  And that will be the resolution as you basically do that.
[00:35:44.289 --> 00:35:49.352]  That will not be the total resolution, but yes, we have a, just like the Nazis, they had to be taken out.
[00:35:49.912 --> 00:35:58.858]  Or, you know, finally the Communist Chinese said Mao and his wife are nuts, killing everybody, because they made a deal with these eugenicists in Europe, we've got to arrest them, you know, we've got to arrest his wife.
[00:35:59.418 --> 00:36:03.941]  Okay, well, here's a difference I know you're going to disagree with, but I think it's good for your audience to ponder this.
[00:36:04.921 --> 00:36:12.665]  The genetic basis, the heredity basis that you assume is very much unsupported because, as I said, these secret societies are secret societies.
[00:36:12.786 --> 00:36:13.506]  They culminate.
[00:36:14.106 --> 00:36:18.148]  They culminate who they bring in, and everyone is conditioned into a particular worldview.
[00:36:18.629 --> 00:36:21.911]  But the secret societies are also conditioned in and of themselves.
[00:36:21.931 --> 00:36:23.852]  Their conditioning comes from somewhere.
[00:36:24.312 --> 00:36:27.954]  And my point to you and your audience is that the New World Order is not
[00:36:28.576 --> 00:36:30.737]  Some elite sect of people.
[00:36:30.817 --> 00:36:38.461]  If you took out every single person at the top of the so-called... The system is still there, and more people would step into those places like shark teeth.
[00:36:38.501 --> 00:36:39.362]  That's not what I said.
[00:36:39.662 --> 00:36:44.325]  I said take the consolidated... Because that's how they've been conditioned.
[00:36:44.545 --> 00:36:45.865]  That's how the system's been set up.
[00:36:46.145 --> 00:36:49.407]  And they are coming from that same mindset.
[00:36:49.447 --> 00:36:50.668]  They want that power.
[00:36:50.688 --> 00:36:51.308]  It's the environment.
[00:36:51.488 --> 00:36:52.849]  It's the environment, isn't it, Alex?
[00:36:52.969 --> 00:36:53.670]  It's the environment.
[00:36:53.710 --> 00:36:56.091]  Well, I never said the environment wasn't part of all this.
[00:36:56.491 --> 00:36:56.971]  I know you did.
[00:36:57.011 --> 00:37:03.633]  But I'm saying we as a people are competitive and you have malfunctioning hyper... I mean here's an example.
[00:37:03.893 --> 00:37:10.854]  I try not to be that competitive and lift people up and bring them in and then I find out as soon as they think they're a big shot they turn around and attack.
[00:37:11.255 --> 00:37:23.357]  Primitively thinking in competition if they knock me the king monkey off in this movement that somehow that will make them the king monkey but that isn't the case because in reality I'm not even you know the king monkey in all of this.
[00:37:23.377 --> 00:37:25.118]  So I'm saying competitiveness is a
[00:37:25.718 --> 00:37:38.605]  Good thing overall, it just has to be, we have to be conscious of it, and we have to have rules and parameters in it, and then have a, you know, playbook basically that societally we agree on, and that we're constantly changing.
[00:37:38.885 --> 00:37:47.290]  So, I mean, this whole thing of trying to say that we innately aren't aggressive, and that, you know, we are, I mean, no matter what culture it is, little girls innately,
[00:37:47.910 --> 00:37:47.990]  Well...
[00:38:09.784 --> 00:38:12.785]  I think I would have to see those instances and conditions.
[00:38:13.265 --> 00:38:15.745]  I really can't relay this enough.
[00:38:15.765 --> 00:38:16.546]  This is ridiculous.
[00:38:16.646 --> 00:38:21.207]  Why does a sperm whale go south in the winter?
[00:38:22.127 --> 00:38:23.347]  I mean, it is genetic.
[00:38:23.527 --> 00:38:26.348]  Why do geese know how to fly according to magnetic poles?
[00:38:26.808 --> 00:38:28.909]  You are saying... Why do birds build a nest?
[00:38:29.529 --> 00:38:30.049]  Exactly.
[00:38:30.089 --> 00:38:32.230]  You're saying instinct has nothing to do with it.
[00:38:32.250 --> 00:38:32.830]  This is insane.
[00:38:32.850 --> 00:38:33.510]  It's imprinting.
[00:38:33.610 --> 00:38:34.210]  It's imprinting.
[00:38:34.230 --> 00:38:36.251]  The bird builds a nest because it's born in a nest.
[00:38:36.331 --> 00:38:37.791]  You took a bird immediately out of the nest.
[00:38:38.332 --> 00:38:38.833]  Oh my God!
[00:38:38.853 --> 00:38:43.405]  How does a garden spider know how to spin a web?
[00:38:45.481 --> 00:39:09.337]  I mean, what are you... Let me tell you, bro, you've got some major issues that are wrong, and I'm telling you, you're influential, yeah, you're influential, and that's a good thing, because the alternative needs to become, you know, the majority, and I'm all for this, but I'm telling you, and I'm not even looking to argue with you here today, I'm just telling you, I'm telling you, man, does the mommy spider teach the spider how to do that?
[00:39:10.718 --> 00:39:15.261]  Are elephants, do elephant bulls fight with each other for dominance, for the best
[00:39:15.401 --> 00:39:18.103]  Look, humans are very different from other organisms on this planet.
[00:39:18.143 --> 00:39:19.685]  We have the ability to think and create.
[00:39:19.765 --> 00:39:21.426]  Our instincts can be changed, whatever that means.
[00:39:21.446 --> 00:39:24.229]  There are no actual human instincts, and I have tons of science to back this up.
[00:39:41.730 --> 00:39:45.791]  Especially the human being who is so malleable, so easy for influence.
[00:39:45.891 --> 00:39:48.032]  If you don't believe that, take a look at the news.
[00:39:48.132 --> 00:39:48.893]  You're missing it.
[00:39:49.013 --> 00:39:49.933]  I agree with you.
[00:39:50.033 --> 00:39:52.614]  I believe that separates us from the rest of the animal kingdom.
[00:39:52.634 --> 00:39:55.475]  I'm going to say the competition... Hold on, hold on, hold on.
[00:39:55.495 --> 00:40:04.638]  What makes us innately different is that we can transcend and rapidly change and we are not completely frozen into instinct like animals.
[00:40:04.798 --> 00:40:07.159]  I'm just saying that there are those two parts.
[00:40:08.510 --> 00:40:12.996]  There are, but one is very much overshadowed the other, and that is the conditioning.
[00:40:13.116 --> 00:40:14.138]  That is the environment.
[00:40:14.478 --> 00:40:16.741]  We have to change the environment if we expect the world to change.
[00:40:16.781 --> 00:40:22.769]  Ladies and gentlemen, you're not going to get anywhere by building more prisons, getting more police, and making more laws.
[00:40:23.750 --> 00:40:24.791]  Well, stop, stop!
[00:40:25.051 --> 00:40:36.796]  The social engineers want to put people in prisons because they own them, and they want to have slavery, so this is the way to legalize slavery and say, if we catch you with this compound that's addictive that we ship in, then we're going to put you in our slave pit.
[00:40:36.976 --> 00:40:50.402]  You're acting, you and your, because I've been watching your film and watching other people that support what you're saying, and it's the view that the elite are dumb and stupid and they don't know what they're doing and they're idiots and more cops and more prisons aren't going to work.
[00:40:50.782 --> 00:40:52.143]  Of course it's working!
[00:40:52.403 --> 00:40:56.625]  More people in prison, more slavery, more control, it's working beautifully!
[00:40:58.026 --> 00:41:04.509]  Sure, that's one angle to look at it, but nevertheless, the public is conditioned to think these institutions are actually true and real institutions.
[00:41:04.589 --> 00:41:13.333]  And not all of, not every stratified element of the prison system are a bunch of elites sitting there talking about... No, no, the low-level morons that have lost all their other factory jobs and...
[00:41:13.573 --> 00:41:15.134]  want to work as prison guards in there.
[00:41:15.154 --> 00:41:16.054]  You're absolutely right.
[00:41:16.074 --> 00:41:22.696]  They've been forced through engineering into that evil economy, that corrupt, that bad, that anti-human, that suppressing.
[00:41:22.896 --> 00:41:34.600]  Grabbing some black kid because he was caught with cocaine the government shipped him when he was 14 years old because the MTV tells him it's cool with the bling culture and throwing him in a tiny cell to now be trained how to be a hardcore criminal.
[00:41:34.820 --> 00:41:40.142]  That is evil against the human code of nurturing and growing and training and building
[00:41:40.362 --> 00:41:41.543]  and reaching for the stars.
[00:41:41.583 --> 00:42:02.237]  There is evil, and I will declare abortion evil, I will declare us special, I will declare us a divine species in the image of God, and I will not let the technocrats or anybody else tell me that, because I know we're going to the stars, and I know our destiny is great, and I know a little black kid having pesticide tested on until they die is evil!
[00:42:03.198 --> 00:42:05.941]  Sure, but that evil has a source, and that's what you fail to realize.
[00:42:06.261 --> 00:42:09.624]  And that source can be addressed through the environment and conditioned out of.
[00:42:09.644 --> 00:42:13.087]  And until you realize that, your irrational tirades are not going to help anything.
[00:42:13.127 --> 00:42:14.188]  It's not irrational!
[00:42:14.428 --> 00:42:15.309]  It's not irrational!
[00:42:15.569 --> 00:42:29.222]  It is my instinct with the intellectual overlaid into the animal propulsion system to drive the species and to rally my fellow humans to come out of their cocoons and resist the tyranny!
[00:42:29.722 --> 00:42:30.843]  Yeah, the us against them.
[00:42:30.883 --> 00:42:32.123]  Of course, the us against them.
[00:42:32.184 --> 00:42:33.504]  There is an us against them!
[00:42:33.524 --> 00:42:35.285]  There's always going to be Jeffrey Dahmers.
[00:42:35.505 --> 00:42:37.166]  There's always going to be Ted Turners.
[00:42:37.447 --> 00:42:39.067]  There's always going to be Albert Pikes.
[00:42:39.348 --> 00:42:43.850]  You're always going to need weapons, because enemies are always going to come against you.
[00:42:44.050 --> 00:42:47.312]  There is going to be no utopia, ladies and gentlemen.
[00:42:47.652 --> 00:42:49.353]  We must stop being so trusting.
[00:42:49.393 --> 00:42:54.877]  It was talk of utopia that killed 200 million people in the last century!
[00:42:55.077 --> 00:42:56.237]  We're going to skip this break!
[00:43:01.477 --> 00:43:02.598]  Alright, go ahead, you got the floor.
[00:43:05.481 --> 00:43:07.923]  I'm glad we're having a discussion as opposed to a debate, Alex.
[00:43:10.080 --> 00:43:10.900]  It is a discussion.
[00:43:11.521 --> 00:43:13.541]  Well, sure.
[00:43:13.721 --> 00:43:16.482]  You've been engaging in low-level monkey behavior.
[00:43:16.762 --> 00:43:17.883]  You've been debating.
[00:43:17.923 --> 00:43:21.344]  Don't say, I'm the only primitive.
[00:43:22.104 --> 00:43:23.245]  No, I'm not debating.
[00:43:23.305 --> 00:43:27.546]  I'm trying to present ideas, but you keep cutting me off and projecting what you think is true.
[00:43:27.626 --> 00:43:28.687]  I'm projecting what?
[00:43:28.807 --> 00:43:29.707]  But you know!
[00:43:30.067 --> 00:43:31.408]  You know what is true!
[00:43:32.969 --> 00:43:38.197]  Hold on, you're saying that what you're saying is a fact and I'm projecting what I know to be true?
[00:43:38.217 --> 00:43:41.121]  What I'm suggesting is that it's been proven by evidence continuously.
[00:43:41.161 --> 00:43:42.724]  You have absolutely no proof.
[00:43:43.397 --> 00:43:45.559]  That's a lawyer's statement!
[00:43:45.899 --> 00:43:47.261]  I'll give you proof all day!
[00:43:47.581 --> 00:43:48.482]  Proof of what?
[00:43:48.982 --> 00:43:50.243]  What proof do you seek?
[00:43:50.664 --> 00:43:55.608]  You base your assumption on the fact that we've always lived in scarcity, yet you don't recognize that.
[00:43:55.808 --> 00:44:02.154]  Without that drive of scarcity, our key propulsion system is lost to go to the stars.
[00:44:03.832 --> 00:44:04.753]  No, that's ridiculous.
[00:44:04.773 --> 00:44:05.533]  What are you talking about?
[00:44:05.573 --> 00:44:21.124]  Our prime drive is to build, and that comes out of scarcity in our development needing to have a drive, needing to be restless, needing to build a better mousetrap, a better throwing spear, so that the tribe could survive.
[00:44:21.224 --> 00:44:22.765]  I don't think that's fundamentally evil.
[00:44:24.646 --> 00:44:36.454]  Yeah, there are subgroups of humans who are predatating, engaging in predator activity against their fellow humans like we are a subspecies that deserves to be fed on.
[00:44:36.814 --> 00:44:37.935]  I'm saying that's sin.
[00:44:38.335 --> 00:44:39.636]  I'm saying that's crime.
[00:44:40.056 --> 00:44:43.919]  I'm saying we need communities of purpose and I agree with a lot of what you're talking about.
[00:44:45.340 --> 00:44:48.782]  Yes, but you fail continuously to see the fundamental point.
[00:44:49.662 --> 00:44:50.903]  And what is the fundamental point?
[00:44:51.144 --> 00:44:55.288]  It's human conditioning and not genetics that has the relevant issue here.
[00:44:55.328 --> 00:45:04.497]  If you want to maintain this society, say for example, you want to continue this thing you call the free market, which is probably the most, I mean, monetary system of all accord.
[00:45:04.857 --> 00:45:07.220]  Communism, socialism, fascism, it doesn't matter.
[00:45:07.240 --> 00:45:08.401]  Those are all scams!
[00:45:09.202 --> 00:45:10.943]  Listen, monitor!
[00:45:11.043 --> 00:45:12.525]  Stop interrupting me, I'm not finished!
[00:45:13.126 --> 00:45:15.869]  This is the type of thing that people need to understand about the environment.
[00:45:15.889 --> 00:45:20.653]  As long as we have a monetary system that is based on people getting advantage of each other.
[00:45:20.973 --> 00:45:24.376]  You know those $29.95 DVD conspiracy combo packs you sell?
[00:45:24.396 --> 00:45:25.037]  You know what you have?
[00:45:25.337 --> 00:45:26.078]  You have a little $29.95.
[00:45:26.138 --> 00:45:30.082]  It's to manipulate your audience into buying it because they don't think it's $30.
[00:45:30.442 --> 00:45:35.727]  This is the type of nonsense manipulation that goes on every day that we think is commonplace and it's a distortion
[00:45:36.087 --> 00:45:37.008]  It's anti-human.
[00:45:37.268 --> 00:45:38.008]  You engage in it.
[00:45:38.308 --> 00:45:39.289]  I am forced to engage in it.
[00:45:39.309 --> 00:45:39.629]  I'm forced.
[00:45:39.649 --> 00:45:47.553]  If you want to get a job, if you're to get a job anywhere, you are participating in a corrupt behavior because you have to take that work away from somebody else.
[00:45:47.574 --> 00:45:48.614]  No, you're part of a tribe.
[00:45:48.634 --> 00:45:49.535]  You're part of a team.
[00:45:49.795 --> 00:45:51.816]  It's just the elites don't treat the subgroups like that.
[00:45:51.836 --> 00:45:57.059]  Hey, we're coming back to the full audience, and I want to address what you just said in this whole discussion about money, okay?
[00:45:57.559 --> 00:45:58.259]  Here we go right now.
[00:46:12.848 --> 00:46:14.249]  Is it getting better?
[00:46:17.713 --> 00:46:19.554]  Or do you feel the same?
[00:46:20.535 --> 00:46:22.076]  Is it easier on you now?
[00:46:23.037 --> 00:46:25.459]  Will it make it easier on you now?
[00:46:25.600 --> 00:46:27.141]  You've got someone to blame.
[00:46:27.161 --> 00:46:29.523]  You've got someone to blame.
[00:46:29.543 --> 00:46:31.185]  All right, our guest is the creator of Zeitgeist.
[00:46:31.205 --> 00:46:32.846]  He says he's not debating.
[00:46:36.607 --> 00:46:43.117]  But he, A, just engaged in just amazing hypocrisy.
[00:46:43.458 --> 00:46:45.081]  And I'm going to finish this and let you counter.
[00:46:45.922 --> 00:46:46.843]  People listening on the internet.
[00:46:48.700 --> 00:46:54.003]  You know, saying the incredible, those little DVD compacts, you know, you sell.
[00:46:54.984 --> 00:46:59.846]  It's, you know, $29.95 is manipulative and, you know, it's bad.
[00:46:59.866 --> 00:47:05.650]  And then you go on to say that what I am forced to sell, you know, exactly you sell your films.
[00:47:05.690 --> 00:47:06.930]  You have the money for the computers.
[00:47:07.310 --> 00:47:07.831]  Let me finish.
[00:47:08.211 --> 00:47:16.316]  The money for the cameras, the money to fly places, to interview people, to make an even better film, to pay for your apartment in New York or wherever it is you're at.
[00:47:17.316 --> 00:47:37.534]  To do all of this, and I'm not saying that the monetary system isn't a total throb of fractional reserve banking and fiat currency running a scam or an image, but if farmers want to create their local county or city money that they agree upon on exchanging, that greases the skids of commerce, makes it easier for them to exchange goods, that's something that's needed.
[00:47:37.755 --> 00:47:42.359]  And I've done whole shows on marketing and saying, why don't I sell a video for
[00:47:42.899 --> 00:47:44.361]  $20.
[00:47:43.700 --> 00:47:44.361]  Why do I say $19.95?
[00:47:46.122 --> 00:47:58.954]  Because psychologically, the $19.95 sounds like it's somehow less, and plus it's what we're used to in the parameters of bigger advertisement, so it triggers those neural pathways that make people buy.
[00:47:59.434 --> 00:48:06.161]  Now, I really resent the fact that I pioneered, I pioneered 12 years ago, putting my videos on the web for free.
[00:48:06.801 --> 00:48:12.388]  And then even paying with my own bandwidth, not just for free, paying to give it to people!
[00:48:12.708 --> 00:48:14.110]  Paying to be a slave!
[00:48:14.691 --> 00:48:22.480]  And then I pioneered viral videos on the web, I pioneered going up and bullhorning politicians, I pioneered going and taking over press conferences, and literally...
[00:48:23.121 --> 00:48:25.363]  I had no idea I was doing it at the time, it just seemed most effective.
[00:48:25.663 --> 00:48:39.053]  I've done all this, I've given, I've given, I've given, I've given, I've given, I've given, and then you could say that I'm evilly manipulating people, selling things, and how I'm selling it, but then in the next breath admit you are selling stuff.
[00:48:39.353 --> 00:48:47.119]  That is, and I always love it, you know, the futurist and the engineer you interview in your film, Jacques,
[00:48:47.739 --> 00:48:51.622]  His house is up for sale right now, this 20-acre compound I saw online.
[00:48:51.642 --> 00:48:53.483]  I mean, you know, he's selling stuff.
[00:48:53.863 --> 00:48:56.865]  Oh, Mike, but see, when you do it, it's loving.
[00:48:57.465 --> 00:48:58.366]  When I do it, it's bad.
[00:48:58.426 --> 00:48:59.086]  Explain that to me.
[00:49:00.067 --> 00:49:04.450]  It's getting really annoying to me, so why don't you step back a second and listen to what I actually said.
[00:49:05.070 --> 00:49:13.956]  I said, when you put something online and you say it's $29.95 a loan, I don't give a damn about what you're doing as far as this and that.
[00:49:13.996 --> 00:49:15.557]  It's irrelevant to the point that I was making.
[00:49:16.286 --> 00:49:19.109]  My point is that you are engaging in a manipulative practice.
[00:49:19.289 --> 00:49:21.991]  If you want to sell them for $20, put it up for $20.
[00:49:22.251 --> 00:49:23.052]  Don't make it $19.95.
[00:49:23.573 --> 00:49:26.735]  The entire system is based on differential advantage and manipulation.
[00:49:26.796 --> 00:49:30.779]  I did in the past, and I told people... You are there to preserve... I put it up there.
[00:49:30.839 --> 00:49:31.460]  I'm able.
[00:49:31.800 --> 00:49:32.280]  You're not evil, are you?
[00:49:32.300 --> 00:49:33.120]  You're not evil, are you?
[00:49:33.140 --> 00:49:33.640]  You're not evil, are you?
[00:49:33.660 --> 00:49:34.221]  You're not evil, are you?
[00:49:34.241 --> 00:49:34.781]  You're not evil, are you?
[00:49:34.801 --> 00:49:35.301]  You're not evil, are you?
[00:49:35.321 --> 00:49:35.841]  You're not evil, are you?
[00:49:35.861 --> 00:49:36.701]  You're not evil, are you?
[00:49:36.721 --> 00:49:37.221]  You're not evil, are you?
[00:49:37.241 --> 00:49:37.962]  You're not evil, are you?
[00:49:37.982 --> 00:49:38.502]  You're not evil, are you?
[00:49:38.522 --> 00:49:39.082]  You're not evil, are you?
[00:49:39.102 --> 00:49:39.662]  You're not evil, are you?
[00:49:39.682 --> 00:49:40.182]  You're not evil, are you?
[00:49:40.202 --> 00:49:41.383]  You're not evil, are you?
[00:49:41.403 --> 00:49:41.903]  You're not evil, are you?
[00:49:41.923 --> 00:49:42.683]  You're not evil, are you?
[00:49:42.703 --> 00:49:43.343]  You're not evil, are you?
[00:49:43.363 --> 00:49:44.023]  You're not evil, are you?
[00:49:44.043 --> 00:49:45.043]  You're not evil, are you?
[00:49:45.083 --> 00:49:45.864]  You're not evil, are you?
[00:49:45.884 --> 00:49:46.624]  You're not evil, are you?
[00:49:46.644 --> 00:49:47.304]  You're not evil, are you?
[00:49:47.324 --> 00:49:47.924]  You're not evil, are you?
[00:49:47.944 --> 00:49:48.624]  You're not evil, are you?
[00:49:48.644 --> 00:49:49.245]  You're not evil, are you?
[00:49:49.285 --> 00:49:50.125]  You're not evil, are you?
[00:49:50.145 --> 00:49:50.805]  You're not evil, are you?
[00:49:50.965 --> 00:50:04.276]  The financial system, not in the way it's constructed, but the actual underpinning mechanism that guides human behavior in the economic structure that relates to business and everything else, will lead only to corruption, monopoly, self-preservation.
