[00:00:04.622 --> 00:00:06.305]  There's too much confusion.
[00:27:38.582 --> 00:27:40.023]  And he's put out a bunch of hoaxes before.
[00:27:40.703 --> 00:27:43.624]  And believe me, I don't want to get in a fight with this guy, but I have to for the Republic.
[00:27:43.884 --> 00:27:45.324]  Very dangerous crew around him.
[00:27:46.925 --> 00:27:49.606]  Ladies and gentlemen, there's a big history of white supremacists being fed.
[00:27:49.666 --> 00:27:50.466]  It's come out in the news.
[00:27:51.026 --> 00:27:52.947]  In Texas Monthly and Reuters, everywhere.
[00:27:52.967 --> 00:27:54.687]  It's kept very quiet.
[00:27:55.388 --> 00:27:59.089]  But it's out there for you saying that all the banks are going to shut down next week.
[00:27:59.609 --> 00:28:01.189]  And this has gotten huge traction.
[00:28:01.209 --> 00:28:02.850]  They're talking about it on the street in Austin.
[00:28:03.610 --> 00:28:04.690]  We can combat this.
[00:28:04.730 --> 00:28:09.332]  Go get our article, Hoax, Bank, Closure Story, Pedals, Bailout Propaganda.
[00:28:09.812 --> 00:28:12.773]  Get it, get it out to everybody you know and fight this lie.
[00:28:13.233 --> 00:28:18.794]  And again, it mirrors the White House saying, do everything we say, give us all the power or depression.
[00:28:18.854 --> 00:28:21.895]  They want to orchestrate it to bring in their solution.
[00:28:22.175 --> 00:28:26.576]  Help us get the story out that martial law was threatened on Congress.
[00:28:26.596 --> 00:28:28.997]  Now they've signed over martial law power financially.
[00:28:29.397 --> 00:28:31.918]  Dr. Paul Craig Roberts said that an hour and a half ago here.
[00:28:32.578 --> 00:28:37.159]  I mean this is, we've got the key info up on InfoWars.com and PrisonPlanet.com.
[00:28:37.599 --> 00:28:39.780]  Help us counter the lies.
[00:28:40.140 --> 00:28:45.861]  Now is the key time in the battle because the people are against what the criminal groups in the government are doing, these cartels.
[00:28:46.481 --> 00:28:48.782]  And so they're really ready to hear the truth right now.
[00:28:48.862 --> 00:28:50.142]  Congressman, how important is this?
[00:28:50.482 --> 00:28:58.284]  You have Brad Sherman on and when you have Ron Paul on later, I hope that you will ask them if they understand
[00:28:59.088 --> 00:29:11.635]  What Bush did on August 28th, when he extended the so-called State of National Emergency, and extended by implication, and I'm sure by law, H.S.P.D.
[00:29:11.655 --> 00:29:12.555]  20 and N.S.P.D.
[00:29:13.156 --> 00:29:12.555]  51.
[00:29:13.696 --> 00:29:26.683]  I don't believe, and I've discussed this with one of the national authorities on it, Peter Dale Scott, I don't believe that Congress is even aware of their statutory responsibilities under the National Emergencies Act.
[00:29:27.153 --> 00:29:38.839]  To review any state of emergency declared by the President by statute has to be reviewed by the House and the Senate with resolutions passed to continue them every six months.
[00:29:39.019 --> 00:29:44.182]  And in nearly, what has it been, seven years since 9-11, there has never, never once been a
[00:29:48.838 --> 00:29:57.225]  A session of the House or the Senate in which the state of emergency has been even acknowledged to exist.
[00:29:57.345 --> 00:29:58.967]  And Congressman, what you're saying is key.
[00:29:59.307 --> 00:30:03.071]  We have been on the stove with the Marshall Law turned on simmer.
[00:30:03.411 --> 00:30:05.473]  They are now jacking it up to high.
[00:30:06.093 --> 00:30:07.275]  Well, that's exactly right.
[00:30:07.755 --> 00:30:10.838]  And they do have these measures in place.
[00:30:11.298 --> 00:30:30.372]  In fact, we know how bad they are by what we can see, but when Peter Defazio and Benny Thompson and members of the House Homeland Security Committee tried to find out what was in the agenda under which we, the United States of America, are being ruled, they were told that they were not
[00:30:31.172 --> 00:30:34.613]  They were not going to be allowed to see this information.
[00:30:34.673 --> 00:30:36.073]  And then the chairman asked for it.
[00:30:36.113 --> 00:30:44.995]  So as a former congressman, what does that mean when the White House, the executive, tells the legislative, which is co-equal, that they're not allowed to be involved in that?
[00:30:45.095 --> 00:30:46.795]  That is dictatorship of the executive.
[00:30:47.495 --> 00:30:48.675]  Well, it absolutely is.
[00:30:48.735 --> 00:30:57.357]  And that's why I'm saying we are already under this so-called continuity of government, you know, this COG formulation.
[00:30:57.904 --> 00:31:01.116]  By virtue of the fact that the Congress has become
[00:31:02.381 --> 00:31:04.562]  Basically, the schedule.
[00:31:04.942 --> 00:31:11.504]  Basically, the Congress is no longer a co-equal branch of the government.
[00:31:11.604 --> 00:31:26.428]  We've got to end the main interview with you, and the other congressman is coming up in about ten minutes, but for the internet listeners and the PrisonPlanet.TV viewers, let's do three final minutes with you about solutions, and folks can later see that on PrisonPlanet.TV and when it's ripped all over the web.
[00:31:27.389 --> 00:31:31.210]  So we'll do three more minutes with our guest, the Honorable Congressman Dan Hamburg.
[00:31:31.590 --> 00:31:35.751]  Okay, well, I'm very glad to have a few minutes to talk to Alex's audience out there and to
[00:32:01.809 --> 00:32:24.958]  To let them know that there are many of us out there, and even some of us who have served in Congress, who realize that bailing out the rich, that $700 billion dollar bailouts, which could end up being much more than that, are certainly not in the interest of the people of this country.
[00:32:25.399 --> 00:32:26.139]  And when you hear
[00:32:27.187 --> 00:32:45.435]  Some of the figures that are being used by people like Congressman Dennis Kucinich, who says that the overall quantity of debt that the American people are going to be shouldering for generations to come is in the many, many trillions of dollars.
[00:32:45.515 --> 00:32:52.419]  He actually used the figure a quarter of a quadrillion.
[00:32:52.539 --> 00:32:55.340]  I have never heard the term quadrillion.
[00:32:57.257 --> 00:32:59.898]  I heard Dennis Kucinich speaking of it the other day.
[00:32:59.918 --> 00:33:20.651]  So what they have done in a short period of time, now remember when Clinton was in office, and I did not like Bill Clinton, in fact it was during Clinton's second administration that I left the Democratic Party and became a member of the Green Party, but it was during those years that the country actually built up
[00:33:21.341 --> 00:33:23.222]  A budget surplus.
[00:33:23.842 --> 00:33:33.645]  When George Bush came into office, I predicted that he would crash the economy in a short period of time, and he has done that.
[00:33:34.086 --> 00:33:39.928]  And you can't look at what has happened over the last eight years and think that it was not willful.
[00:33:40.768 --> 00:33:41.668]  It was willful.
[00:33:41.868 --> 00:33:46.270]  They do have a very strange
[00:33:47.206 --> 00:33:55.091]  Uh, plan in place under which they will become more powerful and we will become less powerful.
[00:33:55.651 --> 00:34:01.435]  And our constitutional rights, uh, have been compromised again and again and again.
[00:34:01.455 --> 00:34:14.143]  Uh, our role as taxpayers has become compromised to where we are paying, we, the people are paying for the sins of the few and the greed and the corruption of the few.
[00:34:15.134 --> 00:34:17.094]  And we have to put a stop to it.
[00:34:17.755 --> 00:34:20.315]  We simply have to say no.
[00:34:20.615 --> 00:34:33.318]  We may, in a short period of time, have to not only say no, but speak no in ways that we have never been called on to do before.
[00:34:33.338 --> 00:34:35.218]  Alright, the gentleman's time has expired.
[00:34:35.238 --> 00:34:36.778]  We're going to come back to the full audience.
[00:34:36.798 --> 00:34:39.179]  I want you to plug your great websites with a lot of information.
[00:34:39.419 --> 00:34:40.239]  We'll close this out.
[00:34:40.259 --> 00:34:40.599]  Here we go.
[00:34:41.937 --> 00:34:44.898]  ...enemy lines, the information war continues.
[00:34:45.498 --> 00:34:48.539]  It's Alex Jones and the GCN Radio Network.
[00:34:49.379 --> 00:34:59.021]  Alright, Congressman, in closing, tell us about a couple of your websites so people can check out some of the articles you've written and the research you've done, documenting everything you've been saying.
[00:35:00.601 --> 00:35:10.844]  Myself and my co-author Louis Seiler, we have several articles that are up on our website, many articles, www.voiceoftheenvironment.org,
[00:35:11.477 --> 00:35:14.341]  Also, www.voteaction.org.
[00:35:14.401 --> 00:35:15.803]  You can see the articles we've written.
[00:35:15.863 --> 00:35:20.649]  A recent article we wrote on state of emergency the last six months of the Bush administration.
[00:35:21.170 --> 00:35:26.037]  Many of the things that we were talking about in that article, sadly, now seem to be coming to pass.
[00:35:27.108 --> 00:35:27.728]  It's my pleasure, Alex.
[00:35:27.748 --> 00:35:27.968]  Good luck.
[00:35:45.666 --> 00:35:47.047]  Good night and good luck and God bless you.
[00:35:47.087 --> 00:35:47.487]  Take care.
[00:35:48.027 --> 00:35:55.472]  All right, in the five minutes or so, while we're waiting for the next congressman, sitting congressman, Brad Sherman, to call in, I want to play, and then later we'll play the rest of it.
[00:35:55.852 --> 00:36:09.441]  This is in, like, just a few minutes into Matrix of Evil, where I go before the city council with over a thousand others, but only about a hundred got to speak because of time constraints for four hours, and expose the Patriot Act and laid out what's now happening.
[00:36:09.661 --> 00:36:12.242]  We'll play as much of this as we can while we get the congressman on.
[00:36:12.543 --> 00:36:12.943]  Here it is.
[00:36:15.256 --> 00:36:15.736]  Okay.
[00:36:16.257 --> 00:36:18.618]  Okay, so Mr. Jones, you're now at your maximum of 15 minutes.
[00:36:18.638 --> 00:36:24.362]  I just will say, folks, occasionally you'll see myself or council members leaving the dais.
[00:36:24.702 --> 00:36:29.805]  I promise you when we're back in the back, there's a television and audio we can hear and see.
[00:36:29.885 --> 00:36:31.266]  Oh yes, I believe you.
[00:36:31.406 --> 00:36:34.068]  Don't be offended when I leave.
[00:36:34.368 --> 00:36:34.968]  I'm not offended.
[00:36:35.368 --> 00:36:35.949]  Welcome, Mr. Jones.
[00:36:35.969 --> 00:36:36.669]  You have 15 minutes.
[00:36:36.949 --> 00:36:37.550]  Well, thank you.
[00:36:38.343 --> 00:36:40.064]  And I hope you do stay, because this is important.
[00:36:40.084 --> 00:36:44.607]  And I want to thank the people that came here that are part of the second American revolution.
[00:36:44.647 --> 00:36:45.788]  We shall prevail.
[00:36:46.528 --> 00:36:47.709]  That is a guarantee.
[00:36:51.972 --> 00:36:56.215]  Because as the new world order turns up the heat, they're going to form more resistance.
[00:36:56.835 --> 00:37:01.458]  The tighter they squeeze, the more people are going to have that light bulb go off above their head.
[00:37:01.994 --> 00:37:08.998]  Now I believe this council is made up of good people and I think it's great that Jackie Goodman, Mayor of Proteum, has brought this forward.
[00:37:09.599 --> 00:37:10.639]  Let's go through the facts.
[00:37:11.880 --> 00:37:25.409]  And John Ashcroft and Lord Bush and their military industrial complex owners who are setting up military dictatorship, I mean this is admitted, BNAC documents, cannot hide the reality of what's happening.
[00:37:25.449 --> 00:37:28.711]  In fact, Ashcroft six months ago really committed a federal crime.
[00:37:29.517 --> 00:37:30.998]  He's sworn testimony before the House and Senate.
[00:37:31.018 --> 00:37:32.818]  He said there is no new terrorism legislation.
[00:37:32.878 --> 00:37:33.599]  It's not been introduced.
[00:37:34.719 --> 00:37:36.740]  The Domestic Security Enhancement Act.
[00:37:36.780 --> 00:37:38.261]  The Justice Domestic Security Enhancement Act.
[00:37:38.481 --> 00:37:39.541]  House and Senate versions.
[00:37:39.901 --> 00:37:42.042]  It's like if I got up here and said the sun didn't come up this morning.
[00:37:42.242 --> 00:37:42.922]  He'd laugh at me.
[00:37:43.082 --> 00:37:44.383]  But the press didn't call him on it.
[00:37:45.563 --> 00:37:50.005]  Now he's saying there is a Patriot Act II and Victory Act I and Victory Act II and you better pass all of them.
[00:37:50.546 --> 00:37:53.087]  You know what's in Patriot Act II, Section 501?
[00:37:53.927 --> 00:37:57.768]  You put the description of a terrorist under Section 802 of the first Patriot Act.
[00:37:58.449 --> 00:37:59.089]  You can be arrested.
[00:37:59.978 --> 00:38:00.799]  Secretly executed.
[00:38:01.959 --> 00:38:02.419]  That's right.
[00:38:02.780 --> 00:38:04.981]  A three military judge panel.
[00:38:06.582 --> 00:38:15.826]  Now what is section 802 of the first Patriot Act that passed on October 27, 2001 at five in the morning when no one was allowed to read it?
[00:38:16.367 --> 00:38:17.567]  According to members of Congress.
[00:38:18.688 --> 00:38:24.031]  The definition of terrorist is any action that endangers human life that is a violation of any federal or state law.
[00:38:25.331 --> 00:38:28.353]  They have many other definitions about anything that influences government.
[00:38:29.246 --> 00:38:30.206]  Go read it for yourself.
[00:38:30.386 --> 00:38:31.967]  They're counting on you not reading it.
[00:38:32.147 --> 00:38:33.467]  They're counting on you not finding it.
[00:38:34.507 --> 00:38:40.709]  Ron Paul and others have pointed out that Hitler and Stalin and people didn't have the nerve to put stuff like this down on paper.
[00:38:40.749 --> 00:38:41.629]  They just did it!
[00:38:41.649 --> 00:38:45.150]  That's what's so amazing about this.
[00:38:46.250 --> 00:38:47.470]  And to see the Assistant U.S.
[00:38:47.510 --> 00:38:53.272]  Attorney here peddling this is really sad, but I know it's under orders.
[00:38:54.212 --> 00:38:57.653]  Because two months ago it was reported that Ashcroft met out in Hollywood
[00:38:58.339 --> 00:39:02.262]  We're the heads, the big editors of all the newspapers, and the heads of law enforcement.
[00:39:02.963 --> 00:39:08.427]  And so we'd like you to go out and write editorials, editors, we'd like you as attorneys, as attorneys, write editorials, get on talk shows.
[00:39:09.568 --> 00:39:12.250]  Two months ago it was reported that Ashcroft met out in Hollywood.
[00:39:12.891 --> 00:39:16.814]  We're the heads, the big editors of all the newspapers, and the heads of law enforcement.
[00:39:17.534 --> 00:39:22.979]  And so we'd like you to go out and write editorials, editors, we'd like you as attorneys, as attorneys, write editorials, get on talk shows.
[00:39:24.520 --> 00:39:25.681]  Get out there and sell the
[00:39:26.491 --> 00:39:29.354]  This is the people, this is good, this is a wonderful thing.
[00:39:30.395 --> 00:39:37.341]  So I want the council, in case you don't know this, and the people here today to understand that it's a stage managed event.
[00:39:37.621 --> 00:39:43.806]  I mean it really was hatched in a smoky room to to oppress you, to manipulate you, to con you.
[00:39:44.927 --> 00:39:52.394]  That makes me very angry and that's why it's so exciting that this council may simply just say we have a Bill of Rights and Constitution
[00:39:53.221 --> 00:39:56.583]  And we will not violate the Bill of Rights and Constitution.
[00:39:56.863 --> 00:39:59.205]  And in this city, America is still America.
[00:39:59.405 --> 00:40:00.406]  I mean, it's just that simple.
[00:40:02.727 --> 00:40:05.649]  Now, I'm sure you heard about five years ago about the FBI Crime Lab.
[00:40:05.669 --> 00:40:09.311]  The head of it, Dr. Frederick Whitehurst, who I've interviewed several times, said, I'm not doing this anymore.
[00:40:09.331 --> 00:40:11.452]  We've been framing people, manufacturing evidence.
[00:40:11.613 --> 00:40:12.413]  This is out of control.
[00:40:14.334 --> 00:40:18.077]  I've interviewed FBI agent Tyrone Powers, who talked about how they would frame people.
[00:40:18.737 --> 00:40:20.178]  The different criminal things they would do.
[00:40:21.525 --> 00:40:22.885]  Tulia, Texas.
[00:40:22.905 --> 00:40:23.586]  56 black people.
[00:40:23.966 --> 00:40:24.806]  No criminal record.
[00:40:24.946 --> 00:40:25.986]  No drug paraphernalia.
[00:40:26.046 --> 00:40:26.547]  No nothing.
[00:40:26.827 --> 00:40:32.388]  On the word of one corrupt cop, gave them all 20 to 90 years in prison.
[00:40:33.409 --> 00:40:34.349]  Now you think about that.
[00:40:34.369 --> 00:40:36.129]  Houston Crime Lab.
[00:40:36.149 --> 00:40:39.510]  Thousands framed indiscriminately.
[00:40:40.711 --> 00:40:43.852]  The police chief had to admit it because his job's on the line.
[00:40:43.872 --> 00:40:45.912]  He's claiming, oh, I'm going to fix that problem.
[00:40:46.793 --> 00:40:51.194]  It's equivalent of Harriman Goring, you know, promising to stop what Hitler was up to.
[00:40:52.256 --> 00:40:54.097]  This is amazing, ladies and gentlemen.
[00:40:54.357 --> 00:40:57.158]  So this is why we restrict the scope and size of government.
[00:40:57.399 --> 00:40:58.919]  And it's power over us and our lives.
[00:40:59.179 --> 00:41:00.660]  Because we know there's criminals on the street.
[00:41:00.820 --> 00:41:01.801]  We know there's bad people.
[00:41:01.921 --> 00:41:14.727]  But they don't have the massive mechanisms, the machinery of government, and military, and militarized police, and prison complexes to oppress at levels... Alex, are you there?
[00:41:17.125 --> 00:41:17.405]  Hello?
[00:41:17.786 --> 00:41:20.169]  Yeah, we're on air right now, streaming also on the internet.
[00:41:20.429 --> 00:41:21.130]  Okay, I got your guess.
[00:41:21.270 --> 00:41:21.851]  Alright, here we go, thanks.
[00:41:21.871 --> 00:41:28.480]  So don't tell me, Lita, we shouldn't have a concern with the most draconian legislation in the history of the world!
[00:41:28.760 --> 00:41:32.986]  Dwarfing Byzantine Spain and France is rolled out against the people!
[00:41:35.999 --> 00:41:37.119]  All right, ladies and gentlemen.
[00:41:37.880 --> 00:41:46.002]  That was going back, what, four years ago when we got Austin to throw out the Patriot Act and say the Bill of Rights and Constitution still existed.
[00:41:46.322 --> 00:41:48.822]  And before the show ends, I'm going to air the rest of my speech there.
[00:41:48.862 --> 00:41:50.903]  We'll back it up a little bit so you can hear it all.
[00:41:50.923 --> 00:41:52.263]  That's from the film Matrix of Evil.
[00:41:52.823 --> 00:41:58.825]  I am very honored to have Congressman Brad Sherman on the air with us.
[00:41:59.545 --> 00:42:14.052]  Harvard Law School, this is education, JD, Magna Cum Laude, UCLA, BA, he goes on, instructor, Harvard Law, School International Tax Program, his bio goes on and on, so he can certainly speak to the fact of martial law.
[00:42:14.452 --> 00:42:17.953]  We've talked to other congressmen here on air that have said yes, they've been threatened with the U.S.
[00:42:17.973 --> 00:42:22.736]  collapsing, martial law being installed, the Army has announced in the Army Times,
[00:42:24.137 --> 00:42:30.704]  That, oh, NORTHCOM's deploying a brigade, going to bring others in for civil unrest, we'll use our microwave cannons on the people.
[00:42:31.285 --> 00:42:41.978]  I mean, this is all happening in the last week, and we saw the financial terrorism of the White House saying, pass this bill, give us immunity, give us all this power, or
[00:42:43.217 --> 00:42:47.398]  We're going to have a depression, and then it didn't pass Monday, so the market dropped $1 trillion, $200 billion.
[00:42:47.738 --> 00:42:49.899]  If that isn't economic terrorism, I don't know what is.
[00:42:50.399 --> 00:42:51.700]  So, we have the Congressman almost.
[00:42:51.720 --> 00:42:53.620]  We only have him for five minutes, five, six minutes.
[00:42:54.241 --> 00:42:56.201]  Congressman Brad Sherman, thank you for coming on, sir.
[00:42:57.002 --> 00:42:57.802]  Good to be with you.
[00:42:57.822 --> 00:43:05.624]  You know, Wall Street used these panic tactics to get us to pass this $700 billion.
[00:43:05.664 --> 00:43:08.986]  Well, what the bill really is is $700 billion in unmarked bills.
[00:43:10.888 --> 00:43:19.750]  They said the market would drop by 4,000 points, blood would flow in the streets, and lions would be devouring children in the parks of Los Angeles.
[00:43:20.510 --> 00:43:31.772]  Now that the bill has passed, our economy is still going to be very bad in the fall and winter, but the Wall Street folks will come out and say, well, it was a great bill.
[00:43:32.372 --> 00:43:35.733]  After all, there are no lions in the parks of Los Angeles.
[00:43:36.343 --> 00:43:55.975]  So, we've got to do everything we can to focus people's attention on this bill as it's carried out, because it allows Paulson to go up to Wall Street, he can give money to one firm, he cannot return phone calls from another firm, he can take
[00:43:57.030 --> 00:44:05.236]  He can, if he wants, find out which firms are donating to the 527 organizations which take secret contributions and then make political advertising.
[00:44:05.696 --> 00:44:07.698]  He can look at the RNC donor list.
[00:44:08.118 --> 00:44:09.319]  He can do anything he wants.
[00:44:09.519 --> 00:44:23.009]  Congressman, I know that you're moving forward now, as a good congressman would, with your constituents now that the corruption has passed through economic terrorism, but let's go back to what you said on the floor in the last 24 hours about members of Congress, and I've talked to some.
[00:44:23.849 --> 00:44:25.670]  They're afraid to even come on and talk about it being told.
[00:44:25.950 --> 00:44:30.232]  There will be martial law in America and we'll just do this with or without you if you don't do this.
[00:44:30.352 --> 00:44:31.633]  That is incredible.
[00:44:31.853 --> 00:44:39.556]  And I just had the former head of the Treasury on earlier, Dr. Paul Craig Roberts from Reagan, head of policy, saying that this gives them economic martial law.
[00:44:40.637 --> 00:44:45.899]  Well, I know that some comments like that were made.
[00:44:46.199 --> 00:44:48.480]  I didn't take them seriously.
[00:44:48.801 --> 00:44:49.561]  I know some would.
[00:44:50.423 --> 00:44:56.866]  I thought it was just an overblown effort to create a panic in order to pass a bad bill.
[00:44:56.946 --> 00:44:58.206]  Is that not terrorism?
[00:44:58.286 --> 00:45:02.748]  I mean, is that not the definition to threaten harm or carry out harm for a political aim, sir?
[00:45:04.149 --> 00:45:06.610]  Well, they didn't say they'd shoot anybody.
[00:45:08.071 --> 00:45:18.375]  So, usually terrorism involves threats of violence, and whether a drop in the Dow is violent or not, I mean, I'm sure
[00:45:19.198 --> 00:45:24.940]  That somebody had a heart attack when the market dropped a few hundred points.
[00:45:24.980 --> 00:45:28.501]  But keep in mind, we passed the bill and I'm told the market is down.
[00:45:28.862 --> 00:45:30.022]  Is it not?
[00:45:30.042 --> 00:45:31.383]  Well, sir, we have cyber-terrorism.
[00:45:31.403 --> 00:45:35.304]  They call hacking terrorism under the Patriot Act, Section 802.
[00:45:35.844 --> 00:45:39.886]  Any action, you know, they claim is even a misdemeanor as terrorism.
[00:45:39.926 --> 00:45:46.188]  I mean, to have a trillion, two hundred billion dollar loss in one day with them fear-mongering, I call that economic terrorism.
[00:45:46.208 --> 00:45:48.069]  Well, I don't think of it as that big a loss.
[00:45:49.009 --> 00:45:49.770]  I understand.
[00:46:06.064 --> 00:46:06.684]  I don't know.
[00:46:24.349 --> 00:46:26.650]  Sir, here's the $64 million question.
[00:46:27.190 --> 00:46:33.213]  You and other members of Congress say, yeah, well, there were some people threatening martial law, but we don't, you know, think they meant it.
[00:46:33.233 --> 00:46:37.015]  They were just trying to fearmonger, which I call terrorism, into it.
[00:46:37.335 --> 00:46:38.715]  That's a huge issue.
[00:46:39.116 --> 00:46:40.936]  Specifically, sir, we need to know names.
[00:46:41.196 --> 00:46:46.799]  Who told you that they were told that martial law and blood in the streets, as you said, what happened?
[00:46:47.318 --> 00:46:53.723]  Private conversations between members on the floor, you really can't reveal without the permission of the other party.
[00:46:53.743 --> 00:46:56.806]  I understand, but were there arm twisters coming up or were they scared?
[00:46:56.846 --> 00:46:58.507]  I mean, how was it said specifically?
[00:46:58.887 --> 00:47:01.649]  I think these were people who really believed what they were saying.
[00:47:01.689 --> 00:47:08.134]  I don't think these were people who were, you know, got called by Goldman Sachs and said, well, go say this or go say that.
[00:47:08.655 --> 00:47:10.777]  The panic takes a...
[00:47:12.846 --> 00:47:13.767]  A life of its own.
[00:47:13.887 --> 00:47:16.167]  One person says the market will drop 2,000 points.
[00:47:16.207 --> 00:47:17.468]  Somebody else says 2,500.
[00:47:17.868 --> 00:47:18.528]  Somebody else says 3,000.
[00:47:19.108 --> 00:47:23.229]  Somebody else says the unemployment will jump immediately to 9%.
[00:47:23.350 --> 00:47:24.610]  It spreads.
[00:47:24.810 --> 00:47:25.930]  It gets worse and worse.
[00:47:27.011 --> 00:47:36.294]  I don't think there was, or at least I'm not aware of this being carefully orchestrated.
[00:47:36.754 --> 00:47:40.975]  But I think now what we have to do is expose those circumstances.
[00:47:41.454 --> 00:47:51.104]  Where we're bailing out a particular firm and how many of the executives at that firm are continuing to make a million dollars a year, five million dollars a year, twenty million dollars a year.
[00:47:51.645 --> 00:47:55.329]  That's the message that needs to get out each and every time.
[00:47:57.733 --> 00:48:03.258]  By the way, Congressman, you are, for the listeners, uniquely positioned to be able to comment on all this.
[00:48:03.938 --> 00:48:14.367]  You work for some of the most important and prestigious firms doing audits of multinational corporations and of government entities, so you know what you're talking about.
[00:48:14.447 --> 00:48:20.833]  I know what I'm talking about, but there's going to be a lot of information that is not public, and it's going to take
[00:48:21.094 --> 00:48:26.996]  Investigative reporters to find out things that congressmen can't find out and that the public is not going to be aware of.
[00:48:27.423 --> 00:48:31.025]  You know, I have to go right now, but it's been a pleasure being with you.
[00:48:31.285 --> 00:48:33.247]  Sir, let us get you back on for longer in the near future.
[00:48:33.287 --> 00:48:33.927]  Thank you, Congressman.
[00:48:33.947 --> 00:48:34.527]  I look forward to it.
[00:48:34.707 --> 00:48:35.128]  Thank you.
[00:48:35.968 --> 00:48:40.611]  We skipped that break because we got him on a few minutes late, and then he only had about five, six minutes.
[00:48:40.971 --> 00:48:42.652]  So there you heard it, ladies and gentlemen.
[00:48:43.173 --> 00:48:51.478]  Yeah, there were people on the floor saying they were told martial law and literal blood in the streets if this didn't happen, and they were told this, but I can't tell you who told me.
[00:48:52.438 --> 00:48:58.141]  Meanwhile, the Army is in the Army Times saying, oh, we're here for, you know, for civil emergency martial law.
[00:48:58.441 --> 00:49:07.025]  The John Warner Defense Authorization Act says that the governors run nothing, Congress runs nothing, PDD 51, it's all there and this is being threatened.
[00:49:07.365 --> 00:49:12.888]  And now, according to Paul Craig Roberts, Dr. Roberts earlier, this gives economic martial law power to the Treasury.
[00:49:13.148 --> 00:49:14.849]  So, one way or the other, they got it.
[00:49:16.149 --> 00:49:17.150]  Now, I'm going to do this.
[00:49:17.410 --> 00:49:18.851]  I want to open the phones up.
[00:49:20.231 --> 00:49:21.472]  I want to open the phones up.
[00:49:22.705 --> 00:49:30.393]  For people out there listening at the bottom of the hour, specifically on what you think of the banker takeover and the Marshall Law and all of it.
[00:49:30.974 --> 00:49:35.138]  And we're busting our butts here to bring you these congressmen, these eyewitnesses, these reports.
[00:49:35.178 --> 00:49:38.262]  We really appreciate all of you tuning in today.
[00:49:38.462 --> 00:49:39.303]  Record audiences.
[00:49:39.583 --> 00:49:42.046]  The internet's a small part of our audience, hundreds of thousands.
[00:49:43.345 --> 00:49:49.528]  But still, it's a key gauge, and it's record streams listening on the InfoWars streams, record people tuned in just there.
[00:49:49.648 --> 00:49:54.171]  I know there's record numbers listening on the AM and FM dials, shortwave satellite right now.
[00:49:54.271 --> 00:49:55.132]  The internet's engaged.
[00:49:55.172 --> 00:49:56.452]  By the way, I misspoke earlier.
[00:49:56.492 --> 00:49:58.733]  I said 83,000 people a day download the podcast.
[00:49:59.054 --> 00:49:59.394]  It's now 98,000.
[00:49:59.614 --> 00:50:08.659]  In one week, it's grown to 98,000 a day downloading the free podcast at InfoWars.com and PrisonPlanet.com.
[00:50:08.919 --> 00:50:10.380]  Now, we skipped this network break.
[00:50:10.400 --> 00:50:10.780]  Don't worry.
[00:50:10.800 --> 00:50:12.021]  Sponsors will get your ads played.
[00:50:12.801 --> 00:50:16.686]  Just on a later day for that break there.
[00:50:17.247 --> 00:50:19.950]  But in times like these, we've got to take every minute we've got.
[00:50:20.791 --> 00:50:22.613]  So I didn't just skip that on the internet streams.
[00:50:23.054 --> 00:50:23.955]  We skipped that network.
[00:50:25.416 --> 00:50:27.378]  Network-wide, but I'm only going to give each caller about a minute.
[00:50:27.418 --> 00:50:29.899]  I'm really bad about taking long questions, and I babble.
[00:50:29.919 --> 00:50:33.222]  I'm just going to let you have your say, kind of like radio graffiti, as some call it.
[00:50:34.203 --> 00:50:35.624]  I'm not even going to comment much.
[00:50:35.644 --> 00:50:36.905]  I'm just going to let you have your rant.
[00:50:37.245 --> 00:50:37.645]  Be ready.
[00:50:37.665 --> 00:50:37.906]  1-800-259-9231.
[00:50:38.026 --> 00:50:43.149]  The toll-free number to join us, 1-800-259-9231.
[00:50:43.190 --> 00:50:50.095]  A lot of days, Ron Paul says, I can definitely come on at this time, and then he always comes on, or sometimes something comes up, and then he has to reschedule.
[00:50:50.655 --> 00:50:52.777]  He may be popping in still in the next 40 minutes.
[00:50:53.217 --> 00:50:58.682]  So that might mess up some of those who want to call in, but barring him calling in during the calls we'll be taking, we'll be going to those.
[00:50:59.843 --> 00:51:05.287]  I'm going to take a break right now for the next five minutes and finish up some of my speech before the City Council in Austin four years ago.
[00:51:05.368 --> 00:51:12.534]  Back that up about 20 seconds for listeners out there, and we'll continue with how long ago we were warning everybody about the situation, and we'll come back.
[00:51:13.294 --> 00:51:20.320]  We'll take the next break in about four minutes, and then we'll come back and take your phone calls right here on the GCN Radio Network.
[00:51:20.360 --> 00:51:20.801]  Stay with us.
[00:51:22.256 --> 00:51:36.540]  That makes me very angry and that's why it's so exciting that this council may simply just say we have a Bill of Rights and Constitution and we will not violate the Bill of Rights and Constitution and in this city, America is still America.
[00:51:36.720 --> 00:51:37.721]  I mean, it's just that simple.
[00:51:40.041 --> 00:51:42.982]  Now, I'm sure you heard about five years ago about the FBI Crime Lab.
[00:51:43.002 --> 00:51:46.623]  The head of it, Dr. Frederick Whitehurst, who I've interviewed several times, said, I'm not doing this anymore.
[00:51:46.643 --> 00:51:48.784]  We've been framing people, manufacturing evidence.
[00:51:48.924 --> 00:51:49.684]  This is out of control.
