[00:00:00.009 --> 00:00:02.410]  Justin Texas, Alex Jones.
[00:24:35.495 --> 00:24:35.935]  Or call
[00:24:54.758 --> 00:24:56.520]  We really should be positive.
[00:25:01.005 --> 00:25:03.307]  People worldwide know that 9-11 is an inside job.
[00:25:03.327 --> 00:25:07.471]  The majority of people in every major poll I've seen don't believe the official story.
[00:25:10.695 --> 00:25:14.499]  The bankers' propaganda is not being listened to by the people that count.
[00:25:15.280 --> 00:25:17.202]  You can have billions of couch potatoes that
[00:25:18.240 --> 00:25:19.160]  We're good to go.
[00:25:42.577 --> 00:25:44.457]  James in Ohio, then Sam.
[00:25:45.418 --> 00:25:46.538]  Oh no, James just hung up.
[00:25:46.758 --> 00:25:49.459]  We'll go to Sam in England, Carlos, Steve and others.
[00:25:50.259 --> 00:25:51.959]  Sam in England, you're on the air, welcome.
[00:25:53.260 --> 00:25:53.660]  Hey Alex.
[00:25:54.220 --> 00:25:54.660]  Hello sir.
[00:25:54.680 --> 00:26:00.141]  Yeah, I want to say I love what you're doing with Prison Planet.tv.
[00:26:01.642 --> 00:26:02.062]  Thank you.
[00:26:02.902 --> 00:26:05.323]  You made two of the best films ever, in my opinion.
[00:26:05.643 --> 00:26:06.543]  What films were those?
[00:26:08.023 --> 00:26:09.484]  Terror Storm and Endgame.
[00:26:09.904 --> 00:26:10.224]  Thank you.
[00:26:11.604 --> 00:26:13.986]  Yeah, I'd like spoken to him a few times.
[00:26:32.810 --> 00:26:41.473]  Well, I know that it's supposedly banned in England, but the companies keep coming in and planting it near growth belts to infect the other plants.
[00:26:41.573 --> 00:26:43.574]  It's a military operation.
[00:26:45.094 --> 00:26:51.657]  Yeah, well, I just wanted to say on the article it said that they originated from North America, so I wondered what you thought about that.
[00:26:52.057 --> 00:26:57.239]  Well, the big GMO makers, there's only four big companies, they're all basically Pentagon fronts.
[00:26:58.829 --> 00:27:07.912]  Everything, the fake news, the propaganda, the Northcom, Homeland Security, GMO, it's all designed by them for full spectrum dominance.
[00:27:07.932 --> 00:27:08.652]  They've stated this.
[00:27:10.233 --> 00:27:15.715]  And so they come into countries and they buy plots of land and they plant their GMO foods where it's illegal.
[00:27:17.115 --> 00:27:23.658]  And they've caught company workers driving along throwing seeds out of the backs of trucks
[00:27:24.947 --> 00:27:28.530]  into the ditches by farmer's land to infect their crops.
[00:27:28.550 --> 00:27:31.812]  It's a bio-weapon attack.
[00:27:33.053 --> 00:27:34.234]  It's a eugenics attack.
[00:27:34.294 --> 00:27:35.294]  I'm not just saying that.
[00:27:35.335 --> 00:27:36.355]  It really is, folks.
[00:27:37.356 --> 00:27:40.418]  And to realize the full magnitude of that.
[00:27:41.819 --> 00:27:42.740]  It is dumbfounding.
[00:27:44.661 --> 00:27:45.562]  It is dumbfounding.
[00:27:46.943 --> 00:27:52.964]  To come to grips with the fact that we have a completely lawless criminal government, a criminal elite.
[00:27:54.024 --> 00:27:57.085]  But what are people doing up there in your neck of the woods in England?
[00:27:57.125 --> 00:27:58.425]  Are they waking up to the New World Order?
[00:27:58.445 --> 00:28:00.846]  It seems like they are when I do radio interviews.
[00:28:02.486 --> 00:28:08.988]  Yeah, yeah, quite a lot of people are, but not too many in my area because we live in quite a rural area.
[00:28:09.028 --> 00:28:13.208]  So there's not so many people waking up around here.
[00:28:13.688 --> 00:28:15.989]  Well, are they just keeping to themselves or what's happening?
[00:28:17.287 --> 00:28:19.749]  Yeah, they just keep to themselves.
[00:28:19.769 --> 00:28:21.831]  It's like they're in their own sort of world down here.
[00:28:23.993 --> 00:28:25.915]  You say down here, where are you in England?
[00:28:27.776 --> 00:28:28.657]  Gloucestershire.
[00:28:29.858 --> 00:28:35.263]  It's like near Wales, on the border of Wales and England.
[00:28:35.623 --> 00:28:40.348]  We have a lot of chemtrails around here and stuff like that, but people just don't seem to notice.
[00:28:42.594 --> 00:28:47.518]  And they won't notice either when their kids get diabetes for no reason from the shots or they die.
[00:28:47.538 --> 00:28:51.181]  They'll just go to the hospital and die and love the government.
[00:28:51.221 --> 00:28:52.002]  That's what it's all about.
[00:28:52.162 --> 00:28:52.882]  Loving the government.
[00:28:53.463 --> 00:28:54.203]  Never being free.
[00:28:54.243 --> 00:28:55.444]  Never knowing how the world really works.
[00:28:55.464 --> 00:28:56.345]  Just living in darkness.
[00:28:56.986 --> 00:29:00.148]  Well my friend, I would challenge you to wake people up one mind at a time.
[00:29:00.168 --> 00:29:05.352]  And a lot of times you'll find people are just keeping to themselves because they do know what's going on.
[00:29:06.253 --> 00:29:10.957]  So I challenge you to be a light in your area and to expose darkness.
[00:29:14.578 --> 00:29:18.361]  What do you think of all the big banks and things going under and talk of a thousand U.S.
[00:29:18.421 --> 00:29:23.085]  banks going under and hundreds of billions of dollars in losses a day?
[00:29:23.666 --> 00:29:32.193]  Meanwhile, people literally on talk radio are saying the economy's strong, Sarah Palin's going to save us, Barack Obama's going to save us, and they're just dancing in the streets loving it.
[00:29:34.435 --> 00:29:38.159]  What's the difference to, you know, on the American news, CNN and things like that?
[00:29:38.792 --> 00:29:45.353]  They don't really admit, but over here they do seem to admit more that we're in a recession and seem to be a bit more open about it.
[00:29:47.334 --> 00:29:55.295]  Well, it's very upsetting to me, it's very depressing to me to know that the very same parties have designed all this.
[00:29:55.335 --> 00:29:58.036]  We have their documents where they admit they designed it.
[00:29:58.756 --> 00:30:03.817]  The general public doesn't even know there's an international architecture or powerful financiers.
[00:30:04.237 --> 00:30:05.718]  They've been told that doesn't exist.
[00:30:05.778 --> 00:30:07.298]  I mean, it's just so childlike.
[00:30:08.052 --> 00:30:08.633]  Alex, how's it going, man?
[00:30:29.508 --> 00:30:32.631]  Yeah, my concern is with the violence happening in Mexico, man.
[00:30:32.731 --> 00:30:36.895]  I was interested in it because you had an interview with Celica Steele, and I listened to that online.
[00:30:36.955 --> 00:30:40.178]  It was a great interview, by the way, and I'm interested in you having them back online.
[00:30:40.919 --> 00:30:43.301]  But my mom brought this up yesterday.
[00:30:43.321 --> 00:30:51.629]  I was born in Chihuahua, Mexico, and there was an incident where they found 24 people shot at that execution-style close to a ranch that we have down there.
[00:30:52.310 --> 00:30:56.012]  And, um, I know people don't realize, but this violence is going to spill over to the U.S.
[00:30:56.073 --> 00:30:57.253]  porters and the media.
[00:30:57.273 --> 00:30:59.735]  I know, because the media doesn't talk about it.
[00:31:00.681 --> 00:31:06.242]  Well, cops don't know about all the dead cops, because they're only taught to fear the citizen.
[00:31:06.683 --> 00:31:11.484]  They're not taught to ever know what's going on on the border, or what's going on anywhere else.
[00:31:12.124 --> 00:31:14.244]  Just like people fear Al-Qaeda.
[00:31:14.785 --> 00:31:18.005]  Like a child doesn't fear being run over by a car, the real threat to them.
[00:31:18.426 --> 00:31:20.086]  But they fear monsters in the closet.
[00:31:20.846 --> 00:31:22.727]  It's that archetypal fear.
[00:31:23.147 --> 00:31:27.668]  So police fear the citizens, but they don't fear what really kills them, like car wrecks.
[00:31:28.649 --> 00:31:33.811]  You see, the public fears Al-Qaeda, but they don't fear the government that's taking all their rights.
[00:31:34.211 --> 00:31:38.432]  Though, statistically, governments are the greatest takers of liberty and property and life.
[00:31:39.032 --> 00:31:40.993]  You see, but they've been taught to fear.
[00:31:41.173 --> 00:31:43.053]  But, yeah, tell folks what's going on in Mexico.
[00:31:43.394 --> 00:31:48.075]  Two thousand dead in the last nine months alone on the Texas-Mexico border.
[00:31:48.235 --> 00:31:50.916]  Two thousand dead!
[00:31:51.776 --> 00:31:53.437]  And in this atmosphere,
[00:31:54.617 --> 00:31:55.438]  of lawlessness.
[00:31:56.158 --> 00:32:06.385]  There are rapes and murders and killings because when society unravels and when the government goes totally rogue, then the other criminals run wild.
[00:32:06.425 --> 00:32:10.708]  Go ahead and tell folks what's happening in Mexico because I get emails saying it's a conspiracy theory.
[00:32:11.448 --> 00:32:18.893]  Yeah, no, the 2000 number you said is probably a low number because a lot of the deaths that happen down there, a lot of the bodies that are not found, people that are not, that are missing,
[00:32:19.761 --> 00:32:22.442]  They're not considered dead, so they're not even a number.
[00:32:22.482 --> 00:32:25.183]  So 2,000 is a low number, so it's probably higher than that.
[00:32:28.645 --> 00:32:29.145]  Keep going.
[00:32:32.646 --> 00:32:33.847]  I wanted to hear what he had to say.
[00:32:33.867 --> 00:32:35.007]  Are you still there?
[00:32:35.027 --> 00:32:37.528]  Are you still there, Carlos?
[00:32:39.249 --> 00:32:41.810]  Alright, we lost his line, so you can call back in.
[00:32:42.450 --> 00:32:43.430]  I want to hear the story.
[00:32:44.791 --> 00:32:47.512]  Now, I got a new knife this week and I was pulling it out to show people.
[00:32:48.533 --> 00:32:51.896]  And it seemed to scare Paul in there running the show for some reason.
[00:32:52.536 --> 00:32:57.240]  I was going to say, down in Mexico they don't have a lot of guns, the citizens don't.
[00:32:58.979 --> 00:33:03.461]  But the criminals down there do have guns, and all the citizens have are little knives to fight back with.
[00:33:03.501 --> 00:33:06.302]  And if the cops catch you with one of these, you get beat up and go to jail in Mexico.
[00:33:07.002 --> 00:33:08.143]  So, that was my point.
[00:33:08.723 --> 00:33:16.626]  And we see the same domestication now starting here in the United States, where, you know, if they catch a teenager with a little knife in their pocket, it's something we all carried as kids.
[00:33:16.646 --> 00:33:23.929]  I mean, for me, it's totally normal just to have a pocket knife in there, and, you know, I like pick my fingernails with it, pick my teeth with it, I need to cut something, I slice it.
[00:33:24.769 --> 00:33:25.810]  But no, no, this is now
[00:33:26.590 --> 00:33:28.712]  This is even frowned upon in the United States now.
[00:33:29.012 --> 00:33:30.153]  See, I'm becoming a slave.
[00:33:30.193 --> 00:33:31.754]  I'm becoming a serf.
[00:33:32.134 --> 00:33:32.615]  A peon.
[00:33:33.295 --> 00:33:34.196]  And it's just really sad.
[00:33:34.956 --> 00:33:40.040]  And as Mexico unravels, as it falls apart, more and more of these poor people come up here.
[00:33:40.641 --> 00:33:41.862]  Drives down wages further.
[00:33:42.562 --> 00:33:43.643]  So it's quite a mess.
[00:33:43.703 --> 00:33:44.884]  Did Carlos ever get back in?
[00:33:46.725 --> 00:33:46.985]  John?
[00:33:48.106 --> 00:33:48.507]  Say that again?
[00:33:49.520 --> 00:33:50.721]  Carlos ever get back in?
[00:33:51.001 --> 00:33:52.041]  No, he dropped off.
[00:33:52.261 --> 00:33:53.062]  I wanted to hear from him.
[00:33:53.582 --> 00:33:55.043]  Steve in Arizona, you're on the air.
[00:33:55.083 --> 00:33:55.423]  Go ahead.
[00:33:55.503 --> 00:33:56.183]  Oh, sorry!
[00:33:56.483 --> 00:33:57.224]  Put Steve on hold.
[00:33:57.264 --> 00:33:58.004]  I didn't see that.
[00:33:58.524 --> 00:33:59.765]  Brian disagrees.
[00:34:00.465 --> 00:34:02.827]  So we'll put him on for a minute first.
[00:34:03.427 --> 00:34:05.648]  People that disagree, go to the, get preferential treatment.
[00:34:06.128 --> 00:34:07.429]  Which isn't right, but we do it.
[00:34:08.009 --> 00:34:09.610]  Go ahead, you're on the air, Brian.
[00:34:10.330 --> 00:34:14.993]  I got a small fundamental disagreement on 9-11 as proposed in one of your films.
[00:34:15.413 --> 00:34:16.073]  I like most of them.
[00:34:16.113 --> 00:34:17.534]  In fact, I just caught the new one
[00:34:18.215 --> 00:34:27.742]  America, or the old one, one of the first ones, America Destroyed by Design, which I thought was really enlightening about the parks and how they've been turned over to the UN.
[00:34:28.122 --> 00:34:29.823]  That's all in official executive orders.
[00:34:30.864 --> 00:34:31.704]  Oh, I know, I've read them.
[00:34:31.965 --> 00:34:34.006]  But my disagreement is with you.
[00:34:34.246 --> 00:34:45.654]  In the newest film, the most recent loose change one, they didn't go into enough depth on the Pentagon, and Burmese people had more information.
[00:34:46.167 --> 00:35:04.755]  I spoke to Craig Ranke and Aldo of ThePentacon.com out in California, and at the Payment Montehito's Truth Rally over a year ago, they had actual footage where they interviewed on-site the Pentagon police officers that said the plane came in on the north side, which debunked the government's official story.
[00:35:04.795 --> 00:35:09.757]  They've got 13 other north side witnesses that saw it come in over the Navy Annex.
[00:35:11.763 --> 00:35:29.051]  Well, look, I mean, listen, nothing single-handedly, I mean, this radio show, my wonderful listeners, total have had a bigger effect than the loose change phenomenon.
[00:35:29.971 --> 00:35:38.835]  But nothing single-handedly has woken up more people, had a bigger effect than loose change second edition, and now loose change final cut.
[00:35:40.421 --> 00:35:42.742]  The first edition really was kind of an underground deal.
[00:35:42.762 --> 00:35:44.042]  A lot of people didn't see that.
[00:35:45.723 --> 00:35:47.164]  And second edition was much better.
[00:35:48.304 --> 00:35:48.964]  Was it perfect?
[00:35:49.004 --> 00:35:49.865]  Are my films perfect?
[00:35:49.925 --> 00:35:53.286]  No, but 98% accurate, going in the right direction.
[00:35:54.226 --> 00:35:55.787]  The official story is definitely a fraud.
[00:35:57.948 --> 00:36:03.790]  But to say that you guys didn't do enough, or you guys didn't make the right film, it's hard making a film.
[00:36:05.191 --> 00:36:09.593]  It's hard, you know, getting all this stuff done.
[00:36:10.434 --> 00:36:15.117]  And it was loose change second edition that really exposed the Pentagon.
[00:36:16.177 --> 00:36:30.785]  And so to then say that they somehow... I mean, it's kind of like we're on the football field and we've run six touchdowns, seven touchdowns, and other people are in the nosebleed seats with a KERS light and a hot dog.
[00:36:30.805 --> 00:36:33.887]  I'll just knock something off the table here.
[00:36:35.071 --> 00:36:36.692]  Thank God this dressing didn't bust open.
[00:36:39.014 --> 00:36:43.077]  Going, you should have run the shotgun I formation!
[00:36:43.097 --> 00:36:49.401]  I think you should have put in this linebacker other than that one, or this runner.
[00:36:50.142 --> 00:37:03.732]  And frankly, I'm doing everything I can do, and the loose change guys are doing everything they can do, and I just think it's a distraction to say, you had this, you had that.
[00:37:05.430 --> 00:37:11.592]  I know they had some interviews, but they couldn't vet them, they couldn't confirm them, you know, they couldn't put everything in that film.
[00:37:12.453 --> 00:37:16.954]  They also had stuff like hard drives die on them, and it was hard even getting that film out.
[00:37:16.994 --> 00:37:18.195]  It was a three-ring circus.
[00:37:18.755 --> 00:37:25.438]  All the guys were going around and speaking and doing radio interviews and having groupies show up out there and, you know, all the rest of it.
[00:37:27.458 --> 00:37:30.340]  But, I mean, hell, I'm sorry, I'm bad, what can I do for you?
[00:37:31.160 --> 00:37:31.880]  I haven't done enough.
[00:37:31.900 --> 00:37:32.700]  No, no, it's true.
[00:37:32.720 --> 00:37:33.841]  We're bad, we're covering up the truth.
[00:37:34.636 --> 00:37:35.776]  But anyways, what else is going on?
[00:37:36.417 --> 00:37:37.257]  You probably didn't know.
[00:37:37.597 --> 00:37:41.058]  All I ask is, can you have the people from the Pentagon on, or April Gallup?
[00:37:41.098 --> 00:37:41.498]  That's it.
[00:37:42.819 --> 00:37:43.659]  April Gallup.
[00:37:44.699 --> 00:37:45.500]  That name rings a bell.
[00:37:46.080 --> 00:37:47.520]  She was pulled through the hole of the Pentagon.
[00:37:47.540 --> 00:37:48.101]  Yeah, that's right.
[00:37:48.161 --> 00:37:49.361]  And then maternity leave.
[00:37:49.781 --> 00:37:50.742]  That's right, maternity leave.
[00:37:50.782 --> 00:37:51.922]  I know who April Gallup is.
[00:37:52.922 --> 00:37:53.202]  Sure.
[00:37:53.502 --> 00:37:55.283]  I believe we've tried to get April Gallup on.
[00:37:56.103 --> 00:37:58.644]  You know, it doesn't mean that people just come on the show.
[00:37:59.565 --> 00:38:03.026]  There's a lot of people that we've tried to get on, but we'll do that again.
[00:38:03.951 --> 00:38:05.032]  April Gallup.
[00:38:05.813 --> 00:38:07.495]  That's actually a good guest to have on.
[00:38:08.095 --> 00:38:09.617]  Will you make sure that Trey gets that?
[00:38:09.637 --> 00:38:10.457]  I'm sure he's not listening.
[00:38:10.918 --> 00:38:13.100]  Okay, anything else I can do for you?
[00:38:13.701 --> 00:38:14.702]  I will say one more thing.
[00:38:14.722 --> 00:38:20.968]  I was holding Luke's camera up there in Denver, and in no way did you say kill Michelle Malcolm.
[00:38:21.008 --> 00:38:22.169]  I videotaped the whole thing.
[00:38:22.892 --> 00:38:23.532]  Well, thank you, sir.
[00:38:23.572 --> 00:38:26.453]  I appreciate that for you saying that, but we all know that's a lie.
[00:38:27.254 --> 00:38:28.834]  We all know I paid you to say that.
[00:38:29.754 --> 00:38:31.335]  It doesn't matter what all the video shows.
[00:38:31.375 --> 00:38:33.396]  I'm not saying it doesn't matter if people with her said it.
[00:38:34.256 --> 00:38:34.696]  I'm evil.
[00:38:35.937 --> 00:38:36.497]  And you know what?
[00:38:37.117 --> 00:38:38.397]  I'm happy to be the bad guy.
[00:38:40.058 --> 00:38:42.779]  I didn't say it, but if people want to say I said it, that's fine.
[00:38:45.800 --> 00:38:46.480]  Okay.
[00:38:47.060 --> 00:38:47.781]  Carlos is back.
[00:38:48.361 --> 00:38:49.241]  Carlos is back.
[00:38:49.281 --> 00:38:51.142]  Okay, Carlos, tell us what's happening in Mexico.
[00:38:53.098 --> 00:38:55.478]  Oh hey Alex, sorry about that phone call, really sorry about that.
[00:38:55.498 --> 00:38:56.199]  That's okay, go ahead.
[00:38:56.659 --> 00:39:04.180]  Yeah, speaking of the violence, I have a lot of family back in Chihuahua, Chihuahua right in the heart of Central, really all the violence is at it, you know.
[00:39:05.380 --> 00:39:13.942]  I have grandparents, uncles, and last year my father's cousin got picked up, and as you know, the hijackings and abductions are sky high right now.
[00:39:14.582 --> 00:39:19.523]  He got abducted right next to his house, they found his body the next day, you know, shot again, execution style.
[00:39:19.563 --> 00:39:21.023]  Like I said, it's touched home.
[00:39:21.664 --> 00:39:29.405]  And having so much family down in Mexico, you know, I basically grew up in the drug violence, you know, it's like profit for a lot of people, that's what people live on down there, so...
[00:39:30.325 --> 00:39:39.652]  You know, this drug prohibition in the United States is destroying these Latin American countries, and it started really down in South America with Colombia and all those countries, and as you know, it's moving closer and closer to the United States.
[00:39:40.493 --> 00:39:51.481]  Yeah, well that's what COG did, is they made drugs illegal, and they set up Continental Government to battle drugs, while the CIA is always being caught with crashing airplanes and trucks.
[00:39:52.202 --> 00:39:53.403]  Full of cocaine and heroin.
[00:39:53.823 --> 00:40:01.707]  Our troops openly guard the poppy fields in Afghanistan as eight, you know, eight times what was being produced during the Taliban is now being produced.
[00:40:02.488 --> 00:40:09.511]  I mean, again, Richard Grasso, head of the New York Stock Exchange in 1999, goes to the fart gorillas and says, invest your drug money with us.
[00:40:10.192 --> 00:40:11.592]  They had a law passed in the U.S.
[00:40:11.632 --> 00:40:12.393]  to make it legal.
[00:40:13.053 --> 00:40:15.995]  And then they make drugs illegal, so it makes a huge black market.
[00:40:16.355 --> 00:40:18.256]  It energizes criminal gangs.
[00:40:18.296 --> 00:40:19.557]  It makes them fight with each other.
[00:40:20.157 --> 00:40:21.058]  And then you have the U.S.
[00:40:21.098 --> 00:40:31.908]  and Colombia and Mexico and Nicaragua, El Salvador, Peru, all down there killing each other over the cocaine, marijuana and heroin.
[00:40:32.709 --> 00:40:36.193]  And it's a perfect system to wreck the societies.
[00:40:36.693 --> 00:41:01.419]  Just like they made alcohol illegal, and it turned out that it was big Canadian breweries and whiskey makers, distilleries, that had helped get it passed, knowing it would quadruple their... and alcoholism tripled, prices more than quadrupled, it energized the feds, their excuse, their prerogative to go out and do stuff, it energized the mafia, it corrupted the police,
[00:41:02.679 --> 00:41:04.801]  I mean, it isn't enough for the drug dealers.
[00:41:05.201 --> 00:41:12.667]  They're going to ship drugs in, and they're going to put you in jail if you're caught using them in their private prisons that literally are owned by the money laundering banks.
[00:41:13.968 --> 00:41:17.391]  And they're going to take your pension funds, and they're going to take all the money out of the Pentagon.
[00:41:18.231 --> 00:41:20.913]  And they're going to do it because they've got the weapons, and that's it!
[00:41:21.294 --> 00:41:25.937]  Until the dumb public stops going along with it and stops living in la-la land, it's only going to get worse.
[00:41:26.157 --> 00:41:28.099]  But Carlos, tell me more about what's happening in Mexico.
[00:41:29.430 --> 00:41:40.780]  Well, as you know, the drug wars were basically the driving force behind the police state, so you're seeing a lot more military and cops running around everywhere, and people think it's good, but a lot of these cops are just corrupt as the drug dealers themselves.
[00:41:41.040 --> 00:41:41.801]  And again, the U.S.
[00:41:41.841 --> 00:41:49.607]  takes fiat dollars that Americans are going to have to pay for and for the interest on, and then just gives tens of millions a year to Mexico to do it!
[00:41:51.127 --> 00:41:51.907]  So sick!
[00:41:52.507 --> 00:41:53.988]  It's just like Columbia all over again.
[00:41:54.068 --> 00:41:54.948]  It's the exact same thing.
[00:41:55.008 --> 00:41:59.289]  I read, um, was it Paul Scott's, uh, Cocaine Politics in Central America?
[00:41:59.449 --> 00:42:00.390]  No, that was a great book.
[00:42:00.430 --> 00:42:01.830]  I read that when I was like 16.
[00:42:02.350 --> 00:42:04.471]  And it's just, it's the exact same as in Columbia.
[00:42:04.591 --> 00:42:07.672]  It's just, you know, just like the 1920s without corral prohibition.
[00:42:07.692 --> 00:42:09.652]  It's happening all over again, just on a larger scale.
[00:42:09.732 --> 00:42:11.333]  And, you know, people need to wake up.
[00:42:13.186 --> 00:42:16.408]  Any other stories you want to tell us about what's happening in Mexico?
[00:42:16.428 --> 00:42:26.592]  I mean, French news agency reports 2,000 dead just in two towns on the Texas border, hundreds dead on this side, mass death, rocket attacks, hand grenade attacks on the U.S.
[00:42:26.632 --> 00:42:29.453]  side, total media blackout here in the U.S.
[00:42:29.493 --> 00:42:30.534]  other than local papers.
[00:42:31.614 --> 00:42:32.114]  It's freedom!
[00:42:33.275 --> 00:42:34.495]  Anything else you want to add, Carlos?
[00:42:35.175 --> 00:42:38.397]  Just having Mexican parents, I hear about these stories every morning, you know, every morning.
[00:42:38.976 --> 00:42:40.938]  Well, hold on, we're going to keep talking during the break here.
[00:42:41.818 --> 00:42:45.261]  Carlos, keep telling the folks what's happening.
[00:42:46.222 --> 00:42:47.483]  You know, we need to add drug prohibition.
[00:42:47.543 --> 00:42:49.865]  It's just destroying our youth, destroying this country.
[00:42:49.885 --> 00:42:52.127]  It's horrible.
[00:42:52.247 --> 00:42:53.148]  It's horrible, Alex.
[00:42:54.109 --> 00:42:55.610]  At this point, I can't stress it enough.
[00:42:55.630 --> 00:42:56.771]  We need to add drug prohibition.
[00:42:57.352 --> 00:43:06.700]  That's going to be one major tool that the New World Order will not be able to use anymore, because that's really what they use as a tool to enslave us, and drug prohibition is just that.
[00:43:07.708 --> 00:43:10.230]  Well, it's the excuse to get involved in people's lives.
[00:43:10.891 --> 00:43:19.758]  I mean, first it was, we've got to stop people brewing whiskey without a whiskey tax, so they created the BATF, the Revenuers, as they were called.
[00:43:20.279 --> 00:43:22.421]  And then it was, we're going to create all these other agencies.
[00:43:23.001 --> 00:43:27.405]  And they just create more and more of them to go around eating out our substance.
[00:43:30.054 --> 00:43:30.454]  Yeah, yeah.
[00:43:30.994 --> 00:43:32.435]  Exactly, yeah.
[00:43:32.495 --> 00:43:35.736]  And the more they get involved in our life, the worse all the problems get.
[00:43:36.057 --> 00:43:38.638]  But from their view, is it a problem shipping in more drugs?
[00:43:38.958 --> 00:43:40.519]  Is it a problem putting people in prison?
[00:43:41.099 --> 00:43:42.920]  No, that is a big victory for them.
[00:43:43.240 --> 00:43:46.821]  It is modern slavery through drug prohibition.
[00:43:46.861 --> 00:43:47.421]  God bless you.
[00:43:48.342 --> 00:43:48.782]  Thank you, Alex.
[00:43:48.802 --> 00:43:49.102]  Appreciate it.
[00:43:49.122 --> 00:43:49.382]  You bet.
[00:43:49.402 --> 00:43:50.703]  Good to hear from you, Carlos.
[00:43:50.803 --> 00:43:53.124]  Let's talk to Steve in Arizona.
[00:43:53.144 --> 00:43:54.064]  You're on the air.
[00:43:54.084 --> 00:43:54.865]  Go ahead, Steve.
[00:43:55.845 --> 00:43:56.325]  Hey, Alex.
[00:43:56.345 --> 00:43:56.805]  How you doing?
[00:43:56.825 --> 00:43:57.906]  Great to talk to you again, my man.
[00:43:58.539 --> 00:44:03.602]  Listen, I'm almost out of force due to a foreclosure for my house that we were renting.
[00:44:04.042 --> 00:44:05.543]  But we're still keeping the faith.
[00:44:05.983 --> 00:44:08.265]  Me and my kids and my wife will all help you out here.
[00:44:08.805 --> 00:44:14.148]  And I can only listen to you on the phone, so unless I go into town, I can't get behind the scenes on the internet.
[00:44:15.469 --> 00:44:17.970]  But I just want to tell you, I don't care what anybody else says.
[00:44:17.990 --> 00:44:18.911]  They call with disagreements.
[00:44:18.931 --> 00:44:20.992]  You're doing a great job with all your films.
[00:44:21.913 --> 00:44:25.855]  And I just wanted to ask you about, basically since Reagan,
[00:44:26.423 --> 00:44:27.403]  With Bush Sr.
[00:44:27.444 --> 00:44:30.945]  being the Vice President, they've been in the White House for about 30 years.
[00:44:31.685 --> 00:44:36.868]  And I'm just wondering what your take is on that as far as... Yeah, well they are the continuity of government.
[00:44:36.908 --> 00:44:45.051]  It was Dick Cheney and Donald Rumsfeld that set up the current plan for martial law through drug prohibition as the front to get rid of posse comitatus.
[00:44:45.392 --> 00:44:50.394]  Now you see generals and admirals running most of the agencies and running local universities.
[00:44:51.394 --> 00:44:54.636]  And this is the bomb makers, the weapon makers, with the bankers.
[00:44:55.296 --> 00:44:55.576]  Right, right.
[00:44:55.676 --> 00:45:03.242]  And what I wanted to know was, what are your takes as far as, you know, with that whole family, with them, you know, being cousins and just all the, them being in power,
[00:45:22.520 --> 00:45:28.281]  For this long, you know, in the United States, even though they're the puppet... Yeah, it's just a sign of that even their puppets stay in power.
[00:45:28.341 --> 00:45:38.463]  It's just a bankrupt... I wanted to know what your take was as far as... I think they're going to enact martial law before McCain or Obama... Alright, let me comment on that.
[00:45:38.503 --> 00:45:39.183]  Let me comment on that.
[00:45:39.203 --> 00:45:39.964]  I appreciate your call.
[00:45:52.677 --> 00:45:55.019]  You know, it's one thing
[00:46:17.819 --> 00:46:27.741]  It's one thing to talk about how the International Banking Crime Syndicate is going to set up a police state so they can loot the treasury and implode the country.
[00:46:30.902 --> 00:46:32.962]  It's one thing to know that's their plan.
[00:46:32.982 --> 00:46:34.463]  It's another thing to see them doing it.
[00:46:35.183 --> 00:46:36.663]  It's another thing, you know, to be here.
[00:46:36.683 --> 00:46:40.644]  It's kind of like you're waiting to be executed and you're now being led up to the gallows.
[00:46:42.865 --> 00:46:43.765]  That's a whole other thing.
[00:46:45.706 --> 00:46:49.069]  And the caller was saying, I think they'll have martial law before the election.
[00:46:49.509 --> 00:46:51.731]  Hey, they snuck attack Russia a month ago.
[00:46:51.771 --> 00:46:52.451]  They could do anything.
[00:46:54.253 --> 00:46:54.993]  The globalists did.
[00:46:56.675 --> 00:47:01.539]  They just bankrupt Fannie Mae and Freddie Mac and a bunch of other companies last week.
[00:47:02.421 --> 00:47:04.902]  And a bunch of other consortium slush funds.
[00:47:06.002 --> 00:47:07.342]  They could do anything and everything.
[00:47:07.382 --> 00:47:08.343]  These people are bold.
[00:47:08.783 --> 00:47:10.583]  They fly remote-controlled aircraft into buildings.
[00:47:10.623 --> 00:47:12.024]  I mean, these are some bold people.
[00:47:12.784 --> 00:47:18.026]  They put cancer viruses in the population's vaccines and shoot them up and watch everybody start dying from it.
[00:47:18.426 --> 00:47:19.926]  I mean, these are some bold people.
[00:47:20.706 --> 00:47:21.347]  They're slick.
[00:47:22.027 --> 00:47:23.627]  They're just over the top.
[00:47:23.687 --> 00:47:26.068]  They're the bravado, the chutzpah, the
[00:47:28.430 --> 00:47:32.274]  The will, the scope, the daring.
[00:47:34.496 --> 00:47:39.500]  And against a bunch of arrogant know-it-alls who really don't know anything, it's a bad situation.
[00:47:40.241 --> 00:47:47.447]  I know we've got Tom, Khalib, Chris and others.
[00:47:50.305 --> 00:47:52.206]  Cram Caleb and others here in just a minute.
[00:47:52.947 --> 00:47:58.490]  I didn't really plug anything but my videos once today, and that is what makes this show possible.
