[00:00:00.669 --> 00:00:01.770]  Government cover-ups.
[01:00:22.179 --> 01:00:26.461]  Guest hosting this fabulous, fireworks-filled day.
[01:00:27.205 --> 01:00:28.545]  Fun fireworks filled day.
[01:00:28.885 --> 01:00:30.346]  I'm hoping to see some fireworks today.
[01:00:30.586 --> 01:00:31.886]  Let's see what Austin has to offer.
[01:00:31.926 --> 01:00:33.106]  I'm sure it's going to be a good time.
[01:00:34.466 --> 01:00:39.707]  Truth Rising has dropped, and I want to read yet another review because they're really pouring in, folks.
[01:00:40.747 --> 01:00:45.308]  And then we're going to get Bob Chapman on the line, and we're going to have him on from TheInternationalForecaster.com.
[01:00:46.748 --> 01:00:47.208]  Woo woo!
[01:00:47.548 --> 01:00:48.489]  Just finished watching it.
[01:00:48.589 --> 01:00:49.209]  Very neat.
[01:00:49.389 --> 01:00:50.589]  Best movie so far.
[01:00:50.709 --> 01:00:53.949]  Energizing, fun attitude that makes it watchable for ignorant folks.
[01:00:54.870 --> 01:00:57.010]  Luke became a historical figure at this point.
[01:00:57.785 --> 01:01:00.026]  By the way, who is that girl who confronted Giuliani?
[01:01:00.946 --> 01:01:03.548]  If you talk about courage, that was the perfect example.
[01:01:03.908 --> 01:01:04.328]  Amazing.
[01:01:04.448 --> 01:01:05.408]  That's Sabrina, by the way.
[01:01:07.069 --> 01:01:10.211]  Yeah, I will continue to talk about 9-11 too, as long as I live.
[01:01:10.531 --> 01:01:11.711]  We'll bring them to justice.
[01:01:12.592 --> 01:01:13.632]  There are many ways to do it.
[01:01:13.692 --> 01:01:15.853]  Eventually, the real perpetrators will fail.
[01:01:16.973 --> 01:01:24.757]  Also, if they have all the power behind them, all the grunt military force, all the money, all arrogant fake news puppets, they are not real.
[01:01:25.569 --> 01:01:27.912]  They are little pitiful demons without souls.
[01:01:29.593 --> 01:01:33.538]  They just can't do anything about the real truth movement.
[01:01:33.618 --> 01:01:37.922]  People are so powerful and energizing when they know they fight for the right side.
[01:01:38.923 --> 01:01:43.749]  No power, how great so ever, can do anything to fight that.
[01:01:43.829 --> 01:01:47.653]  Truth and power and independent thought will eventually pour into the minds of everyone.
[01:01:48.490 --> 01:01:51.952]  We shouldn't feel as victims, but as powerful fighters for the truth force.
[01:01:52.312 --> 01:01:53.713]  The good spirit of the human race.
[01:01:54.034 --> 01:01:58.616]  Truth and power to the people, misery and pain to the corrupted souls of the New World Order.
[01:01:59.597 --> 01:02:00.197]  Awesome review!
[01:02:01.098 --> 01:02:01.778]  Awesome review!
[01:02:02.819 --> 01:02:04.560]  And, uh, like I said, you can get this at high quality.
[01:02:04.600 --> 01:02:06.661]  I mean, almost DVD quality.
[01:02:06.681 --> 01:02:11.284]  And, folks, I encoded these myself to make sure that they were good stuff.
[01:02:11.845 --> 01:02:14.186]  Uh, you know, the 699 megabyte one, or the... I think it's 680, actually.
[01:02:14.206 --> 01:02:14.666]  Uh, it's okay.
[01:02:17.629 --> 01:02:20.010]  It's the lowest of the DivX, but still looks amazing.
[01:02:20.670 --> 01:02:25.391]  But the other two... Wow, there's not much difference between the 830 megabyte and the gig file.
[01:02:25.871 --> 01:02:37.254]  And like I said, you burn that right to disk, throw it on your DivX DVD player, you're literally watching it on your new plasma screen television, with your friends and family, while you're downing nachos and watching the football game.
[01:02:38.435 --> 01:02:40.975]  Actually, there's no football right now, so you're probably watching baseball.
[01:02:41.115 --> 01:02:43.236]  I'd be watching baseball too, it's a sunny day, it's nice.
[01:02:46.508 --> 01:03:15.949]  Luke Rudowski gonna be on later and you know when you see somebody like Luke come as far as he has it's just so so encouraging again this is somebody who was part of New York 9-11 Truth wanted to do even more he said you know what these these meetings aren't as effective as I'd like them to be and the same people we're not reaching as many as many as I'd like so he made connections he got big signs he got a dedicated core
[01:03:17.193 --> 01:03:21.396]  And he went down to Ground Zero every single weekend.
[01:03:22.036 --> 01:03:24.218]  Okay?
[01:03:24.258 --> 01:03:34.844]  Then in 2006, after we went down and we handed out 10,000 DVDs of Loose Change, we had 2,000 people in Investigate 9-11 shirts.
[01:03:35.285 --> 01:03:36.005]  Luke said, you know what?
[01:03:36.045 --> 01:03:37.566]  It's time to start my own organization.
[01:03:38.927 --> 01:03:41.929]  Let us be the change that we want to see in the world.
[01:03:43.650 --> 01:03:44.951]  And over the last two years,
[01:03:46.212 --> 01:03:53.275]  Luke Rudowsky has done incredible and amazing things, and they are chronicled in this new film, Truth Rising.
[01:03:54.996 --> 01:03:57.017]  Again, it just shows the power of one person.
[01:03:57.317 --> 01:04:10.984]  There's no one out there listening right now that can't do something, that can't put forward their talent, that can't take the time to get a video camera, to go to an event, to ask a tough question, to hold these criminals' feet to the flames.
[01:04:12.947 --> 01:04:13.968]  That's what needs to be done.
[01:04:14.308 --> 01:04:17.510]  We need to keep pressing and pressing and pressing, and that's why we just had Nick Kerangi on.
[01:04:17.710 --> 01:04:22.993]  Because you could hear in the background at times, the crowds, and a free speech zone doesn't stop him.
[01:04:23.893 --> 01:04:29.696]  He's still, right across from Independence Hall in Philadelphia, speaking the truth, talking 9-11.
[01:04:31.137 --> 01:04:31.917]  And we gotta do that.
[01:04:31.937 --> 01:04:33.598]  They're bringing it up again, folks.
[01:04:33.899 --> 01:04:35.419]  Bush says he wants to capture Bin Laden.
[01:04:35.439 --> 01:04:36.580]  This story's not going away.
[01:04:36.600 --> 01:04:39.382]  It's the Alex Jones Show, PrisonPlanet.tv.
[01:04:50.819 --> 01:04:53.761]  Have you ever thought about what's in your shampoo, soap, or detergent?
[01:04:53.921 --> 01:04:59.144]  How about chlorides, dyes, ethanol, sulfates, sodium, formaldehydes, and more?
[01:04:59.444 --> 01:05:04.787]  Even fragrance can indicate the presence of some 4,000 separate ingredients, most of which are synthetic.
[01:05:05.148 --> 01:05:06.288]  Hi, this is Alex Jones.
[01:05:06.629 --> 01:05:15.614]  I was shocked when I discovered I could be inhaling these additives that can lead to coughing, wheezing, and shortness of breath, headaches, nausea, irritation of the skin, and mucous membranes.
[01:05:15.954 --> 01:05:17.576]  Now compare a Calben Pure Soap.
[01:05:17.796 --> 01:05:21.961]  All natural, earth friendly, no harsh chemicals, no animal testing.
[01:05:22.001 --> 01:05:26.646]  They're safe and you save 85% of the money you're spending on cleaning products now.
[01:05:27.027 --> 01:05:29.109]  Start saving over $1,000 a year for your family of four.
[01:05:30.851 --> 01:05:31.612]  Keep it natural.
[01:05:31.932 --> 01:05:40.081]  Call Calvin Pure Soap for a free catalog at 1-800-340-7091 or log on to 5starsoap.com.
[01:05:40.341 --> 01:05:44.485]  Try Calvin Pure Soaps and I'll bet you'll never use any other cleaning products again.
[01:05:44.505 --> 01:05:45.586]  Call 1-800-340-7091 for all your cleaning needs.
[01:05:50.535 --> 01:05:52.596]  May I have everybody's attention, please?
[01:05:52.696 --> 01:05:55.097]  I've come with a message of information.
[01:05:55.117 --> 01:05:57.358]  9-11 was an inside job.
[01:05:57.378 --> 01:05:58.939]  Do you like being a puppet, sir?
[01:05:58.959 --> 01:06:00.560]  Do you like being a puppet for the New World Order?
[01:06:00.640 --> 01:06:03.501]  How do the American people know that 9-11 was a stage?
[01:06:03.541 --> 01:06:09.184]  Was it engineered by you, David Rockefeller, the Trilateral Commission, the CFR?
[01:06:09.264 --> 01:06:16.407]  The day that we stop asking questions is the day that we have allowed the seeds of despotism to grow at our own door.
[01:06:16.827 --> 01:06:22.095]  Seven years after the attacks of September 11th, a global awakening has taken place.
[01:06:22.957 --> 01:06:24.078]  An inside job!
[01:06:25.504 --> 01:06:26.624]  How dare you!
[01:06:26.964 --> 01:06:32.986]  If you know that there's treason going on, you can be held accountable for treason yourself.
[01:06:33.006 --> 01:06:35.807]  All hell is breaking loose on 6th Avenue.
[01:06:35.887 --> 01:06:42.068]  And if the government has not told the truth, in five years we will be here on the 10th anniversary of... Truth Rising.
[01:06:42.368 --> 01:06:44.909]  Download the film at prisonplanet.tv right now.
[01:06:45.209 --> 01:06:47.189]  Or get the DVD at infowars.com.
[01:06:47.449 --> 01:06:49.930]  It's now time to take the revolution to the next level.
[01:06:50.868 --> 01:06:57.310]  I am at a gathering of friends, minding my own business, when one of our buddies, Bob, walks up to me, very concerned, and he says, Wow!
[01:06:57.551 --> 01:06:59.291]  Have you seen the gasoline prices lately?
[01:06:59.311 --> 01:07:00.091]  And I said, Oh, of course.
[01:07:00.532 --> 01:07:00.872]  Woo!
[01:07:00.912 --> 01:07:01.372]  They're high.
[01:07:01.772 --> 01:07:02.252]  He says, Yeah.
[01:07:02.272 --> 01:07:03.073]  He says, What am I going to do?
[01:07:03.373 --> 01:07:03.913]  I've got a truck.
[01:07:03.933 --> 01:07:06.534]  There's no way anybody's going to buy my truck in this market.
[01:07:06.854 --> 01:07:08.455]  I really need the truck for my job.
[01:07:08.775 --> 01:07:10.455]  It uses more gas than I can afford.
[01:07:10.775 --> 01:07:12.736]  I've got to find a way to come up with some extra money.
[01:07:13.016 --> 01:07:14.397]  I've got a wife with four kids at home.
[01:07:14.677 --> 01:07:15.457]  I don't know what to do.
[01:07:15.797 --> 01:07:16.718]  I said, Bob, relax.
[01:07:16.838 --> 01:07:17.518]  I know what to do.
[01:07:18.098 --> 01:07:22.201]  Call eFoodsDirect.com or go up on the web at eFoodsDirect.com.
[01:07:22.401 --> 01:07:32.570]  They will deliver food, really good, high-quality, nutritional, delicious food to your door, your door now, right there in front of your house, for about half the price that you were paying for groceries last year.
[01:07:32.930 --> 01:07:40.516]  You can take the savings from that, offset the cost of your fuel, and use it to buy more inexpensive food to hedge against tomorrow's increasing food prices.
[01:07:40.776 --> 01:07:41.736]  Why don't you do that, Bob?
[01:07:41.957 --> 01:07:43.497]  He said, eFoodsDirect.com?
[01:07:43.557 --> 01:07:43.977]  I said, yep.
[01:07:44.037 --> 01:07:46.679]  Call them at 1-800-409-5633.
[01:07:46.699 --> 01:07:47.219]  That's 800-409-5633.
[01:07:47.439 --> 01:07:49.760]  Do it now.
[01:07:51.701 --> 01:07:57.724]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[01:07:58.324 --> 01:08:01.365]  It's Alex Jones and the GCN Radio Network.
[01:08:04.587 --> 01:08:05.267]  All right, folks.
[01:08:05.767 --> 01:08:06.508]  We are back.
[01:08:07.488 --> 01:08:09.109]  I guess we have Chapman on in the next hour.
[01:08:10.333 --> 01:08:18.779]  So, I'm going to read this BBC thing, just to explain again to those that don't get it, that a big hit piece is coming, and then we're going to take your calls.
[01:08:18.799 --> 01:08:21.301]  We're going to go to Leo, Steve, Mario, Mark, and more.
[01:08:23.403 --> 01:08:25.284]  The evolution of a conspiracy theory.
[01:08:25.324 --> 01:08:28.366]  A large number of Americans questioned what happened that day.
[01:08:28.606 --> 01:08:31.268]  It wasn't part of the Twin Towers collapse on September 11th.
[01:08:31.288 --> 01:08:34.791]  The third World Trade Center tower that wasn't hit by planes also fell.
[01:08:35.879 --> 01:08:45.002]  As a report into the Tower 7 prepares to publish its finding, Mike Rudin, total scum, considers how the conspiracy theory got to be so big.
[01:08:45.342 --> 01:08:46.363]  Well, because it happened!
[01:08:46.383 --> 01:08:47.943]  Because they blew the building up, Mike!
[01:08:48.544 --> 01:08:48.884]  Okay?
[01:08:49.364 --> 01:08:51.224]  And he's got some snaggle teeth, too.
[01:08:51.665 --> 01:08:53.785]  I didn't want to bring that up, but it was pretty disgusting.
[01:08:53.805 --> 01:08:57.006]  He was a little taller than me, so my eyeline was, like, right in his gross mouth.
[01:08:57.507 --> 01:08:58.347]  He was very...
[01:08:59.019 --> 01:08:59.860]  Very pompous.
[01:09:00.421 --> 01:09:08.869]  Oh, I've been to Iraq, Jason, and hmm, he was very leftist too, like he was trying to be my friend, but really just a total weasel and a snake.
[01:09:08.889 --> 01:09:11.272]  9-11 is a conspiracy theory of the internet age.
[01:09:11.812 --> 01:09:15.116]  Put 9-11 conspiracy into Google and you get 7.9 million hits.
[01:09:15.476 --> 01:09:17.898]  Put in 9-11 truth and you get more than 22 million.
[01:09:19.039 --> 01:09:20.101]  Opinion polls in the U.S.
[01:09:20.121 --> 01:09:22.403]  have picked up widespread doubts among the American people.
[01:09:23.064 --> 01:09:30.350]  A New York Times CBS News poll in 2006 found that 53% of those that questioned thought the Bush administration was hiding something.
[01:09:30.610 --> 01:09:37.656]  Another US poll found a third of those questioned thought the government officials either assisted in the 9-11 attacks or allowed them to happen.
[01:09:37.897 --> 01:09:38.697]  Absolutely proven.
[01:09:40.299 --> 01:09:51.528]  In the UK, a survey by the BBC's Conspiracy Files carried out in something in 2006 found that 16% of those questioned thought there was a wider conspiracy that included the American government.
[01:09:51.808 --> 01:09:52.349]  Of course there was.
[01:09:53.201 --> 01:09:54.662]  Uh, for a very good, uh, reason.
[01:09:54.723 --> 01:09:57.485]  A lot of people are very suspicious about what went down that day.
[01:09:57.845 --> 01:09:59.547]  Dylan Avery, Director of Loose Change.
[01:10:00.087 --> 01:10:01.809]  Uh, the BBC and the missing tape.
[01:10:02.729 --> 01:10:06.833]  This summer will be a key moment for those who question the official explanation of what happened on 9-11.
[01:10:06.933 --> 01:10:07.433]  No, it won't!
[01:10:07.654 --> 01:10:07.974]  Okay?
[01:10:08.134 --> 01:10:12.037]  This summer won't be a key moment for- It'll be a key moment for the liars!
[01:10:12.638 --> 01:10:13.899]  Like yourself, Mike Rudin.
[01:10:14.219 --> 01:10:18.243]  Where you can pat yourself on the back, with your little Cointelpro op, and say,
[01:10:20.071 --> 01:10:21.112]  We explained it.
[01:10:21.412 --> 01:10:23.033]  It was fire all along.
[01:10:23.434 --> 01:10:24.795]  They're crazy.
[01:10:24.815 --> 01:10:28.538]  Oh, we're the BBC.
[01:10:28.658 --> 01:10:30.500]  We're the number one stunner.
[01:10:31.060 --> 01:10:31.580]  Believe us.
[01:10:31.801 --> 01:10:32.621]  That's what's going to happen.
[01:10:32.942 --> 01:10:35.904]  And so this Sandar guy is going to put out his NIST report.
[01:10:35.924 --> 01:10:36.705]  It's going to be bull.
[01:10:38.306 --> 01:10:38.666]  Oh, man.
[01:10:38.726 --> 01:10:39.567]  He's so mad.
[01:10:41.770 --> 01:10:45.211]  Nearly seven years after the terrible events of September that day, the U.S.
[01:10:45.231 --> 01:10:49.312]  authorities are due to publish the final report on the third tower that also collapsed on 9-11.
[01:10:49.792 --> 01:10:54.633]  Unlike the Twin Towers, this 47-story, 610-foot skyscraper was not hit by a plane.
[01:10:55.273 --> 01:11:02.214]  And Tower 7 has become a key issue for truthers like Dylan Avery, the director of the internet film on 9-11 called Loose Change.
[01:11:03.454 --> 01:11:06.575]  The truth movement is heavily centered on Building 7, and for very good reason.
[01:11:06.615 --> 01:11:10.096]  A lot of people are very suspicious about what went down that day, he says.
[01:11:10.556 --> 01:11:11.476]  Again, as they should be.
[01:11:12.725 --> 01:11:14.486]  See World Trade Center 7's location.
[01:11:14.506 --> 01:11:17.147]  Avery points out that Tower 7 housed some unusual tenants.
[01:11:17.207 --> 01:11:17.427]  It did.
[01:11:17.467 --> 01:11:25.850]  The CIA, the Secret Service, the Pentagon, and the very agency meant to deal with the disasters or terrorist attacks in New York, the Office of Emergency Management.
[01:11:26.251 --> 01:11:30.252]  And some people think Tower 7 was the place where 9-11 conspiracy was hatched.
[01:11:30.492 --> 01:11:31.333]  No one said that.
[01:11:31.593 --> 01:11:32.013]  Hold on.
[01:11:32.493 --> 01:11:32.673]  No.
[01:11:32.953 --> 01:11:37.275]  Who said that Building 7 was where the 9-11 conspiracy was hatched?
[01:11:38.490 --> 01:11:39.190]  Total bull.
[01:11:39.490 --> 01:11:40.351]  Total lies.
[01:11:41.491 --> 01:11:47.533]  See, again, all you people out there that think that the BBC's your friend, they're not your friend.
[01:11:47.713 --> 01:11:50.574]  They just pointed something out that no one said.
[01:11:50.774 --> 01:11:53.154]  If someone had said that, it would be a quote.
[01:11:54.395 --> 01:11:54.715]  Okay?
[01:11:55.155 --> 01:11:59.316]  It would say, this man said that that's where the 9-11 conspiracy was hatched.
[01:11:59.356 --> 01:11:59.616]  Building 7.
[01:11:59.796 --> 01:12:00.576]  No one said that.
[01:12:01.137 --> 01:12:02.257]  That's so ridiculous.
[01:12:06.665 --> 01:12:08.086]  Alright, I'm done.
[01:12:08.106 --> 01:12:08.367]  You know what?
[01:12:08.567 --> 01:12:21.056]  I'm done reading it because if you really do believe that Dr. Shyam Sunder is going to tell you the truth, that this NIST report is right, you know, it's not, okay?
[01:12:21.376 --> 01:12:23.137]  It's just going to be total bull.
[01:12:23.198 --> 01:12:24.178]  Alright, let's take calls.
[01:12:24.619 --> 01:12:26.400]  Leo in Mass, how you doing, man?
[01:12:28.481 --> 01:12:29.983]  Hi, great to catch up with you.
[01:12:31.544 --> 01:12:32.885]  I'll give you my critique on the
[01:12:34.211 --> 01:12:55.297]  9-11 rising afterwards, but I was thinking it would be kind of neat, you know, since Alex and you guys are such a prolific bunch of filmmakers, that we should, you know, those of us who are willing to contribute a fair amount of extra money, should be able to get the Alex Jones version of the Oscar.
[01:12:55.317 --> 01:12:58.778]  I could have a little Alex to put on my mantelpiece.
[01:12:58.838 --> 01:13:00.459]  No, I'm dead serious about this.
[01:13:01.277 --> 01:13:03.838]  We've got to permeate the culture in all aspects.
[01:13:04.158 --> 01:13:04.358]  Uh-huh.
[01:13:04.838 --> 01:13:06.158]  So what do you think we should do?
[01:13:06.178 --> 01:13:07.579]  I gave $100 to Alex and look what I got!
[01:13:07.919 --> 01:13:08.659]  I got an Alex!
[01:13:09.679 --> 01:13:10.119]  Well, you know what?
[01:13:10.159 --> 01:13:17.301]  There is like a little, little, little... It's not even really that good, but it's like this Canadian toy of Alex, where it kind of looks goofy and it's like a bendy toy.
[01:13:17.321 --> 01:13:18.921]  No, I want something that mimics the Oscars.
[01:13:19.562 --> 01:13:21.462]  The Oscar that you can put on a mantelpiece.
[01:13:21.482 --> 01:13:23.482]  Something that's, you know, worthy of a mantelpiece.
[01:13:23.783 --> 01:13:24.743]  And you guys make it up.
[01:13:25.043 --> 01:13:25.443]  Create it.
[01:13:25.743 --> 01:13:29.144]  And then those of us who want to give big money can get X amount of them or whatever.
[01:13:29.224 --> 01:13:30.465]  Alright, I'll bring it up with him, man.
[01:13:30.505 --> 01:13:32.625]  So what did you think of the film?
[01:13:32.985 --> 01:13:39.747]  Okay, number one, I have a 768 DSL, the cheap Verizon $18 a month one.
[01:13:40.088 --> 01:13:40.928]  Uh-huh.
[01:13:41.088 --> 01:13:42.288]  Seven hours to load.
[01:13:42.308 --> 01:13:42.768]  Mm-hmm.
[01:13:43.289 --> 01:13:51.271]  Okay, now this is, as far as loading, could we have more slides and cut the thing and subtitles?
[01:13:51.311 --> 01:13:52.411]  We've got to have subtitles.
[01:13:52.471 --> 01:13:53.812]  I could just barely understand it.
[01:13:54.714 --> 01:13:54.874]  Okay.
[01:14:11.019 --> 01:14:18.886]  I know there's subtitles on some of the things, but if you watch like the low-quality Flash version, and even the low-quality Flash version is like a gig, so yeah, it would take forever to load.
[01:14:18.946 --> 01:14:21.788]  I did the Windows Media... Oh, the WMV?
[01:14:22.108 --> 01:14:29.474]  Well, that one's probably the lowest quality out of all of them, and if you look, like, I know there's parts where, you know, the bomb in the bag, that's all on the bottom.
[01:14:29.534 --> 01:14:30.895]  Now, the thing is this.
[01:14:32.376 --> 01:14:37.841]  In order to load quickly, if you did it with slides and audio with a subtitle, wouldn't that
[01:14:38.382 --> 01:14:40.723]  Take out a lot of sections that could be just slides.
[01:14:40.743 --> 01:14:43.444]  Now, when you have the camera moving around, it's very distracting.
[01:14:43.484 --> 01:14:45.645]  I don't... It's hard to focus.
[01:14:46.165 --> 01:14:48.386]  It's annoying when you do it so often.
[01:14:48.406 --> 01:14:51.047]  You know, just have a slide of the person.
[01:14:51.447 --> 01:14:54.528]  And I think it would be kind of funny to do, like, uh... What is it?
[01:14:54.548 --> 01:14:56.049]  South Park, where the mouth goes open?
[01:14:56.069 --> 01:15:00.250]  All right, Leo, I gotta let you go.
[01:15:00.290 --> 01:15:03.091]  There's more of it.
[01:15:03.391 --> 01:15:05.372]  I'd like to see the timing of it, so that...
[01:15:06.041 --> 01:15:10.302]  We are here now, and like the last 10 minutes of the movie was great, I loved it!
[01:15:10.902 --> 01:15:13.363]  The rest of it was kind of like, oh yeah, yeah, I know all that stuff.
[01:15:13.723 --> 01:15:21.806]  But you know the thing is, if we start out with where we are now with the police state, what we were like before, like back in the 60s and 70s, and how did we get here?
[01:15:22.066 --> 01:15:28.848]  And more bios on the deceased, so they can check for their relatives, and show the good police versus the government parasites.
[01:15:30.039 --> 01:15:35.723]  And how people can tell signs of the NWO in their town or city and what they can do locally.
[01:15:35.743 --> 01:15:47.130]  These are the important aspects that should be in the film or on an interactive website for that specific film so people can refer to the website and then do the interactive stuff.
[01:15:47.330 --> 01:15:47.891]  Alright, Leo.
[01:15:48.131 --> 01:15:49.111]  Thanks for the info.
[01:15:49.152 --> 01:15:49.952]  I'll pass it along.
[01:15:50.012 --> 01:15:51.493]  Let's go to Steve in Colorado.
[01:15:51.533 --> 01:15:52.113]  Steve, are you with me?
[01:15:53.334 --> 01:15:54.295]  Yeah, hi there, Jason.
[01:15:54.315 --> 01:15:57.517]  Hey, I didn't catch the very first part of the program.
[01:15:59.982 --> 01:16:02.024]  One of the loose change producers, is that correct?
[01:16:02.104 --> 01:16:02.264]  Yeah.
[01:16:02.624 --> 01:16:02.864]  Okay.
[01:16:03.204 --> 01:16:04.345]  Did you guys do anything?
[01:16:04.365 --> 01:16:05.406]  I haven't seen it yet.
[01:16:05.806 --> 01:16:06.607]  Did you do anything on...
[01:16:07.991 --> 01:16:13.135]  Ted Olsen, who I guess, if I remember right, used to be the Solicitor General of the U.S.
[01:16:13.575 --> 01:16:25.783]  On his part in, I guess, faked phone calls from... Well, we didn't go into it in detail, but I do believe that in the final cut we do mention Barbara Olsen, who was the husband of Ted Olsen.
[01:16:25.803 --> 01:16:27.284]  Ted Olsen gets a quick cameo.
[01:16:27.584 --> 01:16:33.428]  But what you're discussing is that he went on television and he first said that his wife had called him from the plane.
[01:16:33.488 --> 01:16:34.789]  Now, at first they said that
[01:16:35.655 --> 01:16:49.522]  It was from a cell phone and that, you know, then they kind of backtracked and said, no, it was from an air phone, but she had told him that she couldn't find her purse, which would have made it impossible for her to call from an air phone because you would have needed a credit card to do so, correct?
[01:16:50.582 --> 01:16:50.963]  Okay.
[01:16:51.423 --> 01:17:04.249]  And, and we didn't cover that specific aspect of it, but we did mention that, you know, Barbara Olson, who was this CNN reporter and the husband of a, or I'm sorry, the wife of a solicitor general, you know, Ted Olson, we did bring up that fact.
[01:17:04.730 --> 01:17:08.371]  Yeah, she was kind of a high-profile person.
[01:17:08.691 --> 01:17:13.852]  I can't remember exactly what her background was, but yeah, she was pretty well-known, from what I remember.
[01:17:15.373 --> 01:17:26.936]  And then, also, the second thing I had was, you know, like you were mentioning about the different offices that were in Building 7, do you know of that kind of thing for the Pentagon, of why
[01:17:27.597 --> 01:17:29.078]  Yeah, whatever was going into it.
[01:17:46.630 --> 01:17:53.281]  But, uh, basically she says she was dealing with classified documents, and that when she turned on the computer, that's where the attack happened.
[01:17:53.301 --> 01:17:56.406]  So there was some operations going on there.
[01:17:56.447 --> 01:18:00.213]  I doubt that we'll ever find out what they were, because anything above top secret...
[01:18:00.928 --> 01:18:02.729]  You know, there's just it's not going to hit the public.
[01:18:02.929 --> 01:18:07.912]  However, however, I will say this, you know, Donald Rumsfeld was safe on the other side.
[01:18:08.212 --> 01:18:14.176]  This would have been the weakest place to hit the Pentagon unless it was an inside job, because again, it hit none of the main offices.
[01:18:14.476 --> 01:18:15.777]  Most of it was evacuated.
[01:18:15.977 --> 01:18:17.258]  There wasn't a big death toll.
[01:18:18.217 --> 01:18:27.545]  And it's kind of odd that they knew about this plane quote-unquote supposedly going into the White House and then into, this is supposedly the one that hit the Pentagon, and they didn't warn anybody.
[01:18:27.665 --> 01:18:29.067]  There were no alarm bells going off.
[01:18:29.407 --> 01:18:34.631]  Yet they evacuated Cheney and Mineta, and they're both in the PEOC, before this happens.
[01:18:35.492 --> 01:18:36.853]  Yeah, okay, I was going to bring that up.
[01:18:36.913 --> 01:18:43.699]  The part that I guess is on YouTube, or the video, excuse me, that's on YouTube, that has the actual
[01:18:44.904 --> 01:18:49.857]  Or has the testimony of Norm Mineta before the 9-11 Commission?
[01:18:50.642 --> 01:18:51.903]  Okay, was that where it was at?
[01:18:51.923 --> 01:18:52.163]  Okay.
[01:18:52.323 --> 01:18:52.443]  Yeah.
[01:18:52.483 --> 01:18:53.743]  Where he was talking about that.
[01:18:53.763 --> 01:18:55.324]  Do you guys include that, perchance?
[01:18:55.444 --> 01:18:56.884]  Oh yeah, that's in Loose Change Final Cut, man.
[01:18:56.904 --> 01:18:58.925]  You can go watch it for free at Google Video right now.
[01:18:58.965 --> 01:19:01.966]  You get the high-quality thing over at Prison Planner InfoWars.
[01:19:01.986 --> 01:19:03.307]  But yeah, that's absolutely in there.
[01:19:03.787 --> 01:19:04.187]  Oh, great!
[01:19:04.227 --> 01:19:06.408]  And he confirmed that two other times.
[01:19:06.688 --> 01:19:19.633]  In fact, over at my blog, LooseChange911.com, I actually have Minetta saying the same exact story five separate times, on five different occasions, one year after the fact on ABC, in front of the 9-11 Commission, in front of a We Are Change group,
[01:19:19.973 --> 01:19:21.815]  And on yet another special on CNN.
[01:19:22.135 --> 01:19:23.397]  So it's well documented.
[01:19:23.637 --> 01:19:27.381]  They just covered it all up in the 9-11 Commission and said Cheney wasn't there until 955.
[01:19:27.421 --> 01:19:28.142]  Believe your government.
[01:19:28.362 --> 01:19:29.503]  Steve, I thank you for the call.
[01:19:29.743 --> 01:19:31.325]  We're going to take more callers.
[01:19:31.745 --> 01:19:36.050]  Remember, 9-11 Chronicles Truth Rising has hit PrisonPlanet.tv.
[01:19:36.070 --> 01:19:38.292]  Get it in high quality now or order the DVD today.
[01:19:38.312 --> 01:19:39.794]  This is the Alex Jones Show.
[01:19:50.612 --> 01:19:52.633]  Good morning, this is Jim Newcomer from Midas Resources.
[01:19:52.733 --> 01:19:53.354]  July 3rd, 2008.
[01:19:53.414 --> 01:19:53.994]  Gold opened at $9.3050.
[01:19:54.054 --> 01:19:56.775]  One ounce gold coins can be purchased for $9.5727, $4.7145 for half, and $2.3573 for quarter ounce.
[01:19:56.815 --> 01:19:57.496]  That's $9.5727, $4.7145, and $2.3573.
[01:20:08.422 --> 01:20:10.904]  Hedge funds caught in the malaise of mortgage bankruptcies.
[01:20:10.944 --> 01:20:12.625]  The bond market continues to slump.
[01:20:12.785 --> 01:20:13.085]  J.P.
[01:20:13.125 --> 01:20:15.907]  Morgan gets caught in a $10 billion bad deal for Chrysler.
[01:20:15.947 --> 01:20:17.989]  Housing sales fell 6.6%.
[01:20:18.069 --> 01:20:22.632]  Mortgage giant Countrywide showed mortgage payment woes spreading to the middle and upper class.
[01:20:22.672 --> 01:20:24.933]  Investors cast doubt on investment banks.
[01:20:25.053 --> 01:20:29.176]  Credit protection insurance for mortgage lenders are skyrocketing due to the increased risk.
[01:20:29.497 --> 01:20:29.857]  The U.S.
[01:20:29.917 --> 01:20:33.960]  dollar is free-falling against foreign currencies and countries that previously financed the U.S.
[01:20:34.040 --> 01:20:35.701]  are now seeking safer alternatives.
[01:20:36.121 --> 01:20:38.703]  Economist Rody Boyd published the report, Bubble Leaking.
[01:20:38.963 --> 01:20:40.083]  Call for the report today, 800-686-2237.
[01:20:40.203 --> 01:20:45.386]  The value of your hard-earned money is being lost in a global game of chess.
[01:20:45.486 --> 01:20:45.686]  Call 800-686-2237.
[01:20:45.706 --> 01:20:45.886]  That's 800-686-2237.
[01:20:51.454 --> 01:20:54.796]  It is now time to reign in evil and bring them to justice.
