[00:00:06.092 --> 00:00:06.392]  He's here.
[01:00:19.658 --> 01:00:20.078]  Here it is.
[01:00:26.042 --> 01:00:31.586]  There is a peaceful solution called the peace revolution.
[01:00:31.626 --> 01:00:34.068]  Now let's take back America.
[01:00:34.088 --> 01:00:36.390]  There's a war and we're in it.
[01:00:53.366 --> 01:01:18.563]  I know we can win it So let's take back America That was a dream, so believe it And get ready to receive it Now let's take back America And when the war is over and we've won it Let's remember how we done it So we don't have to do it again
[01:01:19.929 --> 01:01:25.172]  There is a peaceful solution called the Peace Revolution.
[01:01:25.332 --> 01:01:28.734]  Now let's take back America.
[01:01:51.733 --> 01:02:02.799]  It's a dream, so believe it And get ready to perceive it Now let's take my
[01:02:17.315 --> 01:02:27.875]  America The war is over and we won it Let's remember how we done it So we don't have to do it again
[01:02:30.030 --> 01:02:38.196]  All right, you can go to willienelsonpri.com and you can check out all the things that Willie Nelson's doing that are
[01:03:00.933 --> 01:03:01.634]  Peace related.
[01:03:20.313 --> 01:03:43.779]  is of course the end of America and she has been uh... breaking down the whole police state buildup that we've seen in army brigades not just one they list others uh... just a new ones being activated under Northcom and uh... finally when she talked about it we've been talking about it a long time it did get a lot of international and national attention so we're honored to have Naomi Wolf uh... with us.
[01:03:43.859 --> 01:03:45.419]  Naomi good to have you here with us
[01:03:46.328 --> 01:03:48.757]  Thank you so much for having me back, Alex.
[01:03:48.938 --> 01:03:52.510]  I also really want to thank members of your community who very kindly
[01:03:52.998 --> 01:03:54.978]  I have been supporting, or talking against.
[01:03:55.178 --> 01:03:55.959]  I'm just delighted.
[01:03:56.239 --> 01:03:58.839]  Oh, it's great to have you here, and especially for close to two hours.
[01:03:59.919 --> 01:04:18.103]  Out of the gates, you're awakening to the ten steps of fascism, and maybe briefly go over a few of those, and then, with horror, the open end of Posse Comitatus, the military warfare drills, admitting that it's for domestic operations, civil unrest,
[01:04:18.803 --> 01:04:26.469]  They've been gearing up for this for quite a long time, and you've certainly been raising the alarm bells, so please go over that, Naomi Wolf.
[01:04:27.169 --> 01:04:28.170]  Sure, thank you.
[01:04:29.471 --> 01:04:30.352]  Wow, it's a lot.
[01:04:30.372 --> 01:04:31.333]  Let's see, where do I begin?
[01:04:32.013 --> 01:04:36.457]  You're quite right to mention our last conversation.
[01:04:36.477 --> 01:04:43.282]  It was about the last book I brought out, which did, in fact, for people who aren't familiar with the argument, though probably most are,
[01:04:44.206 --> 01:04:47.829]  Because it won't be such new news to your community as it is to many other people.
[01:04:48.910 --> 01:05:02.021]  I was arguing that there are these ten sort of classic steps that you always see when a would-be dictator is seeking to close down an open society, to crush a democracy, or to crush a democracy movement, and that we're seeing those in America.
[01:05:04.022 --> 01:05:09.787]  And then my new book, the sequel to that, is called Give Me Liberty, and it's sort of what we do about it.
[01:05:09.867 --> 01:05:12.249]  It's action steps we can take and calling on the founders
[01:05:12.679 --> 01:05:13.199]  We're good to go.
[01:05:39.204 --> 01:05:43.002]  And journalists were swept up in preemptive, brutal arrests at the RNC in St.
[01:05:43.042 --> 01:05:43.263]  Paul.
[01:05:43.889 --> 01:05:50.970]  And I said you're going to see steps making it easier for the, step 10, for the leader to declare martial law.
[01:05:51.331 --> 01:05:53.991]  And by the way, we did even see Amy Goodman arrested.
[01:05:54.491 --> 01:06:13.335]  I had reporters there, Richard Reeves and George Butler, who reported for us, and they were there, and they said no one would touch the police in most of the cases, no one would even tump over a trash can, they would just scoop everyone up, they would taser people, rubber bullet them, they would spray things on them, and take them to jail, and then charge them under state statutes of terrorism.
[01:06:14.059 --> 01:06:15.880]  Yeah, I mean, it's unbelievable.
[01:06:15.900 --> 01:06:18.781]  I mean, maybe I should address that before I get to the First Brigade.
[01:06:19.201 --> 01:06:21.382]  You know, there's footage that we've got.
[01:06:21.922 --> 01:06:26.144]  They've made a movie of the end of America, and it was just released yesterday, free online.
[01:06:26.444 --> 01:06:28.785]  Thanks largely to your advice, by the way, Alex.
[01:06:29.345 --> 01:06:32.407]  And we've got footage that is so chilling.
[01:06:32.687 --> 01:06:36.308]  You know, very few Americans have seen what actually happened in this militarized St.
[01:06:36.348 --> 01:06:42.551]  Paul, where millions of dollars of Homeland Security money was pumped, as it is across the country now, pumped into local police
[01:06:43.078 --> 01:06:44.219]  We're good to go.
[01:07:05.482 --> 01:07:15.278]  Uh, they were, there's this terrifying footage of, just as you say Alex, people sitting quietly in the sun, not doing anything, being surrounded by these, you know, heavily armed...
[01:07:15.646 --> 01:07:16.326]  No, I don't think so.
[01:07:35.803 --> 01:07:38.905]  The police were exposing people's film.
[01:07:38.985 --> 01:07:39.986]  I'm sorry, they don't do that anymore.
[01:07:40.026 --> 01:07:43.868]  You know, ruining people's documentation equipment.
[01:07:43.888 --> 01:07:46.090]  Yeah, they had demagnetizers out.
[01:07:46.710 --> 01:07:47.290]  Oh my God!
[01:07:47.310 --> 01:07:49.132]  See, you're always six steps ahead of me, Alex.
[01:07:49.412 --> 01:07:49.812]  No, I'm not.
[01:07:49.852 --> 01:07:51.433]  What are demagnetizers?
[01:07:51.493 --> 01:08:02.500]  But, I mean, Naomi, the bottom line here is, well, it's what they use in film production, but with the new videotapes or discs, it's got a handle, and it goes meeeerrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr
[01:08:02.500 --> 01:08:02.680]  I think.
[01:08:21.081 --> 01:08:34.346]  In San Diego, in raids on medical marijuana facilities, and then two weeks ago I saw multiple articles of Blackwater aiding local law enforcement in fugitive hunts.
[01:08:34.706 --> 01:08:37.927]  Just Google Blackwater Aid Sheriff's Department in fugitive hunts.
[01:08:38.867 --> 01:08:44.890]  So now we see it happening, not just in New Orleans, but now all over the country.
[01:08:45.010 --> 01:08:46.990]  I just wanted to back you up there.
[01:08:47.931 --> 01:08:48.451]  Thank you.
[01:08:49.284 --> 01:08:51.865]  Well, that's certainly terrifying, and I have to wrap my brain around that.
[01:08:52.645 --> 01:09:10.910]  But, so, you're right about the militarized RNC, but that isn't enough, apparently, because what happened on October 1st is essentially a coup has taken place, you know, in practice, even though Rove is very brilliant at having it be kind of a coup by inches, like it's a stealth coup.
[01:09:11.350 --> 01:09:16.732]  But I say without rhetorical flourish that a coup has taken place, Alex, because
[01:09:17.113 --> 01:09:24.999]  The 1st Brigade of the 3rd Infantry Division, which is 3,000 to 5,000 soldiers, was redeployed from Iraq to somewhere in the United States.
[01:09:25.319 --> 01:09:42.632]  And this is a violation of 200 years of laws from the Insurrection Act of 1807 to the Posse Comitatus Act of 1879 that have protected us, as Americans, from soldiers being deployed to do civilian policing.
[01:09:42.932 --> 01:09:45.594]  And the Army Times report, the initial report, said
[01:09:46.474 --> 01:09:52.260]  They are here, their mission is crowd control, and these are the people who are responsible for crowd control in Fallujah.
[01:09:52.680 --> 01:09:55.062]  You know, they're armed with tasers and rubber bullets.
[01:09:55.362 --> 01:10:00.668]  They had quotes from people who were tasered in exercises, which seems like an odd kind of quote.
[01:10:00.688 --> 01:10:03.750]  And they also said, we hope we don't have to shoot Americans.
[01:10:04.151 --> 01:10:06.893]  That was a cryptic quote, but Naomi, the key
[01:10:07.879 --> 01:10:09.260]  Wait, where do I find that?
[01:10:09.560 --> 01:10:10.300]  You're ahead of me.
[01:10:10.801 --> 01:10:11.721]  Where was that reported?
[01:10:11.921 --> 01:10:13.682]  That was originally in there and they took it out.
[01:10:13.722 --> 01:10:14.382]  In the Army Times?
[01:10:14.482 --> 01:10:23.267]  Yes, but listen, at the bottom of the article, and they took that off too, but we have printed copies, they listed the other units already here that they're aiding.
[01:10:24.007 --> 01:10:32.730]  And we ran into those groups in 98-99-2000 in Texas, and they would come up and tell us, turn your cameras off.
[01:10:32.791 --> 01:10:36.372]  So, this is just one public brigade we're hearing about.
[01:10:36.552 --> 01:10:38.533]  There's a much larger contingent.
[01:10:39.213 --> 01:10:39.773]  Oh God.
[01:10:39.793 --> 01:10:49.837]  Well, okay, so when citizens... I just need to share with you, because you'll understand, I've been very reluctant on this learning curve to face
[01:10:50.618 --> 01:10:54.723]  How much the mainstream media is colluding and suppressing this information.
[01:10:55.223 --> 01:11:01.930]  Because as you know, I live in that world and it's scary for me to think that there's so much of a blackout.
[01:11:01.970 --> 01:11:08.798]  But I was just on the Today Show talking about the deployment of the First Brigade and they framed it as if I was a dangerous radical.
[01:11:09.218 --> 01:11:12.482]  And they had a spin from the commander of the First Brigade.
[01:11:13.985 --> 01:11:16.927]  We're helping communities affected by weapons of mass destruction.
[01:11:16.947 --> 01:11:17.788]  This is amazing!
[01:11:17.808 --> 01:11:19.029]  No follow-up, no reporting.
[01:11:19.049 --> 01:11:19.870]  Naomi, stay there.
[01:11:19.930 --> 01:11:20.570]  We've got a break.
[01:11:20.591 --> 01:11:21.932]  We're going to come back and get into this.
[01:11:22.852 --> 01:11:25.555]  Right now on the other side, Naomi Wolf is our guest.
[01:11:25.575 --> 01:11:25.995]  Stay with us.
[01:11:26.756 --> 01:11:30.279]  Would you walk around with your credit card number displayed on your back for anyone to read?
[01:11:30.819 --> 01:11:36.464]  ...curve to face how much the mainstream media is colluding and suppressing this information.
[01:11:36.997 --> 01:11:43.703]  Because, as you know, I live in that world, and it's scary for me to think that there's so much of a blackout.
[01:11:43.743 --> 01:11:50.569]  But I was just on the Today Show talking about the deployment of the 1st Brigade, and they framed it as if I was a dangerous radical.
[01:11:51.009 --> 01:11:58.756]  And they had a spin from the commander of the 1st Brigade, saying that we're helping communities affected by weapons of mass destruction.
[01:11:58.796 --> 01:11:59.417]  Yeah, this is amazing!
[01:11:59.437 --> 01:12:00.838]  But no follow-up, no reporting.
[01:12:00.858 --> 01:12:01.719]  Naomi, stay there.
[01:12:01.799 --> 01:12:02.440]  We've got a break.
[01:12:02.460 --> 01:12:03.721]  We're going to come back and get into this.
[01:12:04.701 --> 01:12:07.402]  Right now on the other side, Naomi Wolf is our guest.
[01:12:07.422 --> 01:12:07.842]  Stay with us.
[01:12:08.522 --> 01:12:12.043]  Would you walk around with your credit card number displayed on your back for anyone to read?
[01:12:12.704 --> 01:12:13.324]  Of course not.
[01:12:13.824 --> 01:12:19.766]  But if you have one of the 50 million new contactless credit and debit cards in circulation in your wallet, that's exactly what you're doing.
[01:12:20.413 --> 01:12:25.237]  I'm Walt Augustinowicz, founder of Identity Stronghold, and we think this is information you need to know.
[01:12:25.778 --> 01:12:30.582]  You may not even realize you already have one of these cards, because they look physically just like the old card.
[01:12:30.982 --> 01:12:40.490]  The difference is an RFID chip hidden inside the card that makes radio communication with the card possible, right through your wallet, purse, or pants pocket without you ever removing the card.
[01:12:40.830 --> 01:12:43.753]  Pickpockets no longer even have to touch you to get your information.
[01:12:44.213 --> 01:12:49.479]  Our company realizes the privacy danger this represents, and that's why we manufacture the SecureSleeve.
[01:12:49.739 --> 01:12:56.225]  The SecureSleeve is a patent-pending card sleeve that contains a radio frequency barrier, preventing radio signals from reaching your card.
[01:12:56.466 --> 01:13:01.010]  You can get more information and purchase the SecureSleeve online at idstronghold.com.
[01:13:01.351 --> 01:13:04.554]  That's idstronghold.com, or call us at 800-610-2770.
[01:13:07.757 --> 01:13:08.157]  Let's go!
[01:13:25.247 --> 01:13:25.667]  I don't know.
[01:13:47.611 --> 01:14:00.017]  Among other ingredients formulated specifically to promote body cleansing, Pura Clear also has ingredients selected to promote improved circulation to enhance activity so that heavy metals may be more effectively captured and removed from the body.
[01:14:00.137 --> 01:14:03.478]  Order Pura Clear now by calling Ripple Creek at 203-331-0363 or go to RippleCreek.com.
[01:14:07.887 --> 01:14:09.308]  Honey, have you seen the remote?
[01:14:09.648 --> 01:14:11.429]  Sweetie, have you seen my car keys?
[01:14:11.849 --> 01:14:13.289]  I can't find my wallet!
[01:14:13.629 --> 01:14:14.330]  Sound familiar?
[01:14:14.470 --> 01:14:17.751]  Why not save time looking for lost things and lose the stress instead?
[01:14:17.931 --> 01:14:23.054]  Introducing our patented Find One Find All Key Finders, or FOFA XD for short.
[01:14:23.294 --> 01:14:29.196]  Once a FOFA key finder is attached to each of those easy to lose things, it can find and be found by all the rest.
[01:14:29.476 --> 01:14:35.779]  Use your wallet to find your keys, your keys to find the remote control, or any of them to find an uncharged or muted cell phone.
[01:14:35.879 --> 01:14:36.399]  Got the remote!
[01:14:36.459 --> 01:14:36.840]  Oh, my keys!
[01:14:36.860 --> 01:14:37.240]  There's my wallet!
[01:15:06.179 --> 01:15:09.460]  It is a big idea.
[01:15:09.480 --> 01:15:11.580]  A New World Order.
[01:15:12.300 --> 01:15:17.121]  In the near future, Earth is dominated by a powerful world government.
[01:15:17.201 --> 01:15:19.982]  It's known as the Bilderberg Group.
[01:15:20.022 --> 01:15:22.242]  Could their objective be world domination?
[01:15:22.822 --> 01:15:25.263]  For thousands of years, their dark order grew.
[01:15:25.983 --> 01:15:29.704]  Now, as they hail the birth of the New World Order, their great dream...
[01:15:36.094 --> 01:15:40.156]  I want listeners to pay close attention to what I'm saying.
[01:15:40.176 --> 01:15:51.745]  You can watch on YouTube and Google for free, Police State 2000, Police State 2 The Takeover, Police State 3 Total Enslavement.
[01:15:54.989 --> 01:16:01.874]  We got secret documents because the FBI had a checkpoint where the regular army was illegally searching vehicles.
[01:16:01.954 --> 01:16:07.537]  They gave us the classified documents with the cover story for local media stapled to the top.
[01:16:07.577 --> 01:16:10.279]  We posted them up on InfoWars.com.
[01:16:10.299 --> 01:16:19.826]  The headline was written by Ed Homan for InfoWars.com in Thanksgiving of 1998 was, it's martial law and it's a three on the Richter scale.
[01:16:20.286 --> 01:16:24.449]  We're explaining how it was overtime creeping, how under the name of bomb disposal,
[01:16:25.390 --> 01:16:28.178]  That's what the media is told, but on the sub-sheets.
[01:16:28.760 --> 01:16:30.143]  This is in Police State to the Takeover.
[01:16:30.879 --> 01:16:32.940]  You can go see the documents there, with phone numbers.
[01:16:33.800 --> 01:16:40.162]  It said, we are in warrant service, law enforcement, the regular army will aid you for anything, not just bomb disposal.
[01:16:40.482 --> 01:16:42.683]  Their front is bomb disposal.
[01:16:42.703 --> 01:16:46.344]  And now you notice, the commander of the brigade countered Naomi Wolf.
[01:16:46.364 --> 01:16:47.745]  I want her to tell that story right now.
[01:16:48.265 --> 01:16:50.346]  He countered her and said, oh, we're just bomb disposal.
[01:16:50.906 --> 01:16:53.067]  They also say the jaws of life.
[01:16:53.247 --> 01:16:56.288]  Oh, the army's here just to help get you out of a wrecked car.
[01:16:57.088 --> 01:16:58.571]  So see, that's the PR front.
[01:16:58.932 --> 01:17:00.815]  Naomi Wolf, tell us how he tried to counter you.
[01:17:02.038 --> 01:17:08.651]  Well, it wasn't my memory that they said bomb disposal, although I have to say I was so shocked that the, you know,
[01:17:10.376 --> 01:17:19.942]  The head of that brigade took the trouble to rebut my Ordinary Citizen's questions about who are these people and why are they deployed that I was taken aback.
[01:17:20.002 --> 01:17:31.250]  But you can go to the Today Show transcript and see my memory is that he said, oh, we're here to help communities affected by weapons of mass destruction, which raises plenty of questions itself.
[01:17:31.590 --> 01:17:35.833]  But again, I've been reaching out to friends at the New York Times and the Philadelphia Inquirer.
[01:17:35.853 --> 01:17:38.475]  Maybe this doesn't shock you as much as it shocks me, but I am in shock.
[01:17:38.996 --> 01:17:40.898]  Saying, where is your reporting on this?
[01:17:41.318 --> 01:17:43.260]  And they said, there's nothing on the wire services.
[01:17:44.141 --> 01:17:49.806]  You know, The New York Times said, off the record or on background, that they're investigating, but they obviously haven't reported anything yet.
[01:17:50.086 --> 01:17:53.690]  So, I'm in a position where citizens are coming to me saying, Naomi, where's the First Brigade?
[01:17:53.950 --> 01:17:54.771]  What's their mission?
[01:17:55.291 --> 01:17:57.633]  And, you know, I can't tell them where they are.
[01:17:57.653 --> 01:18:03.739]  And I know that the latest spin, the latest PR releases, I just blogged about this yesterday on BuzzFlash,
[01:18:04.522 --> 01:18:08.863]  You know, from the military, are lying to the American people about the law.
[01:18:09.103 --> 01:18:22.225]  The last PR out of Colorado by, I guess, NorthCom said, you know, conspiracy theorists are overreacting, there are laws against deploying military units on the street.
[01:18:22.425 --> 01:18:30.227]  But that's not true anymore with the signing statement that Bush issued countering Congress's limitations.
[01:18:31.071 --> 01:18:34.232]  On his excesses in the Defense Authorization Act of 2007.
[01:18:34.532 --> 01:18:38.292]  There aren't any laws anymore against deploying these people.
[01:18:38.332 --> 01:18:39.593]  I'm sorry, go ahead.
[01:18:40.033 --> 01:18:41.533]  It shows their deceptiveness.
[01:18:41.673 --> 01:18:48.654]  Their press release in the Army Times says, we're there for crowd control, for civil disturbances, non-lethal weapons.
[01:18:48.694 --> 01:18:54.075]  They're announcing the microwave guns on TV, the head of the Air Force, the Associated Press, the civilian head.
[01:18:54.095 --> 01:18:58.116]  The Secretary said last year, we need to use these weapons on Americans first.
[01:18:59.316 --> 01:19:04.160]  Because then that will internationally allow us to use this against foreign armies.
[01:19:04.200 --> 01:19:05.321]  We can't under treaty.
[01:19:05.581 --> 01:19:10.465]  But if we use it in police actions here, the American people is guinea pigs.
[01:19:10.505 --> 01:19:18.992]  So there they are saying, we're going to be domestically operating, and then they double think and say, Naomi Wolf's making this up when they themselves are admitting it.
[01:19:19.332 --> 01:19:22.795]  So this is the just incredible level of deception.
[01:19:22.815 --> 01:19:23.215]  Go ahead.
[01:19:23.935 --> 01:19:28.259]  Well, now I've got to say to you, Alex, honestly, I should really like, you know,
[01:19:29.703 --> 01:19:39.410]  Just like meditate or something before I talk to you, because it's so... I'll piece things together, and then you'll give me sources that I haven't seen, and I have to just take my thinking to another level.
[01:19:39.770 --> 01:19:51.820]  Alex, any sources that are kind of journalistically grounded that you want to send me, so that I can blog about this, so I can raise people's awareness, because we do sort of reach different audiences.
[01:19:52.419 --> 01:19:53.881]  I would be very honored if you would do so.
[01:20:07.259 --> 01:20:08.620]  And I'm not bragging.
[01:20:08.940 --> 01:20:10.421]  In fact, it was scary to be in this position.
[01:20:10.541 --> 01:20:15.203]  We discovered this just bumping into urban warfare drills in 96 in Texas.
[01:20:15.643 --> 01:20:16.504]  I knew nothing about it.
[01:20:16.524 --> 01:20:25.909]  When I witnessed troops trying to confiscate guns and put Americans in FEMA camps on video admitting it's for America, and then up through 2000, and then I quit traveling because I'd already proven it.
[01:20:26.469 --> 01:20:28.690]  It's only accelerated since then, but I went all over the country.
[01:20:29.050 --> 01:20:30.511]  Maryland, California,
[01:20:32.672 --> 01:20:43.700]  Alabama, North Carolina, I mean we have video of all this and their own documents and Marines coming up with guns and saying turn your video cameras off, working with local police running checkpoints.
[01:20:43.800 --> 01:20:55.669]  I'll get Paul Watson on and then he on air will give you the headlines and because this is good to do on air to show listeners the integration of the information because I have to say
[01:20:56.249 --> 01:20:59.111]  Because I've interviewed the judge advocate generals and others who are against this as well.
[01:20:59.512 --> 01:21:14.324]  I talk about this three or four days a week for twelve years and so that's why and I've been screaming bloody murder and finally you've got a bigger voice than I do because you're so respected and you know you're so we'll talk about when we get back and talk about your new film.
[01:21:16.406 --> 01:21:17.286]  We're on the march.
[01:21:17.366 --> 01:21:17.827]  Keep going.
[01:21:17.847 --> 01:21:19.328]  The empire's on the run.
[01:21:20.409 --> 01:21:21.670]  I'll just all in all this on air.
[01:21:21.710 --> 01:21:23.111]  Total transparency for the audience.
[01:21:23.231 --> 01:21:23.511]  John
[01:21:24.878 --> 01:21:26.038]  Yep, I'm calling Watson right now.
[01:21:26.058 --> 01:21:29.759]  Okay, I want to talk to him on air right now for everybody just on the internet.
[01:21:29.779 --> 01:21:51.185]  To explain this, folks, AM and FM dial, shortwave, satellite, they're not hearing this, but the tens of thousands live listening, the hundreds of thousands and millions in the aggregate that listen over the next week on the podcast and the web, we're going into martial law here, so I frankly need these breaks to rest, but I'm skipping a lot of them because we're so far down the line.
[01:21:51.205 --> 01:21:52.285]  Did you get Paul Watson on the phone?
[01:21:53.345 --> 01:21:53.745]  It's ringing.
[01:21:54.186 --> 01:22:01.573]  Paul is the best I know at quickly finding things because the headline was AP and then it was something like
[01:22:03.263 --> 01:22:08.567]  Secretary of Air Force says use non-lethals on Americans first.
[01:22:10.529 --> 01:22:14.272]  Paul will be able to find these and then off air, I'll have you talk to Paul.
[01:22:14.312 --> 01:22:18.615]  He'll give you the email because if I forget and tell them after the show, they're so busy they'll end up not doing it.
[01:22:18.915 --> 01:22:21.357]  I mean, did my guys ever send you all that stuff I said I'd have them send you?
[01:22:21.417 --> 01:22:22.698]  Oh, absolutely!
[01:22:22.759 --> 01:22:27.062]  I got a fantastic, immediately I got a fantastic assortment of materials.
[01:22:27.631 --> 01:22:31.234]  He said he can't make it, he's just stepping out right now, he has to go to dinner.
[01:22:53.010 --> 01:22:53.931]  Drag him in here now.
[01:22:54.011 --> 01:22:55.131]  Drag him in here on air.
[01:22:55.411 --> 01:22:57.692]  I know it's six o'clock at night over there, but drag him in.
[01:22:58.152 --> 01:22:59.753]  His girlfriend, Ehan, can wait.
[01:22:59.773 --> 01:23:02.474]  She's a sweetheart, but he's in England.
[01:23:04.755 --> 01:23:05.815]  Are you calling Watson back?
[01:23:05.975 --> 01:23:06.915]  I'm calling him back.
[01:23:07.035 --> 01:23:08.636]  Just tell him I want to talk to him for a second.
[01:23:10.009 --> 01:23:16.196]  I'm sure he's going to Julio's, his favorite Italian place that he goes out once a week to with his girlfriend, Paul Watson.
[01:23:16.236 --> 01:23:20.662]  You're saying, I want to tell you a couple of other things, if I may.
[01:23:20.802 --> 01:23:21.082]  Go ahead.
[01:23:21.843 --> 01:23:28.972]  You're saying, well first I want to tell you I met someone who came up to me after one of my events, but the trouble I'm having with this as a
[01:23:29.492 --> 01:23:30.653]  I don't know why.
[01:24:01.567 --> 01:24:02.208]  Hey, Watson!
[01:24:02.888 --> 01:24:03.428]  Ha ha!
[01:24:03.849 --> 01:24:04.769]  This is classic!
[01:24:05.490 --> 01:24:06.711]  This is real radio, folks.
[01:24:06.731 --> 01:24:08.052]  This is like reality radio.
[01:24:08.652 --> 01:24:09.173]  Watson!
[01:24:11.274 --> 01:24:11.615]  Hello?
[01:24:12.255 --> 01:24:14.217]  Did you know you've been on air complaining in the background?
[01:24:15.678 --> 01:24:16.198]  Here's the deal.
[01:24:16.278 --> 01:24:21.882]  I could ask the forum guys to do it, but this can't wait because Naomi Wolf is so influential.
[01:24:22.963 --> 01:24:29.468]  What was the headline last year with the Secretary of the Air Force saying they want to use the microwave guns on the American people first?
[01:24:29.508 --> 01:24:30.189]  What was that headline?
[01:24:32.045 --> 01:24:33.367]  I don't recall that one, Alex.
[01:24:34.809 --> 01:24:39.236]  I recall the futurist study in Britain where they said they may have to use those weapons.
[01:24:40.758 --> 01:24:43.102]  Alright, well since I got you here, we're gonna do two minutes on air right now.
[01:24:43.142 --> 01:24:43.462]  Here we go.
[01:24:44.364 --> 01:24:44.945]  Stay there, Watson.
[01:24:55.774 --> 01:24:57.835]  I tell you, it's hilarious.
[01:24:58.476 --> 01:25:00.357]  Watson is always the best at Googling things.
[01:25:00.397 --> 01:25:01.618]  He may even be better than I am.
[01:25:02.158 --> 01:25:04.179]  But he's leaving to go to dinner, so I'm going to let him go.
[01:25:04.279 --> 01:25:04.640]  I knew it.
[01:25:04.660 --> 01:25:06.601]  I heard him and his girlfriend in the background complaining.
[01:25:07.281 --> 01:25:09.823]  On air, that's funny for the folks listening on the web.
[01:25:10.123 --> 01:25:11.604]  And I know we're getting into serious issues.
[01:25:11.624 --> 01:25:13.145]  We've got Naomi Wolf here and I'm babbling.
[01:25:13.685 --> 01:25:14.366]  The point is,
[01:25:15.868 --> 01:25:28.117]  I need the listeners at the Prison Planet Forum to create a section right now and find me all the articles, find the sub-clip out of Police State 2, The Takeover, with the Army documents.
[01:25:28.977 --> 01:25:31.019]  I know that link was dead on InfoWars, with the documents.
[01:25:31.099 --> 01:25:35.001]  Find those, post them all right now, so before she leaves at the end of the show,
[01:25:35.922 --> 01:25:38.644]  I can email those to her, because time is of the essence.
[01:25:38.684 --> 01:25:47.749]  But bringing Paul Watson up, Paul, you brought up another key point, that British Ministry of Defense plan, where they admitted the military is going to have to be used against the people of England and the United States.
[01:25:48.889 --> 01:25:55.193]  But I guess you did do the research a few months ago, I actually do, and you did send Naomi that, so I appreciate you doing that, Watson.
[01:25:56.453 --> 01:26:02.897]  I just want to jump in and say that I did cite, in Give Me Liberty, an article in the New Yorker
[01:26:03.388 --> 01:26:04.309]  We're good to go.
[01:26:22.259 --> 01:26:30.848]  Something that was particularly disturbing to me about the first report of Army Times that they've since backtracked on is that they were saying they're here to, quote unquote, subdue unruly individuals.
[01:26:30.888 --> 01:26:43.802]  So just to be sure that I've said to you, Alex, what I want to say, why am I so scared as someone who studied closing societies, is that again and again around the world, the leader will deploy soldiers to harass
[01:26:44.255 --> 01:26:46.676]  I found one headline, Alex, which is
[01:27:09.164 --> 01:27:10.004]  From CNN.
[01:27:10.045 --> 01:27:12.106]  The link's dead, but the headline's still there.
[01:27:12.126 --> 01:27:15.708]  It says, Air Force Chief Test Weapons on Testy U.S.
[01:27:15.808 --> 01:27:16.128]  Mobs.
[01:27:17.428 --> 01:27:19.289]  From September 2006.
[01:27:19.349 --> 01:27:21.310]  They say the headline again.
[01:27:21.611 --> 01:27:22.931]  That's not the exact one.
[01:27:23.772 --> 01:27:27.054]  Yeah, the AP is the key, but say it again, Watson.
[01:27:28.214 --> 01:27:31.336]  Yeah, it's an AP story, which was carried by CNN.
[01:27:31.636 --> 01:27:34.938]  Air Force Chief Test Weapons on Testy U.S.
[01:27:35.038 --> 01:27:35.318]  Mobs.
[01:27:36.561 --> 01:27:37.101]  Oh, wow.
[01:27:37.241 --> 01:27:38.121]  Okay, yeah, that was it.
[01:27:38.181 --> 01:27:43.122]  Okay, see, Watson did that, complaining and mumbling, but he did a great job.
[01:27:43.182 --> 01:27:45.023]  Watson, that's why I need my magic man!
[01:27:45.643 --> 01:27:46.343]  You found it.
[01:27:46.443 --> 01:27:49.103]  Good job, Redcoat.
[01:27:51.624 --> 01:28:00.725]  By the way, Paul, you know the British government has now announced they want to use the army and police quote during economic collapses, so you have the same thing going on there.
[01:28:00.745 --> 01:28:02.986]  Well, listen to this, Alex.
[01:28:03.006 --> 01:28:05.366]  There was a Channel 4 News segment last night
[01:28:06.127 --> 01:28:24.555]  with the top general from port and down, an army general who said, let me get the exact quote here, he said that, quote, we have to upgrade, enhance, review, renew our activities in recent times because of increased civilian resilience.
[01:28:25.416 --> 01:28:32.381]  That's the top general of the Porton Down Bioweapons Facility in England who said that on Channel 4 News last night.
[01:28:32.581 --> 01:28:50.374]  And the British Ministry of Defence 10-year battle plan, they call it what they're Prospectus, this is the declassified version, almost 200 pages, admitted the military's job is for the elite to suppress the populations who are going to be basically turned into paupers in a neo-feudal state.
[01:28:50.615 --> 01:28:53.157]  Watson, what's the name of that British Ministry of Defence report?
[01:28:53.177 --> 01:28:53.577]  I forget it.
[01:28:55.388 --> 01:28:57.949]  Um, it doesn't spring to mind at the moment.
[01:28:58.009 --> 01:29:00.590]  London Guardian first broke it, but they had a hyperlink to it.
[01:29:01.430 --> 01:29:02.590]  Yeah, it was in the London Guardian.
[01:29:02.610 --> 01:29:09.273]  Alright, I want our researchers to post everything on this, all of it now, at Prison Planet as we work for a team.
[01:29:09.493 --> 01:29:10.473]  Paul Watson, thank you.
[01:29:10.953 --> 01:29:11.533]  Thanks, Ollie.
[01:29:11.553 --> 01:29:12.194]  Thank you.
[01:29:12.494 --> 01:29:13.814]  Paul, are you going to Julio's to eat?
