[00:00:01.291 --> 00:00:02.873]  You want answers?
[01:02:54.586 --> 01:02:56.748]  Uh, the guy's name was Fritz Springmeier.
[01:02:56.748 --> 01:02:59.830]  It's called Bloodlines of the Illuminati.
[01:02:59.830 --> 01:03:01.552]  And I was shocked.
[01:03:01.552 --> 01:03:07.477]  And I, so I called Fritz Springmeier, and I said, Fritz, what is this book, Bloodlines of the Illuminati?
[01:03:08.414 --> 01:03:12.337]  And he said, well, uh, Jordan, anybody could have done that kind of research.
[01:03:12.337 --> 01:03:14.118]  Anybody could have done that.
[01:03:14.118 --> 01:03:18.441]  I said, yeah, anyone could have done it, but it was me that did it.
[01:03:18.441 --> 01:03:27.528]  And consequently, uh, you know, now it's a big book out there, Bloodline to the Illuminati, which Fred Springmeyer got from Jordan Maxwell and never even said, thank you.
[01:03:27.528 --> 01:03:27.928]  I mean, I,
[01:03:28.582 --> 01:03:40.417]  I gave John Rappaport a job but he didn't have a job and sat for hours with John Rappaport and told him about my work in San Diego when I brought him in and hired him to work with me.
[01:03:40.417 --> 01:03:44.722]  Later on he creates a book called The Secret Behind Secret Societies.
[01:03:44.722 --> 01:03:45.363]  It's all my work.
[01:03:46.289 --> 01:03:55.094]  And of course I work with Richard Hoagland and Zachariah Sitchin around the world five times, and I met the company of Truth Seekers.
[01:03:55.094 --> 01:03:58.836]  And Zachariah I have the highest respect for, a wonderful man.
[01:03:58.836 --> 01:04:01.598]  And Richard Hoagland is still a great friend of mine.
[01:04:01.598 --> 01:04:04.680]  But I've worked with so many people, and then when I hear
[01:04:05.519 --> 01:04:12.542]  Uh, lecturers like, uh, Jim Mars and Tex Mars, especially Jim Mars, talking about Illuminati and secret societies.
[01:04:12.542 --> 01:04:16.824]  I think, hell, I was talking about that stuff back in sixty-two.
[01:04:16.824 --> 01:04:19.205]  I was talking about that forty-five years ago.
[01:04:19.205 --> 01:04:31.211]  But Jordan, I mean, you, that's also a sign of your success, uh, and, and Myron Fagans and others, that we do want other people to go out and, and, and put the information out.
[01:04:31.211 --> 01:04:31.871]  Of course we do.
[01:04:31.871 --> 01:04:33.592]  But I can certainly see in a case where
[01:04:34.713 --> 01:04:38.437]  You think somebody went and got your material and then put it into a book and gave you no credit?
[01:04:38.437 --> 01:04:48.688]  Uh, that is, uh, bad, but, I mean, at the same time, um... Well, hold on, we're gonna continue on through this break for folks on the internet talking, and we'll come back for everybody else in a sec.
[01:04:50.100 --> 01:04:56.846]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[01:04:56.846 --> 01:04:59.489]  The enemy struck America on September 11th.
[01:04:59.489 --> 01:05:01.030]  But who is the enemy?
[01:05:01.030 --> 01:05:01.831]  Bin Laden.
[01:05:01.831 --> 01:05:02.812]  This is his ammo.
[01:05:02.812 --> 01:05:04.213]  We have to look to the Middle East.
[01:05:04.213 --> 01:05:05.074]  We have to look to Osama.
[01:05:05.114 --> 01:05:05.374]  Some U.S.
[01:05:05.374 --> 01:05:08.578]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[01:05:20.171 --> 01:05:23.653]  I'm aware that some Israeli citizens have been detained.
[01:05:23.653 --> 01:05:26.474]  Either you are with us, or you are with the terrorists.
[01:05:50.219 --> 01:05:52.161]  Government is best, which governs least.
[01:05:52.161 --> 01:05:53.622]  Wake up and smell the fascism.
[01:05:53.622 --> 01:05:56.664]  Being in government means never having to say you're sorry.
[01:05:56.664 --> 01:05:59.707]  What part of unconstitutional do you not understand, George?
[01:05:59.707 --> 01:06:02.929]  It's not who votes that counts, it's who counts the votes.
[01:06:02.929 --> 01:06:09.715]  In today's world full of tyranny and injustice, sometimes it seems the only thing we still have is our freedom of speech.
[01:06:09.715 --> 01:06:17.461]  Exercise your freedom of speech by purchasing your choice of hundreds of different Liberty Stickers, from humorous to serious, at libertystickers.com.
[01:06:17.841 --> 01:06:21.483]  LibertyStickers.com can even customize your own bumper stickers.
[01:06:21.483 --> 01:06:23.865]  It's time to stand up for what you believe.
[01:06:23.865 --> 01:06:25.126]  Invest in your freedom.
[01:06:25.126 --> 01:06:29.709]  Get your stickers at LibertyStickers.com for your family, friends, and community.
[01:06:29.709 --> 01:06:36.474]  For a limited time, go to LibertyStickers.com and receive a free Ron Paul bumper sticker with any purchase by entering the coupon code GCN.
[01:06:36.474 --> 01:06:41.957]  LibertyStickers.com is the place to go for custom stickers for your business or your political campaign.
[01:06:41.957 --> 01:06:44.079]  Go to LibertyStickers.com or call 877-873-9626
[01:06:47.481 --> 01:06:49.982]  And express your freedom of speech today.
[01:06:49.982 --> 01:06:52.502]  Collectors, outdoor enthusiasts, survivalists.
[01:06:52.502 --> 01:06:56.223]  The Army Navy Store from your memory as a child is just that, a memory.
[01:06:56.223 --> 01:07:00.785]  But there is still one place to find everything from gas masks to ammo cans and find it cheap.
[01:07:00.785 --> 01:07:02.385]  MainMilitary.com.
[01:07:02.385 --> 01:07:09.567]  Get hard to find objects like real wool blankets for under 20 bucks, canteens for just $2, or trioxane fuel for just a dollar a box.
[01:07:09.967 --> 01:07:16.029]  M-A-I-N-E, Military.com with free shipping on items over $150, not including heavy items.
[01:07:16.029 --> 01:07:21.750]  Find surplus items for cheap now, like 30 caliber cleaning kit for just $2.99 a piece, or a dozen for $30.
[01:07:21.750 --> 01:07:23.190]  Flared pistols are only $25.
[01:07:23.190 --> 01:07:26.751]  Want to add a brand new Israeli gas mask to your collection?
[01:07:26.751 --> 01:07:28.111]  Kids and adult sizes are just $20.
[01:07:28.111 --> 01:07:29.292]  Get G3 mags for just $2.
[01:07:30.652 --> 01:07:33.893]  He's the T-Rex of political talk, Alex Jones on the GCN Radio Network.
[01:07:58.593 --> 01:08:08.386]  Okay, to be clear, uh, Jordan has always been a very magnanimous, very friendly, uh, very, you know, helping, generous person.
[01:08:08.386 --> 01:08:11.090]  And I've talked to him on and off there.
[01:08:11.090 --> 01:08:12.331]  His main point is...
[01:08:13.953 --> 01:08:33.526]  Like you said your own words is that it's not that only that people take a lot of his work and don't give him credit It's that he then gets emails and post about oh this person came out with this and Jordan took it And I think that's and then people start fights up between people and I was just talking to Jordan He's saying he won't be doing very many interviews in the future.
[01:08:33.526 --> 01:08:36.128]  It was hard to get even get Jordan on We called him a few months ago.
[01:08:36.128 --> 01:08:42.512]  He said he wasn't doing interviews anymore And then later he called back and said okay, I'll come on which we're very thankful for he is ill.
[01:08:42.512 --> 01:08:43.313]  He needs our support
[01:08:43.873 --> 01:08:49.215]  He's our financial support, he deserves that, and we'll tell you how to get some of his books and videos before he leaves us.
[01:08:49.215 --> 01:08:52.396]  They're all at JordanMaxwell.com, and there you go, but we'll talk more about them.
[01:08:52.396 --> 01:08:54.337]  But I mean, let's walk through that.
[01:08:54.337 --> 01:09:03.180]  Specifically on your own words, you were telling me during the last little behind-the-scenes interview we were doing for the PrisonPlanet.tv viewers that yes,
[01:09:04.820 --> 01:09:19.349]  That people make these fights up, and I think it is people in the government in this info, to get researchers fighting, where people will then say, Jordan Maxwell took this guy's research, and you're laughing because you were around 40 years before they even showed up.
[01:09:19.349 --> 01:09:23.211]  You were around before I was a zygote in my mother's womb.
[01:09:23.211 --> 01:09:30.275]  You were doing this, you know, 40 years before, you know, other people popped up on the scene.
[01:09:31.081 --> 01:09:50.645]  I've said that even to audiences, that some of the people that are out there talking today about this subject of secret societies, the Illuminati, Bible codes, Knights Templars, international banking, all of that stuff I was talking about back in the 60s, early 60s, 62.
[01:09:50.645 --> 01:09:57.327]  Like I said at the beginning, I used to send a lot of articles to the Bird Society way back in 60, 61.
[01:09:59.467 --> 01:10:09.636]  I was giving a lecture in downtown Hollywood in East Hollywood to a Christian group the day that John Kennedy was assassinated.
[01:10:09.636 --> 01:10:21.446]  I was giving a lecture in downtown Hollywood on secret societies and occult religions in 1963 when Kennedy was assassinated.
[01:10:21.446 --> 01:10:23.027]  I've been talking about this stuff for 48 years.
[01:10:24.068 --> 01:10:25.828]  Well, we owe a debt to you.
[01:10:25.828 --> 01:10:35.970]  I mean, let's briefly talk about some of the shoulders that you and others stand on so that we can stand on yours in this fight against tyranny and lies and fraud and dehumanization and greed and control.
[01:10:35.970 --> 01:10:37.431]  You were saying Myron Fagan.
[01:10:37.431 --> 01:10:39.291]  What about Eustace Mullins?
[01:10:39.291 --> 01:10:43.652]  I mean, his work on the Federal Reserve, he really was the guy helping get the book.
[01:10:43.652 --> 01:10:44.492]  Oh, yeah.
[01:10:44.492 --> 01:10:45.232]  Oh, yeah.
[01:10:45.232 --> 01:10:49.833]  Eustace Mullins did tremendous research for days and weeks and months.
[01:10:50.614 --> 01:10:53.017]  Uh, writing and has paid the price for it.
[01:10:53.017 --> 01:10:54.438]  Has repelled, I mean, he helped get it.
[01:10:54.438 --> 01:10:56.321]  Has repelled, absolutely.
[01:10:56.321 --> 01:10:58.604]  And, uh, and many before that.
[01:10:58.604 --> 01:11:05.613]  So, and I've always said, and I'm famous for saying that, that I'm not the world's foremost authority on anything, right?
[01:11:06.133 --> 01:11:10.534]  I'm just an ordinary man interested in extraordinary knowledge.
[01:11:10.534 --> 01:11:21.716]  Well, I think the key here is though, you codified so much of it, and before you came along, you'd have to go read a hundred high-level Masonic books, you'd have to go to the libraries, look at the real meanings of gods.
[01:11:21.716 --> 01:11:32.618]  So what you did is, that knowledge was there, but that was kind of their internal knowledge, and so you did bring to the world so much of what's going on today.
[01:11:32.618 --> 01:11:33.598]  I've seen online
[01:11:34.358 --> 01:11:37.619]  A little, you know, people trying to create a controversy between you and David Icke.
[01:11:37.619 --> 01:11:43.302]  Tell me, I mean, just to set the record straight, because people try to stir up stuff between you guys, let's set the record straight.
[01:11:43.302 --> 01:11:44.522]  What's really happening there?
[01:11:44.522 --> 01:11:56.427]  Well, I appreciate that, because I've been wanting to talk about this for a long time, because there is a lot, I get a lot of emails and phone calls about, well, you said this about David Icke, or David Icke said that.
[01:11:56.427 --> 01:12:00.969]  First of all, I don't have any problems with anything David Icke is talking about.
[01:12:01.747 --> 01:12:07.016]  As a matter of fact, I gave him a lot, and he's gotten a lot from me.
[01:12:07.016 --> 01:12:13.186]  But I did, in point of fact, myself, in 1992, I brought David Icke to America.
[01:12:13.186 --> 01:12:14.368]  I'm the one that brought him here.
[01:12:15.280 --> 01:12:29.327]  And I was in San Diego at the time, and a young lady named Alice Ferguson came to my office in San Diego with a man, a friend of hers, named David Griffith.
[01:12:29.327 --> 01:12:32.068]  And Alice Ferguson, David Griffith, came to my office.
[01:12:32.068 --> 01:12:35.490]  I was pretty much running a company down in San Diego.
[01:12:36.130 --> 01:12:48.636]  called Truth Seeker Company, and she asked me if I would help bring her friend to America, who was doing, who was very interested in all my work, and he was trying to do the same thing in England.
[01:12:48.636 --> 01:12:50.437]  So I said, well, who is this person?
[01:12:50.437 --> 01:12:52.918]  And so she said, it's David Icke.
[01:12:52.918 --> 01:12:58.620]  So I listened to her for about an hour, and we talked about it, and I said, alright, I'll tell you what I'll do.
[01:12:58.620 --> 01:13:01.862]  I'll give both you and David Griffin a job.
[01:13:01.862 --> 01:13:02.942]  I'll pay both of you $2,500 a month,
[01:13:05.277 --> 01:13:06.278]  I don't know.
[01:13:26.332 --> 01:13:47.718]  Both had the credit cards for the foundation, the corporation, and so I financed her, Alice Ferguson, and ultimately David Icke, to come to America, to go to Australia, to go to Canada, and all of that cost money to fly all over the world and to set up lectures for David Icke.
[01:13:49.096 --> 01:14:06.140]  And, uh, and eventually, uh, Alice Ferguson talked with, uh, Bonnie Lang, the, the, the lady who was running the company, and a couple of other women in the office, and they decided that, why don't we just fire Jordan Maxwell, get rid of him, and bring David Icke in to take his place?
[01:14:06.140 --> 01:14:07.240]  And so that's what happened.
[01:14:07.240 --> 01:14:13.541]  I got fired, uh, by the same people that I tried to help and bring David Icke to America.
[01:14:13.541 --> 01:14:16.302]  I got fired so that David could take my job.
[01:14:17.285 --> 01:14:24.592]  But after they fired me, they found out that David was not interested in sitting in an office running a company like Jordan Maxwell.
[01:14:24.592 --> 01:14:28.756]  So then the company went downhill from there because I was gone.
[01:14:28.756 --> 01:14:31.999]  And they had already fired me and David didn't want the job.
[01:14:32.814 --> 01:14:39.797]  And so they just cut their nose off despite their face, and so the Truth Seeker Company is now defunct and is no longer around.
[01:14:39.797 --> 01:14:47.201]  Of course, at that time I was helping because I had access to the corporation funds.
[01:14:47.201 --> 01:14:51.203]  I was helping Richard Hoagland, Zachariah Sitchin.
[01:14:51.203 --> 01:14:54.425]  As I said, John Rapoport had no job.
[01:14:54.425 --> 01:14:57.066]  I called John Rapoport, gave him a job.
[01:14:57.706 --> 01:15:07.375]  Got him started again, and he went out and wrote a book on my work called Secret Societies.
[01:15:07.375 --> 01:15:17.784]  And of course, I don't know if we were on the air at the time when we were talking about the Fritz Springmeier with the bloodlines of the Illuminati, but all of that was taken from me back in 1988.
[01:15:19.637 --> 01:15:19.997]  I don't
[01:15:40.010 --> 01:15:44.232]  And, uh, just the working class people in the studios would give me a pass.
[01:15:44.232 --> 01:15:48.455]  Yeah, I know, uh, some say that they took the idea of the Matrix from you.
[01:15:48.455 --> 01:15:49.355]  Is that true?
[01:15:49.355 --> 01:15:58.040]  Well, uh, I had a video called Matrix of Power about ten years before the movie Matrix came out.
[01:15:58.040 --> 01:16:05.464]  But I don't think that they, well, maybe they might have been influenced by the Matrix because it was a big seller when it came out.
[01:16:05.464 --> 01:16:06.244]  One never knows.
[01:16:06.244 --> 01:16:07.325]  But what I do know
[01:16:08.090 --> 01:16:08.410]  Is that
[01:16:27.384 --> 01:16:37.152]  Out of that, at the very beginning of the basic slide presentation, and get that and watch it, and then get the movie, Da Vinci Code.
[01:16:37.152 --> 01:16:56.068]  And it is exactly, word for word, exactly, in the Da Vinci Code, at the beginning of the movie, they introduce Tom Hanks as the world's foremost researcher in occult societies and secret societies, and he comes up on the stage,
[01:16:56.841 --> 01:16:57.221]  This is a
[01:17:12.629 --> 01:17:25.438]  The projection, so some of it is being projected on him, and he's now pointing to the pyramid, the all-seeing eye, etc., and talking about the Illuminati and secret societies on the dollar bill, etc.
[01:17:25.438 --> 01:17:30.742]  That came directly out of my Basics Live presentation, period.
[01:17:31.912 --> 01:17:32.612]  Period.
[01:17:32.612 --> 01:17:38.376]  It came directly out of my video and nobody ever called me to send me a check.
[01:17:38.376 --> 01:17:39.196]  Da Vinci Code.
[01:17:39.196 --> 01:17:44.319]  Of course, the whole idea of Da Vinci Code was a rip-off of Bajent Lee and Lincoln.
[01:17:44.319 --> 01:17:58.346]  The entire movie, Da Vinci Code, was an absolute rip-off of the British writers Bajent Lee and Lincoln and their book that appeared about 15 years before the movie called Holy Blood, Holy Grail.
[01:17:58.346 --> 01:18:01.108]  And so the producers of Da Vinci Code ripped off
[01:18:01.920 --> 01:18:22.324]  Major Lee and Lincoln's book uh... holy blood holy grail and made it into a movie and uh... and act like they would they came up with something new and there was a lawsuit in England because of that so I'm not the only one that's been ripped off and lied to and cheated and left for dead there's a lot of good people out there.
[01:18:22.324 --> 01:18:29.945]  You've made such a contribution to fighting the New World Order Jordan that I don't normally even air laundry on the show but it's important that
[01:18:30.465 --> 01:18:35.087]  That you'd be recognized for the work you've done, and some people appreciate the work you've done.
[01:18:35.087 --> 01:18:39.989]  Now I want to shift gears for the rest of this hour into the biggest secrets, the biggest issues.
[01:18:39.989 --> 01:18:41.390]  You know, what makes them tick?
[01:18:41.390 --> 01:18:46.272]  Big, broad, you know, basic info, and we can go back into more detail.
[01:18:46.272 --> 01:18:57.137]  Okay, then let me say, then, if you're up for that, just remember that when you ask for something, you know, make sure you're ready for it, because
[01:18:58.644 --> 01:19:03.547]  You know, make sure what you ask for you're ready for because it might be something that you weren't expecting.
[01:19:29.465 --> 01:19:33.928]  And the guest he has on, and all my guests, can talk about whatever they want.
[01:19:33.928 --> 01:19:35.509]  The callers can talk about whatever they want.
[01:19:35.509 --> 01:19:36.950]  We don't screen calls.
[01:19:36.950 --> 01:19:37.310]  Nothing.
[01:19:37.310 --> 01:19:40.813]  Anybody that says otherwise is a liar.
[01:19:40.813 --> 01:19:41.473]  Stay there.
[01:19:41.473 --> 01:19:44.475]  Quick break, Jordan, and we'll come back.
[01:19:44.475 --> 01:19:50.260]  You've got a couple minute break you can take, and we'll be right back.
[01:19:50.260 --> 01:19:51.581]  It is a big idea.
[01:19:52.719 --> 01:19:54.480]  A New World Order!
[01:19:54.480 --> 01:19:58.983]  In the near future, Earth is dominated by a powerful new government.
[01:19:58.983 --> 01:20:02.204]  It's known as the Bilderberg Group.
[01:20:02.204 --> 01:20:05.006]  Don't their objective be world domination?
[01:20:05.006 --> 01:20:08.188]  For thousands of years, their dark order grew.
[01:20:08.188 --> 01:20:15.492]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[01:20:18.510 --> 01:20:23.974]  For the first time in history, the elite's plan for world government is blown wide open.
[01:20:23.974 --> 01:20:27.838]  You will learn the secret that drives the entire New World Order agenda.
[01:20:27.838 --> 01:20:30.400]  The Overbearing is making great progress toward a world which I believe in.
[01:20:30.400 --> 01:20:31.581]  Most people have no idea.
[01:20:31.581 --> 01:20:32.361]  They're not after money.
[01:20:32.361 --> 01:20:33.642]  They have all the money they need.
[01:20:33.642 --> 01:20:34.623]  They're after power.
[01:20:34.623 --> 01:20:35.764]  That's their aphrodisiac.
[01:20:35.764 --> 01:20:40.528]  Order In Game on DVD at PrisonPlanet.com or InfoWars.com.
[01:20:40.528 --> 01:20:44.071]  Or watch it online right now at PrisonPlanet.tv.
[01:20:44.071 --> 01:20:45.252]  In Game.
[01:20:45.252 --> 01:20:46.753]  Blueprint for global enslaving.
[01:20:47.253 --> 01:20:49.153]  You have been warned.
[01:20:49.153 --> 01:20:49.934]  Gold.
[01:20:49.934 --> 01:20:51.474]  It's like nothing else on Earth.
[01:20:51.474 --> 01:20:57.755]  From the Romans through the Renaissance, from the Industrial Age to the Space Age, gold has weathered the test of time.
[01:20:57.755 --> 01:21:01.916]  For 6,000 years, gold has remained the ultimate store of wealth.
[01:21:01.916 --> 01:21:03.856]  According to the World Gold Council and the U.S.
[01:21:03.856 --> 01:21:06.297]  Mint, demand is at an all-time high.
[01:21:06.297 --> 01:21:12.938]  The stage is being set for the reemergence of gold as the common-sense alternative to a fiat paper currency that gets weaker.
[01:21:12.978 --> 01:21:13.458]  We're good to go.
[01:21:37.911 --> 01:21:39.914]  Call 800-686-2237.
[01:21:39.914 --> 01:21:44.041]  If you have ever thought about owning gold, you must read this report.
[01:21:44.041 --> 01:21:45.222]  Call Midas today at 800-686-2237.
[01:21:49.258 --> 01:21:53.041]  It is now time to reign in evil and bring them to justice.
[01:21:53.041 --> 01:21:58.066]  Through the authority that has been delegated to us, it is time to destroy the destroyers.
[01:21:58.066 --> 01:22:03.531]  The number of the mounted troops was 200 million, the vast majority of the population of the U.S.
[01:22:03.531 --> 01:22:14.040]  Though the people of the U.S., where their numbers and influence are strongest, have primary responsibility for reigning them in and bringing them to justice, all nations will participate since they reside the world over.
[01:22:14.520 --> 01:22:18.922]  They are called Illuminati, elite, proponents of the New World Order.
[01:22:18.922 --> 01:22:21.683]  They oppose everything that is God and Truth.
[01:22:21.683 --> 01:22:25.265]  They are of the line that was disinherited 2,000 years ago.
[01:22:25.265 --> 01:22:37.771]  Everything they have built over the centuries, the wealth they have accumulated, the power they have established, the poisoning of the masses, the destruction of the Earth and mankind, we will undo through the authority that has now been delegated to us.
[01:22:38.251 --> 01:22:41.980]  Visit our website at unveilingthem.com.
[01:22:41.980 --> 01:22:46.291]  That's U-N-V-E-I-L-I-N-G them dot com.
[01:22:46.291 --> 01:22:47.554]  The message of his kingdom.
[01:22:48.680 --> 01:22:52.043]  Hello, this is Tom with HempUSA.org.
[01:22:52.043 --> 01:22:59.789]  Most of you have been hearing my ads for the past few months, and it's no secret that the economy is failing and prices are rising in all sectors.
[01:22:59.789 --> 01:23:07.616]  If you've been thinking of a nutrient-dense daily food source and a storable food for yourself and family, the time to act is now.
[01:23:07.616 --> 01:23:13.902]  At HempUSA.org, we still believe that food will be your greatest asset in these trying times ahead.
[01:23:14.522 --> 01:23:21.288]  Please call 1-908-691-2608 and see what our powder, seeds, and oil can do for you.
[01:23:21.288 --> 01:23:24.091]  Beware, be smart, and be ready!
[01:23:24.091 --> 01:23:25.672]  Call 908-691-2608 or visit us at hempusa.org.
[01:23:30.456 --> 01:23:36.778]  Families need this high quality natural food source for its low price and long storage shelf life.
[01:23:36.778 --> 01:23:40.739]  This incredible food source should be a staple part of your diet every day.
[01:23:40.739 --> 01:23:43.340]  Call 908-691-2608 or visit us at hempusa.org today!
[01:23:52.333 --> 01:23:58.835]  Alright, we're going to skip the next break if you're an InfoWars.com internet stream listener or PrisonPlanet.tv subscriber.
[01:23:58.835 --> 01:24:01.896]  Everybody else will continue after the next break with Jordan Maxwell.
[01:24:01.896 --> 01:24:06.918]  We're going to go 20 minutes at least into overdrive to take phone calls for Jordan Maxwell.
[01:24:06.918 --> 01:24:10.419]  I'll give you that number at the end of the show.
[01:24:10.419 --> 01:24:18.562]  Okay, Jordan, should we start at the end with the globalist master plan, the New World Order, what they want to build on Earth?
[01:24:18.562 --> 01:24:21.063]  Sometimes that's the best way to start, or should we start at the beginning?
[01:24:21.781 --> 01:24:25.123]  Well, I'll tell you what, start at the beginning and let me say this.
[01:24:25.123 --> 01:24:32.346]  I don't really want to get into the political part of this because we don't have a whole lot of time left.
[01:24:32.346 --> 01:24:37.809]  And besides, everyone who needs to know already knows how bad off we are.
[01:24:38.562 --> 01:24:41.383]  I'd like to talk about some subjects that maybe we don't know.
[01:24:41.383 --> 01:24:45.065]  Okay, but I do want to get your take on what their final master plan is.
[01:24:45.065 --> 01:24:51.388]  I mean, I know what your view is, but also I want to get your latest take, your latest analysis on what their endgame is.
[01:24:51.388 --> 01:24:54.310]  But sure, go ahead and start at the beginning.
[01:24:54.310 --> 01:25:01.693]  Okay, well, then everybody should get a piece of paper and a pencil and write down a couple words I'm going to give you.
[01:25:01.693 --> 01:25:06.976]  Because I believe these are key words to open up a can of worms that you will not believe.
[01:25:07.865 --> 01:25:14.709]  It's going to open up a whole world of research to you that you've never known existed.
[01:25:14.709 --> 01:25:18.252]  The first word is Hanseatic League.
[01:25:18.252 --> 01:25:23.395]  Spell H-A-N-S-E-A-T-I-C.
[01:25:23.395 --> 01:25:25.276]  Hanseatic League.
[01:25:25.276 --> 01:25:27.317]  It's on my website.
[01:25:27.317 --> 01:25:36.043]  If you go to my website and go to the Research Department, it goes to the Research, you will see a box saying, Words to Research.
[01:25:36.821 --> 01:25:43.042]  Go on the Words to Research and check down into the H's and you'll see Hanseatic League.
[01:25:43.042 --> 01:25:49.264]  The Hanseatic League is extremely important to the Illuminati story today.
[01:25:49.264 --> 01:25:59.146]  And connected to the Hanseatic League, which most people don't even know exists, is something called, and write it down, Teutonic Zionism.
[01:26:00.240 --> 01:26:04.001]  It is not Semitic Jewish Zionism.
[01:26:04.001 --> 01:26:04.881]  No.
[01:26:04.881 --> 01:26:06.502]  The word is Teutonic.
[01:26:06.502 --> 01:26:10.843]  T-E-U-T-O-N-I-C.
[01:26:10.843 --> 01:26:15.105]  The Teutonic Knights are the German branch of the Knights Templars.
[01:26:15.105 --> 01:26:16.165]  That's right.
[01:26:16.165 --> 01:26:17.525]  That's the name of the tomb.
[01:26:17.525 --> 01:26:20.406]  The Teutonic Zionism.
[01:26:20.406 --> 01:26:26.148]  It's a whole secret order that has been in operation for a thousand years.
[01:26:26.992 --> 01:26:34.699]  It is the whole story behind America, England, and those things which are going on on the Earth today.
[01:26:34.699 --> 01:26:44.787]  And if you don't understand Hanseatic League and Teutonic Zionism, you're never going to figure out the name of the tune and how this thing is being played.
[01:26:44.787 --> 01:26:52.294]  And I've been looking at this for 48 years, and I'm telling you that unless and until you have the whole story,
[01:26:52.975 --> 01:27:07.825]  You're not going to get to the bottom of anything, because like I said in the beginning, the first hour, your decisions in life are only as good as your information, and the really extraordinary information has never been allowed to be given to the people.
[01:27:07.825 --> 01:27:13.068]  So I'm just getting you started into a truly arcane occult research.
[01:27:13.068 --> 01:27:20.192]  Well, on the Teutonic Knights that really grew into the Templars and vice versa, after they knocked out the Templars, there was still the Teutonic Knights.
[01:27:20.192 --> 01:27:22.094]  I only know about the Teutonic Knights because I read
[01:27:22.734 --> 01:27:30.503]  Mind comp, I read other books about the Nazis and Hitler thought that he was creating the recreated Teutonic Knights.
[01:27:30.503 --> 01:27:31.905]  We know the British follow that.
[01:27:31.905 --> 01:27:32.946]  That's right.
[01:27:32.946 --> 01:27:37.611]  And again, this goes back to them believing they're the seed of Jesus, they're the God race.
[01:27:37.611 --> 01:27:38.552]  No, you're getting it.
[01:27:38.552 --> 01:27:40.795]  That's exactly right.
[01:27:40.795 --> 01:27:42.277]  And so that's why people can't get why
[01:27:43.726 --> 01:27:47.810]  The political Zionists, who were supposedly Jewish, were funding Hitler.
[01:27:47.810 --> 01:27:52.594]  Why Hitler allowed Jews to leave to Israel, but nowhere else?
[01:27:52.594 --> 01:27:57.659]  Why, at the highest levels, you'll have Zionists right next to top Nazis at Bilderberg?
[01:27:57.659 --> 01:27:58.540]  And it's right.
[01:27:58.540 --> 01:28:04.125]  I've said, when you kick in that final door, it's a room full of Nazis and Kabbalists.
[01:28:04.605 --> 01:28:05.545]  That's right.
[01:28:05.545 --> 01:28:09.867]  That's exactly what I'm saying, and that's why I'm saying you better go back and look at this.
[01:28:09.867 --> 01:28:12.969]  And that's what Steven Spielberg is telling us in Writers of the Lost Ark.
[01:28:12.969 --> 01:28:14.669]  He's trying to tell you something.
[01:28:14.669 --> 01:28:15.970]  Twice, the Nazis.
[01:28:15.970 --> 01:28:19.131]  Three times, the last one, the Nazis are in it.
[01:28:19.131 --> 01:28:23.833]  And the first two times, the Nazis are looking for the Lost Ark of the Covenant.
[01:28:23.833 --> 01:28:29.356]  Why would the Nazis care a damn about a Jewish symbol of the Covenant or the
[01:28:30.797 --> 01:28:34.498]  The Covenant of the... The Lost Ark of the Covenant.
[01:28:34.498 --> 01:28:39.279]  Why would Nazis care about the Lost Ark of the Covenant, a Jewish symbol?
[01:28:39.279 --> 01:28:44.700]  Why would they care about the Christian symbol of the Holy Grail?
[01:28:44.700 --> 01:28:48.260]  The second one, the Last Crusade.
[01:28:48.260 --> 01:28:56.782]  Why are the... Why is he putting so much emphasis on the Knights Templars, the Masonic Knights, orders of the Teutonic Knights?
[01:28:58.180 --> 01:29:01.402]  They're trying to tell you something.
[01:29:01.402 --> 01:29:08.344]  And so I'm saying, I've been looking at this for a long time, and I'll tell you what the story is.
[01:29:08.344 --> 01:29:13.186]  Hanseatic League Teutonic Zionism.
[01:29:13.186 --> 01:29:17.228]  It has nothing to do with Jewish Zionism out of the Bible.
[01:29:17.228 --> 01:29:17.808]  Period.
[01:29:17.808 --> 01:29:20.149]  Nothing Jewish about it.
[01:29:20.149 --> 01:29:24.751]  It has to do with a very ancient, prehistoric, ancient concept
[01:29:26.450 --> 01:29:28.891]  Of a totalitarian dictatorship.
[01:29:28.891 --> 01:29:34.494]  As a matter of fact, if you go to any good law dictionary and look up the word FAS.
[01:29:34.494 --> 01:29:35.614]  F-A-S.
[01:29:35.614 --> 01:29:36.535]  FAS.
[01:29:36.535 --> 01:29:40.056]  FAS is a Latin word which means God.
[01:29:40.056 --> 01:29:41.456]  We're on the march.
[01:29:41.456 --> 01:29:43.977]  The empire's on the run.
[01:29:43.977 --> 01:29:46.659]  Alex Jones and the GCN Radio Network.
[01:29:50.066 --> 01:29:56.829]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[01:29:56.829 --> 01:29:59.470]  The enemy struck America on September 11th.
[01:29:59.470 --> 01:30:01.011]  But who is the enemy?
