[00:00:00.069 --> 00:00:00.230]  Hmm?
[00:26:11.774 --> 00:26:18.079]  And the law states that they must answer it in 180 days, and they have refused to do it.
[00:26:18.159 --> 00:26:20.041]  I mean, it's been six and a half years.
[00:26:20.541 --> 00:26:27.967]  And the reason they refuse to serve above the law is I'm using their own government documents and what they said themselves.
[00:26:28.027 --> 00:26:28.908]  They can't answer it.
[00:26:29.491 --> 00:26:36.395]  So, an attorney told me to go ahead and file an amendment as an imminent health hazard, and I did that in October.
[00:26:36.835 --> 00:26:42.019]  That's required by law to be answered within a week or ten days, and they refused to answer that.
[00:26:42.599 --> 00:26:46.201]  That's the big problem, no matter who does it.
[00:26:46.261 --> 00:26:55.807]  The Community Nutrition Institute petitioned the FDA to ban it in 86, because so many people were going blind from the free methyl alcohol and having seizures.
[00:26:56.744 --> 00:26:58.846]  And he took it all the way to the Supreme Court.
[00:26:58.866 --> 00:26:59.646]  Yeah, let me stop you.
[00:26:59.686 --> 00:27:02.668]  I'm looking at the manufacturing process here from a university website.
[00:27:02.689 --> 00:27:04.250]  We're going to put it up on screen later.
[00:27:04.270 --> 00:27:19.141]  They admit they take aspheric acid and phenylalanine, combine it in tanks, then put genetically modified bacteria in, then put it into a crystal separator, and then dry it into a white powder after separating the dead bacteria.
[00:27:19.921 --> 00:27:29.653]  And it's admitted that, I mean, they admit mainstream, I'm looking at it, that once it hits 87 degrees, it breaks back into the wood alcohol where your body is, what, 98 degrees?
[00:27:30.113 --> 00:27:31.715]  I mean, this is insane!
[00:27:31.735 --> 00:27:38.383]  I mean, antifreeze is sweet, why don't we just start putting that in gum and answer that question and then...
[00:27:39.384 --> 00:27:43.165]  Going back to this, why now can't I buy any major bubble gum?
[00:27:43.185 --> 00:27:52.069]  I mean, I can go to the shopping center, I can go to a major grocery store, because I like gum sometimes, you know, for breath or whatever, and I can't find one.
[00:27:52.089 --> 00:27:55.130]  I have to order it special online that doesn't say aspartame.
[00:27:55.510 --> 00:27:57.071]  Well, let me give you a little bit of good news.
[00:27:57.911 --> 00:28:05.554]  First of all, I was talking to someone who makes herbs from the Amazon rainforest some years ago, and I said, look, it doesn't take a
[00:28:06.520 --> 00:28:09.441]  A rocket scientist to make a safe sweetener.
[00:28:09.541 --> 00:28:11.662]  And these products are killing diabetics.
[00:28:12.422 --> 00:28:13.683]  And he turned around and made it.
[00:28:14.083 --> 00:28:27.409]  And it's called, just like sugar, and it has chicory, which has been used for 70 years to improve the health of diabetics, and orange peel, vitamin C, and calcium.
[00:28:28.049 --> 00:28:35.872]  And then Dr. Blalock asked that it be analyzed, and he wrote in his newsletter, the Blalock Wellness Report, finally.
[00:28:36.707 --> 00:28:38.647]  Finally, a safe sweetener.
[00:28:39.168 --> 00:28:46.969]  And I talked to the CEO, and I said, look, so many people are having the problems with the gum.
[00:28:46.989 --> 00:28:49.810]  They're putting it in everything, and it's the most dangerous product.
[00:28:50.390 --> 00:28:57.291]  And he said, I promise you, by the end of December, we will have a gum free of aspartame, made with just like sugar.
[00:28:57.811 --> 00:29:05.733]  And I said, while you're at it, how about, you know, on every restaurant table, they have Splenda, which is the chlorocarbon poison.
[00:29:06.520 --> 00:29:08.941]  And equal, and he says, and we'll make packets.
[00:29:09.421 --> 00:29:21.707]  So I have no financial association, of course, with the company, but they are getting this month a congressional award for making the first safe sweetener in America.
[00:29:22.267 --> 00:29:35.113]  So I'm glad with all this bad news to give you a little bit of good news that there will be a gum that's safe, because even some of the Wrigley gums that have aspartame in it, they also have Splenda in it,
[00:29:35.612 --> 00:29:50.810]  They have a sulfine potassium, which caused cancer and leukemia in original studies, and there was a study in Liverpool that told about the combination of all these poisons.
[00:29:51.371 --> 00:29:53.694]  I mean, it's just really a chemical feast.
[00:29:55.607 --> 00:30:04.531]  Well, what we have is chemical companies getting rid of soap and giving us toxic byproducts of the oil industry, which is detergents.
[00:30:04.972 --> 00:30:10.875]  What we have is the chemical companies and biocompanies getting rid of our sugar and giving us this chemical weapon.
[00:30:11.235 --> 00:30:12.876]  They're replacing everything
[00:30:13.456 --> 00:30:15.498]  Well, we've basically got all those records.
[00:30:15.558 --> 00:30:19.922]  In fact, if you really want to know about this study, one of the best articles ever written, it's on mpwhi.com,
[00:30:41.138 --> 00:30:41.218]  It's
[00:30:53.448 --> 00:30:59.631]  Aspartame was listed with the Pentagon in an Inventory of Prospective Biochemical Warfare Weapons submitted to Congress.
[00:31:00.051 --> 00:31:03.573]  Oh, and it accidentally got in all the food oil, like everything else!
[00:31:04.253 --> 00:31:04.553]  Oh!
[00:31:04.573 --> 00:31:05.474]  Oh!
[00:31:06.194 --> 00:31:07.455]  Population control!
[00:31:07.755 --> 00:31:08.115]  Oh!
[00:31:08.375 --> 00:31:10.876]  I notice the Pentagon doesn't want to discuss it with me.
[00:31:12.317 --> 00:31:21.441]  But, and you know we've had to start a Mission Possible Aviation, and the reason I did that was because a pilot called me and he said, dumb, I'm not.
[00:31:22.205 --> 00:31:25.386]  But I crashed my plane on aspartame.
[00:31:25.786 --> 00:31:26.847]  I couldn't make a decision.
[00:31:26.887 --> 00:31:33.990]  You know, it destroys memory, which is one of the reasons that it, you know, escalating Alzheimer's, and it causes confusion.
[00:31:34.670 --> 00:31:39.292]  And so, Dr. Blair... Yeah, they're now saying you get Alzheimer's when you're 30 now.
[00:31:40.132 --> 00:31:40.632]  Oh, yes.
[00:31:40.912 --> 00:31:45.694]  You know, in fact, one of the hospices called me some years ago and asked why 30-year-old people were getting it.
[00:31:46.391 --> 00:31:54.665]  Uh, you know, the reason that aspartame interacts with most drugs is because of damage to the mitochondria or life itself.
[00:31:55.165 --> 00:31:57.189]  And what that does is make you old.
[00:31:57.930 --> 00:32:00.452]  And aspartame knows no age.
[00:32:00.472 --> 00:32:01.012]  That's right.
[00:32:01.152 --> 00:32:10.258]  Inside of the cells, the engine of the cells and its programming is the mitochondrial DNA and they're showing studies that it's damaging the very DNA of the species.
[00:32:10.738 --> 00:32:11.979]  Betty, let's continue speaking.
[00:32:11.999 --> 00:32:15.962]  This is so vital and we have limited time for internet listeners and PrisonPlanet.tv viewers.
[00:32:15.982 --> 00:32:16.842]  I'm going to skip this break.
[00:32:16.862 --> 00:32:17.703]  Everybody else will be back.
[00:32:17.983 --> 00:32:18.804]  This is just too important.
[00:32:18.824 --> 00:32:20.565]  We've got to get all this info out in the time we have.
[00:32:22.583 --> 00:32:24.025]  Okay, Betty, we're continuing.
[00:32:24.065 --> 00:32:29.391]  We've got tens of thousands of listeners and viewers right now, not the millions, but on the web it'll live forever.
[00:32:29.991 --> 00:32:30.712]  Let's continue.
[00:32:31.233 --> 00:32:31.713]  Go back.
[00:32:31.733 --> 00:32:32.895]  Do you have that posted?
[00:32:32.915 --> 00:32:35.277]  Because I read that years ago and then couldn't find it again.
[00:32:36.678 --> 00:32:41.402]  Okay, first of all, if you want to know it, you know, fact by fact, you can go to Doorway, d-o-r-w-a-y dot com, and look for the paper
[00:33:06.124 --> 00:33:11.206]  Nuclear Poison by Alex Constantine, and it will give you all the details.
[00:33:12.927 --> 00:33:23.250]  The ecologist also quotes one of the newsletters, and I actually have one of the tapes of a radio program called Aspartame Weapons of War.
[00:33:23.631 --> 00:33:28.012]  But I want to tell you the worst case scenario, some of the things that are happening.
[00:33:28.052 --> 00:33:31.514]  Dr. Blalock has written an athlete alert.
[00:33:32.774 --> 00:33:35.315]  The athletes are dropping dead from aspartame.
[00:33:35.894 --> 00:33:42.957]  And if you remember, FEDRA was taken off the market because the pilcher who was in West Palm Beach dropped dead.
[00:33:43.777 --> 00:33:50.359]  And Dr. Roberts called medical examiners and said, OK, how many diet drinks was he drinking?
[00:33:50.880 --> 00:33:52.360]  He didn't know about it.
[00:33:52.740 --> 00:33:56.622]  But then an article came out that he was fasting.
[00:33:56.662 --> 00:34:00.623]  And then every couple of days, you know, he would just drink Diet Coke all day.
[00:34:01.303 --> 00:34:05.585]  And the reason that I'm bringing this up also, because in the movie,
[00:34:06.215 --> 00:34:10.218]  Sweet misery, and this is really one of the worst scenarios.
[00:34:10.939 --> 00:34:23.328]  Diane Fleming, a sweet Sunday school teacher, was married to an athlete who worked out and was using aspartame all day long, and died of methanol poisoning.
[00:34:23.688 --> 00:34:29.813]  And they put her in prison for 30 and 20 years, even though she had taken three lie detector tests.
[00:34:30.274 --> 00:34:33.236]  Now, it said acute chronic methanol poisoning,
[00:34:33.963 --> 00:34:43.270]  And the doctors wrote affidavits that the autopsy showed, you know, that it was, uh, that it was aspartame, uh, that caused his death.
[00:34:44.550 --> 00:34:48.613]  Uh, recently a toxicologist did a study.
[00:34:49.094 --> 00:34:55.318]  The last thing that he, that he drank, he took some Gatorade and put three times the amount of creatine in it.
[00:34:55.738 --> 00:34:57.680]  And aspartame interacts with creatine.
[00:34:57.720 --> 00:34:59.521]  He was like standing on a,
[00:35:00.303 --> 00:35:10.228]  On a ledge, and that's all it took was that three times the amount of creatine and the toxicological report by Dr. Albiotti showed that it caused his immediate death.
[00:35:10.728 --> 00:35:11.929]  And this is what's going on.
[00:35:11.969 --> 00:35:19.533]  That woman's been in prison for six years and even though doctors have written affidavits, we haven't been able to get her out.
[00:35:19.733 --> 00:35:27.457]  And Dr. Bowen says, here's what happens, is that the liver can take so much
[00:35:28.121 --> 00:35:30.583]  of this methanol when it converts to formaldehyde.
[00:35:30.663 --> 00:35:33.746]  So it kicks it back into the bloodstream.
[00:35:34.406 --> 00:35:40.972]  And there's going to be a book written about her, but I want people to know about Diane Fleming and to read some of the articles.
[00:35:40.992 --> 00:35:44.255]  They're on WNHO.com.
[00:35:44.655 --> 00:35:51.401]  There is Sudden Cardiac Death by Dr. Blaylock and Sudden Death by Dr. Roberts.
[00:35:51.561 --> 00:35:55.284]  Basically what happens is aspartame causes neurodegenerative heart rhythm
[00:35:56.045 --> 00:36:03.050]  And, uh, interacts with all cardiac medication, damages the cardiac conduction system, and causes sudden death.
[00:36:03.630 --> 00:36:14.338]  And even little children and students are actually dropping dead from it, and two parliamentarians in Europe aren't realizing why people were dropping dead.
[00:36:14.418 --> 00:36:22.083]  I petitioned WHO to, uh, to actually call it sudden death syndrome so they can
[00:36:22.861 --> 00:36:23.981]  So they can crack it.
[00:36:24.161 --> 00:36:24.801]  Alright, here we go.
[00:36:24.861 --> 00:36:25.762]  Back to the full audience.
[00:36:30.602 --> 00:36:39.864]  If you just Google Aspartame Army Chemical Biological Weapon, you'll discover how it was developed in the US.
[00:36:41.164 --> 00:36:44.825]  Chemical weapon to brain damage subject populations.
[00:36:46.165 --> 00:36:50.466]  And I've got the London Independent here from the 20th
[00:36:52.888 --> 00:37:14.447]  of uh... what july nineteen ninety nine world's top sweeteners made with gm bacteria and uh... it is a uh... chemical weapon derived from a biological uh... weapon mix and of course that's why it's in most your food you buy prepared because they're exterminating it's not that you can't imagine this you can't make this up you can't
[00:37:15.532 --> 00:37:16.132]  Everything they do.
[00:37:16.372 --> 00:37:19.374]  Oh, the GMO just so happens to sterilize the mice that eat it.
[00:37:19.714 --> 00:37:21.615]  And then the humans get it and our fertility is dropping.
[00:37:21.995 --> 00:37:24.736]  Oh, melamine just so happens to kill kids.
[00:37:24.756 --> 00:37:32.079]  Oh, the one type of plastic they chose out of hundreds to be standardized as the main plastic sterilizes people and gives you cancer.
[00:37:32.099 --> 00:37:35.260]  Oh, and there's an Army report on that.
[00:37:36.101 --> 00:37:38.482]  Army figures this out, they put it in your food.
[00:37:39.465 --> 00:37:41.306]  Now, does that mean the average person in the Army is involved?
[00:37:41.366 --> 00:37:41.586]  No.
[00:37:41.907 --> 00:37:42.927]  It's the eugenicist.
[00:37:43.548 --> 00:37:47.590]  It's the eugenicist, and that's why there's dead kids all over your neighborhood from cancer.
[00:37:47.831 --> 00:37:50.112]  That's why 23-year-old women are dying of cancer.
[00:37:50.332 --> 00:37:51.633]  That's why it's exploding in there.
[00:37:52.354 --> 00:37:54.135]  Betty Martini, please continue.
[00:37:54.855 --> 00:38:01.880]  Okay, when you mention that article, I have to tell you a story about that, written on the front page of the Independent.
[00:38:02.360 --> 00:38:05.683]  Not only on the front page, but above the Royal Wedding.
[00:38:06.143 --> 00:38:07.504]  And the way that came to be,
[00:38:08.343 --> 00:38:21.611]  Is that one of the aspartame companies actually had on their website the formula for genetic engineering and people just didn't realize what it was.
[00:38:21.711 --> 00:38:27.314]  And I was talking to the independent and I told him, I says, you know, you people don't like genetic engineering.
[00:38:27.334 --> 00:38:29.416]  Why don't you help us with aspartame?
[00:38:29.476 --> 00:38:31.737]  And they said, prove it and we'll help you.
[00:38:32.501 --> 00:38:38.524]  And so, when I put that online, they immediately took the website down, but it was too late.
[00:38:38.604 --> 00:38:51.971]  I had printed it out and faxed it to the Independent in the UK, and they kept their word, put it on the front page above the Royal Wedding, so that all of the UK could find out about it.
[00:38:51.991 --> 00:38:57.634]  Yeah, that's what they report, is this is directly from the Aspartame manufacturer, so our source is that.
[00:38:57.694 --> 00:39:01.916]  Yeah, Monsanto could not deny it, because there was, on the website,
[00:39:02.481 --> 00:39:04.742]  Showing the actual formula for this.
[00:39:05.323 --> 00:39:14.788]  Another thing that people should know really worries me about what's happening to the vets, because they're now reporting how many of them are going blind.
[00:39:14.808 --> 00:39:16.169]  You know that's from aspartame.
[00:39:16.709 --> 00:39:27.936]  But if you get on WNHO.net and go back to 2003, you can read a report I wrote, the case for aspartame disease being Gulf War Illness and Lou Gehrig's.
[00:39:28.476 --> 00:39:32.098]  Because the government back then was saying, you know, they're crazy.
[00:39:32.777 --> 00:39:39.361]  And then they did their own study, and I had told them it causes, it can precipitate MS and cause Lou Gehrig's.
[00:39:39.421 --> 00:39:42.043]  Dr. James Bowen has Lou Gehrig's Masturbatine.
[00:39:42.583 --> 00:39:47.126]  And when they did their own studies, they found it was Lou Gehrig's.
[00:39:47.706 --> 00:39:51.088]  So now, you know, they're chewing gum and drinking it in Iraq.
[00:39:51.288 --> 00:39:54.610]  Here they are, you know, fighting for our country.
[00:39:55.291 --> 00:39:58.052]  And, you know, being killed by aspartame.
[00:39:58.472 --> 00:40:01.474]  Well, I mean, you know, I mentioned that I know this is a setup.
[00:40:01.554 --> 00:40:03.415]  I mean, I see the same story over and over again.
[00:40:04.355 --> 00:40:07.737]  Fighting this for 17 years, interviewing scientists, doctors, all these government reports.
[00:40:08.457 --> 00:40:11.418]  You know, you helping get governments to ban it around the world, or restrict it.
[00:40:12.078 --> 00:40:14.159]  I mean, do you believe that this was done by design?
[00:40:17.501 --> 00:40:20.142]  Well, you know, I cannot say.
[00:40:20.382 --> 00:40:21.803]  I mean, there's no way to say.
[00:40:22.363 --> 00:40:24.604]  But I do know that Thoreau knew it.
[00:40:25.034 --> 00:40:31.099]  Because I have talked to so many informants and people from Searle, they said they all knew that it was poison.
[00:40:31.759 --> 00:40:34.442]  And they knew it before they put it on the market.
[00:40:35.282 --> 00:40:38.545]  But I mean, the Army discovers it and says it's a chemical weapon.
[00:40:40.226 --> 00:40:42.908]  And then suddenly it's Rumsfeld and it's in all our food.
[00:40:42.949 --> 00:40:43.549]  I mean, you know.
[00:40:43.949 --> 00:40:45.110]  You know what they call it now?
[00:40:45.390 --> 00:40:47.092]  Rumsfeld Plague.
[00:40:47.512 --> 00:40:48.793]  That's right, Rumsfeld Disease.
[00:40:49.514 --> 00:40:49.774]  Yes.
[00:40:50.855 --> 00:40:54.598]  Well, the medical text is Aspartame Disease.
[00:40:55.106 --> 00:40:59.630]  And Dr. Roberts says we're not going to call it Rumsfeld Disease because they usually honor doctors.
[00:40:59.670 --> 00:41:11.901]  So it's called Rumsfeld Plague and the Idaho Observer wrote a great, fantastic article on biochemical weaponry and Rumsfeld's legacy.
[00:41:12.581 --> 00:41:15.704]  And incidentally, somebody has written a book
[00:41:16.784 --> 00:41:20.586]  On Rumsfeld, it even tells the whole story.
[00:41:20.686 --> 00:41:23.608]  Rumsfeld, his rise, fall, and catastrophic legacy.
[00:41:23.668 --> 00:41:27.891]  Well listen, he's the one that gave nuclear reactors as the head of ABB to North Korea.
[00:41:28.291 --> 00:41:31.293]  He's the one that got the Terminator genes and GMO approved.
[00:41:31.633 --> 00:41:34.655]  It's like whatever is evil, he gave the bioweapons of Saddam.
[00:41:34.955 --> 00:41:38.517]  It's like a poop of smoke and he's like the devil and he's there at the scene of everything.
[00:41:39.337 --> 00:41:40.178]  I know, I know.
[00:41:40.318 --> 00:41:42.339]  And this is, they actually told this.
[00:41:42.419 --> 00:41:45.241]  In fact, I sent this to Atlanta Magazine when they interviewed me.
[00:41:45.754 --> 00:41:50.576]  And they actually put this in their story right here in the home of Coca-Cola.
[00:41:50.796 --> 00:41:58.300]  And when the reporter came out, you know, I said, you're really going to write a story about aspartame here in the home of Coca-Cola?
[00:41:58.860 --> 00:42:02.022]  And it turned out the reporter was the victim.
[00:42:02.600 --> 00:42:06.443]  And then the photographers came out and I said, who do you work for?
[00:42:06.463 --> 00:42:07.904]  He said, mostly for Coke.
[00:42:08.064 --> 00:42:11.166]  I said, then you're going to take a picture of... Hold on, hold on.
[00:42:11.206 --> 00:42:11.907]  Here we go, here we go.
[00:42:12.487 --> 00:42:13.388]  We're on the march.
[00:42:13.888 --> 00:42:15.490]  The empire's on the run.
[00:42:16.430 --> 00:42:18.952]  Alex Jones and the GCI Radio Network.
[00:42:18.972 --> 00:42:21.554]  Let's skip this break, too, because we've got to go soon.
[00:42:21.574 --> 00:42:28.619]  I want you to get John Wodkin's Enough Respect on in like five minutes and just let him know we're going to say bye to Betty on the other side, OK?
[00:42:29.040 --> 00:42:29.260]  OK.
[00:42:29.740 --> 00:42:30.681]  Let me talk to Betty again.
[00:42:31.912 --> 00:42:32.854]  Here I am, Alex.
[00:42:33.075 --> 00:42:35.621]  Hey Betty, I probably interviewed you ten times years ago.
[00:42:36.162 --> 00:42:38.146]  What, it's been five years or so since I had you on?
[00:42:38.527 --> 00:42:39.850]  I think it has been that long.
[00:42:40.319 --> 00:42:48.406]  Well, you know, I hit subjects a lot, then I get off of them, and then I thought, you know, I've got a whole new giant crop of listeners, bigger than ever, and we haven't warned them.
[00:42:48.666 --> 00:42:50.268]  And this is something where we can take action.
[00:42:50.288 --> 00:42:51.889]  We can stop drinking fluoridated water.
[00:42:52.209 --> 00:42:54.211]  We can stop drinking and eating aspartame.
[00:42:54.231 --> 00:42:55.532]  We can educate other people.
[00:42:55.892 --> 00:42:57.174]  We can save a lot of lives.
[00:42:57.674 --> 00:43:00.817]  And so I want to get you back up for a full two hours in the near future.
[00:43:00.837 --> 00:43:01.938]  Sorry to cut you a bit short today.
[00:43:01.958 --> 00:43:02.979]  I got behind with the other guest.
[00:43:03.539 --> 00:43:10.680]  And then I'm going to have Dr. Blaylock on in the next few weeks, and anybody else you want to recommend, why don't you email Aaron with two A's?
[00:43:11.261 --> 00:43:28.024]  Aaron at InfoWars.com, the different doctors and scientists you think I should have on, and I'll do 215 interviews in the next few months, because I'm just sticking now with what can I tell people where they can help themselves that we know is bad that's happening to them, solutions, solutions, solutions.
[00:43:28.824 --> 00:43:41.911]  Not just that, you were such a great example, and I'm not trying to toot your horn, I mean, people should model after you and others, of somebody getting mad, getting upset, taking action, and really having a huge effect in the 17 years you've been doing this.
[00:43:41.971 --> 00:43:51.336]  Because as bad as it is, you know, I mean, at least you have warned tens of millions of people to themselves stay away from it, or to know what's happening.
[00:43:51.536 --> 00:43:56.099]  But then in closing, we're going to come back with about five minutes left with you, if you can do it.
[00:43:56.639 --> 00:43:57.400]  How do we
[00:43:58.340 --> 00:44:01.962]  Well, I mean, we know the patent ended, so now it's even cheaper, so everybody's using it.
[00:44:02.503 --> 00:44:03.763]  I mean, it's in everything now.
[00:44:04.204 --> 00:44:08.226]  And as you said, they call it artificial or natural flavoring.
[00:44:08.947 --> 00:44:10.287]  I mean, how do you find this out?
[00:44:10.328 --> 00:44:12.229]  I guess you just don't eat anything processed?
[00:44:13.329 --> 00:44:14.650]  Well, yes, we have to.
[00:44:14.690 --> 00:44:23.215]  And incidentally, Dr. Blaylock wrote me a paper, what to do if you've used aspartame, so I can give this to people.
[00:44:23.256 --> 00:44:23.916]  And we have.
[00:44:24.565 --> 00:44:25.065]  I don't know.
[00:44:48.776 --> 00:44:51.697]  that keep current on aspartame for distribution.
[00:44:51.757 --> 00:44:52.097]  Good, good.
[00:44:52.117 --> 00:44:52.897]  I'll have them on.
[00:44:52.978 --> 00:44:56.179]  So email me those guys and I'll recommend that.
[00:44:56.239 --> 00:44:57.819]  Betty, we're going to come back in about 20 seconds.
[00:44:58.259 --> 00:44:59.360]  Okay.
[00:44:59.420 --> 00:45:00.780]  I'm just doing five more minutes with her.
[00:45:00.800 --> 00:45:02.161]  Do you have the next guest?
[00:45:03.581 --> 00:45:05.682]  Yes, Mr. Watkins is all set.
[00:45:05.902 --> 00:45:09.743]  Mr. Watkins of the UK, not Mr. Watson.
[00:45:10.503 --> 00:45:12.864]  Okay, here we go.
[00:45:13.244 --> 00:45:15.245]  I forgot to ask you, what city in England is he in?
[00:45:16.185 --> 00:45:17.826]  Pop in and ask him and then pop in and tell me.
[00:45:18.632 --> 00:45:19.613]  Okay, just over the air?
[00:45:19.733 --> 00:45:19.953]  Yep.
[00:45:20.053 --> 00:45:21.234]  Here we go, folks.
[00:45:23.076 --> 00:45:25.898]  The Babylon system is a vampire.
[00:45:25.938 --> 00:45:28.781]  Suck in the blood.
[00:45:50.646 --> 00:45:52.288]  Sucking the children day by day.
[00:45:53.070 --> 00:45:55.513]  Melamine, aspartame, mercury.
[00:45:58.777 --> 00:45:59.579]  All of these things.
[00:46:01.882 --> 00:46:04.305]  And then they control the hospitals and the medical system.
[00:46:04.325 --> 00:46:05.106]  The doctors don't know.
[00:46:05.126 --> 00:46:06.027]  They're compartmentalized.
[00:46:13.322 --> 00:46:15.603]  Final segment with Betty Martini and then we're going to spend a little bit of time.
[00:46:15.623 --> 00:46:16.984]  I'm really honored to have him today.
[00:46:17.004 --> 00:46:21.826]  John Wodkin is one of the most talented YouTube directors out there.
[00:46:21.846 --> 00:46:25.648]  This guy lives in Austin, Texas and worked with me on films.
[00:46:27.509 --> 00:46:28.650]  So he is coming up here.
[00:46:29.010 --> 00:46:31.511]  Well, Betty, we're going to have you back up for two hours in the near future.
[00:46:31.531 --> 00:46:34.913]  I'm going to have Dr. Blalock back on and a lot of other folks, but in closing,
[00:46:36.872 --> 00:46:38.213]  Thousands and thousands of products.
[00:46:38.273 --> 00:46:39.833]  I can't find gun that doesn't have it.
[00:46:39.853 --> 00:46:41.734]  They call it natural, unnatural sweeteners.
[00:46:41.774 --> 00:46:42.495]  They won't let you.
[00:46:42.515 --> 00:46:44.976]  They're camouflaging it now.
[00:46:46.196 --> 00:46:47.057]  And they didn't know before.
[00:46:47.097 --> 00:46:48.417]  They certainly know now it's deadly.
[00:46:48.458 --> 00:46:54.200]  This army chemical weapon made out of genetically engineered bacteria they discovered in the 60s.
[00:46:56.541 --> 00:46:59.223]  Dealing with that issue finally, and then briefly, the addiction.
[00:47:00.435 --> 00:47:03.517]  You know, I had somebody down here this weekend who's a great guy, but I was watching him.
[00:47:03.557 --> 00:47:04.458]  Addicted to Diet Cokes.
[00:47:04.478 --> 00:47:05.118]  He had to have them.
[00:47:05.419 --> 00:47:08.941]  He wanted me to run around and get him Halls, but he said they must be sugar-free.
[00:47:09.402 --> 00:47:12.364]  And he was acting like a drug addict when I would bring him the Aspartame.
[00:47:13.285 --> 00:47:19.689]  And I've seen this with people who get off of Aspartame and literally go through all sorts of withdrawals.
[00:47:20.050 --> 00:47:28.376]  Dr. Blaylock, medical doctor and others, have developed, and you have this free on your website, give out those sites, some systems that will help people detox.
[00:47:30.290 --> 00:47:32.451]  Like many poisons, it's also very addictive.
[00:47:34.292 --> 00:47:35.073]  It is addictive.
[00:47:35.133 --> 00:47:39.135]  It's that free methyl alcohol that causes chronic methanol poisoning.
[00:47:39.556 --> 00:47:44.158]  This affects the dopamine system of the brain and causes the addiction.
[00:47:44.739 --> 00:47:52.383]  And you know, one day I was talking with Dr. Deagle about the fact that when people are that addicted, they're no longer rational.
[00:47:52.443 --> 00:47:55.985]  And he says, well, that's because it first affects the frontal lobes of the brain.
[00:47:56.026 --> 00:47:58.367]  And it's like talking to somebody with a lobotomy.
[00:47:58.894 --> 00:48:08.563]  And a very good case of that is Lane Short's wife, when one of the doctors found out and said, oh, we have found out it's aspartame.
[00:48:08.583 --> 00:48:09.965]  Diabetics can't heal.
[00:48:10.365 --> 00:48:11.646]  We can save your foot.
[00:48:12.127 --> 00:48:14.028]  Just get off of aspartame.
[00:48:14.429 --> 00:48:15.730]  And she said, I'm too addicted.
[00:48:15.790 --> 00:48:16.351]  Chop it off.
[00:48:16.411 --> 00:48:16.991]  And they did.
[00:48:17.912 --> 00:48:19.594]  And that is not rational.
[00:48:19.774 --> 00:48:21.916]  But this is the problem that we have.
[00:48:22.601 --> 00:48:30.364]  is this addiction and Dr. Roberts has written a very, very long article about it that's on the doorway.
[00:48:30.384 --> 00:48:32.504]  And the miscellaneous doctors speak out.
[00:48:32.524 --> 00:48:35.865]  The Townsend Letter for Doctors, that explains it in great detail.
[00:48:40.567 --> 00:48:41.407]  Alex, are you still there?
[00:48:41.447 --> 00:48:42.708]  Yes, Betty, I'm just sitting back.
[00:48:42.748 --> 00:48:44.948]  You know, I have a penchant for interrupting, so I want you to continue.
[00:48:45.389 --> 00:48:49.050]  Yeah, so this is one of the most serious problems, and if
[00:48:50.745 --> 00:48:57.590]  If anyone, you know, gets in touch with us, my email is BettyM19 at Minespring.com.
[00:48:57.630 --> 00:49:01.733]  We can send them Dr. Blalock information about what they have to do.
[00:49:01.773 --> 00:49:08.138]  They have to stay on magnesium the rest of their life because it protects the heart and the brain from excitotoxins.
[00:49:08.218 --> 00:49:12.461]  And Dr. Blalock says you have to flush your system out with distilled water.
[00:49:12.901 --> 00:49:16.004]  You can't use, you know, chlorine or fluoride.
[00:49:17.034 --> 00:49:27.416]  He gives a great list of the things that can help and heal the immune system and tells you all the things to avoid and it's a wonderful paper.
[00:49:28.096 --> 00:49:41.919]  Anybody on it really should get in touch and they can stay up-to-date on this list and they'll get all the information that they want, all the references and the books and movies, anything that they need that can help.
[00:49:42.079 --> 00:49:44.960]  One of the greatest things is getting the information to the doctors
[00:49:45.427 --> 00:49:51.472]  Because once a doctor knows, then he can save the lives of thousands.
[00:49:51.953 --> 00:49:55.095]  It's like my neurologist said when he realized who I was.
[00:49:55.596 --> 00:49:56.657]  He said I had a patient.
[00:49:57.077 --> 00:49:58.318]  He said having seizures.
[00:49:58.378 --> 00:50:00.860]  He said that we tried everything there was on the market.
[00:50:00.900 --> 00:50:04.804]  He had no idea that it interacts with all anti-seizure medication.
[00:50:05.244 --> 00:50:09.208]  Found out that she was drinking a case of Diet Coke a day.
[00:50:09.268 --> 00:50:10.148]  Got her off of it.
[00:50:10.289 --> 00:50:11.129]  She went crazy.
[00:50:11.149 --> 00:50:13.011]  They had to put her in a mental hospital.
[00:50:13.519 --> 00:50:19.443]  Two weeks out of the mental hospital she was off of aspartame, no problems, and the seizures stopped.
[00:50:19.923 --> 00:50:21.784]  So it's very, very important.
[00:50:21.904 --> 00:50:23.305]  So it's a chemical weapon.
[00:50:23.986 --> 00:50:24.866]  It's a chemical weapon.
[00:50:24.886 --> 00:50:30.590]  Betty Martini, we salute you, we appreciate you for warning people, and we'll talk to you soon.
[00:50:30.630 --> 00:50:31.731]  Thank you for spending time with us.
[00:50:32.191 --> 00:50:32.812]  Thank you, Alex.
[00:50:33.152 --> 00:50:33.412]  You bet.
[00:50:33.432 --> 00:50:34.012]  There she goes.
[00:50:34.493 --> 00:50:34.913]  Great lady.
[00:50:34.933 --> 00:50:39.296]  We're going to be doing several more shows in a long series on this in the next three months.
