[00:00:13.493 --> 00:00:15.434]  It is already the second day of July 2008.
[00:24:47.562 --> 00:24:51.145]  We're going back live on the main show right now with Richard C. Hoagland.
[00:24:51.165 --> 00:24:51.706]  Here we go, Richard.
[00:24:58.647 --> 00:25:01.208]  Every morning at the mine you could see him arrive.
[00:25:01.228 --> 00:25:03.548]  He stood six foot six and weighed 245.
[00:25:03.648 --> 00:25:07.709]  Kind of broad at the shoulder and narrow at the hip.
[00:25:07.749 --> 00:25:11.771]  The book is a New York Times bestseller, Dark Mission, The Secret History of NASA.
[00:25:12.051 --> 00:25:18.472]  For folks watching at PrisonPlanet.tv, you can see the cover of the book with the Grand Masonic flag on it there.
[00:25:18.532 --> 00:25:20.373]  We're going to talk about that later.
[00:25:20.393 --> 00:25:24.074]  You can get the book at bookstores everywhere or
[00:25:26.928 --> 00:25:34.033]  Mr. Hoagland, what's the best site to visit to get your booker to learn more about the huge overarching things that you're doing?
[00:25:34.994 --> 00:25:36.075]  Darkmission.net.
[00:25:36.135 --> 00:25:37.456]  We've set up a website for the book.
[00:25:38.342 --> 00:25:40.644]  But then you also have the Enterprise group.
[00:25:40.744 --> 00:25:45.527]  I have the Enterprise Mission, yes, but that's basically a huge panoply of everything.
[00:25:45.947 --> 00:25:55.254]  If you're focused on the book and how to get it and the discussions going on, Mike Barra, my co-author, has a blog over there, and we publish new events around the book.
[00:25:55.634 --> 00:25:57.276]  Darkmission.net is the place to go.
[00:25:57.476 --> 00:26:00.058]  Darkmission.net, but go ahead and plug your other sites while we're at it.
[00:26:00.698 --> 00:26:01.679]  Enterprisemission.com.
[00:26:02.862 --> 00:26:10.064]  Everything you ever wanted to know about the space program that you were afraid to ask, or didn't know who to ask, is at EnterpriseMission.com.
[00:26:11.084 --> 00:26:14.525]  Well, let's start getting into the history of NASA.
[00:26:14.545 --> 00:26:25.727]  You've got connections to L. Ron Hubbard, Alistair Crowley, Nazis, occultists, I mean, and then we see all the occultism in their symbols, their names.
[00:26:26.608 --> 00:26:27.808]  Break that down for us, Richard.
[00:26:28.877 --> 00:26:53.696]  Well, once you start asking questions, you know, one question leads to another, leads to another, leads to another, and when I realized that NASA had covered up this momentous press conference event, basically stalled it for half an hour to cover for a hungover correspondent for ABC News, I then realized that this agency, which was supposed to be exploring space for the benefit of all mankind,
[00:26:54.554 --> 00:27:02.478]  ...was basically not above doing anything lying to protect one individual, or in this case, probably to Curry's favor.
[00:27:02.979 --> 00:27:10.403]  Because if Bergman, who was going to ask the question for ABC, had not been there when this historic thing happened, there would have been a holy hell today.
[00:27:11.083 --> 00:27:17.487]  And NASA was obviously, in retrospect, skewing its entire public affairs program
[00:27:18.089 --> 00:27:24.552]  For this correspondent so that he would give them favorable coverage in future missions, in future years.
[00:27:24.572 --> 00:27:27.373]  I understand, but it shows a culture of back-scratching and lying.
[00:27:27.393 --> 00:27:28.093]  Let's go back.
[00:27:30.374 --> 00:27:34.196]  That gets into how are these missions covered.
[00:27:35.116 --> 00:27:40.158]  You know, we think of the Fourth Estate, Alex, as the kind of fourth part of government.
[00:27:40.658 --> 00:27:44.700]  You have the three branches, then you have the press, which is supposed to be the watchdog group.
[00:27:45.370 --> 00:27:53.158]  You know that press people rate somewhere down around Congress and lawyers in terms of public opinion, public perception?
[00:27:53.198 --> 00:28:04.569]  Yes, I do, because they just sit there in little sequestered rooms drinking coffee as they're given press releases, and they're kept creatures, more and more domesticated creatures, by the government, and you have the President
[00:28:05.743 --> 00:28:08.464]  Well, the key thing, of course, goes back to World War II.
[00:28:08.544 --> 00:28:11.805]  You know, we had this huge war between us and the bad guys, the Nazis.
[00:28:33.466 --> 00:28:55.164]  Um, or the, you know, the fascists, and it involved, you know, the world involved, Japan involved, you know, Mussolini involved, Hitler involved, huge armies and millions of deaths and billions of dollars, and it was basically, you know, if you look at it archetypally, it was the forces of dark against the forces of light.
[00:28:56.025 --> 00:29:02.090]  Well, one of the things you've got to realize is the forces of light were operating on the same wavelength as the forces of darkness.
[00:29:03.033 --> 00:29:04.914]  FDR was a 33rd degree mason.
[00:29:05.695 --> 00:29:18.842]  And I started realizing that history itself, mainstream history, not just NASA, but mainstream history with the help of one of my friends, Ron Nix, who's a geologist, but also has done a tremendous amount of work in this area.
[00:29:20.155 --> 00:29:36.518]  ...appears to be manipulating the conventional calendar, conventional historical events, according to occult and astrological signs and times and dates and moments of eventuality.
[00:29:36.598 --> 00:29:43.624]  And an everyday example of that would be Ronald Reagan, to the minute, when he gave a speech, what day, what he was wearing.
[00:29:43.924 --> 00:29:46.106]  Now, of course, Hitler designed it all.
[00:29:46.526 --> 00:29:50.249]  The modern Olympics, they're going to have it on 888 at 888 in the morning.
[00:29:50.269 --> 00:29:53.452]  I mean, they are really into numbers, numerology.
[00:29:53.492 --> 00:29:54.212]  Please continue.
[00:29:55.173 --> 00:30:00.978]  Well, as I was investigating, you know, as I went through the rest of my career with NASA and the networks,
[00:30:01.849 --> 00:30:09.192]  Given that big lie on that Sunday morning, I started looking at how the press dealt with NASA, and I noticed a favoritism.
[00:30:10.114 --> 00:30:11.735]  You know, certain people were curried.
[00:30:11.775 --> 00:30:13.376]  Certain people were given favors.
[00:30:13.396 --> 00:30:15.117]  Certain people were given special things.
[00:30:15.597 --> 00:30:17.038]  Other people were kind of excluded.
[00:30:17.598 --> 00:30:19.319]  You know, there was a pecking order.
[00:30:19.559 --> 00:30:32.126]  And those that were given favor were always writing favorable stories, or doing favorable coverage, or favorable pieces on the network, be it ABC, NBC, or CBS.
[00:30:33.027 --> 00:30:35.768]  So I realize there was this incestuous relationship.
[00:30:35.808 --> 00:30:36.649]  So years later,
[00:30:37.364 --> 00:30:44.858]  When I began to ask the questions about fundamental things, like why did we land on the moon on July 20th, 1969?
[00:30:47.452 --> 00:30:55.518]  And the answer was, and you could actually do this with a computer, which was accessible then, was not accessible during my, you know, surgery with NASA.
[00:30:55.638 --> 00:31:02.584]  We didn't have personal computers, we didn't have laptops, we didn't have, you know, Macs, we didn't have anything that gives us, certainly didn't have the internet.
[00:31:03.004 --> 00:31:11.871]  The tools to combat this, you know, lies different at every level problem we're dealing with now, we basically were on our own with going to libraries.
[00:31:12.694 --> 00:31:21.740]  So, I started, when we got the Internet, we got the computers, I started looking at launch dates and landing times, and I noticed this bizarre pattern.
[00:31:21.780 --> 00:31:35.648]  This was in the mid-90s, which was that there appeared to be some kind of astrological, calendrical timekeeping behind the most important and major events in NASA's history.
[00:31:36.488 --> 00:31:42.332]  And more than that, certain key events, like landings on the Moon with unmanned spacecraft,
[00:31:43.098 --> 00:31:50.244]  And then later with manned spacecraft, the Apollo program actually were skewed to land on Hitler's birthday.
[00:31:51.205 --> 00:31:52.846]  And another light bulb went off.
[00:31:53.046 --> 00:31:53.486]  Bing!
[00:31:54.287 --> 00:32:11.361]  Because everybody knows, you know, it's almost, almost on school, that NASA was formed of the nucleus of the German scientist in Operation Paperclip, including the big one, the superstar, Wernher von Braun, brought over to the United States
[00:32:11.929 --> 00:32:16.975]  You know, as our pet Nazis after World War II, after we quote, won World War II.
[00:32:17.716 --> 00:32:26.727]  Well, bottom line, in Dark Mission, Mike and I lay out the case that the pet Nazis basically rose up and ate NASA for lunch.
[00:32:27.648 --> 00:32:29.550]  And everything that NASA's been doing.
[00:32:30.347 --> 00:32:37.753]  has been on some kind of bizarre Nazi ritual Thule, you know, Thule Society calendar.
[00:32:37.953 --> 00:32:45.780]  But you talk about, and then even the maps, the official ball caps, the patches, you know, then fit into all this.
[00:32:46.300 --> 00:32:51.745]  There's symbology, the patches are designed to reflect these philosophies.
[00:32:52.005 --> 00:32:54.347]  Now what was interesting is you had three groups.
[00:32:55.003 --> 00:32:55.883]  We've discovered.
[00:32:55.903 --> 00:32:56.463]  That's the key.
[00:32:56.483 --> 00:32:58.044]  You've got this Alistair Crowley group.
[00:32:58.084 --> 00:33:00.444]  I mean, this is, this is, this is, this is admitted, folks.
[00:33:00.484 --> 00:33:00.964]  Go through it.
[00:33:01.724 --> 00:33:07.506]  You have three groups that ultimately were vying for power in the creation of NASA when Eisenhower did it in 1958.
[00:33:08.706 --> 00:33:13.527]  You had the Nazis, who of course were the big, you know, 800-pound gorilla.
[00:33:14.167 --> 00:33:15.227]  You had the Masons.
[00:33:16.047 --> 00:33:23.589]  I mean, the Masons are kind of the good guys in this scenario, because James Webb, who was a 33rd degree Mason,
[00:33:24.201 --> 00:33:35.810]  Basically, he tried to set up NASA to do amazingly important things to uplift education, to uplift technology, to uplift blacks in the South.
[00:33:36.350 --> 00:33:49.400]  I mean, there's a huge swath of democratization that goes on in the United States by means of web using NASA and NASA as a tool to help Kennedy, you know, create a social renaissance.
[00:33:49.830 --> 00:33:50.090]  Thank you.
[00:34:06.781 --> 00:34:12.425]  Which is the Crowley Group, which was based out of JPL, the Jet Propulsion Laboratory.
[00:34:12.725 --> 00:34:17.429]  How many times have you heard, over the last 30-40 years, Alex, news stories?
[00:34:17.589 --> 00:34:24.394]  JPL, the laboratory in Pasadena, California, which is a laboratory basically under Caltech.
[00:34:25.034 --> 00:34:30.298]  So you had these three power bases, the Nazis, the Masons, and the Magicians.
[00:34:30.839 --> 00:34:33.921]  And Dark Mission goes through how they abide for power,
[00:34:34.574 --> 00:34:36.915]  For each of their overlapping reasons.
[00:34:37.835 --> 00:34:52.538]  And how the program, the space program that we all have seen, is the result of the inside feudal wars between these three groups inside NASA who only have agreed on one thing, Alex.
[00:34:53.278 --> 00:34:56.579]  And that is that we should not ever get to see what's really out there.
[00:34:56.819 --> 00:34:57.319]  Exactly!
[00:34:58.759 --> 00:35:00.982]  And Richard C. Hoogland, that's the nature of the New World Order.
[00:35:01.222 --> 00:35:15.917]  You're looking at one big pyramid, and as you know, when you pull back, it's hundreds of big pyramids that come together in that compartmentalization, and that's all it is, is these sun cults, snake cults, devil cults, sex cults,
[00:35:16.557 --> 00:35:19.560]  They run every major agency, and there are wars.
[00:35:20.020 --> 00:35:28.567]  They fight amongst themselves, but they always keep the dumb cattle in the dark, and they're all into the occult, and that's why at certain levels they get along.
[00:35:28.947 --> 00:35:29.988]  They recruit each other.
[00:35:30.008 --> 00:35:34.572]  The super-globalists you'll find will be a member of dozens of these groups.
[00:35:35.352 --> 00:35:36.413]  That is your Illuminati.
[00:35:36.433 --> 00:35:37.975]  It's the Babylon mystery religions.
[00:35:38.695 --> 00:35:39.795]  Your book has the evidence.
[00:35:39.815 --> 00:35:46.837]  Again, separately in my own research, folks, I've seen, as I can tell you, it's accurate, the parts that we're getting into now.
[00:35:47.177 --> 00:35:51.058]  I'm not saying the other stuff isn't accurate, I just am not knowledgeable about some of the stuff in the book.
[00:35:51.538 --> 00:35:53.199]  Let's talk about the magicians first.
[00:35:53.219 --> 00:36:04.881]  I mean, you've got chapter after chapter on it, but that's the part that most people, they know about the Masons, they know about the Nazis, and again, all following basically the same esoteric stuff, but a little bit different.
[00:36:05.302 --> 00:36:06.622]  Let's talk about the magicians.
[00:36:07.984 --> 00:36:24.638]  Well, the magicians go back, you know, this is my name for what's in NASA, this group, go back to Aleister Crowley, who was, you know, the self-proclaimed, you know, the beast, 666, et cetera, et cetera, the vilest man in the world, all that.
[00:36:25.839 --> 00:36:31.764]  He was trying to practice literal magic in the 20th, 19th and 20th centuries.
[00:36:33.889 --> 00:36:46.918]  Using mind over matter, using rituals, using esoteric rites, using, you know, sex magic, using anything he could get his hands on to basically try to change the world around him, to bend it to his will.
[00:36:47.439 --> 00:36:48.800]  He was one of those super guys.
[00:36:48.840 --> 00:36:51.742]  He was in or the head of a whole bunch of groups.
[00:36:52.322 --> 00:36:54.363]  Well, he was in and out of a lot of different groups.
[00:36:54.403 --> 00:36:56.825]  He stole freely, mixed it all together.
[00:36:56.865 --> 00:37:02.169]  There's even now a new book out which claims that he was part of the British intelligence community.
[00:37:02.836 --> 00:37:05.437]  Fighting both in World War I and World War II.
[00:37:06.797 --> 00:37:15.320]  Be that as it may, he found a young neophyte in California named Jack Parsons, who was a genius.
[00:37:15.761 --> 00:37:22.603]  He was an experimenter back in the 20s and 30s, when every kid wanted to build rockets and blow things up.
[00:37:23.343 --> 00:37:31.046]  And Jack eventually went on to help create, with a guy named Molinas, and a guy named Von Karman, who was at Caltech,
[00:37:31.638 --> 00:37:36.199]  What we now call today the Jet Propulsion Laboratory, JPL.
[00:37:37.240 --> 00:37:42.961]  In the in crowd, JPL is actually known by another acronym, Jack Parsons Lab.
[00:37:43.581 --> 00:37:54.624]  Because what Jack Parsons did, this young kid, again another prodigal, he was able to create a solid fuel mixture that literally launched the space program.
[00:37:55.385 --> 00:38:00.366]  It wasn't Goddard, it wasn't the Germans, it was Jack Parsons.
[00:38:00.973 --> 00:38:15.689]  Who in his day job was this brilliant chemist creating amazing rocket fuel mixtures that ultimately were powerful and stable that became the baseline for JPL in various rocket series.
[00:38:15.809 --> 00:38:21.956]  And then meanwhile in mainline history about Crowley and all these people and Parsons and of course the founder of Scientology,
[00:38:23.217 --> 00:38:31.901]  Parsons is involved in sex cult rituals to channel entities to tell him, I don't know if you know about this, you probably do, to tell him how to make all these things.
[00:38:31.961 --> 00:38:33.501]  I mean, I'm not saying it's real, folks.
[00:38:33.741 --> 00:38:34.842]  The point is, they believe it.
[00:38:35.422 --> 00:38:36.042]  Well, no, wait, wait.
[00:38:36.542 --> 00:38:40.824]  What Parsons did, you know, in his day job, was separate from what he did with Crowley.
[00:38:41.484 --> 00:38:48.947]  He became part of the Philema cult, the OOTO, which is Crowley's organization in Southern California.
[00:38:49.696 --> 00:38:51.997]  He ultimately wound up leading it.
[00:38:52.097 --> 00:39:03.600]  He became the head of it in Southern California, simultaneous with working on the foundations of rocket technology, which would bootstrap NASA into space.
[00:39:03.700 --> 00:39:07.321]  Now, how does the founder of Scientology tie in?
[00:39:07.501 --> 00:39:16.123]  Ed, what's his name, L. Ron Hubbard, became also a member of the Malema Group there in Pasadena with Hubbard.
[00:39:16.698 --> 00:39:24.123]  and he and and and uh... well i'm sorry he he impartial and then they kind of swap wives and there was i mean it's a huge
[00:39:24.927 --> 00:39:34.252]  Really interesting soap opera, an incredible soap opera that no one knows underlying the whole Western contingent of what is now today NASA, the Jet Propulsion Laboratory.
[00:39:34.452 --> 00:39:53.202]  Yeah, we have this gleaming white image of, you know, handsome go-get-em America, you know, perfect people who just are totally mom and apple pie, and meanwhile it's a bunch of Nazis, a bunch of lunatic 33rd degree masons, and a bunch of psycho... Wait, wait, wait, Alex, Alex, the 33rd degree masons founded the United States.
[00:39:54.375 --> 00:39:55.255]  I'm fully aware of that.
[00:39:55.295 --> 00:39:58.857]  You have to separate the Masons from the other two groups.
[00:40:00.458 --> 00:40:01.418]  You know as well as I do.
[00:40:01.458 --> 00:40:02.419]  I mean, let's be clear.
[00:40:02.839 --> 00:40:04.620]  I know that a lot of the founders were Masons.
[00:40:04.980 --> 00:40:17.166]  They also then wrote about how they didn't like that their Masonry was being taken over by... Masonry in the 1800s was taken over by a guy who created the Ku Klux Klan, whose name was... Albert Pike.
[00:40:17.426 --> 00:40:21.008]  So I want to be clear that the Masons today... The Bourne Masonry.
[00:40:21.068 --> 00:40:23.429]  The ordinary Masons today haven't a clue.
[00:40:23.993 --> 00:40:25.214]  We're talking about the in-crowd.
[00:40:25.234 --> 00:40:27.275]  I mean, I have some very good friends that are Masons.
[00:40:27.295 --> 00:40:29.176]  Yeah, sure, the porch Masons are nice guys.
[00:40:29.236 --> 00:40:30.898]  Enjoying it, because George Washington was in it.
[00:40:31.318 --> 00:40:34.340]  And that's my point with any intelligence agent.
[00:40:34.460 --> 00:40:37.222]  Remember, remember, the lie is different at every level.
[00:40:37.302 --> 00:40:38.663]  Yes, so I'm sorry.
[00:40:38.783 --> 00:40:40.123]  I'm going to make that as a bumper sticker.
[00:40:40.184 --> 00:40:41.504]  That has got to be a bumper sticker.
[00:40:42.105 --> 00:40:45.487]  Because that is such a key to figuring all this out.
[00:40:45.967 --> 00:40:48.409]  Because each level, Alex, as you and I know,
[00:40:49.025 --> 00:40:54.931]  is told just enough to keep them going in the same direction, but they're not told the big story.
[00:40:55.151 --> 00:40:58.755]  Exactly, so we're not here saying all nations are bad, I'm saying at the top.
[00:40:58.775 --> 00:41:01.798]  No, but they think they're told the full truth.
[00:41:01.858 --> 00:41:03.981]  That's the way to control the crowd.
[00:41:04.021 --> 00:41:04.821]  Well, here's an example.
[00:41:04.942 --> 00:41:09.346]  Every major Masonic lodge, of both arms of it, they
[00:41:10.367 --> 00:41:12.188]  You know, the Grand Orient and the Scottish Rite.
[00:41:12.228 --> 00:41:14.270]  They have pictures of Albert Pike in every building.
[00:41:15.030 --> 00:41:16.612]  And they have statues of him in D.C.
[00:41:16.672 --> 00:41:17.692]  right by the Supreme Court.
[00:41:18.273 --> 00:41:24.417]  But meanwhile, do they read his book saying he's possessed by Lucifer and that Jesus isn't God?
[00:41:24.517 --> 00:41:27.399]  I mean, do they read Manly P. Hall saying they worship?
[00:41:27.459 --> 00:41:28.740]  I mean, these are the head Masons.
[00:41:29.281 --> 00:41:37.567]  And then a Mason will argue with you and say it's not Lucifer, when their own Grand Supreme Masters are saying, yes, I am possessed by Lucifer, sweet Lucifer.
[00:41:39.480 --> 00:41:47.745]  Anyway, we both agree that the Masonic, you know, the ancient tradition were the good guys, and we're trying to enlighten humankind.
[00:41:47.805 --> 00:41:51.848]  That's why the Founders were doing this incredible experiment called the United States.
[00:41:52.248 --> 00:41:58.512]  And ever since this country was formed, we've had group after group and, you know, conspiracy after conspiracy.
[00:41:58.552 --> 00:42:00.253]  Trying to get control of that engine!
[00:42:00.793 --> 00:42:06.157]  To tear it down, to take control, to divert it from whatever its historical destiny.
[00:42:06.917 --> 00:42:08.600]  Was and is supposed to be.
[00:42:08.660 --> 00:42:09.522]  Remember Lincoln?
[00:42:09.982 --> 00:42:12.166]  The last best hope of mankind.
[00:42:12.246 --> 00:42:13.428]  I still believe that Alex.
[00:42:13.869 --> 00:42:17.856]  That's why it's important to return it to its original path.
[00:42:18.497 --> 00:42:18.897]  Critical.
[00:42:19.358 --> 00:42:20.761]  If we're going to survive what's coming.
[00:42:22.165 --> 00:42:31.332]  Alright, we've got a break, but I want to talk behind the scenes for PrisonPlanet.tv viewers, also internet listeners who are listening to the InfoWars.com or PrisonPlanet.com streams.
[00:42:31.372 --> 00:42:33.014]  You'll be able to hear this 3 minutes behind the scenes.
[00:42:33.674 --> 00:42:48.105]  I've got to have Richard T. Hoagland up for 3-4 hours if he'll do it in the next month or so, because it's clear we've got about an hour and 5 minutes left, or less than an hour, it's about 40 minutes left, and there's just millions of questions I want to ask, points I want to bring up.
[00:42:48.826 --> 00:42:52.125]  Let's get into what's happening right now at NASA when we get back.
[00:42:53.712 --> 00:42:57.495]  Okay, I'm going to go ahead and go back to Richard C. Hoagland.
[00:42:58.156 --> 00:43:12.928]  Again, we'll come back and get into what's happening with the attempted murders and NASA seeming like it's totally dysfunctional, everything you warned about 15 years ago that nobody believed, and now you've been proven to be quite a prophet on that count.
[00:43:13.709 --> 00:43:20.855]  But just going back to these three cults, I got from what you said that the Nazis dominate that.
[00:43:21.335 --> 00:43:24.519]  See, this is an interesting question, which I don't have an answer to, because they've gotten much more sophisticated.
[00:43:38.553 --> 00:43:42.055]  Has just written a new book called The Fourth Reich or Rise of the Fourth Reich or whatever.
[00:43:42.075 --> 00:43:43.315]  Yeah, I'm gonna give him one.
[00:43:43.836 --> 00:43:46.097]  The modern Fourth Reich doesn't advertise.
[00:43:46.117 --> 00:43:47.357]  They don't wear the armbands.
[00:43:47.438 --> 00:43:49.118]  They don't go to the meetings.
[00:43:49.198 --> 00:43:52.860]  So there's no way to know, Alex, that's what's so insidious.
[00:43:53.901 --> 00:43:59.083]  The old guard, the old guys, we basically knew, okay, we brought the Nazis over and we want to follow what they're doing and all that.
[00:43:59.884 --> 00:44:04.126]  The new guys, we don't know who they are and how deeply they're involved.
[00:44:05.462 --> 00:44:15.567]  The only thing we can do is to look at what they're doing, the facts of what they're doing, and the facts are that what they're doing is not consistent with what they claim they're doing.
[00:44:15.587 --> 00:44:23.591]  In other words, there is a NASA program now called the Vision for Space Exploration, which is supposed to take us back to the moon and on to Mars.
[00:44:24.531 --> 00:44:26.452]  It is a catastrophe.
[00:44:26.833 --> 00:44:27.693]  It is a tragedy.
[00:44:27.853 --> 00:44:29.954]  It is a slow-moving train wreck.
[00:44:30.514 --> 00:44:33.616]  It is never going to accomplish what it claims to be doing.
[00:44:34.699 --> 00:44:41.923]  It's almost as if it's been sabotaged step-by-step-by-step along the way by the dishonest guys.
[00:44:42.003 --> 00:44:46.185]  We'll make them think, you know, we'll call them the Nazis.
[00:44:47.085 --> 00:44:54.550]  Whereas the most of the agency is honest and still believes in the original principles and what they thought they were doing.
[00:44:54.570 --> 00:44:58.033]  But they're so compartmentalized, they don't know exactly.
[00:44:58.353 --> 00:45:04.297]  And I would imagine most of the energy is used, not for actual exploration, but to just compartmentalize.
[00:45:05.078 --> 00:45:09.741]  Well, it's basically used to keep the doors open, the lights on, in ten NASA centers around the country.
[00:45:09.761 --> 00:45:11.882]  There's 19,000, 18,000 people working for NASA now, and those salaries
[00:45:16.041 --> 00:45:17.182]  Take off a lot of change.
[00:45:17.762 --> 00:45:23.546]  And when your budget is around 16 bills, 17 bills a year, that's nothing in today's budget.
[00:45:23.626 --> 00:45:26.128]  How can you spend that in one week in Iraq?
[00:45:26.809 --> 00:45:35.054]  Richard, we're about to come back live for the main audience, but just behind the scenes now, can I get you up for like two hours in the next few weeks?
[00:45:35.535 --> 00:45:35.755]  Sure.
[00:45:36.115 --> 00:45:40.919]  Okay, because this is really interesting and I want to do a part two before people forget about the part one.
[00:45:41.259 --> 00:45:43.861]  Okay, we're going live right now and I want to kind of
[00:45:44.421 --> 00:45:52.388]  In the next 40 minutes I've got, will you just hit as many topics and as many points as we can and try to get some short answers because you've got so much knowledge.
[00:45:52.408 --> 00:45:56.992]  Here we go.
[00:46:01.536 --> 00:46:03.797]  Richard C. Hoagland is our guest.
[00:46:03.838 --> 00:46:08.441]  The book, Dark Mission, The Secret History of NASA.
[00:46:08.541 --> 00:46:10.363]  And we've hardly covered any of what's in it.
[00:46:10.383 --> 00:46:11.844]  I'd like to have him back up in the near future.
[00:46:13.254 --> 00:46:14.855]  We've got him into the middle of the next hour.
[00:46:14.875 --> 00:46:22.980]  Then we have that NFL player who walked across the country to raise money for 9-11 first responders who've been forgotten.
[00:46:23.600 --> 00:46:28.003]  Part of focusing in on the release of Truth Rising coming up on July 4th.
[00:46:28.343 --> 00:46:30.424]  My new film gets into that and other subjects.
[00:46:31.525 --> 00:46:32.465]  Richard C. Hoagland.
[00:46:33.486 --> 00:46:34.306]  Skipping ahead now.
[00:46:34.346 --> 00:46:35.627]  We looked at the founding of it.
[00:46:35.747 --> 00:46:38.169]  Weird secret agency controlled by the president.
[00:46:39.349 --> 00:46:52.994]  Then to today, and I know people from Houston, I know a Hollywood producer who's very serious, doesn't make stuff up, you know, saying that there were magnet programs run by NASA and that he was really in a mind control program with NASA.
[00:46:53.134 --> 00:46:54.715]  I looked that up, turns out they did it.
[00:46:54.935 --> 00:46:57.496]  They are associated with that over and over again.
[00:46:58.256 --> 00:46:59.237]  What about mind control?
[00:46:59.257 --> 00:47:02.038]  I mean, did you ever, do you have any info on that?
[00:47:02.642 --> 00:47:03.683]  Well, let me back up.
[00:47:03.723 --> 00:47:08.486]  You've given me a statement that I want to disagree with, gently, politely, with all due respect.
[00:47:08.506 --> 00:47:09.607]  That's fine, go ahead.
[00:47:10.067 --> 00:47:11.668]  You said NASA controlled by the President.
[00:47:12.029 --> 00:47:13.390]  That's the big lie.
[00:47:14.170 --> 00:47:14.650]  It wasn't.
[00:47:15.291 --> 00:47:20.995]  From the get-go, from the beginning, when Eisenhower created this agency, he thought he was in charge.
[00:47:21.735 --> 00:47:26.199]  And then, by the time his term was ended, his second term, remember his famous speech?
[00:47:26.219 --> 00:47:26.999]  Well, that's what I mean.
[00:47:27.039 --> 00:47:29.461]  It's a stand-alone agency outside government.
[00:47:30.325 --> 00:47:37.070]  Well, it's part of a series of agencies that are controlled from some quarter.
[00:47:37.350 --> 00:47:38.891]  It's the shadow government, sure, sure.
[00:47:39.431 --> 00:47:42.053]  Well, but is it really even the shadow government?
[00:47:42.954 --> 00:47:44.195]  I'm beginning to suspect it.
[00:47:44.235 --> 00:47:45.336]  Do you know Joseph Farrell?
[00:47:46.356 --> 00:47:46.616]  Yes.
[00:47:47.777 --> 00:47:48.418]  Have you had him on?
[00:47:49.018 --> 00:47:49.899]  No, I don't believe so.
[00:47:50.099 --> 00:47:51.680]  You need to have Joseph Farrell on.
[00:47:52.200 --> 00:47:55.202]  Joseph is working with me on the sequel to Dark Mission.
[00:47:55.823 --> 00:47:57.204]  Joseph is a genius.
[00:47:57.244 --> 00:47:58.725]  He's a PhD Oxford.
[00:47:59.235 --> 00:47:59.976]  He is a genius.
[00:48:00.016 --> 00:48:25.852]  What he has done is he has, with documents and meticulous reasoning and research, and doing it the old-fashioned way, you know, science, actually documenting what you think you found, he has discovered the most extraordinary antecedents to the genesis of NASA in the end of the Third Reich in Germany, and a series of black projects that were brought here
[00:48:26.548 --> 00:48:31.770]  And seem to form the nucleus of a secret, hidden space program.
[00:48:32.490 --> 00:48:33.911]  You see... Oh, absolutely!
[00:48:33.971 --> 00:48:37.052]  I mean, we know NASA is the cover for the real program.
[00:48:37.252 --> 00:48:40.954]  NASA is not... is a false front, Western Town, as I say over and over and over again.
[00:48:41.214 --> 00:48:44.215]  And part of the reason why there is such disarray now
[00:48:44.949 --> 00:48:50.674]  Well, they can't seem to get their act together while we're building this thing in orbit that's going nowhere and sucking billions of dollars.
[00:48:50.714 --> 00:48:52.495]  They want to suppress technology.
[00:48:52.535 --> 00:48:55.117]  They don't want the public to know what's really been developed.
[00:48:55.157 --> 00:48:55.778]  And here's an example.
[00:48:55.798 --> 00:48:59.280]  Raymond Teague, NASA engineer, Air Force intelligence before that.
[00:48:59.300 --> 00:49:02.223]  You know, he's on the Apollo program, you know, in mission controls.
[00:49:02.243 --> 00:49:03.003]  You see pictures of him.
[00:49:03.424 --> 00:49:04.144]  Good friend of mine.
[00:49:04.765 --> 00:49:09.048]  He's come in and he said, look, you know, he was working with RCA on the cameras on the moon.
[00:49:09.409 --> 00:49:12.071]  He was working on RCA with the stuff in Skylab after that.
[00:49:12.631 --> 00:49:18.418]  And he said, he believes they went to the moon, but a lot of it was even covered up from them, what they were really doing.
[00:49:18.438 --> 00:49:22.383]  And he said, the Van Allen radiation belt does fry the film.
[00:49:22.704 --> 00:49:25.067]  He saw canisters and capsules that were tested.
[00:49:25.407 --> 00:49:28.391]  He said they were on the moon, but that they faked the photos.
[00:49:28.631 --> 00:49:29.793]  And he says he doesn't know why.
[00:49:29.833 --> 00:49:30.454]  What do you say to that?
[00:49:31.192 --> 00:49:32.332]  Well, I think he's wrong.
[00:49:33.013 --> 00:49:40.095]  There is some film degradation, but they went through the belt so quickly and those canisters were put in lead for exactly that purpose.
[00:49:40.595 --> 00:49:42.375]  We've got stunning artifacts on the moon.
[00:49:42.395 --> 00:49:45.936]  I mean, you can't fake what we've got in these pictures that are NASA pictures.
[00:49:46.957 --> 00:49:49.417]  What's interesting is we've had some NASA sources ourselves.
[00:49:49.517 --> 00:49:53.999]  Ken Johnston is a key guy, who by the way is a 32nd degree mason.
[00:49:54.679 --> 00:49:57.920]  And it was his masonic tradition, you know, as one of the good guys,
[00:49:58.689 --> 00:50:13.904]  When he started asking his own questions of his own experience in NASA after he read The Monuments of Mars, my first book, he met me in Seattle and he gave me access to an incredible archive of NASA photography that he had been ordered to destroy in Houston
[00:50:14.392 --> 00:50:17.135]  And he had disobeyed orders and kept it for 30 years.
