[00:00:00.369 --> 00:00:04.051]  Alex Jones on the GCN Radio Network.
[00:27:48.194 --> 00:27:54.459]  This stuff is brought up, and iron, while a component of structural steel, this is not that.
[00:27:54.639 --> 00:27:57.061]  This is the byproduct of thermite.
[00:27:57.381 --> 00:28:03.165]  This is pure iron with elements of aluminum, sulfur, manganese, fluorine,
[00:28:03.707 --> 00:28:07.229]  And even 1,3-diphenylpropane, interesting, is found.
[00:28:07.650 --> 00:28:10.592]  Eric Schwartz of the EPA says they've never found that before.
[00:28:11.092 --> 00:28:22.539]  All of this is the key chemical signature of thermite, a high-tech incendiary which is used by the military to cut through steel like a hot knife through butter.
[00:28:22.599 --> 00:28:25.781]  And not just thermite, but thermate, the specific type.
[00:28:25.801 --> 00:28:29.524]  They don't just find the thermate residue, they're finding the thermite residue.
[00:28:30.436 --> 00:28:40.597]  And it's not just a thermite or thermate residue either, it is a very high-tech form of thermite, thermate, with nano-sized particles found in unignited chips.
[00:28:41.244 --> 00:28:44.106]  Red on one side, gray on the other in all of the dust samples.
[00:28:44.247 --> 00:28:44.787]  Unbelievable.
[00:28:45.307 --> 00:28:48.610]  So we're even finding part of the unignited explosive, the thermate.
[00:28:49.190 --> 00:29:04.923]  And then it turns out some of the people at NIST just so happen to be former NASA experts in thermate couplers, explosive bolts, for separating intercontinental ballistic missiles and large booster components in their second and third stages.
[00:29:05.483 --> 00:29:09.767]  Just so happens that there's just a few experts in the world on thermate.
[00:29:11.459 --> 00:29:15.140]  They just so happen to be the people over at NIST.
[00:29:15.240 --> 00:29:16.000]  That's interesting.
[00:29:16.820 --> 00:29:21.722]  It's very interesting, and you can read more about that on our website, on the technical articles.
[00:29:21.802 --> 00:29:24.082]  Kevin Ryan has done some incredible work.
[00:29:24.862 --> 00:29:35.445]  Our website is ae911truth.org, and people can also purchase the DVD to get more information.
[00:29:35.465 --> 00:29:38.025]  We have a two-hour DVD on all of this evidence.
[00:29:38.105 --> 00:29:40.286]  It's all laid out for you.
[00:29:41.565 --> 00:29:42.045]  Absolutely.
[00:29:42.065 --> 00:29:43.686]  Tell folks they can get that there at the site.
[00:29:45.447 --> 00:29:53.771]  Yeah, right on the left side of the website, AE911Truth.org, the evidence is listed for you on the right side.
[00:29:54.111 --> 00:29:57.052]  There's plenty of very important articles.
[00:29:57.112 --> 00:30:05.196]  The PowerPoint presentation that I have used in 80 different presentations around the country and in Europe and Canada
[00:30:07.795 --> 00:30:16.837]  What is the establishment trying to do to stop you or discredit you?
[00:30:16.897 --> 00:30:23.778]  I know that Mythbusters is doing a two-hour special, National Geographic is doing a special.
[00:30:23.818 --> 00:30:29.540]  They wanted me to be part of it, but it's a guy that does hit pieces on Patriot groups and on JFK researchers.
[00:30:30.925 --> 00:30:33.287]  And so there's no point in being interviewed so he can edit it all together.
[00:30:33.707 --> 00:30:36.088]  I believe you were interviewed by these guys, though.
[00:30:36.969 --> 00:30:40.311]  So there's a whole group, and that's just two of the shows.
[00:30:40.331 --> 00:30:44.013]  There's several other big shows being produced trying to counter us right now.
[00:30:45.574 --> 00:30:59.963]  Yes, and I'm not so sure that the gentleman that interviewed me for the National Geographic two-hour TV 9-11 documentary is producing a hit piece on this particular subject.
[00:31:00.433 --> 00:31:06.097]  He has seemed fairly well-convinced to me and gave us every benefit of the doubt.
[00:31:06.558 --> 00:31:08.119]  It was a very friendly interview.
[00:31:08.139 --> 00:31:08.839]  I was surprised.
[00:31:09.380 --> 00:31:10.681]  Have you seen the films he's made?
[00:31:11.521 --> 00:31:11.681]  No.
[00:31:12.262 --> 00:31:12.702]  Get ready.
[00:31:13.503 --> 00:31:14.363]  Okay.
[00:31:14.424 --> 00:31:17.286]  Time and time again, people will say, oh, the BBC was so nice.
[00:31:17.346 --> 00:31:20.428]  And I go, no, I've seen... I go look at what they've made in the past.
[00:31:20.488 --> 00:31:24.771]  He is a specialist in going after alternative media.
[00:31:25.432 --> 00:31:28.094]  And I did a whole show about his inside the
[00:31:30.615 --> 00:31:37.006]  you know limo special that aired on Discovery Channel a few weeks ago and just the whole thing is a
[00:31:39.437 --> 00:31:41.958]  We'll cross our fingers and hope for the best, I guess, huh?
[00:32:09.548 --> 00:32:11.009]  Absolutely, we will do that.
[00:32:11.449 --> 00:32:13.470]  Incidentally, for some reason my computer's gone dead.
[00:32:13.530 --> 00:32:14.771]  It had the collars on it.
[00:32:17.012 --> 00:32:18.393]  The network, I am that to the guys.
[00:32:18.413 --> 00:32:20.253]  Will you guys bring me a sheet with those collars on it?
[00:32:20.274 --> 00:32:23.935]  Because I want to go to those here in just the next few minutes.
[00:32:26.471 --> 00:32:39.798]  Richard, there's so many other facets to this, other points in your research that you haven't made that we need to go over, and then secondarily, second, I would like you to speak about the explosive growth of your organization.
[00:32:41.339 --> 00:32:41.999]  Oh, you bet.
[00:32:42.659 --> 00:32:52.605]  Well, relative to Building 7, let's complete this, because it's not just the fact that we have free fall, which is only one of the many smoking guns.
[00:32:53.125 --> 00:32:54.265]  This building, 47 stories high,
[00:32:55.826 --> 00:33:04.649]  It begins immediately its descent, and it falls symmetrically and smoothly, nearly straight down, and almost into its own footprint.
[00:33:05.089 --> 00:33:21.694]  This is a feat that only a handful of companies in the world can even accomplish, and it is in itself proof of controlled demolition, because in order to bring a building straight down, you have to take out, in this case, the 23 core columns within a tenth of a second of each other,
[00:33:22.496 --> 00:33:24.597]  Synchronistically timed, floor-by-floor.
[00:33:24.878 --> 00:33:27.579]  That's the only way you can get it to come down straight.
[00:33:27.879 --> 00:33:31.501]  So that is a second smoking gun, if you will.
[00:33:32.121 --> 00:33:43.488]  Indeed, also, we have throughout the whole Ground Zero, all of this dust that blanketed lower Manhattan has these tiny iron-rich microspheres smaller than a human hair, most of them.
[00:33:44.448 --> 00:33:47.690]  This could only have come from an aluminothermic event.
[00:33:48.021 --> 00:33:51.562]  Because they have the chemical ingredients, once again, of ignited thermite.
[00:33:51.882 --> 00:34:07.866]  So, there's no way that all of this dust, 20 minutes away in the Brooklyn Bridge, up on top of the skyscrapers, two, three blocks away, and filling all of the apartments, could have these billions of these spheres.
[00:34:07.906 --> 00:34:09.306]  Well, how do they get to be spheres?
[00:34:09.346 --> 00:34:12.007]  Well, liquid does this.
[00:34:12.367 --> 00:34:14.587]  Its surface tension forms itself into a sphere.
[00:34:15.327 --> 00:34:17.168]  So, in an explosive event,
[00:34:17.950 --> 00:34:18.431]  I don't
[00:34:40.008 --> 00:34:42.049]  These explanations make no sense.
[00:34:42.109 --> 00:34:47.933]  And they can't magically have the spheres be made up of the exact compounds in explosive thermite.
[00:34:48.873 --> 00:34:59.220]  That's right, and attached to the unignited chips as found in the dust by Dr. Stephen Jones, and documented in peer-reviewed journals like the
[00:34:59.781 --> 00:35:02.764]  The Open Civil Engineering Journal and others.
[00:35:03.965 --> 00:35:05.306]  Now, what effect is this having?
[00:35:05.326 --> 00:35:10.371]  I mean, you've gone, in a year and a half, upwards of 500 plus members.
[00:35:10.411 --> 00:35:14.695]  I interviewed you in the film Truth Rising, and then you had a couple hundred members.
[00:35:15.475 --> 00:35:22.062]  Now you've got over 550 members, and as these are published in peer-reviewed journals, that's not you guys writing this.
[00:35:23.877 --> 00:35:30.813]  Being seconded by prestigious journal after journal, it seems like the establishment's got a big problem here, Richard.
[00:35:33.122 --> 00:35:44.072]  Yeah, I hope so, but if we're having the dialogue in a vacuum and it's not being published by the mainstream media, then is it happening?
[00:35:44.552 --> 00:35:49.156]  If a tree falls and no one's there to hear it in the forest, does it make a sound?
[00:35:49.196 --> 00:35:54.040]  Well, in the past it didn't, but now the alternative media is annihilating the mainstream media.
[00:35:54.080 --> 00:35:58.304]  That's why they're moving in with Internet, too, in an attempt to shut down the original free web.
[00:35:59.625 --> 00:36:01.266]  Yeah, and it's a huge problem.
[00:36:01.366 --> 00:36:03.508]  I mean, we have to become our own media.
[00:36:03.588 --> 00:36:12.074]  I know you're the major proponent of this, and we have to get this evidence out to the American people, and it's going mostly, I think, word of mouth.
[00:36:12.735 --> 00:36:27.306]  In addition to alternative media, internet, it is happening, and there is pressure from underneath, if you will, on the mainstream media, so every once in a while they have to respond to it, or they look like they're not doing their job, and they don't want to have that appearance, do they?
[00:36:27.714 --> 00:36:40.401]  So we get National Geographic to respond, whether it's a hit piece or not, BBC doing their hit piece, and people get to see Building 7 coming down for the first time, because it's never been played after the first day on 9-11.
[00:36:42.101 --> 00:36:42.682]  Absolutely.
[00:36:42.922 --> 00:36:46.644]  Talk about your organization itself that you founded, and then I want to go to phone calls.
[00:36:48.785 --> 00:36:49.045]  Yes.
[00:36:49.745 --> 00:36:54.408]  We are a non-partisan group of 560, I think, now.
[00:36:57.345 --> 00:37:23.739]  They're architects and engineers, licensed and or degreed and we are looking at all of these pieces of evidence and virtually every architect or engineer we show this information to ends up agreeing with us if they're willing to sit down with it for a half an hour or an hour or in some cases two hours is the length we've been speaking.
[00:37:24.266 --> 00:37:27.587]  They go, my God, why didn't I know about this?
[00:37:27.828 --> 00:37:34.490]  Well, there's lots of reasons for that, but do you agree with the technical, science-based, forensic evidence?
[00:37:34.991 --> 00:37:36.051]  Yeah, I have to!
[00:37:37.051 --> 00:37:52.158]  Then let's get an investigation to find out what the other issues are, such as, obviously, if this is thermite, and Al-Qaeda didn't have access to these buildings, Al-Qaeda didn't have access to this high-tech
[00:37:54.795 --> 00:38:04.620]  We're talking about some kind of other operation, and the architects and engineers don't speculate too much beyond that, because it's beyond our technical credibility.
[00:38:04.940 --> 00:38:18.407]  But what we can do is provide the tools for your listeners to take the AE911Truth.org link, with the power of our 560 technical professionals, to their friends, to the media, to their congressmen,
[00:38:18.920 --> 00:38:19.561]  I don't know.
[00:38:41.738 --> 00:38:44.039]  Folks that go out and just say, hey, this is pretty wild stuff.
[00:38:44.079 --> 00:38:45.359]  Tell me what you think about it.
[00:38:45.859 --> 00:38:50.281]  And then you depoliticize it and then they watch it or tell them, hey, this is controversial.
[00:38:50.321 --> 00:38:52.801]  This is, you know, suppressed stuff.
[00:38:53.401 --> 00:38:56.502]  So that they'll watch it and then you unlock a mind and that is priceless.
[00:38:57.523 --> 00:38:59.463]  I want to go to some phone calls for you now.
[00:39:00.143 --> 00:39:02.064]  Let's talk to Warren in California.
[00:39:02.124 --> 00:39:06.885]  Warren, you're on the air with the founder of Architects and Engineers for 911 Truth, Richard Gage.
[00:39:07.406 --> 00:39:07.686]  Hello.
[00:39:08.046 --> 00:39:08.346]  Yes, sir.
[00:39:08.871 --> 00:39:11.672]  Yeah, I want to make this short but it's going to take a while.
[00:39:12.032 --> 00:39:33.301]  I went on Google and I put in Global Hawk and I went down to images and there's about 20 or 12 pages of thumbnail pictures of various pictures of the Global Hawk and about a third of the picture down it says Global Hawk hits Pentagon and it has an explosion and there's a website under it.
[00:39:33.661 --> 00:39:37.183]  Then on the next page there's one
[00:39:37.642 --> 00:39:42.685]  Global Hawk, Pentagon, 9-11, and it's painted an American Airlines paint scheme.
[00:39:43.866 --> 00:39:53.352]  Well, there's a lot of debate about what happened at the Pentagon, and the way they covered up the videos, the way the witnesses said they smelled cordite, or basically gunpowder, explosives.
[00:39:55.733 --> 00:40:01.436]  That is a major issue there, and we've covered it, and we've got April Gallup coming on next week, who's filed suit over this.
[00:40:01.456 --> 00:40:05.479]  She was in the Pentagon, and didn't see any plane, didn't see any wreckage, and they told her to shut up about it.
[00:40:06.986 --> 00:40:17.713]  But, you know, the stronger evidence really is the controlled demolition, and then separately the fact that our government, which is illegitimate, has staged terror attacks over and over again that are declassified and admitted.
[00:40:17.733 --> 00:40:26.119]  I mean, there are hundreds of examples where they admit they staged terror attacks on our troops, on our ships, or on other countries to blame it on their enemies.
[00:40:26.499 --> 00:40:29.821]  We have an illegitimate government that's doing this, a group of terrorists.
[00:40:30.382 --> 00:40:34.665]  And so I find that to be the strongest politically, to make people understand it, that, well, hey,
[00:40:36.039 --> 00:40:44.169]  If I'm a cop and I'm looking for a serial killer, and we find a murder that has the same M.O.
[00:40:44.670 --> 00:40:47.874]  of the other serial killings, then we go look at the usual suspect.
[00:40:48.014 --> 00:40:51.058]  These guys have done this over and over again, so that's why we do that.
[00:40:51.518 --> 00:40:53.301]  Richard Gage, your comments on the Pentagon?
[00:40:55.905 --> 00:40:58.928]  You're right, it is a little bit of a mess, Alex.
[00:40:59.268 --> 00:41:02.510]  There's clearly cover-up going on at the Pentagon.
[00:41:02.550 --> 00:41:08.374]  They had hundreds of cameras that would have told us what did or didn't hit the Pentagon.
[00:41:08.835 --> 00:41:14.759]  And they're not releasing them, only the unclear five frames.
[00:41:15.719 --> 00:41:16.640]  It's a joke.
[00:41:16.680 --> 00:41:24.786]  They came and took the FBI, after five or ten minutes, the cameras from the hotel and the gas station nearby.
[00:41:25.836 --> 00:41:43.513]  So, we have enough very hard evidence, as you mentioned, at the three worst structural failures in modern history, the high-rises, that have not been properly investigated, and then that have their own set of cover-ups to go with.
[00:41:43.753 --> 00:41:49.038]  And so, there's some controversy within the 9-11 Truth Movement about the Pentagon.
[00:41:49.784 --> 00:42:00.672]  So our particular organization focuses on the high-rises instead, where there is very little controversy about the mechanisms for how these buildings were taken down.
[00:42:00.752 --> 00:42:01.492]  All right, Warren.
[00:42:01.512 --> 00:42:02.253]  Thank you so much.
[00:42:02.313 --> 00:42:03.474]  Anything else from California?
[00:42:05.077 --> 00:42:05.818]  All right, he's gone.
[00:42:06.438 --> 00:42:07.699]  Let's talk, well we're going to go to break here.
[00:42:07.719 --> 00:42:13.264]  We're going to come back quickly to Randy, Ralph, we're going to go to Derek first, who says he's a structural engineer.
[00:42:13.304 --> 00:42:14.745]  I don't know if he agrees or disagrees.
[00:42:15.186 --> 00:42:16.547]  Michael, Leno and Kevin in mass.
[00:42:17.428 --> 00:42:23.953]  In the next hour we've got a bunch of land rights feudalism issues as we're all basically being driven off the land, micromanaged.
[00:42:24.213 --> 00:42:32.260]  The king has sent out swarms of agents to eat out our substance as the founders complained in 1776 when the Declaration of Independence signed July 4th.
[00:42:33.362 --> 00:42:34.986]  But I want to hold Richard Gage.
[00:42:35.027 --> 00:42:36.250]  Richard, I know you have a busy schedule.
[00:42:36.270 --> 00:42:37.814]  Can you stay five minutes to the next hour?
[00:42:37.994 --> 00:42:38.997]  Oh, you bet, Alex.
[00:42:39.198 --> 00:42:39.679]  Okay, good.
[00:42:40.060 --> 00:42:40.661]  And then we're going to get...
[00:42:42.130 --> 00:42:45.473]  The President of Property Rights, Congress of Missouri, Russell Wood on.
[00:42:46.114 --> 00:42:50.098]  They want you to have to register your premises to be able to hunt on your own land and pay fines and fees.
[00:42:50.138 --> 00:42:57.244]  And they say it's a privilege to hunt on your own land, separate from having to get all the little permission slips, the licenses from the king.
[00:42:57.805 --> 00:43:00.367]  Toxic heavy metals negatively impact our health.
[00:43:00.607 --> 00:43:05.572]  They're in the air we breathe, the water we drink, the food we eat, the products we use, and the objects we touch.
[00:43:05.632 --> 00:43:06.473]  We're good.
[00:43:35.555 --> 00:43:35.815]  I think so.
[00:43:57.594 --> 00:44:03.979]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[00:44:04.339 --> 00:44:06.320]  The enemy struck America on September 11th.
[00:44:06.981 --> 00:44:08.041]  But who is the enemy?
[00:44:08.542 --> 00:44:09.062]  Bin Laden.
[00:44:09.342 --> 00:44:10.223]  This is his ammo.
[00:44:10.243 --> 00:44:11.644]  We have to look to the Middle East.
[00:44:11.684 --> 00:44:13.365]  We have to look to Osama Bin Laden.
[00:44:13.705 --> 00:44:20.450]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[00:44:20.850 --> 00:44:21.291]  Some U.S.
[00:44:21.331 --> 00:44:26.975]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[00:44:27.655 --> 00:44:31.157]  I'm aware that some Israeli citizens have been detained.
[00:44:31.177 --> 00:44:41.422]  Bin Laden's connections to the CIA, the hijacker's ties to the FBI, the Saudi Arabian connection, the Israeli intelligence network, warnings and war games, the shadow government, and much, much more.
[00:44:41.642 --> 00:44:42.382]  Fabled enemies.
[00:44:42.862 --> 00:44:50.146]  Get the DVD at InfoWars.com or see it in super high quality along with hundreds of other titles at PrisonPlanet.tv.
[00:44:50.626 --> 00:44:53.988]  Either you are with us or you are with the terrorists.
[00:44:57.788 --> 00:45:00.771]  So you've finally decided you're going to stock up and store food.
[00:45:01.091 --> 00:45:03.214]  But why settle for bland, tasteless food?
[00:45:03.654 --> 00:45:04.735]  Why settle for less?
[00:45:05.095 --> 00:45:06.357]  There is an alternative.
[00:45:06.717 --> 00:45:08.199]  InternetGrocer.net.
[00:45:08.459 --> 00:45:11.602]  Enjoy the most delicious, storable food at amazing prices.
[00:45:11.942 --> 00:45:15.466]  Enjoy creamy, delicious, real cheddar cheese in a can.
[00:45:15.826 --> 00:45:18.668]  Indulge in real canned meats and real canned butter.
[00:45:18.928 --> 00:45:25.713]  Storable meals from InternetGrocer.net will bring such variety and flavor you won't be able to tell you're actually eating storable food.
[00:45:25.913 --> 00:45:27.974]  You can purchase by the can or by the case.
[00:45:28.254 --> 00:45:30.936]  Choose a variety pack or an entire year's worth of food.
[00:45:31.196 --> 00:45:36.360]  InternetGrocer.net has non-hybrid seeds that will produce delicious food for you and your family.
[00:45:36.620 --> 00:45:38.241]  Ensure your food supply for years.
[00:45:38.641 --> 00:45:41.323]  Find out just how delicious storable food can be.
[00:45:41.563 --> 00:45:41.783]  Call 903-356-6443.
[00:45:44.765 --> 00:45:47.508]  That's 903-356-6443.
[00:45:48.188 --> 00:45:49.009]  Open from 9 a.m.
[00:45:49.069 --> 00:45:49.729]  to 6 p.m.
[00:45:49.789 --> 00:45:50.770]  Central Standard Time.
[00:45:51.011 --> 00:45:54.053]  Or shop online at internet-grocer.net.
[00:45:54.293 --> 00:45:56.816]  Again, that's internet-grocer.net.
[00:46:04.742 --> 00:46:10.908]  I hope you'll go to prisonplanet.tv and download the disc, Truth Rising.
[00:46:13.524 --> 00:46:18.187]  The 9-11 Chronicles, because it's just an amazing 9-11 film.
[00:46:18.207 --> 00:46:19.207]  It has Richard Gage in it.
[00:46:19.227 --> 00:46:25.151]  Or you can buy it on hardcopy on DVD at Infowars.com or by calling 888-253-3139.
[00:46:26.672 --> 00:46:28.373]  You may know that it's an inside job.
[00:46:28.713 --> 00:46:30.774]  Your neighbors may have heard it is, but aren't convinced.
[00:46:31.315 --> 00:46:31.715]  Show them.
[00:46:31.995 --> 00:46:34.577]  Show them Terror Storm, a history of government-sponsored terrorism.
[00:46:35.237 --> 00:46:38.559]  Hi Alex, first I'd like to thank you and Richard for spreading and keeping the 9-11 movement strong so long.
[00:46:38.619 --> 00:46:41.121]  I know people are saying it's seven years or it's been a while.
[00:46:58.283 --> 00:47:03.526]  My question for Richard, I'd just like to know the name of some of your books, and I had a comment after that as well.
[00:47:04.446 --> 00:47:09.029]  Well, several videos have been made with Richard's work, and we have those available at InfoWars.com.
[00:47:09.349 --> 00:47:15.152]  Their latest film is 9-11 Blueprint for Truth, available at AE911Truth.org.
[00:47:15.192 --> 00:47:15.453]  Richard?
[00:47:16.493 --> 00:47:17.394]  Yes, that's true.
[00:47:17.414 --> 00:47:18.574]  It's all right there.
[00:47:18.614 --> 00:47:19.715]  We have not written a book yet.
[00:47:22.216 --> 00:47:35.902]  Well, related to that question, I was just wondering, because I purposely go to the library to ask for, you know, 9-11-related books, and, you know, so when the library's crowded, I'll get weird looks from the librarian, because I'll know the title of the book, and I'll say, well, what books do you have from Vincent Bugliosi?
[00:47:36.182 --> 00:47:38.503]  So then she has to say the title, and people look at me like, what?
[00:47:38.823 --> 00:47:40.364]  You know, President Bush wanted for murder?
[00:47:40.424 --> 00:47:48.768]  And, you know, I kind of pull a backwards trick for that, but, um, you know, I first off recommend going to see Endgame first for anybody that's getting into this, because
[00:47:49.255 --> 00:47:57.480]  If you watch it, it kind of starts and gives you, you know, it resets the history so you really know what happened before you go see all this natural stuff and you can see how it relates.
[00:47:57.520 --> 00:47:59.762]  Yeah, it gives it to you in a historical perspective.
[00:47:59.802 --> 00:48:00.242]  Got to jump.
[00:48:00.262 --> 00:48:00.922]  Good to hear from you.
[00:48:01.183 --> 00:48:04.164]  Let's go to a structural engineer, Derek from Texas.
[00:48:04.565 --> 00:48:05.826]  You're on the air with Richard Gage.
[00:48:05.866 --> 00:48:06.506]  Go ahead, Derek.
[00:48:07.246 --> 00:48:08.227]  Hi, Alex, Richard.
[00:48:08.267 --> 00:48:12.690]  Thank you so much for letting me on your air and thank you so much for all the great work that y'all do.
[00:48:13.986 --> 00:48:16.328]  As a correction, I'm not a structural engineer.
[00:48:16.848 --> 00:48:19.810]  That's usually a civil engineer's test.
[00:48:19.830 --> 00:48:24.313]  My screen just said that, so somebody said that or something close to that to the person answering the phone.
[00:48:25.133 --> 00:48:36.180]  Yeah, I'm a mechanical engineer, but I do, as a certified welding inspector, go to building and structures and review the structural engineer's recommendations and enforce the contract documents by making sure
[00:48:36.716 --> 00:48:37.597]  Uh, that they get followed.
[00:48:37.617 --> 00:48:45.021]  And I'll write a report that says that the structural engineer's recommendations are followed or not followed and make recommendations as to how they can be remedied.
[00:48:45.602 --> 00:48:51.365]  Um, but I want to get to the, uh, quick and skinny about the NIS report that came out just a couple months ago.
[00:48:51.385 --> 00:49:04.934]  What they're suggesting is that this column 79 on floor 23, which had many attachments, this is a column that was attached to, or excuse me, a floor beam, which they said expanded from a linear thermal expansion from these office fires.
[00:49:05.504 --> 00:49:12.107]  As far as my knowledge, the only thing inside these offices are normal consumables, like books, papers, carpet, etc.
[00:49:12.207 --> 00:49:22.311]  Which smolder and burn at 800 degrees, 900 degrees, all hail thermal expansion, a new scientific development in the history of building fires.
[00:49:23.292 --> 00:49:34.017]  Yes, and they're suggesting that all this overcame a connection at Column 79, which was also attached to four other floor beams, as well as the deck connections, which are all welded.
[00:49:35.461 --> 00:49:36.581]  Which are about every two feet.
[00:49:36.702 --> 00:49:37.622]  They're all welded.
[00:49:38.222 --> 00:49:39.863]  And, you know, there's many, many connections.
[00:49:39.903 --> 00:49:47.306]  Not to mention a five-inch thick concrete slab that has reinforcement of steel rebar or post-tension tendons.
[00:49:48.226 --> 00:50:03.592]  What we need to do is have a finite element method survey that's applied to this geometry and then put different initial load conditions in and run the FEA software and say, we already know that this is silly, but a good FEA survey will prove this is silly.
[00:50:03.942 --> 00:50:08.725]  And this is something that I promoted on Neocon Radio, and I enjoy doing it when I can.
[00:50:08.805 --> 00:50:17.209]  Well, the criminals running the government, it's not our government, they engage in a cover-up of everything, so we can't find out specifically.
[00:50:17.490 --> 00:50:18.070]  Richard Gage.
[00:50:19.557 --> 00:50:25.782]  We have to get the information from NIST in order to do the FEA, and they are closing it.
[00:50:25.862 --> 00:50:27.884]  It is not available whatsoever.
[00:50:27.904 --> 00:50:33.989]  They've locked it up, and this is a public investigation, and this information must be made public.
[00:50:34.009 --> 00:50:34.949]  All right, stay there.
[00:50:34.969 --> 00:50:35.830]  We'll be right back.
[00:50:35.850 --> 00:50:40.614]  Thank you for listening to GCN.
[00:50:41.975 --> 00:50:44.317]  Visit GCNlive.com today.
[00:50:47.620 --> 00:50:48.941]  It is a big idea.
[00:50:50.080 --> 00:50:51.141]  A New World Order.
[00:50:51.841 --> 00:50:56.285]  In the near future, Earth is dominated by a powerful world government.
[00:50:56.345 --> 00:50:58.907]  It's known as the Bilderberg Group.
[00:50:59.567 --> 00:51:01.789]  Could their objective be world domination?
[00:51:02.350 --> 00:51:04.811]  For thousands of years, their dark order grew.
[00:51:05.552 --> 00:51:12.878]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:51:15.888 --> 00:51:20.851]  For the first time in history, the elite's plan for world government is blown wide open.
[00:51:21.332 --> 00:51:24.814]  You will learn the secret that drives the entire New World Order agenda.
[00:51:25.214 --> 00:51:27.676]  Build America is making great progress toward a world government.
[00:51:27.756 --> 00:51:28.917]  Most people have no idea.
[00:51:28.937 --> 00:51:29.697]  They're not after money.
[00:51:29.717 --> 00:51:30.778]  They have all the money they need.
[00:51:30.998 --> 00:51:31.719]  They're after power.
[00:51:31.979 --> 00:51:32.819]  That's what they're after these years.
[00:51:33.120 --> 00:51:41.365]  Order Endgame on DVD at PrisonPlanet.com or InfoWars.com or watch it online right now at PrisonPlanet.tv.
[00:51:41.805 --> 00:51:44.427]  Endgame, blueprint for global enslavement.
[00:51:44.647 --> 00:51:45.708]  You have been warned.
[00:51:49.891 --> 00:51:51.812]  Waging war on corruption.
[00:51:52.293 --> 00:51:55.055]  Alex Jones on the GCN Radio Network.
[00:52:11.328 --> 00:52:18.853]  Final segment with Richard Gage, Architects and Engineers for 9-11 Truth, commenting on what the last gentleman was saying.
[00:52:18.893 --> 00:52:20.654]  Richard, before we go to a few final calls.
[00:52:21.835 --> 00:52:27.258]  Well, he was highlighting the unviability of the thesis of NIST.
[00:52:27.599 --> 00:52:31.501]  First of all, the photographic evidence of the fires on the 12th and 13th floor
[00:52:33.030 --> 00:52:37.374]  Indicate that the fires were out for the last hour and a half of the life of the building.
[00:52:37.695 --> 00:52:52.229]  And yet, their fire simulations fraudulently shows massive fires around Column 79, as you suggested, for well more than the 20 minute duration that a fire can exist in any one place.
[00:52:53.188 --> 00:52:57.672]  Because it consumes the low quantities of consumables and moves on.
[00:52:57.732 --> 00:53:02.935]  It creeps around, but they have this continuous, across the board, massive inferno.
[00:53:04.036 --> 00:53:11.802]  Yes, and so this massive inferno, let's say, okay, maybe it was there, but it's not just one building, it's not just one building, it's three doing this.
[00:53:12.722 --> 00:53:13.303]  Yeah, yeah.
[00:53:13.403 --> 00:53:20.728]  But in Building 7, what they're saying is that this fire elongated the beams, pushed the girder off its seat on the column,
[00:53:21.218 --> 00:53:26.161]  And then that caused floor 13 to fall, and 12, 12 to fall, and 11, etc.
[00:53:26.201 --> 00:53:32.926]  for nine floors inside the building, leaving column 79 unbraced, and so then it buckles.
[00:53:33.266 --> 00:53:39.070]  But all of this action would have deformed the exterior of the building, and that's not what happens.
[00:53:39.150 --> 00:53:41.171]  But it does happen in a computer model.
[00:53:41.292 --> 00:53:44.854]  Interestingly enough, there's severe warping, indentation, and bulging.
[00:53:45.385 --> 00:53:49.007]  And tipping, actually, of the upper part of the building.
[00:53:49.227 --> 00:54:07.939]  They could not get their computer model to match what actually happened in the video, because clearly that building would have tipped over in any kind of collapse caused by fire, and that's why they don't even show us what happens above about the 20th floor, because it was clearly tipping as a result of all the bulging and indentation.
[00:54:07.999 --> 00:54:10.200]  All right, let's go to a final call.
[00:54:10.280 --> 00:54:11.221]  Mike in Illinois.
[00:54:11.701 --> 00:54:13.042]  Mike, you're on the air, go ahead.
[00:54:14.451 --> 00:54:14.671]  Yes.
[00:54:14.811 --> 00:54:15.452]  Thank you, Alex.
[00:54:15.492 --> 00:54:16.192]  I appreciate it.
[00:54:16.852 --> 00:54:18.293]  Richard, I have a couple questions for you.
[00:54:18.313 --> 00:54:21.375]  I'm going to try to make it brief because I know the time variable here.
[00:54:21.795 --> 00:54:23.976]  I remember seeing the trade centers come down.
[00:54:24.036 --> 00:54:29.600]  They look like trees being turned into sawdust from the top down, which was sort of incredible to me.
[00:54:29.620 --> 00:54:34.122]  And I know that I don't actually believe that the thermite could alone do this.
[00:54:34.162 --> 00:54:36.023]  There had to be some other facet to it.
[00:54:36.043 --> 00:54:37.504]  You have 550,000 tons being turned into dust, which
[00:54:43.243 --> 00:54:44.726]  Which is just like unbelievable.
[00:54:44.766 --> 00:54:46.730]  I understand it was built in a bathtub.
[00:54:47.170 --> 00:54:50.056]  So if this had fallen into this bathtub, it might have cracked.
[00:54:51.844 --> 00:54:52.664]  Well, here's the deal.
