[00:00:00.109 --> 00:00:02.473]  More on corruption.
[00:22:32.083 --> 00:22:33.304]  You know, they have to give them something.
[00:22:33.444 --> 00:22:37.146]  So what will that new currency Max Keiser look like?
[00:22:40.968 --> 00:22:48.553]  Well, you know, the new dollar currency, I know that there's a lot of talk about the emiro, of course, the North American currency.
[00:22:49.494 --> 00:22:51.715]  I'm not certain that's what's going to happen first.
[00:22:53.897 --> 00:22:59.399]  I think before we see something like that, you're going to see simply, you know, that the U.S.
[00:22:59.439 --> 00:23:02.741]  has gotten very, very good at, you know, issuing these new currencies.
[00:23:02.781 --> 00:23:05.682]  In the last couple of years, remember, they just came out with a peach-colored currency?
[00:23:05.702 --> 00:23:05.862]  Yes.
[00:23:06.042 --> 00:23:07.383]  A peach-colored five-digit number.
[00:23:07.623 --> 00:23:09.444]  And they keep saying, we need it for the security.
[00:23:09.744 --> 00:23:11.785]  But basically, they're just, it's a dry run.
[00:23:11.805 --> 00:23:14.886]  They're conditioning us to accept a new color, a new look, yeah.
[00:23:15.527 --> 00:23:15.887]  Exactly.
[00:23:16.047 --> 00:23:16.987]  So this is just a dry run.
[00:23:17.007 --> 00:23:20.889]  There's no need to issue a new currency with the frequency that they do.
[00:23:21.331 --> 00:23:23.155]  They're just testing the technology.
[00:23:23.235 --> 00:23:28.325]  And they're getting us ready to recall all the old notes and everybody that's got a mattress away to say that they're worthless.
[00:23:29.534 --> 00:23:30.074]  Yeah, exactly.
[00:23:30.094 --> 00:23:31.375]  I was here during the Euro.
[00:23:31.395 --> 00:23:32.095]  You know, the Euro.
[00:23:32.435 --> 00:23:34.136]  In one day, he had a French Frank.
[00:23:34.557 --> 00:23:35.037]  It's no good.
[00:23:35.217 --> 00:23:36.658]  You have to have a Euro.
[00:23:36.778 --> 00:23:37.638]  Well, Max, do this.
[00:23:37.838 --> 00:23:44.441]  Obviously, I'd be honored to come on your show anytime, and we're really honored and very respectful and appreciative of your important time.
[00:23:44.481 --> 00:23:45.402]  I know you're an in-demand.
[00:23:45.702 --> 00:23:53.166]  And I would love, because I'm a huge fan of him, I would love to get you and Alec Baldwin, even if it was on for ten minutes, sometime in the future, here on the show.
[00:23:53.206 --> 00:23:57.408]  So maybe you can help us set that up to promote the TV show when it's coming out.
[00:23:59.130 --> 00:24:05.774]  Well, you know, we're going to focus on the TV show, and as you know, we're also going to share a venue with Press TV.
[00:24:05.934 --> 00:24:14.820]  You know, I've been on Press TV a lot, and I'm trying to set something up with you and me, and Press TV talking about some of these issues as well, because I think that's an excellent venue.
[00:24:14.860 --> 00:24:17.602]  Press TV, as you point out today, it's an international audience.
[00:24:17.842 --> 00:24:19.703]  It's based in Iran.
[00:24:20.203 --> 00:24:22.245]  You know, there's still... Hold on, we're going back to the full audience.
[00:24:22.265 --> 00:24:23.666]  I'm going to say bye to you here, to the full audience.
[00:24:23.686 --> 00:24:23.906]  Here we go.
[00:24:40.916 --> 00:24:43.357]  Yeah, no more Mr. Nice Guy, ladies and gentlemen.
[00:24:43.497 --> 00:24:47.579]  The New World Order is being born right in front of you and America is dying financially.
[00:24:48.119 --> 00:24:56.423]  Max Keiser, in closing, fire out your website again and tell us if you think this country is ever going to emerge in the next decade out of what we're facing.
[00:24:58.266 --> 00:24:58.506]  Right.
[00:24:58.666 --> 00:25:02.487]  MaxKaiser.com, M-A-X-K-E-I-S-E-R.
[00:25:02.667 --> 00:25:04.648]  There's a link also to the radio show that we do.
[00:25:04.728 --> 00:25:11.749]  I do a pod show with Stacy, who's my significant other, I guess you could call her, my love of my life.
[00:25:12.289 --> 00:25:17.671]  And we do a daily show, plus we have our weekly show on Resonance 104.4, The Truth About Markets.
[00:25:18.151 --> 00:25:23.452]  But the question about the future of the dollar and the currency, as we were just discussing it,
[00:25:24.068 --> 00:25:30.974]  It's not that hard to simply reissue a currency and it has a different value, different serial numbers.
[00:25:31.014 --> 00:25:33.536]  We've already seen new issues, new currencies issued in the U.S.
[00:25:33.816 --> 00:25:36.918]  a few times over the past few years, different colors, different configurations.
[00:25:36.938 --> 00:25:37.739]  So they're getting us ready.
[00:25:37.799 --> 00:25:42.963]  Bottom line, get into gold now because you're saying you think all the evidence shows it's going to double by when?
[00:25:45.125 --> 00:25:48.708]  Well, when it does double, for two points, when it does double,
[00:25:49.446 --> 00:25:55.313]  I have a very strong belief that it'll happen so fast that if you don't already own it, you won't be able to buy it.
[00:25:55.454 --> 00:25:56.034]  It'll be too late.
[00:25:56.054 --> 00:25:57.416]  You can't buy it right now!
[00:25:58.578 --> 00:26:00.300]  Well, yeah, well, I mean, you can buy it.
[00:26:00.440 --> 00:26:01.361]  Just at a premium.
[00:26:02.022 --> 00:26:07.288]  You can buy, for example, you know, if you go to a site like goldmoney.com, okay?
[00:26:07.509 --> 00:26:08.069]  Goldmoney.com.
[00:26:09.319 --> 00:26:14.282]  You go to that site, you can buy gold, and it's stored in either London or Switzerland.
[00:26:14.602 --> 00:26:18.284]  It's allocated gold in your name, held outside of the United States.
[00:26:18.324 --> 00:26:20.565]  You can go collect the gold if you want, anytime you want to.
[00:26:20.885 --> 00:26:22.466]  I know goldmoney.com.
[00:26:22.506 --> 00:26:23.746]  I saw a guy named James Turk.
[00:26:24.086 --> 00:26:25.147]  He's a reputable guy.
[00:26:25.707 --> 00:26:26.928]  I have an account there myself.
[00:26:27.108 --> 00:26:28.689]  He's a full disclosure.
[00:26:28.889 --> 00:26:29.869]  He's a fantastic guy.
[00:26:30.009 --> 00:26:30.730]  He holds the gold.
[00:26:31.270 --> 00:26:32.130]  You get the current price.
[00:26:32.611 --> 00:26:33.251]  You know, that's it.
[00:26:33.491 --> 00:26:34.412]  You now have some gold.
[00:26:34.652 --> 00:26:37.053]  It gives you peace of mind, and these currencies,
[00:26:37.822 --> 00:26:55.775]  Unfortunately, all the banking fraud that has happened in the last 25 years, you know, starting with Mike Milken, you know, Mike Milken really ushered in, in the 1980s, a period of fraud that has just built up over 25 years, and then long-term capital management was another huge chapter.
[00:26:55.795 --> 00:26:57.216]  And now it's all coming to a head.
[00:26:57.636 --> 00:27:00.158]  Max, let's get you back up in the near future.
[00:27:00.478 --> 00:27:02.720]  I appreciate you coming on with us, and we'll talk to you soon.
[00:27:03.792 --> 00:27:04.472]  All right, thanks Alex.
[00:27:04.952 --> 00:27:05.212]  You bet.
[00:27:05.232 --> 00:27:06.473]  There goes Max Keiser.
[00:27:06.493 --> 00:27:07.853]  Boy, that guy is something else.
[00:27:07.893 --> 00:27:13.474]  He's involved in just... He really did invent a bunch of some of the most modern systems that are used today.
[00:27:13.934 --> 00:27:15.234]  He's got his fingers in everything.
[00:27:15.254 --> 00:27:19.715]  I guess he's got his fingers in this show now, and we're glad to have our fingers in what he's doing.
[00:27:19.775 --> 00:27:20.936]  Very, very interesting person.
[00:27:21.236 --> 00:27:26.397]  And I think it's fine and dandy if you live in Europe to have it in one of their vaults, and they've got vaults here in the U.S., but he's right.
[00:27:26.837 --> 00:27:29.177]  Gold has been confiscated before, and people always ask me this.
[00:27:29.578 --> 00:27:31.178]  Well, then why would you hold gold?
[00:27:32.093 --> 00:27:32.793]  We're good to go.
[00:27:53.567 --> 00:28:05.110]  When it does go up, and it will because of the dollar devaluation, they've only been manipulating things right now, where you can hardly buy it, well there's a huge premium, and when you can find it there's a premium, but then gold was dropping, just like oil.
[00:28:05.370 --> 00:28:06.270]  This is manipulation.
[00:28:07.451 --> 00:28:11.612]  But when it finally does go back up, which law of
[00:28:12.659 --> 00:28:14.801]  Supply and demand says they can't suppress it forever.
[00:28:15.281 --> 00:28:16.462]  It is good to physically hold it.
[00:28:16.702 --> 00:28:20.205]  And sure, I mean, the government can come take your house, they can come take your life, they can come take your guns.
[00:28:20.605 --> 00:28:23.968]  I'm still going to own guns and buy more guns, even if they're going to try to come take them.
[00:28:24.388 --> 00:28:25.689]  The whole point is you don't give it up.
[00:28:26.309 --> 00:28:28.051]  The whole point is you don't have it in the state you're in.
[00:28:28.671 --> 00:28:36.057]  The whole point is that, well, let's bring Ted Anderson up for this segment and into the next, and then I'm going to get Dean Barkley to pop in, and then your phone calls.
[00:28:37.523 --> 00:28:41.146]  Ted, you, because you've been in this business so long, you have gold and silver.
[00:28:41.586 --> 00:28:45.850]  And you have it at below the prices it's selling at, instead of giant premiums.
[00:28:45.930 --> 00:28:50.194]  And I agree with Max Keiser, people are insane if they don't get gold.
[00:28:50.234 --> 00:28:52.716]  But I wouldn't trust, really, any bank or any vault.
[00:28:53.056 --> 00:28:53.576]  I would hold it.
[00:28:54.317 --> 00:28:54.998]  You're right about that.
[00:28:55.038 --> 00:28:56.459]  You should have it in your own possession.
[00:28:56.499 --> 00:29:02.604]  Plus, also, one of the things you have to remember, Alex, that most of the European countries confiscate and illegalize gold as well.
[00:29:03.143 --> 00:29:12.633]  As a matter of fact, the United States was one of the first nations to make gold legal to own, and if you had gold traveling through other countries, you had to be very careful because you'd be breaking their laws.
[00:29:13.073 --> 00:29:18.899]  We are actually one of the more, believe it or not, liberated states still, or countries, you know, about owning gold.
[00:29:19.400 --> 00:29:24.485]  At this time, I'm sure that those countries, if anybody's going to confiscate gold, it's going to be Europe first.
[00:29:25.069 --> 00:29:26.991]  I'm sure the Soviet bloc's gonna follow.
[00:29:27.591 --> 00:29:34.837]  And yeah, you gotta be careful with these nations because I trust them less than I trust the United States and I don't trust this place very much at all.
[00:29:36.761 --> 00:29:39.022]  John, I want you to get Dean Barkley on in about eight afterwards.
[00:29:39.042 --> 00:29:40.123]  We're going to do five minutes with him.
[00:29:40.143 --> 00:29:49.388]  I want to hold Ted over and talk about what he's seeing as thirty years in the gold and silver market, twelve years, thirteen years with Midas Resources, what he's seeing happen right now.
[00:29:49.408 --> 00:29:53.330]  Because it's even admitted, mainstream news, that they are manipulating the gold and silver market.
[00:29:53.850 --> 00:29:55.691]  And yeah, things are only set to go back up.
[00:29:55.711 --> 00:29:56.551]  The sky's the limit.
[00:29:57.892 --> 00:29:59.713]  I'm going to skip this break.
[00:30:00.073 --> 00:30:01.674]  I want to keep talking to Ted, John, okay?
[00:30:02.795 --> 00:30:03.215]  Hey, Ted?
[00:30:05.692 --> 00:30:08.538]  Is Ted, since he's in studio there, able to hear me when I skip breaks, John?
[00:30:09.600 --> 00:30:10.021]  Yep, he should.
[00:30:10.361 --> 00:30:10.602]  Go ahead.
[00:30:10.842 --> 00:30:11.564]  Or he'd run off.
[00:30:12.285 --> 00:30:12.926]  Hey, Ted, you there?
[00:30:12.946 --> 00:30:17.034]  Yeah, go in there and get him to put his headset back on.
[00:30:17.851 --> 00:30:19.133]  He's going back in the studio right now.
[00:30:19.493 --> 00:30:20.214]  Okay, great.
[00:30:20.754 --> 00:30:31.427]  Anyways, folks, I do believe in owning gold and silver, and I see this down market, though it's going back up right now in the last few days, as all commodities are.
[00:30:31.807 --> 00:30:34.029]  I mean, wheat's selling at, what, four times what it was a year ago.
[00:30:34.570 --> 00:30:36.592]  I see this as a buying opportunity.
[00:30:37.293 --> 00:30:40.574]  And I think people are insane if they don't buy gold and silver.
[00:30:40.614 --> 00:30:43.375]  Now, we're going to pitch folks on this, Ted, when we get back.
[00:30:44.095 --> 00:30:47.636]  And, well, I sure sleep good at night knowing that, because I bought gold at $280 an ounce.
[00:30:47.696 --> 00:30:50.677]  I bought it when it was $1,000 an ounce.
[00:30:50.717 --> 00:30:52.218]  I bought it when it was $600 an ounce.
[00:30:53.298 --> 00:30:56.799]  And people psychologically only tend to buy when it's going up.
[00:30:56.819 --> 00:31:04.001]  Well, it is going up today, but nothing like it's going to be going up in the future if any common sense or any reality reigns in the world.
[00:31:05.956 --> 00:31:12.798]  Ted Kaiser was talking about gold doubling if they do a new Bretton Woods agreement and kill the dollar as the world reserve currency.
[00:31:13.618 --> 00:31:23.662]  Well, he's right about that and I don't know how they cannot do that because the United States is so far beyond repair and the value of the United States currency, nobody trusts it.
[00:31:24.002 --> 00:31:26.363]  I mean, nobody trusts what we're doing here in the United States.
[00:31:26.403 --> 00:31:30.684]  This bailout thing is really bad for the United States and the value
[00:31:31.124 --> 00:31:34.866]  The value of its currency, the value of the institutions that are out there.
[00:31:34.886 --> 00:31:43.690]  I mean, you just can't trust the United States to be conservative and economically sound.
[00:31:43.950 --> 00:31:47.511]  Because we're going to bail out every single problem now that comes along.
[00:31:47.891 --> 00:31:49.292]  Every time there's a big company...
[00:31:49.292 --> 00:31:50.292]  But it's not bailouts.
[00:31:50.312 --> 00:31:52.793]  They're only giving it to themselves.
[00:31:52.833 --> 00:31:59.835]  We have the JP Morgan head and others saying, we're just giving ourselves $500 million bonuses apiece and laughing in front of reporters.
[00:32:00.076 --> 00:32:01.316]  I mean, these arrogant bastards.
[00:32:01.356 --> 00:32:03.077]  It's not enough to steal $5 trillion from us.
[00:32:03.297 --> 00:32:05.697]  That's what it already is, $5 trillion.
[00:32:05.777 --> 00:32:06.818]  That's not enough, Ted!
[00:32:07.038 --> 00:32:09.959]  They have to rub it in and brag about it in front of everybody.
[00:32:10.239 --> 00:32:11.999]  I know, and that's the thing about it.
[00:32:12.020 --> 00:32:13.640]  That's why there's so little trust left.
[00:32:14.060 --> 00:32:16.341]  I mean, if you're sitting outside of this nation,
[00:32:16.821 --> 00:32:18.702]  And you're investing in U.S.
[00:32:18.782 --> 00:32:34.686]  dollar and you watch the United States government come in and sign a bill that's going to create another trillion dollars to be injected into the system and then you see the elites or the CEOs and all the... Freezing the credit markets so they can consolidate.
[00:32:34.986 --> 00:32:42.351]  Yeah, they're playing right into the hand of, you know, the people of the United States were right.
[00:32:42.471 --> 00:32:44.553]  We should not have done that bailout.
[00:32:44.773 --> 00:32:48.496]  Nobody wanted it, and for some reason our politicians did it.
[00:32:50.717 --> 00:32:54.200]  I hope every single person that voted for that bill has voted out of office.
[00:32:54.440 --> 00:32:56.882]  Jeff, we're going to go back to the full audience here in ten seconds.
[00:32:57.202 --> 00:33:01.305]  Right now we're on PrisonPlanet.tv and the InfoWars streams, but I didn't want to waste any time.
[00:33:01.325 --> 00:33:03.867]  Did you call Dean Barkley, John?
[00:33:04.423 --> 00:33:04.763]  Not yet.
[00:33:04.823 --> 00:33:05.743]  What time do you want him at?
[00:33:05.984 --> 00:33:06.744]  Thirty-eight after?
[00:33:07.164 --> 00:33:09.044]  Yeah, just call him and say we're calling him in five minutes.
[00:33:09.064 --> 00:33:09.625]  Okay, got it.
[00:33:09.645 --> 00:33:10.785]  And I'm going to take some final calls.
[00:33:10.825 --> 00:33:11.165]  Here we go.
[00:33:20.088 --> 00:33:22.329]  Cyrus Jones from 1810 to 1913.
[00:33:22.369 --> 00:33:28.171]  Made his great-grandchildren believe you could live to 103.
[00:33:31.082 --> 00:33:34.704]  A hundred and three is forever when you're just a little kid.
[00:33:36.365 --> 00:33:39.827]  So, Cyrus Jones, live forever.
[00:33:41.508 --> 00:33:42.849]  Grave digger.
[00:33:43.009 --> 00:33:44.810]  Here goes the Republic up in flames.
[00:33:45.050 --> 00:33:47.552]  I'm a lottery admirer.
[00:33:54.304 --> 00:33:55.665]  Don't usually smoke.
[00:33:55.765 --> 00:34:07.530]  I've cut it back to almost nothing, but I figured, kind of as a symbol of the country going up in smoke, burning away as the public has suckered one more time to support Barack Obama, I'd fire up a cigarette here on air.
[00:34:08.771 --> 00:34:18.436]  Yes, it's okay if I was a fake Christian conservative and killed a million and a half Iraqis in the last six years, but if I smoke a cigarette, I'll go to hell.
[00:34:23.766 --> 00:34:29.032]  Let's go back to Ted Anderson and then we're going to get Dean Barkley on.
[00:34:30.133 --> 00:34:31.514]  Then some of your phone calls here at the end.
[00:34:31.534 --> 00:34:36.380]  I'll give you some of the latest election news as it comes in for everybody.
[00:34:38.460 --> 00:34:44.864]  Ted Anderson, we were ranting and raving on the internet behind-the-scenes portion of the show there about the banker takeover.
[00:34:45.905 --> 00:34:57.413]  We were talking about just the open arrogance, the biggest looting ever to offshore corporations, and they're openly manipulating the gold market, and now the hyperinflation is kicking back off again, Ted.
[00:34:58.021 --> 00:35:01.862]  Yeah, we're going to see an awful lot of that, because we all know that we're going to have inflation.
[00:35:01.882 --> 00:35:08.564]  You can't sit and inject another trillion dollars into the system without having a devaluation of the money that already exists out there.
[00:35:09.044 --> 00:35:20.547]  We have earned it, we've worked for it, and now they're printing money for nothing, and they're giving it away to these CEOs or whatever, these big corporations, and they're taking these big distributions.
[00:35:22.569 --> 00:35:22.889]  I don't know.
[00:35:42.939 --> 00:35:50.947]  So help me, I gotta tell ya, there should not be a politician going back to Washington D.C.
[00:35:51.187 --> 00:35:52.829]  that voted for this bailout package.
[00:35:52.869 --> 00:35:56.933]  That was one of the worst things they've ever done to us, and they set a precedence
[00:35:57.313 --> 00:36:06.036]  That now every time one of these big corporations are going to have a problem, they're going to be dumping money into their, you know, they'll create problems so they can have this money.
[00:36:06.076 --> 00:36:19.881]  I mean, it's like free money to them, and it's just creating a huge, monstrous monopoly that's just going to come crashing down, and the people, the taxpayers, the people that actually struggle to make a living in this world are the ones that end up paying the bill.
[00:36:20.861 --> 00:36:22.982]  It really burns my butt, I can tell you.
[00:36:23.042 --> 00:36:26.483]  Ted, looking at the market and the things, as a gold broker, silver broker,
[00:36:28.123 --> 00:36:28.923]  What's it like right now?
[00:36:28.943 --> 00:36:32.905]  I mean, I'm seeing a lot of places still saying they're sold out of gold and silver, or there's huge premiums.
[00:36:33.566 --> 00:36:35.987]  Mainstream press reports talking about 50% premiums.
[00:36:36.007 --> 00:36:38.148]  You've actually got it at the price it is.
[00:36:38.468 --> 00:36:39.529]  Tell folks about those numbers.
[00:36:39.649 --> 00:36:40.129]  Yeah, sure.
[00:36:40.209 --> 00:36:50.774]  I can tell you right now, I locked into a whole bunch of it here when gold was at $7.20, and silver was sitting there right around, it was at $9.87 an ounce right in there when I was picking it up.
[00:36:51.514 --> 00:36:53.535]  Right now, yeah, the premiums are way up there.
[00:36:53.575 --> 00:36:54.396]  Ridiculous.
[00:36:54.496 --> 00:36:56.557]  Especially like Silver Eagles and that kind of thing.
[00:36:56.997 --> 00:36:59.319]  I just ran into a nice group of Philharmonics.
[00:36:59.380 --> 00:37:01.081]  If you're interested in those, you can get those.
[00:37:01.462 --> 00:37:07.928]  But what I picked up here is I picked up a whole bunch of the dimes.
[00:37:08.228 --> 00:37:10.871]  I mean, you watch the economy and the way that things are going.
[00:37:11.171 --> 00:37:12.633]  The dimes right now are cheap.
[00:37:12.653 --> 00:37:13.233]  You can get them at $1.60.
[00:37:13.293 --> 00:37:17.598]  They were trading close to $1.80 a piece here just a few months ago.
[00:37:17.958 --> 00:37:20.959]  My goodness, gold is up $41 today.
[00:37:21.239 --> 00:37:21.579]  It is.
[00:37:21.800 --> 00:37:22.920]  I hadn't even looked.
[00:37:23.360 --> 00:37:26.621]  It's at $7.63 and 10 cents.
[00:37:26.762 --> 00:37:27.902]  Silver is way up.
[00:37:28.422 --> 00:37:32.164]  So, Ted, you locked in at gold at $7.21, you said?
[00:37:32.284 --> 00:37:33.384]  Well, that's the thing, Alex.
[00:37:34.885 --> 00:37:36.245]  Tell folks the coins you've got right now.
[00:37:36.285 --> 00:37:38.386]  Yeah, right now I've got the British Sovereign coin.
[00:37:38.406 --> 00:37:40.267]  That coin right now is trading at $241.
[00:37:40.987 --> 00:37:41.848]  I picked up the francs.
[00:37:41.928 --> 00:37:43.308]  I was able to get those down below $200.
[00:37:43.888 --> 00:37:44.549]  I've got them now at $198.
[00:37:46.270 --> 00:37:50.771]  That is not going to stay there, because the gold price has just jumped up again another 60 bucks.
[00:37:50.891 --> 00:37:52.171]  Okay, again, you bought at the bottom.
[00:37:52.812 --> 00:37:55.952]  It's up since you bought it, 40-something bucks.
[00:37:56.753 --> 00:38:04.835]  Regardless, ladies and gentlemen, this isn't like your dollar, where they're openly announcing Bretton Woods, a new global currency run by the bankers that engineered all this.
[00:38:04.975 --> 00:38:07.935]  All the financial experts are saying that is going to destroy the dollar.
[00:38:08.515 --> 00:38:10.216]  Whatever manipulation they do in the short term,
[00:38:11.466 --> 00:38:16.850]  All of the history, all of basic monetary facts shows gold and silver and other commodities are only going to explode.
[00:38:26.098 --> 00:38:29.520]  I have some people that set up IRAs and they put it into these institutions.
[00:38:29.560 --> 00:38:31.642]  That's fine if you're going to speculate.
[00:38:31.982 --> 00:38:37.225]  If you're so afraid of paying the taxes by taking an early distribution, it's better than not having it.
[00:38:37.525 --> 00:38:43.409]  But to have your gold and silver stored away and having a certificate that says that you own gold somewhere,
[00:38:44.009 --> 00:38:46.030]  And you're going to have an economic meltdown like this?
[00:38:46.110 --> 00:38:49.951]  I mean, it's like having a picture of... Alright, well tell them the gold coins and the silver coins.
[00:38:50.251 --> 00:38:51.872]  You've got it way below their current price.
[00:38:51.912 --> 00:38:55.373]  Yeah, right now we have, again, it's the franc coin that's trading at $198 per coin.
[00:38:55.413 --> 00:38:56.754]  And then in addition to this we also have...
[00:39:00.225 --> 00:39:02.526]  The British Sovereign, which is at $241.
[00:39:02.866 --> 00:39:05.888]  Both of those are just a fabulous buy at this particular time.
[00:39:06.328 --> 00:39:07.388]  And the silver right now, $169.
[00:39:08.609 --> 00:39:14.612]  And everybody knows that the silver's been $20, maybe $25 an ounce to buy physical silver.
[00:39:14.872 --> 00:39:17.433]  You're able to get this stuff at a really good price.
[00:39:17.473 --> 00:39:20.475]  The market is getting hot again, and you're not going to be able to buy it.
[00:39:21.515 --> 00:39:32.144]  There was a time here, Alex, just a short time ago, where you could have went to any coin dealer across the United States, and it's probably still true, you're not going to be able to fill any order of any significant size.
[00:39:32.524 --> 00:39:35.707]  I mean, you've got to be a big player in this business to get any kind of volume.
[00:39:36.207 --> 00:39:37.808]  And that's just the way it is.
[00:39:37.868 --> 00:39:42.772]  And I hate to say it, I mean, it's not really fair, but I'm going to be out there buying every time I see a dip.
[00:39:44.253 --> 00:39:45.595]  Ted, let me explain what you do.
[00:39:45.615 --> 00:39:46.035]  You buy gold.
[00:40:04.153 --> 00:40:04.674]  We're good to go.
[00:40:21.394 --> 00:40:25.055]  So you're not paying those big premiums because Ted is buying in bulk.
[00:40:25.315 --> 00:40:27.596]  He is passing that savings on to you.
[00:40:27.876 --> 00:40:29.417]  These are lost leaders for Ted.
[00:40:29.717 --> 00:40:30.757]  They have the British Sovereign.
[00:40:30.777 --> 00:40:32.678]  They have the French and Swiss francs.
[00:40:32.738 --> 00:40:35.379]  They have the different silver coins from the U.S.
[00:40:35.399 --> 00:40:35.519]  1-800-686-2237.
[00:40:35.539 --> 00:40:35.599]  1-800-686-2237.
[00:40:41.941 --> 00:40:44.583]  2, 2, 3, 7.
[00:40:42.442 --> 00:40:44.583]  The brokers are there.
[00:40:44.623 --> 00:40:48.967]  Now, Ted, gold is up $41.10 and climbing today.
[00:40:49.067 --> 00:40:55.832]  How long can you hold the gold at $40 plus below what it is selling for in the open market?
[00:40:55.912 --> 00:41:04.820]  Well, I can tell you right now, Alex, I'm going to hold it until midnight tonight, and I'll just honor every transaction no matter what gold does, and I wouldn't be surprised if it's up again tomorrow.
[00:41:05.180 --> 00:41:07.302]  Right now, remember, we're fishing around.
[00:41:07.642 --> 00:41:09.503]  I knew that there was a sell-off that was occurring.
[00:41:09.523 --> 00:41:11.325]  We're trying to find the bottom in the marketplace.
[00:41:11.730 --> 00:41:13.072]  I believe we found that at $7.20.
[00:41:13.953 --> 00:41:16.416]  I think that we're going to be seeing gold and silver prices going up.
[00:41:17.471 --> 00:41:18.892]  As we go on here, I know we talked about it.
[00:41:18.912 --> 00:41:26.415]  Well, regardless, it can't be completely devalued like paper money, and it's the oldest, you know, true wealth out there.
[00:41:26.435 --> 00:41:27.315]  800-686-2237.
[00:41:27.355 --> 00:41:28.675]  Take advantage of this today.
[00:41:29.016 --> 00:41:31.336]  Forty-something bucks under what it's even selling for.
[00:41:31.597 --> 00:41:35.378]  When most people can't even find it or get it or are paying huge premiums, you can't beat this deal.
[00:41:35.398 --> 00:41:35.778]  800-686-2237.
[00:41:37.059 --> 00:41:38.559]  Ted, thanks for coming on.
[00:41:38.659 --> 00:41:40.000]  Yeah, thanks for having me up again, Alex.
[00:41:40.060 --> 00:41:40.500]  You bet.
[00:41:40.840 --> 00:41:41.340]  Absolutely.
[00:41:41.360 --> 00:41:43.121]  You know, we know people buy gold when the market's up.
[00:41:43.681 --> 00:41:45.163]  But Ted has the best of both worlds.
[00:41:45.263 --> 00:41:47.585]  He bought it when it was cheaper and is still offering it to you.
[00:41:47.825 --> 00:41:53.131]  For that, when everybody else is not just selling it for what it's currently selling at, they're tacking on huge margins.
[00:41:53.591 --> 00:41:54.632]  This deal's great.
[00:41:54.652 --> 00:41:54.933]  800-686-2237.
[00:41:56.815 --> 00:41:58.296]  I'll tell you what Ted's putting on these coins.
[00:41:58.516 --> 00:42:01.800]  He's putting about 3.5% on them just to pay for the transaction.
[00:42:02.240 --> 00:42:02.481]  Okay?
[00:42:03.261 --> 00:42:03.561]  800-686-2237.
[00:42:05.422 --> 00:42:06.223]  Cannot beat the deal.
[00:42:06.503 --> 00:42:07.383]  I'm not going to keep him long.
[00:42:07.403 --> 00:42:10.225]  Just about five minutes, a really busy day of radio and TV interviews.
[00:42:10.245 --> 00:42:11.145]  He got on CNN.
[00:42:11.406 --> 00:42:15.068]  They're calling it a close race with 37% undecided in Minnesota.
[00:42:15.308 --> 00:42:16.208]  They're deciding right now.
[00:42:16.248 --> 00:42:20.671]  He was appointed by Governor Jesse Ventura, outgoing, when Senator Wellstone died in the tragic crash.
[00:42:21.511 --> 00:42:25.733]  So we can currently be called technically a former senator, but he was there for a month.
[00:42:25.773 --> 00:42:28.054]  We want to send him back for six years, a full term.
[00:42:28.394 --> 00:42:30.275]  He's on the Independent Party in Minnesota.
[00:42:30.555 --> 00:42:33.096]  Dean Barclay wants to thank the audience here.
[00:42:33.156 --> 00:42:35.537]  You got major TV buys for his ad.
[00:42:35.577 --> 00:42:38.198]  You can watch at SenatorBarclay.com.
[00:42:38.218 --> 00:42:40.579]  We also have it up at Infowars.com.
[00:42:40.619 --> 00:42:44.801]  You helped finish producing it and getting it on the air late last week and right through to today.
[00:42:45.081 --> 00:42:48.103]  So I wanted to just bring Dean Barclay up for five minutes.
[00:42:48.383 --> 00:42:49.283]  Dean, good to have you here.
[00:42:49.303 --> 00:42:50.844]  Nice to be on, Alex.
[00:42:51.621 --> 00:43:00.988]  I tell you, I just want to thank my audience, and I know you wanted a chance again to thank them, because regardless of what happens, it was another example of taking action the way they came in and gave to the campaign.
[00:43:01.008 --> 00:43:02.609]  Oh, absolutely.
[00:43:02.649 --> 00:43:05.551]  I mean, your listeners gave our campaign the boost we needed.
[00:43:05.571 --> 00:43:07.673]  We've been up on the air since last Thursday.
[00:43:08.334 --> 00:43:10.195]  The ads are going over very, very well.
[00:43:10.235 --> 00:43:11.416]  It's just the boost I needed.
[00:43:11.976 --> 00:43:13.698]  And who knows what's going to happen today.
[00:43:13.718 --> 00:43:16.760]  The Minnesota voters are going to decide what kind of future they want.
[00:43:20.089 --> 00:43:23.031]  Dean, I mean, what info can you give us?
[00:43:23.732 --> 00:43:25.053]  I mean, the polls are all over the map.
[00:43:25.113 --> 00:43:31.778]  It shows you've narrowed in some of them, but regardless, Ventura was eight points behind on Election Day and then won by, what, three points.
[00:43:32.258 --> 00:43:39.483]  I mean, as the results start coming in, when are they saying we're going to hear in Minnesota some of the results?
[00:43:39.523 --> 00:43:42.806]  I know it's going to be the reported record turnout in Minnesota.
[00:43:43.827 --> 00:43:47.990]  We already heard some early exit polling from the early voting we had in Minnesota.
[00:43:48.672 --> 00:43:50.756]  And we're doing phenomenally well in the early voting.
[00:43:50.776 --> 00:43:58.011]  We're in the low 30s in the exit polling, and that was in the metropolitan Minneapolis area, which is very strong Democratic territory.
