[00:00:00.289 --> 00:00:05.652]  ...to say Merry Christmas, then giving a gift of safety and security from Pepperspray.com.
[00:26:54.073 --> 00:27:05.504]  And then we'd have another guy across the street catching that on video, training the local Boy Scouts how to tattle on their parents, training local Boy Scouts how to go into their homes and report if their parents have guns.
[00:27:05.504 --> 00:27:07.546]  It's all in my three police state films.
[00:27:07.546 --> 00:27:10.008]  By the way, they're all free on Google and YouTube.
[00:27:10.008 --> 00:27:15.614]  And Curt Nemo's written an article, Marines establish military presence in San Bernardino County, California.
[00:27:17.430 --> 00:27:26.016]  And you can go there to that article and you can watch the video for yourself.
[00:27:26.016 --> 00:27:33.301]  And you can see the military training with role players screaming, I'm an American, please don't put me in a camp, please don't take my guns.
[00:27:33.301 --> 00:27:45.349]  Obviously I was going to come back on the radio and make films and scream and yell and freak out over this and tell you it was coming and tell you they were going to stage terror as the pretext to introduce this to you, the public, but that it was really for when they financially imploded the nation.
[00:27:45.999 --> 00:27:46.879]  How did I know that?
[00:27:46.879 --> 00:27:54.242]  Because in the IMF and World Bank documents that have been declassified, in what Smedley Butler, the most highly decorated Marine in U.S.
[00:27:54.242 --> 00:28:12.028]  history, two-time Congressional Medal of Honor winner, he was about to become the Commandant of the Marine Corps in the 30s, they said, we want to hire you for martial law, you've overthrown all these other third world countries, we want to do this in America, we want you to covertly train the police to merge with the Marines, and he went and reported it to Congress and they arrested a bunch of people.
[00:28:12.788 --> 00:28:16.370]  So see, they've been trying this for a long time.
[00:28:16.370 --> 00:28:19.572]  Now they're actually going with it.
[00:28:19.572 --> 00:28:20.612]  Okay?
[00:28:20.612 --> 00:28:24.374]  And only real patriots in the Marine Corps and the Army and other places have stopped this.
[00:28:24.374 --> 00:28:28.016]  And I want to explain something to you.
[00:28:28.016 --> 00:28:38.642]  This is about stealing your bank accounts, your pension funds, destroying property rights, nationalizing your businesses, socializing America so the bankers can manage us and control us.
[00:28:38.642 --> 00:28:40.803]  I'm begging you.
[00:28:40.803 --> 00:28:41.984]  I'm begging you.
[00:28:42.904 --> 00:28:46.287]  To check into what we've claimed and what we've said and find out it's true.
[00:28:46.287 --> 00:28:51.571]  Marines at checkpoints all over California, pulling people out of their cars.
[00:28:51.571 --> 00:28:54.453]  Ladies and gentlemen, this is tyranny.
[00:28:54.453 --> 00:28:56.075]  This is corruption.
[00:28:56.075 --> 00:28:57.996]  This is martial law.
[00:28:57.996 --> 00:29:04.902]  There has been a silent coup, not by a president, but by the foreign banks through the executive.
[00:29:04.902 --> 00:29:06.023]  The headlines are clear.
[00:29:06.698 --> 00:29:09.621]  The worldwide economic collapse is here.
[00:29:09.621 --> 00:29:12.845]  The military is being positioned for martial law.
[00:29:12.845 --> 00:29:14.607]  The mark of the beast is at hand.
[00:29:14.607 --> 00:29:17.910]  Governments are calling for a new world cashless economic system.
[00:29:17.910 --> 00:29:20.673]  Having a long-term food solution is your only hope.
[00:29:20.673 --> 00:29:21.554]  To stay free.
[00:29:22.575 --> 00:29:26.216]  Now, Survival of Seeds introduces their Escape the Beast Kit.
[00:29:26.216 --> 00:29:29.576]  24 varieties of all-natural, non-genetically modified heirloom seeds.
[00:29:29.576 --> 00:29:32.457]  For true patriots and homesteaders wanting food insurance.
[00:29:32.457 --> 00:29:37.078]  That's over 5 pounds of rare historic seeds for a penny per seed.
[00:29:37.078 --> 00:29:40.279]  15,000 seeds that will feed a family healthy food for 7 years.
[00:29:40.279 --> 00:29:49.400]  Big John Lipska, host of Don't Tread on Me, is including an instructional DVD that will teach you how to earn big money selling the produce from his incredible heirloom seeds back to him.
[00:29:49.400 --> 00:29:50.881]  Restaurants and small delis.
[00:29:50.881 --> 00:29:52.101]  Don't buy from copycats.
[00:29:52.281 --> 00:29:54.423]  Their fancy packaging is not free.
[00:29:54.423 --> 00:29:56.385]  Order today before it's too late.
[00:29:56.385 --> 00:29:58.247]  SurvivalistSeeds.com.
[00:29:58.247 --> 00:30:00.590]  That's SurvivalistSeeds.com.
[00:30:00.590 --> 00:30:02.492]  A long-term food solution.
[00:30:04.660 --> 00:30:10.487]  Doctors around the world claim that cancer and other diseases cannot live in a pH-balanced alkaline environment.
[00:30:10.487 --> 00:30:15.933]  But as you know, most people are overly acidic due to stress, acidic diet, and lack of exercise.
[00:30:15.933 --> 00:30:21.299]  pH balance is the foundation of energy abundance and perfect health, as well as prevention of disease.
[00:30:21.299 --> 00:30:24.863]  People who alkalize the water they drink experience normalized blood sugar.
[00:30:25.143 --> 00:30:25.903]  We're good to go!
[00:30:52.171 --> 00:30:56.732]  With rising unemployment and an economy that continues to fail comes an increase in crime.
[00:30:56.732 --> 00:30:58.732]  Are you safe when you walk to your car?
[00:30:58.732 --> 00:31:00.093]  Are your kids safe when they go out?
[00:31:00.093 --> 00:31:02.493]  Everyone needs something to give that extra edge in
[00:31:20.799 --> 00:31:21.519]  MrDefense.com
[00:31:43.090 --> 00:31:48.995]  Surprise your loved ones this Christmas with a gift of safety and security from MrDefense.com.
[00:31:48.995 --> 00:31:51.937]  Mention this ad and receive 10% off your order.
[00:31:51.937 --> 00:31:56.160]  Visit MrDefense.com, that's MRDefense.com, or call 1-800-313-6400.
[00:31:56.160 --> 00:31:56.641]  That's 1-800-313-6400 today!
[00:32:03.482 --> 00:32:07.725]  Are you one of the people who think, I have plenty of time, nothing's ever going to happen bad to me.
[00:32:07.725 --> 00:32:13.170]  Do you believe that when your cupboards are bare, our corporate controlled government will jump right in to feed you and yours?
[00:32:13.170 --> 00:32:16.072]  Do you have at least a year supply of food for your family?
[00:32:16.072 --> 00:32:18.854]  This is Kurt, the armchair survivalist heard on this network.
[00:32:18.854 --> 00:32:20.636]  Survival Enterprises sells real food.
[00:32:24.070 --> 00:32:31.897]  Eggs, freeze-dried fruits and vegetables, Mountain House freeze-dried meals, MREs, a full nutritional line, the British Birkfeld water filter, and more.
[00:32:31.897 --> 00:32:34.879]  If you want to prepare now, go to BeforeIt'sTooLate.us.
[00:32:34.879 --> 00:32:37.081]  That's BeforeIt'sTooLate.us.
[00:32:37.081 --> 00:32:39.103]  Or call 1-800-753-1981.
[00:32:39.103 --> 00:32:42.625]  That's 1-800-753-1981.
[00:32:42.625 --> 00:32:46.889]  Or you can put your head in the sand and be just another sheeple in the corporate-controlled flock.
[00:32:46.889 --> 00:32:50.272]  But remember, those who don't learn from history are bound to repeat it.
[00:33:06.514 --> 00:33:09.136]  Thank you for listening to GCN.
[00:33:09.136 --> 00:33:12.299]  Be sure to visit GCNlive.com today.
[00:33:28.456 --> 00:33:32.639]  Don't say you weren't warned.
[00:33:32.639 --> 00:33:38.302]  Think about how cold-blooded it is that for decades they've been giving public questionnaires to troops.
[00:33:38.302 --> 00:33:40.303]  Will you fire on US citizens?
[00:33:40.303 --> 00:33:41.664]  Will you confiscate their guns?
[00:33:41.664 --> 00:33:45.286]  They have Marine Corps and Army chants about it.
[00:33:45.286 --> 00:33:48.568]  They take the guys that'll do it and keep them at home and promote them.
[00:33:48.568 --> 00:33:49.729]  Put them in police departments.
[00:33:49.729 --> 00:33:51.910]  They got files on all of it.
[00:33:51.910 --> 00:33:55.372]  Those that say they won't get shipped overseas and get kicked out of the military later.
[00:33:57.169 --> 00:33:58.129]  It's just unbelievable.
[00:33:58.129 --> 00:34:04.091]  So for decades, they've been sifting through the military, picking out the people that are ready to fire on U.S.
[00:34:04.091 --> 00:34:10.713]  citizens, that are ready to confiscate our guns, that are ready to carry out all these operations.
[00:34:10.713 --> 00:34:20.856]  Now, by the way, in my film Road to Tyranny, he gave me all the documents and photos and all of it, and photos of him in his police uniform after he got out of the Marine Corps.
[00:34:20.856 --> 00:34:24.957]  Then he started a computer company in Austin and retired out of the police department.
[00:34:25.678 --> 00:34:32.200]  But he was a Marine officer, top of his class, and so pretty young.
[00:34:32.200 --> 00:34:36.601]  He was already a mid-level officer.
[00:34:36.601 --> 00:34:45.764]  And they openly turned him loose with other Marines to raid gun dealers and others in Norfolk, Virginia.
[00:34:45.764 --> 00:34:48.085]  And he showed me all the evidence of that.
[00:34:48.635 --> 00:34:53.478]  And then I did internet searches and talked to other experts and found more out about it.
[00:34:53.478 --> 00:35:03.405]  And then I found out that they were coming to emergency managers in Texas and Maryland and California and offering them cash, big satchels of money.
[00:35:03.405 --> 00:35:04.645]  Work with the Marine Corps.
[00:35:04.645 --> 00:35:05.426]  Work with the Army.
[00:35:06.924 --> 00:35:07.725]  Well, why are you giving me $100,000?
[00:35:07.725 --> 00:35:12.086]  Because we know you're a good patriot and you deserve $100,000 cash.
[00:35:12.086 --> 00:35:21.650]  But once the cop, once the police chief, once the sheriff takes that, they're now, hey, I'll report you took a bribe.
[00:35:21.650 --> 00:35:23.150]  This is national security now.
[00:35:23.150 --> 00:35:24.911]  You now have to do what we say.
[00:35:24.911 --> 00:35:27.272]  So that's how they've covertly taken over the U.S.
[00:35:31.520 --> 00:35:37.388]  ...using the same Black Ops manuals that the Army has to take over Third World nations.
[00:35:37.388 --> 00:35:39.992]  So I wanted to play this clip before our guest comes on.
[00:35:39.992 --> 00:35:40.653]  This is from...
[00:35:41.482 --> 00:35:50.387]  The film I made that I released in February of 2002, 9-1-1, The Road to Tyranny, and we have all the video of Marines training to take your guns.
[00:35:50.387 --> 00:35:54.769]  Understand, they are training school children to take your guns.
[00:35:54.769 --> 00:35:56.130]  I have it on video.
[00:35:56.130 --> 00:35:57.831]  They are training to take your guns.
[00:35:57.831 --> 00:35:59.212]  What they do in New Orleans.
[00:35:59.212 --> 00:36:04.695]  What is the now, you know, destroyed Governor of Illinois using the National Guard to confiscate guns.
[00:36:05.135 --> 00:36:11.320]  It's all, they're training to take your guns and they first have to acclimate you to accept troops on the streets.
[00:36:11.320 --> 00:36:12.761]  And what are the troops trained to do?
[00:36:12.761 --> 00:36:14.782]  They train to take over counties and cities.
[00:36:14.782 --> 00:36:17.904]  And that's the last key point I want to make.
[00:36:17.904 --> 00:36:31.734]  In the John Warner Defense Authorization Act, in PDD 51, in the new Defense Department Directives they've put out, it's all about taking over governors, state legislatures,
[00:36:32.463 --> 00:36:35.465]  Taking over cities that say no in the future.
[00:36:35.465 --> 00:36:45.171]  What is it that's so bad that the criminal government that's in foreign banker receivership, what is it that's so bad they're planning they know cities and states are going to secede?
[00:36:45.171 --> 00:36:50.615]  Well, the Army report this year says they know that's a danger because they're destroying the United States.
[00:36:50.615 --> 00:36:51.976]  Now, the grunts on the ground don't know.
[00:36:51.976 --> 00:36:56.979]  They'll see rioting, starving, you know, all of this and think, well, we've been trained for this, we've got to go out and take care of it.
[00:36:57.515 --> 00:36:58.596]  You're being shut up.
[00:36:58.596 --> 00:37:00.697]  You're helping destroy America.
[00:37:00.697 --> 00:37:03.199]  We have to politically say no to the foreign banks.
[00:37:03.199 --> 00:37:07.642]  Expose the fact they've stolen 8.5 trillion in seven weeks and counting.
[00:37:07.642 --> 00:37:09.904]  We have to expose that this is illegitimate.
[00:37:09.904 --> 00:37:12.226]  But Fox and CNN and all of them every time
[00:37:12.910 --> 00:37:17.792]  Kashkari or Paulson or Bernanke, the private Fed chief, are on TV.
[00:37:17.792 --> 00:37:22.413]  They'll show their statement in Congress and then cut away, never showing what the Congress is saying.
[00:37:22.413 --> 00:37:26.374]  If you watch C-SPAN, Republicans and Democrats are going, you stole the money!
[00:37:26.374 --> 00:37:27.695]  It's all going offshore!
[00:37:27.695 --> 00:37:31.496]  You've bought houses in Dubai where there's no extradition!
[00:37:31.496 --> 00:37:32.756]  You stole all of this!
[00:37:32.756 --> 00:37:34.017]  And Kashkari just laughs.
[00:37:35.683 --> 00:37:41.544]  There's nothing you can do because the media is owned by the bankers, the big TV.
[00:37:41.544 --> 00:37:43.365]  Folks, this is the biggest heist.
[00:37:43.365 --> 00:37:47.826]  The crime is so big and the public has no idea what's happened.
[00:37:47.826 --> 00:37:49.546]  They have destroyed us.
[00:37:49.546 --> 00:37:56.187]  All we can hope is to pick up the pieces, but instead they're going to pose as the state savior as they destroy the economy and bring in the new world order.
[00:37:56.187 --> 00:37:59.468]  Do you understand what is happening?
[00:37:59.468 --> 00:38:02.929]  Please, I have all the documents, all the proof, all the photos, all the video.
[00:38:02.929 --> 00:38:04.829]  They're on InfoWars.com right now.
[00:38:06.912 --> 00:38:08.673]  And this is in the story Kurt Nemo posted.
[00:38:08.673 --> 00:38:11.894]  He's actually got Part 11 and 12 from Road Attorney posted in clips.
[00:38:11.894 --> 00:38:13.735]  You want to watch Part 13.
[00:38:13.735 --> 00:38:23.000]  Here is the Marine Corps officer, ROTC, an officer gets out, becomes a police officer, starts a computer company, leaves.
[00:38:23.000 --> 00:38:28.423]  The point is, he ran into a secret checkpoint, by secret they didn't announce it on the news, in 2000 on South
[00:38:31.949 --> 00:38:36.494]  IH-35 and Kyle got upset by it, knowing it was part of a secret takeover program.
[00:38:36.494 --> 00:38:37.975]  This was Army, he saw.
[00:38:37.975 --> 00:38:40.298]  So, he called me, I went out to his house.
[00:38:40.298 --> 00:38:41.920]  But again, now it's all public.
[00:38:41.920 --> 00:38:43.541]  Now it's all admitted.
[00:38:43.541 --> 00:38:47.946]  Now this is the Marines confiscating guns, secretly in America!
[00:38:49.341 --> 00:38:51.543]  In the late 1980s, here it is.
[00:38:51.543 --> 00:39:00.490]  He interviewed a former Marine Corps officer, who in 1989, while he was in the Marine Corps, was serving search warrants on American citizens' homes and businesses.
[00:39:00.490 --> 00:39:02.191]  Just start at the beginning for us.
[00:39:02.191 --> 00:39:17.163]  A little bit about your past, how you first got involved in the military, and some of the things you did, and then later in life, some of the questions that you started raising yourself after you'd been a police officer.
[00:39:17.163 --> 00:39:17.243]  Okay.
[00:39:18.073 --> 00:39:20.574]  I started out, I joined the Marines.
[00:39:20.574 --> 00:39:24.755]  Tested real high on the ASVAB, which is the Armed Forces Vocational Aptitude Battery.
[00:39:24.755 --> 00:39:29.557]  Did real well in that and was an MP, 5800 military police.
[00:39:29.557 --> 00:39:35.739]  From that I was sent over to various duty stations.
[00:39:35.739 --> 00:39:43.262]  Just thought I had an interest in civilian law enforcement, so I was able to take part in joint military police and civilian police exercises.
[00:39:44.396 --> 00:40:01.069]  We've seen the early warfare training all across the country, the black helicopters, the special forces in cities, and it seems like it's been ratcheted up in the last five years from just basic training to actual live fire in city streets.
[00:40:01.069 --> 00:40:04.632]  What type of relationship did you have with law enforcement when you were in the Marine Corps?
[00:40:04.632 --> 00:40:05.733]  Very cohesive.
[00:40:05.733 --> 00:40:06.453]  A lot of interaction.
[00:40:09.001 --> 00:40:15.324]  1988 and 1989, like I told you prior, I helped the system through search warrants.
[00:40:15.324 --> 00:40:34.871]  A lot of entry team operations giving civilian law enforcement advice and critiquing how they're doing that to rape such as crack houses or supposed terrorist organizations as far as multiple entry points of a home, whether it be through the roof, the windows, in front door, or a combination of all at the same time.
[00:40:36.520 --> 00:40:49.229]  So, you were actively, as a member of the United States Marine Corps active duty, out with civilian law enforcement, serving search warrants to homes?
[00:40:49.229 --> 00:40:50.650]  That's correct.
[00:40:50.650 --> 00:41:00.016]  There weren't missions that were called exercises, but it was actual, with real, what we call combatants, real live, it was the real deal, helping execute search warrants.
[00:41:01.596 --> 00:41:03.838]  Late 80s.
[00:41:03.838 --> 00:41:08.802]  I've actually been on point with an MP5 and I was not in a police uniform.
[00:41:08.802 --> 00:41:16.168]  I had a police flat vest on and a police jacket and black BDUs.
[00:41:16.168 --> 00:41:19.431]  And these were obviously drug dealers?
[00:41:19.431 --> 00:41:20.172]  One, maybe.
[00:41:20.172 --> 00:41:23.554]  What were the other raids concerned?
[00:41:23.554 --> 00:41:24.675]  Pawn shop owners.
[00:41:24.675 --> 00:41:26.877]  One was a pawn shop owner and the other was for
[00:41:29.116 --> 00:41:31.717]  Joint working with ATF.
[00:41:31.717 --> 00:41:44.184]  As a member of the Marine Corps, David, you're telling us you raided a civilian business with the BATF going after guns?
[00:41:44.184 --> 00:41:46.165]  It was the business owner's home.
[00:41:46.165 --> 00:41:48.626]  Oh, the business owner's home.
[00:41:48.626 --> 00:41:52.768]  The homes were civilian homes in some upper
[00:41:53.653 --> 00:41:57.114]  Middle class to white collar homes.
[00:41:57.114 --> 00:41:59.014]  One was a warehouse facility.
[00:41:59.014 --> 00:42:01.895]  Later on in life, you got out of the Marine Corps, you got into law enforcement.
[00:42:01.895 --> 00:42:07.977]  Is that when you started asking questions once you learned more about the civilian role?
[00:42:07.977 --> 00:42:11.858]  Towards my end in law enforcement, when I started getting discouraged with it, yes.
[00:42:11.858 --> 00:42:12.818]  That's when I started questioning.
[00:42:12.818 --> 00:42:21.540]  But when you're younger and you're trying to achieve and you're, you know, you got all the fancy jewelry on and all the badge and the car with all the nice decals and lights and, you know.
[00:42:23.343 --> 00:42:28.746]  You're disillusioned by a lot of different things once reality... It's just the way law enforcement has changed a lot.
[00:42:28.746 --> 00:42:30.907]  It's changing a lot.
[00:42:30.907 --> 00:42:33.589]  How has it changed?
[00:42:33.589 --> 00:42:38.232]  Uh, how people perceive law enforcement is more of an occupying army.
[00:42:38.232 --> 00:42:39.592]  More of an occupying army.
[00:42:39.592 --> 00:42:42.414]  You can go watch Tim in an interview, it's in the film.
[00:42:42.414 --> 00:42:45.095]  Confiscating guns secretly.
[00:42:45.095 --> 00:42:46.216]  Total felony.
[00:42:46.216 --> 00:42:50.018]  Hardcore, twenty-something years in prison.
[00:42:50.018 --> 00:42:51.279]  They're committing crimes everywhere.
[00:42:52.088 --> 00:42:56.411]  Now remember, military, army, marines, police doing this.
[00:42:56.411 --> 00:42:58.172]  You are special.
[00:42:58.172 --> 00:43:00.213]  You are the ones destroying America.
[00:43:00.213 --> 00:43:02.334]  I mean, what you're doing is very special.
[00:43:02.334 --> 00:43:04.115]  You're doing something our military's never done.
[00:43:04.815 --> 00:43:06.095]  So I want you to know that.
[00:43:06.095 --> 00:43:07.136]  You are special.
[00:43:07.136 --> 00:43:09.176]  You are treasonous trade.
[00:43:09.176 --> 00:43:11.597]  The holidays are right around the corner.
[00:43:11.597 --> 00:43:12.618]  The crowds.
[00:43:12.618 --> 00:43:14.418]  The countless hours in traffic.
[00:43:14.418 --> 00:43:19.120]  Finding a parking spot just to buy a gift you're worried they might not like anyway.
[00:43:19.120 --> 00:43:24.182]  How about surprising your loved ones with a gift they can use every day of the year?
[00:43:24.182 --> 00:43:28.583]  Give the gift of safety with security products from Pepperspray.com.
[00:43:28.583 --> 00:43:34.405]  Pepperspray.com carries the largest assortment of pepper spray and other personal safety devices on the
[00:43:34.445 --> 00:43:34.985]  I don't know.
[00:43:53.414 --> 00:43:56.196]  Shop now at Pepperspray.com or call 1-800-908-9988.
[00:43:56.196 --> 00:43:56.497]  That's 1-800-908-9988.
[00:43:56.497 --> 00:43:59.899]  Pepperspray.com wishes you and yours a safe and happy holiday season.
[00:44:08.484 --> 00:44:10.466]  Heart disease is on the rise.
[00:44:10.466 --> 00:44:17.431]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you, but the symptoms are there.
[00:44:17.431 --> 00:44:25.838]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[00:44:25.838 --> 00:44:31.563]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[00:44:31.863 --> 00:44:32.263]  I don't know.
[00:44:50.453 --> 00:44:52.794]  Order your two-month supply today by calling 866-295-5305.
[00:44:52.794 --> 00:44:53.275]  That's 866-295-5305.
[00:44:53.275 --> 00:44:55.015]  Or order online at HBextract.com.
[00:44:55.015 --> 00:44:55.736]  Heart and Body Extract, 866-295-5305.
[00:44:55.736 --> 00:44:56.616]  Or HBextract.com.
[00:45:08.768 --> 00:45:12.311]  Special Roast Hemp Coffee from HempUSA.org.
[00:45:12.311 --> 00:45:23.119]  Our coffee grows in the dense volcanic rich soil, herbicide and pesticide free, in the high altitudes of Guatemala, in conditions that are ideal for the natural growth of this high quality coffee.
[00:45:23.679 --> 00:45:29.303]  Try our Mellow Cup of Coffee that is ground and roasted with 25% hemp seed from Canada.
[00:45:29.303 --> 00:45:38.609]  With a wonderful nutty flavor that contains 18% protein, our roasters bring out a unique flavor that make this the best cup of coffee you'll ever have.
[00:45:38.609 --> 00:45:44.653]  Try our new Special Roast Hemp Coffee from hempusa.org and wake up your brain without the jitters.
[00:45:44.653 --> 00:45:47.375]  Our customers look forward to their next cup of hemp coffee.
[00:45:48.095 --> 00:45:49.456]  Visit us at hempusa.org or call 908-691-2608.
[00:45:49.456 --> 00:45:52.359]  That's 908-691-2608 and see if you'll change your mind about drinking coffee again.
[00:45:52.359 --> 00:45:55.642]  Taste the difference, feel the difference at hempusa.org today!
[00:46:09.133 --> 00:46:11.936]  Toxic heavy metals negatively impact our health.
[00:46:11.936 --> 00:46:17.482]  They're in the air we breathe, the water we drink, the food we eat, the products we use, and the objects we touch.
[00:46:17.482 --> 00:46:19.525]  Exposure is impossible to avoid.
[00:46:19.525 --> 00:46:23.629]  Heavy metals build up within the body over a period of time, causing poor health.
[00:46:23.629 --> 00:46:28.034]  However, with KiloRacks, they can be mobilized and excreted in a safe and effective manner.
[00:46:28.314 --> 00:46:28.794]  I think so.
[00:46:43.425 --> 00:46:44.345]  Thank you for listening to GCN.
[00:47:13.473 --> 00:47:22.621]  Be sure to visit GCNlive.com today.
[00:47:22.621 --> 00:47:30.508]  Yeah, just putting bookends on what I've been covering the last 40 minutes and we're going to our guests for the balance of the broadcast and then of course your calls in the next hour.
[00:47:33.797 --> 00:47:36.743]  The military openly is to be used on the streets of America.
[00:47:36.743 --> 00:47:40.891]  They have them for PR purposes at car wrecks and DWI checkpoints.
[00:47:40.891 --> 00:47:45.079]  The Army admits, the Marine Corps admits, to condition the public to accept occupation.
[00:47:45.948 --> 00:47:50.051]  The foreign financial institutions have just done a corporate takeover of the United States.
[00:47:50.051 --> 00:48:04.120]  The military and police are their security guards to make sure that transfer goes smoothly, and our journey into serfdom and third world slavery, and the end of the middle class, and the seizure of your bank accounts, your pension funds, your 401ks, goes smoothly.
[00:48:04.120 --> 00:48:07.822]  And that's being discussed right now in Congress.
[00:48:07.822 --> 00:48:10.884]  So I made films about this a decade ago.
[00:48:10.884 --> 00:48:13.306]  My last film I made on this was, what, eight years ago.
[00:48:14.108 --> 00:48:21.094]  And I warned you, I saw the documents, I went to the drills, and now we're in the middle of it, and I asked the military and police.
[00:48:21.094 --> 00:48:23.575]  I know most of you don't like what you're being told to do.
[00:48:23.575 --> 00:48:25.057]  The public doesn't like what's happening.
[00:48:25.057 --> 00:48:29.060]  This has made a big stir out in California with the Marines on the streets.
[00:48:29.060 --> 00:48:32.462]  And it's not about terrorism anymore, it's about petty crime.
[00:48:32.462 --> 00:48:36.025]  I mean, this is just classical treason.
[00:48:36.025 --> 00:48:38.167]  So don't be a traitor, don't be a treacherous
[00:48:38.875 --> 00:48:40.877]  A new world order of many and say no to this now.
[00:48:40.877 --> 00:48:46.802]  This is so over the top there is a lot of resistance to it we've got to say no.
[00:48:46.802 --> 00:48:54.009]  International best-selling author Jeffrey M Smith is a leading spokesman on the health dangers of genetically modified organisms is globally respected research and
[00:48:56.275 --> 00:49:03.800]  Magnetic communication style captured public attention in 2003 with his first book on the serious yet unknown side effects of genetically engineered foods.
[00:49:03.800 --> 00:49:09.724]  Seeds of deception exposing industry and government lies about the safety of the genetically engineered foods you're eating.
[00:49:09.724 --> 00:49:13.566]  And he's been involved in a bunch of films and other books.
[00:49:13.566 --> 00:49:17.829]  We carry quite a few of them at InfoWars.com and PrisonPlanet.com.
[00:49:17.829 --> 00:49:18.610]  And this is another
[00:49:19.631 --> 00:49:46.756]  Another group of stations you're on, Jeffrey, with us today, so we can kind of recap the basics of what we're facing and just how serious the GMO and the rest of it is, and then get into all the new studies coming out about how this stuff is sterilizing mammals and linked to cancer and so many other serious problems and why all the scientists and people you've interviewed, why the data shows it's causing an increase in cancer and sterility and so many other issues.
[00:49:46.756 --> 00:49:48.836]  So, Jeffrey, it's great to have you here with us.
[00:49:49.256 --> 00:49:50.056]  It's great to be back.
[00:49:50.056 --> 00:49:51.137]  Thank you.
[00:49:51.137 --> 00:49:54.697]  You're leaving the country here in a few days.
[00:49:54.697 --> 00:50:01.299]  I meant to add, you've testified to governments worldwide and to the European Union and to legislatures here.
[00:50:01.299 --> 00:50:02.819]  Where are you going next week?
[00:50:02.819 --> 00:50:05.180]  Well, I'm going to India in a couple of days.
[00:50:05.180 --> 00:50:07.060]  India is really under attack.
[00:50:07.060 --> 00:50:13.542]  Monsanto has really pushed genetically engineered cotton into the country.
[00:50:14.324 --> 00:50:26.611]  And it's apparently causing huge allergic reactions in thousands of people, touching the genetically engineered cotton, sickness, death, and sterility in animals that eat the cotton products.
[00:50:26.611 --> 00:50:37.198]  And also, the Daily Mail estimates 125,000 suicides among farmers who planted it and ended up going broke and in debt, unable to repay their
[00:50:37.995 --> 00:50:38.875]  Their debt.
[00:50:38.875 --> 00:50:56.262]  So it's a huge disaster going on in India and I'm going to be not only investigating and documenting it in new film, I'm also going to be speaking about the dangers of genetically engineered food and trying to drum some sense into those that have been making the decisions to give open door to Monsanto.
[00:50:57.387 --> 00:50:59.969]  SeedsOfDeception.com is the website.
[00:50:59.969 --> 00:51:06.013]  Again, we carry our books and videos as well at InfoWars.com, but SeedsOfDeception.com.
[00:51:06.013 --> 00:51:08.675]  Particularly, let's start out with the cotton first.
[00:51:08.675 --> 00:51:10.035]  And by the way, that's a conservative number.
[00:51:10.035 --> 00:51:14.859]  Some news reports are over 200,000 have committed suicide because they were already at subsistence level.
[00:51:14.859 --> 00:51:18.261]  Then the animals eat the seeds, they die en masse, the communities are wiped out.
[00:51:18.781 --> 00:51:20.423]  Well, there's a number of reasons why it might be bad.
[00:51:20.423 --> 00:51:21.624]  There's a lot of stories associated with it.
[00:51:39.677 --> 00:51:47.045]  To give some background to the listeners, genetic engineering is you take genes from one species and you force it into the DNA of another species.
[00:51:47.045 --> 00:51:58.998]  Now, what happens is the process of insertion causes massive collateral damage in the DNA, which can create new proteins, new toxins, new diseases, new carcinogens,
[00:51:59.611 --> 00:52:05.695]  In fact, I was talking to one former Monsanto employee who said he discovered, a Ph.D.
[00:52:05.695 --> 00:52:23.086]  told him that the process of creating the genetically engineered cotton that he was looking at created completely new proteins that were never intended, and they decided to ignore those proteins and just feed the cotton seed cakes to dairy cows that were living near his house.
[00:52:23.086 --> 00:52:24.767]  And he was absolutely concerned.
[00:52:24.767 --> 00:52:26.708]  He knew that feeding animals
[00:52:27.327 --> 00:52:32.009]  Deadly or dangerous proteins could influence the food supply for the milk and meat.
[00:52:32.009 --> 00:52:38.090]  And he tried to get the Monsanto people to not feed it into the food supply until they had tested it.
[00:52:38.090 --> 00:52:41.431]  One guy said, we've always done it this way and we're going to do it this way and continue to do it this way.
[00:52:41.431 --> 00:52:43.852]  All right, let me just throw this in for the people to understand.
[00:52:43.852 --> 00:52:53.835]  We hear the spin from mainstream corporate media that, oh, this is like George Washington Carver crossing two types of soybean or two types of corn or two types of potato.
[00:52:53.835 --> 00:52:55.196]  This is what plants naturally do.
[00:52:55.936 --> 00:53:01.178]  We're talking about putting spider genes in goats to create body armor out of their milk.
[00:53:01.178 --> 00:53:05.720]  We're talking about putting human genes in pigs so they can take their organs out and put them in humans.
[00:53:05.720 --> 00:53:17.846]  And they fire with a gene gun into the DNA to randomly get mutations to see which mutation they like, but it causes randomly thousands of other things to happen and that's why we now see
[00:53:18.506 --> 00:53:26.714]  I believe the evidence shows, like Ebola in pigs, all of this stuff jumping around, and they admit this is happening, but don't seem to care.
[00:53:26.714 --> 00:53:29.116]  It's a brilliant summary, Alex.
[00:53:29.116 --> 00:53:36.163]  In fact, when you look at the genetically engineered plant, and you compare it to the natural plant before it was genetically engineered,
