[00:00:00.009 --> 00:00:00.349]  I believe.
[00:25:24.024 --> 00:25:26.407]  When they do this, I mean, that means it's hurting them.
[00:25:26.427 --> 00:25:26.967]  They're scared.
[00:25:27.708 --> 00:25:43.553]  Because they all know, Bill O'Reilly did pieces back in the 80's, I've got, where he admitted JFK was killed, he said E. Howard Hunt did it, he said the government shipped in drugs, he did whole pieces showing video being loaded, cocaine at Ella Pongo, I don't know if you ever saw that, but it's the same stuff Silly talks about, but I didn't know there were newscasts.
[00:25:43.753 --> 00:25:45.254]  Bill O'Reilly knows everything.
[00:25:45.894 --> 00:25:48.116]  He used to do shows about the New World Order.
[00:25:48.396 --> 00:25:50.158]  And that's one of the points I try to make with my film.
[00:25:50.178 --> 00:25:52.179]  Look, I don't take my word for anything.
[00:25:52.279 --> 00:25:58.364]  I portray myself as like an average guy who grew up in the suburbs with, you know, upper middle class parents.
[00:26:00.026 --> 00:26:05.610]  These stories that are told in my film come directly out of the mouth from the people that were there first hand.
[00:26:05.670 --> 00:26:07.792]  You know, Ricky Ross tells the Ricky Ross story.
[00:26:07.832 --> 00:26:09.874]  So I could tell you a story.
[00:26:10.434 --> 00:26:15.398]  And, you know, I've got a clip of the former head of the DEA, Rob Bonner, admitting that this happened.
[00:26:15.836 --> 00:26:22.506]  You know, so it's like, I don't care what anybody says, you have the former head of the DEA admitting that it happened, it's like game over.
[00:26:23.588 --> 00:26:27.954]  You know, and yet they're gonna go, oh, conspiracy, conspiracy theory, the head of the DEA just admitted it.
[00:26:27.994 --> 00:26:29.316]  It's like, you know.
[00:26:31.704 --> 00:26:33.625]  Well, this is what I try to do with my show, folks.
[00:26:33.705 --> 00:26:38.367]  It's not obsessing on one issue or which group runs it or how the hierarchy operates.
[00:26:38.407 --> 00:26:40.928]  We spend some time on that, but it's fighting the phony drug war.
[00:26:40.968 --> 00:26:46.591]  It's fighting how they force medicators to the water supply with the sodium fluoride and chlorine and other things.
[00:26:47.412 --> 00:26:49.953]  How they are carrying out eugenics against us.
[00:26:50.193 --> 00:26:51.334]  Have you seen Endgame, Kevin?
[00:26:51.354 --> 00:26:52.194]  I need to send you a copy.
[00:26:52.774 --> 00:26:54.575]  Yeah, I've watched it.
[00:26:55.516 --> 00:26:56.116]  What did you think of it?
[00:26:56.949 --> 00:26:57.369]  I like it.
[00:26:57.549 --> 00:26:58.009]  I like it.
[00:26:58.290 --> 00:26:59.570]  But that's the whole angle of it.
[00:26:59.830 --> 00:27:02.651]  They actually think they're God and they've been poisoning us all along.
[00:27:02.691 --> 00:27:04.832]  I mean, it's just... Yeah, no, I totally agree.
[00:27:04.912 --> 00:27:14.035]  I mean, you know, I'm sure you talk about this all the time, but, you know, people need to start pulling away from pharmaceuticals.
[00:27:14.135 --> 00:27:17.396]  You know, try to start now.
[00:27:18.437 --> 00:27:20.918]  Try to wean yourself from any pharmaceuticals you're on.
[00:27:20.938 --> 00:27:21.538]  Now, if you've got
[00:27:22.082 --> 00:27:25.704]  You know, they're even finding out that all this cholesterol stuff is a big conspiracy.
[00:27:25.784 --> 00:27:27.806]  Oh no, your body actually needs cholesterol.
[00:27:27.866 --> 00:27:29.667]  It's the trans fats that are killing people.
[00:27:29.707 --> 00:27:36.451]  Yes, I mean, I've even, like, you know, I've got my doctor telling me, like, I need Lipitor, and then I find out that that's, you know, a whole other, you know what I mean?
[00:27:36.511 --> 00:27:37.812]  It just gives you heart attacks.
[00:27:38.132 --> 00:27:39.473]  You know what, let's play some clips.
[00:27:39.793 --> 00:27:44.977]  You want to play Tommy Chung, Mike Rupert, the drug war trailer, Judge Joe Arpaio.
[00:27:45.657 --> 00:27:46.397]  Which one do you want to play?
[00:27:48.397 --> 00:27:51.479]  Oh, God, are you talking about the bonus ones?
[00:27:51.679 --> 00:27:54.780]  We're just going to play audio off of these, the clips you sent us.
[00:27:54.800 --> 00:27:56.201]  You want to play Joe Arpaio clip?
[00:27:56.541 --> 00:27:57.401]  Drug War trailer?
[00:27:57.421 --> 00:27:58.562]  You want to play Mike Rupert?
[00:27:58.642 --> 00:27:59.882]  Yeah, don't play the trailer.
[00:28:00.122 --> 00:28:01.883]  I don't know, but I guess play Arpaio.
[00:28:01.903 --> 00:28:02.563]  That's kind of fun.
[00:28:02.784 --> 00:28:04.664]  Okay, and then we'll play Mike Rupert and Tommy Chong.
[00:28:04.864 --> 00:28:06.205]  Here's Joe Arpaio, folks.
[00:28:06.245 --> 00:28:08.706]  You've got to get the film, plus three hours of extras.
[00:28:08.906 --> 00:28:10.527]  He worked on this almost five years.
[00:28:10.907 --> 00:28:14.849]  So I'd say this is like five, six films, Kevin.
[00:28:14.869 --> 00:28:15.309]  What would you say?
[00:28:15.529 --> 00:28:21.030]  Well, yeah, I mean, and I had even had people from Showtime talking to me about doing a series out of this.
[00:28:22.171 --> 00:28:29.793]  And I actually had the outline, almost enough footage for an entire series, minus like a couple of like throughput, like hosting type narration segments.
[00:28:30.773 --> 00:28:35.234]  And, you know, the negotiations drug on, and I said, I gotta get this thing out there.
[00:28:35.434 --> 00:28:36.174]  Good job, Kevin.
[00:28:36.455 --> 00:28:38.275]  And now it's hot, and now you'll get your other film.
[00:28:38.855 --> 00:28:41.536]  Let's go ahead and roll Lordo Arpaio.
[00:28:42.918 --> 00:28:45.680]  The only way you're going to sell this is because you got me on it.
[00:28:46.941 --> 00:28:49.322]  You know that, don't you?
[00:28:49.342 --> 00:28:59.007]  You're not going to sell it because of the ex-governor of New Mexico, who's a has-been, or McCaff, all these guys are a has-been.
[00:28:59.027 --> 00:29:01.728]  Why are you wasting your time talking to has-beens?
[00:29:01.748 --> 00:29:02.529]  I'm still here.
[00:29:03.329 --> 00:29:04.190]  I'm still around.
[00:29:05.782 --> 00:29:08.985]  You thought I was bashful, huh?
[00:29:09.085 --> 00:29:09.325]  Huh?
[00:29:10.587 --> 00:29:11.708]  What?
[00:29:11.768 --> 00:29:16.232]  Hey, I do this in my sleep.
[00:29:17.333 --> 00:29:21.697]  They should be punished, and I hope that they're being punished on 12-cent meals.
[00:29:22.177 --> 00:29:23.238]  You guys like the food?
[00:29:23.479 --> 00:29:25.841]  Do we have a... Oh, very... What is this?
[00:29:27.049 --> 00:29:29.470]  This is what they, we don't have three meals a day.
[00:29:30.010 --> 00:29:32.231]  Where's that guy that weighs 600 pounds here?
[00:29:32.271 --> 00:29:33.032]  I just saw.
[00:29:33.852 --> 00:29:35.593]  I just saw a guy, 600 pounds.
[00:29:36.613 --> 00:29:36.933]  Where?
[00:29:38.014 --> 00:29:39.114]  Let me tell you something.
[00:29:39.995 --> 00:29:41.675]  We don't have three meals a day.
[00:29:41.695 --> 00:29:45.877]  This is brunch.
[00:29:46.497 --> 00:29:46.958]  Brunch.
[00:29:47.818 --> 00:29:49.419]  Open it up, will you?
[00:29:49.459 --> 00:29:52.180]  Probably donated, we only have donated.
[00:29:53.271 --> 00:29:54.451]  What year did it expire?
[00:29:54.471 --> 00:29:57.292]  It looks like 20 years ago it expired.
[00:29:57.912 --> 00:29:59.533]  We bake our own bread.
[00:30:00.953 --> 00:30:04.174]  And then we usually have bologna, or green bologna.
[00:30:04.214 --> 00:30:05.294]  Sometimes it's green.
[00:30:05.894 --> 00:30:06.914]  See what it is tonight.
[00:30:08.695 --> 00:30:09.795]  Yeah, it is a little green.
[00:30:10.315 --> 00:30:11.755]  Yeah, you see that?
[00:30:12.816 --> 00:30:14.336]  Now that's one meal.
[00:30:14.756 --> 00:30:16.677]  That's 11.12 cents, okay?
[00:30:17.357 --> 00:30:19.237]  Now tonight they'll have a hot meal.
[00:30:20.238 --> 00:30:21.598]  Depending on the donation.
[00:30:24.901 --> 00:30:27.343]  So, the video's even more powerful.
[00:30:27.423 --> 00:30:45.615]  Just a total thug, drunk driving, running over things, literally plowing his car into businesses, stumbling around, arresting people if their swimming pool looks like it's dirty, spying on everyone, no Bill of Rights, random checkpoints, and he just stumbles around, just bragging how powerful and great he is.
[00:30:45.675 --> 00:30:48.077]  Just total mentally ill thug, ruling!
[00:30:48.677 --> 00:30:50.539]  And people in Phoenix, most people
[00:30:51.833 --> 00:30:53.555]  They love him, or they say they love him.
[00:30:53.815 --> 00:30:55.477]  I mean, you're hard-pressed.
[00:30:55.497 --> 00:31:03.264]  I mean, I would go into a coffee shop, and you get some young kid there that you could tell doesn't agree with him, and you'd say, well, what do you think about Joe Arpaio?
[00:31:03.405 --> 00:31:06.508]  And they would just sit there and look at you and go, I love him.
[00:31:06.708 --> 00:31:07.309]  He's great.
[00:31:07.469 --> 00:31:11.473]  You know, it's literally that kind of mentality when you're in Maricopa County.
[00:31:13.177 --> 00:31:20.381]  I mean, people are literally, like, not... People are so afraid of him that they won't even, like, say anything bad about him.
[00:31:20.441 --> 00:31:21.381]  That's how afraid they are.
[00:31:24.683 --> 00:31:26.103]  How long did you spend with this guy?
[00:31:27.044 --> 00:31:28.265]  I just spent a couple of days there.
[00:31:31.386 --> 00:31:32.827]  It was a long couple of days.
[00:31:33.407 --> 00:31:33.807]  Oh, man.
[00:31:33.967 --> 00:31:36.328]  I mean, talk about the atmosphere in there.
[00:31:36.509 --> 00:31:37.669]  He's a total egomaniac.
[00:31:37.689 --> 00:31:41.231]  He made me, like... I had to, like, wait out in the sun for, like, several hours.
[00:31:42.174 --> 00:31:48.720]  Um, and he pulls up, and it wasn't a limousine, but it was kind of like a stretch car, and I know it was, it was like a big armored, like, town car.
[00:31:49.800 --> 00:32:04.452]  Um, and he, and he finally pulls up like a rock star, and these guys come out, and he's like, alright, I'm gonna take you through, on the tour of the thing, and, and he just turns it on, you know, and, uh, uh, you know, he's, uh, he's a character.
[00:32:04.813 --> 00:32:05.473]  He's crazy.
[00:32:05.493 --> 00:32:11.438]  Back at that time, he was talking about having his own reality show, where it's gonna be a reality show of him just being mean to prisoners.
[00:32:12.082 --> 00:32:16.485]  And what I love too is that he talks about how a lot of the prisoners there are awaiting trial.
[00:32:16.525 --> 00:32:19.907]  So you've got thousands of people there that haven't even been convicted yet, right?
[00:32:20.408 --> 00:32:25.891]  And yet then when you turn around and I go, well, do those guys get like, do they have to eat like rotten food?
[00:32:25.911 --> 00:32:27.773]  And he's like, of course they do.
[00:32:27.953 --> 00:32:29.394]  You know, they need to be punished.
[00:32:29.874 --> 00:32:34.197]  And I was like, okay, so the innocent people, oh, they're not innocent.
[00:32:34.357 --> 00:32:35.458]  Nobody here is innocent.
[00:32:37.306 --> 00:32:39.587]  Okay, but they haven't been to trial yet.
[00:32:40.128 --> 00:32:41.969]  Well, trust me, they'll be guilty.
[00:32:42.069 --> 00:32:45.411]  Kevin, I have got this Bill O'Reilly clip here.
[00:32:45.431 --> 00:32:50.213]  Maybe you should play the Bill Maher one first?
[00:32:50.753 --> 00:32:52.695]  I don't have that in front of me, but I have him.
[00:32:53.695 --> 00:32:55.037]  Yeah, I'd love to give him a DVD.
[00:33:09.295 --> 00:33:10.115]  Okay, well I'll call him.
[00:33:10.536 --> 00:33:11.756]  We'll even see if the number's still good.
[00:33:11.776 --> 00:33:12.517]  That was two years ago.
[00:33:12.557 --> 00:33:13.537]  That was June of 1996.
[00:33:13.637 --> 00:33:16.539]  Yeah, I sent an email through his website.
[00:33:16.599 --> 00:33:17.739]  He has a website.
[00:33:18.200 --> 00:33:24.103]  I kind of babble on this new extra hour show because I'm running everything in here and I'm busy trying to see if I've even got the audio to this feed.
[00:33:24.823 --> 00:33:25.583]  Here's O'Reilly.
[00:33:25.603 --> 00:33:26.764]  I don't hear him for some reason.
[00:33:27.564 --> 00:33:28.625]  I've got computer up.
[00:33:30.006 --> 00:33:31.426]  Ah, who knows anymore these days.
[00:33:32.787 --> 00:33:33.127]  Do what?
[00:33:34.628 --> 00:33:35.248]  I don't understand.
[00:33:35.268 --> 00:33:35.749]  I can't hear you.
[00:33:35.969 --> 00:33:37.930]  I've got guys in the other control room telling me things.
[00:33:39.955 --> 00:33:41.777]  Uh, they're saying unmute laptop.
[00:33:42.037 --> 00:33:43.358]  I have unmuted laptop here.
[00:33:43.919 --> 00:33:45.420]  So you can come in and run it if you want.
[00:33:46.781 --> 00:33:48.243]  Again, this is all the beta test here.
[00:33:48.283 --> 00:33:51.465]  This show is already gigantic, but we're just doing everything live here on the fly.
[00:33:51.646 --> 00:33:57.471]  Well, since it fouled up, try to do the Bill Maher clip first, because you should hear what Morales says.
[00:33:58.658 --> 00:33:59.559]  Yeah.
[00:33:59.599 --> 00:34:07.304]  You should hear his entire rant, because when Bill O'Reilly played the rant, he obviously clipped off all the good things that he said.
[00:34:07.344 --> 00:34:08.005]  Yeah, well don't worry.
[00:34:08.045 --> 00:34:09.786]  We're going to get that, Kevin.
[00:34:09.806 --> 00:34:10.947]  Let's go ahead and roll it now.
[00:34:11.007 --> 00:34:11.387]  Here it is.
[00:34:11.687 --> 00:34:12.768]  The Patriots is next.
[00:34:13.128 --> 00:34:18.252]  Tonight, starring the former boss of NYPD Blue, Ese Morales, moments away.
[00:34:20.773 --> 00:34:23.255]  On a pinhead front, what is going on in Hollywood?
[00:34:23.275 --> 00:34:26.818]  The former captain of NYPD Blue, Ese Morales, said this.
[00:34:28.633 --> 00:34:33.017]  And if you look at YouTube, there's a thing called America Drug War.
[00:34:33.458 --> 00:34:42.567]  And it shows how our presidents, from Reagan to Bush, and I don't know who else, took up bags of crack cocaine and introduced it to the world as a scourge.
[00:34:43.047 --> 00:34:48.993]  It wasn't as big a problem until the president brings it up, and it seems like they're promoting the very thing they're saying they're against.
[00:34:49.894 --> 00:34:50.995]  Good grief.
[00:34:52.276 --> 00:34:54.078]  Obviously, Mr. Morales has been it.
[00:35:00.296 --> 00:35:01.481]  Well, there you go, Kevin.
[00:35:05.616 --> 00:35:06.519]  You gotta love that.
[00:35:07.836 --> 00:35:16.961]  I mean, on that show, when Willie Nelson talked about bombs in the buildings and all the rest of it, he just said, pinhead.
[00:35:16.981 --> 00:35:20.523]  They don't have to refute any information, they don't have to have arguments, nothing intellectual.
[00:35:21.984 --> 00:35:30.309]  It's like when former Governor Jesse Ventura, he broke it of course here last week, but last night was on Hannity & Combs, Hannity just said, Rosie O'Donnell.
[00:35:30.389 --> 00:35:31.450]  He just kept repeating that word.
[00:35:32.910 --> 00:35:37.731]  Like saying, oh look, people don't like her, some people don't, so it's a liberal issue.
[00:35:38.311 --> 00:35:39.972]  I mean, it's amazing.
[00:35:40.432 --> 00:35:47.553]  But the good news, Kevin, sometimes I get negative and pessimistic, but you're a little more positive, which I think is probably accurate.
[00:35:47.673 --> 00:35:52.114]  People are starting to get it now, but what they're getting is how crazy things are.
[00:35:52.154 --> 00:35:56.435]  We have drug dealing, criminal government, running everything that stages terror attacks.
[00:35:58.236 --> 00:36:00.056]  I just think that if people
[00:36:01.084 --> 00:36:02.144]  We can start waking up.
[00:36:02.224 --> 00:36:10.227]  I mean, first of all, I think we as a people, we can't simultaneously plan for our demise and for our future.
[00:36:10.327 --> 00:36:18.791]  And I think if we're going to save this country, we've got to just plan for our future and let God take it from there, you know?
[00:36:19.291 --> 00:36:24.613]  Because these guys are winning if everybody is like all freaked out and running around.
[00:36:24.653 --> 00:36:26.574]  I mean, we've got to, like, we're right.
[00:36:27.254 --> 00:36:30.195]  You know, we've got to hold our heads high and, you know, I mean,
[00:36:30.836 --> 00:36:36.519]  Having Bill O'Reilly say that and call it pinhead, I mean, that's like, I mean, in my household, that was like a total high-five moment.
[00:36:36.599 --> 00:36:39.061]  That was like a total victory laugh.
[00:36:39.081 --> 00:36:41.502]  I mean, it doesn't get any better than that.
[00:36:41.542 --> 00:36:42.903]  That's like pop the champagne.
[00:36:44.224 --> 00:36:47.766]  So, you know, and I think, I think, you know, more and more people are waking up.
[00:36:47.826 --> 00:36:55.230]  I mean, I think, you know, even from just a year ago, it seems, uh, seems like a lot has really changed, even in just
[00:37:02.211 --> 00:37:04.632]  Well, corrupt elites do this all the time, and you're right.
[00:37:05.332 --> 00:37:09.754]  All throughout history, it's like Marie Antoinette and the Let Them Eat Cake, as they're starving to death outside.
[00:37:09.774 --> 00:37:17.617]  And I know historically that's not a completely accurate, but that's the popularized story, and there are real examples of Nero fiddling while Rome burns.
[00:37:18.257 --> 00:37:37.634]  It's just, they're dealing the drugs, they're shipping them in, they're CPSing people's kids, they're totally corrupt, and they just went further and further, and finally they blew the towers up, and I believe that's why the drug war stuff's coming out now, and that's why people are just saying, look, this is too much now, we can't go along with this, this is too insane, and people now know it's about their survival.
[00:37:38.194 --> 00:37:49.517]  I mean, when it starts coming out in the San Francisco Chronicle, and the Houston Chronicle, and the Associated Press, with former congressmen giving out documents about how FEMA camps have been built for us, people are finally going, hell, I better speak out, man, these people aren't playing around!
[00:37:49.537 --> 00:37:55.499]  Then they find out Bush's grandfather is a Nazi, as we put in martial law, Kevin and I. I mean, they're really figuring it out.
[00:37:57.040 --> 00:38:05.102]  Yeah, no, and tying it into modern day with what's going on in Afghanistan, you know, and that's like another thing I've tried to tie together with
[00:38:05.726 --> 00:38:29.400]  With the lessons learned from Iran-Contra, and it's a little depressing when I go from, you know, the universities I talk to the kids, you know, God, you know, so many of them really are just in this world of Facebook and products and, you know, what color iPod am I going to get this week and video games, and it is a little bit depressing, but there are some kids out there that are trying to make a difference, and so I think it's
[00:38:29.938 --> 00:38:54.020]  One of the points I tried to make in this film was to show, like, what happened during the Iran-Contra scandal, bring Ricky Ross, Celica Stilley, some of the people that are actually there in person, and then bring it around full loop to what's going on in Afghanistan since we invaded, and also tying the loop, too, that we're supposedly poised to go to war against Iran, but, you know, who did Iran get their first missile technology from?
[00:38:54.600 --> 00:38:54.921]  You know?
[00:38:55.121 --> 00:38:56.202]  I mean, it's all...
[00:38:56.929 --> 00:38:59.491]  You know, it just keeps eating itself.
[00:38:59.731 --> 00:39:04.333]  No, they always create, you're right, the next crises, then they have to clean up.
[00:39:04.713 --> 00:39:08.876]  They give us cancer so they can then suck all of our money out of us as they give us false treatments.
[00:39:08.916 --> 00:39:10.217]  I mean, it's all diabolical.
[00:39:10.237 --> 00:39:17.741]  The Rockefellers in the 20's found out about how cancer was communicable, almost all of it, viral, and they put viruses into the vaccine supply.
[00:39:17.801 --> 00:39:18.882]  These people are out of control.
[00:39:19.702 --> 00:39:23.004]  And I'm just sick of them, and the public's going to find out just how evil they are.
[00:39:23.404 --> 00:39:30.969]  I want to open the phones up, Kevin, at 512-646-5400.
[00:39:30.989 --> 00:39:31.429]  512-646-5400.
[00:39:31.629 --> 00:39:41.476]  Either on the American Drug War, the police state, or if you're in San Francisco, as I know some of our listeners are, where the communist death troops, that's what they are, they are the secret police,
[00:39:44.540 --> 00:39:46.101]  Death Squad is the word I'm looking for.
[00:39:46.821 --> 00:39:51.242]  And they are there in England and in Paris and other places.
[00:39:51.302 --> 00:39:52.543]  Now they're here everywhere they go.
[00:39:52.983 --> 00:39:58.465]  They just grab any Tibetan signs, beat people up, and the police are ordered to attack anyone they order them to attack.
[00:39:59.225 --> 00:40:01.126]  And Kevin, can you believe this is happening?
[00:40:02.747 --> 00:40:06.708]  You know, on one level, yes.
[00:40:06.808 --> 00:40:07.768]  On another level, no.
[00:40:08.028 --> 00:40:11.930]  I mean, you know, I believe it's happening just by watching
[00:40:12.802 --> 00:40:23.548]  You know, what's been going on, and obviously the final push, you know, there's no telling what the final push is going to be in the final days of this Bush administration.
[00:40:24.389 --> 00:40:31.933]  And, you know, it's scary and exciting to wonder what kind of transition we're all getting ready to have from that.
[00:40:31.993 --> 00:40:39.317]  But, you know, it's like you've been saying for a long time with the foreign troops and using the Olympics
[00:40:40.507 --> 00:40:42.308]  To do that is just so classic.
[00:40:42.488 --> 00:40:47.891]  You know, it's just, it's just once again, it's like a bad, it's like a bad script writer.
[00:40:47.952 --> 00:40:50.153]  Like just, down in 9-11, everything like that.
[00:40:50.213 --> 00:40:56.717]  It's like, if you took like the worst Hollywood script writer, it's as if like this whole thing is being written by a total hack.
[00:40:56.897 --> 00:40:58.458]  Cause it's just like, it's so obvious.
[00:40:58.498 --> 00:41:00.099]  You could just go, okay, now they're going to do this.
[00:41:00.179 --> 00:41:01.960]  And it's just, you know, and then they do.
[00:41:03.200 --> 00:41:05.642]  Um, you know, I don't, I don't know what else to say.
[00:41:07.219 --> 00:41:17.002]  Well, it isn't in plain view, but they do that scientifically, not just aiming at the lowest common denominator, but to dumb down the debate, really making us all dumber.
[00:41:17.202 --> 00:41:22.424]  I mean, if you grow up around real debate and dynamic discussions and everything, it increases your intelligence, your critical thinking.
[00:41:22.764 --> 00:41:31.247]  But even if you're born genetically smart, and then nature, you know, smart, you get good nutrition, taken care of, learned, still being around a bunch of morons dumbs you down.
[00:41:31.997 --> 00:41:40.021]  Yeah, and once again, just like that movie Idiocracy, you know, which I feel... Anybody who can say a straight line or sentence, they call a fag.
[00:41:40.662 --> 00:41:42.323]  It's like, hey, I have rights to the judge.
[00:41:42.363 --> 00:41:43.643]  The judge goes, shut up, fag.
[00:41:43.803 --> 00:41:50.167]  Yeah, no, I mean, it's exactly... I mean, that movie hit it on the head and it's just so weird how that movie just kind of came and went without, you know.
[00:41:50.851 --> 00:41:52.873]  They just stayed off the radar screen.
[00:41:53.093 --> 00:42:11.446]  Well, you've got a guy like Mike Judge, who by the way is a fan of the show, and he won't come on for some reason, he's too scared to, but that's okay, lives here in Austin and out in LA with you, Kevin, and he has had all these big hit movies, Creator of Beavis and Butthead, King of the Hill, and they just said, we've got a control contract, we're not even putting it in theaters.
[00:42:12.827 --> 00:42:13.368]  They just said no.
[00:42:14.648 --> 00:42:17.089]  And I heard they didn't even make a trailer for it, you know?
[00:42:18.489 --> 00:42:25.071]  And yeah, you could watch it and it's really stupid, but there's like a really, I mean, it's a really good sobering lesson that that movie shows in a comical way.
[00:42:25.091 --> 00:42:26.811]  Oh, it was a really good movie.
[00:42:26.871 --> 00:42:29.692]  It probably would have been a hit, and now it is somewhat of a hit on DVD.
[00:42:29.732 --> 00:42:31.732]  Everybody talks about it, but that's what they knew.
[00:42:32.172 --> 00:42:38.034]  How they don't let the plants have water because the corporation lobbies the government to put Gatorade on them.
[00:42:38.214 --> 00:42:38.754]  Yeah, no.
[00:42:38.794 --> 00:42:40.054]  It's got the electrolytes!
[00:42:40.114 --> 00:42:41.035]  Plants crave it!
[00:42:41.055 --> 00:42:41.395]  It's perfect.
[00:42:41.475 --> 00:42:42.375]  It's perfect, yeah.
[00:42:43.409 --> 00:42:43.851]  Exactly.
[00:42:43.912 --> 00:42:46.245]  Let's take the New Freedom Initiative.
[00:42:46.346 --> 00:42:47.030]  It forces...
[00:42:48.393 --> 00:42:56.335]  They say, oh, we've got 18% of the kids on psychotropics, this was three years ago, and their own memos came out, and they said, we're going to force half the kids on this in the next phase.
[00:42:56.935 --> 00:43:04.277]  Half the kids on Prozac and other drugs, by riding the criteria with school psychologists that enforce it on you.
[00:43:04.577 --> 00:43:09.118]  Half the kids on the drugs, and then it causes more mass shootings, and there's more drugs.
[00:43:09.898 --> 00:43:12.219]  I mean, they really, it's so diabolical.
[00:43:12.519 --> 00:43:16.620]  Yeah, I mean, I don't have kids, but if I did, I'd certainly
[00:43:17.273 --> 00:43:20.235]  You know, over my dead body, would let them give him drugs like that.
[00:43:21.216 --> 00:43:23.137]  You know, especially seeing what it did to my brother.
[00:43:23.157 --> 00:43:30.802]  I mean, I know he did need some drugs to control schizophrenia, but I without a doubt know that it's the pharmaceutical drugs that killed him.
[00:43:31.722 --> 00:43:32.523]  Gave him a seizure.
[00:43:32.543 --> 00:43:35.165]  That stuff just, you know, just destroyed his brain.
[00:43:36.305 --> 00:43:37.606]  Let's take some calls.
[00:43:37.766 --> 00:43:41.028]  Before we do that, ladies and gentlemen, I want to encourage you.
[00:43:42.014 --> 00:43:46.056]  To go to Infowars.com right now and order American Drug War, the DVD.
[00:43:46.176 --> 00:43:46.976]  Show it to your neighbors.
[00:43:47.016 --> 00:43:47.516]  Have a party.
[00:43:47.536 --> 00:43:48.116]  Invite them over.
[00:43:48.136 --> 00:43:51.538]  Say, hey, we're going to make you steaks and salad or, you know, whatever.
[00:43:51.578 --> 00:43:52.458]  Chicken and salad.
[00:43:53.238 --> 00:43:54.139]  Talking about food.
[00:43:54.199 --> 00:43:56.339]  Or tofu and salad.
[00:43:56.660 --> 00:43:57.780]  Tofu and salad.
[00:43:57.800 --> 00:44:00.541]  Well, I mean, what could we have for dinner, Kevin?
[00:44:00.561 --> 00:44:02.942]  We could have some nice shrimp or maybe some
[00:44:03.382 --> 00:44:04.663]  I know how much you like sushi.
[00:44:05.223 --> 00:44:05.543]  Yeah.
[00:44:05.763 --> 00:44:07.944]  Actually, I'm into sushi now.
[00:44:07.984 --> 00:44:09.445]  You wait till I move away.
[00:44:09.485 --> 00:44:11.326]  You and Joe Rogan made me eat it in California.
[00:44:11.366 --> 00:44:12.306]  I was like, that doesn't taste bad.
[00:44:12.927 --> 00:44:14.047]  But you like the fishy stuff.
[00:44:14.087 --> 00:44:15.128]  I'm not into mackerel.
[00:44:16.048 --> 00:44:18.789]  Kevin will go to the restaurant and say, I want the fishiest thing you've got.
[00:44:19.670 --> 00:44:21.731]  Squid intestines with whale genitals.
[00:44:25.366 --> 00:44:29.889]  Hey, I would like to agree with your guest.
[00:44:29.929 --> 00:44:32.931]  I was actually going to call and mention a couple things that he just brought up already.
[00:44:32.991 --> 00:44:42.278]  One was, I was actually looking in the post and in the opinion page, they had a whole article covering about how all these drugs they're getting in
[00:44:55.467 --> 00:44:59.548]  Or counterfeit and have additives that have been hurting people as of lately.
[00:45:00.008 --> 00:45:05.389]  But they're only doing that because that's actually not true so they can sell you at ten times the price it is anywhere else.
[00:45:05.689 --> 00:45:09.730]  We are the country of morons who pay literally on average ten times what everybody else does.
[00:45:09.750 --> 00:45:10.090]  But go ahead.
[00:45:10.110 --> 00:45:11.231]  Yeah, especially a Canadian.
[00:45:11.891 --> 00:45:13.691]  Yeah, and you know it's funny too.
[00:45:13.911 --> 00:45:17.272]  Me and a bunch of friends of mine have been discussing this movie Idiocracy.
[00:45:17.904 --> 00:45:22.926]  Well, to no end, and... Hey, wait a minute, you're talking like a fag!
[00:45:24.767 --> 00:45:28.469]  You know, and I just, I have to agree, you know, because that was my question.
[00:45:29.090 --> 00:45:33.292]  Number one, when I first saw this movie, it was like... He's some kind of smart one!
[00:45:35.793 --> 00:45:36.293]  Not sure.
[00:45:36.373 --> 00:45:37.754]  This movie is so excellent.
[00:45:37.794 --> 00:45:40.215]  Like, how come, you know, how come this wasn't in theaters?
[00:45:41.816 --> 00:45:43.236]  How come I didn't see a trailer for this?
[00:45:43.276 --> 00:45:43.817]  You know what I mean?
[00:45:43.837 --> 00:45:44.257]  It would have been...
[00:45:44.719 --> 00:45:49.982]  Such a money-making movie that you figure, you know, they would have been advertising it left and right.
[00:45:50.202 --> 00:45:52.623]  No, but that's the elite's plan, so they don't want you to know.
[00:45:52.924 --> 00:45:54.564]  Yeah, I'd say they buried that sucker.
[00:45:55.585 --> 00:45:58.927]  Although, listen, they went and arrested Stella Costello after this movie came out.
[00:45:59.587 --> 00:46:12.374]  Yeah, I mean, you gotta stay... Right now in Hollywood, there's like, maybe if you're gonna come out with some hardcore stuff like this, it's kinda like you have to navigate your way to kinda stay off certain radar screens.
[00:46:12.754 --> 00:46:14.035]  Yeah, I can understand that.
[00:46:15.243 --> 00:46:16.006]  I'd have to agree.
[00:46:16.448 --> 00:46:20.423]  It's funny, I just took my younger brother to his neurologist and he's been on...
[00:46:21.269 --> 00:46:25.611]  Ritalin or Adderall, whatever the ADD drug is, for a couple years.
[00:46:26.011 --> 00:46:27.612]  And at first, I can understand.
[00:46:27.632 --> 00:46:30.874]  He had a very hard time concentrating and getting done with his homework.
[00:46:30.894 --> 00:46:31.674]  But that's normal.
