[00:00:00.069 --> 00:00:01.029]  Engine Moving Parts.
[00:23:44.443 --> 00:23:46.964]  Yeah, you gotta have a, you know, a strategy.
[00:23:46.984 --> 00:24:06.515]  You know, you really have to get a defensive position because I think what these guys are telegraphing is, you know, it's so easy for them to steal so much money these days, I think, that they're telling you that they're coming and they want you to, you know, get in shape and work out and prepare yourself because they want a good fight.
[00:24:06.675 --> 00:24:13.919]  You know, it's like those movies you see sometimes where the sadistic millionaire sets the humans out and goes hunts the humans.
[00:24:14.329 --> 00:24:18.012]  But he lets them get a head start, because he wants to give himself a little bit of a sport.
[00:24:18.032 --> 00:24:23.657]  And I think what these guys like Cash Carrier are telling the American people is, get ready now, because we're coming.
[00:24:23.837 --> 00:24:30.943]  Because he knows, he's got the SWAT teams, he's got the military, I mean he's got it all, and he wants you to know, we're going to rape you good!
[00:24:31.023 --> 00:24:31.503]  Get ready!
[00:24:32.444 --> 00:24:36.388]  We'll give you a head start, and you know, because we want to make this fun for us!
[00:24:37.789 --> 00:24:39.670]  Yeah, the destruction of America is so much fun.
[00:24:42.128 --> 00:24:44.449]  That's the message that he's saying.
[00:24:44.529 --> 00:24:57.294]  I mean, obviously, the fact that the American so-called democracy is toothless in the face of what is obvious tyranny is quite shocking at this point in the country's history.
[00:24:57.354 --> 00:24:59.835]  But Max, as you know, Obama will save us.
[00:25:01.936 --> 00:25:05.678]  Well, you know, my last time on your show, I'm not hitting the
[00:25:06.894 --> 00:25:08.455]  You know, anti-Obama button.
[00:25:09.175 --> 00:25:12.817]  I'm holding back on my opinion.
[00:25:12.837 --> 00:25:17.059]  I'm going to give the guy a few months in office and then see what happens.
[00:25:19.064 --> 00:25:22.526]  You know, I do think that... No, I understand, but I mean, the guy's a puppet.
[00:25:22.906 --> 00:25:29.529]  I mean, if he didn't do what they told him, he'd, you know, he'd get a Dealey Plaza visit from the Secret Service instead of guarding him, so we all know that.
[00:25:29.970 --> 00:25:34.812]  My whole point is, all these Obamanoids are in for a rude awakening, because there's no course changes here.
[00:25:35.192 --> 00:25:36.713]  It's full-scale raping.
[00:25:37.193 --> 00:25:39.374]  We'll be right back with Max Keiser in 60 seconds.
[00:25:39.394 --> 00:25:40.715]  Stay with us, your call's straight ahead.
[00:25:40.735 --> 00:25:44.557]  Thank you for listening to GCN.
[00:25:46.135 --> 00:25:48.239]  Yeah, go ahead and leave this on air.
[00:25:49.601 --> 00:25:56.853]  We've been live at PrisonPlanet.tv for 30 minutes and I want all the PrisonPlanet.tv listeners out there to be able to tune in and even hear the behind the scenes.
[00:25:56.893 --> 00:25:59.297]  John, give me a new call list so I don't get any of these mixed up.
[00:26:01.002 --> 00:26:01.963]  Yeah, I'll type that right now.
[00:26:18.639 --> 00:26:37.983]  And coming up in about 20 minutes after Max Keiser leaves us, we boil down from four hours of testimony by the arrogant Kashkari, and by arrogant, oh, thank you, I respect you, oh, sir, I'm working so hard, but he was just looking at him and the body language was smiling and smirking and just, I don't care, you're a slave, I own you.
[00:26:38.643 --> 00:26:41.264]  We boiled it down to the most powerful 30 minutes of four hours.
[00:26:43.110 --> 00:26:46.672]  And believe me, it was difficult to cut it down to this because there's so much good stuff there.
[00:26:46.692 --> 00:26:49.933]  We've cut out a few of his answers because he kept repeating the same thing over and over again.
[00:26:50.754 --> 00:26:53.815]  That's coming up in 20 minutes after Max Keiser leaves us right now.
[00:26:53.835 --> 00:26:58.958]  We're going to be taking your phone calls and a host of issues with our guest, Max Keiser.
[00:26:59.698 --> 00:27:01.919]  So stay with us, ladies and gentlemen.
[00:27:01.939 --> 00:27:02.219]  Here we go.
[00:27:11.254 --> 00:27:11.394]  Yeah.
[00:27:19.338 --> 00:27:22.099]  Our guest is Max Keiser for the next 20 minutes.
[00:27:22.119 --> 00:27:23.379]  Really appreciate him joining us.
[00:27:24.620 --> 00:27:27.821]  I want to go ahead and go to your phone calls here in this segment and the next.
[00:27:27.881 --> 00:27:31.782]  Mike, David, Kevin, Daniel and many others holding around the country and the world.
[00:27:31.802 --> 00:27:32.823]  Don't forget to join us 1-800-259-9231.
[00:27:32.863 --> 00:27:37.424]  I do want to squeeze a lot of calls in this.
[00:27:37.464 --> 00:27:39.785]  Just have your question or comment ready so we can get to the next person.
[00:27:43.453 --> 00:27:44.934]  Any other points you haven't gotten to?
[00:27:44.954 --> 00:27:52.539]  I mean, you were talking about the ships aren't moving, 98% reduction, because no one has money or has the credit to even ship the products.
[00:27:52.619 --> 00:28:01.965]  Same thing with Ford and GM saying that they can't even get the insurance ratings to have their parts suppliers overseas, these aren't American companies, to ship over here.
[00:28:02.226 --> 00:28:13.353]  I mean, it looks like the economy is dead, but the brain's still going to get oxygen for a few minutes, maybe six months more, but it looks like the economy has just come to a standstill.
[00:28:14.313 --> 00:28:16.234]  Yeah, it's a zombie.
[00:28:16.254 --> 00:28:18.475]  And if you look at countries around the world, it's already happening.
[00:28:18.555 --> 00:28:26.837]  Obviously in Iceland, the entire economy, because of banking tricks that went bad, the entire economy went offline.
[00:28:27.097 --> 00:28:32.199]  The corona, the Icelandic corona became worthless, and their own life support system from the IMF.
[00:28:32.619 --> 00:28:35.900]  30% of the population is trying to emigrate out of Iceland today.
[00:28:35.920 --> 00:28:35.900]  30%.
[00:28:36.400 --> 00:28:39.261]  Imagine in America, that would be 100 million people.
[00:28:39.321 --> 00:28:42.202]  And by the way, Iceland was a wondrous first world nation.
[00:28:42.921 --> 00:28:51.543]  Iceland six months ago was considered to be, you know, exactly an example of the New World Order, if you will, to put it into your terms.
[00:28:51.563 --> 00:28:58.424]  You know, a shining example of banking as arbitrage of all the banking products that would make everybody rich.
[00:28:58.604 --> 00:28:59.904]  No one could immigrate there.
[00:28:59.964 --> 00:29:03.745]  I mean, even if you had ten million bucks, it was harder to get into than New Zealand.
[00:29:04.926 --> 00:29:06.926]  Yeah, and the whole thing went offline in a matter of weeks.
[00:29:08.401 --> 00:29:13.682]  All the savings in the UK, people put their savings in Iceland because they were getting 6 or 7%.
[00:29:14.083 --> 00:29:16.463]  All those savings evaporated in one day.
[00:29:16.483 --> 00:29:20.664]  The UK government paid off those savers in the UK.
[00:29:20.724 --> 00:29:25.205]  Now they're suing Iceland to get the money, as are other countries in Europe and around the world.
[00:29:25.245 --> 00:29:28.366]  And by the way, there's not even food on most of the store shelves in Iceland.
[00:29:29.141 --> 00:29:29.501]  That's right.
[00:29:29.601 --> 00:29:33.144]  Just like Argentina, folks, because these bankers can't help it.
[00:29:33.184 --> 00:29:35.606]  You turn the back, they have to stick it in you.
[00:29:36.407 --> 00:29:39.029]  It's like a psycho that has to kidnap little kids and kill them.
[00:29:39.149 --> 00:29:40.670]  I mean, they just gotta do it.
[00:29:41.390 --> 00:29:42.231]  Max?
[00:29:42.371 --> 00:29:49.917]  Also, on the gold front, you saw over the weekend that the finance minister in Iran has now officially come out and said that they're moving
[00:29:50.619 --> 00:29:53.982]  Most of their 120 billion dollar reserves into gold bullion.
[00:29:54.202 --> 00:29:59.407]  That's right, London Guardian, Iran switches reserve to gold report, and that's happening all over the world right now.
[00:29:59.487 --> 00:30:01.889]  Central South America moving off the dollar.
[00:30:02.510 --> 00:30:08.935]  Meanwhile, the American yuppies are watching football, acting tough, they're delusional, they're stomping around, drinking Kool-Aid.
[00:30:09.976 --> 00:30:13.099]  What is going to happen when the American people find out just how bad they've been set up?
[00:30:14.793 --> 00:30:18.717]  That's right, Sweeney Todd, the demon barber of Fleet Street.
[00:30:18.737 --> 00:30:24.963]  I think I see a lot of yuppie burgers being served at various outlets.
[00:30:26.024 --> 00:30:26.404]  I agree.
[00:30:26.444 --> 00:30:28.106]  In fact, give me the document, Cam.
[00:30:28.146 --> 00:30:29.868]  I want to show folks this London Guardian article.
[00:30:30.228 --> 00:30:30.789]  I ran switches.
[00:30:30.829 --> 00:30:33.491]  I'm not going to play my video from yesterday.
[00:30:33.511 --> 00:30:35.193]  It might be too hot for your show, Alex.
[00:30:35.473 --> 00:30:36.074]  No, it's not that.
[00:30:36.134 --> 00:30:38.816]  The audio is distorted, but we are going to play it.
[00:30:39.176 --> 00:30:44.300]  I just wanted him to... It's a little overdriven, but it's great from what this... Oh, overdriven!
[00:30:44.540 --> 00:30:45.761]  Oh, that is code word!
[00:30:45.821 --> 00:30:46.722]  That's a code word!
[00:30:46.822 --> 00:30:48.283]  I wouldn't expect that from Al Jazeera!
[00:30:48.303 --> 00:30:48.884]  No, no, no, no, no!
[00:30:48.904 --> 00:30:49.584]  Overdriven!
[00:30:49.625 --> 00:30:51.666]  This is from Al Jazeera!
[00:30:52.107 --> 00:30:53.408]  This is when you were on Al Jazeera.
[00:30:54.268 --> 00:31:00.213]  And, of course, you have a TV show on Al Jazeera, which is, by the way, people say, Al Jazeera, that's Saudi Arabia or whatever.
[00:31:00.293 --> 00:31:02.054]  No, folks, this is based out of England.
[00:31:02.094 --> 00:31:03.155]  It's like their World Service.
[00:31:03.995 --> 00:31:08.699]  Al Jazeera is in Qatar, which has the biggest military base of America outside of the United States.
[00:31:08.719 --> 00:31:09.279]  Qatar, Qatar.
[00:31:09.299 --> 00:31:11.541]  Qatar, which is where Al Jazeera is, America's ally.
[00:31:11.641 --> 00:31:12.742]  Qatar or whatever.
[00:31:13.242 --> 00:31:14.083]  I'm always saying it wrong.
[00:31:14.203 --> 00:31:14.503]  Okay.
[00:31:14.903 --> 00:31:16.524]  Now, you also have... Potato, potato.
[00:31:16.624 --> 00:31:22.889]  I should remind you, on November 28th, Alex, it looks like the first episode of The Oracle is going to be on BBC World.
[00:31:23.675 --> 00:31:26.240]  And last time I was on your show, I said I was going to invite you.
[00:31:27.181 --> 00:31:32.892]  If, in fact, we do the November 28th premiere show on BBC World, it goes out to 180 million people.
[00:31:33.713 --> 00:31:35.156]  Max Keiser presents The Oracle.
[00:31:35.926 --> 00:31:36.987]  I think I got it hooked up.
[00:31:37.047 --> 00:31:40.928]  I can bring you in a satellite, do a little, you know, three or four minute interview.
[00:31:40.989 --> 00:31:41.369]  I want it!
[00:31:41.409 --> 00:31:41.889]  Let's do it!
[00:31:41.969 --> 00:31:45.651]  Please put me on the Oracle, produced by Max Keiser and Alec Baldwin.
[00:31:45.971 --> 00:31:47.271]  I couldn't think of anything more exciting.
[00:31:47.291 --> 00:31:47.952]  But stay there.
[00:31:48.212 --> 00:31:49.573]  By the way, I forgot about your clip.
[00:31:50.333 --> 00:31:53.674]  And I'm not afraid to play your clip, but that's a great way to build it up.
[00:31:54.075 --> 00:31:54.735]  Max Keiser.
[00:31:54.755 --> 00:31:55.815]  MaxKeiser.com.
[00:31:56.216 --> 00:31:57.956]  Your phone call straight ahead with our guest.
[00:31:57.976 --> 00:31:58.357]  Stay with us.
[00:32:01.798 --> 00:32:04.159]  More than 700 chemicals... Now we're going to keep talking.
[00:32:04.179 --> 00:32:05.120]  Let me go ahead and talk to Keiser.
[00:32:05.919 --> 00:32:06.399]  Hey, Max?
[00:32:07.100 --> 00:32:07.300]  Yeah?
[00:32:07.700 --> 00:32:09.021]  Yeah, we're on the internet now.
[00:32:09.762 --> 00:32:11.262]  No, no, we will come back and play that clip.
[00:32:11.283 --> 00:32:12.563]  What, it's about three and a half minutes long?
[00:32:13.704 --> 00:32:14.405]  Yeah, not even.
[00:32:14.445 --> 00:32:15.505]  It's like three.
[00:32:15.525 --> 00:32:16.406]  Two and a half.
[00:32:16.606 --> 00:32:18.047]  Let me bring the culprit in.
[00:32:18.327 --> 00:32:19.708]  John, we are not making this up.
[00:32:20.128 --> 00:32:22.930]  John, it was telling me it was distorted, but I still said we're going to play it.
[00:32:22.990 --> 00:32:23.470]  Right, John?
[00:32:24.011 --> 00:32:24.471]  Yes, sir.
[00:32:24.771 --> 00:32:25.512]  You asked if I had it.
[00:32:25.552 --> 00:32:30.335]  I said yes, and I told them that it was a little distorted, but we can definitely play it.
[00:32:31.749 --> 00:32:34.110]  315.
[00:32:32.029 --> 00:32:34.110]  But that's just whoever loaded it up.
[00:32:34.130 --> 00:32:34.971]  Whoever uploaded it.
[00:32:35.231 --> 00:32:36.332]  Whoever uploaded it up on there.
[00:32:36.352 --> 00:32:37.392]  Well, let's do that.
[00:32:37.612 --> 00:32:41.394]  Alex, I don't come in until 35 seconds.
[00:32:41.414 --> 00:32:43.315]  So the first 35 seconds you can eliminate.
[00:32:43.755 --> 00:32:44.396]  Yeah, it's no big deal.
[00:32:44.416 --> 00:32:46.437]  Yeah, go ahead and eliminate and just cut right to Kaiser.
[00:32:47.237 --> 00:32:47.597]  Well, you know what?
[00:32:47.617 --> 00:32:48.458]  People won't know what it is.
[00:32:48.498 --> 00:32:49.238]  Just play the whole thing.
[00:32:49.318 --> 00:32:52.320]  Come in with it and play the music and we'll go back to Max Kaiser.
[00:32:52.720 --> 00:32:53.920]  And Max, I love having you on.
[00:32:53.940 --> 00:32:54.801]  I really appreciate you.
[00:32:54.821 --> 00:32:59.083]  And yes, I want to come on your BBC TV show.
[00:33:00.535 --> 00:33:07.599]  Yeah, you know, when I was doing my Al Jazeera films two years ago, Alex, not a single media outlet in America would even talk to me.
[00:33:09.800 --> 00:33:15.904]  Well, we are, of course, just Alternative Radio, only on about 70 stations, but we are really honored to have you here.
[00:33:16.945 --> 00:33:22.508]  I mean, the info you're putting out, the info I'm putting out, I'm telling the audience this, is just getting hotter and hotter.
[00:33:22.908 --> 00:33:26.150]  And so that's the exciting thing, is that the bankers think they're getting away with this.
[00:33:26.630 --> 00:33:28.931]  I don't think in the final equation they're going to get away with it.
[00:33:28.951 --> 00:33:29.552]  What do you say, Max?
[00:33:31.548 --> 00:33:37.611]  Well, as long as there's a spirit of freedom burning in the hearts of Americans, then the bankers are going to have trouble.
[00:33:37.991 --> 00:33:47.076]  We only have about a minute left before we come back to the full audience, but behind the scenes, tell folks about the specific stock market system that you're the inventor of, because I find that to be intriguing.
[00:33:48.217 --> 00:33:59.963]  The virtual specialist technology is a technology that allows for a virtual currency to trade on an exchange, and you can trade virtual securities.
[00:34:00.496 --> 00:34:05.438]  And the valuation is tied to something intangible, like awareness.
[00:34:05.858 --> 00:34:17.642]  So in the Hollywood Stock Exchange, depending on what people's awareness is of a movie that's going to come out in six months or a year, their trading, buying and selling those securities creates a need to match those orders.
[00:34:18.222 --> 00:34:23.924]  And to match those orders in a way where all prices over all securities, the price is consistent, there's price parity.
[00:34:24.384 --> 00:34:28.085]  So in the system, the virtual specialist technology is a virtual economy that
[00:34:28.484 --> 00:34:38.892]  Prices, thousands of securities simultaneously, within an environment where there is no hard assets, like the New York Stock Exchange, there's still earnings that are tied to profits and cash, etc.
[00:34:39.092 --> 00:34:47.839]  This is based entirely on people's awareness, but you still have price parity, so it's a completely fair system within the economy.
[00:34:48.219 --> 00:34:53.663]  So that system was sold to Cantor Fitzgerald, who moved the technology to the top floor of the World Trade Towers,
[00:34:54.611 --> 00:34:56.372]  Stay there!
[00:34:57.033 --> 00:34:59.295]  Stay there!
[00:34:59.575 --> 00:35:00.616]  We're about to go live.
[00:35:00.636 --> 00:35:01.337]  We'll finish that story.
[00:35:01.357 --> 00:35:01.697]  Here we go.
[00:35:04.019 --> 00:35:05.180]  It's very precise.
[00:35:05.321 --> 00:35:10.506]  This is a very complicated problem and we cannot fix it without some international rules.
[00:35:14.091 --> 00:35:21.439]  Notably absent from the summit's final statement, any detailed plan to help troubled homeowners or struggling workers in the developing world.
[00:35:21.879 --> 00:35:22.880]  That wasn't expected.
[00:35:23.240 --> 00:35:32.910]  But with economists projecting a global recession that could last upwards of two years, one might be justified in asking whether these leaders really feel the urgency of the situation.
[00:35:33.511 --> 00:35:35.713]  Rosalind Horton, Al Jazeera, Washington.
[00:35:36.311 --> 00:35:38.673]  Well, let's get a European perspective on all of that.
[00:35:39.193 --> 00:35:42.216]  Max Keiser is a financial commentator based in Paris and joins us live.
[00:35:42.536 --> 00:35:45.279]  Max, positive words there from the world leaders.
[00:35:45.319 --> 00:35:47.480]  Will the financial markets be cheering on Monday morning?
[00:35:50.543 --> 00:35:50.803]  No.
[00:35:51.123 --> 00:35:52.204]  Bush misspoke.
[00:35:52.385 --> 00:35:54.566]  He said that the world's economies were hit hard.
[00:35:54.626 --> 00:35:55.187]  That's not true.
[00:35:55.894 --> 00:35:59.038]  The world's counterfeiting schemes were hit hard.
[00:35:59.419 --> 00:36:04.325]  The bond counterfeiting schemes from Wall Street and the City of London were hit hard.
[00:36:04.786 --> 00:36:07.309]  The counterfeiting schemes have been exposed.
[00:36:07.870 --> 00:36:10.474]  And the problem is that these G20 nations
[00:36:10.794 --> 00:36:11.214]  I don't know.
[00:36:29.344 --> 00:36:31.625]  He's not obeying the spirit of the Constitution.
[00:36:31.845 --> 00:36:35.386]  He's issuing counterfeit money, counterfeit bonds.
[00:36:35.426 --> 00:36:37.988]  That's why the global economy is in such a sad shape.
[00:36:38.208 --> 00:36:39.808]  The man is a financial terrorist.
[00:36:41.389 --> 00:36:44.230]  The hyperbole aside... That's the reality of the situation.
[00:36:44.250 --> 00:36:45.671]  That's not the hyperbole.
[00:36:45.891 --> 00:36:47.051]  That's not the hyperbole.
[00:36:47.151 --> 00:36:48.372]  That's the reality of the situation.
[00:36:48.392 --> 00:36:48.912]  The solution is what?
[00:36:56.137 --> 00:37:04.048]  You have to go into a court of law and take Hank Paulson and Goldman Sachs up for financial terrorism, put them in jail.
[00:37:04.208 --> 00:37:05.210]  This is counterfeiting.
[00:37:05.430 --> 00:37:08.114]  They're issuing bonds that are absolutely non-collateralized.
[00:37:08.374 --> 00:37:10.597]  There's $500 trillion in licenses with no collateral.
[00:37:11.398 --> 00:37:19.361]  That may be one response to Hank Paulson, but as far as the international global economy is concerned, we have matters like, should the IMF be reformed?
[00:37:19.521 --> 00:37:25.183]  Should countries like China and India have a bigger say in regulation and moderation of the global markets?
[00:37:25.423 --> 00:37:28.144]  Did any of these get addressed, and are these the way forward?
[00:37:30.705 --> 00:37:33.926]  China, India, Europe, all the banks own
[00:37:34.762 --> 00:37:38.045]  Structured financial products sold to them from Wall Street.
[00:37:38.245 --> 00:37:40.347]  These are all counterfeit bonds that are exploding.
[00:37:40.367 --> 00:37:41.268]  They're worth zero.
[00:37:41.648 --> 00:37:46.393]  For example, they have no way of selling these bonds because they have zero value.
[00:37:46.673 --> 00:37:48.615]  As a result, they dump oil.
[00:37:49.035 --> 00:37:56.242]  And oil, because they're dumping oil to pay for these fraudulent bonds, the price of oil has dropped and these developing nations are suffering.
[00:37:56.642 --> 00:37:57.063]  Big brother.
[00:38:19.042 --> 00:38:26.007]  Well, he was speaking, I guess, to the Arabic audience there, though it's big worldwide, I don't know how far it was.
[00:38:40.516 --> 00:38:43.659]  But no, Ron Paul said here about a month and a half ago they should all be arrested.
[00:38:43.679 --> 00:38:44.540]  They are criminals.
[00:38:44.980 --> 00:38:49.384]  But they know that they're doing it out in the open, too big to fail, too big to be criminals.
[00:38:50.085 --> 00:38:51.887]  Well, either they fall or we fall.
[00:38:54.129 --> 00:38:56.151]  Max Keiser, I hadn't seen that clip.
[00:38:56.491 --> 00:38:59.093]  I just knew you'd sent it, and so I'd sent it on to the network.
[00:38:59.153 --> 00:38:59.954]  Actually, my producer had.
[00:38:59.994 --> 00:39:01.195]  Now I know why you wanted it played.
[00:39:01.616 --> 00:39:02.877]  That is some powerful stuff.
[00:39:02.897 --> 00:39:03.698]  You know, when I go on
[00:39:05.333 --> 00:39:09.536]  Al Jazeera or Press TV or BBC or Russia Today.
[00:39:10.877 --> 00:39:12.898]  I thought I was getting hardcore on these channels.
[00:39:12.959 --> 00:39:18.422]  My God, Max Keiser's like the gold standard of in-the-face, telling-the-truth boldness.
[00:39:18.843 --> 00:39:20.184]  I'm actually being put to shame here.
[00:39:21.004 --> 00:39:23.546]  I wonder if they'll let me get that wild on there.
[00:39:24.207 --> 00:39:25.988]  Well, I want you on the Oracle, Alex.
[00:39:28.680 --> 00:39:31.082]  Well, I guess you and Alec Baldwin are the producers of it.
[00:39:31.102 --> 00:39:35.946]  You think nobody will get upset if I go on there yelling and screaming, or is this going to be live?
[00:39:35.986 --> 00:39:40.630]  This show is going to rip the ball, you know, the cover off the ball.
[00:39:40.650 --> 00:39:43.292]  This is going to be the most watched television show in the world.
[00:39:43.312 --> 00:39:44.914]  We're going to have 100 million viewers.
[00:39:44.954 --> 00:39:47.556]  It goes out to 180 million households.
[00:39:47.636 --> 00:39:49.137]  A half-hour show every Friday night.
[00:39:49.177 --> 00:39:55.423]  We're going to be talking about all the global banking conspiracies and everything else that people are dying to know about, but they're not being told.
[00:39:55.783 --> 00:39:58.264]  Because the mainstream press, even Al Jazeera, is too timid.
[00:39:58.505 --> 00:40:00.546]  So Alec Baldwin is into all this stuff.
[00:40:01.266 --> 00:40:02.287]  Yeah, he's my co-producer.
[00:40:02.327 --> 00:40:04.088]  I've known him for 30 years.
[00:40:04.508 --> 00:40:07.229]  And we've been friends for a long, long time.
[00:40:07.650 --> 00:40:09.310]  And, you know, we're gonna have a blast.
[00:40:09.350 --> 00:40:10.771]  He's gonna be a guest.
[00:40:11.772 --> 00:40:12.852]  His friends are gonna be guests.
[00:40:12.872 --> 00:40:13.933]  We've got a satellite hookup.
[00:40:14.366 --> 00:40:18.850]  November 28th, we're hopefully going to get the first show on the air on BBC World.
[00:40:18.890 --> 00:40:19.891]  Well, hey, count me in.
[00:40:19.911 --> 00:40:33.361]  You just have the producers or the people doing the legwork tell me where to be, what satellite feed, and hell, if you can't even get a satellite feed in Austin, which I'm sure you'll be able to, it was hard on election day for some other stations I was on, I'll go wherever I need to be to be on that.
[00:40:34.322 --> 00:40:34.883]  Yeah, that's cool.
[00:40:34.963 --> 00:40:37.585]  I mean, you know, the use of the word FOTWEB, for example,
[00:40:38.007 --> 00:40:40.969]  All that means is edict or fiat.
[00:40:41.009 --> 00:40:41.549]  No, I understand.
[00:40:41.789 --> 00:40:42.770]  I'm saying arrest them.
[00:40:43.010 --> 00:40:44.591]  Guilty, guilty, guilty!
[00:40:44.631 --> 00:40:45.451]  Go ahead.
[00:40:46.072 --> 00:40:49.734]  Hank Paulson and Ben Bernanke issue a FOFLA every day.
[00:40:49.794 --> 00:40:50.714]  It's called the U.S.
[00:40:50.774 --> 00:40:52.095]  dollar by fiat.
[00:40:52.435 --> 00:40:52.716]  The U.S.
[00:40:52.756 --> 00:40:57.338]  dollar only has value by Hank Paulson and Ben Bernanke's FOFLA.
[00:40:57.538 --> 00:40:59.720]  By the way, you're right about the stock market going down.
[00:40:59.760 --> 00:41:01.080]  It's down 85 points today.
[00:41:01.441 --> 00:41:03.742]  How far is it going to go down by next February?
[00:41:05.962 --> 00:41:10.245]  Well, it's going to go a lot lower in the stock market, because earnings for these companies are going to collapse.
[00:41:10.685 --> 00:41:12.267]  Obviously, unemployment is skyrocketing.
[00:41:12.307 --> 00:41:14.328]  Citibank just announced 50,000 layoffs.
[00:41:14.828 --> 00:41:16.209]  The auto industry is going to collapse.
[00:41:16.249 --> 00:41:18.131]  I'm not in favor of bailing out the auto industry.
[00:41:18.191 --> 00:41:19.091]  I think it's a farce.
[00:41:19.812 --> 00:41:22.914]  Unemployment is going to go to 10%, 11%, 12% at a minimum.
[00:41:23.494 --> 00:41:25.756]  And the earnings are going to collapse.
[00:41:25.776 --> 00:41:27.357]  These companies are going to trade down.
[00:41:28.718 --> 00:41:34.802]  The average yield in a bear market gets to 6% or 7%, which means you're talking $3,000 on the Dow Jones.
[00:41:38.052 --> 00:41:38.812]  Doesn't look good.
[00:41:38.832 --> 00:41:40.133]  You know, I want to jam in a few calls.
[00:41:40.153 --> 00:41:41.193]  The interview's almost over.
[00:41:41.254 --> 00:41:49.958]  Time just flies, as I promised to play these highlights of the amazing Kashkari committee hearings last Friday.
[00:41:50.358 --> 00:41:52.459]  But I want to go to Mike, David, Kevin, Daniel, Rob.
[00:41:52.499 --> 00:41:56.241]  Guys, just ask one question of Kaiser quickly, please, because I want to get you on.
[00:41:56.301 --> 00:41:57.661]  Mike, in California, you're on the air.
[00:41:57.681 --> 00:41:58.041]  Go ahead.
[00:41:58.982 --> 00:41:59.962]  Only one question, huh?
[00:42:01.523 --> 00:42:01.863]  Go ahead.
[00:42:02.003 --> 00:42:03.224]  Only one question, Alex?
[00:42:04.564 --> 00:42:05.005]  Oh, man.
[00:42:06.705 --> 00:42:09.326]  Um, let me pick my best one.
[00:42:09.747 --> 00:42:12.268]  Just ask them all over to spend time and figure out which one to ask.
[00:42:12.288 --> 00:42:12.668]  Go ahead.
[00:42:14.469 --> 00:42:15.189]  Sorry about that, Alex.
[00:42:15.209 --> 00:42:16.049]  No, no, don't be sorry.
[00:42:16.089 --> 00:42:18.651]  I'm sorry I don't have enough time.
[00:42:18.691 --> 00:42:21.152]  Hell, hell, I'll just skip playing the Clemson plan tomorrow.
[00:42:21.172 --> 00:42:21.992]  We've got plenty of time.
[00:42:22.032 --> 00:42:22.492]  Go ahead.
[00:42:22.973 --> 00:42:25.194]  Yeah, just sit back and hear the questions.
[00:42:26.494 --> 00:42:34.718]  Alright, well, okay, with the fires occurring in California, and all these people losing their homes and whatnot, will their insurance companies be able to cover them?
[00:42:37.344 --> 00:42:38.144]  Oh, no.
[00:42:38.344 --> 00:42:39.845]  I mean, in the short term, perhaps.
[00:42:39.905 --> 00:42:44.646]  But look, the insurance companies are, part and parcel of this global credit crunch.
[00:42:45.126 --> 00:42:46.086]  They're running out of money.
[00:42:46.106 --> 00:42:48.587]  Even Warren Buffett, you know, his stock is down 50% this year.
[00:42:48.627 --> 00:42:49.947]  He's a big insurer.
[00:42:49.967 --> 00:42:57.329]  Look, what happened is they took the cop tuitions, the police, the teacher, retirement funds.
[00:42:57.369 --> 00:42:58.750]  It was all invested in derivatives.
[00:42:58.990 --> 00:43:00.070]  The bankers stole it all.
[00:43:01.498 --> 00:43:13.408]  Yeah, or, you know, the thing is that if, in fact, by some stroke of luck, you do get some insurance money on this disaster, your rates are going to be skyrocketed the next quarter, so you won't be able to afford insurance anymore going forward.
[00:43:13.488 --> 00:43:19.072]  Just like in Katrina disaster, everyone can't afford flood insurance in New Orleans anymore.
[00:43:19.672 --> 00:43:20.573]  The rates were jacked up.
[00:43:20.953 --> 00:43:25.297]  So the rates for insurance are going to go a lot higher with every single one of these disasters.
[00:43:25.337 --> 00:43:29.160]  So the insurance industry, which is the backbone of capitalism, is going out of business.
[00:43:29.673 --> 00:43:33.877]  Yeah, look, down the road, folks, you're not getting your Social Security, you're not getting your insurance.
[00:43:34.678 --> 00:43:37.520]  All you're getting is a forced labor camp, unless we throw these people out.
[00:43:38.161 --> 00:43:38.942]  Mike, anything else?
[00:43:40.743 --> 00:43:44.527]  Okay, I guess I'll ask this question for you, because I want to try to squeeze in some for both.
[00:43:45.307 --> 00:43:53.575]  For you, Alex, do you think that it would be easy for the police state to confiscate guns from people, as it was for them in New Orleans?
[00:43:55.308 --> 00:43:58.229]  No, because they had a... Well, I mean, listen, I'm going to let you go.
[00:43:58.249 --> 00:43:59.229]  I appreciate the call, Mike.
[00:43:59.249 --> 00:44:01.230]  You can call back later with other calls if you want tomorrow or so.
[00:44:02.230 --> 00:44:03.570]  That was an isolated incident.
[00:44:03.590 --> 00:44:05.471]  They had the cover of the disaster to do it.
[00:44:05.551 --> 00:44:10.012]  It was a beta test, a laboratory test, to see if they could do it and how it would sell to the public.
[00:44:10.312 --> 00:44:11.372]  It didn't go well for them.
[00:44:11.872 --> 00:44:17.014]  They're just going to do stuff like turn the money off, let everybody riot, then the public will beg to turn their guns in.
[00:44:17.474 --> 00:44:18.074]  Max Keiser?
[00:44:19.314 --> 00:44:19.834]  Yeah, agreed.
[00:44:19.894 --> 00:44:22.135]  I have an idea for America, okay?
[00:44:22.802 --> 00:44:24.322]  Start a new 12-step program.
