[00:00:00.049 --> 00:00:00.169]  It is...
[00:22:29.512 --> 00:22:32.234]  We are under Pentagon precise attack.
[00:22:32.955 --> 00:22:35.076]  But please continue with the eugenics.
[00:22:35.916 --> 00:22:44.402]  Well, another thing you see on attacking the female side is that the pharmaceutical companies now claiming that menstruation is a disease
[00:22:44.997 --> 00:22:49.000]  They have a pill now where you can stop all the normal female reproductive cycles.
[00:22:49.861 --> 00:22:55.685]  They have never tested the long-term reproductive suppression of those pills, or maybe they have tested.
[00:22:55.805 --> 00:23:02.350]  Oh hey John, Monday I sent you a video clip about sterilization, where the woman takes the pill and it burns out her uterus.
[00:23:03.257 --> 00:23:03.797]  I can dig it up.
[00:23:03.877 --> 00:23:04.517]  Yeah, yeah, dig it up.
[00:23:04.537 --> 00:23:05.477]  I want to play that later.
[00:23:06.378 --> 00:23:10.539]  Listen, in many areas, half the children are being born by cesarean.
[00:23:10.739 --> 00:23:12.899]  They're saying vaginal birth is abnormal now.
[00:23:13.219 --> 00:23:17.840]  They are industrializing and weaponizing all of our basic life actions.
[00:23:19.280 --> 00:23:20.261]  Well, that's the thing.
[00:23:20.321 --> 00:23:31.723]  The upshot of this, Alex, and maybe we should talk about this during the radio segment too, is that the future gene pool of human civilization will only belong to those people
[00:23:32.321 --> 00:23:34.242]  Who resist these chemicals.
[00:23:34.302 --> 00:23:34.802]  Oh my God.
[00:23:34.962 --> 00:23:41.524]  So you've got to resist the vaccine, the food contaminants, the pharmaceuticals, or you do not have a genetic future.
[00:23:41.584 --> 00:23:45.485]  As I like to say, the mainstream public is winning the Darwin Award.
[00:23:46.486 --> 00:23:53.608]  And it's not just, it's not just, and we'll come back and talk about that, it's not just that we're not being able to breed because they're sterilizing us.
[00:23:53.808 --> 00:23:58.050]  Mercury and other things generationally destroy DNA.
[00:23:58.070 --> 00:23:58.610]  They know that.
[00:23:59.352 --> 00:24:00.793]  And so we're being mutated.
[00:24:00.813 --> 00:24:03.034]  God, this is so evil.
[00:24:03.274 --> 00:24:04.634]  And it's being done by design.
[00:24:05.315 --> 00:24:08.416]  And all these enforcers have no idea they're helping destroy themselves.
[00:24:09.036 --> 00:24:10.137]  This is so diabolical.
[00:24:10.177 --> 00:24:10.517]  Here we go.
[00:24:10.537 --> 00:24:11.097]  We're going live.
[00:24:15.679 --> 00:24:16.839]  I don't want the shackles.
[00:24:16.919 --> 00:24:18.000]  No shackles on me.
[00:24:19.901 --> 00:24:22.382]  We're talking to Mike Adams, the health ranger, healthranger.org.
[00:24:24.448 --> 00:24:53.188]  Alright Mike, during the break we were talking on presentplanet.tv for the radio folks and uh... we were getting into they're saying menstruation is bad, you're not supposed to have women, that's unnatural so they give them pills that uh... destroy that and I've got new news reports about procedures that sterilize the women and I think it says three minutes uh... they are saying everything's abnormal around half the births now are cesarean they're saying it's abnormal to have a child the other way
[00:24:54.208 --> 00:25:01.730]  They're encouraging women to be sterilized, they're advertising it in all the girls' magazines, and now they're telling us melamine's good for you.
[00:25:02.190 --> 00:25:05.051]  Let's get into the chemicals in the plastic sterilizing the people.
[00:25:05.071 --> 00:25:06.111]  I mean, this is happening.
[00:25:07.312 --> 00:25:08.152]  Oh yeah, yeah.
[00:25:08.512 --> 00:25:12.013]  It's a chemical attack, really, on Western civilization.
[00:25:12.033 --> 00:25:21.636]  It's not just Americans, it's Canadians, it's everyone who eats Westernized food, who takes Western medicines, who is exposed to the toxic chemicals in personal care products.
[00:25:22.515 --> 00:25:26.757]  Even dentistry is a highly, highly toxic industry.
[00:25:26.777 --> 00:25:29.838]  I mean, they're still putting mercury in people's mouths and defending it.
[00:25:30.438 --> 00:25:31.259]  It's unbelievable.
[00:25:31.759 --> 00:25:33.640]  This is a chemical attack.
[00:25:34.220 --> 00:25:45.405]  You know, a lot of people in this country, we talk about being worried about terrorism, and we should be, but what about domestic terrorism from the regulatory agencies who keep legalizing the poisons?
[00:25:46.229 --> 00:25:49.051]  The FDA declared bisphenol A to be safe, too.
[00:25:49.831 --> 00:25:50.972]  That's the chemical.
[00:25:51.052 --> 00:25:56.635]  And the German government, the British government, the Dutch, the Japanese, decades ago were trying to remove it.
[00:25:56.695 --> 00:25:58.055]  People knew to not give it to their babies.
[00:25:58.356 --> 00:25:59.436]  Explain this to people.
[00:25:59.556 --> 00:26:00.156]  Explain it to them.
[00:26:01.317 --> 00:26:04.239]  Well, it's an endocrine disruptor.
[00:26:04.719 --> 00:26:08.741]  So it's potent as a toxic element in very low concentrations.
[00:26:08.761 --> 00:26:10.442]  We're talking parts per billion.
[00:26:11.002 --> 00:26:13.924]  It doesn't even have to hit 50 parts per billion to be toxic.
[00:26:14.824 --> 00:26:20.827]  It's found in infant baby bottles and Canada has announced that they're going to ban it in infant baby bottles.
[00:26:21.667 --> 00:26:23.128]  Almost the very next day, the U.S.
[00:26:23.168 --> 00:26:25.549]  Food and Drug Administration said, we're not going to ban it.
[00:26:25.629 --> 00:26:33.293]  In fact, we're going to declare it to be so safe that you can use it in baby products and you can consume essentially unlimited quantities of it.
[00:26:33.793 --> 00:26:41.697]  I mean, there's, as I said on the website, there's almost no corporate sponsored chemical that the FDA doesn't like.
[00:26:42.813 --> 00:26:46.675]  You know, melamine, bisphenol A, fluoride, you name it.
[00:26:46.695 --> 00:26:50.836]  And I want to be clear, most cans are lined with it now.
[00:26:51.217 --> 00:26:59.620]  When you go to a Chinese food restaurant, it's that cheap styrofoam that the stuff sinks into massive quantities.
[00:26:59.660 --> 00:27:02.881]  The drinks, your children, the little packages they drink from are lined with it.
[00:27:03.262 --> 00:27:04.742]  It's used in almost everything.
[00:27:05.162 --> 00:27:07.643]  And it just so happens to sterilize people.
[00:27:07.763 --> 00:27:08.824]  Oh, what a surprise!
[00:27:10.202 --> 00:27:10.782]  Yeah, that's right.
[00:27:10.802 --> 00:27:20.388]  It disrupts normal reproductive patterns, it creates infertility, which is a hugely profitable industry, and it's about to get even more profitable because infertility is on the rise.
[00:27:20.929 --> 00:27:27.753]  I mean, we're talking a transgenerational effect of DNA mutation and chemical toxicity.
[00:27:28.053 --> 00:27:39.740]  This is the big story that almost no one's talking about except you and me and Dr. Libo and a few others, is that the human race here, at least the Western civilization part of it, is facing a massive
[00:27:40.518 --> 00:27:45.821]  Die off, or a massive inability to reproduce in one to two more generations.
[00:27:46.381 --> 00:27:50.904]  Because this toxicity accumulates, and it's literally passed from one generation to the next.
[00:27:51.524 --> 00:27:53.525]  We're looking at a genocide, that's what it is.
[00:27:55.933 --> 00:27:56.593]  Well, the U.N.
[00:27:56.633 --> 00:28:01.974]  says in all those documents, 80% population reduction, and we've got 80% infertility already.
[00:28:02.874 --> 00:28:08.175]  And again, the Amish and others, right in the middle of us, they're having none of these problems.
[00:28:08.435 --> 00:28:09.276]  No autistic.
[00:28:09.716 --> 00:28:10.316]  Hardly any.
[00:28:10.336 --> 00:28:11.716]  Go ahead.
[00:28:12.436 --> 00:28:13.236]  I'm glad you mentioned that.
[00:28:13.276 --> 00:28:13.896]  It's a good point.
[00:28:13.956 --> 00:28:21.618]  That individuals who are empowered by listening to your show and visiting naturalnews.com, that's my main website,
[00:28:22.446 --> 00:28:26.349]  Those individuals have the ability, Alex, to resist these chemicals.
[00:28:27.110 --> 00:28:28.691]  Protect your children from vaccine.
[00:28:29.403 --> 00:28:31.405]  Don't feed your children these toxic foods.
[00:28:31.505 --> 00:28:33.607]  Don't expose yourself to these chemicals.
[00:28:34.328 --> 00:28:35.729]  And you can be safe.
[00:28:35.749 --> 00:28:37.030]  You can have a genetic future.
[00:28:37.131 --> 00:28:39.092]  But you have to make a major change.
[00:28:39.293 --> 00:28:42.576]  The mercury alone attacks your DNA per generation.
[00:28:42.596 --> 00:28:43.236]  Just Google that.
[00:28:43.297 --> 00:28:44.798]  Mainstream government documents admit it.
[00:28:45.539 --> 00:28:52.586]  I'm on the verge of moving to the country and literally, you know, other than coming into the radio show, that will mean I have to cut back on a lot of work I'm doing.
[00:28:53.547 --> 00:28:55.108]  But my kids come first.
[00:28:55.308 --> 00:29:03.973]  It's a balancing act to literally almost go like Mennonite and only totally certified real organic because my kids are worth it.
[00:29:04.474 --> 00:29:05.274]  My wife's worth it.
[00:29:05.694 --> 00:29:09.637]  But I have to get out of the city and away from this evil culture to do it.
[00:29:09.657 --> 00:29:11.378]  I mean, how do you get yourself totally out of it?
[00:29:11.398 --> 00:29:13.479]  Because I'm trying, man, and I'm having trouble.
[00:29:14.440 --> 00:29:16.021]  It's very difficult, especially now.
[00:29:16.061 --> 00:29:17.081]  You can't trust the food.
[00:29:17.822 --> 00:29:21.524]  The breaking news yesterday was that melamine was found in the soy meal.
[00:29:21.957 --> 00:29:24.039]  That was being fed to organic chickens.
[00:29:24.700 --> 00:29:32.247]  So 147 organic chicken farms in France were found to be feeding their chickens contaminated soy meal that was imported from China.
[00:29:32.488 --> 00:29:33.308]  Well, the U.S.
[00:29:33.369 --> 00:29:34.910]  imports the same soy meal.
[00:29:36.051 --> 00:29:37.252]  So guess where it's all ending up?
[00:29:37.733 --> 00:29:38.474]  In the food supply.
[00:29:39.394 --> 00:29:40.154]  Well, they've got a deal.
[00:29:40.375 --> 00:29:41.355]  They've got a deal with China.
[00:29:41.375 --> 00:29:43.616]  They've moved most of the industry.
[00:29:43.677 --> 00:29:48.920]  What, I forget, the majority of the drugs are now made there, both prescription and over-the-counter.
[00:29:50.100 --> 00:29:54.683]  The mass ingredients for food preparation is made in China, then shipped over here.
[00:29:55.063 --> 00:29:57.164]  The toys, it's all by design.
[00:29:57.545 --> 00:29:58.545]  Stay there, ladies and gentlemen.
[00:29:59.926 --> 00:30:00.847]  We're on the march.
[00:30:01.327 --> 00:30:02.828]  The empire's on the run.
[00:30:03.840 --> 00:30:06.561]  Alex Jones and the GCN Radio Network.
[00:30:07.421 --> 00:30:09.302]  All right, let me go back to the Health Ranger right now.
[00:30:09.322 --> 00:30:15.283]  I want to mention something about China, if that's okay.
[00:30:15.483 --> 00:30:21.925]  Yeah, yeah, go ahead, but I just want to say, because it's a limited audience, probably 10% of our audience right now, when we come back I'm going to try to control myself.
[00:30:21.945 --> 00:30:24.626]  You know, Mike, you're always hard to get a hold of, bro.
[00:30:24.866 --> 00:30:26.946]  Your phone, I mean, I'm the same way, your phone's full.
[00:30:27.287 --> 00:30:28.687]  I want to have you on all the time.
[00:30:30.031 --> 00:30:32.854]  Hey, I'm happy to do it with you, man.
[00:30:32.874 --> 00:30:34.956]  I mean, anytime you want me on, I can comment.
[00:30:34.996 --> 00:30:35.677]  I want to get you on.
[00:30:35.717 --> 00:30:36.698]  Let's look at your book right now.
[00:30:36.959 --> 00:30:46.289]  Let me get you on for two hours, because with all my interjecting and backing you up and you backing me up, you know, it's helter-skelter, but it is really good radio, and we're saving a lot of folks.
[00:30:46.709 --> 00:30:47.270]  Look at your book.
[00:30:47.290 --> 00:30:49.072]  Let me just set you up for two hours sometime next week.
[00:30:50.629 --> 00:30:51.790]  Just name a date, Alex.
[00:30:51.990 --> 00:30:52.871]  I'll make it work for you.
[00:30:52.891 --> 00:30:54.952]  Let's do it far out in the way, because I've got some guests set up.
[00:30:54.992 --> 00:30:59.795]  Let's do next Thursday from 1 to 3 Central Standard Time.
[00:31:00.736 --> 00:31:00.956]  Okay.
[00:31:01.216 --> 00:31:04.158]  Next Thursday, 1 to 3 Central Standard Time.
[00:31:04.799 --> 00:31:08.341]  And Hip Hop Paul in there?
[00:31:08.361 --> 00:31:10.563]  Everybody's got to have a nickname around here.
[00:31:10.743 --> 00:31:12.724]  Will you go tell Trey before I forget?
[00:31:12.744 --> 00:31:13.124]  Thank you.
[00:31:14.105 --> 00:31:15.766]  Okay, when we come back, because I want the full audience to hear this.
[00:31:15.786 --> 00:31:16.347]  It's too important.
[00:31:16.627 --> 00:31:17.588]  Let's get into the GMO.
[00:31:18.562 --> 00:31:30.231]  Every week, and I know you just focus on this more than I do about it, every week I see a new government or industry study where they admit that the GMO rice or the GMO corn or the GMO this or that is sterilizing the mice.
[00:31:31.132 --> 00:31:35.876]  And you know, mice are studied because they're the closest to us with our whole metabolic system, as you know.
[00:31:36.376 --> 00:31:39.078]  So let's hit them with a GMO and then take some phone calls, okay?
[00:31:39.598 --> 00:31:40.379]  Alright.
[00:31:40.459 --> 00:31:42.501]  But go ahead and make your point about China now.
[00:31:43.615 --> 00:31:48.558]  Well, I just want to mention that some people have emailed me and they say, well, why do you keep criticizing China?
[00:31:48.578 --> 00:31:49.578]  You don't know anything about China.
[00:31:49.858 --> 00:31:51.799]  I want to mention, you know, I've lived in Asia.
[00:31:51.899 --> 00:31:53.900]  I speak Mandarin Chinese.
[00:31:54.200 --> 00:31:58.963]  I lived there for two years and I've toured factories in China firsthand.
[00:31:59.023 --> 00:32:00.564]  I know exactly what I'm talking about.
[00:32:00.584 --> 00:32:06.787]  The Chinese factories, they will manufacture poison and sell it to their neighbors if it makes them a buck.
[00:32:06.867 --> 00:32:08.348]  I mean, think about it.
[00:32:08.368 --> 00:32:12.810]  There are 13,000 babies in the hospital in China right now, poisoned by their own countrymen.
[00:32:13.860 --> 00:32:16.321]  And if they're going to poison their own people, what do you think they're going to do to us?
[00:32:16.401 --> 00:32:18.121]  Well, see, this is the delusional nature.
[00:32:18.281 --> 00:32:22.043]  It's admitted the toys, the food are filled with all sorts of poisons.
[00:32:22.123 --> 00:32:23.003]  It's devastating.
[00:32:23.223 --> 00:32:25.024]  There's lead poisoning all over the U.S.
[00:32:25.144 --> 00:32:28.365]  Women particularly have problems with this.
[00:32:28.605 --> 00:32:30.445]  Women all over are having their hair falling out.
[00:32:30.665 --> 00:32:32.306]  They're going in and getting their blood tested.
[00:32:32.646 --> 00:32:34.226]  They're finding out their thyroid's fried.
[00:32:34.246 --> 00:32:35.467]  They're full of lead, mercury.
[00:32:36.267 --> 00:32:37.268]  I mean, it's just everywhere.
[00:32:38.128 --> 00:32:40.550]  And they just... it's total devastation.
[00:32:41.070 --> 00:32:45.093]  And then these people, yeah, oh, what do you mean, you just don't like Chinese people?
[00:32:45.333 --> 00:32:47.995]  It's always mental diversions.
[00:32:48.535 --> 00:32:56.100]  The public won't face the crisis, because they're too cowardly to admit it's true, because then they have to get up off their jackasses and do something, Mike.
[00:32:56.920 --> 00:32:58.501]  Yeah, that's exactly right.
[00:32:58.541 --> 00:33:02.284]  And most people really, Alex, they don't realize how hard you and I work.
[00:33:02.824 --> 00:33:04.305]  We work our butts off.
[00:33:04.795 --> 00:33:07.839]  To produce this content, to bring this information, to do our research.
[00:33:07.859 --> 00:33:10.542]  I don't know about you, but, you know, it's a 16-hour day.
[00:33:10.582 --> 00:33:15.829]  I got children, for God's sakes, I want to spend time with, and I'm doing this and not seeing them as much so I can save them.
[00:33:16.109 --> 00:33:17.491]  I am mad, Mike.
[00:33:17.671 --> 00:33:20.935]  They are poisoning my family, and the dumbass public needs to wake up.
[00:33:20.975 --> 00:33:21.316]  Here we go.
[00:33:27.588 --> 00:33:28.529]  Folks, we're not kidding.
[00:33:29.229 --> 00:33:39.615]  Thousands of studies in the GMO corn, rice, all of it, all accidentally has been genetically modified where it sterilizes or reduces the birth rate.
[00:33:40.696 --> 00:33:42.217]  In women, it attacks the sperm.
[00:33:42.237 --> 00:33:43.998]  There was two studies this week.
[00:33:44.438 --> 00:33:45.619]  Mike, let's get into that.
[00:33:45.639 --> 00:33:50.902]  Alright, well, there's... Let me plug a book.
[00:33:50.922 --> 00:33:53.423]  It's not written by me, but it's on the topic here.
[00:33:53.443 --> 00:33:54.144]  Genetic Roulette.
[00:33:55.029 --> 00:33:55.909]  by Jeffrey Smith.
[00:33:55.949 --> 00:33:56.810]  Well, let me plug it.
[00:33:56.910 --> 00:33:59.511]  I sell the sucker at Infowars.com.
[00:33:59.551 --> 00:34:00.272]  Let me plug it.
[00:34:00.752 --> 00:34:04.654]  And hopefully we'll get some money in and be able to expand what we're doing and reach more people.
[00:34:04.714 --> 00:34:05.394]  I'm not ashamed.
[00:34:05.594 --> 00:34:06.255]  We need money.
[00:34:06.275 --> 00:34:08.556]  People need to go to your website and buy your products.
[00:34:08.596 --> 00:34:10.717]  We need money to fight back against these people.
[00:34:10.737 --> 00:34:11.137]  Go ahead.
[00:34:12.358 --> 00:34:15.739]  Well, Genetic Relapse is the perfect title because it really describes what's going on here.
[00:34:16.160 --> 00:34:20.702]  When you eat genetically modified organisms or plants or foods made from them,
[00:34:21.385 --> 00:34:27.549]  Then you are playing roulette with your own health and with the health of your future children.
[00:34:27.609 --> 00:34:34.473]  And by the way, the book is like a textbook full of all the government documents and studies, but with pictures and diagrams.
[00:34:34.773 --> 00:34:35.713]  It's a masterpiece.
[00:34:35.914 --> 00:34:36.254]  Go ahead.
[00:34:36.494 --> 00:34:36.814]  Oh yeah.
[00:34:37.094 --> 00:34:38.195]  Yeah, it's one of the best.
[00:34:38.595 --> 00:34:41.377]  And you know, there's a movie out there called Seeds of Deception.
[00:34:42.618 --> 00:34:43.418]  We sell it as well.
[00:34:45.019 --> 00:34:47.480]  Sorry, the GMO trilogy and Seeds of Deception, all that.
[00:34:47.500 --> 00:34:50.042]  So those are great resources for being educated about.
[00:34:50.632 --> 00:34:57.036]  The bottom line, though, is that, yeah, these have been engineered by scientists, they say, to produce greater yields.
[00:34:57.056 --> 00:34:58.517]  There are all kinds of problems with that.
[00:34:59.338 --> 00:35:02.560]  But, mostly it's resistance to these pesticides and herbicides.
[00:35:02.900 --> 00:35:11.486]  And the way they resist these pesticides and herbicides is, in some molecular way, they internalize them so that they're not processed.
[00:35:12.147 --> 00:35:15.309]  So, you actually, when you eat genetically modified food,
[00:35:15.993 --> 00:35:26.118]  You end up ingesting unprocessed or non-broken down pesticides and herbicides that are being released in your digestive tract.
[00:35:26.238 --> 00:35:32.921]  So you're poisoning yourself with the same chemicals that are designed to kill life in the farmer's field.
[00:35:33.021 --> 00:35:36.703]  And that's what the German study shows with a particular type of corn.
[00:35:36.723 --> 00:35:38.684]  When it's pollinating, the bees eat it.
[00:35:38.984 --> 00:35:39.525]  Bye bye bee!
[00:35:40.856 --> 00:35:42.597]  Oh yeah, we will talk about the bees.
[00:35:43.137 --> 00:35:46.039]  We're looking at a devastating collapse of the honeybee population.
[00:35:46.059 --> 00:35:50.901]  I know you've covered the topic before, but people tend to dismiss that issue, Alex.
[00:35:51.382 --> 00:35:57.725]  They don't realize that one out of every three bites of the food on their plate comes from honeybee-pollinated crops.
[00:35:58.486 --> 00:36:03.889]  You know, without the honeybees, you're in a massive starvation scenario in one season.
[00:36:05.509 --> 00:36:06.490]  And the honeybees are being
[00:36:06.949 --> 00:36:10.892]  Destroyed, many think, in part by genetically modified crops.
[00:36:10.912 --> 00:36:12.153]  Well, notice where they're dying.
[00:36:12.253 --> 00:36:14.475]  It's everywhere where GMO crops are being grown.
[00:36:15.155 --> 00:36:20.360]  They even have maps, as you know, showing it's all around growth belts where GMO is being grown.
[00:36:20.380 --> 00:36:28.506]  Yeah, you know, ultimately this comes down to just an amazing example of human arrogance and stupidity.
[00:36:29.076 --> 00:36:32.217]  For these scientists to think that they're smarter than nature.
[00:36:32.237 --> 00:36:32.957]  They're eugenicists.
[00:36:33.457 --> 00:36:35.278]  They're just going to dominate nature.
[00:36:35.898 --> 00:36:38.099]  It's so foolish and it's self-destructive.
[00:36:38.219 --> 00:36:52.224]  Mike, Mike, Mike, I keep interrupting because everything you're saying is so true, but on this point, remember Dr. Eric Bianca that said he wants 90% of us to die, can't wait for Ebola to mutate and it's going to be great and you get standing ovations, the UT scientists, the biologists.
[00:36:53.324 --> 00:36:55.086]  I tracked his graduate students.
[00:36:55.627 --> 00:36:56.427]  I tracked them.
[00:36:56.467 --> 00:36:57.668]  You know where most of them are working?
[00:36:58.069 --> 00:36:59.030]  GMO food.
[00:36:59.330 --> 00:37:02.293]  And they openly say they want all humans sterilized and dead.
[00:37:02.713 --> 00:37:05.616]  So, Mike, this isn't an accident, Mike.
[00:37:06.296 --> 00:37:07.678]  This is their religion is killing us.
[00:37:07.698 --> 00:37:11.381]  They say we're a parasite that all of us need to be killed.
[00:37:13.023 --> 00:37:18.848]  Well, that's a perfect example of the kind of insanity that we're both observing out there.
[00:37:19.420 --> 00:37:24.804]  I mean, sometimes, even for me, sometimes it's hard to believe that a human being could be so evil.
[00:37:24.884 --> 00:37:25.364]  But you're right.
[00:37:25.424 --> 00:37:28.987]  When you look at the evidence, that's the only conclusion you can come to.
[00:37:29.628 --> 00:37:36.152]  And the people who haven't reached that conclusion yet have not seen the evidence or refuse to embrace it.
[00:37:36.953 --> 00:37:37.914]  Refuse to recognize it.
[00:37:37.954 --> 00:37:39.215]  There's a lot of denial out there.
[00:37:40.796 --> 00:37:42.077]  You know, on health and GMOs.
[00:37:42.277 --> 00:37:43.778]  Yeah, I'm not going to live in denial anymore.
[00:37:44.338 --> 00:37:45.179]  Myself included.
[00:37:45.679 --> 00:37:46.280]  I was interrupting.
[00:37:46.300 --> 00:37:47.281]  Keep getting into what's happening.
[00:37:47.361 --> 00:37:47.641]  Go ahead.
[00:37:49.099 --> 00:37:52.041]  Oh, well, I mean, that's the wrap-up right there.
[00:37:52.401 --> 00:37:57.844]  We could go into lots of details, but the bottom line is that genetically modified organisms can be quite poisonous.
[00:37:58.024 --> 00:38:05.089]  They're breeding infertility in people who consume them, and get this, the FDA, our old friends at the FDA,
[00:38:06.104 --> 00:38:13.346]  They would prefer that consumers don't know which products have genetically modified organisms in them, and which ones don't.
[00:38:13.446 --> 00:38:20.829]  That's right, they've passed laws to what, 75% of the food product can be GMO and they can still certify it as organic.
[00:38:22.269 --> 00:38:23.069]  Oh yeah, yeah.
[00:38:23.509 --> 00:38:25.250]  The FDA doesn't want the consumer to know anything.
[00:38:25.290 --> 00:38:30.812]  They don't want foods to be labeled when they're irradiated, and that's a whole big issue that's going to come up next year.
[00:38:31.032 --> 00:38:34.933]  What about these bacteria-eating viruses they're basting their lunch meats in?
[00:38:37.208 --> 00:38:38.969]  Oh yeah, yeah, the virus treatments.
[00:38:39.089 --> 00:38:44.653]  Well, just another kooky example of weird Frankenstein science being applied to the food supply.
[00:38:45.173 --> 00:38:46.534]  I mean, what else are they going to come up with?
[00:38:47.915 --> 00:38:52.678]  They treat the almonds with chemicals, they fumigate the almonds, and then they sell them as raw.
[00:38:53.379 --> 00:38:56.361]  They pasteurize them, and they sell them as raw.
[00:38:56.661 --> 00:38:58.622]  I mean, the labeling is completely out of control.
[00:38:58.862 --> 00:39:04.186]  This is why I say, Alex, the FDA has literally become an enemy of the people.
[00:39:04.989 --> 00:39:05.789]  It's out of control.
[00:39:05.829 --> 00:39:08.811]  It's like the Fed applied to health care.
[00:39:10.171 --> 00:39:13.013]  The Fed is out of control with the money supply.
[00:39:13.033 --> 00:39:15.374]  The FDA is out of control with health care.
[00:39:15.394 --> 00:39:17.155]  Well, that's what's wrong with socialized health care.
[00:39:17.215 --> 00:39:20.216]  Not just that it would always be bankrupt and folks would always steal the money in government.
[00:39:20.236 --> 00:39:20.916]  That always happens.
[00:39:21.877 --> 00:39:30.501]  But they want global socialized health care so they can force all of their eugenics on us.
[00:39:31.800 --> 00:39:32.901]  You know, that's the whole point, folks.
[00:39:32.921 --> 00:39:33.862]  The government's evil.
[00:39:33.922 --> 00:39:35.223]  We don't want what they have.
[00:39:35.263 --> 00:39:36.063]  They're bad.
[00:39:36.083 --> 00:39:38.165]  That's right.
[00:39:38.265 --> 00:39:48.293]  And one of the proposals under the Obama health care plan is to force people to buy into the health insurance plans and criminalize those who refuse to buy it.
[00:39:48.533 --> 00:39:48.993]  That's right.
[00:39:49.053 --> 00:39:50.755]  For example, I don't buy health insurance.
[00:39:51.035 --> 00:39:52.336]  Why would I want to go to a doctor?
[00:39:52.776 --> 00:39:55.618]  I have no need to go to a doctor because of my lifestyle.
[00:39:55.919 --> 00:40:00.082]  You know, unless I fall down or something and get injured somewhere, then I'll pay for that out of pocket.
[00:40:00.481 --> 00:40:06.105]  But I don't need to buy health insurance, and healthy Americans are opting out of the system right now and saving a fortune.
[00:40:07.305 --> 00:40:12.289]  Why should they be criminalized for taking care of their health and choosing not to waste money on unnecessary insurance?
[00:40:12.469 --> 00:40:13.589]  Oh, it's total control.
[00:40:14.670 --> 00:40:15.531]  They are really moving.
[00:40:16.811 --> 00:40:18.212]  They've got cancer cures, folks.
[00:40:18.232 --> 00:40:21.675]  They give them to people like Armstrong and others to be their little pets.
[00:40:22.795 --> 00:40:24.917]  So sick what they're doing.
[00:40:25.118 --> 00:40:27.420]  You're on for two hours next Thursday, my friend.
[00:40:27.440 --> 00:40:29.281]  You've agreed to do that from 1 p.m.
[00:40:29.321 --> 00:40:30.022]  to 3 p.m.
[00:40:30.402 --> 00:40:33.225]  And I want to get into some calls from Steve, Jason, Tom, Jake, Matt.
[00:40:34.606 --> 00:40:35.988]  They'll be all over the map, but that's fine.
[00:40:36.008 --> 00:40:37.209]  But I wanted to play this clip.
[00:40:37.229 --> 00:40:38.090]  I think this is the right clip.
[00:40:38.550 --> 00:40:38.850]  That's right.
[00:40:59.298 --> 00:40:59.979]  Play this clip.
[00:41:00.079 --> 00:41:00.939]  This is not the right clip.
[00:41:01.040 --> 00:41:01.900]  Oh, it's not the right clip?
[00:41:01.920 --> 00:41:04.362]  No, Paul just sent me this contaminated baby formula clip.
[00:41:04.402 --> 00:41:06.344]  Oh, it's a contaminated baby formula clip?
[00:41:06.424 --> 00:41:06.764]  Yeah.
[00:41:07.065 --> 00:41:10.247]  No, I sent you one... I bet Kirk can send it.
[00:41:10.368 --> 00:41:13.570]  It was something like, get sterilized in...
[00:41:14.731 --> 00:41:17.295]  In 30 seconds or something, I think is the name of it.
[00:41:17.775 --> 00:41:23.363]  And it's a news program which is actually a PR paid for piece that was on the news going, It's so wonderful!
[00:41:23.403 --> 00:41:24.324]  I'm sterilized!
[00:41:24.504 --> 00:41:25.325]  Oh my God!
[00:41:25.345 --> 00:41:26.367]  I love it!
[00:41:26.847 --> 00:41:27.608]  It's so good!
[00:41:30.831 --> 00:41:32.212]  What are some of the other things you're working on?
[00:41:32.232 --> 00:41:33.093]  I mean, HPV.
[00:41:33.353 --> 00:41:35.675]  We knew in the trials that it killed a bunch of people.
[00:41:35.955 --> 00:41:36.796]  Now it's widespread.
[00:41:36.816 --> 00:41:37.476]  People are dying.
[00:41:37.496 --> 00:41:38.797]  They're having autoimmune problems.
[00:41:39.178 --> 00:41:44.822]  And now they're saying they want to shoot boys up with it, and then they admit the vaccine doesn't even protect you from that type of virus.
[00:41:45.963 --> 00:41:53.889]  Yeah, I sometimes think I have to give these experts a little remedial anatomy lesson, you know, because it's supposed to protect against cervical cancer, and boys don't have a cervix.
[00:41:56.011 --> 00:41:57.933]  You've got to remind these folks what they're dealing with here.
[00:41:58.533 --> 00:41:59.274]  You're with Al-Qaeda.
[00:42:01.124 --> 00:42:02.445]  You got your soundbite up there?
[00:42:02.945 --> 00:42:03.305]  No, I don't.
[00:42:03.325 --> 00:42:05.867]  I was saying, you're with Al-Qaeda saying that boys don't have a cervix.
[00:42:06.728 --> 00:42:07.808]  Oh, yeah.
[00:42:08.569 --> 00:42:09.629]  Anybody have any questions?
[00:42:10.770 --> 00:42:11.310]  Go ahead.
[00:42:12.371 --> 00:42:19.856]  Steven Sundolf, he's the director of the Food and Drug Administration, Food Safety and Applied Nutrition Department.
[00:42:20.376 --> 00:42:21.917]  Here's what he said about melamine on Friday.
[00:42:22.558 --> 00:42:26.220]  He said, quote, I don't know the reason it's appearing in some products, not others.
[00:42:26.673 --> 00:42:31.905]  I really don't want to speculate on why it is, because the real answer is that we don't know at this point.
[00:42:33.038 --> 00:42:34.879]  That's the FDA's authority for you right there.
[00:42:35.320 --> 00:42:37.261]  They don't know, but they say it's safe.
