[00:00:00.169 --> 00:00:01.729]  Wait and feel great!
[01:11:13.732 --> 01:11:16.214]  Same thing for the moons of Saturn and Jupiter and others.
[01:11:17.942 --> 01:11:24.164]  Separately from that, they're getting upset that because of the cooling it's becoming obvious that it's not global warming.
[01:11:24.184 --> 01:11:25.864]  So now they're just saying climate change.
[01:11:26.404 --> 01:11:27.704]  But then that's very childlike.
[01:11:28.004 --> 01:11:29.245]  We're always having climate change.
[01:11:29.285 --> 01:11:30.025]  We have seasons.
[01:11:30.445 --> 01:11:33.366]  We know we go through hot and cold periods.
[01:11:33.666 --> 01:11:34.366]  But you're right.
[01:11:35.146 --> 01:11:42.268]  None of that even matters when it's declassified that they're doing thousands of aerosol spraying operations.
[01:11:42.308 --> 01:11:43.028]  Just Google it.
[01:11:43.388 --> 01:11:45.429]  The government now admits they're... I'm watching one right now.
[01:11:47.498 --> 01:11:51.321]  Just finishing this thought for folks that don't know what Donna knows, that don't know what Alan knows.
[01:11:51.802 --> 01:11:58.507]  I'm just throwing this out because it's so important, and I meant to make the point today, and I'm glad you called in on synchronicity or serendipity, whichever one.
[01:11:58.747 --> 01:12:13.580]  The point here is, is that, just finishing the thought, they are clearly, as Secretary of Defense Cohen said in 97 in Army Times in the April issue,
[01:12:14.600 --> 01:12:15.921]  They do have weather weapons.
[01:12:15.961 --> 01:12:18.042]  They do have tectonic earthquake weapons.
[01:12:18.222 --> 01:12:18.863]  They said it.
[01:12:19.003 --> 01:12:19.603]  They admit it.
[01:12:19.883 --> 01:12:21.204]  They are manipulating the weather.
[01:12:21.444 --> 01:12:25.046]  So finish up your comment, and then I want to get Alan Watts' take on that.
[01:12:25.787 --> 01:12:29.829]  Okay, well, there is a misconception about missile defense shield.
[01:12:29.989 --> 01:12:37.294]  What the mainstream puts out there is that missile defense shield are these interceptors which fail nine times out of ten.
[01:12:38.007 --> 01:12:43.934]  And in fact, missile defense shield is pulsed energy, electromagnetic energy, into the ionosphere.
[01:12:44.334 --> 01:12:50.401]  And I'm leaning toward thinking that the chemtrails that I'm witnessing right now outside my window have something to do with that.
[01:12:51.986 --> 01:13:01.254]  So what we have here is this shield of energy being created by antennas such as HAARP, and you say HAARP, and you've got this horrible stigma just like you have when you say chemtrails.
[01:13:01.614 --> 01:13:06.218]  But it's a very real thing, and it's impacting everybody, everything, every living organism.
[01:13:06.238 --> 01:13:14.925]  Well, governments admit that they use antennas to manipulate the atmosphere, and that's in thousands, literally thousands of mainstream newspapers have reported on that.
[01:13:15.005 --> 01:13:16.306]  China does it, Russia does it.
[01:13:18.408 --> 01:13:20.589]  The problem is we don't know the full extent of that.
[01:13:20.629 --> 01:13:30.735]  We do know that there are thousands of spraying programs going on with aluminum dioxide with barium salts being added to jet fuel.
[01:13:31.115 --> 01:13:32.616]  Perfect compartmentalization.
[01:13:32.656 --> 01:13:33.816]  The companies don't even know.
[01:13:34.357 --> 01:13:37.158]  It's only the three big jet fuel makers that are adding it.
[01:13:37.238 --> 01:13:38.459]  Alan Watt comments on this.
[01:13:39.239 --> 01:13:40.960]  It's much bigger even.
[01:13:41.420 --> 01:13:45.983]  The HAARP technology was used in the 1970s, early 70s from Russia, Riga.
[01:13:46.718 --> 01:13:49.040]  In fact, the Soviet system and Latvia.
[01:13:50.061 --> 01:13:53.845]  And we find out now there's over 54 of them worldwide.
[01:13:54.986 --> 01:13:55.447]  The U.S.
[01:13:55.487 --> 01:13:58.029]  has one in, I think, Iceland, and one in Greenland as well.
[01:13:58.049 --> 01:14:01.213]  There's one in Alaska, and they have one in Australia in Pine Grap.
[01:14:02.153 --> 01:14:05.096]  Now, they can work these in concert with each other.
[01:14:05.116 --> 01:14:09.281]  It was in the British papers they used it in the first Gulf War in Iraq.
[01:14:10.081 --> 01:14:15.847]  And it literally affected the minds of the soldiers who were just walking out the desert, completely stunned.
[01:14:16.688 --> 01:14:22.773]  They hadn't been under a bombardment, at least a visible bombardment, and yet they were like zombies.
[01:14:23.254 --> 01:14:24.475]  So it can affect the mind.
[01:14:24.595 --> 01:14:27.037]  Now, there are technologies, no doubt about it.
[01:14:27.077 --> 01:14:32.442]  This ties in with technotronic warfare that Brzezinski talked about in his book, Between Two Ages.
[01:14:32.482 --> 01:14:34.765]  He said, shortly a technique will be used on the public
[01:14:35.505 --> 01:14:35.805]  I think?
[01:14:56.594 --> 01:15:02.137]  And the whole idea was dreamed up in the 50s with Teller, who was the inventor of the H-bomb.
[01:15:02.638 --> 01:15:13.244]  He said if they can doze the atmosphere with barium salts, aluminum oxide, and others, he said we can make it very conductive and it will help with this ELF frequency.
[01:15:13.784 --> 01:15:16.146]  And by the way, the Baltimore Sun 8 years ago
[01:15:43.177 --> 01:15:56.181]  Did a big report admitting that DARPA is testing antenna arrays across the United States, and it said to calm the American people, we put off these waves, we love you and the government.
[01:15:56.561 --> 01:16:00.582]  Yeah, I've got photographs from Canada, the States, and Europe.
[01:16:00.602 --> 01:16:02.522]  They're putting up these strange antennas.
[01:16:02.562 --> 01:16:07.604]  They look like tall lampposts with a windsock on the end of it.
[01:16:08.704 --> 01:16:24.047]  I've seen this construction and photographs of construction where they have massive thick cables going into the bases of them and this is part of the Technotronic series set up where they can control crowds during and whole populations during times of crisis.
[01:16:24.067 --> 01:16:27.848]  They can make you literally zombified and very placid if they wish to.
[01:16:28.548 --> 01:16:29.868]  But that's freedom, Alan!
[01:16:30.489 --> 01:16:31.249]  That's the freedom.
[01:16:31.329 --> 01:16:31.909]  That's the freedom.
[01:16:31.929 --> 01:16:32.869]  That's their new freedom.
[01:16:35.990 --> 01:16:37.010]  Freedom was redefined.
[01:16:37.884 --> 01:16:38.904]  By Mr. Bush himself.
[01:16:40.344 --> 01:16:46.525]  Well, for the people that think they're going to enforce this system, most of them aren't going to be part of the Brave New Future either, are they?
[01:16:47.406 --> 01:16:48.186]  No, they will not.
[01:16:49.846 --> 01:16:53.167]  But I think, too, that'll start freaking out some as they get closer to their target.
[01:16:53.827 --> 01:16:57.467]  When they personally will see their end coming, they will no longer be necessary.
[01:16:58.168 --> 01:16:58.948]  This is interesting.
[01:16:58.988 --> 01:17:00.708]  You see, technology is very old.
[01:17:01.568 --> 01:17:06.589]  Because the true sciences are kept back from the public, and even from professors.
[01:17:07.307 --> 01:17:10.689]  There's much higher levels of technology and science existing.
[01:17:11.430 --> 01:17:30.143]  And we know this from Nick Biggage, who had a documentary on television on the Wendy Mesley Show, where he demonstrated the obsolete technology, little handheld remotes that the CIA used back in the 1950s, where they could put thoughts directly into a target's mind.
[01:17:30.603 --> 01:17:34.666]  By the way, they had said Ted Stevens was beating his brother
[01:17:36.285 --> 01:17:39.588]  But it looks like Senator Stevens is going to be Senator Stevens.
[01:17:39.608 --> 01:17:44.312]  Looks like he's beating, that's Nick Begich's brother, Mark Begich.
[01:17:44.332 --> 01:17:49.337]  So it looks like he's winning right now in that highly contested Senate race.
[01:17:49.377 --> 01:17:52.319]  Just a program note, you're absolutely right.
[01:17:52.460 --> 01:17:53.841]  They've suppressed a lot of technologies.
[01:17:54.542 --> 01:17:57.024]  Anything else you wanted to add there?
[01:17:58.153 --> 01:17:58.353]  Yes.
[01:17:58.673 --> 01:18:00.514]  One more thing, and this is really important.
[01:18:01.014 --> 01:18:07.315]  The powers of observation for everybody are critical, not just in terms of the political, geopolitical situation.
[01:18:07.335 --> 01:18:09.296]  I mean, we really have to use our minds.
[01:18:09.856 --> 01:18:16.317]  But in observing nature every day, if you really pay attention, you will see things you've never seen before.
[01:18:17.538 --> 01:18:18.818]  We had a period of six weeks.
[01:18:18.838 --> 01:18:22.779]  I live in a small mountain village in northern New Mexico where we have farming and ranching.
[01:18:23.479 --> 01:18:26.640]  There was a period of about six weeks or more where things stopped growing.
[01:18:27.529 --> 01:18:28.530]  Literally stopped growing.
[01:18:29.230 --> 01:18:30.311]  Flowers didn't bloom.
[01:18:31.091 --> 01:18:34.133]  Crops that had been planted weren't getting any bigger.
[01:18:34.934 --> 01:18:42.379]  And when I noticed it myself, with regard to my indoor plants and my outdoor flowers and so forth, these are plants that are potted, mind you, not even in the ground.
[01:18:43.230 --> 01:18:46.051]  Everything these elites do is about playing God.
[01:18:46.452 --> 01:18:52.014]  Total matrix dominance, total... I mean, they have all these terms, but go ahead.
[01:18:52.554 --> 01:18:53.575]  Full spectrum dominance.
[01:18:53.795 --> 01:18:55.536]  Well, this went on for weeks and weeks and weeks.
[01:18:55.896 --> 01:18:58.137]  They weren't dying, but they weren't flourishing.
[01:18:58.177 --> 01:18:58.917]  They weren't growing.
[01:18:59.557 --> 01:19:04.039]  So when I talked to local people, local farmers about it, they said, yes, they had observed the same thing.
[01:19:04.059 --> 01:19:05.160]  They didn't know what was going on.
[01:19:05.700 --> 01:19:10.122]  I posted on a message board that it goes out across the country and people posted the same thing.
[01:19:10.142 --> 01:19:11.703]  They said, yes, we noticed it was very strange.
[01:19:12.156 --> 01:19:12.776]  So what if?
[01:19:12.836 --> 01:19:13.576]  I mean, it's a what if.
[01:19:14.017 --> 01:19:18.118]  What if this energy that they're manipulating could be used to stop things from growing?
[01:19:18.138 --> 01:19:19.718]  No, it could be used to kill you!
[01:19:19.738 --> 01:19:20.738]  Exactly!
[01:19:20.838 --> 01:19:25.639]  But listen, 2 billion bees, or close to 80% of them in England, just drop dead.
[01:19:25.659 --> 01:19:26.780]  They're dropping dead everywhere.
[01:19:26.860 --> 01:19:28.100]  Other animals are dropping dead.
[01:19:28.380 --> 01:19:29.861]  Whole bird species are dying.
[01:19:30.221 --> 01:19:33.802]  Meanwhile, the globalists dance around going, it's for the Earth, for the Earth!
[01:19:34.122 --> 01:19:38.843]  When really, they want to destroy the Earth and rebuild it in their image playing God.
[01:19:39.663 --> 01:19:40.804]  Alan Watt is our guest.
[01:19:40.985 --> 01:19:43.267]  Again, we'll be right back for everybody on the MNFM dial.
[01:19:43.287 --> 01:19:51.314]  We're going to be taking some more calls, so I want to get to everybody here on the Infowars.com streams only during this break.
[01:19:51.334 --> 01:19:56.759]  You know, I joke around about all this because it would be too stressful if I didn't, but this is all very serious.
[01:19:56.819 --> 01:19:59.322]  It's all very, very painful to admit that we've gotten this far.
[01:20:00.356 --> 01:20:01.537]  The guidelines are clear.
[01:20:01.897 --> 01:20:04.398]  The worldwide economic collapse is here.
[01:20:04.839 --> 01:20:07.380]  The military is being positioned for martial law.
[01:20:07.580 --> 01:20:09.762]  The mark of the beast is at hand.
[01:20:09.822 --> 01:20:13.004]  Governments are calling for a new world cashless economic system.
[01:20:13.024 --> 01:20:15.825]  Having a long-term food solution is your only hope.
[01:20:15.865 --> 01:20:16.686]  To stay free.
[01:20:17.797 --> 01:20:21.198]  Now, Survival of Seeds introduces their Escape the Beast Kit.
[01:20:21.438 --> 01:20:24.760]  24 varieties of all-natural, non-genetically modified heirloom seeds.
[01:20:24.800 --> 01:20:27.541]  For true patriots and homesteaders wanting food insurance.
[01:20:27.681 --> 01:20:31.822]  That's over 5 pounds of rare historic seeds for a penny per seed.
[01:20:32.302 --> 01:20:35.444]  15,000 seeds that will feed a family healthy food for 7 years.
[01:20:35.464 --> 01:20:41.386]  Big John Lipscomb, host of Don't Tread on Me, is including an instructional DVD that will teach you how to earn big money.
[01:20:41.506 --> 01:20:44.587]  Selling the produce from his incredible heirloom seeds back to him.
[01:20:44.647 --> 01:20:46.068]  Restaurants and small delis.
[01:20:46.108 --> 01:20:47.048]  Don't buy from copycats.
[01:20:47.148 --> 01:20:47.348]  Santa!
[01:20:47.368 --> 01:20:48.968]  Christmas Eve and you haven't left yet?
[01:20:49.068 --> 01:20:49.848]  Ho ho ho ho ho!
[01:20:49.868 --> 01:20:49.969]  No!
[01:20:49.989 --> 01:20:50.749]  I can't find my keys!
[01:20:50.769 --> 01:20:52.049]  Here's the perfect gift!
[01:20:52.089 --> 01:20:55.209]  Our patented Find One Find All Key Finder, or FOFA XD for short!
[01:21:15.273 --> 01:21:16.314]  Where did I put my glasses, Mrs. Claus?
[01:21:39.228 --> 01:21:40.308]  Oh, here they are!
[01:21:40.589 --> 01:21:44.130]  Luckily, Rudolph's nose isn't the only thing that lashes.
[01:21:44.370 --> 01:21:48.171]  Order your Fofa today with batteries included along with a 30-day money-back guarantee.
[01:21:48.251 --> 01:21:48.671]  Call 866-245-8670.
[01:21:48.691 --> 01:21:49.131]  That's 866-245-8670.
[01:21:49.231 --> 01:21:50.652]  Or buy online at findonefindall.com.
[01:21:50.672 --> 01:21:51.652]  Again, that's findonefindall.com.
[01:21:59.543 --> 01:22:02.085]  Terror Storm, a history of government-sponsored terror.
[01:22:02.385 --> 01:22:03.686]  Loose Change, Final Cut.
[01:22:03.966 --> 01:22:05.948]  Endgame, Blueprint for Global Enslavement.
[01:22:06.108 --> 01:22:07.849]  The Truth Story of the Bilderberg Group.
[01:22:08.009 --> 01:22:09.250]  The Late Great USA.
[01:22:09.490 --> 01:22:10.931]  America, Freedom to Fascism.
[01:22:11.271 --> 01:22:18.116]  These are just a few of the hundreds of powerful documentary films and books available at truthnews.us and prisonplanet.com.
[01:22:18.296 --> 01:22:22.239]  When you visit prisonplanet.com, you can connect to our amazing online store.
[01:22:22.359 --> 01:22:27.022]  Whether you're looking for survival and wellness products like Berkey water filters, or you would like a book,
[01:22:27.262 --> 01:22:31.745]  On the history of the Federal Reserve, we've got the most well-researched and documented titles.
[01:22:31.965 --> 01:22:34.087]  All available at PrisonPlanet.com.
[01:22:34.347 --> 01:22:39.711]  Or if you'd like, you can give the InfoWars store a call at 888-253-3139.
[01:22:40.051 --> 01:22:45.715]  Or you can view more than a thousand titles in super high quality right now at PrisonPlanet.tv.
[01:22:46.075 --> 01:22:55.581]  Knowledge is power, and the information you need to effectively wake up your fellow man and fight the New World Order is available right now at TruthNews.us and PrisonPlanet.tv.
[01:22:56.662 --> 01:22:58.143]  Join the Info War today!
[01:23:13.817 --> 01:23:14.657]  We're good to go.
[01:23:36.522 --> 01:23:37.443]  Thanks for watching.
[01:24:02.754 --> 01:24:06.476]  Okay, behind the scenes there, we were talking to Rico in Toronto.
[01:24:06.496 --> 01:24:07.976]  He went and saw the new James Bond movie.
[01:24:09.237 --> 01:24:11.677]  No, I didn't go see it.
[01:24:11.798 --> 01:24:16.219]  I mean, I'm dealing with all the admitted world government being set up in front of me.
[01:24:16.719 --> 01:24:22.982]  They talk about how it's like Catholic priests doing human sacrifice to the Illuminati in the movie, and I got some emails about it.
[01:24:23.002 --> 01:24:24.162]  I haven't seen it myself yet.
[01:24:26.763 --> 01:24:29.164]  So on that side, it's saying it's a Catholic conspiracy.
[01:24:29.484 --> 01:24:31.045]  Then you have the new angels and devils.
[01:24:31.978 --> 01:24:41.681]  Uh, coming out, uh, with, uh, you know, all these big actors like Tom Hanks, where it's the Catholics fighting the Illuminati, and I can tell you what that is.
[01:24:42.101 --> 01:24:50.164]  That's about making it factionalized, or divide and conquer, where now people will fight about which group is it really when the New World Order controls both groups.
[01:24:50.604 --> 01:24:51.544]  Uh, correct, Alan Watt?
[01:24:52.615 --> 01:24:53.215]  Absolutely.
[01:24:53.235 --> 01:24:54.676]  There's no doubt about it.
[01:24:54.736 --> 01:25:01.720]  Even Malachi Martin, who was a Jesuit priest, said that the Vatican had been totally taken over and is now run by Freemasons.
[01:25:02.000 --> 01:25:05.242]  And these are the same Freemasons that run the Protestant sides as well.
[01:25:05.902 --> 01:25:09.084]  It's the same Freemasons that go over and get knighted by the royalty.
[01:25:09.504 --> 01:25:12.005]  That's one of their high ambitions, of course, if you serve the Great World.
[01:25:12.766 --> 01:25:15.828]  Let's be clear, we're not having a debate about the Catholic Church pushing world government.
[01:25:15.848 --> 01:25:17.069]  The last two pubs have called for it.
[01:25:17.329 --> 01:25:18.390]  We're not debating that.
[01:25:18.711 --> 01:25:20.872]  We're just stating the facts of what it is today.
[01:25:21.533 --> 01:25:31.621]  And for some reason, groups out of Israel fund the idea that if you don't only talk about Catholics being the source of all evil, that you are in their employ.
[01:25:31.861 --> 01:25:33.603]  And that's just massive disinfo.
[01:25:34.435 --> 01:25:45.208]  That's right, even though in Israel itself there is a Masonic Lodge there, where some of the Muslim leaders attend, along with the Jewish leaders and leaders from the Western world.
[01:25:45.248 --> 01:25:47.231]  There's been articles in the paper here from
[01:25:48.256 --> 01:25:54.402]  A Jewish leader in Toronto with his regalia on, his Masonic regalia, going off to that particular lodge representing Canada.
[01:25:54.982 --> 01:25:59.286]  So, you understand, you should say that ISIS had a thousand faces.
[01:25:59.306 --> 01:26:02.929]  Well, you see, this is the organization with a thousand faces and fronts.
[01:26:03.509 --> 01:26:04.950]  They're a thousand points alike.
[01:26:05.010 --> 01:26:07.492]  And the Masons are only one more of those fronts.
[01:26:08.053 --> 01:26:13.838]  Yes, there's blue, there's all arched, but they all take their orders from the English lodge.
[01:26:13.878 --> 01:26:15.099]  That's where they get their charters from.
[01:26:17.536 --> 01:26:26.639]  Yes, and the Duke of Kent, traditionally, is the head of the York Rite of Freemasonry that runs the whole show.
[01:26:33.407 --> 01:26:35.228]  Um, I do, I do.
[01:26:35.388 --> 01:26:43.132]  Like it's definitely, but it was just, it was crazy because it was showing you like it's a, it's a cabal of all industrialists.
[01:26:43.552 --> 01:26:47.955]  But, but, but the British are good and they're going to save us from the cabal, right?
[01:26:48.815 --> 01:26:53.998]  Well, they were wanting to go along with it, but supposedly James Bond did not want to go along with it.
[01:26:54.638 --> 01:27:00.201]  Then after that, but it's like, it leaves you with like, okay, this shadow group is still out there.
[01:27:01.285 --> 01:27:08.386]  They're still doing what they're doing, and yeah, and the ministry even goes on to say, we're running out of resources.
[01:27:09.107 --> 01:27:10.967]  So we've got to go ahead and do what the Shadow Group wants.
[01:27:10.987 --> 01:27:11.807]  I appreciate your call.
[01:27:12.747 --> 01:27:15.928]  That's throwing it in your face, and we're seeing that everywhere, Alan.
[01:27:16.288 --> 01:27:18.768]  Explain to people what predictive programming is.
[01:27:19.549 --> 01:27:26.230]  Yeah, predictive programming is a technique developed in London for the BBC by Tavistock Institute.
[01:27:26.966 --> 01:27:33.570]  Where they experimented on, first of all, mental patients, and then they expanded it into the general population by surveys and tests, etc.
[01:27:34.250 --> 01:27:55.502]  And they found out that, mainly through fiction, because your sensor part of the brain is down, you don't expect to have to make decisions on information, you're being entertained, your sensor is down, and therefore all of the messages that are wrapped into, generally, a fight and flight scenario, where the hero gets chased, there's a lot of chasing going on, and your adrenaline's up,
[01:27:56.322 --> 01:28:13.127]  And so now when we talk about it, they're comfortable with it because, oh, everybody knows about that.
[01:28:13.427 --> 01:28:15.428]  Everybody knows the CIA deals the drugs.
[01:28:15.708 --> 01:28:18.249]  Everybody knows they put cancer viruses in the vaccines.
[01:28:18.589 --> 01:28:20.869]  I mean, a lot of people don't even deny what we're saying.
[01:28:21.129 --> 01:28:23.190]  They just go, okay, yeah, everybody knows that.
[01:28:23.991 --> 01:28:30.514]  That's right, but they don't realize that they now have opinions and conclusions, and they have no idea how they arrived at those opinions.
[01:28:31.255 --> 01:28:31.675]  Absolutely.
[01:28:31.695 --> 01:28:34.016]  Let's jam in another call here.
[01:28:34.196 --> 01:28:35.117]  Jeremy in Canada.
[01:28:35.137 --> 01:28:36.377]  A lot of calls from where you're at.
[01:28:36.757 --> 01:28:37.838]  Jeremy, you're on the air.
[01:28:38.438 --> 01:28:39.359]  Okay.
[01:28:39.859 --> 01:28:48.983]  Listen, I really appreciate what you and Alan are doing, and other people like you in the alternative media, because you're the only ones I hear speaking the truth these days.
[01:28:50.144 --> 01:28:51.225]  I just have one question.
[01:28:53.137 --> 01:29:00.764]  Wouldn't the Bilderbergers and the elites who are killing us with soft kill, are they suicidal as well as homicidal?
[01:29:00.804 --> 01:29:04.567]  Because like on the subject of disappearing mail,
[01:29:05.583 --> 01:29:09.305]  Wouldn't their sperm count be way down and wouldn't their children be deformed too?
[01:29:09.785 --> 01:29:12.686]  No, when you read, they all avoid the plastics.
[01:29:13.107 --> 01:29:14.567]  They avoid the vaccines.
[01:29:14.587 --> 01:29:19.529]  I mean, it's like when I had the state director on about forcibly injecting the kids in Maryland.
[01:29:19.930 --> 01:29:21.470]  He said, it's no law.
[01:29:21.730 --> 01:29:22.211]  You're right.
[01:29:22.251 --> 01:29:23.591]  And I don't, my kids don't take them.
[01:29:23.611 --> 01:29:24.912]  And then he laughed.
[01:29:25.312 --> 01:29:26.953]  You see, it's that pleasure, Alan.
[01:29:27.910 --> 01:29:39.357]  What's interesting, back in the 60s, I think it was, that was a small time following around, but there's a documentary on the Queen and how she had her own personal herbalist who dealt with the soap she used and everything else.
[01:29:39.377 --> 01:29:41.438]  But they don't use what we use.
[01:29:41.458 --> 01:29:45.201]  They understand the agenda and they make sure they're healthy and their offspring are healthy too.
[01:29:45.501 --> 01:29:47.402]  Yeah, does that answer your question?
[01:29:48.123 --> 01:29:49.003]  Yeah, apparently.
[01:29:49.023 --> 01:29:49.403]  Hold on.
[01:29:50.064 --> 01:29:51.425]  We're on the march.
[01:29:51.465 --> 01:29:53.046]  The Empire's on the run.
[01:29:53.966 --> 01:29:56.668]  Alex Jones and the GCN Radio Network.
[01:29:59.801 --> 01:30:08.210]  Of the three million plus edible food plants that grow on earth, no other single plant can compare with the nutritional value of the powder, seeds, and oil of the hemp plant.
[01:30:08.511 --> 01:30:14.197]  At hempusa.org, we ship worldwide these nutritional products with free shipping to the US and Canada.
[01:30:14.497 --> 01:30:21.045]  At hempusa.org, we want to educate our listeners that edible hemp is not marijuana and is certified THC-free.
[01:30:21.605 --> 01:30:24.867]  Our powder is 50% protein and does not contain gluten.
[01:30:24.988 --> 01:30:27.249]  Gluten impairs the cells from absorbing nutrients.
[01:30:27.449 --> 01:30:33.814]  This nutrient-dense food can be stored up to 5 years when vacuum-packed and is priced affordably to be used as a storable food.
[01:30:34.034 --> 01:30:37.356]  HempUSA.org is a bulk shipper starting with 5 pounds and up.
[01:30:37.556 --> 01:30:44.241]  To allow this food to work for you, call 908-691-2608 or go to HempUSA.org and order today.
[01:30:44.621 --> 01:30:47.583]  The body will react and heal itself given the proper nutrition.
[01:30:47.784 --> 01:30:50.886]  This superfood will be your greatest asset, so try it today!
[01:30:51.266 --> 01:30:53.328]  Store it today and change your life.
[01:30:53.629 --> 01:30:58.654]  Call 908-691-2608 or order from hempusa.org.
[01:30:59.295 --> 01:31:02.459]  A day unlike any other in the long course of American history.
[01:31:02.519 --> 01:31:05.682]  A terrorist act of war against this country.
[01:31:06.002 --> 01:31:07.604]  The enemy struck America on September 11.
[01:31:08.625 --> 01:31:09.646]  But who is the enemy?
[01:31:10.186 --> 01:31:10.707]  Bin Laden.
[01:31:10.987 --> 01:31:12.028]  This is his MO.
[01:31:12.048 --> 01:31:13.329]  We have to look to the Middle East.
[01:31:13.349 --> 01:31:15.030]  We have to look to Osama Bin Laden.
[01:31:15.290 --> 01:31:22.076]  Enabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[01:31:22.496 --> 01:31:22.936]  Some U.S.
[01:31:22.976 --> 01:31:28.721]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[01:31:29.321 --> 01:31:32.784]  I'm aware that some Israeli citizens have been detained.
[01:31:33.084 --> 01:31:35.906]  Either you are with us, or you are with the terrorists.
[01:31:59.326 --> 01:32:09.414]  With food prices soaring to all-time highs, as the dollar continues to fall in value, what can you and your family do to guarantee that fresh, nutritious vegetables will make it to your dinner table?
[01:32:09.895 --> 01:32:10.956]  Garden in a Can.
[01:32:11.316 --> 01:32:14.879]  Garden in a Can is your source for premium, long-term, storable seeds.
[01:32:15.439 --> 01:32:17.220]  Garden in a Can is ready when you are.
[01:32:17.460 --> 01:32:19.781]  Plant them now or store them for when you really need them.
[01:32:20.222 --> 01:32:29.287]  There are 16 large, hermetically sealed, non-hybrid, open-pollinated packets of seeds, along with detailed planting instructions sealed in a can for ultimate long-term protection.
[01:32:29.907 --> 01:32:30.908]  Garden in a Can.
[01:32:31.328 --> 01:32:32.188]  It's that simple.
[01:32:32.528 --> 01:32:32.829]  Fresh.
[01:32:33.229 --> 01:32:33.629]  Healthy.
[01:32:34.109 --> 01:32:34.389]  Easy.
[01:32:34.930 --> 01:32:38.892]  Only $69.95 for over a half acre of safe, fresh vegetables.
[01:32:39.272 --> 01:32:40.193]  Ready when you are.
[01:32:40.853 --> 01:32:44.395]  Stop procrastinating and start preparing with Garden in a Can.
[01:32:44.915 --> 01:32:48.018]  For more details visit GardenInACan.com today.
[01:32:48.398 --> 01:32:50.920]  That's GardenInACan.com or call 866-598-7396.
[01:32:50.940 --> 01:32:50.980]  866-598-7396.
[01:33:05.963 --> 01:33:07.624]  All right, final segment with Alan Watt.
[01:33:07.664 --> 01:33:09.805]  This show has just blasted past us.
[01:33:10.165 --> 01:33:18.290]  Then Dr. Kyle, Scott, Dave, Andy and others.
[01:33:18.310 --> 01:33:21.252]  And we're going to go back to Alan Watt here in just a moment.
[01:33:21.272 --> 01:33:23.273]  But before...
[01:33:26.616 --> 01:33:32.964]  Before I go any further, I do want to tell you about some of our sponsors.
[01:33:33.405 --> 01:33:35.127]  And one of them is Inner Health Botanicals.
[01:33:35.147 --> 01:33:43.157]  You know, I plugged them last hour and forgot to tell you that they have a lot of new products in their product line, like natural amino acid meal replacement.
[01:33:43.197 --> 01:33:45.520]  Talk about something for dieting or something for emergencies.
[01:33:45.740 --> 01:33:50.164]  It's basically a natural, healthy, effective way to lose weight while getting all the nutrients your body needs.
[01:33:50.364 --> 01:33:53.707]  How it works, you mix up a cup and a glass of juice and have it in place of a meal.
[01:33:53.747 --> 01:33:58.431]  For example, you can replace one of your meals every day, stay healthy, get all your nutrients and lose weight in the process.
[01:33:58.671 --> 01:34:07.058]  Check it out at ENERFOOD.COM or check out the natural amino acid meal replacement by calling 866-762-9238.
[01:34:12.502 --> 01:34:15.305]  And these aren't just great sponsors we go out and get.
[01:34:15.325 --> 01:34:16.446]  I only get stuff I believe in.
[01:34:16.967 --> 01:34:18.708]  It also makes what we're doing here possible.
[01:34:19.309 --> 01:34:24.154]  I want to do online and probably on TV daily news review shows.
[01:34:24.975 --> 01:34:30.440]  And I'm so busy I'm going to try to hire somebody to come in and do it in our office.
[01:34:31.281 --> 01:34:31.801]  More people.
[01:34:35.478 --> 01:34:37.619]  Point is, I got a lot of things I want to do to fight these people.
[01:34:37.939 --> 01:34:38.719]  We need your support.
[01:34:38.759 --> 01:34:44.502]  So go to InfoWars.com, buy the books and videos, get them out to people, they wake folks up, and it supports what we're doing here.
[01:34:45.002 --> 01:34:47.063]  Support our sponsors like Interfood, 866-762-9238.
[01:34:50.369 --> 01:34:52.471]  You know, I don't even lose sleep dealing with this.
[01:34:52.491 --> 01:34:58.277]  I mean, I do sometimes, but not as much as I would if I just didn't do the best job I can fighting it and move forward.
[01:34:58.377 --> 01:34:59.758]  You're only alive one time.
[01:35:00.058 --> 01:35:03.602]  There are just very wicked focus control freaks that run the planet.
[01:35:03.782 --> 01:35:05.864]  They say it's their right to do this to us because
[01:35:06.104 --> 01:35:06.184]  It's
[01:35:22.831 --> 01:35:32.294]  They say there's no such thing as a genetic mutation, so when they create chimera cross-species creations, they just say, well, man's a natural mutation, and so anything we make is a natural mutation.
[01:35:32.694 --> 01:35:34.994]  So all their talk about the environment's a bunch of bull.
[01:35:35.314 --> 01:35:37.195]  They don't even care about themselves at certain levels.
[01:35:37.295 --> 01:35:38.415]  Some of them do, some don't.
[01:35:38.675 --> 01:35:47.358]  A lot of them are very nihilistic, and openly state, we have this in Endgame, Blueprint for Global Enslavement, that they might want to just destroy the Earth for fun.
[01:35:47.518 --> 01:35:51.839]  You know, it's like Nero burning Rome, or Caligula marrying his horse, or
[01:35:52.699 --> 01:35:54.681]  I mean, throughout history, these guys go crazy.
