[00:00:13.279 --> 00:00:14.099]  All right, folks!
[00:22:50.497 --> 00:22:52.178]  Call and order your copy today at 1-800-686-2237.
[00:22:52.278 --> 00:22:52.498]  That's 1-800-686-2237.
[00:23:00.436 --> 00:23:00.856]  Warning!
[00:23:01.036 --> 00:23:07.779]  The EPA states indoor air pollution is the number one health problem today, causing 50% of all illnesses.
[00:23:07.959 --> 00:23:10.460]  Go to germfree33.com.
[00:23:10.500 --> 00:23:15.362]  Technology developed for NASA is now available to protect your family and health.
[00:23:15.522 --> 00:23:17.563]  Laboratory proven to eliminate 99.9% of deadly MRSA.
[00:23:19.804 --> 00:23:23.766]  Black mold, E. coli, bird flu, and more from all surfaces.
[00:23:23.926 --> 00:23:26.108]  Germfree33.com.
[00:23:26.188 --> 00:23:30.050]  Remove pollen, mold, pet dander, dust mites, and more from the air.
[00:23:30.150 --> 00:23:32.091]  Germfree33.com.
[00:23:32.191 --> 00:23:33.792]  World's best air purifiers.
[00:23:33.992 --> 00:23:35.033]  Nothing else compares.
[00:23:35.153 --> 00:23:37.054]  Germfree33.com.
[00:23:37.174 --> 00:23:38.775]  No expensive filters to replace.
[00:23:38.855 --> 00:23:40.596]  Covers 3,000 square feet.
[00:23:40.756 --> 00:23:43.617]  See the proof at Germfree33.com.
[00:23:43.737 --> 00:23:45.178]  Order from our secure website.
[00:23:45.278 --> 00:23:46.319]  Credit cards accepted.
[00:23:46.519 --> 00:23:47.380]  Order by phone, 800-492-1073.
[00:23:47.400 --> 00:23:48.241]  Payment plans available, 800-492-1073.
[00:23:48.261 --> 00:23:48.702]  Germfree33.com.
[00:23:48.782 --> 00:23:49.743]  The world's best air purifiers.
[00:23:49.763 --> 00:23:51.986]  He's the T-Rex of political talk, Alex Jones, on the GCN Radio Network.
[00:24:08.382 --> 00:24:09.624]  All right, folks, we are back.
[00:24:10.225 --> 00:24:11.526]  It is the Alex Jones Show.
[00:24:11.847 --> 00:24:17.334]  And before we get back to Stuart Howe or if we are Change LA, I want to remind everybody to support our biggest sponsor.
[00:24:17.374 --> 00:24:18.195]  It's eFoods Direct.
[00:24:18.215 --> 00:24:20.839]  The only sure thing about the future is there is no sure thing.
[00:24:21.319 --> 00:24:22.761]  Storing food for your family is one of the most
[00:24:23.302 --> 00:24:24.383]  Prudent actions you can take.
[00:24:24.843 --> 00:24:28.786]  No one knows what can or will affect the functioning of society or food distribution.
[00:24:29.106 --> 00:24:30.947]  With Stored Food, you eliminate the worry.
[00:24:31.227 --> 00:24:36.771]  Our biggest sponsor, eFoods Direct, is the longest continually operating storable foods company in the United States.
[00:24:37.211 --> 00:24:38.292]  These are the experts, guys.
[00:24:38.332 --> 00:24:40.474]  Be prepared and give eFoods Direct a call at 1-800-409-5633.
[00:24:40.494 --> 00:24:40.694]  That's 1-800-409-5633.
[00:24:40.714 --> 00:24:44.056]  You can go check out the banners over at InfoWars.com and PrisonPlanet.com.
[00:24:53.183 --> 00:25:19.397]  and uh... steward i really do see a huge breakthrough and i i i i i don't agree with you i think that we should focus on getting more celebrities to talk and rosie o'donnell recently on howard stern i thought was great because now we have to all legitimate people talking about nine eleven being an inside job on stern without being interrupted or made fun of too much uh... you got jesse ventura and rosie o'donnell but the thing about o'donnell that interests me is he's offered her a show
[00:25:20.117 --> 00:25:30.250]  And I would love to see her on Sirius Radio where she can get away with a little bit more to do a show and to have some 9-11 truthers on and make that a big part of her show.
[00:25:30.270 --> 00:25:33.654]  You know, maybe cover it once or twice a week even or some real news.
[00:25:33.714 --> 00:25:37.399]  I really think she could be a huge voice in this movement if she wanted to.
[00:25:39.026 --> 00:25:52.339]  I think so too, I agree with you, and I think we're on the verge of a tipping point with all the celebrities that have come out recently, with Jesse Ventura, who certainly is as credible as you can get with his background as a Navy SEAL.
[00:25:52.720 --> 00:26:02.149]  I think we're going to see the feeling of more solidarity in Hollywood and in the celebrity community to be able to come out and
[00:26:02.884 --> 00:26:11.108]  Be a force for change, you know, to pay back a bit to the country and society and even the town that these people have done so well in.
[00:26:11.708 --> 00:26:12.929]  And so we're encouraging that.
[00:26:12.949 --> 00:26:15.050]  We're working on some things with some people.
[00:26:15.110 --> 00:26:16.370]  I know Alex's as well.
[00:26:17.211 --> 00:26:23.434]  And I think there really is a huge amount of benefit from celebrities coming out.
[00:26:24.154 --> 00:26:28.216]  And that's an exciting thing because a lot of these people are really good folks.
[00:26:28.296 --> 00:26:32.038]  They are just waiting to know that they're not going to be hung out to dry.
[00:26:32.888 --> 00:26:43.072]  And demonize to a certain degree like they've been done, but now there's more people coming on board and a warmer response to some of them.
[00:26:43.913 --> 00:26:53.417]  I think they're starting to sense the solidarity that will empower them to either group or individually come forward and We Are Change LA is here to do that, to facilitate that.
[00:26:54.177 --> 00:26:55.798]  You know, along with everybody in the movement.
[00:26:56.078 --> 00:27:00.020]  Absolutely, and the American public loves products that are pushed by celebrities.
[00:27:00.100 --> 00:27:00.420]  Period.
[00:27:00.460 --> 00:27:00.840]  Amen.
[00:27:01.200 --> 00:27:03.701]  I mean, you know, Rocio O'Donnell used to push Kmart.
[00:27:04.402 --> 00:27:11.825]  You know, people push things on television, and we find ourselves buying these brands because, you know, Michael Jordan and Nike.
[00:27:12.325 --> 00:27:13.445]  Or Hain.
[00:27:13.465 --> 00:27:14.406]  I mean, he's still around.
[00:27:14.446 --> 00:27:18.967]  So, you know, they brand it a certain way and I think it'll open up people's minds even further.
[00:27:19.227 --> 00:27:24.289]  And maybe it opens up enough minds that they're like, okay, maybe this isn't the life I should be leading.
[00:27:24.309 --> 00:27:26.929]  Maybe I shouldn't care so much about the sports team.
[00:27:26.949 --> 00:27:29.470]  Maybe the style car I have isn't that important.
[00:27:29.490 --> 00:27:35.152]  Maybe what's important is the legislation being passed to take away my rights as an American citizen.
[00:27:35.552 --> 00:27:36.993]  You know, to take away my civil liberties.
[00:27:37.373 --> 00:27:44.075]  Maybe I should be paying attention to Kucinich, you know, impeaching the president under 35 separate articles.
[00:27:44.115 --> 00:27:45.256]  I mean, this is unprecedented.
[00:27:45.476 --> 00:27:48.017]  Let's get your take on the Kucinich impeachment.
[00:27:49.397 --> 00:28:00.362]  Well, I've been focused on other things, but certainly any effort to hold these people accountable, these scoundrels need to be held accountable, as does the larger picture.
[00:28:00.462 --> 00:28:03.443]  And I've been primarily focused on the larger picture because
[00:28:04.266 --> 00:28:16.953]  The way I see it, to a degree, taking out Bush, Cheney, taking out any of these individuals is like pulling teeth out of a great white shark and then expecting to be safe in the water with it when it's just missing a couple of teeth.
[00:28:17.914 --> 00:28:31.882]  And, you know, I am all behind impeachment and every level of accountability, but I'd like to not see any energy taken away from exposing the true nature of the real threat, which is
[00:28:32.492 --> 00:28:40.406]  The power behind the throne, the Bilderberg factor, if you will, and the larger agenda that transcends
[00:28:41.576 --> 00:28:45.799]  No, I'm with you.
[00:28:45.879 --> 00:28:50.342]  We had Paul Craig Roberts on earlier, and he's still one of those right and left guys.
[00:28:50.382 --> 00:28:59.408]  He does a lot of great stuff, writes for Counterpunch, but with all the evils of Obama, he's still pushing Obama because he thinks that the Democrats will do less evil.
[00:28:59.888 --> 00:29:03.271]  I brought up the Bilderberg Group, and I brought up the fact that he probably met with them.
[00:29:03.891 --> 00:29:09.412]  He had these secret meetings with Hillary and he kind of just thought that that was like, you know, political positioning.
[00:29:10.112 --> 00:29:12.753]  I still think that, you know, he was in Washington a long time.
[00:29:13.273 --> 00:29:23.576]  And I believe it's just very, very difficult for someone like that to wrap their head around the fact that, you know, these people are working together against us.
[00:29:23.616 --> 00:29:26.316]  Give out the website one more time, Stuart, and I thank you for your time.
[00:29:26.336 --> 00:29:27.656]  My pleasure.
[00:29:27.676 --> 00:29:28.357]  It's WACLA.
[00:29:31.396 --> 00:29:34.518]  And we've got Bruno's going to court against Fox TV.
[00:29:34.578 --> 00:29:38.262]  I've got something going on, so if anybody wants to donate, that would be much appreciated.
[00:29:38.302 --> 00:29:39.543]  And thank you for your time.
[00:29:39.583 --> 00:29:41.344]  Thank you for all the great work you guys are doing.
[00:29:41.504 --> 00:29:41.965]  Thank you.
[00:29:42.105 --> 00:29:43.666]  Alex Jones Show will be back after this.
[00:29:49.891 --> 00:29:50.792]  We're on the march.
[00:29:51.292 --> 00:29:52.894]  The Empire's on the run.
[00:29:53.814 --> 00:29:56.517]  Alex Jones and the GCN Radio Network.
[00:30:00.097 --> 00:30:04.779]  For centuries, salt products have been known to help people stay well in body, mind, and spirit.
[00:30:05.100 --> 00:30:11.523]  Soleil Wellness is a unique company that scoured the world to find the best salt-based products to help you and your family.
[00:30:11.843 --> 00:30:19.987]  Safe, easy-to-use, environmentally friendly products that fit into any lifestyle, decor, and can be used by anyone at any age.
[00:30:20.247 --> 00:30:23.469]  Soleil Wellness has a unique selection of salt-based products.
[00:30:23.709 --> 00:30:38.604]  Not only Himalayan Gourmet Salt and Healing Bath Salts, Soleil Simple Natural Cleaning Products, Ionizing Salt Crystal Lamps, Respiratory Relieving Salt Pipes, Pain Relieving Pillows and more, all designed to keep you and your family balanced and well.
[00:30:38.885 --> 00:30:42.569]  Visit Soleil Wellness today, online at natural-salt.com.
[00:30:43.389 --> 00:30:44.410]  It is a big idea.
[00:30:44.450 --> 00:30:45.010]  A new world order.
[00:30:45.170 --> 00:30:49.873]  In the near future, Earth is dominated by a powerful world government.
[00:31:09.105 --> 00:31:11.268]  It's known as the Bilderberg Group.
[00:31:11.929 --> 00:31:14.152]  Could their objective be world domination?
[00:31:14.712 --> 00:31:17.175]  For thousands of years, their dark order grew.
[00:31:17.916 --> 00:31:25.246]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:31:28.251 --> 00:31:33.214]  For the first time in history, the elite's plan for world government is blown wide open.
[00:31:33.695 --> 00:31:37.157]  You will learn the secret that drives the entire New World Order agenda.
[00:31:37.557 --> 00:31:40.059]  Build America is making great progress toward a world government.
[00:31:40.119 --> 00:31:41.280]  Most people have no idea.
[00:31:41.300 --> 00:31:42.060]  They're not after money.
[00:31:42.080 --> 00:31:43.181]  They have all the money they need.
[00:31:43.341 --> 00:31:44.082]  They're after power.
[00:31:44.122 --> 00:31:45.182]  That's what they're after these years.
[00:31:45.483 --> 00:31:50.026]  Order In Game on DVD at PrisonPlanet.com or InfoWars.com.
[00:31:50.246 --> 00:31:53.728]  Or watch it online right now at PrisonPlanet.tv.
[00:31:54.228 --> 00:31:54.669]  In Game.
[00:31:54.969 --> 00:31:56.790]  Blueprint for global enslavement.
[00:31:57.030 --> 00:31:58.051]  You have been warned.
[00:31:59.272 --> 00:32:04.419]  If you're a chocolate lover, then now you can use chocolate to get the healthy body you've always wanted.
[00:32:04.699 --> 00:32:14.071]  Introducing Coco Pure Chocolate Tea, the most innovative health drink ever, with ingredients connected to a stronger immune system, a healthier heart, and more beautiful skin.
[00:32:14.291 --> 00:32:16.734]  Here's nutritional expert Dr. Alex Duarte.
[00:32:17.054 --> 00:32:23.398]  Cocoa Cure Chocolate Tea blends the nutrition of concentrated cocoa with natural green tea and an extract from red wine.
[00:32:23.618 --> 00:32:28.580]  This makes it a cripple action supplement with more antioxidant value than most fruits and vegetables.
[00:32:28.941 --> 00:32:33.343]  It has a natural energy booster, digestive health boosters, and much more.
[00:32:33.603 --> 00:32:37.025]  Best of all, this is probably the most delicious supplement that you're ever going to taste.
[00:32:37.245 --> 00:32:40.247]  Today you can try Coco Pure Chocolate Tea risk-free.
[00:32:40.427 --> 00:32:45.709]  If you don't think this is the most delicious way to get healthy, you can return the empty bottle for your money back.
[00:32:45.890 --> 00:32:47.290]  To try Coco Pure, call 1-800-457-9914.
[00:32:47.310 --> 00:32:48.891]  Coco Pure will help get your health back on track.
[00:32:48.931 --> 00:32:49.111]  Call 1-800-457-9914.
[00:32:49.131 --> 00:32:49.331]  That's 1-800-457-9914.
[00:33:13.015 --> 00:33:16.859]  All right, folks.
[00:33:17.319 --> 00:33:17.719]  We're back.
[00:33:17.779 --> 00:33:18.460]  It's the Alex Jones Show.
[00:33:18.480 --> 00:33:19.861]  We're going to be taking your calls.
[00:33:20.441 --> 00:33:21.462]  Final half hour here.
[00:33:22.543 --> 00:33:30.250]  Remember, if you missed any of this big old show we do over here at Infowars.com and PrisonPlanet.com, you can just go over to Infowars.
[00:33:30.510 --> 00:33:32.131]  Listen to the whole loop.
[00:33:32.491 --> 00:33:34.193]  We had Mark Dyson.
[00:33:34.213 --> 00:33:35.334]  We talked Michael Reagan.
[00:33:35.354 --> 00:33:37.596]  We gave out the number to call.
[00:33:37.636 --> 00:33:40.078]  We gave out the email address to go to.
[00:33:41.752 --> 00:33:44.553]  You know, I mean, it's time to take action, folks.
[00:33:44.854 --> 00:33:46.234]  Let's give it out one more time, huh?
[00:33:46.915 --> 00:34:02.603]  You're going to want to talk to Jim Roberts at 703-302-1000 extension 215 or J as in the letter, JRoberts at RadioAmerica.org or JRoberts at AmericanVeteransCenter.org.
[00:34:02.643 --> 00:34:08.386]  Let him know we're not pleased with the fact that his radio show host tried to commission our murders.
[00:34:09.824 --> 00:34:10.745]  That's just my opinion.
[00:34:10.985 --> 00:34:11.726]  I guess I could be wrong.
[00:34:11.746 --> 00:34:15.330]  If you want to get at me, it's MySpace.com slash Jason Bermas.
[00:34:15.370 --> 00:34:26.222]  Let's not forget, Alex Jones has a new flick coming out, 9-11 Chronicles Truth Rising, and PrisonPlanet.tv members will be able to see that on the 4th of July.
[00:34:26.322 --> 00:34:28.224]  Alright, let's go to the callers.
[00:34:28.264 --> 00:34:31.527]  We've got John Paul from We Are Change out in Brooklyn.
[00:34:31.547 --> 00:34:31.888]  Are you there?
[00:34:35.298 --> 00:34:36.019]  You're kicking ass.
[00:34:36.319 --> 00:34:38.200]  You're kicking ass coming in for Alex there.
[00:34:38.240 --> 00:34:40.522]  It's a perfect one-two punch.
[00:34:40.602 --> 00:34:46.466]  He's got a calm, collected guy, giving us the hard news like you, and keep up the great work over there.
[00:34:46.486 --> 00:34:47.527]  Well, thank you, man.
[00:34:48.231 --> 00:34:58.301]  Yeah, I want to tell everybody Thursday night in New York, we're going to do a benefit for Gary, for German Tallis, who was the victim of some very dirty tactics on the street.
[00:34:58.342 --> 00:34:59.323]  I was actually out there.
[00:34:59.743 --> 00:35:05.409]  And so we're going to raise some money, we'll make sure we have good legal defense for him, and we're going to stop this city prosecutor trying to
[00:35:05.909 --> 00:35:07.910]  Uh, cram the prosecution down our throat.
[00:35:08.490 --> 00:35:10.590]  Uh, that's not, that's not how it's going to go down.
[00:35:10.930 --> 00:35:15.812]  And just to review that, because I want to review that for listeners that have just tuned in or just found us.
[00:35:16.432 --> 00:35:24.314]  Uh, around a month ago, these guys are outside, peacefully protesting, and a man literally attacks German Gary Tallis.
[00:35:24.674 --> 00:35:25.894]  German's his real name, but Gary.
[00:35:26.494 --> 00:35:27.694]  Physically attacks him.
[00:35:27.955 --> 00:35:29.135]  Okay, Gary doesn't even...
[00:35:30.035 --> 00:35:30.876]  Punch or swing.
[00:35:30.916 --> 00:35:32.077]  He tries to defend himself.
[00:35:32.297 --> 00:35:33.439]  He's the one who's arrested.
[00:35:33.499 --> 00:35:34.700]  Both of them are taken downtown.
[00:35:35.461 --> 00:35:38.304]  A woman is not allowed to even give her account.
[00:35:38.344 --> 00:35:40.145]  She waits there for hours and hours and hours.
[00:35:40.426 --> 00:35:45.291]  They charge him with assaulting his crippled daughter who has cerebral palsy.
[00:35:45.731 --> 00:35:55.294]  Then they go on a neocon radio campaign to try to demonize We Are Change yet again, and now they're trying to prosecute him to the full extent of the law.
[00:35:55.434 --> 00:36:00.996]  They tried to have him plead guilty to these charges, which are absolutely ludicrous, so he could get two years of probation.
[00:36:01.156 --> 00:36:02.457]  We can't allow it to happen, folks.
[00:36:02.477 --> 00:36:03.117]  Shoot out the site.
[00:36:04.349 --> 00:36:13.672]  Oh, we sure won't, and it's wearechange.org, and if you're in New York this Thursday, we're going to have a nice little event, kind of a cool social event, just for a benefit for Gary.
[00:36:13.692 --> 00:36:19.674]  We're going to have some music playing out there, and Diane Lipson is actually the one who's mainly organizing it.
[00:36:19.694 --> 00:36:24.655]  She was the one out there and waited all night with Gary and tried to give her testimony and was railroaded by the cops.
[00:36:25.055 --> 00:36:29.717]  But we're not going to stop, and I guess we're expecting this kind of opposition these days.
[00:36:30.397 --> 00:36:31.498]  Um, and we're never gonna stop.
[00:36:31.538 --> 00:36:35.160]  In fact, uh, if anybody's out there in New York right now, I won't be able to make it by here.
[00:36:35.220 --> 00:36:38.142]  Slick Bill Clinton is in town tonight, so go get him, hit him hard.
[00:36:38.602 --> 00:36:43.284]  And everybody out there, I've been hearing people come on from We Are Change Vancouver, LA, all around.
[00:36:43.725 --> 00:36:47.727]  We Are Change, and 9-11 Truth, and Truth Action, and Truthers.
[00:36:48.147 --> 00:36:48.627]  Thank you, man.
[00:36:48.667 --> 00:36:49.088]  There you go.
[00:36:49.108 --> 00:36:49.888]  There's somebody who's active.
[00:36:49.908 --> 00:36:51.869]  There's somebody who's down in the belly of the beast.
[00:36:51.889 --> 00:36:53.350]  I love New York City, by the way.
[00:36:53.370 --> 00:36:54.850]  I couldn't live there, but NYC has got a place in my heart.
[00:37:09.497 --> 00:37:12.699]  Queens, Brooklyn, the Bronx, there's really no place like it on Earth.
[00:37:12.759 --> 00:37:16.642]  And I really encourage you listeners out there, if you've never been to New York, you need to go.
[00:37:17.282 --> 00:37:21.085]  And what a better time than 9-11-08, the 7th anniversary.
[00:37:21.105 --> 00:37:22.426]  I know Luke's putting something together.
[00:37:22.966 --> 00:37:26.049]  We may be showing my new film, Fabled Enemies, at that event.
[00:37:26.069 --> 00:37:27.029]  I'm not quite sure yet.
[00:37:27.570 --> 00:37:28.790]  We'll see if we can make that happen.
[00:37:28.810 --> 00:37:31.172]  I'm hoping we can make that happen.
[00:37:31.192 --> 00:37:32.173]  Alright, let's take another call.
[00:37:32.193 --> 00:37:34.294]  Let's go to Perry in Georgia.
[00:37:34.374 --> 00:37:35.095]  Perry, are you with us?
[00:37:36.584 --> 00:37:37.105]  No, did he drop?
[00:37:37.465 --> 00:37:38.186]  He dropped, I'm sorry.
[00:37:38.206 --> 00:37:38.746]  Okay, that's okay.
[00:37:38.766 --> 00:37:39.747]  We got Arthur in Kansas?
[00:37:41.429 --> 00:37:42.150]  Arthur in Kansas?
[00:37:43.091 --> 00:37:43.611]  No, nobody.
[00:37:43.752 --> 00:37:44.412]  Oh, there we go.
[00:37:44.432 --> 00:37:46.214]  We got, let's see, we got Craig in Philly.
[00:37:46.334 --> 00:37:46.755]  I'm sorry.
[00:37:47.315 --> 00:37:47.836]  Craig, are you there?
[00:37:48.517 --> 00:37:49.157]  Yes, I'm here.
[00:37:50.018 --> 00:37:50.599]  What's on your mind?
[00:37:51.175 --> 00:37:53.916]  Well, first of all, props for all you've done, Jason Proper.
[00:37:53.936 --> 00:37:54.797]  Well, thank you.
[00:37:55.677 --> 00:38:12.644]  About getting attention, I think that we should build on the ideas by the farmers in 95 and by the truckers in Italy this year, and start to have drive-by protesting, or drive-through, or drive-past, or drive-slowly, or tourism protesting, whatever you want to call it.
[00:38:13.124 --> 00:38:26.376]  But the idea being that it's harder to tear gas you in a car, it's harder to water cannon you in a car, you can bring a peanuts and a radio and a cell phone and just drive around and be a tourist.
[00:38:26.416 --> 00:38:38.446]  Well, there's been a couple people that have kind of taken that idea, most notably probably the Granny Warriors who had the Ron Paul van with America Freedom to Fascism, huge on the side, but then also the Ron Paul limousine.
[00:38:38.746 --> 00:38:43.389]  Where they got a limo painted up like Ron Paul, the biggest limousine in the world, and drove it across the country.
[00:38:43.569 --> 00:38:53.536]  Now, if we could organize and get 10, 20 people, you know, to get into 5, 10 cars and highway blog, freeway blog, just drive around the block, kind of like a
[00:38:54.116 --> 00:38:58.018]  No, I'm thinking more like 5,000 people around.
[00:38:58.718 --> 00:39:01.319]  I'd love to see that, and I hope that we can put that together.
[00:39:01.479 --> 00:39:03.920]  But I know the truckers already tried to do something in D.C.
[00:39:04.540 --> 00:39:18.245]  I think it was like two, three weeks ago, where they tried to just have this huge trucker... I think they had a couple thousand there, and they shut down in D.C., and they tried to stop the roadways, but it just didn't happen, and it didn't get media attention.
[00:39:18.425 --> 00:39:20.186]  Not that I'm expecting to get media attention.
[00:39:20.666 --> 00:39:26.253]  I mean unfortunately the mainstream media is going to do everything they can to try to put this movement into the dark.
[00:39:26.594 --> 00:39:36.967]  I mean I literally found out from Aaron last week that in 2006 somebody had actually burned themselves to death in protest of the Iraq War in this country.
[00:39:37.688 --> 00:39:41.189]  He actually lit himself on fire and killed himself in protest.
[00:39:41.709 --> 00:39:43.950]  And it got zero media coverage.
[00:39:43.970 --> 00:39:44.890]  That's serious, man.
[00:39:45.230 --> 00:39:46.070]  I thank you for the call.
[00:39:46.591 --> 00:39:47.371]  That is a good idea.
[00:39:47.551 --> 00:39:49.171]  I mean, put up the website.
[00:39:49.191 --> 00:39:49.871]  Try to organize it.
[00:39:49.911 --> 00:39:52.312]  Let's get as many people involved as possible.
[00:39:52.892 --> 00:39:54.593]  Let's go to Mike in Indiana.
[00:39:54.673 --> 00:39:55.393]  Mike, are you with us?
[00:39:55.973 --> 00:39:56.913]  Yeah, how are you doing, Jason?
[00:39:57.114 --> 00:39:57.414]  Good, man.
[00:39:57.434 --> 00:39:58.074]  What's on your mind?
[00:39:58.654 --> 00:40:04.636]  Well, I just want to let everybody know there is a huge, I'm sure most people do know, but a huge
[00:40:07.176 --> 00:40:11.118]  amount of people on the internet that is busy with the 9-11 truth movement.
[00:40:11.739 --> 00:40:14.560]  I came across some people two years ago.
[00:40:14.620 --> 00:40:16.781]  I've been on 9-11 Truth for now for two years.
[00:40:17.782 --> 00:40:23.025]  We are very active every night trying to organize things from all around the world.
[00:40:23.925 --> 00:40:29.188]  We're trying to organize things in our own towns and our own cities here in the United States and around the world.
[00:40:30.509 --> 00:40:36.592]  The one thing, the one comment, I just wanted to make that comment there, but I do have one question, the thing that does scare me
[00:40:37.532 --> 00:40:37.672]  Is it?
[00:40:54.224 --> 00:40:58.505]  Well, their power structure relies on us being docile.
[00:40:58.925 --> 00:41:02.486]  The first thing we need to do is we need to infiltrate our local governments.
[00:41:02.526 --> 00:41:03.766]  We need to become state senators.
[00:41:03.786 --> 00:41:04.967]  We need to become congressmen.
[00:41:05.447 --> 00:41:05.787]  Okay?
[00:41:05.827 --> 00:41:05.987]  Right.
[00:41:06.387 --> 00:41:09.788]  I mean, that's the first step, governmentally, to try to get this country back.
[00:41:10.448 --> 00:41:12.108]  Otherwise, I don't know how we're going to do it.
[00:41:12.408 --> 00:41:16.109]  I mean, honestly, I don't think that any kind of violence is going to solve anything.
[00:41:16.189 --> 00:41:19.470]  I mean, the guns that these have... Not that we shouldn't resist if we're being attacked.
[00:41:19.770 --> 00:41:20.050]  Absolutely.
[00:41:50.290 --> 00:41:52.671]  That it's cool to know about government again.
[00:41:52.791 --> 00:42:04.573]  It's cool to be involved in local politics instead of this society where it's cool to not know anything but the latest hippest TV show or about the latest movie and about the latest fashion sense.
[00:42:04.633 --> 00:42:06.394]  Do I know exactly how we're going to do it?
[00:42:06.474 --> 00:42:06.654]  No.
[00:42:06.974 --> 00:42:09.715]  But I really feel like, you know, this is the digital age.
[00:42:09.755 --> 00:42:10.815]  This is the video age.
[00:42:11.195 --> 00:42:15.418]  We need people who know how to make movies to continue to make movies and spread this stuff out.
[00:42:15.718 --> 00:42:17.879]  I think that's the only way we're going to penetrate the mainstream.
[00:42:18.420 --> 00:42:25.324]  And, you know, it's through activism, it's through becoming the local government and becoming the media that we're going to be able to do this.
[00:42:25.384 --> 00:42:26.225]  That's what I think, man.
[00:42:27.105 --> 00:42:28.146]  Alrighty, I appreciate it.
[00:42:28.366 --> 00:42:28.927]  You got it, Mike.
[00:42:28.967 --> 00:42:29.607]  Thanks for the call.
[00:42:29.647 --> 00:42:32.389]  Alright, let's go to Grant in British Columbia.
[00:42:32.489 --> 00:42:33.229]  Grant, are you there?
[00:42:33.810 --> 00:42:34.710]  Hey, Jason.
[00:42:35.071 --> 00:42:35.931]  I finally got through.
[00:42:35.991 --> 00:42:37.192]  I just want to share that I'm
[00:42:37.833 --> 00:42:39.855]  Plugging away the truth on Craigslist.
[00:42:40.315 --> 00:42:44.078]  It's a lot of fun, you know, it's up there for five minutes and then it's taken down.
[00:42:44.098 --> 00:42:47.901]  They like to take a lot of posts down over Craigslist, I've noticed.
[00:42:47.921 --> 00:42:48.442]  Yeah, they do.
[00:42:48.682 --> 00:42:58.410]  But anyway, another thing is I'm calling from Whistler, British Columbia, Canada, home of the 2010 Winter Olympics.
[00:42:58.430 --> 00:42:58.510]  Okay.
[00:42:58.670 --> 00:43:04.435]  Homes where you cannot buy a house for less than $1.3 million, and these homes sit empty.
[00:43:05.759 --> 00:43:06.800]  Well, it doesn't shock me.
[00:43:06.860 --> 00:43:08.140]  I mean, you know... 50 weeks of the year.
[00:43:08.941 --> 00:43:13.423]  And I just wondered if you could comment on what the Olympics are all about.
[00:43:13.783 --> 00:43:14.204]  Well, yeah.
[00:43:14.244 --> 00:43:22.948]  We actually have a big post, I think, over at Jones Report of the Olympics when they were held by Hitler over in Germany.
[00:43:23.148 --> 00:43:25.410]  In Nazi Germany, folks, they had the Olympics over there.
[00:43:25.870 --> 00:43:31.133]  Hitler actually came up with the symbolism for the Olympics, the circles, the intricate circles there.
[00:43:31.573 --> 00:43:32.073]  Or all him.
[00:43:32.293 --> 00:43:34.114]  And it really is an occultic ceremony.
[00:43:34.534 --> 00:43:37.075]  I'm sorry to tell y'all, it's an occultic ceremony.
[00:43:37.335 --> 00:43:41.916]  If you watch this thing, it's all about the torch and the light, and they align it with the sun.
[00:43:42.316 --> 00:43:48.778]  And this year, I thought it was interesting, someone did email me this, and like I said, I read all the emails that you send over to MySpace.com.
[00:43:49.198 --> 00:43:50.579]  Slash Jason Burmess.
[00:43:51.519 --> 00:43:54.000]  He said, you know, the Olympics are August 8th.
[00:43:55.320 --> 00:43:57.641]  I mean, even Ronald Reagan's wife was huge!
[00:44:19.412 --> 00:44:19.892]  Yeah.
[00:44:19.912 --> 00:44:20.053]  Yeah.
[00:44:49.652 --> 00:44:55.375]  You know, anybody who does their research finds out that the Bush family, you know, made their fortune from Nazi money.
[00:44:55.755 --> 00:44:56.535]  I mean, literally!
[00:44:56.695 --> 00:44:58.056]  I mean, how crazy is that?
[00:44:59.437 --> 00:45:12.442]  So, you know, I hope I broke it down for you enough, man, and God knows what... Alright, I think we just fixed that problem.
[00:45:12.462 --> 00:45:15.524]  I don't know what happened there, but boy, that was rough.
[00:45:16.587 --> 00:45:18.007]  All right, let's take some more callers.
[00:45:18.047 --> 00:45:20.648]  Let's go to Kyle in Massachusetts.
[00:45:20.708 --> 00:45:21.388]  Kyle, are you there?
[00:45:25.089 --> 00:45:25.669]  You there, Kyle?
[00:45:26.809 --> 00:45:27.149]  Yes, sir.
[00:45:27.749 --> 00:45:28.350]  What's on your mind?
[00:45:29.830 --> 00:45:43.213]  I just wanted to thank you guys for getting some truth out there, and I wanted to talk about you guys up to speed on that article about that fellow in Philadelphia about the freedom
[00:45:44.275 --> 00:45:46.437]  He was preaching the Bible and they locked him up on the park?
[00:45:46.637 --> 00:45:47.297]  Yeah, absolutely.
[00:45:47.337 --> 00:46:01.208]  There's a story about that on Infowars.com that he's talking about, is that apparently it's a free speech zone where he was talking about, you know, he's basically preaching, he's a preacher, out in front of the Liberty Bell, and they arrested him for it.
[00:46:01.228 --> 00:46:03.911]  We're going to try to get him on, actually, on the program.
[00:46:03.931 --> 00:46:10.816]  Yeah, I actually called him, I left him a message to call me, but I also, is this the Alex Jones Show at this time, or are we out of change?
