[00:00:00.109 --> 00:00:01.650]  This is the GCN Radio Network.
[00:26:09.777 --> 00:26:14.860]  And, uh, we're a gelded population meant to stand by, where action is looked down upon.
[00:26:15.706 --> 00:26:17.530]  Alright, I've already been ranting too long here.
[00:26:17.530 --> 00:26:19.936]  I want to go to your phone calls.
[00:26:19.936 --> 00:26:22.521]  Steve in Utah, you're on the air worldwide.
[00:26:22.521 --> 00:26:23.904]  Welcome.
[00:26:23.904 --> 00:26:24.566]  Hey, what's up?
[00:26:24.566 --> 00:26:25.207]  How you doing?
[00:26:25.207 --> 00:26:25.628]  Good, sir.
[00:26:25.628 --> 00:26:25.929]  Go ahead.
[00:26:27.052 --> 00:26:30.774]  I just wanted to bring up some subtle things.
[00:26:30.774 --> 00:26:44.042]  I've seen a toy advertisement on TV the other day for a police helmet and handlebars for your kid to run around the house and make believe he's a police officer in it.
[00:26:44.042 --> 00:26:45.824]  It showed a picture of dad behind bars.
[00:26:47.276 --> 00:26:48.817]  I just thought that was pretty interesting.
[00:26:48.817 --> 00:26:52.159]  Yeah, that's all part of... They do that at the Soviet Union and Nazi Germany.
[00:26:52.159 --> 00:26:54.741]  They tell the children, you're going to be over your parents.
[00:26:54.741 --> 00:26:55.742]  You're going to command them.
[00:26:55.742 --> 00:26:59.784]  Time Magazine for Kids and Two Different Issues has said, you're going to take the microchip.
[00:26:59.784 --> 00:27:00.865]  You're cool.
[00:27:00.865 --> 00:27:02.446]  You know, you know what to do.
[00:27:02.446 --> 00:27:04.207]  Your parents are dumb.
[00:27:04.207 --> 00:27:09.811]  And all over the country, in the name of the war on drugs, not some war on terror, they have the kids write dossiers on their parents.
[00:27:09.811 --> 00:27:15.275]  I mean, the country is so far gone, and for about a decade, all the children's toys go to the store.
[00:27:15.675 --> 00:27:19.717]  None of it's a USA flag on the tanker, the jet, or the helicopter, or the troops.
[00:27:19.717 --> 00:27:25.280]  It's all troops wearing black masks, troops, you know, United Nations force, global force.
[00:27:25.280 --> 00:27:28.381]  They're brainwashing the children.
[00:27:28.381 --> 00:27:37.506]  Well, I just wanted to, yeah, bring up, you know, you made me aware of things like that, and then I just started seeing it, and I was just like, whoa, that's kind of weird.
[00:27:37.506 --> 00:27:39.287]  And then another thing, there was a
[00:27:40.214 --> 00:27:40.594]  We're good.
[00:28:03.677 --> 00:28:15.880]  Well, that's how they got Oliver Stone to sell out and make all these brainwashing movies like W that makes him some lovable idiot savant and he really thought WMDs were there all lives.
[00:28:15.880 --> 00:28:19.321]  That's how they got him to make these pro-government view 9-11 film.
[00:28:19.321 --> 00:28:23.682]  A lot of people in Hollywood, it's all these drug convictions and they just said, look, you're going to play ball.
[00:28:24.515 --> 00:28:34.924]  The average American doesn't know that billions a year are spent on fake newscasts, buying reporters, placing propaganda in TV and movies that are pro-government, pro-New World Order.
[00:28:34.924 --> 00:28:39.188]  You know, the average American doesn't know that we didn't have Halloween until the fifties.
[00:28:39.188 --> 00:28:40.449]  Madison Avenue created that.
[00:28:40.449 --> 00:28:45.093]  They don't know that Santa Claus wasn't even involved in Christmas until Coca-Cola promoted it.
[00:28:45.093 --> 00:28:49.156]  They don't know that bacon and eggs was Edward Bernays, the father of modern advertising.
[00:28:49.156 --> 00:28:50.998]  They don't understand our whole culture is fake.
[00:28:51.804 --> 00:28:52.925]  And it's manufactured.
[00:28:52.925 --> 00:29:02.853]  And now they're shifting that same social brainwashing system into conditioning the public to totally give up their liberties and freedoms so they'll acquiesce to becoming third world slaves.
[00:29:02.853 --> 00:29:17.004]  And now Barack Obama and John McCain are saying global taxes, carbon taxes, regulating your life, bureaucrats involved in your daily life, million man youth brigades, three million man tattletale environmental brigades, they're here.
[00:29:17.004 --> 00:29:19.186]  And none of it has anything to do with the environment or helping the earth.
[00:29:19.895 --> 00:29:23.039]  It's all about control, feudalism, serfdom.
[00:29:23.039 --> 00:29:24.621]  And things are just gonna get worse and worse.
[00:29:25.490 --> 00:29:27.712]  The elite are eating our lunch.
[00:29:27.712 --> 00:29:34.697]  We'll be right back with more calls from Canada, New York... Everyone knows that omega-3 should be an essential part of our daily diet.
[00:29:34.697 --> 00:29:40.421]  With so many different methods of consumption, how do you choose a simple yet effective way to get your daily intake?
[00:29:40.421 --> 00:29:44.765]  The friendly, knowledgeable folks at North American Nutrition have the answer.
[00:29:44.765 --> 00:29:47.227]  Nature's gem, premium omega-3.
[00:29:47.227 --> 00:29:53.131]  Unlike other flaxseed, our golden flax is grown on our farm in northern Minnesota, providing cooler temperatures
[00:29:53.131 --> 00:29:53.651]  We're good to go!
[00:30:10.367 --> 00:30:14.690]  If your body isn't feeling too well these days, you're gonna start taking this hemp.
[00:30:14.690 --> 00:30:16.071]  I say go to hempusa.org.
[00:30:41.112 --> 00:30:45.597]  You may not like what I'm about to say, but you know I'm gonna say it anyway.
[00:30:45.597 --> 00:30:48.360]  The government doesn't want the best for you.
[00:30:48.360 --> 00:30:50.802]  They keep you down, they keep you blue.
[00:30:50.802 --> 00:30:55.727]  They starve your body for all its nutrients.
[00:30:55.727 --> 00:30:58.190]  They won't let you grow industrial hemp.
[00:30:58.190 --> 00:31:03.536]  It really doesn't make any kind of sense when it's so healthy for the world and useful for you, my friends.
[00:31:05.459 --> 00:31:10.023]  I hope Mr. Bush will hear this song, for the heart of America wants this one.
[00:31:10.023 --> 00:31:14.868]  Go to hempusa.org.
[00:31:14.868 --> 00:31:19.832]  If you're a truther, an anarchist, a renegade, you only want things that God has made.
[00:31:19.832 --> 00:31:24.317]  Go to hempusa.org.
[00:31:24.317 --> 00:31:26.539]  We offer free shipping anywhere in the states.
[00:31:26.539 --> 00:31:28.741]  Go to hempusa.org.
[00:31:30.771 --> 00:31:35.694]  Phase One of the Insiders' plan for a One World Government has been initiated with the recent bailout.
[00:31:35.694 --> 00:31:43.138]  International bankers and power brokers have engineered the current crisis to create a new currency and a new World Bank to act as savior.
[00:31:43.138 --> 00:31:44.758]  But we've only seen the beginning.
[00:31:44.758 --> 00:31:48.901]  Their next engineered crisis will be on a scale never before seen in modern times.
[00:31:48.901 --> 00:31:52.723]  Shortages and empty shelves will spread fear and panic across the land.
[00:31:52.723 --> 00:31:57.205]  The Insiders have discovered that they must control two things to seize total power.
[00:31:57.205 --> 00:31:59.166]  Phase One is a One World Currency.
[00:31:59.326 --> 00:32:01.547]  Which we are currently being prepared to accept.
[00:32:01.547 --> 00:32:05.669]  Phase 2 of their insidious plan is complete control of our food supplies.
[00:32:05.669 --> 00:32:10.332]  Go to www.foodshortageusa.com for the details.
[00:32:10.332 --> 00:32:16.095]  That's www.foodshortageusa.com to learn how to prepare for the unthinkable.
[00:32:16.095 --> 00:32:17.656]  Don't wait for empty shelves.
[00:32:17.656 --> 00:32:20.698]  Learn how to make your own survival foods for pennies on the dollar.
[00:32:20.698 --> 00:32:23.119]  Go to foodshortageusa.com or call 877-327-0365.
[00:32:23.119 --> 00:32:23.419]  That's 877-327-0365.
[00:32:30.682 --> 00:32:34.643]  Drinking a chlorophyll rich beverage has been found to benefit your entire body.
[00:32:34.643 --> 00:32:43.045]  AlkaVision GreenShield Green Drink is a specifically formulated nutritional supplement which provides many nutritional elements that are missing from our modern diet.
[00:32:43.045 --> 00:32:47.287]  GreenShield helps neutralize acid in your body and maintains a healthy pH balance.
[00:32:47.287 --> 00:32:51.608]  And having the proper pH balance has been known to balance blood sugar levels.
[00:32:51.608 --> 00:32:52.968]  Something we can all benefit from.
[00:32:53.288 --> 00:32:58.971]  Green Shield combines the perfect blend of powerful whole food vegetables, immune-boosting herbs and grasses.
[00:32:58.971 --> 00:33:04.734]  Green Shield does not contain algae, mushrooms or fungi, has no preservatives, artificial colors or flavors.
[00:33:04.734 --> 00:33:07.596]  The powder mixes easily with water and tastes great.
[00:33:07.596 --> 00:33:13.599]  Drinking Green Shield strengthens the immune system and boosts energy, relieves fatigue and stress without the use of stimulants.
[00:33:13.599 --> 00:33:17.861]  Order your AlkaVision Green Shield Green Drink now by going directly to AlkaVision.com.
[00:33:18.101 --> 00:33:20.402]  That's ALKAVISION.COM today.
[00:33:20.402 --> 00:33:20.962]  Or call 269-344-3420.
[00:33:20.962 --> 00:33:21.623]  That's 269-344-3420 today.
[00:33:21.623 --> 00:33:22.583]  You're listening to GCN.
[00:33:22.583 --> 00:33:24.044]  The Genesis Communication Radio Network.
[00:33:48.442 --> 00:34:01.166]  We are back live, 48 hours out from the big diversion, the big corporate diversion, the big PR extravaganza to make you think that the President's actually run things.
[00:34:01.166 --> 00:34:05.408]  You know, the big foreign banks engineered the derivatives crisis.
[00:34:05.408 --> 00:34:10.749]  They gave themselves unlimited power through Congress by terrorizing the Congress, threatening them with martial law.
[00:34:10.749 --> 00:34:13.130]  Now they're openly stealing all the money for themselves.
[00:34:13.130 --> 00:34:15.551]  You'll have to pay back in tax money.
[00:34:17.583 --> 00:34:36.679]  And when I talk about corporate propaganda, you know, how we didn't celebrate Halloween until the fifties, or how we didn't celebrate Christmas the way we do, until going back into the 1920s with Christmas and Coca-Cola and Santa Claus, I'm not even attacking those supposed institutions.
[00:34:36.679 --> 00:34:41.563]  My point is, that shows you how they mold your mind.
[00:34:41.563 --> 00:34:46.207]  That shows you how they're able to engineer societies.
[00:34:47.760 --> 00:34:49.821]  I mean, how did they get women to smoke cigarettes?
[00:34:49.821 --> 00:34:52.821]  Women had always seemed unladylike to smoke cigarettes.
[00:34:52.821 --> 00:34:56.182]  Well, they had the Women's Lib Movement, and they funded them hundreds of thousands of dollars.
[00:34:56.182 --> 00:34:58.223]  That was millions at the time, an equivalent.
[00:34:58.223 --> 00:35:07.145]  Then they had them go out and lead the parades, and the newspapers would publish, oh look, they're free, they're radical, they're smoking cigarettes.
[00:35:07.145 --> 00:35:09.726]  Here's another example of how they form your ideas.
[00:35:10.456 --> 00:35:16.824]  And all I'm asking people to do is to start realizing that we are living in a sea of propaganda.
[00:35:16.824 --> 00:35:22.091]  We are living in a sea of manipulation.
[00:35:22.091 --> 00:35:25.656]  We live under a completely federalized, micromanaged society.
[00:35:28.183 --> 00:35:30.665]  I mean, I have a stack of news articles here in front of me.
[00:35:30.665 --> 00:35:36.489]  Some of them are up on InfoWars.com, the headline, The New Technology of Repression by Consortium News.
[00:35:36.489 --> 00:35:46.796]  And it goes through what Bob Woodward a few months ago talked about, these secret weapons that are as big as the Manhattan Project that our military, really the globalist military, is using in Iraq and Afghanistan.
[00:35:46.796 --> 00:35:50.459]  And they're now admitting what a lot of it is, something I told you about years ago.
[00:35:50.459 --> 00:35:51.540]  Face scanning cameras,
[00:35:52.814 --> 00:35:59.798]  Retina scanning cameras, license plate scanning cameras, systems that track you everywhere you go, even if you cover your face by the way you walk.
[00:35:59.798 --> 00:36:04.521]  That is all in place here in the United States under NORTHCOM.
[00:36:04.521 --> 00:36:09.504]  That is the power of oppression and tyranny that has already been set up.
[00:36:09.504 --> 00:36:20.290]  And all over the country, you know, you may not be aware of this, but you should ask your children in public schools, and even in private schools under federal accreditation, which is through the states, they are training your children to spy on you, to tattle on you.
[00:36:20.971 --> 00:36:24.692]  The cartoons, the movies, the culture, it's all about being spies.
[00:36:24.692 --> 00:36:32.355]  They aren't, you know, not just selling us on a new holiday or a new style, or that you gotta have bacon with your eggs, you know, that was a PR thing.
[00:36:32.355 --> 00:36:34.396]  Nobody ate bacon with eggs.
[00:36:34.396 --> 00:36:37.637]  They are now selling you to be a snitch, to be a tattletale.
[00:36:37.637 --> 00:36:41.758]  They are now selling you on just so many things that are horrible.
[00:36:41.758 --> 00:36:45.500]  But the good news is their propaganda isn't working.
[00:36:45.500 --> 00:36:49.381]  You get 95% in major polls or higher against the banker takeover bill,
[00:36:50.100 --> 00:36:50.941]  But it still happens.
[00:36:50.941 --> 00:36:51.901]  That's the bad news.
[00:36:51.901 --> 00:36:55.844]  Or 91% in the Gallup polls against open borders, but still the borders are open.
[00:36:55.844 --> 00:37:01.308]  Or 75% or higher against the war, but it continues.
[00:37:01.308 --> 00:37:03.570]  So the good news is the people are waking up.
[00:37:03.570 --> 00:37:13.336]  The bad news is the establishment is completely ignoring everything we're saying, everything we're doing.
[00:37:13.336 --> 00:37:16.859]  And they're setting up a tyranny here in the United States.
[00:37:18.191 --> 00:37:25.555]  You know, I was listening to another talk show earlier today on the radio, a well-known doctor, Dr. Dina Dell.
[00:37:25.555 --> 00:37:26.636]  We've actually interviewed him.
[00:37:26.636 --> 00:37:33.300]  Trey, I want to get him back on, because I was nice to him the last time we had him on, and then made him backpedal on a bunch of things.
[00:37:33.300 --> 00:37:39.104]  But this time, I'm not going to be as nice, but I want you to set him up again for an hour, please, the next few weeks.
[00:37:39.104 --> 00:37:40.785]  And I heard a lady call in, and she said,
[00:37:41.860 --> 00:37:47.142]  It's a few hours ago, because they rear him on the weekend here on the station we transmit out of and syndicate across the country.
[00:37:47.142 --> 00:37:49.983]  Again, 590 AM here in Central Texas.
[00:37:49.983 --> 00:37:51.744]  And, you know, it's an interesting, entertaining show.
[00:37:51.744 --> 00:37:53.765]  I'm not even attacking the show.
[00:37:53.765 --> 00:38:03.829]  It's just that the tactic, we're going to your calls here in a moment after that, the tactic he uses is the one I see used by the mainstream media and people on the left and the right, who all work for the same masters.
[00:38:03.829 --> 00:38:11.492]  The lady called in and she said, I can't find chewing gum, bubble gum, any gum that doesn't have aspartame with sugar now.
[00:38:12.572 --> 00:38:13.373]  And that's true.
[00:38:13.373 --> 00:38:15.756]  You go to a 7-Eleven or you go to a store.
[00:38:15.756 --> 00:38:16.497]  You can go to the grocery store.
[00:38:16.497 --> 00:38:18.219]  They may have 20 different types of gum.
[00:38:18.219 --> 00:38:18.740]  Read on the back.
[00:38:18.740 --> 00:38:22.024]  They all say Aspartame.
[00:38:22.024 --> 00:38:25.769]  And it's an artificial sweetener approved in 1982 by Searle.
[00:38:25.769 --> 00:38:26.810]  Searle got it approved.
[00:38:26.810 --> 00:38:27.591]  Rumsfeld was the head of it.
[00:38:29.085 --> 00:38:38.470]  And she said, you know, I remember when I was in college, the former head of the EPA came and he said that, you know, in his speech, he said, I know I wouldn't feed this stuff to my family.
[00:38:38.470 --> 00:38:39.351]  And she said, is it true?
[00:38:39.351 --> 00:38:40.011]  It's bad for you.
[00:38:40.011 --> 00:38:44.634]  And he said, no, no, nothing's wrong with it.
[00:38:44.634 --> 00:38:46.435]  It's wonderful.
[00:38:46.435 --> 00:38:53.119]  Since the Internet got big in the late 90s, there's a fake email that goes around listing fake doctors and fake information.
[00:38:53.119 --> 00:38:57.121]  And it's all fake and aspartame is good for you.
[00:38:57.121 --> 00:38:58.622]  You know, it's funny, I probably interviewed
[00:39:00.789 --> 00:39:09.433]  More than 50 or 60 scientists, doctors, neurologists, toxicologists.
[00:39:09.433 --> 00:39:16.776]  We went back and got the documents from the approval of Aspartame in 1982.
[00:39:16.776 --> 00:39:26.461]  And so that they could get Aspartame universally adopted as the new sweetener, the media falsely demonized and lobbyists from Searle demonized Saccharin.
[00:39:27.259 --> 00:39:38.501]  Which they found, if you fed rats, I think it was half their diet for something like a year, you can go pull the actual study up, half their diet, I mean half of what they were eating was saccharine.
[00:39:38.501 --> 00:39:49.303]  Just thousands of times what a human would ingest per capita for their body weight, that they got these fatty, non-cancerous, benign tumors in their kidneys.
[00:39:49.303 --> 00:39:50.043]  Okay?
[00:39:50.043 --> 00:39:55.244]  And so they demonized an artificial sweetener that actually wasn't really bad for you.
[00:39:55.244 --> 00:39:55.844]  Comparatively.
[00:39:57.788 --> 00:40:04.274]  And then they got Aspartame approved, known as NutraSweet or Equal as the brand names.
[00:40:04.274 --> 00:40:09.358]  And it's patent ran out about five years ago, that's why now it's in tens of thousands of foods, not just a few.
[00:40:09.358 --> 00:40:13.482]  So it's so inexpensive now.
[00:40:13.482 --> 00:40:16.965]  And it's 64 times sweeter per gram than sugar.
[00:40:16.965 --> 00:40:23.491]  And at 87 degrees in the stomach, at 87 degrees, it breaks down into what?
[00:40:23.491 --> 00:40:23.751]  Alcohol.
[00:40:24.795 --> 00:40:38.102]  And that's a fact, and I've read on air, I mean these are from universities, the studies of when it got approved, where they gave it to rhesus monkeys, and half the baby rhesus monkeys they gave it to in their milk, was more than half of them died.
[00:40:38.102 --> 00:40:52.169]  And so, I mean there's so much evidence that aspartame is an excitotoxin, is toxic, is deadly, that it'll make your head spin, and I've interviewed the medical doctors, the scientists, I've held those documents in my hand, so I'm gonna get him on.
[00:40:53.234 --> 00:40:58.157]  And then I'm going to read him those studies.
[00:40:58.157 --> 00:41:02.500]  And these were FDA studies.
[00:41:02.500 --> 00:41:18.829]  And that reminds me of two weeks ago, the Food and Drug Administration came out and said, well, there's melamine from China and it's sickened 56,000 children there, killed a bunch of people, but we're saying melamine is no longer bad for you.
[00:41:18.829 --> 00:41:22.972]  And I've got government reports coming out now saying mercury in the shots isn't bad for you.
[00:41:24.324 --> 00:41:29.148]  And I even have a CBS News report here.
[00:41:29.148 --> 00:41:30.449]  It's up on InfoWars.com.
[00:41:30.449 --> 00:41:34.471]  We're not going to play it, but it's a link where they have a medical doctor on.
[00:41:34.471 --> 00:41:48.762]  And the FDA scientist unanimously came out and said that the BPA that's in most the plastics, most the plastic products you and your family, your babies drink out of, is an estrogen mimicker and very toxic.
[00:41:48.762 --> 00:41:51.384]  That's why we have girls when they're five going into puberty.
[00:41:51.384 --> 00:41:53.145]  That's why we have boys that are hyper-feminine.
[00:41:54.309 --> 00:41:58.192]  And Europe and Japan banned this stuff years ago, and there's no reason.
[00:41:58.192 --> 00:42:04.255]  Most plastics don't have it, and it's just the one that they chose to put in here.
[00:42:04.255 --> 00:42:15.241]  But the head of the FDA, the EPA is also saying it's bad, but this is the FDA Ignore Science Advisory Panel on Poisonous Baby Bottles, BPA.
[00:42:15.241 --> 00:42:20.905]  And they just said, we don't care, it's going to stay in the plastic here in the United States.
[00:42:22.057 --> 00:42:27.962]  Now, I'm sorry, melamine will kill you, will make you sick, will attack your kidneys.
[00:42:27.962 --> 00:42:36.069]  BPA that leaches out of these plastics is a big problem, and it's been well known, and you just can't sit up there and say that it's not.
[00:42:36.069 --> 00:42:41.674]  There are thousands of studies that cell phones are giving people brain tumors from governments and universities.
[00:42:41.674 --> 00:42:42.795]  It's an absolute fact.
[00:42:42.795 --> 00:42:44.816]  It's a microwave relay system.
[00:42:44.816 --> 00:42:49.660]  That's why your computers go crazy when your cell phone rings.
[00:42:49.660 --> 00:42:50.241]  It's powerful.
[00:42:51.329 --> 00:42:55.734]  And it's microwaving right through your skull and the people get the tumor right there.
[00:42:55.734 --> 00:42:59.338]  It's the same thing with sodium fluoride put in the water.
[00:42:59.338 --> 00:43:04.104]  I have all these reports about they give it to horses and cows, fluoride water, they all die.
[00:43:04.104 --> 00:43:05.025]  But they put it in our water.
[00:43:06.574 --> 00:43:11.058]  So, I'm tired of the denial here, ladies and gentlemen.
[00:43:11.058 --> 00:43:17.443]  And I'm tired of the fact that we have a criminal eugenics elite putting us in our water and our food on purpose.
[00:43:17.443 --> 00:43:18.985]  Yes, it's all on purpose.
[00:43:18.985 --> 00:43:24.349]  Okay, your calls from Chris, Matt, Chad, George, Jawad, Joe, Jim, everybody.
[00:43:24.349 --> 00:43:28.633]  When we get back after this quick break, I'll continue with calls throughout this transmission.
[00:43:29.333 --> 00:43:30.994]  We're just trying to give you the facts you can make.
[00:43:30.994 --> 00:43:31.715]  You invest.
[00:43:31.715 --> 00:43:32.755]  You buy insurance.
[00:43:32.755 --> 00:43:34.016]  You wear your seatbelt.
[00:43:34.016 --> 00:43:36.858]  You do things to ensure your family's future and protection.
[00:43:36.858 --> 00:43:37.718]  But why?
[00:43:37.718 --> 00:43:38.959]  Just in case?
[00:43:38.959 --> 00:43:42.041]  With the current state of affairs, ask yourself, am I ready?
[00:43:42.041 --> 00:43:44.403]  Preparation starts at survivalgearsource.com
[00:43:44.983 --> 00:43:48.444]  Survivalgearsource.com has a huge selection of vital products.
[00:43:48.444 --> 00:43:55.406]  Emergency survival kits, gas masks, MREs, communication devices, products for pet care, your car, home, office, and school.
[00:43:55.406 --> 00:43:59.887]  Protect against all natural disasters and terror attacks that can happen at any time.
[00:43:59.887 --> 00:44:03.668]  If you are not prepared, the last place you want to be is standing in FEMA lines.
[00:44:03.668 --> 00:44:05.069]  Invest in your future now.
[00:44:05.569 --> 00:44:07.750]  Visit survivalgearsource.com or call 877-231-1925.
[00:44:07.750 --> 00:44:08.010]  That's 877-231-1925.
[00:44:08.010 --> 00:44:08.910]  Survivalgearsource.com.
[00:44:08.910 --> 00:44:10.130]  That's survivalgearsource.com.
[00:44:10.130 --> 00:44:10.891]  Or call 877-231-1925.
[00:44:10.891 --> 00:44:10.951]  877-231-1925.
[00:44:10.951 --> 00:44:11.731]  Survivalgearsource.com.
[00:44:11.731 --> 00:44:13.131]  Prepare for tomorrow now.
[00:44:30.928 --> 00:44:40.695]  In a world of government oppression and tyranny, the struggle between freedom and fascism, comes a story about two people who are faced with the challenge to stand up and do the right thing for liberty.
[00:44:40.695 --> 00:44:44.438]  Her face was... Every face I've ever known.
[00:44:44.438 --> 00:44:46.419]  Her face was my own face.
[00:44:46.419 --> 00:44:48.881]  GCN brings you Uncivil Liberties.
[00:44:48.881 --> 00:44:51.063]  A movie the government does not want you to see.
[00:44:51.063 --> 00:44:53.685]  A political thriller ripped from today's headlines.
[00:44:53.685 --> 00:44:56.667]  Domestic spying, wiretapping, government chipping and more.
[00:44:56.667 --> 00:44:59.809]  The enemy of my enemy is my ally.
[00:44:59.969 --> 00:45:09.500]  For your copy of this hard-hitting film that will open your eyes, go to uncivilliberties.com to receive your full-length feature on DVD for only $13.95.
[00:45:09.500 --> 00:45:13.925]  People should look one another in the eye before they go killing for causes.
[00:45:13.925 --> 00:45:18.490]  That's uncivilliberties.com to view the movie trailer, read reviews, and purchase
[00:45:18.590 --> 00:45:19.071]  We're good.
[00:45:31.340 --> 00:45:41.911]  With food prices soaring to all-time highs, as the dollar continues to fall in value, what can you and your family do to guarantee that fresh, nutritious vegetables will make it to your dinner table?
[00:45:41.911 --> 00:45:43.333]  Garden in a can.
[00:45:43.333 --> 00:45:47.477]  Garden in a can is your source for premium, long-term, storable seeds.
[00:45:47.477 --> 00:45:49.499]  Garden in a can is ready when you are.
[00:45:49.499 --> 00:45:51.782]  Plant them now or store them for when you really need them.
[00:45:52.242 --> 00:46:01.248]  There are 16 large hermetically sealed non-hybrid open pollinated packets of seeds along with detailed planting instructions sealed in a can for ultimate long-term protection.
[00:46:01.920 --> 00:46:03.340]  Garden in a Can.
[00:46:03.340 --> 00:46:04.541]  It's that simple.
[00:46:04.541 --> 00:46:06.921]  Fresh, healthy, easy.
[00:46:06.921 --> 00:46:11.283]  Only $69.95 for over a half acre of safe fresh vegetables.
[00:46:11.283 --> 00:46:12.843]  Ready when you are.
[00:46:12.843 --> 00:46:16.924]  Stop procrastinating and start preparing with Garden in a Can.
[00:46:16.924 --> 00:46:20.405]  For more details visit Gardeninacan.com today.
[00:46:20.405 --> 00:46:22.946]  That's Gardeninacan.com or call 866-598-7396.
[00:46:22.946 --> 00:46:22.986]  866-598-7396.
[00:46:35.496 --> 00:46:38.117]  What will you do when it happens?
[00:46:38.117 --> 00:46:43.458]  When you turn to your loved ones, will you see starvation and fear?
[00:46:43.458 --> 00:46:49.780]  Or confidence because you knew what was coming and got prepared with PatriotFood.com?
[00:46:49.780 --> 00:46:51.660]  The signs are everywhere.
[00:46:51.660 --> 00:46:53.681]  You have no excuses.
[00:46:53.681 --> 00:46:57.902]  Your indifference today will determine the magnitude of your suffering tomorrow.
[00:46:58.662 --> 00:47:04.066]  What good is it to know the truth about any conspiracy unless you take action?
[00:47:04.066 --> 00:47:09.929]  Patriotfood.com has 100 pounds of dry food supplies for just $3 a pound.
[00:47:09.929 --> 00:47:13.692]  At Patriotfood.com you'll get 20 survival foods.
[00:47:13.692 --> 00:47:20.216]  Varieties like dried tomatoes, wild rice blend, beef base, granola, vegetable mix, and much more.
[00:47:20.216 --> 00:47:22.957]  There are just two kinds of people.
[00:47:22.957 --> 00:47:24.979]  Slave and free.
[00:47:24.979 --> 00:47:25.999]  Be ready.
[00:47:25.999 --> 00:47:26.500]  Be free.
[00:47:27.000 --> 00:47:33.371]  With patriotfood.com.
[00:47:33.371 --> 00:47:36.315]  This is the GCN Radio Network.
[00:47:36.315 --> 00:47:38.159]  Home to hard-hitting talk radio.
[00:47:46.355 --> 00:48:06.739]  Okay, let's continue with your phone calls right now, talking about the private banks taking over the United States, openly announcing they want a, quote, New World Order, using that term, run for and by a private group of banks that will control our governments and set our taxes and levy a bunch of new carbon taxes, phony environmental taxes on us.
[00:48:06.739 --> 00:48:11.879]  That's all openly being announced, exactly as we told you they would, because we have their own documents.
[00:48:11.879 --> 00:48:14.880]  You can stand up against these people, or, I guess, just stand down.
[00:48:15.928 --> 00:48:18.330]  I don't like Americans do now when they see a crime being committed.
[00:48:18.330 --> 00:48:23.873]  From the land of the free, home of the brave, to the land of the thumb-sucking cowards.
[00:48:23.873 --> 00:48:26.315]  You know, that's not all of us, but that's a large portion of us.
[00:48:26.315 --> 00:48:31.338]  We have to wait for the mainstream media or the establishment to tell us that we can stand up or take action.
[00:48:31.338 --> 00:48:34.760]  See, that's all part of the mind control, to be a bunch of passive TV watching
[00:48:35.683 --> 00:48:36.503]  Sick offense.
[00:48:36.503 --> 00:48:38.264]  Chris in San Marcos, Texas.
[00:48:38.264 --> 00:48:38.964]  You're on the air.
[00:48:38.964 --> 00:48:39.684]  Welcome.
[00:48:39.684 --> 00:48:39.944]  Yeah.
[00:48:39.944 --> 00:48:40.704]  Howdy.
[00:48:40.704 --> 00:48:41.825]  Hello.
[00:48:41.825 --> 00:48:43.465]  I wanted to talk about the election.
[00:48:43.465 --> 00:48:52.888]  I went in on the 20th and I voted Bob Barr for Libertarian because I'll die with a smile on my face if I don't ever have to vote Republican or Democrat again.
[00:48:52.888 --> 00:48:57.069]  I mean, it's gotten so bad that two parties have merged into the same enemy.
[00:48:57.069 --> 00:49:02.311]  And if people don't even realize that, it's time they shut off the Rush Limbaugh, you know?
[00:49:02.311 --> 00:49:03.571]  Well, what's happened is
[00:49:04.961 --> 00:49:13.505]  They have sold the public on voting like it's a horse race or a football game on who you think is going to win, instead of whose policies you actually agree with.
[00:49:13.505 --> 00:49:18.908]  And you notice the two parties don't ever want to make it about policies, because their policies are almost identical.
[00:49:18.908 --> 00:49:21.089]  It turns into, what is Sarah Palin wearing?
[00:49:21.089 --> 00:49:23.630]  Or, are you a racist if you don't like Barack Obama?
[00:49:23.630 --> 00:49:24.791]  On and on and on.
[00:49:24.791 --> 00:49:26.552]  Do you wear the American flag pin?
[00:49:26.552 --> 00:49:26.692]  Yeah.
[00:49:27.395 --> 00:49:32.518]  But, uh, you know, it's no longer a viable option to say, I'm voting for the lesser of two evils.
[00:49:32.518 --> 00:49:37.441]  The system's never gonna recover if we don't start voting for our beliefs.
[00:49:37.441 --> 00:49:42.605]  And the way I see it, the Libertarians are the only people that still seem to care about the Constitution.
[00:49:42.605 --> 00:49:45.827]  I mean, there was that one guy, Ron Paul, but, oh, he was a wacko.
[00:49:47.063 --> 00:49:47.984]  Yeah, he was a wacko.
[00:49:47.984 --> 00:49:52.827]  He told us the derivatives market was being set up for collapse and they were devaluing the currency.
[00:49:52.827 --> 00:49:55.669]  Alright, he's voting for Bob Barr.
[00:49:55.669 --> 00:49:59.392]  Let's go ahead now and talk to Jawad in New York.
[00:49:59.392 --> 00:50:00.212]  You're on the air.
[00:50:00.212 --> 00:50:01.613]  Welcome.
[00:50:01.613 --> 00:50:02.634]  Hello, Alex.
[00:50:02.634 --> 00:50:03.775]  Hi.
[00:50:03.775 --> 00:50:05.436]  Hey, thank you very much for taking my call.
