[00:00:00.009 --> 00:00:01.434]  Right now at TruthNews.us
[00:21:59.423 --> 00:22:07.266]  Is this a flaw-free enterprise, or is our monetary unit we call the Federal Reserve Note forcing us into perpetual debt, ensuring inflation and higher taxes?
[00:22:07.606 --> 00:22:12.371]  These questions and more can be answered by reading G. Edward Griffin's book, The Creature from Jekyll Island.
[00:22:12.692 --> 00:22:17.437]  Congressman Ron Paul states, it's what every American needs to know about central bank power.
[00:22:17.917 --> 00:22:21.782]  A gripping adventure into the secret world of international banking cartel.
[00:22:22.282 --> 00:22:23.283]  Hi, this is Ted Anderson.
[00:22:23.363 --> 00:22:27.388]  I will give a silver dollar from the early 1900s to anyone who purchases this book.
[00:22:27.848 --> 00:22:32.231]  Call 1-800-686-2237 and order a copy today.
[00:22:32.751 --> 00:22:35.313]  It's critical that the public be made aware of the system.
[00:22:35.733 --> 00:22:37.414]  Call and order your copy today at 1-800-686-2237.
[00:22:37.514 --> 00:22:37.754]  That's 1-800-686-2237.
[00:22:44.574 --> 00:22:49.275]  For centuries, salt products have been known to help people stay well in body, mind, and spirit.
[00:22:49.555 --> 00:22:55.997]  Soleil Wellness is a unique company that scoured the world to find the best salt-based products to help you and your family.
[00:22:56.337 --> 00:23:04.459]  Save easy-to-use, environmentally-friendly products that fit into any lifestyle, decor, and can be used by anyone at any age.
[00:23:04.720 --> 00:23:08.000]  Soleil Wellness has a unique selection of salt-based products.
[00:23:08.200 --> 00:23:13.742]  Not only Himalayan Gourmet Salt and Healy Bath Salts, Soleil's simple natural cleaning products
[00:23:14.062 --> 00:23:15.623]  Ionizing salt crystal lamps.
[00:23:15.903 --> 00:23:17.704]  Respiratory relieving salt pipes.
[00:23:17.965 --> 00:23:19.646]  Pain relieving pillows and more.
[00:23:19.986 --> 00:23:23.088]  All designed to keep you and your family balanced and well.
[00:23:23.348 --> 00:23:24.769]  Visit Soleil Wellness today.
[00:23:25.149 --> 00:23:29.452]  Online at natural-salt-lamps.com.
[00:23:29.652 --> 00:23:30.953]  That's natural-salt-lamps.com.
[00:23:30.973 --> 00:23:31.333]  Or call 312-224-2710.
[00:23:31.534 --> 00:23:31.854]  That's 312-224-2710.
[00:23:32.094 --> 00:23:34.235]  Mention GCN Live for a free gift.
[00:23:50.924 --> 00:23:54.946]  I drove through La Grange just the other day.
[00:23:54.966 --> 00:23:57.007]  You know, I like ZZ Top.
[00:23:57.367 --> 00:24:04.069]  Even though it's George Bush's favorite band.
[00:24:22.236 --> 00:24:25.039]  Alright, let's go ahead and go back to your calls.
[00:24:25.920 --> 00:24:27.902]  Leo and Mass, thanks for holding her on the air.
[00:24:27.922 --> 00:24:30.865]  Hello?
[00:24:31.265 --> 00:24:31.966]  Yes, Leo.
[00:24:32.526 --> 00:24:35.990]  Yeah, also, I got a song for Willie I just wrote.
[00:24:37.812 --> 00:24:38.693]  How do I mail it to him?
[00:24:40.635 --> 00:24:42.176]  Listen, Leo, I appreciate your call.
[00:24:43.316 --> 00:24:51.840]  I guess I do have Willie's mailing address, but it's the same one that's on their Peace Group website, so I'm not really the agent to get to Willie Nelson through.
[00:24:52.240 --> 00:24:54.581]  Kyle in Iowa, you're on the air, go ahead.
[00:24:54.601 --> 00:24:58.143]  Hi, Alex, how's it going?
[00:24:58.183 --> 00:24:59.263]  Good, thanks for holding, Kyle.
[00:24:59.283 --> 00:25:00.684]  You're on the air worldwide, what's on your mind?
[00:25:01.744 --> 00:25:05.006]  Well, I've got two things I want to talk about quick.
[00:25:05.026 --> 00:25:07.187]  The first comment I want to make is that
[00:25:08.300 --> 00:25:13.864]  I think we all might need to start thinking in terms of us being dead men walking.
[00:25:13.904 --> 00:25:16.345]  That way we can kind of let go and just do what needs to be done.
[00:25:40.101 --> 00:25:51.065]  Yeah, the other thing I wanted to talk about though is I actually live here in Cedar Falls slash Waterloo with these cam drills that are going on.
[00:25:54.293 --> 00:26:02.680]  You know, I've been paying attention to the local media and everything, and I noticed the day that the raid was announced, I just caught the tail end of it just before I was going to bed.
[00:26:02.700 --> 00:26:05.082]  I was flipping through the channels on Discovery Channel.
[00:26:05.602 --> 00:26:11.227]  It appeared that they had some pro-immigration piece on there, and then on the local news they also had
[00:26:12.150 --> 00:26:19.856]  You know, a bleeding heart pro-immigration piece on there where everyone was crying and all these poor people and everything.
[00:26:19.876 --> 00:26:21.477]  In a way, I do feel bad for them.
[00:26:21.497 --> 00:26:25.700]  Well, this is a very sophisticated PSYOP, so I haven't really even gotten into how they're doing it.
[00:26:27.321 --> 00:26:29.743]  Let me try to get into the basics of how the psychology works.
[00:26:30.344 --> 00:26:37.591]  They had a Washington Post article with the headline that non-psychiatric patients being drugged by federal government.
[00:26:38.332 --> 00:26:39.673]  And I've got the headline here.
[00:26:39.693 --> 00:26:40.714]  That's not the exact headline.
[00:26:40.734 --> 00:26:43.837]  I never even got to it yesterday because I wanted to flesh it out if I did cover it.
[00:26:44.718 --> 00:26:46.379]  And it basically said in there,
[00:26:47.757 --> 00:27:02.818]  That what they were doing is that if somebody cries or resists, they inject them with like a sedative, a pretty serious anti-psychotic, and then the cops lean over and sit viciously and say,
[00:27:04.901 --> 00:27:10.526]  And it actually does sound kind of sadistic, and it does sound kind of creepy, but that's better than being tasered.
[00:27:10.826 --> 00:27:13.008]  So a citizen just says, well, officer, I wasn't speeding.
[00:27:13.028 --> 00:27:14.229]  They go, that's it, you're tasered.
[00:27:14.769 --> 00:27:18.993]  Or, officer, please, and the officer says, don't beg to me, that's a threat, I'm tasering you.
[00:27:19.353 --> 00:27:22.456]  Or throws a guy out of a wheelchair, you know, who's paralyzed.
[00:27:23.176 --> 00:27:24.457]  You know, they treat us worse.
[00:27:25.238 --> 00:27:31.943]  But imagine, if they did that to a citizen, it'd be how good it was, and for the officer's safety, and it's very humane to inject them with the
[00:27:32.924 --> 00:27:49.770]  with the uh... you know anti-psychotics the thorazine uh... so but with the illegals it's all the officer then sinisterly leaned over and said nighty night when actually probably like a joke nighty night because it said the person was fighting him
[00:27:50.650 --> 00:28:16.243]  uh... which they actually could have done something that uh... i'm not even condoning it though it's on the edge of being condoned you know that i mean if they catch you in mexico they run your credit suck every bit of money out of your family puts in a dirt floor jail where they beat you up and rape you they torture you with tabasco up the nose that's their favorite i mean i mean i'm about to know the same people i know and mexico is so corrupt it's just uh... it's called a little bite or uh...
[00:28:16.883 --> 00:28:17.243]  We're good.
[00:28:42.890 --> 00:28:46.631]  But again, they even admitted they're letting most of the illegals go.
[00:28:46.711 --> 00:28:47.891]  That was in the Des Moines Register.
[00:28:48.151 --> 00:28:49.832]  Whatever your paper is, I've got the article right here.
[00:28:50.252 --> 00:28:51.612]  It said they're letting most of them go.
[00:28:51.632 --> 00:28:53.913]  And saying, well, you promised to come back later.
[00:28:54.213 --> 00:28:59.274]  They're showing us camps and cattle shoots to set the image.
[00:28:59.294 --> 00:29:00.274]  And that's not my opinion.
[00:29:00.674 --> 00:29:01.735]  I have the federal documents.
[00:29:01.755 --> 00:29:02.575]  You're absolutely right.
[00:29:04.713 --> 00:29:06.294]  Anything else, Kyle?
[00:29:06.794 --> 00:29:07.735]  Yeah, yeah.
[00:29:07.815 --> 00:29:09.055]  I got a point I want to make about all of it.
[00:29:09.075 --> 00:29:09.316]  Stay there.
[00:29:09.516 --> 00:29:09.856]  Stay there.
[00:29:09.876 --> 00:29:12.838]  And then I'm going to play this Grand Theft Auto parody piece.
[00:29:13.858 --> 00:29:18.381]  And for PrisonPlanet.tv members, you'll be able to see this coming up after we talk to Kyle.
[00:29:18.641 --> 00:29:23.904]  Then I'm going to talk to Christian, Dave, Billy Bob, and others.
[00:29:23.924 --> 00:29:24.184]  1-800-259-9231.
[00:29:24.404 --> 00:29:30.187]  Got a bunch of other news here we haven't gotten to as well, but I've done a pretty good job today of covering a lot of it.
[00:29:30.488 --> 00:29:31.108]  We'll be right back.
[00:29:34.720 --> 00:29:35.640]  We're on the march.
[00:29:36.120 --> 00:29:37.761]  The Empire's on the run.
[00:29:37.801 --> 00:29:41.422]  Alex Jones and the GCN Radio Network.
[00:29:44.763 --> 00:29:47.744]  Have you ever thought about what's in your shampoo, soap, or detergent?
[00:29:47.864 --> 00:29:53.145]  How about chlorides, dyes, ethanol, sulfates, sodium, formaldehydes, and more?
[00:29:53.385 --> 00:29:58.747]  Even a fragrance can indicate the presence of some 4,000 separate ingredients, most of which are synthetic.
[00:29:59.087 --> 00:30:00.187]  Hi, this is Alex Jones.
[00:30:00.587 --> 00:30:09.655]  I was shocked when I discovered I could be inhaling these additives that can lead to coughing, wheezing, and shortness of breath, headaches, nausea, irritation of the skin, and mucous membranes.
[00:30:09.915 --> 00:30:11.516]  Now compare a Calben Pure Soap.
[00:30:11.756 --> 00:30:20.584]  All natural, earth friendly, no harsh chemicals, no animal testing, they're safe, and you save 85% of the money you're spending on cleaning products now.
[00:30:20.964 --> 00:30:24.427]  Start saving over $1,000 a year for your family of four.
[00:30:24.807 --> 00:30:25.607]  Keep it natural.
[00:30:25.887 --> 00:30:29.168]  Call Calbin Pure Soap for a free catalog at 1-800-340-7091.
[00:30:29.248 --> 00:30:34.250]  Or log on to 5starsoap.com.
[00:30:34.290 --> 00:30:38.691]  Try Calbin Pure Soaps and I'll bet you'll never use any other cleaning products again.
[00:30:38.871 --> 00:30:42.652]  Call 1-800-340-7091 for all your cleaning needs.
[00:30:44.853 --> 00:30:46.253]  It is a big idea.
[00:30:46.273 --> 00:30:48.394]  A new world order.
[00:30:49.094 --> 00:30:52.955]  In the near future, Earth is dominated by a powerful force.
[00:30:54.640 --> 00:31:02.005]  For thousands of years, their dark order grew.
[00:31:02.786 --> 00:31:10.111]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:31:13.111 --> 00:31:18.116]  For the first time in history, the elite's plan for world government is blown wide open.
[00:31:18.576 --> 00:31:22.059]  You will learn the secret that drives the entire New World Order agenda.
[00:31:22.439 --> 00:31:24.981]  Build America is making great progress toward a world government.
[00:31:25.021 --> 00:31:25.982]  Most people have no idea.
[00:31:26.002 --> 00:31:26.943]  They're not after money.
[00:31:26.963 --> 00:31:28.064]  They have all the money they need.
[00:31:28.244 --> 00:31:29.005]  They're after power.
[00:31:29.025 --> 00:31:30.105]  That's what they're after these years.
[00:31:30.366 --> 00:31:34.929]  Order Endgame on DVD at PrisonPlanet.com or InfoWars.com.
[00:31:35.130 --> 00:31:38.572]  Or watch it online right now at PrisonPlanet.tv.
[00:31:38.733 --> 00:31:41.435]  Endgame, blueprint for global enslaving.
[00:31:43.780 --> 00:31:50.543]  There are many types of storable foods, but how about a superfood that contains every nutrient that the human body needs for survival?
[00:31:51.143 --> 00:32:02.588]  50% protein, 300 milligrams of potassium per ounce, and calcium and magnesium for your heart and bones, with many more nutrients found in this incredible food source that the government does not want you to have.
[00:32:02.848 --> 00:32:07.910]  This product is available in powder, seeds, and oil, and is shipped free to your door in the U.S.
[00:32:08.170 --> 00:32:11.632]  This product is illegal to grow in the U.S., but is legal to import.
[00:32:11.952 --> 00:32:14.174]  Don't waste time thinking about storing food.
[00:32:14.374 --> 00:32:19.157]  Plan ahead and prepare for yourself and your family now, and be in control of your destiny.
[00:32:19.417 --> 00:32:23.620]  You can save and invest your money, but in the end, food will be your greatest asset.
[00:32:23.880 --> 00:32:27.122]  Remember what the Word of God says in Ezekiel 719.
[00:32:27.362 --> 00:32:32.546]  Call 908-691-2608 and see what the powder, seeds and oil can do for you.
[00:32:32.826 --> 00:32:35.068]  Remember, food will be your greatest asset.
[00:32:35.268 --> 00:32:35.508]  Call 908-691-2608.
[00:32:35.568 --> 00:32:37.189]  This product does not contain THC.
[00:32:56.939 --> 00:32:58.340]  Here come the foreign companies.
[00:32:58.360 --> 00:33:02.622]  They're going to pay off your mayor, take over your water, and triple the price overnight.
[00:33:02.642 --> 00:33:07.905]  And the cops are doing riot control drills and building FEMA camps.
[00:33:09.372 --> 00:33:11.755]  Wow, the illegal aliens are above the law!
[00:33:12.356 --> 00:33:13.177]  Hey!
[00:33:14.679 --> 00:33:15.460]  Party!
[00:33:17.762 --> 00:33:19.084]  Take your vaccines!
[00:33:19.565 --> 00:33:20.406]  La la la!
[00:33:23.950 --> 00:33:24.991]  Take your Prozac!
[00:33:25.932 --> 00:33:26.894]  Eat your Ritalin!
[00:33:27.614 --> 00:33:28.596]  Get tasered, yeah!
[00:33:34.465 --> 00:33:35.666]  Alright, I'll quit acting stupid.
[00:33:36.306 --> 00:33:39.508]  I got an audience of like two out the window here and I'm acting stupid for them.
[00:33:40.529 --> 00:33:42.170]  You gotta have some fun with this sometimes.
[00:33:42.190 --> 00:33:43.111]  This is insane.
[00:33:44.292 --> 00:33:47.154]  I'm telling you, it's an... I keep saying it, I just can't believe it.
[00:33:48.214 --> 00:33:50.416]  Alright, Kyle in Iowa, say whatever you want.
[00:33:50.456 --> 00:33:51.897]  I'll try to... Shut up, go ahead.
[00:33:53.018 --> 00:33:56.060]  Well, Alex, first I must say that your air guitar skills aren't matched.
[00:33:56.804 --> 00:34:02.767]  Um, but I want to make a general point about this whole immigration thing, uh, and I don't remember where I read it.
[00:34:02.787 --> 00:34:17.694]  I want to say it was either the Waterloo Courier or the Des Moines Register, but I read something about how there was, uh, they had some tip-off like a year or two ago about all the illegal immigrants being there because there's apparently a meth lab at one of these meatpacking plants.
[00:34:18.715 --> 00:34:18.875]  Yes.
[00:34:19.015 --> 00:34:21.818]  I'm just kind of shooting from the hip here, so I might have some of my details.
[00:34:21.898 --> 00:34:23.059]  No, no, I remember reading it.
[00:34:23.099 --> 00:34:24.060]  I've got the articles here.
[00:34:24.280 --> 00:34:35.051]  Okay, well, the point is, A, why are they letting the meth lab, you know, stick around for a year or two, not do something about it, and why didn't they get rid of the illegal immigrants then?
[00:34:35.111 --> 00:34:36.893]  I mean, it's so obvious.
[00:34:37.597 --> 00:34:39.038]  I mean, it's flat on the face.
[00:34:39.078 --> 00:34:39.538]  It's a fraud.
[00:34:39.558 --> 00:34:42.500]  I mean, they're pretty much admitting to being criminally negligent.
[00:34:42.540 --> 00:34:43.581]  This is why it's a fraud.
[00:34:44.061 --> 00:34:46.923]  Let's take their official number of 16 million illegals.
[00:34:47.783 --> 00:34:49.164]  It's really like 35 million.
[00:34:49.184 --> 00:34:50.085]  That was a year ago.
[00:34:50.365 --> 00:34:52.066]  And the government actually has real numbers on that.
[00:34:52.086 --> 00:34:52.866]  That's where we get those.
[00:34:53.487 --> 00:34:56.809]  Because the census admits that about half the illegals actually report themselves.
[00:34:56.849 --> 00:34:58.049]  So they estimate it's twice that.
[00:34:58.069 --> 00:34:58.610]  So what's twice?
[00:34:58.970 --> 00:34:59.570]  15, 16 million.
[00:34:59.670 --> 00:35:00.291]  It's 30-something mil.
[00:35:00.851 --> 00:35:02.972]  And that's a few years old, as I was saying.
[00:35:03.192 --> 00:35:03.933]  What?
[00:35:04.213 --> 00:35:03.933]  2006.
[00:35:04.233 --> 00:35:05.034]  Almost two years old now.
[00:35:05.054 --> 00:35:06.154]  A year and a half old.
[00:35:07.595 --> 00:35:14.560]  They'll go out every four or five months, and they'll raid a few meat packing plants, and you'll hear about 1,100 arrests, 200 arrests, 500 arrests.
[00:35:14.580 --> 00:35:15.641]  The biggest I've ever seen is 1,100.
[00:35:15.701 --> 00:35:18.223]  And they'll go, man, getting tough.
[00:35:18.303 --> 00:35:19.064]  Wowzers.
[00:35:19.384 --> 00:35:25.589]  And it's always some smaller meat packing division, not Tyson or somebody else, so it's actually even getting rid of some competition.
[00:35:25.869 --> 00:35:27.230]  The globalists are masters at this.
[00:35:27.250 --> 00:35:28.250]  They don't go after the big boys.
[00:35:29.031 --> 00:35:30.834]  And then the media's like, man, they're getting tough.
[00:35:31.294 --> 00:35:38.044]  If you've got three million illegals coming in a year, at nine hundred plus thousand, it's right close to a million legals.
[00:35:38.084 --> 00:35:40.227]  So that's almost four million coming in a year.
[00:35:41.068 --> 00:35:44.373]  And every few months they're arresting a thousand people, maybe.
[00:35:45.485 --> 00:35:45.665]  I think?
[00:36:09.924 --> 00:36:20.930]  That I think the ice only picks up inside the country something like 2,000 people a month.
[00:36:21.030 --> 00:36:25.032]  Now at the border, they intercept, I think it's more than 20,000.
[00:36:25.072 --> 00:36:27.093]  20,000 at the border, which they say is 1 out of 10 they're catching.
[00:36:27.113 --> 00:36:27.573]  20,000 at the border.
[00:36:31.875 --> 00:36:35.478]  And then at the borders, and then a couple thousand a month.
[00:36:35.498 --> 00:36:36.799]  So they're arresting a couple thousand.
[00:36:37.139 --> 00:36:38.680]  So what's 12 times a couple thousand?
[00:36:38.720 --> 00:36:40.942]  Let's say 24,000 a year they're arresting.
[00:36:41.623 --> 00:36:43.644]  And again, I'm going off numbers I saw years ago.
[00:36:44.525 --> 00:36:43.644]  24,000.
[00:36:45.025 --> 00:36:50.389]  So if they're arresting 24,000, but 4 million are coming in, 3 million of them illegal.
[00:36:50.790 --> 00:36:55.914]  You see, that's like trying to ladle out a swimming pool with a teaspoon.
[00:36:57.324 --> 00:37:02.166]  And oh my gosh, you have to prosecute the employers.
[00:37:02.846 --> 00:37:05.006]  And folks, if they want to do that, they could instantly.
[00:37:05.867 --> 00:37:13.569]  ICE would come in and they would visit in one day, twenty Austin businesses, and they would go in and there would be illegal aliens in every kitchen.
[00:37:14.309 --> 00:37:21.512]  And then you'd arrest those people and deport them, and then you would put felony charges, and this is treason, so it should be felony charges, on all these businesses.
[00:37:22.652 --> 00:37:28.614]  And then, you do that once a month for a year, nobody's going to hire illegals in Austin, Texas.
[00:37:30.555 --> 00:37:30.895]  Cured.
[00:37:31.175 --> 00:37:31.475]  Done.
[00:37:31.795 --> 00:37:32.135]  Finished.
[00:37:32.456 --> 00:37:32.716]  Easy.
[00:37:33.116 --> 00:37:34.176]  Not even that much enforcement.
[00:37:34.516 --> 00:37:38.238]  How many officers would you need to do ten raids once a month?
[00:37:41.659 --> 00:37:42.699]  I mean, five guys?
[00:37:44.040 --> 00:37:44.460]  Not many.
[00:37:44.820 --> 00:37:45.780]  Yeah, see, no, no, no.
[00:37:45.800 --> 00:37:46.681]  They're not going to do that.
[00:37:47.121 --> 00:37:47.621]  Here, go ahead.
[00:37:48.872 --> 00:37:53.614]  Oh, well, you know, I guess another little thing I'd like to add on there, too.
[00:37:53.654 --> 00:38:02.817]  It's like, I just thought of me, but just even growing up around here, it's always been well-known there's been tons of Mexicans that work at all these meatpacking plants.
[00:38:02.837 --> 00:38:07.719]  So it's like, I doubt I'm in the privilege of some special knowledge that
[00:38:09.739 --> 00:38:24.322]  No one but illegals works at them, because you used to get twenty bucks an hour, a skilled union job, and now they get five, six bucks an hour, and the illegals will not work with a gringo or a Mayatta once they take over.
[00:38:24.703 --> 00:38:29.504]  Now I'm not being mean to the illegal aliens, it's a fact, there's now been newscast in L.A.
[00:38:29.524 --> 00:38:31.364]  admitting it, I know cooks in L.A.
[00:38:31.604 --> 00:38:35.785]  who can't get hired anywhere, because it's a, we look out for Raza first,
[00:38:36.385 --> 00:38:37.625]  Now, not American Hispanics.
[00:38:37.645 --> 00:38:38.265]  They're great folks.
[00:38:38.285 --> 00:38:42.386]  But the illegals, it's a very, one of the most nationalistic countries in the world is Mexico.
[00:38:42.947 --> 00:38:45.267]  And they come in, they take over, they only hire their people.
[00:38:45.707 --> 00:38:48.088]  I mean, you'd think white folks were bad in the fifties doing this.
[00:38:48.168 --> 00:38:48.708]  My gosh!
[00:38:50.208 --> 00:38:54.969]  The Latin Americans, especially the Mexicans, I mean, they bring it down to a fine art of only hiring their people.
[00:38:55.350 --> 00:38:57.650]  There's almost no blacks now in the janitorial business.
[00:38:57.970 --> 00:39:00.791]  Almost no blacks in farm work all over the country.
[00:39:01.891 --> 00:39:03.872]  And it's just absolutely amazing.
[00:39:03.892 --> 00:39:04.912]  So you don't work
[00:39:05.692 --> 00:39:09.374]  And the employers tell you now, don't speak Spanish, you can't work on this meatpacking line.
[00:39:09.614 --> 00:39:10.954]  You can't work at this print shop.
[00:39:11.295 --> 00:39:12.455]  I've got a Spanish shop.
[00:39:13.475 --> 00:39:14.936]  And so it's also the language.
[00:39:15.777 --> 00:39:19.198]  And then that drives the wages down in all those key communities.
[00:39:19.438 --> 00:39:20.258]  Take the truck drivers.
[00:39:20.298 --> 00:39:29.222]  All the Hispanic truck drivers I know, and I know quite a few, they come out to our rallies and they're like, oh yeah, I've gone from, you know, twenty bucks an hour to nine bucks an hour and I'm bankrupt and my life's over.
[00:39:29.823 --> 00:39:30.843]  You know, it's over, folks!
[00:39:31.243 --> 00:39:33.064]  Because the illegal aliens are now doing it.
[00:39:34.104 --> 00:39:34.745]  Thank you for the call.
[00:39:36.025 --> 00:39:37.806]  And does that help Mexicans?
[00:39:37.886 --> 00:39:38.126]  No!
[00:39:38.206 --> 00:39:43.227]  That ends up turning us into Mexico instead of them having a revolution down there when they got triple the resources the U.S.
[00:39:43.267 --> 00:39:43.528]  has.
[00:39:43.828 --> 00:39:45.208]  Gold, silver, oil.
[00:39:46.749 --> 00:39:48.029]  The place is a heaven!
[00:39:49.430 --> 00:39:51.590]  They got more billionaires than we got in the U.S.
[00:39:51.610 --> 00:39:52.271]  Did you know that?
[00:39:53.071 --> 00:39:54.691]  They got money coming out their ears!
[00:39:55.432 --> 00:39:57.112]  And they export all their criminals.
[00:39:57.572 --> 00:39:59.753]  You kill somebody in Mexico, you just come to the U.S.
[00:39:59.953 --> 00:40:01.614]  Kill somebody in the U.S., go down to Mexico.
[00:40:02.674 --> 00:40:04.875]  And we kicked Mexico's butt two times
[00:40:06.169 --> 00:40:08.951]  Actually, three times if you count when they attacked us with the German Army in 1918.
[00:40:09.472 --> 00:40:13.174]  And, oh boy, you're not supposed to teach that in the school books.
[00:40:13.815 --> 00:40:16.277]  You know, Mexico attacking us and murdering a bunch of people.
[00:40:16.717 --> 00:40:17.658]  And I'm tired of it.
[00:40:18.258 --> 00:40:21.300]  And I will get on air and say they worked with the Germans to attack this country.
[00:40:22.401 --> 00:40:25.724]  Of course, the Texas Rangers kicked their, you know what, I just can't handle it.
[00:40:26.464 --> 00:40:27.965]  Let's go ahead and take another call.
[00:40:28.566 --> 00:40:29.687]  I'm sorry we keep winning.
[00:40:29.727 --> 00:40:30.487]  I'm sorry, you know.
[00:40:31.868 --> 00:40:33.470]  Why don't you get your own country back?
[00:40:34.326 --> 00:40:39.327]  I mean, I'm not going to play along with the fact that, oh, Mexico loves us, and Mexico's sweet, and it's a friendly thing.
[00:40:39.587 --> 00:40:40.208]  No, it's not!
[00:40:40.408 --> 00:40:42.648]  It's, you're going to die, gringo, we're going to kill all whites.
[00:40:43.528 --> 00:40:44.589]  Plan of San Diego.
[00:40:45.729 --> 00:40:51.230]  And then it's very painful, because I have a lot of Hispanic friends that could care less about having Mexicans around me.
[00:40:51.611 --> 00:40:52.571]  As long as they don't hate me.
[00:40:53.519 --> 00:40:54.740]  As long as they're red, white, and blue.
[00:40:55.040 --> 00:40:59.102]  And I know when a Mexican-American is red, white, and blue, they're as red, white, and blue as anybody, or more so.
[00:40:59.903 --> 00:41:12.711]  But I don't like the fact that I'm supposed to play along with, and I know a lot of Mexicans call me and tell me, oh yeah, man, you're right, I hear it all the time, Mexican-Americans, and I'm just not going to play along with it anymore.
[00:41:12.751 --> 00:41:17.634]  I mean, I'm not going to sit here waiting about killing me, and now you're going to gut my country and the New World Order is bringing you in.
[00:41:17.654 --> 00:41:19.555]  I fight everything the New World Order does.
[00:41:19.775 --> 00:41:21.016]  They're for abortion, I'm against it.
[00:41:21.256 --> 00:41:22.597]  They're for open borders, I'm against it.
[00:41:22.778 --> 00:41:24.139]  They're for gun bans, I'm against it.
[00:41:24.779 --> 00:41:28.122]  They're for having foreign water companies take over our water, I'm against it.
[00:41:29.003 --> 00:41:30.344]  Anything they're for, I'm against it.
[00:41:30.624 --> 00:41:31.565]  It's real simple.
[00:41:32.546 --> 00:41:34.207]  Oh, the New World Order's for the illegal aliens?
[00:41:34.227 --> 00:41:34.968]  Well, I'm against you!
[00:41:36.048 --> 00:41:37.550]  Hey, two plus two equals four.
[00:41:40.812 --> 00:41:43.735]  Christian in California, you're on the air, worldwide.
[00:41:43.775 --> 00:41:43.935]  Hello?
[00:41:44.255 --> 00:41:45.836]  Yeah, what's up Alex?
[00:41:46.297 --> 00:41:48.198]  I just want to thank you for doing everything.
[00:41:49.267 --> 00:41:59.713]  Uh, to which he was just saying, yeah, I, um, I just was, uh, trying to get a temporary job at a warehouse, and normally, you know, when I do the temporary thing in the summertime, it usually takes me about a day to get a job.
[00:42:00.073 --> 00:42:04.296]  Well, this time it took me like three weeks, and when I went in there, it was all illegal immigrants.
[00:42:04.496 --> 00:42:08.958]  I'm in California, so it was like, it was, I really seen the first-hand effects of it.
[00:42:08.978 --> 00:42:09.759]  It was like crazy.
[00:42:10.826 --> 00:42:15.908]  No, I've got a lot of friends who've got college degrees and, you know, and computer programming and things.
[00:42:16.568 --> 00:42:18.548]  Most of the factories are shut down around here.
[00:42:18.568 --> 00:42:21.969]  And Austin's a booming city, and there's a lot of them shutting down.
[00:42:21.989 --> 00:42:27.691]  And, you know, they're at HEB, and then they'll work another job mowing yards, and they work for the illegals now.
[00:42:28.291 --> 00:42:34.513]  And they're lucky, and they'll laugh at them and call them the gringo, and they get to work under the illegal aliens, and that's how it works now.
[00:42:35.173 --> 00:42:37.934]  And they not only do that, they don't even like
[00:42:38.414 --> 00:42:38.975]  No, I'm not.
[00:42:39.015 --> 00:42:39.656]  That's me.
[00:42:39.676 --> 00:42:40.096]  No, I'm not Hispanic.
[00:42:40.136 --> 00:42:40.877]  I'm African American.
[00:42:55.774 --> 00:43:00.477]  Yeah, I've got a lot of Mexican friends that tell me they don't like me.
[00:43:00.557 --> 00:43:02.038]  I forgot what they call them.
[00:43:02.058 --> 00:43:03.118]  You know what they call them.
[00:43:03.178 --> 00:43:05.740]  You know what the Mexicans, Mexican-Americans call Mexicans.
[00:43:06.240 --> 00:43:07.501]  But let's just not say it on air.
[00:43:08.021 --> 00:43:08.982]  Yeah, let's not say it on air.
[00:43:09.342 --> 00:43:12.224]  But you know, they say they don't like them or whatever because of that reason.
[00:43:12.244 --> 00:43:16.246]  So it's kind of like, that's kind of crazy for me to think that, you know.
[00:43:16.266 --> 00:43:17.967]  Well that's because Mexicans aren't stupid.
[00:43:19.868 --> 00:43:24.911]  In fact, on average, they're smarter and wiser than Americans, and I appreciate your call.
[00:43:25.851 --> 00:43:26.691]  Anything else you wanted to add?
[00:43:27.352 --> 00:43:29.833]  Oh yeah, and I just wanted to say, actually I've got a comment.
[00:43:30.713 --> 00:43:35.155]  I wanted to say that, you know, to the listeners, everybody should really, because I was listening, yes, I listen every day.
[00:43:35.516 --> 00:43:41.198]  So I was listening yesterday, and I was seeing how, you know, they were trying to get divisive with it, with the religion and stuff.
[00:43:43.593 --> 00:43:48.718]  Read the Constitution and the Bill of Rights and really read what the Founding Fathers were like really trying to teach.
[00:43:49.138 --> 00:43:54.823]  It was like a, uh, you know, it was more of a, um, how do you say, uh, what is it?
[00:43:55.724 --> 00:44:03.091]  It was, it was, it was founded on Christian principles, but it was secular government so you wouldn't get one church cult running everything.
[00:44:03.737 --> 00:44:07.919]  Yeah, it was more of a tolerance.
[00:44:07.939 --> 00:44:14.361]  Well, no, that's because they lived under religious nuts that wouldn't let them practice their religion, so they came here to have freedom.
[00:44:14.381 --> 00:44:15.341]  You're absolutely right, sir.
[00:44:15.401 --> 00:44:16.002]  Nail on the head.
[00:44:16.302 --> 00:44:17.562]  Yeah, I mean, I say this.
[00:44:17.622 --> 00:44:23.384]  I've talked to the radical Mexican groups before, and I've been like, listen, man, I don't mind Hispanics.
[00:44:23.444 --> 00:44:24.505]  I like Hispanic people.
