[00:00:00.009 --> 00:00:00.089]  Now!
[00:29:42.833 --> 00:29:44.494]  And certainly the Russians aren't.
[00:29:44.814 --> 00:29:49.897]  They almost had that, you know, after the collapse of the Soviet Union.
[00:29:49.917 --> 00:29:51.258]  They were struggling.
[00:29:52.118 --> 00:29:56.981]  They almost got taken over, but Putin ran them all out of the country, and I don't think he's going to let them back.
[00:30:01.544 --> 00:30:10.029]  And there's going to be so many problems here, from unemployment, from tent cities,
[00:30:12.552 --> 00:30:13.053]  I don't know.
[00:30:23.737 --> 00:30:25.258]  Okay, let me ask you this question.
[00:30:25.898 --> 00:30:35.704]  Why do they keep saying, because you worked in the White House, you headed up the Treasury, you've been part of different international bodies studying the Russian-U.S.
[00:30:35.744 --> 00:30:44.469]  relations, so you've got your finger somewhere on the pulse of this better than I do, they keep saying to the liberal press, get ready, he's going to do things you don't like,
[00:30:45.629 --> 00:30:47.591]  He's going to do things internationally you don't like.
[00:30:48.352 --> 00:30:50.313]  He's going to do things militarily you don't like.
[00:30:50.834 --> 00:30:53.296]  And the press says, well, what is it?
[00:30:53.376 --> 00:30:54.637]  Well, we can't tell you.
[00:30:56.679 --> 00:30:57.960]  What is it they're talking about?
[00:30:58.000 --> 00:31:05.848]  Or what do you think it may be they're talking about that they're worried and getting the media and the population ready for it?
[00:31:06.288 --> 00:31:07.990]  Because that's all they talk about.
[00:31:08.010 --> 00:31:09.972]  There's probably 25 articles a day
[00:31:12.065 --> 00:31:16.668]  With even Merkel and Brown and Sarkozy.
[00:31:17.149 --> 00:31:18.810]  I mean, that's all they're talking about.
[00:31:20.451 --> 00:31:21.492]  Yeah, well, I don't know.
[00:31:22.312 --> 00:31:23.473]  I really don't know.
[00:31:24.354 --> 00:31:30.878]  But all I can say is, I don't think their power is very great.
[00:31:33.100 --> 00:31:41.666]  And I think the new, very heavily populated countries
[00:31:42.991 --> 00:31:44.152]  I don't think so.
[00:32:02.786 --> 00:32:04.027]  Dr. Roberts, please, please.
[00:32:04.707 --> 00:32:08.788]  We've got a lot of stations out there, but I guess you're the former head of the Treasury, so whatever.
[00:32:08.828 --> 00:32:12.329]  The point is, I'm even hearing this kind of talk on NPR now, so I guess things are changing.
[00:32:12.789 --> 00:32:15.390]  My point is, here's another example.
[00:32:15.450 --> 00:32:26.634]  I go on Russia Today, just like you do, I talk to Russians, they're trying to be free market, they hate communism, I talk to them, but then I go on Russia Today, I say it's wrong that we attacked Georgia,
[00:32:27.754 --> 00:32:29.555]  Well, they're not commies.
[00:32:57.354 --> 00:32:59.716]  Gorbachev was a commie, and he gave it up himself.
[00:33:00.236 --> 00:33:01.657]  So, no, they're not commies.
[00:33:01.697 --> 00:33:05.839]  They had 75 years of that, and it cured them.
[00:33:06.980 --> 00:33:15.245]  And, you know, if you look at the way their leaders speak, they speak the way we used to speak.
[00:33:15.385 --> 00:33:17.206]  They want international cooperation.
[00:33:17.286 --> 00:33:19.207]  They want international law.
[00:33:19.267 --> 00:33:21.088]  They want people to follow the rules.
[00:33:22.569 --> 00:33:24.070]  They don't want arms races.
[00:33:24.690 --> 00:33:26.291]  They don't want military adventures.
[00:33:27.858 --> 00:33:41.161]  They sound like our founding fathers, so they don't have any empire aims.
[00:33:41.301 --> 00:33:45.702]  I think communism is a gone thing.
[00:33:45.782 --> 00:33:47.142]  It's gone even in China.
[00:33:47.182 --> 00:33:51.723]  They still have the Communist Party, but they're not communist in any policy sense.
[00:33:52.955 --> 00:34:00.578]  Well, they keep calling it socialism to bail out these banks, but I just call that a good old-fashioned looting or bank robbery.
[00:34:01.198 --> 00:34:03.219]  Yeah, that's probably what it is.
[00:34:03.319 --> 00:34:04.079]  It was a heist.
[00:34:04.800 --> 00:34:05.780]  It was a bank heist.
[00:34:05.840 --> 00:34:10.962]  They took all that money, and they gave it to banks, and they're using it now to buy all the banks.
[00:34:11.182 --> 00:34:16.324]  So, the whole thing was a fraud, like everything else they've told us.
[00:34:17.768 --> 00:34:18.089]  You think so?
[00:34:31.239 --> 00:34:32.480]  It was pillage, yeah.
[00:34:32.500 --> 00:34:35.462]  Well, that's my last question, sir, and then we're going to let you go and we appreciate the time.
[00:34:36.423 --> 00:34:47.291]  I remember reading the Banker Bailout Bill, and by the way, the final version had it, just in more legalese terms, about no one can review this, no one can look at this, it will be secret, no court can review it.
[00:34:48.152 --> 00:34:59.081]  Bloomberg reported correctly, Ron Paul's reported it's more like five trillion, they've already sucked about a trillion out, and now even the New York Times reported the head of Goldman Sachs in a conference call
[00:35:00.200 --> 00:35:28.029]  with another one of the big brokerage firms saying, oh this is great we're going to use this for bonuses and to buy other banks and insurance companies and other corporations and no we're not going to loan it out to the people and get the economy going and they're so arrogant just in front of reporters they'll brag about it it sounds like insane hubris and then Goldman Sachs England took a seven and a half billion pound bonuses fourteen plus billion
[00:35:28.729 --> 00:35:29.349]  In dollars?
[00:35:30.530 --> 00:35:35.872]  Again, every time I think I can't be shocked, it just goes to a new level of insanity.
[00:35:37.352 --> 00:35:37.873]  That's right.
[00:35:39.173 --> 00:35:50.197]  You know, we're people who are easy to con because they still trust the government, despite everything they've seen and learned and witnessed.
[00:35:51.658 --> 00:35:54.679]  And whatever it tells them the next day, they'll believe that too.
[00:35:54.979 --> 00:35:56.660]  That's the whole problem, isn't it, Alex?
[00:35:57.110 --> 00:36:01.712]  Well, I agree that some people are dumbed down, but they had a thousand to one phone calls.
[00:36:01.752 --> 00:36:05.293]  Polls were 95-98, depending on the poll, against the bailout.
[00:36:06.033 --> 00:36:07.214]  And then I had congressmen on.
[00:36:07.234 --> 00:36:12.616]  They were threatened with physical martial law by the executive branch, and they didn't pass that a month ago.
[00:36:13.256 --> 00:36:16.977]  So, in a way, it's not even the people of the Congress now.
[00:36:17.358 --> 00:36:23.640]  I think it's just executive terrorism, and now Obama's announcing his whole cabinet, basically, and it's the same people.
[00:36:25.040 --> 00:36:26.181]  Yeah, it's the same.
[00:36:27.003 --> 00:36:31.304]  It's the same people, but still, where are they going to get the money?
[00:36:34.024 --> 00:36:35.365]  The economy's in recession.
[00:36:35.385 --> 00:36:38.065]  I mean, you saw what the job report was today.
[00:36:38.085 --> 00:36:41.906]  Another 200,000 down.
[00:36:43.326 --> 00:36:50.048]  And even the rig way of measuring unemployment, they say now it's the highest in a couple of decades.
[00:36:51.408 --> 00:36:55.809]  So it's not a situation that's propitious.
[00:36:57.032 --> 00:37:13.118]  uh... for them and uh... the more they the more they do this i think uh... the more they'll be to pay at some point but you know you can't say you're going to be a world power while you run the country into the ground.
[00:37:13.238 --> 00:37:14.238]  Well that's what I was going to ask.
[00:37:14.278 --> 00:37:24.302]  They had the greatest engine even if we were going to have a corrupt new world order system we had the you know the big empire the wealth the power and they just like a third world country uh... they're just looting it
[00:37:25.669 --> 00:37:30.091]  So even from a position of wanting to have long-term power, it looks like what they're doing is bad.
[00:37:30.932 --> 00:37:31.412]  That's right.
[00:37:31.992 --> 00:37:38.435]  You can't be a powerhouse if the rulers are running the country into the ground.
[00:37:39.376 --> 00:37:41.116]  The two things are incompatible.
[00:37:42.217 --> 00:37:43.738]  Why was that decision made to do that?
[00:37:43.758 --> 00:37:45.098]  It wasn't done in the past in U.S.
[00:37:45.118 --> 00:37:45.419]  history.
[00:37:47.239 --> 00:37:47.700]  I don't know.
[00:37:49.741 --> 00:37:51.281]  I just don't know, Alex.
[00:37:51.301 --> 00:37:52.622]  They don't call me up and tell me.
[00:37:54.533 --> 00:37:55.153]  I don't know.
[00:38:13.084 --> 00:38:15.365]  Arrogance, hubris, stupidity.
[00:38:15.465 --> 00:38:18.687]  Why in the world did Napoleon march off into Russia?
[00:38:18.707 --> 00:38:20.388]  There was no reason for him to do that.
[00:38:20.468 --> 00:38:21.909]  Why did Hitler go to North Africa?
[00:38:23.370 --> 00:38:25.391]  And why did he march off into Russia?
[00:38:25.931 --> 00:38:29.473]  People do things that are stupid.
[00:38:30.854 --> 00:38:34.516]  They get drunk and drive their car and crash and kill a bunch of people.
[00:38:36.717 --> 00:38:37.658]  Why do they do things?
[00:38:39.226 --> 00:38:43.547]  Well, I guess it's because, like the PNAC said, we got the power, why not go for global domination?
[00:38:44.627 --> 00:38:53.909]  And that's what they're doing, and I think they're just so arrogant with all their hookers and money and power and all the yes-men that I think they really still think that they're unstoppable.
[00:38:54.849 --> 00:38:58.550]  Don't you think global domination came to an end in Georgia?
[00:38:59.670 --> 00:39:04.811]  It took the Russian soldiers a few hours to clear out the army we had trained and equipped.
[00:39:07.302 --> 00:39:09.883]  And don't you think it's come to an end in Afghanistan?
[00:39:11.223 --> 00:39:12.784]  What about Israel and Hezbollah?
[00:39:13.184 --> 00:39:14.505]  And Iraq.
[00:39:15.325 --> 00:39:20.387]  And Israel has tried twice to defeat Hezbollah and failed.
[00:39:21.568 --> 00:39:21.948]  I don't know.
[00:39:21.988 --> 00:39:25.049]  I don't think we're going to be able to dominate anything.
[00:39:25.089 --> 00:39:29.651]  And I think that's what the meeting on November 15th is about.
[00:39:29.691 --> 00:39:34.273]  The Europeans and the rest are going to tell us that we're going to dominate less.
[00:39:35.350 --> 00:39:36.030]  Pure thanks.
[00:39:36.591 --> 00:39:38.732]  What do you see happening to the dollar when they do that?
[00:39:40.934 --> 00:39:45.257]  Well, it'll be part of saving the dollar.
[00:39:46.138 --> 00:39:51.601]  I mean, the dollar's going to be saved by being reduced.
[00:39:51.681 --> 00:39:53.022]  It can't go on like it is.
[00:39:53.062 --> 00:40:02.009]  I mean, the Chinese themselves said, you know, one of my columns a week or so ago, quoting what the Chinese had to say about the dollar and all this, and they said,
[00:40:02.847 --> 00:40:07.790]  Why in the world are we lending to the Americans so they can go on forever deeper in debt?
[00:40:09.891 --> 00:40:21.877]  And so everybody sees it, and I think the financial crisis has sort of made them think that it's time for them to rein it in.
[00:40:22.077 --> 00:40:29.441]  Obviously the Americans aren't smart enough or willing to, so the rest of the world is going to rein it in, I think.
[00:40:30.301 --> 00:40:31.702]  I think that's what is
[00:40:33.291 --> 00:40:34.272]  And it'll take a while.
[00:40:34.332 --> 00:40:38.396]  It won't happen immediately and people will be excited.
[00:40:38.416 --> 00:40:50.508]  The Bush is gone and they've got Obama and he's the first black American and this proves the Americans aren't as racist as we thought and maybe they're better in other ways than we thought and maybe
[00:40:52.351 --> 00:40:53.971]  We need to give them a second chance.
[00:40:54.091 --> 00:40:59.112]  But won't that goodwill turn into bitter poison if Obama pulls a bunch of stunts?
[00:40:59.552 --> 00:40:59.792]  Right.
[00:40:59.932 --> 00:41:00.312]  It will.
[00:41:00.713 --> 00:41:01.093]  It will.
[00:41:01.233 --> 00:41:08.614]  And if it turns into bitter poison before they've rescued us, then we're really going to have hard times here.
[00:41:08.694 --> 00:41:16.195]  Look, if people, if you've got a trillion dollar budget deficit and foreigners won't lend you money, how do you finance it?
[00:41:19.796 --> 00:41:20.676]  You have to print money.
[00:41:21.656 --> 00:41:23.537]  And then you get into Weimar Germany.
[00:41:23.597 --> 00:41:25.938]  Now, how powerful was the Weimar Germany government?
[00:41:25.958 --> 00:41:33.041]  It wasn't powerful at all, because it inflated everybody into nothing, and people hated it.
[00:41:34.162 --> 00:41:39.984]  Well, a lot of economists say we've already done enough printing to pretty much cause that a few years down the road.
[00:41:42.025 --> 00:41:48.608]  Well, no, nothing like what would be if they have to print the money to pay their bills.
[00:41:49.648 --> 00:41:55.611]  If they can't any longer borrow from the Arabs, and the Chinese, and the Japanese, and even the Russians.
[00:41:55.631 --> 00:42:02.694]  I mean, the Russians owned $100 billion of our Fannie Mae and Freddie Mac mortgages.
[00:42:02.714 --> 00:42:06.636]  I mean, even the Russians are financing Americans' mortgages.
[00:42:06.656 --> 00:42:11.079]  I mean, the Chinese held $400 billion of American mortgages.
[00:42:16.842 --> 00:42:19.643]  We can't even buy our own houses without foreign finance.
[00:42:20.943 --> 00:42:21.924]  This is true.
[00:42:22.084 --> 00:42:25.585]  You have to realize it's not a superpower.
[00:42:25.745 --> 00:42:31.747]  It's a financially dependent country being run into the ground by a bunch of shysters.
[00:42:32.307 --> 00:42:32.987]  No, I agree.
[00:42:34.708 --> 00:42:37.289]  I agree.
[00:42:40.670 --> 00:42:44.751]  So, you know, I don't think Obama will bring change, but I think the
[00:42:45.751 --> 00:43:00.505]  Financial deterioration of the United States will bring change, and I can't say what that change is going to be, whether we're going to pull our boots up and get to work in the right way, or whether we're going to end up in some kind of a worse pickle.
[00:43:01.026 --> 00:43:03.808]  All right, Dr. Roberts, the tyranny of good intentions is the book.
[00:43:03.869 --> 00:43:04.129]  Get it.
[00:43:04.549 --> 00:43:05.370]  Thank you for joining us.
[00:43:06.511 --> 00:43:07.232]  Thank you, Alex.
[00:43:07.352 --> 00:43:07.712]  Goodbye.
[00:43:07.732 --> 00:43:08.273]  There he goes.
[00:43:08.313 --> 00:43:09.314]  Final segment straight ahead.
[00:43:09.374 --> 00:43:09.794]  Stay with us.
[00:43:09.814 --> 00:43:10.275]  Stay the course.
[00:43:11.348 --> 00:43:13.009]  Our beloved republic is on her knees.
[00:43:13.309 --> 00:43:16.130]  The forces of globalism are destroying national sovereignty.
[00:43:16.190 --> 00:43:32.557]  I think the financial deterioration of the United States will bring change, and I can't say what that change is going to be, whether we're going to pull our boots up and get to work in the right way, or whether we're going to end up in some kind of a worse pickle.
[00:43:33.157 --> 00:43:35.938]  All right, Dr. Roberts, Charity of Good Intentions is the book.
[00:43:35.998 --> 00:43:36.238]  Get it.
[00:43:36.679 --> 00:43:37.439]  Thank you for joining us.
[00:43:38.556 --> 00:43:39.257]  Thank you, Alex.
[00:43:39.397 --> 00:43:39.757]  Goodbye.
[00:43:39.997 --> 00:43:40.377]  There he goes.
[00:43:40.417 --> 00:43:41.418]  Final segment straight ahead.
[00:43:41.478 --> 00:43:41.899]  Stay with us.
[00:43:41.919 --> 00:43:42.399]  Stay the course.
[00:43:43.400 --> 00:43:45.081]  Our beloved republic is on her knees.
[00:43:45.361 --> 00:43:48.824]  The forces of globalism are destroying national sovereignty worldwide.
[00:43:48.984 --> 00:43:50.805]  But in liberty's darkest hour, there is hope.
[00:43:51.446 --> 00:43:54.168]  The first time in modern history, the people are beginning to wake up.
[00:43:54.488 --> 00:43:59.932]  It is essential that patriots worldwide accelerate their fellow man's understanding of the New World Order master plan.
[00:44:00.212 --> 00:44:04.135]  We have a short time frame to fully awaken and energize the people to meet this threat.
[00:44:04.455 --> 00:44:09.357]  In the Info War, PrisonPlanet.tv is a powerful weapon in the battle to regain our freedom.
[00:44:09.637 --> 00:44:12.417]  PrisonPlanet.tv is a vault of forbidden information.
[00:44:12.698 --> 00:44:19.540]  All 18 of my documentary films can be downloaded or streamed in super high quality directly to your computer or iPhone and shared with others.
[00:44:19.900 --> 00:44:25.722]  Thousands of special video reports, from tainted vaccines to martial law, can be found in this online video library.
[00:44:25.882 --> 00:44:30.383]  My weekly news television broadcast, thousands of exclusive audio interviews, and so much more.
[00:44:30.723 --> 00:44:33.225]  The Info War is waiting for you to set it free.
[00:44:33.565 --> 00:44:35.206]  Join PrisonPlanet.TV.
[00:44:35.607 --> 00:44:37.388]  Burn the info bombs to disk.
[00:44:37.608 --> 00:44:39.429]  Put them on the file sharing networks.
[00:44:39.750 --> 00:44:41.151]  Bring down the New World Order.
[00:44:41.531 --> 00:44:42.231]  PrisonPlanet.TV.
[00:44:44.278 --> 00:44:45.519]  Hello, I'm Steve Shank.
[00:44:46.059 --> 00:44:52.243]  For the past several months, folks have constantly asked me to give them the date as to when they should be finished stocking up on food.
[00:44:53.024 --> 00:45:03.170]  We've been so beaten up by stock market banking, housing, and unemployment crashes that we're desensitized and frozen inactive like the frog being unknowingly cooked in gradually increasingly hot water.
[00:45:03.630 --> 00:45:04.551]  Well, snap out of it.
[00:45:04.591 --> 00:45:05.572]  We now have a deadline.
[00:45:06.092 --> 00:45:07.533]  Joe Biden said it's going to happen.
[00:45:08.113 --> 00:45:19.440]  Former Secretary of State Colin Powell went on CBS Meet the Press and pointed to about January 22nd as the time a major international incident would force the new president to make unpopular decisions.
[00:45:20.000 --> 00:45:25.703]  Well, I take the general at his word and my best advice is to have your food in your possession prior to the inauguration.
[00:45:26.144 --> 00:45:31.046]  Contact efoodsdirect.com for your supplies prior to this deadline for disaster.
[00:45:31.587 --> 00:45:35.329]  Ask yourself, is it better to have too much too soon or too little too late?
[00:45:35.910 --> 00:45:37.136]  Call 800-409-5633 or on the web efoodsdirect.com
[00:45:43.306 --> 00:45:44.506]  I am so frustrated.
[00:45:44.626 --> 00:45:46.767]  I can't seem to remember anything anymore.
[00:45:46.967 --> 00:45:47.267]  What?
[00:45:47.527 --> 00:45:50.128]  Seriously, my memory and attention span is terrible.
[00:45:50.288 --> 00:45:51.568]  I read something and forget.
[00:45:51.708 --> 00:45:52.868]  I forget people's names.
[00:45:52.968 --> 00:45:56.629]  I hear all this great information on the radio and I want to tell people, but I forget.
[00:45:56.769 --> 00:45:58.410]  I- Okay, slow down.
[00:45:58.510 --> 00:45:59.270]  Pour it.
[00:45:59.350 --> 00:46:00.490]  No questions asked.
[00:46:00.810 --> 00:46:01.910]  No time limit.
[00:46:02.110 --> 00:46:03.391]  Money back guarantee.
[00:46:03.571 --> 00:46:03.891]  Wow.
[00:46:04.091 --> 00:46:04.911]  What's the website?
[00:46:05.131 --> 00:46:06.231]  Now, don't forget.
[00:46:06.472 --> 00:46:08.392]  It's pmemory.net.
[00:46:08.592 --> 00:46:10.532]  The letter P. Memory dot net.
[00:46:15.748 --> 00:46:17.729]  Don't forget I'll be live this Sunday 4 to 6 p.m.
[00:46:17.849 --> 00:46:20.930]  with the abbreviated Sunday edition Central Standard Time.
[00:46:20.950 --> 00:46:23.811]  Be sure and join us then.
[00:46:26.711 --> 00:46:29.152]  We are back live, ladies and gentlemen.
[00:46:29.272 --> 00:46:32.773]  We have Weideman phones again this Sunday.
[00:46:34.874 --> 00:46:36.975]  By the way, this stuff gets worse and worse with Obama.
[00:46:36.995 --> 00:46:43.817]  We're discovering by the minute, we should have done more research on this, we knew it was bad, even the Albuquerque Examiner has the headline
[00:46:44.901 --> 00:46:47.663]  Rahm Emanuel wants compulsory service for your kids.
[00:46:48.143 --> 00:46:50.684]  That's on the Obama website now.
[00:46:50.805 --> 00:46:57.188]  It says your kids are going to have to go serve the government, youth brigades, tattletale squads.
[00:46:57.208 --> 00:46:59.510]  I mean, you can't make this stuff up.
[00:47:00.630 --> 00:47:04.072]  And see, they know, though, they're going to have the brainwashed kids wanting to be part of it.
[00:47:05.933 --> 00:47:10.496]  Let me tell you, look, teenagers with guns, just stay away from them, you little thugs in your little black uniforms.
[00:47:10.556 --> 00:47:13.278]  I mean, just stay away, you anti-American trash.
[00:47:14.158 --> 00:47:17.719]  This is total New World Order Nazism slash Communism.
[00:47:18.359 --> 00:47:21.440]  Folks, the news I'm looking at at InfoWars.com and PrisonPlanet.com.
[00:47:21.820 --> 00:47:22.860]  I'm going to cover it all Sunday.
[00:47:23.861 --> 00:47:26.821]  But if I have guests and take calls, I won't have time.
[00:47:26.841 --> 00:47:28.462]  There's just hundreds of incredible things.
[00:47:28.482 --> 00:47:30.482]  This is all off the chart.
[00:47:31.083 --> 00:47:32.303]  We've got about four minutes left.
[00:47:34.824 --> 00:47:38.144]  I want to bring Ted Anderson up with a gold and silver offer.
[00:47:38.365 --> 00:47:41.285]  And folks, understand, most people can't even get it at a 20, 30, 40, 50 percent premium.
[00:47:44.690 --> 00:47:52.996]  Ted has the national and international sources to get gold and silver because he buys it in bulk at spot.
[00:47:53.937 --> 00:47:57.360]  And then he even buys it when it's down, like it was a week ago, and now it's way up.
[00:47:57.660 --> 00:47:59.561]  And he sells it for what he got it for when it was down.
[00:47:59.882 --> 00:48:02.323]  You cannot find deals better than this.
[00:48:02.344 --> 00:48:03.184]  Believe me, I've looked.
[00:48:04.065 --> 00:48:04.986]  He has Indians.
[00:48:06.104 --> 00:48:09.086]  He has... Well, Ted, real fast, tell them what you've got.
[00:48:09.126 --> 00:48:10.627]  Tell them the gold and silver you've got today.
[00:48:10.867 --> 00:48:15.710]  Well, obviously, one of the very popular coins is that Augustus Saint-Gaudens design, the $10 Indian.
[00:48:15.790 --> 00:48:22.055]  Very beautiful piece, but at the same time, you get so much gold for your melt value, and you're not going to find it anywhere else, that's for sure.
[00:48:22.875 --> 00:48:25.837]  That coin, currently right now, is trading at a price of $673.
[00:48:26.478 --> 00:48:31.781]  It's a $10 Indian, and it's just... you can't beat it.
[00:48:31.821 --> 00:48:35.584]  I mean, that's the coin that was issued by Augustus Saint-Gaudens and Teddy Roosevelt
[00:48:36.482 --> 00:48:37.403]  It's a beautiful piece.
[00:48:37.863 --> 00:48:39.925]  I also have those $5 moderns in MS-70.
[00:48:39.985 --> 00:48:43.047]  I mean, these are slab coins issued by the U.S.
[00:48:43.107 --> 00:48:44.008]  Mint as collector.
[00:48:44.368 --> 00:48:47.350]  They're basically confiscation proof.
[00:48:47.831 --> 00:48:53.896]  You know, the United States government can't call them bullion gold and take them from you because they sold them as numismatic.
[00:48:54.356 --> 00:48:55.837]  So they're at $384.
[00:48:55.917 --> 00:48:58.199]  That also is just a fabulous buy.
[00:48:58.559 --> 00:49:03.863]  Getting close to the melt value like you're talking about, the spot prices, that's the frank at $198.
[00:49:05.114 --> 00:49:05.675]  Well, by the way, I mean...
[00:49:20.421 --> 00:49:24.064]  For the most gold for the least amount of money, it's the Franks, isn't it?
[00:49:24.364 --> 00:49:26.246]  Yeah, that's definitely hands down.
[00:49:26.306 --> 00:49:29.368]  And then the next best deal is the Sovereigns.
[00:49:29.668 --> 00:49:31.049]  You've got an insane deal on Sovereigns.
[00:49:31.069 --> 00:49:36.974]  And to be clear, I bought two Indians yesterday, because it's such a gorgeous coin, it's such a good deal on a collector coin.
[00:49:37.434 --> 00:49:43.179]  I bought two Indians yesterday afternoon from Ted, because you can't find those anywhere near that.
[00:49:43.319 --> 00:49:43.859]  800-686-2237.
[00:49:43.879 --> 00:49:45.640]  800-686-2237.
[00:49:45.841 --> 00:49:54.306]  But the Sovereign and the Franks, those are probably per capita the best deal you're going to find anywhere in the country.
[00:49:54.906 --> 00:49:56.768]  But it's also a great deal on those Indians.
[00:49:56.788 --> 00:49:57.648]  1-800-686-2237.
[00:49:57.668 --> 00:50:03.412]  And Ted, there are going to be brokers there all weekend.
[00:50:03.432 --> 00:50:06.614]  Even though gold is going up right now, you're going to be able to lock that in until Sunday?
[00:50:07.034 --> 00:50:08.696]  Absolutely, we'll hold the prices for them.
[00:50:08.836 --> 00:50:11.598]  And there's going to be people there, how late every evening, the brokers?
[00:50:11.759 --> 00:50:18.385]  Well, you know, a lot of the times they're here till midnight, but, you know, at least till 11 o'clock central time, you'll get somebody live to answer the telephone.
[00:50:18.405 --> 00:50:18.565]  800-686-2237.
[00:50:18.585 --> 00:50:18.625]  800-686-2237.
[00:50:18.685 --> 00:50:19.166]  What about silver?
[00:50:26.232 --> 00:50:27.994]  Silver's also a great buy at this time.
[00:50:28.394 --> 00:50:30.576]  Still, the dimes are the best buy for the money.
[00:50:30.936 --> 00:50:39.102]  They're $1.69, you just can't... Again, small pieces of silver, small pieces of gold, our economy... 800-686-2237.
[00:50:39.122 --> 00:50:40.103]  Ted, thanks for coming on with us.
[00:50:40.303 --> 00:50:40.864]  Thanks a lot, Alex.
[00:50:41.244 --> 00:50:46.388]  All right, retransmission on the web starts now at InfoWars.com and rebroadcasts around the country on the AM and FM shortwave.
[00:50:46.608 --> 00:50:47.289]  God bless you all.
[00:50:47.309 --> 00:50:47.829]  Thanks for tuning in.
[00:50:47.849 --> 00:50:49.831]  We'll be right back in one minute at InfoWars.com.
