[00:00:00.189 --> 00:00:03.351]  So does he.
[00:27:49.151 --> 00:27:57.795]  says that the greatest queen is the royalty in England and that they all claim they're part of that and are part of the same secret societies there.
[00:27:58.115 --> 00:28:02.498]  So regardless of whether it's true or not, they do claim lineage to the pharaohs.
[00:28:03.638 --> 00:28:09.701]  You're absolutely spot-on and you see it doesn't have to be necessarily just bloodline for a certain amount of the top boys.
[00:28:09.801 --> 00:28:13.823]  It is a bloodline connection for everybody else that serves this monster.
[00:28:13.903 --> 00:28:16.805]  It's an ideological connection.
[00:28:17.045 --> 00:28:17.425]  Equally
[00:28:17.964 --> 00:28:19.664]  Equally as bad, equally as pernicious.
[00:28:19.704 --> 00:28:23.705]  These are not people who serve the good of the human race, or for the uplift of the human race.
[00:28:23.745 --> 00:28:29.346]  These are ancient pharaohs who have kept bloodline dynasties, and people better believe that they have not gone away.
[00:28:29.867 --> 00:28:33.867]  The different houses of Europe that I address, you see, and the symbolism that they use.
[00:28:34.348 --> 00:28:45.850]  So as I start to track this back, it starts to explain these things about, like you say, the symbolism behind the coronation, and all the various other symbolism and regalia that we see throughout all of Europe, as well as Britain.
[00:28:46.238 --> 00:28:55.324]  And it was fascinating to see that, you know, how it all went back to this particular individual and his sort of megalomania, this Akhenaten, and his basically solar cult.
[00:28:55.344 --> 00:28:56.545]  These were worshippers of the sun.
[00:28:57.485 --> 00:28:59.947]  They were worshippers of what I refer to as the dark side of the sun.
[00:29:00.808 --> 00:29:04.730]  And, you know, their generation, they were expurged finally from Egypt.
[00:29:04.910 --> 00:29:14.957]  They had basically committed so much desecration on the land of Egypt that finally, you know, in the reign of Akhenaten, the people of Egypt rose up and basically exiled these guys.
[00:29:15.555 --> 00:29:16.075]  All right, stay there.
[00:29:16.095 --> 00:29:16.355]  Stay there.
[00:29:16.395 --> 00:29:17.096]  We'll be back in three minutes.
[00:29:17.116 --> 00:29:18.536]  Michael Desari and stay with me.
[00:29:18.556 --> 00:29:19.296]  We're on the march.
[00:29:19.316 --> 00:29:19.856]  The empire's on the run.
[00:29:45.956 --> 00:29:48.758]  Alex Jones and the GCN Radio Network.
[00:29:52.200 --> 00:29:57.663]  On September 11, 2001, along with hundreds of my fellow troops, I went to ground zero.
[00:29:57.903 --> 00:29:59.264]  And we knew what to do.
[00:29:59.945 --> 00:30:01.025]  Or at least we thought we did.
[00:30:01.225 --> 00:30:07.649]  Truth Rising is a breakthrough 9-11 film that finally gives first responders a platform to tell their story.
[00:30:08.270 --> 00:30:14.974]  Whitman, EPA director on the 18th, made a statement that the air
[00:30:15.657 --> 00:30:16.818]  We're safe to breathe.
[00:30:17.138 --> 00:30:23.964]  This film follows the growing momentum of 9-11 truth as brave souls throughout the world take action against their global masters.
[00:30:24.264 --> 00:30:27.327]  He had his hand over the radio while he was getting a countdown.
[00:30:27.427 --> 00:30:32.651]  He takes his hand off and you hear three, two, one, and it was boom, boom, boom, boom, boom.
[00:30:33.192 --> 00:30:35.834]  This is an emergency transmission worldwide.
[00:30:36.274 --> 00:30:44.121]  Download Truth Rising at PrisonPlanet.tv and aggressively spread it worldwide, or order the DVD at InfoWars.com.
[00:30:46.114 --> 00:30:55.437]  Are you sick and tired of spending your hard-earned money to fill your gas tank?
[00:30:55.757 --> 00:30:57.117]  Then do something about it!
[00:30:57.437 --> 00:31:02.899]  Fuel Saver's Fuel Conditioner lets you drive further on each gallon of fuel, completely safe for all engines.
[00:31:03.019 --> 00:31:12.201]  Just add a small squeeze of product to your tank each time you fill up to improve your fuel economy 10 to 20 percent or more, saving you 35 to 80 cents on every gallon.
[00:31:12.521 --> 00:31:15.022]  Each little 2-ounce squeeze bottle is highly concentrated,
[00:31:15.322 --> 00:31:15.923]  We're good to go.
[00:31:33.995 --> 00:31:34.395]  866-768-7811.
[00:31:36.476 --> 00:31:40.339]  Or get more information at fuelsaverinc.com.
[00:31:40.639 --> 00:31:41.720]  First 10 orders.
[00:31:42.000 --> 00:31:43.721]  Save 10% on a case purchase.
[00:31:43.901 --> 00:31:47.103]  Act now to save on fuel.
[00:31:47.123 --> 00:31:49.145]  866-768-7811.
[00:31:49.365 --> 00:31:50.105]  Call now!
[00:31:51.586 --> 00:31:52.227]  Question.
[00:31:52.427 --> 00:31:56.890]  Is the world getting better or vastly worse?
[00:31:57.090 --> 00:32:00.152]  The world economic collapse could come any day.
[00:32:01.627 --> 00:32:02.148]  Question.
[00:32:02.468 --> 00:32:03.589]  Are you prepared?
[00:32:04.009 --> 00:32:07.573]  Or are you ignoring the signs?
[00:32:07.733 --> 00:32:08.314]  Question.
[00:32:08.514 --> 00:32:12.177]  Do you have 7 years of healthy food for your family?
[00:32:12.257 --> 00:32:12.418]  Answers.
[00:32:12.438 --> 00:32:13.559]  Go to survivalistseeds.com now.
[00:32:13.579 --> 00:32:16.201]  12,000 seeds giving you 5,000 pounds of food for just 4 pennies a pound.
[00:32:30.029 --> 00:32:34.891]  Visit SurvivalistSeeds.com and check out our Doomsday Water Filter System.
[00:32:34.991 --> 00:32:36.672]  Without water, you die.
[00:32:36.752 --> 00:32:40.214]  It's all online at SurvivalistSeeds.com.
[00:32:40.354 --> 00:32:41.374]  Are you prepared?
[00:32:41.414 --> 00:32:43.815]  That's SurvivalistSeeds.com.
[00:32:44.015 --> 00:32:46.096]  Go to SurvivalistSeeds.com.
[00:32:46.236 --> 00:32:50.298]  Do it now or become property of the New World Order.
[00:33:08.819 --> 00:33:15.223]  Michael Tesarian, before we go any further, give out your website for listeners that want to check it out.
[00:33:16.404 --> 00:33:22.968]  Well, it's michaeltesarian.com and the new DVD on technologyarchitectsofcontrol.com.
[00:33:24.554 --> 00:33:25.975]  Yeah, I was checking out the trailer for that.
[00:33:26.035 --> 00:33:27.556]  It looks really powerful.
[00:33:27.596 --> 00:33:30.539]  Tesarian is T-S-A-R-I-O-N.
[00:33:31.019 --> 00:33:32.620]  So micheltesarian.com.
[00:33:35.819 --> 00:33:40.501]  Now again, I don't know if the Queen of England is really related to Moses.
[00:33:41.181 --> 00:33:46.023]  I don't know if she's really related to the Egyptian pharaohs, B.C.
[00:33:46.983 --> 00:33:53.766]  I don't know if the Sun King of France, you know, was really related to Jesus' family.
[00:33:54.346 --> 00:33:56.207]  The point is, they believe they are.
[00:33:56.747 --> 00:33:57.908]  They take it deadly serious.
[00:33:57.948 --> 00:33:59.488]  And I've been inside Bohemian Grove.
[00:33:59.508 --> 00:34:00.709]  People say, oh, that's just a play.
[00:34:01.229 --> 00:34:02.470]  You know, a mock human sacrifice.
[00:34:03.730 --> 00:34:11.056]  Regardless of what it is, those old men that I was with in that crowd of about 1,500 watching the ritual, they were in religious rapture.
[00:34:11.096 --> 00:34:12.037]  They were grinding their teeth.
[00:34:12.077 --> 00:34:14.279]  They were breathing heavy.
[00:34:15.940 --> 00:34:27.129]  Whatever the real ritual was, was over behind some black curtains from the trees across the water before they brought the baby, the small child, the effigy over to burn it before Lilith.
[00:34:28.650 --> 00:34:30.151]  These occultists use different names.
[00:34:30.191 --> 00:34:30.971]  They call it Moloch.
[00:34:31.071 --> 00:34:34.152]  I know that's the bull, but they call their owl Moloch.
[00:34:35.873 --> 00:34:38.574]  They address it as a female, and then as a male deity.
[00:34:39.955 --> 00:34:46.778]  It's all on video in my film, The Order of Death, and then we had somebody else sneak in, who they then set up and sent to prison.
[00:34:47.518 --> 00:34:48.959]  Chris Jones, no relation to me.
[00:34:49.479 --> 00:34:50.819]  So this is really going on.
[00:34:50.939 --> 00:34:53.961]  They really believe this, whether it's true or not.
[00:34:54.061 --> 00:34:59.023]  I know you, from your deep research in Europe and around the world, believe that there is some basis in fact in it.
[00:34:59.703 --> 00:35:01.263]  So let's continue on, Michael.
[00:35:02.384 --> 00:35:03.284]  Well, that's right.
[00:35:03.644 --> 00:35:07.106]  Again, as far as I'm concerned, they believe it in their own heads.
[00:35:07.786 --> 00:35:12.768]  They're not only bloodline connection, they have the ideological henchmen who have sworn allegiance.
[00:35:13.462 --> 00:35:28.537]  For one reason or another, the basic fact is that my researchers did discover this connection to Egypt, not only there, but the basic origin of the Knights Templar, the Order of Sion, just the very Judaic phrases
[00:35:29.151 --> 00:35:32.715]  Which actually, you're more correctly to say, Egyptian atmospheric phrases.
[00:35:32.895 --> 00:35:34.497]  Well, let me stop you right there.
[00:35:34.517 --> 00:35:37.441]  I mean, that's an absolute fact, and that's not even hidden.
[00:35:37.981 --> 00:35:43.507]  That in, you know, basic Masonic literature and basic magic literature, white and black,
[00:35:44.328 --> 00:35:48.492]  It's all about the keys of Solomon, Solomon's ring, the seal of Solomon.
[00:35:49.193 --> 00:35:52.536]  It's all about controlling these djinn, these entities, these angels.
[00:35:53.097 --> 00:35:54.658]  And Solomon was open about it.
[00:35:54.678 --> 00:36:02.506]  It was the secret of Egypt, and the secrets of Greece, and the secrets of Babylon, and the secrets of all of these countries.
[00:36:02.546 --> 00:36:03.347]  And people then say,
[00:36:03.667 --> 00:36:05.627]  Well, the whole New World Order is Judaic.
[00:36:06.027 --> 00:36:10.928]  No, it was the Jews that codified it, and who were big on writing things down.
[00:36:11.208 --> 00:36:18.410]  And so when Alexandria got destroyed in Egypt, and when Rome got destroyed in its libraries, it was the Judaics who carried on the mystery schools.
[00:36:19.450 --> 00:36:19.650]  Right.
[00:36:19.770 --> 00:36:22.530]  Within that, not ordinary Jews, but this elite group.
[00:36:23.330 --> 00:36:24.010]  The Levites.
[00:36:24.030 --> 00:36:25.171]  The Levitical level.
[00:36:25.191 --> 00:36:30.792]  We're talking about the Kabbalistic, Levitical, Mosaic, and also what's called the Gaionim.
[00:36:30.832 --> 00:36:32.792]  This is a word that people have got to become familiar with.
[00:36:33.188 --> 00:36:36.271]  Because it explains the capital G that the masons use.
[00:36:36.351 --> 00:36:40.614]  You know, people want to pick up my Irish Origins of Civilization double volume.
[00:36:40.955 --> 00:37:01.752]  They're going to find chapter after chapter, they're showing this connection between the Judaic elites and the ancient pharaonics and then how that percolates down into modern times through this occult, you know, bloodline, dragon court thread that people really need to be understanding about so they can not only decode the symbolism, but they can find out the roots of this tyranny because we're here in the effects of the tyranny
[00:37:02.145 --> 00:37:04.066]  But we need to know its origins as well.
[00:37:04.506 --> 00:37:07.768]  And the most amazing thing is that these guys mean business.
[00:37:07.908 --> 00:37:09.529]  They lost an empire in the past.
[00:37:10.210 --> 00:37:13.792]  And they subsequently experienced an old world disorder.
[00:37:14.292 --> 00:37:22.857]  And so everything that's being built now, students of the new world order need to realize it's because they're trying to build a new world order to replace an old world order.
[00:37:22.977 --> 00:37:27.240]  And that's why their symbol is the pyramid of the all-seeing eye, which is the black sunshine.
[00:37:28.408 --> 00:37:28.828]  Exactly.
[00:37:28.888 --> 00:37:30.969]  These people do worship the dark side of the sun.
[00:37:30.989 --> 00:37:36.192]  They can rightly be referred... Christians refer to them as Luciferians, and it's perfectly adequate.
[00:37:36.312 --> 00:37:39.594]  And that's what the Nazis' secret highest was, the black sun.
[00:37:41.355 --> 00:37:45.197]  And people say, how could the Zionists and the Nazis worship the same thing?
[00:37:45.377 --> 00:37:46.157]  Because it doesn't matter.
[00:37:46.277 --> 00:37:48.699]  All these people at the top worship the same deal.
[00:37:50.319 --> 00:37:57.263]  How can it be that the same order of the Knights of Malta, the sovereign order of the Knights of Malta, can have members as extreme right?
[00:37:58.223 --> 00:38:05.809]  As Von Papen, and as Herman Goering, and then five minutes later, be initiating into their order, people on the left as Nelson Mandela.
[00:38:05.849 --> 00:38:08.371]  I got a question for people as to why that would be.
[00:38:08.431 --> 00:38:13.495]  They got to realize that behind the large doors, we said earlier, none of these distinctions on the street level mean a dam.
[00:38:13.815 --> 00:38:17.578]  This is an entire, you know, carnival, a dance macabre for people to get caught up in.
[00:38:18.059 --> 00:38:21.741]  You know, it just has no reality, and this is what people need to understand.
[00:38:21.801 --> 00:38:26.285]  If they study the symbolism long enough, if they track it through, and I've done like 30 years of research on this, so
[00:38:26.721 --> 00:38:30.145]  You know, this is the age in which this information is now finally coming to light.
[00:38:31.107 --> 00:38:40.719]  These guys, not only do they fully believe it in their own minds, some of these kings and queens, like Louis XVI of France, and various other potentates have designed entire cities!
[00:38:41.260 --> 00:38:46.384]  Based on Egyptian symbolism, to prove that they believe themselves as the Newborn Sun Kings and Sun Pharaohs.
[00:38:46.404 --> 00:38:48.645]  Yeah, that was the Sun King, and called himself the Sun King.
[00:38:48.685 --> 00:38:54.710]  And then we had Francois Mitterrand admitting that he was channeling Lucifer and going on mountaintops to pray.
[00:38:54.730 --> 00:39:06.918]  Then they had the Japanese architect build a pyramid with 666 pieces of this gold-pink glass, and it has a black pyramid inside.
[00:39:06.938 --> 00:39:09.160]  I mean, this is all right out in the open.
[00:39:10.239 --> 00:39:10.619]  That's right.
[00:39:10.939 --> 00:39:12.200]  I never stop stressing, you see.
[00:39:12.260 --> 00:39:29.765]  I mean, even though I've written a lot on Ireland, you know, the second book in the volume is dedicated to Egypt to show exactly that it came from a specific time, from a specific individual, a specific cult, a specific warped version of solar cultism, you see, and how this continues alive.
[00:39:29.825 --> 00:39:33.046]  That is why there are so many obelisks in Rome and in Vatican City.
[00:39:33.499 --> 00:39:36.921]  That's why Rome has certain, you know, geomantic alignments that it does.
[00:39:37.281 --> 00:39:39.022]  Same thing applies to Washington, D.C.
[00:39:39.242 --> 00:39:41.783]  Same thing applies to Cologne, to Paris.
[00:39:41.803 --> 00:39:45.545]  They believe that they call in spiritual forces from another dimension.
[00:39:46.405 --> 00:39:48.426]  Now, again, whether you believe this or not, folks, the elite believe it.
[00:39:48.466 --> 00:39:51.548]  Explain the sacred architecture.
[00:39:52.628 --> 00:39:53.209]  Well, that's right.
[00:39:53.289 --> 00:39:58.611]  And within masonry, if you look at the highest degrees of masonry, they have that Judaic aspect that you were talking about.
[00:39:58.691 --> 00:39:59.692]  Knights of the Kadosh.
[00:40:00.112 --> 00:40:01.953]  Knights of the, you know, the secret.
[00:40:02.652 --> 00:40:05.334]  You know, all of these weird terminologies they've got right there.
[00:40:05.654 --> 00:40:07.735]  People can see this in the design of the cities.
[00:40:08.055 --> 00:40:12.138]  They can, you know, I have a huge collection of Masonic literature, so we're not making anything up.
[00:40:12.178 --> 00:40:13.418]  This is from the horse's mouth.
[00:40:13.438 --> 00:40:17.861]  You only need to go to the Albert Mackey's and to the actual Masonic encyclopedias.
[00:40:17.881 --> 00:40:20.122]  This is not hard to do, even though it takes a lot of time.
[00:40:20.443 --> 00:40:22.844]  But if people spend the time, you know, see, to peruse our works.
[00:40:23.274 --> 00:40:30.518]  And we put the stuff on DVD, we put it in books, so it's there for people who don't have the time to do all this research, to find out that America is not free.
[00:40:30.598 --> 00:40:39.904]  America has been colonized by the, you know, the royals and the pharaohs of old, and America was ostensibly meant to be the last bastion against these oligarchs, these imperialists.
[00:40:40.304 --> 00:40:47.008]  What the people need to understand, in an America context particularly, is that the imperialism is not gone away.
[00:40:47.309 --> 00:40:52.932]  The stuff that you're seeing now with, you know, the Amaro coming in, and the NAFTA, and the CAFTA, and the destruction of the American Constitution,
[00:40:53.243 --> 00:40:56.105]  This is a form of imperialism that has been insinuating... And take Ireland.
[00:40:56.305 --> 00:41:03.629]  Ireland says no to the Lisbon Treaty, EU expansion, and then they say, we don't care, we're going to bring it back up for another vote, or implement it by fiat.
[00:41:04.750 --> 00:41:08.132]  It's exactly the same way, you know, it's a mafioso situation.
[00:41:08.152 --> 00:41:09.833]  They'll never, this kind of...
[00:41:10.521 --> 00:41:12.802]  Vampire never goes away until it's invited across the globe.
[00:41:12.842 --> 00:41:27.931]  And going back to Egypt, we see it in the Old Testament and in the New, over and over again the Pharaoh would send out to the different slave groups he had and would kill a large portion of their children to keep the slaves at a lower population.
[00:41:28.491 --> 00:41:31.873]  You see the CPS today going out and kidnapping the children.
[00:41:31.893 --> 00:41:39.017]  It's all repeated and they figured out thousands of years ago, thousands of years B.C., how to control societies.
[00:41:40.365 --> 00:41:45.187]  And I want to highlight something you just said a few minutes ago about the kind of dark forces that they're in league with.
[00:41:45.627 --> 00:41:49.108]  Those dark... You know, again, if people don't understand it, that's too bad.
[00:41:49.168 --> 00:41:54.390]  But the fact is, these people do not act in just a material sphere of, you know, of influence.
[00:41:54.430 --> 00:41:56.811]  They are very much tied into something off-world.
[00:41:56.871 --> 00:41:59.472]  They're tied into other dark, angelic forces.
[00:42:00.032 --> 00:42:05.454]  And they have to offer up sacrifices on this planet to those beings that they're in league with.
[00:42:05.714 --> 00:42:09.595]  And that is what, in my view, is, you know, pretty much a lot of the child abduction
[00:42:10.094 --> 00:42:18.966]  The wars, the world wars that we've experienced, and just the general appetite, or not the appetite, but the general, every day, the toxic, you know...
[00:42:20.046 --> 00:42:23.688]  Influx of trauma across the TV, you see, and in our world in general.
[00:42:23.968 --> 00:42:44.098]  They need anxiety, they want to keep people, you know, crippled and... They are changing our neural pathways, showing us millions of simulated murders on TV, traumatizing us, where they now have university studies with the brainwaves, where the area of the brain associated with pleasure, even in quote, quote, mainstream people, is lighting up when they see simulated murders, torture, death.
[00:42:44.138 --> 00:42:46.759]  They are turning us psychically into them.
[00:42:47.873 --> 00:42:55.837]  I couldn't agree more, Alex, and you know, it's a situation of the normal, lower-level sadomasochism that people have multiplied infinitely.
[00:42:56.237 --> 00:43:05.582]  This constant appeal to the limbic and mammalian centers of the brain, you know, and it's a diet, and a diet until you get so used to it that you don't even know what reason is anymore.
[00:43:05.622 --> 00:43:07.103]  You can't critically look at anything.
[00:43:07.383 --> 00:43:16.328]  You have an immediate defense mechanism as soon as they, you know, it's like most of these people that today you have the Internet riddled with Internet assassins and debunkers, so-called, quote-unquote,
[00:43:16.641 --> 00:43:24.405]  And these are people that I describe like the deer in the headlights of the oncoming truth movement who cannot stand that oncoming juggernaut of truth.
[00:43:24.425 --> 00:43:34.931]  And that's the next issue, is the enemy knows throughout history the human spirit rebels, goodness, the light literally blots out their black sunshine as they call it.
[00:43:35.291 --> 00:43:56.664]  And so they're doing everything they can with chemicals and microwaves and frequency pollution and radiation openly, and they write all this in their own documents that we've covered, and we cover in Endgame, Blueprint for Global Enslavement, to pollute our minds with the images, the toxins, all of it overlaid, you know, the brainwashing of the television, both semantically and with the frequency of it, to try to blind us.
[00:43:57.464 --> 00:44:00.026]  And I've seen them go from arrogant to now being fearful.
[00:44:00.386 --> 00:44:01.947]  What are they so afraid of, Michael?
[00:44:03.260 --> 00:44:08.844]  Well, they're always afraid of the human race because this is the serf, you know, that they've been able to enslave.
[00:44:08.984 --> 00:44:20.832]  And of course, the big fear is that that, you know, that particular indentured servant, slave, might in fact wake up and throw away, you know, all of the junk that, you know, basically an age of awakening is what they're fearful of.
[00:44:21.352 --> 00:44:31.959]  Anyone who has control that's surreptitious, anyone who has a catalog of criminality like they have, these are super criminals, mega criminals, the genocides, the colonializations, the war on consciousness,
[00:44:32.369 --> 00:44:39.282]  You know, all the devastation they've wreaked, of course these are criminals who don't want, you know, to be discovered or the light to be shone on them.
[00:44:39.362 --> 00:44:40.725]  I've often said in my work that, hey,
[00:44:41.144 --> 00:44:43.085]  These guys say that they're worshippers of the sun.
[00:44:43.365 --> 00:44:44.405]  They claim to worship light.
[00:44:44.665 --> 00:44:45.426]  Well, what happened to them?
[00:44:45.466 --> 00:44:49.247]  Let's see the effects on them when we turn the light of truth and knowledge onto them.
[00:44:49.327 --> 00:44:50.107]  See how they like it.
[00:44:50.608 --> 00:44:54.729]  Well, Revelation says they traffic in the souls of men.
[00:44:55.109 --> 00:45:00.631]  That's really what's valuable to them, is blinders, shutting people down, darkness, destruction.
[00:45:00.651 --> 00:45:02.192]  Look at the artwork the elite buys.
[00:45:02.592 --> 00:45:04.913]  Buckets of maggots, images of dead babies.
[00:45:05.453 --> 00:45:09.476]  I mean, this is the most popular art across the board worldwide with the elites.
[00:45:09.816 --> 00:45:14.919]  You know, 100 million pounds, sometimes 200 million dollars for one piece of blasphemous art.
[00:45:15.159 --> 00:45:22.204]  And they say, we're buying this art to worship it, to adulate it, to give it the support it deserves.
[00:45:22.244 --> 00:45:23.885]  So, what is their master plan?
[00:45:23.925 --> 00:45:27.247]  If they were to win, what is the world they're trying to set up?
[00:45:27.548 --> 00:45:30.309]  Let's get into the technological enslavement.
[00:45:30.470 --> 00:45:32.511]  They're not trying to set it up, they've already been doing it.
[00:45:32.831 --> 00:45:44.256]  As I said before, this imperialist movement of this juggernaut, we're only seeing the latter days of something that has been a continuous, ongoing, incremental movement, you know, down through history.
[00:45:44.336 --> 00:45:45.936]  Americans tend to, you know, not see that.
[00:45:45.976 --> 00:45:49.498]  They don't see, you know, the whole movement of... Well, Michael, I see it.
[00:45:49.518 --> 00:45:50.878]  I'm talking about their endgame.
[00:45:50.918 --> 00:45:52.599]  They're gearing up for something big.
[00:45:53.719 --> 00:45:58.541]  Well, I believe it's basically... This ties into my work on 2012 and what's coming there.
[00:45:58.581 --> 00:45:59.662]  It's a sort of a zero hour.
[00:46:00.102 --> 00:46:02.383]  This is the death of anything human.
[00:46:02.805 --> 00:46:04.087]  It doesn't mean the death of the planet.
[00:46:04.247 --> 00:46:06.590]  It doesn't mean, you know, the end of nature.
[00:46:07.030 --> 00:46:09.994]  It doesn't even necessarily mean the end of the world.
[00:46:10.114 --> 00:46:16.743]  What it means is that the end, and by God, anyone with their eyes open can see it's already taken place, it's a countdown to the extinction.
[00:46:17.259 --> 00:46:19.781]  Of what we would use when we say the word human.
[00:46:20.081 --> 00:46:24.804]  What we will have after 2012, 2015, you see, is a post-human world.
[00:46:25.104 --> 00:46:35.892]  They're racing headlong, you've dealt with it, and then... And all their futurists, all their futurists, they are saying that they will have it by 2012 to 2020, if it's Kurzweil.
[00:46:36.552 --> 00:46:41.255]  You're right, they are incrementally now, but accelerating it, turning all the systems on.
[00:46:42.396 --> 00:46:45.238]  Well, remember, what they're going to turn on happens
[00:46:46.212 --> 00:46:47.372]  2012 and post.
[00:46:47.973 --> 00:46:52.134]  Before you can turn something on, you gotta end, or bring to an end, that which was before.
[00:46:52.394 --> 00:47:02.417]  So all the idioms, all the customs, the traditions, that all the people of the world, especially of the western world, because the western world is now, as you see, being turned into a third world country, and the third world's rising to be a first world.
[00:47:02.897 --> 00:47:09.459]  What we're heading towards right now is basically a post-human dystopia, in which man is either so reduced to a robotic level,
[00:47:09.963 --> 00:47:26.712]  That he runs even more headlong into the pharmaceutical thing, the drug, and to escape himself, or it will literally be some sort of Blade Runner dystopia in which you are literally, you know, going to be vaccinated in a way that would change your, you know, being, or mess with our DNA.
[00:47:26.752 --> 00:47:35.216]  And by the way, 20 years ago they had live viruses and now they're advertising them that go in and create lobotomies in key areas of the brain.
[00:47:35.256 --> 00:47:38.058]  The viruses attack specific brain tissues
[00:47:38.818 --> 00:47:42.119]  Well, I believe, if you also bring in the whole concept of the GMOs,
[00:48:03.700 --> 00:48:10.525]  You start to discover that the hoarding of the actual organic seeds that nature has produced, they're siloing this, they're archiving it.
[00:48:10.685 --> 00:48:11.786]  Doomsday Vaults.
[00:48:12.646 --> 00:48:12.967]  What's that?
[00:48:13.207 --> 00:48:18.050]  They've created Doomsday Vaults, the Rockefellers and the UN have, because they're going to infect everything.
[00:48:19.091 --> 00:48:20.012]  Right, exactly.
[00:48:20.072 --> 00:48:27.137]  My vision is that they may, in fact, unleash some sort of worldwide plague on the plant life, on the flora.
[00:48:27.757 --> 00:48:32.821]  And then this creates us to either be interned underground or in some sort of silo or dome situation.
[00:48:33.194 --> 00:48:39.115]  In which only the privileged are given the right kind of food, etc., etc., and that person has to be totally conformist.
[00:48:39.415 --> 00:48:42.256]  They either wipe out everybody else... No, that, I mean, let me stop you, Michael.
[00:48:42.316 --> 00:48:44.416]  This is the stated reverse-engineered plan.
[00:48:44.696 --> 00:48:52.578]  They state, you know, that they have black op wars, they have drug wars to build up the police, and they stage terror to expand the criminal control grid.
[00:48:52.858 --> 00:48:56.539]  Then they have smaller controlled bioweapon releases to get us into compact cities.
[00:48:56.819 --> 00:48:59.480]  Then they start the real mass exterminations.
[00:48:59.780 --> 00:49:00.960]  That is the stated plan.
[00:49:02.401 --> 00:49:03.121]  I agree with you there.
[00:49:03.861 --> 00:49:10.483]  I absolutely have come to the same conclusions in my own work, that something along these lines is... People are hearing us now thinking we're talking sci-fi.
[00:49:10.824 --> 00:49:12.084]  This is already happening.
[00:49:12.524 --> 00:49:15.625]  The Monsanto and the GMO is all behind us.
[00:49:15.665 --> 00:49:16.585]  There's something going on.
[00:49:16.965 --> 00:49:22.687]  And it ties back to what we said about the inability to be able to control masses of people through the gun-to-the-head system.
[00:49:22.727 --> 00:49:23.547]  That has been tried.
[00:49:23.587 --> 00:49:24.188]  It doesn't work.
[00:49:24.568 --> 00:49:28.589]  The next kind of colonialism that we're going to experience, the next kind of imperialism, is going to be a genetic one.
[00:49:29.284 --> 00:49:32.347]  You know, we deal with this in the Architects of Control DVD.
[00:49:33.368 --> 00:49:35.190]  That DVD covers a lot of ground, actually.
[00:49:35.670 --> 00:49:40.134]  And it also goes into the psychological question of why people lend themselves to this kind of submission.
[00:49:40.214 --> 00:49:41.355]  I don't know if we have time to talk about it.
[00:49:41.395 --> 00:49:42.096]  No, no, we will.
[00:49:42.156 --> 00:49:43.117]  We have plenty of time.
[00:49:43.137 --> 00:49:44.038]  We're going to have you back soon.
[00:49:44.078 --> 00:49:46.460]  We have a whole other hour and ten minutes coming up.
[00:49:46.520 --> 00:49:53.707]  But the point you're making, Monsanto said in 99, in a public speech, it was in major papers, that they plan to infect everything
[00:49:54.227 --> 00:49:55.707]  So that then no one has a choice.
[00:49:56.087 --> 00:50:03.329]  They admit that this is meant to take over the entire biosphere, and with the Terminator genes and others, end the regular life cycle.
[00:50:03.349 --> 00:50:16.852]  The carbon tax is meant to be a tax on humans, to literally say that humans are bad, with this new guild of millions per country of environmental enforcers, one-child policy, all of this.
[00:50:16.872 --> 00:50:18.232]  I mean, I don't think the public understands.
[00:50:18.512 --> 00:50:22.433]  Hitler, Stalin, Mao, that was only warm-up for what they're getting ready to do.
[00:50:23.479 --> 00:50:24.719]  Well, that's my main point.
[00:50:24.779 --> 00:50:25.279]  It's warm-up.
[00:50:25.299 --> 00:50:27.900]  What we're seeing now is just the preliminary tip of the iceberg.
[00:50:28.480 --> 00:50:28.740]  You know?
[00:50:29.321 --> 00:50:46.665]  Now, this, uh... The Architects of Control DVD is actually dedicated to Jim Keith, and to also Ezra Pound, and these are two people that have a big impact on me, because Jim Keith was always looking, and I know you do as well, at this whole technological leviathan, which is one of the greatest clubs in the hands of the elite.
[00:50:46.905 --> 00:50:48.806]  Stay there, stay there, Michael Tesarian.
[00:50:48.826 --> 00:50:50.246]  We're gonna talk behind the scenes as well now.
[00:50:52.247 --> 00:50:57.370]  Okay, Michael, just to be clear, because you talked about only having an hour, you know you're on with us for a whole other hour, correct?
[00:50:57.811 --> 00:50:58.291]  Yeah, thanks.
[00:50:58.591 --> 00:50:59.051]  Okay, good.
[00:50:59.792 --> 00:51:11.980]  We're on the internet right now, we can skip this break right now, but I don't want to get into any of the main subject you're going to be covering, because I want to share all this with everybody out there on the AM and FM shortwave satellite and the rest of it.
[00:51:14.881 --> 00:51:17.502]  And I keep jumping in because I just want to back up everything you're saying.
[00:51:18.223 --> 00:51:26.366]  I think we need to reach out, like you said 40 minutes ago, to the minions of this, the mid-level servants, who believe the utopia they're being sold.
[00:51:26.526 --> 00:51:29.187]  Most of them, I don't think, understand they're not going to be part of this.
[00:51:29.568 --> 00:51:38.011]  But then on the other side, you have the nihilistic scientists, who I notice are clustered all around bioweapons labs and biology departments, like Eric Pionka.
[00:51:38.412 --> 00:51:40.593]  And the issue is, he says, kill 90% of us now.
[00:51:40.653 --> 00:51:41.493]  They're born Ebola.
[00:51:41.753 --> 00:51:43.154]  He can't wait for his own family to die.
