[00:00:00.009 --> 00:00:02.210]  Rosetta Stone to expose.
[00:24:36.619 --> 00:24:40.641]  And now, live from Austin, Texas, Alex Jones.
[00:24:42.373 --> 00:24:45.495]  Well, he has been fighting the New World Order for a long, long time.
[00:24:45.536 --> 00:24:46.716]  He's a radio talk show host.
[00:24:46.756 --> 00:24:49.739]  He also has a website and done a lot of research.
[00:24:49.779 --> 00:24:55.763]  And I've interviewed a lot of law experts, a lot of people that have been successful, actually found out what's real and what isn't.
[00:24:56.583 --> 00:25:01.827]  And I've been checking out Ralph Winteridge stuff for several years, and it's good info.
[00:25:01.867 --> 00:25:03.108]  It's what I separately have discovered.
[00:25:03.989 --> 00:25:09.113]  You have these thousands of agencies, state, local, federal, international, their private letter of mark.
[00:25:09.893 --> 00:25:13.736]  And the criminal government gives them a letter of marque to operate outside reality.
[00:25:14.137 --> 00:25:17.580]  That's why in the past, even military officers had to be commissioned by Congress.
[00:25:18.360 --> 00:25:25.286]  Well, now you have the complete different operation with private mercenaries, like Blackwater Worldwide, who's now outside the U.S.
[00:25:25.346 --> 00:25:26.847]  coming in and going up against U.S.
[00:25:26.887 --> 00:25:27.308]  citizens.
[00:25:28.629 --> 00:25:35.332]  So I wanted to talk about his research into that, and then just some of the horror stories he's witnessed over the years, and things that are happening.
[00:25:35.913 --> 00:25:48.739]  You know, you hear about England, where if a toddler in a government preschool, they feed them hot sauce there, and if they don't like the hot sauce, that's there, then police come and they're put for life into a racism database and lose all, basically, their liberties.
[00:25:49.740 --> 00:25:50.600]  You think that's crazy.
[00:25:50.620 --> 00:25:51.661]  Well, it's meant to be crazy.
[00:25:51.721 --> 00:25:55.303]  It's meant to get everybody in the system, to get them in now,
[00:25:56.623 --> 00:25:58.288]  And it's the same thing here in the US.
[00:25:58.328 --> 00:25:59.872]  I mean, the government is predatory.
[00:26:00.414 --> 00:26:01.377]  It is coming for you.
[00:26:02.182 --> 00:26:02.582]  Period.
[00:26:02.622 --> 00:26:05.885]  Remember, this is a government that thousands of times marches U.S.
[00:26:06.025 --> 00:26:13.731]  and British troops into gas chambers, murders them in Sarin VX nerve gas tests, and then tells their families they died of the flu.
[00:26:14.132 --> 00:26:19.796]  This is a government that puts mercury in our vaccines, fluoride in our water, sodium fluoride, knowing it hurts us.
[00:26:20.237 --> 00:26:21.678]  We have our own documents on that.
[00:26:22.018 --> 00:26:27.503]  This is a eugenics super state whose number one job, we have our own documents, destroy the family,
[00:26:28.243 --> 00:26:29.404]  Well, I got started in this.
[00:26:29.424 --> 00:26:33.687]  I was in the telecommunications business and I have the largest privately held telephone connect company in Alaska.
[00:26:50.809 --> 00:27:01.034]  And, uh, when I went, uh, to bid this, why, uh, I found out that they had added seven million to a sealed bid, and I took it to the Supreme Court, and, uh, they said they couldn't see the problem.
[00:27:01.074 --> 00:27:02.995]  And I said, what in the world is going on?
[00:27:03.015 --> 00:27:06.256]  I mean, we got a couple of pieces of paper that a ten-year-old kid could figure out.
[00:27:06.296 --> 00:27:08.217]  They added seven million to a sealed bid.
[00:27:09.098 --> 00:27:11.119]  So I got around and I started doing research.
[00:27:11.279 --> 00:27:11.959]  But, but, hold on.
[00:27:11.999 --> 00:27:13.560]  Explain what that means for people.
[00:27:14.349 --> 00:27:20.211]  Well, what that means is, uh, I had a bid for $5 million and these other people had bid, uh, $1.5 million.
[00:27:20.251 --> 00:27:22.472]  They forgot to add in another $7 million.
[00:27:22.933 --> 00:27:30.676]  The bid was opened and, uh, all of a sudden, uh, they allowed them to add $7 million to a sealed bid that had been opened in public.
[00:27:31.996 --> 00:27:35.318]  And I took it to the Supreme Court because this is a real simple issue, right?
[00:27:35.378 --> 00:27:37.199]  I said, you know, the lawyer said, this is good.
[00:27:37.339 --> 00:27:38.039]  I said, what's good?
[00:27:38.079 --> 00:27:38.499]  It's simple.
[00:27:38.819 --> 00:27:40.380]  Go to the Supreme Court of Alaska.
[00:27:41.141 --> 00:27:42.443]  And they said we don't see a problem.
[00:27:42.743 --> 00:27:51.615]  So basically that was in the days before they just did no bid contracts and engaged in whatever fraud they wanted and paid a hundred times what something was worth to their buddy.
[00:27:51.635 --> 00:27:54.479]  I mean now it's just out and out total criminality.
[00:27:54.539 --> 00:27:55.180]  John McCain
[00:27:56.261 --> 00:28:05.708]  Goes to England, goes to the Rothschild Palace, raises a couple million dollars, every dollar is a felony, the news admits it's a felony, and he just says, go to hell!
[00:28:06.208 --> 00:28:11.972]  I mean, they're just completely lawless now, but please continue.
[00:28:12.912 --> 00:28:13.953]  Well, they were there then.
[00:28:14.273 --> 00:28:20.918]  The telecommunications is probably right up there with the absolute rottenest, most corrupt, because I had no idea
[00:28:21.482 --> 00:28:29.730]  When I got into that business, I had to pay up from anywhere from 2 to 5 percent of the bid to get the job.
[00:28:30.391 --> 00:28:33.614]  I was offered money to not complain about losing a bid.
[00:28:34.154 --> 00:28:34.895]  I had no idea.
[00:28:34.915 --> 00:28:43.984]  I mean, it was just rotten clear to the top, and finally the state of Alaska quit going to bid, just because of me, because I took them to the Supreme Court of Alaska a couple times.
[00:28:45.413 --> 00:28:47.234]  And that's what got me started doing this.
[00:28:47.374 --> 00:28:49.595]  By the way, just fighting for AXS TV.
[00:28:50.456 --> 00:28:52.317]  Payoffs to people.
[00:28:52.777 --> 00:28:55.779]  I've got people sent to prison for stealing money.
[00:28:56.780 --> 00:28:58.521]  PIs following us.
[00:28:59.241 --> 00:29:00.482]  All sorts of threats.
[00:29:00.602 --> 00:29:02.243]  Cutting our show off cable.
[00:29:02.783 --> 00:29:04.204]  Literally turning the switch off.
[00:29:04.684 --> 00:29:05.565]  I mean, exactly
[00:29:06.885 --> 00:29:09.206]  I mean, it's just, it's so rotten.
[00:29:09.546 --> 00:29:10.586]  It's kind of like a tree.
[00:29:10.666 --> 00:29:13.027]  In fact, I have a tree in my backyard that we like.
[00:29:13.067 --> 00:29:13.707]  It's an oak tree.
[00:29:13.727 --> 00:29:14.467]  Thought it was healthy.
[00:29:15.027 --> 00:29:18.468]  All of a sudden, a big limb just fell off and there's carpenter ants all in it.
[00:29:18.908 --> 00:29:19.928]  That's basically us.
[00:29:19.989 --> 00:29:23.689]  We look healthy, but under the surface, we're just nothing but a big fat maggot.
[00:29:23.729 --> 00:29:24.110]  Go ahead.
[00:29:25.390 --> 00:29:28.291]  So, anyway, I really got involved in the research.
[00:29:28.371 --> 00:29:33.312]  I actually got the signatures and I ran under the Patriot Party, which was a break-off of Ross Perot.
[00:29:34.011 --> 00:29:38.033]  Unknowing that that was taken over by Farrakhan.
[00:29:38.794 --> 00:29:45.538]  And so anyway, I ran for governor of the state of Alaska, and I saw on the election results, I saw numbers go backwards.
[00:29:45.598 --> 00:29:46.378]  Can you believe that?
[00:29:47.419 --> 00:29:52.182]  They were scared spitless that I would just give... I mean, I wasn't going to win, but they didn't want the party established.
[00:29:53.142 --> 00:30:00.066]  But so anyway, I really got involved in this heavy because I am a guy that I want to do... I want to know what's going on.
[00:30:00.166 --> 00:30:00.987]  I want the real truth.
[00:30:01.738 --> 00:30:04.500]  Because I, and I was looking, I went all over.
[00:30:04.560 --> 00:30:05.901]  I met with the Montana Freeman.
[00:30:05.961 --> 00:30:07.823]  I met with the Republic of Texas people.
[00:30:08.603 --> 00:30:11.646]  And, uh, you know, just to see what was really, what they were up to.
[00:30:11.746 --> 00:30:13.587]  I knew, uh, the Montana Freeman personally.
[00:30:13.607 --> 00:30:17.410]  Uh, and, uh, because back then I had money.
[00:30:18.090 --> 00:30:21.033]  And I got hooked up with Dan Metter, which is now deceased.
[00:30:21.253 --> 00:30:25.956]  And, uh, that's how I got, uh, involved in the, uh, IRS issues.
[00:30:26.257 --> 00:30:27.618]  And then Greg Pound here.
[00:30:27.718 --> 00:30:30.400]  The last year I got involved with the child custody issues.
[00:30:31.487 --> 00:30:33.349]  Before that... And that's what I want to talk about.
[00:30:33.389 --> 00:30:35.831]  That's what I want to talk about is two subjects.
[00:30:36.471 --> 00:30:39.614]  The horror stories of the child issues and how it's totally lawless.
[00:30:40.074 --> 00:30:40.594]  And I've been there.
[00:30:40.614 --> 00:30:41.155]  I've watched it.
[00:30:41.175 --> 00:30:41.755]  I've been to court.
[00:30:41.976 --> 00:30:42.796]  You're right.
[00:30:42.836 --> 00:30:43.897]  It's not even reality.
[00:30:44.558 --> 00:30:47.380]  And I also want to get into, first, these agencies.
[00:30:47.640 --> 00:30:50.102]  For people to understand how illegitimate this government is.
[00:30:51.363 --> 00:30:53.925]  Well, what I discovered is we have no government.
[00:30:55.085 --> 00:31:00.629]  It's been gone a long time, because you have to understand the real basics of a constitutional republic.
[00:31:00.689 --> 00:31:02.811]  If it's of the people, by the people, for the people.
[00:31:03.631 --> 00:31:05.292]  There are some bright line issues.
[00:31:05.673 --> 00:31:08.355]  And by the way, before I forget to say this, the IRS is broke.
[00:31:08.735 --> 00:31:11.437]  It's absolutely, we are attacking it.
[00:31:11.477 --> 00:31:16.220]  But the bright line issues for a constitutional republic are quite simple.
[00:31:16.957 --> 00:31:26.820]  And these are tests that must be made, because anytime someone comes up to you, it's, by what authority are you authorized over my life, liberty, and pursuit of happiness, including property?
[00:31:27.880 --> 00:31:33.462]  For a constitutional republic, if we're the sovereigns, number one, we must have a contract called our constitution.
[00:31:33.962 --> 00:31:37.923]  There's a limited delegation of power called, it's like a limited power of attorney.
[00:31:38.924 --> 00:31:40.724]  Okay, so this person comes up to me.
[00:31:40.984 --> 00:31:43.125]  Okay, your office, powers and duties,
[00:31:43.800 --> 00:31:50.082]  Must be created either by the Constitution or by the Legislature, defining what exercise, what part of it you're going to do.
[00:31:50.122 --> 00:31:51.883]  So number one, we've got to have the office.
[00:31:52.563 --> 00:31:53.503]  That's got to be created.
[00:31:54.104 --> 00:31:58.905]  Number two, to qualify for that office, there's only two ways you get there.
[00:31:59.005 --> 00:32:09.069]  You must have a certificate of election from the qualified electors, or number two, you must have a civil commission of which the signature is the evidence of the appointment.
[00:32:09.109 --> 00:32:11.689]  That was established back in Marbury v. Madison in 1803.
[00:32:11.729 --> 00:32:12.190]  So now we've got
[00:32:13.772 --> 00:32:14.993]  Two ways to get to the office.
[00:32:15.674 --> 00:32:25.644]  Number three, to enter that office, then, you, number one, must have an oath of office, but it's an oath of office as a public officer, which means you have discretion.
[00:32:25.864 --> 00:32:30.329]  Not, they just do oath of office, that's for employees, which I'll get to in a minute.
[00:32:31.510 --> 00:32:36.515]  And then, when you get into this office, after you've done the oath of office as a public officer,
[00:32:37.341 --> 00:32:47.524]  To keep you honest, it was set up to have what's called a performance bond, which is known as official bond, where you must put up your personal asset to make sure you're honest.
[00:32:48.585 --> 00:32:51.506]  Now, in Alaska, we still have all the official bonds on the books.
[00:32:51.546 --> 00:32:54.327]  Would you like to guess how many official bonds we have in Alaska?
[00:32:55.007 --> 00:32:55.347]  None.
[00:32:56.307 --> 00:32:58.568]  You got it, because we had no public officers.
[00:32:59.829 --> 00:33:03.850]  Now, so once that was established, the test that I came to, and
[00:33:04.517 --> 00:33:23.468]  Over the years with child custody in the IRS, and the President of the Senate, Lida Green, she's not going to run anymore, but she's President of the Senate out of Juneau, Alaska, said with agencies, this is right out of her office, we fund them, we do not control them, and they have no oversight.
[00:33:24.588 --> 00:33:32.433]  Now, when you go check... Let me stop you, just an example for laymen out there, Ralph Winterwood, this is so important, this info is dead on, folks, listen carefully.
[00:33:33.920 --> 00:33:34.680]  LCRA.
[00:33:35.200 --> 00:33:37.401]  Private group with quasi-governmental power.
[00:33:37.861 --> 00:33:39.742]  They own most of the water in Central Texas.
[00:33:40.062 --> 00:33:41.062]  They have SWAT teams.
[00:33:41.082 --> 00:33:42.842]  They have cameras all over Austin.
[00:33:43.223 --> 00:33:44.403]  They surveil us all.
[00:33:44.903 --> 00:33:46.083]  They arrest people.
[00:33:46.183 --> 00:33:47.284]  They surveil people.
[00:33:47.804 --> 00:33:51.445]  They tried to, before I even knew who they were,
[00:33:52.165 --> 00:33:57.652]  About 12 years ago, I said to the local radio station, we want to spend a bunch of money advertising.
[00:33:57.712 --> 00:33:58.453]  They don't advertise anything.
[00:33:58.473 --> 00:33:59.794]  It was just these public service announcements.
[00:34:00.055 --> 00:34:01.336]  But we don't like Alex Jones.
[00:34:01.376 --> 00:34:02.598]  We don't want it on his show.
[00:34:03.038 --> 00:34:05.101]  And we don't want him talking about us.
[00:34:05.681 --> 00:34:09.686]  Well, the program director and actually the manager said, I've never heard of anything like this.
[00:34:10.347 --> 00:34:12.689]  But they said they're going to advertise, but don't talk about them.
[00:34:12.729 --> 00:34:13.829]  Did you say something about them?
[00:34:14.510 --> 00:34:16.831]  And I said, no, I don't even know who the LCRA is.
[00:34:16.871 --> 00:34:17.832]  That's why I found out.
[00:34:18.232 --> 00:34:19.993]  I mean, that's how diabolical.
[00:34:20.073 --> 00:34:24.156]  I didn't even know who they were, and they were trying to make payments to keep me quiet.
[00:34:24.196 --> 00:34:25.157]  I mean, do you understand this?
[00:34:26.197 --> 00:34:28.959]  I mean, this folks, it's so shot, you have no idea.
[00:34:29.199 --> 00:34:34.022]  They've got the force, they've got the troops, they've got the machine guns, and they rule you!
[00:34:34.042 --> 00:34:35.583]  And they're going to take your property.
[00:34:35.623 --> 00:34:36.264]  Go ahead, Ralph.
[00:34:37.222 --> 00:34:44.964]  So now, I've tracked this all the way back, and right after the Civil War, they did some very nefarious things.
[00:34:45.804 --> 00:34:51.245]  They usurped the executive and judicial power, the executive power of the United States.
[00:34:52.186 --> 00:34:56.447]  Fifty-nine years later, finally, the Supreme Court got around and restored part of that.
[00:34:56.507 --> 00:35:02.828]  But what they did is they set up what's called independent establishment, which means they're totally outside the government.
[00:35:02.968 --> 00:35:06.149]  And their reason was, well, they'll be free of all political
[00:35:07.390 --> 00:35:09.572]  Uh, people that are working on it, and they'll be a great thing.
[00:35:09.592 --> 00:35:11.454]  They're called independent agencies today.
[00:35:12.094 --> 00:35:15.197]  So what these things are, they sit outside of our government.
[00:35:16.158 --> 00:35:22.343]  And what they do is Congress or the state gives marching orders to these agencies.
[00:35:23.764 --> 00:35:31.611]  Now these agencies, because they are, uh, foreign, they're, they're, uh, they're actually, uh, uh, you can call them foreign and domestic enemies.
[00:35:32.231 --> 00:35:32.752]  What they do,
[00:35:33.413 --> 00:35:49.740]  To rule us then, Congress said we are going to fund these things, and they will publish in the Federal Register, which is the federal newspaper, to give us legal notice, what they are going to do to us.
[00:35:51.016 --> 00:35:56.100]  And in that federal register, these agencies are operating under rules and regulations.
[00:35:56.120 --> 00:35:58.142]  Rules are government and regulations is us.
[00:35:58.442 --> 00:36:00.864]  And they are literally letters of mark.
[00:36:00.984 --> 00:36:08.570]  The Imperium gives them seal to engage in piracy, to engage in forfeiture against the slave enemy.
[00:36:08.630 --> 00:36:14.034]  Just like when the Soviets took over, they called everyone rebels and then gave letters of mark to their agents.
[00:36:14.615 --> 00:36:16.456]  It is, you are the enemy of the government.
[00:36:16.656 --> 00:36:18.898]  They have set forth armies to eat out your substance.
[00:36:19.158 --> 00:36:19.759]  We'll be right back.
[00:36:20.439 --> 00:36:21.820]  I want to talk to him behind the scenes.
[00:36:22.040 --> 00:36:23.781]  I want to get going.
[00:36:23.981 --> 00:36:24.602]  Bring him up, John.
[00:36:24.862 --> 00:36:25.542]  Ralph Winterud.
[00:36:26.563 --> 00:36:26.723]  Yes.
[00:36:26.883 --> 00:36:28.784]  We're still on air, just for the internet audience.
[00:36:29.044 --> 00:36:29.925]  I don't want to waste any time.
[00:36:29.965 --> 00:36:34.207]  We'll come back and get into where you were on the other side, so it's congruent.
[00:36:34.567 --> 00:36:47.275]  But right now, I want to talk to you about... We'll shift gears back into the whole operation they're running, but right now, let's go ahead and start getting into the horror stories with CPS.
[00:36:48.476 --> 00:36:48.716]  Okay.
[00:36:52.506 --> 00:36:52.966]  Go ahead, Ralph.
[00:36:53.006 --> 00:36:54.006]  We're live on air right now.
[00:36:55.267 --> 00:37:01.969]  Okay, well, in these, I was contacted by Greg Pound out of Florida.
[00:37:02.869 --> 00:37:10.892]  And he is, him and I have been working together to get to the bottom of this, of how and what they're doing.
[00:37:10.932 --> 00:37:14.773]  Because he had four children at the time, and one of them was bitten by a dog.
[00:37:15.773 --> 00:37:17.214]  Just not seriously.
[00:37:17.294 --> 00:37:18.634]  And of course, what do you do?
[00:37:18.654 --> 00:37:19.294]  You dial 911.
[00:37:19.515 --> 00:37:20.895]  They took the child to the hospital.
[00:37:21.445 --> 00:37:24.227]  Uh, the next thing you know, they have taken all four of his children.
[00:37:25.247 --> 00:37:30.630]  Now, the, and they showed up with the cops and they took them under force of arms and they took all of his children.
[00:37:31.430 --> 00:37:37.834]  The very two first hearings, uh, that they went to, he was denied any right to enter any evidence.
[00:37:39.034 --> 00:37:45.137]  And once they closed that door, then they do step two is they go into what's called the case plans.
[00:37:45.497 --> 00:37:47.879]  And this is where everybody is sucking off the hind tip.
[00:37:47.899 --> 00:37:48.319]  That means.
[00:37:49.620 --> 00:37:51.340]  The government is getting money.
[00:37:51.400 --> 00:37:52.861]  The psychiatrist is getting money.
[00:37:52.921 --> 00:37:54.141]  The dentist is getting money.
[00:37:54.301 --> 00:37:55.361]  Everybody is getting money.
[00:37:55.421 --> 00:37:58.542]  The lawyers have an allocation of money that they can spend.
[00:37:59.142 --> 00:38:05.563]  So they're all getting this money, and the only objective for him was to, are you going to do the case plan?
[00:38:05.663 --> 00:38:07.043]  So he had to go to anger management.
[00:38:07.083 --> 00:38:10.604]  He had to go in and confess that he had done domestic violence.
[00:38:10.724 --> 00:38:15.945]  Yeah, this is guilty until proven innocent, and then when you sign that, you agree to guilt, and now it's over.
[00:38:16.806 --> 00:38:29.235]  Well, they actually set up, and it's right in, and this is where we started to get this exposed, they actually, in these child protectives, they actually have a group where you, they're actually in there, they're in there to punish you.
[00:38:29.255 --> 00:38:30.256]  It actually says this.
[00:38:30.836 --> 00:38:46.228]  They're in there to punish you, and it's composed of the cops and all of these agency people, people that don't even know anything about you, and all of a sudden they're in control of your life, and they're going to make you do these certain things because you are guilty until proven innocent, and there is no way to prove yourself innocent.
[00:38:46.408 --> 00:38:48.390]  And of course, it's filled with pedophiles.
[00:38:48.510 --> 00:38:56.596]  Just filled with child rapers or just lazy scum that house five or six kids and they beat them, don't feed them enough, and it's all come out.
[00:38:56.876 --> 00:38:59.779]  Five times more likely than any other group to abuse children.
[00:39:00.379 --> 00:39:07.165]  I've gone and covered these events and they're all these demonic little nelly pigmen in uniforms.
[00:39:07.625 --> 00:39:09.807]  I mean, just the most sick filth you've ever seen.
[00:39:10.745 --> 00:39:13.606]  Well, this is where they get around and you discover this.
[00:39:13.706 --> 00:39:21.329]  Well, this is the case where they sent, even the CBS worker went to jail for filing false reports, but they said, we don't care, you'll never see your kids again.
[00:39:21.389 --> 00:39:22.330]  Ha ha ha ha ha!
[00:39:22.630 --> 00:39:33.875]  Yeah, and in Greg Pounds, she filed 26 false reports, and they got around and whitewashed it, and she didn't spend any time in jail, and they didn't do anything about it.
[00:39:33.915 --> 00:39:35.235]  But she's dead now, isn't she?
[00:39:35.816 --> 00:39:37.336]  No, no, no, no, she's still out there.
[00:39:37.456 --> 00:39:39.157]  It was just a young gal.
[00:39:39.616 --> 00:39:43.897]  This was somebody else and another CPS went to jail and then committed suicide or something.
[00:39:44.257 --> 00:39:45.117]  God, I mean, imagine!
[00:39:45.137 --> 00:39:54.459]  This is a different one, but what they do then is, we found this, and the thing is how they protect these pedophiles, people do not know that.
[00:39:54.519 --> 00:40:01.700]  Anytime you take a young child to the hospital for any issue, they get around and send over a report to the child custody folks.
[00:40:02.520 --> 00:40:08.901]  In the Florida regulations, if you are a child provider, foster care,
[00:40:09.665 --> 00:40:15.913]  You are, the hospital is not to report what's going on, so therefore they can be sexually abused.
[00:40:15.953 --> 00:40:18.797]  Yeah, stay there, stay there, because this is bifurcated.
[00:40:18.817 --> 00:40:24.484]  We're going to go back into what agencies are and then later connect back in to the rest of the story with what you're saying now.
[00:40:24.504 --> 00:40:26.247]  Ralph, here we go, full radio show now.
[00:40:35.529 --> 00:40:37.832]  Coming up, Ralph Winterud's going to get into CPS.
[00:40:37.852 --> 00:40:49.024]  At every hospital, every clinic, they upload with computers by law to the local health department that carries out the eugenics operation under the federal charter.
[00:40:50.185 --> 00:40:51.425]  They report on your child.
[00:40:51.505 --> 00:40:53.266]  Neighbors dog bite, some kids are gone.
[00:40:54.086 --> 00:40:58.607]  Child breaks their finger playing peewee football in front of witnesses, CPS is coming, doesn't matter.
[00:40:59.207 --> 00:41:12.850]  Then, once they get them in the pedophile guild clutches, and we're not joking when I mean that, then the hospitals are not allowed to report on sexual or physical abuse, and that's why they're five times more likely in fed zone numbers to abuse children.
[00:41:13.131 --> 00:41:14.611]  This is the sicko force.
[00:41:15.191 --> 00:41:16.993]  I mean, this is a guild of pedophiles.
[00:41:18.174 --> 00:41:23.258]  But the globalists do it because they want to break up families, so they contract with the pedophiles to run this.
[00:41:23.758 --> 00:41:28.282]  I mean, every state they've been caught, Texas, Florida, with pedophiles running the whole system.
[00:41:28.322 --> 00:41:31.325]  It's mainstream news, but the hell force is just increasing.
[00:41:31.585 --> 00:41:32.906]  But I want to get back into that later.
[00:41:33.206 --> 00:41:35.288]  Right now, Ralph, get into what these agencies are.
[00:41:36.509 --> 00:41:42.534]  Well, what I finally discovered, Dan, when they meet none of the qualifications of a public officer that has discretion,
[00:41:43.110 --> 00:41:48.693]  Or they meet none of the qualifications of what's called an officer of the United States or an inferior officer of the United States.
[00:41:49.474 --> 00:41:50.575]  They're all employees.
[00:41:51.355 --> 00:41:52.796]  Now herein lies the danger.
[00:41:53.196 --> 00:41:54.237]  You can't fire them.
[00:41:54.857 --> 00:41:55.998]  They don't work for us.
[00:41:56.338 --> 00:41:57.699]  You can't hold them accountable.
[00:41:57.879 --> 00:41:59.860]  It's almost impossible to sue them.
[00:42:00.320 --> 00:42:05.643]  Now if they all look like they had turbines like out of Iraq or Iran, we'd know what they were.
[00:42:06.504 --> 00:42:09.866]  But they're sitting out here and they're funded by the state or by the feds.
[00:42:10.786 --> 00:42:12.126]  And they're all employees.
[00:42:12.467 --> 00:42:13.887]  And that's called ministerial duties.
[00:42:13.987 --> 00:42:15.607]  They hold no public office.
[00:42:15.627 --> 00:42:16.648]  They have no discretion.
[00:42:16.688 --> 00:42:19.568]  They are mandated to work by the rules and regulations.
[00:42:19.608 --> 00:42:22.489]  That's the only thing that holds them accountable.
[00:42:22.609 --> 00:42:24.310]  They are no part of a government.
[00:42:24.430 --> 00:42:26.290]  We have no constitutional republic.
[00:42:26.310 --> 00:42:30.191]  If people use this word agency, it's got nothing to do with us.
[00:42:30.512 --> 00:42:31.932]  I've researched out the
[00:42:32.754 --> 00:42:34.515]  Uh, police, like in Alaska, they're troopers.
[00:42:34.555 --> 00:42:35.596]  They're paramilitary.
[00:42:35.656 --> 00:42:37.457]  I heard this guy get up and testify.
[00:42:37.477 --> 00:42:39.999]  He says, we're paramilitary, which means we're outside the government.
[00:42:40.019 --> 00:42:41.060]  They're just like Blackwater.
[00:43:02.833 --> 00:43:06.095]  This is so far-fetched they won't even consider the truth, the facts.
[00:43:07.276 --> 00:43:15.201]  I sit in this court and I listen to him describe their definition of force, the Alaska State Troopers, is force up until you submit.
[00:43:15.301 --> 00:43:17.983]  And he said we operate under the use of force continuum.
[00:43:18.503 --> 00:43:20.265]  Level 1, officer present.
[00:43:20.385 --> 00:43:22.246]  Level 2, orders, our military orders.
[00:43:22.719 --> 00:43:24.820]  Level 3 is our soft hand techniques.
[00:43:24.880 --> 00:43:26.361]  Level 4 is pepper spray.
[00:43:26.801 --> 00:43:31.383]  The next level up is we go to batons and then we go up to guns.
[00:43:31.884 --> 00:43:35.806]  And that's why worse than Abu Ghraib, torture happens everywhere.
[00:43:35.826 --> 00:43:41.929]  I have video in Martial Law, my film, with him breaking men and women's arms for not getting up off a sidewalk.
[00:43:42.429 --> 00:43:51.835]  And then now, in Canada, they say if they catch you without a ticket on a train or a bus, it says you are tasered for punishment, and the police chief came out and said, yes, we now punish you.
[00:43:51.855 --> 00:43:53.276]  I mean, that's Judge Dredd.
[00:43:53.336 --> 00:43:54.716]  They now punish you.
[00:43:55.837 --> 00:43:56.958]  Well, they don't work for us.
[00:43:57.018 --> 00:44:01.801]  And right out of the Wasilla police manual I got, it says we are professionals at making citizens arrest.
[00:44:02.961 --> 00:44:04.062]  They have no police power.
[00:44:04.082 --> 00:44:05.363]  It says they have no police power.
[00:44:06.428 --> 00:44:11.130]  They're hired guns, just like black... By the way, these new auxiliary police in England say the same thing.
[00:44:11.410 --> 00:44:17.532]  They say, we're authorized under English common law, but see, then they tell us we can't exercise our common law.
[00:44:18.873 --> 00:44:23.195]  That's true, and the other part of this is, see, they can beat the living daylights out of us.
[00:44:23.735 --> 00:44:26.956]  If you touch one of them, you can be charged with a crime.
[00:44:27.438 --> 00:44:28.079]  You just touch it.
[00:44:28.099 --> 00:44:28.799]  Just take your finger.
[00:44:28.819 --> 00:44:29.880]  I've already tried these things.
[00:44:30.420 --> 00:44:32.602]  It's a wonderland for control freak cowards.
[00:44:32.622 --> 00:44:35.204]  They get to rape, kill, abuse, rape children.
[00:44:35.224 --> 00:44:46.152]  I mean, folks, when you read about the Texas Youth Commission, where every facility was raping children, making films, having public rape parties, public gladiatorial fights.
[00:44:46.292 --> 00:44:48.834]  I mean, just something out of a nightmare.
[00:44:49.474 --> 00:44:51.816]  It's just... I call them the Hell Force, Ralph.
[00:44:51.876 --> 00:44:53.878]  I mean, the Hell Force is among us.
[00:44:55.185 --> 00:44:56.226]  Well, let me tell you this.
[00:44:56.566 --> 00:45:09.095]  Right out of the Federal Register, first of all, there's an Act of Congress, I think it's 97 or 98, under Clinton, that says they are going to average out the three-year baseline of kids to adopt.
[00:45:09.135 --> 00:45:15.280]  There's mandatory requirements for the feds for, if you're in the state program, to get money to adopt.
[00:45:16.080 --> 00:45:18.862]  And they give $4,000 for the healthy ones, $2,000 for the crippled ones.
[00:45:21.793 --> 00:45:28.295]  And that's above the baseline, so every year the baseline keeps increasing, so that's an automatic self-destruct for our families.
[00:45:29.016 --> 00:45:43.061]  And number two in the Federal Register... Let me be clear, the bounty for the number of children that must be kidnapped is increasing, and they just have a cold-blooded bounty, and they go after nice families, because CPS has found, why trash will blow your head off?
[00:45:43.641 --> 00:45:44.001]  Okay?
[00:45:44.781 --> 00:45:48.163]  You know, they don't like messing with the tough types or criminal types.
[00:45:48.463 --> 00:45:51.984]  They like the nice little family that keeps thinking, well, I'm innocent.
[00:45:52.404 --> 00:45:53.645]  I'll get my child back someday.
[00:45:53.665 --> 00:45:56.686]  And the fat pedophile says, yeah, you'll get him back someday.
[00:45:56.706 --> 00:46:02.528]  And you can just see him, big, fat, disgusting, demonic, child-raping, filled from hell.
[00:46:03.048 --> 00:46:07.150]  The last, what, five, six heads of the CPS in Florida have been child rapists.
[00:46:07.550 --> 00:46:09.891]  You must be a convicted child rapist to get a job.
[00:46:10.011 --> 00:46:11.131]  We're on the march to the empire.
[00:46:11.152 --> 00:46:11.952]  Let me talk to Rennerud again.
[00:46:12.512 --> 00:46:13.953]  Wynnerud, I'm sorry, I keep interrupting you.
[00:46:13.993 --> 00:46:15.494]  Everything you say makes me so mad.
[00:46:15.534 --> 00:46:18.076]  These bastards, murdering scumbag.
[00:46:18.256 --> 00:46:19.557]  They also kill a lot of the kids.
[00:46:20.218 --> 00:46:21.839]  When we come back, let's get into CPS.
[00:46:21.859 --> 00:46:27.824]  But right now, continue with these out-of-control rogue agencies and the few ways you've found to stop these bastards.
[00:46:28.904 --> 00:46:36.530]  Well, I'm going to be getting back into child custody, but let me just make one more comment there that's absolutely astounding.
