[00:00:05.074 --> 00:00:05.714]  This agenda.
[00:27:01.321 --> 00:27:12.508]  Yeah, and matter of fact, they did pass a couple years ago, I think it was in 96, in the supplemental serious erosion of Posse Comitatus, and it was finally exposed, and then it was in a way reversed.
[00:27:13.255 --> 00:27:13.896]  I don't know.
[00:27:23.730 --> 00:27:25.710]  Because when push comes to shove, they're going to ignore it.
[00:27:25.830 --> 00:27:28.071]  But they would change the law when they get the opportunity.
[00:27:28.111 --> 00:27:32.712]  And this new administration, I'm sure, would be quite capable of doing it, even without the Congress.
[00:27:32.912 --> 00:27:34.592]  You know about executive orders.
[00:27:34.792 --> 00:27:37.673]  Sir, in closing, two final questions in the two minutes we have left with you.
[00:27:38.133 --> 00:27:50.815]  Did you see the article in the Financial Times of London admitting that they've covertly set up world government, the headline, and now for world government, admitting... I mean, do they need to apologize to all the people that called us kooks because we were reading the internal white papers?
[00:27:52.055 --> 00:27:54.636]  Well, no, they're not going to apologize.
[00:27:54.696 --> 00:28:05.558]  I didn't happen to see that article, but, you know, when Bernanke was before the committee the last time, I wanted to know what kind of international plans he had, you know, for the currency and the World Central Bank.
[00:28:05.578 --> 00:28:08.999]  Of course, he has no obligation to answer any of those questions.
[00:28:09.960 --> 00:28:12.560]  He has a moral obligation, but under the law, he doesn't.
[00:28:12.580 --> 00:28:13.921]  Under the Constitution, he should.
[00:28:13.941 --> 00:28:17.221]  So, yeah, I think those plans are being laid.
[00:28:17.682 --> 00:28:19.282]  People say, well, it's not going to happen.
[00:28:19.795 --> 00:28:39.147]  Well, you know, they used to say that the European Union would never happen, so I think we should take this stuff seriously, and this morning there was a pretty strong announcement by the IMF that their vehicle is going to be these SDRs, these Special Drawing Rights, what they used to call pay-per-gold, will be the worldwide reserve currency.
[00:28:39.307 --> 00:28:40.628]  They tried to do it, it didn't work.
[00:28:41.068 --> 00:28:42.649]  But now they see another opening.
[00:28:42.709 --> 00:28:45.290]  So it's world government of and by the bankers.
[00:28:45.350 --> 00:28:49.311]  Sir, as a rallying cry, we can defeat this world government, can't we?
[00:28:49.331 --> 00:28:50.071]  What do the people need to do?
[00:28:50.352 --> 00:28:55.714]  Well, the truth is on our side, and also the economic policy is on our side.
[00:28:56.114 --> 00:29:01.516]  The most important thing is information to the people so they know what we're doing, know what's in their best interest.
[00:29:02.136 --> 00:29:04.817]  Not to have people in Congress keep voting for bailouts.
[00:29:05.505 --> 00:29:07.267]  And as you said earlier, they are coming after the Internet.
[00:29:24.379 --> 00:29:30.241]  The more knowledge is out there, the more we can make inroads to the average person that does appear to control everybody's mind.
[00:29:30.341 --> 00:29:31.622]  I want you to have a great Christmas.
[00:29:32.002 --> 00:29:33.502]  Alex Jones here with a question.
[00:29:33.682 --> 00:29:35.123]  What does humidity mean to you?
[00:29:35.443 --> 00:29:42.845]  Most people think of hot and sticky summer days, but many people are beginning to realize that humidity can be a valuable source of pure drinking water.
[00:29:43.246 --> 00:29:46.087]  That's why I'd like you to visit acolablue.com.
[00:29:46.447 --> 00:29:49.968]  Acolablue is a state-of-the-art atmospheric water generator.
[00:29:50.328 --> 00:30:02.331]  Producing purified drinking water from the humidity in the air using reverse osmosis and a five-stage carbon and UV light filtration system which produces great tasting water at an unbeatable price.
[00:30:02.892 --> 00:30:04.892]  Finally, drinking water that you control.
[00:30:05.192 --> 00:30:06.193]  I use one every day.
[00:30:06.613 --> 00:30:12.054]  Say goodbye to expensive water delivery services and storing five gallon bottles of water in your home.
[00:30:12.294 --> 00:30:18.056]  The Ecola Blue 28 is shipped right to your home ready to make close to seven gallons a day right out of the box.
[00:30:18.676 --> 00:30:20.478]  They have a 30-day money-back guarantee.
[00:30:20.798 --> 00:30:22.320]  Call Ecola Blue right now at 866-585-4044.
[00:30:22.400 --> 00:30:22.600]  That's 866-585-4044.
[00:30:22.620 --> 00:30:23.941]  Or visit Ecola Blue at ecoloble.com today.
[00:30:31.960 --> 00:30:32.301]  I'm good.
[00:30:53.123 --> 00:30:53.704]  I don't know.
[00:31:16.001 --> 00:31:24.351]  Pure A'Clear also has ingredients selected to promote improved circulation to enhance activity so that heavy metals may be more effectively captured and removed from the body.
[00:31:24.471 --> 00:31:27.815]  Order Pure A'Clear now by calling Ripple Creek at 203-331-0363 or go to RippleCreek.com
[00:31:32.449 --> 00:31:40.094]  How many times have you been in the dark looking for a flashlight, only to find the one that you have is broken, the batteries are dead, or it's just not bright enough?
[00:31:40.515 --> 00:31:41.695]  You need the Paclite.
[00:31:42.136 --> 00:31:49.981]  The Paclite is the longest-lasting flashlight on the market and simply snaps onto any 9-volt battery and uses two high-powered LED lights.
[00:31:50.341 --> 00:31:53.523]  It's small enough to carry in your pocket, car, garage, and home.
[00:31:53.924 --> 00:31:58.347]  The Paclite can survive severe impact, be frozen solid, and still work flawlessly.
[00:31:58.747 --> 00:32:00.008]  The Paclite is so durable,
[00:32:00.268 --> 00:32:04.673]  Soldiers overseas rely on them and has been featured in the New York Times and Backpacker Magazine.
[00:32:05.113 --> 00:32:09.397]  The PackLite comes with a 25 year warranty and prices start at just $12.99.
[00:32:09.778 --> 00:32:16.444]  To learn more and see for yourself just how incredible this small flashlight can be, visit 9voltlite.com.
[00:32:16.765 --> 00:32:19.347]  That address again is 9voltlite.com.
[00:32:20.288 --> 00:32:21.851]  Or call us today at 877-715-4448.
[00:32:21.871 --> 00:32:22.071]  That's 877-715-4448.
[00:32:31.581 --> 00:32:35.162]  When you're out driving this holiday season, keep in mind you're being watched.
[00:32:35.462 --> 00:32:41.324]  Whether you know it or not, red light and speed cameras are everywhere ready to snap a photo of your license plate.
[00:32:41.984 --> 00:32:48.406]  One simple, harmless error could end up costing you over $500, quickly putting an end to your holiday cheer.
[00:32:48.867 --> 00:32:50.367]  Fight back with Photoblocker.
[00:32:50.747 --> 00:32:52.888]  Simply spray your plate once and you're done.
[00:32:53.488 --> 00:32:57.971]  Any photos of your license plate will appear overexposed, making them virtually unreadable.
[00:32:58.331 --> 00:33:02.373]  See the newscast showing just how Photoblocker works against traffic cameras.
[00:33:02.713 --> 00:33:11.738]  Christmas is here and the economy is in bad enough shape without spending hundreds of dollars in fees that can be avoided with one simple application of Photoblocker.
[00:33:12.038 --> 00:33:13.539]  Go to SprayYourPlate.com.
[00:33:13.859 --> 00:33:16.641]  That's SprayYourPlate.com or call 1-800-276-9601.
[00:33:16.801 --> 00:33:17.041]  That's 1-800-276-9601.
[00:33:23.164 --> 00:33:24.685]  Thank you for listening to GCN.
[00:33:24.705 --> 00:33:25.925]  Be sure to visit GCNlive.com today.
[00:33:42.234 --> 00:33:54.620]  If we can project the future through a historical lens with a wide range of data integrated in to the great gift God gave us our mind
[00:34:11.747 --> 00:34:14.068]  We can accurately forecast the future.
[00:34:17.108 --> 00:34:20.469]  I have accurately forecasted the future on hundreds of occasions.
[00:34:24.250 --> 00:34:33.332]  But somebody's been doing it a lot longer than I have, and with amazing, I'd say 95 plus percent accuracy, is Gerald Cilente.
[00:34:34.244 --> 00:34:46.067]  Now, over a year ago, the British Ministry of Defense basically forecasted everything they're doing right now, and they admitted that they basically work for foreign offshore banks, that it's a world government, and that this is being done by design.
[00:34:46.507 --> 00:34:49.588]  This year, the military, the Pentagon, and the U.S.
[00:34:49.608 --> 00:34:55.770]  put out a similar report, but they know the general public is not reading these reports, so a lot of this isn't even forecasting for myself.
[00:34:56.830 --> 00:35:00.691]  It is going out and reading what the internal government documents are stating.
[00:35:02.663 --> 00:35:08.826]  And if we do not face up to what's happening, if we do not face up to what's unfolding, it is only going to get worse.
[00:35:08.907 --> 00:35:13.849]  Now, the military is broad, paints with a broad brush when they talk about this.
[00:35:13.909 --> 00:35:22.374]  Gerald Solente has been very specific that there would be worldwide riots starting, and he said that about a year ago.
[00:35:23.496 --> 00:35:25.217]  And now, voila, we see it happening.
[00:35:25.598 --> 00:35:33.164]  And now we see the IMF, World Bank, and others echoing this, and the military saying that they are prepared to suppress the American people.
[00:35:34.164 --> 00:35:38.828]  They also spin this in the media and say the Greeks are rioting because the police shot a 15-year-old in the back.
[00:35:40.640 --> 00:35:46.584]  But if you read the Greek websites, the Greek news, they're saying, no, everything's being privatized.
[00:35:46.704 --> 00:35:47.705]  And that's not free market.
[00:35:48.125 --> 00:35:53.249]  The roads, the power plants, the universities, it's all being handed over to the IMF and World Bank.
[00:35:53.549 --> 00:35:54.249]  They're being looted.
[00:35:54.269 --> 00:35:55.010]  They're being robbed.
[00:35:55.030 --> 00:35:56.251]  They're losing all their jobs.
[00:35:57.992 --> 00:35:59.913]  Their currency's being devalued.
[00:36:00.774 --> 00:36:03.816]  The European Union is absorbing them and destroying them.
[00:36:04.412 --> 00:36:11.396]  And just last week, the Financial Times of London admitted that the New World Order is anti-democratic and is tyrannical, but that's a good thing.
[00:36:13.637 --> 00:36:23.042]  Evan Zandros Pritchard came out on The Telegraph last Thursday and said that we're going to see riots worldwide because of globalism and because it is tyrannical.
[00:36:23.643 --> 00:36:25.003]  So here we have it.
[00:36:25.103 --> 00:36:26.184]  It's unfolding.
[00:36:27.005 --> 00:36:31.247]  But we're going to get specific forecasts in the next hour and a half from Gerald Cilente.
[00:36:32.874 --> 00:36:41.959]  On what he specifically sees happening in the next month, the next year, the next two years, the next three years, and then some solutions, how we prepare for it in his educated opinion.
[00:36:42.359 --> 00:36:50.844]  You can go to his website, TrendsResearch.com and watch all the videos of him going back decades ago, making accurate predictions years beforehand.
[00:36:51.850 --> 00:36:59.274]  And of course, CNN, ABC, Fox have all called him, you know, the best predictor of future trends out there.
[00:36:59.835 --> 00:37:04.357]  And so we're very, very honored to have him on the show with us today.
[00:37:04.417 --> 00:37:06.158]  Mr. Salente, it's good to have you back with us.
[00:37:06.659 --> 00:37:08.240]  Oh, thanks so much for having me, Alex.
[00:37:09.780 --> 00:37:10.161]  You know what?
[00:37:10.201 --> 00:37:15.804]  Instead of Alex Jones throwing out a bunch of questions out of the gate, what is most important to Gerald Salente right now?
[00:37:16.650 --> 00:37:22.192]  So, what do listeners need to know is coming up in the future, according to your crystal ball?
[00:37:23.292 --> 00:37:24.512]  Well, you really hit upon it.
[00:37:26.553 --> 00:37:27.993]  We're going to see revolutions.
[00:37:28.373 --> 00:37:30.274]  This whole system is falling apart.
[00:37:30.734 --> 00:37:32.414]  There is no salvaging it.
[00:37:33.194 --> 00:37:45.998]  When you look at the steps that are being taken, we call it the Bernanke II step, after the Federal Reserve Chairman, and that of course is either adjust interest rates, which they've now adjusted
[00:37:46.468 --> 00:37:52.311]  To the point where they can't be adjusted anymore, or print more money.
[00:37:53.512 --> 00:37:54.492]  And they've done both.
[00:37:55.052 --> 00:38:01.336]  And neither of those two actions have stemmed the unraveling of the U.S.
[00:38:01.396 --> 00:38:04.777]  economy, or the world economy for that matter.
[00:38:05.798 --> 00:38:16.043]  The governments, the local state governments, including of course the federal government as well, the only other solution that they're doing is they're squeezing the little people
[00:38:16.926 --> 00:38:17.686]  For more money.
[00:38:18.006 --> 00:38:21.668]  Back here in New York, I'm sure it's making the national news as well.
[00:38:22.268 --> 00:38:25.749]  They put taxes as much as 18% on soda pop.
[00:38:27.850 --> 00:38:29.091]  8% for a taxi ride.
[00:38:29.251 --> 00:38:32.412]  They just increased the transit fares.
[00:38:32.932 --> 00:38:38.014]  And in doing so, they've decreased the amount of available subways.
[00:38:38.394 --> 00:38:39.815]  Cutting back on the buses.
[00:38:40.255 --> 00:38:44.316]  They're even bringing in new subway cars now to really squeeze the little people.
[00:38:44.756 --> 00:38:46.177]  Just like they do in China.
[00:38:46.853 --> 00:38:49.474]  Well, you were saying that a year ago.
[00:38:49.494 --> 00:38:53.175]  Now they've announced, as you said, 88 new taxes in New York State alone.
[00:39:05.263 --> 00:39:07.344]  Uh, hundreds of other taxes all over the place.
[00:39:07.404 --> 00:39:10.585]  The people just don't have the money to pay for all of this.
[00:39:11.025 --> 00:39:19.489]  And so, as the IMF and World Bank document stated in late 2001, they want the people to riot so they can then bring in the army against them.
[00:39:19.529 --> 00:39:23.130]  We've had decades of secret training by the military to take over the West.
[00:39:23.690 --> 00:39:33.541]  Now they're announcing from France to Germany to England to the United States to Canada that indeed, you know, it's in major papers, martial law is good, the troops will suppress you.
[00:39:33.561 --> 00:39:36.845]  I mean, this really is a financial coup we're witnessing.
[00:39:36.885 --> 00:39:37.606]  Can you speak to that?
[00:39:38.347 --> 00:39:40.509]  Well, it is definitely a financial coup.
[00:39:41.490 --> 00:39:44.934]  Wall Street has hijacked Washington in broad daylight.
[00:39:46.179 --> 00:39:50.081]  And now, as we know, of course, you know, the U.S.
[00:39:50.281 --> 00:39:55.424]  Treasury Secretary, Henry Paulson, is a Goldman Sachs man, former CEO.
[00:39:55.944 --> 00:40:01.467]  They're bringing in now Obama, backtrack Obama, we call him, the man of change.
[00:40:01.527 --> 00:40:02.847]  Of course, there's no change.
[00:40:03.308 --> 00:40:10.491]  They're bringing in Timothy Geithner, the Federal Reserve Chairman, the Federal Reserve Bank President of the New York Federal Reserve.
[00:40:14.711 --> 00:40:19.634]  And, you know, they're just bringing the whole crew of Wall Street people running Washington.
[00:40:19.935 --> 00:40:23.597]  So it's being done in broad daylight, as well as these bailouts.
[00:40:24.037 --> 00:40:42.750]  They may have all the plans in place, and they may be very, you know, the Illuminati, so to speak, may have their agenda laid out, but when you see what's going on, it has to be the un-Illuminati that's executing their plans.
[00:40:43.362 --> 00:40:50.727]  Because no matter what they do, they're not going to be able to stop the amount of uprising that's going to pour forth.
[00:40:51.407 --> 00:40:58.251]  You know, I'm a Bronx boy originally, and I know what the city looks like.
[00:40:59.412 --> 00:41:02.454]  We have a saying here at the Trends Research Institute.
[00:41:03.795 --> 00:41:09.098]  When people lose everything, and they have nothing to lose, they lose it.
[00:41:09.915 --> 00:41:13.077]  And this is what these white-shoe boys don't understand.
[00:41:13.117 --> 00:41:24.545]  You know, the Princeton-Harvard-Yale crowd, you know, that have had the silver spoon... They're arrogant yuppies who think they're God and have disdain for everybody, and they think it's cute they've stolen $8.5 trillion.
[00:41:25.826 --> 00:41:28.087]  And those numbers are two weeks old now, folks.
[00:41:28.167 --> 00:41:29.608]  It's over a trillion, three hundred billion.
[00:41:29.628 --> 00:41:31.729]  They steal a week, so it's over ten trillion.
[00:41:31.749 --> 00:41:33.651]  You watch the next week or two, that number will come out.
[00:41:33.691 --> 00:41:36.612]  But 8.5 trillion admittedly stolen.
[00:41:37.112 --> 00:41:43.896]  And these arrogant yuppies, these arrogant frat boys are telling Congress, you don't get to know where the money went.
[00:41:44.176 --> 00:41:45.837]  And we have the Army standing by.
[00:41:45.877 --> 00:41:47.038]  That's what Paulson told them.
[00:41:47.698 --> 00:41:50.240]  I mean, this is insane.
[00:41:51.093 --> 00:41:52.955]  Megalomaniacal hubris.
[00:41:52.995 --> 00:41:54.076]  So where is this going?
[00:41:54.116 --> 00:42:00.841]  I mean, is they just openly hijack everything, steal everything, and say, we're going to squeeze you down to nothing?
[00:42:01.422 --> 00:42:02.082]  Exactly.
[00:42:02.242 --> 00:42:05.945]  And what we're saying is, it's going to be beyond their control.
[00:42:06.586 --> 00:42:10.169]  This is the beginning of the second revolution.
[00:42:10.189 --> 00:42:13.391]  And it's going to be worldwide.
[00:42:13.872 --> 00:42:15.273]  There's no stopping it.
[00:42:15.433 --> 00:42:17.615]  So as the trends that we're looking at for 2009,
[00:42:19.505 --> 00:42:21.946]  The revolution is the third among them.
[00:42:22.006 --> 00:42:28.049]  The first one that's going to begin to precipitate this is the Great Collapse.
[00:42:30.131 --> 00:42:36.154]  As you well know, exactly this time last year, we came out with the panic of 2008.
[00:42:36.754 --> 00:42:41.577]  We said Americans would wake up in 2008 and the financial markets would unravel.
[00:42:41.597 --> 00:42:42.837]  There would be no stopping it.
[00:42:43.317 --> 00:42:45.519]  Now we're saying it's going to be the collapse of 2009.
[00:42:46.579 --> 00:42:48.020]  And let me explain why.
[00:42:48.644 --> 00:42:54.545]  In 2008, most of the focus of the media has been on the financial markets and the real estate markets.
[00:42:55.185 --> 00:42:56.466]  Of course, they're intertwined.
[00:42:57.026 --> 00:43:02.147]  Now what we're going to see is the great retail crash come from a very, very dismal Christmas.
[00:43:03.107 --> 00:43:13.569]  As a result of that, you're going to start seeing major chains going bankrupt after the Christmas holiday, probably around January, middle of January.
[00:43:14.127 --> 00:43:23.237]  There's going to be some kind of a bit of euphoria because people are still hoping that their man of change will somehow miraculously bring about change.
[00:43:23.657 --> 00:43:27.501]  And of course he said he was going to heal the nation and repair the world.
[00:43:28.062 --> 00:43:32.006]  So Obama has great plans ahead and there are people that actually believe it.
[00:43:38.126 --> 00:43:39.406]  The time clock is ticking.
[00:43:40.047 --> 00:43:41.007]  Laws could change.
[00:43:41.347 --> 00:43:43.587]  The New World Order is advancing rapidly.
[00:43:44.108 --> 00:43:46.188]  Health consciousness is fading away.
[00:43:46.588 --> 00:43:51.750]  Junk food, fast food, fat food is the New World Order's game.
[00:43:52.110 --> 00:43:53.610]  Don't play the game!
[00:43:54.010 --> 00:44:00.332]  Slim down, detox, and cleanse yourself from the chemical foods and processed food that we intake daily.
[00:44:00.552 --> 00:44:01.993]  And now for the holiday special.
[00:44:02.133 --> 00:44:05.375]  Buy one month of Super Tee and we'll throw in an extra two weeks.
[00:44:05.635 --> 00:44:06.176]  That's right.
[00:44:06.536 --> 00:44:09.518]  One month of Super Tee and we'll throw in an extra two weeks.
[00:44:09.678 --> 00:44:11.559]  It won't last long, so order now.
[00:44:11.839 --> 00:44:13.280]  GetTheTee.com.
[00:44:13.561 --> 00:44:16.262]  That's GetTheTee.com.
[00:44:16.342 --> 00:44:17.123]  Or call us at 928-308-0408.
[00:44:17.243 --> 00:44:17.443]  That's 928-308-0408.
[00:44:17.543 --> 00:44:19.104]  Order now before you can't.
[00:44:31.641 --> 00:44:34.603]  So you've finally decided you're going to stock up and store food.
[00:44:34.924 --> 00:44:37.065]  But why settle for bland, tasteless food?
[00:44:37.506 --> 00:44:38.566]  Why settle for less?
[00:44:38.927 --> 00:44:40.188]  There is an alternative.
[00:44:40.548 --> 00:44:42.009]  InternetGrocer.net.
[00:44:42.289 --> 00:44:45.432]  Enjoy the most delicious, storable food at amazing prices.
[00:44:45.772 --> 00:44:49.375]  Enjoy creamy, delicious, real cheddar cheese in a can.
[00:44:49.675 --> 00:44:52.477]  Indulge in real canned meats and real canned butter.
[00:44:52.757 --> 00:44:59.539]  Storable meals from InternetGrocer.net will bring such variety and flavor you won't be able to tell you're actually eating storable food.
[00:44:59.739 --> 00:45:01.800]  You can purchase by the can or by the case.
[00:45:02.080 --> 00:45:04.781]  Choose a variety pack or an entire year's worth of food.
[00:45:05.041 --> 00:45:10.162]  InternetGrocer.net has non-hybrid seeds that will produce delicious food for you and your family.
[00:45:10.443 --> 00:45:12.063]  Ensure your food supply for years.
[00:45:12.463 --> 00:45:15.164]  Find out just how delicious storable food can be.
[00:45:15.384 --> 00:45:15.604]  Call 903-356-6443.
[00:45:15.624 --> 00:45:15.944]  That's 903-356-6443.
[00:45:22.006 --> 00:45:22.847]  Open from 9 a.m.
[00:45:22.887 --> 00:45:23.567]  to 6 p.m.
[00:45:23.607 --> 00:45:24.588]  Central Standard Time.
[00:45:24.848 --> 00:45:27.849]  Or shop online at internet-grocer.net.
[00:45:28.110 --> 00:45:29.931]  Again, that's internet-grocer.net.
[00:45:32.489 --> 00:45:35.230]  Can't decide what to give your friends and family this Christmas?
[00:45:35.791 --> 00:45:41.573]  Why not give them the most unique gift available by helping them protect their credit card numbers and personal information from thieves?
[00:45:41.853 --> 00:45:47.256]  There are now millions of credit cards, debit cards, and passports in circulation that contain an RFID chip.
[00:45:47.396 --> 00:45:52.858]  These new cards and passports make transactions a breeze, but introduce a new threat to your personal information.
[00:45:53.098 --> 00:45:56.140]  These cards can be read while still in your wallet or purse.
[00:45:56.400 --> 00:46:01.682]  So, this Christmas, give your friends and family a pack of Secure Sleeves from Identity Stronghold.
[00:46:01.963 --> 00:46:10.707]  Our radio-blocking Secure Sleeves block the signals needed to read the RFID chip inside their new credit cards and passports, keeping their personal data safe and secure.
[00:46:10.987 --> 00:46:13.449]  You can buy them on the web at www.idstronghold.com.
[00:46:13.489 --> 00:46:14.691]  That's www.idstronghold.com.
[00:46:14.711 --> 00:46:15.932]  Or call toll free 800-610-2770.
[00:46:15.952 --> 00:46:15.992]  800-610-2770.
[00:46:16.012 --> 00:46:18.294]  Order now and get them in time for Christmas.
[00:46:18.334 --> 00:46:19.936]  Go to idstronghold.com today.
[00:46:31.647 --> 00:46:35.751]  Are you one of the people who think, I have plenty of time, nothing's ever going to happen bad to me.
[00:46:35.872 --> 00:46:41.197]  Do you believe that when your cupboards are bare, our corporate controlled government will jump right in to feed you and yours?
[00:46:41.317 --> 00:46:44.060]  Do you have at least a year's supply of food for your family?
[00:46:44.220 --> 00:46:46.863]  This is Kurt, the armchair survivalist, heard on this network.
[00:46:47.003 --> 00:46:50.127]  Survival Enterprises sells real food, canned for long term storage.
[00:46:50.507 --> 00:46:59.912]  Chicken, turkey, bacon, butter, cheese, eggs, freeze-dried fruits and vegetables, Mountain House freeze-dried meals, MREs, a full nutritional line, the British Birkfeld water filter, and more.
[00:47:00.052 --> 00:47:02.974]  If you want to prepare now, go to BeforeIt'sTooLate.us.
[00:47:03.034 --> 00:47:05.035]  That's BeforeIt'sTooLate.us.
[00:47:05.215 --> 00:47:07.056]  Or call 1-800-753-1981.
[00:47:07.257 --> 00:47:09.938]  That's 1-800-753-1981.
[00:47:10.538 --> 00:47:14.961]  Or you can put your head in the sand and be just another sheeple in the corporate-controlled flock.
[00:47:15.041 --> 00:47:18.423]  But remember, those who don't learn from history are bound to repeat it.
[00:47:32.235 --> 00:47:36.756]  Thank you for listening to GCN.
[00:47:36.776 --> 00:47:40.637]  Be sure to visit GCNlive.com today.
[00:47:42.238 --> 00:47:43.598]  Raging for the truth.
[00:47:44.178 --> 00:47:45.539]  Exposing corruption.
[00:47:46.179 --> 00:47:49.200]  Dismantling the false left-right paradigm.
[00:47:49.907 --> 00:47:51.268]  He's Alex Jones.
[00:47:52.028 --> 00:47:59.872]  So we're going to wait till after the inauguration, January 20th, before the real pressure starts to hit.
[00:48:00.092 --> 00:48:12.078]  And when they find out that he is actually a bigger cheerleader than Bush for the banker takeover and that he is their man, how long until the people become disillusioned with their new corporate savior?
[00:48:12.398 --> 00:48:13.859]  Well, this is where we're going.
[00:48:13.939 --> 00:48:16.480]  So now February comes along.
[00:48:16.521 --> 00:48:19.262]  Things get really very cold and dismal and bleak.
[00:48:19.795 --> 00:48:23.457]  We're going to start seeing, as I said, major retailers folding.
[00:48:24.198 --> 00:48:25.899]  Now let's think of what happens.
[00:48:26.419 --> 00:48:37.006]  We've already seen KB Toys, Sharper Image, Circuit City, Linens and Things, Stephen Barry's go under it, plus many more.
[00:48:37.226 --> 00:48:37.746]  Are you kidding?
[00:48:37.787 --> 00:48:40.108]  Half my favorite restaurants in Austin aren't there anymore.
[00:48:40.488 --> 00:48:41.529]  They're not there anymore.
[00:48:41.889 --> 00:48:44.771]  So now we're going to see major chains start to fold.
[00:48:46.032 --> 00:48:49.254]  Who is going to rent these vacant spaces?
[00:48:51.055 --> 00:48:51.275]  Who?
[00:48:52.355 --> 00:48:52.855]  Nobody.
[00:48:54.576 --> 00:48:59.937]  You're going to start seeing empty stores throughout malls, throughout strip malls.
[00:49:00.437 --> 00:49:02.117]  Now let's bring it to another level.
[00:49:02.157 --> 00:49:09.559]  And won't that further destroy confidence when people see the physical manifestation of a economy in cardiac arrest?
[00:49:10.199 --> 00:49:10.959]  Precisely.
[00:49:11.019 --> 00:49:15.120]  So the psychological impact is as great.
[00:49:15.600 --> 00:49:18.361]  Now let's move over to another sector of commercial.
[00:49:18.857 --> 00:49:21.920]  We're already seeing the financial markets, they've collapsed.
[00:49:22.860 --> 00:49:25.002]  Empty buildings, on and on and on.
[00:49:26.243 --> 00:49:29.906]  People are being fired every day, and we see the numbers.
[00:49:29.966 --> 00:49:32.348]  What was Bank of America last week?
[00:49:32.608 --> 00:49:32.348]  52,000.
[00:49:33.589 --> 00:49:36.311]  A couple of weeks earlier, Citigroup.
[00:49:36.712 --> 00:49:37.252]  And I love it.
[00:49:37.312 --> 00:49:43.117]  Bank of America, they came out, they said that these 52,000 would be fired over a three-year period.
[00:49:43.417 --> 00:49:45.479]  Yeah, like they could look three years ahead of time.
[00:49:45.699 --> 00:49:47.581]  They don't even, they can't plan lunch.
[00:49:48.137 --> 00:49:49.397]  You know, so we get this straight.
[00:49:49.597 --> 00:49:51.398]  These people are being fired right away.
[00:49:51.718 --> 00:49:55.498]  The point being, now you're going to have the next shoe to fall.
[00:49:56.138 --> 00:50:04.660]  It's going to be the commercial real estate sector, which was leveraged far greater than the home real estate sector.
[00:50:05.080 --> 00:50:07.261]  So now you're going to see the collapse.
[00:50:07.561 --> 00:50:09.501]  The retail sector collapses.
[00:50:09.861 --> 00:50:12.081]  Commercial real estate collapses.
[00:50:12.461 --> 00:50:15.122]  There is no body left to save anymore.
[00:50:15.580 --> 00:50:20.002]  The crash keeps coming harder and harder and louder and louder.
[00:50:20.602 --> 00:50:22.343]  So that's the second phase.
[00:50:22.703 --> 00:50:30.667]  The third phase after the crash, so first we had the panic, then we had the collapse, and now we're going to go into the greatest depression.
[00:50:31.547 --> 00:50:33.648]  And it's going to be worse than the last depression.
[00:50:33.988 --> 00:50:43.813]  Although, of course, Bernanke, and I was doing an interview, and the host said to me, well, Fed Chairman Bernanke is a student of the Great Depression,
[00:50:44.127 --> 00:50:44.447]  That's right.
[00:51:05.513 --> 00:51:06.354]  That's right.
[00:51:31.067 --> 00:51:32.288]  And that's what they do.
[00:51:32.468 --> 00:51:34.289]  You know, it's a sucker's game.
[00:51:34.349 --> 00:51:37.811]  These are Wall Street cons, like Coney Island balkers.
[00:51:38.551 --> 00:51:46.015]  So now what happens, here's why it's going to be worse than the Great Depression, and why we're calling it the Greatest Depression.
[00:51:46.535 --> 00:51:49.777]  Back in the 1930s, most people didn't own homes.
[00:51:50.197 --> 00:51:57.701]  So they weren't paying these mortgages, they weren't paying insurance, they weren't paying upkeep and all the other expenses that keeps the runner home.
[00:51:58.467 --> 00:52:01.469]  Number two, there was no such thing as home equity loans.
[00:52:02.049 --> 00:52:08.513]  Matter of fact, back then, if somebody had what they called a second mortgage, that meant that they were a loser and they needed money.
[00:52:08.973 --> 00:52:11.555]  Back then, Americans didn't have credit cards.
[00:52:11.575 --> 00:52:12.375]  They didn't exist.
[00:52:12.835 --> 00:52:15.717]  So the people weren't $14 trillion in debt.
[00:52:16.478 --> 00:52:19.039]  And back then, we had a trade surplus.
[00:52:19.579 --> 00:52:23.502]  We were not $700 billion in the hole each year.
[00:52:23.862 --> 00:52:25.443]  And we had budget surpluses.
[00:52:25.973 --> 00:52:26.913]  What are we at this year?
[00:52:26.953 --> 00:52:27.594]  Two trillion?
[00:52:27.694 --> 00:52:28.254]  One trillion?
[00:52:28.274 --> 00:52:29.554]  The number keeps changing.
[00:52:29.694 --> 00:52:33.876]  Oh, now the defense budget's over a trillion, not even counting the supplementals.
[00:52:34.756 --> 00:52:39.137]  Bush tripled the size of government, and all these other governments are just growing, growing, growing.
[00:52:40.678 --> 00:52:44.859]  Again, don't they understand that they can only put so much weight on the donkey's back?
[00:52:45.380 --> 00:52:49.641]  No, they don't, because they've never had difficult financial times in their lives.
[00:52:50.225 --> 00:52:53.207]  And unless you've experienced it, you don't know how to deal with it.
[00:52:53.227 --> 00:52:57.130]  So they live in these armored, pampered palaces.
[00:52:57.190 --> 00:52:59.892]  They've been pampered all their lives.
[00:52:59.912 --> 00:53:03.574]  Look, all of us that went to college, we know who these guys are.
