[00:00:00.009 --> 00:00:01.170]  Saudi Arabian connection.
[00:25:31.884 --> 00:25:34.847]  Let's take a few final calls here.
[00:25:34.907 --> 00:25:36.889]  Let's talk to Josh in Illinois.
[00:25:36.909 --> 00:25:37.889]  You're on the air.
[00:25:37.950 --> 00:25:38.770]  Go ahead, Josh.
[00:25:39.731 --> 00:25:51.161]  Alex, you asked him earlier if he knew of, or you asked him if there's, if he knew of any way they would come after you or potentially take you out.
[00:25:51.201 --> 00:25:52.582]  And I have a probable scenario.
[00:25:53.523 --> 00:25:57.346]  In the event that our current president, in fact,
[00:25:57.978 --> 00:26:03.385]  Obama is taking out in a similar fashion as JFK was.
[00:26:04.146 --> 00:26:11.256]  It would not be difficult to use sound bites from your show and air them on CNN and Fox News and
[00:26:12.355 --> 00:26:15.657]  Place the blame on your show, and effectively take you off the air.
[00:26:42.715 --> 00:26:43.436]  Yeah, that's right.
[00:26:43.536 --> 00:27:01.051]  No, I'll tell you, they're not going to take you out because if you suddenly disappeared under any kind of unusual circumstances or a strange one-car accident or something like that, all that's going to do is add credibility to your message.
[00:27:01.111 --> 00:27:02.753]  So they're smarter than that.
[00:27:03.113 --> 00:27:05.615]  It probably will happen to you.
[00:27:08.277 --> 00:27:16.942]  Alex, is that under the Obama-Marxist-Socialist regime, they will push heavily to outlaw hate speech.
[00:27:17.563 --> 00:27:20.504]  And, you know, in that way... And the Fairness Doctrine.
[00:27:20.524 --> 00:27:21.865]  ...they would be considered hate speech.
[00:27:22.025 --> 00:27:23.606]  And the Fairness Doctrine, absolutely.
[00:27:23.626 --> 00:27:25.207]  And then it's liberals who've got to be for it.
[00:27:25.948 --> 00:27:27.869]  Let's go ahead and talk to Chris in Oklahoma.
[00:27:28.209 --> 00:27:30.771]  Chris, you're on the air with Jim Mars and Mr. Groden.
[00:27:30.791 --> 00:27:31.051]  Go ahead.
[00:27:31.755 --> 00:27:33.736]  Hi Alex, Chris from Oklahoma City.
[00:27:33.756 --> 00:27:38.418]  I've had the opportunity to speak with you at presentations at Jim in Washington and Austin.
[00:27:38.758 --> 00:27:39.718]  Thanks for taking my call.
[00:27:40.118 --> 00:27:47.381]  I want to thank all of you gentlemen for the work you're doing because it's making it a lot easier for us here in Oklahoma City to continue to research the bombing.
[00:27:47.862 --> 00:27:51.943]  Working closely with a former state representative who's actually back in the state house.
[00:27:51.983 --> 00:27:55.645]  He was sworn back in three days ago, just FYI, and with Jesse Trinidou.
[00:27:56.474 --> 00:28:09.271]  And the question I had is, I was down at the School Book Depository Library oddly enough this last Friday, and I see the same storyline, the same mode of operation happening at the National Memorial Museum here in Oklahoma City.
[00:28:10.694 --> 00:28:15.597]  Do you think that we'll be able to crack the case and get the information out the way it should be?
[00:28:15.617 --> 00:28:21.221]  Yeah, on the inside job that was the OKC government-sponsored terror attack to try to shut down free speech.
[00:28:22.082 --> 00:28:27.025]  I mean, they use these little museums as their official story brainwashing centers.
[00:28:27.265 --> 00:28:30.488]  Jim and Robert, real fast, finishing up.
[00:28:31.889 --> 00:28:33.730]  Well, yeah, that's exactly what it is.
[00:28:33.870 --> 00:28:35.331]  Again, it's appeal to authority.
[00:28:35.411 --> 00:28:38.854]  They have all the money so they can build these museums and
[00:28:39.659 --> 00:28:42.841]  Absolutely, and in closing, and I appreciate your call, Chris, we're out of time.
[00:28:42.861 --> 00:28:45.382]  In closing, Robert Grodin, you've got the last word.
[00:29:08.454 --> 00:29:12.359]  Well, I'll simply quote two lines very quickly.
[00:29:12.739 --> 00:29:16.904]  One that I've used for years and years is, May all the truth be known soon.
[00:29:17.564 --> 00:29:22.290]  And one that Jim has used as long as I've known him now, which is approaching 30 years, I think.
[00:29:23.971 --> 00:29:25.073]  Question authority.
[00:29:25.773 --> 00:29:27.135]  Always question authority.
[00:29:29.085 --> 00:29:29.805]  Absolutely.
[00:29:29.985 --> 00:29:34.487]  Well, guys, let me say bye to you when we end this segment, and I'll see you this weekend.
[00:29:35.227 --> 00:29:40.829]  And it's just great working with Robert Grodin and Jim Mars on this new JFK film I'm making.
[00:29:42.810 --> 00:29:47.752]  We'll basically conclude shooting coming up this weekend and then just finish the film up in the next four or five months.
[00:29:48.232 --> 00:29:48.812]  We'll be right back.
[00:29:49.946 --> 00:29:50.847]  We're on the march.
[00:29:51.648 --> 00:29:52.909]  The empire is on the run.
[00:29:53.349 --> 00:29:57.073]  Okay, guys, I just want to make sure we're still on air right now.
[00:29:57.954 --> 00:30:01.458]  Robert, did I ever get your cell phone so I can stay in contact with you when you're in Dallas?
[00:30:01.498 --> 00:30:02.779]  Or I guess I'll just see you at the Knoll?
[00:30:02.839 --> 00:30:06.703]  Well, when they first called me today, they called me on my cell phone, so you do have that.
[00:30:07.293 --> 00:30:08.053]  Okay, great.
[00:30:08.513 --> 00:30:10.934]  So I guess we need to make sure we have your other number on our computer.
[00:30:11.414 --> 00:30:16.536]  And Jim, we've got your cell phone, so I'll see you out there Saturday as well.
[00:30:17.236 --> 00:30:22.918]  Okay, I'm going to, according to your people, I'll meet you out there about 11 o'clock.
[00:30:23.278 --> 00:30:23.798]  Sound right?
[00:30:24.218 --> 00:30:24.678]  Alright, buddy.
[00:30:24.698 --> 00:30:25.278]  We'll see you then.
[00:30:25.778 --> 00:30:26.499]  Okay, bye-bye.
[00:30:26.739 --> 00:30:27.799]  Thank you, Jim.
[00:30:27.839 --> 00:30:28.459]  Thank you, Robert.
[00:30:28.479 --> 00:30:28.839]  Take care.
[00:30:29.359 --> 00:30:29.780]  Thanks a lot.
[00:30:29.820 --> 00:30:30.060]  Bye-bye.
[00:30:30.120 --> 00:30:30.760]  Alright, bye-bye.
[00:30:32.040 --> 00:30:33.281]  Alright, I'm going to take a two-minute break.
[00:30:33.301 --> 00:30:34.301]  I haven't had one in about an hour.
[00:30:35.174 --> 00:30:38.156]  And we'll be right back with more phone calls and more news.
[00:30:38.176 --> 00:30:38.536]  Stay with me.
[00:30:59.685 --> 00:31:01.726]  May I have everybody's attention, please?
[00:31:01.846 --> 00:31:04.247]  I've come with a message of information.
[00:31:04.267 --> 00:31:06.887]  9-11 was an inside job.
[00:31:06.907 --> 00:31:08.068]  Do you like being a puppet, sir?
[00:31:08.088 --> 00:31:09.688]  Do you like being a puppet for the New World Order?
[00:31:09.788 --> 00:31:12.649]  How do the American people know that 9-11 was a stage?
[00:31:12.689 --> 00:31:16.791]  Was it engineered by you, David Rockefeller, the Trilateral Commission, the CFR?
[00:31:25.996 --> 00:31:30.881]  Seven years after the attacks of September 11th, a global awakening has taken place.
[00:31:32.122 --> 00:31:33.284]  An inside job?
[00:31:34.645 --> 00:31:36.907]  How dare you?
[00:31:37.088 --> 00:31:42.133]  If you know that there's treason going on, you can be held accountable for treason yourself.
[00:31:42.153 --> 00:31:44.956]  All hell is breaking loose on 6th Avenue.
[00:31:45.056 --> 00:31:48.179]  And if the government has not told the truth, in five years we will be.
[00:31:50.491 --> 00:31:51.172]  Truth Rising.
[00:31:51.492 --> 00:31:54.034]  Download the film at PrisonPlanet.tv right now.
[00:31:54.335 --> 00:31:56.356]  Or get the DVD at InfoWars.com.
[00:31:56.616 --> 00:31:59.139]  It's now time to take the revolution to the next level.
[00:31:59.619 --> 00:32:08.727]  Did you know that it's a documented fact 80% of all Americans and 85% of people around the world suffer from internal parasites and parasitic infection?
[00:32:08.907 --> 00:32:16.373]  You may be one of millions of people suffering from one of dozens of debilitating chronic diseases from these parasites and your doctor would never
[00:32:16.493 --> 00:32:16.933]  I don't know it.
[00:32:17.053 --> 00:32:21.576]  In fact, clinically detected parasites account for only 1% of all cases.
[00:32:21.656 --> 00:32:24.258]  Don't continue to suffer from pain due to misdiagnosis.
[00:32:24.418 --> 00:32:35.724]  Now you can fight internal parasites, heavy metal poisoning, and high cholesterol naturally and safely by mixing fossilized phytoplankton powder, also known as FPP, with your favorite beverage once a day.
[00:32:35.984 --> 00:32:42.108]  FPP is used around the world, has numerous uses, and is now available to you from Freshwater Organics.
[00:32:42.328 --> 00:32:45.610]  He's the T-Rex of political talk, Alex Jones on the GCN Radio Network.
[00:33:16.927 --> 00:33:17.348]  Okay.
[00:33:18.994 --> 00:33:21.403]  Coming up later, I'm going to play a few clips from Endgame 1.5.
[00:33:25.580 --> 00:33:40.184]  The extras that we posted on PrisonPlanet.tv because one of the clips I played on the Sunday show, it's Dr. Michael Kaufman talking about, from government documents, giving the source, how they plan to mass drug us, dumb us down, control us, break up our families.
[00:33:41.064 --> 00:33:52.347]  And the other clip I'm only going to play part of, and there's a bunch more in the film and in the extras, where Daniel Esslin and others are talking about exactly, now this is two and a half years ago, when oil was $65 a barrel.
[00:33:55.074 --> 00:34:01.718]  And he said they're going to drive it up to 150 in a year and a half from now.
[00:34:02.078 --> 00:34:03.739]  Exactly that happened.
[00:34:04.940 --> 00:34:07.741]  To get people out of their cars, to have a post-industrial society.
[00:34:08.002 --> 00:34:09.162]  He talks more about that in the piece.
[00:34:10.583 --> 00:34:18.188]  He talks about how they're going to artificially drive the stock market back up to its... and he gives the year level when it was at
[00:34:19.096 --> 00:34:20.076]  You know, $13,000.
[00:34:20.336 --> 00:34:20.656]  They did.
[00:34:20.676 --> 00:34:26.378]  They drove it to $14,000 to sucker everybody back in and then pop the subprime mortgage and even gives the times.
[00:34:27.218 --> 00:34:31.579]  Now, that is exactly... that is not prophecy.
[00:34:32.160 --> 00:34:35.200]  That is not revelation.
[00:34:35.401 --> 00:34:40.442]  It is someone having eyewitness reports from the people that run the planet.
[00:34:41.889 --> 00:35:03.497]  That's how we can get on air and say they are going to devalue currencies worldwide, they are going to cut off liquidity, they are going to plunge the markets so they can criminally consolidate, and then propose, after they started it, after they created it, after they destroyed the confidence by fear-mongering and saying we were going to have a depression, they will then say we need a world banking system run by us, a small group of interbanks,
[00:35:05.074 --> 00:35:13.516]  Setting the value of the currencies worldwide, controlling stock markets, and paying global money transfer taxes and carbon taxes to the private banks.
[00:35:13.856 --> 00:35:15.116]  That has now all been proposed.
[00:35:15.396 --> 00:35:16.796]  That is all in, in-game.
[00:35:17.677 --> 00:35:24.658]  Blueprint for Global Enslavement, and it's extra, that's on the DVD, and then the second extra, that was for PrisonPlanet.tv members.
[00:35:28.439 --> 00:35:29.939]  So, this is what we're dealing with here.
[00:35:31.854 --> 00:35:32.755]  This is reality.
[00:35:33.175 --> 00:35:35.016]  We understand what's going on in this show.
[00:35:35.356 --> 00:35:38.579]  We're telling you what's really going on in the world.
[00:35:39.960 --> 00:35:44.343]  So, I want to go to David, Tim, John, Eric, and Max.
[00:35:44.863 --> 00:35:51.147]  Before the hour ends, I want to get into Paulson, what's behind Bailout Marshall Law Plan, and then I want to start airing these audio clips.
[00:35:52.889 --> 00:35:58.673]  But, what we know the so-called government is doing, the global
[00:36:00.623 --> 00:36:10.728]  The technocratic banking elite merged with the scientific social engineer elite is hard for me to mentally face and deal with.
[00:36:12.189 --> 00:36:13.750]  So I don't blame a lot of you living in denial.
[00:36:15.851 --> 00:36:23.915]  Projecting what they've planned in the past, what they've done, what they're currently doing, projecting into what we think they're doing, I don't even want to say.
[00:36:25.956 --> 00:36:27.417]  I mean, these people are bad.
[00:36:29.642 --> 00:36:43.235]  I mean it's so low down, it takes evil to a level just that Hollywood, the culture, books, novels, and fiction couldn't take you.
[00:36:44.496 --> 00:36:53.024]  Well hell, Lenin killing 20 million, Stalin killing 40 million, and Hitler killing tens of millions, and Mao killing tens of millions.
[00:36:55.828 --> 00:36:59.752]  You know, thousands of sports stadiums filled with 100,000 people per stadium, you know, that equivalent?
[00:37:00.032 --> 00:37:00.893]  Picture that in your mind.
[00:37:01.414 --> 00:37:05.238]  I mean, that's hard to deal with, but this is far past even that, what's going on.
[00:37:06.920 --> 00:37:09.422]  And the people living in denial is what has allowed this to happen.
[00:37:10.824 --> 00:37:11.865]  So we're going to get into all that.
[00:37:12.105 --> 00:37:17.411]  Before I go to your phone calls and all this other news, don't forget
[00:37:21.505 --> 00:37:29.610]  This holiday season, this Christmas, you can get five months free at PrisonPlanet.tv right now and you can give yourself a gift.
[00:37:29.630 --> 00:37:36.514]  Go get a monthly membership or a yearly membership or get five months free with a yearly membership and share your passcode with your friends and family.
[00:37:36.534 --> 00:37:39.316]  Put it in a card and say, here's your gift and you can share it as well.
[00:37:40.997 --> 00:37:50.283]  So I hope that people will do that with PrisonPlanet.tv and give the gift of information and unlocking people's minds so they can be aware of what's really happening in the real world.
[00:37:51.857 --> 00:38:04.383]  That said, it is important to get storable foods, and I've got as a sponsor the place that I knew about because I did my research years ago, and this is who I chose to buy freeze-dried and dehydrated foods from.
[00:38:04.763 --> 00:38:14.668]  Non-GMO, clean, healthy food, and it stores for really 15 years in climate controlled, 10 years in non-climate controlled.
[00:38:15.885 --> 00:38:23.009]  It's super high quality, efoodsdirect.com, efoodsdirect.com, ladies and gentlemen.
[00:38:23.029 --> 00:38:33.814]  You will never have to stand in a bread line if you have your own bread, 1-800-409-5633, 1-800-409-5633, or efoodsdirect.com.
[00:38:33.854 --> 00:38:37.356]  Big banners at the top of infowars.com and prisonplanet.com.
[00:38:37.736 --> 00:38:41.678]  Folks, you know, with how ruthless and out of control this elite is, it makes
[00:38:43.480 --> 00:38:44.460]  Not even total cents.
[00:38:44.520 --> 00:38:46.362]  It's just a no-brainer to get prepared.
[00:38:46.382 --> 00:38:47.042]  So give them a call.
[00:38:47.062 --> 00:38:47.903]  Get a free brochure.
[00:38:48.323 --> 00:38:51.105]  They've got boogie packs, two-month supplies, up to 10-year supplies.
[00:38:51.125 --> 00:38:51.666]  They've got it all.
[00:38:51.946 --> 00:38:53.587]  You'll be surprised at how affordable it is.
[00:38:53.607 --> 00:38:54.508]  800-409-5633 or efoodsdirect.com
[00:38:58.874 --> 00:39:04.295]  Also, there's another fine sponsor, and that's a Cola Blue, and people are going crazy over the sponsor, and they should.
[00:39:04.836 --> 00:39:08.757]  E-C-O-L-O-Blue.com, or go to mfallwars.com and prisonplanet.com.
[00:39:09.117 --> 00:39:11.217]  Big banners up on the top of the page there as well.
[00:39:11.857 --> 00:39:13.258]  Atmospheric water generator for the home.
[00:39:13.298 --> 00:39:15.278]  Pays for itself in one year if you buy your water from the store.
[00:39:15.538 --> 00:39:17.079]  Pure, clean water without the fluoride.
[00:39:18.228 --> 00:39:19.728]  Ultimate water for the humidity in the air.
[00:39:20.269 --> 00:39:22.789]  Machine produces 28 liters or seven and a half gallons a day.
[00:39:23.489 --> 00:39:25.910]  Great tasting, pure H2O, exactly the way nature makes it.
[00:39:26.150 --> 00:39:27.531]  No chemicals, pollutants, or toxins.
[00:39:27.711 --> 00:39:28.511]  Neutral pH.
[00:39:28.891 --> 00:39:30.811]  And then it goes through five filters inside.
[00:39:30.951 --> 00:39:31.412]  I use it.
[00:39:31.732 --> 00:39:32.892]  In fact, put me up on screen.
[00:39:33.632 --> 00:39:34.973]  This is a cola blue water right here.
[00:39:38.273 --> 00:39:40.614]  It's, I mean, it just blows anything away I've ever had.
[00:39:40.674 --> 00:39:45.235]  I mean, it's just, you could bottle this and sell it as the most awesome filtered water.
[00:39:45.275 --> 00:39:46.896]  I mean, have you tried this?
[00:39:46.916 --> 00:39:47.356]  How good it is?
[00:39:48.370 --> 00:39:49.170]  You ought to try it, Hoosh.
[00:39:49.250 --> 00:39:49.791]  It's good.
[00:39:50.331 --> 00:39:54.333]  As Walter Brennan said, people told me that's not John Wayne.
[00:39:54.593 --> 00:39:55.513]  No brag, just fact.
[00:39:55.653 --> 00:39:56.294]  It's great stuff.
[00:39:56.674 --> 00:39:58.775]  Thecolorblue.com or 866-585-4044.
[00:39:58.875 --> 00:40:07.559]  Okay, I want to tell you about one other fabulous sponsor, and then we'll go to your calls.
[00:40:07.699 --> 00:40:10.260]  And that, my friends, is InnerFood.
[00:40:10.461 --> 00:40:13.482]  And they've got the best green food bar none out there.
[00:40:14.603 --> 00:40:15.303]  But not just that.
[00:40:16.991 --> 00:40:19.911]  I mean, the soils are depleted of the minerals, the nutrients.
[00:40:20.452 --> 00:40:23.652]  This is a whole bunch of super foods together.
[00:40:24.372 --> 00:40:38.835]  Balanced energy all day long, greater stamina, 20 power packed ingredients, greater mental clarity, reduced food cravings, improved liver function, healthy blood sugar, immune system support, improved digestion, detoxing effects, colon cleansing, on and on and on.
[00:40:39.635 --> 00:40:44.636]  Dulse kelp, barley grass, wheat grass, chlorella, spirulina, over 20 power packed ingredients.
[00:40:44.796 --> 00:40:45.316]  I believe in it.
[00:40:45.356 --> 00:40:45.936]  It's great stuff.
[00:40:46.976 --> 00:40:52.160]  I didn't know for years when they were sponsored that George Humphrey was friends with the founder right here in Austin, Texas.
[00:40:52.220 --> 00:40:52.941]  I didn't even know that.
[00:40:53.401 --> 00:40:54.462]  So they're patriots as well.
[00:40:54.542 --> 00:40:59.086]  Innerfood, E-N-E-R food dot com or link through at info wars dot com.
[00:40:59.386 --> 00:41:02.648]  Their new product is natural amino acid meal replacement.
[00:41:02.869 --> 00:41:08.012]  To sum it up, it's basically a natural, healthy, effective way to lose weight while getting all the nutrients your body needs.
[00:41:08.413 --> 00:41:09.193]  How it works is...
[00:41:10.245 --> 00:41:13.928]  You mix a cup up with a glass of juice and have it in place of a meal.
[00:41:14.009 --> 00:41:20.575]  For example, you then replace one of your meals every day, stay healthy and get all your nutrients and lose weight in the process.
[00:41:20.855 --> 00:41:23.737]  So it's a great storable food type option as well.
[00:41:23.878 --> 00:41:27.421]  Innerfood.com or 866-762-9238.
[00:41:27.701 --> 00:41:32.566]  Launching this new groundbreaking product, natural amino acid meal replacement.
[00:41:33.206 --> 00:41:37.149]  I just want to give you an example here of how asleep a lot of people are.
[00:41:37.169 --> 00:41:41.493]  I work in the financial community and I was at a conference a few weeks back and most of these
[00:41:58.098 --> 00:42:05.104]  Advisors that are actually advising clients and also product companies, they have no fundamental understanding of what's going on.
[00:42:05.384 --> 00:42:07.666]  Two easy examples that people can see.
[00:42:07.746 --> 00:42:16.994]  I was talking to the people, you know, throughout the few days around me about carbon taxes, you know, implemented or, you know, coming soon.
[00:42:17.615 --> 00:42:19.837]  And everyone said, that's impossible.
[00:42:19.897 --> 00:42:20.918]  That'll never happen.
[00:42:21.819 --> 00:42:25.642]  And I say, well, look, there already is established
[00:42:26.144 --> 00:42:31.028]  The Chicago Climate Exchange, the Montreal Climate Exchange, the European Climate Exchange.
[00:42:31.048 --> 00:42:34.511]  They've introduced bills to start taxing every pig and every cow.
[00:42:36.593 --> 00:42:42.898]  What, for a cow it's $125 less with a pig, for its methane, for its flatulence.
[00:42:42.998 --> 00:42:47.541]  Creatures have always been passing gas, but it's just pure bull.
[00:42:47.561 --> 00:42:50.684]  These are already institutions and things set up ready to go.
[00:42:56.027 --> 00:42:57.127]  Yeah, people thought I was crazy.
[00:42:57.147 --> 00:42:58.868]  I was like, well, look it up on your computer.
[00:42:58.908 --> 00:43:00.168]  I mean, these things are out there.
[00:43:00.188 --> 00:43:06.710]  But the thing that's actually more scary is the manipulation in the financial reporting.
[00:43:06.730 --> 00:43:08.131]  Let me give you a quick example.
[00:43:08.511 --> 00:43:16.933]  Ten years ago, when companies or analysts or news agencies would report their earnings, they would always report it year over year.
[00:43:16.953 --> 00:43:25.656]  They would say, our earnings are a dollar a share this first quarter this year versus 90 cents last year.
[00:43:26.155 --> 00:43:26.735]  First quarter.
[00:43:28.096 --> 00:43:31.058]  With the internet boom, most of these companies had no history.
[00:43:31.158 --> 00:43:37.202]  So, in the financial reporting, everyone's moved over to, they look at the analysts, what the analysts say.
[00:43:37.583 --> 00:43:41.525]  And it's, you know, JP Morgan, all these different companies, they've got all the analysts.
[00:43:41.565 --> 00:43:44.247]  Well, they totally manipulate their data.
[00:43:44.427 --> 00:43:46.168]  And it's really easy to see.
[00:43:46.509 --> 00:43:54.234]  A simple example anyone can understand is, look at the earnings for any company before they report.
[00:43:54.954 --> 00:43:55.875]  What happens is,
[00:43:56.499 --> 00:43:58.120]  You know, you can look back at Lehman Brothers.
[00:43:58.140 --> 00:43:59.361]  This is a perfect example.
[00:44:00.261 --> 00:44:01.222]  First quarter this year.
[00:44:01.662 --> 00:44:04.363]  These aren't the specific numbers, but this is to show you how it works.
[00:44:06.484 --> 00:44:11.887]  The analysts estimate, you know, they say, uh, we think their earnings are going to be a dollar per share.
[00:44:12.127 --> 00:44:12.447]  Okay.
[00:44:13.868 --> 00:44:18.831]  Pretty much on Wall Street, a lot of the information gets thrown around before it's actually reported for the public.
[00:44:18.891 --> 00:44:24.714]  So, word gets out and they find out, hey, their report, their, uh, sorry, their
[00:44:25.293 --> 00:44:28.294]  Profits are actually only going to be 70 cents a share.
[00:44:28.394 --> 00:44:29.574]  So what do the analysts do?
[00:44:30.014 --> 00:44:44.599]  They drop their estimates very severe, so that a couple weeks from then, it gets reported in the news, hey, you know, this company's earnings were 70 cents a share versus the analyst's estimate of 60 cents a share.
[00:44:44.999 --> 00:44:48.660]  They beat the estimates, and everyone piles in and drives the stock up.
[00:44:49.340 --> 00:44:50.961]  But what they didn't tell you was,
[00:44:51.562 --> 00:44:57.347]  Hey, two weeks ago, the annals were actually estimating a dollar, and now they're estimating 60 cents.
[00:44:58.548 --> 00:45:04.213]  And the other thing is, they just typically don't report in the media.
[00:45:05.033 --> 00:45:09.677]  They say, look, the year previous, the earnings were actually $1.40.
[00:45:10.338 --> 00:45:12.499]  So they haven't beaten anything.
[00:45:12.760 --> 00:45:15.442]  No, I mean, if you go through all the ways they cook the numbers,
[00:45:17.390 --> 00:45:18.692]  It'll just make your head spin.
[00:45:18.792 --> 00:45:20.734]  It's like now when cops kill people with tasers.
[00:45:21.494 --> 00:45:22.696]  They just say it's a syndrome.
[00:45:22.736 --> 00:45:25.118]  People just magically die now in police custody.
[00:45:25.178 --> 00:45:26.059]  It's not being beaten.
[00:45:26.099 --> 00:45:27.040]  It's not being tasered.
[00:45:27.500 --> 00:45:28.321]  It's a new syndrome.
[00:45:28.381 --> 00:45:31.504]  I mean, it's just made up bull.
[00:45:31.564 --> 00:45:32.465]  I appreciate your call.
[00:45:32.505 --> 00:45:33.506]  I could talk to you for hours.
[00:45:33.526 --> 00:45:36.489]  Great caller, but we need to get to everybody else here.
[00:45:37.750 --> 00:45:39.592]  Let's go back to the calls.
[00:45:39.652 --> 00:45:41.014]  Tim, in Florida, you're on the air.
[00:45:41.900 --> 00:45:54.547]  Well, Alex, back in the 80s, before there was a program like yours where people could call in and report terrible violations to civil liberties, I found out about some atrocities that I don't think have ever been reported in the general media.
[00:45:55.428 --> 00:46:01.952]  In those days, my way of avoiding society was just going out and traveling around the country, just hitchhiking around.
[00:46:02.692 --> 00:46:06.854]  And I started to notice that the state troopers in Wyoming on the stretcher, i.e.
[00:46:06.915 --> 00:46:11.097]  between Laramie and Evanston, were doing everything they could to provoke me
[00:46:11.693 --> 00:46:13.874]  In such a way that they would have an excuse to kill me.
[00:46:14.475 --> 00:46:21.258]  And so when I got home to Tennessee, I told my father, who is a federal judge, that I guarantee you the Wyoming Highway Patrol are murdering drifters.
[00:46:21.779 --> 00:46:24.961]  And he said, well, I'll go over here across the hall to the U.S.
[00:46:25.021 --> 00:46:28.262]  Marshal's office and ask him to check into it for us.
[00:46:29.323 --> 00:46:32.865]  And so later on in the day, he comes back over to me and says, well, you're right.
[00:46:32.965 --> 00:46:40.249]  There's five cases being investigated by the FBI right now of Wyoming Highway Patrol murdering drifters.
[00:46:42.302 --> 00:46:43.765]  And I don't think that's ever come out.
[00:46:43.865 --> 00:46:52.561]  I think if our family members have ever lost relatives, you know, who are misfits or mentally ill or whatever, that they might want to know about that.
[00:46:53.427 --> 00:46:54.627]  Well, I mean, it's true.
[00:46:55.148 --> 00:47:03.270]  The troops are coming home after three, four, five tours, completely... I mean, you know, World War II vets, Korean War vets, you know, would go off and kill the neighbor from one tour.
[00:47:05.031 --> 00:47:06.372]  You know, their fuse gets very short.
[00:47:07.132 --> 00:47:10.153]  And these guys are coming home, and they're cops, and they're killing their families.
[00:47:10.213 --> 00:47:11.173]  It's in the news every day.
[00:47:11.653 --> 00:47:12.434]  They're killing us.
[00:47:12.454 --> 00:47:14.414]  I mean, you just back-talk them.
[00:47:14.434 --> 00:47:17.215]  They just pull their gun out and shoot you, or beat you to death, and they laugh about it.
[00:47:17.495 --> 00:47:18.456]  And then they don't get in trouble!
[00:47:19.486 --> 00:47:22.829]  And, you know, and the banks don't get in trouble for taking all our money either.
[00:47:23.069 --> 00:47:23.950]  That's what tyranny is.
[00:47:23.970 --> 00:47:25.271]  They just go, look, we rule!
[00:47:25.631 --> 00:47:26.131]  It's over!
[00:47:26.352 --> 00:47:26.932]  We're king!
[00:47:26.952 --> 00:47:28.233]  America's gone!
[00:47:28.253 --> 00:47:28.794]  Bye-bye!
[00:47:28.814 --> 00:47:30.255]  Right.
[00:47:30.815 --> 00:47:43.926]  I think people need to be careful how they pick their battles, because I think I've seen articles on your website that prepare people for this regime that's coming in, because they will just blow your head off, you know, if you smart off to them.
[00:47:44.626 --> 00:47:45.247]  You know?
[00:47:45.267 --> 00:47:46.668]  They're just looking for... Yeah, no, no, no.
[00:47:46.708 --> 00:47:48.770]  I mean, America is a big doormat.
[00:47:50.641 --> 00:47:51.601]  Or more like a toilet.
[00:47:52.682 --> 00:47:56.125]  And if you don't sit there loving it, falling on you, you're bad.
[00:47:56.245 --> 00:47:56.945]  You're a terrorist.
[00:47:56.965 --> 00:48:00.848]  This is a lot worse than people realize, I believe.
[00:48:01.269 --> 00:48:10.216]  Because only the poor people and poor black people have put up with this for many years, you know, and people that live on the street, you know, they just get blown away and nobody knows about it.
[00:48:11.115 --> 00:48:18.400]  It's coming into the yuppies and people like that are going to be feeling the same thing that just used to be doled out to the unfortunates, you know.
[00:48:18.540 --> 00:48:19.061]  That's right.
[00:48:19.121 --> 00:48:20.222]  I appreciate your call.
[00:48:20.822 --> 00:48:22.283]  John in Illinois, you're on the air.
[00:48:22.343 --> 00:48:22.683]  Welcome.
[00:48:24.024 --> 00:48:34.732]  Well, you know, I was listening to that first caller talking about the markets, and I think he's got it right in his spirit, but I've worked in the financial industry for a couple years now, and I've worked with some of the major brokerages like Lehman.
[00:48:35.760 --> 00:48:44.728]  And it's similar to that, but it's actually, if you look at the financial reporting, if you look at the way they value stock prices, it's all based on assumptions of future cash flow.
[00:48:45.369 --> 00:48:53.156]  And I can change a stock price by $20 by changing one assumption on the internal rate of return by a company.
[00:48:54.198 --> 00:49:05.444]  Yeah, I mean, they value it by how much it makes a year, and then projected what market analysts are saying about that industry in the future, and it's multiples of the price-earnings ratio.
[00:49:05.944 --> 00:49:07.144]  Right, and so they come back.
[00:49:07.585 --> 00:49:21.852]  But you also look at, like, what happens to the market most of the time when they issue earnings, great earnings, you'll see it pop up for a second, but then, you know, they did a study on Kramer, and most of the time, if you shorted his stuff, you know, they would
[00:49:23.038 --> 00:49:29.761]  You'd make money, but then two weeks later, if you were long, you'd make the money, because they're all looking for that short-term pop.
[00:49:30.022 --> 00:49:32.443]  All the pros are selling into that.
[00:49:32.543 --> 00:49:38.346]  Yeah, they tell the suckers, stay in for the long-term, so the pros can make money on the ups and downs.
[00:49:38.786 --> 00:49:41.347]  Right, the pros make money, and they also make money in the long-term as well.
[00:49:41.367 --> 00:49:51.993]  But if you look at the pits, because I worked with the Board of Trade and the Mercantile Exchange, they're so crooked and corrupt in the pits, and they're insider trading all the time and making millions.
[00:49:52.586 --> 00:50:17.173]  And a lot of times, what you'll see is when there's guys in there making markets, even the locals on the floor get hosed by Morgan Stanley's of the world, because what'll happen is, they'll come in for a trade, and they'll make the trade, and the local will make a tick or two, and you know, the customer will have their giant order filled, but then the guy will come back to them ten minutes later and say, hey, you've got to make this change, otherwise, you know, we're not going to trade with you again, because our customer wants a better price.
