[00:00:02.870 --> 00:00:04.771]  We now go to Dr. Nick Begich.
[00:26:17.791 --> 00:26:18.892]  It's sitting in tidewater.
[00:26:19.432 --> 00:26:25.536]  We have 600-foot coal seams on the coastline that are available that are low sulfur.
[00:26:26.636 --> 00:26:29.078]  Tremendous resources all through the state.
[00:26:29.665 --> 00:26:33.228]  Gold, silver, platinum, tin, everything.
[00:26:33.328 --> 00:26:34.869]  So veritable South Africa.
[00:26:35.550 --> 00:26:36.831]  It is unbelievable.
[00:26:36.891 --> 00:26:42.256]  It dwarfs South Africa, as a matter of fact, because landmass-wise, take a look at what Alaska represents.
[00:26:42.716 --> 00:26:48.441]  In terms of fisheries, we're the largest fishery left on the planet, and most of it being taken by foreign fleets.
[00:26:48.901 --> 00:26:52.144]  The fact is, Alaska is a treasure house.
[00:26:52.384 --> 00:26:57.869]  That is the potential of turning this country's economic situation around, because
[00:26:58.345 --> 00:27:00.446]  These are natural resources held in common.
[00:27:00.546 --> 00:27:02.027]  An application of technology.
[00:27:02.087 --> 00:27:05.088]  We can do today earth-penetrating tomography.
[00:27:05.148 --> 00:27:12.952]  We can look several miles deep into the earth's crust and determine all of the mineral deposits and all of the oil and gas deposits.
[00:27:13.362 --> 00:27:15.945]  With 99.9% accuracy.
[00:27:16.105 --> 00:27:17.006]  Well, here's an example.
[00:27:17.867 --> 00:27:31.521]  Here in Texas, they found a giant oil and gas field from Dallas to Houston, and the really big majors have been trying to use environmental groups, other people, to shut down drilling, which has no environmental impact.
[00:27:31.541 --> 00:27:35.345]  I mean, they literally create maybe an acre pad and drill it and bring it out completely cleanly.
[00:27:36.225 --> 00:27:41.866]  And the oil companies have been caught buying up all the oil refineries so that they just can't take it to market.
[00:27:42.526 --> 00:27:44.687]  And that's even been in the Associated Press.
[00:27:44.707 --> 00:27:50.888]  So they're busy blaming five hippies wearing sandals and the five hippies think they're King Kong and go, man, we got power.
[00:27:51.348 --> 00:27:52.409]  No, you don't have power.
[00:27:52.829 --> 00:27:55.549]  You're being used and scammed and laughed at.
[00:27:55.569 --> 00:28:00.950]  And so imagine what's going on in Texas, which is a fraction of what Alaska has.
[00:28:01.350 --> 00:28:03.431]  I mean, the oil price could be cut in half tomorrow.
[00:28:04.187 --> 00:28:14.251]  Right, and you know, the other thing is what happened in D2, all the environmental groups got all enamored because the Rockefeller Foundation and all these foundations, these industrialist foundations, were given them money.
[00:28:14.731 --> 00:28:15.832]  And they couldn't figure it out.
[00:28:15.872 --> 00:28:25.296]  Well, when they locked all this land, what they did is once they surveyed all this, they locked a big portion of it up in parks and preserves, so you couldn't mine it except under one condition.
[00:28:25.496 --> 00:28:26.796]  See, it was open to you and me.
[00:28:26.896 --> 00:28:28.497]  As American citizens, we could go out
[00:28:29.068 --> 00:28:36.334]  And make a discovery, and stake that claim, and have the ownership of those mineral rights, and we could go to patent if it was federal land, and if it was state, you could go to lease.
[00:28:36.895 --> 00:28:37.876]  But you had that right.
[00:28:38.396 --> 00:28:48.545]  When they locked up this federal land in this way, the only time it'll ever be available is in a national crisis, and then the multinationals will be invited in, because they're the only ones that can mobilize.
[00:28:48.985 --> 00:28:53.509]  And then the real environmentalists, the ones who are concerned about a legitimate way of approaching development,
[00:28:54.309 --> 00:28:56.949]  All of a sudden, all that goes out the window because it's an emergency.
[00:28:57.090 --> 00:28:59.350]  Yeah, let's be clear, let's be clear.
[00:28:59.390 --> 00:29:01.450]  Five guys in sandals, Earth First.
[00:29:01.470 --> 00:29:04.311]  You run nothing, you're a joke, you're funded by the globalists.
[00:29:04.351 --> 00:29:05.371]  I know you won't admit that.
[00:29:05.731 --> 00:29:07.011]  Losing is too important for you.
[00:29:07.031 --> 00:29:10.512]  Being scammed is always the object of, you know, being a chump.
[00:29:11.352 --> 00:29:17.413]  But I'm giving you the facts here, and Dr. Begich is giving you the facts, and they pretty clearly killed his dad over all this trying to bring out the facts.
[00:29:18.033 --> 00:29:21.434]  Understand, this belonged to the American people.
[00:29:21.974 --> 00:29:27.376]  And it was stolen, just like they find giant clean-burning coal deposits enough to run the whole U.S.
[00:29:27.396 --> 00:29:42.202]  for 200 years in Utah, and Bill Clinton says, off-limits, and then they mine dirty coal in Texas, lignite, and then dump it in the plants and spew mercury and take the environmental rules off so they can burn mercury-filled coal.
[00:29:42.583 --> 00:29:44.643]  And the environmentalists dance around loving that, too.
[00:29:44.683 --> 00:29:45.524]  I mean, it's incredible.
[00:29:46.124 --> 00:29:49.346]  Yeah, we have anthracite here, which is very clean-burning.
[00:29:49.406 --> 00:29:53.227]  In fact, we used to fuel, during World War I, Alaskan coal fueled the Pacific Fleet.
[00:29:53.247 --> 00:29:54.428]  A lot of people don't know this.
[00:29:54.468 --> 00:29:57.029]  They shut them all down after the war was over.
[00:29:57.089 --> 00:30:04.453]  Copper, Alaska has, and there'll be a story to tell on this someday, but Alaska has huge deposits of copper.
[00:30:04.553 --> 00:30:13.557]  The Guggenheim family, when they owned all the copper in the country back during the 1870s and on, they owned all of it in Colorado, then they owned
[00:30:13.999 --> 00:30:16.221]  Everything in Alaska, then they owned everything in Chile.
[00:30:16.261 --> 00:30:18.203]  They had a worldwide monopoly with J.P.
[00:30:18.243 --> 00:30:19.023]  Morgan up here.
[00:30:19.624 --> 00:30:28.231]  And what they left behind, because they left Alaska after not mining out the copper, it's just that labor was so much cheaper in Latin America.
[00:30:28.251 --> 00:30:33.275]  There were only 30,000 people living in Alaska 100 years ago when they discovered copper.
[00:30:33.775 --> 00:30:38.259]  And yet the copper deposit that was being mined at Kennecott was with five
[00:30:40.180 --> 00:30:45.204]  On a ratio of 15 times what they would mine per person in Montana.
[00:30:45.384 --> 00:30:53.610]  In other words, the copper ore was so rich at Kennecott that 15 times as much money was produced per person.
[00:30:54.210 --> 00:30:58.113]  They had an unbelievable discovery.
[00:30:58.153 --> 00:30:58.894]  Well, they left it.
[00:30:58.994 --> 00:31:01.876]  I mean, they left the buildings, everything, the machinery.
[00:31:02.418 --> 00:31:07.986]  Uh, pulled up the railroad and went to Chile because Chile had a million people that had their own agricultural basin.
[00:31:08.366 --> 00:31:09.528]  They could pay in peanuts.
[00:31:09.989 --> 00:31:15.176]  And Alaskan labor was expensive in those days, and, you know, I mean, an egg cost a hundred years ago a buck.
[00:31:16.149 --> 00:31:20.370]  You know, you talk about an egg costing money today, it was a dollar during the gold rush era.
[00:31:21.010 --> 00:31:27.572]  But, you know, the thing about all of this is when you start to look at the national resources and you look at... I'll give you another example.
[00:31:27.612 --> 00:31:35.734]  It's all been locked away through phony conservation and it's all... It's like a safety deposit box for the multinationals.
[00:31:36.294 --> 00:31:38.715]  They get to break it out later when the price is high enough.
[00:31:38.775 --> 00:31:40.195]  You know why oil is so high?
[00:31:40.655 --> 00:31:43.756]  It's because the alternatives are about to come in and the oil industry
[00:31:44.292 --> 00:31:48.861]  ...is getting as much money together in the big pile as they can because they're going to own that industry.
[00:31:49.341 --> 00:31:54.010]  Whatever those alternatives are, they're going to be in such a heavy cash position, you're going to buy out whoever's in the game.
[00:31:54.642 --> 00:31:59.004]  And that is the reason I believe they're capitalizing right now.
[00:31:59.064 --> 00:32:15.013]  They want to own the energy industry, whatever that looks like in the 21st century, and make sure you're stuck on a meter when the 21st century should offer us the opposite and it does, where we shouldn't have any meters and we ought to be totally independent in our households with energy and our businesses with energy.
[00:32:15.473 --> 00:32:26.759]  Well, I want to hear about some of those advanced technologies that they're suppressing and that they plan to own, and you're absolutely right with your research, and I know you can elaborate and teach us a lot, but this is economic warfare.
[00:32:27.399 --> 00:32:42.047]  They have built a society, especially in the United States and Western Europe, completely dependent on fossil fuels, with these sprawling cities and rural areas where you have to have the car.
[00:32:42.927 --> 00:32:49.754]  They have strategically blocked the development of other fuels and other energy platforms.
[00:32:50.394 --> 00:33:05.929]  And then now, as you said, they're not just getting a pile of money for investment, they state that they are now literally waging war on the population and are squeezing the middle class into extinction and transferring
[00:33:07.050 --> 00:33:21.054]  masses of the wealth to themselves in a predatory fashion to pre-position themselves in the 21st century to fully build a corporate control grid, police state system that they call their New World Order.
[00:33:21.734 --> 00:33:33.537]  Yeah, I agree with that and I think when you look at the interlocking boards of directors in these corporations, when you start to analyze the relationships politically on a national and a state level and you watch how that whole machine operates,
[00:33:34.429 --> 00:33:51.333]  You know, if people fully had disclosure, and we work with unclassified materials and put together the picture pretty clearly, but if people had full disclosure of things that are truly not national secrets, but are national embarrassments, we would be changing this government out in a dramatic way.
[00:33:51.493 --> 00:34:02.716]  And not to say that it should be violent or anything like that, but the fact of the matter is the truth, the truth of what has happened, and this is why the technology is so threatening.
[00:34:03.403 --> 00:34:31.229]  uh... to to this establishment because they recognize that you know when people hear and they feel the pain of the results of this truth which is fear your loss your pension your social security uh... worry about your money in the bank in your money market that could collapse and then you find out it was all done predatorily by design you're going to get mad so they preemptively have a police state surveillance grid in place uh... we've got a break but but before we break
[00:34:32.462 --> 00:34:36.045]  Finish up the point we're making, but I want to get into the fraud of the global carbon tax, but go ahead.
[00:34:36.545 --> 00:34:38.867]  Yeah, and you know, that's another, you know, that whole issue.
[00:34:38.907 --> 00:34:46.252]  The technology on the sciences, I mean, the simple things on the models taught in business school that make sure you get the customer coming back.
[00:34:46.693 --> 00:34:51.456]  So they don't want you independent energy where you buy something that'll last for 20 years and provides all your power.
[00:34:52.017 --> 00:34:55.139]  They want something that you have to go get a meter and plug into.
[00:34:55.842 --> 00:35:00.644]  This is why Tesla never got his free power grid on the planet, because J.P.
[00:35:00.684 --> 00:35:09.666]  Morgan, the same guy that financed the monopolies of almost every monopolist of the last part of the last century, you know, all of that was about control.
[00:35:09.886 --> 00:35:21.150]  Well, the new solar systems that the cities are paying for, that the feds are paying, you know, subsidizing a discount for you to get, hook into the grid, and then... I'll give you an example.
[00:35:21.210 --> 00:35:22.630]  My brother Mark is mayor of Anchorage.
[00:35:23.091 --> 00:35:24.411]  They have a municipal light and power.
[00:35:24.966 --> 00:35:26.787]  They bought gas rights from Shell Oil.
[00:35:26.807 --> 00:35:29.188]  They bought them out of the Cook Inlet gas field they own.
[00:35:29.268 --> 00:35:34.131]  So the city bought the gas rights for $1.40 per thousand cubic feet.
[00:35:34.992 --> 00:35:36.072]  And what is it today?
[00:35:36.092 --> 00:35:36.312]  You know, $13?
[00:35:37.768 --> 00:35:43.050]  And so the ratepayers are paying this incredibly good rate in the municipality of Anchorage for power.
[00:35:43.090 --> 00:35:46.291]  Seven cents, I think, a kilowatt hour on natural gas.
[00:35:46.531 --> 00:35:48.952]  You're paying $1.13 to buy it.
[00:35:49.032 --> 00:35:53.453]  You're paying $1.13, what everybody else pays, and the media calls that subsidized.
[00:35:53.813 --> 00:35:55.314]  No, that's what it really costs!
[00:35:55.894 --> 00:36:01.116]  Yeah, that's actually what it costs, and the city was smart enough to buy those rights in a commercial market.
[00:36:01.416 --> 00:36:02.996]  He wanted to look into selling them, right?
[00:36:03.036 --> 00:36:04.917]  He wanted to sell them into the marketplace.
[00:36:05.478 --> 00:36:11.582]  Because then he could retire all the debt for the city, you know, because it's gone up in value so much, and have a debt-free city.
[00:36:12.043 --> 00:36:17.867]  And the Utilities Commission won't let him do it, because the ratepayers will pay too much, which I can understand, too, but, you know, it's on balance.
[00:36:18.427 --> 00:36:19.528]  It's an interesting mix.
[00:36:19.588 --> 00:36:21.029]  Here we go, we're going to skip the break.
[00:36:21.069 --> 00:36:21.329]  Here we go.
[00:36:24.764 --> 00:36:30.046]  Doc, we're going to come back and take everybody's phone calls for folks that are patiently holding.
[00:36:30.066 --> 00:36:31.707]  I've got so many calls here on screen.
[00:36:31.727 --> 00:36:33.948]  You've got to do this more often, Alex.
[00:36:34.248 --> 00:36:34.789]  Oh, you bet.
[00:36:35.629 --> 00:36:37.410]  We've got so many calls here on screen, John.
[00:36:37.810 --> 00:36:40.911]  Just re-input them so I know who's who or who's hung up.
[00:36:41.131 --> 00:36:42.152]  Okay, just close your window.
[00:36:42.975 --> 00:36:44.636]  Okay, I'll do that.
[00:36:44.676 --> 00:36:45.097]  Thank you, sir.
[00:36:45.957 --> 00:36:47.158]  Doc, we are continuing.
[00:36:47.238 --> 00:36:50.281]  There's still a lot of people listening in this behind-the-scenes discussion.
[00:36:50.301 --> 00:36:59.328]  I just skipped some of the breaks now that we're streaming this live via PrisonPlanet.tv for the members, and then also people listening for free on the internet at InfoWars.com.
[00:37:00.248 --> 00:37:10.817]  Let's start getting into the global warming fraud right now in about three minutes, because obviously there's climate change going on, they're manipulating the weather, obviously there's real environmental crises, but
[00:37:11.237 --> 00:37:24.605]  Because even if you believe that carbon dioxide is causing warming, which the evidence shows it's not, their solution would ship all production to the third world with no controls and would actually boost, I've seen the studies, boost greenhouse gases.
[00:37:24.625 --> 00:37:35.352]  So even if you don't debate it and say it's real, their solution's a fraud, and they admit now you will buy the carbon tax credit from the private central banks, making them the world government.
[00:37:36.098 --> 00:37:53.572]  Right, you know, this is, um, it's really nature, and you can look at, there's a great BBC special on this that was very well done, laying the case, and we've said it, it's solar energy that contributes to the changes on the planet, and other conditions, undersea volcanics that also contribute.
[00:37:53.612 --> 00:37:58.116]  We published that back in the mid-nineties, and eventually you'll see that.
[00:37:58.256 --> 00:38:02.140]  It is really not man making this happen, it's nature.
[00:38:02.240 --> 00:38:05.102]  We did a video on this, I think you guys carried it to the Earth,
[00:38:05.758 --> 00:38:22.806]  It changes the ripple effect and the subtitle of Alaska sounds the alarm because in my lifetime, I'll be 50 this year, in my lifetime, I've watched our glaciers recede, disappear up here because it is getting warmer but not for the reasons that are posed in the mainstream media.
[00:38:22.846 --> 00:38:28.708]  And the other issue is when you talk about no regulation outside of the country, you're absolutely dead on right.
[00:38:28.748 --> 00:38:30.909]  In fact, if the U.S.
[00:38:30.949 --> 00:38:34.191]  stopped everything, just shut down the whole thing today,
[00:38:34.824 --> 00:38:43.571]  It wouldn't matter one iota, because China and India will surpass whatever we're saving within a year or two of stopping everything, and that's not realistic.
[00:38:44.071 --> 00:38:50.697]  The other issue is, you know, what we're really more concerned about is the toxins that are being put into the environment.
[00:38:50.737 --> 00:38:58.703]  Those are legitimate concerns, but the greenhouse effect is a natural phenomena, largely the excuse of taxing everyone.
[00:38:58.963 --> 00:39:02.286]  And basically, the globalists are looking at it from this perspective.
[00:39:02.921 --> 00:39:11.866]  They had 300 million people to test out how to create and do marketing, consumers and taxpayers, and forget that we're human beings.
[00:39:11.926 --> 00:39:16.408]  And now they want to experiment with that on 6.3 billion people they would like to catch up.
[00:39:17.029 --> 00:39:21.691]  And the money, and the resources, and the government... Tell you what, stay there.
[00:39:21.711 --> 00:39:22.792]  We're coming back with a full audience.
[00:39:22.852 --> 00:39:24.613]  Recap that thought and continue.
[00:39:24.633 --> 00:39:24.913]  Here we go.
[00:39:28.493 --> 00:39:29.814]  Dr. Nick Begich is our guest.
[00:39:29.834 --> 00:39:33.176]  The website is InfoWars.com and PrisonPlanet.com.
[00:39:33.596 --> 00:39:36.538]  We have links up on InfoWars.com to his website.
[00:39:36.558 --> 00:39:38.059]  You can go to EarthPulse.com.
[00:39:38.079 --> 00:39:39.180]  That's EarthPulse.com.
[00:39:39.800 --> 00:39:41.281]  And he has some others as well.
[00:39:41.301 --> 00:39:45.043]  We carry quite a few of his books and videos at InfoWars.com.
[00:39:45.464 --> 00:39:48.706]  So be sure and check those out on the online video and bookstore.
[00:39:49.686 --> 00:39:54.050]  Your calls, when we start the next hour, we're going directly to all of you that are holding patiently.
[00:39:54.430 --> 00:39:57.572]  Mason, Rusty, James, Paige, JD, thank you for holding.
[00:39:57.592 --> 00:39:58.953]  We're going to get to you.
[00:39:58.993 --> 00:40:04.237]  During the behind-the-scenes, for folks listening on the InfoWars.com streams, I brought up global warming.
[00:40:04.858 --> 00:40:07.620]  Obviously, it's been every angle of science.
[00:40:07.700 --> 00:40:18.769]  The hoax is, hundreds of thousands of scientists say it's not man-made, that it's natural, and then they've got a few hundred the UN hired who are quacks that say it is man-made, and we were just going over that.
[00:40:19.489 --> 00:40:21.051]  Now, are there real environmental things?
[00:40:21.271 --> 00:40:22.052]  Absolutely.
[00:40:23.334 --> 00:40:24.455]  Are we in a lot of trouble?
[00:40:24.655 --> 00:40:25.336]  Absolutely.
[00:40:25.997 --> 00:40:34.326]  But the globalists are just offering you a tax that will actually increase greenhouse emissions, even if you capitulate and believe the fraud, that it's man-driven.
[00:40:34.346 --> 00:40:39.032]  When the UN's own report says 6% of the greenhouse gas
[00:40:40.293 --> 00:40:43.674]  Greenhouse gas emissions are 6% of the increase in temperature.
[00:40:44.314 --> 00:40:51.916]  But, Dr., you were talking about why they're doing this, coming in, trying to block a renaissance, an excuse to bring us into a new technological dark age.
[00:40:52.816 --> 00:40:55.457]  Yeah, I think that's really what it is about.
[00:40:55.497 --> 00:41:02.878]  You know, the fact that they want to keep us dependent until the last drop is drug out, but more than that, it's the wealth transfer.
[00:41:02.978 --> 00:41:09.740]  It's the markets that are seen as 6.3 billion people trying to catch up with what America
[00:41:10.242 --> 00:41:10.823]  Has built.
[00:41:10.863 --> 00:41:13.765]  And for that to happen, America has to lose.
[00:41:13.825 --> 00:41:15.306]  We have to be decapitalized.
[00:41:15.346 --> 00:41:18.029]  The money has to go out of this country to somewhere else.
[00:41:18.189 --> 00:41:19.590]  So they won't catch up.
[00:41:19.710 --> 00:41:21.752]  We're going to be lowered down to their level.
[00:41:21.792 --> 00:41:24.494]  And they even say that on NPR, like it's wonderful.
[00:41:25.515 --> 00:41:31.780]  And the fact that, you know, what we saw here, you know, people don't realize, like, the coming banking crisis, which we haven't seen the beginnings of yet.
[00:41:32.466 --> 00:41:40.056]  And here in Alaska, when oil went the other way, when it was like $8, $9 a barrel in the mid-80s, people don't remember it.
[00:41:40.076 --> 00:41:41.017]  It took a big drop.
[00:41:41.157 --> 00:41:43.780]  Well, here in Alaska, 1 in 3 banks failed.
[00:41:43.800 --> 00:41:46.123]  1 in 3 went out of business.
[00:41:46.764 --> 00:41:48.867]  1 in 10 homes went into foreclosures.
[00:41:49.568 --> 00:41:51.370]  The bankruptcies were off the charts.
[00:41:51.977 --> 00:42:00.282]  And when we saw that happen here, and what it did, and then the roll-up, because businesses have been here 50, 60 years, we're caught in that trap.
[00:42:00.762 --> 00:42:09.647]  As housing developers defaulted, and contractors defaulted, and their subcontractors defaulted, and their employees defaulted, and people fell all around us.
[00:42:10.007 --> 00:42:15.751]  And that has not yet happened to the country for the opposite reasons, because oil now is, you know, $130, $140 a barrel.
[00:42:18.725 --> 00:42:19.366]  That impacts.
[00:42:19.406 --> 00:42:20.606]  We are all counter-cyclic.
[00:42:20.666 --> 00:42:23.989]  Alaska is an oil state, so when oil is high, our state thrives.
[00:42:24.029 --> 00:42:30.312]  When oil is low, we suffer greatly, because 85% of our revenue stream is oil-driven.
[00:42:30.813 --> 00:42:42.400]  And when you start to look at the national resources that are being auctioned off today, in the case of one of the big ones that just went off in northwest Alaska off the coast,
[00:42:43.228 --> 00:42:49.353]  That auction brought $2.5 billion today at oil at $140 a barrel.
[00:42:49.513 --> 00:42:56.539]  Prudhoe Bay, with one-tenth of the projected reserves, brought in $1 billion when oil was $3 back in 1969.
[00:42:56.659 --> 00:42:58.721]  Okay, Doc, stay there.
[00:42:58.801 --> 00:42:59.101]  Stay there.
[00:42:59.121 --> 00:43:00.542]  I want to finish up with that when we come back.
[00:43:00.562 --> 00:43:01.964]  We're about to start the fourth hour.
[00:43:01.984 --> 00:43:03.505]  We're going to go to your calls, but stay there.
[00:43:03.545 --> 00:43:07.488]  Before we end this hour, I want to encourage everybody to go to Infowars.com.
[00:43:08.769 --> 00:43:11.171]  Link through on the bookstore and video store shopping cart.
[00:43:11.812 --> 00:43:12.672]  Get the DVD.
[00:43:12.832 --> 00:43:17.316]  Angels still don't play this DVD.
[00:43:17.957 --> 00:43:19.398]  Latest info on Harp.
[00:43:20.078 --> 00:43:24.182]  Also we have his mind control video, his energy video, books.
[00:43:24.742 --> 00:43:27.664]  We've got all his best stuff at InfoWars.com.
[00:43:28.064 --> 00:43:31.887]  This is important material that needs to be seen by everybody.
[00:43:31.927 --> 00:43:37.031]  So please, go to InfoWars.com and get Angel's Still Don't Play This Harp.
[00:43:37.371 --> 00:43:39.333]  You've read the book, a lot of you will.
[00:43:39.373 --> 00:43:40.193]  Get the video.
[00:43:40.233 --> 00:43:40.994]  It's powerful stuff.
[00:43:41.454 --> 00:43:46.596]  Get the mind control video as well where he goes over all the admissions of what they've gotten.
[00:43:46.636 --> 00:43:48.096]  Later I want to speak to him about that.
[00:43:48.116 --> 00:43:53.938]  I also want to get from Dr. Nick Begich his take on where the economy is going and how bad he thinks it will really get.
[00:43:54.198 --> 00:43:57.199]  But first, we're going to take about 30 minutes of your phone calls.
[00:43:57.539 --> 00:43:59.559]  When we get back in just 70 seconds.
[00:43:59.579 --> 00:44:00.040]  Stay with us.
[00:44:03.841 --> 00:44:05.181]  Thank you for listening to GCN.
[00:44:05.241 --> 00:44:10.423]  Visit GCNlive.com today.
[00:44:13.078 --> 00:44:14.759]  Our beloved Republic is on her knees.
[00:44:15.039 --> 00:44:18.481]  The forces of globalism are destroying national sovereignty worldwide.
[00:44:18.662 --> 00:44:20.543]  But in Liberty's darkest hour, there is hope.
[00:44:21.123 --> 00:44:23.845]  The first time in modern history, the people are beginning to wake up.
[00:44:24.165 --> 00:44:29.628]  It is essential that patriots worldwide accelerate their fellow man's understanding of the New World Order Master Plan.
[00:44:29.888 --> 00:44:33.811]  We have a short time frame to fully awaken and energize the people to meet this threat.
[00:44:34.131 --> 00:44:39.055]  In the Info War, PrisonPlanet.tv is a powerful weapon in the battle to regain our freedom.
[00:44:39.335 --> 00:44:42.097]  PrisonPlanet.tv is a vault of forbidden information.
[00:44:42.377 --> 00:44:49.222]  All 18 of my documentary films can be downloaded or streamed in super high quality directly to your computer or iPhone and shared with others.
[00:44:49.602 --> 00:44:55.427]  Thousands of special video reports, from tainted vaccines to martial law, can be found in this online video library.
[00:44:55.587 --> 00:45:00.090]  My weekly news television broadcast, thousands of exclusive audio interviews, and so much more.
[00:45:00.490 --> 00:45:01.030]  I'm on air.
[00:45:42.128 --> 00:45:43.969]  We've got Otter Nick Meggins for most of the hour.
[00:45:43.989 --> 00:45:50.591]  We're going to be taking your phone calls right now, but you were going to, when we hit the break, you were interrupted by that.
[00:45:50.831 --> 00:45:59.373]  Tell us specifically you were getting into the value of the Prudhoe Bay Proven Reserves, a tiny area in Alaska.
[00:46:00.276 --> 00:46:00.816]  Right.
[00:46:00.836 --> 00:46:08.279]  They projected 900 million barrels of oil there, and the auction was a billion dollars, basically.
[00:46:08.319 --> 00:46:12.200]  Just under a billion dollars in 1969, when oil was $3 a barrel.
[00:46:12.380 --> 00:46:23.283]  Now, here in Alaska, under this federal administration, a lease just took place that they raised $2.5 billion on an oil reserve that's projected to have 10 billion barrels in it.
[00:46:23.663 --> 00:46:28.825]  In other words, 10 times as much at a price that is like 40 times higher
[00:46:29.648 --> 00:46:31.229]  Uh, than it was in 1969.
[00:46:32.349 --> 00:46:34.130]  And we only get two and a half times the money.
[00:46:34.571 --> 00:46:39.413]  Now this is, uh, this is the fuzzy math of the biggest rip-off since the railroad barons.
[00:46:39.513 --> 00:46:40.574]  And people don't remember that.
[00:46:40.594 --> 00:46:44.115]  You know, they controlled all the corridors so the farmer beats his brains out.
[00:46:44.155 --> 00:46:45.536]  No, they convinced the public.
[00:46:45.776 --> 00:46:50.458]  They convinced the public there's no elites, no corruption, and then, and then of course they just totally took over.
[00:46:51.199 --> 00:46:57.482]  Yeah, and what they're doing now is this acceleration of the offshore leasing because it's the biggest giveaway in the history of the country.
[00:46:58.246 --> 00:47:05.892]  If we did look at these resources differently, in terms of how do we maximize their potential for the public benefits.
[00:47:06.253 --> 00:47:12.178]  Here in Alaska, a lot of people don't know this, but because of our oil revenue and what it does, we don't have a state income tax.
[00:47:12.338 --> 00:47:13.519]  We don't have a state sales tax.
[00:47:13.539 --> 00:47:15.881]  In fact, the government pays you to live in Alaska.
[00:47:16.461 --> 00:47:16.861]  That's right.
[00:47:16.942 --> 00:47:27.190]  In fact, right now our legislature is in a special session and residents who have been here a year at the end of this session are likely going to see a $1,200 check show up for every resident.
[00:47:27.230 --> 00:47:29.792]  Folks, that's how rich this whole country is.
[00:47:30.152 --> 00:47:35.096]  And Mexico has triple the resources of the lower 48, but they're one of the poorest in the world.
[00:47:35.357 --> 00:47:39.020]  Because the elites want you poor as a mode to control you.
[00:47:39.100 --> 00:47:40.981]  It's in their own handbooks.
[00:47:41.562 --> 00:47:49.248]  You know, the public resources are enough to supply the National Treasury, retire the debt, eliminate income tax for individuals,
[00:47:49.853 --> 00:47:53.436]  Uh, and tax corporations when they use public resources.
[00:47:53.476 --> 00:47:59.160]  But instead we have a Federal Reserve that has set up a system where it's impossible to get out of debt.
[00:47:59.460 --> 00:48:01.462]  For money to be created, debt is created.
[00:48:01.822 --> 00:48:02.703]  It is a total fraud.
[00:48:02.743 --> 00:48:03.583]  Let's go to the calls.
[00:48:04.024 --> 00:48:06.405]  Mason in Florida, Rusty, James, and others.
[00:48:06.445 --> 00:48:07.126]  Go ahead, Mason.
[00:48:07.887 --> 00:48:08.507]  Hello, can you hear me?
[00:48:08.607 --> 00:48:09.067]  Yes, I can.
[00:48:09.087 --> 00:48:14.271]  Okay, um, hey Alex, I've, um, been wanting to call in for a while, but I'm only, um, 17.
[00:48:14.371 --> 00:48:15.792]  I live in Florida.
[00:48:16.953 --> 00:48:19.195]  When I first found out about this, I thought, like,
[00:48:19.884 --> 00:48:22.828]  Not to be rude or anything, but I thought you were crazy and my friend was crazy.
[00:48:23.589 --> 00:48:34.384]  Once I saw Endgame and looked everything up, I found out, but ever since then I've been trying to wake people up, but it's basically been like, uh, you're some crazy conspirator, you're in some fantasy world.
[00:48:34.861 --> 00:48:45.210]  Hey, listen, I got neocons who on their own websites, because they send me their links, are in the military and they say the dollar's not devalued, everything's fine.
[00:48:45.630 --> 00:48:52.776]  Dr. Begich, what is, I mean, it's like people are in a spell, at least some of them, where they cannot face reality.
[00:48:52.816 --> 00:48:54.918]  It seems to be more than denial.
[00:48:54.958 --> 00:48:59.082]  I mean, is it that they're so invested in lies they can't admit they were wrong?
[00:48:59.722 --> 00:49:08.625]  Yeah, I think that's a lot of it, and that idea of never concede a point, you know, and most people never analyze a point, you know, and they bank on that.
[00:49:08.685 --> 00:49:23.310]  Well, when people are suffering, and this is what they're not banking on, and people are suffering in this country, and the inflation hasn't even started, I mean, the worst is yet to come, and that, in and of itself, although we hate to see it happen, is what it takes sometimes to wake up the American public.
[00:49:23.330 --> 00:49:27.952]  And you can say it, I can say it, you can say it, I can say it, we told you so.
[00:49:28.789 --> 00:49:30.530]  Yeah, absolutely.
[00:49:31.191 --> 00:49:38.457]  And yet, the hope is still there, because it's not over until it's over, and we still have a chance to take this republic back.
[00:49:38.497 --> 00:49:39.518]  And that's the thing.
[00:49:39.558 --> 00:49:41.579]  And I think people are feeling this all over the world.
[00:49:41.679 --> 00:49:43.361]  When I travel, I travel quite a bit.
[00:49:44.061 --> 00:49:46.423]  I run into this in Europe, I run into it every place.
[00:49:46.443 --> 00:49:48.805]  And when you start to think about it,
[00:49:49.847 --> 00:49:56.671]  It's just a different spin on the same formula, which is to enslave the public, to be dependent, when we used to be independent.
[00:49:56.751 --> 00:49:58.552]  And in this century, we should be independent.
[00:49:58.592 --> 00:50:02.874]  Our technologies offer us the potentials that are just incredible.
[00:50:02.954 --> 00:50:05.056]  I mean, the solutions are already here.
[00:50:05.396 --> 00:50:08.758]  We just need a different political will to bring them into reality.
[00:50:08.818 --> 00:50:11.699]  All right, on the InfoWars streams, we're going to skip this break, too.
[00:50:12.100 --> 00:50:13.961]  Stay there, Mason, Kahls, everybody.
