[00:00:00.009 --> 00:00:04.090]  You are listening to GCN, the Genesis Communications Radio Network.
[00:25:19.893 --> 00:25:21.494]  Reporting on this, here it is.
[00:25:21.494 --> 00:25:30.620]  People who have fled across the border, they've told us about their experiences.
[00:25:30.620 --> 00:25:33.442]  The war has been on for four or five days now.
[00:25:33.442 --> 00:25:34.743]  We are already tired.
[00:25:34.743 --> 00:25:40.426]  There are lots of bodies over there, lots of people have been killed, mostly Ossetians, but also Georgians.
[00:25:40.426 --> 00:25:44.589]  They had American emblems on the forearms, and they were in black uniforms.
[00:25:44.589 --> 00:25:45.089]  Are you scared?
[00:25:48.840 --> 00:25:49.761]  Of course I am.
[00:25:49.761 --> 00:25:51.722]  My son is in Rostov, Russia.
[00:25:51.722 --> 00:25:56.947]  I am alone here.
[00:25:56.947 --> 00:26:04.313]  My hand hurts a lot after I was shot, but I can't go to hospital because people are shooting outside.
[00:26:04.313 --> 00:26:05.734]  That's right.
[00:26:05.734 --> 00:26:08.896]  U.S.-backed forces, and I say U.S., our country's gone.
[00:26:08.896 --> 00:26:16.603]  People running our country are dismantling, running the military out, 3-4 tours, destroying the dollar, destroying our borders, our sovereignty.
[00:26:17.223 --> 00:26:25.748]  And then now, you have the Marine Corps, mercenaries, the Army, running a sneak attack against Russia!
[00:26:25.748 --> 00:26:29.330]  They wouldn't dare do this in the 80's when they used Al-Qaeda to attack Russia.
[00:26:29.330 --> 00:26:30.831]  By the way, that's now declassified.
[00:26:30.831 --> 00:26:40.777]  For six months before they invaded Afghanistan, they had Afghan Al-Qaeda attacking Russians in the neighboring states to get the Russians to come in.
[00:26:40.777 --> 00:26:45.280]  And that was another lie to the American people, that the Russians attacked Afghanistan.
[00:26:45.280 --> 00:26:45.400]  No.
[00:26:46.519 --> 00:26:51.521]  You know, I bet next they'll tell us that Russia attacked Hitler, or I bet they'll tell us that Russia attacked Napoleon.
[00:26:51.521 --> 00:27:01.546]  No, Napoleon attacked Russia, Hitler attacked Russia, and the United States, the criminals that have hijacked our nation, if a hijacker hijacks a plane, that isn't a United Airlines pilot, that's a hijacker.
[00:27:01.546 --> 00:27:02.527]  Well, it's the same thing here.
[00:27:02.527 --> 00:27:08.029]  This isn't our military, this is not our government doing this, this is a pack of criminals.
[00:27:08.029 --> 00:27:09.430]  And, uh, ladies and gentlemen,
[00:27:11.061 --> 00:27:13.143]  I mean, do you want nuclear war with Russia?
[00:27:13.143 --> 00:27:14.964]  I mean, is that what everybody wants?
[00:27:14.964 --> 00:27:21.629]  I know it's fun to pick on Arabs and attack them and go into nations that we set up and then, you know, told to invade Kuwait like Iraq.
[00:27:21.629 --> 00:27:26.073]  I know it's fun to act tough and not be able to find on a map but say it's conservative to kill brown people.
[00:27:26.073 --> 00:27:28.114]  But do you want to mess with Russia?
[00:27:28.114 --> 00:27:35.720]  Now, I'm sorry, I have the Times of London here saying that Russia is threatening to use nuclear weapons against Western Europe and the U.S.
[00:27:35.720 --> 00:27:38.122]  They didn't do that during the Gulf, during the Cold War.
[00:27:39.915 --> 00:28:01.714]  I have the articles here where before this happened they said you're encircling us in Georgia with troops, in the Czech Republic, in Ukraine, in other areas, what is it, nine countries, and the Russian foreign minister six months ago, then two months ago, and then again Friday said we will use any military means to protect us including nuclear weapons.
[00:28:01.714 --> 00:28:02.275]  Okay?
[00:28:02.275 --> 00:28:03.636]  Now can you imagine what the U.S.
[00:28:03.636 --> 00:28:06.839]  would do if Russian troops attacked
[00:28:08.043 --> 00:28:12.044]  Uh, say, uh, Guantanamo Bay, 90 miles off our coast.
[00:28:12.044 --> 00:28:15.265]  And killed everybody.
[00:28:15.265 --> 00:28:16.326]  You never hear the end of it.
[00:28:16.326 --> 00:28:17.486]  I mean, this is the neocons.
[00:28:17.486 --> 00:28:19.127]  It's not enough to stage 9-11.
[00:28:19.127 --> 00:28:20.147]  It's not enough for Cheney.
[00:28:20.147 --> 00:28:25.089]  It comes out in mainstream news last week, wanting to create fake Iranian patrol boats.
[00:28:25.089 --> 00:28:25.749]  And have U.S.
[00:28:25.749 --> 00:28:27.309]  Navy SEALs in them attack U.S.
[00:28:27.309 --> 00:28:30.690]  ships in the Strait of Hormuz off the coast of Iran to blame it on them.
[00:28:30.690 --> 00:28:33.091]  That's now mainstream news, MSNBC reporting it.
[00:28:33.091 --> 00:28:34.832]  We reported it before it was mainstream news.
[00:28:34.832 --> 00:28:35.932]  Cy Hirst, New Yorker Magazine.
[00:28:36.658 --> 00:28:37.278]  Not enough!
[00:28:37.278 --> 00:28:39.139]  Now they have to attack Russia.
[00:28:39.139 --> 00:28:45.743]  And I got Jason Burmas coming back after the break to tell you, they always tell you, the New World Order always tells you what they're going to do in advance.
[00:28:45.743 --> 00:28:48.084]  We'll talk about that and then take your phone calls.
[00:28:48.084 --> 00:28:51.726]  This is very, very serious.
[00:28:51.726 --> 00:28:51.926]  877-590-5525.
[00:28:51.926 --> 00:29:01.992]  I'm sorry, we will not be talking about your favorite color, celebrity hairstyles, John Edwards and his girlfriend, or the Olympics, or Hillary Clinton's.
[00:29:02.652 --> 00:29:04.855]  Cat, we will be talking about serious issues.
[00:29:04.855 --> 00:29:11.323]  I want to hear from military that know about this going on in the buildup or a lot of Fort Hood troops that have already been in Georgia and rotated back.
[00:29:11.323 --> 00:29:11.904]  We'll be right back.
[00:29:11.904 --> 00:29:12.305]  Stay with us.
[00:29:29.921 --> 00:29:36.043]  Have you ever suffered from giardia, food poisoning, heavy metal poisoning, arthritis, fatigue, or high cholesterol?
[00:29:36.043 --> 00:29:42.606]  Maybe you're one of the 75 million Americans that the Center for Disease Control reports as suffering from internal parasites.
[00:29:42.606 --> 00:29:51.629]  If so, Freshwater Organics is proud to introduce you to a million-year-old miracle that has been used all over the world by health-conscious individuals seeking alternatives to chemicals and drugs.
[00:29:52.049 --> 00:29:59.234]  FPP or Fossilized Phytoplankton Powder is a 100% natural organic product with absolutely no additives.
[00:29:59.234 --> 00:30:04.518]  When taken daily it is an excellent source of natural plant-based silica with 14 trace minerals.
[00:30:04.518 --> 00:30:07.540]  Many believe it is the key to a healthy digestive tract.
[00:30:07.540 --> 00:30:18.167]  To find an FPP distributor near you or to buy it now online go to www.freshwaterorganics.com
[00:30:18.828 --> 00:30:20.752]  You can also call toll-free at 888-949-3570.
[00:30:20.752 --> 00:30:20.932]  That's 888-949-3570.
[00:30:29.486 --> 00:30:35.432]  Did you know that pH balance is one of the most important factors in maintaining high energy and vibrant health?
[00:30:35.432 --> 00:30:40.237]  Most experts agree that the water you drink should be at a pH level of 9 or higher.
[00:30:40.237 --> 00:30:45.662]  Plasma pH drops combine a unique formula of the most alkaline minerals and elements.
[00:30:45.662 --> 00:30:49.086]  This product is a one-of-a-kind in its strength and effectiveness.
[00:30:49.566 --> 00:30:58.093]  Using plasma pH drops is one of the best ways to make your water alkaline while helping you get rid of acid and regaining your health and energy.
[00:30:58.093 --> 00:31:03.897]  With just 10 drops, you can raise the pH level of the water you drink up to the pH of 10.
[00:31:03.897 --> 00:31:09.882]  Alkalizing water helps the body rid itself of acidic waste and increases the oxygen content of your body.
[00:31:09.882 --> 00:31:15.146]  Disease organisms like bacteria and cancer cannot survive in an alkaline environment.
[00:31:15.146 --> 00:31:18.108]  Order your bottle of AlkaVision Plasma pH Drops now.
[00:31:18.268 --> 00:31:35.196]  High fuel prices for gasoline and diesel are taking a huge bite out of budgets for individuals and businesses.
[00:31:35.196 --> 00:31:37.136]  But there is something you can do.
[00:31:37.136 --> 00:31:46.981]  Fuel Saver Incorporated's fuel enhancer formula will not only stretch each gallon of fuel further for mere pennies per treated gallon, but also cleans fuel injectors, pumps, and reduces emissions.
[00:31:47.561 --> 00:31:56.109]  Average improvement in fuel economy typically ranges from 8 to 20 percent or more, saving you 30 to 80 cents on each gallon of fuel at the pump.
[00:31:56.109 --> 00:31:57.770]  Now there's a boost for your budget.
[00:31:57.770 --> 00:32:02.454]  Fuel Saver Incorporated's product is completely safe for your vehicle, gas or diesel.
[00:32:02.454 --> 00:32:10.000]  In fact, the product is currently in use in motorcycles, cars, trucks, buses, RVs, boats, ships and locomotives.
[00:32:10.000 --> 00:32:11.802]  Go to FuelSaverInc.com today.
[00:32:12.142 --> 00:32:18.467]  That's Fuelsaverinc.com or call toll-free 866-768-7811.
[00:32:18.467 --> 00:32:24.651]  Call now 866-768-7811 or go to Fuelsaverinc.com.
[00:32:24.651 --> 00:32:26.332]  Fuel Saver Fuel Enhancer.
[00:32:26.332 --> 00:32:28.013]  Start saving on fuel today!
[00:32:28.013 --> 00:32:29.354]  Hi there.
[00:32:29.354 --> 00:32:31.576]  I want to talk to you about a dirty word.
[00:32:31.576 --> 00:32:32.016]  Hangover.
[00:32:32.616 --> 00:32:33.717]  I know, I know.
[00:32:33.717 --> 00:32:37.278]  As the makers of drink and mate hangover defense tablets, we hear it every day.
[00:32:37.278 --> 00:32:40.539]  Grown, respectable adults don't get hangovers.
[00:32:40.539 --> 00:32:48.422]  Hangovers are what you got in college when you had about ten too many at the frat house, and then rolled out of bed bright and early at the crack of noon the next day.
[00:32:48.422 --> 00:32:49.343]  These days?
[00:32:49.343 --> 00:32:55.745]  Well, sure, sometimes you'll have a couple drinks with dinner, and sometimes you'll wake up with a little headache feeling just a bit queasy.
[00:32:55.745 --> 00:32:58.066]  But that's not really a hangover, is it?
[00:32:58.066 --> 00:32:59.787]  Well, call it what you want, but now you
[00:32:59.787 --> 00:33:01.087]  You don't need to get one.
[00:33:01.087 --> 00:33:03.468]  Thanks to Drink and Mate Hangover Defense.
[00:33:03.468 --> 00:33:08.429]  Just pop one fizzy Drink and Mate tablet into a glass of water, just after you have a couple drinks.
[00:33:08.429 --> 00:33:13.431]  They taste great, and the patented Guava Leaf extract formula works while you sleep.
[00:33:13.431 --> 00:33:17.492]  So you wake up with no headache, no queasiness, no hangover.
[00:33:17.492 --> 00:33:19.873]  Look for the green box at retailers everywhere.
[00:33:19.873 --> 00:33:22.673]  For a location near you, visit drinkandmate.com.
[00:33:22.673 --> 00:33:24.354]  Drink and Mate Hangover Defense.
[00:33:24.354 --> 00:33:27.695]  It's how smart, responsible people like us avoid hangovers.
[00:33:31.658 --> 00:33:36.485]  You're listening to GCN, the Genesis Communications Radio Network.
[00:33:55.700 --> 00:33:58.321]  Okay, folks, no more Mr. Nice Guy.
[00:33:58.321 --> 00:34:21.933]  I guess the people running our country are so arrogant and on such incredible power trips that they build up Georgia to attack Russia for the last decade, publicly say they're planning to do it, blow the hell out of a bunch of Russian military bases, slaughter civilians by the thousands, that's all admitted, and then tell the idiot public in this country that Russia attacked.
[00:34:22.907 --> 00:34:27.131]  While they put it in the bottom of each story that Georgia attacked them.
[00:34:27.131 --> 00:34:29.032]  And is still fighting.
[00:34:29.032 --> 00:34:33.076]  And Russia's saying as soon as you pull out of these areas and stop attacking, we'll pull out.
[00:34:33.076 --> 00:34:38.120]  There's over 40,000 refugees that have poured across the border into Russia.
[00:34:38.120 --> 00:34:38.941]  And it's the same deal.
[00:34:39.597 --> 00:34:43.200]  They attack Serbia and say that Serbia attacked them.
[00:34:43.200 --> 00:34:47.103]  They attack Russia and say that Russia attacked the Afghans.
[00:34:47.103 --> 00:34:48.464]  This is back in 1979.
[00:34:48.464 --> 00:34:50.446]  It's the same story.
[00:34:50.446 --> 00:34:52.807]  It's been done this time again.
[00:34:52.807 --> 00:34:55.490]  And you watch Russian TV and they're like, we don't know why the U.S.
[00:34:55.490 --> 00:34:56.811]  backed this attack.
[00:34:56.811 --> 00:34:57.491]  It's terrible.
[00:34:57.491 --> 00:34:59.092]  Please stop attacking us.
[00:34:59.092 --> 00:35:00.253]  We have nuclear weapons.
[00:35:00.253 --> 00:35:01.715]  We may use them.
[00:35:01.715 --> 00:35:08.260]  And the average American's just out having a great time, giggling, doesn't even know where Georgia is, thinks it's all funny.
[00:35:08.880 --> 00:35:18.243]  Jason Bermas, who again sits in when I'm out of town on the weekday show, the maker of Loose Change, and of course the new film Fabled Enemies, you've been watching this and tracking this.
[00:35:18.243 --> 00:35:25.966]  What is it like for you to watch the news and hear them say that Russia attacked Georgia when it was a sneak attack by U.S.-backed forces, and no doubt U.S.
[00:35:25.966 --> 00:35:27.507]  military were involved?
[00:35:27.507 --> 00:35:28.987]  Well, it's very much like 1984.
[00:35:28.987 --> 00:35:29.567]  I feel like, you know,
[00:35:31.764 --> 00:35:57.445]  black is white and white is black and you know they're not gonna tell you the truth and then you look at this this whole grace period 2002 they come out and say listen we're gonna start training these guys US Special Forces are going to Georgia later on Georgia becomes a major military help for us in Iraq again they are the third largest amount troops there I think they have some over 3,000 troops then they start running drills where we happen to be and we send US Special Forces troops there
[00:35:58.372 --> 00:36:00.993]  Drills all around the Russian border right where they attacked.
[00:36:00.993 --> 00:36:10.738]  Exactly, and I think Russia didn't really want to alarm people and that's why they started to do their quote-unquote drills because that report came out before we found out that Georgian troops were doing drills with U.S.
[00:36:10.738 --> 00:36:12.399]  forces prior to this conflict.
[00:36:12.399 --> 00:36:15.380]  They were saying, oh well the Russians were building up with these drills.
[00:36:15.380 --> 00:36:19.962]  No, it turns out the Russians were probably building up with these drills because they saw the influx of not only U.S.
[00:36:19.962 --> 00:36:22.643]  forces but radar equipment and missile equipment.
[00:36:22.643 --> 00:36:23.544]  Ukrainians.
[00:36:23.544 --> 00:36:24.044]  Exactly.
[00:36:24.791 --> 00:36:31.174]  And, you know, it's just so bizarre to me that somebody sent me this email, and I didn't believe it at first, but I went and checked it out.
[00:36:31.174 --> 00:36:33.695]  They literally tell you they're going to do this stuff.
[00:36:33.695 --> 00:36:37.097]  In 2001, a very popular video game, Ghost Recon, came out.
[00:36:37.097 --> 00:36:40.879]  Now, this is Tom Clancy, who seems to be somewhat of a prophet.
[00:36:40.879 --> 00:36:41.579]  You know, he's a famous author.
[00:36:41.579 --> 00:36:46.162]  He wrote a book about hijackers hijacking jets to fly into the World Trade Center a year before 9-11.
[00:36:47.623 --> 00:36:51.146]  Fox TV with the Lone Gunman series, and I had the star of it on.
[00:36:51.146 --> 00:37:00.534]  The CIA approached them and said we want you to do a pilot about hijacked jets being flown to the World Trade Center to launch a war in Afghanistan, but the government's really going to do it, and that really happened.
[00:37:00.534 --> 00:37:03.877]  Tell us the plot, and this is off their official website, of Ghost Recon 2002.
[00:37:05.138 --> 00:37:06.319]  Yeah, this actually came out in 2001.
[00:37:06.319 --> 00:37:10.060]  It was released on Xbox in 2002, but the story took place in 2008.
[00:37:10.060 --> 00:37:12.441]  Oh, I remember reading the synopsis.
[00:37:12.441 --> 00:37:13.162]  Yeah, yeah.
[00:37:13.162 --> 00:37:15.903]  The story took place again in 2008, and it was U.S.
[00:37:15.903 --> 00:37:20.225]  Special Forces sent to Georgia to combat... Read the game box.
[00:37:20.225 --> 00:37:26.228]  They say in 2008, Russians go to combat in Ossetia, and then U.S.
[00:37:26.228 --> 00:37:27.608]  Forces go in to help them.
[00:37:27.608 --> 00:37:33.131]  The exact place, the exact time, seven years before with Tom Clancy's video game.
[00:37:33.511 --> 00:37:37.354]  Yeah, absolutely, and one of the really spooky aspects... Read the whole thing like you're doing right now!
[00:37:37.354 --> 00:37:37.615]  Alright, sure.
[00:37:37.615 --> 00:37:41.438]  Ghost reconvigants in 2008 with civil unrest in Russia.
[00:37:41.438 --> 00:37:45.441]  Ultra-nationalists have seized power in Moscow with plans to rebuild the Iron Curtain.
[00:37:45.441 --> 00:37:50.866]  The first step is clandestine support of rebel factions in Georgia and Baltic states.
[00:37:50.866 --> 00:37:53.588]  This is where the ghosts come in, to silence the rebellion.
[00:37:54.188 --> 00:38:06.579]  Armed with the most advanced weaponry in the world, the soldiers of Ghost Recon force and covertly inserted into Eastern Europe and then given specific missions to curtail the rebels' actions and overthrow their benefactors.
[00:38:06.579 --> 00:38:17.149]  The game storyline stems from political turmoil that can be in the light of the last few years, in which ultra-nationalist regimes came to power and placed its leader, Dmitry Avertov, as Russia's president.
[00:38:17.849 --> 00:38:21.853]  By 2007, the threat posed by arbitral administration became clear.
[00:38:21.853 --> 00:38:31.120]  Russia forms an alliance called the Russian Democratic Union, which is made up of previously conquered countries of the Ukraine, Belkrest, and Kazakhstan.
[00:38:31.120 --> 00:38:37.005]  Together, they launch a campaign to revive the long-dissolved Soviet Union by taking back former Soviet Republic.
[00:38:37.005 --> 00:38:39.386]  But in reality, this was taken from Russia.
[00:38:39.386 --> 00:38:43.568]  Russia has these small, mini-republics, and they were the ones that were attacked.
[00:38:43.568 --> 00:38:46.489]  They've been there since 1993, under a UN deal.
[00:38:46.489 --> 00:38:48.190]  So, listeners, a sneak attack.
[00:38:48.911 --> 00:39:08.800]  Thursday, by Georgian, U.S.-backed military forces against Russian enclaves, thousands dead, Russian dead troops, Russia fights back to kick them out, the fighting is still raging, and you turn on our news, they'll just mention, oh, Russia attacked Georgia, George Bush and Barack Obama say it's terrible.
[00:39:08.800 --> 00:39:12.081]  Again, we're not even choosing sides here, but the U.S.
[00:39:12.081 --> 00:39:17.724]  shouldn't be preemptively attacking areas of Russia, killing Russian troops, and then lying in our media
[00:39:18.607 --> 00:39:22.048]  Telling us that Russia needs to stop its attack.
[00:39:22.048 --> 00:39:25.809]  And then the world leaders, you know, are hand-in-hand at the Olympics.
[00:39:25.809 --> 00:39:27.290]  It's very weird and suspicion.
[00:39:27.290 --> 00:39:28.370]  I think it's also ironic.
[00:39:28.370 --> 00:39:29.630]  And it started on 888.
[00:39:29.630 --> 00:39:37.813]  Yeah, and I think it's also ironic that a lot of the younger people in Special Forces may have actually played this video game when they were 14, 15 years old.
[00:39:37.813 --> 00:39:38.933]  I mean, this was a popular game.
[00:39:39.053 --> 00:39:39.793]  That's the precondition.
[00:39:39.793 --> 00:39:40.554]  Yeah, exactly.
[00:39:40.554 --> 00:39:41.874]  That's exactly what I thought.
[00:39:41.874 --> 00:39:48.437]  I mean, they literally were preconditioned for this same conflict and now they're there and the remnants of that video game are in their mind.
[00:39:48.437 --> 00:39:48.997]  Well, they knew.
[00:39:48.997 --> 00:39:49.958]  They normalized it.
[00:39:49.958 --> 00:39:53.219]  Clancy says, quote, I get my best in plots from intelligence.
[00:39:53.219 --> 00:39:59.582]  Just like the makers, Chris Carter, with X-Files and Lone Gumman said, yes, they're giving us these plots.
[00:39:59.582 --> 00:40:03.944]  Why is the government giving them plots and saying there'll be a war with Russia started up
[00:40:04.925 --> 00:40:11.070]  In Osetia, the very place it happened, this tiny enclave of a million people, this will happen in 2008.
[00:40:11.070 --> 00:40:12.491]  And then it happens.
[00:40:12.491 --> 00:40:13.672]  And then it's the U.S.
[00:40:13.672 --> 00:40:17.816]  preemptively running the attack with the Georgians as their front.
[00:40:17.816 --> 00:40:22.139]  And there's a ton of promotion in the game for things like the United Nations and NATO.
[00:40:22.139 --> 00:40:24.101]  You know, again, promoting world government.
[00:40:25.071 --> 00:40:28.815]  Pre-conditioning the populace and our military to accept that sort of thing.
[00:40:28.815 --> 00:40:29.916]  It's normal to them, you know.
[00:40:29.916 --> 00:40:32.958]  They have been pre-conditioned now, Alex, for this large conflict.
[00:40:32.958 --> 00:40:37.222]  And let's hope the rest of the game doesn't come through because this is a larger Russian conflict.
[00:40:37.222 --> 00:40:38.804]  This only spans larger.
[00:40:38.804 --> 00:40:39.584]  I mean, it only gets larger.
[00:40:39.584 --> 00:40:48.693]  Well, everybody's watching in the scores of nations that ring the former Soviet Union where NATO and the international community are using U.S.
[00:40:48.693 --> 00:40:49.413]  taxpayer money.
[00:40:49.413 --> 00:40:50.454]  We can't just say it's the U.S.
[00:40:50.454 --> 00:40:50.815]  doing this.
[00:40:51.335 --> 00:41:04.103]  Have moved in everywhere, and have moved weapon systems in, missile systems, radar systems, they've been giving them tanks, helicopters, jets, and Russia continues to say, stop it, stop it, stop it.
[00:41:04.103 --> 00:41:05.023]  Meanwhile, U.S.
[00:41:05.023 --> 00:41:07.865]  deplores Russian action in Georgian conflict.
[00:41:07.865 --> 00:41:12.687]  The White House said Sunday that it deplores Russian actions in the Georgia conflict as dangerous and disproportionate.
[00:41:12.687 --> 00:41:15.369]  We're alarmed with the situation, says James Jeffrey, U.S.
[00:41:15.369 --> 00:41:20.292]  President George W. Bush's Deputy National Security Advisor, told reporters in Beijing where the President was attending the Olympics.
[00:41:21.044 --> 00:41:27.086]  Jeffrey said the United States would be very, very concerned if reports around Russian ground attacks in Georgia were accurate.
[00:41:27.086 --> 00:41:32.307]  See, and you read that article, they just leave out that Georgia attacked them and is still attacking them.
[00:41:32.307 --> 00:41:35.008]  It's like, how dare Russia be involved?
[00:41:35.008 --> 00:41:47.391]  Now, let's not forget, at the end of the last Serb conflict, when Clinton had the Muslims out of Albania attack the Slavs in the Slavic state of Serbia fight back,
[00:41:48.214 --> 00:41:54.617]  The media then said that Serbia had premeditatedly attacked Kosovo, which was part of Serbia, which is ridiculous.
[00:41:54.617 --> 00:42:03.461]  Then, there was the head of NATO, General Jackson, gets a call and Wesley Clark has ordered U.S.
[00:42:03.461 --> 00:42:09.644]  fighter bombers to bomb Russian troops who tried to take over and landed at the airport in Pristina in Kosovo.
[00:42:10.387 --> 00:42:17.791]  Okay, it's back in the late 90s and Clark had given the order to attack Russian forces with bombers.
[00:42:17.791 --> 00:42:23.334]  The Russians peacefully landed, took over the capital and said you're not going to take part of Serbia and give it to Muslims.
[00:42:23.334 --> 00:42:23.594]  Okay?
[00:42:24.581 --> 00:42:26.923]  And the crazy part about this is always, we're fighting the Muslims.
[00:42:26.923 --> 00:42:27.623]  No, no.
[00:42:27.623 --> 00:42:35.628]  They use the Muslims as the shock troops to take over country after country after country in Eastern Europe, Central Asia, the Middle East.
[00:42:35.628 --> 00:42:38.949]  They overthrow secular nations in the Middle East using Muslims.
[00:42:38.949 --> 00:42:44.252]  So it was the same story, and back under Bill Clinton, they tried to launch an attack on Russians.
[00:42:44.252 --> 00:42:46.814]  Folks, we don't want to go to war with Russia.
[00:42:47.575 --> 00:42:56.119]  Okay, I mean, I know everybody's disconnected from reality in La La Land, but this is just absolutely insane, Jason.
[00:42:56.119 --> 00:43:10.785]  It is absolutely insane, and before the show we were discussing motivation, and you know, I can't help but think this is really to demonize Russia and maybe take the focus off of us as a world power in the Middle East, you know, maybe take the focus off of us as being the sole problem in the world.
[00:43:10.785 --> 00:43:14.927]  And not just that, two more, there's already two there, carrier attack groups
[00:43:15.587 --> 00:43:22.136]  ...are rampaging into the Gulf right now, according to the AP and Jerusalem Post, in a preparation to attack Iran.
[00:43:22.136 --> 00:43:25.241]  So it's getting Russia tied up in a conflict ahead of that.
[00:43:25.241 --> 00:43:26.963]  This could shape into World War III.
[00:43:26.963 --> 00:43:27.584]  We'll be right back.
[00:43:29.662 --> 00:43:32.643]  Hey everybody, if you're anything like me, I'll bet you like to eat.
[00:43:32.643 --> 00:43:48.045]  I like egg scrambles for breakfast, fresh homemade bread, delicious pastas like lasagna, I love beef stroganoff, I love chicken noodle soup, I love desserts, all kinds of entrees and soups and desserts and breakfasts.
[00:43:48.045 --> 00:43:49.125]  I love that stuff.
[00:43:49.125 --> 00:43:52.786]  Now food prices are skyrocketing just like gasoline prices.
[00:43:52.786 --> 00:43:56.327]  I mean the gasoline prices have gone insanely high, probably going to go higher.
[00:43:56.327 --> 00:43:58.187]  Grocery prices are right on their heels.
[00:43:58.567 --> 00:44:00.208]  How are people going to be able to afford to eat?
[00:44:00.208 --> 00:44:06.973]  Well, I found a way to buy really incredible foods like I just described at half the price of last year's grocery bill.
[00:44:06.973 --> 00:44:12.797]  For less than half of what you spent for the same amount of food last year, I can have it delivered to your door.
[00:44:12.797 --> 00:44:13.837]  Let me tell you how.
[00:44:13.837 --> 00:44:16.799]  Go to eFoodsDirect.com right now.
[00:44:16.799 --> 00:44:21.302]  eFoodsDirect.com or call toll-free number 800-409-5633 800-409-5633.
[00:44:21.302 --> 00:44:22.343]  Cut those food costs now.
[00:44:28.707 --> 00:44:33.791]  Don't be a victim of sudden cardiac arrest due to inflammation of the arterial walls.
[00:44:33.791 --> 00:44:40.875]  Our hemp foods are anti-inflammatory and gluten-free, and can greatly benefit the health of the human body.
[00:44:40.875 --> 00:44:49.241]  By calling 908-691-2608 or visiting hempusa.org, you can benefit from this wonderful natural food source.
[00:44:49.881 --> 00:44:57.825]  Our customers are also purchasing this natural food for long-term storage, camping, survival and emergency food rations.
[00:44:57.825 --> 00:45:04.049]  Call 908-691-2608 or visit hempusa.org today.
[00:45:04.049 --> 00:45:11.933]  Hempusa.org believes that now is the time to plan for the future and food will be your greatest asset.
[00:45:11.933 --> 00:45:18.717]  People spend money on all kinds of things, but our warning is prepare now for food shortages in the future.
[00:45:19.557 --> 00:45:21.518]  So don't delay, call today!
[00:45:21.518 --> 00:45:24.420]  908-691-2608 and see what our powder, seeds and oil can do for you!
[00:45:30.106 --> 00:45:36.228]  Have you ever suffered from giardia, food poisoning, heavy metal poisoning, arthritis, fatigue, or high cholesterol?
[00:45:36.228 --> 00:45:42.790]  Maybe you're one of the 75 million Americans that the Center for Disease Control reports as suffering from internal parasites.
[00:45:42.790 --> 00:45:51.833]  If so, Freshwater Organics is proud to introduce you to a million-year-old miracle that has been used all over the world by health-conscious individuals seeking alternatives to chemicals and drugs.
[00:45:52.253 --> 00:45:59.438]  FPP or fossilized phytoplankton powder is a 100% natural organic product with absolutely no additives.
[00:45:59.438 --> 00:46:04.722]  When taken daily, it is an excellent source of natural plant-based silica with 14 trace minerals.
[00:46:04.722 --> 00:46:07.724]  Many believe it is the key to a healthy digestive tract.
[00:46:07.724 --> 00:46:17.951]  To find an FPP distributor near you or to buy it now, online, go to www.freshwaterorganics.com.
[00:46:19.013 --> 00:46:20.918]  You can also call toll-free at 888-949-3570.
[00:46:20.918 --> 00:46:21.118]  That's 888-949-3570.
[00:46:28.467 --> 00:46:29.347]  It's a fact.
[00:46:29.347 --> 00:46:36.949]  Since the creation of the Federal Reserve in 1913, all banks in these United States create money out of thin air for every single loan they issue.
[00:46:36.949 --> 00:46:46.071]  With never-ending late fees, over-the-limit fees, and higher and higher interest rates, it has become mathematically impossible to repay all debt, making all of us slaves to our creditors.
[00:46:46.071 --> 00:46:56.614]  The Federal Debt Relief System has created a successful, attorney-backed program to legally eliminate credit card debt, personal loans, lines of credit, and other unsecured debts which have been fraudulently created by the banks.
[00:46:56.894 --> 00:47:03.158]  We can terminate your unsecured debt within 18 months with a much lower monthly payment, ending with nothing on your credit report.
[00:47:03.158 --> 00:47:08.361]  Join the thousands of Americans who now breathe with a sigh of relief because they have legally eliminated their debt.
[00:47:08.361 --> 00:47:13.003]  Instead of living each day in fear and frustration, it's time to take action and turn your life around.
[00:47:13.003 --> 00:47:14.864]  Call the Federal Debt Relief System at 877-943-8600.
[00:47:14.864 --> 00:47:15.165]  That's 877-943-8600.
[00:47:15.165 --> 00:47:15.685]  Or visit FDRS.org.
[00:47:15.685 --> 00:47:17.486]  Find out how you can break the cycle of debt slavery.
[00:47:25.010 --> 00:47:31.952]  Thank you for listening to GCN.
[00:47:31.952 --> 00:47:45.277]  Visit GCNlive.com today.
[00:47:45.277 --> 00:47:52.519]  I have scanned hundreds of newspapers and even the Washington Post is not reporting on the fact that Georgian-backed
[00:47:53.314 --> 00:47:56.718]  U.S.-backed forces attacked Russia Thursday night on the eve of the Olympics.
[00:47:56.718 --> 00:47:58.480]  Knowing that would be a smokescreen, U.S.
[00:47:58.480 --> 00:48:03.886]  troops are reportedly involved in the attack, mass-murdering Russian troops and civilians.
[00:48:03.886 --> 00:48:08.431]  But the Austin American statesman did get it right.
[00:48:08.431 --> 00:48:14.077]  They have a bunch of diversions here about unlicensed bus carried 15 to their deaths, the Olympics,
[00:48:15.003 --> 00:48:16.764]  But then under it, Russia.
[00:48:16.764 --> 00:48:17.885]  Georgia at brink of war.
