[00:14:10.250 --> 00:14:11.692]  You, Alex, are fearless.
[00:47:34.373 --> 00:47:37.894]  We've got our backup power on, but we don't have connections out.
[00:47:38.014 --> 00:47:45.197]  It looks like AT&T and Zoit's Telecom and Google and I don't want to list all the carriers we've got.
[00:47:45.237 --> 00:47:49.078]  We got, they got a lot of, we got five systems.
[00:47:49.819 --> 00:47:53.300]  Satellites, transceivers, and a lot of other stuff.
[00:47:54.505 --> 00:47:56.587]  Well, I don't want to give everything away.
[00:47:57.287 --> 00:47:59.429]  We had to, we had to go across town to a whole other studio.
[00:47:59.809 --> 00:48:03.372]  Oh yeah, we know we're in a war, folks, but whatever.
[00:48:03.652 --> 00:48:08.796]  The town is down, so we don't have all the connections right here, though we do have the satellite on the roof.
[00:48:10.017 --> 00:48:13.880]  So, we're on TV, but it's just audio, but that'll be up soon.
[00:48:14.020 --> 00:48:15.020]  Roger Stone's here with us.
[00:48:15.081 --> 00:48:19.264]  If I sound excited, it's like the excitement of adrenaline and horror.
[00:48:20.401 --> 00:48:21.643]  Have you ever seen something really horrible happen?
[00:48:21.663 --> 00:48:24.406]  You're not happy about it, but you have adrenaline pumping?
[00:48:25.147 --> 00:48:30.714]  You know, like your arms giantly sliced open, blood spraying over the walls, but it's like you kind of feel interested, kind of feels cool.
[00:48:30.954 --> 00:48:32.616]  Not the pain, but wow, you're really alive.
[00:48:33.197 --> 00:48:37.903]  That's kind of what this is like, because if America and the world, the whole world ought to be freaked out right now.
[00:48:38.343 --> 00:48:41.166]  Doesn't get upset about the rogue deep state completely out of control.
[00:48:41.666 --> 00:48:58.381]  Illegally spying on Trump, lying about everything, lying to Congress, doing everything they claim Trump did in triplicate, openly saying they want to get rid of free speech, have new elections, suspend everybody that got elected last time, bring in federal control of elections, that's what Obama did, and end this republic as we know it going the way of Venezuela.
[00:48:59.980 --> 00:49:02.782]  Where they have, you know, multi-thousand percent inflation every week.
[00:49:03.143 --> 00:49:03.903]  That's what's going to happen.
[00:49:03.923 --> 00:49:11.329]  So Roger Stone and Zach, both of you guys, Roger, if we don't respond now, call Congress, call...
[00:49:12.643 --> 00:49:20.130]  Everywhere, and get really, really upset, and call talk radio, and call C-SPAN, and not be these Cavuto types that kind of hedge their bets, and go, oh, Trump's kind of the swamp.
[00:49:20.390 --> 00:49:23.653]  He didn't technically sign the most bills in the first year.
[00:49:23.733 --> 00:49:28.277]  Yeah, but he got the biggest changes, and the biggest major bills, and the most money changed.
[00:49:28.897 --> 00:49:31.340]  So I would say Trump's done the most in the last 100 years.
[00:49:31.740 --> 00:49:33.001]  But here it is, Fox News.
[00:49:33.321 --> 00:49:35.403]  Federal judge accuses Mueller team of lying.
[00:49:35.603 --> 00:49:35.984]  Oh, really?
[00:49:36.464 --> 00:49:37.385]  Mueller's famous for that.
[00:49:37.965 --> 00:49:38.986]  Trying to target Trump.
[00:49:40.027 --> 00:49:43.030]  He's a famous crook who goes out and orders people to lie or they'll go to prison.
[00:49:43.050 --> 00:49:43.530]  He's been caught.
[00:49:43.731 --> 00:49:55.081]  A federal judge on Friday harshly rebuked special counsel Robert Mueller's team during a hearing for ex-Trump campaign chairman Paul Manafort, suggesting they lied about the scope of the investigation, are seeking unfettered power.
[00:49:56.002 --> 00:49:57.983]  Federal judge, you want unfettered power.
[00:49:58.244 --> 00:49:59.225]  Another branch of government.
[00:49:59.265 --> 00:49:59.725]  These are quotes.
[00:49:59.905 --> 00:50:00.566]  What do I say?
[00:50:01.907 --> 00:50:02.347]  Rogue.
[00:50:02.868 --> 00:50:03.448]  Runaway.
[00:50:03.568 --> 00:50:04.910]  That means unfettered, untethered.
[00:50:05.922 --> 00:50:11.329]  Rogue, out of control, their own power, and are more interested in bringing down the President.
[00:50:11.449 --> 00:50:13.071]  You don't really care about Mr. Manafort.
[00:50:13.511 --> 00:50:13.591]  U.S.
[00:50:13.611 --> 00:50:14.533]  District Judge T.S.
[00:50:15.053 --> 00:50:24.124]  Ellis III, he'll probably die in a plane crash or something, told Mueller's team, you really care about what information Mr. Manafort can give you to lead you to Mr. Trump and an impeachment or whatever.
[00:50:24.144 --> 00:50:25.146]  And the Democrats have said that.
[00:50:25.566 --> 00:50:27.407]  First of all, I think Zack's right on the money.
[00:50:27.427 --> 00:50:28.368]  The coup d'etat is afoot right now.
[00:50:28.388 --> 00:50:28.988]  It's going down.
[00:50:29.088 --> 00:50:29.708]  Even as we speak.
[00:50:51.039 --> 00:51:02.890]  If you look at this historically, what's different between this coup d'etat, the one they staged in 1963 when they took down John Kennedy, or the one they staged in 1974 when they took down Richard Dixon?
[00:51:03.390 --> 00:51:06.553]  The difference, in all honesty, Alex, is info wars.
[00:51:07.053 --> 00:51:08.835]  The difference is the Internet.
[00:51:09.455 --> 00:51:15.861]  The difference is they no longer have the monopoly on communication in the country that they enjoyed in 1963.
[00:51:17.755 --> 00:51:18.035]  In 1974.
[00:51:19.056 --> 00:51:24.557]  You couldn't find a newspaper or a television report that would tell the truth about what was going on.
[00:51:25.398 --> 00:51:28.879]  Now, they've figured out that that's the difference.
[00:51:29.299 --> 00:51:31.160]  So they want to dial it back.
[00:51:31.660 --> 00:51:33.721]  Want to put the toothpaste back in the tube.
[00:51:34.241 --> 00:51:35.841]  We've got to shut Infowars down.
[00:51:36.282 --> 00:51:37.682]  Got to get them off the internet.
[00:51:38.142 --> 00:51:42.584]  Got to get all conservatives, Daily Caller, Breitbart, Town Hall, Gateway Funded.
[00:51:42.804 --> 00:51:44.044]  We've got to close them down.
[00:51:44.124 --> 00:51:44.824]  They're dangerous.
[00:51:45.185 --> 00:51:46.185]  They're dangerous because
[00:51:47.884 --> 00:51:56.152]  And by the way, we need Daily Caller and Gateway Pundit and WorldNetDaily and Breitbart.
[00:51:56.172 --> 00:51:56.913]  They've done it some.
[00:51:57.133 --> 00:51:59.776]  Every day come to InfoWarsDefense.
[00:52:00.377 --> 00:52:04.421]  They've got all their whisper campaigns out about don't support us, we're bad, lie about what we say, all this other crap.
[00:52:05.649 --> 00:52:10.112]  You know, threatening people, threatening Project Veritas to not be associated with us, Politico, all this.
[00:52:10.492 --> 00:52:11.853]  And then they've got a talking point out.
[00:52:12.233 --> 00:52:13.454]  Jones must be censored.
[00:52:13.494 --> 00:52:14.055]  He's criminal.
[00:52:14.335 --> 00:52:16.176]  He's like video games causing mass shootings.
[00:52:16.196 --> 00:52:16.776]  That's what they're saying.
[00:52:17.077 --> 00:52:18.518]  He's got to be taken off the air.
[00:52:18.878 --> 00:52:21.279]  They have professors all over the news.
[00:52:21.299 --> 00:52:23.041]  I mean, it's in my local paper everywhere.
[00:52:23.521 --> 00:52:24.762]  It's all the same talking point.
[00:52:25.820 --> 00:52:29.601]  That we must be taken off the air because Jones can mind control people.
[00:52:29.841 --> 00:52:31.282]  It actually says it in the Slate article.
[00:52:32.062 --> 00:52:37.024]  It says Jones is able to take control of their minds with archetypal manipulation.
[00:52:37.044 --> 00:52:39.985]  And we need a bipartisan effort to quote
[00:52:42.233 --> 00:52:51.297]  Shut down free speech, an approach that needs to go beyond censorship and Snopes fact-checking, saying they're the arbiter, but completely shutting us down.
[00:52:51.677 --> 00:52:53.818]  And so many of these professors are Antifa.
[00:52:53.858 --> 00:52:56.379]  I don't know if this guy is, but he sure fits the bill.
[00:52:56.399 --> 00:53:01.721]  It's purportedly his picture, this professor, Alan Lenovitz.
[00:53:02.541 --> 00:53:06.446]  Assisted professor of James Madison University and the author of The Gluten Lie.
[00:53:06.466 --> 00:53:07.107]  I guess it's E-E.
[00:53:07.447 --> 00:53:11.251]  Again, it's all about how they control reality and now they're saying a heartbeat isn't life.
[00:53:11.312 --> 00:53:17.519]  Planned Parenthood said so and there there is no mother and father and we got a professor lady at UT saying masculinity doesn't exist.
[00:53:17.899 --> 00:53:18.860]  Men don't exist.
[00:53:19.161 --> 00:53:19.742]  This is a
[00:53:20.162 --> 00:53:30.135]  A total gaslighting mind control with him saying we're going to shut your speech down if you don't agree with us and they've picked Infowars as the scarlet letter book to burn first.
[00:53:30.415 --> 00:53:31.396]  I am honored, Roger.
[00:53:31.697 --> 00:53:32.318]  I know you are.
[00:53:32.358 --> 00:53:33.519]  Let's get Zach's take on this.
[00:53:33.579 --> 00:53:35.081]  Zach, you say the coup's afoot.
[00:53:35.862 --> 00:53:37.262]  We know it's a foot against Trump.
[00:53:37.282 --> 00:53:37.743]  They admit it.
[00:53:37.803 --> 00:53:39.603]  It's in all the documents, the fake dossier.
[00:53:39.663 --> 00:53:40.804]  They're accelerating it all.
[00:53:41.084 --> 00:53:42.684]  But how about countering them?
[00:53:42.764 --> 00:53:45.145]  They're trying to destroy our elected president.
[00:53:45.485 --> 00:53:50.246]  They're trying to say that he can be indicted and removed for that by Mueller himself outside of impeachment.
[00:53:50.466 --> 00:53:54.528]  You've seen Brennan and all of them on TV six months ago saying he'll be gone by December.
[00:53:54.728 --> 00:53:55.648]  He's not gone.
[00:53:55.688 --> 00:53:59.269]  He's hanging on and getting stronger and the economy's coming back.
[00:53:59.429 --> 00:54:01.970]  We're getting major peace deals and you're so pissed
[00:54:02.130 --> 00:54:06.211]  That you had your foot on the country for decades, sucking a stride to build your world government.
[00:54:06.371 --> 00:54:11.013]  You were all hired by foreign megabanks, because you're a bunch of America-hating, pseudo-intellectual trash.
[00:54:11.233 --> 00:54:17.695]  And now you're getting your asses politically kicked, and you're crapping your doors all over the place, because we're awaking the sleeping giant, and you don't like it!
[00:54:17.855 --> 00:54:18.436]  Well, guess what?
[00:54:18.596 --> 00:54:21.437]  You're gonna lose anyway you slice it, you dumb bastards!
[00:54:21.657 --> 00:54:22.217]  Go ahead, Zach.
[00:54:23.607 --> 00:54:25.969]  Absolutely, and you're on fire, Roger's on fire.
[00:54:26.149 --> 00:54:29.191]  What just happened was the cornerstone of the entire war here.
[00:54:29.811 --> 00:54:33.533]  You see, what they're operating under is a collage of chaos tactics.
[00:54:34.074 --> 00:54:40.898]  So many, so many stories that happen multiple times a day, over the weeks, over the years, that you cannot focus or keep up with anything.
[00:54:40.938 --> 00:54:42.179]  Information apocalypse.
[00:54:42.399 --> 00:54:43.480]  Information apocalypse.
[00:54:43.900 --> 00:54:48.682]  What Roger just did, and what we do on InfoWars all the time, is tied together in a perpetual timeline.
[00:54:48.742 --> 00:54:49.783]  It's all tied together.
[00:54:50.183 --> 00:54:53.905]  Because, you know, you could focus on one thing... They want to keep you, in the moment, confused.
[00:54:53.945 --> 00:54:54.925]  I mean, that's what Gruber said.
[00:54:54.965 --> 00:54:55.986]  It's all about confusing us.
[00:54:56.226 --> 00:54:56.826]  Fog of war.
[00:54:57.006 --> 00:54:58.567]  But we've got the enemy battle map.
[00:54:58.587 --> 00:55:00.288]  We're not even looking at what they're projecting.
[00:55:00.488 --> 00:55:02.089]  We've got their battle map, and that's what they hate.
[00:55:03.197 --> 00:55:03.617]  Exactly.
[00:55:04.218 --> 00:55:08.780]  So we could say, like, this is not about Iran, this is about Mars.
[00:55:09.120 --> 00:55:14.323]  Meaning, this is about attacking Elon, attacking the human evolution, attacking where we're going, playing this other game.
[00:55:14.383 --> 00:55:23.087]  This is already an AI system that made the decision to have a post-human world, and Trump has jumped in with others and are saying, no, we're not doing it at the elite level.
[00:55:24.703 --> 00:55:26.503]  You know, none of this happens in a vacuum.
[00:55:26.523 --> 00:55:28.684]  None of this happens in singular movements.
[00:55:28.784 --> 00:55:29.544]  It's all connected.
[00:55:29.584 --> 00:55:30.904]  We've already forgotten about Vegas.
[00:55:31.124 --> 00:55:33.185]  They rolled Parkland out, so what happened to Vegas?
[00:55:33.265 --> 00:55:35.525]  That's just, it's unsolved, no big deal.
[00:55:35.565 --> 00:55:36.846]  We know what happened to do with the Saudis.
[00:55:36.886 --> 00:55:40.927]  Now they're having firefights there in Saudi Arabia, and it's going to get us into war with Iran.
[00:55:40.947 --> 00:55:43.147]  And they don't want us to question the next false flag.
[00:55:43.187 --> 00:55:44.307]  That's what they're really pissed about.
[00:55:44.327 --> 00:55:46.548]  That's why I said Parkland didn't happen.
[00:55:46.568 --> 00:55:47.408]  Well, I didn't say that.
[00:55:48.496 --> 00:55:50.037]  This, and this is all tied together.
[00:55:50.057 --> 00:55:56.883]  This is Donald Trump's life work and the coup d'etat is there and this is the only chance that we have of a second American revolution because if not, globalism will be secure.
[00:55:56.903 --> 00:55:59.565]  I think Americans should all go to their capitals.
[00:55:59.625 --> 00:56:00.145]  Don't wait.
[00:56:00.365 --> 00:56:01.006]  Live stream it.
[00:56:01.086 --> 00:56:02.307]  One person, then two, then ten.
[00:56:02.627 --> 00:56:03.488]  Everyone today.
[00:56:04.048 --> 00:56:04.889]  The president has the power.
[00:56:04.969 --> 00:56:06.270]  That's what freaks them out.
[00:56:33.533 --> 00:56:43.582]  People need to realize that if it's Infowars today, if it's Alex Jones today that they silence Sean Hannity, Tucker Carlson, Laura Ingraham, Breitbart.
[00:56:43.622 --> 00:56:46.765]  And only Matt Drudge has come to Infowars main defense.
[00:56:46.825 --> 00:56:47.386]  He gets it.
[00:56:47.706 --> 00:56:49.387]  Why don't these people get it?
[00:56:49.968 --> 00:56:51.670]  I'm not trying to be bigger than any of them.
[00:56:51.770 --> 00:56:52.971]  I want to defeat the globalists.
[00:56:54.281 --> 00:56:56.843]  Sean Hannity just needs to recognize.
[00:56:57.164 --> 00:57:03.609]  You don't have to agree with Alex Jones on everything, but if they get Alex today, Sean, they're coming for you tomorrow!
[00:57:04.090 --> 00:57:04.950]  Wake up!
[00:57:05.651 --> 00:57:06.452]  Wake up!
[00:57:06.812 --> 00:57:07.673]  I like Sean Hannity.
[00:57:08.113 --> 00:57:09.434]  I think he's fearless.
[00:57:09.534 --> 00:57:10.956]  No, no, I like Sean Hannity too.
[00:57:10.976 --> 00:57:11.496]  I like them all.
[00:57:11.516 --> 00:57:13.798]  What I'm saying is, they're coming for everybody.
[00:57:15.419 --> 00:57:17.962]  But they think this is just a fight against us.
[00:57:18.664 --> 00:57:21.807]  They think, well, Infowars, you know, they're dispensable.
[00:57:21.847 --> 00:57:22.287]  No, we aren't.
[00:57:22.788 --> 00:57:24.929]  We're just the first one on their tech list.
[00:57:25.550 --> 00:57:26.671]  They're going to shut down Fox.
[00:57:26.691 --> 00:57:27.852]  They're going to take down Tucker.
[00:57:27.872 --> 00:57:29.293]  They're going to take down Sean Hannity.
[00:57:29.773 --> 00:57:36.579]  They're going to take down- And by the way, you're the guy that told Trump this was always going to happen and the obstruction crap, and now you're the main target of Mueller.
[00:57:36.779 --> 00:57:39.101]  The main target of Mueller is on with us now!
[00:57:39.121 --> 00:57:41.163]  But they don't want him to have a voice.
[00:57:41.303 --> 00:57:43.825]  We'll be right back to finish up with Zach, and then Roger takes over.
[00:57:44.506 --> 00:57:46.387]  Mike in Arizona, you're on the air worldwide.
[00:57:46.427 --> 00:57:46.728]  Go ahead.
[00:57:47.641 --> 00:57:49.543]  Oh, Alex, you can rant any day of the week.
[00:57:49.563 --> 00:57:58.992]  Thank you, sir, for doing what you do and being a patriot and doing your best to save America and encouraging us as fellow patriots to do that in our local areas as well.
[00:58:00.093 --> 00:58:03.457]  And as a longtime InfoWars listener, I want to say thanks.
[00:58:03.977 --> 00:58:06.318]  For the awesome BrainForce AnthroPlex.
[00:58:06.538 --> 00:58:08.680]  My girlfriend would like to say thanks for the AnthroPlex.
[00:58:08.780 --> 00:58:09.180]  Thank you.
[00:58:09.840 --> 00:58:12.322]  I use the BioTrue Selenium, the Super Blue toothpaste.
[00:58:12.342 --> 00:58:16.084]  For you folks who aren't big normal toothpaste fans, the Super Blue is awesome.
[00:58:16.644 --> 00:58:19.625]  And thank you so much, Alex, for the InfoWars Life products.
[00:58:19.666 --> 00:58:20.646]  They are quality.
[00:58:20.986 --> 00:58:22.227]  I can't wait to get some more.
[00:58:22.727 --> 00:58:25.449]  And thank you so much for doing that for us to keep us healthy.
[00:58:25.609 --> 00:58:26.149]  Absolutely.
[00:58:26.670 --> 00:58:39.583]  Because then we could all, as educated patriots, help our other countrymen and women understand that there's bigger problems going on, and if we can get our houses in order and be good to each other and ourselves, we can take our country back.
[00:58:44.418 --> 00:58:48.000]  Audience, radio affiliates, TV affiliates, thank you for your support.
[00:58:48.301 --> 00:58:49.601]  But they've cut off the sponsors.
[00:58:49.641 --> 00:58:51.342]  They've blocked us advertising on Google.
[00:58:51.603 --> 00:58:54.004]  They have filed 13 lawsuits.
[00:58:54.044 --> 00:58:54.965]  We've beaten six.
[00:58:55.265 --> 00:58:57.226]  But understand this, I am your soldier.
[00:58:57.927 --> 00:58:58.647]  You're my soldier.
[00:58:58.687 --> 00:58:59.408]  We're all in this together.
[00:59:00.459 --> 00:59:05.161]  And we're fighting hard for American values, what we know works, and what brings liberty and freedom to our children.
[00:59:05.562 --> 00:59:06.562]  So I salute you and I thank you.
[00:59:06.582 --> 00:59:17.788]  But whatever you do, the live video links on Facebook, Twitter, YouTube, Infowars.com, word slash show, local stations you're listening to, every person you get to tune in to this local radio station is a victory in this war.
[00:59:17.828 --> 00:59:19.969]  And when you financially go to Infowarsstore.com,
[00:59:20.469 --> 00:59:26.294]  And when you take advantage of the huge sales and the great products for everything in your life, it's about making your life better.
[00:59:26.954 --> 00:59:29.096]  The non-GMO heirloom seeds, springtime's here.
[00:59:29.656 --> 00:59:33.620]  The highest quality books, films, pastry apparel to spread the word.
[00:59:33.940 --> 00:59:39.444]  The very best supplements, water filtration, air filtration, shortwave radios, emergency radios, tactical gear, body armor.
[00:59:39.845 --> 00:59:42.027]  Infowarsstore.com, Infowarslife.com.
[00:59:42.387 --> 00:59:43.608]  Please, shop with the good guys.
[00:59:46.761 --> 00:59:52.724]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[01:00:04.710 --> 01:00:10.713]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[01:00:21.355 --> 01:00:22.180]  Changing history.
[01:00:27.853 --> 01:00:28.734]  Clutch bringing us in.
[01:00:29.334 --> 01:00:30.615]  Roger Stone is on phone.
[01:00:30.635 --> 01:00:31.955]  He was set to already host today.
[01:00:31.975 --> 01:00:39.760]  I had a bunch of corporate and family things to take care of, but when this all happened, I came in to do the show, because he can't be via his nice HD studio in Florida.
[01:00:39.780 --> 01:00:41.541]  He's on the phone, but we're gonna dial it in.
[01:00:41.561 --> 01:00:44.482]  Let's get Owen Froyer in here to take over, so we got HD.
[01:00:44.542 --> 01:00:45.603]  Our storms hit Texas.
[01:00:45.643 --> 01:00:46.784]  We're getting booted back up.
[01:00:47.184 --> 01:00:50.086]  Thanks to all the TV and radio affiliates, we're getting even more redundant systems put in.
[01:00:50.406 --> 01:00:51.206]  Oh look, the Skype's up.
[01:00:51.246 --> 01:00:52.467]  They're starting to get it set up right now.
[01:00:52.787 --> 01:00:53.928]  So he'll be ready soon.
[01:00:55.028 --> 01:00:56.869]  But I guess that's not going out yet, so it's not ready.
[01:00:58.610 --> 01:00:58.890]  Pardon me?
[01:01:01.090 --> 01:01:02.691]  Owen is in Dallas at the NRA event.
[01:01:02.711 --> 01:01:03.071]  Good God.
[01:01:03.091 --> 01:01:03.671]  Well, we can have him.
[01:01:05.092 --> 01:01:06.472]  We'll have him pop in then, too.
[01:01:06.933 --> 01:01:09.994]  Okay, Zach, finish up as Roger's taking over in the next segment.
[01:01:10.534 --> 01:01:11.574]  We really appreciate you.
[01:01:12.315 --> 01:01:13.915]  I don't want to seem happy about everything that's going on.
[01:01:13.955 --> 01:01:16.296]  I'm really upset, but I understand that the war is here.
[01:01:16.836 --> 01:01:17.216]  It's now.
[01:01:17.236 --> 01:01:18.477]  Anything else you'd like to add, Zach?
[01:01:19.736 --> 01:01:20.236]  Absolutely.
[01:01:20.296 --> 01:01:22.837]  I mean, that's the tactic, the collage of chaos.
[01:01:22.877 --> 01:01:31.921]  And the reason you're being attacked, the reason Roger Stone specifically is being attacked in the Truth and Liberty movement, is because they're operating under a collage of chaos and we have the timeline.
[01:01:32.121 --> 01:01:42.886]  We can place everything on a timeline, tie it all together, prove it to the public and show them what's going on, because with the instant gratification, the attention span of the society, this is what they're hoping for.
[01:01:43.046 --> 01:01:47.188]  So we keep on reminding and red-pulling individuals, so this is why you all... Isn't an attention span...
[01:01:48.669 --> 01:01:50.153]  An attention span is like consciousness.
[01:01:50.374 --> 01:01:54.224]  Without an attention span, there's no timeline, and those of us that have an attention span are the enemy.
[01:01:55.174 --> 01:02:03.998]  100%.
[01:01:55.254 --> 01:02:03.998]  I mean, with this whole thing in North Korea, peace on the Korean Peninsula, it's the most sensational story in world history for 50 to 100 years.
[01:02:04.018 --> 01:02:07.079]  But we have to remember this.
[01:02:07.139 --> 01:02:10.120]  Donald Trump, this is his life's work.
[01:02:10.461 --> 01:02:15.023]  Donald Trump, before he was President of the United States, was running a reality show in a business empire.
[01:02:15.183 --> 01:02:19.464]  During that reality show, he was running The Celebrity Apprentice, and in 2009, who did he have on as a guest?
[01:02:19.805 --> 01:02:20.585]  Dennis Rodman.
[01:02:21.065 --> 01:02:21.285]  Okay.
[01:02:21.505 --> 01:02:22.486]  People need to understand this.
[01:02:22.686 --> 01:02:25.548]  Dennis Rodman was influential and important in this North Korea deal.
[01:02:25.828 --> 01:02:28.950]  As stupid as that sounds, as crazy as it sounds, it actually happened.
[01:02:29.190 --> 01:02:29.390]  Okay.
[01:02:29.530 --> 01:02:31.751]  And why would he bring Dennis Rodman on the Celebrity Apprentice?
[01:02:31.811 --> 01:02:32.692]  He had this in the works.
[01:02:32.732 --> 01:02:33.592]  He knew he was going to run.
[01:02:33.793 --> 01:02:36.574]  Dennis Rodman was North Korea what Kanye West is to black America.
[01:02:36.874 --> 01:02:38.075]  This is his life's work.
[01:02:38.355 --> 01:02:39.576]  It's very strategic.
[01:02:39.816 --> 01:02:41.217]  It doesn't happen in a vacuum.
[01:02:41.637 --> 01:02:42.818]  And he is under attack.
[01:02:42.998 --> 01:02:50.163]  This is our only chance, and for all the hate, for all the criticism, for all that's going on, we need to double down and support Donald Trump because we will never have a shot like we do right now.
[01:02:50.223 --> 01:02:53.646]  We have got, got, got to go for broke right now.
[01:02:53.826 --> 01:02:54.086]  Period.
[01:02:54.775 --> 01:03:02.343]  They are going for broke, and again, I didn't understand the Rodman thing, that separate groups were using him, that he actually did a good job.
[01:03:02.403 --> 01:03:03.885]  I thought he was just there liking the dictator.
[01:03:04.565 --> 01:03:13.094]  We're all exponentially learning, and now we know that Trump has been plotting this for decades, hoping somebody else would turn the country around, and now this has happened.
[01:03:13.114 --> 01:03:15.737]  I've confirmed it with the people that were involved that got Trump to run.
[01:03:16.958 --> 01:03:20.944]  And, you know, it's like he said, you come highly recommended, and I will not let you down.
[01:03:21.305 --> 01:03:33.042]  He was like, to our audience, reporting for duty like a soldier, absolutely committing to this, but he has been hamstrung by his lawyers and the lack of capability to find good personnel that have his medal.
[01:03:34.366 --> 01:03:40.952]  He has been hamstrung by the entire timeline, the momentum of all of the events of the deep state since John F. Kennedy, okay?
[01:03:41.312 --> 01:03:44.374]  Since that moment, he is dealing with all of the force of that.
[01:03:44.775 --> 01:03:45.635]  So we need to double down.
[01:03:45.675 --> 01:03:48.718]  We need to realize that it's not just individual attacks.
[01:03:48.758 --> 01:03:50.159]  This is all interconnected.
[01:03:50.539 --> 01:03:54.283]  And the reason what they're doing and what they're trying to stifle is us going to the stars.
[01:03:54.323 --> 01:04:00.788]  It's no coincidence that while you're under attack, while Donald Trump's under attack, while Roger Stone's under attack, Elon Musk is even under attack by the mainstream media.
[01:04:00.928 --> 01:04:05.291]  They're driving down his stocks right now because they want to break away civilization in their own admission.
[01:04:05.331 --> 01:04:08.813]  Elon Musk says they want a world government where they merge the machines and kill everybody.
[01:04:09.093 --> 01:04:09.734]  That's the plan.
[01:04:09.774 --> 01:04:14.737]  That's why this professor and all these other papers say we want in-game removed from the web.
[01:04:15.697 --> 01:04:18.199]  Why do they want in-game blueprint for global enslavement removed?
[01:04:20.995 --> 01:04:21.996]  That's their kryptonite.
[01:04:22.016 --> 01:04:22.496]  This is it.
[01:04:22.796 --> 01:04:23.936]  I mean, it's the timeline.
[01:04:24.236 --> 01:04:26.417]  They're operating under a collage of chaos, which is very effective.
[01:04:26.437 --> 01:04:28.538]  And by the way, you notice the film is a timeline.
[01:04:28.778 --> 01:04:29.798]  That's why they got so pissed.
[01:04:30.219 --> 01:04:32.900]  I later learned they wanted me to come to Oxford because of Endgame.
[01:04:32.940 --> 01:04:35.801]  That was privately why they said, we have some people want to talk to you.
[01:04:35.841 --> 01:04:42.983]  But I later learned from a Hollywood person who those people were, they were going to try to co-op me because they were asking, how do you know the timeline?
[01:04:43.263 --> 01:04:44.344]  I could see the timeline.
[01:04:45.365 --> 01:04:50.979]  Exactly, and you know, it happens just in perfect timing when you speak about the 5G, when we know what technology is doing.
[01:04:51.200 --> 01:04:52.242]  This is all planned.
[01:04:52.262 --> 01:04:54.628]  They need us disengaged in what InfoWars does.
[01:04:55.199 --> 01:04:58.542]  Guaranteeing your food independence is a crucial part of prepping.
[01:04:58.882 --> 01:05:06.348]  Between debt crises, natural disasters, or even simple power outages, having a supply of storable meals is crucial.
[01:05:06.909 --> 01:05:13.114]  With InfoWars Life Select Storable Food, you can make sure you and your family are ready for any emergency.
[01:05:13.594 --> 01:05:22.762]  With drinks, snacks, and meals in amounts ranging from 72 hours to a full year, there's no better place to look for healthy, easy, and incredible meals.
[01:05:23.502 --> 01:05:30.268]  Including meals such as Traveler Stew, Homestyle Potato Soup, and a variety of other meals for breakfast, lunch, and dinner.
[01:05:30.668 --> 01:05:35.192]  InfoWars Life Select storable food will help you eat comfortably in a time of need.
[01:05:35.733 --> 01:05:37.234]  They even work great for camping!
[01:05:37.694 --> 01:05:43.960]  Simply pack a 72-hour kit to go and you have easy-to-cook and transport food for you and your loved ones trip.
[01:05:44.440 --> 01:05:46.484]  Don't be caught surprised by an emergency.
[01:05:46.965 --> 01:05:53.417]  Make sure you're stocked up today with all the food you need for an affordable price with InfoWars Life Select storable foods.
[01:06:10.004 --> 01:06:12.146]  Waging war on corruption.
[01:06:12.606 --> 01:06:18.089]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[01:06:18.229 --> 01:06:25.874]  I don't want to be in your prison planet hell.
[01:06:27.075 --> 01:06:30.437]  It ain't no mystery.
[01:06:31.798 --> 01:06:35.561]  Why I'm in misery.
[01:06:40.117 --> 01:06:42.138]  Yeah, they call us.
[01:06:46.001 --> 01:06:50.123]  Unholy living dead.
[01:06:50.663 --> 01:06:52.765]  Put us in their pretty pens.
[01:06:54.226 --> 01:06:54.766]  British Elm.
[01:06:57.481 --> 01:06:58.622]  Yep, Global Dungeons.
[01:06:58.642 --> 01:07:00.263]  I don't want to be in your New World Order hell.
[01:07:17.495 --> 01:07:26.280]  Generators kick on, it still cuts all the systems off, and then a bunch of other systems got cut off, so I apologize for everybody on that here, but we have mega-massive news breaking.
[01:07:26.541 --> 01:07:29.983]  We started the new hour, just, Zach, real fast, and then we'll go to Roger.
[01:07:30.663 --> 01:07:34.686]  Zach, just, just, just recapping, how would you quantify what we're currently under?
[01:07:35.046 --> 01:07:38.808]  We're under the Clinton globalist deep state Mueller coup against America.
[01:07:38.848 --> 01:07:39.789]  Is that an accurate statement?
[01:07:40.712 --> 01:07:46.637]  That's 100% it, and it goes even deeper than that with dug-in generational chain of commands there.
[01:07:47.257 --> 01:07:52.121]  And what Donald Trump is doing right now is attempting to launch the Second American Revolution, but it's not easy.
[01:07:52.221 --> 01:07:54.603]  All the personal stuff stateside is going on.
[01:07:54.983 --> 01:07:58.366]  Meanwhile, we have Chinese military shooting down U.S.
[01:07:58.406 --> 01:07:59.287]  airmen in Djibouti.
[01:07:59.587 --> 01:08:01.769]  I mean, we have peace on the Korean Peninsula.
