[00:00:06.066 --> 00:00:07.707]  Hitler took the guns.
[00:40:49.189 --> 00:40:52.311]  That's right, Sarah Carter is saying it could be released this week.
[00:40:52.331 --> 00:41:04.539]  So we're going to continue to look at every angle of this, but this is a journey about us restoring our republic, rediscovering our own system, and taking control of our own destiny.
[00:41:05.539 --> 00:41:06.920]  That's the process happening here.
[00:41:08.181 --> 00:41:14.285]  And it's the process of breaking the unconstitutional, covert ties
[00:41:15.643 --> 00:41:16.424]  We're good to go.
[00:41:32.261 --> 00:41:37.324]  That the quandary that decent people have, that, well, I don't want to run things, and things aren't perfect, and boy, things are a mess.
[00:41:37.964 --> 00:41:39.465]  They're trying to make it worse.
[00:41:39.685 --> 00:41:41.166]  They're trying to consolidate power.
[00:41:41.427 --> 00:41:42.547]  They're trying to make you poor.
[00:41:42.567 --> 00:41:45.549]  They're trying to poison you culturally, and physically, and spiritually.
[00:41:45.769 --> 00:41:47.210]  They're very, very nasty people.
[00:41:48.711 --> 00:41:51.633]  They want a population of dumbed-down serfs they can feed on.
[00:41:53.214 --> 00:41:57.356]  And so, we have a job to remove them, because we know they're a clear and present danger.
[00:41:57.636 --> 00:41:58.357]  We know they're bad.
[00:41:59.434 --> 00:42:10.618]  By the way, I'm very excited that the listeners are excited about BODYS, our newest nutraceutical supplement, which from our research is the ultimate turmeric concentrate blend.
[00:42:10.938 --> 00:42:16.799]  It has a bunch of other known super antioxidants, the turbocharge that studies show accelerates its upload.
[00:42:16.819 --> 00:42:24.002]  It's a big 60-day supply of some of the best turmeric out there in the world.
[00:42:24.522 --> 00:42:27.443]  If you don't know what turmeric can do for you, just go look at the studies here.
[00:42:28.547 --> 00:42:40.955]  Big Brother and folks don't want us to obviously be able to even tell you or get into all that, but turmeric is something that every man, woman, and child should be taking every single day, and the other compounds and bodies only make it stronger.
[00:42:41.315 --> 00:42:58.065]  Infowarsstore.com, $50, or 50% off, that's, well, it's not even $50, off, out of the gates, 50% off, and it's $50 off on the Alexa Pure Breeze air filtration systems, and that's gonna end in the next few days as well.
[00:42:59.562 --> 00:43:09.006]  As the InfoWars family of listeners and viewers know, we are always researching and bringing you the very cutting edge of high quality products.
[00:43:09.606 --> 00:43:14.248]  And that's especially true when it comes to nutraceuticals and supplements.
[00:43:14.909 --> 00:43:26.254]  We know that our modern environment is bombarding our guts with all sorts of toxins and heavy metals and pesticides, herbicides that basically kill the good flora.
[00:43:27.133 --> 00:43:40.520]  We have been working for several years with top researchers in the United States to bring you three new top-of-the-line affordable probiotics that are true game changers.
[00:43:41.340 --> 00:43:46.483]  Now the first is a digestive enzyme that I'm extremely excited about.
[00:43:46.963 --> 00:43:48.404]  All of us know that if you eat a lot of meat,
[00:43:49.264 --> 00:43:50.105]  And a lot of protein.
[00:43:50.606 --> 00:43:51.988]  You don't chew it properly sometimes.
[00:43:52.028 --> 00:43:52.649]  There's buildup.
[00:43:52.709 --> 00:43:56.354]  It can even rot inside your guts, causing diverticulitis.
[00:43:56.534 --> 00:43:57.055]  You name it.
[00:43:57.616 --> 00:43:59.919]  You don't get the good micronutrients that are in it as well.
[00:44:01.072 --> 00:44:08.537]  Well, Carnivore from Infowars Life, ladies and gentlemen, is the next level of digestive enzyme.
[00:44:09.057 --> 00:44:21.046]  And when you take it, combined with the new Floralife that I'm going to break down here in a moment, and also the everyday Floralife maintenance, they synergistically work together.
[00:44:21.366 --> 00:44:23.888]  The globalists are bombarding our gut.
[00:44:24.528 --> 00:44:28.511]  They know it's the key to taking control of civilization and society.
[00:44:28.911 --> 00:44:30.773]  It is the true Trojan Horse.
[00:44:31.213 --> 00:44:45.064]  And whether it's our new digestive enzyme, Cardivorb, or whether it's the new Floralife Advanced Restoration, or the Floralife Everyday Maintenance, it is critical for you and your family to have healthy guts.
[00:44:45.284 --> 00:44:51.509]  And it is undoubted that there are serious benefits from proven high-quality probiotics
[00:44:51.869 --> 00:44:56.673]  There are some similar formulas out there that are at least three times the cost of this.
[00:44:57.013 --> 00:44:59.895]  And people think because they're paying more, it must be the best.
[00:45:00.336 --> 00:45:02.117]  That's not my philosophy, ladies and gentlemen.
[00:45:02.598 --> 00:45:12.926]  I'm bringing you something that is the very best from our deep research, working with top developers, scientists, and experts in the field at the lowest price.
[00:45:14.047 --> 00:45:16.188]  But whether you take one, two, or all three,
[00:45:17.350 --> 00:45:30.157]  I have never experienced the type of energy and the type of digestive ease and the changes that I went through in the last few months going on this formula before we brought it to you.
[00:45:30.757 --> 00:45:39.942]  We believe from working with top experts in the United States that we have developed the very best probiotic and digestive enzyme for breaking down protein and meat that there is.
[00:45:41.488 --> 00:45:43.209]  This is the total win-win.
[00:45:43.730 --> 00:45:49.434]  It uses the modern techniques as well, so it doesn't have all the additives and garbage.
[00:45:49.995 --> 00:45:54.418]  Simply put, our new Floralife line is the very best out there.
[00:45:54.718 --> 00:46:00.183]  That is my goal here, is to bring you the very best at the lowest price.
[00:46:00.723 --> 00:46:10.148]  Many probiotics out there don't even have caplets that bypass the stomach so it never even gets into the upper and lower intestines.
[00:46:10.708 --> 00:46:17.512]  Both of these systems have targeted delivery so it goes right through into the upper and lower intestine.
[00:46:18.392 --> 00:46:25.958]  We've tried several other formulas that were excellent, but this is, after two years of research, what we are bringing to the market.
[00:46:26.319 --> 00:46:32.023]  And your purchase doesn't just give you better digestive health and all the different micronutrients and things you need.
[00:46:32.463 --> 00:46:37.147]  It also funds an organization dedicated to promoting liberty worldwide.
[00:46:37.748 --> 00:46:46.775]  Whether it's Floralife Advanced Restoration, Carnivore, Digestive Enzyme, or the everyday maintenance that's great for the go.
[00:46:47.870 --> 00:46:51.591]  It's all available at infowarestore.com today.
[00:46:51.771 --> 00:46:59.612]  When you purchase it, you know you are also financing the attack on the globalists and the defense of our republic and freedom worldwide.
[00:47:03.093 --> 00:47:05.834]  You're listening to the Alex Jones Show.
[00:47:10.955 --> 00:47:12.655]  You gotta keep them separated.
[00:47:25.724 --> 00:47:31.807]  We now take you live to the Central Texas Command Center and the heart of the resistance.
[00:47:35.048 --> 00:47:36.008]  I'm Alex Jones, your host.
[00:47:36.048 --> 00:47:36.929]  Thank you for joining us.
[00:47:37.409 --> 00:47:38.749]  Two little corrections here.
[00:47:40.590 --> 00:47:46.012]  I should probably give the phone number out so people can call in when I said the phones were open 20 minutes ago.
[00:47:46.032 --> 00:47:46.472]  877-789-ALEX.
[00:47:46.492 --> 00:47:47.093]  877-789-2539 is the number.
[00:47:53.612 --> 00:48:04.277]  To call in specifically on the secret memo, why the Democrats are so scared, the Congress folks that have told us that it will really expose Obama.
[00:48:05.438 --> 00:48:07.359]  It's a very sinister individual.
[00:48:07.759 --> 00:48:09.800]  How long is it going to take until they bring this out?
[00:48:10.761 --> 00:48:15.103]  Because I'm really worried that the cornered rats as the walls are closing in,
[00:48:16.454 --> 00:48:22.095]  As Sean Hannity said last night, are going to really get even more aggressive.
[00:48:22.855 --> 00:48:33.858]  And you see Hollywood and the media saying, kill the president, kill his supporters, attack his supporters, burn things down, bring down the government, shut down the government.
[00:48:34.498 --> 00:48:38.499]  They are really upset, this cabal that had hijacked the nation.
[00:48:39.379 --> 00:48:44.540]  They really thought we would accept the evil political corpse of Hillary Clinton running our lives.
[00:48:45.401 --> 00:48:48.782]  But everything they touch turns to absolute failure.
[00:48:48.802 --> 00:48:51.444]  877-789-ALEX.
[00:48:51.644 --> 00:49:14.694]  And the other correction, I don't have a teleprompter in here, and I go from memory, and I know it's Adam Schiff, is the leader, or the Democratic leader in the House of the Judiciary Committee, and his counterpart is Nunes, the chairman, and he is going after the truth, and first saying it isn't real, and then saying
[00:49:15.942 --> 00:49:18.424]  It is real, don't release it, you're too stupid to understand it.
[00:49:18.464 --> 00:49:26.509]  I'm calling in Peter Schiff, who's a great economist and researcher and was on with us last week, or maybe it was Monday, sorry.
[00:49:26.629 --> 00:49:28.571]  It's Adam Schiff, not Peter Schiff.
[00:49:28.891 --> 00:49:30.292]  So thanks for the crew pointing that out.
[00:49:31.624 --> 00:49:35.547]  Someday I guess I'm going to have to get like all the other talk show hosts and have my notes and just follow them.
[00:49:35.567 --> 00:49:38.469]  But I just go literally from from from a memory and research.
[00:49:38.749 --> 00:49:43.732]  And we are getting this graphic posted on Infowars.com as we speak.
[00:49:44.072 --> 00:49:46.154]  And we are going to tweet it at real Alex Jones.
[00:49:46.574 --> 00:49:48.435]  It's hard to find on the Epoch Time website.
[00:49:49.116 --> 00:49:58.962]  It is their map of the insurance policy and the Clinton slash Obama secret society that had basically hijacked the government.
[00:49:59.443 --> 00:50:00.643]  So that is going to be coming up
[00:50:01.724 --> 00:50:03.785]  In the next hour as well.
[00:50:03.845 --> 00:50:07.665]  The toll-free number again is 877-789-ALEX.
[00:50:07.725 --> 00:50:09.406]  And I don't normally screen your calls.
[00:50:09.466 --> 00:50:10.126]  It's a free-for-all.
[00:50:10.166 --> 00:50:20.248]  But we are screening them in that I want to specifically talk about this topic and or Trump in Davos because we were told he was going to screw us on DACA.
[00:50:21.749 --> 00:50:22.249]  Didn't do it.
[00:50:23.369 --> 00:50:30.551]  But people that I know that are conservatives are still mad at it because they decided that that was happening and they won't admit they got conned by neocon media.
[00:50:32.827 --> 00:50:33.847]  That's the same thing here.
[00:50:33.927 --> 00:50:36.468]  He's going there to try to recruit companies back to the U.S.
[00:50:36.928 --> 00:50:50.230]  He's going there as a nationalist to cut unilateral deals to help the United States, but also help the companies and or countries they're from, so it's a two-way street, so you build up both economies.
[00:50:50.491 --> 00:50:51.151]  How do I know that?
[00:50:51.451 --> 00:50:52.911]  Trump told us his philosophy.
[00:50:53.851 --> 00:50:57.592]  He's been following through, and he is as constant as the North Star.
[00:50:58.621 --> 00:51:01.602]  And so, I told you a week ago what he'd do at Davos.
[00:51:01.622 --> 00:51:03.443]  Now, it's already happened today.
[00:51:04.404 --> 00:51:05.825]  I'm here to cheerlead for America.
[00:51:06.565 --> 00:51:14.489]  I'm here to talk about nation-states and how we need to control our own governments and have our people in charge, and the value of human workers and not replacing them with robots.
[00:51:14.889 --> 00:51:21.912]  And I'm here to talk about how this global order is unelected and authoritarian, and if you don't like it, get out of the room!
[00:51:22.112 --> 00:51:22.973]  I've got the quotes here.
[00:51:25.267 --> 00:51:33.111]  They said, if you want a bitch, you want to complain as a CEO, you want to act like you're going to protest me being here, you're lucky I'm here, and if you don't like it, get out.
[00:51:35.532 --> 00:51:37.933]  If you don't like it, don't go hear me when I speak.
[00:51:38.433 --> 00:51:39.914]  Leave the room like everybody else does.
[00:51:40.774 --> 00:51:42.095]  You want to hear this speaker, that speaker?
[00:51:42.135 --> 00:51:42.435]  Fine.
[00:51:42.795 --> 00:51:43.896]  Leave the room.
[00:51:45.556 --> 00:51:46.577]  It's called free speech.
[00:51:47.679 --> 00:51:48.800]  I'm the head of the United States.
[00:51:49.320 --> 00:51:49.800]  I'm coming.
[00:51:50.141 --> 00:51:51.001]  I'm speaking to you.
[00:51:51.742 --> 00:52:00.687]  Dramatic HD footage from Dan Lyman, our reporter, who's doing an amazing job writing articles, shooting reports, and also joining us live.
[00:52:02.268 --> 00:52:03.209]  Ciao in Davos.
[00:52:03.309 --> 00:52:05.470]  Those who don't want to listen to Trump can leave.
[00:52:05.510 --> 00:52:08.492]  Yes, that's his spokesperson that's there with him.
[00:52:09.693 --> 00:52:13.095]  As I just told you, that is what the president said.
[00:52:13.535 --> 00:52:16.437]  And boy, they've desperately tried to get, oh, the Muslim Union.
[00:52:18.404 --> 00:52:20.625]  They put the Islamist mayor in in London.
[00:52:21.265 --> 00:52:24.146]  They voted to say Trump's not welcome in England.
[00:52:27.888 --> 00:52:31.809]  Just think about the mindset and how these people are operating.
[00:52:31.829 --> 00:52:43.494]  But I want to get to some of these clips real fast because they're so important because it signifies something earth-shattering, earth-shaking, that will change the world if you grasp it, if I grasp it, if we all continue to grasp it.
[00:52:43.914 --> 00:52:45.735]  As I've been saying for at least 15 years,
[00:52:47.230 --> 00:52:57.640]  Globalism's criminal, it's unelected, it's authoritarian, it's anti-human, it's exempt from taxes and regulations, and it operates by stealth.
[00:52:58.060 --> 00:53:09.191]  And if we just have a public debate about it, keep exposing the IMF, the World Bank, the WTO, the TPP, all these groups, that they're unelected, transferring power to world government corporations,
[00:53:10.731 --> 00:53:12.592]  And that they're giving us a bad deal as well.
[00:53:13.332 --> 00:53:19.653]  The nation states will turn against it and we will remove ourselves from this system before it ever gets off the ground.
[00:53:19.713 --> 00:53:31.037]  I said it's when they finally admit it's a global government and try to set up the world currency and the world tax and the world control and they try to lower the borders completely that the world will turn against them.
[00:53:31.917 --> 00:53:32.757]  That's common sense.
[00:53:33.517 --> 00:53:39.879]  And so I hammered it and I hammered it with you the listeners and many other great people that understood history
[00:53:41.308 --> 00:53:53.817]  Like the New American Magazine, and like Ron Paul and others, knowing that we were making inroads with the public mind worldwide, and that when they announced the world government, people would go, wait a minute!
[00:53:54.717 --> 00:53:55.698]  I've seen Nightline!
[00:53:57.539 --> 00:53:58.440]  I've seen Dateline!
[00:53:59.818 --> 00:54:12.127]  I've seen CBS, I've seen CNN, I've seen CNBC, I've seen the Wall Street Journal, the New York Times, for 30 years, say there's no world government, there's no global cabal.
[00:54:12.507 --> 00:54:16.030]  For 50 years, the CFR isn't taking your sovereignty.
[00:54:17.071 --> 00:54:21.194]  For 40 years, the Trilateral Commission is secret, but don't worry about it.
[00:54:24.747 --> 00:54:25.910]  And we hammered it and hammered it.
[00:54:25.930 --> 00:54:32.303]  And if you talked about it, you got blackballed, you got kicked off talk radio, you got... publishers would shut you down.
[00:54:33.125 --> 00:54:33.746]  But now...
[00:54:36.021 --> 00:54:58.297]  The fact that Bilderberg and all these things are the very same couple hundred billionaires who meet at Davos and meet at Bilderberg and meet at these events, and their people are in key positions everywhere, and they're setting up a system of total control, and if we just kept hammering it, the truth would come out, they'd have to debate us face to face about their authoritarian activities, and they would lose.
[00:54:58.597 --> 00:55:02.200]  We have now reached the point where they're having to debate us and going, listen,
[00:55:03.493 --> 00:55:04.374]  We need globalism.
[00:55:04.794 --> 00:55:05.695]  We need world government.
[00:55:06.616 --> 00:55:08.017]  We don't want a fractured world.
[00:55:08.578 --> 00:55:12.622]  Well, it's not fractured when we just simply don't let you screw us over.
[00:55:13.803 --> 00:55:15.805]  And you exploit the workers and you lower wages.
[00:55:16.686 --> 00:55:24.574]  And so their authoritarian nightmare is coming to an amazing, crashing confrontation.
[00:55:25.828 --> 00:55:37.511]  They're not defeated yet, but the very nature of a world transnational secret tax-exempt group with diplomatic immunity running everything, they're never going to sell that.
[00:55:38.671 --> 00:55:51.514]  And they're going to use third-world populations in reverse colonialism to come in and drive down wages and be brainwashed into neo-leftist, anti-Western, anti-European racists.
[00:55:54.403 --> 00:56:03.709]  And now the left, in major publications like The Economist, says, we miscalculated demographics, we've got to get even more non-whites in, and we'll defeat the West.
[00:56:04.830 --> 00:56:16.418]  And it's not really defeat the white thing, it's defeat nation states that can stand up for itself, that had wealth, that were first world, that aren't a big third world population you can dictate the terms of surrender to.
[00:56:17.557 --> 00:56:20.940]  They want us poor, neo-feudalistic fascism.
[00:56:21.300 --> 00:56:25.404]  And I've had top economists on, you name it, and they go, that's the best term I ever heard.
[00:56:25.684 --> 00:56:26.785]  That's exactly what it is.
[00:56:27.105 --> 00:56:28.066]  That is what it is.
[00:56:28.627 --> 00:56:33.671]  And yes, I've coined many of the terms today that are now used in the fight against the enemy.
[00:56:34.292 --> 00:56:38.555]  Not because I'm that smart, it's neo-feudalistic fascism.
[00:56:39.696 --> 00:56:42.319]  Using socialism at the grassroots level of control.
[00:56:42.619 --> 00:56:43.440]  I didn't get to those clips.
[00:56:44.963 --> 00:56:47.225]  I'm going to come back, start going to calls, then I'm going to get to all the clips.
[00:56:47.285 --> 00:56:50.548]  Lou Dobbs says we must declare war on the deep state.
[00:56:51.189 --> 00:56:52.250]  Sean Hannity gets it right.
[00:56:52.350 --> 00:56:55.873]  He says the walls are closing in on the globalists, on the secret societies.
[00:56:55.913 --> 00:56:56.474]  They're panicking.
[00:56:56.894 --> 00:57:08.625]  This is so important because the fact that everything we talk about is being mainlined now means they can never, no amount of censorship, no amount will ever put the genie back in the bottle.
[00:57:09.778 --> 00:57:22.084]  We have passed an incredible point of no return, an amazing milestone that is historical and that is incredible and that we should all hit our knees and thank God for the providence that's taking place.
[00:57:22.424 --> 00:57:24.945]  And then be a little positive about you.
[00:57:26.860 --> 00:57:28.141]  I was brushing my teeth this morning.
[00:57:28.161 --> 00:57:30.543]  I just thought, I gotta get on air and thank the listeners and viewers.
[00:57:30.623 --> 00:57:35.147]  I mean, not just thanking them because they're great patriots and fighting hard, but man, you are the heart!
[00:57:35.528 --> 00:57:36.508]  You are the blood!
[00:57:36.589 --> 00:57:37.469]  You are the core!
[00:57:37.690 --> 00:57:38.570]  You are the spark!
[00:57:38.690 --> 00:57:40.272]  You are, you are it!
[00:57:40.372 --> 00:57:44.936]  You are the very most engaged point-blank patriots in the world.
[00:57:45.096 --> 00:57:47.078]  You are the reason we're here.
[00:57:56.387 --> 00:57:59.630]  ...and fighting back against the globalist's war on male vitality.
[00:58:00.370 --> 00:58:08.816]  Our ultimate non-GMO formula is sourced from powerful organic herbs that have been gathered from around the world and then concentrated for maximum potency.
[00:58:09.957 --> 00:58:16.221]  Super Male Vitality was developed to activate your body's natural processes instead of using synthetic chemicals.
[00:58:16.862 --> 00:58:19.964]  Info Wars Life wants to bring you the highest quality products.
[00:58:21.249 --> 00:58:29.094]  Our unique combination of ingredients is designed to assist the body in regulating proper balance and creating superior vitality in males.
[00:58:30.575 --> 00:58:33.557]  Support your body and mind and take yourself to the next level.
[00:58:34.257 --> 00:58:36.899]  Boost your vitality and energize your life.
[00:58:38.139 --> 00:58:39.300]  Take control of your body.
[00:58:39.620 --> 00:58:43.963]  Grab a bottle of Super Male Vitality today at InfoWarsLife.com.
[00:58:44.823 --> 00:58:46.785]  That's InfoWarsLife.com.
[00:58:53.029 --> 00:58:57.336]  Proper B vitamin intake is essential to keep the body functioning at optimum levels.
[00:59:00.305 --> 00:59:04.887]  With our modern diets, it can be hard to get the recommended amount of B vitamins we need every day.
[00:59:04.907 --> 00:59:06.908]  Up, up, up, up, optimum levels.
[00:59:07.268 --> 00:59:08.849]  B vitamins we need every day.
[00:59:09.069 --> 00:59:14.131]  Secret 12 combines two bioactive forms of vitamin B12 for optimal absorption.
[00:59:14.331 --> 00:59:16.032]  Up, up, up, up, optimal absorption.
[00:59:16.692 --> 00:59:22.014]  Being deficient in B vitamins can cause fatigue, depression, poor memory, and lethargy.
[00:59:22.314 --> 00:59:22.635]  Secret 12.
[00:59:22.735 --> 00:59:23.415]  Up, up, up.
[00:59:23.975 --> 00:59:24.515]  I think so.
[00:59:52.446 --> 00:59:55.287]  You're listening to The Alex Jones Show.
[00:59:56.808 --> 01:00:05.713]  We now take you live
[01:00:17.765 --> 01:00:23.928]  From the front lines of the Information War, it's Alex Jones.
[01:00:24.008 --> 01:00:26.629]  Alright folks, we are into the second hour.
[01:00:26.689 --> 01:00:28.770]  I'm going to start going to your phone calls right now.
[01:00:29.230 --> 01:00:33.692]  The article has gone live on newswars.com and infowars.com.
[01:00:34.412 --> 01:00:45.337]  Real collusion graphic illustrates Dems' ties to phony Russian dossier and how they formed their own secret society.
[01:00:47.156 --> 01:00:50.320]  Obama deep state behind secret Trump coup attempt.
[01:00:52.042 --> 01:00:53.183]  Mueller witch hunt.
[01:00:53.504 --> 01:00:57.308]  It's the most amazing graphic of many graphics we've seen.
[01:00:57.609 --> 01:00:58.330]  They're excellent.
[01:00:59.631 --> 01:01:03.155]  Exposing the insurance policy.
[01:01:03.356 --> 01:01:06.419]  And it's all in their own words, their own admissions.
[01:01:07.591 --> 01:01:17.735]  How they have Trump and the American people in a pincer attack between Obama when he was still in office, Hillary, the Democratic Party, Republican allies, the corporate media, and so much more.
[01:01:18.676 --> 01:01:25.358]  So this powerful graphic is on Infowars.com right now.
[01:01:26.659 --> 01:01:28.880]  It's very important to tweet that out.
[01:01:28.940 --> 01:01:35.483]  It's very important to basically let people know this is what the Nunes secret FISA
[01:01:36.516 --> 01:01:40.539]  Four pages out of the original FISA investigation.
[01:01:41.080 --> 01:01:46.625]  FISA put out a 99-page memo that says we were told to do illegal things.
[01:01:47.545 --> 01:01:48.386]  The court did.
[01:01:49.647 --> 01:01:53.170]  And that's the memo that the media goes, oh that memo was already out, Jones.
[01:01:53.831 --> 01:01:54.732]  Nobody look at that.
[01:01:55.452 --> 01:01:58.495]  By the way, you can't look at WikiLeaks if you're not CNN.
[01:01:58.875 --> 01:01:59.876]  If you do, you're going to jail.
[01:02:01.297 --> 01:02:01.938]  Cuomo said that.
[01:02:01.958 --> 01:02:03.319]  Well now they just go, listen.
[01:02:06.598 --> 01:02:07.679]  Don't look at any of that.
[01:02:07.719 --> 01:02:09.960]  Look, those text messages you're hearing, that's fake.
[01:02:10.400 --> 01:02:11.481]  There was no meeting with McCabe.
[01:02:11.521 --> 01:02:13.062]  Now they go, okay, they're real text messages.
[01:02:13.642 --> 01:02:15.743]  We met with McCabe, but all the others got erased.
[01:02:16.424 --> 01:02:17.624]  They're caught red-handed, folks.
[01:02:18.085 --> 01:02:22.987]  And they're trying different distraction games with people, but it's not working.
[01:02:24.688 --> 01:02:26.309]  So I'm asking the questions of listeners.
[01:02:27.030 --> 01:02:30.792]  What's going to happen as these cornered rats
[01:02:34.997 --> 01:02:38.020]  begin to realize that nothing they've done has worked.
[01:02:38.501 --> 01:02:41.143]  Nothing they've done has gotten them out of the trouble they're in.
[01:02:41.163 --> 01:02:44.447]  So I'm going to go to break and come right back.
[01:02:44.487 --> 01:02:52.175]  Go to Brendan, Mark, John, Candace, Josh, Jason, and many, many others on the other side of this short segment.
[01:02:53.442 --> 01:03:03.304]  And then I'm going to read the article, because it's an excellent article and shows some of the documents and tweets that are embedded in it from ZeroHedge.com, that's on Infowars.com.
[01:03:04.164 --> 01:03:11.645]  According to FirstLeak, and again this really isn't the FirstLeak, Daily Beast is saying they have the FirstLeak.
[01:03:12.385 --> 01:03:15.806]  Everything you've been seeing with text messages that Congress is putting out are leaks.
[01:03:16.326 --> 01:03:20.647]  Everything that Jim Jordan has been saying a week before and the next week it comes out is a leak.
[01:03:21.670 --> 01:03:26.112]  He's got them testifying in front of him going, I kind of feel like this might have been what happened.
[01:03:26.132 --> 01:03:30.213]  And then they won't answer his questions, Ron Rosenstein or McCabe or any of them.
[01:03:31.774 --> 01:03:37.136]  Because they know they've got all the classified garbage of what they've done.
[01:03:39.717 --> 01:03:41.917]  So if you know how to read between the lines, you know what's in there.
[01:03:43.938 --> 01:03:46.039]  It's a bombshell four page memo.
[01:03:47.585 --> 01:03:54.088]  It first started making waves last week and a half after it was made available to the full House of Representatives for viewing.
[01:03:55.929 --> 01:03:57.129]  That's the full memo.
[01:03:57.949 --> 01:04:08.594]  With over 60 GOP lawmakers calling for its release, Capitol Hill sources on both sides of the aisle tell the Daily Beast that it's only a matter of time before the general public is allowed to view the document.
[01:04:09.935 --> 01:04:10.995]  Oh, thank you Daily Beast.
[01:04:11.015 --> 01:04:12.536]  That's like telling me the sun came up this morning.
[01:04:12.916 --> 01:04:17.918]  Which is likely to stoke already inflamed tensions between GOP lawmakers and the individuals named in the leak.
[01:04:21.540 --> 01:04:22.860]  And then it gets into what's in there.
[01:04:24.221 --> 01:04:28.122]  McCabe, Comey, Rosenstein.
[01:04:28.842 --> 01:04:30.223]  We already know they're the Clinton Cabal.
[01:04:31.570 --> 01:04:35.311]  It's Rosenstein told Trump, hey, let's get McCabe, he really likes you.
[01:04:35.911 --> 01:04:39.473]  He's the guy that was running the cabal for Comey and Mueller.
[01:04:40.153 --> 01:04:41.453]  He's the stay-behind network.
[01:04:42.314 --> 01:04:44.154]  They're like, oh, sir, he's against what happened.
[01:04:44.554 --> 01:04:45.235]  He's your man.
[01:04:46.055 --> 01:04:47.855]  All right, Mr. McCabe, you're the head of the FBI.
[01:04:48.536 --> 01:04:50.336]  Let's get confirmed by the Congress, but you're my nominee.
[01:04:51.117 --> 01:04:52.937]  Mr. President, they've really screwed you over.
[01:04:53.577 --> 01:04:56.718]  Just turn around for me so I can pull this dagger out and stab you in the back immediately.
[01:05:00.237 --> 01:05:04.519]  Maximize your potential and take your body back with super male vitality.
[01:05:05.579 --> 01:05:10.041]  We're breaking the conditioning and fighting back against the globalist war on male vitality.
[01:05:10.761 --> 01:05:18.944]  Our ultimate non-GMO formula is sourced from powerful organic herbs that have been gathered from around the world and then concentrated for maximum potency.
[01:05:20.100 --> 01:05:26.127]  Super Male Vitality was developed to activate your body's natural processes instead of using synthetic chemicals.
[01:05:26.848 --> 01:05:29.872]  Info Wars Life wants to bring you the highest quality products.
[01:05:31.153 --> 01:05:38.722]  Our unique combination of ingredients is designed to assist the body in regulating proper balance and creating superior vitality in males.
[01:05:40.191 --> 01:05:43.093]  Support your body and mind and take yourself to the next level.
[01:05:43.774 --> 01:05:46.336]  Boost your vitality and energize your life.
[01:05:47.557 --> 01:05:48.678]  Take control of your body.
[01:05:49.018 --> 01:05:53.241]  Grab a bottle of Super Male Vitality today at infowarslife.com.
[01:05:54.082 --> 01:05:55.984]  That's infowarslife.com.
[01:06:17.910 --> 01:06:24.313]  We now take you live to the Central Texas Command Center in the heart of the resistance.
[01:06:24.393 --> 01:06:25.913]  It's Alex Jones.
[01:06:26.293 --> 01:06:29.094]  Alright, we're going to your phone calls right now.
[01:06:29.114 --> 01:06:29.895]  We're talking about
[01:06:30.939 --> 01:06:49.228]  The secret FISA memo, that is, secret excerpted parts out of reportedly multiple memos, and the proof that Obama was directing illegal spying against the Trump campaign, president-elect, and right up until the time that the president was sworn in.
[01:06:51.127 --> 01:07:03.731]  We saw incredible hubris by Brennan, by Clapper, by Schumer, and others saying, oh, the intelligence agencies are going to get you, you're never going to make it into office, or you're going to be out very, very soon.
[01:07:03.751 --> 01:07:08.772]  And they've been all over TV saying, we're going to remove him in the next few months outside of impeachment.
[01:07:09.332 --> 01:07:12.753]  And Wolf Blitzer says to Brennan and to Clapper, well, how?
[01:07:12.773 --> 01:07:14.134]  They go, oh, extrajudicial.
[01:07:15.796 --> 01:07:22.798]  And then Phil Mudd goes on air two days later and says, the government's gonna kill this guy, President Trump.
[01:07:25.258 --> 01:07:29.860]  And then of course you saw Scalise shot in the attempt to take out the Republican Freedom Caucus leadership.
[01:07:30.160 --> 01:07:31.520]  So these guys aren't playing around.
[01:07:31.800 --> 01:07:38.422]  And I told you back when all that happened last year, this is the stay behind networks at the FBI.
[01:07:40.208 --> 01:07:46.694]  At the CIA, at the NSA, at the Justice Department, and other agencies.
[01:07:46.734 --> 01:07:49.076]  They were saying this in the Washington Post, New York Times.
[01:07:49.316 --> 01:07:51.078]  Hold on, he'll be gone in a few months.
[01:07:51.138 --> 01:07:52.019]  Don't follow orders.
[01:07:52.339 --> 01:07:53.781]  It's your duty to be mutinous.
[01:07:54.221 --> 01:07:55.022]  Sabotage!
[01:07:55.082 --> 01:07:56.083]  I mean, they were in the news.
[01:07:57.884 --> 01:08:00.647]  And so, they got more shrill saying, we're going to kill you.
[01:08:00.667 --> 01:08:02.328]  You're going to be out by November.
[01:08:02.348 --> 01:08:03.710]  You're going to be out by December.
[01:08:05.646 --> 01:08:11.070]  Because they knew their stay-behind networks were on burner phones by then.
[01:08:11.110 --> 01:08:14.412]  They were meeting secretly already for six, seven, eight months.
[01:08:15.313 --> 01:08:17.735]  Once the president had gotten into office, they were scared.
[01:08:18.255 --> 01:08:19.476]  They were being watched now.
[01:08:21.237 --> 01:08:21.678]  Oh, yes.
[01:08:23.692 --> 01:08:28.955]  So they had to send McCabe out to go, that piece of crap will be gone in a few weeks, we're gonna kill him!
